good 	 Stanford well situate Korea town , close Macy 's good shopping . although NYC business also downtime able enjoy delight city offer . room small side , one elevator present huge problem we . bathroom clean sheet towel smell freshly launder . back hotel overlook window present problem either quieter street side . crane neck could see sky able see weather dress accordingly . breakfast bagel , doughnut carby thing - bun , roll , toast etc , ok . staff helpful pleasant . mid - town struggle find restaurant korean one stay open late . 
 may 24 2005 	 Excellent value money 	 stay Stanford 5th March 10th March , snowstorm ... excellent value money basic room heart Manhattan main attraction within walking distance ... hotel situate edge Little Korea . empire State Building two block ( 5mins ) walkway , include Macys around corner . Times square 20mins ish walk .... hardly anything compare walk would trip NY . actually manage walk hotel central park around central park Jackie Onassis lake ... painful calf next day .... well way experience new york , grid system avenue street . recommend gray line tour purchase ticket valid 48hrs include different loop jump bus go certain route ( Loops ) around main attraction / sight .... back hotel review ... say basic room spend much time really sleep extremely clean . bathroom new nice . not room view go New York high rise building be not really much look apart building . look go budget close action perfect 
 May 24 2005 	 great find ! 	 clean , large room ( Junior suite ) sit area , separate room . 4 Messy adult woman plenty room scatter luggage shopping bag . staff helpful . Breakfast ( include ) good . item sell bakery next door - large selection . sweet roll , bread toaster , cereal , juice , tea coffee . wonderful location , safe nite getting walk , walk back theatre district . advice : take wash cloth prepare wait single elevator ( never long run quickly . ) also , turn leave door , right first block ( corner ) good souvenir bargain price find . 
 May 17 2005 	 Great Staff - Great Location - Great price 	 talk NY bargain . book room queen size bed weekend . since not travel often NY not sure expect $ 149 however armed folk review confident would not surprised . well even review still pleasently surprised . greate front hotel doorman help we 4 step small lovely lobby . also present security officer alternate outside hotel perch elevator . sure never see problem cause . Felt safe secure . let us see .... email let hotel know arrive train would midnight . give name front desk staff know email ask train trip . room perfect price . remember NY space premium . room large enough hold bed , dressor , tv enough space walk around bed bathroom . unexcpecte refrigerator room small safe closset . bathroom sparkle walk . exactly want . clean , good price , friendly staff . negative could find peak time wait elevator . give opportunity say hello folk also wait . get settle upstairs go lobby Gam Mee ok next door . wonderful late night / early morning meal fry pancake raw beef vegetable dish quite refreshing . round meal really wonderful kimchi . consider midnight place totally full . basically really enjoy hotel would stay . great staff , great location , great price , great dining option street . could ask ? 
 May 11 2005 	 great valuegreat location 	 stay hotel 4 night . although room small great view clean bathroom . continental breakfast excellent . Lift take forever apart complaint . hotel also good location . subway nearby . surround street safe enough walk late night . would definitely choose hotel next stay . 
 May 10 2005 	 fantastic hotel price . friendly . 	 stay Hotel Stanford three night end April 2005 two friend . joint ' friend weekend getaway ' birthday celebration . two room ( one two double one queen ) . find room quite spacious clean - good deal price . staff friendly extremely helpful - expecially leave purse subway ( long story - return everything tact - New Yorkers really helpful friendly ! ) . excellent location really add value hotel . right around corner Empire State Bldg one side Broadway - subway stop 20 step door . include breakfast nice touch not partake since real New York bagel coffee right around corner . would definately recommend hotel look elsewhere next trip NYC ! 
 Apr 11 2005 	 great Value Clean Comfortable Room ! 	 stay 2 night $ 130 per night . room clean bed comfortable . continental breakfast good compare hotel continental breakfast . staff fairly friendly compare NY City Hotels stay . wish second elevator , wait not bad . Great Location ! ! 
 Mar 6 2005 	 Excellent Value ! excellent Location ! 	 must say really enjoy stay hotel . location excellent , actually could see part Broadway window . subway step away . room big hotel management kindly allow we stay 4 adult two child room make hotel excellent value we . room clean fridge good cool soft drink in . the breakfast include price nothing special - bagel , corn flake doughnut , satisfy enough . hotel staff let we leave luggage lobby check - out even though occupy alot space . please Hotel Stanford ! 
 Mar 2 2005 	 great deal 	 get back stay two night Stanford . great little find heart NYC . travel alone need single . room decent enough size one person , impressed cleanliness place . speck dust anywhere , bathroom spotless , furnishing , though modern , clean comfortable . even refrigerator room -- something ' ve usually pay extra modern hotel . the neighborhood fine , across street Empire State building , within walk distance Penn Station subway . female , feel safe , even walk around night . busy area always tourist about . no room service big restaurant attach , plenty place eat neighborhood . certainly can not beat price location . definitely stay future trip NYC ! 
 Feb 28 2005 	 satisfied 	 satisfied Stanford Hotel . clean frienly . room even small expect . good place sleep New York price okey . recommend hotel . 
 Feb 26 2005 	 Great Location 	 stay 9th Feb thru 13th Feb 2005 . hotel great location first time visitor want see attraction day . room clean average sized . downside size window , tiny meant room warm . staff exceptional ! helpful courteous time . budget ( £ 80 per night ) would stay . 
 Dec 16 2004 	 great hotel 	 great hotel would recommend highly anyone travel New York . share triple room ( one queen size , one king size bed ) 2 friend - room clean , tidy spacious . complimentary breakfast also definite bonus , staff friendly , helpful accommodating . however , good thing Hotel Stanford location , extremely close Empire State Building , Macy 's excellent shopping 34th St . subway station almost directly outside plenty eat place nearby . I would definitely stay - incredibly good value money . 
 Dec 1 2004 	 clean basic room - good location 	 2nd stay Stanford & amp ; already consider book 3rd . hotel basic . room clean . twin room - plenty room . friend double room along sofabe . room tv , video , hairdryer , alarm clock , telephone , ensuite bathroom , safe . end day would rather spend money entertainment rather luxurious hotel room spend little time . 
 Nov 18 2004 	 great location value money . 	 four girl first visit ny . hotel room excellent , large keep clean . two kingsize bed comfortable maid tidying daily . ask four towel daily leave two left note . inconvience room remain warm time . lobby staff also friendly , helpful courteous . inclusive breakfast another plus adequate get good day.could not ask well location , metro doorstep penn station 3 min walk well . shopper delight position , macy 's empire state building within 2 block . hotel seem locate korean influence street . would definetly recommend want relatively inexpensive hotel comfortable great location . would use hotel . 
 Nov 9 2004 	 Good Choice 	 two lady go New York first time . reserve room Stanford check price , location , etc . happy choice . folk whose review positive , say expect much . nice , clean , friendly place , close many attraction subway . room small , expect . leave window open awhile cool , thermostat work properly . free breakfast everything could want : bagel , toast , donut , cereal , fruit , juice , coffee tea . stay . 
 Oct 25 2004 	 price main concern 	 stay , want look room past weekend , resrvation upcoming weekend December . disappointed upon look room , good size , bathroom look new clean , overall hotel run , much appropriate college student budget , rather 4 woman relax shopping weekend . even $ 259 rate suite , could bring girlfriend stay , spoil recent stay San Carlos , prior Muse , Hotel near quality , book another Hotel weekend . 
 Oct 19 2004 	 convenient location decent hotel price 	 convenient location . empire State Bldg Macys minute away , drug store supermarket downstairs ask price pay October stay Manhattan ( $ 149 / night two twin ) . room relatively clean decent size quiet term traffic noise cleaning maid keep talk right outside room early morning refill toilet paper tissue paper , not expect much term room service staff lobby helpful courteous . complimentary breakfast plus . hardly stay hotel anyways definitely would stay money issue . 
 Oct 18 2004 	 keep looking 	 get pay . not expect much get exactly . room small , a / c , room service , mediocre breakfast room also look brick wall . we leave go Doubletree . give clean bathroom . 
 oct 9 2004 	 stay away 	 check hotel 4 night end sep't . not expect much pay . $ 594 reasonable price . decide stay include breakfast . location fantastic , right opposite Penn Station walk distance Empire State Building . however hotel joke . do not usually expect much always go along theory clean anything else bonus . well be not clean - it mucky , dirty thing previous guest use have not dispose . service even bad . first request room clean 3 time - this never do . also get room view brick wall - and advise double room face way point change . light room keep blow never change . top air conditioning do not work keep awake 80 degree heat . hardly sleep 4 night . informed say would fix never bother . I urge never stay hotel . surprised positive review read website , can not believe hotel ! 
 Sep 27 2004 	 Location location location 	 wife stay Hotel Stanford June 2004 . perfect location . subway , two different line , less block away . get around Manhatthan allday metro pass $ 8 . take Amtrak new york 2 3 block Hotel Stanford . hotel fairly nice . room little small , quiet . staff fairly friendly also . get back New York , would not mind stay Hotel Stanford . also little .99 store hotel pick anything forgot need snack . 
 Jul 14 2004 	 nice hotel stay 	 nice hotel , great location . parent , daughter myselft book room sofa bed , room big clean bathroom clean . complementary breakfast good too.i would stay ! 
 Jul 7 2004 	 Great Location 	 hotel right around corner Empire State Building couple block Macy 's . five minute , walk Time 's Square . five minute way be Flatiron Building . want inexpensive place stay see NYC , breakfast include , go . want spend time time inside NYC hotel , go Ritz . 
 Jun 26 2004 	 great location great stay 	 Stayed Hotel Stanford 5 night Memorial Day weekend - hotel great location , close Empire State Building Macy 's . walk hotel corner 5th Avenue , could look see Flatiron building , could stroll Times Square less 10 minute . room comfortable , bathroom spacious clean , partner make full use complimentary breakfast lounge . bagel , toast , muffin do - nut , mention good coffee fruit juice . the hotel base Herald Square , area know ' Korea town ' - sushi noodle live stay well ever ( include Far East ) , much cheap anywhere else . great place stay great way spend vacation ! ! ! 
 Jun 21 2004 	 great hotel good price 	 stay Hotel Stanford one night June 2004 . great experience , would not mind stay . staff quite friendly accommodate . think good feature complimentary continental breakfast morning . much well hotel 's breakfast , keep we full lunchtime ! 
 Jun 16 2004 	 ok hotel 	 hotel fantastic location - right heart Herald Square , 20 foot away 34th street subway station , walk distance many NYC 's top sight . however , hotel leave little desire - quite dirty inside , paint peeling , staff okay , room smell musky . want place sleep heart city , fairly reasonable price , be look something little nicer , look elsewhere . 
 May 28 2004 	 Stanford Hotel ... worth go back 	 stay Stanford Hotel ( W32nd Street ) 4 night March 2004 .. enjoy stay , comfortable bed .. clean bathroom ... staff always friendly helpful .. Breakfast provide ample start day .. roll , cereal , cake , coffee juice .. well delicious toast ' ve ever , spread grape jelly ! mmmm Location good sight , money will not disappoint .. would go back ther without hesitation ... 
 Feb 11 2004 	 far good place ever stay ! 
 Jan 7 2004 	 Advertising Misleading 
 Dec 24 2003 	 Dissatisfied Stanford 
 Dec 20 2003 	 Great Hotel ! ! 
 Dec 8 2003 	 Great Location Excellent Service 
 Dec 5 2003 	 clean friendly safe 
 oct 22 2003 	 pleasant surprise Hotel Stanford 
 Sep 8 2003 	 Great Deal Clean Room ! 
 Jul 20 2003 	 Happy Stanford 
 Jul 14 2003 	 great price location 
 Jul 14 2003 	 Centralissimo .... 
 Nov 21 2009 	 ninguma 
 Nov 13 2009 	 vale solo per la posizione 
 Oct 10 2009 	 Excelente ! 
 oct 9 2009 	 Buon hotel ottima posizione 
 Sep 29 2009 	 Excelente ubicación excelente relación calidad - precio 
 Sep 22 2009 	 ? ? ? ? ? ? ? ? ? ? 
 Aug 26 2009 	 Perfekt läge på Manhattan . rekommendera varm ! 
 Aug 26 2009 	 scarso ... purtroppo ... 
 Jul 31 2009 	 Gute Lage 
 Jul 26 2009 	 Ottimo hotel ! 
 Jul 25 2009 	 repetiría 
 Jul 24 2009 	 Excelente limpieza muy buena ubicacion 
 Jul 5 2009 	 Excelente situación cómoda estancia . 
 Jun 21 2009 	 Centralissimo e straconsigliato 
 Jun 12 2009 	 Buona posizione 
 May 12 2009 	 Il posto ideale per visitare la cittá 
 May 9 2009 	 prestation basique mais très bien situé 
 May 7 2009 	 Ottimoooooo ! ! ! ! 
 Apr 20 2009 	 ottimo hotel buon prezzo 
 Apr 1 2009 	 Ottimo albergo e ottima posizione 
 Mar 4 2009 	 alle allem top 
 Feb 13 2009 	 Geniales Preis - Leistungsverhältnis ! 
 Feb 1 2009 	 Todo perfecto excepto uno 
 Jan 6 2009 	 Una ganga 
 Jan 3 2009 	 Buena estancia en hotel céntrico . 
 Jan 3 2009 	 hotel agradable centrico 
 Dec 4 2008 	 Ottima soluzione all'ombra dell'Empire State Building 
 Nov 4 2008 	 Una settimana New York 
 Oct 31 2008 	 Buena localizacion 
 Oct 28 2008 	 ? ? ? ? 
 Oct 24 2008 	 Confortevole tutto ! ! ! 
 Oct 7 2008 	 Valido un pò vecchio posizione strategica 
 Oct 3 2008 	 Relación calidad / precio El mejor 
 Sep 3 2008 	 Gentilezza Coreana 
 Aug 27 2008 	 recomendable 
 Aug 23 2008 	 Posizione centrale e comodissima 
 Jul 6 2008 	 très bon hôtel mais ... 
 Jul 4 2008 	 Excelente Hotel muy bien ubicado . 
 Jun 5 2008 	 Nos encantó ! 
 May 26 2008 	 Un affare le piccole pecche diventano quasi dei divertimenti 
 May 2 2008 	 très propre et très pratique petit déjeuner offert 
 Apr 17 2008 	 perfetto ! 
 Apr 17 2008 	 Excellent hôtel 
 Apr 3 2008 	 Muy buena experiencia ! super centrico recomendable 
 Feb 1 2008 	 Pessimo rapporto qualità / prezzo 
 Jul 18 2007 	 correct 
 Nov 25 2006 	 Si vous n'avez trouvé rien d'autre ... 
