ubiquitous 	 room decent size , clean quiet . excellent location good value money . 
 Aug 10 2004 	 simply Grand ! 	 pleasure stay hotel Christmas New Years excellent service . arrive late Christmas Eve kitchen stay open make special meal we . Unheard London ! room grand comparison staff helpful . stay 
 Aug 10 2004 	 Love Hotel Excellent value money 	 hotel great . excellent location 2 min Victoria underground station . restaurant serve great food coffee shop hotel serve great coffee sandwich . Pricewise get great deal want . room big clean daily . tv plenty channel watch staff really nice . definetely go back strongly recommend business traveller . 
 Aug 10 2004 	 victoria park plaza good location london 	 choose Victoria park plaza london location , choose right one . actucally walk Buckingham palace , magnificent Westminster abbey , many attraction also . also two block walk victoria tube station , golden tour bus line book 4 tour from.the people front desk helpful , hour night , even let we check 800 . room nice , comfortable , lift work fine . part like restaurant , many restaurant within couple block , that s ok , scale 1=10 get solid 8 . stay go back London , great city . 
 Aug 9 2004 	 worth 	 stay July 2004 . hotel rate . good 2 star hotel . room small , constant porno tv ask staff block porno , give another porno channel instead . coffee room fact u cross street find . room clean properly unless u complain towel guard like gold , bed change ask . would stay , price , worth . 
 Aug 1 2004 	 Excellent London 	 stay 29 - 31 July 2004 due fabulous deal via lastminute.co.uk . hotel spacious modern , much well London hotel experience . handy tube five minute stroll Tate gallery bank Thames . get continental breakfast include price £ 13 pppn full english extra £ 4 ... bit steep .. hey be London ! ! staff seem foreigner work overseas .. read review guest problem staff case , everyone speak friendly polite would definately stay next time London 
 Jul 26 2004 	 really nice 	 get reservation Travelocity , lot less expensive Expedia -- not know usually opposite . hotel well locate ( near Victoria Station ) . addition , staff nice attentive . the breakfast price ( full continental ) quite bit expensive . room nice comfortable , large european standard , clean . would go back recommend hotel . 
 Jul 22 2004 	 Fantastic Hotel ... can not wait go back ! ! ! 	 stay Victoria Park Plaza July 11 - 16 , 2004 . hotel beautiful staff amazingly helpful . room surprisingly large bathroom great . continental breakfast consist bread , cereal , fruit , cheese . enough not feel need upgrade full breakfast . dinner one night hotel restaurant . food fantastic , bit pricey . ( not everything London pricey ? ) location near Victoria station perfect . tube make easy get around . can not say enough positive thing hotel . definitely stay hotel next trip London . 
 Jul 22 2004 	 Wonderful hotel 	 family 5 spend four night Victoria Park Plaza June . location ideal tourist - easy walk Buckingham Palace , Westminster Abbey Parliament . also literally around corner Victoria Station ... London easily accessible either train tube . hotel attractive , clean extremely comfortable . family quite bit travel rank Victoria Park Plaza bed top favorite list ! room well - equip modern . staff helpful accomodating . request cot ( 3 child share room ) meet instantly . staffer also direct we various restaurant tourist site extremely helpful courteous . , pleased hotel plan stay next time be London . 
 Jul 21 2004 	 Victoria Park Plaza 	 stay Victoria Park Plaza June 30 - July 3/04 . perfect location we want near Victoria Coach Station board bus Harwich . tube bus station three minute walk . room clean , nice size king bed , modern north american standard . newspaper available read , helpful concierge . also internet cafe street across Victoria Station . turn leave outside hotel great reasonable restaurant fabulous grocery store . 
 Jul 15 2004 	 love Victoria Park Plaza 	 wife stay hotel 8 night June July cruise . hope positive review read tripadvisor . room excellent quiet stay . bathroom spotlessly clean wonderful tub shower . want washcloth , leave note housekeeping automatically supply towel . high floor less chance hear outside traffic . 7th floor cruise 4th floor cruise room equally wonderful . safe closet large enough hold laptop . location also good could hope . five minute walk tube Victoria Station convenient supermarket , street main entrance . internet cafe charge one pound 35 minute across Victoria Station great inexpensive pub also call freehouse street hotel . staff front desk friendly helpful question . never eat restaurant seem overpriced . small coffee shop lobby good early morning coffee . would definitely stay trip London . 
 Jul 14 2004 	 great great great hotel 	 get back fantastic hotel & amp ; already tell 5 friend must stay here.anythe negative ' ve read website place total trash . anything positive ' ve read absolute truth . location , staff , amenity , bed , bathroom , surrounding everything top shelf . can not say enough good thing place . thrilled . hotel would stay london . GREAT ! ! ! ! 
 Jul 12 2004 	 great location good money 	 Loved Victoria Park Plaza - modern , clean , friendly staff , except bartender . close Buckingham palace - quiet street , yet near major attraction . highly recommend run special rate $ 150 / night . 
 Jul 11 2004 	 good deal London great new addition great city 	 great new hotel . true find London . get internet special rate , pleasantly surprize check modern wonderfully locate hotel . bathroom shower experience , nice little touch like coffee service , mirror steam proof area , huge king size bed , comforter coverlet appreciate . also appreciate friendly informative staff . LOVED little coffee barista lobby level , seat outside ... usual hotel big city . try new super , super market open hop skip away hotel . also hop skip major sight London ( Westchester Cathedral Abbey , Parliment , Big Ben , London EYE , Tate , ect ) .. look forward next stay London , next stay fine hotel 
 Jul 8 2004 	 go back ! ! 	 husband stay late June , 2004 thrill . begin , location amazing . fly Heathrow Airport take Heathrow Express Victoria Station . 2 minute walk hotel great ! first day jet - lag wanted take " small " walk . small walk able get Big Ben , Parliament , Millenium Eye , Buckingham Palace . bad leisurely stroll ! second day take another " stroll " husband still sleep walk beautiful Hyde Park ( see new memorial Princess Diana ) Harrod ' . next , room decent size clean , safe iron . bed extremely comfortable . room quiet air - condition nice quite warm . bathroom clean modern . thing loop partial shower door get water floor first shower ! elderly person would probably trouble enter tub wall high . hotel staff helpful friendly . read reviews site say staff " cold " " rude " find far true . certainly one come run offer information everyone animate approach ask question . ask several time direction always clear detailed . ask twice recommendation restaurant . time take time question we back specific like / dislikes / etc . provide great recommendation . one staffer stop short ask we much look spend phrase question " hope wear restaurant tonight " get kick ! eat one quick meal hotel bar adequate food over - price . breakfast menu over - price well , ' even attempt eat . little café attach hotel quite good though quick sandwich , fruit smoothie , gourmet coffee . highly recommend . hotel fitness room also adequate . several machine free weight clean spread . every time use , alone nice ! would certainly stay ! 
 Jul 6 2004 	 great value 	 husband book 4 night Victoria Park Plaza Internet . little suspicious low rate thrill discover comfortable , clean quiet hotel room terrific location . room large ; king - sized bed quite comfortable . bathroom clean modern . staff helpful friendly . will definitely go back ! 
 Jul 5 2004 	 good 	 good location , fault ... expect , room modern stylish , especially bathroom clean spacious . expect quirk though . minibar lock expect bother ask front desk read attempt traveller . try boil water use in - room kettle find dirty . housekeeping not helpful helping change new one . housekeeping service not thorough enough . leave note housekeeping look certain area . bad last day concierge inform wrong airport terminal suppose depart . front - d staff not friendly Asians rather lay - back . 
 Jul 2 2004 	 certainly stay ! ! 	 husband stay late May - early June , 2004 please . choose headline say certainly stay ( opinion ) accurate way describe much enjoy stay think picky ! book hotel London TripAdvisor user kind promptly cancel reservation book VPP . glad ! first , fly Gatwick Airport take Gatwick Express Victoria Station . happy see close hotel station ... carry luggage , every time go day , take tube . Victoria Station 2 tube line , District Circle get around city , another tube line . slow day , take we 5 minute walk . location could well ! ( note lot good restaurant Victoria Station , ! ) next , hotel . concierge guy helpful friendly . know area even concern help we save $ $ $ -- want use internet service hotel 's business center ... send we block Victoria Station little internet cafe much economical . great way keep touch home 2 pound hour internet time . could keep mouth shut pay 8 pound 15 minute . employee help way , give thumb . finally , room . concerned ... read hotel review small London hotel room , bathroom ... problem ! plenty room we nice sized bathroom . always keep clean . room safe iron , well US ( country ' ) outlet . bed extremely comfortable . would even rank & quot ; Heavenly & quot ; bed Westin Sheraton . room also quiet face main street . could hear guest hall way , either . I speak food hotel ... go small store across street main entrance snack / drink eat restaurant around Victoria Station . London week , make sure buy weekly tube pass good deal . hotel walk distance Buckingham , Parliament , etc .... though bring good walking shoe , good way get around walk ! start , would certainly stay tell many friend collegue plan London trip stay . 
 Jul 1 2004 	 average 	 3 - night stay Victoria Park Plaza good , short great . room perfect size , despite expectation typically small & quot ; European & quot ; room . bathroom outstanding , complaint . location , previously mention , could not get well . annoyance make stay less spectacular -- noisy pub across street ( fault hotel mgmt , course ) rather & quot ; stiff & quot ; staff , personality - wise . suppose could chalk American expect british person chatty ... would nice see smile awhile . anyway , overall , good experience , definitely worth money ( find great rate Park Plaza website ) . 
 Jul 1 2004 	 Excellent hotel ! 	 stay 6 night recently find one good hotel ' ve stay UK . front staff nice helpful . room clean modern ( something hard find Europe ) frosted glass bathroom door , new furniture room safe handy passport , cash , airline ticket all . I read complaint previous review staff , pillow , towel , etc . , find problem . room 6th floor view London Eye Big Ben . be short distance Victoria Station perfect tour easy walk beautiful Hyde Park . this hotel great ! 
 Jul 1 2004 	 Great Location 	 stay hotel four night find good location . walk everywhere . room clean , comfortable nicely decorate , reception concierge friendly helpful . would definitely stay . great . 
 Jun 28 2004 	 Great Hotel ! ! 	 great hotel . stay twice visit Europe , week begin trip additional 2 day end . new hotel modern . choose standard room great . room large , clean modern facility . bathroom glass countertop speaker hear tv take shower . shower door little odd cover small portion shower , work fine . hotel great location , walk distance Victoria Tube / Bus / Train Station get anywhere want go . many restaurant , pub shop right area . also walk distance Buckingham Palace many attraction , ' like walk take bus / tube anywhere need . find little store across street go almost every day get water snack . nice view London Eye rest city hotel room . problem whole time would definitely stay ! 
 Jun 28 2004 	 Mixed Reviews 	 spend 5 night hotel late May / early June 2004 . first room lovely -- sleek , clean large comfortable bed . upon return night away , give room leave much desire ! carpet greasy look stain , something would never put home ! leave we bit depressed . staff cooperative , allow check early day return . give we key executive room make complaint regard early stay . meal , room service deliver one good salad ' ve ever eat . full breakfast restaurant , however , extremely overpriced . I would return , would specific need desire book -- ask see room accept . 
 Jun 27 2004 	 Great Hotel vacation ! 	 wife stay Victoria Park Plaza week ! everything perfect ! close tube , big room , clean good service ! let we check early ! ( 10 ) first time London happy get US sized room problem ! many business people stay still great vacation ! would stay ! 
 Jun 24 2004 	 work Well 	 business partner stay Victoria Park Plaza May find work well reason choose : 1 . location 2 . business service 3 . new & amp ; clean.1 . use Underground Heathrow Victoria Station , short walk hotel . station handy daily route Olympia , plus get we easily area cityaccess Gatwick Express also good.2 . U.S. plus outlet let we recharge cell phone ; safe , hairdryer iron help too3 . avoid mystery smell grime good thing . other comment : front desk staff busy friendly helped ask ; room small , good size city rate . lounge comfortable . decent food outlet nearby . 
 Jun 23 2004 	 can not fault place 	 return four night stay feel compel write express view VPP , excellent .... everything need , flower champagne have organise advance wife 's birthday , comfortable room first floor looing courtyard area , pleasant staff prompt room service etc , gym sauna steam room good well . wife love triple sized bed .... going buy one kid keep jump bed . location good getting . 
 Jun 23 2004 	 compare London hotel good .. 	 stay numerous hotel London hotel league vast majority . room clean , modern spacious , air - conditioning . Bathroom cool , glass sink unit good shower , one bath separate unit . tea / coffee facility room . breakfast impressive , far bad ! convenient Victoria bus / rail / tube . Marks Spencer Food outlet station open 11 night sell beer , wine etc far well price mini - bar . would definitely recommend use hotel . got excellent rate via lateroom . 
 Jun 23 2004 	 nice hotel 	 hotel great location mode transportation . like walk , within walk distance several popular site . room nice comfortable , restaurant great . ever get back London would stay hotel . 
 Jun 20 2004 	 Watch Victoria Park Plaza 	 first stay 4 star hotel bad . ask quiet room give room across street noisy Pub . Loud Music Euro 2004 football patron make bad night . room smell rotton egg bad . try change room lead nothing exasperate look staff . location good . minute Victoria Station , keep total loser . the full english Breakfast $ 17.50GBH disastor . loud rock roll music play ask could turn , , turn . fried egg done scramble water , amazed . little food buffet . coffee excellent . tell Manager unhappiness want argue mention early could custom breakfast make . spend next 3 day shropshire delightful B & amp ; b return one night Victoria Park Plaza ( prepaid ) , give beautiful upgrade room quiet courtyard , smell . breakfast , though worth price least edible . 
 Jun 14 2004 	 great stay London ! ! 	 stay London last week May wonderful , due part hotel . location great ; within walking distance Parliament , Buckingham Palace , popular attraction . hotel also close Victoria station , make extremely convenient catch train , bus metro . hotel contemporary , room sizeable . american electrical outlet room , come handy we . service bar leave much desire , breakfast really expensive offer , would still highly recommend hotel . ( one note ; really wash rag leave room , thank website , pack . would suggest idea other well . ) 
 Jun 10 2004 	 location great hotel average 	 book hotel British Airways base rave review . rather disappointed room not huge , though get room face street ask . smoking room fortunately could not smell smoke leave window open time . there quite lot dirty mark hallway carpet room , along sign neglect wear tear . sink slow drain take stopper . clothesline link put backwards need step bathtub pull latch ( maybe ' m short ) .The breakfast standard London continental service fruit leave long . I appreciate proximity Victoria station , eat place , Sainsbury grocery store internet cafe within five minute walk distance . 
 Jun 9 2004 	 Great Hotel ! 	 Great Hotel , Perfect Location , Spotless . wonderful time 
 Jun 5 2004 	 perfectly modern 	 Victoria Park Plaza Hotel pefect : -perfectly locate ( near Victoria train station tube ) -perfectly modern , beautiful every way , especially bathroom glass accent -perfectly helpful staff ( allow check 10:00 ! ) -perfectly quiet comfortable -perfectly price , consider much hotel London . 
 Jun 4 2004 	 unbeatable value heart London ! 	 book via website 79 pound night blow away . hotel remind time spend Tokyo everything modern sleek ( although sometimes practical user standpoint ) room clean , allow check early location spectacular central station tube line 3 minute walk door . one issue desk could answer question recieve VAT back & quot ; never & quot ; answer british European Union citizen . not waste money palate resturant . aside everything wonderful . 
 may 31 2004 	 good deal Europe 	 book hotel three night stay base review read trip - Advisor great deal ( book internet ) . truely nice hotel stay Europe ( pay $ 400 hotel one night Paris ) . clean , wonderfull bathroom comparable hotel room size U.S . nice see real ice machine afraid use . complaint room bed terribly soft , three week sleep hard bed , & quot ; almost & quot ; nice . breakfast hardy , make sure get include , otherwise 12 pound per person . take bus tube everywhere . would stay heartbeat . 
 May 31 2004 	 Fantastic London Hotel 	 mine boyfriend first trip England , great time . capital fantastic great history culture , plenty see . Victoria Park Plaza excellent choice hotel . great modern facility , wicked open plan lobby , reception , bar resturant - nice gym basement , sauna steam room . the front desk staff friendly helpful . tall handsome chap short dark hair ( sorry can not remember name ) keen ensure give great room week long stay , totally unphased fact two guy want share king size bed . the room clean spotless , great size fantastic bathroom big tub seperate shower cubical . nice toiletry soft towel . great maid service . we not get chance eat restuarant bar , cause decide eat every night , breakfast really tasty every morning . the downside book Park Plaza website not state tax inclusive ... find check - in , room price expect . perhaps something could think either make clear importantly include room price ! thank great stay . 
 may 28 2004 	 great hotel 	 recently travel London daughter . love hotel . bathroom shower sparkle clean room large enough . location great . pastry small deli attach great also . hotel bar wonderful day sightseeing relax read write postcard . lot channel tv . staff helpful friendly . would definately stay highly recommend . 
 May 28 2004 	 fantastic value Hotel 	 top value hotel central location . hiccup whatsoever . room spotless hotel seem brand new something rarity London . one tip - not get breakfast include instead go hotel entrance turn leave walk street excellent breakfast place . 
 May 20 2004 	 another happy guest 	 watch review 5 month pretty good idea expect . hotel truly convenient location ( walk many major attraction Tube less 2 block away . basic twin room ( executive extra ) , room large comfortable , bathroom modern sparkling clean . especially appreciate US electrical outlet ( although mirror nearby would convenient use curl iron . all basic available ( wall safe , iron / ironing board , hairdryer , tea & amp ; coffee ) ... much appreciate . we meet friendly efficient staff . suggestion would might give little information guest check : whether breakfast include ( know enough ask ) , mention existance health club downstairs , perhaps point key card require make light work ( obvious know , see people confuse first ) , etc . overall , would rate hotel highly would DEFINITELY stay . 
 May 20 2004 	 good travel bargain London ... Victoria Park Plaza 	 wonderful hotel experience ! friend book 7 day Victoria Park Plaza hotel . request smoking room adjacent connect 3rd floor east side building . may sound picky request base review trip advisor travel source . arrive hotel 2:00pm find que . , however . 4 bright young adult behind check - in counter person immediately help we young guy name Bailey . everything could find we two room criterion . become apparent could find we connect room upgrade we small suite extra charge ! ! apologetic connect room availabe seem quite concerned pleased large room separate floor . pay apporximately $ 150.00 US dollar per night reservation Park Plaza inexpensive high end property central London . less 85 pound per night yet find upgrade room . room .... good sized , wonderfully appoint , huge window OPENED , spotless every manner , amazing bathroom ever see . 6 ft tall , 220 pound man not able take bath tub since kid . tub Victoria Park Plaza HUGE ! buy Queen 's lavender bubble Bath Buckingham Palace shop enjoy soak Park Plaza 's tub . quite experience ! also separate shower black white tile bath . impressive . room also electronic safe good size , BBC CNN telly , nice sofas , big desk importantly , room huge , wonderfully comfy king size bed . room , 7th floor also benefit something one would expect London .... view ! room 748 face east , 2 story beneath line site opposite side street , beautiful victorian red brick stone building . shop ground floor apartment floor 1 - 4 . roof ornate grand dame 19th century chimney stack right Mary Poppins ! leave view see incredibly colorful tower Winchester Cathedral two block away . center view Westminster Cathedral , Big Ben , London Eye , centrral London . quite view ! 7 day stay exceptional . everything work room , restaurant good ( pricey , London ) hotel staff really helpful answer question , call cab , give direction generally 4 star hotel staff . hotel even enviromentally cut edge . insert key card special slot inside door go room . turn electricity room . also mean leave not worry turn light telly ..... leave room everthing turn automatically take key card leave . pretty neat ! go spend vacation London want great hotel Victoria Park Plaza beat ! Located Westminster , less one block Victoria station , train SE England . Victoria Line London 's great underground well . there 50 shop every stripe great umbrella roof Victoria train station . two London 's fabulous theatre within two block hotel numerous pub restaurant . finally , bus travel outside London Victoria Bus Station block south hotel . good time London Victoria Park Plaza ! 
 May 17 2004 	 huge modern bathroom 	 ample bedroom size especially huge bathroom major reason pick hotel . even time spend room sleep , will still treasure bumping wall every time turn around . 's plenty room open luggage work desk . ' ve pay stay London never comfortable business trip . short walk Victoria Station Gatwick Express major plus . staff helpful courteous . lot electrical outlet , include US EU plug . everything modern work ! look forward stay . 
 May 17 2004 	 Loved Victoria Park Plaza 	 return one week trip London ( May 6 - 13 ) choose Victoria Park Plaza base excellent review find site . love hotel ! take Gatwick Express train Gatwick airport Victoria Station walk block road luggage . room awesome ! upgrade executive room king - sized bed , couch coffee table , desk area , etc . bathroom wonderful large tub , big enough great soak long day site see . room always clean . ask extra towel maid put bathroom every day stay . continental breakfast basic - roll , cereal , fruit , juice , coffee , tea fine need . concierge always helpful even get taxi 5:00 a.m. we need get Waterloo Station get train Paris . say enough good thing hotel . great ( washcloth every day ! ) . 
 May 13 2004 	 washcloth ? 	 nice hotel , really business traveler . location okay , would much rather stay Kensington atmosphere well . pay superior room , get . nice size room king size bed , , washcloth reserve expensive room . actually tell inquire . huh ? 
 May 6 2004 	 Victoria Park Plaza Awesome ! ! 	 stay 4 night Victoria Park Plaza late April 2004 - everything wonderful . have warn room size London , room spacious bathroom fabulous ! location excellent - within 5 minute underground anywhere city . staff friendly room always clean promptly . nothing fond memory stay would recommend hotel ! thank Victoria Park Plaza . 
 May 4 2004 	 mostly pluse minus 	 book Victoria Park Plaza week April base primarily outstanding TripAdvisor review . experience , part , pleasant & amp ; positive , concern . location excellent , right Victoria Station - use Tube bus cover entire city week - long transit pass . problem early check - in , arrive noon Saturday Marathon - hotel & amp ; staff quite busy , unfailingly polite . initial room large & amp ; clean , second night , power go - , three time , last 10 pm ! whole building , one block room floor . initial reluctance , staff move we small room floor - bring new key , offer help luggage , compensation dislocation . include continental breakfast adequate , appealing , except fresh juice & amp ; fruit . upgrade full breakfast would cost additional 4 pound / person , almost $ 8 ea - hardly worth . often bring food nearby Marks & amp ; Spencer save money . enjoy daily tea & amp ; biscuit , make use iron board hairdryer . bed comfortable , find modern decor bit bland & amp ; bare . although hotel couple year old , noticed sign untende wear - and - tear : scruffy , stain carpet , bathroom door handle come hand , odor emanating partially clog sink drain . easily remedied , need attention . go back ? possibly yes , location anything else . 
 May 4 2004 	 Poo - poo naysayers- place great ! 	 stay two night week ago . hiccup begin ( slow check two twin bed instead queen ) , take care without problem . new room much well quite large . daily breakfast think over - price , can not comment . concierge extremely helpful ( cute blond guy ) give good suggestion tour . think time really shine check - out . mistaken flight take 1 hour five minute take ! ! even pack . check hotel , call put cab literally within four minute . bear mind taxi stand hotel quick professional . actually make flight pleased service . as side note , location great . central would like , safe tube 5 minute walk . street , be also Apollo Victoria Theatre Bombay Dreams show highly recommend see . safe travel ! 
 May 1 2004 	 Love ! ! ! ! ! ! 	 move Victoria Park Plaza Hotel horrible first night another shabby hostel neighbourhood , totally ruin first day London . Victoria Park Plaza Hotel come rescue ! super comfortable , can not believe big room ( standard ) , especially give 's London . impress we super - freindly highly - efficient receptionist -- thank much ! price also reasonable four - star hotel locate golden location : 3 minute walk Victoria tube station / train station ! pleasant stay Victoria Park Plaza Hotel . definitely come next time London ! HIGHLY RECOMMENDED TOURISTS whoever want make stay LONDON GLAMOUROUS ! ! ! 
 Apr 28 2004 	 two recent ( March 	 simply * great * deal money . rather & quot ; W & quot ; style crazy - affordable quality location . excellent , central location heart city step major Victoria Station . nice staff . problem . ' ve stay twice recently would seek room every time go London ! nice , clean , up - to - date , modern stylish decor ... everything functional , nothing break need attention . read reviews negative kinda ' sound silly . humble point view , thing remember travel : first , thing different different part world ( not reason go fist place ? otherwise , go Epcot ) . second , big , establish , destination - city like NY & amp ; London expensive . want five star , prepared pay . otherwise , place winner . : - ) 
 Apr 20 2004 	 good ' ve stay ! 	 book executive room , get upgrade appartment . absolutely gorgeous . helpfull staff really smile ( unlike London hotel ) . clean room ( ) modern decor quality fitting . perfect base London weekend - back soon . PS - restaurant food excellent staff attentive . thankl good stay . 
 Apr 16 2004 	 good internet connection 	 front desk staff little distant not go way overal average . work vacation require reliable internet connection . first day plug electrical adaptor smoke come . call front desk rush someone check voltage quickly whent nearby store give new adapter . Midway stay key accidently deactivate . also internet connection whent - send guy right up- determined entire hotel network fix problem . connection 12 pound per day , 150K / min , wireless reliable . room clean modern- ( limited tv channel ) 
 Apr 11 2004 	 Victoria Park Plaza great review ? 	 get back stay Victoria Park Plaza April 3rd 7th . choose hotel family four read great review TripAdvisor . really high hope . fly states night assure wife could arrive hotel around 11:30AM probably check early . read many time review . blond haired concierge read recent review inform we 2pm check time come back time . tour 3 hour get room . since first time Europe not know compare . room medium size , bathroom large . not understand design shower door way avoid small flood bathroom floor everytime someone take shower . hear much outside noise window beautiful view office building foot away ( could read computer screen ) . door key light switch strange conserve energy live . bed fair , side bed lean angle floor . continental breakfast include room , thank goodness , buy would $ 24 consist cereal , fruit , juice , bread sweet roll . hot breakfast extra , pass . concierge ok . mean not great , let help , cheerful type person would expect . ok , answer plainly whatever nerve ask . hotel contempoary design know fine , although artwork funky . front desk staff overly friendly , ok nice enough allow we late check 1:30pm . location positive . great location next Victoria Station train bus take anywhere . state first trip Europe althogh hotel experience bad ... average . ever return London , probably would stay . 
 Apr 8 2004 	 RudeRude Rude ! 	 husband get back 4 night stay Victoria Park Plaza boy lot say . read good review place excited go . upon arrival ( 11:00am ) allow check . front desk inform we check time 2:00pm come back later . night husband decide walk Victoria Station hyde park go . get back hotel 1:50pm rude front desk clerk ( Blond Hair Girl ) tell we lucky get room get . check time 2:00pm . get room hot . call someone come help fix tell air broke would prop window open . . noise outside loud night long . construction go 12:00 next day ask could get room change talk ryan manager , say would take care . say go enjoy day get back check front desk new room number . go come back around 4:00pm . front desk clerk ( Blond ) insist inform need room change rudely may add . tell already clear ryan room horrible . another clerk hear come help snippy chip shoulder Blond . take 9th floor another corner building . still loud decide nothing Hotel could . suggest little training customer service dept . also wr aware breakfast service we last day . could mention we . want say coffee shop call & quot ; Mix & quot ; incredible coffee pastry . nice service . front desk need major help . always rely trip advisor candid review hotel . honest say price could find much customer orientate facility London one . look anywhere find . 
 Apr 8 2004 	 enjoy stay Victoria Park Plaza 	 first trip England Victoria Park Plaza wonderful choice hotel first - timer . choose hotel research review tripadvisor . also stay two hotel stay compare room room exceed expectation . disappointed . we allow check early , apprx . 10:30 expect room two twin bed receive king - size bed extra charge ( get deal room $ 130 nite ) . room spacious even US term , prepare commonly small european hotel room describe many review . room smoky first opening window clear quickly , linger linen carpet . ( allergy , non - smoking option , preference check . ) room otherwise clean ; bathroom clean nice modern glass sink deep bathtub ; service friendly helpful altho seemingly understaffed . hotel modern contemporary , much like , extra facility fitness center , sauna / steam room nice . good location , literally step Victoria Station train bus access walk distance Buckingham . plenty life central London location eatery , internet cafe , theater nearby . disturb noise , room service first night meal delicious ( even little overpriced ) .There negative : towel ( still stain , washcloth , bring towel ) , tv ( option , 's watch tv , right ? ) , light ( powered leave room key slot door , be new , common part modern hotel ? powered , many option lighting ambient task lighting ) , phone ( local call charge room out - of - this - world rate ! well use payphone . ) negative really small detail ask , positive definitely outweigh . bed comfortable , room clean spacious location excellent ... would definitely stay . 
 Apr 8 2004 	 wonderful hotel ! 	 stay Victoria Park Plaza 3/22 - 24/04 stay next time visit London . first , ask large room upgrade ( free charge ) executive room . staff friendly , room large , plush clean hotel QUIET . hotel 5 minute walk Victoria train station catch Tube London . 's also short cab ride ( 14 pound ) main train station come outside London . great hotel & amp ; great value , especially check early enough website like hotel dot com . 
 Apr 7 2004 	 disappoint service- poor value money 	 disappointed . rude concierge . little concept customer service . â£140 executive room excessive . keep chase reception service . automatically give we exec lounge key check . read lounge would never know offer price pay . eastern european staff little friendly english concierge behave look like bouncer nightsclub stop customer revisit . felt go punch - aggressive manner . 
 Apr 6 2004 	 Modern Business Hotel Rough Edges 	 friend recently return seven - night stay Victoria Park Plaza Hotel . locate block bound Vauxhall Bridge Road , Wilton Road Gillingham St. , Park Plaza convenient Victoria RR station Victoria tube stop ( 2 block away ) Victoria Coach station . Buckingham Palace , Green Park , St. James 's Park , Whitehall Tate Britain within easy walk distance . ( take National Express coach Heathrow Terminal # 4 Victoira Park Plaza , would recommend anyone ! take taxi - tube negotiate escalator involve transfer line Heathrow . ) second - floor Executive Room overlook Gillingham stay . book package deal Expedia early November pay approx . $ 185 . night room . room resemble Holiday Inn Express term size layout . lighting room bit inadequate , storage fine week 's stay . two twin bed small comfortable ; linen clean attractive . bathroom nice - plenty hot water , nice sink area deep tub ( would difficult people get ! ) towel bit scarce , esp . washcloth . complimentary toiletry nice touch ! tv limited selection , screen large enough room . the breakfast bar fill nutritious . nightly wine beer service ok . health club nice clean ... esp . under - use steam room . the service hotel uneven occasionally lacking . staff seem bit inexperienced . temperature control also inadequate : heat still first part stay hotel warm . location noisy one , inconvenient open small window air . 
 Apr 5 2004 	 poor customer service follow complaint ever ! 	 attend conference hold Park Plaza & amp ; host Royal college general peactitioner . conference box paper & amp ; display material include valuable training pack & quot ; lost & quot ; hotel cloakroom staff . although staff concerend day seem effficient & amp ; courteous . many procedure comply check belonging cloakroom & amp ; assure thing would look . even require sign empty box ! witness banquetting manager bully staff course day . register complaint via internet & amp ; write manager . although recvceive several phone call simply re - iterate complanit several different people one ever contact sufficient response offer compensation . consider look hotel service lacking & amp ; would consider stay use client . 
 Apr 4 2004 	 good clean fun 	 mother , cousin , two friend come back 5 nights/6 day London use Victoria Park Plaza home away home . hotel well appoint clean . staff -- especially young concierge , Dan -- make trip especially nice . novice city armed copy & quot ; London Dummies & quot ; , rely staff 's recommendation never disappoint . visit London London offer -- highly recommend Victoria Park Plaza nonsense home base . 
 Apr 3 2004 	 class style value 	 stay late march 2 night - nice hotel - stylish furnishing / comfy bed / lovely bathroom / well locate / good price thro hotels.com 2 slight criticism - phone reception ask room make first night 3 pm forget rapidly attend courtesy call check - problem mini bar other - merely opening seem charge item automatically room reception rapidly sort - could thoroughly recommend victoria park plaza 
 Apr 2 2004 	 nice ..... 	 read review agree thing say . recently spend 8 day . nice place , location great believe service bit lack . impression hotel new staff . computer also upon arrival . room need repair , like curtain track hang curtain pull rod curtain . tell clean staff , inform job inform front desk . big deal guess , would think work Hotel well . item repair . ammenitie room ask bring , seem chore staff , bring , other never get . request thing loss . JB 's bar lobby seem difficult place get drink . waiter seldom come table go bar , seem interupte socializing . young folk Concierge desk tremendous help . answere question excellent recommendation . put negative thing grow pain get together first class Hotel want ( claim ) . 
 Mar 25 2004 	 Super weekend 	 ' ve return weekend London stay Victoria Park Plaza . lovely hotel , centrally situate - able walk virtually everywhere want . would definitely stay recommend friend stay Easter . we fill customer questionnaire make one two suggestion ( criticisim ! ) get home receive letter thank we take time enter we draw . first us - always fill questionnaire wherever go - never receive response . well do Victoria Park Plaza . 
 Mar 24 2004 	 Great Location Good Hotel 	 family four stay hotel nine night ... March 12th 21st . hotel choose part go - today package . hotel nice , modern decor . room nice size great bathroom . upgrade check executive level . 25 extra pound ( whole stay ) access executive lounge breakfast also early evening wine , beer snack . well worth money . executive card key give we access room 24 hour day . cappucino machine definately take advantage . hotel locate two block Victoria train underground station . several restaurant grocery store ( Sainsbury 's ) within couple block well . would definately stay . 
