nice 	 FS quite special basic room decide try something different trip Vegas . get rate $ 330 night include tax . fs far new favorite Vegas Mandarin open check . look place away gambling sound crowd , perfect place . basic room , room spacious quite large bathroom . bed extra comfy view mandalay pool area . fs pool area exceptional . pool staff walk around give fresh fruit , lemonade , sunglass clean evian spritz . great lunch poolside , highly recommend grill cheese sandwhich tomatoe soup . odd thing pool drink menu , waitress say , ask want will see make . would nice special drink least list basic drink menu . brunch restaurant bad $ 35 pp , especially hungover night want something close . spa gym facility excellent well . attendant gym handing towel , water , gatorade . hotel guest use steam room spa even spa treatment . service around usual fs polished treatment guest use matter FS stay . negative think end strip , attach mandalay bay kind hike get middle strip show dinner . not bother we want stay little away , might issue other . 
 simply good ! 	 return eight night stay Four Seasons . celebrate anniversary . could make well choice hotel . upgrade Premier View Strip Suite advance simply stunning - view , amenity acre space . celebration cake selection fresh fruit await we room first night thoughful much appreciated . thoughfulness seem sum hotel . staff need never intrusive - make feel safe outset . several time stay message leave answer machine on - duty manager check everything go well anything need . we eat Charlie Palmers , in - house steak restaurant one night . quite expensive - wine list particular eye - wateringly , although food good experience mar considerable extent noise come nearby table . expect quiet intimate dinner ... hotel 's fault disappointing nonetheless . although extreme south - end Strip free tram run Mandalay Bay Excalibur . get around easy . book see three show town problem travel . monorail frequent , fast way travel point interest . we buy item buying realise would able take back cabin luggage . expensive keen put aircraft hold . quick word concierge staff arrange in - house business department package post home UK - prefer UPS FedEx ask . marvellous ! stay couple rival hotel visit - Bellagio venetian name two neither come close Four Seasons . fancy treat go - will not regret . read reviews people complain noise McCarran Airport . room overlook airport noise not bother we - fact interesting sit huge floor ceiling window glass wine one hand watch world roll along . we will back ! 
 Dec 19 2005 	 Peaceful Stay Strip 	 choose Four Seasons want peaceful non - smokey place strip stay . , be get . service great . able check room early . problem jucuzzi not work heating problem . bad part employee work pool not know problem could not help . room not modern luxurious thought would . , seem soon go modernization . 
 Dec 10 2005 	 surprised service ... 	 return 3 day stay beautiful property . overall , impressed atmosphere ambience facility . however , expectation service room prior arrival meet disappointment . greet doorman pleasant seem eager assist , direct , answer question . next experience front desk begin become evident staff consistent ' ve experience Four Seasons , Ritz Carltons , etc . point , staff , comparison other note , seem aloof unattentive . pre - arrival request ignore unacknowledged remind . housekeeping call require follow - up garner response . awaken room service breakfast arrive 4 hour early . general , pleasant eager attention greeting define four Seasons exist . spa visit comfortable , relax quite enjoyable . massage Melinda superb professional . otherwise , complete spa experience 5 star caliber . private pool area beautifully appoint relax respite . especially consider lack crowd ( 3 hour absolute seclusion sun ) . must scare calendar weather perfect . Minimal staff , obviously present call upon . Charlie Palmer Steak House offer superior dining experience . doubt would visit restaurant again . I snob , demand critical guest . take much stride would easily stay . appreciate presence four Seasons destination largely lack elegance comfort . think bear state property display & quot ; Four Seasons & quot ; 's door provide consistent level service worthy name reputation . not think rate Four Seasons excellent . would allow room praise truly . 
 Dec 4 2005 	 Adam 	 people read ? four season great company noteIt serene enviro yes clearly notes & quot ; retreat kind within dynamic magnet international travel , four season Las Vegas oasis tranquillity refinement short distance world - class entertainment baccarat table . & quot ; also NOTE MAPOf course biasbut read quick fact states & quot ; Centrepiece exciting Mandalay Bay Resort & amp ; Casino , 60 - acre ( 24 - hectare ) resort entertainment development south end Las Vegas Strip & quot ; put special need e - mail go also look hotel . help not go blind fold . look everything webpage annoy people not read . as note web page . can one help George V New York FS . 
 Nov 21 2005 	 Average vs. FS 	 stay FS 11/16 - 11/20 celebrate boyfriend 's 30th b - day . front desk concierge staff polite distant ( type go way make guest feel warm fuzzy ) . however , service pool spa excellent . also , food Verandah delicious price reasonably ( $ 50 2 breakfast ) . breakfast every morning still think french toast truffle fries ( great pool side snack $ 5 ! ) . crowd bit old ( i.e . 40 ) glamourous . , hotel lack energy high end Vegas hotel . likely stay theHotel Wynn next time . 
 Nov 8 2005 	 relax escape 	 reason Las Vegas not relish sensory overload Strip , Four season perfect choice . lack casino make hotel peaceful island midst crowd . guestroom view Strip mountain rise desert beyond wonderful . private pool great place relax read , enjoy pamper provide pool attendant ( cucumber eye , orange slice refreshment , iced water , evian spritz face hot day ) . Verandah restaurant great place start day brunch weekend morning . good spa . facility , fitness pampering , superb . spa staff friendly helpful whole hotel . expect perfect Four Seasons service , hotel slightly disappointing . unlike Four Seasons , concierge top service flawless . room service cart leave hall day , constant parade staff plain sight . & quot ; seamless service & quot ; feel Four season top - notch hotel . despite , still great hotel R & amp ; r town overwhelming time . 
 Nov 1 2005 	 tranquility . 	 wife return week Las Vegas ( first ) thoroughly enjoy , least choose stay Four Seasons . enjoy facility impressive lively Mandalay Bay complex , Four Seasons provide welcome escape noise hubbub mainstream casino base resort hotel . four season public guest room exude luxury match consistently excellent standard service around clock . attribute truly five star hotel none disadvantage public thoroughfare blight luxury hotel Town . expensive , , nice ! 
 Oct 27 2005 	 disappointing - nothing special poor value blah room 	 clearly weak link Four Seasons chain . disappointment . the room totally standard , nothing special -- thehotel half price twice good term room , amenity , service , etc . I agree - long walk elevator lobby bummer . pool ok , calm nothing special . the bluecheese hamburger room service great . 
 Oct 24 2005 	 Peaceful Elegant Oasis 	 stay & quot ; four season & quot ; October 9th till 13th remain one wonderful memory LAS VEGAS . enjoy rush excitement city experience believe . 1st trip VEGAS , definitely last . upon arrive four season staff front door , checkin desk Concierge first rate . wait 1 hour room , provide we opportunity investigate instore we . the room lovely spacious grandstand view entire strip . view beautilful day spectacular night . the bathroom , bar facility , comfy bed bed linen make 4 night dream come true . room service informative , friendly precise . the Four Seasons pool area medium large friendly outstanding service staff walk around spray cool evian water , offer guest orange cucumber slice , cool ice water lemon cool towel . also delight refer name . main Mandalay Bay pool nice access . sandy beach pool area together wave machine pool . lot fun , even fun return privacy comfort private pool , excellent gym relax spa . hotel graciously design pay attention precise detail inlay marble floor , decadent flower arrangement elegant decor . the lift access Mandalay Bay Resort & amp ; Casino within easy reach main lobby , along monorail heading north . our disappointment : - HANDTOWEL rail BROKEN- faulty lock drink cabinet- a-1 SAUCE RESTAURANT , SERVED BOTTLE DISH- RECYCLE BINS ( COME PEOPLE ) , return Vegas likely stay friend Four Seasons . thank - you ! ! 
 Oct 19 2005 	 BEst Hotel Vegas 	 stay FS Las Vegas three night . simply great hotel . stay pretty much every 5 star hotel LV , four Seaosns great change . casino , quiet pool , great food , terrific room . upgrade Jr. Suite comfortable . room could use bit renovation understand plan soon . the service impeccable every respect pool concierge doorman . one night get stick Forum Shops , hotel car pick we charge . love ! ! find charge check e - mail business center bit unnecessary pay $ 475 / night . price , everything include . the treatment spa good facility bit small lack feature would expect hotel quality . small noticable flaw . stay . love pamper 
 Oct 9 2005 	 worth money ... 	 stay hotel 2 night , stay Bellagio four night want exp . four Season 's first time . room average , stay 35th floor view strip impressive night time seem & quot ; perk & quot ; mini bar stock usual beverage cold .. . remedy situation bring beer one shop Mandalay Bay get ice hotel ( three trip ice machine since ice bucket tiny ) store beer sink bathroom . I say nice hotel without casino pool right outside guest elevator price Four Seasons want everything exceptional . roomservice breakfast 8:00 , meal hotter . service friendly nice however ask 2 extra coffee packet could make coffee hotel room call twice wait hour coffee packet . please favor save money , hotel worth price . 
 Oct 4 2005 	 Heavenly Retreat among Glitz 	 husband stay Mandalay Bay Hotel ; disaster , find ask room Four Seasons want queit elegant place retreat enjoy glitzy part Las Vegas , i.e . show , trendy dinner , club casino . the Four Seasons never disappoint . room spectacular pool area food serve restaurant . staff go way make stay memorable . would highly recommend anyone want oasis desert . 
 Oct 3 2005 	 great expectation ? 	 really nice hotel , not familiar four Seasons hotel might whine . however , instance , usual exhorbitant price difficult justify . room , nice , much different typical mandalay room . private pool area rather small , quickly get crowded . upside , service remain impeccable , spa / gym wonderful . 
 Sep 30 2005 	 typical Las Vegas hotel 	 may comfortable trip Las Vegas . four season welcome oasis -- slot machine casino business way . staff friendly helpful . 
 Sep 25 2005 	 love little thing 	 first time stay four Seasons treat . staff accomodate . would say 's good thing hotel . arrive pool , someone wait help find seat get set cold water , menus anything else need . someone come around really hot day cold towel , orange slice eat cucumber slice put eye . never experience hotel ' ve stay . Charlie Palmer Steakhouse great . little dark food real good . not gamble even well choice seclude Mandalay Bay . play casino , be short walk elevator . room good .. nothing fancy comfy bed great maid service . get pay four season ! ! ! 
 Sep 20 2005 	 get ! 	 wife stay five day recently & quot ; get & quot ; . service always great ... staff personable genuine . can not say enough Mark Veranda Bar , Jackie Zalata Pool , Kevin good deep tissue massage spa . always great trip . 
 Sep 10 2005 	 Good Great 	 take wife long deserve break long weekend . work conceirge number time ticket , flower , etc . know exactly arrive . get , early expect , wait 3:30 room . go pool , temp 110 , service slow . room nice , strip view , move Manadaly Bay conference next week much well room 40 % price . lot room pool spa crowd sure worth price 
 Sep 4 2005 	 GO SERVICE ... 	 Four Seasons renowned service disappoint . in fact transfer Hotel 4 season one night . the concierge 4 season get we restaurant time want even though go stay day . way mandalay reservation people unable get reservation . however , say room disappointing , particularly come hotel room well appoint spacious . 4 Season 's room look like could use makeover not get one far elevator otherwise come late less coherent could prove adventure want . pool welcome Oasis sea calamity staff great . 
 Aug 29 2005 	 take four season 	 well , lot discussion Hotel Mandalay , Mandalay Bay Four Seasons . opinion , would choose Four season one interested location one caveat . one main interest hang pool would even consider anywhere else 4S . not care wall Hotel gold plate still subject zoo main mandalay pool . 4s space , service peace quiet . my complaint pool experience 4s bit quiet Vegas . play music pool critique regard . Vegas like festive atmosphere . ask G & amp ; R 1000 decibels- anything would liven place . great choiceBrian 
 Aug 29 2005 	 good 	 Vegas time count , stay many place , hand , four season good every way . service pool incredible , frozen towel , cold orange wedge , cucumber , pool side meal service . could not beleive actually eat shrimp caesar salad pool ! everyone friendly , staff guest . even email back forth guest meet pool ! concierge service wonderful . love pillow room much ask could purchase , India concierge desk , order we , send Four Seasons , New York property . upgrade partial strip view suite arrive . powder room marble entry , full size bathroom bedroom . one & quot ; complaint & quot ; shower tiny , little difficult shave . hair dryer provide room also small , call housekeeping bring full size dryer right use stay . not eat restaurant pur stay , order room service several time ( excellent well , food actually steam hot arrive ) . can not wait go back . oh , flower arrangement stunning ! ! ! ! ! 
 Aug 27 2005 	 Typical Four Seasons ....... ? 	 Four Seasons always service . well long come expect . great place stay get away Vegas Vegas . be quiet , non- casino entrance small relax pool . Verandah Restaurant adequate . $ 300.00 dinner two Charlie Palmer Steak , give service food , BARGAIN . fabulous . room , especially concidere competition Las Vegas Hotels , boring . Typical Four Seasons decor , disappointing Vegas . I keep think great get away Vegas hotel . world Las Vegas ! want four Seasons experience go Maui , lodge Koele Punta Mita Mexico . Vegas Parlour Suite Wynn , fountain view room Bellagio suite Venezia tower Venetian far well Las Vegas experience . 
 Aug 19 2005 	 relaxing 	 great time . one exception , staff superb . lalani front desk welcome great big smile . good time spend pool relax . Chaz Dan welcome wife open arm make we feel like one pool . thank guy ! ! ! treat serve Gordon Biersch beer . yummy ! ! ! love nachos chicken ceasar salad ! ! bed room comfy . spa great . thank Carlos fantastic job keep place invite . wow ! ! ! hotel car driver not friendly opinion . find tacky count tip front guest . shame ! never judge book 's cover . 's 101.thanks Four Seasons memorable 40th birthday ! ! ! ! back . 
 Aug 16 2005 	 still good 	 Four season sill good world come Vegas . hotel separate Mandalay Bay 's casino , easy access . pool nice peaceful staff accommodate , count 14 staff member work service maybe 70 people . pool food expensive , everything Four Seasons , not mind price quality . want use mandalay pool , need show room key . Veranda restaurant fine , review say service slow . case family breakfast everyday . complaint cigarette smoke travel door one bedroom suite . think non - smoking floor ! call housekeeping spray room hall air freshner . room furnishing little outdated . need redo room price charge . , Four season Hotel treat special vacation want ' m look . 
 Jul 25 2005 	 atrocious service Verandah cafe 	 Verandah , always enjoy good food excellent service . time . : ( start meal , waitress dump full glass tomato juice friend , completely soak jeans t - shirt . Juice also everythere - purse , little shirt , table . manager come yelled would like pay dry - clean bill - six buck ! dry - clean jean ? anyway , tell would necessary . specifically ask , expect manager least comp meal person soak . order soup , entree , entree free . also charge tomato juice . annoyance aplenty well . take 40min get another glass tomato juice , hour table clean . offer bread , butter , olive oil vinegar . husband ask cup coffee , 20min later ask . order dish side berry - ask , . couple waiter bump table throughout meal - almost send glass fly , quite ( waiter say sorry , though , nice ) . 
 Jul 24 2005 	 dishonest Internet Portrayal 	 Booked Four Seasons wife , look weekend getaway . internet site portray & quot ; non - gaming hotel , & quot ; & quot ; oasis away strip & quot ; & quot ; exclusive hotel . & quot ; unfortunately , right south strip . bad , check , walk long hallway , find enter Mandalay Bay elevator . four season Las Vegas simply top four floor Mandalay Bay , expensive room rate & quot ; exclusive pool . & quot ; dishonestly portray internet , worth money . could similar room half price stay two floor . fortunate stay many wonderful five star hotel around world . four season Las Vegas definitely one . really want stay , call first ask exactly hotel locate . 
 Jul 23 2005 	 Perfect Start Finish 	 one vacation year make count . book Strip View Suite Amex Platinum breakfast include one day lunch . arrive little 10 a.m. room ready . perfect room - room 36113 . view straight strip . room service impeccible . room service card write time food within 5 minute time . shower exceptional deep soaking . pool phenomenal . seat chair give pitcher ice water refresh hour . cold frozen towel amazing 117 . service impecciable . the spa amaze hot stone massage Tim . feel absolutely wonderful afterwards . full vanity use afterwards Paul Mitchell hair product . go take cab Forum Shops one night hotel car availabe chauferre charge . guy give we card tell we call ready pick . bed amazing . want take home . sleep like baby five night . fresh flower arrangement several place lobby hallway change twice . absolutely breathtaking . use door go hotel Manadalay Bay always nice come back coccoon Four Seasons . staff always friendly smile . hold door open walking . let tell air conditioning feel nice five foot away door . would stay minute . luxury well . love 100 x penthouse suite Bellagio . first choice next visit Vegas . 
 Jul 20 2005 	 Loved Four season 	 one place quality strip calm first rate service , great SPA , room service . get Oasis Package . 
 Jul 14 2005 	 High Roller ? care ? 	 recent stay Four season simplywonderful ! will not repeat everyone else issaye add three observation . first : review mention room needingupdate . seem happen , room hadnew carpeting , furniture bed seemedto new well . second : not count Mandalay Bay Pool ! loud , crowded , Ten say theywould towel couple hour . third : be Casino ! treat everybodyto excellent service , whether gambleor . 
 Jul 12 2005 	 oasis serenity strip 	 stay 2 underwhelme day TheHotel . switch 4 season know would get price - service , serenity , everything 5 Star Hotel offer . yes , Mandalay Bay Tower , yes , busy crazy Mandalay Bay property .. would never know . wonderful step away craziness peaceful atmosphere 4 season . walk private entrance private 4 season elevator door open forget Las Vegas ! ambiance wonderful , staff friendly , helpful , really make sure everything need enjoy yourself . the room typical 4 season , great bed comforter soft sheet , large bathroom , L'Occitane amenity . room could probably use update furnishing , nothing really complain . one good thing 4 season private pool . Mandalay Bay Pool standing room ( seriously ! ) , could spread relax uncrowded 4 season pool . pool service wonderful , fresh fruit evian spritz 's throughout day - always someone need . even spot celebrity 2.If want go Vegas , spend time casino shopping - enjoy quiet serenity end day , place go . 
 Jul 8 2005 	 Priceless 	 virtual oasis middle Vegas madness . room wonderfully quiet , service impeccable , spa heavenly pool peaceful . could get well . ( except perhaps long stay ... ) 
 Jun 28 2005 	 Loved Four Seasons Las Vegas 	 wow ! great place stay Las Vegas . be like oasis middle strip . definitely place stay want non - gaming hotel awesome service , quiet , comfortable room fantastic atmosphere . we travel 18 month old son staff could not accomodate . give cute stuff animal checked greet big cookie milk room ! room also ready crib , swim diaper , lotion , baby bath gel . use nanny service not cheap , also top notch . the food Verandah Restaurant excellent . especially enjoy sunday brunch - really wonderful . the pool area quiet relaxed want big fun walk side gate direct access Mandalay Bay wave pool beach . this hotel fantastic . give 5 star every category . 
 Jun 22 2005 	 Best Hotel Vegas 	 Love Four Seasons Las Vegas . the strip view room probably good Vegas offer . the lobby pleasant beautiful flower arrangement , 's top ..... benefit hotel full tourist check thing out . it easy access Mandalay 's casino , club , restaurant ..... fs room occupy top 5 floor Mandalay 's tower .... totally seperate lobby / restaurant / pool / spa / elevator . the Four Seasons pool FS guest , nice be share 2000 guest . fs guest also access Mandalay 's wave pool lazy river . the weekend breakfast buffet great . I dog , treat like prince . for one familiar Four Seasons service , will not disappoint . fact , think service appreciate hotel provide perfect respite hectic spot strip . 
 Jun 1 2005 	 Loved Four Seasons 	 husband , 15 year old daughter , get back Memorial Day weekend getaway Las Vegas . four season perfect we . quiet - casino ! room beautiful strip view . , first night , call complain scream baby next room , staff cordial move we well room . pool great staff attentive . love evian water orange slice ! Sunday night eat Envy Renaissance Hotel ( , way , look like really cool place stay ) . one , good , steak have ever ! special french fry ( Truffle Fries ) amazing ! Service , , great . overall really fun Vegas experience ! 
 May 21 2005 	 best time life ! 	 day busy year , decide book Vegas . stay Four Seasons ' m happy actually take advice friend . great view strip ... light night definitely site see . exquisite service , friendly people , beautiful comfy room ... list go . hotel 's concierge helpful night life scene , although hard could find wild crazy time Vegas ? workout room great , much equipment choose . definitely keep shape , short time . on time , swedish in - room massage four layer facial . imagine make one phone call comfort good life come ! can not beat that . also , Verandah restaurant treat . tasty food , well prepared , prompt courteous service . the next time ' m Vegas , 's place stay . try .... be definitely something not want miss ! 
 may 18 2005 	 Classy elegant - spoil stay anywhere else 	 first trip Las Vegas stay Four Seasons . outstanding service exceptionally friendly staff -- concierge work miracle . able obtain front row center seat sell Cirque du Soleil production & quot ; & quot ; Bellagio . also book we helicopter Grand Canyon tour . enjoy hotel limo service many time . room 39th floor fantastic strip view . room service came exactly say would . pool service great . exciting stay exciting city . highly recommend Four season Hotel . 
 May 4 2005 	 ahh ! oasis Las Vegas 	 four season oasis LAS VEGAS . room nicely furnish service excellent . always like spritz evian pool . four season HOTEL , happen Las Vegas Las Vegas Hotel call four season . everything nice stupendous . want go Vegas occasionally go sleep midnight still enjoy excitement , place . Mandalay Bay door away , enjoy everything leisure . travel 2 child treat excellently . wife hate gamble , could still get couple hour blackjack crap everyone go bed . 
 Apr 23 2005 	 Four Seasons - Good Choice we 	 stay @ four season three night begin 4/19/05 . awesome service , great room overlook strip . staff attentive . quite easy move Mandalay Bay pool Four Seasons pool . service @ four Seasons pool superior , tho ! definitely pretty far strip ... use monorail Mandalay Bay / Luxor / Excalibur every time cut walk . Shark Reef well maintain attraction first think . definitely worth $ would stay Four season Hotel heartbeat ! 
 Apr 7 2005 	 Casino Sight ! 	 overly fond Las Vegas , occasion visit , last Friday night . drive Aspen Co. Los Angeles , realize not stamina make straight , start call road hotel Las Vegas . speak polite fellow Four Seasons availability find two room free , one $ 500 plus $ 450 , negotiate get price $ 375 ( already 9 pm ) hour later pull valet station ( Four Seasons locate Mandalay Bay tower seperate entrance ) proceed beautiful elegant lobby . check , mindful casino spite fact hotel LV , room beautiful sheet italian 2000 thread count bathroom spacious . stay TheHotel , also part Mandalay Bay , nice hotel , preferred old world charm Four Seasons . 's Las Vegas without & quot ; Vegas & quot ; clang clang slot machine . restaurant MandalayBay chic find food good . stay Four Seasons , Cirus Cirus day behind . 
 Mar 31 2005 	 classy oasis 	 get away crowd kitsch . located end strip top floor ( 35 - 41 ) Mandalay Bay hotel , entrance / lobby . beautiful hotel ; everything top notch . 
 Mar 19 2005 	 New Years Eve 	 stay Four season 12 - 29 thru 1 - 1 - 05 . specifically choose hotel design ( Elegant & amp ; quiet lobby , Private Hotel entry area , etc . did'nt want typical vegas hotel set - up ) check take less 3 minute . room great . view Strip great 38th Floor . wife & amp ; feel like guest hotel . love go elevator thru private entrance casino area . reservation Charlie Palmers New Years Eve . staff professional . seat immediately . food excellent . highly recommend hotel & amp ; restaurant anyone seek combination private , elegant surrounding one comfortable casino Vegas . 
 Mar 7 2005 	 Top Notch Hotel Vegas 	 stay 3 night ( Feb 28 - mar 3 ) . far one good hotel ever stay . assumption Four Seasons separate hotel Mandalay Bay THEhotel . four season occupy top 5 floor Mandalay Bay ........ incredible view even face Bali Hai golf course . several good thing hotel : 1 ) spa / fitness facility , 2 ) pool area ........ absolutely huge since share Mandalay Bay , 3 ) easy access Mandalay Bay gambling / bar / etc . all would stay heart beat ............ since company trip probably will not happen . stay Mandalay Bay though . wife visit every major casino / hotel strip love Mandalay Bay rest ............. especially House Blues , Red Square , Rum Jungle ! 
 Mar 2 2005 	 great Choice Great City . 	 stay four night truly enjoy experience . wife travel 5 7 year old often 's nice hotel treat kid special way . front desk greet rather sterile rest staff friendly accomodating . Las Vegas 10 time easily good stay . great add benefit access Mandalay Bay pool area , large resort pool complex ever see . breakfast onsite fine food service pool great . fortunate bad experience top hotel stay year . tip realistic assertive . hotel go less stellar room either pay nice room put foot request nicer room . request strip view room ( great night ) . believe top choice kid travel . highly recomend . 
 Feb 25 2005 	 ok stay away Charlie Plamers Steakhouse 	 stay quick get away , hotel inconvenient get Mandalay Bay . plan drive , well prepared pay parking per day . & quot ; every parking garage Vegas free & quot ; hotel staff nice . place smell like funeral home flower . think bit overkill . Charlie Plamer Steakhouse . joke . extremely expensive worth . town get gourmet anything top quality . live try new place quite often . service bad food . quality 4.99 special use get old Horseshoe . actually sit half hour finally get get menu . sit hour past reservation time . express concern offer buy dessert . except , waiter bring we something without we even get look dessert menu . problem chocolate ? probably dessert not move night ! upon check - out let know front desk . hear proceed charge lame meal . upon thi investigation , guess think complaint not warrant . meal include dessert suppose give appear credit card apology . say perhaps catch night ! much well choice town . Charlie try restuarant sometime . might shock what s go ! 
 Feb 1 2005 	 like two season .. 	 would think stay four season , especially place like Vegas , would elegant experience ... like stay two Seasons . stay Vegas New Years eve / day 2004 - 05 disappointed facility . know fiancee stay double occupancy room , give we one bathrobe , towel old tissue / makeup leave previous guest , question room even clean . next day , leave shoe shine ( nice gesture ) unpleasantly surprised find deliver someone else 's room ( ' m picture 6 ft tall gentleman wear size 5 max azria heel . ) final day , clean crew leave 3 pm rush clean room 230 sick bed flu trip . bang door let know ready room clean , call front desk call we let ..... unprofessional . stay resort consider wedding site ... not think want funeral hold . 
 Jan 25 2005 	 would not stay anywhere else 	 go twice year Las Vegas . will not stay anywhere four Seasons . husband wheel chair everything meet need husband . husband motorise chair waiting arrival . pool small restful . meet lovely people pool staff could attentive . love hotel car rental bottle cold water car wait . ' ve stay hotel Vegas none compare four Seasons . action casino stone throw away . elevator Mandalay Bay , find little door . lol . back June can not wait . 
 Jan 6 2005 	 ok could well 	 go there - four adult infant , get two room . upon check - in , give front desk employee box chocolate from - Hawaii say thank , follow , oh many Hawaii people always bring we . one time want take something back thankful . call hotel day check let know daughter , age name thing would ready send plate cookie , include & amp ; Ms , name chocolate , cute marzipan dog . cute . nothing else like mention would . leave note housekeeper upon return put cute bathtub faucet protector also crayon color book daughter . go kid , double check amentie child come hotel . we room next cry baby far way elevator . infant , good thing since alot thing carry . the nice thing able use Mandalay Bay pool well four Seasons Pool . 
 Jan 3 2005 	 could never stay anywhere else Vegas 	 spend 3 night Four Seasons ( Dec. 6 - 9 ) , love ! thank tripadvisor user , cancel Mandalay Bay reservation splurge four season 5th anniversary . make trip , first 5 - star review ever , Tripadvisor . service outstanding . arrive , assistant manager come greet we personally ( have answer question would email hotel ) ! tell we upgrade suite overlook strip ( even though have book moderate room ) , honour anniversary , send card cake room . wow ! , everyone encounter treat we like truly special guest kind service ' ve never see . bartender serve we great drink make sure never go minute without snack . second visit bar get we even attention . several staff wait we serve we drink snack ! water snack refill even chance notice get low . housekeeping impeccable . ' m picky , everything perfectly clean , perfectly tidy , always time . call ask Woolite , bring 1 packet ask , 6 7 . bed comfortable , water pressure good humidifier room keep thing get dry ( desert air ) .Despite cool air week town , heat pool open , pool attendant stand ( parka ) ensure guest look . chat we seem genuinely friendly . bring glass water us pool . pool nice warm , hot tub good hot . we eat breakfast restaurant 3x . everything order delicious , beautifully present . one bad berry bowl berry , tea make perfectly , coffee delicious . check , valet wonderfully friendly , offer we bottle water drive . addition , one main reason stay experience quiet ( hear ring slot machine throughout Vegas , know good somewhere can not hear ) , restful place relax lay head . hotel walk , thankful return & quot ; home & quot ; oasis Four Seasons . I would like go back Vegas , stay . 
 Jan 3 2005 	 need update 	 room probably state - of - the - art hotel build , room new hotel ( Hotel Mandalay , Ritz Carlton ) far surpass room Four Seasons . stay Four Seasons first open remember impressed . , room seem small date . think hotel could benefit renovation ( e.g. , Four Seasons room VCR 's ; hotel DVD player / plasma tv / fax machine ) . plus -- service food Verandah top - notch ( ice cube ice tea make iced tea ! ) ; love fresh floral arrangement ; excellent location . , think management would benefit visit competitor ( e.g. , turndown service lack compare Ritz -- breakfast menu miss ; music play cd radio ; chocolate ) . price , 's quality furnishing small thing matter ( e.g. , add CD / dvd library room ? put bottled water car drive home ? ) . hope Four Seasons improve soon -- look forward see outdo competition . , , would stay Hotel Mandalay Ritz Club Level . 
 Dec 2 2004 	 Delightful Upgrade 	 wonderful time Four Seasons Las Vegas . last trip upgrade huge two bath , strip view suite spacious seperate bedroom . the Verandah Bar Restaurant quite nice . justice , bartender good ; even remember standard drink month . upon return home Las Vegas , recieve complementary night upcoming trip Four Seasons Mexico City . four season good , highly recommend . 
 Nov 30 2004 	 horrible experience 	 April 2004 stay , notice several large moth room spend considerable time track fold newspaper . morning , make mistake stepping air vent bottom floor ceiling window . room instantly fill fifteen twenty huge moth , ugh . checkout , force talk manager get resolution problem . finally give $ 100 . discount room , free breakfast , quarantee upgrade future visit . needless say will not make future visit . aside moth , room okay great . original oil painting wall remind paint number set . private pool area pleasant 
 Nov 16 2004 	 get away Casino Noise 	 Four Seasons great hotel not like noise crowd hotel casino . want casino hotel , Four season still place - take elevator Mandalay Bay casino . since four season separate entrance mandalay , quiet respit casino . though standard room seem somewhat small Four Seasons , amenity service excellent . L'Occitane de Provence bathroom product bonus , include lavender linen spray need iron ! one note Four Seasons Spa : use spa Mandalay Bay instead , facility much well . it chilly use pool , look nice . guest may also use huge pool facility mandalay , mandalay guest may use four Seasons pool . Verandah restaurant excellent . although hotel end Strip , tram go Mandalay Bay Luxor Excalibur . still walk hotel Excalibur tram station , get bit close . 
 Oct 31 2004 	 oasis sure 	 spend six night October $ 240 night . within past year ' ve ( wife ) also stay Mandalay Bay , Rio , Venetian . pool service great describe elsewhere . complaint air whine noise seem get loud morning service elevator start get workout . ( room end hallway . ) return . sure ask entrance Foundation room possible star sighting ( Clint Eastwood , trip ) wonderful view strip . 
 oct 9 2004 	 wow ! 	 husband spend 10th wedding anniversary August LOVED . room excellent ( especially bathroom soaker tub ) service make real difference . everyone front desk staff food service pool exceptional . 
 Sep 10 2004 	 Quiet Oasis Class 	 really enjoy first time Las vegas stay Four Seasons . loved combination quiet away hustle bustle Mandalay Bay Casino / Pools enjoy usage amentie . dtr , age 11 enjoy wave pool lazy river ride . staff accommodate go way please . upgrade room 39th floor ( Top Floor ) full view strip . booked stay American Express Platinum Travel Services include breakfast daily 2 bonus amenity . would stay . 
 Sep 7 2004 	 Sanctuary Sin City 	 nothing like four season incredible vacation . love service deliver cool towel , orange slice cucumber poolside . everything need relax long Vegas night ! 
 Sep 4 2004 	 great Stay 	 wonderful stay . use Southwest Airlines Vacation Package . offer great package . stayed 38th floor Awesome view strip . Great Room ! Room include everything need , want & quot ; hang & quot ; room . even include disposable & quot ; digital & quot ; camera . staff polite . make return visit . food great . order room service ( breakfast ) think first time ( room service meal ) meal actually hot ! entire experience GREAT ! ! ! ! ! ! ! excellent adult ! ! ! ! child around . 
