far 	 great fortune stay Intercontinental Park Lane Hotel , London , last 2 day . Medical Conference , stay hotel ( well cost conference ) pay Abbott Pharmaceuticals ( ' thank ' help produce drug protocol ) . Conference hold ExCel ; 10 stop DLR another 5 underground - leave Conference grumbling distance travel get hotel ! well .... would travel twice distance hotel ! arrive Reception 7 pm , horrible queue check - in , meet smile face lady book . make absolutely reference fact give luxury suite - simply give room ( suite ) key , informed 1st floor ask require anyone carry bag . decline offer carrier ( bag not posh , not want embarrassed ! ) take lift . say , wonder door say ' spa Intercontinental ' get , exhausted throw body door . open door expect see exactly one find every hotel - bed close door , tray near door kettle , trouser press etc . .. oh . actually greet open door opulence ! ! shine black tile floor , gleam wooden door . put light , still sure look , see door front , assume door leave bedspace - , ... ! stunning walk - in wardrobe , bar - area prior ! loo large standard downstairs toilet - area 1st close door . .... open heavy double - door face , find ENORMOUS bedroom , beautiful bed , curve sofa one end , chaisse - longue . Glass finishing everywhere , , think have see , another door huge bathroom illuminate Spa , wet room rainforest shower another loo ! view window ParkLane Picadilly Hyde Park ( splendid German Xmas Market ! ) one main reason write review stay lot place lifetime ; ' ve stun 5 - star hotel SWitzerland skiing , across Europe , Americas wide world . hotel profess probably aspire , none quite deliver , opinion , profess . intercontinental seem play description ! know not expect opulent stay ( 3 - day conference work ! ) expectation fairly low ; however , since ' ve return home find description Spa suite website ! room , incidentally , 106 . really lucky , believe Pharm Co over - subscribe , therefore upgrade . however , seem wonderful staff take enormous pride ensure stay match luxury stay thereafter ! not grumpy face amongst ! lovely lady offer ' turn ' , cheerful Kimberley sort extra night - ( ! ) yes , stay hotel staff see remain ! HUGELY impress night security man , John . unfortunate temporary ' loss ' handbag bar one evening like shot , despite incident hotel . scrutinise CCTV find bag ; remember perfect gentleman ( tell ex - military ; - however think impeccable manner credit personality , rather military background , well hotel ) oh , way , bag mislay - course ! finally , We d 25th Nov , beautifully relax illuminated Jacuzzi bathroom , come ever - so - reluctant check , could believe lovely lady behind desk ( wish have get name - think French ) offer help carry bag outside , also insist leave post come outside walk end road could show Tube Station ! never care attention yet , say , stay high quality hotel life , generally ski leisure . I highly impress wonderful place would give eye - tooth return one day . however , sadly , not think would ever able stay Spa Suite , room 106 ! memory ! thank Intercontinental Park Lane unmatchable hospitality . would love could put picture 106 site , , great staff , really proud ! kind regardslouanne mccabewinchesterhampshireuk 
 Aug 24 2007 	 Good Central London Hotel 	 wife stay Interconti recently overnight stop Capital . I say saw experience absolutely nothing would prevent book hotel . room ( Inner Courtyard ) well equip , quiet comfortable . bar facility good , service prompt , accurate curteous . unfortunately do not get try restaurant Spa facility , time we . overall though , thoroughly reccomende would not hesitate book . 
 Aug 7 2007 	 Disappointing ! 	 take piccadily Line Terminal 1 Hyde Park Corner 33 minute impressive timing feat likely happen ! minute walk tube station one argue excellent location hotel . near Oxford Street , Knightsbridge , Hyde Park , piccadily Circus Mayfair . the entrance hotel welcoming . moment one pass door one encounter three step go reception . practical one 's luggage . the lobby quite small ( one work one ) fairly plain . as room ready yet proceed Cook Book café spot lunch . lunch buffet style option go market buffet kind salad option addition like , buffalo mozzarella , grill aubergine . one also opt hot dish prepared show kitchen . dessert also present buffet style pecan pie pud scrumptious . service excellent , helpful accommodating . yes price London 5 * price hey be go . receptionist show 15 minute key card two hour lunch go second floor notice right away build ( new room ) go on . having reserve executive room disappointed moment open door . certainly broom closet . top Ambassadors get studio suite . Reception inform downgrade ( mention check ) immediately ask Duty manager . DM person check we apologize & quot ; mistake & quot ; ( try really . complain get away ) promise move we next day one bed suite nothing availableonce get back companion tell person ( recognisable IC staff ) enter room quickly retreat . odd secure feeling . contact DM Security Officer would key lock reading . figure builder make mistake enter wrong room . we also notice sound system account room . call DM say engineer would come install Bose Wave clock radio / cd player . oh dear one stay ...... engineer room several time meanwhile also notice clean room : desk chair still ( builder ) white dust , floor cover white thread , tile cover white residue , piece plastic still bathroom floor . DM time .. assistant Executive Housekeeper show agree state room . admit room come online hour ago . we certainly feed convey time get move . within 10 minute Front Office Manager call say guest ' unexpectedly & quot ; check 1 bed suite could move . we not shed tear leave Classic English chintzy broom closet hardly storage space . reception say Exec find hard believe . Suite 762 much well obviously . living room couch , coffee table , dining table chair , desk flat screen tv . the bedroom also equip flat screen Bose Wave . cupboard awkward space hang space tight enough drawer . bathroom bath tub quick fill water supply ( although work much quick Amstel IC ) smallish walk shower ( comparison german IC 's ) Balcony face four season . the style room mish mash contemporary classic . designer must bender night before . to make amend also receive nice bottle Chablis hour treatment Spa . breakfast fine sumptuous ic 's pleasant . staff excellent happy opt inclusive rate buy brekkie separately £ 29 per person . as IC spa run Elemis severely miss sauna , steam room pool . work room equip Techno Gym equipment . Club Lounge ( whop £ 94 ) worth . ok 4 kind champagne food presentation meagre . encounter small problem : request newspaper deliver , external call connect show check system , printer business centre working , receptionist help chew food , grubby bathrobe Spa loo paper Spa toilet . when check error bill course . I would need quite lot convincing stay hotel . must unlucky . 
 Aug 5 2007 	 great view 	 hotel well locate staff pleasant deal . concierge personnel particularly helpful . King Executive room comfortable wonderful view Apsley House Hyde Park . could big London United States . hot air conditioning unit efficient ever experience Europe . we stay London two weekend night begin August book breakfast inclusive package smoking Executive King Room intercontinental.com website . website indicate we , although later find differently read throughly print detail , everything confirm . as Ambassador Priority Club member one benefit room upgrade hotel group . disappointingly , first time Intercontinental , hotel unable honour tell hotel full . instead give small reduction book room rate . understandable , surprised get room request ashtray record request room designate non - smoking . hotel full impossible move we anything well small room wonderful ( sic ) inner courtyard view . stay short decide remain occasionally smoke outside front hotel entrance thank recent nanny state UK legislation . intercontinental responsibility ensure provide accomodation request customer 's website profile clearly show booking confirm . find Hilton well ! inclusive buffet breakfast good great service cook order breakfast bar . wife say good ice - coffee serve Europe . debatable though would prepared pay £ 50 plus service two include rate . overall enjoyable stay . hotel close West end tourist site , Harrods , Kensington , Oxford Street . wonderful base exploring . just make sure special request agree arrival book inclusive breakfast rate .. 
 Jun 21 2007 	 lovely hotel 	 really 5 star hotel deeply enjoy . great location walk distance many attraction point London , truly welcome staff , nice clean room good food . 
 Jun 18 2007 	 Loved hotel ! 	 know great hotel beforehand , would stay entire stay London instead change hotel . great service & amp ; great room . 
 Jun 13 2007 	 much well previous IC London ! 	 wife stay one night June ' 07 . one Bedroom Suite eighth floor whilst not large suite around , certainly well fit . lounge work area desk chair , sofa easy chair B & amp ; tv . bedroom also another B & amp ; TV Bose Wave Radio / CD . bathroom nice size separate shower bathtub . bedroom Lounge terrific view Hyde Park . room service breakfast fine . everything cook request present usual ic high standard . have drink Lobby Lounge service quality good . the hotel much modern feel refurbish . main entrance much grand . make great base whilst London . 
 Jun 4 2007 	 beautiful hotel superb service 	 ' m sure reviewer say ignore comment make refurb correct ... stay weekend ( 2/3 Jun ) hotel exceptional . Mayfair Room spacious B & amp ; flat screen tv Bose sound system , bed sooooo comfortable pillow amazing . bathroom quite small beautifully decorate equip - big bath massive shower head like stand waterfall : ) staff extremely polite attentive , anticipate every need . complimentary fruit drink lovely touch first night ( PriorityClub Ambassador ) feel like value guest even large hotel . the location also spot , right outside Hyde Park Corner tube station plenty bus pass right outside 's prefer method transport . would hesitate one second book fabulous stay . well do Intercontinental ! 
 Jun 3 2007 	 superb hotel 	 stay one night - think hotel superb . staff friendly attentive - room spotless ; benefit platinum status Priority Club honour . highly recommend , one small exception - breakfast expensive , plenty place nearby fulfill early morning eat ! 
 May 28 2007 	 MIxed review 	 staff friendly helpful especially lobby food area room quite spacious . may 2007 stay Intercontinenal London Jr. suite air circulation system bedroom wokre . maitainance man arrive , tool belt full , spend 10 minute inspect system telling would send someone else check . one arrive late left till next more speak front desk problem . say would & quot ; Taken care & quot ; three night breath air emerge vent . contact kind make check tell front desk system work , thank info . record previous contact . finally , spite advertisement , beware italian restaurant hotel . empty Friday night 10:00 , enough say . 
 May 2 2007 	 amazing renovated hotel 	 stay newly renovate Intercontinental Park Lane recently London . review Trip Advisor reflect quality hotel , review post prior renovation . fabulous hotel convenient location . bus past hotel place want see . able walk Buckingham Palace see change guard . centrally locate short taxi ride tourist location want go . hotel beautifully appoint , bed comfortable . eat hotel expensive . locate safe walk even night . fabulous choice we . 
 Apr 11 2007 	 disappointing 	 delighted excellent experience many intercontinental hotel worldwide , include creme de la creme hotel Paris , Amsterdam Hong Kong possess significant wow factor , look forward re - opening Intercontinental London follow major refurbishment . thing turn , stay leave we disappointed . first impression vital walk life hotel fail make initial impact we whatsoever . nothing obviously do exterior – unimpose example 1960 - 70 concrete glass architecture - inside similarly underwhelming term plain appropriate description public area . lobby area relatively small class , plain design lack ambience complete absence display splendour normally associate hotel sector market . make appear much low league Intercontinental Hotels ' stay , despite among dearest , something surprise we expect London one group ' flagship . bedroom attractive enough quality furnishing fitting include upscale sound system LCD TV without shortcoming . executive room come excellent view Aspley House Hyde Park ' particularly big one side bed close wardrobe make bit squeeze hang thing get bed . single easy chair mean , two us room , take turn sit comfort – want hard day tramp around town ! ! ! also desk small compare executive room ' make easy we work pile paper ' bring we . finally bathroom small plain - look bit luxury perform ablution . mention points receptionist checking , suggest book junior suite future stay . fair point , perhaps , hand would reasonable expectation room cost UK£300 per night sufficient standard comfortably work relax . quality food dinner Theo Randall ' excellent would expect – calamari good ' ever taste - like lobby area , décor fairly plain perhaps ideal enjoy dine lavish surrounding . first arrive 7.30 , high staff diner ratio mean glass top least half dozen different server first 15 minute restaurant fill become less attentive though service level remain excellent . breakfast serve Cookbook Cafe plainly furnish like public area hotel make like burger bar appearance . table service limit variety end wait 30 minute serve . price – memory think £ 25 – small size portion , must bad value town , together unprofessional service make bad start day we . understand move towards buffet style breakfast near future hopefully bring improvement . good thing London Intercontinental location . situate directly opposite two Royal Parks junction Park Lane Piccadilly , prime real estate within easy reach attraction Mayfair , West end , Knightsbridge Kensington tube bus stop nearby want walk catch cab . , however , stay far well hotel central London price range less advice anyone value decent sized bedroom bathroom opulent surrounding check hotel make booking . 
 Mar 28 2007 	 nearly Perfect 	 stay Royal Park Room 3 night . pro : flat screen tv , marble bathroom rain shower , unbelievable view Duke Wellington 's house & amp ; Hyde Park , well appoint furnishing comfortable bed . negative : room small side service necessarily exceptional . overall highly recommend hotel anyone make visit London . Dorchester , still way place like Hilton Sheraton Park Lane . 
 Mar 25 2007 	 Top Class service even though be quite finished ! 	 book two night Royal Park Exec room arrival 1430 room type unavailable . offer hold room 8th floor quite pleasant bit small side advise would contact room ready wait 4 hour decide stay put move next day . hotel yet 's full room inventory seem constantly juggle thing . we use & quot ; Inner Court & quot ; & quot ; Royal Park Executive & quot ; room two night stay find extremely comfortable bed amenity B & amp ; TV BOSE wave radio / cd . exec room large armoir marble floor entrance area . bathroom contain Elemis toiletry exec room hard large & quot ; rain & quot ; shower bath rather separate cubicle . breakfast include rate take & quot ; Cookbook & quot ; Cafe one morning room service next . well present offer high quality item ( egg cook order cafe ) although not think would stomach pay £ 67 room service breakfast ( 2 ) include . the public area hotel well appoint lot nice flower . bar area offer sudue atmosphere enjoy 's extensive offering . we feel well look Hotel send bottle chill Champagne Sat night ( inconvienience ) . staff competent , proffesional extremely courteous be look forward return visit Spa & amp ; lounge facility ready . 
 Mar 20 2007 	 absolutely perfect 	 spend weekend intercontinental , London . heaven . staff hotel always amazingly helpful pleasant . 30 people not often feel entitle little bit luxury occasionally respect , true gem . the location could not well , easy access serious shopping activity multitude greenery around . can not ask much city . the hotel undergo £ 80 million refurb doen justice . te room ahev classic decor great contemporary feel include bose sound system wall mount bang - olfsen tv . get upgrade superior room enormous bed load room boot . breakfast great could want . ' ve hear restaurant theo randall superb innovative exciting menu , alas dit manage dine occasion . this great everyone want little bit heaven bit price . get one night free make reasonable we ! ! go to stay , join ' priority club ' scheme . free , be like enjoy little thoughtful ' extras ' worth ! fun x 
 Mar 18 2007 	 Excellent Service Room 	 stay Royal Park room one night , wonderful view across Green Park towards London Eye & amp ; Big Ben . hotel still not quite finished ( room ready Spa open ) , superb . excellent service staff , particularly bar / Cookbook Cafe . room reasonable size London although huge . however , could see quality furnishing , bathroom fitting , Bose sound system , etc . good rain shower bath . breakfast superb - good orange juice ' ve ever , good buffet selection plus chef hand cook omlette , fry egg waffle . probably worthwhile include price room cheap otherwise . price bar similarly expensive ( £ 5 beer , £ 6.50 glass wine + 12.5 % optional service charge ) probably expect hotel quality central London . 
 Jan 3 2007 	 Fantastic Service Fantastic Hotel 	 return fantastic 2 night stay , include New Years Eve . use hotel time refurbishment , interested see change . impressed ! 's shame suite , Spa Club Lounge yet open . room quite small , bit character great balcony overlook London Eye Big Ben . bed ( per Intercon 's ) fantastic . Bang & amp ; Olufsen tv also nice touch , mini bar well stock . bathroom not massive , sufficient size , great shower . we not eat hotel , drink bar great ( include free champer NYE thank lack Club lounge ) , service amazing time every member staff . definitly worth stay ... problem get cab , even 9.30pm New Years Eve ! will stay ! 
 Jan 3 2007 	 New Year Celebration 	 wife along sister husband spend three night hotel New Year holiday , know book Hotel still furbish . I fortunate enough offer good room rate inclusive breakfast inner court room , room small reasonable size London obviously new , try avoid room 721 go , ask move noise service lift next door . the Staff reception / public area good treat well room complaint handle issue . the location Hotel superb sure big plus point . overall really enjoy stay , five star London Hotels expensive Hotel exception , would return . 
 Dec 24 2006 	 Excellent Hotel possibly good staff London 	 hotel , since refurb fantastic among good hotel London . good thing IC London Park Lane quality service -somethe hard get nowadays . valet parking , greet door take room , departure , every member staff pleasent deal responsive . room great , still rather traditional , superb modern twist , Bang & amp ; Olufson Flat Screen tv 's , Bang & amp ; olufsen sound system Air Conditioning . London , room small -although not huge . bathroom small , yet functional stylish , fluffy towel , towel robe slipper . furthermore , seperate shower standard ( innercourt mayfair ) room , really good power shower fix bath , witch excellent . control bathroom tap two shower bath , easy operate , sometimes case hotel . minibar well stock bed usual InterContinental standard ( meaning not want get ! ) Theo Randall disappointment , Pigeon Veal menu , Beef Steak see , two restaurant hotel food good , despite Theo Randall taste . room service menu also extensive , overpriced , £ 5 coke little extortionate feel ! Breakfast also feature hotel & quot ; Cookbook Cafe & quot ; . continental breakfast buffet , English Breakfast cook order , mean food always fresh hot , , put hotel street ahead hotel London quite frankly breakfast let hotel . another selling - point hotel bar , service great bring round hor d'oeurve every 15 minute . although spa open yet , Club InerContinental lounge , meet Royal Ambassador benefit yet . overall , hotel fantastic highly recommend , certainly return , really can not speak highly enough it . please disregard comment post 2006 hotel fully refurbish ( £ 80 million ) transform improve beyond belief . oh mention excellent servivce ? .... 
 Nov 27 2006 	 Paper thin wall 5 star hotel ? 	 intercontinental finish year - long , 63 million pound refurbishment . driver tell , decide stay two night visit London business . first last stay . main requirement five star hotel quiet room . work hard day need good night 's sleep . well , wrong hotel something be interested . would think spend money , would allocate something room insulation ! hear tissue reomve holder next room , let alone sneeze preceede . one person either side decide watch tv 2 , get listen right along . beyond noise issue , hot water reach warm , someone else flush turn shower , go barely warm enough cold quickly take long time recover . request front desk fix ignore . water pressure shower well describe mist - like . 's ridiculous able feel adequately wash soap five star hotel save cent water bill . also taxi stand front door . doorman walk street another hotel 's stand negotiate driver come intercontinental door ! watched turn five taxi , one . luckily , able hail one street sad scene act . small item : room & quot ; disturb sign & quot ; housekeeping keep barge try sleep ; quality soap shower amenity sub - par ; newspaper request morning never arrive , component $ 60 breakfast order range inedible mediocre . four season Canary Wharf not full , never would try place -- 's hope room next time true five star hotel . 
 Oct 31 2005 	 nice great 	 great room 2 night stay August 2005 . great bathroom , good sized room , clean , etc . bed not totally comfortable , ton hotel bed . hotel well locate restaurant pub tube ( metro / subway ) stop . , would probably stay close picadilly circle . seemed fun area restaurant entertainment choice . view park great . gym ok , big , least one . definitely double decker tour bus ride . Big Ben tour love . nice place . 5 star ? ? ? probably - least standard . 
 Sep 24 2005 	 dilapidate small room full - rate price 	 stay two night business . Brit live Asia , know expect Asia hotel standard visit London , even , find hotel depress example top - end hotel industry offer UK.I arrive mid - morning Sunday , although lobby area busy two three doorman luggage porter staff duty , leave cart suitcase bag . staff see , even , offer help . however , guest relation manager duty ( Sabrina Anthony ) professional pleasant although room available ( early check - in request know could guarantee ) everything could find room , even sit front call Connaught Berkeley try get room instead ( price + /- £ 5 ) .the challenge hotel already close , ahead complete closure eight month end September . room view Hyde Park already strip bare . hotel bar also shut . outside main entrance truck take away ( presumably waste dump ) exactly carpet furnishing pay full corporate rate . clearly management consider diminution service amenity overall tired shoddy nature room ' fixture fitting ( include dirt - encrust bathroom tap ( see photo ) rust floor - lamp ) warrant comparable reduction rate . end manage get one " concept " room apparently show colour scheme exist post - renovation ( see photo ) .As InterContinental Ambassador - level " Priority Club " member , able persuade guest relation manager allow access Club Floor lounge , yet shut serve usual breakfast , canapés , drink , etc , pleasant place rest . also manage get waiver £ 6.50 + vat charge simply wash iron shirt ( could buy brand new , though top quality , shirt price Oxford Street ) .No doubt renovation place look modern new fixture ' see solve problem small room , low ceiling tiny bathroom . the hotel ' location good sense close Hyde Park , opinion , practical sense good place . yes , Tube five minute ' walk away ( albeit several flight subway stair ) , apart thing near big hotel car showroom along Park Lane , residential mansion Mayfair , hotel embassy along Piccadilly . I look return place reopen 2006 . 
 Sep 2 2005 	 five star ? ? ? ? ? 	 rude , obnoxious staff , tired , rundown room dirty looking bathrom . never stay suppose 5 star Intercontinental ... stay away 
 Jan 22 2005 	 Great Long Weekend 	 3 night early month recommend hotel . great location- everything London 15 minute walk 10 minute cabride . fitness center small full cardio steam / sauna / jacuzzi . club level worth another $ 20 - 30 free internet , snack , evening cocktail hour ( beer serve day . ) rate steep- around $ 400 taxes- voucher free night help bit . check neighborhood behind Hilton ( 5 minute walk ) - lot neat shop cafe . 
 Dec 20 2004 	 one good place town 	 stay Christmas Shopping Weekend InterContinental London . room 722 extra large 2 big bed outstanding view Hyde Park . could also see top Harrods skylineview 's dark fantastic . mention , room spotless clean , many nice item like slipper , fluffy towell big desk work . also fax / copymachine number - well , realy need pleasure traveller like . also dinner & quot ; Le Soufflé & quot ; -restaurant . great place . excellent food , great service 2 man liveband entertainment well . reasonable price compare 5 star hotel . Breakfast offer big choice everything guess . staff friendly helpful . not much could better location convenient part city ( Underground 2 minute walk away , Piccadilly 10 minute walk , Buckingham Palace 5 minute walk ) definitly use hotel future stay London . 
 Dec 4 2004 	 Overrated Expensive 
 Apr 27 2004 	 simply fantastic 
 Feb 10 2004 	 errrrr ... 5 * ? think . 
 Jan 5 2004 	 enjoy Intercontinental 
 Dec 2 2003 	 nice much around 
 Nov 19 2003 	 wonderful 
 Aug 29 2003 	 nice hotel 
 Jun 4 2003 	 Great Location ... touch jade satisfactory 
 Jun 4 2003 	 Perfect ! 
 Mar 31 2003 	 accomplish excellent 
 Mar 31 2003 	 ? ? ? 
 Mar 31 2003 	 will sind die guten Servicekräfte hin ? 
 Nov 12 2009 	 ? ? ? ? ? 
 Nov 4 2009 	 ? ? ? ? ? ? ? ? ? ? ? 
 Oct 23 2009 	 Enttäuschend 
 Aug 27 2009 	 Sehr schöne urbane Hotel 
 Jul 10 2009 	 ? ? ? ? ? ? ? ? ? ? ? 
 May 10 2009 	 Parfait 
 Dec 9 2008 	 Breve .... indimenticabile soggiorno .... ! ! ! 
 Nov 4 2008 	 Schönes Hotel guter Lage 
 Oct 21 2008 	 Das Interconti Park Lane spielt wieder der obersten Hotelliga Londons mit ! 
 Oct 8 2008 	 ? ? ? ? ? ? ? 
 Sep 14 2008 	 ? ? ? ? ? ? ? ? ? ? ? ? ? ? 
 Sep 5 2008 	 Sentiment mitigé ! 
 may 10 2008 	 Un san faute ! 
 Aug 2 2007 	 Hôtel à l'emplacement idéal mais au rôdage difficile 
