fantastic 	 Hotel great location , across road New Scotland Yard within easy walk distance Westminster Cathedral , St. James Park Houses Parliament ( whichever direction choose take ! ) superior room book large sofa bed provide child double bed . preparation Christmas underway arrive ideal hotel want kick - start festivity . 
 Great Hotel : victorian elegance 	 Beautiful Hotel splendid historic decor . friendly staff , clean cosy prime location tourist . notice review good price pay competitive decide take gamble well worth . superior room package non smoking room maybe go superior room ? / 
 Oct 21 2006 	 real winner ! 	 Location , location , location . short walk Victoria Station Green Park underground . Shopping- Marks Spencer Sainsbury's . this traditional register property offer traveler might want need , inhouse nearby rare bargain Central London via Priceline bidding . reception : smile gracious even arrive early check - in time . unable non - smoking room moment find smoke odor large expect top floor room view tower Westminster Cathedral , Parliament Big Ben . Frig one empty spot water not dare move stock item charge . excellent air conditioner . clean . firm mattress . lumpy pillow . Coffee / tea setup . nine chanel tv . ice bar . good hor d'ouvre drink bar room service . 
 Oct 8 2006 	 Nice Hotel Excellent Location 	 spend weekend London September end hotel via Priceline , could not happy . hotel nice clean , staff incredibly friendly . show pretty late Friday -- around 10 p.m. , bell staff still meet we cab handle luggage , relief lug around Heathrow train city . this old hotel , room 2nd floor fine . comfortable bed , small decent bathroom air conditioner work really well , good mid 80 ( ~30c ) two day there . the location excellent . 's easy walk Buckingham Palace one way Westminster Abbey ( 2 block ) , another two block beyond Big Ben London Eye area . be go , St. James Park tube station block away hotel , other mention , be right across street Scotland Yard , 's safe area walk around . one thing catch we little guard -- area appear business district , lot thing around hotel close limited hour weekend . good number pub around area cheap good food drink , , seem close early weekend , keep mind . big Starbucks fan starbuck right behind hotel , be closed weekend . ( find another Starbucks Victoria street 2 block away open usual hour , still able get fix : ) ) Tube entrance immediately behind hotel also close weekend , alternate entrance 50 - 100 yard away open time . back hotel , elevator amusingly narrow ( guess elevator add well original construction / design ) get 2 people would pretty challenging , good luck get luggage , bell staff well aware limitation , handle get luggage room ( might walk stair ) also help we get check out . all , pleasant stay would definintely stay next time go London . 
 Oct 1 2006 	 ok hotel great location . 	 not want repeat everything already post , rely lot tripadvisor select hotel want give input . stayed 9 night Sep 20 29 2006 . highlight , disapointments.- not flexible date pay full price probably around $ 280 per night ( part package ' m sure hotel rate ) - hotel worth price canadian ' m sure U.S standards.- agree post , give non smoking room find number smoker hotel appal . everywhere go hall , lobby etc , smell . even non smoking area eat useless cause comes blow outside area.- find price food quite expensive worth it.- staff helpful , bit snobby . one concierge guy helpful.-the ' free ' continental breakfast became tire fast . never change although decent . server good serve coffee tea often enough time get go grab pot pour rather wait come around it.- room clean neat . bit run , impressive north american standard . one main reason stay room private bathroom tub . need cause mother . worried get small , cheap hotel stand shower.- TV , good . give english channel tv , BBC course , CNN , major network . not think would big deal want relax night annoy anything watch.- INTERNET , business center soak much cost use . 3 pound 15 min ! ! hope maybe free internet use lobby like many north american hotel . way get anything free hotel . would stay ? maybe , would first go lot effort talk many people choice . location great selling point . the hotel nice looking , nice lobby old english charm , novelty wore find wish comfort holiday inn , major chain . 
 Sep 24 2006 	 hope 	 get hotel Priceline $ 95 / night . location good , except stay Saturday , Sunday Monday area dead . hotel pretty good location Tube right around corner . walk distance lot thing might go London see . the checkin smooth , staff generally pretty helpful love Caxton Bar hotel . go every night main barman friendly helpful get . plenty pub around open , . must mostly business area weekend pretty much everything seem either close short hour . the single major issue hotel ask get , non - smoking room room not air conditioning ( plenty warm ) open window get anything close cool air . problem become least every 30 minute ( 2 - 3 morning ) someone outside , window smoking , like smoking room . also , every room floor smoking sign door , LOT strong smoke odor hallway especially around elevator . forget public area hotel , smoke central . the room clean neat smell smoke , not mean pleasant . one thing helped not room often look city , try sleep miserable . now admit might simply case bad luck , get room different location different time year , might ok place stay . will not stay . 
 Sep 24 2006 	 Old Style Hotel Excellent Location 	 stay jolly 4 night Sept 2006 . hotel heart London , Westminister , location could well . right across New Scotland Yard , plenty police presence . easy walk distance many attraction , tube around corner , Victoria Coach Station Victoria Station within easy walk distance . lobby grand look , room rather date worn , clean . book Priceline $ 95 night . problem wanted put we odd room , small . door lock fail could repair timely fashion , complain put we nice room . good value tourist hotel , lift small . Beware Priceline may want put one bad room . 
 Aug 21 2006 	 good price 	 stay friend 3 day end July , 2006 . book good price , $ 90 per night , Priceline . lobby beautiful , old fashioned . elevator small . room nice , although musty smelling first arrive . twin bed mattresse comfortable , sink middle . otherwise everything okay , bath nice except toilet would not flush another room run water ! overall comfortable safe place stay . concierge always help obtain taxis information . eat breakfast buffet even continental breakfast expensive . also eat dinner italian restaurant hotel one night find good extremely expensive . hotel convenient location , choose take taxi pay much ride different sight Victoria Station . nice balcony veranda first second floor sit relax . buy international phone card Victoria Station able use hotel call home 50 penny charge call . budget traveler , good choice , eat elsewhere . 
 Aug 17 2006 	 Awesome ! 	 stay May ' 05 decide come back dec fantastic location -- right tube station , close Westminster , Parliament , etc . staff pretty friendly ... love happy hour bar ! ! ! room fairly small - ish , be expect Europe suppose . ask room stay last time ( face courtyard ) accommodate request . elevator freakishly small not bring huge luggage . overall , satisfied would definitely book hotel go back London ! 
 Aug 4 2006 	 Great Location 	 stay Jolly three night check Aug 1st return Canada . although expensive place stay 3 week stay UK disappointed . stay deluxe room great size . Buffet Breakfast include lot choice eat . jolly great location first visit London , big advantage we . say anything negative Jolly would smell smoke time strong around hotel hopefully next year smoking law take effect disappear . definitely recommend hotel stay . thank enjoyable stay . 
 Jul 28 2006 	 good tourist hotel 	 stay St. Ermin ' four night early July , pay $ 77 ( + tax fee ) /night Priceline . upon arrival even check , offer porter , never happen hotel stay , include large US - base hotel , 20 - day UK trip . switch room ( double bedded twin - bed room ) porter take care process efficiently . twin - bed room top floor well air - condition . long train trip hot day , feel good . room nothing fancy , fairly large clean everything need . light bright ' like , get use . shower pressure good . several international tv station available , include japanese channel , nice surprise we . seem smoke allow lobby part . gelato stand grand floor . though gelato quite expensive tasted mediocre , find man work evening quite amusing ! many previous poster mention , hotel good location within walk distance many tourist attraction . addition , Starbucks behind hotel Sainsbury ' find Victoria Street . enjoy stay St. Ermin ' certainly would stay gain . 
 Jul 17 2006 	 Excellent hotel 	 stay hotel weekend group girlfriend celebrate forthcoming marriage would highly recommend . hotel excellently locate near beautiful St James Park within walk distance major sight eg Buckingham Palace , Big Ben , London Eye , Trafalgar Square . Hotel maintain high standard decor cleanliness area . bedroom clean quiet bed extremely comfy . bathroom spacious . service hotel reception , restaurant bar excellent . drink pricey come London . breakfast offer extensive choice nice . tip like english tea make buffet rather pour unless like milky water ! hotel part italian chain . enjoy bottle champagne upper terrace nice would recommend summer day / evening . low terrace bit cold & amp ; smoky . hotel staff friendly helpful time think hotel well worthy 4 star status . 
 Jul 9 2006 	 Perfect location 	 ' ve stay hotel many time business . perfectly locate working / meet Westminster look stay near Big Ben , Parliament etc . use use mps day still bell sound Parliament session . room small side well decorate , clean everything need . it little pricey 's heavily use business community find good price 's gem place . staff always helpful ! 
 Jul 7 2006 	 coldhearte Front Desk 	 return Trip London Paris . arrive hotel 11:30am . front desk manager laugh we smirk say & quot ; not know check - in time 2:00pm ! & quot ; . assure we nothing could would . sleep chairs lobby exhausted red - eye flight . guest wait lobby dare ask room clean available 2:00pm . child hungry hamburger cost $ 18 hotel , run around corner buy 2 cup chicken soup . child eat lobby , cold - hearted front desk manager ask reluctant staff member request child eat parking lot ( staff member apologize state ask ) . 2:00pm check manager act arrive even though watch wait 150 minute . every day see particular front desk manager ( young , italian fellow ) stare we . every item put free security box handle scrutinize desk mmanager laugh item put box , particularly find extra digital camera funny - not know ) . end stay , screw bill- problem reviewer cite ) , speak length old front desk manager ( apparently senior arrogant friend ) . apologize action young man seem familiar . state would serious word cold - hearted one offer nothing . positive side , hotel pretty clean great location close Buckingham Palace St. James park Underground . think hotel well suit italian visitor businessman . 's tradeoff asset front desk staff heartless arrogant ( could learn lesson two maid worker quiet friendly . ) also note , travel extensively never experience concierge reluctant help question . luckily Paris experience quite opposite ! 
 Jun 27 2006 	 good value London 	 stay St. Ermin 4 night , plus side hotel convient everything include St. James park within walk didstance form Buckingham Palace variety attraction . tube station behind hotel could feel safe police patrolling around New Scotland Yard . access number pub choice dining . single traveler usually expect much single room case St Ermin room spacious clean although interior could update . staff professional curtious . wall thick hear noise adjacent room . run one problem , assign room put level second floor veranda group 100 plus scream fan drink watch World Cup . could look right room even hand beer want one . ask move another room hesitation move . tell hotel book would make due . politely insist move finally accomadate . go height summer make sure get room air condition . St. Ermin good quality tourist class hotel would stay . 
 Jun 27 2006 	 would stay 	 wife spend two night mid may Jolly enjoy much . be really four star , really clean nicely keep . staff fine location wonderful . even taxi driver pick we seeing & quot ; Les Miserables & quot ; think great pick 's proximity many attraction other wriiten about . the neighborhood safe . could since Scotland Yard across street ? Lot 's place walk Tube close well . return London day would certainly stay . 
 Jun 14 2006 	 wonderful Hotel ! 	 great location , wonderful service superb food Allegro Con Brio Resaturant . try buffet BBQ terrace lunch , great value atmosphere .. 
 Jun 5 2006 	 nice stay . 	 nice stay hotel -- bathroom almost big bedroom . nice helpful staff . the location , prior poster state , unbeatable . would try stay ever return London .. get great deal Priceline -- $ 77 / night -- hotel 's website close $ 300 / night 
 Jun 3 2006 	 Fantastic 	 return fantastic stay hotel . travel fiancee grandparent could not wish well hotel . the staff great , helpful friendly happy assist possible way . book deal lastminute include breakfast , complaint . breakfast plenty fresh good thing get help yourself . we eat hotel evening , beware retaurant menu pricey , however bar menu ids resonable portion tasy large . the location hotel unbelievable minute walk majority major attraction , big BEN , Westminster Abbey , palace New Scotland yard name . also book ticket original london bus tour great way see city first time visitor tight schedule . terminal victoria station also 5 minute walk away . we visit london palladium stay also amazing ( watch Sinatra show ) theatre 5 minute taxi ride away ( £ 7 ) .I would definatley reccomend hotel would definatley retrn next trip london . 
 Jun 3 2006 	 sanctuary 	 chose hotel business trip company visit close by . I find hotel charming , lovely interior comfortable lounge area high tea after - work drink . hotel chain cater especially italian guest information provide English Italian . room bite small side clean & amp ; comfortable sheet change daily , like hade many various type lamp room especially two various type bed . depend want read bright light . the breakfast surprise lovely hotel quiet peaceful location . foreign staff try help much ( understand ) . area crowd tourist many attraction within walking distance . plenty local pub restaurant find exciting one tourist track residential area . likely stay St Ermins one future trip London 
 May 31 2006 	 pleasantly surprised ... 	 stay 26/5/06 29/5/06 read review ( already book on - line 3 month ago ) confident make right choice . however need worried , superior room , 6th floor , clean comfortable well - equip . although check early ready expect able move straight . reception staff efficent friendly . find decor good order hotel good , slightly fade - grandeur nothing unpleasant , feel . like everything italian perfect - lift stop anywhere like - character charm . towel sheet crisp clean . the location brilliant - walk theatre easily - see Chicago Cambridge . want eat nearby walk Victoria Rd try Albert . it also really handy tube , 2 min walk around corner . 10 min walk take Westminster Abbey , Houses Parliament ; 15 min walk get Trafalgar Square . Breakfast ( full english part 3 - night package £ 297 2 adult ) fine . service little erratic ( sometimes run cereal bowl spoon ) make excellent bacon decent coffee . happy experience would stay . 
 May 30 2006 	 Great Place stay 	 friend spend week ( 7 night ) Jolly St. Ermins . read mixed review little concerned arrive happily surprised . although grand public space may & quot ; 4 star & quot ; , would rate room stay slightly low . go hotel ' m look top - of - the - line luxury . ' m look clean quiet comfortable , St. Ermins fit bill . the size room plenty large 2 people ; 2 single bed , desk chair , armchair window . bathroom large . room clean well maintain , daily maid service fine . light kind dim night good reading light would nice . otherwise really complaint room . our room rate include continental breakfast , fine . week unchanging selection food get little boring , cold cerial , pasterie , fruit , youghurt , selection always plenty food start day . the staff uniformly helpful friendly . the location could not well . tube around corner , easy connection ( 50 minute ) Heathrow Airport . 10 - minute walk take we Westminster Abbey , Big Ben , tourist attraction area . all , extremely please Jolly St. Ermins . would definitely recommend tourist look reasonably - price ( London standard ) base operation middle town . 
 May 9 2006 	 Lovely Hotel ! 	 stay hotel April 1 night book Lastminute cheap rate . the room clean adequet , need ! hotel lobby restaurant lovely staff encounter throughout could friendly helpful . would definately recommend hotel ! 
 May 8 2006 	 Fab location . 	 husband stay 2 night romantic break . arrival greet friendly reception staff . upgrade superior room , big bed , good room size , good shower clean , bright decor . location hotel fantastic , agree review sell hotel . breakfast .... include full english morning stay wait certain item cook . also self service , 4 star hotel surprise we . whilst wait breakfast first day husband run reclaim table , clear coffee fruit juice ! ! appear happen people beware place jumper jacket back chair . the breakfast arrangement dissapointe disorganise . would return location , feel little let expect class 4 star hotel . 
 May 2 2006 	 definately try ! 	 book hotel last minute £ 69 night , double room breakfast . initally read review think price would give tatty room , nooo ! ! arrival even receptionist seem surprised price pay , room upgrade reason superior queen room . room 005 clean , large - ish really complaint . staff helpful , breakfast fine ( would recommend scramble egg ! ) location could fault , 10 minute walk away Victoria station right beside st james park . fantastic ! 
 Apr 23 2006 	 big disappointment 	 appreciate £ 79 / night not go expect Ritz , know 's balance seek London budget deal quality accomodation , give rack rate hotel £ 221 / night B+B feel distinctly short - change ! Jolly St Ermin shabby desperate need renovation room public area ( tear carpet break handrail staircase downright danger ) , huge disappointment give have book two night March ' 06 rare romantic treat . room fair size London , although let tear dirty carpet , peel wallpaper curtain obviously make much small window . bathroom reasonable size fairly clean have remove remain previous occupant 's toothpaste sink tap ( yuck ) , although bath / shower mixer tap temperamental point necessary run bath half hour advance allow time water cool sufficiently enough get in . a buffet - style full english breakfast include deal , although policy seem ' quantity ' rather ' quality ' , total agreement tracytoad3008 's review : attempt scramble egg peril ! fact , breakfast off - put day two boyfriend , whose one stipulation booking break & quot ; make sure get somewhere full English & quot ; , actually go continental breakfast rather face rubbery reheated bacon , grey eggs congeal bean second time . £ 33 breakfast surcharge non b+b guest daylight robbery . service staff courteous helpful one save grace hotel 's location - literally round corner St James Park tube station short walk river Westminster one direction Buckingham Palace . 's shame hotel let - down could , properly renovate , much . definitely 4 * hotel ! ! 
 Apr 22 2006 	 Pleasent Hotel 	 spend 2 night enjoy . room fine - clean . beautiful foyer . expensive bar . great breafast service . avoid 9.00 ward busy can not always get want . staff helpful would certainly go back . David , Belfast 
 Apr 20 2006 	 Fantastic Location 	 stay 3 night Easter . Booked [ -- -- -- -- -- - ] £ 210 total include breakfast . sadly , hotel busy , allocate small double face back hotel ( 315 ) . shabby , curtain rip & amp ; could not even shut properly . not sunlight get room , cold , not help air - con blow cold air . thankfully , hotel give we heater room . last night , boyfriend suprise pay £ 40 upgrade . room ( 207 ) much well , kingsize bed & amp ; storage space lack 1st room - really would expect 4 star hotel face front - also class ' vip guest ' allow we access small restaurant could breakfast seperate commoner ! ! think perhaps gradually room - stay , worth look carpet . walk along hallway room , carpet bright clean pinkish pattern , room likely good . beware shabby dark red carpet ... ! breakfast good - serve buffet sytle - would recommend possible book room full breakfast . many guest seem try & amp ; change continental full seated breakfast & amp ; additional charge seem high . possible , egg , boil , fry etc - scramble egg revolting ! location wise though fantastic , Scotland Yard bottom road , St James Park tube around back hotel & amp ; beautiful park minute away . easy walk catch tube major sight London always London amazing . location , would definitely stay hotel , perhaps would try upgrade early trip . 
 Apr 10 2006 	 Good Bad 	 regular hotel user world wide . stay 4 night March business visit : excellent location near QE 2 Conference Centre otherwise quiet area restaurant evening attraction . nevertheless , far , walk ( 15 minute ) , bus West End etc . fairly attractive public area room small fade . washbasin despite several call never unblock request move meet pretty uninterested response despite rapid turn room . seem mainly gear italian tourist trade ( sure call Hilton own Jolly Italian Group ) . staff generally interested reception attitude could unfriendly gear charge everything . food pile high average quality poor variety although carvery lunch seem good value pretty basic geared amount . Breakfast ( include , although charge exhorbitant rate ) , room service breakfast arrive cold eventually get morning paper request . & quot ; executive room & quot ; ( say extremely dissapointing , include use separate lounge breakfast evening complimentary drink etc - sure worth . overall overate hotel need spend money upgrade agree another reviewer 3 star location mean lot probably trade bit much . overall appear lack management intervention direction staff leave get rather much . 
 Apr 7 2006 	 ok 4 star hotel 	 hotel large , grand need refurbishment . room date early 90 's . small bathroom . breakfast fine . small lift . locate opposite New Scotland Yard . 
 Mar 16 2006 	 Great Value Location 	 stay 4 night early / mid March 2006 . use Priceline get hotel room pay $ 100 / night . nice view since front hotel . back view not nice look construction . room clean pretty spacious . bed comfortable enough clean sheet , always paranoid . bathroom plenty large clean . linen also clean stain . staff helpful address question . location wonderful . hotel near tube stop ( St. James ) right across Scotland Yard always armed police stand near hotel . also several convenient breakfast spot right hotel . be also within walking distance Westminster Abbey , Parliament , London Eye , Buckingham Palace . 2 minute walk St. James tube stop either . hotel also close Victoria Station , be come via Gatwick Express . 's probably 10 minute walk 's easy navigate . would definitely stay , especially rate pay . 
 Mar 5 2006 	 would definately stay 	 Stayed March book Lastminute 's ' secret hotel ' get room plus breakfast £ 70 night - good . room good - fairly smallish though bad , bed great little directable reading light good . bathroom fine shower bath ceiling height quite low - husband duck bit 6 foot . breakfast okay - really 4 star buffet though tub butter / jam etc butter bread etc buffet . also , waiter come round tea / coffee eventually wait tea fairly undrinkable . ( one pour husband coffee 1/2 cup worth dreggs end jug actually ask okay seem surprised husband say could fresh stuff whole cup ! ) decor ornate special look great , however communal area smell quite strongly smoke not hang around much appreciate it . location great - minute walk St James Park tube walkable lot tourist attraction ( Buckingham Palace , Westminster , London Eye , Covent Garden , Trafalgar Square etc ) . definately stay ! 
 Feb 24 2006 	 love Jolly St Ermin 's good value 	 stay hotel last Friday night ( 17th Feb. ) pay £ 69.00 two we include breakfast , bad hotel close Westminster . upgrade Queen room find spacious clean . bathroom fine . hotel reception room grand , especially foyer restaurant breakfast serve . delighted find price include full english breakfast ! come London last minute especially see ' Man Seasons ' Martin Shaw wonderful . able walk Haymarket Theatre Parliament Square Whitehall , not need taxi . reception courteous helpful , thoughly enjoyable stay . 
 Feb 23 2006 	 4 star 3 star 	 Booked hotel £ 54 ( $ 75 ) two night Priceline . check time 2 pm arrive 2:20pm wait 2:45pm room . room carpet repair use gaffer tape . also leave copy Express newspaper not ask read , try charge 40p . not pay - never never pay newspaper . overall ok price not think deserve Priceline 's 4 star rating . 
 Feb 23 2006 	 check time 	 arrive St. Ermins 8 pm tell room ready - wait foyer housekeeping get act together . totally unacceptable . 
 Feb 15 2006 	 average . 	 pay £ 79.00 twin room breakfast get pay . stay hotel year ago hotel deffinately go downhill since take different hotel group , service quality . room small , turn around bathroom , ( cheap toiletry , take ) breakfast ok deffinately nothing special . room obviously recently redecorate high standard furniture bar / lounge area wear . dissapointe time will not return , , would rate hotel 3 star . 
 Feb 13 2006 	 typical charming british hotel 	 expecxt modern hotel right middle shopping area , perfect hotel you.we stay Jolly St. Ermins 2 night love atmosphere . location : hotel locate right St. James Park underground station , 5 minute walk St. James Park , Buckingham Palace , Parliament Big Ben . there nice Pubs around , reach shopping area around Covent Garden Oxford Street need walk 30 minute take underground . since side street location silent . lot polimen around since Police Headquarters across streethotel : typical british atmosphere , impressive Lobby , wonderful Bar two fireplace . hotel old good condition . room : good size , well equip , comfortable bed . first room look inner court noisy fan . change we another room nice view main entrance , silent . member staff friendly helpful . bar : say , one nice hotel bar know , expensive - charge 7,5 Pounds small Whisky , worth least drink . early evening serve free sandwiches.we eat hotel since many place good cheap breakfast , need spend money hotel . we definitively come back , become favourite hotel London . love silent area , always nice come noice around Picadilly back hotel sure silent sleep . 
 Feb 9 2006 	 Adequate great 	 spend one night third week January , 2006 win $ 90 bid Priceline . old victorian building 's rather drab . front desk clerk helpful , perky efficient . small elevator b / c retrofit old structure . non - smoking room small depressing view interior courtyard ( room ) . Bathroom modern unremarkable . good feature predominately italian crowd breakfast buffet ... make stay seem & quot ; non - londonish . & quot ; ( jolly italian hotel chain . ) overall get pay , would seriously disappoint pay overnight stay . location easily walkable Victoria Station Westminster tourist site , close St James Park tube . 
 Feb 5 2006 	 GREAT HOTEL 	 take 11 year old grandson first european trip stay hotel . stay hotel London previous trip Hotel Jolly St Ermin top list . room spacious expect , clean quite comfortable time want relax sightseeing write card plan next day 's adventure . locate within walking distance many place want show grandson Westminster Abbey , Big Ben Parliament building . tube station conveniently locate impressed hotel around corner New Scotland Yard . continental breakfast everything suit taste . staff could helpful question . would stay recommend other . 
 Jan 16 2006 	 Charming hotel 	 nice hotel excellent location ( 3 minute walk Westminster ; 5 min . Victoria ; 10 min . Trafalgar Square ) . superior room charming , modern , spacious big bathtub ; standard room less spacious nice view , fairly well equip . reception staff usually efficient english breakfast good . hotel locate historic building , lobby ballroom original stucco decoration . would definitely choose stay . 
 Jan 15 2006 	 lovely time 	 appear mixture review hotel . would like say lovely time hotel . spend 2 night completely satisfied stay . room equpie need , hotel staff happy help hotel great location . would recommend hotel . 
 Dec 14 2005 	 Ok 	 stay Nov 2005 due work committment would rate hotel fairly mediocre . true , great location think tend rely little much get people door . I expect small room central London also expect room safe be not one . victim hotel theft one occasion important . find hiding valuable couple obscure place hope thief night off . Breakfaist disapointing , instance hot stuff , particularly bacon egg dry shrivvele dispite get fairly early guest leave help jam large pot famous french brand . surely hotel could run little individual pot ? place need money spend , previous reviewer speak chip paint peel wall - paper right . next time London intend stay another hotel nearby . great location , cheap do not build expectation let . 
 Dec 12 2005 	 good value 	 stay one night December , book week advance get great rate £ 70 inc breakfast . hotel well situate sightseeing . check - in efficient room fine . nice touch mull wine chestnut ( December ) terrace evening . breakfast excellent restaurant crowd . would recommend . definitely , especially get special rate . 
 Nov 28 2005 	 ok get book 	 fine except book double room , try give single room ... complain try & quot ; upgrade & quot ; another single room ( claim hotel full ) . complain , eventually give double room i.e . book ! room good , spacious , big bathtub small bathroom . one last thing : breakfast room look like cheap cantine ... 
 Nov 17 2005 	 sorely need renovation 	 really not understand review -- 2 night stay adequate . hotel long overdue renovation . wallpaper room stained rip , curtain threadbare , radiator not work ( cold ! ) expect room small ( London ) , dingy depressing . hallway well . perhaps reviewer like lobby ( nice ) , service ( fine ) , location ( good ) . , none make horrible room . 
 Nov 13 2005 	 pleasant enough great value 	 hotel grandish pretention : top - hat doorman , small central carriageway like Ritz ( ' ve see tv , stay ! ) , splendid period decor . room quite well equipped ( functional air conditioning , iron / board , etc . ) amusing Piranha - like minibar automatically charge thing account much breath near they . however , rate quote include breakfast ( snootily assured & quot ; competitive & quot ; ) end pleasant cafe round corner eat bacon roll drink cappucino instead . 's good location ( right next New Scotland Yard , forget worry mug ) , friendly , well appoint - be pay bill might want consider somewhere else . 
 Oct 23 2005 	 lovely central London hotel 	 stay hotel London regularly business hotel - almost next door St James Park tube station - far well less £ 150 per night . rarity find central London hotel clean , well - locate excellent value - for - money . room relatively small efficiently lay , well - equip & amp ; spotless . good aspect staff , without exception polite , cheerful helpful - refreshing ( sadly ) rare feature central London hotel ! 
 Oct 19 2005 	 wonderful staff great location 	 can not say enough location tourist London . take Parents trip England Canada . upon Arrival father take short walk 5 minute one direction arrive Buckingham palace 10 arrive Westminister Abby back hotel . upon get parent room fater tell mother & quot ; ok leave see & quot ; staff great despite review page find Breakfast wonderful . would highly recommend hotel . 
 Oct 18 2005 	 good hotel good location . 	 stay 3 night Jolly St. Ermins great time . staff really helpful attentive , room comfortable clean , shower nice powerful ! area good ( right Scotland Yard , 5 min walk Houses Parliament ) hotel really handy tube ( St James 's Park ) .The area quiet weekend - odd pub coffee bar open many people around - really good thing - tube really quiet hustle bustle disturb night . will stay . 
 Sep 12 2005 	 Fantastic Deal 	 stay 5 night Jolly Hotel St. Ermin 's American Airlines Vacation love . room quite large , bathroom spacious well ( come American , mean something ! ) . hotel staff friendly helpful . room include breakfast every morning offer variety bread , danish , fruit , juice . find incredible value money . situate street St. James ' Tube station , within walk distance major London sight ( Buckingham Palace , Westminster Abbey , Parliament , London Eye ) . right across street New Scotland Yard , could not feel safe . would recommend hotel anyone travel London . 
 Aug 14 2005 	 well run accomplished hotel 	 stay one night St Ermin 's excellent deal Priceline . hotel centrally situate well place indeed Parliament Government office Whitehall Victoria Street . great advantage reasonably price car park . staff mostly italian friendly welcoming . entrance lobby impose . room comfortable , slightly small side . bathroom well equip . standard housekeep high entire hotel exceptionally clean happy atmosphere . I happily recommend St Ermin 's excellent business hotel . also well place tourist , close many major sight . book safely . 
 Jul 31 2005 	 make stay enjoyable 	 arrive day 7 - 07 - 05 bombing . leave bag airport hotel personel go way help locate . hat conserige spend 30 minute phone try resolve problem . room clean staff polite . enjoy contiental breakfast service excellent . enjoy every minute stay . room typical european , tourist stay room day , location excellent . within walking distance many sight . find pub around corner excellent food air condition . shop close well bus tube . nice come big city somewhat turmoil treat well . return London stay Jolly . thank make one good vacation . 
 Jul 29 2005 	 reasonably price gem hotel 	 brother determine spend first visit London non - descript , americanized hotel . review pic online , Jolly Hotel St. Ermin 's seem fit bill . , beautifully . traveller use great hotel , disappointed . yes , quirky charm place . imagine stay London would like . red - brick victorian facade , tiny elevator , Dickens engraving room , seem thoroughly English . room fairly sized , mattress thinner would like . end - of - day exhaustion make non - issue tired picky . bathroom roomy clean . room face alley back build not bad thing . keep sheer curtian close office worker across alley not stare ... case urban hotel . hotel quiet renovation visit - time leave , wallpaper carpet totally replace hall picture re - hung . new work lovely . neighborhood one reason will stay - nightlife us ideal . walk back hotel peace enjoy soak ambience London , lot club kid garish light . sure visit Albert pub locate 2 block hotel - another London , non - touristy place great food service . proximity St. James 's Park tube station make travel easy station easy navigate . jostle place line . recommend take short night hike nearby attraction - Buckingham Palace , Westminster Abbey , Parliament , Mall stunning night hotel within easy reach . sure read history build wall near coat check lobby . can not wait stay St. Ermin 's next visit London . 
 Jul 19 2005 	 good hotel shame breakfast 	 stay hotel July 2005 . although public room grand enough crystal chandelier light Buckingham Palace , bedroom rather small ok . breakfast another story , poor choice cereal , terrible choice bread , cold croissant , mushroom hell ( spoil mushroom ? ) however location first class staff pleasant . 
 Jun 27 2005 	 great location ... 	 first time father travel London lot look , choose place feel could easily & quot ; touristy thing & quot ; . arrive , greet door man service continue helpful throughout stay . door man great , give we suggestion restauant ask , always follow we afterwards see think . pay continental breakfast always satisfied selection . find many restauarnt choose around hotel meal ( price hotel high pocket book ) , look , manage find non - smoking eatery good . our complaint : charge mini - bar item never use ; buy orange juice water store nearby throw bottel garbage room . receive message desk need charge card take care & quot ; extras & quot ; , discover charge explain error . take couple day , correct charge desk . overall , happy choice recommend spot friend , feel provide ability easily tour part town . 
 Jun 27 2005 	 well situate curiously italian 	 Jolly St Ermin 's grande creaky old dame , bad London 's recent heat wave , air conditioning briefly fail room common area never comfortably cool . say , be clean rather charming , quite relaxed , location can not beat government business gawk royal Buckingham Palace , even fancy stroll along Thames beautiful St. James Park . room ample night , hotel -- cul - de - sac New Scotland Yard -- exquisitely quiet safe . might find odd come London receive complimentary bottle olive oil room . hotel own mainly staff Italians , make communication bit slow time , also make pleasant , continental atmosphere many italian tourist ( japanese ) . almost everywhere go London day will find young people waiststaff job English first language . some tip : not eat wildly overprice restaurant think hard whether want pay expensive breakfast . plenty nearby spot cafe grab something eat morning far less 20 pound breakfast charge ( not wait line either ) . place stay plan trip not - stop theatergoe shopping , reasonably good choice want quiet spot central London . 
 Jun 13 2005 	 Exhorbitant phone use charge 	 sister three adult child stay hotel four day stay London . check , ( stay another hotel work relate conference ) pick catch British Air flight home U.S. one niece present $ 350.00 bill phone usage . keep mind , use international phone card call home , fee that- fee hotel simply provide access long distance call , usage charge U.K. phone company . contrary , hotel Edinburgh , charge 50 penny per call . shocked , amount reason logic , budge reception staff hotel manager reduce amount . feel awful , since 's elementary school teacher , first trip overseas anywhere , save long time trip . would recommend hotel anyone reason . 
