great 	 you´re bothererd fact toilet outside room share guest floor , it´s issue . you´re cuty luggage , won´t problem either . NYC many time , there´s need stay midtown anymore ... make hotel location perfect . it´s charming place owner really sweet person , always smile face . it´s spotless housekeeping really nice work . room cozy , small , tiny window make bit claustrophobic ... anyway - pay $ 150 taxis well locate Manhattan sometimes worth . 
 Dec 26 2006 	 lovely 	 absolutely wonderful . come boyfriend day Christmas . stay two night great experience . surprised one write charming lobby . feel like little brownstone city . room although small exceptionally clean shower stall room . see cleaning lady day place smell pinesol , love make feel clean . : ) people desk pleasant quiet place . yes , share bathroom , also clean well maintain . list con , one room feel tiny bit muggy shower , boyfriend say , do not notice . second thing neighbor quiet loud morning , seem open closed door 50 time . Chelsea Lodge incredibly clean , pleasant staff , great location , across street elementary school ; room perfect size . question , please feel free email tatumshirin @ yahoo.com ! wil absolutely stay NYC . 
 Dec 24 2006 	 great place enjoy NYC still relax 	 stay Lodge first week December . experience great . stay room 2E . clean everyday , fresh towel everything tie . small room enough time spend , wich almost sleep . different person meet front desk time arrive polite helpful . neighbourhood fantastic , almost forget middle NYC . try bagle Murray 's breakfast also find time try BetterBurger menu . our overall experience awesome would definitely stay . 
 Dec 15 2006 	 not stay ... 	 make request web site stay . not hear back , send another letter basically cancel & quot ; reservation & quot ; find another hotel . next CC bill , find fact charge stay 2 night . contact management , basically say fault , & quot ; show & quot ; , would refund money . not let greedy sod get money . . . 
 Dec 13 2006 	 Chelsea Lodge - Perfect ! 	 husband stay Chelsea Lodge 4 day long weekend stay . absolutely perfect we . expect . small , quaint , clean . Lodge close 2 way line , blue & amp ; red . near many restaurant , diner , market , shop , pharmacy , etc . 3rd floor . never see another person hallway . never wait restroom . Lodge keep clean . James front desk friendly . arrive 1 p.m. able check right . everyone meet work front desk ( meet 3 ) friendly helpful . what great place . would stay highly recommend . 
 Dec 5 2006 	 Little Gem New York 	 stay Chelsea Lodge 4 night November 2006 . great little budget hotel , like live New Yorker . look like ordinary brownstone outside make sure ' ve get good direction take cab . Felt safe area , police station street surround eatery good bar , be never short place eat drink . recommend Dallas BBQ Galaxy Diner eat , Flight 151 bar drink . subway close within reasonable walk Madison Square Garden / Times Square / Midtown area . room pretty compact good shower tv 's . Decor bit weird ( lot duck Red indian head ) offensive ! shared bathroom issue , never use always spotless . not probs desk staff , always polite helpful . would certainly stay . 
 Dec 4 2006 	 great find ! 	 friend & amp ; return long weekend stay low garden suite - fantastic ! big room , huge bathroom , well - equip kitchen lovely patio & amp ; garden . even wake sound bird singe - hard believe middle New York ! Chelsea safe & amp ; friendly neighbourhood - great escape hustle & amp ; bustle still convenient visit major sight . 's handy pharmacy end street Starbucks around corner - along number great restaurant cocktail bar ! night owl , Meatpacking District cheap cab fare / easy stroll - Spice Market , Buddah Bar Pastis worth visit . I previously stay one lodge room would not hesitate stay - 's great value money . 
 Nov 28 2006 	 great value - back ! 	 boyfriend stay 5 night Thanksgiving extremely happy place . con : - room small expect big deal.- separate bathroom ( rather , sink shower area within room ) big gripe price pay , can not really complain.- shared toilet hallway . not big deal always clean spotless . not far room either probably see one guest hallway whole stay.- elevator . stay 2nd floor lug suitcase one level could problem high baggage . PROS : - great value money.- far subway stop . - Felt safe secure . never feel unsafe room immediate area hotel in.- walking distance shop , restaurant sights.- free wireless internet room bonus.- Quiet room , real issue noise . the Pros far outweigh Cons ( preference could live without ) definitely back next time New York . 
 Nov 21 2006 	 Great New York stay 	 choose Chelsea Lodge base price & amp ; tripadvisor review disappoint . our room first floor small , expect , comfortable , clean warm . the location excellent , quiet street & amp ; handy subway , shop , restaurant etc . would recommend excellent place stay New York & amp ; good value money . 
 Nov 13 2006 	 feel like New Yorker ! 	 stay shopping / sightseeing / semi - romantic break January 2006 . booked phone / hotel website . man take book friendly get receive nice welcome room ready we . book suite house main hotel good value consider 199 $ pay shoebox one teh corporate hotel . suite studio apartment situate small brownstone house , fully equip kitchen , marble bathroom powerful shower , bed ( could comfy ) pleasant seating area . really interesting art wall , make place unique . everything would possibly want around corner , reception staff great source local information . nice come cold hardcore sightseeing box cupcake make nice hot coffee buy one around corner lounge around go night ... subway stop around corner , area pleasant interesting . would also highly recommend ' Dish ' cafe receptionist send we first afternoon . altogether , would always stay . stay Algonquin two year previously money , , look much grander , get much less comfort style pay . last least , Chelsea much pleasant area stay . 
 Nov 5 2006 	 exactly expect : good thing ! 	 husband attend wedding NYC need affordable hotel three day . tripadvisor reviewer wisely recommend Chelsea Lodge stay good thought would . thing know read past post : hotel residential street sign outside , small , charming little cramp room , front desk service spotty , room service great sharing toilet not weird think might . true . however thing make we pleasantly surprised : front desk not exactly go way thing , certainly nice we -- get direction , take picture we , get check little early help we bag . need ? also , third floor face street : window open , get usual NYC noise , shut , extremely quiet neighbor loud night , get great sleep . third floor mean climb 2 flight stair , be reasonably fit , 's really problem . addition , even though room pretty small ( agree another poster -- good long stay unless light baggage ) , comfy bed , shower sink room work fine room definitely cuteness . fact , picture room website look exactly like . share toilet really big deal . right across room always clean , fresh never wait . fact , never see anybody hall ! sometimes feel like stay someone 's guest room ! , like quiet neighborhood setting oppose 5th Ave . not mind smallness room share toilet other , well , $ 114 night worth ! 
 Nov 2 2006 	 recommend ... 	 positive review Chelsea Lodge fair , totally subscribe . small problem cold : mid - october , already get quite chilly outside also room , hotel heating . tell guy reception , nothing could do . 
 Oct 16 2006 	 generally good thing aware 	 finding low - price hotel New York not rat infest dive problem , part , Chelsea Lodge provide good base explore NYC.We stay Chelsea Lodge 5 night early October fine . the building quiet side street Chelsea area , 2 minute nearest subway station 8th Avenue . 's 15 minute walk Madison Sq Gardens 30 minute walk Times Sq Empire State building . nieghbourhood safe , gay lot good place eat drink ( 's cafe round corner call Dish , great brunch deal $ 10 ) plus side , Chelsea Lodge well maintain room nicely decorate . wooden floor also shower / sink room . share toilets spotless problem , 2 toilet every 4 room . on negative side , room small , many bed wall foot space around move around . big problem though soundproof hotel - not ! many room toilet pack onto floor , every conversation , movement sound hear neighbouring room ( bad , toilet ! ) .The service okay - though much well friendly service hotel USA stay . overall , Chelsea Lodge sound budget choice be go action - pack weekend NYC hardly room , go expect quiet time romantic room view will probably disappoint ! another tip try get one room first floor close stair , not toilet next slightly big other . share wall toilet probably worst - obvious reason . 
 Oct 11 2006 	 Loved ! 	 great value accomodation price . room spotless clean daily , towel also change daily . Shower room work really well much preferred share shower ( do another place previously ) . complain one thing would size wardrobe really not many hang clothe ( wardrobe side shower pic ) . 3rd floor , room view never bother we . air con def plus point . noise room opening shut door get hotel . lovely area , plenty restaurant bar subway within walking distance ( 23rd 8th ) . would definately stay . 
 Oct 8 2006 	 Felt home NYC 	 husband stay Chelsea Lodge Suites Parlor Suite ( Suites - like studio apt , lodge - build street room share bathroom ) . location Chelsea perfect .... 's tree - line street lovely brownstone , near wonderful restaurant , several subway line within block . suite room stay clean kitchenette frig stove , make easy keep grab snack / drink long day walk city . bathroom also clean , housekeeping staff refresh towel , make bed everyday . wonderful , certainly make & quot ; place stay & quot ; visit Manhattan . 
 Oct 3 2006 	 great spot 	 Chelsea Lodge favourite place stay NYC . location can not beat - walk distance many tourist attraction , also close subway , food affordable 's real neighbourhood , like Midtown , cater tourist ' wallet . lodge locate old brownstone , bring date . room clean modern , get shower sink , leave share toilet . Hallelujah ! $ 110 night ! travel last summer friend , we stay Chelsea Lodge . great home base , everyone happy room . dude work front desk seem capable cracking smile offer nicety , let we leave bag office checked check , without problem . well , maybe give we little attitude , worry . definitely not enough prevent staying . place real gem ! 
 Sep 29 2006 	 great location 	 absolutely love location - convenient subway also plenty great place nearby eat night . could also walk midtown area Greenwich Village area ( couple time ) . accommodation - room small expecting . thought would double twin bed room website specify ' full sized bed ' - single bed . fine , disappointing expect double . problem seem like single room originally join another single room next door - shower cubicle next door build alcove room . happen next door neighbour decide shower 6.20am - noise pretty unbearable pipe creak etc minute . happen anymore , would complain feel also thoughtlessness part person next door . shower room fine tv welcome along alarm clock , come handy could not use alarm phone . like decor room hardwood floor . thing would say not get great first impression arrival room stank cleaning fluid . someone go overboard smell stay room hour window close warm day . not major thing least prove room clean thoroughly . reception staff not particularly friendly find , not rude not engage conversation much . overall , think good value place stay , location really perfect . not spend much time room size not big issue . 
 Sep 21 2006 	 awesome stay nyc 	 stay chelsea lodge ove 4th july weekend . first trip nyc - from georgia . nervous first get hotel mind ease . place charming , comfortable , great neighborhood . staff friendly - they especially pick accent ! ! love it - make feel comfortable . area amazing . several & quot ; nice & quot ; restaurant one block , nice little grocery strore , shocked . course million fast food , to - go place eat , coffee house lot delis . must gain 5 lbs 4 day ! ! also gap another clothing store block , many corner store drug store movie theater ! one side hotel , do not even make side . could stay never leave 2 block area . people watch amazing - everytype , size , nationality , age harmonious . plan another trip soon stay . oh yeah good price really feel like stay house apt . love love 
 Sep 20 2006 	 basic goodness 	 nice , clean , basic place stay New York excellent price . room small , not expect spend much time not matter . great thing location well - keep street full brownstone , right middle Chelsea , close c subway line . 's lot bar / restaurant activity neighborhood , Lodge quiet anyhow . always feel safe even come late . also close really excellent bakery , Bergamote , breakfast far away . definitely stay again . my one criticism need start replace mattress . mine terrible , sense little bow middle . 
 Aug 21 2006 	 Charming 	 stay Chelsea Lodge 4 night mid August 2006 honeymoon love . hotel quiet leafy street feel safe . chelsea busy neighbourhood feel down - to - earth full real New Yorkers . stay 2 different type room - standard deluxe . spotlessly clean pretty . standard small perfectly adequate share toilet across hall- also spotless . deluxe definitely worth small extra fee- spacious separate ensuite shower/ toilet . shower good . website photo room justice Chelsea Lodge excellent reasonably price hotel . staff helpful yet unobtrusive . breakfast offer , though problem load place nearby breakfast , lunch , dinner/ night etc . the Chelsea Lodge charming hotel perfect want something affordable bit different yet clean , safe reliable . would definitely stay recommend visitor . 
 Aug 18 2006 	 Great Find 	 find . moment greet know right place . small hotel small room . bed comfortable shower immaculately clean plenty hot water . true not wc room ( one immediately opposite door ) pay $ 200 three night , cross corridor inconvenience ! ' ve always paid get far less ny . , book early little gem . 
 Aug 15 2006 	 small space = small rate ! 	 be look enjoy New York want clean place lie head shower good price Chelsea Lodge place . located great central location could ask well hotel . room neat clean , clean towel provide daily , walk distance everything want see . wantch parking rent car .... ny parking police love tow ! 
 Aug 13 2006 	 Charming hotel nice neighbourhood small room 	 Got agree previous review . stay week July 4 's great go back quiet neighbourhood visit busy tourist spot . besides thin wall , another reminder 3 floor lift . also , bring large luggauge , might find difficult open room . despite , still consider stay . 
 Jul 30 2006 	 Met expectation 	 hotel certainly live expectation tripadvisor review . hotel locate Chelsea , charming residential , quiet street 8th 9th Avenue find great place eat hang well go night . hotel lovingly decorate . room much small side rather small bed , air conditioning work fine , small price pay , do not exactly expect palatial room first place ! shower toilet immaculately clean , room clean every morning fresh towel provide . room sweet decoration charming size really not matter . room also come free wireless internet fantastic . thing could criticise thin wall , meaning could suffer noisy neighbour , slightly unfriendly man greet we ! night porter lovely , friendly really sweet . guy sort grumpy quiet make feel unwelcome . - care be New York ! would definately stay . 's bargain not tell anyone place . let us keep secret ! 
 Jul 18 2006 	 clean Cute bit unfriendly though ! 	 Chelsea loge great location , heart Chelsea cool relaxed area city , load restaurant bar . Lodge clean , feel like stayng someone home rather anonymous hotel . arrive quite late , stay one night , night porter charming help we heavy bag 3rd floor . room small fine one two night , shower room ( ! ! ) loo right next door . corridor boiling hot however , air con whole time , incredibly noisy night -- - bring earplug trouble sleep ! bed quite small two people , overalll hotel lovely do not matter . pay $ 112 night . owner next morning though rather unufriendly , do not acknowlegde we really check . would return would ask 1st 2nd floor room bit big do not noisy air con ! 
 Jul 17 2006 	 Lived Tripadvisor review expectation 	 decide take last minute trip New York three day July 1 Canada Day weekend . travel alone want clean place reasonable cost Chelsea , usually realistic goal New York . tripadvisor review point direction Chelsea Lodge , not disappointed . ususally stay 4 star hotel travel partner , bit nervous . fancy room stay second floor small , look live expectation . location superb 3 block 23rd 8th , c E subway line . 10 - 15 minute Time Square Uptown 10 - 15 minute World Trade Centre Downtown . room exceptionally quiet , air conditioning welcome hot weekend , sink shower room convenient , share bathroom problem . enjoy several good restaurant 8th avenue , even meal 3 a.m. City never sleep ! feel safe walking time . it be luxury good budget place clean welcoming . although not get name man reception , enjoy brief chat seem genuinely interested . would recommend place would return travel alone . 
 Jul 12 2006 	 Pleasant Place stay 	 great place stay . stay 3 night . room small sparkling clean . share toilet also always clean virtually never wait use . also really good location plenty reasonably price restaurant nearby also two subway station within short walk . not find staff friendly though actually ( unlike previous reviewer ) . not exactly rude border & quot ; bare minimum & quot ; response question . overall , compare price lodging NYC , would say Chelsea Lodge excellent value . 
 Jul 10 2006 	 Upper Garden Suite- way go 	 husband stay Chelsea Lodge 4th July weekend . book , able get Upper Garden Suite entire stay , first night stay one Deluxe Rooms ( difference regular room bathroom ) . deluxe room clean , small liking . however , say enough positive thing Upper Garden Suite . suite make feel like live New York . apartment use hotel room . ceiling high layout cute . also , marking door not get hotel feel , truly enjoy . location hotel superb , three block close subway ( 8th Ave . 23rd St. ) . good restuarant also Chelsea . breakfast try Murray 's Bagels 8th Ave . lunch dinner try & quot ; rock Horse & quot ; ( mexican cuisine ) & quot ; Spice & quot ; ( thai cuisine ) . absolutely love food & quot ; Spice & quot ; wait service excellent . visit New York , definitely stay upper garden suite charming hotel Chelsea . P.S . James front desk well , hospitable willing help anything need New York ! 
 Jul 9 2006 	 like live city 	 stay chelsea lodge suit 2 aunt mother may experience really great . room suprisingly spacious even 4 people . well stock kitchenette , bed futon comfortable although little small , bathroom really good water pressure , even temperature little hard control first.i really love neighborhood . feel safe comfortable 20 minute max . walk time square without busy crowded . suprise much reminded mix gay village plateau montreal . be really great place call billy 's cupcake reccommend go want people watch . 's crowd minimal seating , people interesting cupcake really good.have place like chelsea lodge come back day explore city foot great . ' ve decide base experience place will stay come new york . price suit 195 $ 2 + 15 $ per extra person . fairly inexpensive clean spacious studio great central location . pay cash , get 5 % discount check 
 Jul 5 2006 	 lovely hotel 	 partner stay Chelsea Lodge ten day last month . book quite long time advance understand . hotel room compact clean well maintain New England country style . room shower sink pop along corridor share toilet . two toilet eight room floor never wait use facility . people desk friendly overly . look somewhere relatively inexpensive great location - heart Chelsea , five minute walk Greenwich Village near two subway station - could recommend well place stay . New York fabulous holiday always fond memories city stay Chelsea Lodge 
 Jun 13 2006 	 Chelsea Lodge - Gem within Big City 	 come back stay Chelsea Lodge . say previous review write Chelsea Lodge true . staff Lodge extremely friendly . room clean bed comfortable . not remember bed comfortable hotel quite awhile . shower great , lot hot water necessary . although toilet share , think good thing never wait use toilet , would take space room . native New Yorker , come back visit NYC annually , say Chelsea Lodge safe part town . case look reassurance , east side 20th 8th ( one block east Lodge ) , police precinct . subway taxi cab block away . Chelsea Lodge great central location city virtually activity plan . stay city , can not beat price . would definitely stay Chelsea Lodge try ! 
 May 23 2006 	 Loved Chelsea Lodge 	 beautiful brownstone nestle perfectly landmark Chelsea block . room not huge , nice , clean . would recommend hotel anyone everyone , book early , guy fill fast , deservedly . 
 May 23 2006 	 Charming Chelsea Lodge 	 family four , ' ve stay every kind lodge -- five star hotel personal , homey B & amp ; Bs -- one we love time Chelsea Lodge . we stay one large unit , Parlor Suite , surprised delighted level decoration attention detail inexpensive stay . may budget accommodation price , style , certainly cleanliness ! wish home would sparkle time ! 13 year - old daughter sleep spacious futon living area , separate cot ( also quite comfortable ) bring 9 year - old . kitchenette well - appoint useful store snack item , marble bathroom great shower . the location , heart lovely Chelsea , another big plus place ; be little oasis green quiet come ' home ' busy day city . there be nothing like apartment wonderful old NYC , stay Chelsea Lodge Suites , be get . 
 May 13 2006 	 good price good location . 	 wife stay Chelsea Lodge 2 night late April 2006.the Chelsea Lodge nice opinion safe area . shop , bar , restaurant minute away , subway less 10 minute . property appear convert house / apartment lot character . room small agreement review clean . complaint toilet room , lack sound proof ( noise guest corridor etc ) , limit space store clothe safe . hotel also lift . the staff friendly accommodate money good value . 
 May 9 2006 	 Great Hotel 	 ' ve stay Chelsea Lodge , ' ve never let . room not large toilet hallway , though would problem ' ve never wait , always clean . the staff friendly casual , like fact never feel like another guest . would highly recommend place . 
 May 4 2006 	 certainly live good review ! 	 look spend fortune accommodation NYC , Chelesa Lodge ideal . well locate fashionable hip Chelsea , quiet side street , close enough walk midtown sight Grenwich Village , Soho etc . room indeed immaculate small thought might . garden view back , probably also make quieter . echo reviews - share toilet really problem . highly recommend independent traveller not want old ' corporate ' chain hotel experience . 
 Apr 27 2006 	 Best Deal around ! 	 recommend Chelsea Lodge several friend : location , staff friendliness , price ! arrive JFK California red eye , get Lodge 7:15am . since room available permit check immediately . chelsea terrific walk neighborhood ; staff give we tip eat . recommend get gallery guide , available many gallery vicinity : find artisit ' opening - normally open public - 's chance meet local . 
 Apr 11 2006 	 go stay Chelsea Lodge great location trip Manhatten 	 stay six night perfect small brownstone hotel ; want experience real New York . find Chelsea safe , quite neighbourhood . Chelsea Lodge spotlessly clean , room daily maid service towel change every day . room cosy small good shower , washhand basin , tv , ceiling fan alarm clock , restroom hall also spotlessly clean . staff encounter friendly helpful . hotel close 23rd Street subway ; arrive JFK via easy journey airtrain subway Howards Beach . for breakfast also recommend New Venus Diner 8th Avenue 22nd/23rd Street staff friendly attentive . for evening meal recommend Patsy 's Pizzeria 318 West 23rd Street excellent family friendly atmosphere . we great stay New York thoroughly recommend Chelsea Lodge . 
 Mar 28 2006 	 Little Gem 	 Excellent value money . staff helpful , room clean shower great - constant hot water . great area stay easy get around New York . would not hesitate return . 
 Mar 18 2006 	 Excellent 	 stay nice , small clean room . people nice lodge near metrostation ( 3 - 5 min . walk ) .an excellent choice ! 
 Feb 14 2006 	 excellent place stay ! 	 stay low Garden Suite boyfriend 5 day mid October . ( grant go bad October rain 100 year , still romantic stay . ) book base read review site glad . 's great place quiet street ( quiet possible NYC anyway ) one good neighborhood . be right next door beautiful old church turn playhouse . clean , quaint , NYC hotel standard , & quot ; palatial & quot ; NYC gallerist ( ' m painter ) say see place , especially price . Jeez , could not get well deal . could easily live month comfortably . can not get decent hotel room NYC less $ 300 $ 195 get private space garden , kitchenette giant bathroom ( tub though ) , nice , newly renovate . will not stay dump , super pleased . can not recommend place . fantastic ! see top Empire State building 's close c train + great Chelsea art gallery . able walk place need walker , trust say be close . drug store corner , stock snack kitchen save bit money . ( dine day instead 3 time way . ) great place eat around . even pour rain , easy get around hung neighborhood . not much term room service , like privacy , be great . even well deal stay main house couple door not mind share bathroom . nice guy run place . 
 Feb 14 2006 	 lovely place 	 spend 3 night hotel NYC really recommend it . it clean , cosy quiet ( stay room face back ) . location also great . however , book room know fact room private toilet ( although sink shower ) . nevertheless , communal toilet always clean , must say . all , good experience . 
 Feb 4 2006 	 excellent place ! 	 stay partner four night New Years Eve time . 's central - staff friendly . cute room everything need ( shower room ) . NYC time year , good deal ! ! would definitely stay ! 
 Feb 3 2006 	 money 's well place ! 	 Chose stay Chelsea Lodge back previous review Tripadvisor . say ! be look New York do need stay ! spend lot money expensive hotel well locate nice place . room spotless , view Empire State anybody ever worried idea share toilet think - totally clean well many 4 star hotel ! ! go , stay enjoy ! 
 Jan 27 2006 	 Perfect short break budget 	 like many other contribute review , highly recommend Chelsea Lodge . I stay NYC day find difficult find somewhere expensive clean , warm comfortable . I eventually settle Chelsea Lodge absolutely tick box . close attraction city Empire State Building , Times Square etc two subway stop nearby get everywhere else . however , despite closeness thing , neighbourhood quiet , indeed , pleasant tree - line street lot nice diner . the room hotel fairly compact pretty old - fashioned clean . room wash - basin shower tv . room clean every day towel bed linen replace . sure , be share wc , floor two one right beside room , great . I suppose downside part 8th Avenue little seedy Chelsea area would appear gay district NYC , something uncomfortable . not something use mean off - putting . I hesitation recommend place . homely , cosy reasonable . go ! 
 Jan 17 2006 	 highly recommend cute Brownstone 	 first , review read cleanliness place ......... BELIEVE ! seriously , microbiologist extremely picky hotel room review sell . stay 3 night New Year 's festivity . still decorate Christmas sweet . place awesome $ 115 / night 3 day cancellation policy charge ! do not even jack price New Year 's like everywhere else . fact shower sink room rare plus . beware , modest person stay someone , shower do not allow much privacy dry dress room . custodial staff perky friendly greet us morning . guy own place let we store luggage hour pre post check in / out give we much time hang . come back , take luggage room . stay Chelsea truly clean , safe , nice part NYC . block subway pass Eckerd corner easily accessable snack drink . $ 30 cab ride LGA . easily walk Time Square Chelsea Lodge . anyway , highly recommend . $ 100 improvement would make like coat hook wall non petrude shower handle . the shower small , keep hit accident , OUCH ! water scald like ice ! scarce storage area make hard unpack bulky winter cloth like sweater , coat , etc . overall , love place . brownstone cool ! especially one . always stay . 
 Jan 3 2006 	 Awsome Chelsea Lodge ! 	 spend month research accomodation NYC decide Chelsea lodge , mostly review sight . not want backpacker thing , small budget . give many good review , figured must truth , correct . chelsea lodge awsome . room small perfect size . hot water never run good shower room . bed comfy room warm . floor share toilet , never see anyone floor 4 day . guy helpful friendly . whole hotel do similar would describe English pub - homely cosy , interesting painting knick knack decorate hall stair well . location wise , 18th St subway block , 23rd St block . great base explore NYC . street noise ! heap place eat drink - area safe , New York . travel single white female first time New York , never felt threaten worried walk night ( little place mainly gay bar area ) .In summary , would recommend Chelsea lodge anyone , plan return later year . thank Chelsea lodge perfect stay ! 
 Dec 13 2005 	 centrally locate good value 	 wife stay one week NYC Chelsea Lodge sightseeing , shop entertainment . chose Chelsea Lodge research Trip Advisor . arrive lodge late get small room 2nd floor ( elevator ) , equip queen bed , shower , wash basin , set drawer tv . room small enough space comfortable base visit . the good thing : warm , clean quiet . even share bathroom tidy . staff friendly though ' much contact . the location 20th street good deal , three block next subway station save neighborhood ( lot gay seem live ) . quite easy get . take AirTrain JFK Jamaica Station subway line e 23rd st./ 8th Av . take we little bit one hour . watch , sign outside house . 318 say " Chelsea Lodge " .If want value money comfortable , clean quiet place , ' recommend Chelsea Lodge . 
 Dec 7 2005 	 Home away home 	 get back long weekend NY place make ! ! stay one Parlour suite . would prefer garden suite already book , even though book 3 month advance ! nice place come back evening . staff really helpful come planning day , great advice activity . the grumble noise people room & amp ; street , neither problem . this great place would thoroughly recommend anyone plan trip New York 
 Oct 25 2005 	 good clean chelsea lodge 	 stay hotel 2 night . bachelor apartment think great . , clean . although like bed sheet ( flimsy paper thin ) , end 's bed . furniture room old location hotel price ( pad 200 220 us night , can not remember ) , be well worth . enjoy stay chelsea compare times square . dish restaurant ( street ) , hotel really good breakfast ! ! also like fact feel like true & quot ; New Yorkers & quot ; . batchelor apartment brownstone really cool . pay cash get 5 % discount check . look place stay & quot ; frill & quot ; not need assistance front desk good place . apt , not run people work . People work not helpful , ' m pretty easy go not mind . stay last night Best Western Hospitality house suite kitchen seperate family room amazing ! ! $ 183 us night one night available night $ 350 . subway close chelsea lodge convenient . buy day pass thinking take throughout day , worth ( $ 7 ) , unlimited bus subway access . also buy theatre ticket online ( cheap ) , try Playbill Ticketweb . definitely buy moma ticket line , not wait line . look good restaurant , try Taboon ( arabic food ) , really , really good . warm foccacia bread serve dip . go appetizer late one night , main course look amazing ! hotel book pretty quick ( apartment ) , call ahead . try book online sell , call hotel directly , likely probably accommodate . thank advice other post . not , would lose . thank guy ! ! ! 
 Oct 7 2005 	 great hotel ! 	 really fantastic hotel excellent location . stay 6 night Januray year $ 99 night everything need - comfy doubl bed , tv , basin , shower staff really friendly attentive . share toilet outside room another person , ever see . also great view Empire State Building bedroom . people budget can not recommend highly enough . 
 Sep 24 2005 	 wonderful hotel ! 	 stay chelsea lodge 6 night june summer . first trip New York . lovely small hotel nice country - like room . room always clean tidy . staff nice . hotel quiet peaceful , even though lay center Manhatan . feel like were'nt city anymore . good feeling hectic day New York . room also cheap . pleasent excperience ! 
 Aug 11 2005 	 great value Awesome location 	 stay Chelsea Lodge April 2005 not sure expect , even though review would read place positive . love . location can not beat neither price . room even cheap list pay cash get discount ! room small , expect , be fine one person . sink shower room make deal share toilet much easy . fact , 6 - night stay , never wait use facility hardly even see another soul , although place almost book solid . cable bummer , ' m totally addicted NY1 ' m city , spend daily prep time room anyway , cope . heater make strange noise , figured noise came stop bother . hot water shower plentiful ... except & quot ; peak & quot ; morning time , make simple adjustment daily schedule ( enjoy little extra sleep ! ) .I ' ve recommend Chelsea Lodge friend since staying ' m plan booking trip Fall . 's cozy safe staff polite . could ask ? 
 Jul 6 2005 	 fabulous 	 husband & amp ; stay one garden suit street private bath & amp ; kitchenette . fabulous fabulous fabulous ! clean , staff helpful & amp ; friendly & amp ; location can not beat . feel like live Manhattan , visiting.the bathroom huge , complaint stand shower , make really difficult girl shave . ; ) garden huge ( city standard -- not expect football field ) & amp ; serene & amp ; quiet ... could totally forget be NYC . definitely go back , great experience 
 Jun 25 2005 	 great place stay Great City 	 husband recently return New York City 10th anniversary . wonderful time . stay Chelsea Lodge disappoint . like review read , place clean safe . room adequate quiet , especially consider full house ! W / C hall fine . not wait que . can not beat price location incredible . everyone friendly willing help . restaurant Chelsea great , especially rock Horse R.U.B . ( Righteous Urban BBQ ) . Byron rise Dragon tattoo great job flash design tattooing ! bouroughs amazing ... much see . buy New York City Pass ticket , save half Empire State Building , MOMA , etc ... pass get walk past 1000 people wait line get moma ... worth price admission right . buy ticket ahead time want see anybody Blue Note ... usually full house . Taj Mahal Trio rock ! love NYC , even though good home want go back ! 
 Jun 23 2005 	 clean bed much 	 Convenient . price right , bed hard sheet itchy . noisyish street . look , frill experince , bare step backpacker . still , NYC , good clean bed safe place wanted get . 
 Jun 20 2005 	 nice experience low price 	 stay one night early May . come NYC see concert determined spend lot money room . pay $ 95 stay could pleased . first experience B & amp ; b type place , initially feel little weird idea share bathroom . adjust easily enough ( , believe ) . feel much like stay someone 's house .... probably , come think . anyway , be safe quiet street practically around corner subway station . lot place eat drink area . staff not particularly friendly , certainly not rude . room small would not call beautiful , clean comfortable enough . New York City , excellent choice folk would rather spend money great food , etc . , rather place sleep . will definitely stay next trip NYC . 
 Jun 7 2005 	 good enough good value 	 stay NYC Memorial Day weekend determine find lodge $ 100 night . Chelsea Lodge $ 95 per . have wife probably would pass , since would not want shared bath , , not problem . think place fine . room clean , sink shower , toilet ( 2 floor ) keep well - clean . hotel convert brownstone , certain charm respect - feel like apartment build no - frill hotel . desk clerk also friendly lay - back , chat baseball check ; ' ve stay far expensive hotel feel like item assembly line check - in . one caveat : A / c , ceiling fan , have leery staying midsummer . also , cable tv , go NYC watch tv ? 
 may 31 2005 	 Good Bad 	 absolute bad service ' ve ever experience anywhere first get place . grumpy overweight guy give we & quot ; '' last name , & quot ; struggle even look we . besides that- room clean well kempt , though small . not mind share bathroom . Service get well . 
 Apr 27 2005 	 Comfortable Hotel 	 stay one suite room couple day around four day standard room mate April . the suite comfortably , roomy clean . ground floor room face main street make room bit noisy morning sometimes late evening - though nothing cause major concern . bathroom shower ( great hot water ) kitchenette handy though do not use it . the standard room small dark even though decorate light colour . room face next building ' wall generally quiet ( though view ! ) . room seem pack tighly could hear guest wall walk stair corridor . shower basin fit room make bit snug . think share toilet make quiver arrive , though clean time . shower hot water . staff generally friendly . for price pay NYC think Chelsea lodge generally good value . would stay though would book one suite spacey stay . 
 Apr 22 2005 	 Quaint lodge quiet area 	 ROOMSWe stay quite nice room ( overlook rear house ) much big thought . room light , clean plenty big enough 2 people . toilet ( corridor ) clean . tv , shower sink room . foodno food , plenty nearby ! great bagel place ( esp Big Cup ) lovely restaurant ( check thai food popular Spice ) .STAFFThe staff not friendly , helpful . LOCATIONOn quiet seemingly safe residential street . Chelsea lovely place stay minute walk Subway . recommend area stay ( away tourist ! ) community feel . pricefor two people ( inc tax ) standard room approx $ 121 . reasonable . I would thoroughly recommend base stay New York . 
