great 	 enjoy stay Martinique first time visitor New York New Zealand - central everything want everyone helpful . eat restaurant three night stay New York meal great . especially enjoy able get meal 11.30pm show Broadway . would definitely stay . 
 Jan 3 2006 	 New Year 's Eve 2005/2006 	 although nice hotel , staff pleasant . would go long way smile . wall thin , thin hear every conversation next door talk loud enough ... aka whisper . you need key get pass security throughout day ... safe . would reccommend - walk 10 block times square - 10 - 15 min walk , nice walk . martinique cafe bit stomachache . bed and room clean housekeee efficient . 
 Dec 20 2005 	 Smack bang centre Manhattan ! 	 although Holiday Inn Martinique class luxury hotel , 's location , large room , service security make . subway mere stone throw front door hotel . addition Times Square , 5th Avenue , Macys , Manhattan Mall various well know store easily accessible foot hotel . would recommend hotel potential visitor New York want central reasonably price location possible . staff friendly helpful . I ' ve stay hotel 5 seperate occasion negative experience . ' ve always get good rate Holiday Inn Website . 
 Dec 14 2005 	 Good experience 	 husband , teenage daughter stay hotel , 9/12/2005 - 13/12/2005 , read review try change hotel book unable . glad say enjoy stay , situation good , broadway , close Macys , approx 10 minute walk Times Square , also next Subway . room stay 2 double bed recently redecorate . clean well maintain . we good view across broadway . maid helpful friendly however report reception staff less welcome lack pleasantry , although find common occurence throughout stay ny . morning departure 2 people knock door 11 am deadline check process depart . appreciate . , fault hotel , feel customer relation could however improve . stay Salisbury 2 year ago knock spot . 
 Dec 9 2005 	 great central location clean room ! 	 get back Martinique , stay 12/6 - 12/7 . company book room little wary never hear read previous review . however , not experience pitfall list previous reviewer . location : excellent . walk Times Square , Rockefeller Center Javits ( within 15 - 20 min . ) walk back Broadway show 11 pm never feel unsafe . ROOM : small clean . marble bathroom look update . furnish bedding seemed recently update well . view ( inner courtyard wall ) quickly learn much quieter view ( siren honk 3 am . ) service : yes , really shove bill door morning schedule leave . worried since company pay bill would problem ( read previous review . ) check could not find faxed credit card authorization . however , desk clerk simply stand side resolve matter 10 minute . go check , extra charge go smoothly ! check bag last day problem . also , doorman ready leave bellhop hail cab airport . all pleasant experience . note : ' m low maintenance come hotel . not order room service expect bag take room . not eat cafe either . 
 Dec 9 2005 	 Pleasant Surprise 	 stay Holiday Inn Martinique early December business . would normally pick non - chain boutique city . choose hotel strictly rate since rate city astronomical time year . book petite room sure expect . pleasantly surprised find hotel room fine need . staff friendly , locatation good , room nice , overall pleasant experience . impressed restaurant , eat choice NYC , big deal ... 
 Dec 5 2005 	 Perfect Place Stay 	 get home long weekend City . originally book Portland Square , read pretty nasty review mouse bed bug decide switch Holiday Inn . minute arrive know make right decision . door man Billy awesome . give we great tip shopping deal ( Steve & amp ; Barry 's Manhattan Mall ) help we get cab whenever need . staff friendly overall . hotel nice clean . room 11th floor large NYC modern bathroom . seem pretty update bed comfortable . House keeping come every day replace towel make bed . feel completely safe would stay . even 349 / night December , be worth . 
 Dec 4 2005 	 bad hotel 	 go NYC every year . bad Hotel . rude staff . night asleep doorman bang door . try deliever luggage room . check day before . he wrong room . call tell front desk get cut . call back appolize . 24 Hr . front desk ? ? ? ? ? ? ? ? stop tub drain . ice maker 11th floor work . say go another floor . call several time thing room one occassion call twice thing . never never holday inn . thing good location . worth money time . 
 Nov 30 2005 	 Martinique -- destroy luggage part package 	 great location , serviceable room , find someplace else plan leave luggage checking . must play football bag , come 12 hour batter break . management take responsibility damage , offering & quot ; frequent flyer & quot ; point . 
 Nov 24 2005 	 great base see Manhattan 	 go open mind read good bad review . first night room 4th floor little cramp 6 night stay . move minimum fuss 15th excellent room adequate facility . staff excellent stand hand look tip like hotel City . hotel perfect base explore Manhattan . couple nice bar 5th good couple diner breakfast block away ( 5th ) . help we ball NYC . 
 Nov 23 2005 	 Fabulous Hotel . highly recommend . 	 fabulous hotel ! would highly recommend anyone . room clean comfortable bed huge bath towel . staff accomodate friendly . bellman adorable - point hugging every time see ( ' m grandmother ! ) housekeep right top thing every day , & quot ; Disturb & quot ; sign door , would call ( reasonable time ) see need anything . location excellent . travel infant ( 2 month old ) , bellman insist refrigerator room baby . end search several vacant room locate one we . ignore review staff unfriendly room nice . hotel fabulous . travel every contiguous state US , ' ve stay lot hotel . Holiday Inn Martinique rate close top list . 
 Nov 8 2005 	 Holiday Inn fine 	 back 5 day stay hotel New York quite apprehensive read review . hotel absolutely fine . room clean clean daily . coffee maker god - send ! two sister book double room . room initially allocate find little small , although great view ( 16th floor ) . go back reception immediately give key another room look . big take one . room look inward , view , day sightseeing / shop absolutely unconcerned . also facility store luggage wonderful late flight day check . hotel around corner Maceys one side Empire State Building subway stop right outside . problem find find somewhere nice eat nearby evening . resteurant Macys great lunch try Speedys across road Breakfast couple time ok . like korean resteurant lot around . New York everything hope would . find people wonderfully helpful . time go View Merriott hotel Times Square cocktail . 's revolving cocktail bar . cocktail cost 16 dollar view slowely turn absolutely magnificent . 
 Nov 2 2005 	 great stay Martinique 	 stay Martinique three nite , 10/26 10/29 . book hotel thru Priceline . check - in , clerk move we room full size bed room queen top ( 18th ) floor . room comfortable size Manhatten , sweeping vista view skyline , still something see . everything clean comfortable . mid - town location great , two block Macy 's , one block Empire State building , walk distance Times Square , subway station entrance outside front door . real complaint top floor , machinery roof could hear hour ( think fan kind ) , keep get good night sleep . would stay , recommend friend . 
 oct 22 2005 	 hate cafe 	 cold food , horrible service , 20 % service charge ! awful experience . 
 Oct 20 2005 	 Excellent value location ! 	 place gem , find good internet rate 3 we head NYC . 2 double bed free rollaway ( like real bed , cot ) Room quiet , clean comfortable . staff friendly helpful . would stay minute ! 
 Oct 19 2005 	 bad hotel New York 	 English journalist misfortune stay Martinique part press trip . visit New York several time vary budget , honestly say must one bad hotel city . room dingy horrible enough , complete lack customer service skill ensure pit place stand midtown accomodation wrong reason . my partner several reason complain 2 night stay , even tell front desk journalist write article hotel fail ignite customer service skill . I would urge people book hotel stay taint view amazing city generally treat visitor warmth . instead try Affinia cheap league Martinique style service . 
 Oct 12 2005 	 cramp roomone double bed 	 reserve room Hotwire . advertise three star hotel . believe two star hotel . room size walk closet . one small double bed . room dark dank . husband try restaurant pour rain outside . food luke warm fly buzz around food . thing hotel go ' proximity Madison Square Garden . would stay . 
 Oct 3 2005 	 exceed expectation - pleasant stay 	 stay Holiday Inn Martinique Thursday Friday , September 29 30 . first trip NYC involve important meeting , little high strung question special request . bellman team arrange transportation conference airport luggage storage day . concierge take care dinner recommendation , reservation direction tour advice . room pretty on - line photograph - crown molding , room view , clean , tasteful carpet , decor bed linens - & quot ; cherry & quot ; furniture , pale yellow wall blue carpet , upholstery bed spread . also big expect full - size bed , large arm chair ottoman lounge , desk open space . ( note : Holiday Inn reservation list bed full , actual hotel list bed Queen . ) bathroom small clean appear recently renovate . bill deliver morning , door . wall thin , A / c provide noise cover . eat hotel restaurant , cute diner retro decoration . korean restaurant next door offer good service reasonable price . female travel alone , feel safe . would recommend stay Holiday Inn Martinique look mid - price hotel , especially want near theatre district . service personalize need professional entire stay . 
 Aug 24 2005 	 Loved ! 	 stay Holiday Inn Broadway 2 night . staff extremely friendly , room nice clean . get superb rate $ 138 2 night ( Thurs & amp ; Fri ) hotel bathroom decent size bath tub , also clean . bed comfy . location superb , close almost everything want see . definately stay time visit ny . 
 Aug 9 2005 	 stay hotel 	 stay Holiday Inn nightmare check - in check - out . travel two friend - we work hotel industry . hotel receptionist two friend concierge . make booking , internet . receive confirmation room two double bed . know system work , triple - check website term condition extra person charge , request non - guaranteed etc . we find word website . also contact hotel directly prior arrive confirm room type . arrival quite upset check room one double bed . eventually give roll - away well ( charge ! ) friend 7 foot tall expect sleep leg hang end . our room dirty , smelly cigarette smoke , dark could not tell whether day night outside ( view brick wall ) .The next day move room two double bed . room also dirty several thing break room . annoying toilet overflow several occasion . the main purpose hotel provide clean comfortable accommodation . hotel provide either . the staff rude unhelpful actually make feel ashamed part hotel industry . 
 Jul 22 2005 	 right price right place 	 book discount , pleased . great location -- also good someone NYU hospital . stayed 3 nite . Room make one day -- MLK holiday may ' ve something . staff helpful . good eat nearby -- especially Brooklyn Bagel deli . cheap souvenir town end block ( east ) . would pay $ 350 nite stay , get $ l50 less , good . good security , near Penn Station . 
 Jul 17 2005 	 reasonable rate great location nice staff 	 ' m sure many negative review . wife 15 year old son stay one week July could not please . hotel lobby small not exactly beckon one hang , hotel room provide adequate space , clean well maintain daily . wonder negative review read site complain & quot ; small room . & quot ; room average size price category , would challenge writer find hotel room big price . carpet look fairly new , bathroom fixture tile new appearance well . bar lobby well light tastefully design contemporary decor . drink bit pricey , show bar NYC be . staff interaction quite nice helpful , especially Tom , doorman , give we several good tip dining . central location Midtown perfect area get around town . subway entrance twenty pace hotel 's front door . esb one block away , Macy 's two block , Times Saquare ten minute walk . walk Times Square back three time , night day , never feel unsafe threaten . neighborhood around hotel feel safe quite busy weekday night . homeless may see hang park across street , never anyone harrass we morning morning coffee there . overall fantastic stay NYC . 's hotel shoot myth rude New Yorker hell . throughout week , perhaps thirty , forty , maybe fifty interaction new Yorkers , one less pleasant . tourist guide tell openly read map street , lest predator approach . quite opposite happen . local people approach we warmly offefere help direction . great city nice hotel ! would definitely stay hotel . 
 Jul 14 2005 	 exactly expect 	 book trip NYC wife 's 5th wedding anniversary . originally book another hotel online travel agency . hotel get good review big room convenient location . get put Holiday Inn Martinique reservation company hotel initial reservation turn full . agency 's policy confirm reservation fact confirm put guest equal well hotel , quite shocked saw room - 10'x10 ' smoking room small double bed hotel assure we queen size . tell reservation company Holiday Inn beautiful 4 - star hotel contest change , get disappoint . hotel staff try well get we big bed book capacity , good could give we 2 single bed non - smoking room , next night move we non - smoking room 2 double bed - exactly way plan spending anniversary . reservation company nothing try offer we something well except call front desk hotel give we response front desk give we . anyway hotel really fault , little disappointing room nice expect . not mean picky , comforter bed one towel stain , something would expect see establishment . the redeem factor staff , try well find we well room help we move bag around . also let we keep bag hotel check could little sightseeing . 
 Jun 28 2005 	 treat fairly 	 stay early june holday inn Martinque . hate . reserve room 6 week advance 2 double bed , get room 2 single bed 5 we . suppose send roll away bed never arravie . give we 20.00 price room . big deal kid sleep floor . never get extra towel ask . customer satisfation program go holiday inn . never stay ! 
 Jun 25 2005 	 hate 	 stay Memorial Weekend friend . request 2 double bed make reservation line arrive hotel tell none available .... unless want pay $ 75 night surcharge . course pay way run hotel . although room allegedly non - smoking , reek stale cigarette smoke . air conditioning work never really cool room satisfactory level . cafe adequate service extremely slow . the good thing say hotel conveniently locate . bellman doormen helpful rest staff lack . would stay . 
 Jun 6 2005 	 Memorial Weekend 	 husband good experience hotel ! 's funny read good review nice clean room , quiet . look like paint new everything long ago . like cafe right downstairs nice bar well . move Red Roof Inn dump , room smell like ashtray . not seem care 2 morning luckily find room Holiday Inn street . hotel close good site ... Macy 's , Empire State building , Penn Station far , Times Square . hope good luck like ! 
 may 25 2005 	 nickname Dump 	 get stick staying work time co - worker negotiate good rate , stay though . ' ve stay lot Holiday Inn 's , one Toronto particularly nice . Jowever NYC one leave LOT desire . stay one , team nickname hotel & quot ; Dump & quot ; good reason . Platinum Priority Club member get room smell like stale cigarette , burn carpet , big hole comforter . one co - worker peephole door miss place tissue paper stuck hole . twice two we get back room dinner ( around 9 pm ) service . one co - worker towel room call repeatedly get . Friday check , find bill hallway ( door ) personal credit card datum , include name , address , full credit card # expiration date . note other hall go notify front desk , not seem care one iota risk identity theft / credit card fraud information available anyone would pick bill . basically place awful , refuse ever stay along team , especially female not appear safe either . 
 may 24 2005 	 book hotel 	 book Holiday Inn Martinique May 2005 company work , business trip , number colleague . as check , tell money yet settle , give credit card security . come check , balance still quite finalise , hotel tell we would bill individual credit card , wait money finally settle agency involvedwhen return home take money credit card entire stay , even assure we would not . also beware minibar . electrically tag , even even touch item , decide buy , bill , difficult sort staff find surly unhelpfuli extend stay New York day - 2 minute walk away road Red Roof Inn , $ 90 ( £ 50 night ) less . cheap , much well , clean basic , lovely helpful staffTo conclude : book Holiday Inn Martinique , whilst room unpleasant , get well value elsewhere well customer service 
 May 20 2005 	 Nightmare 	 return trip New York thank stay Holiday Inn holiday exciting time expect .... arrival hotel , stay two night , pay first night , deposit second night tell would ok pay balance checking .... go room , toiliet block light break room vacume . light dirty carpet could get toilet ... easy without .... problem toilet sort light never fix . on morning due check 11 am , get early unasked wake call two security man 7.30am , demand balance room . norm New York ? ? ? shocked . would give we five minute get dress come pay , escort 2 man unpleasant say least . moment think jail book treatment receive man . bad enough woken bring pay get back room realise overcharge . go get money back sign many form , though mistake part . complain manager whole episode sure stand front day would still wait say sorry . never treat badly life . look back website make laugh read service claim provide hotel . far suggest . review website else review actual service provide hotel . thank experience Holiday Inn Broadway , never go New York 
 May 19 2005 	 Overnighter 	 stay one night . job . good location . room well keep . give wrong room key , try call one bring , tell key work . nope . security policy . 
 May 15 2005 	 Martinique okay terrific value ! 	 stay Hotel Martinique ( Holiday Inn sort ) purely fluke . husband not lot plan many trip take year . typically like show , town , drive around ' til find place look acceptable . do countless time never fail . ( contrary , hotel ' ve see internet turn quite shabby , view person . ) leave Washington , DC multi - destination driving trip , way NYC dog . DC hotel , download hotel option internet , laptop . one one call reservation , one one , tell hotel would not accpet dog dog size . ( Like 's difference . ... loser . ) begin thumb pet - friendly hotel guide friend give we . even , still difficulty . see , not want stay anywhere . usually stay 5 star hotel . 's possible , low standard enough find good available hotel . yet , , tell pet - friendly information list incorrect ; not update , ultimately , hotel would allow dog stay room we . we pretty much give , start plan skip NYC time , try feel & quot ; hail Mary & quot ; call . call Hotel Martinique Broadway ( despite be 3 star rating ) , could not believe tell welcome pet guest , , rate $ 99 / night ! dumbfound ... bit concerned . veeerrrryyyy skeptical would find arrive , give room rate downtown Manhattan . what find perfectly acceptable high - rise hotel . nothing glorious , worth $ 180 / night , least . the location can not beat . 's right Broadway , close many attraction . we actually try stay subsequent trip , hotel refuse confirm non - smoking room we book , unequivocally refuse try accommodate us non - smoking room , even wait one clean , etc . [ hate nit - picky , one ( glaring ) drawback , otherwise , welcome pet policy . hotel staff member must physically go check room be allow check . make checkout procedure quite lengthy tedious . insulting , affluent , educate woman , teach responsible dog ownership & quot ; travel pet etiquette & quot ; would presume guilty kind problem be look . ( hand , ' m pleased know single human guest ever cause kind damage go undiscovered guest check , history hotel . unique Hotel Martinique , regard . experience , far human guest cause problem pet guest . hey , be : rational , reasonable person expertise area hotel pet policy , impeccably behave , scrupulously clean , love pet . far demand hold accountable action , negligence people not even know , keep pet way find abhorrent . , congratulate Hotel Martinique spotless record human guest , guest pet single extra scrutiny . ) ] not mind presume guilty , would recommend hotel pet owner . 's one & quot ; pet - friendly & quot ; hotel area . ( pop Ritz - Carlton , inquire pet policy . tell would readily welcome whole family , without restriction . , probably stay next trip NYC pooch . ) also stay W Hotel - New York - Tuscany , & quot ; accept & quot ; dog 80lbs , readily make & quot ; exception & quot ; we . various W Hotels also another option pet traveller . the real drawback dog owner lack nearby green space elimination . ( always , always , always clean pet , please . ) tell & quot ; off - leash park & quot ; several block south hotel . however , nothing like off - leash park city . think , ' why even bother ? ' tiny , fence - in section small park , gravel foot quite painful dog 's sensitive foot . city , 20 off - leash park , be huge grassy field , woode trail , one fence . could not believe eye discover pass & quot ; off - leash dog park . & quot ; hey , Manhattan . seriously , go Central Park off - leash time , find strip public grass leash potty break . hotel Martinique good value , relatively good option pet traveller . 
 Apr 19 2005 	 great hotel 	 stay week , great value money , good location . upgrade room two double bed , load space , good size bathroom . read reveiw hand bit nervous reveiw bad , find hotel fine problem not people . room clean tidy , fresh towel clean everyday . Hotel Macy 's Empire State build 10 minute walk Time Square . would stay . find staff fine not queue check , find staff fast , efficient friendly . Booked non smoking room recevie non smoking room , email double check booking respond quickly within hour . 
 Apr 14 2005 	 not stay 	 price pay holiday inn martinique expect well . arrival lobby look great . downhill ........ check staff rude abrupt . ask non smoking room book reservation make . tell room avail . argue bit give non smoking room . room TINY , closet , space bag , jump everytime came/ leave room . aircon noisy rattle night . first night come back 22h00 unserviced room neighbour room service tray lie outside door 2 day untill request move . wait 1/2 hour come service room , staff unhelpfull rude . telephone system properly work , call housekeppe get front desk ect ect . also message give . unpleasant stay . 
 Mar 28 2005 	 not believe negative review ! 	 stay Martinique March Break shopping trip friend . try book Expedia several week advance , hotel within Manhattan area either book solid two week school Spring Break , charge extremely jack - up price . get ready pay approximately $ 130 canadian room dubious - look budget hotel outside main city area opening come Martinique , $ 160 CAN / night & quot ; petite room & quot ; two twin bed . since two we not really care bed size , sound perfect - expensive compare would pay hotel Toronto , * * March Break hotel NYC expensive time year . we get hotel two hour check - in time give room right away even though have expect check bag come back 4 p.m. check . room clean well - equip - good lighting , coffee machine , iron ironing board , tv , minibar , safe , etc . problem room hairdryer bathroom not work , not matter would bring hairdryer we anyhow . not eat meal hotel , use business centre basement floor check email - 's convenient use , access internet cheap one cafe across street . room clean daily time return hotel shopping day everything tidy new towel , etc . place night . hotel staff quite helpful get we taxi hold bag we checkout time last day city leave airport several hour 11 a.m. checkout . the good part hotel LOCATION . subway stop right outside door hotel , great shopping within second - Manhattan Mall , Sephora , Macy 's , H & amp ; , Victoria 's secret , etc . short walk Times Square take time figure subway line , corner city easily accessible spot . hotel Koreatown many cafe restaurant area open 24 hour want bite eat come home theatre concert late night . overall , place definitely luxury hotel - want honeymoon NYC plan spend lot time hotel , pay extra stay elsewhere - sightseeing shopping trip , lovely place stay can not beat term location price . will definitely stay ! 
 Mar 25 2005 	 OUTSTANDING ! ! ! ! location everything ! ! 	 book hotel thru hotels.com , get great price @ $ 148.00 night . stay March 21 - 25 2005 . hour reasearch hotel NY great location , CLEAN , great value etc .... finally settle Holiday Inn Martinque . book read review always positive little nervous stay . arrive hotel 12 noon check not 4 pm . first tell room available 3 pm . tell tired long trip look find room we ! wer able check go room immediately , blessing ! wait long check front desk staff friendly . room standard room 2 double bed surprisingly big thought would . perfect daughter friend daughter . room one clean room ever stay try hard find something clean . 1st night get back room 9:30pm realize need blanket , towel , pillow , shampoo thing . call houskeepe send someone immediately thing want even though let know everything . come 3 time 1/2 hour , always smile ! doorman helpful , great always check room key would let . real perk little gift shop back hotel main floor . price amazingly reasonable . find fault hotel , thing could even think water pressure shower strong like . could definately live ! ! hotel good location possible convient place want go . subway right door , Penn station 1 1/2 block , Macy 's 1 block , empire state building 1 - 2 block actually walk time square back time ! ( 20 - 25 min walk ) also walk today show , NBC studio etc ..... ever get pleasure visit ny , definately stay holiday Inn Martinque ! 
 Mar 24 2005 	 Superb Location 	 first ( many hope ) trip New York stay Holiday Inn Martinique Broadway . superb location service doorman William prove bundle information . the hotel around corner Maceys , Empire State Building , Madison Square Gardens host fine Deli 's , fine eating place Irish Bars .Taxi 's take part Mannhatten within short space time really inexpensive . all , superb base visit New York 
 Mar 19 2005 	 great location 	 stay 3 night , book 3 room family vist New York Feb 05 . booked room Hotel Anywhere good price £ 63 per night . checkin fast efficient friendly staff . room vary size view , look internal courtyard , staff happy change room , may lucky peak period . the location great , Empire State around corner , Macy be across road good subway connection Central Park Battery Park Ellis Island etc . I ' ve use hotel twice would certainly go third visit . 
 Mar 10 2005 	 two Thumbs ! 	 first trip NYC book stay hotwire.com . little nervous try service not know name hotel pay , pleased find Holiday Inn Martinique have stay . get amazing deal $ 99 / night hotwire . I call hotel directly book hotwire speak Anna . pleasant informed booked & quot ; full size & quot ; bed mention could ask front desk upgrade bed arrival NY.We arrive Sunday , Feb 27 , 2005 4 night greet Emmanuel , another extremely pleasant hotel employee . ask possible upgrade queen size bed say 'd & quot ; problem & quot ; ask we would like King size bed . ummm ... yes ! ! ! parking garage across street hotel discount rate hotel guest validate ticket give . think rate $ 27 per 24 hour period . end cheap have plan . we third floor ( Room 308 ) end hall . quiet . room quite roomy expect NYC hotel room . clean comfy mini - bar in - room safe ( not use ) . room large window , albeit look dark alley keep curtain draw . the location hotel excellent . 1 - 1/2 block Empire State Building , 1 block Macy 's across street Manhatten Mall , 10 block Times Square . subway entrance right beside hotel front door need different subway line could walk couple block Penn Station . get Metrocard ( $ 7 per day ) allow we go city come back & quot ; home & quot ; drop parcel need be . our first trip NYC huge success part stay hotel . complaint ( could call ) regulate heat room . thermostat room last 24 hour stay find hard get room & quot ; toasty & quot ; warm ( like ) . not cold , heater seem blow cool air fan . not hamper trip though barely room husband enjoy temperature abit cooler . also , weather bitter cold outside could something it . this great hotel friendly staff great amenity . want hotel near attraction without heart Times Square ( pay ton $ $ ) , place ! would go back ! 
 Feb 23 2005 	 Great Hotel Good Location 	 stay three night February 2005 impressed hotel . clean security good . good thing location . right heart New York , 2 block Empire State Building . drawback would say two kid ( 11,9 ) double bed quite small two fit . say would go back . 
 Feb 19 2005 	 outstanding place 	 stay one night early February great spot . good security door , park right across street $ 27 validate hotel . room good , place nice clean staff pleasant helpful . great spot stay city Empire State build one block Times Square theater district 10 mintue walk away . would highly recommend property next time ' m city will stay . can not go wrong Holiday Inn . 
 Feb 7 2005 	 Excellent Excellent Excellent Excellent 	 stay two night January . Quick , friendly checkin , room perfect order , comfortable bed . would stay . good price , good location . 
 Jan 27 2005 	 Fantastic Location 	 read previous review also bit wary expect . arrive 13 January 5 night check pleased tell room ready . 5th floor room 523 whilst room be not overly big adequate need overlook broadway , noise could hear open window close air conditioning could not tell outside . report wall thin noisy worried do not hear thing ( might something tired long day ! ) do not eat hotel , go american burger co breakfast time must go sunday brunch Isabellas W77th street , fantastic really cheap consider standard ! Times Square 10 min walk broadway , esb round block , Penn Station block away metro line outside . do not really use hotel facility , New York do not want stay hotel ! could not fault need something . checkout time say 11 one notice 12 another . leave shopping untuil last minute check 12.30 staff do not say anything . maid must heart attack see shopping bag room ! overall , would say location good thing hotel , would definitely go back . maybe nice hotel nearer central park look nice ( also nice price ! ) unless money burn would not bother would take long get place . also try Rauls french bistro thompson sullivan st Soho , managed get table 6 pm saturday gorgeous . 
 Jan 23 2005 	 Great Location highly recommend 	 arrive 15th January despite concern reservation minute ( quickly resolve ) give room 16th floor ( unfortuately back view ) . room clean tidy perfect five night stay . location fantastic two block Penn Station handy come Newark airport . Times Square 15 minute walk esb round corner . corner subway entrance handy journey r / W line . problem coffee machine report one morning return later day machine work . would definitley use hotel whilst visit New York . 
 Jan 20 2005 	 impressed 	 pleasently surprised check hotel January 14th , 2005 . mixed expectation ( read review ) everything top notch . receive exceptional rate Hotels ( 93.00 ) figure would probably end horrible place price ( NYC ) . first thing notice walk room , clean place . also near sight . park car garage 3 day walk take subway EVERYWHERE . hotel centrally locate subway enterance corner . this exceptional value definitely stay . 
 Jan 17 2005 	 great hotel ! ! ! ! ! ! ! ! 	 get start badly arrive ( Dec 28th - Jan 1st ) . 7 pm check . send 8th floor room occupy . go back front desk , give another room 4th floor , also occupy ! be upset . go back front desk give another room 4th floor . 3rd time charm ! unoccupied . mixup check , room clean . get room 2 double bed . stay 4 night . must show room key whenever return hotel peace mind security . would definetly stay hotel . fantastic location locate near Penn Station convenient we . not even charge we rollaway bed . could not ask well location . not good view - back quiet sleep great ! quiet hotel . staff would give mixed review . helpful . would recommend double triple checking reservation though ! , hotel great disappointment . would stay . 
 Jan 12 2005 	 Location Location Location 	 stay Martinique Christmas 2004 ... brilliant .... sceptical reading mixed review sight , write one . hotel fabulous location . staff friendly helpful ( think singe doorman nice touch ) hotel well present clean . feel safe entire time stay . breakfast incude wonderful .... drawback hotel room size .... hey New York City .... not need sit room . seem small sacrifice brilliant location . can not wait go back . * * * * * 
 Jan 5 2005 	 Good Value Martinique 	 stay Martinique 2005 New Year period . good clean room , good security pleasant , polite staff , especially bell captain excellent arrange transport etc . criticism regard slow check - in front desk staff good enough cope peak period . 
 Jan 3 2005 	 overprice 	 due disorganisation husband , end book night stay 29th December pay $ 220 room . upon arrival , disappointed find check - in 4 pm check - out 11 am . room small require facility clean . window look onto scaffold little surprised see workman whilst dress next day ! breakfast poor luckily not hungry . gym ok not get use little putting find people office could watch work . good thing hotel probably location - around corner Empire State Building walk Times Square . would not stay price - sure far well hotel available . 
 Dec 21 2004 	 recommend 	 spend day hotel great location , around corner Macy 's . fabulous stay . room beautifully clean bathroom . really well look . continental breakfast impressive lot hot cold choice , good value staff really helpful . recommend stay . would definately go bcak . 
 Dec 17 2004 	 great location 	 stay last weekend , everyone helpful kind . felt secure , check room key enter hotel time . room basic clean . paper thin wall hear neighbour . pay alot time year . view 15th floor room . overall , average . 
 Dec 15 2004 	 bad price 	 husband stay May 04 , get pretty good deal hotel . room small , clean . although staff not friendly , helpful calling cab we help we direction . location good . short walk times square . budget hotel work well . look upscale hotel not recomme stay . 
 Nov 26 2004 	 Fiasco Holiday Inn 	 stay Holiday Inn last month 4 night . good thing location , right centre thing . everything else hotel shamble . still try sort problem credit card bill someone else stay . come back day find room not clean . smoking room despite request non smoking room whole floor stunk . the bar expensive lot staff abrupt . would go back hotel . 
 Nov 15 2004 	 well thought would except ..... 	 Smokers alley call , smoke 8th floor get put , ( even email advise pregnant would arrive late could take consideration allocate room ) come lift , smell smoke terrible . room fine , clean ( Bed clothe smell smoke change request day 2 trip ) bed comfortable bathroom everything need work . customer service little hit miss front desk 1st representation hotel , really 1st class . duty manager let we keep room check day another 5hours extra cost though . breakfast buffet excellent value restruarant staff attentitive need . hotel well situate would recommend long ask non smoking room make booking . visit 11/11/04 - 14/11/04 . 
 Nov 4 2004 	 problem 	 excellent location explore part Manhattan . service excellent - especially arrive record booking , rang Expedia right away sort without fuss . the restaurant - especially buffet breakfast - great , reasonably price . 
 Oct 18 2004 	 avoid Avoid avoid far well hotel $ $ $ 	 recently & quot ; pleasure & quot ; arrange business meeting hotel room 8 guest Holiday Inn ' Martinique ' . never bad experience career . avoid HOTEL . start minute call reservation office . person could hardly speak English mess every single one 8 reservation make ( single , non - smoking room ) pretty straightforward thought . even list multiple name reservation add confusion . & quot ; sale & quot ; department much well . take 3 day respond request book conference room send pricing . also take 4 review everyone 's reservation ensure correct , arrive hotel mess . boss wait 45 minute room . good thing . hotel & quot ; conference center & quot ; title , surely not staff experience running business much less hotel . really unbelievable , every step painful make bad service , rudeness , general uncaring attitude & quot ; make thing right & quot ; . heck , never even get thank receipt ask one ! 
 Oct 13 2004 	 3 star price 2 star service 	 one would think stay Holiday Inn , matter locate , certain amount quality not find NYC hotel . upon check , realize key room not work . although immediately report front desk , 3 day spend Martinique every time leave room return , wait security come let we room . sometimes take 20 minute ! ! ! ( give kudo John security -- nice friendly guy seem dumbfounded fact key continually refuse work -- may something battery lock losing power , least 's explanation everyone use explain problem nobody ever bother recharge battery ) . fact put smoking room specifically request non - smoking room . inquiry move non - smoking room seem overlook . room clean , somewhat shabby . however , one thing Martinique go location ! ! perfect tourist budget want stay somewhere central . not expect bare minimum 3 star hotel . . . one probably low tier 2 star ! ! 
 Oct 10 2004 	 think ok ! fact good ! 	 stay Sept 8th Sept 11th 2004 . New York day early week break Lake George . Skyline Hotel cost we please Hotel Martinique well quality less money . could not fault hotel apart little thing like provide fridge safe room expect pay extra use . room well appoint bathroom high standard . the hotel well situated staff helpful appreciative dollar tip . would qualm whatsoever recommend hotel friend stop ever back NY.If visit NY holiday would recommend get one ticket allow see attraction reduce price , e.g Empire State Building , SS Intrepid Manhatten Cruise . 
 Aug 30 2004 	 little sketchy 	 want stay somewhere midtown , think Holiday Inn would inexpensive , decent choice . turn , room meet minimum qualification 3 - star hotel . not anything terribly wrong - run . taxis , room cost around $ 150 / night - great deal ... 
