RUDE 	 hotel rude person customer service base job ever misfortune encounter . lie , accuse lie , obnoxious completely incapable work hotel reception . people skill quite clearly ability deal genuine complaint . brief time hotel hoverheard 4 seperate people make complaint facility . we book 3 double room family break , travel seperately other party arrive partner book . arrive tell ' receptionist ' double room leave would tripple , say come 12 pm follwe day could change room double , reluctantly accept , make way tripple room . room would expect travelodge ( see photo ) . bathroom dirty dirty towel remove , hole bathroom door , grout around bath sink grubby , dry rot skirt disgusting brown build something unidentified around join toilet tile , soap , plastic disposable cup clearly use guest we ( toothpaste stain etc ) dress table / desk chair , look like brown liquid stain wall top bottom ( god know happen room ? ! ? ! ) look like either vomit hot chocolate stain side tv unit finaly mould around window . disgusting . avoid cost . photo post reviewer REPRESENTATIVE ROOMS HOTEL . FLOORS RENOVATED ROOMS.As suggest night go reception ask room change , receptionsist ( different one ) say fine tell we pack bag preparation move . tell come back afternoon double room would ready . return original rude receptionist back duty- cut long story short - double room available , deny person speak morning even exist , counter say woman not work ! ! ! ! deny tell we check could swap room , basically accuse lie making . hotel overbooke option stay room find another hotel . appear ok hotel give someone else double room book pay arrival refise point blank give we double room someone else yet book even although mean splitting party 6 . end two we move another hotel . arrange we pick taxi move another travelodge . turn taxi unmarked driver drop we 10mins away travelodge . idea go hail black cab take we . get second hotel record we move ! wait hour deputy manager able give we room . sort mess . fussy , expect room standard pay , pay £ 59 per night ( room ) , cheap London standard . expect palace expect get double room , get clean room staff treat bit respect dignity pay customer . 
 Aug 28 2006 	 great night town . 	 two night stay travelodge August bank holiday weekend . typical Travelodge- acceptable clean hotel room want somewhere sleep night whilst see sight London . Book early £ 26.00 per night . it evidently & quot ; high volume & quot ; hotel consequence fixture fitting little worn , however perfectly clean . room , air conditioning not work properly , stay hot night make sure check out . this hotel wireless internet access throughout hotel ( £ 5.00 1 hour £ 14.99 24 hour ) , although internet cafe road let internet fix reasonable 99p per hour . the area hotel situate choicest , however perfectly safe couple chip shop kebab houses road hotel . two local pub walk king Cross ( 10 minute ) perfectly fine worth visit nightcap . 
 Aug 23 2006 	 awful place 	 bad hotel experience ' ve ever have . we book one night first room give distinctly dilapidate feel paint flake wall cigarette burn carpet curtain . and small ... small . so troop back reception get move we , , room size slightly well appoint . unfortunately could not open window properly middle summer heatwave air - con like oven . leave door open hope air - flow would gradually cool place down . it didn't . at around 3:00am would enough leave wife daughter room , decide have well sleep car ! visit also coincide crowd italian kid stay noisy monopolise one set lift reception various floor hotel . staircase alternative want leave floor wrong time spend 10 minute wait lift not pack gunnel chatter teenager . we skip breakfast flee . 
 Aug 6 2006 	 Clean Comfortable Cold AC - Great Value ! 	 move Travelodge check nightmare hotel day early . website promise clean , modern room consistent throughout chain , dissapointe . provide clean duvet instead traditional nasty polyester hotel bedspread scary brown blanket . hallway swelter , we concern , open room greet blast cold air ! actually turn AC bit even though London middle record - break heatwave . room back hotel , quiet despite busy King 's Cross area . sleep like baby first time whole vacation . the Travelodge chain no - frill philosophy , will not find hairdyer toiletry soap , 66 GBP ( normally 75 GBP , book last minute ) really fantastic value ! website make easy book room . 
 Aug 3 2006 	 great clean basic accomodation 	 room full little placard tell miss service ( minibar , room service , little shampoo bottle etc . ) save money . really , not miss anything . clean room , tv , tea coffee , towel , soap , hang space -- need ? bed comfy strangely bouncy , room little warm -- stay heatwave , not imagine would usually problem . stand line little check - in ( one way save money work staff hard ! ) check simple dropping room key slot . location fairly good -- 's 7 10 minute walk king cross station excellent tube rail connection . area ' slightly dodgy ' fine -- ok walk night walk briskly not stop say hello . 's handy Bloomsbury British museum . good choice price . 
 Aug 1 2006 	 clean value money 	 Looking Tripadvisor varied review Travelodge Kings Cross London , would seem like people describe two different hotel - think . two king Cross , list building station multi story office look building street away , call king Cross Royal Scot review about . I stay several Travelodge year , common Docklands . Royal Scot one central London excellent comparison Docklands . clean , room decor spotless . hotel next main road build fully double glaze , could not open window , Air Con provide room . room shower bathroom spotlessly clean . pay £ 26 night advance internet deal please . reception staff friendly helpfull , really surprised good compare Docklands lodge . 
 Jun 22 2006 	 good HOTEL cheap rate 	 well girlfriend stay 4 night find hotel quite nice . ok 5 star luxury .. 26 quid night can not complain . I would not pay full amount per night .. grab bargain supersaver well worth it . its close king Cross Thameslink station handy get part central london . the area around hotel ok . nice takeaway corner shop right opposite hotel .. handy cheap alcohol soft drink ! ! overall good stay money 
 Jun 5 2006 	 typical travelodge - complaint 	 stop last Friday , easy find king cross . arrive 6.30pm check quick - give room 410 , double overlook carpark away road nice quiet . comfy bed , compact bathroom - shower unit little rusty work fine . plenty storage usual Travelodge tv , kettle etc ... notice lot mildew bathroom ceiling do not effect way . Didnt hear neighbour wall / door room must thin could hear people talking walk past corridor ! sleep well spend day travel / walk / sightseeing - light sleeper might sleep well ? bar reception area clean bright - do not use bar never eat Travelodges I m vegan go juice bar breakfast ! number cafe route king cross cook breakfast . get cold drink licence opposite ( open til 11 pm ) Travelodge staff friendly helpful . I find area quiet - feel safe single female traveller . I would not pay full amount hotel - £ 26 rate good value London price sure Il return . 
 Jun 1 2006 	 horrible Hotel 	 trip group friend birthday . however , good hotel . window restrict , air conditioning operate , bathroom really small ventilation bathroom . overall spend night Travelodge . please think twice wish stay Travelodge Kings Cross Royal Scot . 
 May 31 2006 	 great time ! 	 travel bit nervous stay Travelodge centre London . luckily reason nervous . first impression hotel good . reception area bar / restaurant modern look classy ! stay floor four six problem 3 lift hotel . location brilliant five minute walk away king cross station ( Underground ) . nice restaurant alongside hotel ... recommend Matertranio ... nice ! ' take away ' KFC McDonalds around corner . the staff friendly offer much advice could ; barmaid laugh always smile face ! hotel room ample , nice size , tv , shower etc really need city break . room next road problem traffic noise ! 26 pound night get good deal ... would pay 60 + go back . already look forward go back ! go ! will smash time ! LONDON brilliant . 
 May 21 2006 	 Excellent Budget Choice 	 partner stay hotel 3 night begin May . read review regard rat , tempt go , book travelodge website get £ 26 per night rate , cancel could get money back . get glad give go ! follow advice previous review , exit king Cross Station Thames Link exit less 10 min walk hotel . check quick trouble free . room millenium section ' m sure new room refurbish really nice . admit check bed rat need ! wall must thick hear noise guest . slight complaint would traffic noise morning , early affect we . room clean , bathroom definitley good Travelodge stay . serve breakfast opt try nearby cafe ( Station Cafe think call ) get full breakfast tea toast £ 4.00.for price £ 26 room per night London , hotel absolute bargain add bonus king cross station link nearly tube line , direct route wherever want go . would definitely book stay . 
 May 15 2006 	 Excellent value 	 hotel book web £ 26 tariff available . reception area new check fast efficient . room clean quiet . third stay time good . however breakfast cafe choose . 
 May 3 2006 	 Good Budget Choice 	 stay Travelodge Islington , call Travelodge king Cross Royal Scot , two separate occasion : April 16 - 19 April 25 - 28 . book 26 pound per night rate find Travelodge website . regular rate website range 60 - 70 pound . 26 pound rate outstanding value room amenity , well location hotel , would hard find well room regular rate . we room 203 206 two stay . ensuite bathroom tub - shower unit , twin bed , tv basic channel option purchase channel ( ) . phone require credit card swipe use -- use phone mobile phone . bed cover duvet , duvet cover well bedsheet change daily . extra pillow cupboard . receive large bath towel well small towel . typical british hotel , washcloth . room 206 overlook inner courtyard , contain parking space . though window open , find room incredibly quiet hotel generally . room 203 overlook Vernon Rise ( road , remember ) . double window , windows shut street noise . Vernon Rise almost traffic . could see King 's Cross Road Penton Rise window , could hear traffic . the hotel purpose build structure 1960s architecture . lobby hotel new comfortable attach bar / restaurant . smoke looby restaurant , though people smoke stoop outside . check - in quick easy occasion . arrive hour ahead check - in time first stay receive room right away . baggage check hotel , wise double - check room availability intend arrive early . otherwise , King 's Cross Station offer baggage check . try bar , pleasant enough , restaurant menu look reasonable -- one could eat simple meal , pub restaurant nearby look good . lobby , find room take one three elevator . elevator small could figure use stair get lobby , odd delay get floor busy time . elevator work fine bit scratch . second floor hallway look bit worn look quite decent all . the room clean reasonably maintain . woodwork scratch place wallpaper loose . bathroom clean , though could use thorough dusting . touch mildew one tub , spotless . large heating cool unit wall , use . the hotel easy ten minute walk King 's Cross rail station . walk Pentonville Road King 's Cross Road , followe right hotel . also exit King 's Cross Tube station Thames Link station ( follow sign Thames Link ) , exit right King 's Cross Road make walk bit easy . also access hotel one bus stop Pentonville Road ( second stop King 's Cross station ) , go Weston street -- mere 3 minute hotel . alternatively , hotel 15 minute walk Angel tube beautiful leafy street . number bus pass close hotel , 63 go right . area general feel safe . street front hotel busy - ish , behind nice residential street receive almost traffic . park Percy Circus right behind hotel quite lovely . overall , 26 pound price find bargain , not think well deal find money . yes , rough edge find experience 100 pound London hotel . , regular rate quite reasonable . book expect five star hotel , place . book expect value pay , clean quiet hotel , satisfied . note check - in one patron want room change , speedily accomplish . know negative review , honestly say pleased hotel . get expect price quite palatable . 
 Apr 20 2006 	 bad ! ! ! ! ! 	 read review page , bit concern exactly expect hotel room specially area , consider London acquaintance & quot ; sort rough & quot ; . must say pleased find ( specially see picture post ) room nice look clean , comfy bed , good shower , small electric keetle , tea coffee available . problem : guest ( brit ! ) loud , arrive late night big noise ... do not breakfast ( find bit expensive besides , soo keen GBP 6.50 all - you - can eat brakfast , many people ... 2 supermarket close ( tesco caledonian str . ) several small shop nice breakfast ..... area , king 's cross horror people tell , must say time walk around night leave hotel , maybe lucky .... another good thing , quite central , bus many tourist attractin city ( time bus ride - otherwise take tube , 10 minute walk hotel ) . PS : hotel new name : TRAVELODGE LONDON KING 'S CROSS ROYAL ASCOT 
 Apr 17 2006 	 honestly bad ! 	 book Travelodge Islington ( Royal Scott know ) 5 night panic read review site . the truth hotel absolutely fine base somewhere rest head . stay husband 7 year old son find clean handy tube station king Cross get anywhere need go . have pay full room rate may impressed pay special rate £ 26 room per night fact clean enough ! ! hotel quite noisy - door automatically slam 's bit shabby carpet bit threadbare place etc truthfully totally fine long not plan spend much time it . as review slate place think must pay high rate room ........ ! 
 Apr 2 2006 	 minimum standard set ! 	 agree comment construction worker take picture hotel room . good evidence . as previously post forum , stay room 527 rat move 53x freezeing . staff either poorly trained/ work overtime/ lack support ( i.e . lack staff ) .I say offer cheap rate advance on - line directly . walk - in rate £ 65 ( cheap ) book agent something , definitely get type cheap rate . it definitely embarassment - entrance dinner area look nice - soon walk towards lift/ corridor , see reality . yes way one can not complain pay £ 26 get room clean bed stay night , pay cheap rate , think twice book - especially winter time old - aged heater work , also check - in early spare room available rats/ flooding bathroom . it simply coat paint require ... total refurbishment . ; understand think get away poor condition poor customer service . 
 Mar 31 2006 	 word caution 	 contruction worker , work away home year stop lot budget hotel time . hotel untidy grubby hotel ever stop . could imagine wife 's face , open door room tell week would never take kid ( 3 2yrs ) dump , doubt £ 26 per night . the bed clean last good point room . mould bathroom , window , ceiling . electric fan heater heating , hole wall picture , wallpaper fall window . think leave photo talk iam get mad thinking place.i hope photo put picture simalar reveiws mine . p.s people stay give rave reveiws hotel stay 60 's guess last time modernise 
 Mar 30 2006 	 Excellent value 	 reading report hotel not know think . vary . anyway would got offer £ 10 night 27- 29th March . arrive 4 pm greet nice receptionist . ask quiet room several report say hotel noisy front , say would see could . say would put we & quot ; millenium & quot ; room 2nd floor ( room 2001 ) . site side hotel really quiet . load wardrobe drawer space , much luggage . heating work shower etc . yes strange - still pillowcase ! pillow cover clean still put towel case . use restaurant site £ 6.50 could eat breakfast think good value . yes could get breakfast cheap across road time add toast coffee not really cheap . plus coissant yoghurt , fruit cereal etc juice well . eat hotel one evening fine lovely italian meal resautant call & quot ; casa Mamma & quot ; near king cross station Grays Inn Road . main course , wine coffee £ 30 2 think good value really nice . even turn away people 7.30 - bad Monday night . anyway uneventful stay speak find would stay - particularly could stay £ 10 night ! 
 Mar 20 2006 	 Free RATS cheap rate -NEVER ! ! 	 rat neighbour - never ! ! ! Travelodge offer attractive rate hotel central london little £ 26 book line early advance . pay somewhere . I stay 2 night January 2006 ( consecutively ) . first night ok although room old - give price pay , could not complain . definitely attitude probelm among staff not give damn anything . check , another couple panic lobby water leak bathroom - like flood precise . however , staff & quot ; in - charge & quot ; phone 10 minute + take check - in , nobody anything water continued flood . I get impression & quot ; change room & quot ; common hotel staff use . believe long room change , fine - 's nothing panic apologise about . I confirm stay second night . choose room quiet room . 1 am , see shadow room realise RAT ! ! ! ! ! ! ! ! escape hole wall floor ! ! ! ! ! ! absolutely disguiste ! ! ! phone reception report request change room ( bear mind phone reception telephone room e.g press 0 .... call mobile reception number advance ) . 1 am pajama tell collect another key reception . apology whatsoever ... tell guy pajama given check new room , would well bring key show room first decide accept . persuade . staff turn , interested whether rat mouse . not apologise . addition , old - aged radiator/ air cooler ( least 20 year old ) not work . rat room new moveable radiator ( something use home ) room move later not get one- move rat room , cold rest night . I stay various Travelodge 4 time Oct 05 Jan 06 . offer uncooked food ( uncooked sausage ) Worcester Travelodge staff rush watch X - factor final ; wake clean staff 9 am Covent Garden Travelodge although sign outside door clearly say & quot ; Disturb & quot ; . think minor rat Islington Travelodge , leave option put on - line let everyone know . do know Travelodges offical web site external picture show ? ( i.e . bedroom picture ? ) condition appaule . say clean like hotel refurbishment 20 year . would lucky new radiator room old one work . I choose stay Travelodge obvious reason cheap purchase on - line advance . 4 stay 3 ridiculous experience , way would stay another night Travelodge again . one final note phone Travelodge head office trying find Travelodge London new ( i.e . least refurbish last 2 - 3 year ) 's less likely get hole wall ... tell Islington new ! ! ! ! ! ! believe ! ! ! ! yes reception canteen certainly rooms/ corridor .... never 
 Mar 11 2006 	 great stay travelodge islington 	 return home stay 5 day . room little small , London . it clean bed comfortable clean , want busy day sightseeing ! shower great room nice warm . all staff reception restaurant helpful friendly . breakfast good value . it good walk tube bus pass door . it busy weekend , wait several coachload student leave restaurant could get table , noise night sometimes much . budget hotel popular overseas student party . spoil break , retired people use quiet life ! ! would certainly use tis hotel , great value money . 
 Mar 6 2006 	 Travelodge worst ! ! 	 stay many Travelodges UK one defiantly one bad ! ! arrival London , rang Travelodge helpline ask direction Travelodge Islington ! ! 3 TIMES helpline direct Kingscross travel inn , person give correct direction lady Travelodge Kings Cross - also try re Islington Travelodge direct - connect Warrington . after walk 1hr 30min ( 15mins walk maximum ) - walk busy , disorganised reception ! ! work hotel Peak District never quite experience anything like : hotel step litter , takeaway paper , cigarette butts beer can ( welcoming ) - reception staff 2 member staff - around 50 people try check in . after long wait rude , work reception lady , direct room first floor advise use lift , hotel 3 - first lift stop 1st floor , second lift stop reception 3rd lift stick 4th floor . take stair watch several people climb lift stay force door open - would advise stair anyone stay ! ! room clean everything would expect Travelodge complaint . although window 7 foot ground consist slit 2 foot wide ! ! city , not really problem . Sunday morning come , 7 am fire alarm sound , stop 30 second partner stay room , , count total least 20 time alarm sound 7 am - 10 am morning , consider extremley dangerous everyone ignore alarm - also extremely annoying ! ! ! leave London feel disappoint Travelodge , obviously make cut back able afford £ 26 room offer , customer expense ! ! stay write Travelodge await repsonse ..... one disappointed customer . 
 Feb 15 2006 	 Excellent- Travelodge Islington 	 gf lodge Travlodge Islington weekend feb.12th , 2006 . experience great . good= room comfortable , locate main road much traffic noise night , nice eastern - european reception lady , nicely decorate , comfortable mattress , adequate closet space , heating / AC available , towel heating rod , amazing rain - style shower head , ton hot hot water , anonymous in - your - face , CURFEW , delicious fish'n'chips store across street , liquor store across street , check 12 pm great , BOOK 7 day u check u get room 26GBP otherwise 65gbp . BAD= narrow hallways / doorway building make difficult roll large luggage , electricity elevator one day advise ask room low floor possible checking , hotel bit walk king Cross Station 15mins ( Travelodge king cross close station travelodge main road much close construction happen king Cross subway bombing ) 
 Feb 13 2006 	 Recommed hotel totally . 	 back weekend hotel would contradict previous negative comment / review . we problem check - in staff helpful efficient . room small ( triple ) clean , bathroom shower problem . eat bar night food good well price . bar staff friendly helpful . Tube 5mins away cab pass door regularily . we go Islington night walk home night . to hotel Islington high street 15mins max . we group lad ' m sure would want walk wife . that say see trouble . one complaint chamber maid last morning . she come room 3 occasion 9.40am on . on 3rd occasion 10.20am tried tell we check 10 am politely tell go away come back 12 pm would go . absolutely would stay again . finally ' ve find value money hotel ... 
 Dec 14 2005 	 never ! 	 stay one night pay £ 65 . hot cold water next morning brown ! room heating break ( great December ) .cold shower . Mouldy shower curtain bathroom ceiling . half curtain miss . due stay cancel booking . good location not make poor hotel . 
 Dec 9 2005 	 bargain ! 	 people complain hotel deserve big slap . forget BUDGET hotel charge BUDGET price . pay Budget price expect budget service , Travelodge Islington deliver expectation . the location excellent , short walk ( turn right ...... ) tube station . certainly dodgy area - though big stretch imagination describe location Islington . reception bit manic , check 3 pm - clearly state website , along fact offer leave luggage facility . room spotless - though lobby area could describe grubby . so would recommend Travelodge Islington - certainly . want luxury however , dig deep wallet book Ritz . 
 Dec 6 2005 	 ok lowest price hotel london 	 get pay - stay 3 time last year first time great . reasonably price breakfast locked room luggage - change . become expensive pay extra breakfast , would long store luggage hate reception area . queue system stand around large square wait someone see hope . however room whole clean good , limited noise pleasant . close king cross close . 
 Nov 30 2005 	 surprisingly comfortable Travelodge Islington 	 arrive Travelodge around 6:00 p.m. Monday , 21 Nov . wait least half hour smokey lobby . always 2 receptionist work , sometimes 3rd would step help . when finally make counter , greet pleasant young lady . immediately find reservation , fill paper work ; sign ; inform breakfast option interested . I book room via internet , receive paper receipt , personal contact anyone . concerned review , check - in go quite smoothly . our room 3rd floor . one must enter security door room key , order reach elevator . then , several set firedoor corrider . one use security key open room . the room surprise large , quite clean . cold , bit difficulty heater . complain first night , one ever come . heat begin work complain , however . window wall definitely leak cold air . wear woolie ! third night room quite warm , must sort problem heating system first . the shower powerful hot . plenty towel . small soap . amenity . , know expect any . we choose non - smoking room , extremely sensitive smoke . room simply smell . the wall brightly paint high ceiling . the bed come duvet cover , , surprisingly , top sheet . plenty pillow . overall , would say room excellent purpose . card never charge check , problem room . a warning phone : charge outgo incoming call . find quite unusual . charge post right phone . we opt breakfast , choose stop local breakfast shop Gray 's Inn Road . since really sleep showered room , quite pleased accomodation . pay 50 £ per night 2 adult one 15 year old . also , find Travelodge unsafe neighborhood . city area , see anyone lurk look shady . 
 Nov 12 2005 	 Liked Travelodge London Islington 	 return stay Travelodge London Islington say reasonably price ( £ 50 night triple room ) . hotel 8 minute walk king cross train station . room ok plenty space . television , telephone , air condition tea / coffee make facility . not eat Travelodge , can not comment meal ( except say see meal serve look quite good ) . bar reasonably price . comment unsafe area , never feel threat walk area night . quite handy public transport ( bus stop close ) . use public transport , consider buy daily ticket ( £ 4.70 9.30 a.m. ) king cross station . ticket use bus , Underground , train . overall , would recommend hotel ( especially get deal internet . 
 Nov 8 2005 	 love room Shame staff ! 	 recently stay hotel birthday book read review ( bad one ! ) online bookin system crash give fax confirm pay phone upon arrival ( 7.30am ) tell rather cheeky manner person reception way speak little english would go back 3 pm ( note internet site read 12 pm ) check , tell could not leave luggage ! go half7 morning 2 heavy suitcase try fill time . blister finger hand finally 3 pm ! WOO ! fantastic wait 10minutes queue check tell wrong queue ! ! ! ! eventually see another jump male receptionist speak little english witnessing argument 2 receptionist finall ' help ' . 30mins check close breakin point room ... single bed wen book double room back downstairs go back twin room ! close loose plot go way back reception wait queue meet really friendly receptionist , expectin worst make way room greet .. huge room gorgeous double bed bath / shower ! room housekeeping fantastic u not mind treat like idiot staff argue hotel PLACE ! ! ! 
 Oct 8 2005 	 surprisingly good 	 experience horrible night another hotel ( Travelodge ) fear worst , however , pleasantly surprised . hotel clean , smart well - appoint air - conditioning , tv , telephone etc . location 5 minute ' walk away king X tube , connect Hyde Park Corner 10 minute & amp ; Heathrow Airport approx 60 minute . nice italian restaurant virtually next door & amp ; hotel quite nice restaurant . stay Travelodge Islington make extremely pleasant Aleksandra , Manager go way friendly helpful . warm , genuine sincere person clearly enjoy job , well . I really appreciate hotel . hesitation recommend Travelodge Islington everyone stay place five time expensive good . 
 Sep 29 2005 	 great value money 	 one pleasant hotel stay London . excellent location ( 3 minute walk king cross station ) .Room air conditioning , nice clean . PS : hotel policy refuse keep yout luggage 12.00 pm ! catch plane evening find another way keep stuff ... 
 Sep 27 2005 	 ok £ 28 	 2 travelodge close , Islington king cross road . price : Stayed £ 28 night ( double room ) London cheap location : 5 minute walk king cross station . run area , type board shop kebab house ` feel entirely safe dark get taxi back 2nd night .STAFF : ok , insist book coachload we even though first .ROOM : shower head loose wall , air con working , sink partially block , bed noisy uncomfortable fact general feeling room unloved . however room clean .SUMMARY : plus point , £ 28 night ( special offer ) , 5 min walk tube , travellodge chain , clean bed , nice resident bar open untill 1 .bad point , bad travelodge ever stay , lumpy bed , scruffy , need coat paint , nice area . taxi bond street £ 8.50 bad ` fancy tube/ walk dark . stay : , £ 28 spend would , fairness nice hotel cost lot . probably ok lad weekend away ` impress romantic weekend.email question . -- - 
 Aug 24 2005 	 Excellent value 	 stay ath hotel find one pleasant stay London . excellent location ( two minute walk king Cross ) , room amazing - really large sofa view onto king Cross Road . bar price ok , braekfast would well take cheap option get day breakfast one local cafe half price charging . 
 Aug 20 2005 	 hotel Islington 	 Colleagues & amp ; friend book hotel understand Islington name mean actually Islington - either Angel ( Jurys Inn & amp ; Hilton ) mile away king Cross Rd address mean one good value hotel KingsX section Euston Rd part KingsX state - of - the - art regeneration area . alas , establishment tired old hotel , close Percy Circus ( charming bit London residential architecture ) , king Cross Rd - heavy traffic , ammenitie & amp ; good 10 minute walk kingsx tube / rail & amp ; bus . their comment tired & amp ; past 's good . Travelodge take itover relatively recently & amp ; may improve . the new KingsX hotel Grays Inn Road & amp ; York way 
 Jul 5 2005 	 comfortable stay 	 pay £ 45 / nighthad complaint - room clean , staff courteous even air conditioning room blessing ! breakfast well worth £ 6.50 though slow refill Nearest tube station king Cross Thameslink easy less road cross rushhour , probably good area alone dark major city 
 Jun 19 2005 	 Disgusting 	 recently job interview London company arrange stay hotel night interview . firstly , nice area London .... agree review ' dodgy ' location , especially small child . when arrive hotel , thought look alright . stay many travelodge mistakenly think ' you could not go wrong ' travelodge . wrong ! inform check room not shower like have request bath instead . quite annoyed needed shower interview . receptionist allay fear tell ' shower head ' bath , prepared let go ( not spend money room ! ) arrive room ( 6th floor ) , bit disgusted grime peel paint bathroom . however , nothing compare absolutely disgusting sight pillow bed . firstly , pillowcase , secondly pubic hair stick fibre ! Yuck ! blatantly change . check cupboard clean pillowcase spare pillow , find pillowcase spare pillow also pubic hair . go reception politely ask pillowcase tell not ! react demand new ' clean ' pillow explain find numerous pubic hair mine . receptionist look dubious ask sure not eyelashe eyebrow ! ! ! ! ? ! firstly ... DEFINITELY pubic hair secondly .... hair pillow ! say would get someone change . wait 3 hour still change . extremely tired need go sleep interview . go back reception complain receptionist say someone would sent immediately new pillow . HOUR later guy finally show ! acknowledge hairs pubic hair apologise inconvenience honest little , late ! would think could not get bad .... ! go shower morning shower not work ! fact , process try get , cold tap get jam woul not turn . push time get reception sort ... not seem understand urgency complaint . fact , demand another room shower refuse leave reception another room key . overall , probably bad hotel ever stay ! would reccomend everybody pay little extra stay somewhere grasp basic hygiene , cleanliness customer service level ! 
 Apr 25 2005 	 not even think staying 	 ' ve write load review , great middling place take cake . we have travel 5 hour want get room rest . sound easy ? take we hour get rooom . we give electronic key swipe- come back old key ! ! needless say would not swipe . we que lift go back fiddle , say 's ok needless say wasn't.3 times happen - all time quee coach load people return blast key knew not go work . it not even work staff member key . the downstair loos work switch card could not even use they . eventually manager appear , let we , find tv break , plug sink , breakfast follow morning like free scrum . we could not wait get away . there must well hotel area- try anywhere . 
 Apr 23 2005 	 good value . 	 hotel close king cross station . although good value money lack many thing . breakfast joke . run everything : sausage , bean even milk bread . the building work start early often 8 am Unfortunatelty renovating room directly . king Cross Road dodgy . always empty seem like back street even though many shop restauant . staff helpul room tidy . handy trip Arsenal . 
 Apr 11 2005 	 never 	 first thing notice hotel area . feel uncomfortable walk hotel king cross even daylight . although be 5 minute walk station encounter several ' character ' along way . we book triple room allocate double room plus . tell room allocate first come first serve basis seem strange not get choice despite book 7month advanace check 30 min early ! ! ! complain give free breakfast reduction price even though could booked room type £ 46 intsead £ 60 via travelodge 's internet site . the room clean comfortable although noisy . could hear staff arrive work 7.30am building work begin hotel 8 am . maybe unlucky room back onto car park . if stay London would choose different hotel . 
 Mar 28 2005 	 not stay ! stay king cross travel inn instead ! ! 	 stay hotel one night 16th march . check - in fairly quick absolute nightmare try find room . room 2011 tell take lift 2nd floor . spend next half hour wander around corridor try find room - eventually find - furthest along corridor flight stair take we ' annex ' area . lift sight - easy heavy case . room ok , spotless stretch imagination ok . bizarrely annex ground floor directly outside window workman . would think hotel would avoid put people room woth workmen work street directly outside window ! , 1 am fire alarm screetche . go . . . go corridor trying find staff confuse people wander around , not see staff . overall good stay - try avoid hotel . king cross travel inn much well , far efficient hotel . 
 Mar 27 2005 	 Danger ground floor - never stay ground floor 	 currently stay travelodge Islington £ 45 per night double be bad . get pay nothing . however , check last week go go room ( ground floor - room begin 2000 ) hear noise . knock hear someone say ' shhhh ' , knock , hear someone say ' it be woman ' ( not completely stupid ! ) say key go open door . take aback afronte 3 male youth ( believe also call scum today ) . try fob fact parent check decide stay long ( suprise consider double bed 2 parent three teenage boy ! ) none tell come reception , scarper fire exit . realise break ( not want even guess - could cuppa watch bit terrestrial tv ! ) go reception inform happen quite often police call . tell want room one top floor , put room , remote towel . complain credit , return remote towel provide . WORD WARNING , single female - never agree stay ground floor hotel . light point , complain , ( ok may wait ) complain not offer free breakfast , ask one , always get ! 
 Jan 26 2005 	 never 	 really cheese place . travel fro , Cornwal two week ago , delay hot stuffy train want beer chill , wrong . reception hotel be not bad , do not booking , try charge extra , secretary call book reference number , suddenly find , wow strange one , staff friendly enough , alas bone idle , card do not work 4 time , , well happy , smile , sure wind ? room like cheap cabin cruise ship , tiny word , seriously small , anyway shower , ( shower head filthy assured hard water hhmm live london , shower head never like ) go drink , door handle come hand , give reception say would fix , return hour later , fix , , get picture , do not tell pass reception maintenence could not repair take 20 min get room offer change room , could not get stuff , yes like hell think , pod phone wallett night , think , game hhmm ? ? ? time go beer lobby , go watch bit telly , ask manager turm say can not , argue relent , victory last , mind be not worth staff sit around thi shift finish watch tv drinking coffee , guest stand hhhmmmm . comment book next morning quality tell oh well shrug shoulder , complain travelodge , guess two week later refund , stay argue get money back right , doubt , avoid avoid avoid 
 Jan 20 2005 	 great Room tenner ! 	 stay January one night . Travelodge , facility basic . enough iron hairdryer go round need leave deposit manage get one . however , find reception staff extremely helpful polite . first room bit smelly tv heater work . apology , move huge corner room double bed sofa two window overlook square back . room enormous comfortable stayed would definitely ask corner room . overall , £ 10 night laugh ! 
