LOVE 	 would totally recommend Pod Hotel friend ! trip NYC July , leisure , alone . take single room share bathroom perfect , perfect , room small , fit everything ; share bathroom great , 10 day , everytime go bathroom ( two per floor , great ) empty , never problem wait someone , ... hotel full , floor quiet , really love . decoration awesome , cool , perfect young people , nice everybody ! location good value really great . I doubt next travel NY stay Pod ! 
 say tin love ! ! ! 	 book hotel base review trip advisor disappoint . excellent location ; tuck away crazy - walk 3 - 5 min road be Radio City Hall . hotel clean funky little Pod become home 4 night . great people want stay outdoors day use base sleep get ready . double private bath perfect us pop head share shower floor also clean tidy . hotel do not tired look many hotel matter nice clean - hope keep update maintain . feel safe comfortable enough girl would happy stay . breakfast recommend Morning Star Diner - come hotel turn right right ( 2nd ) . really cheap friendly proper diner experience ( look ) . overall great hotel ; look ; cheap , safe , funky , good location , clean room bathroom safe . would go ? ? ? yes wihout doubt ! 
 funky good value 	 return short stay Pod Hotel nyc . although hotel funcky basic 's great value location make short coming . book large room queen bath pretty tiny fine . staff great helpful room bath clean . side space sit garden patio roof garden ... need sort good fun . great group single . 
 Jun 15 2008 	 would stay somebody else 	 stay 3 night -- 11 14 June single 3rd floor opposite street . room bathroom safe , clean , efficient . american standard , small room , average & quot ; Businessman 's Hotel & quot ; room Japan size . never wait bathroom , see 3 guest hallway entire stay . yes , hear guest closing door inside room . could hear tv set stand hallway , could hear within room . I take show shoe ( flip flop would wear beach ) know share bathroom . really necessary , want prepared . never summer camp , youth hostel , Army barrack , share bathroom might concern . fine , would turn girlfriend parent . have difficulty WiFi . call tech support twice spend 20 minute time . hooked , fine . AC would cool room first quit . size room , freeze outside mid 80' . plenty restaurant , cafe , bar , small grocery store area . smal fridge room would great , probably want encourage food room prevent roach . about 5 minute walk ( luggage ) subaway station 53rd Lexington . catch e train ( $ 2 ) Jamaica Station transfer AirTrain ( $ 5 ) JFK . take 45 minute Saturday morning . pay attention stop station announcement difficult hear . 
 Jun 15 2008 	 fantastic gem place 	 take boyfriend NYC 30th back Feb . Booked Pod good review not load cash splash . double room fantastic . Small perfectly form . like 's company not stack luggage place . also , room really warm despite freeze cold outside . go enjoy ! 
 Jun 13 2008 	 Excellent ` ` Jumping '' point international travel 	 never NYC , international flight jfk.i decide spend 2 night need perfect . Flew La Gaurdia , take bus Harlem ( not scared people come on ) , take subway almost directly hotel . check midnight problem . concierge provide map city good advice breakfast , walk everywhere ( anywhere walk distance , enough time ! ) convenient light room alert shared bathroom use , useful . room small clean , spend day hotel room anyway ? new flat panel tv room , never use . clever use space room make pleasant experience . great view rooftop garden . check painlessly . take subway Jamaica , change train JFK . arrive airport early expect . all convenient location , $ 100 / night ! 
 Jun 13 2008 	 Definately recommend 	 wife stay Pod 3 night Dec 07 . recommend number friend , certainly not dissapointe . ok , know read review , room small , design way prevent issue . 3 big suitcase may struggle even , be NYC - long get bed will ok . book ' double room ' adequate need . walk shower welcome retreat long day walk NYC . easy reach major sight ( whether metro , foot ) will not dissapointe location . one tip , be plan go Empire State Building , not . go Rockerfella instead . cheap , less crowded , almost high get see Empire State Building glory ! ! also go Chritmas provide true NYC experience , light , music , horse carriage ride Central Park ; can not get much well . thank pod great base great trip . 
 Jun 8 2008 	 great LITTLE place pardon noise . 	 stay Pod Hotel one night May . hope get 100 $ price many say get , end taxis pay close 200 . book room bunkbed , travel alone . I extremely happy location Pod . one train stop away Grand Central close Rockefeller Plaza excellent shopping 5th Avenue . yes , room small , must lot space , not recommend hotel . try imagine room another person find would tight , lot way accommodate lugguage clothing . share bathroom / shower issue , clean never wait long occupy . I head roof , rain much action . seem like lot people congregate lobby , assume look new friend , could probably find some . my big problem Pod noise . second floor room 210 . day normal NYC street noise car , etc . evening expect certain amount quiet get none 2 a.m .. room directly restaurant . could hear conversation laugh music . awful ! ! not know room otherside hall would well . attribute able hear noise fact air conditioning unit window , noise travel window completely shut . hard sleeper might bother believe everyone else would . winter could different imagine restaurant would shut window door cold . the wi - fi stay complaint guest post sign . docking station room work , bummer . reason noise rate overall experience average . would stay ? probably , would ask room either high away front building . 
 Jun 8 2008 	 suite Pod 	 stay Pod first time Wednesday early June . senior citizen not sure tiny room see photograph website reserve double room private bath . even far less expensive hotel night . arrive 10:30 a.m. room ready leave bag bellman go day . would prefer return hotel evening theater performance want sure room hike back 51st 2nd matinee . upgrade suite 2nd floor . sit area quite large . Pod expect hardly space suite pleasant surprise . three window open overlook street good bad . good since air conditioner not work quite warm room bad two restaurant directly window close 3 a.m . leave evening checking room tell woman front desk AC . ' m sure check return midnight one answer front desk call let go - probably mistake since get little sleep street restaurant noise . overall , bed comfortable enough room bath clean . room slightly tattered fine short amount time actually price certainly much well anywhere comparable quality . single woman feel safe area walk back forth theater district . 51st 2nd not exactly near want good walk shoe unhurrie pace easily doable . 
 Jun 7 2008 	 book friend in- love 	 check friend hotel love . small everying need whilst NYC.PAX deli corner within walk distance majority attractions.will definately return future . 
 Jun 6 2008 	 great hotel price 	 ' ve never stay hotel NYC pod . expect something really , really cramp , disappointed see decent - sized room ( stay one ' queen ' room ) . entire room include bathroom clean everything design maximum usability . negative mention group people make racket 5 morning . else expect , though , be stay pod people ? could hear door hotel manager threaten call police quiet . appreciate sleep , certainly appreciate : ) free wifi decent room pretty good flat screen . will wrap review obvious benefit hotel - location . location , price can not beat . stay NYC will snuggle pod ! 
 Jun 5 2008 	 Clean noisy 	 expect hotel provide clean room , comfortable bed peace quiet 10pm 8am . able breathe room essentially place retreat busy day whether travel business pleasure . also expect hotel deliver advertise , staff friendly , professional helpfull . pro : cleanliness , stylecon : noisy , tiny room , elevatorwe stay 5 night hotel may 2008 period two week . reservation make travel agent choose room private share shower / toilet . double basically bunk bed queen size bed small normal queen size bed . ' m really sure hotel offer single . reception point friendly . we choose queen bed private shower toilet . room extremely tiny everything create much room possible capacity . place store luggage without trip unless place luggage tiny desk . tiny desk fact large bed side table . stay 2 person get around . small safe . the bed small 2 people orient wrong way . headboard two bed side table sleep alongside headboard , head one bed side table , foot one . problem body height large size . the hotel extremely noisy . sound isolation priority . door wall paper thin crack door floor half inch . good thing put luggage floor front door block crack noise . even , bring earplug go need . first half stay , room locate backside , second half stay room locate front side . Backside worse still well front side . basically hear people next door . you small flat screen locate wall position completely wrong way unable turn tilt . good way watch tv simply stand pathway go door toilet / shower bend neck uncomfortable way . there problem wireles internet post notice work it . the Pod hotel restaurant offer breakfast morning . expensive side bagel , croissant , etc . fresh . terrace free buy breakfast / lunch / dinner somewhere else bring hotel . good thing walk 3 minute store call azure . pod hotel work restaurant locate next door offer french cuisine . food good expensive . wine list huge . People not drink alcohol one option : water . would advise visit french restaurant ( one right side stand front entrance ) go Broadway show menu ( serve specific hour ) . excellent good value money . checkout hotel problem expect hotel staff always inquire problem . not . fill feedback card none , guess intentionally . location : 8/10staff helpfulness : 6/10cleanliness room : 8/10room size decoration : 3/10good night sleep : 5/10price around $ 180 per night . get room bunk bed share shower / toilet low 100 $ . fact get glimpse room like would suggest go room . space room ( toilet shower bed much large comfortable + get little flat tv screen . room see also small hand washer . also take look share shower / toilet look pretty descent clean . the hotel 2 elevator cover 12 floor slow . average , wait 3 6 minute able get one . lucky stop floor . I would stay hotel unless choice , , would go room bunk bed share shower / toilet . 
 Jun 5 2008 	 Excellent stay pod 	 boyfriend stay week hotel , book double room . upon arrival , impress trendy chic interior . check quick quote dude counter say , & quot ; not need paper & quot ; . within minute lift , go dump luggage . one thing little ' ugh ' lift . unluckily , take couple minute wait one . plus 's small two people wait lugggage , be little crowded , would wait next one . room small enough move around pack unpack . fall love rainshower ! toilet great , sleek sexy design . 's WIFI room bring laptop be kind can not live day without check email . iPod dock well . window open 's nice pop head get air . location great , food street . 's 24 hour shop call azure corner 51 St & amp ; Third Ave . fruit , sandwich , cereal , name . MacD 's two shop . subway short walk . walk Fifth Ave , Radio City , MOMA , Central Park . I definitely recommend hotel anyone . see old couple , family , everyone hotel . would return stay . 
 Jun 4 2008 	 Pod work we ! 	 book 2 bunk room end June . pod clean , quiet great location ! side room 4th floor never hear thing night - sleep great . not mind share bathroom - always clean always available . whole time , wifi spotty , 's necessity , check make sure be work . ( not bring laptop not care ) . find staff friendly helpful . pax restaurant street great , healthy food ! & quot ; wants & quot ; : small refrigerator would great , plastic glass enjoy wine beverage 14th floor , corkscrew ( throw one check luggage ) . overall , Pod work wonderfully we ! 
 may 31 2008 	 Small perfectly form 	 ' ve return 6 night stay Pod fantastic . last time go NYC stay 5 * hotel great experience ever room sleep wash time decide stay somewhere practical . my sister stay bunk room plenty room we , 4 case numerous shopping bag acquire course stay . share bathroom always clean tidy never wait one . read review bit concerned noise guest / outside , whole time hear little noise guest noise outside would expect city like NY never wake . plenty bar / pub restaurant nearby , many open late . go Morning Star Cafe breakfast recommend it . overall enjoy stay Pod Hotel exactly need visit NYC , clean place great location rest head shower hit street shopping sightseeing . 
 May 28 2008 	 great value money 	 great experience 3 night ( 22 - 25 May ) , start read good review . book bunkbe room directly , later realize also book via website ( eg . otel.com ) offer rebate future use . try ! pod easy find , within walk distance blue & amp ; green subway line . 's chic , modern & amp ; hip . MOMA . front desk allow we check arrive 11am+ . neighborhood hip & amp ; cozy feel ( safe ) . worried room space hubby & amp ; 3 large cargo bag plus 1 cabin bag , alas , miraculously manage fit room . in - room stainless steel basin great convenient . bed comfortable & amp ; lighting great . small tv great comfort . not replenish toiletry , perhaps maid might give request . yes , ask additional pillow , 1 give bed . free Wi - Fi fab many hotel ny offer ! 's rooftop floor 15th ( go 14th Floor & amp ; walk stair 15th ) , good skyline view city , day night . 's many small eatery area , well Duane Reade & amp ; walgreen block away . be also Food Emporium supermarket 2nd Avenue , btw 51st & amp ; 52nd . concierge desk stack in - house create note / survival tip well maps & amp ; NY mag , sure ask ! ask bell boy book & amp ; pay airport transportation service . 's USD20 per pax + usd 1 driver per bag ! good service door door . back ! 
 May 27 2008 	 well worth 	 stay many fine hotel NYC . visit friend limited budget agree stay POD . first little take aback size bunk bed room , read review know room small not really prepared . middle aged appeared guest young debate look hotel option . however decide give try least one night quite happy . POD clean NYC not always case , certainly not opulent way be sell 's well average . issue share bathroom never wait 5 day , bed comfortable staff good enough . area great close enough everything NY offer neighborhood safe , lot decent restaurant cafe . probably will not stay POD age anything else . budget want decent clean place stay NY would highly recommend POD . course check time real value hit 's home , compare hotel bill ' m use get ny , make really wish year young . 
 may 27 2008 	 Good Location Good Price 	 stay pod early April 3 night . ( two we ) book bunk room . room super - tiny Japanese use small living space . despite room size walk - in - closet , desk , sink space hang store clothe . bunk bed equip 10 & quot ; tv - bring earphone not want watch channel travel partner . be tight room pretty much sleep sufficient . we use share bathroom accessible clean everytime . sixth floor think every floor 4 bathroom - never go another floor use toilet despite hotel busy . for mid - town manhattan , hotel AWESOME ! find place cheap nice get new hotel hostel feeling . location great - two block subway another two block Rockafeller Center . there great deli / bakery store awesome paninis , pizza pasta call PAX , MacDonalds 24hr grocery store call azure end block . 
 may 23 2008 	 great experience 	 complete great 7 night stay POD partner early April . stay bunk room use share bathroom . ' ve stay many hotel range price level quality standard find POD fantastic great value money city otherwise expensive . staff extremely helpful ( concierge faultless - need print electronic ticket urgently staff go great length we smile ) . room include bathroom , lovely , good fixture fitting keep spotlessly clean . room feel safe secure . WiFi work perfectly week . one great thing find hotel ( apart price ! ) great location central everything walk one block no.6 subway run length Manhattan put within 10 minute virtually everything . one issue slow lift - hotel busy fine hurry - tip ask low floor - level 2 perfect ! stay next time be town sure - could not recommend highly ! 
 May 20 2008 	 great place 2b 	 get back 3 night stay pod say excelent . book Queen Pod room . clean nice ( little ) bathroom . staff friendly . next time Pod ! ! ! Derk en Nadja ( Holland ) 
 May 19 2008 	 Awesome ! 	 daughter get back 3 - night stay bunkbe room . it exactly expect read review site . yes small perfect two we . one night issue tv 's call front desk maintenance come 5 minute fix problem . we arrive early take red eye allow check inearly really appreciate . one would normallylike sharing bathroom absolutely problem . neverhad wait one always clean private . love window open favorite one 9th floor ( # 3 ) could take shower ( huge ) look outside want . it nice shampoo body wash already showersand room soap , shampoo , moisturizer sink . askedfor extra blanket pillow promptly receive . the location wonderful feel safe . yes noisy , mostly outside ( front hotel whichhad nice view get street noise . wokenup 5 one morning hear large crash look thewindow see lone driver take 4 park car road , one one police officer street . wentto watch commotion entertain ! ! ! first trip NY love , even subway ! get pretty much anywhere cheaply take subway . buy pass day . well worth ! even cab ( could get one ) really reasonable . anyway , checkout breeze hold bag arrangedtransportation JFKlater day . offer shuttle private car . opt private car 45 minute ride $ 45 . price set matter long take . think shuttle stop hotel go straight private car . next time go ny definitely stay . felt likecome home night . definitely go rooftop . cool ! 
 may 18 2008 	 Fun place stay 	 stay one night end business trip New York , wish have book whole trip . this hotel great concept excellent value . room small , know arrive , anyhow want stay room NY ! single room , everything need . room light , bright clean . share bathroom concept not present problem all . Free Wi - Fi great , staff friendly helpful , even 2 am morning . would recommend look somewhere cheap stay not want compromise style . would ideal day city planning . 
 May 16 2008 	 fantastic value - bargain clean great location 	 Pod fantastic bargain hotel great value . stay bunk room 5 night ideal . yes , room small know go still plenty space need . bunk big single bed comfortable . bunk small tv light , handy relaxing long day sight - see . towel , toiletry hairdryer room , handy travel light . also speaker stand ipod , great . as reviewer say , light panel room show bathroom free , ' ever queue bathroom . always spotlessly clean too . the hotel perfect sigh - see NYC . block Central Park , Rockefeller Centre Fifth Avenue shopping subway stop block away , make really easy get around . lot research bargain hotel Pod far good . comfortable , clean room good supply great price . would definitely recommend Pod . 
 may 14 2008 	 cute ! 	 first time New York City stay Pod 3 night 3 girlfriend . 's safe say one pleasant experience life ! ' ve much fun ! full - time student real job , find hotel bit pricey first . realize not bad , consider middle Manhattan . plus , sooo cute ! could not resist ! overall , clean , cute cozy . rooftop terrace favorite part . location , definitely plus . complaint ! four we arrive tired wear - out 8 hour bus ride . step inside lobby , could not believe eye soon fill excitement ! incredibly well decorate 20 year old taste . we feel step hip new lounge . nice mural , pretty light good couch ' ve ever see ( comfy ) ! check - in already room time . book 2 room bunk bed share bathroom 4 we . admit room pretty small , stay weekend problem . bed adorable comfy . sleep soundly every night . even sink mirror could brush tooth without go shared bathroom . bathroom clean modern . love shower head . even indicator room tell we bathroom free occupy . innovative ! favorite part definitely rooftop terrace . nice weather spend every night rooftop chat meet fellow traveler . wonderful time Pod girlfriend ! hotel get perfect review ! 
 May 10 2008 	 Loved Pod ! ! ! 	 sister stay Pod April 28 May 5th . perfect . check go smoothly , get check let we check early . staff always friendly . share bunk room . even though small , well arrange not feel crowded , lot stuff . share bathroom always clean . far people complaint noise , not think noise bad room right bathroom elevator . ' ve stay hotel much louder . love location hotel , within walk distance Rockefeller Center Times Square . 2 subway stop within 2 block hotel & amp ; lot resteraunt nearby . 
 may 9 2008 	 great stay price 	 let start review say hotel . person look luxery . person look cheap motel , either . I read many review place choose price , location cleanliness . aware ahead time thing Pod , good . hotel area much high price want place rest head outing . perfect ! room tiny , every inch room well use . book double pod private bath . stay 4 night , first thing arrive unpacked luggage put thing place . plenty drawer space bed plenty room desk put thing . make sure bring luggage nestle ample space store luggage bottom closet stay . another option might bell desk area store empty luggage stay . the room exceptionally clean well keep throughout stay . bathroom private , other say review , make sure comfortable person room . ( get room share bath clean always available ) shower glass everything close proximity . Pod locate close many thing . several subway stop within walk distance . actually take subway back airport hotel . work great ton cheap take cab ( always $ 45 ) car back . Time 's square broadway abouta 20 minute walk . Rockafeller Center 5th Ave tad bit close . ( make sure check Top Rock ! ! ! ) several little restaurant place grab grocery deli item close . be great little Bagel shop around corner . grab list hotel suggestion place dine fabulous suggestion . grab incredibly amazing australian burger Ruby 's Little Italy ( Little Australia ) . be tiny place food amazing ! ! ! also , dinner Primola MUST ! ! change plan read review .... & quot ; be like look eye God ... religous experience & quot ; . ! service incredible , wine wonderful , food tantilizing ! yes yes yes ! ! staff Pod friendly helpful able help answer question . 
 May 9 2008 	 Bargain stay 	 spend two night business relate trip . find hotel staff efficient knowledgeable . room small clean basic need meet , sink room . several bathroom locate hallway . never problem accessing . not believe find well deal ny . great little breakast place aroung corner 2nd Avenue . would stay . 
 may 9 2008 	 satisfy 	 goal find clean hotel low rate . hotel really fit bill . look high end 4 5 star NYC hotel , choice . need nice solid place stay great neighborhood . land single room private bath could well . con wireless access tad choppy . 
 May 8 2008 	 great seond time around .. 	 ' ve stay Pod twice . first time go well , hence choice stay second time . stay choose bunk bed share bathroom option . first stay low floor ( 2nd 3rd ) 4 bathroom floor . convenient clean . second time around 12th floor , 2 bathroom floor number room share 2 bathroom versus 4 bath . major problem - bathroom quickly become dirty ( towel leave floor , water EVERYWHERE , clog toilet , overflow trash , etc ) clean day . stay Pod , will request floor 4 bathroom will get queen room , however price ' m sure place stay . additionally , coffee offer morning terrace $ 4 / small cup . next morning walk block corner market get 16 oz cup $ 2 . not waste money Pod coffee . on positive note , bed comfortable ( time sheet stiff make lot noise move around ) invidivual tv 's great ! 
 May 7 2008 	 great find ! 	 boyfriend return 6 night stay Pod . hotel surpass expectation excellent . room small perfectly form . plenty storage space importantly clean comfy bed . request extra pillow blanket deal swiftly room always immaculately clean returned day city . hotel good location , nice bar , restaurant deli nearby , well subway several bus stop adventurous , see concierge list local nyc place visit - recommendation good , without feel line hotel 's pocket . hotel start provide breakfast end stay , try take one morning seem bit chaotic hit deli around corner instead . sure give time get groove this . the thing would fault 1 ) noise level night early morning people head bathroom , hate sound slamming door ... 2 ) lift really slow . all though would definitely stay , either business pleasure . 
 May 5 2008 	 Brilliant NY hotel 	 recently stay hotel 6 day holiday New York . location brilliant , block two away subway , 20 minute walk Grand central station , central park mid - town attraction . get queen room - spacious , fantastic shower facility would expect ( towel , phone , hairdryer , tv , radio / alarm etc . ) . minor complaint , connect door adjoining room bit thin , mean could hear everything room next door . minor thing - be NY see city , spend hour room ! ! ! hotel staff friendly . TIP : go conceirge desk pick hotel list eatery - great tip - locally afield . would heartly recommend Morning Star diner ( 2nd Ave , 51st 50th Street ) great value breakfast couple minute walk hotel . 
 May 2 2008 	 fab time pod hotel ! 	 Pod Hotel fantastic budget hotel , husband really could not ask well value . ok grant , room small side , go New York stay room ? ? opt bunk room cheap option want stay long possible , clean , fresh towel , spare toilet roll , hairdryer , wash basin mirror provide . our room not en suite make use 4 bathroom available floor . bathroom system excellent - light door tell bathroom available , stay 8 night one occasion 4 use one time . never wait spotlessly clean , plenty hot water . a review mention noise pod hotel , go armed ear plugs . think accept New York noisy city , 9th floor hear street noise window open , window close problem sleeping room come air con keep we cool . yes , door slam let , can not say reason stay here . the staff friendly helpful , map tourist information / advice available reception , also store bag arrange transport airport need . lovely lobby outside patio area start provide breakfast guest . general facility great , ipod doc , tv 's free internet access every room , could not really ask much - even location great , close MoMa , Top Rock , 5th Ave shop subway . I can not recommend Pod Hotel enough . budget want stay New York - definitely good bet . 
 Apr 26 2008 	 like Pea Pod ! 	 love POD ! ! ! ! stay B & amp ; B 's UK tell single room POD big lot room stay . room design well could easily fit open large suitcase floor . everything work well room everything clean . bed comfy flat screen wall great . share bath lovely convenient . friend meet go roof deck beautiful day . lounge area also comfortable sit use computer et . staff nice please even tho budget hotel remember TIP maid . work hard leave $ 2 . room day break bank . can not maybe think 2x take holiday . lots great restaurant bar right around corner POD . check STAR DINER around corner great breakfast italian place next really good . also , french place right nice spot drink night . number 6 train 2 block . problem noise . yes , hear door close time nothing ordinary . also feel SAFE POD . big factor woman travel alone . , good POD ! ! ! ! 
 Apr 24 2008 	 Home Pod Home 	 great little hotel , conveniently locate business pleasure , clean , affordable ( new york standard ! ) stylish understate , functional way . LOVED clever storage unit ( think ikea little sturdy ) , furniture room , flat screen tv . little noisy time -- especially ( ' m guess drunk ) twenty - something partying hallway one night ... come be big apple ! get something instead bother hotel neighbor ! -- actually much quiet thought would read review site . customer service great , friendly helpful staff , 's safe neighborhood lot restaurant , delis , upscale spot still somewhat affordable nearby . free wifi also excellent , town business need get work do . single / twin room yes 's small , really be new york city really go to room much ? 
 Apr 24 2008 	 Love ! ! ! 	 stay Pod 2 night 4/18 4/19 . come Hilton Ave . America little step . however , money well worth . friend get room bunk bed , sufficient two we . able put luggage corner way . concerne share bathroom since seem little quirky stuff . floor ( 3 ) 4 bathroom shower , believe one different , # 3 well roomiest . shower plenty room bonus extra shower head position lower back great day walk around nyc.there subway stop block away Times Sq . Rockefeller short walk . place CLEAN sheet bed comfortable , price can not find anything compare . really , need place sleep since NYC much offer . also , buy New York Pass City pass get good deal money . pass let almost everything museum back stage tour , bronx zoo , madame Trussands , harbor tour , Statue Liberty , Ellis Island . buy 3 day $ 106 get money . 
 Apr 21 2008 	 find 	 cool . place hipster , business traveler , couple , single , tourist .... going need place shower sleep cheap ... . two we stay $ 109 night plus tax , not much price . & quot ; dorm , ikeaish style room & quot ; bunk bed . not laugh yet ! wide , great sheet bed small flat screened tv arm adjust bed earphone jack wish . also , lot practically thought storage , hook , room safe , desk clock radio I - POD connect speaker . sink small vanity area- mirror , toilet & amp ; shower hall . seem 4 floor . pretty spacious clean . say lot slight germaphobe . provide towel etc . would bring flip flop / shower shoe indicator light room available . never problem . check check smooth . full info provide daily print out thing , weather etc . swanky decor , want sleep & amp ; shower . luggage storage french restaurant downstairs kitchen open ' til 4 a.m. subway 's block 2 away . decent A / c . check pic ! 
 Apr 21 2008 	 cool hotel young traveller not need ` ` plushness '' 	 pass New York recently decide take break day hang around Manhattan . pick Pod hotel price ( exchange rate course make relative judgement ) glad . lobby cool well lay . corridor pokey much problem . the room naturally small really well lay make space . get room bathroom good ( although visibility toilet mean need pretty secure partner ) . alone love . breakfast location great find food direction also enable easy access Manhattan . very cool hotel young traveller need relaxed drop zone rather plush hotel experience . 
 Apr 20 2008 	 heart Pod 	 colleague mine stay Pod Hotel month ago recommend be quite close NY office . stay hotel area , read Pod Hotel , want give try . if going spend 7am - 10PM later outside hotel room need place crash , stay . utilitarian , modern , sleek minute room lend people NY luxury NY hotel experience , rather experience outside hotel room . I absolutely love standard queen sized pod room bath attach , find four night stay perfect . use space room incredible , unpack soon get room make use hang rack drawer , able navigate room without trouble . one night loud folk across hallway wake around 12AM ( 5:30am wake call ) , within ten minute call front desk complain , hear knock door across hall member staff immediately tell guest keep . fall right back sleep . again , be well - travel , spend time hotel room sleep change get ready next day store , great place crash . want room service , people wait hand foot , luxury bath towel , not bother . perfect spot experience traveler budget look something efficient well thought - out . 
 Apr 20 2008 	 Awful - please not 	 well hotel stay New York - bad hotel ever stay anywhere ( overstatement mean ) - understand review positive , little actually recommend hotel . full service hotel staff ( apart one two ) seem idea . please spend money hotel much well hotel slightly amount money job alot well . hotel make break holiday one come close break . summary , small price , really close poor hostel hotel . 
 Apr 19 2008 	 highly recommend ! 	 stay party 6 last week find Pod almost perfect . Checkin easy allocate room 305 front hotel . room clean , comfortable everything need . disturb noise room hear noise 2 neighbouring restaurant little night bother we . loved modern feel place , position great . easy walk Times square , 5th avenue Grand central etc . excellent pax street corner breakfast . would definitely stay suggestion would make improve facility room tea coffee could say perfect ! 
 Apr 16 2008 	 Great Hotel Good Location 	 little worried size hotel arrive , arrive greet friendly staff know job work quickly , reception aarea spotless great feeling . we go room upon view say yes small everything need , also comfortable , bunk room two bed also sink room . bathroom floor ( 4 ) light door tell vacant use.we would stay 's location great infact hotel walk time square 4 day stay take 30 - 45 minsthis hotel great recomend everybody . 
 Apr 16 2008 	 small nice ! 	 boyfriend look lot hotel site stay New York . budget not massive want somewhere would definately clean lot review hotel mention bug dirt unclean room however pod fairly positive review even though little bit expensive book look clean pretty new . photo look amazing however arrive hotel balconey area completely close . explaination note explain close disappointed . hotel bar restaurant either communal area , chair reason sit . actual room small expect . also hot high freezing outside grateful . room clean every day shower amazing . door bang close though . hotel near tube station able get around quite easily eat different place everyday , many not mind one hotel much . amazing holiday hotel great base not really spend much time . would not stay many different hotel would want try somewhere else . 
 Apr 14 2008 	 Great reasonably Priced Hotel ... walk distance Lexington Ave Shopping 	 stay 2 night April - absolutely loved ... single shared room - pay £ 155 ... bargainthe share bath exceptionally clean . 2nd floor . room light door indicate bathroom free busy great . room tiny , sleep ! small sink , nice . bed storage small hang space clothe well 2 separate clothe hook ( know maximise space ) . flat screen tv wall small working desk i - pod radio . the room slightly warm night , open window . nice roof terrace great view . located 2nd 3rd Ave near 51st St. 2 block near subway stop ( number 6 train ) , minute walk lot shop Lexington Ave include Bloomingdales , Zara , H & amp ; , Banana Republic etc . Central Park 5th Ave 4 block away ( 15 min max . walk ) make sure pop Lexington 26th/27th St - Indian Curry house - 20 + choose from . would stay price pay . 
 Apr 13 2008 	 wow- good deal ! 	 hotel personable ; small exceptionally CLEAN even scented room . not much complain can not control temperature room- turn come hotel 's thermostat kick . stay twin bed w/ share bath @ $ 99 . initially , scared idea share bath luxury mode hotel use hear nothing good thing decide go comfort zone- well worth it . locate eastside Manhattan close high - retail store like Gucci , Tiffany 's etc 8 block away , worth another stay I . although everything streamline like ice bucket room one drinking glass , like idea sink , IPOD dock , flatscreen tv . glass around sink dimmer switch light . nice little desk w/ FREE internet access bonus . hotel limited time love nice european style w/ many foreign visitor . hotel employee accommodate every way , extra blanket , extra glass even print boarding pass book airport shuttle- extras worth sell 2nd stay . 
 Apr 12 2008 	 really great place stay ! 	 's rare find budget hotel actually look forward return room long day . Pod Hotel , though , live glow TA review . place minimalist super - cool . attention detail Pod well worth sacrifice extra space regular hotel . people run place really go extra mile make pod nice place . favourite aspect include rain - head shower pipe music share bathroom , iPod clock radio , funky - utilitarian wooden shutter window . room fresh clean ; get quite warm time , combine heater / AC easy operate . find problem noise - could hear guest close door , loudly disturb . room pretty quiet ( face away main road ) . always least one bathroom free extremely clean well - maintain . my quibble design really not anywhere put stuff - sign door suggest use under - bed drawer , not convenient two - night stay . not find lack space room problem , good place put bag , let alone unpack . share bathroom also lack kind shelf put clothe shower - would useful . otherwise , though , really excellent place . ambience , detail general ' feel ' stay place like trendy boutique hotel budget hotel . recommend Pod reservation . 
 Apr 12 2008 	 hate pod 	 horrible experience ever ! ! ! strongly suggest stay hotel ! service horrible , room small . one day , clean staff leave door room unlocked ! horrible , horrible , horrible . still expensive book hotel room Pod , never never stay place . pa $ 50 , even stay Shareton New York . 
 Apr 12 2008 	 Affordable comfy .... teeny tiny room though ! 	 friend bunk pod room 5 day March . location - wise 's perfect , other say take shuttle airport ( $ 20 much public transport 's door - to - door service ) definitely check roof terrace garden stay . also be look something eat ( 24 hour ! ) try Sarge 's Deli 3rd Ave 36th 37th . pizza deli corner 51st 3rd pretty good be hungry . the bed comfy room everything need ... 's exceptionally tiny . not get wrong , money be great like be traveller hotel room purely sleep ordinarily have ok , except try stand next time feat acrobatic ! can not fault accom , share bathroom always exceptionally clean , maid really helpful chatty whenever saw not noise issue guest . overall impressed , would stay budget mind , comfort might splurge big room . also reception staff bit hit miss , couple guy fine , get grouchy one ... look ! 
 Apr 10 2008 	 absolutely loved ! 	 not want spend arm leg accomodation be NYC would reccomend anyone go hotel . 's tastefully decorate hotel whole lovely place be . the room small , name ' pod ' quite accurate be claustrophobic , 's enough room . personal tv 's ipod docking station every room really lovely touch ! AC great room amazing August . clean daily bed freshly make day low price hotel standard amazing . stay two person room without bathroom slightly worry get realise good decision make save money bathroom fantastic . clean throughout day not wait use toilet shower awkward bang door moment room display tell bathroom free . rooftop lounge little garden lovely touch enjoy 's deli one block away like eat go night . location fantastic staff extremely friendly ... will stay would reccomend friend . 
