Fantastic 	 stay hotel Nov. 24 - 26 room # 8 . fantastic location hotel , room spotless really impressed wife cleanliness washroom . room quite small north american standard sleep . special thank guy front desk , make stay enjoyable . back ... 
 Dec 18 2007 	 good value basic hotel 	 return 3 night stay Luna Simone hotel . excellently price , well locate minute walk Victoria station . myriad restaurant / cafe / pub within couple min walk . the room small , spotlessly clean , staff pleasant . breakfast fill adequate . I read review uncomfortable bed , 2 star hotel usually do not expect alot term comfort . agree poster though , hard ignore , probably uncomfortable bed ever sleep in . that say . great value , clean , budget hotel frill central location 
 Dec 18 2007 	 wonderful weekend London ... 	 come back weekend trip London last night . book hotel online sure hotel would fulfill promise make say & quot ; clearly & quot ; ... really enjoy warm welcome atmosphere hotel . room small everything need ... bathroom shower clean allow enough room good start morning : ) summary : perfect choice ... 
 Dec 13 2007 	 great value ! 	 Husband spend week November . Booked TA recommendation disappoint . staff extremely friendly helpful . room bath spotless comfortable . access computer plus . Husband enjoy breakfast room clean bright service speedy . would hesitate stay L & amp ; . 
 Dec 10 2007 	 quite decent expect 	 stay mate base review . , clean , good bathroom ( keep shower door closed ) , friendly staff , centrally locate . find well Central London 100 quid , way . top notch 2 - 3 star hotel , delusion grandeur . problem come late , not eat breakfast , 8 min door door Victoria station , everyone say St. George 's pub other commuter pub , really quite right ( friend live neighbourhood ) . keep look , bother ? would pay extra 10 quid stay vs. dodgier sound place area , though sure fine . book directly , go smooth . 
 Dec 7 2007 	 Clean Affordable Great Location - need ? ! 	 husband stay Luna & amp ; Simone two night November prove excellent choice . want large plush room huge bathroom forget ( be London remember ! ) be look convenient , clean , friendly good value hotel look . room not massive be certainly small ' ve come across London bathroom spotless . may travel flight stair get room would not advise anyone mobility difficulty stay . get great deal breakfast include ( although be early start be holiday , 7.00 - 8.30 ) . hotel 5 - 10 min walk Pimlico tube station Victoria bus / train / tube station anywhere London time . visit London plan spend time pound street relax room definitely great choice . 
 Dec 5 2007 	 good budget choice central London 	 overall pleased experience Luna Simone . room clean comfortable ( although find bed little hard ) . shower really good , tea & amp ; coffee packet room nice touch . breakfast hearty - love & quot ; bacon & quot ; , like ham . yogurt available upon request even though not list menu . room stay quiet . small , expect . also 4th floor ( translate 5th floor we Americans ) . least think 5th floor - lot stair ! hotel warn we upon book . location convenient since be quite close Victoria station , staff friendly . pay 75 pound per night low season , think reasonable . neighborhood nice quiet , quite hotel near one . 
 Dec 4 2007 	 fabulous breakfast ! could not believe fresh bacon egg every morning . 	 Ciao , Stayed wonderful hotel London . usually stay relative home travel London . last minute decission fly London . Peter Bernard wonderful . everyone helpful direction helping find hotel last night London . since Luna already book . cound not believe free internet . travel Venice , Italy pay $ 20.00 60 minute internet . recommend Luna client friend . 
 Dec 2 2007 	 great budget hotel London 	 would like say nice thing say Luna & amp ; Simone Hotel true . find service second none two room stay clean . area safe lot good eatery supermarket nearby . take bit 5 min walk Victoria Station . free use internet thoughtful gesture breakfast good . as previous comment lack lift , staff help carry luggage request . step high anyway . there also comment fact hear sound next room and/or street . find true stay one room top floor . however , problem stay twin room ground floor . ask one ground floor room , back building , light sleeper issue stair . fourth trip London stay high end budget hotel . owner staff Luna Simone definitely make visit time enjoyable stay hotel visit London future . budget hotel around world great service cleaniness , would happy traveller . thank leave comment previously . definitely helped find right hotel visit . 
 Nov 30 2007 	 nice clean hotel 	 nice clean hotel , ask twin room get twin room , breakfast ok , good location near victoria stationwill come back 
 Nov 29 2007 	 Luna Simone home London ! 	 prepare fourth stay London , unable stay friend ... find Luna Simone highly recommend Trip Advisor . book directly hotel , stay Luna Simone last week ( Wednesday - Sunday ) . not fully book -- stay every future visit . hotel easily walkable Pimlico Victoria station well # 24 bus line . entire property immaculately clean quiet consider location . room small , enough storage room include new - looking , sparkle en - suite bathroom . ( gripe ... could cable station offer . ) course , ' m save well last : owner , brother , everything personally . catering choice yogurt include breakfast , loan A - z map , chat good kind chocolate buy friend . truly not feel London . ' m highly recommend Luna Simone friend coworker . hope stay . 
 Nov 29 2007 	 highly recommend great value 	 return 5 night Luna Simone . hotel great value London . find everything exactly describe review candid photo post . triple room quiet . bed comfortable linen fresh high quality . everything hotel spotlessly clean . breakfast excellent . the neighborhood good , dozen restaurant , store , pub small street market within block . eat one night oh Solo Mia italian restaurant locate 100 yard hotel good . also convenience store within 100 yard buy drink snack room . travel around city use oyster card Victoria station 4 5 block walk . 
 Nov 25 2007 	 marvelous inexpensive hotel near Victoria Station 	 wife stay four night marvelous little bed - and - breakfast hotel near Victoria station . rate extremely low , London standard . room quite small , not plan spend much time sit room , drawback . room clean comfortable . lift ( elevator ) , note elsewhere , owner / manager help we upstairs heavy suitcase . location ideal - tube station five - minute walk away , number 24 bus stop front hotel , service Victoria , Trafalgar Square , Westminster , Charing Cross Road , among place - great bus simply get ride sightseeing . the service could friendly - brother own / manage hotel wonderful . serve full english breakfast morning adequate need . would stay heartbeat . note , however , air conditioning ( though fan ) , would hesitant visit high summer . overall , love stay . 
 Nov 13 2007 	 nice place nice location 	 travel England two - week tour spouse two teen . need relatively inexpensive place room 4 . quite pleased Luna & amp ; Simone . bed quite comfortable , even though room small ( not bother we ) . love close Victoria Station want tour lot place within London , plus pick rental car rest trip . bathroom clean sufficient ( always forget British not use washcloth could bring ? ) . drawback breakfast -- minimal choice rather cheaply make , think , especially compare later place stay . 
 Nov 13 2007 	 fabulous 	 location great , far away Victoria Station ( musical etc around ) plus bus stop close hotel . bit tricky find first , station late night travel day , though . however , area around pack restaurant , boot small shop . the service give good . breakfast perhaps bit early morning , not chance check . however , helpful question happy order taxi airport etc . offer internet connection room , ' computer room ' ( computer small room time ! : ) .We live top , other mention , lift . manage , however , even trip heavy suitcase - well - exercise . room , however , nice . wall bit yellow , clean surprisingly tiny . bathroom amazing , shower like budget hotel , clean every day sweet maid . the street busy morning , window open would wake we , bother we , really . 
 Nov 12 2007 	 nice hotel 	 clean , friendly , good location . room small , price fair . room new looking . bathroom appear brand new . stay 2 differant room 2 differant time . room nearly identical . within block Victoria station . mean access train tube . staff family , friendly . always nice greeting morning complimentary english breakfast . Egg , ham ( call bacon ) , bake bean toast . would highly recommend . 
 Nov 10 2007 	 Perfect locationfirst rate hospitality lovely hotel 	 taking note review , chose & quot ; Luna Simone ' 6 night stay disappointed . my son twin room , cousin single 3 we impressed room , ensuite , traditional english breakfast . the family run hotel sincere making stay enjoyable possible always find time need may have . the location ideal locate Victoria ( 10minute walk ) Pimlico ( 5minute walk ) station . the plus 24 bus stop front door . the use London pass siteseee together 6 day travelpass , Luna Simone base make holiday enjoyable already book hotel May 2008 see site miss 2007.exceptional value London . 
 Nov 10 2007 	 praise Luna 	 will keep short much could say say . negative - small room small bathroom , expect . stay room 1a next breakfast room - 4 we . price issue space intend use room sleep . staff friendly helpful . hotel room clean . great shower . excellent location . 24 bus run almost every 5 minute Westminster , Trafalgar Square , Theatre district , towards king Cross . would recommend use next Capital . 
 Nov 9 2007 	 wonderful 	 Hotel spotless . locate wonderful area London . busline front hotel . within walking distance Victoria Station . great restaurant pub within walking distance . owner , Peter Bernard gregarious gracious . internet access plus ! ! fabulous stay can not wait go back Peggy Lee Ristas 
 Nov 8 2007 	 perfect little getaway London 	 stay hotel three night , nothing good say . room fourth floor , elevator , tell book . location excellent . spend day night run around crowded , busy London , hotel like peaceful oasis come home . morning breakfast serve smile , substantial enough keep we satisfied mid afternoon . help price London value dollar vs. pound . would recommend hotel anyone . 
 Nov 5 2007 	 great hotel 	 find hotel via trip advisor disappoint . , partner son stay triple room breakfast room . room spotless decent size . breakfast include price good , juice , bacon egg bean coffee etc . hotel 15 min walk Victoria tube station , arrive 10 room clean allow we check , leave case reception , checkout day leave case morning collect 5 pm head home . hotel ideal location perfectly safe get night , staff friendly definately stay visit London . 
 Nov 4 2007 	 say 	 London costly place visit , Luna Simone fairly reasonable budget traveler . generous breakfast keep go good part day , # 24 bus wonderful -- location , Oystercard , set convenient sightseeing city . one complaint , room small ... even small expect , prepare close quarter . problem room could even open bathroom door way run side bed , husband continually step 's way en route bathroom . ' m sure room must little large not see problem mention often . room fifth floor require climb 80 + step , try everything need day we go breakfast avoid much stairclimbing . all else fine , staff could not nice . 
 Nov 3 2007 	 Comfort value warm welcome 	 ' ve stay Luna & amp ; Simone several time continue hugely impressed way manage offer outstandingly clean , comfortable welcome hotel excellent price . owner whose interest every guest absolutely genuine ; attention detail come heart , corporate training manual . simple place without pretension . 's well locate , walkable either Pimlico Victoria tube neighbourhood pleasant , scatter small shop cafés far away . nowhere else London would want stay . 
 Nov 2 2007 	 Service smile ! 	 greet pluthora frown scowl Barcelona , happy see charming smiling face Luna & amp ; SImone hotel London . people extremely friendly helpful , intrusive . location perfect . 2 night , able see much London , main attraction close . room small , clean . quite stuffy , however , ' m sure would enjoyable inthe summer . middle October , perfect . another treat breakfast . Bacon & amp ; egg ! elated see hard croissant unripene melon . veggie alternative also available . always greet sincere smile , much appreciate Barcelona 's grumpiness ! room 70 pound 2 twin bed private washroom , quite costly size room , comparison hotel London , considerably cheap . would definately return Luna & amp ; SImone . 
 Oct 30 2007 	 outstanding ! 	 can not think anything original write hotel ... review right mark ! thank Peter Bernard awesome stay . hotel spotless , comfortable , great location , friendly great price London ! owner Peter Bernard helpful give direction advice , recommendation etc . smile laugh ! one wife even look Ryanair baggage information breakfast print wait we roommate way much shopping ! thing like make stay outstanding . breakfast awesome ... great hassle way start day sight seeing . free computer use un expect also ! know expect room compact U.S dissapointe ! hotel need ! 
 Oct 30 2007 	 Ideal Location tour London 	 get back three night stay late October . trust TripAdvisor , not disappointed . fly London Gatwick Airport , take Gatwick Express airport ( simple efficient ) arrive Victoria Station 30 minute . wife luggage still decide walk train station hotel , read review say would take 10 minute . hotel easy find take 10 minute promise . upon arrival 10:30 , room ready allow check - in . hotel quiet , residential neighborhood . ask room low floor , due fact elevator get . room not big , clean not plan spend much time room work great . air - conditioning , not need October . wireless internet available , be free , unless get signal nearby establishment , could ! ! , however , computer guest use first floor , may wait . Breakfast serve 7 - 8:30 everyday downstair dining room good , include room . town tour London , great location . two Underground ( Subway ) station within 10 minute walk ( Pimlico Victoria ) . Victoria get anywhere city quickly . Underground easy use clean , recommend buy Oyster Card arrive , put 20 Pounds use every trip . oyster completely refund unused fund card stay London end . american , know dollar getting kill pound , anyway save bit key . hotel 85 pound night , really good central London . absolutely complaint would stay . 
 Oct 29 2007 	 Super hotel 	 return four night stay Luna Simone . book hotel strength review disappointed . upon arrival welcome give downstair room request . room small expect , immaculately clean well keep . everything need short stay . tea coffee replenish every day , extra pillow provide ask . despite room directly onto street , affect unreasonable noise . the ensuite look though recently refurbish , like room , beautifully clean . fantastic power shower . fresh towel provide every day . my husband enjoy cook breakfast every morning , say freshly prepared lovely hot . good pot tea London ! breakfast person , leave owner say miss , like breakfast . thank concern , thoughtful ask . the staff backbone lovely hotel , kind helpful . answer question visit provide information make trip enjoyable . travel around London problem Luna Simone . excellent bus service ( 24 hour ) outside hotel , run every ten minute . also tube connection either Pimlico ( slightly near ) Victoria . you disappointed book stay - exceptionally good value central London . 
 oct 22 2007 	 Lovely Hotel Excellent Location 	 husband stay Luna & amp ; Simone Hotel one week October . location central room immaculate ( request quiet room not wish face street ) . would highly recommend hotel affordable convenient option stay London . 
 Oct 21 2007 	 Great Value Great Stay 	 great value expensive city . 85 pound night , get clean , large ( England standard ) room , pretty comfortable bed , ensuite bathroom , tv , coffee tea room , full english breakfast . staff friendly , computer available internet use . location convenient Victoria station . many affordable good restraunt , pub , grocery store area . see hotel highly rate . can not get well value London . 
 Oct 20 2007 	 clean great location friendly staff ! 	 stay one night Luna & amp ; Simone Hotel flight Heathrow next morning leave early . contract cab company get Heathrow 40 pound - actually cost 38 pound - friendly driver also . get Tube Train , since flight leave early neither option . room top floor - elevator - one owner hotel take bag , kind . brother / owner downstairs check - friendly , knowledgeable , extremely helpful . young man leave check - in desk friendly helpful . room perfect shower absolutely well shower two week England ! ! be well shower home ! room quiet , clean , absolutely problem encounter . leave early breakfast can not comment food . a / c not know place like summer , fall / winter / spring stay perfect easy walk Victoria Station . would definitely stay ! 
 Oct 18 2007 	 Great Value London . 	 wife stay 5 night September 30 October 5th , enjoy stay . the staff friendly helpful , really make effort get know guest . the hotel may ideal plan spend lot time room - room smallish , tiny tv offer 5 station ( par course England ) . however , room spotless comfortable , bathroom clean nice , hot shower . a full english breakfast include , always cook perfectly , breakfast room always friendly hub activity . like sleep , though , take note : breakfast serve 7 - 8:30.the hotel 10 minute walk Victoria station , ideal location tourist . couple great pub within minute walk , include CAMRA recommend Jugged Hare . there big fancy place stay , sure . consider cost location , hard imagine well value London . 
 Oct 16 2007 	 advertise 	 ditto last two review . also triple room downstairs . clean comfortable . good breakfast staff cordial accommodating . 
 Oct 10 2007 	 Nice hotel great location 	 Luna & amp ; simone great hotel near Victoria Station . hotel clean staff friendly . room average european size bathroom modern plenty hot water . mention previous review , lift . trouble stair request low floor . sleep every day try breakfast . however , eat several restaurant nearby enjoy they . all thing consider , Luna & amp ; simone great hotel would stay . 
 Oct 10 2007 	 Great Location clean room 	 pen 3 night location . review may hard write . spend 10 night trip various location . 4 Travelodge 's , 3 B & amp ; b knowing understand not like spend allot money room . book solely Trip Advisor note say disappointed . look various room London see well 100 pound glad find one 85 , even though one night 3 Travelodge . bottom line , would stay heartbeat folk need know consider Pros Cons . pro : PriceLocation VictoriaNice neighborhoodfriendly staff ownersinclude breakfast ( save 5 - 6 pound PP ) internet kiosk , sometimes wait . clean roomvery nice shower ! 4 foot high shower head Travelodge welcome . con : step , 69 climb 3rd floor bad knee sure ground floor . street noise , front face Belgrave , window open quite noisy night . bad bed , could feel spring , Fan bed bad bearing make noise traffic outside . 
 oct 9 2007 	 FANTASTIC 	 lovely hotel ! stay triple room ( 1 ) downstair 2 night lovely . bathroom spotless room really quiet night . road noise noise guest 's really join . across coridor breakfast room ( less 10 step ) , great have stuff ourselves . staff Luna Simone friendly anything help make stay enjoyable . tea coffee facility room , also fan safe . towel lovely soft clean . extra pillow blanket incase be cold . quiet street , still close everything . 10 min walk underground ( pimlico probably slightly close ) . close Victoria station Coach park . problem bed first night ( spring break poke bottom bed ) quickly sorted staff could not seem enough help . friendly nice , seem take pride thi job make real difference atmosphere hotel . not problem leave luggage behind reception desk morning departure . go Buckingham palace ( 20/30 min walk ) breakfast problem look afer luggage ready catch coach afternoon ( let know rough time will collect ) enjoy stay much ' m go back December Mom celebrate birthday : ) 
 Oct 8 2007 	 affordable a-1 service ! 	 stay triple room , yes reviewer mention space small , still comparable London standard half price . room clean , bathroom impeccably clean modern shower large love ! twins super friendly super knowledgeable London , be like two guide fingertip . Breakfast include hearty wholesome , service fast . high - speed internet access add bonus . location great , tube Victoria station within short walking distance , 24 bus right outside hotel go major tourist attraction London run 24 hour . would recommend anyone ! 
 Sep 26 2007 	 great value London ! 	 enjoy stay Luna & amp ; Simone Hotel . staff helpful , especially Mark . room great , 2nd floor , friend top floor walk 8 flight stair , not go good . Bernard carry large suitcase stair . breakfast fine . staff go way help us bus , site see etc . location great , 10 minute Victoria Station # 24 bus pick drop door . lot pub & amp ; restaurant close . room clean . excellent value . 
 Sep 25 2007 	 great experience Luna Simone 	 stay four night friend Luna Simone like much . read recent review not agree complaint room size food . room small , yes , room city hotel always small , unless be stay expensive hotel . ' ve definitely small place London New York . think breakfast good . gourmet , fresh tasty . place spotlessly clean location unbeatable . staff friendly , helpful , humorous . would definitely stay would recommend without hesitation . 
 Sep 25 2007 	 great value ! 	 wife stay four night Luna Simone . relate hotel London - we´ve stay different hotel different price category early - must say Luna Simone deliver great value money . it´s exceptionally well keep hotel , spotlessly clean pleasant people run place . ok - room aren´t big contain everything need - eg safe , tv , hairdryer , bed ; - ) , etc . if expect ballroom - go somewhere else ( pay double ) .The breakfast hot , good , plenty serve smile . - it´s buffe want - go somewhere else ( pay double , ) .So far i´m concern - money value - Luna simone good London offer ( I´m compare least 10 hotel ) . would gladly recommend anyone go London absolutely go back there . good regardsjoakim , Sweden 
 Sep 24 2007 	 Book ! 	 true gem city full expensive always great hotel . be luxurious hotel pool gym etc , give one miss . be clean hotel great location decent room decent price friendly staff help , one . breakfast internet access welcome inclusion room price . love definitely book next time be London . one word advice - try book far ahead possible popular word ! 
 Sep 22 2007 	 Nice hotel elevator 	 stay hotel three night . staff great - family run operation seem genuinely concerned stay . elevator room 3rd floor , lot step . breafast include nice . room nice - large restroom even desk need set computer . 
 Sep 22 2007 	 Loved ! 	 great hotel . location Pimlico area - close tube Victoria Station within walk distance major attraction . extremely clean well appoint . room stay nice little balcony slide glass door pleasant . hotel staff soooo friendly helpful family run business 35 year . would stay second . room small disappoint . 
 Sep 20 2007 	 good location small room 	 location great one tour Victoria area London . however , room -- least one -- small absolutely tiny bathroom . clean , though . also , find breakfast mundane bland breakfast room bite noisy particular occasion . series countryside B & amp ; Bs stay London , bit disappointed . doubt would stay , bad option need night maybe two . beyond , will feel cramp . 
 Sep 20 2007 	 nice location 	 stay 3 night decide book another night return London . hotel nicely locate safe neighborhood close Victoria Station , 15 minute walk . clean well maintain . serve hearty english breakfast morning Peter Bernard gracious host . room large adequate . computer available guest free . lift available upstairs room effort luggage . would not stop we return . bus stop right front hotel . nice pub nearby . 
 Sep 13 2007 	 Disappointed 	 base previous review , hope one night stay hotel . actually rate number 5 London . area pretty good , hotel average . room ( # 13 ) small clean . bathroom nicely decorate , tiny room toiletry . Breakfast serve 0700 0830 . early we , since include price , get . three choice , enjoy egg , bacon bean . service good , totally ruin noise kitchen . terrible ! stay hotel . 
 Sep 11 2007 	 good value great location ! 	 husband stay hotel first visit London . spend 6 day Paris , accustom rather small size european room . nice stay Luna Simone . take Underground Heathrow Pimlico station little help local able find hotel block away . hotel quite affordable London standard , clean room private bathroom adequate size two us luggage . complaint platform - style bed futon mattress rather lumpy probably uncomfortable bed sleep vacation . mention front desk , ' m sure problem unique particular room ( # 8 ) would offer move we . one nice feature room # 8 private little balcony overlook Belgrave Rd . quite bit traffic- vehicular pedestrian , along street , window close keep we awake night . everything else hotel great . breakfast every morning good hot , basic english breakfast ham , egg , bean toast . staff friendly helpful booking tour even let use printer print voucher tour book online . also computer free internet access although often busy . probably good feature hotel great location neighborhood Belgravia . close variety good pub restaurant . also 5 - 10 minute walk away Sainsbury 's market could get hot pizza beer cheap dinner . 10 - minute walk away Victoria train , bus , Underground station . also , although go show , couple theater next Victoria station good show like & quot ; Wicked & quot ; play . would definitely recommend hotel anyone look reasonably price room London . 
 Sep 8 2007 	 Small Tiny Miniscule 	 look review hotel book . feel different hotel . area describe small room ever . not think could swung hamster ! even bed tiny . room put case anywhere could walk . Amazed could manage get space . Breakfast absurdly early , finish 8.30 holiday hotel . get choice orange juice cornflake , tea coffee , small cook , bacon , bean fry egg spam type ham one small tomato . lot toast . must cost penny . ok really price ! owner nice bear mind book large size be not go get room without open window ! 
 Sep 6 2007 	 nice clean oh teeny ! 	 stay Luna & amp ; Simone week August . make reservation , check - in , breakfast check - out staff absolutely wonderful deal . open door single room shower wc shock small . could barely fit two medium sized suitcase room ( one go bed ) . room whatsoever put toiletry anything else . the room pretty modern extremelly clean kept , like live sardine . would still recommend hotel anyone stay London night two , carry anything large dufle bag . far price go , pay 60 pound great decent hotel central London , be nice deal . however , USA resident , still come $ 120 per night pricey . 
 Aug 28 2007 	 fabulous time son . 	 son travel London Harry Potter book release lot sightseeing . enjoy 6 evening Luna Simone . although unable enjoy breakfast ( be rather early we night owl ) , everyone come contact front desk quite lovely . feel stay nice family respect privacy . able come go please room clean . travel friend able get room right next . like clean room noon day flexible need little extra time be run late . would like refrigerate something , ask place fridge office refrigerator room . street noisy incredibly quiet stay summer month ( need leave window open breeze ) , may want ask room back hotel ' m assume quite quiet face street . overall pleased choice hotel . 
 Aug 26 2007 	 Lovely London Hotel ! ! 	 stay 13 - 17 August really enjoy . staff extremely helpful helpfulness go beyond call duty ! ! ! although room small , clean hotel supply wall safe . the breakfast room lovely cook breakfast ample set day 's sightseene London . would definately recomment hotel friend , definately stay back London . 
 Aug 26 2007 	 gem hotel ! 	 ( , husband college age son ) return 6 night Luna & amp ; Simone could not pleased room , location staff . room ( # 1 ) clean , pleasantt comfortable , spotless bathroom , cushy carpeting , plenty pillow blanket . fan add comfort warm day night ( yes , ! ) . stay room 3 ( 3 twin bed ) low floor quiet conveniently extra bathroom ( toilet ) outside door . also step away dining room . breakfast serve promptly always order . special request , staff ready oblige . upstairs computer internet access son problem find hot spot room laptop . the location perfect we . bus # 24 run 24/7 stop outside door . Victoria Tube Rail station # 24 line 10 minute walk away . ATM , bank , restaurant , grocery store , pub , close . also , Victoria Tube upstairs eatery lot restaurant choice . hotel city centre ( Westminster ) 15 minute ... continue Trafalgar Square even British Museum . can not say enough convient 24 line . far staff go , marvelous . friendly , helpful , genuinely concern well - being enjoyment . help book tour , mail post card ( sell really nice one ! ) , arrange taxi , whatever need . can not say enough great staff Luna & amp ; Simone ! recommend family friend without reservation ! 
 Aug 25 2007 	 great location 	 stay three night Luna & amp ; Simone Hotel delight location , simple clean room helpful , friendly staff . hotel locate Belgrave Road - pristine Georgian St. 10 minute walk Victoria Station minute walk Thames River . price reasonable expensive London location excellent - Belgrave Road quiet sedate . family members hotel ( 30 year ) fun , helpful friendly . desk clerk eager find information print need computer . breakfast menu not large fresh tasty . quiet room downstairs back hotel . spacious , simple clean . highly recommend , traveller . 
 Aug 24 2007 	 Wonderful Discovery 	 wonderful discovery , thank Tripadvisor Users : stay three day 21 - 24 August . allocate Room Five , single room without loo etc , however shower / loo beside room fine . my room small & amp ; bijou : 15 ' x 7 ' thereabout ; tea / coffee facility , wardrobe , telly ... everything necessary . clean too . I speak highly enough breakfast : enjoy full breakfast opt fruit juice , cook brekkie two lean rasher Danish back bacon ( fat ) , one egg , bean two slice white , hot toast butter tea / coffee . absolutely perfect . could not wish anything more . very amiable staff proprietor relative Northern Ireland ; good natter ! make feel home helpful advice London , booking etc . I really love place hope return . staff read , wish thank bottom heart . thank . way , usually give five star review ; however , give value guesthouse , feel merit . 
 Aug 23 2007 	 Great Customer Service Great Price ! 	 travel London 3 gal pal , stay hotel . 's conveniently locate near Victoria Tube station affordable . owner incredibly nice breakfast include add bonus . room modest , everything clean . would highly recommend hotel anyone look affordable stay convenient location . 
 Aug 17 2007 	 great stay ! 	 stay Luna Simone hotel August 2007 3 day . know hotel good many good review read look affordable hotel London , still expect see modern , cozy lovely place . make reservation one room available 2 bed 3rd floor , owner nice promise we change case double room low floor . come hotel find double room street level wery pleased . owner helpful step stay tell we buy ticket get want . hot breakfast big good . location superb , walk time main attraction . next time London look hotel , want stay book advance , always full . Tatyana , USA 
 Aug 17 2007 	 Perfect stay ! 	 could ask ! research hotel London ( 100 's ) several month planning trip , important stay clean , safe , reputable hotel fit tiny budget . Luna Simone . 13 year daughter stay room 10 Simone side 9 night perfect ' home ' London . room spotless , bathroom sparkle clean beautifully update , breakfast always quick , delicious , fill , owner / staff could well . LOVED laugh Rita ' the two brother ' day , nice brazilian lady clean room day meticulate attention detail . ' m sure brother , will come know different personality quickly ( funny / helpful , one tiny bit low - key animate little bugger ) . fact character delightful human being make thing well . the location great ( bus 24 LITERALLY outside front door go Victoria Station beyond ) , many place eat nearby . street quiet never feel deserted dangerous way -- beautifully residential . BOOK ROOM ! ! ! ! ! stay full night . pay 85 pound twin Aug. 6 - 15th , include hot , hearty / traditional english breakfast , save atleast 10 pound day breakfast . deal ! : food , find save lot money pick ' ready eat ' item Sainsburys , Tesco 's , Marks Spencer . nowhere London cheap pound strong dollar , love fresh fruit , hummous , sandwich , pasta , couscous , thing available great price . able keep meal budget 25 pound day ( be 12.50 pound per person ) , day , even 20 pound two we . 13 year old grow hungry well , split entree twice entire stay there . thank Rita brother maintain stellar hotel must hard sometimes frustrating business . can not wait stay be ever bless enough return London ! many ' tip ' pick learn hard way London happy share . ask . 
 Aug 14 2007 	 Excellent Hotel Great Staff 	 husband spend 3 night hotel near end July . quality price hotel beyond comparison anything else could find London . the location perfect ... within walking distance Victoria Station ( get anywhere London station ) many restaurant pub surround . well could easily walk Westminister Abbey , London Eye Buckingham Palace enjoy walk take sight . the room extrordinarily clean suited need perfectly . room bathroom modern update . elevator hotel , however , sure find floor stay , everyone carry bag 85 stair . Breakfast provide every morning could choose typical english breakfast light version cereal toast . staff friendly helpful . return London , definately stay hotel . 
 Aug 14 2007 	 L 	 fly London July arrive Heathrow around 11:30 . take National Express coach airport Victoria Station wonderful ( cheap relaxing ) trundle luggage find Luna & amp ; Simone . somewhat arduous would like long flight , make 10 15 minute walk bus station . first impression hotel positive ( later impression ) . neighbourhood clean stylish . hotel compact staff friendly helpful . room small side , expect , clean comfortable . # 24 bus stop right front hotel head towards Trafalgar Square central location go Hampstead Heath ( highly recommend ) . breakfast quick plentiful , become slightly repetitious 4 day . hotel hope feel great value money . 
 Aug 5 2007 	 Fantastic Hotel 	 stay hotel 23rd - 30th July honest could not ask well . 3rd time stay place London would want go . hotel excellent location see sight surround cafe 's , restaurant way Wilton Road ( turn hotel ) .We room 1a lovely room sun area sit back hard day sight seeing , room spotlessly clean , clean daily , bathroom fantastic ... newly decorate modernise , shower fantastically powerful , well ever experience hotel . anyone want travel way tube , bus stop ( number 24 ) right outside hotel take route around popular sight London , alternatively Pimlico underground station 5 minute walk hotel Victoria 10 minute away . then owner , Peter Bernard , pair wonderful people . nothing much trouble anywhere want go know exactly get do not find we . daughter stay hotel us year first time completely hooked . impressed way two brother look we lovely clean room , even though second floor , say worth walk stair stay lovely hotel level service receive brother everyone one else involve hotel . this hotel make 4 diamond hotel give bed breakfast establishment rather 4 * give exclusive hotel , please do not let put , quality service receive place 5 * say least . breakfast ( choice ) Egg , Bacon & amp ; Beans two Boiled Eggs Ham & amp ; Tomato main course Orange Juice Cereal start , Toast Butter Tea Coffee , find fill we afternoon substantial . computer room internet access anyone want keep touch family friend . think hotel great would not consider go anywhere else now . there be not lift access floor air conditioning room , fan put room comfort warm weather , , thing hotel would not bargain middle London . anyone loooke 4 diamond hotel offer everything read website be not go rob bank stay , Luna Simone hotel look , want concierge service air conditioning lift floor would suggest pay twice much less receive here . thank Peter Bernard make holiday special . we definitely come back hotel again . the Carter Family 
 Aug 2 2007 	 Excellent deal London 	 reading review TripAdvisor , think Luna Simone would good bet , disappointed . convenient , safe location restaurant , Post Office , bank , tube station , etc . , nearby . room 7 Simone side front -- little noisy early evening , quiet later . room small , London ! bathroom plenty room & amp ; good shower . hotel overall look good , well - keep condition . breakfast ample . 
 Jul 28 2007 	 lovely atmosphere great location 	 actually two side side small hotel , two house terrace ( hotel ) . join reception area basement breakfast room . 47 think & quot ; luna & quot ; . enjoyed stay : place nicely decorate , room clean nice shower toilet . warn we book top , long way stair - luggage get room low floor . make hotel one go back warmth family run . two brother member family friendly , welcoming , helpful , warmth permeate hotel . not cheap , London hotel : pay 85 Sat night July 07 , two people , bed breakfast . location great : 5 min Pimlico tube station , 10 min Victoria tube station bus hub . Tate Britain 5 minute side Pimlico tube , lot thing near Victoria - Houses Parliament 15mins foot . italian restaurant , Sol Mio Uno , two minute away hotel corner Denbigh Belgrave , independent restaurant chain , highly recommend . 
 Jul 26 2007 	 great value ! 	 stay Luna & amp ; Simone July , 2007 . pleasant surprise great value consider price hotel London . room small line european standard room facility SPOTLESS . two owner - Peter Bernard gracious , charming , willing assist guest way accomodate need . full english breakfast serve every morning . property locate short walk Victoria Station get need go London 24 bus line stop front hotel . would definitely recommend Luna & amp ; simone friend family hope return soon . time go really hate leave . Peter Bernard keep good work ! 
