great 	 arrive early check staff kindly let we room early since travel early morning . Room nicely decorate bathroom small . main problem room bad draught come window cold . think double glazing would solve problem cold road noise keep we awake . area lovely much immediate area great choice entertainment . Taxis expensive take one west end cost we twenty five pound way . say enjoy stay need minor adjustment . 
 Oct 31 2006 	 okay ( Pros Cons ) 	 boyfriend stay Corus comment : pro : - good location ( would open lancaster tube spot ) . close go Aug 2006- clean , bugs- nice view park- good value money ( consider be London ) con : - noisy sleep face street . try get side not face street- small room , problem- towel ... problem laundry stayed.- staff tell we room not ready - have speak manager get sort ( give we upgrade ) - standard accomodation nothing more- staff member seem uninterested concernsoverall : would stay Corus open nearby tube station . safe , clean , nice location . would ask another room next time avoid noise street . * try Corus be picky * not expect luxury * basic , room serve purpose ( place sleep ) 
 Oct 4 2006 	 Small Stuffy serve purpose ! 	 room courtesy British Airways can not complain much . 9 hour flight sleep flight - cot would serve purpose . however , would purposely book hotel . room small stuff - with AC breeze window . however , conveniently locate across street Hyde Park provide we lovely walk tour Kensington Palace . reception bit cool check staff confuse arrangement BA - finally figure check we room . continental breakfast bring door next morning need start day - include tariff . olio - the restaurant premise - tasty overpriced opinion . close tube station construction use Paddington Sta . long walk would like . - long flight sleep . must say Kensington Park save grace quite lovely enjoy stroll park . 
 Oct 3 2006 	 great location great staff decent room 	 lone , female traveler , week long stay Corus Hotel Hyde Park pleasant . since arrive summer , end upgrade room could AC ( much need ) . hallway hot muggy . besides , room neat , bathroom clean continental breakfast decent . need eat meat morning ( sausage , bacon , etc . ) , upgrade full english breakfast . the location hotel wonderful . be within minute , walk distance Lancaster Gate tube , 5 - 10 minute stroll Paddington tube train station , be across street center Hyde Park . ' ve time , forego dirty air crowd tube take fresh air beautiful scenery park nearby neighborhood . if ' ve chance go back , would not mind revisit hotel . 
 Aug 30 2006 	 bad usual London hotel 	 wife stay London day July choose hotel base Tripadvisor rating , bad experience past ... overall , mixed experience , clean well locate . would even well underground station nearby not close renovation ( ! ) . despite outside temperature mid 20 's c , temperature stale air hallway around 35 ° c tiny room much less - window would open whopping 10 cm . air condition room also available 30 % premium want able sleep room . fan instal allow drown possible traffic noise sleeve bear turbine sound reshuffling heat inside room . the breakfast buffet make price miss choice , not bother . lot cheap little place around neighbourhood offer choice character . on upside , area really nice Kensington Gardens across street pub restaurant abound . easy reach due proximity Paddington Station ( thus Heathrow ) , walk distance trolley suitcase 5 GBP cab ride . milder temperature would good value overall would perhaps even go back , entry level room . 
 Aug 10 2006 	 compact room understatement 	 mention previously hotel welcome one , location great . however room really small point could'nt open one suitcase . air con fan blow warm air around room .. shop around could get spacious room less money .. please aware get upgrade big room , cheap ! 
 Aug 6 2006 	 great location shame Room 	 book London Corus Hyde Park hotel suprise wife first wedding anniversary . hotel really good location 10 min walk tube right Hyde Park . walk hotel find staff helpful reception well decorate bright airy . we get room hotel lose charm . room small , double bed could walk one side , small table small bathroom . also hot . fan ceiling turn make loud noise think go fall ceiling . open window noise road outside loud keep window close . hotel give we replacement fan noisy one stuffy make sleep really difficult . the breaksfast good staff nice . room although small clean bed comfortable . hotel good location look nice space relax , find much well hotel money . 
 Aug 3 2006 	 beautiful big absolutely fine . Book ! 	 Quick , first , negative : room quite small , though not bother ( ' ve happily stay small , London european capital ) , decor bizarre although fascinating ( decide make feature trouser press ? bathroom light switch elevator call button ? ) , especially attractive , mini - bar . standard room air - condition , although fan . tv small distant bed . say , comfortable stay would call ' three half star ' business hotel . location great , close centre nice area . even near tube station , Lancaster Gate , close refurbishment , be 5 minute walk Queensway , 10 min Paddington . not fancy tube , Oxford st shop half hour walk ( posh residential street ) cab home evening Soho 10 pound . Hyde Park across road . bathroom small spotless shiny fine shower ( , certain configuration switch , perplex green light ) . hair dryer powerful many setting . many pillow , bed excellent ( broad ) need work , decent - sized desk . hotel bar open late ( least 1:30am , town many pub still shut 11 pm ) reasonably price . not try breakfast instead walk around corner cafe nice cooked breakfast 4 5 pound . booking last minute get double room 80 GBP night ( without breakfast ) outstanding value London . allege full rate nearly twice ; not think would outstanding value doubt anyone actually pay . 
 Jul 31 2006 	 Lovely 	 Woking , SurreyWe book hotel triple room facility , location , price availability . arrival visually lovely . lovely edwardian white building masse flower windowsill around entrance . location super , across road Hyde Park Italian Fountains , less next door Hyde Park Superstore ( small extremelly convenient little shop sell everything ) close underground station . stay one night , room back quiet totally acceptable short stay fully appreciate air - conditioning lovely hot weather . size room fine , problem little thing usually count lack , bathrom bit piece , not really matter , like need shower cap . reception staff friendly await arrival little jacket unfortunaely leave room . acknowledge say would post today . kind . must admit find cafe area breakfast area little cafeteria like , full english breakfast fine . 
 Jul 27 2006 	 clean lovely wonderful location inexpensive . 	 stay two night stopover London impressed . single , though room small IMMACULATE nicely fit surprisingly stylish design . price , would expect get grotty B & amp ; b much Central London , yet hotel central , clean , stylish . breakfast fine , follow walk Hyde Park across road morning rare delight . staff helpful pleasant , transport link good tube , rail , bus . definitely stay would encourage anyone else well . 
 Jul 8 2006 	 great location 	 stay Corus Hyde Park June 24 - July 1 , 2006 . can not think well location , north side Hyde Park 1/2 way Marble Arch Kensington Palace . our room extremely clean , tastefully decorate though small . air conditioning room disappoint understand hotel airconditione . lobby air condition Executive Rooms . storage room clothe clothing stay suitcase . may want ask room away Bayswater Street traffic loud throughout day night . the lobby / reception seem redo quite nice . continental breakfast ok . close restaurant side street . I would stay would ensure request air condition room away street . 
 Jul 7 2006 	 not waste penny ! dissappointing 	 husband book three night begin July , hot period London . hotel claim four star shabby three star tourist hotel . refurbish hotel ? clearly someone fascination early eighty man make fibre blue gingham . the executive double room , whilst decent large size , small double bed ( nothing like normal Kingsize would expect hotel ) , sheet cheap rough see well day . television tiny old box top shelf corner room . tell Executive room , fortunate air - conditioning . laugh ! not work faintly generate tiny breeze tepid air room unbearably hot . paltry toiletry bathroom consist squeezable bottle detergent style handsoap liquid soap shower ( shampoo , soap bar , shower cap , moisturiser , face washer , definitely nothing like sew vanity kit etc ) .The refurbishment consist cheap office style furniture ( alright itchy back , otherwise uncomfortable ) . minibar room ( four star hotel mini bar ? even many three star hotel ! ) glass bring drink - couple plastic cup bathroom . the room service breakfast ' take leave ' approach . choose watery tea coffee come small box cornflake stale bread roll / croissant . want sugar tea coffee breakfast , make sure ask not come automatically ! ! second day , breakfast deliver 6.35am instead order time 7.15 - 7.30 . redelivery , late - like 7.45.clearly , also problem level english comprehension staff appal lack service attitude . Beware - Lancaster Gate tube station close refurbishment , close operating tube station Paddington station , Central Line , stay purely location , check beforehand . what dire hotel - really feel bit false advertising . goodness sake - stay Royal Park , be much expensive least make effort ! minibar either , get free drink room quality ! 
 Jun 22 2006 	 great stay 	 book hotel stumble upon rather negative comment room staff corus , needless say little apprehensive . not worried ! ! staff excellent , polite helpful , concierge , Benno , great guy love help . room , yes , little small side , clean , quiet . come , be London god sake , would bee overly concerned big room , place lie head another busy day shopping , sightseeing drink ! ! love hotel definitely stay ! ! ! beware though , july Lancaster gate shutting , temporarily , good check near tube station , one time , might far , point note . 
 Jun 15 2006 	 ok price 	 stay one night business whilst hardly bowl hotel well recently stay . room small unbearably hot ( air conditioning available ) clean well look . unfortunately hot room sleep window open mean awaken early morning sound traffic rushing past window ( hotel locate busy road opposite Hyde Park window open unavoidable ) should not imagine problem winter certainly avoid hotel summer ! ! ! bathroom small modern ( even bedroom ) would small two people share room . service check - in breakfast friendly staff breakfast room attentive friendly . Breakfast also seem fresh plentiful . Lancaster Gate tube station stone throw hotel locate central line easy get almost anywhere within short space time . I would stay hotel limit budget first choice . 
 Jun 13 2006 	 Beautiful 	 stay 3 night enjoy stay much . hotel locate across Hyde Park , block Underground Lancaster Gate Terminal . room tiny , comfortable queen bed , in - room safe , nice bathroom . decor modern , appealing . clean staff friendly efficient . towel complimentary soap stock daily . the continental breakfast consist cereal , croissant , fresh fruit , tea , coffee , milk juice . staff attentive courteous . we would definately stay ! love cleanliness upgrade amenity room , well friendliness staff . 
 Jun 10 2006 	 great stay 	 1 night Corus hotel 2 day stopover London . find location great , close Lancaster Gate station bus stop . one tourist bus stop around corner perfect we sight seeing . minute walk door feel welcome friendly staff could not helpful . staff tell we get tourist bus , catch bus Notting Hill ( much expect pay ) , sightseeing thing miss . arive early ( 9 am ) room not ready happy leave bag go sight seeing . upgrade trouble room lovely . modern , clean good size . find breakfast next morning little dissapointing , killer hang need coffee clean cup available , ask tell would not long bring time everyone rush miss first 3 lot . not seem much anything still guest arrive breakfast . the hotel happy hold bag till 7 pm could make time London . we would definately stay visit London . 
 may 16 2006 	 Great Location 	 arrive well check time , pleased hear room ready . weather brilliant , due lack air condition standard room , mean room stuffy . fan open window , help , ' m sure heat would much , see notice reception welcome upgrade room superior air condition extra £ 30 night , think have stay long two night might to . the room clean , bathroom small size make brilliant shower . room decent size bed push corner , maybe good not like ( like ! ) wall sleep . the reception bar area lovelly , staff friendly helpful . the location brilliant , 2 minute Lancaster Gate tube station , right across road Hyde Park , well worth wander round , especially brilliant weather have . in , great little hotel , especially get good deal Lastminute.com like . stay long couple night would definetely upgrade room . 
 May 15 2006 	 Nice ! would stay hotel without hesitation . 	 May , 2006four we return 6 night stay Corus Hotel Hyde Park , London . pleased staff , room , breakfast ( include price room ) . room clean , spacious expect , service good . staff accomodate pleasant time . stay many question concierge staff , helpful patient . reserve two room , 99 british Pounds per night , include full english breakfast . breakfast serve bottom floor , sunny clean room , breakfast buffet style . cold cereal , juice , fruit , sausage , bacon , egg ( scramble fry ) , fried tomato , slice fried potato choose . seat , wait staff immediately side question preference coffee tea toast . prior visit , contact hotel concern size room , due height man party . person speak pleasant , understand type note computer speak ; room give accomodate height man . window open part way - enough receive cool breeze May air conditioning , although powerful , help couple night . small restaurant hotel , well bar area could order food late evening . complaint hotel , ever London , would certainly go back . 
 May 15 2006 	 Fabulous ! ! ! 	 stay hotel wedding anniversary . location wonderful . enjoy coffee look Excellent Hyde Park . the room service good hotel staff helpful . room clean big enough short stay . we really enjoy next door pub ! Swan . the Lancaster Gate tube two minute walk distance hotel . the area secure close heart London . we enjoy every bit stay Corus Hotel ! : ) 
 May 1 2006 	 can not beat location 	 stay Corus 5 night wonderful experience . perfect place stay . arrive little early room available , choose wait non - smoking room . check bag go explore hour . hotel block away Lancaster Gate station Central Line directly across beautiful Hyde Park / Kensington Gardens . Paddington Station also short distance away . room get great . would read tiny room , experience . good size room , bed comfortable bathroom much large Manhattan apartment ! overall invite enough relax long day sightseeing . service great . pant press room request iron board receive five minute later . use room service couple time time satisfied selection . concierge helpful get stamp postcard advice eat around area . hustle bustle paddington really plain sight look like predominantly residential area really not . think plus , room quiet , real traffic people noise . 
 Apr 20 2006 	 Great Base explore London 	 hotel room small anticipate . stay weekend , long think would trouble store luggage . wardrobe room 6 coat hanger also trouser press . room modern design bed although quite small , really comfortable . bathroom also quite small towel thin . the room clean every day , bed change also recieve clean towel . location wise , hotel brilliant , right near Lancaster Tube Station , Hyde Park Kensington Gardens across road , feel like walk take stroll park Knightsbridge . pay £ 69 night get sort rate would definitely visit again . the reception staff concierge also helpful allow we leave bag check time day explore ! ! 
 Apr 11 2006 	 would recommend ! 	 nice hotel . stayed couple night . reception concierge helpful . allow we check hour early . room indeed small manageable , comfortable clean . room hot dry crack open window air . also safe box nice . lobby clean nice place hang . not breakfast can not comment that . great location . across street Hyde Park . went jog every morning . Lancaster Gate station minute walk bus stop same . I would definitely come back give amenity , location price . 
 Apr 2 2006 	 like green light bathroom ! 	 great stay Corus . not able check early able leave bag concierge , helpful . the room small not problem . room modern clean shower nice . loved green spotlight bathroom ! lobby area / bar nice - relaxed . would certainly stay . 
 Apr 1 2006 	 Decent hotel 	 stay two night end March whilst business trip . hotel well locate within 2 minutre walk Lancaster Gate Tube ( Central Line ) 600yds Paddington . room overlook Hyde Park perfect place afternoon stroll early morning jog . my room not massive much time spend hotel room ? bathroom small decent shower . check smooth , staff polite concierge service helpful . breakfast good excellent selection full cook English , cereal , fruit , yoghurt etc . all pleasant stay would consider stay . 
 Mar 31 2006 	 small value money 	 stay business function avoid late train travel Hertfordshire . as mention frequently room small ( hot ) clean functional short stay . 2 people recommend book Twin room 2 bed make sense small room like this . staff friendly location convenient Oxford Street . would use value money London . 
 Mar 27 2006 	 short break 	 Stayed husband 2 night ( 23 - 25 march ) . yes room small adequate short stay . problem safe room rectify soon possible alternate safe provide conseiage reception . tea coffee ( excellent selection ) supply room , replenish daily . booking include full english Breakfast , excellent choice cook continental . note leave room Friday warn we breakfast Saturday expect busy . wait 10 minute table . location good 2 minute Tube station give instant access LOndon attraction across road hyde park . would use hotel . 
 Mar 24 2006 	 Sure be small ... 	 ... be nice , be clean , staff friendly . concierge helpful give we great recommendation . 's bit way , Lancaster Gate tube stop less block away , easily get anywhere . recommendation worry less size room get see city ! 
 Mar 22 2006 	 disintereste staff uninspired dig 	 hotel lot problem . be dirty small room bad , staff clueless lack sort interest guest ... seat table one restaurant wait fifteen minute order take . order , another fifteen minute young waitress tell could not serve large backup kitchen . could come back two hour ( 8:30 pm ) go somewhere else.book sleep bridge not expect anything.the overall ambiance cheapo airline lounge ... 
 Mar 20 2006 	 one room per half person 	 emphasize small room actually , would think price room location hotel would sacrifice room size , step realize big mistake ' ve do book stay hotel . yes , say hotel room London pretty small hotel really take next level . the bed ( full ) attach wall leave 1.5 ' side bed hang , ' travel spouse prepare fall bed point sleep . Don ' even think turn tv , since size small place far squint make face tv set . channel available number 1 - 5 . well , ' even want hang room forget tv.the continental breakfast serve basically croissant cereal , make sure bring extra milk go somewhere else eat . all hotel room free booked airline ticket can not really complain , ' state fact go stay hotel . 
 Mar 14 2006 	 Excellent weekend 	 return excellent weekend London stay Corus Hyde Park Hotel . arrive morning allocate room straight away , quite spacious , immaculate spotlessly clean . food restaurant good breakfast excellent . experience would recommend Hotel friendliness staff throughout Hotel , food room . enjoyable stay . look forward return later year . 
 Mar 12 2006 	 central location 	 stay March 10 - 12th 2006 . hotel central , next Lancaster gate tube station , opposite Hyde Park . nice decor , room clean , small limited storage . staff helpful pleasant . nice breakfast buffet . good short break . 
 Mar 3 2006 	 Fab Hotel Compact tho ! 	 nice Hotel ! enjoyed stay much , staff helpfull . room small everything u need ( kettle , hairdrier , iron ) . nicley decorate comfortable . english breakfast delicious staff friendly welcoming . problem room hot could not turn heat I m sure mention would sort . central plenty shop resturant . 
 Mar 3 2006 	 weird room ? 	 christmas take girlfiend london bit shopping , stay hotel 1 night , alright location . the decor inside abit cheapy look 4 * hotel , check find sleep rabbit hutch ! . room weird decor abit chinese ? , I ve never ever stay small room ! , hardly light ! toilet like something Dr ! weird green light . I suppose ok money , would not stay again . I do not think staff helpful , ok might 18yrs old look be not hotel ! . 
 Feb 21 2006 	 think would .... 	 sister family meet hotel stay one night . sister already warn small room would ready small room receive . sister 's room size think would , fine one night . room perfect one person , yes small clean go back London try hard stay . view Hyde Park hotel close tube station make fact small room . opinion great stay go back . 
 Feb 19 2006 	 good value clean yet compact 	 take daughter London day spend quite lot time review hotel quite fussy . Booked Superbreaks 2 night cost £ 118.00 - many hotel offer 1/2 price kid ! ! room small well equip clean . breakfast great would stay rate . 
 Feb 19 2006 	 lovely hotel ... 	 stay Corus special offer weekend last April . like location- quaint , mellow leave hotel piccadily welcome change . however , check hotel ( book single ) tell room small thought consider upgrading . receptionist right ! ! never cruise cabin small single ! ! insanely tiny , almost unable move around ! return reception give complimentary upgrade extremely grateful . room well decorate nicely furnish proximity Tube station extremely useful . however , not much go night walk fair bit get active section town . Hyde Park across street standard price ( special offer ) , not think hotel worth ! 
 Feb 12 2006 	 like doll house ! 	 husband stay one night Feb 06 , amazed size room ! bathroom smallest ever see ! room clean tidy , absolutely storage clothe ect . window really need double glaze incredibly noisy night long siren car speed past even though 7th floor keep awake night . the tv tiny laze bed could not see screen clearly . the full english Breakfast good though ! good get early avoid long queue . would stay hotel ? Definatley , would rate 2 star real value money . 
 Feb 5 2006 	 Great London Hotel 	 locate less five minute walk Oxford Street overlook Hyde Park , Corus Hotel modern hotel within old style building . freshly decorate bright colour , hotel interior clean attractive . sure , bathroom not big , rest room well lay comfortable . a good selection full english breakfast morning staff friendly helpful . just one negative - parking site resident parking surround area . nearest public car park five minute walk . that say , would definitely stay , car car ! 
 Jan 28 2006 	 clean hotel great staff 	 stay Corus 2 night business pleasantly surprise reading review . yes , room compact everything could need - right mini ironing board iron room safe . the room cleanly decorate excellent lighting amongst well maintain ever see capital . bathroom , though small , immaculate shower fantastic . not sure people complain heat - adjust theromstat radiator - hardly rocket science ! eat dinner restaurant one evening great money serve friendly staff professional manner . breakfast room also pleasantly decorate , clean well maintain . staff throughout hotel extremely pleasant helpful , something not always find much expensive property . my complaint would guest make much noise - tv doens't need high volume 3 am ! overall great hotel , good value well train staff . would recommend ? well already book next week first stay certainly would not think change reservation another hotel follow first experience . 
 Jan 26 2006 	 Excellent Hotel 	 partner stay hotel hour research net reasonably price London hotel . one definitely exceed expectation . close Lancaster Gate tube station , staff knowledgable helpful , room immaculate decent size ( Room 730 ) , compare lead believe read previous review . thing regret not book entire London stay hotel ..... ah well , will know next time ! ! ! ! ! 
 Jan 18 2006 	 agree ` ` midget '' review 	 small toilet ever experienced , mildly large airplane toilet ! wardrobe , life live luggage . room tropical , expense spare heating . clean , staff pleasant , good area , right beside Tube Station ( Lancaster Gate ) , though cheap . 
 Jan 9 2006 	 Great Hotel Great Location 	 stay five day week Christmas Corus Hyde Park . room , albeit small , clean good amenity . room rate include full english Breakfast Buffet clean , well - light dining room . service dining room hotel staff friendly courteous . good part hotel location . locate directly across street Lancaster Gate Hyde Park . stroll past italian Fountains walk Kensington Palace . jog every morning Hyde Park actually see red fox park . hotel one block Lancaster Gate Tube Station Central Line Underground . hotel also conveniently locate along several major bus line take major location central London . hotel situate quiet neighborhood shop , nice pub launder mat within short walk . highly recommend hotel cleanliness courteous staff . 
 Jan 3 2006 	 Great Hotel 	 reading review prior stay hotel slightly concerned . arrive 10 am check , know little early , advise helpful member staff room ready upgrade executive suite , large room , lovely large bath lovely view , trouble small room etcc .. room service excellent arrive within 15 min full english buffet breakfast downstair restaurant spot on . would recommend hotel , , large room , stay one small room opinon may slightly different . 
 Dec 3 2005 	 Good Value 	 Corus Hotel , November 28 , 2005 . good . very good value money . although room small , well design , clean comfortable . position excellent , 1 minute tube station , opposite Hyde Park , near attraction . definitely stay . 
 Nov 29 2005 	 one well London hotel price range 	 ' ve recently move London work book hotel lastminute find flat . several hotel ' ve prefer Corus far . room clean , decor fairly modern ( compare place area ) , lobby pleasant , staff friendly . location great ( right across Hyde Park ) . caution average reader sleep noise people comment noise discount . however , least room ( 8th floor ) , noise not significant problem . write base good price get lastminute [ - ] . pay normal rate maybe would different view . yes , bathroom small think reviewer cultural sensitivity . want strip mall Motel 6 big bathroom want beautiful architecture Central London ? one make sacrifice guess . personally not really care much size bathroom give would rather sightseeing . , care cool pub , bar , restaurant , people street , aesthetic city , park museum , large bathroom . anyways , good time far . knock wood ' m still ! ... 
 Nov 21 2005 	 great midget 	 stay hotel 14 November 2 night . lucky room - double bed two people room would intolerable ; could touch two wall arm outstreche . yes be clean ; yes , centrally locate - ' ve say . wall thin hear everything go room either side - mean everything ! business jet lag well , wake 2.30 idea heaven , epecially noise go hour no - one anything . breakfast basic continental small dining room . give free room service try keep wait breakfast , trouble room service not work either . day 1 breakfast arrive 30 minute , ring room service ; 5 minute constant ringing give go breakfast . many colleague problem . want relatively cheap , warm , clean shoebox hole whilst London may . want sonmewhere actually sleep semblance space - oh , drawer put small - try somwhere else . 
 Nov 10 2005 	 incredibly small room 	 Corus exactly expect , old build small room ....... surprised small . bad part however dresser , chest drawer armoire clothing . cubbyhole next bar hang ...... 1 week ! tight cramp . clean though . bathtub high ... slight problem leg knee find another hotel . location convenient , 1 min . walk tube . staff accommodate , fact warm day arrive inquire air conditioning tell room air condition ..... however since stay 6 night give we free upgrade one a / c . nice pub across Kensington Gardens call Black Lion much nicer Swan Pub ..... Toad Hole delish . breakfast good ...... cheese , ham , cereal , croissant , roll , fruit , jam etc . start early , 6 , get early start day . overall nothing terrible say Corus London ....... great time . doubt will return . 
 Oct 31 2005 	 pleasant hotel 	 nice hotel convenient location . room lovely clean . room quite hot stuffy though request fan arrive within one minute ! good hotel probably return New Year . 
 Oct 26 2005 	 good location careful bill .... check Check Check 	 hotel locate nice area , close Lancastergate tube station , convenient . continental breakfast great ! room small , clean . hotel picture describe exactly find there . everything fine receive telephone bill . amount incredible unacceptable , want speak manager since give rate 's list . make speak hotel concierge rude . pretend want call , would like check rate place call , since already exceed budget . magic list arrive , could check charge 2 time list . charge 3 pound local call ! ! ! ! end , give 50 % discount ... meaning go back correct price ( still EXPENSIVE ) . tell buy call card , since hotel call really expensive , make money . could believe listen argument . I never stay , regardless good location , since vacation location , whole pleasure package , stress lot end stay . 
 Oct 12 2005 	 good hotel 	 functional hotel . clientele contain great number tourist . location nicely situate across Hyde Park . room clean . however , quarter could use touch - up paint job . overall , useful place stay good rate middle business week . weekend , find well deal upscale business hotel . the common area sort decorate bright Ikea chic , not always appeal consume evening cocktail . , plenty nearby pub enjoy . 
 Sep 12 2005 	 would stay 	 family two room hotel part British Airways package . daughter ' ( adult ) room refurbish nice , acceptable . breakfast quite good nice selection roll , croissant , cheese , ham , jams juice . the location wonderful . Lancaster Gate tube station witin two - minute walk . stay extra night beyond include package impression reasonable value compare know price London . area around hotel offer lot local charm quite close Paddington Station -- take taxi first arrive could walk 5 - 10 minute . 
 Sep 7 2005 	 Hot Hot Hot ! 	 location hotel excellent immaculately clean . room , however , incredibly small , even London ! hot day year temperature inside room corridor unbearable , air conditioning not fan . force open window overnight mean wake truck arrive 6 am , disturb constantly generator noise ! 8 am , maid let ( sleepy hear door ! ) next morning hang ' do Disturb ' sign door woken maid knock ask would leave ! although price reasonable loved area , would not stay . 
 Jul 3 2005 	 Good Hotel small room 	 get back Corus Hyde Park , stay Live8 weekend ( Fri - Sun ) . first impressions- nice building , clean , modern . reception staff pleasant courteous check - in swift smooth . pay £ 40.00 deposit ( £ 20.00 per night ) extras may take stay , movie , playstation , room service , telephone call etc . I quite take aback size double room , not look size webphotos . wide enough take double bed , wall one side , 2 foot walk space side ! room quite long though fair . room immaculately clean could tell recently redecorate . bathrooom average size could accommodate 1 person time . bath shower , great . really negative issue overwhelming heat room ! sash window could open 6 inch fan attach wall near ceiling , not much good . could not close bathroom door heat suffocating door shut . would strongly recommend upgrade air condition room ( visit ) can not stand accommodation hot . weather outside not particularly hot weekend , dread think would like heatwave ! book pay continental breakfast ( option leave available date want ) , arrive room give option upgrade full english breakfast supplement £ 3.50 pppn , fantastic . need tell want upgrade go breakfast morning charge room , convenient . breakfast pipe hot absolutely delicious good variety . offer tea / coffee toast . time collect breakfast , self service , return table , coffee toast wait . want , could also continental option well , find full breakfast sufficient . hope return London summer would happy stay Corus . p.s scour internet hotel find good deal ( -- - ) 
 Jun 8 2005 	 Glad choose hotel 	 great location . room small well - design comfortable . immaculately clean . large continental breakfast . breakfast room lot window overlook Hyde Park . two block tube find convenient . ( tube station require walk stair - may problem people carry baggage . ) family two room - one air condition one fan . highs day 68 degree Fahrenheit . highs , fan keep small room cool air conditioning keep room comfortable . not know comfortable room would hot weather . staff pleasant . shower deep bath tub 's big step get - might problem people . glad stay hotel would recommend . 
 Jun 6 2005 	 Good Value Great Location 	 ' ve return long weekend Corus hotel , Hyde Park . overall enjoy stay - hotel great location . overlook Hyde Park minute Lancaster Gate Tube make ideal location want something main bussle . occupy single room . clean , well present ideal . complain room heat . air conditioning , window would open wall fan provide air circulation . give weather muggy weekend , make difficult sleep comfort . the problem encounter lift . three available , one available onne morning take almost 20 min actually get reception ( one seem able locate stair ) .overall major issue I d happily stay hotel 
 May 25 2005 	 small room London 	 trouble even give 2 star review property right along Kensington Park . ' m 5 ' 3 & quot ; could lay across width room touch end ! give idea narrow room ? sleep suitcase bed since room put available floor space . wardrobe shallow put clothe flat , face forward capacity 3 shirt . bathroom okay . friend 's room bizarre . entrance hallway hotel room 's bathroom . , go bathroom get bed area . breakfast okay . a / c bad thing even winter since radiator run continously . window paint shut . lot Cosmos tour stay . also , know pick - pocket area . 
 May 23 2005 	 tiny need update Convenient 	 book vacation British Airways include 2 free night London Hotel - select Corus . first room , bed must 50 year old . bad bed , room fall apart old wall paper fall . first floor could open window A / c . hot London , extremely noisy stuffy . change room next day staff give we much hassle . second room smallest ever see - small european standard NYC . bed wall barely room walk entire room . , improvement could actually sleep bed could open window . hotel extremely convenient - one block underground subway near Paddington Station . room relatively clean . overall , unless room free British Airways , would go back . 
 May 17 2005 	 average 	 average hotel - room tiny ( even London ) . room skinny long , feel like pencil box closet view ( room overlook back building kitchen truck arrive ) . also get pretty hot night , open window little bit , could hear truck early morning . bathroom really tiny well . build pretty outside . continental breakfast quite decent - type cereal , 2 type juice , milk , tea , coffee , 2 3 type roll , jam , cheese , ham ... staff pretty friendly . we not like location lot - ' k , close park tube , nothing else . like Tavistock much well ( hotel location ) . will not stay hotel . 
 may 7 2005 	 good hotel London - bad attitude staff 	 second stay Corus . find hotel well locate good value London . time however , encounter problem upon check - in . rate select Internet bed full english breakfast hotel record show room . question , condescend french receptionsit indicate get good rate proceed show rack rate hotel ( pay rack rate ? ) . receptionist many year know hotel cost ( interested career experience ? ) insist breakfast include whereupon reluctantly agree , next morning find continental breakfast offer . finally , log website prove rate select include full english breakfast . ( cost one pound 50 log get page print . ) meanwhile room , rate quote clearly state hotel info . brochure ! would good therefore desk staff aware website also info . room . importantly gain understanding word ' hospitality ' make sure individual ' attitude ' put front customer . incident , would probably stay good location spite microscopic room 
 Apr 26 2005 	 great value 	 stay hotel free thank BA package . concur comment : room small ( room double bed , desk , ( literally ) ; room clean ; decoration spartan nice ; staff friendly . good part definetely location ; hyde park beautiful place spend day metro close . caution ? : end March hall swelter ; room cool could open window , imagine would awful summer since air - conditioning . not think would try summer even free ! 
 Mar 23 2005 	 nice place stay 	 family stay March 12 - 15 british air package . sister twin room , parent double room ( although queen - sized bed ) . room clean looked recently renovate . small U.S. standard , everything would want : comfortable bed , clean bath shower , desk , tv , phone , closet . parent ' room bit old , look little worn . however , also clean come amenity . breakfast include room consist roll butter jam , ham , cheese , cereal , milk , juice , tea , coffee . pretty good - least someone big breakfast eater ! location great . block away Lancaster Gate Tube station . close first two day , take bus Marble Arch , 4 - 5 block . 10 minute walk Paddington Station , also convenient . take taxi station arrive London ( luggage ) , pound . hotel right Hyde Park , great view . , great place stay . would certainly stay . 
 Mar 11 2005 	 Friendly Corus 	 stay Corus 4th - 7th March 2005 . arrive Euston train station take bus ( 390 ) direct hotel - fare £ 1 20p Alight Lancaster Gate underground station . room standard single , small clean . adequate day . open fronted wardrobe hang space 18 & quot ; . single bed small ( 6 ' 4 & quot ; ) dovet cover come shoulder extra blanket provide . breakfast arrangement excellent stress free . guest Continental B & amp ; b use different restuarant want full english breakfast . cut lengthy wait busy time . staff helpful friendly ever encounter . I would certainly stay hopefully large room 
 Mar 8 2005 	 Great moderately price London hotel 	 get hotel via British Airways package . little afraid reading review room great ! small average size big city , moderately price hotel . breakfast great well . room bathroom sparkle clean . location top notch . two complaint -- staff give we one wake call , lift ( elevator ) service spotty . one morning wait 10 - 15 minute could get lift go , staircase lead alarmed door not option . one concierge could bit helpful . , great deal -- please Corus . would definitely stay . 
