beautiful 	 Hyatt amazing unobstructed view river 's beautiful night . location superb , situate two minute start Magnificent Mile shopping endure . however , be pretty much end . room average , poorly decorate , 4 - star quality . iPod functionality clock break , pen provide in - room , colleague stay floor constantly complain noise distraction prevent get good night 's rest . source noise include : - elevator door open / closing- Elevator gears- Street noise- water run pipesunfortunately , noise momentary persist entire night due placement room throughout week stay Hyatt . be almost like build design consideration sound - proofing ! also internet include price pay almost highway robbery ... not archaic still charge in - room internet nowadays ? say , hotel still decent stay . service acceptable friendly . location convenient , view amazing . would still recommend friend . find good deal place 's worth ; otherwise , would suggest look hotel area around Michigan Avenue . 
 nice business hotel well locate . 	 good positive surprise . hotel maybe 2 drawback : 1 - bad isolation hall , like every hotel USA , 2 - it might get crowded conference time , baby BIG ... otherwise amenity good , nice gym spa , shop basement staff impeccable usual Hyatt . good experience . 
 expect MUCH Hyatt 	 get room great rate , still expect standard four - to - five star Hyatt experience . yes , enjoy great location , facility twenty - five year old , facelift give , be still pretty shabby . here lowlight : Got room notice black stuff caulk around tub . ( see photo ) . mention front desk staffer , apologize profusely . say housekeeping manager would get right dinner . we get back dinner ... still black stuff tub . , next morning , bring attention new front desk staffer duty , , , apologize profusely . ( use almost identical wording first woman . script follow ... ) ask housekeeping team address breakfast , could clean tub rest stay . shockingly , change tub breakfast . go back counter , speak staffer early morning . ask would like move new room , , inconvenient , sound like good idea . credit , offer give we sort freebie trouble . since not need free internet food voucher , apparently nothing else could offer . ask could comp $ 48 parking bill ( yes , 's daily rate ! ) sorry , dice . , go look new room . unfortunately gunk tub ! ( see photo . ) 's foolishness ? make matter worse , return breakfast , find sheet actually multiple rip tear ! impossible miss , tell housekeeping staff either not care not give guidance , know , rip sheet not really enhance Hyatt brand . so , pull rip sheet bed go back front desk . tell desk agent would stay original room since new one not much well . ( think sarcasm lose . ) , profuse apology , housekeeping manager call , put good people , yadda yadda . we two night . interesting see play .... 
 Jul 13 2008 	 great price = Great Value 	 book hotel via Priceline bid stay busy July 4th holiday weekend . rate $ 90 night get great deal consider date , location quality hotel . stay east tower room appear renovate sometime recently relatively modern great shape . receive great service folk front desk upon check - in find valet folk extremely helpful relatively quick throughout stay . good pick we great location . 
 Jul 12 2008 	 Loved ! 	 go Chicago adventure group friend end Hyatt great rate Hotwire . upscale hotel ' ve stay , great . front desk attendant helpful inform we local pizza place bus transport . intend shop Mag Mile probably good choice . internet tv expensive , well room service , great busy weekend otherwise . would love stay . 
 Jul 9 2008 	 haunt plumbing 	 170 person conference . pay $ 13/24 hrs internet access . lobby , & quot ; free & quot ; use computer , $ 28/1 hr internet access . note site state fee access ; however , be burried deep actual fee list . park $ 48.50 / night , understand go rate downtown ; still think extreme . the bad part [ ] bang pipe . water hammer problem whenever someone close water valve ( shower , toilet , sink ) pipe would bang . hear room four floor four floor I . many conference - mate toilet would not flush . liquid would go , solid would . 
 Jul 9 2008 	 nice impersonal 	 friend stay Chicago sightseeing go concert . get room $ 113 Hotwire , think great deal . I get expect large hotel -- clean , comfortable room , busy staff seem hurry move next person . eat elsewhere , like Starbucks right hotel . the room somewhat small comfortable , modern furniture , nice bathroom , flat - screen TV . sleep well , friend problem 's allergic pillow comforter . find pillow could use closet , though . the front desk clerk try talk pay extra $ 20 room scenic view , room overlook river downtown anyway , not fool pay ! overall , hotel centrally locate comfortable , ' m sure would pay full price . 
 Jul 7 2008 	 incredible View 	 absolutely adore room Hyatt Regency Chicago . view incredibly amazing . hotel convenient location . great choice visit Chicago area . 
 Jul 2 2008 	 worth money 	 spend three day & quot ; girl & quot ; trip disappoint since special trip think stay somewhere swanky . queen bed turn full size . two coffee pod available four us coffee anywhere else find hotel ( take coffee seriously 's easy amenity provide ) . zero extra like breakfast , cocktail hour , even apple water front desk . enough towel four . $ 25 charge even use refrigerator ( apparently weight - sensitive ) . movie rent fuzzy . dirty cup leave outside door next almost two day , hallway carpet stain , ledge room visible dust hang . hate point cleaning flaw , however , since maid valet kind people encounter entire hotel . staff indifferent good . valet park $ 40 / night , still expect leave hotel get car ( & quot ; quick way get car go across street two escalator ask valet desk give ticket someone door next door , & quot ; almost verbatim tell front desk ask car could bring fetched bag . offer help we bag anyone point . would not even let we use cart unloaded car & quot ; liability & quot ; -- even though see people cart . ) admit ' m bit biased point , ' m Chicago lot really great experience ( fair one really , really horrible one ) . hotel dud . expectation customer service anything even remotely special much well place stay , include Affinia , Allegro , Amalfi . 
 Jun 29 2008 	 love location Hyatt ! 	 stay Hyatt Regency Chicago 4 night attend professional conference Chicago . pleased overall would stay . great location Chicago river , convenient Magnificent Mile 's wonderful shopping . room clean workspace good plenty power outlet . carpet need update little grubby . bathroom clean dimly light . include light make - up mirror always nice touch . plenty hot water . housekeep nice job . bed quite comfortable . the staff friendly helpful . totally goof lock carry - on bag room check . quick give temporary key tell shuttle O'Hare leave 10 minute . I eat one restaurant hotel , Pronto Mama 's , adequate . would not go back , satisfy meal long day delay flight shuttle stick traffic . a couple Chicago restaurant recommendation , cab Hyatt : Tavern Rush Bistro 110 . 
 Jun 27 2008 	 convenient location 	 book 3 night stay conjunction professional meeting . arrive 3 pm check time tell reserve king room ready offer room queen bed . since alone figure would suit purpose . unfortunately room corner room weird furniture arrangement ( insufficient dresser space large screen t.v . situate desk , make work difficult ) . would recommend accept type room offer . hotel huge clearly serve large business audience . however , appear able accommodate well large crowd , elevator wait problem . room comfortable typical Hyatt decor . location excellent , close Michigan avenue Loop . also take advantage close boat dock achitectural boat tour ( 90 minute ride , $ 28 ) , excellent ( concierge book reservation ) . real complaint hotel ( slight disadvantage odd room ) check - out day room service lady knock door let 8:30 ask would check . fortunately dressed , could awkward want sleep late . 
 Jun 23 2008 	 Spectacular view great location 	 Hyatt Regency Chicago great central location . view room face river Wrigley building spectacular day night . bed Hyatt hotel always comfortable . that say , disappoint Hyatt moment check . welcome attitude hint smile Rachel work front desk check - in . concierge staff often give we misinformation uninformed site event Chicago . get good info cab driver . big complaint hotel seem run . chair throughout hotel wear , tear stain . brass railing lobby dirty . big white billowy cloth decor hang Bistro cover layer dust . & quot ; stained & quot ; sheet bed . room bathroom darkly decorate low watt lighting . spider inside outside window room 2130 creepy . hotel need good cleaning remodel , turn light cry loud . 4 star hotel advertise ! say view spectacular ? get see great City Chicago , much . not spend much time room . love city , Hyatt . 
 Jun 22 2008 	 Plenty Better Alternatives 	 location great . within walking distance attraction . however , great thing plenty hotel price range area much well customer service . the hotel staff obnoxiously rude . concierge well educate local attraction . first two night call request room change room run toilet get hear night . nothing do night 3 . refuse room change due & quot ; overbooke & quot ; . day checkout , tell would require pay $ 50 late checkout . ask manager explain issue stayed think extra charge hour fair . debate , agree . the configuration King room odd uncomfortable . headboard bathroom wall enter foot toward window . however , dresser typical location . try watch tv bed 40 & quot ; flat screen 3 foot face leave side bed . odd uncomfortable . the room service great ! ! fast tasteful ! 
 Jun 22 2008 	 Comfy bed terrible bathroom light 	 husband & amp ; stay 4 night attend conference May . room 4th floor view river . view would excellent except moisture window blurred view . nice room 4 star room . would give 3 1/2 star . bed comfortable & amp ; get king room ( husband request ) . also good fluffy pillow . however bathroom seem old . light dim - good shaving put makeup . stop front desk & amp ; mention girl duty . pleasant & amp ; confirm number people complain light . like location & amp ; able walk many place like Art Institute Chicago , Millenium Park , Magnificent Mile , etc . one evening husband business dinner , walk Oriental Theatre see & quot ; Wicked & quot ; would highly recommend . use concierge service 2 time & amp ; receive good service . concierge desk setup like podium close main check - in area . 
 Jun 19 2008 	 Loved Hyatt ! 	 pay $ 75 night Priceline , excellent June . room fantastic view Hancock Building river . room large , clean couch , easy chair desk chair . bed new ' non - bedspread ' style , bed comfortable , bathroom large , well , pleased room Hyatt every way . we eat lobby restaurant , attractively decorate bustling activity . get Cobb salad , not know food , general , good . Cobb so - so . our complaint $ 48 fee park car over - night $ 13 daily fee internet . many place offer free internet day wish Hyatt would hop board concept . we hate leave ! 
 Jun 15 2008 	 great hotel busy large event 	 hotel area know & quot ; Loop & quot ; . be fair distance away touristey attraction , plan walk lot use bus / cab / train / car . be far Navy Pier . Mellinium Park block away . there two building , three way get . first obvious way cross street ( Stetson ) . second via skybridge . third underground . underground connection part Chicago Pedway . pedway invaluable resource walk around Chicago . the elevator get really slow lot people use . seperate elevator housekeeping staff well food staff ( room service ) . use one food staff elevator almost exclusevly never meet another staff member . the room quite modern comfortable , even 4 people double queen room . surprised find almost brand new 42 & quot ; plasma bolt front table . discover tv could change channel also pc input . bring vga cable ( DVI though ) use laptop big screen . cool . noticed room upgrade yet ; many still 25 & quot ; CRT television . also , ihome dock standard room . particular model feature auxilary input non - iPods . also plug directly headphone jack laptop , help tremendously laptop rather quiet speaker . wireless internet terribly expensive . get lucky though . stay East tower room southeast . outside room window look directly south . directly south hotel apartment complex . dozen access point could pick , one open . also walk around hotel laptop find open access point ; mostly blue level . 
 Jun 13 2008 	 Nice Location Room 	 recently stay hotel business conference . although hotel close convention center , provide shuttle special route convention center . location hotel convenient many downtown attraction . little Marriott , Intercontinental , everything walk distance ( long not mind walk couple block ) .The hotel big , service extremely personal . room 32nd floor nice view city . like unique layout room . clean maid service efficient thorough . the issue would slow elevator peak time ( , big hotel ) slow response call operator front desk . would stay , possible , would prefer stay hotel right Michigan avenue . 
 Jun 11 2008 	 Moody waiting staff ! ! 	 visit hotel lunch write review disappoint . 151 Restaurant Hotel simply miserable unhelopful wait staff come across . everythye much trouble . exception Joanna , bar tender , go way help we . I go use lady homeless lady washing sink . delightful . please not visit hotel want good service smile ! 
 Jun 11 2008 	 Service expectation large hotel 	 moment arrive , staff Hyatt Regency Chicago set tone great weekend courtesy friendliness . we greet name encounter truly feel genuine warmth staff member . lobby large , able find little nest Big Bar welcome cocktail- love atmosphere view . request room view certificate redeem room level . tell would available extra $ 20- problem well worth . view river lake spectacular 21st floor . sure draw curtains- summer sun well want ! since room comfortable , opt room service morning . deliver within 30 minute expectation . attend Blues Festival easy walk Grant Millennium Parks hotel . many dining option within block little need take car , valet service fast accommodating . $ 45 per day privilege , bargain city . ( slight ) negative call concierge 11 pm late night dinner recommendation nearby , draw blank refer us room service . true ! since grow Chicago , know option let net direct we instead . ( Smith & amp ; Wolensky service 2 be low level grill- 3 block walk Wacker Drive . ) cab driver assist well feel adventurous . since like read review make choice enjoy comment , good bad , hope review help wish great stay Chicago ! 
 Jun 11 2008 	 Nice Stay Chicago 	 book 2 night stay Hyatt.com get rate $ 179 / night . location great -- walk almost everywhere . take cab Gibson 's ( excellent mini - slider ! ) walk back hotel . hotel staff helpful room clean comfortable . day check - out convention hotel begin . lobby common area hotel little congested , really not bother we . one nice thing Hyatt still hold luggage bell stand additional cost ( except tip ) . notice hotel charge service . easy access public transportation , car necessary . love visit Chicago hotel definately positive ! 
 Jun 11 2008 	 nice place stay price right 	 expect little bit Hyatt Regency Chicago - bit 4 Star little bit room . little thing make difference . negative : - stay 9th floor West Tower end hall could easily hear people outside door ( gap door 1 1/2 & quot ; - could make television program , bathroom habit discussion people next room . happily amorous- toilet low - flow flush twice towel thin , plush robe room- cattle call check service area ( busy ) Positives : - nice tv hi - def- great location sight see business both- comfortable bedsIf get great Hotwire / Priceline deal would recommend hotel $ 249 convention rate , worth . 
 Jun 9 2008 	 another pleasant stay 	 stay room 1980 early June 2 night . Stayed & quot ; main & quot ; tower trip , stay previous trip . room fresh partial view river . usual amenity furnishing Hyatt . staff friendly helpful . agree poster eat option high - bagel $ 2 + self serve $ .85 Starbucks street . conference rate bargain , previous stay get great rate Hotwire . location certainly great . walk Magnificant Mile 900 Michigan store , back along lake river walk . lunch Park Cafe look straight & quot ; bean & quot ; walk Art Institute . bottom line , great location , comfortable room , friendly staff good value . I would stay . 
 Jun 6 2008 	 's Hyatt 	 Hyatt Hyatt . stay 20 year . hotel well run , clean well manage , be nothing special compare upscale hotel Chicago . I know . commute Chicago every week do past year half . ' ve stay dozen different hotel . my room queen small . staff person helped use kiosk check - in device know mentionne soon see room number . & quot ; yes , 's king hope room small , great view . & quot ; view decent - partial shoot Chicago River many high rise - great . I guess not complain though . book Hotwire get reasonable price , be unexpected would not get & quot ; & quot ; room . trip receive room quite spectacular . guess depend occupancy . the room comfortable clean . stand shower , bath person , make sure ask check in . I eat drink restaurant Hyatt . expensive food average well . many close restaurant guest walk well food reasonably price . one night trip not use ammenitie . the new check kiosk actually take long use step counter , could & quot ; user error & quot ; . ' m guess line long kiosk welcome opportunity check , get proficcient , process fast . mentionne , staff person assist . helpful knowledgeable . two pet peeve hotel - free wifi will not let use frequent stay number book Hotwire . get not expect credit discount room , least use number , could get free paper morning least recognize Gold Passport member . always mention management one person not go change business model . overall hotel fine would recommend get good rate . 's close Mag Mile , nightlife restaurant shopping . also convenienet many mode transportation - & quot ; L & quot ; airport , metra train ' Burbs , example . 
 May 31 2008 	 Hotel OK Service average 	 stay hotel many year ago , must say much change . one exception though , hotel excellent service make 's average design look . hotel several good restaurant great breakfast buffet awesome gym . 
 May 29 2008 	 Excellent Hyatt 	 stay Hyatt Regency Chicago 5 night may 2008 attend conference . room 5th floor overlook hotel atrium , face E. Wacker . room include sofa comfortable chair well desk chair . bed comfortable . room plasma TV ( ~42 & quot ; ) . room iPod dock . room nice size , bathroom . hotel good location ; within walk distance shopping , museum , restaurant . I tend favor Hyatts , overall , pleased stay . 
 May 28 2008 	 nice room ripoff beverage price parking fee 	 room nicely remodel plasma tv etc . bathroom smallish exhaust fan kind make steambath take shower . toilet not flush properly . large glass ceiling lobby , restaurant , bar area pleasant except fact air conditioning able keep cool . bar area push 90 degree sunny day ! drink overprice ever encounter ! total ripoff . restaurant price bad order menu . breakfast buffet way overprice quality offer . hotel staff nice . ride Amtrak Chicago avoid ripoff parking fee nearly $ 50.00 day . would think well hotel money Chicago . 
 May 27 2008 	 Excellent Location - necessary ? 	 conference hotel primarily . property huge , 's easy get lose . $ 48 per night parking , be far well take public transportation even taxi get around town . love Chicago , hotel 's location good walk shopping . however , get around town fairly easily without shell hundred dollar per night , plus overprice extras hotel . hotel vibrant profit center conference facility , unless be conference , be worth money stay . 
 May 23 2008 	 nickel dimed death 	 pleasant hotel , sheesh , price ! $ 48 day park ! ! ! $ 5 day use room safe . $ 13.61 day use internet . $ 25 day use mini - fridge ( need keep med cold ) exorbitant room service price . and , . 
 may 19 2008 	 bring earplug beautiful hotel 	 stay Saturday night , begin National Restaurant Association convention , bring 74,000 people Chicago . book two people Priceline , know previous stay Hyatt Regencys will not put rollaways room . solve problem use 1 - 800 - CHECKIN . think may join free Passport Club use service . call number day stay , time , get room block phone time . woman phone assure would get well room use front desk . put we room pullout sofa , East Tower beautiful view Park . room clean comfortable , noise hall clearly audible . actually hear person drop morning newspaper front door . alas , mean front door . road trip fan , without , would noisy night , people hall mention staffer clearly audible , even fan . staff incredibly polite helpful , would want problem . Park elsewhere - garage $ 48 night . 
 may 11 2008 	 FILTHY dirty 	 first notice filth go turn air / fan bedroom . dust vent 1/4 inch thick . crumb dresser drawer . 1/4 inch dust floor board , door stopper bathroom , sprinkler bathroom . bathroom door splatter God know ! mold bathroom bathroom wallpaper stain splatter . remote control tv work properly call maintenance . maintenance person arrive ask stay far tell room . call & quot ; Exceptional Stay & quot ; department come touch room evening . arrive back room rather late notice new towel , . nothing else look though touch . repairman fix remote tv next evening , long work properly . speak manager front desk experience offer move another room , promise bell hop room 5 minute help move . half hour later , move one show . new room not much well , one mold ceiling shower , mold shower curtain . far late night anything stick second night . disgusted . next morning secure room Hard Rock Hotel checking -- beautifully clean ! collegue stay & quot ; Club Quarters , & quot ; also nearby , say price great room clean [ bit small side . ] would never consider stay Hyatt . one upside Hyatt charge one two night . probably charge . ' m shock housekeeping practice . kick bring camera trip . notice other report good experience Hyatt ' m stunned . director department work perspective , management Hyatt , entire housekeeping staff would fire . add stay East Tower maybe West Tower nicer . reduce rate affiliation university maybe 's reason give two poor quality room . $ 259 per night expect far . 
 Apr 30 2008 	 Fabulous Location 	 husband stay week April , 2008.we travel work cost come pocket . , would find price high . wireless internet $ 14 / day ; room service $ 3.50 delivery fee plus 15 % mandatory gratuity plus inflated meal price . if travel pleasure forego internet room service , recommend Hyatt Regency . 's why:1 . fabulous location . right Magnificent Mile Loop . easy walk Navy Pier , Millenium Park , Art Institute , Macy 's , waterfront , river tour , ton restaurants.2 . comfortable clean bed , linen , room ( picture already post other reflect room bathroom well ) .3 . free gym . gym rather small bike , elliptical , weight ( free machine ) television , treadmills.4 . great concierge service - always friendly , always available . tip travellers:1 . ask upper floor room - get good view either downtown , Mag Mile , river , lake.2 . ask fridge . might give one free ( though officlal policy charge ) .3 . huge grocery store call Dominick 's close hotel . ask concierge directions.4 . travel via air : take & quot ; Go & quot ; Shuttle O'Hare - bring straight hotel $ 27 one way ; $ 45 round trip . discount group . bottom line : forego small hotel feel stay huge impersonal complex , fabulous downtown location comfortable , clean , good - sized room ; good concierge service ; lot amenity nearby . 
 Apr 29 2008 	 Perfect price 	 book $ 90 Priceline . Room King Bed . lobby busy , convention stay hotel . staff nice courteous . bathroom unit audible , hallway wall seem thin , never wake up . we not room much , location great town sightseeing weekend like . block State / Lake L stop put different line . 
 Apr 28 2008 	 Loved ! 	 come little late ' m finally catch review past several month : ) dear friend stay Hyatt Regency late October 2007 one night visit friend husband town . hotel perfect , imo . easy check check . lovely , clean , comfortable room great view city . know area pretty well be convenient many downtown Chicago attraction . dinner go clubing friend around Division St .. problem get cab back forth Hyatt 's even public transportation right near not bother since need cab hotel . parking , usual Chicago , expensive able get car quickly ( however , leave Sunday morning , exactly high traffic time although Bears homegame day , bit busy usual would think ) . problem good part get rate $ 100 Hotwire , downright steal area Chicago quality hotel . 
 Apr 21 2008 	 Great Location 	 room , offer State Suite cot . accept offer offer $ 50 food beverage credit . though likely worth since cot great . big room , without attached bedroom cool . 
 Apr 21 2008 	 great location great place stay 	 return 3 night weekend stay Hyatt Regency . read negative previously post , skeptical . however , thoroughly enjoy stay . large hotel , lobby busy , 's lovely public area lot room lot people . East Tower ( main one ) 33rd floor view Chicago River peak lake . gorgeous , enjoyed come back room night enjoy view light . king room , big , certainly adequate need . bathroom nice size lovely amenity . 's coffee bar lobby serve Starbucks , get pastry , fruit , etc . be run . walk hotel turn leave go block half straight , be Corner Bakery great inexpensive breakfast . anything pastrie full breakfast . Hyatt Regency excellent location sightseeing . 2 block Mag Mile , walk Art Institute , Millenium Park several place . cab easy find , $ 5.00 , cab 's far walk . criticism Hyatt virtually draw space room . stick makeshift , small chest closet , lot clothe want unpack , be almost place put unless hang closet . hung could left rest luggage . big deal . , would stay recommend . 
 Apr 18 2008 	 bad price location 	 stay recently attend conference hotel convenient . hotel little outdated lobby area room 32nd floor mostly update pleasure stay . layout desk area run behind bed efficient attractive design . bed comfortable . room great view Lake Michigan . the layout hotel bit sprawl long corridor get lobby tower . location hotel East Whacker nice . , stay price right location work , not stay premium hotel experience . ' m sure well hotel . 
 Apr 15 2008 	 Mixed Reviews 	 3 day conference find hotel common area lobby appealle ! Big Bar kinda cool good place people watch hang restaurant difficult access invite . thank goodness room pretty decent & amp ; clean ! great bed flat screen tv room . close walk Miracle Mile Shopping area - good location like shop ! might see Michael Jordan drink there - I do - that highlight I - a big Bulls fan ! ! Chicago great , make ' m sure would recommend hotel ! RMA.Hamilton , Ontario , Canada 
 Apr 12 2008 	 go 2 star will well 	 4 star inconvinience . moldy bathroom wall , haqir bathtub . 50 $ parking pernight . internet pay min 7 dollar give 15 min , add another 7 dollar ... take 40 min 3 phonecall bring toothpaste room . 300 buck get leave pleased . sorry ! 
 Apr 10 2008 	 great staff excellent location bit wear around edge .... 	 big ' ole Hyatt great location loop . stay 21st floor west tower . hotel BIG . 2,000 room . staff excellent - really go way make stay enjoyable . thing not like property : - old hotel feel it.- way big 's good . 2nd floor west tower bar / restaurant make feel like penn station NYC . - charge $ 14 per nite room wifi - rip off- charge $ 1 & quot ; connection fee & quot ; dial toll free number - rip off- minibar price comedy - $ 8.50 bottle fiji water- coffee bar ground floor charge $ 3 scone starbux good bakery would charge less . ballpark airport - rip off.the room clean , dock station ipod nice big flat panel tv . would stay - . could bad .... 
 Apr 10 2008 	 great price ideal location . 	 husband book three night stay hotel Priceline . get $ 99 , think pretty decent . hotel great location downtown , close Navy Pier right Michigan Ave . able walk everywhere - Sears Tower State Street shop Museum Campus ! check - in check - out go smoothly , staff always polite friendly . not eat restaurant hotel order room service extremely overprice - even Chicago ! hotel huge full conference attendee never feel crowd never trouble get room 21st floor . the room pretty nice , quite large . ' ve stay downtown similar price room barely large enough fit bed ! Hyatt 's room king bed , two nightstand , tv stand / desk , couch coffee table plenty room move around . like flat panel tv agree another reviewer wish hotel would spring HD ! bed not extremely comfortable , not bad either . bathroom adequate , although toilet not flush properly wish counter space . overall , satisfied stay Hyatt Regency would could get $ 99 less . 
 Apr 8 2008 	 great 	 spend 5 day hotel meeting . location ok , still couple block away action . whole complex little shabby side -- chair lobby disconcert stain . room average need paint makeover . toilet type find bus station ( ' ve ever bus station ) , kind bar back flush foot since be scared touch ! ' ve never see expensive hotel . yes -- expensive . not flat screen tv check wednesday , thursday instal one room rest floor . internet access almost $ 14 day . order room service twice , deliver promptly , even breakfast preordere 4:15 could catch flight . service personnel dealing polite helpful . give fresh towel fresh sheet without request -- claim be try save environment . not believe room vacuum entire stay . nothing green dirty carpet , huh ! ? anyway , think much well quality value money . stay venue seminar -- meeting attend hotel , will stay elsewhere . 
 Apr 7 2008 	 real review come October ... 	 ok , let preface comment note ( wife ) Hyatt part mid - year board meeting professional organization . meeting site upcoming ( October ) annual conference . therefore , designate & quot ; VIP 's & quot ; , may mean overwhelmingly attentive customer service receive may reflect experience average guest . October tell tale ; ' m sure will not vip status , since group number 3,500 ... will regular guest . all , really ambivalent stay base TA review read . experiece good one . room really nice -- comfortable bed , enjoy LCD tv watch . 30th floor wonderful view river , Hancock Tower , etc . think water pressure might issue , give way sink flow , shower turn fine . internet access plenty fast , pricey ( almost $ 14 / day ... free visit ) .Customer service good -- -but keep mind vip thing . call tell we second room ready ( give adjoining suite / live / dining room w / bar , couch , etc ) , wife go get key . reservation make organization , not list .... would not give key . however , customer - service agent lobby come verify wife . Everytime call someone phone , use name . , overall , good customer service . it be little thing , really like able print boarding pass -- charge -- concierge 's desk . price coffee shop , etc . -- -forget . outrageous ripoff . location -- can not beat . easy walk access end Maginificent Mile , Pier , etc . block State / Lake CTA stop , catch Orange Line straight Midway ... $ 2.00 . line easy access well . so , , ok place stay . will see October . 
 Apr 4 2008 	 terrible 	 hotel serious security problem . thief , brigand , cutpurse roam entryway escalator lead front desk , even day . wife 's wallet steal right front , front desk people not much care . security definitely concern . service also subpar , room service order consistently later quote schedule . facility old need renovation . overall , price good deal . stay Westins ( Michigan Ave . River North ) feel much , much well . 
 Apr 2 2008 	 hate 	 not usually stay Hyatt hotel remind stay attend convention basement . hotel look old , feel old modern amenity would expect 5 star hotel sadly lack . also , hotel big good . check - in 2nd floor , drag bag escalator ( porter see arrive 6 pm long transatlantic flight ) , get ask use self - service check - in kiosk . refuse ask serve person machine due two separate reservation . hotel guy completely blank still want check use machine . I 32nd floor , view ok river room look tired . huge plasma screw desk , much hardly desk leave available work use laptop . overprice mini bar , thin wall door small bathroom also drawback . bad bit iron fall apart hand nearly end electrocute . check , bring attention registration staff , smile politely offer pathetic apology . location hotel good , be . go Chicago , not stay 2000 + room hotel much personality charm low budget motel . 
 Mar 29 2008 	 pleasantly surprised exciting stay ! 	 spend Friday , March 7 Hyatt West Tower amazing 27th floor spectacular view river , Lake Michigan , city . book Amour Package include bottle champagne chocolate cover strawberry upon arrival ; gift certificate fabulous breakfast buffet , wrap 2:00 p.m. late check - out ! could not ask anything well accommodate timing get O'Hare Saturday afternoon catch caribbean flight , make short entire stay even enjoyable ! thrill heavenly comfort kingsize bed provide unusually fantastic hotel sleep often never get ! well rest able morning return walk Sears Tower gaze expanse lovely Chicago vista ! would definitely return Hyatt ; clean impressive helpful , courteous friendly staff ; treat royally ! would remiss mention pleasant Concierge Service ; wow - simply all - round first class experience ! highly recommend ! 
 Mar 29 2008 	 Awesome Location Flat Screen tv thin door 	 ok , can not find well location suprise find flat screen tv room . also , door entirely thick , honestly think wife talk someone outside hall ( be loud ) .also , request room far elevator loud well . overall , nice hotel noise minor detail expect little disappointing . friendly staff . 
 Mar 23 2008 	 Convenient Busy ! 	 Hotel 's location quite convenient . hotel decor modern although obvious hotel bit old . decently maintain ! room lighting could well . bad choice book discount rate ( less $ 90 / night ) . 
 Mar 22 2008 	 Loved ! 	 husband suprise ticket Wicked Chicago Christmas gift stay Hyatt Regency weekend . fly Friday Sunday . check breeze clerk take time explain various view available end place we room give we view river , lake city . room set unique way bed center room desk / workarea behind headboard large window behind . beautiful view night day . bathroom clean nice - big nice . bathrobe nice touch . the Theater close enough walk hotel concierge helpful us provide area map recommendation . eat restaurant within hotel although pricey GREAT ! would definately return future trip . 
 Mar 4 2008 	 Pros con 	 husband stay relax get away . junior suite nice clean . great view river well . negative wall thin could hear conversation people next room , turn one two flat screen tv 's little louder . also , room service expensive food not even great . , good place stay . 
 Mar 3 2008 	 great room great rate great service 	 stay Feb 16 - 18 . book priceine fabulous rate $ 75.00 / night . ( bid $ 75.00 4 - star hotel amazingly , accept . ) contrary review say , find customer service staff encounter superior . even staff directly help we friendly . soon arrive , 10 morning , help extremely professional friendly girl find we room even though many hour check - in . someone make comment site treat poorly book thorugh Priceline . feel like treat like have pay full price . hotel treat we less respect get great rate , also would turn hotel , definitely case we . also need help concierge , great . love able leave luggage hotel several hour day leave could walk around city check - out . room immaculate large . standard king room . bathroom large . could tell bathroom update , tub , faucet lever turn outdated . could care less , know other read particular thought would fair point ... thing & quot ; wrong & quot ; room one closet door break . hinge basically lean frame . since 2 day , not matter much we . hope would not blame ! huge , flat panel tv . since not one home , treat . large desk . recliner coffee table . really not much view except office building across way , not mind much . $ 75 , not go complain ! , way East West tower situate , think check East Tower , well chance get view lake ... check West Tower , think 's put we room ... oh yeah , bed comfortable ! except late night partier wake we Sunday morning 5:30am hallway , quiet rest time . fact , find room quieter room home . not live city ! sleep well . 
 Mar 3 2008 	 location great hotel good great 	 matter , expensive stay downtown Chicago . base , guess not harsh review . seem pay stay , get & quot ; knock socks service & quot ; . not think really get anymore average Courtyard hotel , except location . request king room booking , tell could guarantee one would available . get , tell king room could request one morning move . call late morning tell still one available , probably would later day . tell request king room note account would call leave message later day one available . return room later day , message , call front desk . put asst . manager want know status request . tell see request account . tell talk 2 different people tell account . ask talk , irritate . think responsibility document conversation staff also feel like think ' m make ask document conversation . expect kind & quot ; service & quot ; hotel caliber . king room available , go get one . if want park hotel , $ 45 per night , keep mind booking room . parking available $ 20 night , 5 block away . room clean bed comfortable . 40 & quot ; flat tv 's room , picture HD . , price , could not hd tv ? , nice upscale expensive place stay convenient location . way would call 5 star though . big clean hotel charge lot room , . 
 Feb 29 2008 	 great hotel 	 great hotel wonderful location . stay hotel last weekend one night come home love . could not recommend highly enough . evidently popular busy , staff still helpful . the room lovely spacious clean . bathroom clean , bright spacious also . I would definitely recommend hotel , be close magnificant mile . 
 Feb 27 2008 	 great location ! 	 able get great rate priceline , 100.00 total pleasantly surprised . location perfect . valet line ask might find alternative self parking attendant guide we across street save 20.00 night . room nice small . overall , good value would hesitant stay list room rate 
 Feb 24 2008 	 Nice Stay 	 ' ve stay least four time hotel stay well . wonder type room would receive since book hotel discount hotel site FANTASTIC rate . imagine surprise get room find gorgeous city view nice furnishing . bathroom nice linen great . yes ... huge . corporate hotel get right room , nice . location convenient MAG Mile loop . happy room stay . 
