3 	 stay wedding anniversarya great hotel .... good bedroom ... great fym /pool ... also thy spa ... spa treatment .... lift ok ....... prob ........ nice walk primrose hill regent park canal ... nice park area kid .... playground stuff ..... nice clean ....... fresh towel everyday .... staff good friendly ..... defo stay 10/10 ..... 
 Feb 27 2007 	 poor standard food 	 return three night stay hotel husband two young daughter . book hotel directly use Marriott 's website . impressed ease online booking service -particularly Online Concierge facility enable prebook range free cost addtional service prior arrival . book addtional foam pillow ( daughter asthma ) , kid activity pack , room balcony , etc . arrival , find service prebooke arrange ( foam pillow activity pack ) . find reception housekeeping staff deal subsequent enquiry unfriendly dismissive . three night stay inclusive dinner , B & amp ; b rate . dinner menu night find difficult choose something different like third night . quality food shockingly poor star rating hotel . apart breakfast ( great ) dinner dish taste pre - pack opposed cook fresh . kid menu also limited choice , one occasion , inedible - sausage mash cover burn , . brown concoction describe gravy . two occasion eat dinner restaurant , & quot ; quizzed & quot ; whether entitle inclusive dinner rate restuarant manager advise reception staff case . resulted go reception clarify booking rate . felt accuse & quot ; freeloading & quot ; . stay many hotel year inclusive rate never subject treatment . say , may well particularly unfortunate experience . good point - room well appoint ( bed particularly comfortable ) kid love swimming pool . waiter waitress restaurant friendly helpful . say without hesitation , however , intention stay hotel . fact , would seriously doubt whether would stay Marriott hotel consider cost actual standard service receive . 
 Feb 14 2007 	 hotel look London 	 great hotel , comfortable feel excellent , friendly staff . locate within easy reach tube , get major site , also nice local place visit , like Hampstead Primrose Hill . good value , definitely stay next visit town ! 
 Jan 19 2007 	 GREAT Hotel Nice People - ROBBED SMILE 	 first , good thig . hotel nice . newly remodel spacious room . Americans would feel comfortable hotel , especially add feature like american Outlets wall . great location get London ( tube couple stop Oxford St ) . overall lodge great . bad stuff ... Raad Bill , Reread Bill , turn - around read ! first day go restaurant breakfast . waiter tell we include room . go back next day well . third day waiter bring we bill 60 pound ( $ 120 5 people ) . explain other mistaken pay breakfast . adament let know way would pay relent . the last night stay bill come door . two thing stick . one , charge we newspaper . not request , charge . big deal since read anyway -- ask . second , bill 60 pound per night per room ( list accomodation ) . 360 pound 720 dollar . prepared room Priceline . go counter quickly remove charge question . DODGY ! ! ! , not mind vigiliant bill great hotel . 
 Jan 12 2007 	 Marriott Swiss Cottage 	 stay hotel one night last week overall impression rate charge B & amp ; b worth . arrival reception young , rather dissevelled look receptionist ( whose badge say , ' in training ' ) alone desk phone call . continue call wait without back another member staff . another customer arrive still continue call . check quickly without real warmth friendliness . yes ... bed good thing hotel . wonderful linen , duvet , mattress topper pillow . however upon enter room find adjoining door next room unlocked rate quote check slip 350 exclude vat much packet biscuit rather sparce hospitality tray . bathroom average size fill far many towel one person ( even two ) lever empty bath break leave dirty bath water tub leave . room face onto main street aware traffic pass although do not prevent sleeping . what prevent sleep however loud tap tap tap every door corridor precisely 8.15 .m . alarm set half hour horrify disgusted . ' tap ' come ' housekeeping ' wake everyone corridor ' m sure ... nothing ! ! point ? ? complain Duty Manager inform hung ' do disturb ' sign . reply even would heard racket proceed along corridor tap every door . like chucking time youth hostel ! ! ! would not imagine one would need hang disturb sign unless sleep least 9 a.m. require . maybe ' m wrong ... breakfast room bright cheery lovely selection fruit hot food available . however , noone come table ask require special hot breakfast dish list menu . lunch meeting day limit freshly prepare , tasty little bit different . having say overall impression hotel unfriendly staff not honestly appear enjoy . 
 Jan 8 2007 	 favorite London hotel 	 stay London many time , never look hotel - . wonderful everything - lovely room nice bed bed , beautiful leisure center terrific breakfast . staff fantastic - especial thank George K. reception David M. concierge desk , incredibly kind , efficient helpful . tube station ( Swiss Cottage , Northern Line ) two block away little town , trust , be worth extra travel time stay . family four , able put we family room , non - smoking , easily accomodate everybody unbelievably low price . wonderful value - will back time time . 
 Jan 6 2007 	 Loved Marriott 	 perfect hotel inLondon family 5 ! able large room 2 double bed rollaway . still room move large clean bathroom ! 100 pound great deal . lot family -- great pool , short walk metro quiet area . would definately stay ! 
 Jan 4 2007 	 good value 	 get two night free BA flight like hotel well enough stay another two . London hotel price high hotel good valuepluse -its Marriott almost american size room ( two queen bed ) .well equip iron board kettle . nice bed linen , high quality goody bathroom . swimming pool sauna hotelvery close to- swiss cottage major transport hub bus well tube . hampstead theater like & quot ; Broadway & quot ; experience . see excellent new play Primrose hill great view London centerNegatives- generic kind Marriott , little feel London . outrageous mini bar ( $ 5 coke ) phone charge use phone room cost $ 2 minute local call . hotel look little worn e.g.the chair room split end arm . 
 Dec 25 2006 	 ok . 	 girl week London 3 we great time . hotel close Swiss Cottage Tube station train station . take Heathrow Express get cab hotel . cab around 14 PBS take less 10 min . good cab driver coming go . request early check wait hour lobby . since arrive around 10 check not 2 3 pm , problem wait . customer service strong point hotel . will not get big smile & quot ; welcome & quot ; hit front door . 6 piece luggage one ever come help we bring cab . room nice . 2 double bed rollaway . bathroom little small hairdryer desk drawer , huge pain use other try sleep watch tv . must admit long time Marriott reward member , , well 2 roommate , receive free access executive lounge . not know cost gain access lounge , worth every penny . wonderful breakfast everyday heavy appetizer evening . meal we . also enjoy unlimited tea , coffee drink available 24/7 . read review trouble charge incorrectly upon check , night go front desk check bill find get cab . ' m glad . room charge 200 BPS someone 's dinner drink pub . time party purchase anything hotel . staff pull bill signature bill . remove charge appolgize . check next day , charge bill . receipt pull signature bill . time less willing remove charge , end . question front desk staff ask allow anyone sign put room # . tell & quot ; & quot ; must show key slip signature . obviously happen . watch bill ! 
 Oct 31 2006 	 Great Family Friendly Hotel 	 family two boy age 12 9 book hotel three night 2006 October half term break . we think hotel fantastic , one good stay . reception friendly , goody bag ( load sweetie ) child . room well decorate furnished , spotlessly clean . also good size plenty space even though two enormous bed ( brand new bed bed ) .The hotel seem family friendly , real restriction pool access staff come across friendly . concierge extremely knowledgable helpful . swiss cottage tube station around 5 minute walk ( easy access Oxford Street , Baker Street Thames , stop away ) also lot small shop , plus & amp ; food , Woolworths , Argos , Habitat supermarket 10 minute walk away . love visit London stay hotel ! 
 Oct 24 2006 	 wonderful Hotel . heavelnly Bed . highly Recommend 	 get amazing deal hotel priceline UK . pay 47 pound ( plus taxis ) per night 3 night . little leery read review husband picky hotel prefer say nice hotel . London twice , know experience many hotel far US standard , almost never get double bed . must delight 3 room get request every room . mention priceline either . one king bed , 2 2 queen bed . bed heavenly ! room spacious immaculate . bathroom fair sized shower wonderful . hotel solid 3 star even US standard , stay many fine 4 star resort quality hotel US well abroad . easy 5 minute walk tube stop , many good eating place , well chemist , grocery , etc . within 5 - 10 minute walk . get wonderful full english breakfast 5 pound ( compare 16 pound hotel ) close hotel . also good chinese Thai food less 10 pound per person . Marks Spencer , McDonalds , KFC , also close . area bad seedy least . feel safe walking around day night . staff friendly ( exception rude car valet French ) lobby attractive , concierge helpful . food mini bar astronomical though not eat . use pool ; however son use sauna , steam room . yes , little farth city center . 15 minute travel time reward plush accommodation , get back heavenly bed full day foot make worthwhile . money save eat restaurant close opposed expensive one city center also big saving we 3 teenager along . unless extremely hard please disappointed hotel . even hotel snob husband travel business always stay 3 4 star american hotel impress . bogus charge 3 room check , another post . hotel also aromatherapy toilet item , hair dryer , iron board , slack presser , room automatic shoe shine hall . happy answer question may , feel free email . 
 Oct 18 2006 	 generally good hotel check bill 	 Priceline offer Regents Park , expect something Euston Road . forget Marriott - really Swiss Cottage . check - in room excellent . the tube Swiss C minute walk three stop Bond Street . 's actually great location . however , internet acess GBP15 24 hour start mid - day finishing midday follow day good deal business guest arrive late afternoon , esp since accustomed get free WiFi mainland european hotel . they also try stick bill GBP60 claim & quot ; 10 minute ' telephone call & quot ; like guy carry cellphone ( two fact ) computer Skype touch phone set wake - up call . admittedly remove charge without debate may genuine mistake 6 am departure many guest get stiffe kind thing . check clerk merely comment & quot ; cost hotel phone call & quot ; well - Marriott , anywhere day age . even genuine would horrendous charge per minute leave nasty taste otherwise great hotel ? 
 Sep 14 2006 	 Fantastic Families 	 return long weekend London Marriott Hotel Regents Park . hotel great great swimming pool child allow use ( unlike stuffy London hotel ) , also give child goody bag arrival extremely friendly throughout stay . never experience incredible service . lovely hard drag away hotel , go could not wait get back peace tranquility hotel . restaurant great chef came speak we food choice really identify child , talk speak we choice . the hotel extremely convenient central London also drive M1 , easy access car reasonably price huge secure car park site . overall would say probably good hotel ever stay London consider extremely fussy ! 
 Sep 4 2006 	 nice surprise 	 book hotel three night stay London , one week advance . Marriott website offer weekend special package make stay real bargain compare 4 - star London hotel . later read review post TripAdvisor become bit worried fortunately stay fairly good . the bed really comfortable room spacious well equipped . besides , not find neighbourhood dangerous despite one comment read review . the problem distance city centre , Jubilee line bus nr . 13 will not take long ! , compare previous experience London , consider get good value money . 
 Aug 8 2006 	 many trainee hotel 	 stay marriott regent park client book hotel , read review tripadvisor bit worrying . turn unsatisfying well . good point hotel : ice make machine corridor ( soso hot weather , need ice time ) also , use ice store food stay long time ( mini fridge forbid use take bottle , charge automatically ) . comfortable bed , clean bathroom enough space storage . cold air - conditioning 24 hrs , free cookie kettle , iron & amp ; iron broad room . bad point : beware air - conditioning scare night , suddently make loud noise . many trainee hotel , not know much need ask superviser time . porter carry lugguge unless ask . location far central , surround area nothing , & amp ; within 8 min walk . check beware lot problem , stand half hour explain bill . cost cheap , 130pounds double room , move John Howard hotel next 3 day , bargain near central . 
 Aug 3 2006 	 nice hotel 	 stay July 29 - 1 August . problem , room one side hotel noisy move quiet side hotel . problem walk swiss cottage station , take 5 min . can not beat use underground city . even use get luggage Heathrow airport . 
 Jul 6 2006 	 executive bus shelter 	 stay Executive room . lovely king size bed fill room . room small price pay . information executive room give , ie access Executive Lounge , also pay alcoholic drink . stay smoking room smell like someone smoke hundred cigarette , 10 minute prior arrival ! location good , access tube 5 minute walk , & amp ; staff always friendly . always stay London , beware Marriott Hotel . 
 Jun 28 2006 	 Con close Central London 	 hotel average 3 star hotel close Central London . middle nowhere operate ' Marriott ' name . 
 Feb 7 2006 	 Good Value Money Especially Kids 	 hotel work well family child . room connect large ( two decent bed ) well equip London standard price . large invite breakfast buffet indoor swimming pool appeal child . location certainly central London ( would take 20 minute tube get Oxford Street ) well serve train connection , walk distance Primrose Hill park , advantage two movie theatre vicinity . not & quot ; charming & quot ; choice , practical family want stay someplace decent budget . also convenient car garage . 
 Jan 27 2006 	 Loved . 	 family stay August , enjoy . service excellent , esp bell man , not know name , quite cheery . room clean modern . nice change , compare dump stay Torquay previous two night . enjoy fact place balcony . big plus . smoker , not like smoking room son , nice stand instead run hotel lobby outside , like place stay . thing , not like bed , mattress soft , would not stop come . long not sleep long . know way , much rather stay , go one awful budget tourist hotel close attraction , husband year ago . terrible . also get good deal net book , one cheap place stay , England trip . would stay flash . 
 Dec 18 2005 	 bit way 	 Hotel fine Marriott . not nice Marriott ' ve stay not bad either . room large clean . lobby always crowd smoky . breakfast bit overprice . hotel locate within 5 minute walk Swiss Cottage tube station mean could anywhere city within 30 minute . couple cafe near well value breakfast Marks & amp ; Spencer food shop also snack lunch item . we spend 7 night seem every time pass front desk crowd . pool area well keep sauna / steam room help ease leg day sightseeing . gym area large well stock quite bit high end equipment . for price ( use Marriott reward point ) could close center London want . ' familiar city would say little way tour London . 
 Nov 23 2005 	 Non smoker beware 	 stay hotel several year . seem new policy confirm non - smoking room advance . get smoker room , like fire damage - yellowed really pleasant place fresh air breather sleep . also go slowly downhill compare standard year ago . last comment , 6 porno channel open display room literature lead awkward question young ( Marriot mormon origin - square porno channel religious folk back bible belt know ! ) 
 Nov 9 2005 	 would expect Marriott 	 stay November 2005 hotel would expect Marriott . clean room , efficient staff etc , etc . ' leisure club pool ' go look fine busy . room good size two double bed . try king size bed ' . breakfast good great selection charge seem standard £ 16 charge day . car parking available underneath outside hotel £ 15 24 hour think pretty good London . couple wedding stay ' bother noise . bar resturant smallish well run 's also small shop sell newspaper , toothpaste etc . as mention previously ' Swiss Cottage Regents Park ' bad thing . Swiss Cottage tube 5 min walk around corner Jubilee Line ( 10 min Bond Street station ) . get black cab top Oxford Street 8 pm cost £ 11 , bad . pretty good restaurant Swiss Cottage include Benihana ' great little pricy ( sit next Nicole Appleton Kate Thornton go , must know go ! ) . always seem good deal hotel little digging . get three night £ 99 ( include breakfast ) must admit break personal record Marriott happy . 
 Oct 12 2005 	 swiss cottage Marriot 	 review : ' Regents Park ' Marriott - hotel actually swiss cottage ( not go dark ) quite hike north end Regents Park . taxi fare west end back hotel set we back £ 27 ( 40 euros/ $ 47 ) plus tip . hotel next busy main road ( noisy ) par average Moat House twice price . buffet breakfast good daughter hungry one morning still shell £ 17 bowl cornflake apple . 
 Apr 17 2005 	 20 minute Oxford Circus hotel reception ! 	 whilst appreciate hotel smack bang middle Leicester Square , really not far central London big scheme thing . take three minute walk swiss Cottage tube station Jubilee Line whisk straight Bond Street three stop , change Baker Street go direct Oxford Circus two stop . hotel ... staff friendly helpful , although wait check little tedious . concierge knowledgeable general welcome Marriott warm . room good size good condition , decorate typical Marriott style , ie , one will not challenge scare conservative traveller ! patio door lead onto small balcony bonus , allow good amount fresh air room , always preferable air - conditioning warm spring day ( though a / c available room ) . leisure centre good quality , though rather kid around would ideally like , probably few weekend , mine weekend stay . overall would recommend hotel , especially get room rate similar pay . get room well know bidding travel website pay 77 GBP oppose cheap available rate Marriott website 145 gp . 
 Mar 30 2005 	 anywhere near central London ! 	 warn ! hotel close centre London , although website brochure make . good half hour bus car major attraction - fact even close Regents Park , middle large roundabout ! resident London frustrate end , tourist promise near main attraction sight find middle residental area . 
 Mar 12 2005 	 go downhill 	 stay hotel many year sadden experience hill get . nearly £ 200 room would expect ' something else ' , actually come expect poor service high price . one occasion five hour drive arrive 7 pm tell room ready . bk table restaurant keep wait 1/2 hr someone acknowledge , room service late incorrect & amp ; toliet room problem haul belonging different room . also charge item not order . thankfully reception staff use handle complaint & amp ; deal accordingly really good enough - free drink offer - really bottle - vineyard come . 
 Feb 9 2005 	 check bill 
 Jan 6 2005 	 absolutely horrible 
 Jan 5 2005 	 great location 
 Aug 15 2004 	 good sized room excellent room service . check - in staff please ! 
 Jul 7 2004 	 Super stay Regents Marriott 
 Jan 20 2004 	 great look american style Hotel London ! 
 Nov 5 2003 	 definitely go downhill 
 Oct 15 2003 	 FAB easy hotel ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! 
 Aug 14 2003 	 large room pool gym great room service ...... 
 Apr 23 2003 	 feel like America 
 Nov 17 2009 	 Standard Marriot rencontré 
 Oct 21 2009 	 ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? 
 Sep 25 2009 	 Lugar tranquilo 
 Jul 24 2009 	 Allez les yeux fermés 
 Jul 9 2009 	 ? ? ? ? ? ? ? ? 
 Apr 10 2009 	 Pas de point faible 
 Apr 7 2009 	 Excelente ! 
 Apr 2 2009 	 trop décentré pour visiter londre 
 Jan 9 2009 	 tre satisfaits 
 Dec 29 2008 	 Non lo consiglierei 
 Sep 2 2008 	 ottimo ! ! ! 
 May 3 2008 	 Superbe hôtel 
 Feb 16 2008 	 os defraudará 
 Jul 14 2007 	 auf den ersten Blick nett aber von Service keine Spur . 
