great 	 great hotel Beijing ! ! ! ! price affordable , location great , staff awesome ( speak English haha ) , translate everything chinese , room nice , organize tour ( highly suggest Beijing ) . great experience , hotel make stay Beijing relax . 
 Great Hotel great price ! 	 stay Park Plaza Beijing wangfuje last week love hotel . recommend friend stay last year also read review , happy say even nicer imagine photo indicate . staff great nice helpful room cozy , clean comfort need day sightseeing ! would definitely stay . not eat restaurant , breakfast use service ( however drink half bottle wine mini bar decently price $ 89 rmb - consider might pay one glass would much US half bottle like convenience : - ) go upload photo room well . 
 wonderful hotel except absence good gym 	 say . live without great gym pool ( helpful combat jet lag ) , want / need stay Dongchen , hotel great . also 1 minute subway , important BJ . 
 Nov 22 2007 	 Excellent service ! 	 hide gem hotel , tuck away behind big hotel therefore shield sound inner city traffic ! excellent service . arrive afternoon tell we room not ready upgrade we suite 4 day stay ! amazing suite executive club floor . just wee problem .... air conditioning not work well food little average . would hesitate stay though service excellent friendly . 
 Nov 18 2007 	 V Nice Hotel great location 	 v nice modern hotel near main shopping street ( Wanfujing ) 20 minute walk Fobidden City . the hotel not make enough building complex hotel part sit top metro station new line 5 ( open ) . line run north - south connect metro line . be flat rate 2 Yen per trip 7.5p ! hotel room reception nice . ther view great room ( think ) overlook office / restaurant / hotel block 75 m away ( hotel call Regent ) . be also Starbuck block . the staff nice friendly great english . great value , would definately stay & quot ; waw & quot ; hotel . 
 Nov 13 2007 	 Excellent hotel 	 charge arrangement group 54 people travel China September 2007 . extremely impressed beautiful room , facility , location , service well , particularly price . reservation complicate , many people , several participant arrive depart different date , need special airport pickup , etc . communicate need management 2 month lead trip , still worry potential problem give complexity visit . ' m pleased say go without hitch ! manager hotel amazing . wait group arrive , give cell phone number case need contact time . feel hotel management staff truly want business happy assist we way possible . would stay without question ! 
 Nov 12 2007 	 excellent hotel 	 stay three night august 07 . hotel excellent . room beautiful clean . nice area restaurtant also good . staff extremely helpful friendly time . approx 10 minute walk wangfuje shopping st . would definately recommend . 
 Nov 8 2007 	 Excellent Hotel Great Location 	 four - star rating result hotel frill swimming pool fancy restaurant . guestroom beautifully furnish , new , clean , modern . service also first rate . many international hotel nearby , major shopping area within walking distance , new . 5 subway line 20 metre away hotel 's back entrance , one can not ask term location . drawback in - room thermostat insist set 25 degree celsius , regardless try set . overall , nice hotel would not hesistate recommend friend . 
 Nov 6 2007 	 luuuuuuuve ! 	 park plaza absolute MUST ! could say enough place- friendly helpful staff ( front desk , concierge , maid service- everyone eager help we ) , great food reasonable price ( main restaurant variety food . also , try noodle place . be great ! ) , clean spacious room / bathroom , excellent location ! ' ve many 4 5 star hotel , 3 - star rate hotel ( ' m even sure 3 stars- far exceed quality 3 - star ; must say , thing similar 3 - star price = ) ) actually lot well average 4 - star hotel europe . doubt- definitely go back park plaza beijing ! 
 Nov 5 2007 	 comfortable hotel near 	 prompt long list favorable review book five night stay new hotel near tourist site Beijing . located quiet side street , tuck behind Regent hotel , taxi driver airport difficult time finding . hand , sixth floor room look onto hutong , could observe life street one fast disappear old neighborhood . pedestrianize Wanfujing Street , major shopping street Beijing , couple block away reach short walk . check - in accomplish friendly , efficient staff , along bell captain never tired assist we information stay . set day sightseeing , would write destination Chinese onto business card hotel show taxi driver , norm speak English . our room comfortably furnish king size bed great mattress , nice linen pillow , desk , flat screen tv , phone , broadband internet access , mini - bar , coffee tea maker supply , closet hold everything shoe horn cloth bush ironing board iron . nice bathroom terrazzo counter top , modern bowl shape porcelain sink , tub / shower , come soft towel , cotton robe , ample supply toiletry . minor nuisance slow drain sink times emanated odor , noisily slap door neighboring room , alarm clock wake - up call ring audible thin wall , restock mini - bar two day . laundry service turn - around prompt within time frame promise . liberal use light colored wood line wall enhance lobby , restaurant , bar , hallway elevator . breakfast serve buffet style second floor restaurant offer something everyone . omelet cook stand well . dinner serve la carte buffet style . the western style entrées okay , though exactly fine dining . one go next door Daccapo Regent hotel delicious italian food , prepare swiss chef . lover french food disappoint Justine , short taxi ride away . lobby bar / lounge offer entertainment night . lobby shop business center , albeit expensive , round public area hotel . in summary , thoroughly happy stay new hotel , provide comfortable base venture explore sight near Beijing . deserve four star rating . return Beijing , definitely stay . 
 Nov 5 2007 	 one good ! 	 stay week LOVED hotel ! ! ! clean spacious room . staff bend backwards friendly accommodating . everything 5 star . concierge great help ! food restaurantwa good , especially breakfast , normally close restaurant snack drink late night . even box lunch trip Great Wall . oh , be great restaurant across street order pot broth , come table hotplate & amp ; add favorite ingredient ... yum ... sure name . 's Starbuck 's right , , Bank China around corner . could not askfor . close enough attraction without many crowdson street . ( way , good way ) . couple buck , get meter cab anywhere ! ! ! ( careful downtown ... almost get suckere expensive ride late night ... use METERED cab . ) walk Park Plaza Tienanmen Square one morning sunrise , would not recommend people ... walker get wind ! well take cab even cab subway . quite hike ... even staff look we like bit crazy say would walk . map deceive ! would highly recommend Park Plaza . stay without doubt ! ! ! 
 Nov 5 2007 	 Pleasant Stay 	 pleasant experience hotel six - day stay late October 2007 . staff friendly helpful , location superb new subway stop tuck around corner ( yet tourist map ) . clean room , lot thick towel , high - pressure shower nozzle , elegant bathroom decor , comfortable bed , complimentary broadband connection , bargain price . definitely would stay . 
 Oct 30 2007 	 terrible experience 	 give extremely laudatory comment , must quite unlucky . I arrive room 10 pm : nice room , try connect Internet , discover plug break . take 3 hour repair . then go bed room next elevator , terribly noisy , sleep 3 hour . 6 discover rain pour room thru window . call tell would immediately transfer another room , case 5 hour later . the new room get cold afternoon : call tell indeed heating woirking would repair asap . three day later , , spite repeat request . kind enough bring tiny heating device : still freeze , least work ! ! w & lt ; ill delighted leave to - morrow . my conclusion advice : - must quite unlucky , many aspect hotel pleasant- obviously problem maintenance- sure goos sweater etc .. case heating problems- come possible business purpose : problem take hour previous time solved- use expensive business center : one photocopy cost 1.5 US $ , 30 $ memo 20 page . good luck ! ! ! 
 Oct 30 2007 	 Good Location Friendly Hotel 	 spend night different end mongolian travel . upgrade business room one stay get good slipper entire 51 day trip ! hotel friendly , great location walk distance Hutongs , shopping night food market . fee broadband internet good size room . leave really early one morning hotel arrange packed breakfast we take account dietary requirement . we store luggage hotel go xian problem . overall great hotel - feel like home home time leave . comfy bed ( unusual region ) good service . we lucky enough upgrade sister hotel one night ( next door ) Regent spoil Regent Breakfast buffet , never go hungry . 
 Oct 18 2007 	 Loved Plaza Wangfujing 	 WOW ! consider hotel snob can not tell many hotel review , look , check travel agent read every reveiw could find .... well , right . stay Oct. 1 - 7 , 2007 . NATIONAL HOLIDAY , entire town packed . thing would change ! try avoid holiday . our hotel wonderful . four star plus USA standard go . afraid would less show state pleased right moment pull front door . locate right behind Regent Hotel own Regent . first , location perfect . close everything walk distance many attraction include wangfuje Street night market . not make location everything taxi ride dirt cheap Beijing . the Lobby modern , hotel year old staff speak good english . make wonderful suggestion always willing direct cab driver , write name hotel return back . front desk cash traveler check problem , except run chinese currency tell we need return 2 hour later . exchange rate cash traveler check . room beautiful . bed comfortable pillow soft . everything spotless . bathroom large , modern marble everything , tub large new , water pressure great perfect flush toilet . modern aminitie toothbrush give first rate case forget . get room high floor , would pay extra saw room low floor cost much less exact . get breakfast plan quite nice hold we day . buffet trimming include dim sum love . I call room service couple time service fast , food hot steak fry well anywhere . quick respond request . tip bellman think start expect even though not ask make gesture . $ $ really go long way . I would recommend hotel anyone . make sure GO HOTEL SEND ADDRESS CHINESE NEW ..... want ble lobby , stay Regent , sure pay . , service great , room outstanding , food well Beijing , hotel also give free bottled water every day trip around city . last thing , organize tour , MUST HIRE GUIDE ! one good thing . really inexpensive since taxi driver not speak english , need one especially want see city . good shop Silk Market . I would happy answer question hotel city , shopping wish someone answer mine go . have wonderful time ! pjdaut @ aol.com 
 Oct 15 2007 	 Great Base Beijing 	 life can not understand people gripe hotel . room great , location excellent food good . walk forbid city , night food market wangfuje shop street , Tiannamen . staff friendly put honest , license cab map back hotel give return driver . concierge arrange anything need . next time Beijing plan spend entire time Park Plaza . I say thing could improve on,1 ) buffett expensive , especially breakfast especially China . however , food fairly good manage keep happy.2 ) need add least one person shift speak english fluently . staff speak passable English want something ordinary ( like glass ice bottled water ) trouble that.3 ) room get one short notice . all great hotel great experience , definitely give hotel stamp approval . 
 Oct 14 2007 	 great location good hotel 	 get good deal hotel , positive review read tripadvisor decide stay . disappointed . excellent location , walk Forbidden City . great . the central location also lend cheap taxi site . room good size , clean . would say 4 star appointment mean - like 3 3.5 star style room . free high speed internet nice . food decent - mostly western food japanese seem . starbuck right acroos driveway , nice . staff helpful map direction . good thing help we driver take we Great Wall day . $ 100 , make everything really easy we . even enough time go Summer Palace way back ( car hire 8 hour ) , well stop convenience store snack water . driver get we great . one tip - way airport driver confuse hotel . several hotel similar name . say english pointing name address english helpful . would recommend ask someone airport speak english write name address chinese piece paper . lose finally ask people street help . 
 oct 9 2007 	 good hotel stay China 	 visit China two week stay Beijing , Xi'an , Hangzhou Shanghai say hotel beyond rest hotel stay ( rest price ) . speak fluent english , room bathroom clean modern . good access wangfuje street nearby shopping . less 30 minute walk Forbideen City . 
 Oct 7 2007 	 hotel taxi overprice 	 hotel room nice price room ok . location bad could well . never problem taxis find hotel . the hotel arrange taxi one day trip charge rmb 1000 seem rather expensive . book room via hotel webside . book webside state room charge within 24 hour check , pay . sure get charge twice . 
 Oct 4 2007 	 good base everything 	 stay 2 night room basis . good quality hotel , staff friendly helpful . use Bloo Restaurant hotel food good standardand reasonably price . for price pay hotel value money hotel centrally locate shopping sightseeing . must Great Wall China try aviod chinese public holiday . 
 Oct 3 2007 	 much expect 	 trust review former traveler Trip Advisor , could never well . hotel excellent location , 10 minute walk Forbidden City & amp ; Tiananmen square , 5 minute pedestrian street pack shop . I book hotel Expedia , get rate $ 120 approx . arrive , give standard room , ask upgrade , immediately consent . stay suite 1005 , 10th floor , around 45 sq mts divide living room toilet bedroom , huge bathroom . suite one tv set living room lcd bedroom . breakfast include price , Starbucks cafe almost next door . laundry service good . 
 Sep 25 2007 	 Good Business Hotel 	 Good Business Hotel - relatively close Dong Fang Guang Chang area ( underground mall etc ) . large spacious room free internet . good value money . 
 Sep 20 2007 	 good room walk distance shop close restaurant 	 stay tour group recently . echo positive review . fitness center little small would like , treadmill weight equipment . I think first little far shopping , be still 5 - 10 minute walk wangfuje good restaurant . the hotel lobby bar small impressive , good part Park Plaza right next Regent ( sister hotel ? ) beautiful lobby nice place sit drink . also well selection scotch ! several friend go note bar price Regent much high Park Plaza . worth go next door well ambiance . breakfast good selection change every day . large nonsmoking area . smoking section light airy choose sit everyday . not exactly view anything nice place sit smoke not bad . service generally good , bell staff concierge friendly helpful . not ask direction often , talk glad give advice . I would definitely stay . admit , Regent not right next door would not enjoy much , be like access amenity 4 star hotel 3 star price . 
 Sep 18 2007 	 5 * service 3 * price 	 pleasant hotel price . staff friendly approachable general level English high , concierge especially helpful provide we useful advice tip area . lucky enough get room upgrade beautiful room top floor . location close forbid city sight , could really ask . drawback one small bottle drinking water day little annoying however easy buy shop nearby . 
 Sep 18 2007 	 Park Plaza Wangfujing 	 Park Plaza Hotel relatively new hotel ( less 2 year old ) connect Regent Hotel . food bar service hotel charge room . room comfortable excellent shape . staff , particular concierge / doorman group , excellent . able converse english make arrange taxi trip easy . doorman provide card destination chinese , taxi number , Park Plaza Hotel name chinese small area map ( facilitated return trip ) time taxi use hotel . hotel desk offer currency conversion many currency include usd , cad aus well rate could get home . hotel within walk distance wangfuje shopping area within 200 meter yet open Subway line # 5 . breakfast buffet feature chinese north american style food include egg station fresh egg / omelette . overall excellent experience well value 4 star hotel . 
 Sep 15 2007 	 come back 	 great location , backpacker price ( $ 145 ) go way get suite . hotel near forb.city/tiananman ( 5 min.by taxi ) walk distance shopping & amp ; street food . hotel area modern clean . ( downstair hotel , ferrari / rollroyce dealer ! ! ! ! ) try food hotel .all staff friendly & amp ; helpful need . & quot ; starbuck & quot ; near hotel entrance . ( homesick ! ! ) .we use subway cuz taxi cheap ( $ 1.30 1st 4 kms ) 30 min ride cost around $ 4 ) .you well hotel ( grand hyatt ) price ( $ 300 room , suite ) .you go nice restaurant & quot ; make china & quot ; make nice peke duck expensive ( crispy duck 2 pax/ $ 18 ) . courtyard resto great well , romantic facing forb.city . hotel concierge help tour great wall . city tour need , take map taxi ( much fun ) . great wall , recommend & quot ; badale & quot ; busy , & quot ; mutianyu ' & quot ; good , many personne.you cable car reach top ( walk ! ) walkin along wall ( 1.5 mile ) take different cable car slide mountain & quot ; tobogan & quot ; ( great ) .the private driver ( upgrade vehicle ) day ( 8hrs ) $ 95 + tip ! ! enjoy trip : ) 
 Sep 11 2007 	 great choice great area Beijing 	 stay Park Plaza week August really like hotel . look Park Plaza website , ' m sure would stay property cut . rest hotel China five star one could certainly compete almost every level ( perhaps room bit small pool ) . hotel new modern . room clean spacious enough two ( though one person ) . location great block away wangfuje shop street . be far Forbidden City , since distance large Beijing , make sense take cab anyway ( be cheap ) . really set hotel apart 4 star property service - 5 star level . front desk restaurant absolutely excellent concierge staff always put 110 % everything ( can not speak highly enough ) . would call ' small 5 star ' hotel rather 4 star highly recommend anyone . 
 Sep 11 2007 	 overrate 	 Park Plaza Beijing okay ( average good ) . decent room ( clean & amp ; new ) , service sub - par compare similar hotel China ( price ) . little thing around service ... meager breakfast buffet ( serve cappuccino , can juice ) , one small bottle mineral water /day , bellboy complain tip guide ( Tips expect China ! ) etc . on plus side , decently locate ( close Wangfujin shopping area , Tiananmen square 15 - 20min cab ride away ( be subway nearby ) & amp ; helpful concierge . end day , fair deal - however not deserve # 2 tripadvisor . 
 Sep 4 2007 	 nice western style hotel near city center 	 hotel clean western style hotel centrally locate . staff efficient , concierge door man helpful . amenity hotel sub - par compare similar property cater western traveler ... ex , gym limit , business center slow internet , etc . the breakfast well prepare , offer local option , well westerner accustom . the hotel walk distance Wan Fu Jing Shopping District Forbidden City / Tianamen Square . also charming bakery local eatery around corner . keep mind city block large Beijing cab require attraction , hotel walk distance metro . 
 Aug 30 2007 	 good place 	 stay two night complete satisfaction . the hotel quite new show cleanliness lobby room . our room 10th floor spacious , clean comfortable , see pic ! restaurant good well staff simply lovely . definitely go ! 
 Aug 27 2007 	 Top Notch 	 travel buddy stay hotel 2 separate occasion love . room great . staff excellent . actually walk back Tiannamin square hotel wangfuje shopping area . bell hop help we plan daily travel car reserve day need . starbuck across alley way coffee drinker . 
 Aug 25 2007 	 love ! 	 tuck back street short walk shop . major sight bite far also within walking distance . staff wonderful ! hotel new , room modern well appoint american current bathroom appliance . like scale hotel , big . stay hotel Beijing , far , favorite . would return . also , be worth , build starbuck right across walkway front door . 
 Aug 24 2007 	 Sleek Lovely Fantastic Location Park Plaza 	 absolutely lovely stay Park Plaza ! sleek , new , asian interior . fantastic location right wangfuje serene atmosphere lovely service . family we stay Peninsula top two hotel Beijing say room Park Plaza big nice probably much less half price ! thing miss giant , super fancy lobby . however , lobby Park Plaza lovely well intimate , calm atmosphere . easy walk night market Wangfujing Street . highly recommend ! one room upgrade suite two full room two full bath -- luxe . 
 Aug 24 2007 	 comfortable stay hot summertime 	 hotel ideal traveler interested complete luxury clean comfortable modern accommodation . room decent sized , bathroom spotless , lobby warm inviting . downside expensive internet station , overall highly recommend property . 
 Aug 19 2007 	 ok hotel significant lapse 	 ok hotel , let get crazy . thing bother include follow : respect & quot ; disturb & quot ; sign , enact push button enable illuminated sign door entrance . I stay sixth floor , tended want relax afternoon , three consecutive day : ) clean staff knock door , ask could come . say . 15 minute late maintenance guy actually open doorb ) next two day row , call ask ok enter . see , want disturb knock thought would ok -- call phone -- staff receive training ? -- -- -- -The buffet breakfast ok -- great , certainly ok . beef price buffet show menu anywhere else . actually cost american breakfast serve waiter -- way anyone know this . the poor waiter fault , prepare explain situation , -- -- -- -- hotel clean , staff nice ( despite ) would stay . understand lapse . 
 Aug 16 2007 	 Great Place stay 	 hotel prove excellent value . quality room good , staff friendly helpful , little complain . comment review previous Trip Advisor report prove accurate set appropriate expectation : hotel tuck away behind Regency Hotel taxi driver struggle find , get card provide hotel provide good direction chinese major attraction hotel outing return trip . I need make special mention concierge staff , fabulous . provide good language bridge communication problem , come great solution plan week stay hotel . much helpful concierge deal past , always careful make sure safe . the lounge staff hotel keen mustard please , try hard , inexperience hospitality obvious , memorable moment . one need patient understand lounge staff - want good time practice , think get there . overall pleased hotel would hessitate stay . 
 Aug 14 2007 	 great hotel Beijing 	 Booked American Express , pay approx $ 90.i hesitant debate Holiday Inn Plaza many review read mention problem communication ' ve find important staff able communicate concierge excellent . conceirge ' ve dealt speak great english , knowledgeable helpful . initial problem taxi 's find hotel tuck away behind regent be hotel provide map well business card . map great show key destination area english chinese show taxi driver etc . business card destination well helpful phrase . get someone Airport phone hotel provide we chinese version name address . from business travel purspective really pleased see plugs adaptable multi country not need adaptor . something many hotel learn . would rate room well hotel ' ve stay feven high rate . the breakfast buffet good although pricey Beijing . would suggest roam little eat local restaurant . 
 Aug 11 2007 	 pretty good value 	 stay 3 week July 2007 . overall pretty good hotel good value . 's nice hotel Beijing 's probably good value . manage get $ 90 / night , include internet access . good location , walk distance wangfuje Forbidden City . room 4 star quality . bed pretty confortable tv offer quite US channel . bathroom nice . on side not like follow : - pool- be hide behind Regent hotel taxi find it- total ' ve check hotel 5 time screw resevervation ( date , price , room ) everytime . yet get room 30 minutes.- towel paper thin 
 Aug 6 2007 	 Fantastic Hotel ! ! ! 	 great hotel Beijing . really good location , 20 minute walk Tiananmen Square Forbidden City , 5 minute main comercial area . concierge really helpful really good english . room new modern . breakfast ok , include China it´ little pricy , Starbucks near , ... would definately come back hotel . 
 Aug 4 2007 	 great hotel ! 	 hotel great ! price right especially weekend . find staff helpful accommodate especially concierge . room nicely appoint , although pretty much look , nice character term decoration . room service also good prompt . location also great , block wangfuje shop street . thing would advise 2 rmb / minute internet . try find internet cafe area . would definitely stay ! 
 Aug 1 2007 	 great hotel love 	 stay 6 night , book hotel base upon review tripadviser . live expectation . location great , 15 - 20 minute walk Wangfujing Street , Forbidden City , Tienenmann Square . staff friendly helpful , arrange trip we , write direction chinese taxi driver , mail postcard . even chinese direction , many taxi driver hard time find hotel . tuck away main street behind Jinbao Tower . come airport challenge since could help driver , however know able gesture show driver go approach road on . the room comfortable everything work perfectly . a / c work great . complimentary in - room broadband internet access work without problem , though little slow expect . morning breakfast buffett awesome , tremendous selection american asian food . little expensive compare cost room , think minor complaint . all , good experience hotel definitely stay . 
 Jul 25 2007 	 would go back 	 good location . not mind exercise , be within walk distance wangfuje Street , St. Joseph 's Church , oriental Plaza , Donghuamen Night Market , Forbidden City , Tiananmen Square , Museum Chinese History -- even Liulichang Culture Street be bit hike . 14 - 16 rmb ( around $ 2 US ) cab ride back Lakes , Prince Gong 's Mansion Sanlitun Clothing Market . some taxi driver not know hotel set back street . show map Jinbao Tower mark chinese character , able get . front hotel , showroom Rolls Royce , Lamborghini , Ferrari Maserati . behind hotel , hutong ( traditional neighborhood ) never get around explore . there be Starbuck be across entrance hotel . cake , pastry , coffee juice cheap ( well ) continental breakfast serve hotel . 's beer garden outside hotel , bottled beer beer tap . Jinbao Tower , ATMs allow transaction foreign bank card . if book Expedia , make sure print hard - copy itinerary e - mail confirmation , since hotel reception desk require sign - in . staff courteous , helpful friendly . many speak passable English . even housekeeping staff learn English phrase directly relate work . my complaint minor . first , water pressure toilet not good ( although water pressure shower okay water drain fine ) . second , gym pretty basic , nothing free weight , run machine stationary bike two weight bench . swimming pool . third , much view room . fourth , Continental breakfast skimpy overprice . all , clean , decent , attractive , well - situate hotel . 
 Jul 16 2007 	 Loved ! 	 stay hotel one night , love ! wish stay long ! hotel new , clean , nice ! hotel staff friendly helpful . everything westernize , everyone speak English , make boyfriend ( non - chinese speaker ) feel comfortable . definitely stay whenever go Beijing ! 
 Jul 14 2007 	 internet expensive Concierges not know city well enough 	 hotel regard location , dining , room etc ... fantastic 2 slight negative stay week look for:1 . INTERNET : not computer use internet hotel 's business centre expensive RMB2 MINUTE . cheap take walk 10min take taxi ( RMB10 ) internet cafe nearby cost RMB2 HOUR . internet place open night , 100 computer , computer headset microphone want Skype someone even sell icecream RMB10 ( EUR0.10 ) ! 2 . concierges : various concierge hotel sometimes write precise enough instruction taxi driver leave stick request location 's nearby bus station instead request shopping mall not seem know enough Beijing . ask visit underground tunnel , near supermarket etc ... concierge admit not know advise we place discover end away . result unfortunately leave we sometimes need find thing . overall hotel wonderful definitely return opinion 2 thing could improve something look . 
 Jul 12 2007 	 good value Beijing 	 admit book hotel due trip advisor review . never stay park plaza even though travel lot , decide see truly accurate review actually be . simply say , right . even banana bread ( post another reviewer - ps excellent ) . even heater behind mirror bathroom , shower , mirror not fog completely.ohh please say . COMPLIMENTARY internet . pay US $ 10 - 20 day hotel . home cost much month , guy give free . think nice . the hotel literally behind Regent hotel 10 minute walk tianaman square , third visit beijing first time ' ve actually happy hotel . ( be big spread city - place central ) hotel excellent . ( frankly ' m sure anyone would spend double money regent , 's company guess segment market ) . ok basic . room modern , clean would expect 4 - 5 star hotel . buffet good . top . mean not spend morning eat much . be get everything need plus extra like really good banana bread . taxi driver find place also plus ( ps take hotel card ever want get home not speak chinese ) one tip . concierge 's good . night ask restaurant recommendation unlike hotel send normal run mill foreigner place , guy desk really try find interesting excellent place . another suggestion ask ' south beauty ' restaurant shopping centre . know sound strange concierge go , suggest . one good meal china ' ve ( ' ve many ) . ' ve include photo business cardOverall excellent hotel really good value . be get everything need want . one thing like really lack many chinese hotel . soft bed . 
 Jul 9 2007 	 BEST PLACE BEIJING 	 arrive Beijing Jul 1 , 2007 stay one night . wish could stay long . hotel fantastic , breakfast delicious service wonderful . definitely stay . good location , . 
 Jul 6 2007 	 Cosy convenient hotel 	 Beijing many time . first time stay hotel . surprise , locate near wangfuje central . take 8 min walk . first time travel Beijing , would recommend hotel . hotel small clean comfortable . also get good rate via hotel website . 
 Jul 4 2007 	 great staff free broadband internet 	 stay 1 night Park Plaza upon arrival Beijing fly Lhasa Tibet next day . room nice staff extremely helpful . email Tibetan travel agent regard flight TIbet want make sure actually book Air China flight . staff take lot time call Air China confirm flight . also verify proper Tibet permit go Lhasa . all , pleasant experience . also really like free internet . for Starbucks addict , outlet right across street . another benefit somewhat seclude location hotel main street ( reduce noise street ) . 
 Jun 27 2007 	 nice hotel 	 nice hotel . still seem new . room big clean ... glad see long flight . bed nice , great pillow . little worried sign say , & quot ; drink tap water & quot ; .... provide 2 bottled water everyday . much view , care . front desk little standoff - ish , talkative guide . get money easy . breakfast good , many choice .... fill need dinner afterwards . concierge staff nice . location good ... wangfuje Mall nearby walk seem take forever .... probably hot . overall , nice . 
 Jun 26 2007 	 Great Value 	 stay Park Plaza several day span end May begin June 2007 . overall , would recommend hotel central location , moderate price , great comfort . the hotel locate busy wangfuje district ... mean be within walking distance Beijing 's premier shopping strip overflowwing store people day . also , nearby many local eatery , bakery across street ( great morning baos ) , Starbucks literally step entrance . additionally , hotel pretty posh 's nightly rate . room stayed contain double bed able accomodate luggage 3 people . workspace adequate internet connection good ... internet complimentary ! bathroom clean decent sized . also use gym , good since equipment maintain . , modern hotel . the area require improvement customer service . front desk slow concierge mediocre ; neither overly friendly . bellhop , however , mostly cordial greet we morning night . 
 Jun 20 2007 	 mostly impressed 	 stay Park Plaza five night May , title suggest , mostly impressed . 's newish hotel , swish entrance , room spacious clean location great - short walk wangfuje Mall ( love night food market ! ) , old style alley side hotel make great morning 's exploring . concierge , gift store staff staff in - house Oodles restaurant lovely friendly - reception desk staff much , abrupt less helpful . every time try change money , would tell we come back later - three try , gave find atm instead . also , staff breakfast room run foot show we table either still use people not clear ( half - full coffee cup ) . overall , would rate good hotel , great one . 
 Jun 17 2007 	 wonderful hotel 	 spend last night Beijing hotel . have spend two week Tibet hotel welcome oasis . room exceptionally clean , modern comfortable . enjoy room service order late night snack breakfast bed . find service prompt curteous hotel rate $ 115 night great value . hotel approximately 40 minute airport ( without traffic ) . great find ! 
 Jun 12 2007 	 could not ask well 	 Based TripAdvisor rating , book Park Plaza begin trip , like much also stay end vacation . room exactly need 10 + hour flight : spotless comfortable ( lovely soft bed , fluffy sheet , gleam bath room , excellent water pressure shower ) . staff friendly accommodate whatever one could need , dinner reservation , suggestion see , help book ticket travel elsewhere China . restaurant bar pleasant well - , excellent place stay Beijing . 
 Jun 12 2007 	 simply wonderful 	 stay hotel 3 night & amp ; wonderful . hotel new location great , 10min stroll Wangfujing . I book 2 standard room internet think really good deal . however day departure , check rate shock see rate drop RM200 per room per night ! anyway , get , make little fuss end get free breakfast throughout stay . also request connect room surprise , connect room seem suite seperate lounge / study room . room big & amp ; new bed comfortable . little problem airconditione refuse get temperature want . there much view hotel behind Regent room still get pretty much sunlight . I great time will definately stay hotel . 
 Jun 10 2007 	 great hotel good price location 	 really enjoy stay hotel . staff helpful , room free broadband spotless . order room service breakfast pleasantly surprise excellent service food . book hotel check internet rate manage get great rate website . arrive hotel give free room upgrade . location great visit many downtown site shop . thing would say want get feel & quot ; real Beijing & quot ; spend night two hotel locate Hutong , be totally different experience . however , be business prefer luxury international chain mean choose Park Plaza 's well worth . 
 Jun 10 2007 	 great hotel good location 	 stay husband May 5 night . staff really helpful , nice friendly . location fantastic within walk distance shop . Buffet breakfast good lot choose . eat couple restaurant quite good . would definitely stay . 
 Jun 1 2007 	 great clean good location . 	 stay hotel 2 night . bed comfortable . room clean service excellent . room service little pricey well worth . dinner breakfast room fresh good . staff helpful . got lot good info Jeff Zhang work concierge desk . tour pricey . find lot cheap . set tour go great wall Mutianyu driver day . charge $ 800rnb . probably would negotiate fly Datong day plane delay driver wait we several different time airport one really know time plane arrive . driver , Yong , wait arrive flight 3 hour late cold drink hand ready take we . Yong speak english hard understand sometimes . get Mutianyu around 2 perfect be not crowded . cable car take top walk choice take cable car toboggle bottom . course , take toboggle . much fun . next morning go see Summer Palace Forbidden City . press time would recommend Summer Palace Forbidden City . Forbidden City bunch building museum stuff . good go across street back side forbidden city . look interesting stuff .. want local shopping . go Hutong local go live . wangfuje Street overprice . tips : good take hotel info write chinese taxi know exactly go . arrive airport use Taxi Station driver legal . taxi station right outside airport clearly mark . almost get hustle woman state controller could get we taxi . guy pop nowhere start direct we elsewhere . probably would pay triple go person . chinese people spot tourist easily try hustle . ignore do not pay attention leave alone . respond will not leave alone follow long . 
 May 28 2007 	 excellent hotel heart Beijing 	 high standard hotel reasonable price , comfortable room , friendly staff good english , location near forbidden city 
 May 23 2007 	 Nice Hotel Difficult City 	 reading glow review Park Plaza , think expectation little high ... say , 4 day navigate one least favorite city , definitely nice refuge ! part , staff speak english , helpful . free wireless internet access room , comfortable modern . location good far tell ( always seem take forever get anywhere traffic , obviously hotel 's problem ! ) bonus : starbuck 100 foot front hotel . yeah ! one disappointment room bathtub / shower . tub clog back water rapidly , shower curtain cloth ( plastic ) , keep water . room always soak ! smell moldy . deal , not ideal . 
