nice 	 spend Thanksgiving weekend hotel get good price ( much low normal rate ) . room nice pool exercise room . parking expensive , give 50 % discount hybrid car ( yea ! ) reasonable . not many place immediate vicinity eat , nothing far walk . 
 Oct 7 2006 	 good 	 nice hotel , good room , great bathroom good breakfast . location good tourist view spectacular . I would recommend one stay Chicago . 
 Oct 3 2006 	 great view great location 	 stay 6 night late September . week 's mainly business hotel lot family small child weekend become rather noisy . reception efficient warm . room 29th floor good , plenty space , wonderful view yacht club marinas Lake Michigan . bathroom good size . air - con internet connection efficient . one bad point note top minibar forbid put anything ( keep cool ) infraction would met charge top cost room . get round use ( free ) ice machine bucket . eat breakfast Lobby Lounge , two waitress friendly welcome - top mark . last night eat Palm Restaurant overwhelmed waiter - feel like take part audience participation show rather meal . food good fresh . this hotel great location - boast , & quot ; river meet lake & quot ; , two minute Michigan Avenue majority major tourist attraction within walk distance easily reach public transport . 
 Sep 30 2006 	 great breakfast great view great service 	 room great view Lake Michigan . enjoy wake morning see blue sky shimmer water lake . breakfast jewel ! 's downstairs little way fabulous . friendly server nice selection food reasonable price . front desk staff friendly well . room comfortable - glass enclose shower , jaccuzi tub cozy bed . would stay . 
 Sep 25 2006 	 great location 	 stay five night September 2006 . rain get hotel nice rest time . check - in smooth confirm non - smoking , high floor . get room , right door , smell smoke . necessary room , right door . turn A / c fine . health club pool spa nice . $ 10 / day health club business center charge $ 5 per 15 minute check e - mail internet . pool spa free . drag first class hotel nickel dime you . room service great . call several time within 30 minute food door . would leave typically 10 - 11am back 5 pm change dinner . room always make . one day leave 9 am come back 1:15 room clean . sign houekeeper cart . husband conference call 2:30 go front desk ask see room clean . go walk return 2:15 everything clean . overall great ! ! would stay . 
 Sep 23 2006 	 great view 	 surprise much like hotel seem much hype travel book . stay four hotel Chicago favorite far . really like room clean comfortable amenity appreciate hotel room . really like bathroom think view room great especially night ! location hotel also good staff seem friendly . hotel class Chicago might little decorative chic room comfortable ' seem dependable amenity Swissotel . would defiantly stay hotel ! 
 Sep 8 2006 	 absolutely Superb 	 Stayed night end August ! room excellent- view lake michigan , millennium park building ! location superb , next magnificent mile short walk navy pier ! concierge really helpful also really nice complimentry strawberry orange water reception area ! feel good hotel room ever stay - spacious ! book hotwire get feel really good price via 4 * wacker drive option $ 100 ! downside Chicago weather , take away beautiful view 2nd day ! hotel give we umbrella use day ! highly highly recommend hotel ! 
 Sep 7 2006 	 MI Ave Lake 	 Swissotel Chicago corner river lake , 2 block Michigan Ave . prepare slightly uphill walk shopping MI Ave . downside location , may enjoy access south Millenium Park . Chicago bus come front along El ( rail ) easy use . room good , nothing spectacular except view . build tirangular shape , could see Millenium Park . bath roomy separate shower . single sink tub nice also . room include desk & amp ; chair along casual chair & amp ; ottoman . overall good great 4 * hotel . rate receive travelzoo special $ 159 / nt labor day weekend ok . want middle MI ave shopping , good location , nice hotel decent rate ( less $ 200 ) good choice . 
 Sep 5 2006 	 ok expect well . 	 stay Swissotel Chicago 3 night : August 31st - September 3rd . book room via Priceline . COM get decent rate . I think hotel overall good , great . stay many nice hotel class . also stay Swissotel Boston several year ago much different experience service point view . swissotel US Boston one believe Hyatt . the hotel seem understaffed front desk one agent check . anytime stay saw , 2 agent many time line . think concierge staff ok , certainly pleasant , adequate . get early check - in call hotel morning arrival . happy able check stuff 9am vs. 3pm . grant , put room elevator 33rd floor not complain . quite honestly not lot noise outside door room lot time . regard room though , problem minibar , refrigerator not work . internet access / guest service / movie selection not work either . course call downstairs put endless hold due staff sufficiently . hung deal , not want hassle way outside enjoy beautiful weather . issue never get resolve sure next guest deal . note slip door early Friday morning tell work guest service / movie thing hope back working night . also , water hotel would turn 9:30am-11:30am . take early shower morning . view room really nice part , not go sit room stare window either . the location Wacker drive fine walk couple block Michigan Avenue . be block away Hyatt also stay not nice swissotel least well staff . 's two block Millenium Park nice . couple fountain Millenium Park design kid play nice stay warm month . perhaps room one not work refrigrator / minibar . would say company pay , hotel fine . however , special Chicago experience , look elsewhere . well hotel well location Chicago . 
 Jul 30 2006 	 nice well 	 travel Chicago business fairly often , stay dozen different four - star property . first time Swissotel , 's & quot ; bad & quot ; significant way , think one least consider hotel unless Swissotel bargain rate . room pay , notice rate $ 259.00 not think 's worth kind money . view river Navy Pier certainly great , quiet , room so - so . shut door , without view , would not necessarily think luxury hotel major city . furnishing nothing special kind ' worn ' . shower stall curtain , shower head shoulder level man average height ; place put anything either . time shower , even curtain close , lot water floor , etc . toilet seat would stay , much counter - space sink , open door room , swing open stay 's ready automatically close . never could tell exactly meant term & quot ; swiss hospitality & quot ; keep hear . tv check - out system would not work , call check , voice end cut say & quot ; be take care & quot ; half nano - second , like huge interruption something really important . agree reviewer find staff efficient , terribly personable . none thing big deal , alone , obviously , say ' ve impress hotel like Intercontinental , Sofitel , Sheraton along river , Marriott Michigan Ave . , W downtown , Drake , price . get bargain Swissotel , certainly list . thing equal , though , would opt one other ' ve mention , least compare decide . 
 Jul 29 2006 	 Chicago always great city 	 stay 2 night 8th 9th July book purelyamerica £ 189 2nights.great location great view 27th floor look city Wrigle build chicago river . ever hotel get great view love sit jacuzzi 42nd floor look navy pier lake michigan city . 16 yrs old daughter one many highlight holiday . recommend buffet breakfast . staff friendly . 
 Jul 28 2006 	 A+ July 17th - 19th 	 stay Swissotel July 17 - 19th business trip . say really though great hotel . bed extremely comfortable , room extremely spacious bathroom well . feel like home stay hotel would recommend anyone think go Chicago . right around corner Magnificent Mile great view room ! little pricy thought , come around $ 414 night ( taxis ) . 
 Jul 17 2006 	 Excellent Hotel Choice ! ! ! ! 	 hi stay 7 - 14 7 - 15 - 06 . get deal Priceline . 175.00 night . 30th floor great view Navy Pier . check say going give we upgrade room , say ? room large . large dresser , king size bed , desk , lounge chair . linen pillow soft perfect end long day sightseeing ! bathroom large , tub seperate glass stand shower . great air conditioning system . think provide complimentary breakfast . complaint headboard wall elevator , imagine good room . warn large hotel , ask room away elevator : ) great location , couple block Magificient Mile . would absolutely stay ! 
 Jul 11 2006 	 quiet comfortable bed ! 	 stay Swisshotel Jun 30/06 - Jul 5/06 110 usd nite plus taxis Priceline . deal ! hotel truly 4 * large room , large marbled bathroom come shower tub . shower pressure good . robe provide closet . king size bed nice soft linen pillow . desk internet hook room . Minibar tv . cost internet $ 25 / day . Air condition . we 31st floor great view Lake Michigan , Grant Park , Lakeshore Drive . hotel walking distance ( 10 min ) Magnificant Mile ( serious shopper , street dream ) Navy Pier direction . close subway station good 15 minute walk prepare walk get public transportation . Taxi available hotel . complimentary breakfast provide . hotel staff courteous part . head concierge , Dan , seem little short time aside , everyone else quite helpful . definitely would stay . 
 Jul 6 2006 	 within walking distance ...... 	 stay Swissotel 7/1/06 - 7/3/06 . base review concerned hotel old far attraction bring we Chicago . healthy walk 's way see city beautifull building park . walk everywhere . wife 53 47 spring chicken . strap walk shoe get outside enjoy site beautiful city . see Grant Park ; eat Chicago Pizza ; beer drinker try Goose Ale . fun Chicago 
 Jul 5 2006 	 good so - so 	 return three night stay Swissotel . read online corner room possible upgrade ask corner room possible . not get free ... offer $ 30.00 night hotel pretty full take . not check normal room parent & quot ; normal & quot ; room love , say one nice importantly clean would lately . take corner room face Navy Pier Chicago River high five 20 minute like kids candy shop . two wall solid glass entire wall . view unparralle . bed PERFECT . two plump pillow we , big fluffy white comforter , soft sheet , CLEAN . thick terry robe closet , umbrella could borrow , iron , coffee pot , lotion q - tip complimentary . front desk staff professional helpful . complaint charge use gym state clearly openly shock add bill without knowledge . resort use sauna talk management fee suddenly next day & quot ; sauna work several hour & quot ; could use . swissotel famous restaurant inside staff charming attentive . loved ! not completely bowl Swiss could do little really make stay special ( paper deliver door , extra ammenitie special touch would really impress little extra cost ) . make sure walk behind hotel Millenium Park . be right ! 's nice cafe sculpture music . front Millenium Park Starbuck 's Walgreens since can not use room frige without pay woo hoo . cool hotel . loved . view make ! 
 Jun 27 2006 	 Loved Swissotel 	 stay back November 2004 . service great greet immediately bellstaff taxi desk person greet great smile . great room overface Chicago River . stay verytime go Chicago . 
 Jun 4 2006 	 good value location 	 Booked Hotwire less $ 150 , taxis include , per night . stayed one night ( 5/17/06 ) . purpose trip shop , eat , see Pearl Jam concert United Center . location good shopping since three block walk south end Magnificent Mile . cab fare hotel United Center approx $ 13 way . Valet parking $ 41 plus tip one night . check 1:30 p.m. ( 90 minute early ) . river view room ready . room clean . room include big umbrella prove useful give weather afternoon . we drink palm lobby bar hotel bar concert . service good . cigar smoking patron not add atmosphere though . eat Rosebud lunch . roughly 10 - 12 block hotel . excellent surprise . walk street part starve weather . could pick well place lunch . lunch entree pick $ 10 - 13 . lunch two house wine , coffee , dessert tip $ 90 . italian food superb . talk tasty & quot ; gravy & quot ; . wife food snob , place really treat . my complaint hotel ice machine . ice machine floor . go one floor ice . go , machine break . big deal take fifteen minute find ice midnight . six month ago , stay three night Westin Mag . mile twice price per night . would definitely choose Swissotel many other get good rate . 
 May 31 2006 	 Fantastic ! 	 absolutely love hotel . corner room view lake / Navy Pier one way downtown other . amazing view . staff courteous . concierge great job dinner recommendation . easy walk cab ride town attraction . anyone say Michigan Ave far away plain lazy , be 2 block . one block walk Millenium Park . close & quot ; El & quot ; station 15 minute walk . downside parking bit expensive , city hotel . 
 May 31 2006 	 Memorial Day Weekend Chicago 	 pro : location -- walk distance State / Lake Orange Line stop ( one bag might prefer cab ) : , good pair walk shoe ( luck get great weather ) walk entire Magnificent Mile ( though be power shopping may want stay one hotel near / on Mag . mile drop package . find State St. store middle - class price range close swissotel . ) ; easy walk Millienium Park , Art Institute State Street shopping ; walk distance Navy Pier . Chicago Arch . center boat tour leave across street hotel riverside . ' m Los Angeles not lot walking find within comfort zone . cab park outside case get lazy . con : believe hotel categorize luxury category seem pretty plain wrap . room bathroom clean , though shower stall extremely tiny ( ' m big . ) room put shampoo put floor bent chance hit head door . turn water stand stall would spray directly room chance shut door . evening turndown service complimentary bottled water . one day newspaper , three day . Staff seem efficient though overly friendly , good morning , etc . pass . room service limit 10 p.m . though completely isolate , not find interesting restaurant nearby . swissotel loyalty program invitation disappointing . recently join Fairmont 's free President 's Club enjoy benefit free wireless access , free health club spa discount , first visit . far activity Chicago , usual tourist stuff . find John Hancock Observatory expensive short time one 's . instead spend money , drink Signature Lounge enjoy reasonably price lunch buffet offer Signature Room instead . take Best Second City Black Orchid Lounge -- get ticket discount HotTix Old Water Tower building . much enjoy Chicago Food Tour , walk tour incorporate food tasting various place like bakery , traditional deli , pizza , chocolate lounge , etc . informative detail Chicago 's history . guide , Shane , point significant building would walk right past introduce we wonderful neighborhood offer shop restaurant unique Chicago . tour cover several mile wear comfortable shoe carry tote hold stuff be go want buy -- well yet , ask Shane Hammock Bag -- hold ton will not even feel be wear . 
 May 15 2006 	 dislike Chicago Swissotel 	 Trouble hotel begin enter room find room design disabled people next elevator bank . go straight back reception get new room go . turn one odd - shape ok corner room , design result triangular shapre building . , elevator could hear . talk guest , conclude room end number xx1 , xx2 , xxx19 xx20 avoid unless enjoy listening elevator go ! bad experience five night stay breakfast . low - level restaurant call Geneva run - down , carpet chair need cleaning , mention color design date back approx . 20 year . bad clorox - like smell floor level service provide staff . one morning , order scramble egg bacon turn fry egg sausage , one morning , french toast show two slice french toast bare dish , extras miss . sight ! staff helpful sometimes hardly able understand even simple english sentence . back room , clean staff never make 4 pm afternoon , exciting spend rainy weekend windy city ! due lack sign , indicate cleaning staff early day room ready . upon checkout , tell printer offline receipt could print , promise get pdf file per email asap . one could expect , nothing happen write GM could finally get invoice need expense reporting . Alltogether , seem somewhat run - down place , far old glory cater two- three - star crowd tourist , conference attendee , least weekend , wedding croud . reason return place , well place less around corner . sad write previous key customer Swissotel , chain seem end lifecycle . 
 May 15 2006 	 wonderful hotel 	 frequent visitor Chicago find hotel excellent almost every way . MUCH well less & quot ; impressive & quot ; property , less expensive well ( though find special rate online ) .Swissotel offer service / extras like -- lot cab , in - hotel bar , great view , room service , etc . extremely helpful staff , quiet , clean safe property . as people complain proximity attraction -- not find true -- quick ( 2 minute ) walk Michigan Ave . plenty restaurant / shop / etc nearby easy access everything . course ... like Rush Street , ... stay rush desire . one thing strike backward charge $ 10 per 24 hour internet usage certain guest room . day age ... think free wireless give . 
 May 12 2006 	 not stay convention town ( time ) 	 stay property American Academy Orthopedic Surgeons . make reservation well advance . arrive , stuck conference room Murphy bed overbooke . tv roll stand little circular table place middle floor serve & quot ; desk . & quot ; & quot ; compensation & quot ; inconvenience half nightly rate . give room free ! speak manager even apologize would offer nothing , even free meal discount next time stay . horrible experience . point manager firm hold conference month use conference facility well several hotel room . still nothing . like want say & quot ; -- -- , & quot ; without actually say . 
 May 4 2006 	 generally good value 	 stay Swiss Sept 2005 week . hotel full nice . generally , consider location good value hotel . issue think need address . first check desk staff individual bite rude almost seem look people business traveler . hotel definitely cater business traveler perhaps regular tourist important . room nice , basic clean . bathroom also alright except need clean edge wall ( seem lot dust ) . little touch like put toilet paper roll triangle day nice fail replenish supply toilet paper tissue . huge problem hotel perfect think point beneficial traveller . general place nice worth money give proximity major landmark downtown Chicago . avergave , clean , comfortable hotel not expect blow away . 
 May 1 2006 	 overrate great view 	 stay 15 different Chicago hotel year really look forward finally check Swissotel . reputation pamper evidence stay . general feel would expect hotel reputation Swissotel . room overall bit stale tired . find service staff average way , exception lovely concierge . I impress soft bed quietness , consider major convention town . location three long block east Michigan Ave bridge - may find inconvenient , particularly coffee need ! however , walk directly Millenium Park plus . would choose stay next trip Chicago . 
 Apr 22 2006 	 get great deal ... 	 take get write review , second time stay Swissotel . get amazing deal travelocity get deluxe , river / lake view incredibly good price . arrive , King bed reserve instead get stick two double , move we high floor . front desk staff super easy work not bad . central everything would like - convienent walk Navy Pier , convienent bus stop everything else want see . honestly , would rate service location three , room four , view five ! view river meet lake make hotel magnificent ! ! -although seem plop apartment building view seem bit obstruct . love Chicago return often .. get good deal , will stay Swissotel ! 
 Apr 17 2006 	 great deal great location . 	 husband recently stay two night Swissotel . book room find $ 99.00 rate travelzoo . save money parking fee , park Millennium parking garage walk hotel . arrive early Friday evening able check - in quickly . less 10 minute walk front door , room . room exactly expect . non - smoking room king size bed , desk area two chair , read chair ottoman lamp , standard room ammenitie . 30th floor view include Chicago skyline water . return room Saturday night , nicely clean . Sunday , use express check - out option easy . return home , receipt wait email inbox . overall , hotel great . however , want picky detail , go .... toilet paper horribly thin . 's small detail , could easily improve . also , Saturday morning , wake not hot water . wait hour could shower leave . not really bother we , tight schedule , really would problem . also , scale bathroom not work -- want weight weekend away home ? ! ? , overall hotel great place stay -- especially find discount . location great walk MI Ave . weather good love walk , could even manage walk museum campus -- make long walk one occasion weather nice not hurry . give idea location , walk Bistro 110 , Heaven Seven , Shaw 's Crab House , Mill . Park , Grant Park , Hancock Building , many place . 
 Apr 10 2006 	 Liked place annoy couple thing 	 last month boyfriend stay Swissotel , buy HotWire $ 130 include tax everything . first impression good , drive entrance try park couple minute check ( plan drive somewhere , not want put car parking ) . one guy ( think porter , & quot ; parking solicitator & quot ; exist ) come we yell we . & quot ; not park , hurry , hurry ! & quot ; Excuse ? , customer , arrive stay hotel . try check get soon possible . please give we break . my boyfriend try explain situation , guy continue yell we , & quot ; hurry ! hurry ! & quot ; first impression hotel REALLY bad . ( way , since hear valet parking cost around $ 40 night , park millennium park garage , locate four five block hotel . enter garage around 1:30pm leave around 6:30pm follow day , end pay $ 40 . not know 's good decision , kind suspect might pay day - charge ask hotel valet - parking . ) swissotel locate two three block Michigan Ave . , walgreen small store . walk kind boring side Wacker couple block , want small shopping ( like chip water , ) leave Michigan . our non - smoking room nice , much decorate business - like . not stinky smoky smell . gorgeous view skyscraper partial view lake , give nerve rest . bath room really beautiful big small shower cell tub separately . maybe winter , would love take long hot bath . king - size bed comfortable prefer bit firm mattress . amenity pretty good common bath product ( include bath gel ) coffee maker ( free coffee & amp ; tea . ) thing hate room fridge . super tiny allow put anything . sign fridge say something like & quot ; move drink inside , would automatically add bill . & quot ; even leftover pizza place rib place , put fridge . water everything inside room sooo overprice . strongly suggest aware that . our stay another twist . find tv remote room break . might big deal people , lie king bed relax watch tv , become big deal . ask frontdesk fix , send engineer . well ... fix malfunction remote end take supposedly - comfortable-1.5 hour . engineer good fix , remote never work . point , begin murmur & quot ; well , fix ... & quot ; -- course , hotel decide make we : change room . hardworke engineer 's 1.5 hour struggle , ask move next room . * next room also non - smoking . tell room top 5 6 floor non - smoking . they apologize inconvenience offer we free breakfast , way great various kind fruit , cereal , bread really appreciate . in end , impression kind mixed : porter ( parking solicitator ) really rude annoy us room somehow compensate ; trouble bother stay LOT make sincere apology great breakfast . stay Lenox ( currently renovation ) , Allegro , Fourpoints Sheraton . size - wise , maybe swissotel good come fourpoint . convenience - wise , fourpoint definitely beat swissotel : fourpoint small fridge put anything even offer free bottle water welcome gift . also people fourpoint far nice , friendly , warm one Swissotel ( easily chat anyone fourpoint one Swissotel . ) luxury - wise , Swissotel look fancier make day bit different . might end stay rather want try different hotel next time . 
 Apr 4 2006 	 Nice Hotel poor follow 	 go go see Toulouse Lautrec exhibit . got package hotel nice offer ( club level ) . club level nice , guest club level appear calibre - weird . nice hotel , spectacular . view room okay , great . also call concierge advance buy expensive ticket Cubs game hotel suggest broker . get ticket fine , nice typed letter , etc . , go game tell game time move completely miss game . try approach management , since town , sure would know , get back type note misspelled word - nothing else - basically - 's fault . poor customer service . 
 Mar 21 2006 	 highly recommend Swissotel 	 husband spend past Thursday Friday night Swissotel . please hotel service . standard room first night . large comfortable . next day , walk hour return room 3:40 p.m. hope relax . room service pleased . front desk offer housekeeping come right , interested leaving room . offer we free upgrade corner room . view side spectacular . not use fitness center pool beautiful . ' ve post one picture view standard room , rest picture corner room . definitely stay swiss . 
 Mar 7 2006 	 Beautiful Room Exceptional Staff 	 book room Swissotel Hotwire $ 88 ( unbelievable rate ! ) extremely impressed Swissotel . staff polite cater every need . room oversized , clean , large bathroom . partial view Lake Michigan , add bonus . 42nd floor , spotless workout room pool view city lake 3 side . Spectacular ! sit hot tub look Navy Pier . can not wait go swissotel ! 
 Feb 28 2006 	 good time ... 	 prior book hotel Hotwire , read pretty bad review first . not experience problem people complain . get Hotwire $ 65 , absolute steal give location . ( season , still steal . retail rate list double ) . two review Hotwire site make obvious likely swissotel . one person say get lake view , say river view . hotel ( maybe 1 ) Chicago Lake River view . find desk staff friendly . even ask get 2pm late check - out . say occupancy rate 40 % , could explain not reluctant . the ammenitie Hotwiare time list Tennis nearby , Spa , Pool , Restaraunt , etc .. actual spa , service make appointment come hotel -- service overprice . upstairs workout room look nice , pool look ok , though maintenance guy reapplye tile wall contemplate swimming . the room MUCH nicer think look picture . furniture not dingy , like other complain . bathroom nice , seperate shower decent sized tub ( jacuzzi , little large normal ) . room service efficient , average price , decent food . room mini - bar average price well . bed linen comfortable . ignore anyone complain valet parking expensive -- obviously not park downtown Chicago much . parking rate Swissotel right par anywhere else downtown Chicago ( fact , hotel charge ) . 
 Feb 27 2006 	 get decent deal nice hotel 	 book room hotwire $ 130 . hotel nice , room big , pool / hot tub area nice , location great easy get . negative parking situation , cost $ 40 valet without many option . park public parking site nearby Wacker cost $ 14 night . would recommend stay hotel get chance . 
 Jan 31 2006 	 great value great location 	 book weekend stay price - line $ 115 / night rate . stay 33rd floor wonderful view . true room little ' wear ' , point problem . bed comfortable , room quiet . swissotel two block Michigan Ave , 2 block Millenium Park really ideal location activity . 
 Jan 30 2006 	 average far well place stay 	 stay 2 night , think book Sofitel , great , due mix end . first impression hotel pretty tired cold refurb . room date , corner room 's bathroom shabby . discover door not stay shut ( notice day 2 ) engineer fix problem key would not function . parking expensive ( $ 20 + couple hour ! ) , concierge go home 7 pm Saturday . location adequate far well place money . can not recommend ' m afraid . 
 Jan 24 2006 	 Great Hotel Friendly Staff 	 stay Swissotel four friend one night weekend trip Chicago . get great deal Hotwire , value pay incredible . check - in , front desk staff member not overly friendly , certainly not rude . greet time enter leave , always offer cab need . room little small furnishing , view incredible bed exceptionally comfortable . order room service late Saturday night , gentleman bring one pleasant people encounter Chicago ! swift , polite , extremely well - mannered . not order anything fancy ( pizza & amp ; beer ! ) , beer cold pizza decent . hotel locate block way Michigan Avenue near train station , locate right water , offer incredible view Lake Michigan canal . be fan walking , plan take cab find somewhere else stay . otherwise , highly recommend Swissotel ! not mind walk , though , since busy enamored city ! 
 Jan 2 2006 	 great deal Priceline 	 husband decide spontaneous overnight holiday break pricelined hotel end Swissotel . ' ve use priceline almost every trip Chicago would say swissotel line quality hotel ' ve stay . $ 65.00 night great deal . hotel good location great view river . good feature hotel however , opinion , bed . really comfortable . Priceline describe hotel 4 star - would give 3 star due fact start show age . bathroom furniture room could use attention . overall nice hotel , especially get good deal . 
 Jan 1 2006 	 ' secret ' hotel might surprise 	 stay hotel four night , truly enjoy time . although key card always malfunction ( problem promise address ) service top notch . it beat path somewhat , five minute walk Michigan Avenue Wacker . eight minute walk L State Lake . terrible . great location business downtown area bank . -- -would suggest business travel leisure travel look great quiet hotel . -- - nice pool fitness center ( great locker room ) -- - great onsite restaurant -- - elevator slow suggest -- - billing parking expensive ! ! ! -- - aware fridge – charge look item ( move product , charge … although take bill , one time staff cranky ) plan stay future visit city . 
 Nov 27 2005 	 awful place 	 arrive midnight , confirm reservation twice ( include hour , will call airport upon find flight delay ) , tell overbooked room , send comparable hotel nearby . send across town awful , noisy , foul place . next morning refuse request write record use regard relate charge ; also lie , group organize meeting , etc . , happen . folk attend meeting stay report various problem , ' m sure miss anything sleep . 
 Nov 24 2005 	 Swissotel Awesome 	 stay swissotel 25th anniversary . get corner room lake city view . room clean spacious . staff extremely friendly helpful . ask late checkout , tell problem . bring car , park millinum parking 2 block away . cost $ 14.00 compare swissotel $ 41.00 . 
 Nov 6 2005 	 nice 	 Swissotel Chicago excellent hotel . got room Hotwire $ 136 + taxis ( total $ 160 ) . usually care hotel bed , bed one comfortable bed ever sleep hotel . room big bath shower separate . great location , right next Millenium Park . would always park Millenium parking garage , $ 16 / day , compare $ 41 / day valet parking . friend Hyatt , right next swissotel wait 45 minute get car valet . 
 Sep 23 2005 	 overrate ! ! ! 	 husband travel quite bit return home Chicago vacation . love city impress Swissotel . employee rude we care treat respect . upon arrival room find tv properly work would begin make awful noise channel 3 - 4 minute . call request someone look tv replace allow we move another room . told & quot ; engineer & quot ; would look one ever show . needless say spend 4 day bad tv annoying say least . room okay stay much nice much less money . package advertise free internet access find offer internet access $ 9.95 / day ! also read welcome book local call free charge 2 local call make check ! , think hotel HIGHLY overrate much nice hotel offer less money downtown Chicago . be look nice , plush place stay , keep look spend money elsewhere . 
 Sep 14 2005 	 Swissotel - great place stay . 	 read alot hotel review Tripsaver , wife like people say Swissotel . book three night stay first week Sept. disappointed . beautiful lobby , freindly staff , spacious room , impressed . view room spectacular . overlook river , lake Navy Pier . walk distance everything want see . Millenium park [ love bean ] , Mag mile , Rush State street , Navy Pier [ lunch Bubba Gumps ] . also dinner one night Palms Swissotel . food excellent . plan come back Chicago Christmas season shopping see decoration , yes , stay Swissotel . GREAT city ! ! ! ! ! ! 
 Sep 11 2005 	 swissotel package fine value 	 spend last weekend Swissotel delight service , view amenity . purchase package include wine cheese upon arrival , two breakfast buffet next morning , reduce price parking . wine cheese tray outstanding . include nice variety fruit cheese include Brie , even dry apricot carmelize walnut . room spacious include two comfortable swivel desk chair , addition easy chair ottoman . return pool spa 42nd floor , move desk chair front window , put foot ledge , enjoy Navy Pier firework display comfort room . maid provide turn - down service also turn radio , & quot ; take Five & quot ; accompany firework . GREAT ! next morning extremely pleased variety quality breakfast buffet . breakfast walk two block Millenium Park . total cost package tax parking $ 265 . think wonderful value , intend return . 
 Sep 9 2005 	 Swissotel Awesome ! 	 Beautiful Hotel right water . late night walk can not beat . close everything . staff extremely friendly helpful . go back stay . 
 Sep 8 2005 	 Winner 	 second time 2yrs stay , first trip lone female return home yesterday spend week 80yr old wheelchairbound Mother delightful spot . the hotel staff great , always hand help . wheelchair accessible room excellent terrific view lake . weather mid upper 80 's whole week love Chicago time year . stay another downtown hotel May year , swiss win ! ! ! room spacious clean . even busy Labor Day weekend , always room elevator lobby . certainly return ..... without MOM 
 Sep 7 2005 	 home away home 	 stay least 8 - 10 time last 5 year . one favorite city hotel . great view , bathroom ( 2 executive suite ) , room service . never problem service personnel . about 2000 pace store magnificent mile , quality hotel makes slightly long walk acceptable . word wise -- avoid room end 11.the headboard back high speed elevator shaft whiz night . 
 Sep 1 2005 	 good VISTA + 10 - 15 min walk Magnificent Mile 	 like location . know city good look city twice visit . , recommend tourist although set impress business traveler equally . I remember staff friendly us visit . room 100 % clean acceptable complain view room compensate minor problme might overlook . Chicago Windy City definitely feel get in / out hotel- bit walk loop train close bus stop still 5 min walk . chilling ! location good close Millenium Park one huge construction go next hotel bother we big noise / dust come . swissotel say website , well rate hotel disappoint . , verdict 5 5 . 
 Aug 18 2005 	 Loved Swissotel 	 husband stay Swissotel 2 night . get $ 100 night Hotwire put we 20th floor great view . check - in check - out easy . parking expensive $ 40 night , take advise people Chicago forum park Millenium Park garage $ 20 night . 5 minute walk away . Michigan Ave . close Navy Pier 15 min . walk away $ 6 cab ride 2 people . pool hottub 42nd floor awesome ! great view relax long day walk . close already 9 pm though . bathroom impressive marble tile separate shower bathtub . overall , good stay ! would definitely recommend Swissotel ! 
 Aug 15 2005 	 Satisfied Stay 	 wife recently spend night hotel booking room Priceline . little nervous reading review regard attitude staff , especially since book room discount site . worry put rest minute pull front hotel turn car valet . service experience top notch everyone extremely pleasant . check - in check - out quick painless . room 9th floor partial view lake . room clean bed comfortable . initial booking Priceline call request king , non - smoking room willing give we . the location hotel close shop Michigan Ave short walk Navy Pier . definately stay would recommend hotel other . 
 Aug 11 2005 	 comfortable - great stay 	 spend 2 night Swissotel Chicago business trip . room big , clean great view Navy Pier . bed perfect . sleep well night . the Palms restaurant hotel one top rate steak house Chicago . eat last night food service top noch . the negative thing say hotel lobby smell like bad ashtray . hand room fine problem . 
 Aug 4 2005 	 great hotel wonderful experience 	 reading review , see room stay make difference . unfortunately , remember room stay though think around 8th floor overlook water . I great experience quality lobby , quality room , view , room service , food . restaurant eat Palm , hotel , well know high quality . disappointed . delay receive order make deliver dessert free . think bathroom particularly well - appoint , clean roomy . worth money . 
 Aug 3 2005 	 good Choice ! 	 stay Swissotel - Chicago five night July 2005 due international conference Chicago . stay special rate Swiss ( $ 179 per night tax - accommodation ) . conference participant stay Fairmoth other stay Hyatt Hotel . Swiss Hyatt great location near Madison Avenue , station city bus tour boat ride ( canal ) . Hyatt Hotel seem like " human factory " due massive conference group . time , find river crowd Hyatt . matter , Swiss seem much well . even completely immune ! positive side , room spacious partly canal view . ( see partly another building ) well maintain room : work table , big tv , large closet , iron set . bathroom spacious , large marble big shower section . housekeeping wonderful . elevator quick . on negative side , disappointed breakfast section . seem pretty small big hotel . crowd . go breakfast first try . term concierge Swissotel , expect much ! frankly Hyatt ' concierge seem efficient helpful . refer Reception , guy seem helpful . however , request wake - up call early flight New York , somehow forget set wake - up call . therefore , need wake - up call , set mobile phone alarm safe side ! Madison Avenue beautiful . try Grand Luxury Café . good ambience . city . definitely put Chicago favorite city US , together NY San Francisco . overall , pleased stay Swissotel Chicago . would hesitate recommend friend circle . book Swissotel - Chicago , rely positive comment tripadvisor user . thank feedback comment . 
 Jul 28 2005 	 Nice Hotel 	 book hotel / airfare package United Airlines . get great price hotel airfare , leave suspicious hotel accommodation . pleased hotel ! room nice view , good , nice ! real complaint room elevator , even loud ! room clean well keep ! concerned hotel staff would kid friendly , great ! bring extra robe child upon request ice machine break surround floor around we , hotel staff go get ice we ! night prior departure husband call find business center print boarding pass , closed day . staff answer phone happy hang around could complete business . overall , stay pleasant would consider stay . 
