Classy 	 room clean , comfortable , quiet large working desk spacious bathroom separate stall shower toilet area ( much like find Ritz Carlton ) . highly recommend business traveler -- central location room conducive working . leisure traveler , hotel connect Nordstrom mall central tourist spot . , love Conrad slipper ! 
 great location weekend getaway 	 husband stay Conrad three night follow wedding sort & quot ; mini - moon & quot ; real honeymoon November . live 2 hour away Chicago , ' ve stay many hotel downtown past , want something little different special wedding . Conrad perfect -- -the location great walking everywhere , intimate feel , great rooftop bar get swanky drink dinner . drive get tip bellman parking across street Nordstroms cheap valet parking . not drive take cab whole three day , everything want go within reasonable walking distance . definitely plan come back future anniversary weekend trip . 
 Jul 25 2006 	 Amazing 	 family get back Chicago morning go ahead write review little bit spare time . sum , hotel amazing . staff extremely friendly helpful . go way make sure comfortable provide we tip get around store could not miss . location great , right near Michigan Ave , Grand Ave Rush st . problem get hotel give we room king bed instead two double . call front desk someone come within 5 minute bring we different room . first room 6th floor nice , radio play soft music bathroom shower deep bath much wished could use . move 16th floor extra charge also nice room . huge plasma screen tv , complimentary fruit platter Evion water , issue GQ , VOGUE , helpful travel magazine nightstand letter address we welcome family wish we nice vacation . bed fabulous get good sleep get month ! bathroom spacious shower superb ! deep bath , ok . view beyond nice , one side Michigan Ave side Rush st . window open tiny bit could look , far enough kid could fall ( good thinking part ! ) . walk everywhere take subway twice cab airport hotel easily accessible . Westfield mall connect hotel giant Nordstroms , lego store , forever 21 , sport store , Hugo Boss , Sephora , food court cute Chocolate lounge . get room GREAT rate since business meeting , go back Chicago definitly try stay Conrad ! 
 Jul 20 2006 	 like conrad 	 aside charge bogus $ 500 business center fee , & quot ; body paint & quot ; model lobby , ok . friendly staff waaaaay overprice accomodation . hard get around family hotel . 
 Jul 17 2006 	 Country come Chicago 	 travel Chicago daughter son - in - law see King Tut . sister Baton Rouge meet we . delight Conrad . lobby beautiful . staff friendly helpful - Victor find lose luggage , concierge super , bell man attentive always friendly . bar tender awsome . room lovely expecially spacious bathroom . personal touch plesant surprise . nice place super location central everything , walk bus . would stay . 
 Jul 10 2006 	 stay 	 well , use Le Meridian Hotel , change bad . keep remind booked package , over - charge separately everything , include . suppose champagne room upon arrival , . two phone call three hour later , finally show . try drink bar , even though people , three server / bartender come go , talk , one acknowledge we . ten minute leave hotel go street drink . not bother pay extra & quot ; City View & quot ; ; may get view sixth floor , look across street directly plain brick wall - could see . oh yes , valet lose cell phone someone 's car , call home today see find . want call back home . nice hotel give personal information staff , huh ? money , stay hotel Chicago price - point much much well . 
 Jul 8 2006 	 wonderful hotel - perfect ! 	 pleasantly surprised hotel ! get Chicago night early have plan , could not get room Sheraton , reservation stay rest week . make online reservation Conrad hotel without see picture , arrive Chicago amaze wonderful hotel . two small daughter , 2 4 , staff wonderful , even send milk cookie room first night . first night , cancel reservation Sheraton love Conrad much . be attach great mall ( Lego store girl play ! ) location hotel perfect could - right Chicago River Michigan Avenue , across street Chicago Tribune Building block Wrigley Building . perfect experience , everyone front desk bell desk room service employee fantastic . never expect great time hotel LOOKED like have nice we stay little one ! , great price ! pay almost $ 150 less per night would pay Sheraton ! ! ! Conrad great , save we ton money ! time return will stay Conrad ! 
 Jul 7 2006 	 Great Hotel 	 stay 3 night , July 4 - 7 . victor upgrade room view charge . smoking room ( request ) hint smoke . room nice clean . big beautiful bathroom , everything could ask . staff helpful courteous .. great location . call hotel direct booked room 167.00 night . robe , slipper , turn service , bottled water provide . first time Chicago , first time stay Conrad . husband please great trip . great hotel . 
 Jul 5 2006 	 great weekend 	 stay Conrad weekend July 4th . wonderful stay . hotel great service location . make reservation 10 day stay . twice able rebook low price prior arrival . executive king room . bed make difficult get morning , comfortable . often stay hotel quality $ 200 / night . 
 Jun 22 2006 	 definately come back 	 reserve hotel room use Conrad hotel 's website & quot ; net - only & quot ; advertised price . location time year ( summer , Friday night ) feel $ 150.00 steal ( normally $ 375 ) . nervous would stick dingy , room since pay little . well relieved find room immaculate . king size deluxe room beautiful . bathroom terrific . attention detail expectation . staff concierge doorman helpful super friendly . hotel aura not feel pretentious . staff always willing help make stay superior . call schedule late check - out problem . hotel absolutely beautiful . lobby area comfortable - contemporary . terrace relax . within walk distance Mag . mile , great place eat . short inexpensive cab ride ( ave . $ 10.00 ) museum area attraction . happy stay look forward come back . sure satisfied stay . 
 Jun 20 2006 	 great Stay Conrad 	 stay Conrad wonderful . hotel beautifully decorate room luxurious . one good part stay central location Conrad almost everything interest Chicago . able walk Millinium Park , Art Institute , shop South Michigan Avenue able walk North Oak Street , historical Water Tower great shop along way . another important observation staff friendly accomodate . make towner feel welcome 
 Jun 20 2006 	 Conrad deliver Far Promises . 	 back three night Conrad , say complete confidence single good hotel stay ever anywhere time . read review carefully , do homework place bit leery & quot ; tired & quot ; & quot ; worn & quot ; comment see . worry entirely unfounded . room ( fifth floor opposite elevator ) feel brand new . bed incredible . bathroom nothing short astounding size amenity offer . Conrad 's website not show many picture likely get room , give bit pause come time book ; one hotel deliver far , far description picture promise . a big part perfect hotel stay attentiveness staff , Conrad deliver spade . even bell hop able provide solid advice restaurant , shop opportunity available neighborhood . conceirge able manage thing single phone call -- include hand ticket King Tut exhibit allow jump line walk right . superb . in term location , Conrad exceptional . one entrance open Rush Street taxis easily . open Westfield NorthBridge mall onto Michigan Avenue Mag Mile . literally , showiest good Chicago offer right outside door . perhaps criticism one true high end hotel : everything breathtakingly expensive . two glass wine plus tip easily top twenty - five dollar . wine plus nice dessert fresh berry stunning terrace ( try snag couch one bed ) push forty dollar . understand hotel manage make bottom line , often feel mercenary soak guest relentlessly . finally , tip would stay amazing hotel : call reservation line personally . rely website one discounter well possible rate . call seven day arrival , able secure rate $ 180 per night ( be less half go rate , marginally three star property area charge ) .When Chicago , , Conrad place stay . 
 Jun 8 2006 	 wonderfull time ! staff good . 	 travel work time decide swing Chicago day vacation meeting Northbrook . say Conrad staff customer service . ' find one thing stay less 5 star . go way treat we like royal family . want see King TUT exhibit last minute … no problem , concierge " time " vip ticket right . zip past line right exhibit . boat ride , restaurant advice , anything need could help . outdoor lounge relax drink long day sightseeing , tenderloin appetizer die . breakfast dining room every morning , great fresh coffee make table side , fresh orange juice , excellent egg benedict , crispy bacon , attentive wait staff actually volunteer turn music bit think going bother we . WOW ! suite nice huge bath towel every amenity could think . good time ! ' wait go back . 
 May 30 2006 	 Caution business traveler expect work rooom 	 another reviewer mention uncomfortable work situation in - room desk . desk chair like arm chair mean tv watching , working desk . way low , arm reach desktop work laptop 6 - inch thick seat cushion deflate pancake sit . excruciatingly uncomfortable . make stressful business trip even bad -- opposite good business hotel do . there meager buffet go breakfast ; la carte . despite several jar jam table , butter ; none buffet , realize make toast . course take five minute get kitchen . such shame asthe hotel rather nice ; staff could not kinder helpful . decor little past interesting somewhat strange . kind like somewhat Disney 's vision high - end tomorrowland . keep want like hotel 's kind high - end , small hotel like , make hard . would never go back . for price pay -- - $ 260 -- think much well Chicago . 
 Mar 19 2006 	 Friendly Staff 	 stay conrad sister . treat like family . request ask staff go way help we . ask late check problem . could belive howbig bathroom . room modern looking . look forward next visit conrad . 
 Mar 12 2006 	 great location 	 travel professional , practically live hotel , impressed staff Conrad Chicago . from first contract bellman , everyone universally helpful friendly without patronize . our corner suite great view John Hancock Building look far north could see Lake Michigan . furnishing bit worn , bed wonderful bathroom , large well - design . the staff great job take care family ( use Hilton Honors reward voucher pay room ) next time stay downtown Chicago , hope stay Conrad Hilton . ( also connect Nordstrom 's shoppng mall convenient . ) 
 Feb 6 2006 	 Loved Conrad ! ! 	 stay Conrad Feb. 3 - 5 excellent . room nice clean , clean staff always make sure need . doorman beyond great , always help way could . even make arrangement sedan drive we airport little cab would cost . concierge also helpful print borde pass ahead time we . whole staff hotel friendly eager help way . not even time change Conrad amenity yet , still find stay excellent definitely go back ! yes , change elevator get room , not find big deal . great staff , great room , great location , great hotel . 
 Jan 3 2006 	 Flag Change Smooth 	 live Chicago frequent occasion recommend hotel friend business acquaintance . recently put candidate ( family ) recruit company Conrad . good luck hotel Le Meridien . disappointment concern Conrad . plus side , guest able check early problem generally like room . on downside … they learn fact room two bed bath tub ( shower ) . guest move room bath tub find hair , clean themselves . when coffee bar caffeinate coffee guest ask , tell would deliver immediately . call 30 minute later front desk admit " forget . " concierge doorman quite helpful , guest tell we front desk personnel sullen unresponsive . guest generally whelm one " five good hotel Chicago . " conrad long way go compete Four Seasons , Peninsula Park Hyatt . 
 Dec 25 2005 	 one Chicago 's BEST ! 	 travel industry 13 plus year travel extensively Conrad Chicago one good hotel ' ve stay ... throughout stay impressed quality service provide . staff , front desk room service treat like V.I.P . would recommend Conrad Chicago anyone lokoe simply good . fantastic job . 
 Dec 4 2005 	 disappointment 	 spend 3 night Conrad read recent review know change management etc . , concerned . party 3 room ( 6 people ) must say pleased aspect hotel . location great , bed great , contrary review , staff could friendly accomodating . room common area clean , functional , comfortable . stay many property Michigan Ave . , 4 5 star , base experience , Conrad disappointment . dine site solely great variety restaurant block two away . elevator little quirky , i.e . lobby fifth floor , change elevator go room , big deal . highly recommend property . 
 Nov 18 2005 	 Conrad Disappointment 	 Conrad Hilton recently take property fail Meridian Hotel . seem Conrad inherit hotel property not work . the entrance difficult find . two elevator take lobby . result , often line wait . problem affect guest room elevator locate beyond registration area . go hotel couple time stay , find poor elevator layout annoying . king room would consider small compare Chicago hotel . although like modern design , room quite stark cold . also show quite bit wear tear . bathroom good part . anyone management try sit chair work desk ? uncomfortable set - up ' ve experience . view non - existent room . city amazing vista , disappointing . see couple walk hall management try find room acceptable . room service breakfast highlight stay . excellent food high quality presentation . sorry could not write well review . would stay ? . Chicago incredible hotel one . 
 Nov 16 2005 	 Excellent Hotel location 	 recently stay Le Meridien Hotel rename CONRAD CHICAGO ( part Hilton Family hotel ) November 10 -- 13 , 2005.this hotel wonderful ! staff extremely friendly helpful . check easy . lobby locate fifth floor easy access . location can not beat ! Norstroms attach make easy access many shop . room large clean . superior room two double . view not great ( 7th floor ) not view . ask towel immediately bring room . the hotel within walk distance many great shop North Michigan Ave well many attraction . do hestitate stay ! enjoy . 
 Nov 3 2005 	 friendly hotel 	 arrive late Chicago , due thunderstorm O'Hare , wonder room would still there . on arrival , room still wait ! - reception staff friendly helpful , hotel ever to . travel UK , leave behind travel adaptor , bellhop soon look one we . also , travel coast Lake Michigan convertible car leave Chicago , enquire hotel could recommend private storage company could leave golf club surplus luggage -- fly back Uk Chicago 1 week later . no , problem reply - leave free charge . so , overall , great value , great location good sized , clean room , exceptionally friendly staff , include doorman . having travel extensively , always find fault look long enough , genuine welcome receive Le Meridien worthy comment . 
 Oct 31 2005 	 not bother 	 plus side , be pretty good location ( magnificent mile ) , room clean . otherwise , find hotel deplorable . certainly 5 star hotel . service bad- really bad . first , little issue find hotel , direct friend lobby , well . locate second floor mall- 's entrance . arrive , bellman offer take bags- instead , quickly tell we could park car 10 minute , check . ' hello ' , ' welcome ' , offer valet service help bags- husband travel 2 month old- clearly need help . after get check desk ( locate ho - hum , ungrand lobby ) , complain bellman downstairs , ask , get valet service bag bring upstairs . room decent ( except previous tenent draw wall bathroom , linger odor sewage 4 night ) . bed clean , honestly , Sheraton $ 100 much well bed . come , be pretty despicable thing say- stay 5 star hotel whenever possible . for $ 399 night , expect 2 pillow bed , little things- sewing kit , cotton ball , etc . detail , free classy hotel , available ' upon request ' . room service stop 11 pm . , get like ham sandwich , roll , fruit . be pretty crappy . bellman never open door we . instead , maneuver stroller , umbrella , open door , employee stand there . there ' good afternoon 's anyone . fact , front desk employee speak minimal English . Umbrellas offer available . upon checkout , wait 20 minute least , call twice , give wait bellman retrieve luggage . instead , shleppe baby many piece luggage way downstairs . five star hotel , never stay . ' m sorry ever leave Ritz- always treat right . 
 Oct 27 2005 	 good price great location clean room ! 	 short review help anyone interested hotel - the hotel great location Rush St. next Michigan Ave . 1 minute walk great shop Magnificent Mile . there walkway mall lobby not go outside want quick shopping . room nice- view not great , price fabulous hotel location Chicago . room clean , wall little dirty hand print . rendevous bar quaint great martini ! everyone friendly help we anything need . if want 5 star hotel spectacular view , try Ritz Carlton Peninsula . pay much . hotel perfect anyone want clean place sleep good price great location downtown shopping . 
 Oct 26 2005 	 ` ` Home '' Chicago 	 son live Chicago , visit several time year . Le Meridien stay every single time long rate around 200 dollar less . location great . right Michigan Avenue within Nordstrom 's North Bridge Shopping & quot ; mall & quot ; . Le Meridien eleveator fifth floor , go straight mall / Nordstrom 's without go outside . also go straight Wacker Ave./the cross street take straight Navy Pier . low level , plenty excellent restaurant like Joe 's simple place eat like Cosi . 's good 10 15 min walk Water Tower Place North end Michigan , also close Loop , Millenium Park , Chicago Institute Art , River ( architectural boat tour , etc . ) .The room nice . nice size , nice decor , good bed , great big bathroom big glass - in shower ' room ' tub - marble vanity , etc . par Westin Omni . be well Marriott next door . front desk sometimes little standoffish . comply wish , though , generally helpful . another reviewer note , local phone call charge unique . ' m sure be $ 1.5 / min local call . think 's $ 1.5 per local call . book business rate , though , local call free . clearly find charge first . course , always use cell phone . really like Le Meridien . 's great 's North Bridge shopping center b / c weather hot cold , still go ' out ' Nordstroms Cafe yummy coffee ( new Nordstroms ' diner ' 4th floor ? ) Nordstrom 's Spa open , course , go shop . location along Michigan Ave . pretty perfect ; everything Chicago quick taxi ride avg . walk away . room quiet , well appoint , nicely airconditione / heated , good housekeeping , bathroom . rate start go around 300 , might start feel like get money 's worth , though . 
 Oct 24 2005 	 Great Location 	 stay LM three night October 2005 . take redeye pleasantly surprise able check 6:30 a.m. additional charge . lifesaver we . location awesome - - ' even go outside get Nordstrom mall . downside fact charge internet ... pay $ 13.00 one day ' access , ' end world , friend stay four point Sheraton ( also nice good location - bit cheap ) ' get charge internet access . overall pleased . 
 Oct 15 2005 	 good location hotel 	 arrive back three day trip Chicago stay hotel . find hotel clean throughout good size bedroom bathroom . quite nice bar area drink snack although expensive pay $ 11 plus tip small glass wine . staff helpful , efficient pleasant . complaint want check email internet asekd reception get lap top not could go business centre 8th floor would charge . get charge $ 40 intial use . amount would take credit card . I travel lot stay good hotel never ask amount short surf net . hotel good location shopping , locate Nordstrom Shopping Mall Michegan Avenue also within walking distance Navy Pier main attraction . arrival Chicago airport get Continental express downtown one way come back airport get taxi . add taxi difference $ 10 well transfer - stop hotel . Chicago great airport hang around length time - basic shopping , restaurant bar mainly locate outside security area . go back Chicago would stay especially location . 
 Sep 29 2005 	 Fleecing america 	 book 4 night stay late September , ' 05 , & quot ; executive & quot ; room , $ 399 / night . on positive side , location ideal Mag Mile shopping , room spatious comfortable . public area well decorate . on negative side , service deplorable . make less 5 trip front desk first 2 day get second key card would open door . never offer save trip deliver room , even though ask one occasion . front desk clerk say would accompany room make sure work , disappear rear reception area ... never see again . there choice sleep cover heavy comforter sheet ; blanket room . request blanket place bed turndown housekeeper . leave fold comforter install . the bad thing , outrageous actually , discover small pamphlet desk drawer list charge internet access , etc . use dialup connection interested local telephone charge ; local call $ 1.50 ... ( get ) ... per MINUTE ! ! . quite sure printing error , call front desk . , tell , error , gave break 60 minute ... 10 cent minute ( spend $ 90 ) . needless say , dared even look phone . I cancel remain 2 night , move Ritz - Carlton block north . stay delight . local call $ 1.00 , period . 
 Sep 21 2005 	 Outstanding 	 husband stay Le Meridien long weekend , great time . hotel good location everthing easily accessible . staff extremely helpful , give lot information answer question ( although tell wrong time firework Navy Pier , miss ) . room large , bed comfortable . would highly recommend hotel . 
 Sep 14 2005 	 5 star stay 	 friend fly chicago convention . reserve room meridian chicago online . arrive , pleasantly surprised number thing . staff meticulously dress , polite helpful , foyer stunning 's decoration . accomodate we change room kind sized bed , two double bed . problem . room luxurious . linen cover pillow bed fine cotton , sparkle crisp , beautiful . furniture gorgeous decorate theme lovely . stay wonderful . recommend meridian luxury hotel . 
 Sep 7 2005 	 Nice Great Location 	 satye LM 2 night great stay . able check early . upon enter room notice clean hope . call front desk give new room right away , much well view . try get room 15th floor high . away center ( elevator ) well view Michigan Ave . room large , decorate nicely large picture window . bathroom also large walk shower seperate toilet . outdoor patio lobby great quiet cup coffee . staff front desk helpful . charge snack fridge . not actually eat , nephew move original locatin put back . front desk problem take bill . lm great location , espically navy pier . 10 min walk . also mall attach hotel great . Mag mile right . certainly return LM Chicago . 
 Aug 29 2005 	 Superb 	 look great hotel , Le Meridien . right middle action , nice staff , nice room comfortable bed . room little small thought money , bathroom spacious . room clean . nice huge bathsheet , comfortable slipper . Turndown service request , worth . allow check early check late , without hassle . great staff , great location . 
 Aug 26 2005 	 Excellent value 	 enjoy stay business trip visit , book five night stay family 's first visit Chicago August . fund unlimited , would book Peninsula , without doubt fine hotel ever stay , Le Meridien make easy offer terrific rate two room slightly convenient location block South Magnificent Mile therefore close Museums sight want see . true room great view . one , not . view Lake architectural grandeur Chicago must , well choice . money , think Meridien terrific value . instance , Ritz Carlton , stay previous week , beautiful hotel lovely view . also $ 100 per night . room well sized bed comfortable ever sleep , envy . also extremely quiet . short , 's comfortable hotel great place seek unwind . bath large luxurious ; bath double bedded room contain bath shower stall king room traditional bath / shower combination . huge bath sheet supply instead bath towel . poster note , primarily business hotel , never exerience problem service travel family four , two teenager . contrary , staff unfailingly polite helpful . print we boarding pass without hesitation . concierge desk , must admit , strangely operate . seem whole day unstaffe . ( maybe be french August ) . since desk staff able assist inquiry , oddity prove problem . need frequent easy access true & quot ; concierge & quot ; , Le Meridien may let . hotel within walk distance number good restaurant original Pizzaria Uno ( sible Due ) around corner thing . convenient fact never eat hotel never eat restaurant twice . understand negative comment confuse lobby entrance . yes , take elevator street level lobby . security feature . respect different many hotel , include Ritz Peninsula Chicago . would never use entrance mall unless specifically desire go mall . would think would find add convenience . in , pleased would hesitate return . 
 Aug 25 2005 	 Great Hotel 	 son stay 4 night . 's location great , walk distance shopping eat . attach department store Norstorms mall . good food court interesting shop . also easy obtain cab bus museum . Chicago friendly town . staff attentitive hotel curtious . bed oh comfortable . 
 Aug 25 2005 	 lovely hotel 	 Love atmosphere hotel , quiet , center city , friendly staff lovely room . bed marvelous . stay month would love return soon . 
 Aug 21 2005 	 Great Hotel quiet understated luxury .. 	 friend check hotel , visit hotel Magnificent Mile compare see miss anything . nope . hotel fantastic location , adjacent huge mega - luxury mall . great place stick rain oustide time kill . subtle luxury like comfortable pillow world . light Double Occ bed dimmer guest disturb light ! ! ! everything look new clean , recently build . the negative main lobby bit plain - Jane . might even recognize lobby , not grand lobby appearance . nothing hotel go make jaw drop , good place stay money far ' m concerned . ' m head back September . 
 Aug 17 2005 	 sleep well Le Meridian 	 Calgary Western Canada first trip Chicago . read hotel review book Le Meridian . disappointed . check ask would like upgrade room extra $ 25 per night decline . 9th floor view ok not spend much time room . must admit little disappointed saw room - color scheme neutral not seem wow expect virtual tour Expedia . however look around realize superior room . bathtub make - long day walk great come back soak , towel oversize robe provide . business hotel quiet - never hear door slam husband good sleep ever comfortable bed beautiful linen . agree reviewer entrance - take two separate elevator get room also pass bar lobby reek cigarette cigar smoke . location great close action . fine dining would recommend Blue Water Grill ( hip happen restaurant - lot action ) great seafood live jazz upstairs , italian - Coco Pazzo Cafe , course gibson steak ! restaurant within walk distance Le Meridian . 
 Aug 4 2005 	 great hotel 	 choose Le Meridien base review post dissapointed . four star quality around $ 200 night good find . staff helpful everything clean . fact , clean like first one stay room . lobby 5th floor little quirky , big deal . hotel close everything ... shopping , dining , two block walk El . would stay heartbeat ! 
 Aug 1 2005 	 great hotel complicated floor plan 	 return conference hotel . read multiple review less - than - enthusiastic service , prepared underwhelme ; could not less true , least . everyone gracious helpful . stay hotel , go lobby ( 5th floor ) go another bank elevator reach meeting room . lot shopping ( hotel connect mall Nordstrom 's ) great restaurant nearby . 
 Aug 1 2005 	 Quietest Hotel ever ! 	 great deal research check online review choose Le Meridien five night visit Chicago . book directly hotel chain find good rate available . rate could call bargain , feel well worth price . request non - smoking , quiet room give . five night stay never hear plumbing , tvs voice room . near Michigan Avenue hardly hear sound . window open nice option . smoking still permit public place city keep we use bar lobby , comment city hotel . room heavenly offer cleanliness , comfort , luxury quiet . basic room sense crowd . bathroom great , particularly extend stay , drawer cupboard addition long granite counter . never use tub year travel , always prefer shower , could not resist one . deep comfortable great water pressure fill quickly . front desk staff try helpful always pleasant . concierge often absent desk unavailable print material hotel hand . cost use phone problem try keep cost $ 1.50 per local call 60 cent per minute would add quickly . front desk call make reservation we great . main entrance Grand Michigan lobby fifth floor . access Michigan via shopping mall probably big annoyance since elevator slow . location perfect shopping use public transit walk many popular place visit . visit city would stay Le Meridien . 
 Jul 23 2005 	 Best Place town 	 Stayes last week 3 night . good hotel ever stay . staff friendly , clean room , great view . reception , Door Bell staff friendliest ever meet . go back 
 Jul 23 2005 	 do not use telephone bother comment card 	 Stayed end May 2005 . room size ok . nice view slab concrete room . ask twin room give double ! air conditioning make constant backgound din . we travel Bellagio Las Vegas make one call room make sure go twin bed available due mess Meridien . telephone two three minute . charge nearly $ 14 , include $ 10 connection . , use London call cost nothing compare rip . complain receptionist seem agree able anything . I think , let fill comment card let know day age . thought might get reply try justify cost , know , equipment maintenance cost etc etc . never recieve reply . oh well . last time stay Meridien . Bellagio fantastic . 
 Jul 5 2005 	 want love Le Meridien 	 want love Le Meridien . love part . allow check early Friday July 1st , nice stressful busy travel morning . Rush Street doorman always nice helpful . lobby bar beautiful . love whimsical painting lobby . room beautifully decorate ; contemporary light wood furnishing , white duvet linen , neutral carpeting . bed die . Slept like baby night stay . bathroom lovely , granite countertop oversized shower ( tub room ) . separate toilet nice , exhaust fan . 's city , be go get view neighboring building , could see bit Michigan Avenue Rush Street vantage point 12th floor . location ideal . negative minor , give Le Meridien another chance , mildly disappointing thought bit . one 2 sconce bathroom burn , might seem minor , make bathroom rather dark difficult apply makeup , etc . leave light left morning , hope housekeeping would remedy , not , call 2nd day . low - maintenace type , call make , say would send someone , head bar , not replace light . remove light bulb never come back . maybe something wrong fixture , not mention , would ' ve nice . leave think huh , not fix one minor thing ask . thing drop pillow pick , hair would care see . kind gross , make wonder thoroughness vacuuming job clean general . front desk people friendly , much , be incidental . breakfast last day , waiter somewhat curt , pretty much mirror comment Zagat 's . bartender nice , remember we , make mean drink boot . Checkout noon , stow bag wait Rush Street entrance . tired end weekend go take cab back airport , doorman say sedan would take we Midway flat fee $ 40 . be easily $ 30- $ 35 cab , be stick Taste Chicago traffic , nice way leave Le Meridien , via Lincoln . will definitely give Le Meridien another try , since negative minor ... 
 Jul 5 2005 	 well customer service motor vehicle department 	 husband stay Le Meridien July 1 July 4th . book website $ 159 night . everyone check process friendly helpful . desk people seem France French accent . room : small . view non - existant . bed comfortable , linen duvet cover high thread count great quality . always please duvet cover not worry grime , hairs body fluid comforter cover launder age . pillow comfortable plush . room paint pale yellow tasteful picture wall . furnishing blond wood brush silver handle . modern . along bedside lamp track light adjustable brightness make read much pleasant . like TA poster , love mirror hallway . decent sized closet hallway iron ironing board . room well insulate . never hear noise hallway neighbor . city noise impossible block , overall , quiet . the Bathroom : Sublime . large functional . seperate deep sit tub actually lumbar support . large granite counter top Grohe fawcet . wonderful , thristy , huge towel . bathroom behind seperate door . stand shower average . beautiful torche sconce either side mirror create rather flattering lighting . soap dish shower product set elegant silver Nambe style plate . the hotel great location . right behind Nordstrom 's . entry confuse hard find . 5th floor . Sat . evening concierge pleasant helpful . thing change Sunday . since check 4th July know airport go madhouse . call front desk ask via online print boarding pass . hotel nowdays . act pick nose . instruct go business center bring credit card . tell absurd . brush onto concierge say sometimes service good time would call back . never call back . call , french accent go ! say busy forget ask morning flight & quot ; 150 people check & quot ; . caved go business center next morning . $ 15 minimum $ 1.50 print boarding pass . check kind honor bar charge assess room , include ' intimancy kit ' . staff prompt eliminate charge . suprise see local call $ 1.50 . even suprise front desk quiet line . concierge nothing ! would stay , unlikely . get impression interested business . observation lobby , bent backwards ensure perfect stay book high end room . guess true place ; however , blatantly face obvious bias . 
 Jul 5 2005 	 Le Meridien Le Perfect Location Year 	 recently return four day three night stay Le Meridien , ' ve get say - perfect location good deal , hotel go . service great - help we get baggage car taxi driver not help we put baggage car taxi driver not . also request dental kit stay daughter forget toothbrush deliver matter minute . numerous amount kit available free charge - shaving , dental , sewing , etc . location - mention ( hehe ) - perfect . view room onto road perpendicular Mag Mile , bad . entrance Rush Street , believe , one mile . elevator system bite confusing though - one right reception desk take Rush Street Lobby , one restaurant take room , elevator hall past bar take adjoining mall . wonderful & quot ; chocolate lounge & quot ; - Ethel 's chocolate lounge - ground floor mall go ! delightful chocolate ever - suggest Earl Grey truffle , honey truffle , pistachio truffle . american Pie also good . oh , love ! hotel within 15 - 20 walking distance ( usually way less ) lot major visit point . , room wonderful - bed soft , bathroom clean , furniture contemporary . hotel , two & quot ; complaint & quot ; - european attitude towards smoking prevalent , bar / lobby sometimes hard breathe . hallway seem fine , though . also , warn - touch / remove anything mini bar automatically add item bill , not take unless want buy . $ 30 rack soda cost , take one word - sorry ( hey , even though mess , service still impeccable ! ) . not , check bill , case . overall , love hotel definitely visit come back Chicago . 
 Jul 4 2005 	 okay 	 really , really , want write negative review Le Meridien . one favorite choice Chicago , base Tripadvisor review , somehow leave bit disappointed big question mark head . upon check , advise first visit Chicago also birthday weekend . recieve happy birthday wish anything . assign room 9th floor west view ( think rooftop uncharme building ) . room clean clean smelling . smoky dusty moldy . bathroom sparkly clean though minor mildew sighting shower . really expect . one robe bathroom old use look needed bleach . use it . the furnishing give feeling spring -- light bright citrusy ( blond furnishing , light green carpeting , light yellow wall ) . love huge wall mirror closet . receive newspaper morning room clean day . turndown service provide two night . the bathroom one large see date -- deep soak tub , long / huge single counter , doore toilet -- make question shower roomier . really , really expect much , much Le Meridien would probably give another try , another city . 
 Jul 1 2005 	 good location 	 Meridien good location majority staff friendly helpful . room comfortable , clean spacious . however , advise ask english Breakfast Tea breakfast , although supply complimentary beverage tray bedroom , tell breakfast - fruit tea . rather frustrating know 's building ! make fuss will find . pity lasting impression good hotel . 
 Jun 17 2005 	 great 	 's cost . pay top dollar expect pretty good . find reception desk staff little sniffy like . not friendly phone rang speak , would walk away take call . Most room one side hotel floor 12 13 upwards tolerate extremely loud air conditioning machinery locate rooftop right outside . wear earplug night drown noise out . on plus side , room comfortable bathroom sizeable , although also stay Sofitel room much nice lot cheap ! not think would stay Meridien . 's nice hotel , not live high price . 
 Jun 10 2005 	 nothing excellent service 	 arrive 06/04/05 , greet friendly doorman , zipped 5th Floor Lobby . open lobby area friendly reception staff . room 12th Floor nice . everything order clean ! king size bed nice night restful sleep . bathroom large separate glass shower stall . room furnish everything need include internet hook - up access . also , walk thru 5th Fl Westfield North Bridge Shopping Mall , enjoy Nordstrom store . course , be step Michigan Ave . . central location hotel great , could walk place . CTA Subway stop ( Grand Ave . Red Line ) easy 2 block walk . stay next trip Chicago ! 
 Jun 2 2005 	 excellent location 	 LeMeridien first class hotel excellent location . possible walk loop part magnificent mile . room large comfortable havae window open . service friendly . complaint enough water pressure shower . 
 May 24 2005 	 bad view 	 first good thing hotel : good location Michigan Avenue . large bathroom . friendly employee . nice bed . now two bad thing : charge thirty dollar add onto bill room service not . apology . 's vigilent see this . I pay deluxe room advertise website & quot ; beautiful view & quot ; . first room give close view adjacent building . ask move another room , although high slightly well , certainly would not call view & quot ; beautiful & quot ; . point tired jetlag , give try well view , really annoyed . amount lie website view describe say & quot ; beautiful & quot ; reality far . make point complain questionaire room . in summary , appreaciate great location want stay pay extra deluxe room advertise & quot ; beautiful view & quot ; . 
 may 15 2005 	 Nice Hotel 	 stay first visit Chicago . room bathroom great . quiet . usually trouble sleep hotel , review right ! bed great well experienced travel . internet room , would definitely stay . 
