Great 	 stay long & quot ; Thanksgiving Holiday & quot ; - first time London think charming , nice location hotel . could not happy . compare hotel stay Europe room not super small .... 
 Jul 27 2006 	 wonderful experience 	 daughter great experience Cavendish July 21 - 25 , 2006 . get great internet summer special DeVere web site , book executive double 159 per night , inclusive . huge room ( 204 ) two tv 's , three phone , separate sit area . bathroom also spacious , separate shower large tub . hotel modern , clean line asian feel . staff helpful friendly , especially Vincent kind Concierge print boarding pass ! cavendish easy 7 minute walk Green Park tube station , bus stop right top block . love neighborhood well . even supermarket 5 minute walk Jermyn Street . spend lot time read review web site , definitely make right choice go Cavendish . 
 Jul 21 2006 	 Rip - off merchant 	 hotel fun stylish , take price gouging guest new level . 7 local call exactly 120 min internet use charge usd 150 ! ! ! ! ! regular reservation ( cancellation policy 2 pm ) inform hotel 6 am would check day early come back say pay entire stay - additional 4 night . fix end , escalate way director revenue hotel waste 2 hour time . apart hotel fine - onsite gym ( go LA fitness road ) . 
 Jul 17 2006 	 great bed small room great location 	 stay one night weekend July . book two double room via website get room quite rack rate , pretty pleased ( worried would get dodgy room house - need not worried ) . arrive early noon room ready we . receptionist sweet send complimentary bottle wine find birthday . the decor public area quite nice although lady loo upstairs need little TLC redecorate . room small , yes , well decorate . nice large flat screen CD / stereo great . room also nice quiet unlike hotel , much sound travel hallway . bed comfortable , although intrigue hotel seem think top sheet beneath duvet ( flat sheet ) long necessary . know change duvet cover guest , think 's bit icky . concierge staff reception staff excellent . contrast food beverage staff could benefit customer service training . possible order food lobby bar 11.00pm also tell could order room service lobby . go room , find 24 hour room service menu dire . ony thing offer beef / ham egg mayonnaise sandwich couple type pizza . room service staff also little rude , zero point attitude ! overall , great location hotel , smack band middle West End walk everywhere . be still good nick make pleasant stay . would not stay look traditional quaint english style hotel , be nice modern . beware need park - car parking West end expensive hotel subsidise car park way - even hotel guest . parking overnight cost we £ 35 . 
 Jul 9 2006 	 excellent location 	 Stayed excellently locate hotel near tube ( picadilly line Heathrow Green Park Station ) . staff wonderful could help . upgrade executive room breakfast £ 130 per night , treat . spotlessly clean . can not wait return . beware minibar though - price sky high - need meet & amp ; Green park tube station . 
 Jul 1 2006 	 great hotel great location . love ! 	 great hotel great location . staff excellent ( although breakfast area struggle English ) , always friendly welcoming . room nicely appoint ( modern clean ) every promise deliver upon . stay 5 night service consistent throughout . package include breakfast excellent . overall good hotel , deliver promise fair price . 
 Jun 22 2006 	 Nice Little Hotel 	 girlfriend stay De Vere Cavendish weekend London see show visit city . get hotel Gatwick easy ( Gatwick Express & gt ; one stop tube & gt ; short walk ) , area elegant hotel nice . lobby , reception , bar dining area / restaurant pleasant tasteful . computer access , ATM widescreen plasma World Cup etc .. concierge helpful check - in / out easy painless too . our room 12th floor - review say - ' size football field , accommodate we well complaint . decor room tasteful plasma decent selection channel cd player / radio . also tea coffee make facility , safe iron . the bathroom , spite previous comment , roomy enough shower size / power / position / etc good . quite like shower fact . view room good - could see London Eye St Pauls also beyond Swiss Building skyline .. breakfast morning nice . good selection service excellent . we find location hotel excellent . situate close St James Park / Hyde Park , Buckingham Palace , Green Park Underground , Theatres etc . everything within walk distance tube obviously handy . I would definitely recommend hotel visitor London short long stay . 
 Jun 19 2006 	 efficient room great location 	 room small convenient . location ideal central sight like buckingham palace SOHO within walking distance . be situate across fortnum & amp ; mason . bed comfortable might cramp two people . front desk people could pleasant bell people accommodate offer service smile . breakfast buffet mediocre think free reservation package obtain . 
 Jun 19 2006 	 Excellent Location Cool 	 stay hotel girlfriend London theatre break book Supabreaks . not prettiest build world hotel major selling point superb location . regular visitor London far away well place whatever form entertainment take fancy . place right behind Fortnum & amp ; mason 5 min walk Piccadilly Circus Regent & amp ; Oxford Street shopping fan . night owl 5 min plethora bar , restaurant club . also handful theatre 10 min away Shaftesbury Avenue area . ideal , see ' Les Miserables ' . culinary note fan chinese food note Chinatown 10 min away whole range establishment posh fast service noodle bar . despite location hotel tuck nice quitely Jermyn Street trouble late night noise . lobby area modern cool lavender light general clean line appeal . front desk staff helpful love informal efficient beige sweat top slack . like staff formal ironed shirt skirt casual look you . first impression room 12th floor tasteful decoreate continued modern theme lobby area . gripe fair really important negative hotel room size . small 2 suitcase floor much room move around . Bathroom modern spacious bath shower combo . beware bed like firm . whilst comfortable duvet nice surprise , soft . we breakfast room morning comment eating area . full English pretty good wa continental fayre croissant etc . one particular niggle chambermaid always try get room . ready thank ! conjunction small room point wary price drink . ground 1st floor bar area swish modern choke £ 3.75 beer £ 9.25 vodka & amp ; diet coke ! fair minus factor cancel degree fact splendidly place many pub , bar & amp ; restaurant . in conclusion would give DeVere resound 8 10 room size drink price prevent full mark . great selling point location struggle well personally love cool modern air . 
 Jun 16 2006 	 clean convenient cruiseship sized room 	 stay cavendish mid May occupy 2 room . staff friendly helpful ( particularly concierge ) . room size cruise ship cabin little maneuvering space . bathroom user friendly . tall / deep tub / shower combination somewhat difficult sink stylish rather useful . very close theater district generally good location . breakfast buffet good family person tell ( one book plan ) prefer last year 's stay Park Lane Sheraton breakfast , old room location . 
 Jun 14 2006 	 fantastic hotel -even well location ! 	 fab hotel . stay Saturday night - go onto show Hammersmith Apollo . arrival car park hotel ' secure car park swiftly check . staff friendly really helpfull , like casual , smart uniform wear . room 11th floor great view London Eye , Big Ben , Gherkin etc etc . room little small - not go London stay hotel room time . room bathroom clean modern . hotel locate behind Fortnum Mason Tramp Nightclub ( member - boooo ) . literally minute away Covent Garden Piccadilly plus bundle restaurant designer shop . Green Park Tube Piccadilly Tube minute walk away . chuff find breakfast serve 11 checkout 12 . great lie . breakfast busy - , guest offer glass Bucks Fizz whilst table prepare . minute wait - show table enjoy choice cereal , croissant , juice , cheese plus good old traditional brekkie . self service pick choose like . pressure collect car car park ready leave - give we load time hit Harrods Sunday morning . sum - great hotel , excellent location ! enjoy ..... 
 Jun 7 2006 	 okay price pay 	 hotel fine £ 119 rate pay . hotel clean bedroom fine staff reception bit strange breakfast wa not good . much prefer Mandeville ....... 
 Jun 6 2006 	 stylish Modern extra special touch 	 well say hotel wow . extremely modern room beautifully decorate , room even cd player rare hotel . breakfast room absolutly gorgeous perfectly time . close many sight PIccadilly Circus ( 5 min ) , bus tour ( 5 Mins ) Oxford Street around 5 minute taxi . also Fortnum Mason straight across road well woth look ( expensive department store Queen shop ) . special break would definatly stay ! 
 Jun 5 2006 	 Top Stay Top Hotel 	 stay weekend ( June ' 06 ) girlfriend go theatre . staff extremely helpful , polite , smart willing help every request . can not fault hotel , location absolutely perfect - walk everywhere , decor excellent room comfortable smart - maybe little small side excellently fit . breakfast nice . excellent hotel , definitely stay . 
 May 28 2006 	 excellent hotel . happy . 	 stay 2 night whilst attend friend 's wedding Mayfair . the hotel excellent location . 5 minute walk Piccadilly Circus underground station well place Green Park , Piccadilly , Leicester Square , Regent St etc . lobby area welcome sleek reception staff friendly helpful . the room ( 1104 11th floor ) reasonable size quiet well - light bathroom . clean - bed soft extremely comfortable . plenty storage room nice view west across London towards Green Park . staff extremely pleasant friendly . I would class hotel good 4 star . get good discount rate would hesitate stay here . if compare hotel rack ( full price ) rate would maybe incline book Renaissance Chancery Court Holborn room slightly large . however , get good rate Cavendish ( ) well worth would hesitate stay . overall , ten ten . 
 May 17 2006 	 London weekend 	 stay dec.for several year shopping , theatre going weekend . hotel change time cosmopolitan . ideal position close theatre , shop gallery . staff helpful car park hotel book expensive . room good size London lovely view roof top upper floor . book year . 
 May 8 2006 	 good 	 place old school . 's contemporary , staff not wear shirt tie fancy lighting . stay parent , not happy room - happy mine . Great Bathroom , good tv , nice aircon , excellent breakfast , quite happy place not feel getting rip . great location behind Fortnum & amp ; Mason . 10/10 Darren behind check - in counter - definately stay . 
 Apr 25 2006 	 second time cavendish 	 second time stay Cavendish enjoy much last time . stay husband teenage daughter , fairly large room top floor great view London . love everything hotel - decor , ambience , friendly staff comfortable room . bed delight . breakfast include package great variety offer . you beat location - yard Piccadilly Circus within easy walk distance London 's main sight . would recommend hotel visitor London - whether business pleasure . 
 Apr 24 2006 	 Easter London 	 Location , location , location ! hotel perfectly position shopping major sight , Royal Parks , Westminster , Buckingham Palace , Oxford Street Regent Street within easy walk distance Fortnum & amp ; Mason ten yard door . hotel clean decor tasteful . room ( perhaps little small two adult child ) clean high standard everyday . excellent staff , porter staff restaurant . breakfast high standard heatlhy ( woman ) non healthy ( man ) option . tesco food store end street Marks Spencer foodhall opposite Greenpark Tube Station . would defintely stay hotel . 
 Apr 10 2006 	 perfectgreat location thoroughly enjoy ! 	 book hotel mainly superb location , 2 minute walk piccadily Circus ! arrival hotel not disappoint . it spotless decorate tastefully . our room perfect ( top floor ) great view London . breakfast excellent lot choice . we lovely time London stay Cavendish make weekend extra special ... thank . 
 Mar 27 2006 	 good Around - Value Location Staff Decor 	 young son ( age 5 ) get back weekend trip London . overall , think hotel great find . location fantastic , Jermyn Street step away Bond St. , Regent St. , Piccadilly Circus . standard room , small certainly large enough two we , appeal decor comfortable bed . bath small well tastefully outfit . note bath / shower narrow . ' m small side still feel comfortable showering sideways . staff friendly helpful . able check early overnight flight JFK . book web get rate 190 Pounds two night , inclusive breakfast vat . ' ve stay London Conrad Chelsea , Atheneum across Green Park Connaught Mayfair all - around favorite place stay term location , value , staff decor . 
 Mar 21 2006 	 Central everything 	 spend two night standard room Cavendish March impress . hotel modern room clean design . everything talk lift gleam bathroom well maintain . staff pleasant helpful . & quot ; leisure break & quot ; rate book DeVere website include breakfast , not cheap reasonable first - class London hotel , especially give location street Picadilly Circus . hotel short walk Green Park Station service Heathrow Picadilly Line . TESCO grocery store end Jermyn Street good place pick snack . good thing hotel 's minute ' walk many major tourist site include Leicester Square , West end theatre , National Gallery , Buckingham Palace . definitely return . 
 Mar 6 2006 	 Satisfied Client 	 stay London one night head Far East honeymoon . hotel great location friendly staff . well pleased room really good , clean & amp ; modern . however , general consider hotel average consider price general lack character place . one thing annoy maid . the'do disturb ' sign door despite try get room 3 occasion check time . finally leave room conscious get dirty look & amp ; barely close door behind us 2 race . despite small annoyance would recommend hotel . 
 Mar 2 2006 	 expectation 	 cavendish luxury business hotel , meet expectation class . room spectacular : fill soft white fabric , black trim , gleam metal appopintment . electronic galore , like in - room dvd CD player , creature - comfort like ( ) heat towel rack big fluffy comfortor . could easily stay room never go . time , surprising rough edge . electronic room key inconsistent : take fair amount fiddle get connect . internet charge 40p per minute maximum 20 GBP per day ( ! ) : outrageous property price like . american - power outlet room . bathroom extend shower tub might expect . breakfast buffet surprisingly small unimaginative : english breakfast item , much . staff attentive ready help every respect , hotel keep intimate feel public area . be convenient Picadilly , Tube , London signt . overall , good ( especially room ) , need couple kink iron . 
 Feb 2 2006 	 De Vere Cavendish St. James - Great experience 	 husband spend 9 day London 12/18 12/28 . although really not clear idea expect pleasantly surprised hotel . superbly locate , service excellent . breakfast okay , good , convenient staff nice . I definitely recommend family , make plan go London Spring . 
 Jan 31 2006 	 Great Hotel 	 stay three night January 2006 suitably impress Cavendish . ' minimal ' reception area create air relaxed quality continue throughout hotel . young son us hotel ensure cot room prior arrival enough supply sheet towel blanket cot ! . breakfast excellent buffet style approach although Saturday morning extremely busy ( eat early avoid queue ) . book superbreak get excellent deal weekend £ 330 ish . incidental high beware especially drink ! . overall great hotel London 's fine tailoring doorstep temptation spend money save book great suit tempt resist ! 
 Jan 30 2006 	 simply Superb 	 return weekend stay cavendish part group 16 everyone thoroughly enjoy stay . hotel modern , think fairly recently refurbish throughout . we lucky upgrade suite 15th floor . room huge superb view London one comfortable bed could find hotel . everyone else complaint room either . breakfast restaurant include rate excellent good choice . bar expensive 4 * hotel London not ? staff friendly helpful , one problem television sort within 10 minute . the location hotel superb 5 minute walk Piccadilly Circus 15/20 minute theatre . look good quality hotel London will not go wrong Cavendish St James . 
 Jan 24 2006 	 great location Friendly Staff 	 book 1 night husband parent , get great deal £ 135 per night inc . breakfast . location - fantastic , right Piccadilly Circus Green Park tube station . walk Leicester Square 15 minute ! check - try check early leave luggage - reception concierge really friendly . check later smooth allocate 2 room 14th floor . room - room great , quite small modern clean everything need - kettle , hairdryer , bathrobe , tv , cd player , thermostat etc . however , parent room ( non - smoking also ) stank smoke swiftly return back reception change room without problem . room 4th floor somewhat big previous room big sized bed . happy ! reason give hotel full mark mattress way soft sleep not great ! ( not like soft mattress ! ) staff - really friendly - fantastic service everyone . bar - return theatre , drink lobby bar service excellent . pricey though - £ 3.75 bottle beck ! Breakfast - Excellent , everything pastry , fruit , yoghurt , cereal fully cook breakfast ! overall , would higly recommend hotel stay London certainly live De Vere high standard would expect . 
 Jan 8 2006 	 would absollutely stay ! 	 & quot ; hotel snob & quot ; love . check review site , hotel , right ! room ambiance hotel remind Hotel George Washington DC . location fabulous we , tourist US . hotel locate street Picadilly Circus , Trafalgar Square , St. James Palace , Buckingham Palace Green Park . catch open top bus coach tour London Ritz Hotel , also street . the front desk staff curtious helpful . communicate via e - mail prior trip arrange transportation airport . I would absolutely stay ! 
 Jan 3 2006 	 good 	 nice hotel , subtle entrance jerymn st probably see look many time . rate ok , hotels standard similar price bracket ( mention price fixing though ) be actually 4 * 3 * trip Advisor notedroom nice , however ' m impressed glass bathroom door part frost , be need anyone need & quot ; peek & quot ; bathroom 's use allow privacy use toilet . Reception / Lobby / Bar brilliant , helpfull staff , however take 15 min collect car less impressive . brilliant location , be right heart thing , demonstrate vibrant crowd bar work , location location location ! look £ 200 region area would not able reccomend anywhere else ! ! 
 Jan 3 2006 	 good bad 	 stay 29 + 30 Dec ' 05 , room 1504 - penthouse top ( 15th floor ) . hotel style 80 % super contemporary , 20 % naff , like would make inherit carpet furniture . STAFF : excellent , particularly concierge park car hotel £ 35 day ( well worth location ) , though think ' dress ' policy make staff look scruffy . two exception ' excellent'- gaggle chambermaid in / use phone room enter , service dinner 29th truly appalling , staff run round like headless chicken ( french Maitre particular ) , shout across dining room , clumsy ungracious , disorganised service food - clearly untrained . ' Christmas shift ' ? actual food quite good 1st night supper include rate £ 210 per night suite include full cooked breakfast . breakfast , different - great staff , highly efficient , friendly real buzz full dining room . ROOM : big , strange shape - example style function - look fab , bed comfy , washbasin + tap ( Philipe Starke style ) user friendly , shower v. poor ( fault , intrinsically poor shower ! ) , bath nasty antislip covering base change relax experience one dermal abrasion every time move . room light either harsh dim . Natty feature tv though check bill . bad thing , obviously a / c unit roof right suite three pillar room seem fact service / a / c vent whole building - give hellish hum night - good be light sleeper . not know penthouse suite problem . thank God wax earplug . great view although room low much small ( corbusier lounger + sofa expect ) , would probably opt one give cheap rate , though run risk close neighbour 's loud tv seem many day . ( not hotel volume restrictor set ? - keep ask ' do tv 's volume restrictor ? ' every time book hopefully hotel industry get message ) PUBLIC area : stylish rather sterile - log fire not seem mix contemporary , 's be need . having say , 's great location . could hear traffic hum 15th glaze good . would stay - maybe . 
 Jan 2 2006 	 great location awful service 	 can not criticise location quiet Jermyn Street right heart London 's shopping district easy walk Westminster underground . come car , hotel 's car park also handy , especially leisure break include free car parking . some review comment size room , must admit pleasantly surprised . bathroom also large ( although modern tap sink make getting use encounter ) . bed comfortable linen fresh ( although cleanliness not stretch bed , find many thing previous people 's visit ) .but service , time get time leave quite amateur . know hotel pay often good , half staff can not really command two sentence English , get message - not help thing go wrong . perhaps trendy casual outfit ( look like Big Brothers henchman 1984 ) not help observation urgency need . the big complaint restaurant . small breakfast hotel anything like busy ( one day , need wait 45 minute ) dinner , want eat , even reception say not need book , book . not , meet message restaurant busy , wait hour give table , find 8 table use . average wait , even book , moment sit delivery starter little short hour . say though , food good ( although breakfast , surely hotel standing come fresh , rather tin fruit ) .so short , want unbeatable location not care service , hotel . care service , make sure be relaxed mood arrive 
 Dec 25 2005 	 2nd time cavendish 	 2nd visit cavendish year , keep wonder high love time . we get well deal last time maybe stay right christmas , I m sure 3 night cost we £ 214.00- superbreak . on De Vere 's website time £ 390.00 although do not breakfast include price , mind pop Tesco corner Jermyn St get breakfast there . our room time 2nd floor view big room last time 12th . although right next lift bother we hardly noise certainly do not effect enjoyment stay . I can not wait go back . 
 Dec 15 2005 	 can not wait go back ! 	 lovely hotel ! standard double room , could not believe spacious comfortable - especially consider hotel 's central location . arrival discover tv not work , fix speedily courteously . staff professional , friendly helpful . breakfast room morning , pleasantly surprised find hot freshly cook . bonus hotel size ( consider deliver peak breakfast time ) . get great rate De Vere 's website booking within month stay . want request room upper floor avail view , rang central booking line match online rate . wonderful view London Eye 10th floor room . be plan return February . can not wait ! 
 Dec 13 2005 	 one Best Hotels ' ve ever stayed 	 return 12 day London DevereCavendish . ( 11/26 - 12/8 ) say WOW . hotel perfect place anything London . can not walk somewhere bus Underground station within 2 minute walk . hotel modern . lobby stark staff knowledgeable courteous helpful . single room great . double bed , great modern bathroom great view . housekeep great room always clean stock great towel toiletry . get great rate British Airways include Breakfast ( buffet ) everything could possibly want . ( even special order ) mini fridge room . item expensive ( hotel minibar . ) however , plenty room fridge keep soda , milk etc cold . , great Hotel stay . 
 Nov 26 2005 	 terrific little - know luxury centrally - locate hotel 	 almost hate give away secret , 's good share : devere Cavendish Hotel , corner Jermyn Duke Streets , St. James 's , London , absolute favorite many 5 - star London hotel ' ve stay . get back spend five night Thanksgiving week 2005 one Cavendish 's penthouse room , , GPB 220 plus tax , steal . room , furnish sleek , modern style , nice size , complete king - sized bed , lounge chair ottoman , love seat , plus television , bar cabinet writing desk / chair . ultra - modern bathroom two sink , lovely longggg tub separate shower , well bidet . big towel , bathrobe , etc . , standard . quiet , attractive , extremely comfortable plain delightful . will trust , stop quick peek , will grossly unimpressed : outside building concrete - grotesque tower , circa mid-1960 's , lobby , recently sport trendy lavender light behind check - in desk young ( professional ) staff khakis T - shirt , small nothing write home . hotel 's value lie elsewhere exterior lobby . addition attractive room decor modern bathroom , hotel shine important way : first , location , location , location . 's 5 - 10 minute walk virtually every west end theatre , mention two tube station . literally across Jermyn Street Fortnum & amp ; Mason 's , around corner Quaglino 's , two block luxurious new five - screen cinema Regent St . need Starbuck 's coffee survive ? quick two - minute walk around corner take Starbuck 's Piccadilly , well new - ish branch redoubtable coffee shop , Patisserie Valerie , decadent mittel - European Wolseley ( splendid cafe / restaurant Piccadilly , opposite Ritz ) . wonderful thing cavendish ? well , be stairwell . 15th floor penthouse room reach take elevator 14th floor walk flight stair 15 . 15th floor stairwell one amazing view London could ever hope find outside Eye . 15 - foot long picture window frame St. Paul 's Cathedral , Gherkin ( swiss building ) , St. Bride 's Church , London Eye , Parliament , Big Ben Westminster Abbey mere turn head . leave aside obvious question hotel relegated good view world stairwell , view fabulous day astounding night . important point : room penthouse level also pleasant , well - furnish , modern bathroom . - much , * much * small . even & quot ; deluxe & quot ; double room , run , present , GBP 170 plus tax weekend additional GBP 20 weeknight , * * enough room maneuver around bed . non - deluxe room downright tiny . room size not bother , request room high floor east side building , will get much stairwell view bed . 
 Oct 31 2005 	 Great Hotel ! 	 return 2 night stay cavendish . impressed location hotel friendliness staff . room clean modern . arrive 3 hour early delight room ready ! plently choice breakfast . good part hotel location- 5 min piccadily theatreland . will definitely stay . 
 Oct 21 2005 	 not use phone 	 hotel nice - great location , reasonable price ( London ) , clean fresh - watch extortionate in - room phone charge ! £ 8 2 - minute call Europe ! 
 Oct 15 2005 	 Great Location Reasonable Rooms Service 	 stay DeVere two night . reasonably close Hyde Park morning run , near Soho food late night fun , near Mayfair meeting . room comfortable bit small , not lack anything . decent accomdation price . would certainly stay . 
 Sep 18 2005 	 Excellent hotel 	 stay 17th September 2005 think hotel absolutely brilliant . bedroom bathroom nicely furnish clean . staff courteous friendly . location perfect sightseeing , shopping theatre etc . breakfast good excellent choice . certainly stay . 
 Aug 20 2005 	 crisp fresh 	 stay ten night ... arrive 9 room ready .. get check early ... surcharge ... somewhat small ... always fresh clean ... everywhere hotel ... clean ... agreat choice include breakfast ... helpful staff ... good housekeeping ... nice toiletry towel ... return ! 
 Aug 8 2005 	 location great hotel okay 	 stay 3 night June business . check request near lift fire door hate noise . give key take bag lift . got , room directly opposite .. Annoyed look anyway . tiny ! straight back give another . time offer hand bag . second room much well comfortable except toilet leak bathroom floor force move nex day . give tiny room near lift . say choice . talk small must say though bathroom decent size . would really struggle two us room though must say . Newspaper order never come three day bill- Removed ask , without question . hotel full letter get breakfast early put door . least useful . overall do not think much hotel maybe fussy yet find one London really rate even pay . however one knock location price £ 128 pn inc . wi - fi would handy . internet room ( pay ) terminal lobby £ 9ph available . ( K+K George free location suit less ) , & quot ; would stay ? & quot ; yes would , definitely bad , would stay location rather hotel . eat Fountain Restaurant Fortnum Mason right across street . reasonable price , civilised , excellent food busy . 
 Aug 5 2005 	 Excellent Location Reasonable Price Friendly Staff 	 location hotel excellent . 5 - 10 minute walk Leicester Square , Westminster St. James Park close Green Park tube station although not use . also within walking distance Harrods , Regent Street , Bond Street , Trafalgar Square , etc Carnaby Street restaurant bar option . Booked visitlondon get standard double room tenth floor excellent view across city towards Westminster afield St Pauls . arrival via taxi greet friendly staff conceirge . room smart , clean , tidy , comfortable . spacious adequate equipped cd player , tv , modern tiled bathroom , safe usual amenity . breakfast serve first floor attend promptly give warm welcome staff every morning . breakfast include visitlondon rate hotel provide excellent choice full english , continental option vegetarian fish . thoroughly enjoy stay De Vere would recommend anyone excellent base explore London 's sight sound . complaint , apart disappointment first floor piano bar lounge use duration stay . minor issue though . 
 Jul 23 2005 	 like 	 wife month want say Hotel one like LONDON becouse bad expiriance 5 hotel london . clean quait , new . bed soft unconforteble . bad small looby . 
 Jul 21 2005 	 Location location location ! ! ! 	 wife stay weekend 1st July stay Executive Double . 2nd visit Capital year , decide stay Cavendish base top notch experience early 2005 . room locate 7th floor , spacious , huge bed - nice view London Eye Big Ben ( high floor obviously offer well view ) . Room come equip broadband connection , hairdryer - usual thing would expect . thing impress we hotel cleanliness attention detail . bed sheet fold perfectly , carpet spotless bathroom like enter ivory oasis ; everything sterile white sparkle clean ! even phone next toilet ( ? ) .staff well mannered turn , reservation dept extremely polite efficient ( keep we fully update booking process prior stay ) , staff come across . location excellent step away Regent St , theatre Piccadilly Tube St. James , be even Tesco Express street ! highly recommend walk local park , scenic . if want stop London , reasonably price hotel stone 's throw away hustle bustle - book Cavendish ! ! 
 Jul 14 2005 	 Great Location Good . 	 stay hotel one night Friday 8th July 2005 . book month ago hotels.c * ( £ 125 + £ 25 booking fee = £ 150 ) . come check , ask room upgrade , £ 40 get executive room . room boutique style ; double bed , chaise - longue , tv , desk , wardrobe , hairdryer , tea / coffee , everything would expect price . bathroom nice , door odd , part clear glass part smoke glass - see ! room # 1210 12th floor great view London . the hotel Jermyn Street , run parallel Piccadilly - great location well quiet . walk Dorchestor - Hotel afternoon tea ( 25min walk ) , get taxi back ( 5mins , £ 5 ) . go see guy - and - Dolls Piccadilly - Theatre , nearby , 10 minute top . the Phantom - of - the - Opera Her - Majestys - Theatre 15 minute easy walk away . the hotel within easy walk distance St James Palace , Fortnum Masons right across road . Trafalgar Square , Leicester Square , Shaftesbury Avenue nearby . if get good deal , hotel great . 
 Jul 13 2005 	 stylish hotel well locate 	 frequent London traveller . third stay cavendish , first since redecorate sleek modern style . improve immensely . elegant Jermyn Street location , stylish decorater touch throughout common area room , professional friendly staff ( dress fashionable casual linen uniform ) make Cavendish cut average three star . high tech amenity room decent business center conference room business traveller . negative room size ... small even London standard . travel companion reserve standard room , nicely appoint compact . UK20 / night , upgrade deluxe room , space view London landmark . thing consider , cavendish excellent value judge high price decent hotel well area London . my stay include 7 July 2005 , day London tube bus terrorist bombing . hotel management highly professional help guest problem keep we informed . 
 Jul 11 2005 	 Loved ! 	 far good central London hotel ' ve stay . great view top floor . hotel contemporary , stylish clean . room comfortable bath huge . staff great . always able answer question . breakfast ok include rate . location wonderful , even nearby tube stob shut . new home business travel central London ! 
 Jun 30 2005 	 Great Hotel 	 hotel definite . money want spend , love . super sleek cool . staff young , hip , friendly , helpful . small room , clean modern . bed comfortable great stereo room . perfectly locate , walk many place 3 minute Tube stop . breakfast morning nice . would stay . 
 Jun 22 2005 	 Rude General Manager 	 stay early June . great location . complained size room General Manager say book large room ! 
 Jun 14 2005 	 Great Staff 	 Booked weekend break via web site quite pleased price £ 320.00 two night B & amp ; b two deluxe double room . hotel really well situated right next door Fortnum & amp ; Mason ( recommend lunch restaurant overlook shop ) . stay well hotel , room nicely appoint bathroom great . experience noise street 3 am , turn nightclub ' Tramp ' , really not much problem . hotel great asset 's friendly , pleasant helpful staff . everyone go extra mile help - find quite unusual London . minus would amount guest smoke lounge - nice snack drink . nice hotel perfectly place . 
 Jun 12 2005 	 fantastic hotel 	 say fantastic hotel , get back suprise trip wedding anniversary , feel like 5 star 4 ! arrival offer free upgrade suite want early check enable we go theatre , decor first class room , can not say enough back 
 Jun 12 2005 	 Excellent service akk round 	 return 1 night stay De Vere Cavendish . get reasonable rate £ 140 include full breakfast double room via Laterooms . friend great view 12th floor , 2nd , view speak , spacious room separate sit area compensate . style room contemporary , comfortable bed . great location near everything . service excellent throughout - check quick easy . receptionist come rescue husband forget cufflink loan pair . plenty attentive staff breakfast - stay elsewhere London impossible get coffee toast coincide rest breakfast wait long - , cook egg order instead expect put one keep warm age . top mark there . contrary review not notice stinginess toiletry - good ( Spa Therapy ) , surely well know bad idea use hotel phone size bill ? people would well advise use either pre - pay card mobile day . certainly good 4 star standard . would definitely go back . 
 Jun 6 2005 	 little disapointe 	 outside phone call high 2.50 pound .... hotel way stingy supply like soap towel .... service ok staff clothe white & quot ; & quot ; shirt overdone ... look sloppy ... breakast upgrade continental full 6.00 pound . overall four star hotel feel little gouge .... location excellant reason pick . 
 Jun 1 2005 	 highly Recommend Cavendish 	 Great location- walk distance Picadilly , Bond Street , lot shop site . hotel valet parking extremely helpful . overall , hotel clean contemporary attractive furnishing . staff helpful friendly . high speed internet available fee . good room vacation business . would definitely come back hotel again . breakfast buffet nice extensive . not thrilled room service order dinner . provide picture room , keep mind Queen corner room bite large other . see typical room full size bed . small still nicely appoint . 
 May 31 2005 	 Fantastic 	 great location , stone 's throw Piccadilly . friendly staff simple check - in . wife stay penthouse 15th floor . view London incredible . room facility superb , would expect . enjoy excellent dinner hotel , buffet breakfast faultless . would definitely stay . 
 Apr 17 2005 	 terrific hotel 	 April 2005 spend 8 night De Vere Cavendish St. James ( aka & quot ; Cavendish & quot ; ) business trip enjoy every minute hotel . solidly 4 - star establishment ( 4 - star rating always little iffy , ' m confirm status ) . literally one block Royal Academy Arts , 5 minute walk Picadilly Circus ( great late - night grocery store , thing ) Green Park tube station . 's posh area , colleague live London say get unbelievably good deal location . help polite professional , stuffy snooty . mostly eastern european eager please . restaurant food excellent service . room incredibly quiet , european 4 - star , quite spacious . furnishing sleek modern - nothing frumpy place . nice view room give option upgrade $ 40 / night ( room $ 206 / night book alpharoom ) upon arrival room twice large bathtub ( decline , alone ) . everything emaculately clean , housekeeping perfect . ground - floor lobby efficient sleek , include small bar , 1st floor include spacious , comfortable chic lounge huge restaurant . negative : odd door bathroom . look like suppose pocket - door forgot install , something . fine , stay alone - although couple visitor one evening awkward . large room turn normal set - up . place 3 fairly small elevator 90 percent time , one three elevator service , create anxiety - produce delay breakfast rush way work . oh , mattress soft - still sleep well everything else comfortable . would recommend hotel anyone - unless ' ve get literally twice much money spend true 5 - star establishment . 
