quiet 	 love stay find hotel clean relax . actually lounge lobby read collection travel guide book . front desk staff happy assist us snail mail , restaurant , anything else need . breakfast great variety staff tend buffet readily available supply whatever need . stay back side building noise comfortable bed . room decent size Europe . also location three block north major metro stop Hyde Park . 
 Oct 3 2007 	 Excellent Stay sumner ! ! 	 husband stay sumner 4 night early September part honeymoon . love location short walk Marble Arch Tube ( 5 min . ) well close bus stop ( ) could get anywhere need go easily . also , neighborhood quiet , nice . the room clean , staff extremely helpful whenever ask anything breakfast certainly quite adequate get day go ( egg , bean , fruit , cheese , coffee , juice , croissant , ham bacon ) .When arrive check - in , room quite ready receptionist duty provide coffee tea cookie we eat downstairs living room . also , last night Sumner , provide small bottle wine we share congratulation note we since newlywed . nice touch . the price good London opinion , would love stay ! 
 Sep 27 2007 	 great value good location 	 read review other , would like add triple room huge , stuff member helpful . get hotel 9:00 able check right way ! 
 Sep 23 2007 	 excellent value central London 	 hotel , elegant converted townhouse , quiet , central location near Marble Arch tube station . room cost £ 150.00 . small comfortable well equipped . shower room also small bright modern . public room stylish - whole hotel recently refurbish . staff helpful , friendly efficient . varied breakfast include price - quite good though outstanding . still , overall hotel offer excellent value money thoroughly deserve high tripadvisor rating . 
 Sep 19 2007 	 Perfect Location ! Great Hotel ! 	 write review stay sumner nearly three month return home U.S. , yet memory wonderful stay hotel remain strong day depart London . there really not much add stellar review say one run superlative recount stay Sumner . the staff fantastic -- book dinner reservation request prior arrival , room excellent location ideal . we find & quot ; home & quot ; London stay time decide return . 
 Sep 18 2007 	 great stay Sumner 	 + good location main sight , newly renovate , clean / comfortable / efficient , great wireless internet , breakfast ok , staff good / friendly / helpful , overall excellent value money London = choose Sumner mostly base Tripadvisor feedback ... feedback bang - on ! really good experience Sumner definitely return , may even consider stay business next trip London 
 Sep 17 2007 	 Excellent Home Base London 	 great place London . want thing deal crowd lobby , elevator , want solid , no - nonsense place London want . 's low - key . walk Marble Arch tube would pass big modern Cumberland hotel happy not stay crowd doorman . sumner perfect independent traveler want safety , quality , service , away crowd people . breakfast good . one example service : accidentally put disturb sign instead clean room sign . come back day siteseee room not clean . call front desk room clean immediately . would not happen large hotel . also , free internet lobby perfect . 
 Sep 14 2007 	 Sumner Awesome 	 husband , daughter stay Sumner August 20th 26th . happy choice . people front desk helpful . several morning early tour problem get breakfast bit early . ( cereal , milk , fruit , bread ) hotel design give maximum privacy- get hotel second floor walk short flight step alcove two room area . room king cot daughter . cot comfortable ( little concerned ) . London hotel room size pretty good . location great . right around corner Starbucks ( not open till 7:00 use cup coffee really early ) within walk distance many really good restaurant . ate & quot ; Bombay Spice & quot ; twice- absolutely delicious . also 5 minute walk Marble Arch Tube station well store buy water snack . room clean well keep . bathroom huge quite functional . storage clothe tremendous enough space three people 's clothe week . hotel lovely sit area downstair computer available use . also free wireless access . overall , pleased Sumner would stay . 
 Sep 8 2007 	 great hotel 	 Tripadvisor review steer we pleased property . great location anything want . hotel clean , staff great , breakfast good . room bed fine - everything quite new . would definitely go back . 
 Sep 6 2007 	 absolutely fabulous ! ! ! ! 	 Booked hotel reading review , take mother London weekend shop take show sightsee , need central . find sumner problem tube station Marble Arch , short walk away Oxford street . first impression amazing , hotel beautiful immaculate , arrive 10 be not due check till 12 , receptionist take bag look return later day . when return later 4 pm show room bag already take we . room basement room 200 opposite breakfast room accessible lift . wonderful like expect . air conditioning immaculately clean bathroom nice size tub powerful shower usual complimentary shampoo etc . also nice fluffy white towel . the exterior door close accessible room key card good heart London . next morning breakfast serve wonderful eat lot selection set we day sightseeing , check early left bag safekeepe rather trail we around london , return 5.30 collected bag . overall stay fantastic staff freindly helpful always willing help give smie . I would definately return hotel . 
 Aug 30 2007 	 Great Hotel 	 Sumner terrific , quaint , elegant little hotel Oxford Street . immediately impress ambiance place . quiet mellow , modern . front desk exceptionally helpful , room clean , bed comfortable , traditional english breakfast also good . would stay heartbeat . online rate 100 pound . Great Deal ! 
 Aug 26 2007 	 great Stay Sumner 	 Staff super friendly super helpful . breakfast good , good deal include price stay . hotel lobby , dining room , room immaculate . bed comfortable . room good size London standard noise problem . oh yeah , free hi - speed internet bottle water plus . the neighborhood quiet 5 min walk underground Marble Arch . convenient location . one item note , street underground hotel dimly light night . really problem , may make uncomfortable . however , always feel safe walk area night . overall , feel pay bit want stay , regret comfortable stay . 
 Aug 24 2007 	 Excellent 	 family four stay three night lovely hotel . clean well - maintain . bed comfortable room good size . air conditioning room work properly lift . the breakfast good . excessive , certainly enough variety 10 year old 17 year old . the hotel three block Marble Arch tube station . I hesitation endorse hotel family single . fact , probably stay single near future . 
 Aug 23 2007 	 10 Perfect day Nights ... 	 much internet research search ... 14 year old daughter settle Sumner Hotel , Marble Arch neighborhood London . website communications hotel front desk point beautifully appoint room , quiet convenient neighborhood , delightful staff wonderful breakfast ... never disappointed . can not wait go back ! stay 10 night June would definitely recommend anyone look beautiful , small hotel reasonable price . tube station around block , choice excellent neighborhood restaurant , multi screen movie theatre , short walk Shakespeare Open Air Theatre Regents Park see beautiful rose garden delicious show dinner , Madame Tussauds also near , well Speaker 's Corner Hyde Park . go enjoy ! TM 
 Aug 23 2007 	 wonderful Small Hotel 	 gem hotel London . Affordable ( London standard ) , accessible , sophisticated decor , 24 hour service , US plug room ( major asset ) , spacious London standard , intimate , tolerant child , great breakfast . 
 Aug 21 2007 	 Great Boutique Hotel 	 stay Sumner Aug 13 - 18 , 2007 . hotel modern excellent facility ( i.e . plasma tv , AC , Internet Access ) great service staff . Hotel conveniently locate ( five minute ) Marble Arch , Subway fantastic shopping Oxford Street . strongly recommend hotel anyone seek modern , friendly , conveniently locate hotel reasonable cost . 
 Aug 20 2007 	 Good Location 	 Nice boutique hotel well situate Oxford Street . near Marble Arch Hyde Park close , need fresh air . we superior room clean really could fault . breakfast ok UK standardsThe hotel overall exactly look - well situated , comfortable , clean modern . would stay London standard good value . 
 Aug 6 2007 	 Boutique Boutique 	 stay three night July modern style room . overall pleased choice gives expect boutique hotel - limit number room , private personalized feel , case spacious room ( London standard ) great location two minute walk Marble Arch tube station start Oxford Street . I bite worried first room ground floor hence road outside actually ok term noise . bathroom also plus spacious shower . this hotel value money ( London standard ! ) 150 pound per night would able find much else area large chain hotel almost always small room . breakfast include morning fresh well make although girlfriend always show 930 935am ( close 930am ) accomodate staff always bring additional fresh food ever make seem like place need close . 
 Aug 2 2007 	 Upscale Clean Clueless Staff 	 room stay really look like photo , quite nice new . room face back quiet , even street side noisy . breakfast plentiful tasty . check - in easy . the staff surprisingly clueless neighborhood . ask cafe quick bite 9 pm clerk idea go . another time ask close - by book store , clerk direct store business time . the immediate neighborhood almost entirely residential easy walk Marble Arch tube , Hyde Park Portman Square . many restaurant choice , 's convenience store 2 block away . 
 Jul 31 2007 	 great family 	 base review , stay sumner 4 night June extended family disappoint . book king room space accommodate extra bed child , difficult find London Sumner 's rate quality . echo reviews comfort cleanliness room , relatively peaceful convenient location ( include grocery store within block ) , friendly helpful staff . definitely stay ! 
 Jul 28 2007 	 Outstanding Boutique Hotel 	 stay sumner week late June , 2007 recommendation friend . charming boutique hotel , great central location London . love everything hotel , include breakfast , quality room , terrific shower bathroom . the staff accomodate , feel like stay private B & amp ; B . help we everything - taxi , dinner recommendation / reservation , theatre ticket , jazz club ticket . Perfect hotel we . will defintely stay next trip London . John , Tempe , AZ , USAjbmay @ cox.net 
 Jul 10 2007 	 lovely boutique hotel 	 stay Sumner July 2 - 5 . first trip London research many hotel internet choose one . taxi driver not know fortunately street address indication 's small plaque next front door . hotel 20 room convert townhouse . configuration room unusual , least US standard . room 203 204 , reach take elevator first third level ( reception level zero stop second level ) walk step . 's problem anyone walk stair . room sizeable comfortable two people . Breakfast include every morning sufficient ( egg , bacon / banger , bean , cereal , bread , cheese , juice , fruit , coffee tea ) . staff excellent . location couple block Marble Arch tube stop convenient . throughly enjoy stay sumner recommend without hesitation . 
 Jun 22 2007 	 delightful affordable jewel London 	 husband stay Sumner early May 6 night part 25th anniversary celebration trip London . book sumner two week departure ( prior arrangement another location fall ) , Justina , receptionist , accommodate book us room perfect we ( # 8 ) . recent renovation property produce lovely boutique - style hotel homey , welcome feel . room reasonably spacious London standard certainly adequate . good part excellent comfortable bed pillow , great shower fact everything new therefore pristine condition . room wisely include plug various voltage preclude need adapter ( smart ! ) well hair dryer , substantial , fluffy towel room fridge great store water snack . the staff extremely accommodate friendly . breakfast ( include room rate , another plus pricey London ) , quite generous great way start busy day sightseeing . offering include egg , breakfast meat , bean , cold slice meat cheese , fresh fruit , toast , croissant , coffee , tea , juice , yogurt , cereal -- - quite comprehensive standard . location easy 3 block stroll Marble Arch ( Oxford St ) Marble Arch tube . neighborhood semi - residential , noise usual city hustle - and - bustle keep minimum . all ... highly recommend hotel . 
 Jun 18 2007 	 charming boutique hotel 	 small hotel appear fairly new . everything wasspotless contempory . although room small , adequate concern people not spend much time hotel room London . bathroom fabulous shower bed extremely comfortable . staff accomodate even though stroll midnight . complementary breakfast well & quot ; typical & quot ; continental breakfast ( fresh fruit , toast order , coissant , yougurt , meat , cheese , egg , sausage , andcereal . location close Marble Arch centrally locate . plan stay hotel return London . 
 Jun 18 2007 	 kick Reserved Room ! ! 	 would love share everyone 's glow review hotel , book one night , try several time extend stay . although unsuccessful extend stay , think would least able spend last night vacation relax seemingly beloved hotel . check bag early morning tell room available noon time . not return 5 pm point , tell room available water room , would stay another nearby hotel suppose comparable . assistance initially offer help we hotel , tell invoice sumner difference fund b / c hotel book we expensive Sumner . compensation , reduction fee , credit offer . simply , need go b / c room available .... along apology . call place we even though give cell phone try extend stay previously . provide credit card information hotel without permission despite EU 's strict privacy rule . water could restore room despite 5 6 hour try fix anything . top , room book we comparable whatsoever . room dirty , noisy ( concert nearby ) , boutique hotel like Sumner advertise . far cry expect unfortunately , able recommend sumner . 
 Jun 7 2007 	 absolutely Charming ! 	 Sumner Hotel pleasant surprise , upon arrival London . small , boutique hotel locate behind Marble Arch , Westminster . location : location great . block tube 's Marble Arch station , able get anywhere metro London minute . pub lot middle eastern restaurant , nearby . Customer Service : employee nice accommodate . Justina friendly helpful . room : room first floor , pretty good size , king - size bed , tv , desk mirror . bathroom one good ' ve see hotel . huge tile shower overhead waterfall sprayer . also , hotel quiet backstreet , rarely hear anything random car people . extra : Breakfast include , not five star meal , pastry , juice tea always nice start morning . all , please sumner , somewhat disappointed hotel check - into , Paris , not measure Sumner . I highly recommend hotel price , value location . 
 Jun 5 2007 	 great hotel 	 girlfriend stay double room sumner two night May , 2007 . location perfect , near Marble arch underground station . far hotel room , definitely nice / most modern 8 hotel stay Europe trip : LCD TV , modern bathroom , clean . breakfast basement also fantastic , cereal , fresh fruit , cook item , etc . complaint concern loud Karaoke music hear outside first night -- reception say sort event go Kensington Park night may blame . assume true ( not Karaoke bar door ) suppose can not fault hotel . nothing London cheap , stay Sumner seem like good value $ compare hotel research . would definitely recommend hotel anyone travel London . 
 Jun 4 2007 	 great hotel ! 	 husband stay February year . overall , hotel pretty much perfect . downside would probably room size , impediment enjoy vacation ! LOCATION - hotel locate near Marble Arch Oxford Street . husband somewhat conflict location , end , think good choice . hotel , although locate Oxford Street , good walk ( short tube ride ) real heart City , Bond Street , Picadilly Circus , etc . hand , centrally locate consider Notting Hill , Knightsbridge , etc . west southwest hotel Hyde Park foot . admittingly , spend time east southeast , close area ( say Mayfair ) would work well . say , hotel bad location . husband walk everywhere , location suitable . PUBLIC TRANSPORTATION - hotel locate short walk ( 3 - 4 block ) marble arch station Central Line . convenient , central line convenient line . quite bit transfer . huge deal , something consider . ROOM - definitely small , be expect London . husband not stay room much , basically use sleeping base , small room not matter much we . anticipate staying room lot ( London ) , may problem . rate - pay 85 pound per night exclude taxis . total , pay 300 pound 3 night , include taxis equal $ 197 per night usd . generally cheap , definitely good value city ! location good , hotel brand new clean include free breakfast bonus . breakfast - breakfast good . include egg , sausage , bean , cheese , cereal , juice , etc . get HOTEL - fly Heathrow take 15 minute Heathrow Express ride ( 29 pound one way , person ) Paddington Station ( run every 15 minute ) Paddington Station , take taxi hotel . Paddington Station mile hotel , taxi fare minimal . husband taxi ride , cost transportation 65 pound . probably equivalent take taxi directly airport , lot fast . tube would cheap route , likewise would take luggage , would ideal . INTERNET - one computer internet access downstair common area . never problem get use computer . also bring laptop since free wireless internet room . service - everyone nice helpful entire stay . all - excellent choice stay . wonderful time London hotel perfect need . 
 May 29 2007 	 top class small hotel 	 someone stay hotel London regularly last 10 - 15 year definitely one well one . round experience could fault standard accommodation , decor , breakfast friendliness / helpfulness staff . hotel 's location excellent ; 5 min walk Marble Arch tube station less Edgeware road restaurant & amp ; bar . room well proportion , comfortable clean air conditioning work ( always case London ) . also 3 great night 's sleep - uninterrupted street noise -this something special hotel London concern . I would strongly recommend hotel anyone definitely back . 
 May 13 2007 	 Boutique style great price ! 	 little hotel offer boutique style great price , convenient location Oxford Street top . room quite small slightly impractical ( nowhere hang towel safe ) little lapse imperfection easily overlook due utterly charming nature property staff run . breakfast , although simple , serve care good service . really feel stay guest London townhouse rather hotel . sympathetic relatively stylish Central London . strongly recommend . 
 Apr 25 2007 	 great value 	 stay 1 night Sumner really like lot . location perfect , hotel staff kind polite . stay king double . bed extremely comfortable , duvet pillow like home . enter hotel already feel tidy neat . bathroom spacious amenity good also . 
 Apr 23 2007 	 stay ! 	 stay Sumner Hotel twice find great value ! clean w / lovey decor nice breakfast . location great dinner Marylebone walk though Hyde Park Notting Hill . close Tube great . staff friendly helpful . read previous review someone complain mini bar water . think funniest thing complain . within 3 minute walk hotel , darling italian market convenience . mini bar allow spend money overprice item ! 
 Apr 15 2007 	 fantastic Hotel 	 husband stay hotel three night April ' 07 . really like lot ! location great , centrally locate within London , three block Marble Arch tube station , locate Central Line . also four block Hyde Park . small hotel , locate appear renovate townhouse , almost feel like stay little apartment rather hotel ( room hotel room , little fridge ) . front desk staff nice accomodate . room also nice sizable , flat screen tv , desk , along mini fridge . bathroom also look like recently re - do nice marble sink , however room shower ( tub ) , do not know room tub . also nice breakfast include well , egg toast bean cheese meat cereal ... basically everything would want start day . essentially hotel excellent , pretty , well locate hotel enjoy stay immensly . 
 Apr 11 2007 	 great location 	 really nice small hotel , chic B & amp ; b . well locate near marble Arch . good value short stay . 
 Apr 5 2007 	 Great Deal 	 Excellent customer service great price ! townhouse small hotel , like B & amp ; B , modern clean . good - sized room dreamy bed . central heating make hot room , window open . room quiet back ; front room noisy due pedestrian walk . Breakfast include , menu every day ( fan bacon bake bean ) . tea / coffee 24/7 1.5 pound . spend 900 pound 8 day . Ride LGW ( Gatwick ) hire taxi hotel 85 pound . suggest go Heathrow , close cheap . walk distance Oxford St shopping , Marble Arch , Hyde Park . staff solicitous always cheerful . 
 Mar 26 2007 	 review help 	 like traveler book hotel review . know much area London , choose Hotel Sumner everything need . hotel quiet side street , three block Marble Arch Metro station . like review , hotel clean , well run friendly staff . desk clerk help we quite bit thing around London . lobby nice lounge area free internet . more breakfast typical England , tomato , egg , baked bean , normal assortment juice coffee , toast . elevator step room . need help clerk willing . one concern proximity local resturant . near Edgeware Road seem middle eastern cuisine . bit limit dining area . otherwise great hotel hub area London . 
 Mar 20 2007 	 Cool Gem @ Marble Arch 	 Booked property base tripadvisor review - thank ! ! contact property directly get excellent rate , inclusive breakfast 24 - hr in - room BB internet access , crucial we . stay Sunborn Yacht & amp ; Riverbank Park Plaza trip London , price - value & amp ; location wise , sumner good compare two . location : marble Arch station 2 easy block away , lot convenience store , shop , restaurant along way . Hyde Park entrance across road tube stop . relatively quiet area . property : unassuming townhouse entrance street , clean , neat , residential type setting . lots diplomat car livery street . room : 2nd floor ( elevator & amp ; stair access ) , quiet . narrow hallway make luggage manouevere difficult . complimentary chocolate bed , every day . bed actually ( 2 ) firm twin management responsive request ' join ' ( fit sheet ) dbl . clean , crisp sheet , comfortable therm setting , able open window , good sound proof . 32 & quot ; flat panel tv , perfect distance bed , fireplace . bathroom : spartan minimalist . handheld shower near impossible turn get wet shower head - slippery tight . water pressure excellent , temp great . towel thick absorbent , usual Gilcrest & amp ; Soames toilettrie provide . narrow counter area - enough toiletry kit . staff : friendly , responsive . good service breakfast room . breakfast : standard continental & amp ; english brekkie item provide small , clean , modern eating area , 8 -10am . staff kind accomodate we even come 9:55am . the hotel wonderful , cozy sit area : large living room , soft lighting , newish furniture , lot magazine paper common area computer . whitewash colourful wall contrast dark wood floor , plush velvet leather furniture modern , abstract art display . return London April / may intend stay business & amp ; personal trip . 
 Mar 19 2007 	 nice spacious 	 stay Sumner Hotel juz last Tues night , apart minor problem , quite pleased hotel . look like normal residence outside inside , atmosphere really peaceful classy . location great , take long walk evening Leicester Sq back hotel take abt hour . tire nice warm . the room 200 look pretty much like pic hotel 's website , except basement room ( request room bathtub ) right opp breakfast room , get noisy morning breakfast room door open . not big problem we since check next day . bed really comfy , room spacious , although would much nicer put couch room instead sofa bed . juz note : room quite stuffy warm , air - con not work , make sure tat be work u hv open window summer . bathroom simple right size we , quip toilet roll holder fall hubby 's hand get cut it . in , would definitely stay , choose one high floor room . 
 Mar 6 2007 	 well see London 	 experience hotel London quite bad . change now . due : good location near Oxford Street . very nice newly renovate clean room ( bit though ) .Two room choose family accord requirement fit we perfectly . very nice staff . the breakfast huge still one well experienced . attentive thoughtful . when London next time return ! 
 Feb 22 2007 	 ' so ' recommend Sumner 	 spend last 20 year stay London hotel business pleasure . refreshing change find Hotel ' true London ' character refinement go 5 * luxury . the decor opulent , fixture fitting well see anywhere . breakfast ... want breakfast room every day ... refreshing & amp ; vibrant .... ! can not even find well location . convenient Public Transport , many car parking space available time . amazing central area . what make place even well staff . thank enough every time stay . this hotel use London . problem see , be good , hence become popular , might always get ... ! ! ! normally refrain recommend accommodation people never know expectation . however , recommend many everyone say superb . many thank . 
 Feb 20 2007 	 Sumner Hotel great location 	 go London first time 3 day stay choose hotel base recommendation friend . location perfect catch transportation ( bus , tube ) London 's main central attraction . even within short 15 - 20 minute walk ! hotel clean room well maintain . room fair size ( especially european standard ) quiet part . breakfast serve every morning guest several item choose . the staff excellent addressing need contact taxi could get back airport time . would definitely stay property . 
 Feb 15 2007 	 perfect place ... 	 feel like home . good thing apart beatiful decoration , lovely room , nice bathroom , kindness staff , arrive hotel not feel like middle big city like London . 's perfect place relax enjoy London . thank . 
 Feb 14 2007 	 High Tech 	 cool hotel . marry high tech style . lifts room ( almost heave luggage narrow stair ) , keys juggle ( card system place front sensor ) , flat screen tv . excellent location 3 min away marble arch tube oxford street shopping . service genuinely friendly competent , decor tasteful . speedily locate manicurist along oxford street despite busy . modern - victorian , sort old style twist . many lovely unique space lobby lounge one relax , internet access , selection book , fireplace view street . good microspace creation manipulate light . I suspect window soundproof , coz room totally silent ! bed kingsize good , sleep like baby . bed must something sleep Simmons home . I would recommend highly : ) 
 Jan 24 2007 	 Super comfortable bed ! 	 stay sumner two night business trip read review carefully . last time stay London pick similar townhouse Paddington pay £ 85 - choose tiny , quiet room back reek smoke , tiny , quiet room front extremely noisy . suffer noise vow point next time city quiet night would worth around £ 100.i pay £ 116 per night sumner include breakfast . arrive , delighted - smart facade , quick check ' ve ever experience room surpass expectation . super comfortable bed , pristine spacious shower , perfectly tune flat screen tv , mini fridge . with many townhouse hotel , breakfast room basement natural light , make effort decor make feel bright . I laptop great plus free internet access lounge - able print page free collect reception , much appreciate . the thing miss coffee make facility room , would cherry cake . management ever read review - save choc bed invest kettle . if stay area London will go back sumner certainly recommend other ! 
 Jan 14 2007 	 disappoint 	 have always want stay Sumner S. Kensington sell chance . happy see new ( albeit desirable ) location - review good hotel look lovely website . however , fairly disappointed . the decor relentlessly modern - look lovely , everything new , 's practical . chair room low challenge get . bed platform take big chunk shin middle night - lot blood scar - 's get sharp corner unprotecte mattress . king bed , since would design sin king duvet ( guess would spoil aesthetic duvet hang edge mattress ) stay cover stay close middle bed , thus defeat point king - sprawl big bed . the toilet position not sit far back , would burn knee radiator directly opposite tiny space . great chunk sloppy caulk shower result major mildew growth road , towel rail almost certainly start pull tile wall . the ceiling lovely high nice molding paint lovely soft warm grey . say , everything write still nice new . breakfast really good one day ( great sausage ) good next ( rock hard egg weiner instead sausage ! joke eat weiner bean breaky ) .Something really tick lack bath room . need bathtub email hotel time confirm room would bath shower . even book high category room ensure would get bath , reply say course assign room bath . yet room assign check bath . bring woman duty , say sorry room available . impressive . room lovely big shower sort nook cranny ( serve purpose look cool ) , overhead shower head nice , satisfied . we feel hotel 's location great . near tube station Marble Arch . be close , be convenient stop Central Line - prepare transfer lot . plan spend lot time Oxford Street hotel well - locate , nice small pub close . area many , many small cheap hotel B & amp ; bs it . if like Marylebone village area shop restaurant , be within walking distance . get pretty good price hotel , not totally bad experience , disappointing . go London every couple year . will definitely return city return Sumner . 
 Jan 10 2007 	 Lovely New Year 's Eve London 	 Booked hotel strength review site . hotel locate Edgware Road short walk Oxford Street , Selfridges , Hyde Park etc . the hotel fairly quiet street . 2 convert town house combine form hotel 20 room nice size , big . decor furnishing modern , clean welcoming . lounge downstairs ideal pre New Year 's Eve drink -take bar ! go wife 's sister husband use fine hotel around world impressed . sister law described & quot ; country house hotel city & quot ; sum well . we book deluxe room sure standard one would fine . room wa slarge lovely decor . bed comfortable ever hotel heavy night real struggle get up . breakfast ok . hot food plus fruit , bread , etc buffet style . staff helpful polite . overall , highly recommend . ( New Year 's Eve eat Rodizio brazilian restaurant Bayswater . great fun good value . try get table downstairs hot upstairs chargrill lovely meat . 
 Jan 6 2007 	 splendid oasis within city ! 	 join daughter friend end 3 month european adventure , spend hostel & quot ; low - budget & quot ; property . know London start expensive go outrageous , try find nicely locate hotel least 3 star rating ( sumner 4 star ) not break bank . place meet , exceed , requirement , mention expectation ! spend 4 night rather disappointing 3 night stay budget property ( like hostel could accommodate additional friend first part visit ) . first impression & quot ; WOW ! & quot ; , lobby / living room certainly oasis hectic , crowded city . staff quite gracious professional even arrive , correspond make various reservation , etc . prior stay . certainly not disappoint assistance . check - in breeze . our room , large european standard , scented lavendar opende door . bathroom , though small , adequate three woman . bed remarkably comfortable , living room furniture . breakfast delightful , differ slightly every morning , serve smile . free internet help girl catch friend email head back us.over , Sumner splendid way see London , close shopping , sightseeing , dining . return recommend hotel family friend . enjoy ! ( PS : hotel reserve car early morning trip Heathrow $ 50 we ; come door , load luggage , drop we gate ! deal ! definitely ! ) 
 Jan 6 2007 	 Perfect hotel 	 will stay every trip ! hotel great location , close Oxford Square tube station . clean simply decorate , plenty room super comfy duvet . quiet . staff make trip we . nice helpful . want stay another night book . actually help we find another hotel . ( Darlington horrible compare Sumner , big disappointment ) . also help we coach reservation Canterbury even have check . could not nicer . also put internet booster stairwell could get good wireless access room . breakfast great fill we good part day , save we money expensive city ! hotel make stay ! 
 Jan 2 2007 	 Luxury Location Great Price 	 ' ve London 3 time 2006 , stay 3 different hotel time . Sumner Hotel recent stay . price ( 100 - 150 pound ) , sumner excellent hotel . 's good hotel ' ve stayte , price range hard price range find decent hotel London . the sumner nice room , great location , friendly staff excellent breakfast . the Room : stayed & quot ; deluxe & quot ; room , call Superior King , 140 pound night include breakfast . room quite large London ( 12 foot high ceiling help ) king size bed , small desk , small refridgerator , flat screen tv mount wall , wicker bench armoire . decor modern minimalistic . taste exactly , nice nonetheless . room lack dresser , unless clothe hang , pretty much live bag . the bathroom small functional . bathroom shower stall tight fit one , also great shower massager ! room bathroom clean overall . big complaint room room ( 2nd floor ) face street , every single noise outside could hear rather clearly . be bad since Upper Berkeley ( pronounce BARK - lee ) remote , generally quiet street . the big plus sumner free wireless internet . London hotel generally charge 10 - 20 pound in - room internet access , nominal fee consider weakness dollar . bug plus travel laptop tow . however , be travel business ( like ) , good place business center printer / fax / copy capability ( although sure could get do staff need ) . generally - available pc internet access ; plus hotel charge pound 30 minute access pc internet . breakfast : fan strong coffee English breakfast ( runny egg kind meat - generally sausage ) , fan Sumner 's breakfast . personally , think fantastic . also fresh fruit , yogurt , cereal , oatmeal pastry . 's great way start day . sure much extra rate breakfast include , worth I . location : sumner two block due north Marble Arch station , tail end shopping district along Oxford Street . Selfridge 's Marks & amp ; Spencer within walking distance ( quick bus ride ) , Bond Street walk - able well . marble Arch Central Line , convenient focus Central London . go anywhere else , will need transfer ( big deal , convenient station ) .The sumner also 5 mintue cab ride ( 10 pound ) Waterloo train station , take Heathrow Express Waterloo cab Sumner , will take 45 minute cost 25 pound ( bargain 's quick ) .The one downside hotel area around Marble Arch severely lack decent restaurant - even be look quick bite something casual - choice limit . staff : boutique hotel family - own feel . interact staff much , friendly helpful thing need . overall : Sumner Hotel great hotel price - nice , large , clean room good location convenient Central London . really can not get luxury location 150 pound London . however , afford pound , highly recommend Park City Hotel ( 150 - 200 pound range ) . 's well location luxurious price . stay year London Renaissance Chancery Court , absolutely fabulous , afford 300 pound / night room fare . my final word Sumner can not go wrong stay . well place stay ? absolutely , sumner rare offer great , luxurious place stay incredibly affordable price . 
 Jan 2 2007 	 Nice hotel 	 spend 2 night London New Year 's Eve , base write hotel , choose sumner like try new hotel London . as say , aera nice safe . hotel 5 - 7 minute away Marble Arch tube station Oxford Street . Hyde Park not far well . try good ( pricey ) indian restaurant & quot ; La Porte des Indes & quot ; .room big clean , nice LCD tv almost normal new 4 * hotel London . thing room face hotel noisy not really soundproof window . traffic heavy . nice staff . Breakfast early ( 8 till 9.30 ! ! ) . not try . really think get well hotel price London . Happy New Year ! 
 Dec 23 2006 	 nice hotel great location 	 husband & amp ; ( Chicago ) stay sumner 4 night . near Edgeware Road , Marble Arch Oxford Street , location wonderful . bond Str . Marble Arch tube station nearby beautiful neighborhood step door . ' ve stay London number time , fancy place ( include Browns Langham ) , definitely one will go back future . the room big , service pleasant breakfast adequate enough get morning . highly recommend . 
 Dec 23 2006 	 9980 % score ! ! 	 return Sumner , stay one night . look nice hotel finally book hotel base previous revieuws . book directly sumner - website , ( discount , final total amount Epound 116 ! ! ) small room . the space end bed wall wide , wide enough walk . room 100 % clean wonderfull decorate , exactly like picture ! provide large wardrobe , good bed ( be higher normal , lenght bed ok ; husband 6.2 foot problem ) , clean carpet . ( always hate strange stain floor hotel room ) . nice clean linnen . bathroom adequate nice shower ! minor thing temperature ; hot ! ! easily alter change airco opening window . another small minor thing breakfast - room ; be pretty small one wait seat . two issue negative point hotel . hotel locate nice save location . staff indeed friendly ; check flight ( Heathrow fog ) allow leave suitcase behind hotel next day , couple hour . everything sincere smile . we definitely return ! 
 Dec 13 2006 	 stunning ! 	 stay Sumner December 2006 's perfect little hotel ! room spotlessly clean , bed comfortable , breakfast great ... serve hot cross bun Christmas time : superb ! ! ! many time stay hotel 7 am , every door place start bang make impossible sleep ? well , Sumner , every door fit clever little device gently quietly shut door . be little detail like make hotel stand competition . I wholeheartedly recommend hotel . 
