luxury 	 travel NYC 3 girlfriend shopping trip not look luxury hotel , somewhere clean comfortable stay . share one room keep cost . worry hotel 2 * , one good review , take chance disappointed . room spacious 2 single one double bed - worry 4 girl one room would mean tripping , issue . bed comfortable clean . bathroom fine towel change everyday . common part hotel pretty plush say want somewhere sleep . excellent location , 2 block Macys Empire state building within walk distance shop 5th avenue . the one bad thing say radiator room load first night , clunky lot run water noise keep awake . morning look turn fine room cold either , small issue . also overhear another guset complain reception - say radistor issue . I not give many hotel 5 * , look trip tick box , can not fault . 
 Fab Holiday 	 go new york boyfriend first time . spend age look hotel central new york find hotel grand union fab place . really ideal location 2 block empire state building time square . room really clean simple double bed tv ensuite basically somewhere sleep new york . look breakfast start busy day go captain cafe part hotel service really good get food really fast . grand union fab place stay 
 Sep 17 2005 	 Satisfied Grand Union 	 wife stay Grand Union Sept 12th Sept 18th 2005 . write review room Hotel . front desk staff terribly friendly rude either . try helpful request . ask hotel build ( New York history ) look like ask weird question . big deal , idea hotel build history . look side hotel across street see & quot ; Hotel St Louis & quot ; wash white paint . hotel 10 floor room floor 9 street side . guess brick hotel build 1920 's so . the Hotel room slightly big expect . stay NYC hotel know small room . room plenty space wife . desk could put laptop use wife watch cable tv free HBO sit bed . time room . around town time . try find public wireless network laptop locate signal strength low much use . use Cingular PCMCIA Edge card laptop work great whole week . nice internet available . laptop work laptop company provide Cingular Edge card . card connect laptop cingular cell tower . account set unlimited use roaming charge ( live Seattle ) charge 70 per month . get 144 k download 92 k upload hotel room . they two three computer hotel lobby use internet pay terminal . 2 dollar 10 minute buy minute bulk cheap . like alternative well . two ample dresser clothe . one dresser build furniture tv . clothe rack hang clothe small fridge room . safe room put laptop . put laptop dresser clothe problem , although worry bit . the room clean daily maid , polish woman obviously immigrant . friendly front desk staff . ask language speak tell Polish , also speak russian English .. even maintenance man polish speaker . while room large enough bathroom quite small … clean . problem adjust temperature shower water . hot cold knob reverse take several minute get right temp take shower . the weather warm stay use window mount air conditioning unit almost night every night . turn air con could hear loud truck street every night pick garbage think could noise Federal express terminal locate corner . air con go noise problem . street side hotel . stay cold weather would use window mount unit heat . two block Empire State Building regular Mid Town neighborhood Deli ' , Wendy ' , MacDonald ' , souvenir store , ethnic food office building . one elevator take patience . service ten floor 's self may wait three four minute peak time . number 6 Lexington Ave train 33rd Street right corner . easy trip Canal street , upper East side Museum district . first stop towards uptown Grand Central , go anywhere . walk back Hotel Times Square take 20 minute . this wife ' first trip New York ask ' make reservation Holiday Inn something ? tell pay 140 night hotel . Holiday Inn type hotel think NYC would cost we least double . west coast person totally appreciate New York . if look bargain hotel NYC 140 160 night bargain hotel work . want Holiday Inn experience Grand Union disappoint . I satisfy quite comfortable Grand Union . wife would prefer expensive hotel . believe could pay get less . 
 Aug 16 2005 	 take PRINT - OUT RESERVATION CONFIRMATION ! 	 aware switch reservation online two night one . reluctantly cancel first night , seem hesitant , want charge we . come room we , remember take print - out confirmation ! staff could friendly ... kind like , ok , room . would not let we check early , understandable , think 's not room reserve we change make . plus side , let we store luggage morning check - in last day go Yankees game . ( however , SECURITY luggage room -- friend walk back hotel without get thing , basically walk pick bookbag female name stitch back , one question ! ) overall , stay hotel staff much friendly accomodate . said & quot ; thank , & quot ; get response -- rude come . maybe stay one night , one night $ 150 , bathroom pretty nice ( marble ) , room appear MUCH MUCH big online . size typical freshman dorm room .... maybe even small case . plus , bed hard ROCK .. anyone consider bed & quot ; comfortable & quot ; must normally sleep hardwood floor ! true , budget hotel , consider will not good amenity , nice comfortable bed rest night not ask much ! also , well take stair undoubtedly quick option . oh , hair dryer room , state hotel 's list amenity . would recommend hotel whoa ) stay long one two night , back start hurt bed , room uncomfortably smallB ) equally unfriendly mind unfriendly staffC ) documentation support indeed reservation . d ) extreme budget . mean , eh , private bathroom NYC , be pretty cheap ... willing suffer inconvenience . 
 Aug 10 2005 	 exactly look 	 travel budget want stay midtown Manhattan , perfect hotel . my girlfriend stay Grand Union five night . great location sightseeing , right next subway stop two block Empire State building . room clean comfortable , bathroom suprisingly modern look like almost brand new tub sink . also quiet night . right hotel look stay lap luxury . other report , iron room hair dryer . room small window face empty alley . like we , will spend time explore city return room sleep clean up . for price , hotel can not beat . 
 Jul 28 2005 	 great price ! 	 boyfriend book Grand Union internet , little uneasy might find . relief , hotel exactly need price range work with . the lobby inviting , room decent size . new air conditioner GREAT 96 degree heat . bathroom little dark , clean . really like hotel , find front desk staff helpful . give we information everything ask always friendly . this hotel fancy 's glamorous , not plan spend vacation room . safe , comfortable place come back end day walk sight - seeing . would stay , would recommend friend . 
 Jul 6 2005 	 accident prone bathroom basic amenity 	 NY 2 night last minute booking frenzy book room hotel . soon get see customer bad time staff charge call never avail . when enter room , rude shock like pigeon hole ! top hairdryer even facility iron clothe .. carpet worse wait till read .... bathroom bad husband almost break leg slip greasy tile .... also toilet flush manually pour water tank sometimes .. would never get back hotel .. worth money personal safety ! 
 Jun 30 2005 	 Excellent Deal 	 find hotel use travelaxe , check review tripadvisor , pull trigger . stay four night Grand Union amazingly low price $ 520 . fourth trip New York fourth hotel . pay $ 200 night national chain hotel past , never . Grand Union good hotel money New York . hotel clean bathroom spotless . majority hotel price range New York small offer share bath . stay sixth floor not one problem noise entire trip . airconditioner keep room cool comfortable . mini fridge come handy . less 30 yard subway stop . walk back hotel 1 be almost every night , neighborhood safe . beat location , Herald square 5 minute walk Grand Union , 24 hour drug store less 2 minute walk , plenty place eat . give hotel bad review must expect door man mint pillow every night , less $ 150 night New York . want place sleep take shower , not spend 8 hour day hotel , come see city , look four wall hotel room watch television . not waste money national chain hotel , stay Grand Union , regret . 
 Jun 30 2005 	 Excellent price ! 	 boyfriend stay Grand Union 6 night June find fault . quite tight budget want spend much hotel . read reviews Trip Advisor decide Grand Union glad do . the hotel room large expect , extremely clean quiet . staff friendly certainly rude ! fridge room useful reception provide hairdryer free request . internet access good . hotel also store luggage final day extra cost . would highly recommend hotel anyone budget . the thing would say good food diner attach hotel . eat breakfast impressed . 
 Jun 28 2005 	 great location / price / service 	 return five - day stay Grand Union Hotel . besides great price , 's lovely hotel . yes , room ( one double bed ) small , New York . although , get glimpse room would hold family , look quite large . room clean functional . front desk personnel accomodate . location phenomenal . central everything - shopping , restaurant , cafe . hotel would rather spend hard - earn money shopping , eat , roam street New York . hotel want room service , ice machine , valet parking man carry luggage . ( two woman love shop visit restaurant ) love hotel stay ! 
 Jun 28 2005 	 can not beat money 	 first let us talk location . be next 33rd St subway one stop Grand Central take downtown Little Italy & amp ; Chinatown without change line . two block Empire State . good delis usually selection restaurant ( although look hard ) . also right next Madison . area clean safe consider NYC ! staff seem part extended family not English first language , , NYC . always find courteous well organise . good breakfast place next door , internet available , soft seating , restroom luggage room downstairs . the room big expect comparable average european hotel room . air con not effective least ! short would recommend place . will not find well money . 
 Jun 15 2005 	 Great Location Good Hotel 	 budget trip NY girlfriend review read tripadvisor decide choose hotel overall hotel seem good chose . spend 4 night Grand Union Hotel could not get well place stay first trip New York . location great close Empire State Macy 's also walk distance Times square . hotel clean room good size . great cafe next Hotel go virtually every morning opinion nicer place breakfast , everyone friendly food good . I would visit Hotel value money money spend . ideal place stay budget planning spend much time Hotel . 
 Jun 14 2005 	 never 	 know one thing sure will never stay another night hotel . give room must broom closet , DAYLIGHT , warm water pipe , hardly isolated go right room make whole room feel like sauna , also smell bad room pretty seedy . furthermore staff unfriendly helpful ask advice . 
 Jun 14 2005 	 cheap unfriendly ! 	 ' ve stay handful hotel New York know expect , typically New York hotel expensive room small , certain extent Grand Union quite typical . room small expect , surprised attitude staff , constantly moody one instance downright rude . ask iron guest use face total look disgust guy behind desk , have ask something obscene ! guess , iron , hairdryer . oh yeah , bed squeak like hell tiny . spend 5 night , 1 night New Yorker glorious . quid , try elsewhere ! 
 Jun 4 2005 	 great price ! 	 think Grand Union Hotel great price . may fanciest big hotel clean good location . look hotel ' want spend big buck place . save money Macy ' . 
 may 31 2005 	 good deal good location lovely hotel 	 compare many Hotels N.Y. - especially Manhatten , must hotel good location - price take considereation get good room ( good value money ) . will not get swimming pool , parkview skyline .. get something like Manhatten pay 10 time hotel . new york stay comfortable hotel want spend money hotel , go somewhere else ... want nice clean room , incredible service great location - PLACE . stay week , pleased ... stay next time ... oh , go .. dinere locatede next lobby excelent breakfast head Empire State , Macys & quot ; attractation & quot ; - right next Hotel . 
 May 31 2005 	 great clean 	 nice price minute tourist place around . clean room ( small ) nice staff . our room backyard silent . smart reservation internet we swedish folk .. breakfast ... sorry . 
 May 24 2005 	 Excellent Budget 	 Grand Union Hotel not perfect , could not well place last 10 day . price location good important thing : room really clean . stuff friendly help we problem . come back recommand friend . 
 may 16 2005 	 ideal people budget 	 get back NY spending 5 night Grand Union , cheap , clean resonably well situate , Sheraton ! ! travel budget perfect ! ! room service every day friendly staff ! tad small do not really spend much time , enjoy time ! go back would probably go bit upmarket . eat head w46th St eight Nineth avenue find brazilian restaurant call Brazil Brazil . food excellent good value money eat $ 22.95 veggie do not bother meat ! ! ( bbq skewer serve table ) good go twice ! ! 
 May 5 2005 	 recent visit 	 well locate , Park Madison Avenues , two block Empire State Building , good access part city . 33rd Street Metro entrance within 100 yard . room adequate without overlarge ( major issue anyone plan spend time sightseeing ) , bathroom good , plenty hot water , clean towel everyday . late April cold occasion central heating effective - friend locate room back hotel find hot ask move . room front hotel suffer street noise early hour - never establish refuse collector delivery Fed - Ex depot couple door street - loud . Cafe attach hotel serve reasonable breakfast , though gravitate Brooklyn Bagel little away . minus point absence tea / coffee make facility room . staff accommodate without overfriendly - issue . new lounge open - ever install bar would perfect . 
 Apr 30 2005 	 Superb ! 	 thoroughly enjoy small , slightly outdated , view , room Grand Union . 's point hotel room ? case somewhere sleep recover be go outside ... 5th Avenue Empire State building stone 's throw away , subway half block ( walk right direction ! ) , find couple great restaurant less 5 minute away diner ' in ' hotel not bad either . great able get online lounge hotel too . we would certainly go back look another cheap hotel break New York . 
 Apr 30 2005 	 unexpectedly seedy 	 past have stay hotel rate 2 star actually ok -- clean , frill -- surprised find hotel downright seedy . first forewarn : upon check , clerk hand tv remote control ( ? ? ) , tell need return checkout ( ? earth steal remote control ? ) . not mind small room , cram together , barely big enough bed . dusty smelling . tv console wall next door , view have sit floor front bathroom door . heat full blast swelter .... remove creaky , dusty panel top radiator & amp ; able turn . go bathroom greet lovely centipede tub , dust windowsill . faucet sink dispense low pressure water . also , even though thing need , list amenity room : alarm clock ( none ) , hair dryer ( none ) , datum / modem connection ( none ) . last least , check give receipt , ask one tell ' internet people responsible ' -- have book online . definitely first . sadly , experience ' m long willing risk anything rate less 3 star .... 
 Apr 28 2005 	 good value 	 frequent visitor NYC , generally stay budget hotel . I fortunate get room last minute , read generally positive review site . generally satisfied accomodation , save $ 40 / night compare originally book small room similar - class hotel neighbourhood . previous guest note , hotel recently refurbish . carpeting furniture appear fairly new . carpeting particular probably instal within last month . unfortunately , already cigarette burn . 's fault hotel course , availability non - smoking room would help . ( despite sign lobby non - smoking environment , advise room designate non - smoking ) . room smoke smell , except two occasion smell smoke neighbouring room . bed comfortable housekeeping excellent ... friendly cooperative . ( remember leave tip good service ! ) . new tv function well , HBO ( use much ) .have fridge room definite plus , something usually available similar class ( 2 * ) hotel NYC extra fee . hairdryer available desk . I need use A / c . ( unit window appear quite old ) . night chilly could use strong heat . probably sufficient though . the location convenient ... close subway stop , Fifth Avenue . all , would strongly recommend hotel budget accomodation be look absence non - smoking room issue . hotel maintain property well , continue good choice . 
 Apr 26 2005 	 perfect base .. 	 book hotel web , price want wife stay 3 day NYC .... £ 35 per night double room . the quality , location value ? well not really know ' ve there . all say pre - occupied modern decor fawning staff , well hotel want comfortable safe base hotel shadow Empire State stonesthrow 5th Avenue . the bed comfortable , everything work room clean small , old fashioned look it . for value location .... 10/10Not place snob . NYC ? ? ..... second London Town ! ! 
 Apr 24 2005 	 get pay 	 room dark dingy . one light not work , A / c not work , sweaty sticky every night . dead cockroach lie florescent light fixture overhead . bed comforter gross scary . the price location good , staff nice , would pay little well quality . would stay . 
 Apr 19 2005 	 quiet clean 	 price , little anxious getting ... could afford plan b make reservation hope well ! stay nearly week , ' m pleased report Grand Union clean , quiet great value money . though not realize time , be also quite conveniently locate -- anything mid - town walkable 's short way Penn Station catch train . not scared , give try ! 
 Apr 17 2005 	 Great Find 	 & quot ; grand onion & quot ; son call , twice . one kid , second time two kid . stay great . first time room quite small oddly shape .. little alcove fridge . one second floor window overlook airshaft , kind ugly , keep curtain close . nice bathroom pretty tile everywhere . perfect trip . second time get huge room , two twin double bed . cost bit first room , maybe 30 buck . worth much space .. really two connected room wide opening , nice bath pretty tile . yes , elevator slow one planet agree , be ok .. hoof alot & amp ; stair . like diner next door go breakfast lot , egg , french toast etc . basic fine , really nice folk work . take train NY 's perfect walk Penn Station right hotel . ride bus lot be ( kid like subway want see everything whenever ' m NY .. guess win discussion : ) . transportation convenient . come outside , think lovely building , little gem , welcome ! 
 Apr 13 2005 	 great location 	 book six night Hotels . check - in quick easy . room small hot first arrive . luckily , ( noisy ) air - conditioner instal every room , temperature quickly fix . room clean tiny . bed comfortable . big complaint come incident happen third day 7 . still asleep wake sound water splashing bathroom floor . find water come upstairs ceiling . water stank bad sure enough call reception right away . promise fix problem ASAP surely fix leakage quickly , nobody ever come clean mess bathroom ( even though say problem fix ) . , big negative remark service situation . also , never see receptionist smile stay , pleasant customer service experience altogether . room clean ( unless count bad smell water pour upstairs ) location great , less 50 meter metro stop 100 meter Empire State building . low - cost internet connection lobby . room fridge nice . room quiet mean lousy view . would'n go second time lack smile poor reaction aforementione problem situation . money , go & quot ; real & quot ; hotel . 
 Apr 1 2005 	 Great Location safe neighborhood comfortable bed 	 return stay Grand Union teenage daughter . review help make decision much research ! want spend $ 300 per night Spring Break shopping trip room go sleep . go 8 am 11 pm every day blast NYC ! usually stay 4 star hotel high business travel . stay Essex house NYC several stay really love ... & quot ; coin & quot ; business trip . also stay several low low cost hotel NYC ( like Milford plaza ) . room NYC , low price hotel , particular tend small noisey ( experience ) .i looking spend $ 150 less NYC trip find room Grand Union within budget ( 130.00 plus tax ) . pleased stay way except one . tthe picture hotel accurate . lobby clean inviting . neighborhood fantastic two woman walk around feel safe . $ 6.00 cab ride 5th Avenue shop Time Square could easily go anywhere subway step away . take subway , except late night . block Macy 's Herald Square ( much well bloomie ask we ) . ton place get great food great price within walking distance . desk folk warm , polite curtious . room dark , poorly light , small , ( large NYC ) plenty room suit case shopping find . bed comfortable bed crisp clean ( well last ski trip Holiday Inn stay matter fact ) . room quiet . never hear neighbor hear garbage truck occationally . shower work fine nice hot water bathroom clean ample towel . fridge . like reviewer say bring hair dryer alarm clock . furnishing actually well expect , nothing fancy . complaint carpet room . dirty wear . wear shoe walk around room . , , give place thumb would probably stay ( bring flip flop wear walk around room ) . definately would recommend Murry Hill Neighborhood vs noise Times Square . yes , room price many standard ( especially two star hotel ) , NYC , please spend money pocket thank stay Grand Union . PS buy ticket Empire State Building could never use line long - advance ticket get we short line . FYI , -do not bother buy ahead time . 
 Mar 30 2005 	 superb 	 Small ( 90 room ) hotel solid build . lot upgrade go ( quietly ) . good room - yes small side 4 ' 6 '' double bed - hey - wifes 50th birthday - make holiday , close together : ) clean , load towel , hot water , great front house service - housekeeping ( 3 night ) . location beat price . free safety deposit box . helpful advice go get . little diner next hotel - do not fancy one bit - do not look clean restricted menu - be not hotel fault.5 minute walk Empire State building - 5th Avenue ( shopping ) . bout 10/15 minute walk Macey 's ( shopping ) - get ' 6 ' train ( round corner ) Greenwich village , Canal St , Little Italy , China Town , Battery Park Statten Island ferry ( free ) give hotel go - well worth . 
 Mar 30 2005 	 Excellent ! ! 	 wife stay three day . clean room lobby . functional price quite steal location , easy access subway , safety , central location site - seeing . always hot water staff help we locate car service . excellent deli corner Brookly Bagel Cafe block Empire State building . no - frill hotel , outstanding budget minded . 
 Mar 22 2005 	 overprice 	 room extremely small . appear update version hostel . request non - smoking room course get smoke do not want . appear squeeze bed armoire room . enough room walk around bed . lot transient around . would recommend unless room price $ 100.00 
 Mar 11 2005 	 get pay 	 book room September 2004 Grand Union Hotel 7 night . originally book online , find call hotel directly , could get 7th nite free . call hotel verify , remind make sure cancel online reservation two reservation . 5 1/2 hour flight arrive late evening make way Penn Station Grand Union , find reservation we . young man desk keep repeat cancel reservation hotel full . almost tear , book hotel 3 month previous idea would even start look another place stay within budget . finally remember piece paper luggage prove reservation make , desk clerk finally gave tell one room leave emergency situation , one nite , hotel book solid follow nite . steaming point head slow elevator ever top floor hotel grungy little room back building . next morning bright early talk manager front desk . much accomodate young man deal previous nite tell worry , would let we honor reservation . end stay rest trip , whole ordeal leave bad taste mouth . New York budget hotel , would take Super 8 Times Square Grand Union anyday ! 
 Mar 5 2005 	 fantastic location 	 Girlfriend arrive back NYC two day ago . Grand Union good , clean hotel excellent location . hotel less two minute walk Empire State Building , five minute Macy 's less 30 second away 32nd Street Subway station run full length Manhattan . the room , whilst small , comfortable warm fully serviced day . room television telephone . hairdryer obtain free reception . addition , reception area also hold safety deposit box free use guest . the hotel also arrange car airport . Grand Union Newark Airport cost $ 55 plus toll car arrive brand new air condition Lincon , big change dirty New York City cab . I throughly recommend hotel anybody visit Manhattan , fact , like much booking September stay Grand Union 
 Mar 3 2005 	 excellent base ny visit 	 stay three night last weekend , hotel basic requirement NY stay . old hotel , room quite small clean - right night city . staff helpful polite , rate excellent 32nd St location . would definitely recommend friend . 
 Mar 1 2005 	 consider Cost 	 Grand Union Hotel terrific consider reasonable price . room small , bathroom quite nice location central . problem ... room warm , turn heat open window . New York City need spend great deal time room ( reconsider choice trip ) want save money good choice . 
 Feb 27 2005 	 Loved Grand Union 	 stay January 2005 . room small clean . view- cares- go outside . close enough everything . elevator . excellent , reasonably price diner right hotel . room triple $ 120 . plus taxis . parking garage street ( $ 25.00 day ) . store luggage last day fee . would definately stay . 
 Feb 26 2005 	 Pretty good 	 think hotel pretty good . desk clerk see pretty good looking . nice pleasent . room clean , view . see outside window nothing . room extremely small , good want place sleep freshen . hotel 5th ave , empire state building . close Big Macy 's also Rockefeller center central park , do not mind walk . hotel pleasent stay 
 Feb 24 2005 	 warm clean central ! 	 stay Grand Union hotel 18 - 22 February 2005 think perfect . room really warm shower always hot . hotel clean double room reasonable size , comfortable bed ! 's alarm clock tv internet access downstairs . room back onto brick wall , view hey , want go New York look window ? ! plus side quiet , traffic noise outside . downside not know 4 inch snow walk front door - magical surprise ! amazing location , walk several tourist spot , take subway end road . get really take bus - try take go uptown downtown Park Avenue , brilliant seeing . try Brooklyn Bagel Cafe 32nd 5th Ave snack / bagel / flavour coffee / hot food . Pershings Cafe ( 42nd opposite Grand Central Terminal ) amazing breakfast - pricier infinitely well cheap cafe beside hotel . 
 Feb 23 2005 	 's lady 's roach ! 	 stay Grand Union 6 night mid January 2005.on check notice cockroach crawl bag . complain desk manager advise one must bring . not knowingly bring roach along ride , know , be possible - not see insect stay . the room small reasonably clean , grubby bed ( check roach ) - perhaps be grubby hotel bed , not usually look . overall pretty good deal - 's good location say stroll Empire State building local subway get eastside connect line ease . three internet terminal lobby - charge fast , handy exorbitant checking e - mail . east 32nd street good korean restaurant - recommend 's Bo Gam . 17 modern cosy bar enter good food restaurant beyond . 's friendly relax close Grand Union . 
 Feb 16 2005 	 Perfect every way 	 location , boyfriend move 3rd day New York . stay 3 - 7th Feb - four night total . we not relise central convieniant trip , mainly hot spot city . just block empire State pretty close Times Square etc .... prefect tourist holiday ! room also clean nice cosy . sleep like log every night noice nothing surprised ! ! hotel nice enjoy stay ..... 
 Feb 14 2005 	 Fab hotel 	 get back grand union , fab hotel , great value . stay double room , room large expect room table chair well bed , wardrobe & amp ; tv . room really clean , warm cosy . quiet bed extremely comfortable . would definitley recomend ! ! ! 
 Feb 13 2005 	 excellent location decent hotel 	 stay 3rd Feb 2005 5 night . location excellent , 33rd street subway station right door step . be one stop Grand Central . hotel minute ' walk Empire State Building . excellent internet service , always check e - mail . heating hand not always reliable . guess go spring time summer will not matter . Shower be always hot . Staff Cafe friendly , good breakfast menu . 
 Feb 8 2005 	 tip 	 stay Grand Union ten day . clean , friendly wonderful value , suggest want coffeemaker , iron - bring one plan buy inexpensive one stay . hair dryer front desk , upon request . love quiet hotel , especially get room near back . great place quick , inexpensive meal corner 31st 6th : fresh juice , organic meat , bagel , muffin , open 5 midnight . 
 Feb 1 2005 	 great base short visit NY 	 wife stay Grand Union 3 night last week short break New York . sightseeing / shopping trip requirement central location safe area planning spend much time hotel . we stay snowy spell room always warm plenty hot water . the noise hear stay hum noise fridge sort plug out . ok room small basic room bathroom clean . overall like we , look base , could fault Grand Union 
 Jan 28 2005 	 cheap clean cheerful thrill ! issue .. 	 ok ' m England stay many US hotel , although none NYC . surprised & lt ; $ 100 hotel would comfortable , double room , whilst small , perfectly fine partner sleep well every night ( 5 total ) .Pros- cheap , cheap beat hotel offer ensuite- great location , close amenity , 2 block empire State less 10 minute walk Penn station , stress great location ! ! - helpful staff , assist book cab JFK , give advice postal cost UK , call duty feel , actually offer post postcard back run late ! ! ! - clean service efficient- fridge room ! cons- 3rd floor shower variable temperature , day would fine next would go hot cold time hard one . stress always hot water bath always possible . seem toilet flush another room cause it.- wall thin could hear room , especially noisey neighbour seem lot guests.- review state alarm clock clock fact book wake call reception . clock fridge ... go figure ! would happy recommend hotel anyone , plus point weigh gripe con minor niggle , even shower bearable , annoy anything else . 
 Jan 11 2005 	 good price clean friendly staff great location 	 pleased room service , especially give low price ( $ 100 US ) . kind enough give we room bit view Empire State Building ask . 2 block away . also , accommodating need leave luggage luggage room week stay ( cruise end flight home ) . give we chance explore New York hour . rating reflect value location exemplary service . would also recommend eat Barking Dog , block away . 
 Jan 6 2005 	 Great Place Price 	 stay two friend last November . request recieve Quad wihch 2 twin bed 1 queen bed . way place . room good size clean consider pay excellent . part town good . be close # 6 line go anywhere ease . good experience would stay . noise issue Friday afternoon work something behind hotel lot Banging go . easily fix NYC would room anyway . oh mini fridge room come handy . 
 Jan 5 2005 	 good one two night 's stay ... 's . 	 pretty clean , yet small , single bed room . however , tissue clock present , available . third floor promise bit difficult night 's sleep room 's thin wall and/or window block city noise . shower change temperature every flush someone else 's toilet ... bit adventure . furthermore , shower pressure kink garden hose . , pay $ 107 one night suppose would return ( hope shower issue , since big gripe ) . summary , place stay be tired take LIRR home come upstate ny via Amtrak b / c straight three block walk Penn Station . 
 Dec 22 2004 	 good safe hotel 	 come back weekend New York stay Grand Union . initially choose deal good ( $ 110 night ) reviewer say great thing . well , right . room small ( three foot side bed wall , four foot front tv armoire ) , bathroom decent size look like remodeled week . plus , everything spotless hotel quiet . for price , can not expect amentitie would large hotel , lack thing -- first , clock ( think get wakeup call ) ; second , one elevator slow ( 9 floor ) ; third , service friendly , helpful come advice city , especially transportation . however , pleasant surprise mini - fridge room , since ' ve stay much nice hotel not one . the convenience unmatched . much time really room anyway ? close several subway line , Herald Square , Empire State Building , etc . also , lot cheap food near hotel breakfast 24 hour place late night snack ( hot cold bar deli sandwich -- try Brooklyn Bagel 24 hour stuff 32nd 5th -- 1 1/2 block west ) , save money meal activity . good , safe neighborhood ; good , safe hotel . 
 Dec 19 2004 	 go Grand Union ! 	 stay night boyfriend December pleasantly surprise cleanliness size room . bathroom clean shower water hot . hotel excellent location -- close subway stop . would definitely recommend hotel traveler budget . far exceed expectation . 
 Dec 18 2004 	 Pleasant Stay 	 stay 5 day December please hotel . would recommend anyone look stay heart midtown reasonable price . room $ 110 / night , around we range $ 200 - 800 / night . room small college dorm aminitie ( ie iron ) , private bathroom ( discount hotels area communal ) clean . great location walk distination , green line within 1/2 block . go see off - broadway show Slava 's Snow Show . 
 Dec 9 2004 	 Nice hotel excellent location 	 find hotel tripadvisor . rate cheap . hotel nice . room clean small . stuff helpful . location excellent two block empire state building 4 - 5 block macy . subway station 3 building away hotel . 
 Dec 8 2004 	 nice thought would 	 girlfriend stay hotel week UK . doubt go . see outside do not look bad . even lobby quite nice . first thing do not like 1 2 staff checking desk . seem quite rude really do not appreciate . staff , cleaner fantastic always make room first come . room bad . basic get hot even air con . blind window broke could not even see outside bit disapointing could not get natural light room . great location shop several 24 hour store open minute walk away . also quite cheap . probably would not go would recommend people low budget 
 Nov 23 2004 	 excellent value 	 pleased hotel . location great - a 5 minute walk Macy 's Empire State Building . one subway line 50 step hotel main line 34thst . we quad room - one double 2 twin . perfect 2 teen . room good size bathroom clean . plain basic furniture , fridge clock radio . staff friendly helpful . great little coffee shop good cheap food . stay 5 star hotel many time grow tired pay big buck room never . $ 130.00 night NYC fabulous value money . also 3 family travel we everyone please . triple room small adequate . woman feel safe . recommend hotel . fancy GREAT value . 
 Nov 21 2004 	 Excellent Location Good Value Money 	 Grand Union Hotel good choice friend ( two 30 - something female ) . feel safe time , location fab reach place , room clean quiet ( believe ! ) staff always smile helpful . fact 3 internet pc lobby handy indeed . I would definitely recommend Grand Union would stay without hesitation . as New York - beautiful city . fun ! 
 Nov 16 2004 	 awful bed nice budget hotel 	 expect price Manhattan ? location perfect , hotel clean , although room small noisy . the real problem bed : noisy uncomfortable , every time change position night wake ... 
 Oct 27 2004 	 right 	 Grand Union perfect budget hotel . clean well maintain , staff friendly helpful time . room small amenity important location convenient great downtown neighborhood . look good , clean , safe place lie head maybe watch ballgame look spend money part travel , place good idea . 
 Oct 25 2004 	 good value money 	 girlfriend stay Grand Union early month 7 night impress hotel price pay . room basic 's want , everything work clean . staff fantastic help anything , maid never disturb we normally not leave room dinner time due great night . room still clean daily . hotel offer free safety deposit box nice touch , 3 internet computer downstairs reasonable rate . street hotel subway station come handy . enjoyable stay would definetly go back . 
 Oct 7 2004 	 Ideal 	 spend forever try decide hotel week long stay NYC finally decide Grand Union , price right , location look good comment webpage positive . arrival pleasantly surprise . hotel spotlessly clean , room great size maid service everyday fresh towel daily . really good mix people hotel , one look ' dodgy ' range family old people young backpacker . hotel 2 block Empire State Building ( 3 min walk ) ideal walk location anywhere . go little , metro station Green line ( well serve line ) 30 second walk away . never try ' in - hotel ' diner , seem popular . get know bagel seller around corner Park avenue get bagel , tropicana $ 2 . right next fruit seller really cheap , fab fruit ! ! would really recommend . ( set u day ! ) 's load place around eat . frequent Maui Taco time - right next empire state building opposite large Bagel deli serve hot cold food fab sandwich ( like place New York ! ) sorry abt ramble ! see really enjoy stay Grand Union top ! would thoroughly recommend . PS . be go visit Metropolitan Museum Art , try make Friday night , string quartet pianist play upstairs gallery 5 pm , roof / sculpture garden become New York style cocktail terrace Upper East Side type come work drink watch sun set Central Park ! New York ! ! 
 Sep 29 2004 	 Fine Budget Place 	 spend 5 night end September . good location . good bright front lobby , helpful staff handy internet lounge ( 2 dollar 10 min -- multiple session ) . spotless . room spacious clean daily maid service excellent . furnishing little date comfortable . good modern spacious bathroom . quiet fridge room . air con unit modern quiet . remote TV , watch tv . ask room back ( 6th floor ) , much view , mean traffic / street noise . lobby 3 room , disturb guest plus shielded elevator noise internal door . Combination make sleep easy -- case expensive Radisson early year . pay 75 sterling night incl tax ( via Expedia ) . would stay . nearby like Ginger Man bar east 36th 5th blue Smoke / Jazz Standard East 27th ( Park believe ) . artisanal restaurant across road hotel good popular -- long like cheese . 
