third 	 character hotel . luxury . uncomfortable bed / pillow . could not sleep . room amenity , even mini - bar . cheap get pay . . . 
 good 	 good stay , nice place .. access pool casino strip .. prob regard view room .. get seventeenth floor .. still able get good view : ( u specify tht u check 
 Perfect place wedding ! 	 beautiful suite enjoy every minute ! hotel perfect spot everything . close show , hotel dine . hotel clean bright , full life ! attede wedding do nice well . simple , nice . room neat clean . 
 May 9 2009 	 Beautiful Hotel ... LOUD Hotel ! 	 beautiful hotel . however , tell MAJOR construction go outside window hour night ... day , less noise DJ blast BOOM BOOM BOOM music pool . speak front desk , could not care less . even say get complaint time . also , would like add , not Las Vegas year , level morality ... not bother . disgust soft core porn everywhere ! must go , heaven 's sake ... not bring KIDS ! ! ! 
 May 8 2009 	 mostly good - inspect room first 	 negative : first arrive , room still trash housekeeping miss . bad , wet , dirty washcloth leave tub . promptly change room . supposedly & quot ; upgrade & quot ; we put we & quot ; high floor & quot ; room , view not good strip . however , view mountain great , stay . room strong distinct marijuana smoke smell first walk . deal ready hit casino . next day go . later discover wall paper thin hear neighbor next we clearly , day , since room overlook pool , pool music loud crystal clear come room . feel consierge could knowledgable ( eg : know Wynn golf open public , not ) well . bed tad firm bathroom extremely small . positive : Location , location , location - excellent location ! staff nice try hard accomdate need answer question . rate fantastic compare hotels strip 's still nice enough place not feel settle ( much ) . move , room seem clean ( except smell , think carpet could use good shampooing ) . breakfast buffet AWESOME totally worth money . not try lunch dinner . fast food court come handy quick cheap meal run . water pressure shower rocked ! , would stay good time . 
 May 7 2009 	 Excellent Excellent Excellent 	 read bad review tell picky person Monte Carlo Excellent every way . surprize we . seven room book trip Grand Canyon , family nineteen teen ager one year old three year old . walk caniso get room . pool area great , honored request seven non smoking room away construction sight . , linen clean towel wash cloth top quality . travel lot would say one well stay . believe bad review . christian would miss lead . Monte Carlo excellent choice . may 2 May 5 check fast . Great Hotel , give try write good review also . 10 star Monte Carlo construction almost do lobby spotless breakfast buffet right one Hawaii . great choice food terrific . 12.88 person lot choice nd love . eat cheap mcdonald well health wise 
 May 5 2009 	 pleasantly surprised 	 stay three night April 26 - 29 pleasantly surprised . check breeze able use & quot ; invite guest check & quot ; due comp room . deluxe room room clean , somewhat update comfortable bed ( surprised ) . first night stay room 2 queen , although request king . however indicate could move king room next day . problem try occupy room finally happen around 4:00 p.m. husband stand invite guest line least 45 minute . line couple people , however keep call people line . needless say , husband frustrate ! guess not complain get room free . speak . the bathroom big , say , New York , New York , big TI Mandalay Bay . we love food court , husband large breakfast Sbarro every morning , bring coffee hash brown room , enjoy guacamole chip Rubios . even though not like buffet general , lunch buffet last day price around $ 30 ( ? ) total . enjoy & quot ; make order & quot ; Philly Cheese Steak think something different usual make order pasta etc . the casino bit date ( stayed shortly open ) , easy navigate large aisle . we go pool one day complaint none beverage server make area . go pool bar buy double rum & amp ; coke Malibu & amp ; diet $ 33 . cup probably 12 oz . Weather high 70 's , low 80 's . crowd not bad , sign time . I must say staff friendly nice compare staff New York , New York Oct 2008.We not eat hotel restaurant , comment . 
 may 5 2009 	 bad experience Vegas ever ! ! ! 	 go Vegas twice year stay many MGM Mirage property . almost always go pool never horrible experience . First REALLY loud music pool start around 9 am , sleep late option . arrive pool open seat , hardly room walk matter . wait line 20 minute expensive drink ( vegas expensive drink expect ) find tube rent 12 year old son steal adult male , another child . later try use replacement tube , splash mercilessly bachelor party $ 20 drink fill pool water . happen lifeguard watch laugh . ask stop replace drink , say helpless talk manager . manager also helpless go get General Manager pool . never complain , people way hand touch people belonging . wait wave pool GM come talk drunk man bachelor party jump tube try take . wrestle tube away yell man try punch face . woman way . security come , huge scene , nothing do . stand stare let get away . everyone whole property helpless . thing receive free drink request . child parent traumatize day ruin . comp give even complain control nature pool . come vegas lot go rowdier pool include club rehab hard rock mandalay bay busy . nothing like ever happend we . one ever even bother we ... even CLUB REHAB- wildest party strip ! never stay Monte Carlo unless go casino whole time , good part . wake sunday morning loud speaker make announcement wed party 8 am . stay Mirage , Mandalay Bay , Paris instead- one bad guest service experience life . use work guest service ... not complain unless something wrong never write review , experience bad . 
 May 5 2009 	 pretty darn good place stay 	 first time hotel , apprehensive consider many poor review . good : fast checkin , friendly staff , construction noise , clean large room bath , good convenient location , fast valet service , good food cafe , lively casino area . bad ? : tired room decor , noise neighboring room , slow shower drain , awful buffet , ridiculous internet access fee poor tv station option . overall price location , good value ( except Sat nite stay price due Championship fight town ) .The bad buffet prime rib ever . nearly bad bbq rib , inedible . wonder line friday nite . ' ve go Brand streakhouse . overall , definitely consider next stay . 
 May 4 2009 	 not waste money time 	 hype Las Vegas - think great little 4 day get away ! boy , disappointed ! not think ever plan another trip , sure will not stay Monte Carlo . spend lot money comp terrible . end get 2 buffet piece eat dinner buffet comparable Luby 's , twice price . take advantage compe buffet check almost take act congress . people player club inexperienced every time want know comp get phone secretive & quot ; marketing & quot ; person . front desk bad - can not tell anything comp . therefore everyone send run around desk desk . the room okay , not expect fresh towel daily not expect coffee morning wake . unless pay outrageous price room service coffee go downstair purchase coffee McDonald 's Starbucks . another thing - bring soda water room complimentary bottle water leave room soda machine least 2 floor check tape order ! go two floor look soda machine work , give go back room . they wifi internet access . plug ethernet port even work . could access internet pay $ 5 minimum little public kiosk lobby . want print boarding pass charge another $ 1 per page ! ! ! ! slot tight see anyone win anything . spend lot money playtime casino crap . my advice : not go . want go excellent hotel / casino know treat patron not want travel Las Vegas , try l'auberge du lac Lake Charles , LA . gorgeous hotel casino , great staff , friendly people , wonderful food , complimentary beverage bar casino soda , water , coffee . 
 May 4 2009 	 Great 	 First , ' m huge fan MGM Mirage property . say ... room need major update good cleaning . bedding Holiday Inn - level , surprising . bathroom pretty bad . clean , amenity , towel wear bath unappetizing . shower lever barely work . pool cram lounge chair construction right next , probably good experience . PROS : huge hotel walk elevator right lobby . lobby area look nice . Great mid - strip location . 
 May 3 2009 	 fine pool . 	 acknowledge enjoy quiet moment read pool not first thing people look forward plan trip Vegas , provide welcome respite clanging slot machine . Monte Carlo . single square yard sizable pool area assault loudspeaker pump hip hop music high volume . read relax poolside utterly impossible MC try create sort & quot ; party atmosphere & quot ; hour -- even noon . ' ve get problem hip hop nurture & quot ; pool party & quot ; atmosphere guest love stuff , surely MC could set aside section pool area guest value little peace quiet address one another & quot ; dude & quot ; . 
 May 2 2009 	 never ... 	 hotel much potential , fail miserably.my first complaint pool ! decide factor stay incredible pool . wife manage hang 15 minute ! dj probably bad ever hear ! dislike techno , do not ... software match two beat together , make good dj ! ! ! crap start around 9 am go 6pm.the construction eyesore sucked ! true vegas style , someone decide build8 , yes count 8 , structure site ... right next door hotel ! work go 24/7 , real noise start 6 am ! restaurant suck royally . think place open aside fast food joint brew pub , insanely price steakhouse . speak fast food , ever would think Subway restaurant ANYWHERE would actually charge 12 $ sandwich.the casino drink water almost non alcoholic , tonic water always substitute flat club soda / sour mix . actually order drink bar 9 $ .i pretty much blow away try charge stuff . expect hotel convenience store bit price , vegas probably 10 time prior , expect ' vegas pricing ' . however , trip truly dumbfound ridiculous las vegas business get charge customer insult price actually get away with.and trip bid farewell las vegas forever . let coke yuppie LA . 
 May 1 2009 	 good deal strip 	 room nice comfortable . bathroom large accommodate . clean . staff courteous helpful . pool fun even adult , love lazy river self propel current . almost good beach . enjoy poolside bar drink allow lazy river . get awesome picture take home we . leave personal belonging lounge chair without problem . thank Monte Carlo & quot ; Girls Weekend & quot ; never forget . love deal room budget still get value full - price stay . 
 may 1 2009 	 lovely hotel - great base stay Las Vegas 	 ' m little surprised review Monte Carlo stay . say go Vegas sit pool day - first visit be day . going relax yes 's probably ideal - little saw pool area seem cramp buidle site loom . however purely base we . we great view strip . room clean comfortable two big bed great shower . rest hotel clean usual casino , food court , restaurant buffet place . like fact although - particularly theme hotel well bit escape other . the staff helpful well organise - especially buffet section - almost military ! eat buffet breakfast dinner excellent food value . the building site next door take wow factor strip bit would unfortunate look onto it . we think hotel good value , comfortable good location sit pretty much middle main hotel . Las Vegas amazing although tire go site see rather relax - although hotel theme differently pretty much format . like load gambling shopping Vegas ! 
 May 1 2009 	 nice stay 	 Stayed Vegas frm 4/27 - 4/30 & amp ; get great rate $ 47.06 / night ! ! pass economic time ! first time location & amp ; think nice . room clean , bed comfortable . 's show little wear 's fine . update w / flat screen , plug cellphone desk would help laptop wire / jack available . check in / desk service pleasant & amp ; courteous , housekeep good . food court w / Starbucks , Sbarro , chinese place Cafe open 24hrs , good . ( food court Venetian well . ) eat Diablos french restaurant swim pool . gambling table fine , 's lot penny & amp ; nickel slot fun . I recommend get bus passto get around town & quot ; Deuce & quot ; . 24 hr pass $ 7 3 day pass @ $ 15 & amp ; purchase right bus . unlimited ride time frame ! ! well worth price since one bus ride $ 3 . since bus & quot ; Strip & quot ; double decker , go stair get view night life . bus stop right front hotel come fromthe Fremont ( north ) direction head back way , get front MGM catch bus . they say Vegas well since convention / conventioneer & amp ; economy bad , sure seem lot people ! ! feel like Vegas ! also , allow extra time shuttle pick airport . allow extra 1/2 hour since many hotel stop , get late . ever tell place call pickup , add 30 min . overall , 3.5 rating . 
 Apr 29 2009 	 good time despite construction work 	 agree previous comment regard construction work much impact otherwise good hotel . pool area indeed ' pack like sardine ' level music noise time disturb say least . , particularly want rest night gambling drink part vegas holiday we . also build work limit sunshine pool nice people therefore struggle find sunbed feel like med attempt reserve bed well area . dust construction site indeed pest overall disappoint sunshine element holiday . hotel area - room , buffet casino nice ; clean , excellent service could perhaps lick paint update . say good holiday . however would cautious future regard pool limit sun . 
 Apr 29 2009 	 Great Hotel cheap price 	 hotel kind hide gem . think elegant inside affordable . room nice never problem noise house keeping . lot construction go next door quite bit dust air noise never problem . pool pack kid still nice . small wave pool lazy river really nice . problem find chair adult pool separate kid area . manage find little kiddy pool tuck hide area great laying . many people come water shallow enough sit still get sun . hotel great location , right next New York , New York across street Planet Hollywood . restaurant nothing special would recommend go somewhere else eat nice little food court subway , starbuck , mcdonald , sbarro 's kind chinese food . problem close early look late night snack come bar luck . occasionally sbarro 's would stay open late pizza limit open till 2:00.I would definitely recommend hotel anyone . friend love would deinitely go back . 
 Apr 29 2009 	 Poem Monte Carlo 	 review hotel soBut 's necessarily bad place go . what nice not casino need walk , instead simple lobby store too . it be basic hotel need place crash , not worry spend lot cash . the pool big lazy river ride , fill people 's suntan lotion ride tide . the location fine really way , be basic place - what say . 
 Apr 28 2009 	 not ... word can not describe ' ve ruin great hotel 	 fourth stay Monte Carlo past five year really look forward . be always good value , be great location can not offer good bar restaurant like strip hotel solid quality always appeal . wife love relax excellent pool ..... now . as near colossal building site loomed view , engulf hotel three side noise , dust site traffic . worry , be really hotel 's fault . room decent enough check early . window cake dust site , render extra pay view little wasteful , not go Vegas sit room , . still not going let thing bother we . but gross mismanagement hotel become clear decided hit pool , essential part Vegas stay . much pool side terrace sell building project remain area see sunbather pack like sardine various pool . fortunately management Monte Carlo find way limit number people compete space sun . the music around pool loud awful destroy notion relax lie pool , read drinking . loud literally make feel sick . wish joke . I ' m strange outdoor music festival rock concert never hear noise like . imagine try drown noise building site , even still , make pool totally off - limit . wife like gamble fair drink evening crash pool recover . 's way Vegas . Monte Carlo , would seem . bad still , sound geriatric , music sound like creation manager 's son beg dad let play mix pool . 's truly appalling . sort thing would expect hear buy tone deaf nephew set deck Christmas , play volume rival Boeing 747 take off . however ... nice touch . look escape Brew Pub bite lunch , look like canteen monstrous building site , cover dust litter hard hat high - visibility jacket , also fire alarm go every 15 minute duration stay . explain away & quot ; 's nothing worry & quot ; ... well , pretty annoying . much like way Monte Carlo run . the accommodation staff pleasant despite MASSIVE building site , location Monte Carlo remain outstanding . however , basic important failing mean hotel could never return , even couple year building work may finally complete . we go Luxor instead . ideal comparison sooo much well . however , not conference fill many well hotel would go Caesars Palace uncontested favourite Vegas hotel , previously Monte Carlo snapping heel . 
 Apr 24 2009 	 can not wait surround construction ... 	 like Monte Carlo quite bit . ' ve compe room several time . downside moment City Center construction go . plus internet access $ 14.99 / day ! be pretty pricey . be even WiFi . WiFi room hit miss ( mostly miss ) work pool area stay close building . get rid Wheel Fortune slot like ' m go look elsewhere . like Brew Pub great see different playoff game going eat . 
 Apr 23 2009 	 FANTASTIC value 	 stay @ Monte & amp ; MGM -- - prefer Monte . MGM entail ton walk ( stay regular double 1st year & amp ; go & amp ; pickup morning coffee ; ' trek ' ! ) monte well rate , ( 3 year row ) .... , Monte 's Concierge Floor ' hand ' MGM 's & quot ; signature & quot ; ( food - wise service - wise ) great location - be right @ NY NY , Excaliabur , & amp ; Trop . , & amp ; World & amp ; 1/2 - price Tix Booth right across street , CVS & amp ; walgreen steps away ... pick incidental , Luxor & amp ; mandalay short tram - ride , & amp ; MGM Monorail - go end strip . 
 Apr 22 2009 	 ok room average 	 price could afford enjoy vacation stay monte carlos , buffet good close early husband go vacation really not . money high end hotel stay monte carlos ok affordable 
 Apr 19 2009 	 nice hotel 	 hotel south strip near City Center area . room ok clean service receive good , Buffat good good dessrt . important mentione parking area charge limes space easy find spot . 
 Apr 19 2009 	 okay good ' ve MC 	 stay MC many time . time stay Spa suite , excellent price . room decent large . clean , except stained carpet . spot light bed jacuzzi not work . curtain jacuzzi come half way . , pay fine , would pay normally ask , would worth . room face construction , not feel noise bad . be actually improve since prior stay . ( work inside building ) .You could occassionally hear beep truck backing . bathroom large . nice fridge room also . check in / out go quickly . valet staff AWESOME ! ! never wait car long friendly ask need direction . look quick bite eat food court many option . not use food court , eat Brand , good Pub . not spend day pool , shaded , cc . MC send we e - mail sign text message hear special activity would going stay . not even bother try sign . try leave . never receive one message they . we not terrible stay , stay feel MC get little date . would stay MC , think stay somewhereelse next time . usually stay Monaco Suite & amp ; time Spa Suite . upgrade category room , could stay Bellagio , Palazzo Wynn regular room nice price . ( imo ) want something 's clean nothing exciting worth stay . something little , would not recommend . 
 Apr 18 2009 	 Excellent Service - Great Hotel 	 highly recommend hotel . ' ve stay many Vegas favorite . good value price Vegas . high end high quality . staff good around Vegas . hotel casino great . comfortable hotel stay . suitable couple family . travel teen daughter spring break . shop relaxed pool . pool area great family . lazy river , wave pool , jacuzzi regular pool . relax good music play pool area . located great area walk around strip easily hotel . foodcourt lot good place like Starbucks , Sbarro Italian , Hagan Daz ice cream , Mcdonalds . market cafe restaurant ate serve excellent meal lot choice everyone . go Lance Burton magic show also excellent . 's family suitable child , teen adult . every person encounter work hotel provide excellent service . room nice quiet . sleep well hotel . move Flamingo ( horrible ) front desk let we check early . gift shop nice thing souvenir . casino comfortable fun play . fitness room great . valet parking good Vegas short wait get car . highly recommend hotel ! ! ! 
 Apr 15 2009 	 great guy concerige desk helpfull 	 room clean comfortable friendly staff see jay mike concerige desk good help advice thing see 
 Apr 15 2009 	 place stay elegant style great service Vegas ! 	 choose stay Monte Carlo Vegas hotel , since get great deal decent location strip . hotel clean elegant decor . overall casino floor much quieter overcrowded one Bellagio Caesars . come appreciate quietness see hustle bustle Vegas . there convenient food court right near hotel room area , consist : Starbucks , Subway , McD 's , Manchu Wok , Rubios . great quick bite snack . we stay Monaco Suite , lovely . room face side hotel ( toward Excalibur ) away construction noise currently go development City Center complex side . sure request room away construction , unless want wake 6 am every day . room spotless modern appeal dark furniture , king bed , suede couch , floor - length mirror , 2 bathroom , flat panel tv , calm blue - gray wall . complaint room - great ! location hotel center strip one would imagine . be right next New York , New York somewhat diagonal Planet Hollywood , block HUGE Vegas take forever walk anywhere . would probably stay north Planet Hollywood next time , be spend time ( Bellagio , Caesars , Venetian , etc ) . not get wrong though , Monte Carlo beautiful hotel think sometimes overlook . offer great pricing , definitely worth stay be budget ! 
 Apr 12 2009 	 Poor Average Mediocre ................. 	 check 29th March 2 week . check fine . ask room high away construction . pay extra $ 10 per night room 25th floor . Room look strip poor condition . furniture chip mark carpet , sheet blanket tired . bed spread wear ! ! Bathroom ok though shower head low ' m onlt 5 ' 9 & quot ; ! ! ! tall bend shower . bed side light flicker every time go near cabinet . last time stay Stratosphere time think pay cash well Hotel . wrong . hotel need complete makeover thing say bed comfortable although pillow thin even lay 3 hit matress . room service $ 77 would expect hot ! ! like everything else average . 
 Apr 12 2009 	 Average Hotel ok get good deal . 	 stay 8 different hotel 6 visit Vegas . Monte Carlo average well . pay full price would disappoint . get great deal , look average room , consider Monte Carlo . building looks date inside . staff neutral attitude ; rude enthusiastic either . casino quiet pool ; people bay find appeal . pool area nice except City Center construction loom it . our package include bunch & quot ; extras & quot ; pretty much useless . free slot $ $ offer anyone get join player club . food court coupon bunch buy item one get item 2 half coupon . 2 free buffet good free spa pass would ok use they . the & quot ; 2 drink Diablo 's & quot ; coupon useless Diablo 's joke . staff , terrible service hostess perpetually talk cell phone . we room City Center construction side , comment construction noise . the location ok hotels side strip convenient side monorail on . we eat Dragon Noodle restaurant enjoy much . good food , friendly staff , reasonable price good selection . would recommend it . overall , Monte Carlo kind let price pay , OK . $ $ , say $ 40.00 - $ 60.00 / night stay much well hotel like MGM.If look quiet , average hotel strip , stay Monte Carlo around $ 45.00 / night right . 
 Apr 12 2009 	 Decent place location value nothing fancy . 	 stay April 9 - 11 think overall hotel decent . basic delux room . think room fine , nothing fancy , clean comfortable want . furnishing update nicely . complaint water pressure shower not great , faucet dripping . call next morning tell guy come fix walk right still bed partially naked . : ( not traumatic ! nice apologized come back later fix everything normal . give we 2 free buffet comp though nice dinner . also build new City Center next door , wake around 6 am beep noise truck reverse construction noise . husband sleep though . bring ear plug read review help ALOT ! stay room 236 11th floor near construction . overall tolerable two people live Oregon country . think amenity ok . compare hotel like Planet Hollywood , MGM , Paris , etc ... think low end . pool pool , other outdo . like Brand lounge , offer 2 1 drink deal . buffet not great . food ok selection wise , flavor ok . glad not pay $ 18 pp it . I think hotel fine location deal get . would rathere stay hotel like PH , Paris location amenity . be nice shop close . 
 Apr 12 2009 	 Nickled Dimed 	 another MGM property try soak every penny . extra cost : internet $ 14.99 per computer ; coffee tea room ; $ 2.00 per page print boarding pass . 
 Apr 11 2009 	 nice place stay 	 take hotel part USAir pkg . hotel clean right strip . several fast food sit restaurant site 's easy make choice without leave property . make sure tell desk clerk want room north side face construction new city centre . talk one person make change room noise . if be senior , ask senior discount coffee McDonald 's open 6:00 . also get free refill . great early riser east . 
 Apr 7 2009 	 ok . 	 stay Monte Carlo 3 day recently mother 2 adolescent daughter . lobby hotel relatively impressive , check - in fairly painless . room impressive . kind small little dingy , though bathroom really nice . bed comfortable , except non - fit sheet want stay mattress . ask room away construction noise , hear construction noise room , elsewhere premise . hear noise adjoining room , awaken around 4:00 a.m. couple lovebird room next door . the pool area nice , though bit chilly we swim . not spend lot time casino , can not really comment . food court handy considering kid we . buffet , good , especially dessert . much well Excalibur 's , Vegas buffet ' ve try . big gripe internet service . advertise high speed internet $ 14.99 night . not learn get price per laptop ( 3 ) use 1 laptop time , wireless . end go service call Traveler 's Wi - Fi , much cheap , crappy connection entire time . probably well alternative , course , could not research without internet connection begin . guess not go Vegas stay internet , be something be important , might want research go . overall , not bad experience , definitely nothing write home . 
 Apr 6 2009 	 much well expect ....... 	 husband plus four couple recently stay ( March 28th April 1st ) Monte Carlo . really worried read review do book whole group . 10 we agree would stay next visit Las Vegas . our room 27th floor face away construction . quiet , comfortable clean . upgrade could king - sized bed not leave price level . pay $ 10 extra night ; however , compe check . think would worth ask . casino host notonly compe room also meal charge room . every service person contact helpful courteous . especially enjoy staff ( Karen specifically ) coffee shop . the casino quieter small lot casino . easy findour way around . also like food court close elevator . 
 Apr 6 2009 	 Wish stay Ceasars Palace 	 stay hotel 7 year ago , apart lobby , room get tired looking . , like other ask room away construction view strip . well , first room 9th floor ( ? ) view roof multi - story car park inch view MGM opposite ! next day move 21st floor although well view still tired look room dark . order food Sbarros casino floor stone cold , cook rubbery . nothing good spectacular stand we hotel woud therefore never go back . next time go stay Ceasars Palace location , shop friendly atmosphere . 
 Apr 6 2009 	 good value 3.5 star Strip hotel stay quiet side 	 book block room Monte Carlo trade show . third business stay MC ... room clean , spacious well furnished , start show wear . would give MC 3.5 star , solid 4 star room refurbish . unbelievably low weekday rate $ 49 per night ( trade show ! ) Ripoff internet $ 14.99 / day SLOOOOOOOOOW.Great Strip location near New York MGM Grand . close airport , walkable LVCC ( Taxi good option ) . nicely decorate several good restaurant food court . friendly efficient staff . & quot ; Cafe & quot ; good decent value breakfast ( start $ 9.99 ) . casino relatively small gamble . pool look nice swim either . other note , stay & quot ; non construction & quot ; side upper floor away City Center construction , due completion December 2009 not run money . cc heavy construction ( demolition , pile driving etc . ) winding , still noisy City Center side Monte Carlo . avoid frontage road behind cc , construction access . parking could issue new garage look due open soon . 
 Apr 5 2009 	 ' ve hundred hotel one bad 	 March , fiancee spend 3 night Monte Carlo Hotel & amp ; Casino . upon check , let clerk know want quiet room away City Center construction , high floor face i-15 clean king bed . room turn absolutely disgusting . shower hair wall , floor dirty bottle cap previous occupant could hear water running wall quite often . room queen complain front desk say check next day . check next day put we king bed different wing hotel . 4 , start hear bang noise ( metal ) discover place we right top construction area . ask speak management could offer excuse noise hotel . stay three different room three night equally appal term cleanliness . immediately remove bed cover toss floor telling live . stay hundred hotel numerous country lifetime absolute bad . New York New York next door nicer ' ve hear Venetian nice . 
 Apr 5 2009 	 bed Bug Infestation ! 	 add noise hallway , significant wake complain something bite . find bug bed . report hotel staff confirm bed bug infestation room . tell go doctor luggage deconaminate . would consider reimburse we . person dealt never volunteer comp stay $ 59.95 per night , ask . say would think . stay Monte Carlo . 
 Apr 3 2009 	 great value strip 	 stay Monte Carlo two night March 2009 . book pkg website , good price extra , like two buffet , two drink , etc . first time Vegas we , stay three hotel , say Monte Carlo good other . little afraid review weren´t great , experience good . check take five minute total , line bell approach we , take care luggage second great mood . ask room away construction work , honor without problem , even give alternative choose . room big , maybe problem little dark , orientation . however , hotel main light ceiling anyway ... bathroom enough room , wasn´t huge , big average house bathroom . understand people say furniture little old , true , nothing extreme , run . go pool , try lazy river , extremely fun ! pool area close construction site , didn´t notice . try buffet casino , love they . when go complimentary drink Diablo´s , girl say we don´t even bother charge room , fine , nice gesture , place make we show kind proof redeem they . we foo food court late night , great cheap , late night option there . the location good , everything Vegas huge walk anyway ! addition , casino public area crowd , like popular hotel . I think perfect option good location , good quality affordable price strip . 
 Apr 2 2009 	 awsome 	 go Vegas February , location hotel good . room clean ready 10 . good get morning 9 . stuff friendly . recomend buy double decker pass 15 $ 3 day , get everytime want go every 15 minut . Strip long . hotel beutifull own byt 2 owner worth spend hundred dollar hotel room , room diffrence Lobby venetian lobby beautiful room Monte Carlo . anyways do not go vegas hang around room = ) = ) eat buffe 20 $ 1 good , next door Excalibur 2 1 pay 20 $ 2 . 2to6 pm . overall love trip hotel fly . fly sunwe complimentary dinner drink massage hehehe : 
 Apr 1 2009 	 ok exactly expect 	 Nice hotel , great location strip want see casino / hotel . major construction make parking nightmare . hotel crowd , yet still not room reserve want we pay upgrade get reserve . queen size bed like double . 
 Mar 31 2009 	 stay somewhere else ! 	 beautiful hotel , great location large room pluse hotel , be willing pay less clean , noisy room , dim lighting , $ 15.00 day internet connection , coffee pot ' get to ! ' , favor stay somewhere else ! 
 Mar 31 2009 	 great location good price 	 stay March 16 - 19th Monte Carlo . ask give room view extra charge . room great view MGM Grand Polo Towers . construction noise minimal . room wall seem thin , pipe noise toilet flush next door loud . shower well experience hotel . issue room fan bathroom , fan come room adjust temperature , way drown outside noise try sleep . could hear music come Diablo 's bar street unitl hour . comp seem generous , $ 50 food credit cafe we , even though would not consider big gambler . would stay . one thing though , brew pub not brew since change ownership . 
 Mar 30 2009 	 pretty good price wish thing different . 	 room not horrible . wall thin every time person next we flushed toilet could hear . rule people hall loud ... wake 530 drunk people take picture outside door . construction next door beautiful 24/7 project noise always . ( btw do ... much sun pool .... already block even finish ) . staff pretty nice we . buffet thought price even Vegas be not good begin , thank goodness ROOM COMPS ! warning : sensitive skin , request hypoallergenic sheet towel .... break hive due sheet towel ( rough ) . 
 Mar 28 2009 	 Good Value money . 	 spend five day Monte Carlo , great stay . book vacation request regular non - smoking room since first come , first serve basis run room 9:00 pm . how - ever give free upgrade 28th floor . nice room , aside lamp flicker everytime touch desk . room face pool construction site , awake 6:00 never really bother . noise bother , CVS pharmacy open 24 hrs buy ear plugs . bed comfortable , room spacious thought go ( ' m NY use cramp room ) . casino floor well light easy find look resturant favorite slot machine . food fantastic , love thi breakfast buffet , graveyard special steak egg great value . casino hotel locate strip next well - know casino like New York New York , MGM Grand . make stay good staff . friendly , helpful , courtious , deffinately go back . 
 Mar 28 2009 	 noisy pool noisy construction otherwise ok 	 husband stay 17 - 20th March . room fine location , middle south end strip , good . also whole place not large Vegas standard , far walk anywhere disorientate first - time traveller Vegas . however right new CityCenter project construct right next door construction go night . extremely noisy wake repeatedly . would recommend stay CityCenter project complete , unless deaf . problem pool - Vega hotel pool pump music speaker pool area ( without leave even one little quiet corner ) music Monte Carlo blaring . like club . way could read book listen mp3 player lie pool - give hour . side , eat buffet ( breakfast ) would definitely recommend breakfast buffet - 's nice room , well manage , tasty quality food , bargain price . 
 Mar 24 2009 	 Nice Hotel ! 	 husband return long weekend Monte Carlo . lucky enough comp room entire stay , have problem pay $ 70 night Monte Carlo usually charge hotel / casino / room nice . check breeze willing give we room view extra charge . room comfortable clean great bed , nice bathroom , safe closet great travel sized shampoo , lotion , etc . spend lot time casino part , dealer friendly easy going . run one grunpy shoe shiner one rude dealer , overall , great staff ! casino lovely cocktail waitress fast ! will bring anything want , not forget order top shelf ! location nice - easy walk casino construction noise problem . not get chance swim , pool area look nice . ' ve stay hotel Vegas would rate Monte Carlo new favorite ! 
 Mar 24 2009 	 Beep beep beep beep ... 	 awoken 7:00 Saturday morning sound construction vehicle backing ( beep , beep ) saw hammer etc . City Centre Complex build right next MC . able change room somewhat quieter Sunday morning . however , Monday construction back full swing though somewhat quieter , still awake early sound construction . bring earplug stay hotel away City Centre . 
 Mar 22 2009 	 pretty upscale inexpensive hotel strip 	 Room clean . Liked food court . free parking guest . far strip much nicer expece money . 
 Mar 19 2009 	 bad great 	 stay march 15 - 18th . good part hotel casino location . clean , crowded big . however , play $ 15- $ 20 blackjack hand not even want card unless play least $ 25 hand . property happily take card . drink service top notch 3 4 day dealer nice . food court casino also plus . weather great mean early get chair . pool area TINY enough chair lot area shade . drink service pool good . check speedy . ask away construction honor . room ok . not spend lot time usually not issue . pillow provide bad one ever sleep far . would provide well pillow , would stay price really good . 
 Mar 18 2009 	 comfortable . 	 overall great place stay . check breeze . arrive noon several room available immediately . choice pool view , strip view mountain view . opt pool view , get room could hear noise construction change much quieter mountain view . ask construction noise checking . room clean comfortable . nervious reading review aobut bed bug . careful inspection 3 night later , sign bed bug bug . we book stay play package , good value probably would well take AAA rate . offer $ 20.00 food court coupon . keep mind voucher . order something get free pop free tortia chip . much saving will not use coupon . also come 2 buffet voucher . worth $ 20 & amp ; $ 40 depend meal . buffet okay feel obligate use many choice Vegas . the food court nice & amp ; reasonable . McDonalds , Pizza , Mexican , chinese , Starbucks Hagendaz . also reasonably price Pub mexican restaurant Diablo 's . diablo 's always busy $ 3.00 drink special 3 - 7p.m . temperature not allow we enjoy pool . take walk pool . nice area one main pool , lazy river wave pool . enjoy casino 's . not spend lot money gambeling enjoy monopoly game . casino seem good payout . could not win anything else . main pool water chilly .... heat . location good . walk distance many main hotel , casino 's show . across street 1/2 ticket booth show . short line 3 boot . not go one next & amp ; store Bills . line long . learn not get & quot ; real & quot ; ticket . pay show direct venue show pick & quot ; real & quot ; ticket seat assignment . hotel not plush Bellagio room not big , good value . look basic ammenitie expensive restaurant shop great place stay . 
