could 	 get great deal Priceline two day advance annual black Friday boondoggle . location beat . one half block Union Square . lobby busy arrive people come go - they several doorman valet duty . even though arrive busy time two hour ahead schedule check immediately greet give room . front desk , gracious accomodate fact accidently show credit card wallet ! ! wait elevator , notice lady really struggle get elevator really big rolling suitcase . employee jump nowhere help ask other need help . nice - I love see people make extra effort come service . lobby nothing exciting . 's long narrow , front desk right enter elevator leave . behind elevator small seating area decorate holiday . room 21st floor . look Westin St. Francis ( daughter fascinated outside elevator ) , Sir Francis Drake Hotel Starlight Room tiny peek Union Square . book room bidding site . . expect get one & quot ; less room & quot ; , be fair enough . room seem sub - par anyway . spacious clean like location high floor . right next housekeeping closet expect noise morning , happen . either quiet 's little used closet . bed super comfortable nice linen . extend stay , plenty room put thing . spacious closet , two dresser . tv amoire Mini bar / fridge - sensor kind can not use fridge stuff . 's desk chair small sit area arm chair table window . Liked iPod docking port . thing room not perfect , other mention , furniture little bang up . the storage bathroom countertop . nice , Portico brand white ginger soap shampoo little tube toothpaste ! not eat Grandview 36th floor go look BEAUTIFUL spectacular view ! ! would drink bar full . would recommend hotel service , cleanliness , spacious room awesome location . especially get $ 66 price tag ! ! fun ! 
 Nov 28 2005 	 awesome experience ! 	 Booked hotel mini - getaway family Thanksgiving weekend San Francisco . absolutely beautiful . course city SF beautful . tell , walk standard room delight see far standard ! modern update furnishing , beautiful interior , boy view grand ! perfect view Christmas Tree center Union Square ( tree lighting ceremony view room ) , plus could see Macy 's , Cheesecake Factory , Neiman Marcus . amazing . wake morning , walk across street beat crowd all - popular Thanksgiving Day Sales Macy 's Loehmans street . 's shopper heaven , artist dream , luxury spot one . kids husband love ! get good deal hotel , prepare expensive valet parking . 
 Nov 8 2005 	 Excellent location concierge staff 	 spend week September extremely pleased . the incomparable Union Square location -- walk distance almost everything , give impression city lay around hotel instead way around . comfy , king - sized bed , coffeemaker , plentiful bathroom amenitie decent view -- although stay 11th floor -- nice added touch . the restaurant shopping recommendation concierge staff dead accurate ( mention several top - notch sensibly price asian restaurant ) much appreciate . highly recommend long not car ( park $ 45 day ! ) 
 Oct 12 2005 	 Pleasant Stay ! 	 spend one night Grand Hyatt happy experience ! not stay number year hotel renovate since then . my room 26th floor incredible east facing view ( skyline middle , water view right left ) , bed comfortable nice pillow linen , room clean plenty large . nice bath product , towel . great shower , lot water pressure clean . love little tiny tv bathroom : ) also , iron work really well ( sound stupid amazing often not work properly ) always enjoy option complimentary coffee room . staff pleasant easy deal with . do not miss lounge 36th floor , great place cocktail look view . I definitely stay next trip ( soon ) . 
 Sep 26 2005 	 great location 	 stay two night mid September . hotel well locate shop Chinatown . cab fare Fisherman 's wharf $ 10 otherwise jump one crowded cable car . room small city great , do not waste time sit inside long . would definitely stay . 
 Sep 25 2005 	 great deal great location 	 friend town overnight see play . get great room deal online , room spacious clean 22nd floor view Coit Tower . comfortable bed pillow . tv bathroom fun touch , however get cable channel big tv . eat dinner top floor Grandviews restaurant , delicious . receive coupon free meal ( Grandviews ) 11 % Macy 's Dept Store . location can not beat , walk distance Union Square Market Street shop , Chinatown , Financial District . long wait car , though , 20 minute , plan ahead need leave specific time . 
 Aug 27 2005 	 really nice great location 	 fairly typical Hyatt , locate near Union Square great shopping , access cable car , Chinatown , etc . small room Hyatt , efficient front lobby staff ( valet parking bell boy slow surly -- like business type good show ) . 
 Aug 23 2005 	 Nice Hotel Terrific Location 	 nice centrally locate hotel . good service . room average sized Hyatt nicely decorate , dark wood . room face directly north fantastic view bay , Alcatraz , Coit Tower Fisherman 's Wharf . Regency Club excellent outstanding view . Meals Grandviews Restaurant also outstanding outrageously price . one poster mention street noise . slide glass window room need repair . stay hotel least 20 time several occasion land room window keep noise . check soon room ask different room significant noise . 
 Aug 15 2005 	 fabulous would return give value 	 husband stay Grand Hyatt San Francisco four night . arrive right check - in time , line room quickly . room visually nearly expect overall , issue . major problem level comfort king bed . run close second term discomfort stay London two year ago bed beyond uncomfortable . figure would attempt night see go , many time throughout night due discomfort . tour early next morning , upon arrive ask another room due bed . one desk staff ask floor tell 9th , say bed ( least ) floor update , floor . room available night , agree move we remain two night . new room , bed ' nearly good one stay Hyatt Regency Huntington Beach Hyatt Regency Scottsdale , well start hotel . hotel room seem need minor remodeling show age . example , bath tub room mildew . also , regard cleanliness , first room washcloth hair bathroom floor . the location hotel good expect give level prior research . near cable stop near tour pick - up hotel . order room service although expensive standard , tasty . word caution – would generally recommend walk around night area due number panhandler . overall , would recommend hotel due value location . 
 Aug 10 2005 	 great location even great view ! 	 1st time stay San Francisco truely pleasure . get Hyatt Friday night , easy , speedy friendly check - in . get room 24th fl . yes , room kinda ' small comfortable , clean view ! thing , town , much see ... get room enjoy ! ! order room service twicw bit expensive folk deal pleasant , orderly professional ... oh yeah , food great ! hotel great location , restaurant , shopping , bar , dancing , buss trolly line , close Chinatown , store shopping kind , Union Square always local set small kiosk sell wear . sweet walk , go neighboorhood enjoy culture FOOD ! ! stay 3 day go time , place go back enjoy twice . enjoy , 's great town , folk friendly . go back hotel town . 
 Aug 9 2005 	 Location can not beat 	 would recommend hotel notwithstanding glitch stay . stay Grand Hyatt 3 night early July . know high tourist season SF , surprised able book reservation night arrival . location can not beat ; within walking distance Chinatown , moma good shopping area . somewhat inconvenience loud road repair street adjacent hotel , hotel control noise barely discernible upper floor room . would recommend upgrade upper floor room view Coit Tower . view SF breathtaking vantage point . room also slightly large low floor . we problem service hotel include extra pillow blanket never arrive despite repeat request misunderstand restaurant coupon receive upgrade ( coupon apply differently state ) . nonetheless , talk management , problem quickly take care . would definately return hotel . 
 Jul 13 2005 	 fantastic hotel near Union Square 	 stay Grand Hyatt San Francisco July 8 - 10 . get room Priceline day leave fantastic price $ 80 per night ! ! ! ! four star hotel can not beat price . step Union Square , five minute walk Powell Bart station . take Bart San Fran Airport -- 30 minute ride $ 4.95 . hotel close Chinatown , North Beach , Japantown , public transportation . Union Square half price ticket booth theater . Les Miz play block hotel . must go Ferry Building Satuday morning . great Farmer 's Market 8 - 2 ( get close 8 am possible since get rather crowded ) . number stall serve hot breakfast behind Ferry Building live music . great way spend morning ... right water , great people watch . People buy organic produce , bread , meat , fruit favorite farm . bring shopping cart , basket tote bag . buy pint strawberries pastry sit bench watch scene . weather perfect . inside Ferry Building excellent place eat -- -mijita , Delica , Ciao Bella . food San Fran fantastic . besides Chinatown go Japantown -- really feel like be Japan . many place eat , shopping mall everyone speak Japanese . place go sushi dish .... hotel clean nicely decorate . king size bed . toiletry provide . complaint water pressure shower little weak bed tad bit hard . , service great . would definitely stay . 
 Jul 13 2005 	 enjoy Grand Hyatt 	 husband book package airfare five night stay Grand Hyatt Travelocity . much research online , choose four star hotel location outstanding value . please overall . beautiful room view , excellent service , great location Union Square , China Town cable car . hotel staff warm friendly . concierge , Annie , helpful making arrangement various trip wine country , Monterey / Carmel , place interest . extremely happy tour group suggest . area dissappointment hotel food . bar restaurant wonderful view city , food dining room enjoyable . tough , gristly steak & quot ; shrimp & quot ; ( tiny , bay shrimp ) bay scallop ( tiny gritty ) pasta bad food ever . realize hotel not know wonderful food , hope much well . , would definitely recommend Hyatt Grand . 
 Jun 25 2005 	 amazing View Terrific Staff 	 stay Grand Hyatt San Francisco leave unacceptable & quot ; landmark & quot ; Union Square hotel one night trip . Grand Hyatt desk staff incredibly accomodate find room balance vacation . stay 29th floor overlook city bay . bellman tell we room recently update . linen pillow - top mattress nice ! everything clean view incredible . staff meet friendly helpful : doorman , front desk , bell service concierge . location hotel convenient Union Square , China Town , shop theater . hotel area , request upper level room , slight cost premium , want well view less street noise . 
 Jun 22 2005 	 Lovely Hotel 	 Altough hotel extrude business / formal impression extremely luxurious well manage 4 * hotel . partner stay one club level room , room well equipt , clean comfy ! bathroom quite small serve 's purpose non less . addition club level room , day drink light meal serve pleasure . view hotel wonderful make sure ask ' good view ' ! would defineately recommend hotel well within everyone 's budget . 
 Jun 5 2005 	 grand 	 Hyatt Gold Passport Diamond member stay many Hyatts around world surprised see hotel classify Grand Hyatt . room worse many Hyatt Regencys elsewhere world . example , blanket thin polyester military style blanket . day age almost every nice hotel upgrade duvet comforter ( even four point Sheraton ! ) , find truly disappointing . the room small , well clean , need update . bathroom small separate shower small tubThe service also quite lack qualified Grand Hyatt . take housekeeping 30 minte bring laundry bag . the good part hotel location , right Union square , close shopping BART . course mean poorly insulate window could hear every car police siren even 33rd floor . try Park Hyatt not walk Union Square shop . much well hotel . 
 May 19 2005 	 service excellent view spectacular . 	 book Grand Hyatt first trip San Francisco closeness Union Square Regency service . hotel service good view Regency level restaurant world . staff hotel helpful courteous . Regency service strictly continental breakfast ; however , plenty coffee great . would highly recommend hotel . close cable car hub easy catch taxi location choice . hotel clean linen quality wonderful . view 33rd floor room magnificient could see Fisherman 's Wharf , Alcatrez , Coit Tower China Town . will not go wrong . safe atmosphere . 
 may 18 2005 	 location value primary attraction 	 stay five year ago , recently return . thing property not change , like early 90 's time warp . Decor date threadbare , can not beat location potential get reasonable rate online bidding site . front desk pleasant , not offer upgrade possibility . give fifth floor room overlook garage . room clean , bed firm , linen / towel standard , certainly luxurious . Bathroom contain odd little tv . Location Union Square super - convenient . not try hotel food , many great dining option walking distance . 
 May 2 2005 	 Great Location Price Queasy Room 	 location fantastic . right Union Square . lot great shopping within block starting point famous trolley . lobby clean classy valet check - in staff professional efficient . breakfast include deal service good . buffet breakfast decent spread - hot delicious . all say , come negative part . room disgusting . non smoking room end hall , next chambermaid 's supply room . luckily could not hear anything . dreadful part hotel condition room . bathroom small tub shallow old . quite dark shower not separate light tub . carpet old clean condition . son drop toy behind bedside table reach get . compact lipstick stuff back . look like someone not vacuum dust room decade . filthy ! bed soft wake backache . pillow lumpy icky . sheet clean bedspread blanket disgustingly dirty old . think bedspread direct contact pillow . the price great 5 star hotel location . thing hold back stay condition room . 
 Apr 20 2005 	 ! 	 suppose 4 star hotel ... please . could not tell sleep floor bed . pillow like sack potato . offense room smell like grandma 's house . stinky ! stay Omni Hotel $ 60 less night completely awesome stay . would think GRAND Hyatt would able compete less star hotel . even close . check staff say pleasant accomadate we early check nice . overall would say two thumb stay hotel . view 36th floor keep place chart . 
 Apr 5 2005 	 Unbelievable deal hotwire 	 reading review prove really can not please everyone , especially hotwire user ! get rate $ 77 per night hotel Hotwire ( categorize 4 - star hotel locate Union Square East ) , complete steal price , less half rack rate . clean , comfortable , spacious room king - sized bed , great view Union Square . complain valet parking rate , ' m sure else expect bring car downtown San Francisco , parking naturally premium . trip confine touring within city , car necessary location ideally locate near form public transportation . ( want spend time wine country , rent car day ( ) , . ) also , hotel free high - speed internet ; $ 10 per 24 - hour charge Grand Hyatt certainly high going rate . People surprise must travel much . bottom line : would satisfied hotel even rack rate , Hotwire deal , fantastic . 's terrific base sightseeing shopping . 
 Apr 4 2005 	 Grand Hyatt san Francisco great 	 return San Francisco Friday April 1,2005 . stay Grand Hyatt fantastic . locate good spot , walk distance shopping district , place eat . could pick well place stay . room great , nice clean view fantastic , 20th floor corner room . hotel staff polite always anxious serve we . love San Francisco , planning go back , definitely stay Grand Hyatt . go tell friend plan trip city stay Grand Hyatt . 
 Mar 30 2005 	 great hotel 	 great hotel ! stayed month good experience . hotel friendly helpful staff , good concierge , great view restaurant top excellent location near Union Square , block three cable car , BART Muni train streetcar Market . 
 Mar 10 2005 	 Grand Location ! ! ! 	 parking bit expensive $ 41 valet parking , guess 's get travel big city . hotel great location plenty transportation option , car really necessary would rent one next visit San Francisco . Grandviews Lounge great place first cocktail night offer great view entire city . hotel concierge staff get good city , arrange wonderful day trip we Wine Country absolutely love . 
 Feb 14 2005 	 location great hotel ok 	 location hotel everything . virtually Union Square middle fine high - end shopping world , within easy walk distance Chinatown , terrific spot . people work nice enough , place reasonably clean . shower curtain bathroom bit mildewy , expect would change immediately call housekeeping . not know price compare similar hotel neighborhood , probably line . couple night conference , bed comfortable room noisy 9th floor . someone 5th floor say hear traffic night . would not mind stay someone else pay , small , intimate , hotel within block much less expensive nice accommodation . 
 Feb 12 2005 	 another mixed review 	 nationally recognize name like Hyatt , guess expect . find average place stay . sense warmth - like impersonal lodge hide gimmick increase revenue . Hyatt charge $ 39.50 customer parking night , hotel check city / private garage $ 31 . room small referigerator snack tray warning : pick one automatically register bill . warn use refrigerator personal item , call housekeeping need . room nice , clean complaint comfort . hotel conveniently locate shopper , downtown walker gawker , theater district . much walking distance . 's ' bad ' hotel , one entice back another stay . revisit SF try one small , less know hotel , yet hotel also receive local high rating accomodation . 
 Jan 16 2005 	 Recommended- reservation 	 pay $ 75 room Priceline one - night stay 1/14/05 . upon check , request room high floor meet offer give room 29th floor extra $ 20 , would include 2 continental breakfast ( worth $ 20 ) Grandviews Restaurant top floor Mezzanine Cafe ( room service allow ) . give b / c staying view little upset not anything original room rate . check person tell floor 25th unobstructed view . our room overlook Coit tower could see little bit ocean - breathtaking ! room wear mirror odd place , nice - sized closet tiny bathroom . tv bathroom basic toiletry . connect internet via modem charge , friend 's laptop seem detect wireless free . even though room next vend / ice machine , quiet get good night 's sleep . we breakfast upstairs Grandviews Restaurant find continental breakfast horrible- coffee , orange juice , choice 1 bread ( bagel , toast , English muffin , danish ) - 's ! ! ! ' ve take waiter 's offer use breakfast certificate toward buffet ( $ 21 ) make - to - order dish menu ( $ 11 ) . would ' ve deduct $ 20 order not go continental . view restaurant amazing . in end , location can not beat : park Sutter - Stockton garage across street pay $ 14 parking 6:30pm 10:30AM . staff nice accomodate , would recommend $ 20 upgrade plan eat breakfast hotel- cost food offset upgrade fee . future , would ask recently upgrade room request , since stay renovate Hyatt Denver room much high quality . hotel 's restaurant not seem notable except breakfast , not much else , hey , 's Union Square . 
 Dec 29 2004 	 enjoy Stay 	 stay Grand Hyatt Dec 26th one night . room nice clean . average bathroom . view lounge 36th floor fantastic . offer suite upgrade $ 75 , decline . pay $ 99 Hyatt website . big issue hard mattress parking charge . starbuck across street . suprise restaurant near hotel . location close Union Square . 
 Dec 26 2004 	 well expect 	 stay Grand Hyatt five day December 15 20th , 2004 , Union Square area do beautifully Christmas , holiday rush peak . pleasantly surprised room service stay . first night problem problem noisy elevator keep we awake , follow morning hotel staff quickly move we another room new room , view Union Square 25th floor , quiet comfortable . good sized bath , dress area comfortable bed make hotel pleasant respite day sightseeing shop . breakfast 36th floor restaurant , terrific view city good food start day pleasant note . bad thing could note would $ 40 day charge parking $ 10 daily charge internet service . say , extremely convenient car quickly bring around anytime want , internet service work well . get excellent room price web , overall cost five day stay reasonable . would definitely stay Grand Hyatt . 
 Nov 30 2004 	 Nice Place stay Excellent Room Service 	 wife stay city Thanksgiving weekend , Priceline get we $ 80 / night rate Grand Hyatt -- half rate travel website . little concerned , give mediocre review last month ( cleanliness issue , etc . ) , fortunately hotel worker ' strike end early week . although & quot ; 4 - star hotel & quot ; may lead expect luxurious room , 7th floor spotless , enjoy stay . pro : excellent meal ( although inexpensive , require 19 % gratuity plus $ 3 delivery charge ) -- perhaps good room service ' ve ever : seafood Louie , smoke chicken primavera , berry creme fraiche , NY cheesecake wonderful . location ( block away Union Square close many nice restaurant coffee shop ) . rather large room ( SF , anyway ) king - size bed . relatively quiet . small second cable tv / radio bathroom ( ! ) . well cable tv service hotel ( include CourtTV , Discovery History Channel , HBO , Starz ) . nice quality toiletry . con : bed hard , although not aggravate bad back . parking close , either expensive ( valet ) difficult enter ( Stockton & amp ; sutter garage must enter westbound Bush , one - way street no - turn intersection require line entry 4 block away ) . parking / traffic issue make bad arrival date ( day Thanksgiving ) .In future , will probably stay close Fort Mason , wife work weekend , be look big hotel near Union Square , Priceline search 4 - star Union Square hotel may get room . 
 Nov 24 2004 	 enjoy stay ... 	 stay GH 2 night September . got room priceline $ 75.00 per night . staff friendly good accomodate us quiet area hotel . 23 floor find noisy . hear elevator somewhat not keep awake light sleeper . room clean , although , not look bed . bathroom clean mold mildew . linen floor clean . nice view . coffee complimentary , even bring we call . parking pricey , parking across street less costly , not plan drive city . enjoy stay stay ... 
 Nov 15 2004 	 mixed review 	 stay Hyatt November 13 2004 . check - in quick staff friendly . room 23rd floor . nice view great able open slider get fresh air . course door open could hear loud protest lock - out union worker . park garage across street not go & quot ; & quot ; pay $ 24.00 . find almond floor son find bottle juice one bed small pile crumb corner bed . paint bathroom door peel mildew shower . amazed nice hotel would provide coffee maker charge actual coffee ! location great discount shop around next trip San Francisco . 
 Sep 9 2004 	 great location shop dirty noisy . 	 spend three night GH Labor Day Weekend . location perfect shopping , room disappointing . room husband stay dusty dirty . hair bathroom floor , toilet seat sticky , nasty stain mattress dust ruffle room kid ' room . member housekeeping vacuum outside hallway every morning 8:00 a.m. , feel awaken we rather vacuum dirt . admit clean notice every detail , consider unacceptable 4 - star hotel . 
 Aug 25 2004 	 average hotel average price 	 stay mid august 4 night pay approx $ 150 plus tax 2 bed room ( worth ) .check good grade room view 30th floor free continental breakfast $ 20.00 per night.view excellent.right overlook union sq.very windy noisey night could hear police siren nightroom tiredlocation hotel excellent bring car fortune park.the hotel standard 4 star boast worth money pay 
 Aug 25 2004 	 good view good transit 	 stay week August . Booked Priceline , front desk not give we high floor , put we ADA room ( besides grab bar tub , not bad ) . decent view Union Square slide door lead hazardous balcony . room fine could use little warmth furniture ( ADA room bite big emptier ) . lounge restaurant top floor great 360 view city . hotel conveniently locate , good bus service close Powell St. BART muni stop . surround neighborhood not much fun night food limit , although Chinatown 10 minute walk . 
 Aug 25 2004 	 exactly bargain 	 stay Grand Hyatt week ago , last leg 10 day vacation . thought find great bargain expensive city ( discount $ 100 2 night stay ) prepare give hotel 4 star . read user ' review , ' ve change opinion -- think ' m go start use Priceline ! hear people stay $ 75 night make feel like get rip since pay $ 200 night ( without discount ) . figure price , location , Hyatt name , would worth price . think back , hotel really nothing special . ok far decor , room not small . 5th floor , view . also , could hear people talk hall adjacent room , annoying . not think hotel pool ( find , anyway ) would amenity would expect find large hotel . parking fee outrageous ! staff friendly helpful direction suggestion eat . really wish stay close Fisherman 's Wharf , be end spend time anyway . , pleasant stay , look back , not think get money 's worth . 
 Aug 24 2004 	 great location shopping 	 be come San Francisco fun shopping , will love Union Square . hotel right across street Starbucks not like restaurant hotel ( pricey ) , plenty place eat nearby . 's cafe one block away nice breakfast menu . the room nice , unfortunately , use coffee pot room , be $ 2.50 fee ! however , use refrigerator room keep water buy nearby drugstore . the staff helpful friendly . 
 Aug 22 2004 	 Average Hotel Great Location 	 Grand Hyatt prove generally good experience we . stay 08.18.04 08.21.04 . phenominal location , within minute several bus ruote , BART station , Union Square . generally quiet night . great view floor . hotel staff , valet front desk , helpful polite . Especialy impressed concierge ' , steer we great restaurant around downtown . room clean comfortable small four star hotel , decor woefully date ( brown / blue carpet , pink wall , etc . ) bathroom average size lack amenity . sink gurgle grainy sand like substance one night . call front desk engineering fix promptly . the hotel several deawback , however . first valet parking fee . $ 43.00 per night ! live San Francisco know parking premium WOW ! total bill parking ( $ 300 week ) roughly half cost stay six night . outrageous ! problem not many option nearby . two garage within block hotel rate vary limited privilage . be possible , not bring car hotel . take advantage excellent public transportation . careful book . pay rack rate anything near . expensive hotel get . Priceline get $ 75.00 night rate feel valet parking fee barely worth cost . will quote $ 209.00 $ 300.00 per night ( plus parking ) hotel worth . thing , room probably & quot ; squeak & quot ; , especially afternoon . check give small piece paper room key inform wind building sway , result squeak wall . Believe ! 's particularly annoying afternoon . sound like be old ship . avoid Grandviews . view extraordinary food blah ( expensive get ) service terrible . nice bar next restaurant service bad . wait 25 minute two black tan dirty martini . business center sub - par . staff nice accomodate total one fax machine , one copi two computer . get ten minute free 's $ 30.00 per hour use facility . worth . Kinko 's block away . one last thing . several hotel downtown area subject loud protest weekend night . ongoing labor dispute hotel service staff , result orderly noisy demostration afternoon . police hotel staff handle themsleve situation well , beware protestor shove flier face come go evening . 14th floor audible usually clear dark . overall clean , convienent , safe noisy expensive stay . not need much hotel get good rate serve need ( mostly back nice staff ) . be look true , four star experience , keep look . 
 Aug 16 2004 	 great location average hotel . four star . $ 45 parking ! ! ! ! 	 wife stay two night week - long trip CA coast . got $ 100 per night Priceline , say four star . sorry , ' ve four - star hotel , not one . hear park $ 45 ( tax ) decide leave car friend Berkeley take train city . might want find residential neighborhood city leave car , take taxi hotel . front desk able give we room high hotel ( handicap - accessible room ) , awesome view face Union Square bay distance . location great although , someone else point , 's little challenging find ( be quite Union Square ) . one incredibly annoying thing complimentary newspaper deliver outside hotel room morning 5 6 a.m. , person throw & quot ; WHAP ! & quot ; , instead place quietly ground -- thoroughly startle we awaken we morning . good . also , could hear people hallway , open closing door , engage conversation -- not expect peace quiet . overall , hotel trick , get good price . not expect capture character San Francisco . 's regular old Hyatt . also , want truly first - class San Francisco experience , consider use Hotwire find four - star hotel Nob Hill . four hotel , one world - class , even though can not pick hotel , will assure receive great place amazing price . ' ve stay Mark Hopkins Intercontinental ( choose Hotwire ) time , be never less extraordinary . time , however , Hotwire expensive part city . email question ! 
 Aug 13 2004 	 great location ! 	 stay 5 night hotel . get great rate priceline . reduce rate , ok extra charge ... like $ 10 day internet access expensive valet parking . overall find staff friendly 2 occasion use valet parking car wait we get . like previous reviewer find system automatically record purchase mini bar odd , base previous review discard wine bottle side hotel avoid ' corkage fee ' . room bit small , comfortable two people . also window balcony open , able step outside onto - little scary even 10th floor . view great room , could see one side bay . room also quiet . location great , block away cable car major bus route near . also plenty see immediate vicinity . breakfast reccomend cafe 's within block hotel , croissant great . ( Sutter Grant , Sutter Powell ) 
 Aug 3 2004 	 Decent stay 	 four day stay Hyatt serve purpose - clean , well locate place stay . concierge fantastic - friendly , informative . room third floor first night dissapointe - clean old . front desk accomodate switch we well room next three night . the thing bug place minibar . take water fridge , plan replace one purche 70 % less Walgreens ( call cheap will not pay $ 5.00 water ) . guy show door exact item take fridge . Spooky ! see fridge snack sensor product remove . pick ? ? addition , find consumed & quot ; outside & quot ; bottle wine beer charge $ 50 & quot ; corkage fee & quot ; . go garbage ? weird ? 
 Aug 3 2004 	 Good Location 	 Trip Advisor helpful .... go hotel TripA 's review get really great price ( Priceline $ 75.00 ) ... bad part parking rate $ w / tax $ 49.00 night ! , still .. great deal , close chinatown beautiful view room ... lobby bit boring , staff friendly offer great restaurant idea .... 
 Aug 1 2004 	 great hotel stay explore city . 	 return 5 day stay Grand Hyatt prove great choice family explore San Francisco first visit city . the family room far large stay ( holiday include stay New York Las Vegas well ) extremely light due one wall nearly glass . bathroom clean modern good shower . check efficient staff deal stay polite helpful . find staff Concierge Desk knowledgeable full useful advice visit attraction find place eat . even manage get we last minute reservation Kokkari , famous greek restaurant Jackson Street . we buy muni city pass week Stockton Street conveniently situate several major bus route include . 30 Fisherman 's Wharf , Palace Fine Arts also Powell Street minute away cable car . many attraction include SOMOMA , Steinhart Aquarium Yerba Buena Gardens easy walk distance hotel . Union Square great place shopping guest Grand Hyatt get 11 % discount purchase Maceys . also good selection cafe diner hotel not want use hotel breakfast . use Grand Views Restaurant 36th Floor dinner one night food good . worth go take view across city , include Alcatraz . if get opportunity return San Francisco , would certainly consider use Grand Hyatt again . incidentally , people arrive hotel disappoint unable get ticket Alcatraz not book well ahead . book ticket internet April visit 28th July amazingly people ferry say get last minute ticket ticket release every day Pier 39 prepared queue start day . 
 Jul 29 2004 	 everyone 	 disappointment ! room average clean , expect stay Hyatts . big disappoinment extra charge staff . know parking S.F . premium , $ 39 plus tax valet bit steep . valet staff inform we could park parking garage across street $ 28 , pay everytime leave return . decide first night , find next morning cost $ 10 dollar . vary accord long park , never pay $ 18 day leave couple time . find mislead info valet staff . issue little confusing get , even though see front hotel . next , check , woman check - in desk never say hello , welcome , thank ! ask put high floor available , loudly announce book discount rate could not go past 12th floor . not ask penthouse ! make we feel unwelcomed , not pay full price . room amenity , provide coffee maker , pay generic coffee ! stay several upscale hotel never pay . good bet go starbuck across street . hotel maybe good business traveler , convenient location . however , budget prefer spend money fun thing ( like we ! ) might want stay elsewhere . 
 Jul 29 2004 	 Average Corporate Hotel Union Square 	 stay April 2004 although nice hotel , nothing special . seem like good hotel business traveler 's , many conventioner stay time . room clean ordinary . issue shower go scald freeze tv problem . would avoid eat restaurant . food mediocre , although view astounding ( be bar , worth get drink enjoy panoramic view San Francisco ) . parking pricey would call car wait we , would end wait several minute get downstairs . one plus hotel location . right near Union Square , great place walk , although not many restaurant nearby . overall , ordinary experience would definitely stay somewhere else next time . 
 Jul 7 2004 	 Worth price 	 stay 4th July weekend . lovely place Heart San Francisco next Union Square . room nice well decorate , shower Great , nice mini - bar fridge also coffee cup complimentary . coffee pot sit bathroom next tv Bathroom . drape heavy enough sleep bother noise light . good diner eat Lori 's Diner block away hotel . good price good hot meal . shop unless find sale , price Saks , Macy 's Neimen Marcus outragously ridiculous , go pay $ 2,000 dress suit jacket get Marshalls $ 50 less . yes designer name kind Money- someone read review Trip Advisor trying find good place money . enjoy trip . 
 Jul 4 2004 	 want stay long ! ! ! 	 exciting hotel stay . block north Union Square . close big store theater . subway BART street . check right 3:00 provided room 23rd floor sweeping view city , Transamerica building , bay . room hotel great view since hotel middle city . sure go 36th floor cocktail lounge . lounge breathtaking view bay , Alcatraz , Coit Tower , Mark Hopkins , Fairmont , etc . room well appoint ; modern decor , comfortable surrounding . staff friendly courteous . need elevator slight bother . would love stay . 
 Jun 13 2004 	 Good Hotel 	 great business hotel ! stay dozens time rarely negative experience . rate vary $ 99 $ 229 generally worth . room well appoint , comfortable bed large bathroom . high floor great view . try get corner room . staff efficient friendly . breakfast top floor enjoyable service good . ( try Eggs Benedict ) public area bite lack right Union Square easy wander . Regency Club nothing special . room different lounge plain continental breakfast offering honor bar . smallish worth . final item point building sway like San Francisco high wind create mild creaking noise room minute sway building . feel hear . low floor get fair bit street noise . good hotel . 
 Jun 8 2004 	 Great Location Nice room . good deal via Priceline 	 ' ve stay number 4 * * * * hotel San Francisco think one well one . fantastic location , one block North Union Square . would stay heartbeat . 
 Jun 4 2004 	 great Grand Hyatt ! ! 	 husband return 6 night stay Grand Hyatt , wonderful . first visit San Francisco , celebrate 3rd anniversary , ask high - level floor room king size bed upon check - in , give we great room 23rd floor , view city water , guestroom rate ! room , totally exhausted take 7 a.m. flight NY , need nap desperately , phone housekeeping ask pair slipper , forget mine . within 10 minute bring new pair slipper ! room clean lot towel bathroom . concierge desk also fabulous - leave Pac Bell game ticket home , direct we business office able go online get customer service number park , call , arrange new set ticket print . order room service one night , food good , arrive room within 20 minute . could not ask well hotel price pay - $ 120 night Expedia . real bargain . starbuck right across street , cable car stop around corner ! ever go back SF , definitely stay . 
 Jun 1 2004 	 Good Grand Hyatt 	 normally always impress Hyatt . hotel , though , merely average . AAA Four Diamond really curve . expect AAA Four Diamond hotel , Hyatt clearly . hotel recreational facility . restaurant option site limit . ( ' great central location Union Square , site restaurant abundant . ) lobby somewhat small cramp , elevator extremely slow . although facility lacking , concierge staff helpful hotel ' location perfect . theatre district , Market Street , China Town within walking distance . trendy neighborhood like Fisherman ' Wharf Castro District easily accessible streetcar subway . Hyatt acceptable Three Diamond Hotel . ' mind Three Diamond Hotel , unless ' expect Four Diamond . 
 May 31 2004 	 great location good room 	 stay 5 night Grand Hyatt SF April . hotel great location Union Square , convenient main attraction . unlike reviewer , find staff helpful friendly - guess something vary trip trip . the room good sized king , 25th floor , overlook Harry Dentons Starlight Room ! problem traffic noise . shower facility good . only minor blight awoken housekeeping 10 am Sunday morning another guest remove & quot ; disturb & quot ; sign room door ... hotel fault , course . I would certainly return hotel ( indeed plan next SF trip right ! ) . 
