quiet 	 stay 2 bedroom unit clean comfortable . bed comfortable staff nice . fact nonsmoke property wasvery attractive we since 's hard escape smoker actual casino . the property close enough walk MGM although car , walk mostday strip . 
 excellent accomodation friendly service 	 convenient location , close major attraction , heart downtown . everything need comfortable stay . 
 Jul 6 2009 	 place good hotel stye entirre month long trip ! extremely impressive ! 	 Desert Rose 5 minute walk MGM Grand mean get advantage close strip avoid disadvantage stay . entire resort spotless room clean staff even dish we . room massive , double room , dining area , open plan living room , fully fit modern kitchen , walk wardrobe , dress area , bathroom balcony . also free wi - fi throughout whole complex . the staff extremely friendly free breakfast comprehensive continental breakfast trip - ( bagel , ham , egg , muffin , banana , toast , yoghurt ceral ) . weekday provide free , yes completely free , wine beer 5 - 7pm along snack , like nachos , tacos etc . pool good size clean . although not use fitness studio well equip everything complex , spotlessly clean . really not enough superlative hand describe great thought hotel price real find ( $ 370 5 night ) .We thoroughly enjoy disappointed leave go another hotel ( Riviera ) meet family - spend entire time Riviera reminisce Desert Rose , especially since Riviera expensive Desert Rose even half quality . get chance book , definitely regret ! 
 Jul 5 2009 	 wonderful week Las Vegas / Desert Rose Resort 	 Desert Rose Resort part Shell Vacation Club owner management staff resort make week stay absolutely comfertable relaxing certainly feel like home away home . the Resort well situate within walking distance Strip also handy MGM Studios Resort Monorail begin . the staff friendly always willing assist necessary . we would recommend resort age family . thank Desert Rose , back . John Gail Sobota , Queensland Australia . 
 Jul 5 2009 	 Great value 	 room book 1 bd room . living room quite specious pull sofa bed , kitchen well equipped , bed room nice king bed good matress . thing bathroom small . good job cleaning room . stay whole week call front desk twice clean room leave towel . experience hotel good . except issue house keeping . also , hot water problem . great Value money ! Loved Happy Hour ! 
 Jul 5 2009 	 Family Friendly 	 Non gaming resort - good need visit Vegas reason everybody else . feel like Phoenix instead . slot machine , long line check . park car near room . super friendly efficient staff . even cleaning folk smile say hello pass hall . family reunion Vegas - father 's 75th birthday . appreciate weekday happy hour fifteen we could sit lobby chat . beer , chardonnay , merlot , white zin - plenty , along snack range peanut pretzel lasagna . daily breakfast good - bagel , toast , cereal , ham , hard boil egg - enough fill tummy . convenient location . can not say anything bad . good job DRR . 
 Jul 4 2009 	 would return 	 great place stay . clean comfortable . breakfast evening drink reception good . nice get away hustle bustle strip . 
 Jul 2 2009 	 wonderful stay 	 would stay anywhere ele Desert Rose , be home away home . thank staff wonderful service provide . 
 Jun 30 2009 	 clean comfortable spacious hotel ! 	 family 5 find hotel easy settle . stay two bedroom , 2 bathroom suite spacious . bedroom clean , bed comfortable ! bathroom well clean . small kitchen microwave , refrigerator handy . complimentary breakfast always well stocked throughout morning . nice easy two block walk strip , away noise night .. first visit Vegas Pennsylvania , would definetly recommend hotel family friend ! 
 Jun 29 2009 	 Oasis 	 enjoy stay Desert Rose . first visit . usually stay casino hotel much nicer ... breakfast every morning , wonderful suite , quiet . truly oasis right strip ! 
 Jun 29 2009 	 great place stay 	 stay medical reason two week , close doctor office . room large spacious clean . Maid service good , except vacumed ask never mop , although ask front desk say vacuum daily , ! issue garbage disposal , reason want cheap hire plumber keep break inconvienience , never fix pain , esp since cook day save money . travel pleasure place close enough strip enjoy Vegas Strip life , far enough away peace quiet . pool nice , small chair fill quickly . morning breakfast nice , afternoon reception . two really nice grill ( natural gas ) pool use , popular ... get lot use . balcony make nice touch , nice sit outside enjoy fresh air , can not really big strip room . overall great place stay , would recommend would return need ... one complaint , wish door bathroom sink area , pain need something someone sleep . 
 Jun 29 2009 	 Perfect - would definitely go back 	 second year row choose stay resort . father live Vegas visit necessary . last year , end spend lot time hotel pneumonia holiday attest comfort room . year less dramatic , room clean , well - appoint customer service excellent . staff helpful assist family emergency . continue home away home future visit Vegas . 
 Jun 27 2009 	 disappointing little thing 	 room great : clean , large comfortable . stay four night maid service good . less pleasant bit : multiple exterior door whose lock regularly work room key . pain walk long distance late night find exterior door work . problem laundry room . problem bad parking lot chain night , limit way facility 10 pm . morning breakfast service always quite crowded least spread serve table crowd disperse . 
 Jun 26 2009 	 good hotel 	 stay 4 night hotel . really comfortable fully satisfied need . ever come back Vegas , definitely stay ! 
 Jun 26 2009 	 Great Resort family small kid 	 great hotel condo feel . perfect family kids - strip casino . love close everything constantly walk kid casino get room . room great , bed comfortable love full kitchen . Continental Breakfast good Manager 's Reception nice break dinner . kid love pool also small kiddie pool . 
 Jun 24 2009 	 could ask ! comfortable close everything ! 	 stay Desert Rose 3 night wed Vegas . saved much money kitchen place comfortable . breakfast nice . staff exceptional . think twice resort . opportunity stay . good stay ever Vegas . definitely book . 
 Jun 24 2009 	 Comfortable 	 Resort close strip yet far enough peaceful . room feel clean modern . layout one bedroom stay less ideal child along ( teen 20 year old ) ; order access bathroom , one go bedroom . major concern , privacy may issue . 
 Jun 24 2009 	 least sparkle hotel Las Vegas good gem ! 	 reception desk ok , one help we bag show we room , live . location hotel absolutely fantastic - 10 minute drive airport , short walk MGM Grand , Tropicana main hotel strip . room large , living room tv , bedroom , bath / shower , fully equip kitchen , dining room balcony . totally excellent , ' m sure guest comment agree ! hotel great . not much staff seem ok friendly . two critisism find rather chaotic breakfast area rather small pool difficult find sun lounger 9 am . not come Vegas bland muffin small pool ? ! 
 Jun 23 2009 	 comfortable convenient good value 	 non - gambling , family friendly , hotel pleasure stay . hotel suite apartment plus . adequate breakfast appreciate since early departure . group enjoy happy hour , pool hot tub log day travel . location close enough strip could dinner walk Las Vegas Blvd . return Las Vegas certainly give Desert Rose serious consideration . 
 Jun 23 2009 	 Awesome Stay 	 boyfriend stay Desert Rose Resort wonderful time . ' block strip , get enjoy light without noise . perfect save money meal ( dining strip expensive ) kitchen ' include every suite ; plus 's continental breakfast happy hour . bed super comfortable private . stay . 
 Jun 23 2009 	 Loved ! 	 everyone work friendly . we LOVED cocktail hour . the pool always satisfactory temperature . there bus stop on / near road . walk Excalibur , Luxor , MGM . 10 min walk . we definitely stay every time go back ! 
 Jun 22 2009 	 Perfect family environment ! ! 	 second time stay Desert Rose Las Vegas . perfect wonderful resort family . long not concerned staying casino , place . walk across street right MGM . really enjoy beat path , yet walk distance onto strip . would recommend resort anyone . one question though , get WONDERFUL white like comforter white trim around ? ? would really like find see could get one . 
 Jun 20 2009 	 Desert Rose Resort perfect we . 	 Desert Rose friendly efficient staff . nice place within walk / bus distance major gambling establishment . addition serve good continental breakfast nice wine / appetizer reception early evening . definitely stay . 
 Jun 19 2009 	 spacious condo 	 stay Desert Rose quite time great value money - love breakfast , plentiful anyone . room spacious everything family / couple could need besides - fridge / freezer microwave etc , home home ... perhaps look something moan would carpet need cleaning , possibly up - grade settee , think start already .... family need clean homely place stay , .. accessable strip anything else may wish fun city . 
 Jun 18 2009 	 great place stay ! 	 be home away home . Quiet & amp ; relax . staff helpful . comfortable bed . worth every penny . definitely go back visit Vegas . 
 Jun 18 2009 	 totally fabolous ! 	 second time stay Desert Rose Las Vegas like first stay absolutely fabolous ! love 's strip within walk distance major casino . love happy hour ( mon - friday ) , breakfast resort . love room always clean comfy quiet . staff friendly want make sure stay enjoyable . can not say many nice thing resort . actually book another reservation resort group friend mine end summer can not wait return Desert Rose ! 
 Jun 18 2009 	 Nice Resort 	 typical casino resort ... clean , friendly staff , nicely lay decorate ... quite bit different typical hotel Las Vegas ... bar casino , appreciate much ... convient parking 
 Jun 18 2009 	 Desert Rose Resort 	 stay Jun.6th,2009 two night resort nice . ground well keep . pool clean . room nice clean . no need go eat stove , dish , pot , pan , refrigerator , mini suite , dishwasher , microwave like home . breakfast lot choose well .would recommend resort & quot ; & quot ; staff reason . 
 Jun 18 2009 	 nothing nice thing say 	 stay Desert Rose last week 4 night . nothing nice thing say . one bedroom two 18 year old daughter we . pool nice ( right open problem find chair ) , husband use exercise facility , breakfast good ( early crowded ) , attend afternoon & quot ; happy hour & quot ; drink snack ( nice ) , use concierge service get ticket tPhantom Opera GREAT help ! room nice one daughter keep ask could stay . even walk Hooters catch taxi , foot say go home . thank make special week . 
 Jun 18 2009 	 quiet comfortable complex 10 - 15minutes walk strip 	 partner comfortable 6 night stay Desert Rose Resort back March 09 . one bedroom self -containe apartment clean , quiet , well equipped maintain management . 10 - 15 minute walk MGM Grand could easily pick Deuce ( consider least 24 hr bus ticket 3 day ticket work lot cheap ) begin day hop bus explore strip leisure . Vonns Supermarket block east along Tropicana av able use deuce bus ticket travel stock grocery kitchen apartment excellent great way save money eat time . resort offer complimentary breakfast every morning good choice breakfast item free wine hour week welcome relief tired foot . would definitely stay . 
 Jun 17 2009 	 wonderful stay 	 room great , staff helpful , location great ! drive free parking bonus ! take advantage continental breakfast pool . 
 Jun 16 2009 	 stay Desert Rose 5 night 	 stay Desert Rose 5 night . location great , short walk MGM Grand monorail station 3 - block walk hotel Strip . parking free conveniently locate right front building . fast check - in without crowd hotel . room big : separate living room sofa , tv , kitchen table , kitchen everything need ( microwave , oven , cooktop , toaster , blender , coffee maker , large refridgerator silverware china need ) , bedroom another tv , bathroom separate bathtub toilet . also every room balcony 2 chair . our room second floor quiet . AC noisy comes locate living room make much noise bedroom . staff friendly , hard - work , try well busy breakfast time . breakfast include bread , bagel , package pastry , fresh fruit , yogurt , cereal , cold cut , boil egg , oatmeal , juice , milk , coffee tea . breakfast crowd . one suggestion would expand breakfast hour 10 late night gambler ease congestion morning . one negative point , bird learn breakfast sit outside mean watch food carefully . on weekday evening reception free wine beer , various snack like chip salsa something warm , like eggroll , taco , etc . lobby area always free Starbucks coffee . the staff friendly , room ground clean , non - smoking , area feel secure quiet . wireless internet work great , fast reliable . small fitness center sufficiently equip . pool area BBQ grill food . pool small site often crowd . also mini convenience store onsite direction nearby grocery store . 
 Jun 15 2009 	 make perfect vacation 	 word express wonderful experience hotel . hard time find hotel could accomodate large family Vegas , come across web site hotel thrill find suite would accomodate need . everything make reservation , finding , check easy pleasant . staff could welcome helpful entire stay . large family tight budget truly could well place Vegas stay . pleased location- make get around Vegas quite simple . take part activity ( due family obligation ) please see number thing hotel offer . feel web site due hotel justice ! ! family live Vegas back definately stay Desert Rose Resort ! ! ! 
 Jun 14 2009 	 good suite strip cost 	 stay past week read good review site- pleased room , location , comfy bed , fully stock kitchen , nice hot tub , free beer wk day , view strip , walk distance Hooter 's pool , easy access everywhere else . many positive ... stay give chance . however true property long walk main strip- see MGM walk long stroll . 's lot traffic 's well walk Hooters , Tropicana .. . be also true air conditioner loud work incredibly well ... not bother we . last non - positive thing 's strip club offer complimentary pickup . taxi seem like take long way back ... rent car heaven 's sake . place awesome place stay be want buy timeshare pay waaaay much . enjoy ! 
 Jun 10 2009 	 great stay variety family 	 pick facility due proximity wedding convenience strip - previous knowledge expect , though impressed review read site . 5 room nice , clean comfortable . folk 70 's teen eveyone enjoy . staff friendly . , easy get strip monorail . complimentary breakfast nice variety . glad get pool early nice sunny day chair lounge fill quickly . overall room much quieter high end hotel - little noise , though nephew next outside entrance say could hear door close & quot ; slammed & quot ; spring action make sure latched . room right next never hear thing . stay future visit Vegas look Shell Hospitality Resorts future travel 
 Jun 9 2009 	 still wait charge reverse card . 	 stay one night Desert Rose . room spacious , although carpet filthy . beyond dirty filthy . bed comfortable clean . book two bedroom , two bath suite . realize one bathroom shower ; tub . wi - fi spotty . fairly short walk strip , dark unlit night . prepay room travel site problem give credit card check & quot ; incidentals & quot ; ( know would none ) , four day checkout ' m still wait deposit reverse card . deposit almost much room charge ( within dollar ) . really ? prepaid room one night 's reservation ? perhaps could mention amount would hold front . realize concierge ..... ever see one woman work front desk . side note , look peace quiet , keep look . think lot family small child stay resort , hear everything wall ceiling . least , certainly could . even keep teenage son awake ! 
 Jun 8 2009 	 would pay alot fine place stay 	 husband stay 5 night floor walk room first time . book hotel base traveler review read room surpass everything expect . wonderful , CLEAN , two room suite full kitchen tastefully decorate , everything working order . patio area . granite countertop . bed comfy room clean daily . even day not leave room late phone housekeeping see anything need . wonderful service . two block behind strip . locate behind Hooters Tropicana . wonderful location . 
 Jun 5 2009 	 great location service - Loud AC 	 DR great place . room clean spacious , breakfast great , staff helpful . complaint crazy loud AC , bit disturbing night sleep ... still , great time close everything . 
 Jun 4 2009 	 Best Place Close Strip 	 look quiet place enjoy time fabulous Vegas look . stay roomy one bedroom full kitchen ( cooking necessity include ) . staff curteous friendly . room clean , although could use couple paint touch up . free continental breakfast . free weekday social lobby 5:00 6:00 ( include wine , beer snack ) . short walk Luxor , Mandalay Bay , Tropicana , MGM New York New York . find great deal online hotel website . Desert Rose truly , rise desert . 
 Jun 4 2009 	 great ... ... light sleeper beware ! 	 would give Desert Rose Resort 5 star rating except fact re - room noisey compressor roof . warning .... 3rd floor noisy . every time AC cycle , sound like freight train pass thru room ! luckily , staff DR soooo accommodating , move we right away . other , nothing praise DR . great room , great value , great location . breakfast wonderful , CROWDED ! agree reviewer ... rent car , soooo glad . also , plan win , visit downtown casino . odd much well . ( video poker ) 
 Jun 4 2009 	 stay anywhere else Las Vegas ? 	 brilliant place - vast suite ( hotel room bathroom - large lounge /diner , next well equip kitchen , large bedroom wash basin bathroom ) , great pool ( free bed towel pool side ) , breakfast ( Mon - Fri ) free beer wine serve couple hour evening . together : -- friendly , efficient , staff- good location ( close MGM Grand ) - great ratesmake fantastic bargain - could recommend highlyThank Desert Rose . 
 Jun 4 2009 	 can not go wrong convenience value 	 spend long r & amp ; r weekend soooooo pleased room , staff , appointment room , pool . recommend rent car get around Strip unless athletic glutton punishment . convenience stocking kitchen easy eat great plus . fridge make Ice . wi - fi room free . class act great bang buck . 
 Jun 3 2009 	 Better Casinos 	 two bedroom , two bath , large living area , full kitchen dining area $ 102 / night . six people could slept apartment .. free wifi . wifi service bit spotty though , would drop reacquire signal several time per session . free continental breakfast , adequate , cold cut , fresh fruit , bread , bagel , boil egg , milk , cold , cereal . choice vary day day . good service clean . good location near strip hustle bustle , easy walk strip near Hooters , Tropicana MGM . good base & quot ; Vegas & quot ; . parking free , well lit , convenient . two negative . get pool early get deck chair equipment fitness room good condition . stay several Casinos past never . 
 Jun 3 2009 	 Sweet Suite ! 	 everything room service fantastic . concierge polite outstanding . stay 2 - bedroom 2 - bathroom suite amaze much space . fall love ! suite fill gorgeous decor kitchen stock everything could think ! bed also extremely comfortable . resort rare gem one affordable suite stay extremely close strip . be block away strip ! be right across MGM Grand within close range New York New York Excalibur . stay Desert Rose Resort affordable convenient . not want leave ! definitely back year future trip . can not go wrong one ! 
 Jun 3 2009 	 great place stay 	 first time las vegas lucky find nice place like 2 stay , 's clean comfortable , affordable , staff welcome helpful , managment free drink reception every evening great breakfast something everyone , stayin next visit without doubt . 
 Jun 3 2009 	 true gem hotel amongst chaos las vegas 	 stay 4 night choose main strip hotel much expensive . would need satnav find way rooom reception strip hotel , like little city . desert rise 5 minute walk south end strip , could see luxor pyramid room . room self - cater apartment rather hotel room , full kitchen facility , balcony area , separate living room . breakfast help continental style , plenty choice . desert rise small vegas hotel , add charm . staff friendly room spotless . would recommend anyone want basic hotel room happy walk 5 minute strip join vegas offer . return vegas , would stay anywhere else . 
 Jun 2 2009 	 Perfect location ... great stay 	 return today Desert Rose . would stay minute . book room website 2 bedroom $ 101.00 per night Fri / Sat / Sun night . location great . use back road get Mandalay Bay 2 minute . manager reception Friday night great . unlimited wine beer . nothing well sit pool drink drink free . free breakfast offer quite option contintenal breakfast . something everyone . couple odd thing ... trash can bedroom clock 2nd bedroom . obviously big deal . thing would suggest stay build directly next Hooters . Friday night live music outside loud bedroom . great stay would highly recommend . 
 Jun 1 2009 	 would stay anywhere else Las Vegas . 	 staff courteous . room clean amenity home . location easy get . close airport Las Vegas Strip . like well quiet non - smoking resort . honestly say pleasure stay . 
 Jun 1 2009 	 Great Experience 	 Desert Rose Resort everything promise . stay many hotel Vegas include MGM , Venetian , Luxor Mandalay Bay , great , want place good location , plus amenity extend stay Desert Rose ! ! ! king bed comfortable kitchen everything need cook eat . not really need plan breakfast though nice light buffett every morning . nice pool workout facility too . I great experience would highly recommend . 
 Jun 1 2009 	 home away home 	 family stay LA san diego hotel end desert rise find decent good place stay especially travel little kids.it almost like home wonderful time whenever go vegas definitely stay there.we love love love 
 May 31 2009 	 Amazing ! ! ! ! do not think would find well unless prepared spend $ 500.00 per night 	 book resort advice give post tripadvisor , would agree . little gem amongst pile rubble . favour stay . south end strip , within walk distance entire strip . room well furnish clean , bed comfortable nice free breakfast start day . check , , hassle free would stay without hesitation . well do staff management credit establishment . Steve MathewsAustralia 
 May 29 2009 	 oasis Vegas -- excellent ! 	 stay Desert Rose Memorial Day weekend . Vegas pack people , happy find great deal price . go tell upgrade 2 BR suite extra charge ! ( reserve 1 BR ) great news friend join we one night & amp ; not stay pull ! room incredible . face pool allow we check crowd go . sit area large & amp ; spacious , separate area dining , large kitchenette room bathroom . excited find place . great news : free breakfast . breakfast free , quite lot food : boil egg , ham / turkey cold cut , bread , fruit , cereal , oatmeal , coffee , juice , . get pretty crow , go early & amp ; carry back room . also save fridge make sandwich later . great deal . suppose one favorite thing Desert Rose quiet gambling . walk smokey , loud casino day ton people relax return place remove commotion . 's call oasis Vegas . like stay amidst commotion , may place , close MGM grand -- easy 5 10 minute walk -- get glitz return stress - free Desert Rose . also , friend MGM tell we , wait 30 minute check & amp ; check use elevator always chore . go top floor get elevator go ! never trouble crowd get need staff . great service concierge , front desk staff . would definitely recommend people kid anyone like relax vacation . true find ! 
 may 26 2009 	 Cozy Clean Quiet Friendly right start STRIP ! 	 second stay Desert Rose pleasant first time . ideally locate right across MGM Grand , start Mono Rail start strip , right want , nice come & quot ; home & quot ; since casino small scale . People friendly actually recognize walk ever helpful everything . although luxury hotel , 1 2 bedroom unit nicely decorate , everything need ( full kitchen ) , even free internet service bed actually comfortable . morning nice complementary continental breakfast lobby area Starbucks coffee ( yep , free ) , perfect start day not want sit , bring room . great value , stay next time . 
 may 26 2009 	 find ! 	 glad find place ! thank , TripAdvisor . spend week hike Zion decide spend 2 night end trip Vegas . husband never Vegas want explore strip know big glitzy hotel we . Desert Rose Resort perfect ! know lot people complain walk not know see Vegas without lot walk . go venetian walk & quot ; Grand Canal & quot ; takes long walk Desert Rose MGM . return rental car airport not want deal luggage arrive Desert Rose 11:30am . room not ready happily store luggage . measure distance car rental return ( 3.3 mile ) decide walk back . ( tell hiker ! ) time get back ( stop Mandalay Bay ) , Desert Rose call cell phone let we know room ready . great service ! two room suite spotless , tastefully decorate , comfortable . manager 's reception week beer , wine , soft drink snack . & quot ; continental plus & quot ; breakfast decent include hard boil egg , make happy . starbuck coffee available lobby 24 hour , guess keep awake late gambling . : - ) complaint pool seem crowded hot pool big hotel crowd . not think avoid Vegas May . nice come back quiet Desert Rose spend day noisey , busy strip . could not believe long line check - in big hotel strip people walk casino luggage find room ! thank ! give nice , personable Desert Rose day . we plan go hike Utah probably fly Vegas . , definitely stay Desert Rose Resort . 
 may 26 2009 	 large Nice Rooms fraction price 	 never stay strip . ' ve Vegas several time really enjoy stay Desert Rose . seclude loud obnoxious crowd strip sleep relax pool , right middle within short walk . huge room fraction price . 
 may 24 2009 	 great place great location great value 	 arrive around 12PM 1 week memorial day . realize check 4 pm , friendly staff front desk get room ready . stay Building 4 , 3rd floor 1 bedroom suite overlook side Hooters Hotel . suite spacious kitchenette nice balcony . use kitchen lot reheat food snack . 2 tv - good , although flat screen . everything , include kitchen work . staff friendly even print boarding pass . would recommend place family friend . 
 may 24 2009 	 great place stay 2 - 5 people -- right strip comfort home 	 2 adult friend visit Vegas leisure weekend find resort alternative 3 separate hotel room . 2 bedroom ( plus sleeper - sofa comfortable ) suite good price , incluge well equip full kitchen two full bath . location virtually across street MGM Resort walkable strip include tram . friend use enjoy on - site gym use pool look invite . staff friendly eager please request additional linen arrive minute . definitely would stay . family 5 would perfect wife 3 kid last time visit . seem family friendly certainly safe location . room well equip , bed comfortable everything seem new . 
 may 23 2009 	 nice place stay . 	 husband two child ( age 19 & amp ; 21 ) stay resort 2 night . purchase room expedia $ 100 night . worth . clean . nice room , actually two bedroom , two bath , small living room / dining room small kitchen . suit need well . could go Walmart 2 mile away get food eat . get Walmart go Tropicana Blvd make right go 2 mile . negative thing room right beside locked gate people coming go hour . gate noisy shut . glad though . need room key open gate . nice ... clean .... like kitchen ... basic need . pull couch comfortable expect . also , read block long big right . expect alot walk . 
 May 23 2009 	 great place especially family 	 brother sister stay 4 day great - I would like find place like California Hawaii , etc . Selma Gonzales 
 May 23 2009 	 wildlife lover everywhere - like brown decor noise . 	 actually stay Desert Rose moment , 6 night unable shorten stay without charge full week . not enjoy one little bit 's difficult know start comment . firstly would like warn anyone stay telephone charge . make three call UK room phone 3 min 20 second , 3 min 59 second 4 min 35 second - charge call $ 53 , $ 46 $ 53 respectively . obviously would expect call hotel phone something like $ 10 minute ridiculous . complain manager simply explanation agree charge ' extortionate ' . thank guy . secondly , place infest moth . massive extent . kill three last hour plague week spend . crawl , flap ear asleep , everywhere . Disgusting . thirdly , roach problem , although catch 2 3 actual room , corridor outdoors really bad guest complain room bad . be big one too . fourthly , although place look close big hotel look map Google Earth , walk really terrible - sewer block smell absolutely disgusting - extent wretched repeatedly , proper lighting . girlfriend approach car late afternoon since virtually one around area back onto testosterone - fuel - moronic - whoop - f Hooters Hotel worry . fifthly , forget pool . 144 large condo development . suppose average 3 people stay . approx 35 sunbed . math , even Vegas people like use pool one woefully inadequate . be great either . last four day walk mile Luxor pay $ 10 use pool - not expect literally choice . sixthly , 's noisy place ' ve stay since last go Ibiza aged 18.I not come Vegas peace quiet put do - not - disturb sign door ( incidentally say & quot ; shhhh ... ' m sleep & quot ; ) not really expect housekeeping slam trolley relentlessly wall constantly shout . really bad . guest loud idiot , ' m blame hotel ( oh , okay , go ) .finally , far snob clientele place attract hit miss . breakfast buffet like feed time zoo . I't be hold right middle lobby , food shocking order reduce cost ( guess ) management provide nowhere eat properly , tray flimsy plastic plate . see someone bowl bran flake hard boil egg balance middle pour milk . another elderly lady perch easy chair nightdress , clearly walk directly bed buffet bypass every sink , hairbrush item everyday clothing . pink nightie underwear , shoe sock ticket mealtime - thing put eat . go buffet although get jam clothe sit lobby another day ( count ? ) .I ' m well travel chap ' m reasonable give credit 's due . hotel good calling taxi get us B . concierge book nice restaurant birthday generally place spacious . staff whole functional particularly friendly exceptional . I ' m quite reluctant say bad hotel , lot homework book trip virtually everywhere look say place great . honestly be . be pretty damn bad . hate admit pick wrong place do . but please not stay unless get knock - out cheap rate . way well place stay Vegas hotel real bargain rate moment . stay not make phone call , not expect use pool , enjoy breakfast , peace quiet pleasant stroll strip . bring nose clip unless like smell sewage . oh , ear plugs drown noise outdate air - con . do bring microscope bug crawlie could make excellent study project kid . 
 May 22 2009 	 hey ' m easy impress . wonderful place stay ! 	 daughter stay 05/17 thru 05/21 ' 09 . total 4 night ( plus tax ) $ 533.96 . hey , ' m easy impress first complain something not right . , time least , say wonderful place stay . maybe not get bargain basement price ' ve pay lot lot less place . top 10 reason stay Desert Rose ... ... get money:1 ) clean 2 bedroom , 2 bath , kitchen , dining area , living room balcony . ( kitchen fridge , microwave , dish , utensil , blender , coffee pot , toaster , etc ) . bed possibly comfortable hotel bed ' ve ever sleep . even provide pillow different size fill have choice would like good sleep . ' ve never see anyone else . 2 ) bath deep tub have ever see hotel . shower instant ( mean instant ) hot water . not even get home ! 3 ) tv 's living room bedroom.4 ) air conditioning wonderful AC ' hotel smell ' ( i.e . people chemical ) . air clean . 4 ) pool ( busy ever use see other never hear complaint ) 5 ) friendly helpful staff . time ever ' bother ' cleaning staff actually call phone ask sure not want room clean even though post ' do disturb ' sign door could grab nap . wonder would ignore post note not answer phone . Hmmmm . 6 ) continental breakfast ( serve 9 ) adequate ( cereal , bagel , hard boil egg , deli ham , fruit , etc . ) , good ' ve ever close still nice place term ' continental breakfast ' . besides , really want ' load ' weigh hit Vegas strip ? even car go use monorail , still lot walk around involved see Vegas . 7 ) sort free drink ( cocktail ? ) snack thing afternoon ( Complimentary Manager 's Reception official name ) never attend think know . 8 ) Free Wi - Fi . never use mention anyway . 9 ) never problem noise hotel even though room one story parking lot . never hear people hall room next we - voice , footstep , nothing.10 ) gamble Desert Rose . Whew ! return ' home ' hotel night inundate noise machine people , really appreciate hint wait ready rest next day . final note : ' m world traveler stay lot nice hotel last half century . think lot well . one , though , real find . hotel claim & quot ; ... three - story , all - suite hotel one block Las Vegas Strip , yet mile away ambience & quot ; . statement expect spot . regret take photo room share . mean one 's supply hotel not justice - not even come close . also , stay Vegas day without car , consider get multi - day pass monorail ( around $ 25 ) . 102 103 degree day stay , monorail help avoid lot walk heat ( not care start ' dry heat ' . hair dryer dry heat . not help turn set high stick face . still HOT , people ! 
 May 21 2009 	 REALLY GREAT value money ! ! ! ! 	 stay Desert Rose Resort husban 40th birthday . amazing , staff helpful . room beyond anything expect base price . plan another trip willstayie another DESERT ROSE RESORT . say enough place . ! also wthin walk distance vagas strip mintue airport . perfect spot ! 
 May 21 2009 	 Best Place Families 	 ' ve return stay Desert Rose - May 13 - 19/09 . travel Las Vegas wedding . got great rate booking directly resort - $ 100 / night large 2 bedroom suite . we travel 4 teenager stay 2 bedroom pull sofa building 4 . size suite fantastic enough room 6 we . large master bedroom full ensuite great well stocked kitchen helped keep food cost down . after walk many casino strip , happy stay Desert Rose . can not imagine stay one large hotel trek belonging 20 minute find room . the pool nice good size . husband breakfast coffee poolside every morning find relaxing . teenager love jump water long day walk sun . yes pool heat , Canadian not mind ! cool pool walk 37c temperature nice . staff ever helpful . complaint every week day morning could hear either delivery truck garbage truck backing . beep annoying . enjoyable time would definite stay . 
 May 21 2009 	 spacious convenient great long stay 	 choose hotel rather Casino resort offer 1 one bedroom suite space 3 good price . 1 friend cancel , 2 woman suite turn even well spacewise . give we room large amount clothing / shoe bring . also , bathroom rather small Master bedroom , people sleep living room walk bedroom . luckily , sink mirror separate shower / toilet . kitchen really nicely equip free ( cold ) breakfast sufficient we morning . nice fridge store leftover drink , etc . pool area clean rather large day enough chair towel guest . cocktail reception 5 pm nice fill we get night . fitness room smallish nice equipment . staff helpful time . generous parking guest available rent car ( recommend want go back hotel day change relax nightlife , commute take lot time hot ! ) . walk distance Luxor 8 minute . catch train ( 5 usd / trip ) . hotel , taxi cab airport approx . 10 usd , 2 cheap shuttle bus reserve 24 hour advance . supermarket approx . 2 mile away hotel direction - nicer option nicely design strip mall ( Town Square ) Whole Foods , upscale shopping good club / restaurant ( Claim Jumper ) . Desert Rose nice , quite place do not need middle constant party action . really good choice long stay . guest mixed crowd , age , also kid . free WIFI room also nice bonus allow catch good ticket deal show thing Las Vegas . 
 may 21 2009 	 Gave promise . 	 first time Vegas expectation butt WOW ! ! ! ! ! ! ! Desert Rose everything prmise would be . room enourmous , fully equip possible need include spare bedding towel . breakfast bit caotic item replace soon run out . really good location learn get MGM acroos Hooters car park take long hit hotel strip . execellent value money compare big hotel . not really attend many manager free drink usually around time ( free drink snack Monday -Friday 5pm-7pm ) would nice bar within hotel quiet drink bed , short car journey Tropicana ave take Vans supermarket discover lovely califorian wine drink room . would definaltly stay recommend anyone look stay Vegas 
 May 18 2009 	 great place stay day ! 	 really nice place stay , strip , family . 
