would 	 visit NYC Thanksgiving week husband 4 child , age 10 - 15 . happy time give we key card 29th floor room check ! room clean , bed comfy , towel plush . always someone helpful desk . work desk personnel , doormen concierge ; helpful quick respond need . size room midtown location amazing ; suite way go family . we find cheap parking icon parking garage , skip valet parking hotel offer . neighborhood , proximity subway station add value hotel . say , stay , stay , stay ! ! 
 wow can not go wrong Dumont 	 hotel extremely clean super comfortable ! ! tha housekeeping staff extremely polite amazing job refreshing room ! & quot ; full & quot ; kitchen huge plus want bake fresh pizza @ 3 am : ) full - size fridge keep Grey Goose cold . Freezer ice tray , huge plus do not think ! bed comfortable room large ( 400 + sq ft ) especially NYC . tv bit outdate ( ancient tube tv ) . front desk staff pleasent deal , problem check . gym / fitness center open 24hrs : ( think fitness suite hotel ? : ) would definetely recommend hotel price range , stop research stay , love ! thank Affinia Dumont . 
 Oct 19 2008 	 Nicest hotel ' ve stay NYC 	 ' ve stay maybe 10 different hotel NYC last 3 year -- joys child college city . usually go cheap possible -- give cash go pay college . we pick one bedroom suite Dumont trip daughter along would get two room regular hotel . suite less expensive 2 room pretty much hotel . place , nice . would not think twice go back economic work out . one thing consider one bedroom suite -- bathroom enter bedroom . somebody sleep sofa bed want go bathroom middle night , go bedroom . slight bit awkward daughter work okay . again , would not hesitate future . 
 Oct 15 2008 	 word .... FANTASTIC ! 	 get back 5 day trip NY 2 friend glad choose hotel . from minute check minute leave , nothing much bother guy . 2 bed suite 32nd floor view simply breathtake . location wise find perfect 's mainly residential area Murray Hill . nice quiet although still 10 minute walk away Empire State Building Macy 's . subway 's 1 block away 33rd Street right corner Lexington 34th fantastic deli , Murray Hill Market . open 24hrs 's get everything will need . slight niggle hotel $ 9.95 per day internet access apart can not fault . not know will get back NYC one thing be sure , will not waste anytime look somewhere else stay . well do team Affinia Dumont ... keep good work ! 
 Oct 14 2008 	 Brilliant Hotel 	 spend 3 night Affina Dunmont absolutely love . honey moon upgrade suite champagne waiting room arrival . check quick , room beautiful , really clean , comfortable bed , little kitchen , gorgous bathroom . always fresh towel . concierge great helpful resturant next door , think call Barking Dog gorgous , really cheap great food ! ! hotel central , ten minute walk macy 's . one fault coulld find hotel , would recommend anyone young old definatly go back ! 
 Oct 12 2008 	 ok stay Affinia 	 return trip US end 5 night stay Hotel . book base trip advisor recommendation . expensive accomodation trip give New York expect . we think well situated give weather lovely , enjoy many walk Hotel . subway far away either . our room 33rd floor fantastic view Chrysler Building . room good size although bathroom quite small basic overall money think bit disappointing . lobby corridor nothing special . the staff front desk courteous helpful . check feel bit pressurise doorman book taxi back airport fix price . not sure would return . 
 Oct 10 2008 	 peaceful oasis ` ` far madding crowd '' ! 	 Hotel come e - booker way back January 08 search flight hotel . base research TripAdvisor book . stay 1st week October love every minute . arrive early , 1 pm request room view . receptionist state would problem would wait . however , say room ready 10th floor want see go ' like come could wait room view . go 10th floor find huge corner room two lovely bed , kitchen bathroom . ' resist long flight flop bed decide stay ! love space room afford , pillow menu , kitchen facility . ask kettle deliver within 5 minute . room clean , airy , plenty storage space , load room suitcase , bag , fact paraphernalia one prone collect stay New York City . room service every day fresh towel bathroom clean . even provide j - cloth , washing - up liquid tea towel kitchen ! huge comfy chair footstool room breakfast morning ! also " office " type chair desk area . the lobby , lift corridor basic every day tired leg foot pleasure enter comfy room chill . would go far say one nice room ever stay world include four season Dublin Singapore ! ! ! ( well , maybe marble bathroom Four Seasons tad nice … ) .The front staff always friendly courteous every time exit enter hotel . must exception see many different people pass by . the Hotel little bit far 34th St , think , tired leg every day walk feel long . one big advantage close Macy ' store considerable shopping . hand would like stay Times Square area condition . come would like stay near Central Park area . would hesitation recommend hotel friend , outstanding service friendliness . 
 Oct 10 2008 	 Perfect location 	 great review fabulous deal thru hotels.com , husband opt stay Affinia Dumont vacation New York . must admit , expect bit . check - in breeze , staff friendly , expect little & quot ; beyond & quot ; read review . on positive : great room size love full - sized frig kitchen . perfect location : block away subway , half - way point Wall Street museum , close un.did mention super - friendly staff ? bummer : awful in - room coffee ( hotel ) - horribly wasteful one - cup coffee maker , thereby impede ability buy coffee ground locally brew . lobby coffee available early ( 0630 ) , either . resort buying coffee Guy & amp ; Galland every morning ( much well Starbucks ) . neighbor opt coffee room service . another miss : hope sort summary go New York week . ' ve get something like Toronto Washington DC , sort expect New York . get magazine tell we go & quot ; Fall & quot ; , think 1 - page summary would nice touch ( way generate revenue front desk ticket show , etc ) .We would stay , pay full - price . change , though , could move & quot ; Average & quot ; & quot ; Excellent & quot ; . 
 Oct 10 2008 	 great choice ! ! 	 ( young couple without kid , 6 night stay ) stay hotel great . room big ! big super comfy bed , desk , sofa little kitchen include . staff overall friendly willing help request . room clean daily great respect little detail . nice come back nice relax room busy day sight see shop NYC . loved view Chrysler building , especially night . short walk empire state building . def . stay ! 
 Oct 7 2008 	 good Hotel NYC ! 	 stay Affinia Dumont 29/9/08 - 6/10/08 room 3504 say good hotel ever stay ! prior arrival ask room good view high floor . brief check , show room 3504 view awesome ! face beauitful building city , Chrysler Building ! perfect view day night . room huge big , comfy bed pillow . room also kitchen fully equip . room service day . lobby , fresh fruit available day ice tea / coffee . hotel 5/10 min walk ESB 5 min wife 's favourite store , Macys . ideal location , safe , residential part town . would stay , without question ! staff friendly helpful . excellent hotel , say ! ! 
 Oct 7 2008 	 lose faith Trip Advisors ' rating 	 Affinia Dumont ? wife go NYC business twice year since 2003 notice huge increase price hotel across city . ok , 2003 NY still suffer post-911 price relatively cheap present economic crisis seem by - pass hotel owner NYC far . I mention look hotel US300 - 400 night range ( still expensive enough , opinion ) Affinia Dumont like beacon . price range , . 6 Trip Advisors ' classification , Travellers Choice winner 2008 ... could go wrong ? book thru Aerlingushotels.com two night . not get wrong hotel not bad ... 6 trip Advisor Travellers Choice winner ? sure ... front desk courteous check explain hotel facilitie we . hotel know Fitness Hotel tell nothing . spa , tell nothing . the room big NY standard strong air freshener odour make wonder & quot ; smell try hide ? & quot ; 34th Street one busy Thru Streets NYC traffic little noisy , , jet lag take care that . could not fault bed - big comfy ... room decor little date big issue I . overall , pleasant stay gold standard value ( NYC standard ) , room size , location remain Sofitel . 
 Oct 7 2008 	 wonderful Location - Right Subway Station 	 husband visit NYC third time year not want Priceline.com thing . cheap hotel available long weekend . staff incredibly nice , front desk staff doorman . room clean great view , bunch bar restaurant one block away 3rd Ave , 6 train stop one block away Park Ave 34th street walk almost anywhere midtown . area around hotel safe . stay work would brought workout gear hotel fitness - center . fitness kit available use stay not want use gym . stay recommend Affinia Dumont friend . 
 Oct 6 2008 	 Top Quality Hotel 	 wife stay Affinia Dumont 25th Sepember till 29th September 2008 . confirm room booking ask high room view Chrysler Builbing . recommendation previous Trip Advisor Travellers . tell hotel could guarantee hotel fully book . however arrival take Room 2904 disappointed . one spectacular view ever see Chrysler Building Midtown New York lit glory . magnificent sight go bed night . hotel spotlessly clean , staff professional courteous . even pillow menu 5 different type pillow soft hard never hotel . hotel 4 block Empire State Building 5 10 minute walk . 15 minute walk Macys 20 minute Times square/ Broadway . contrary report go find taxi clean quick reasonably cheap . use one JFK hotel cheap train ( 4 we travel ) 45 dollar standard rate anywhere Manhatten plus 4 dollar 95 cent payment bridge toll . deli recommend breakfast Cafe Metro great value everything cook fresh order front . corner 370 Lexington 41st great start day . anybody want great steak try junior 1515 Broadway 45th street famous New York Steak house 20 oz Sirloin trimming . 
 Oct 6 2008 	 bit mixed bag ! 	 wife want good hotel stay disembark New York transatlantic voyage qm2.this honeymoon want everything right . extensive reading review Tripadvisor give we short list end select Affinia Dumont . book pay Expedia many month ago email telephone hotel , explain circumstance request room high floor view towards Chrysler Building . arrival seem record request give suite floor 24 overlook East River . inital impression suite great . decor furniture dark drab view hope . bathroom extremely small . however , suite otherwise spacious full tiny kitchen , mini hifi system , large wardrobe two room huge comfortable bed . inspection , find drawer fit bedroom furniture dusty cleanliness general seem less ideal . thick dust skirt board adjacent bed . however , suite pretty quiet , away 34th Street side . exception loud slamming door floor . during stay find front desk staff helpful bell staff outstandingly helpful , cheerful polite . always feel good get back hotel busy day sightseeing shopping . room always adequately service absence . the Murray Hill area pleasant eat several neighbourhood restaurant thoroughly enjoy . convenience store corner stock need make breakfast . we not use Spa ( walk mile city every day ! ) bark Dog bar / grill next door comment . get three set electronic door key six night stay . apparently tend fail place near mobile phone credit card , subject extensive security screening go go Liberty / Ellis Island ferry , helicopter ride Rockefeller Center Empire State building . seem bit feeble we . our negative comment light sit room suite . dim read curtain close . old fashioned CRT tv make ( chargable ) tv internet almost unusable . a couple day departure book SUV take we rather extensive baggage JFK . Bang time , stretch limo show ! luckily driver squeeze bag trunk take one front ! would stay ? probably . location size room really suit we like attitude everyone staff encounter . subway short walk away 34th Street home Macy 's Empire State Building . could well ? absolutely . room definitely & quot ; tired & quot ; need brightening . 
 Oct 3 2008 	 overrate 	 Booked hotel becasue review tripadvisor.+veslarge room 2 comfortable queen bed ( although need decorate ) great location near empire state buildingkitchen - use fridge though - vesshocke view oppose building even though request high floor viewfitness hotel pool tiny gymnasium£300 + night internet connection extra ! ! ! ! ! ! ! ! sufficient stay great location . however , expect money esp read review site . ok hotel little value money . may stay would definately look alternative first . 
 Sep 29 2008 	 another good Affinia experience 	 2 night studio suite highly recommend family , business people , people look stay far away madding crowd , be close Park Ave . shop West UN East . we stay Affinia near Penn Station difference , one Murray Hill much quieter , little new , fitness themed - bad not take advantage exclusive fitness packages.-Kitchen date serve purpose ( paper towel buy ) -work area fantastic , not like extra internet fee $ 9.95 / day ; standard Affinia hotel chain high - price hotel catch standard hotel , like day Inn , internet free ? ? -bathroom small - king bed ULTRA comfy - fantastic view ; sure ask high floor - spacious suite NYC hotel standard - front desk service satisfactory - location great restaurant Barking Dog Cafe next door rock ! 
 Sep 28 2008 	 Fabulous Affinia Dumont stay 	 stay Affinia Dumont 6 night really great stay . arrival around 1.30pm , receptionist say room 4th floor willing wait hour , would room high hotel . not sure benefit , explain might little quieter away street noise . great , go lunch come back room 19th floor . studio room large ( particularly Manhattan - ' ve stay 70 Park Avenue - wonderful hotel , tiny room ) , enormous bed , desk fully equip kitchen . intend cooking - ideal buying store beer / wine fridge make hot drink morning ( bring back late night pizza Broadway show ! ) . room impeccably clean day . staff friendly knowledgeable went way make sure guest good time . 's full range gym spa facility not get chance make use explore ny get exercise walk , walk , walk ........ hotel perfectly place Midtown , make easy get around foot place . would definitely recommend hotel would go back stay . 
 Sep 24 2008 	 Crummy resolution reservation problem 	 let say room beautiful ton room . clean well appoint . family five : parent , 2 boy teenage girl . book room month advance prepay entire charge . specifically request one arrangement : 2 queen bed bedroom sofabe living area . give confirmation via email deal . upon walk room immediately notice sofabe one King bed bedroom . call front desk basically tell nothing else available would give we rollaway daughter . might able move we stuff follow day . well want ? ? ? especially 3 kid junk ? ! shock not offer we discount comp . nothing bottle crummy , no - label red wine . Blech . stay Affinia hotel love . feel like rude basically , take could give we . stinky . 
 Sep 23 2008 	 Affectionate Affinia Dumont 	 great location ... end aug-1st week sept .... ask fr corner room ... large ... 2 queen bed ! ! ! ! clean room ... accommodate staff .... convenient good restaurant adjoining hotel -- bark dog ! ! ! ! pleasnat overall experience ! ! ! ! 
 Sep 19 2008 	 worth ! 	 return long weekend Manhattan accommodation Affinia Dumont far exceed expectation . check - in breeze - - clerk smile entire 5 - minute exchange bellman take luggage promptly , tell we little hotel general area . neighborhood ( Murray Hill ) wonderful small shop , lot pub / restaurant Gristedes , lovely grocery find anything be look ! studio suite , sweet , toilet would not flush . problem ! maintenance show ( fast ! ) decide not & quot ; quick fix & quot ; front desk give we another room , upgrade junior suite even well ! extremely roomy complete separate ( fully stock w / pot , plate , glass , silverware ) kitchen , home away home . fantastic dinner Union Square Cafe Friday night , Saturday night pick thing Gristedes 2 block away picnic cozy , beautiful room . could save maybe $ 12 night parking different lot , feel car safe Affinia $ $ $ not worth worry . every person come contact hotel friendly efficient . unit immaculately clean furnishing plush . bed incredibly comfortable ! could not happy accommodation stay whenever travel NYC . ' ve hear horror story hotel , friend reviewer , feel confident Affinia Dumont take good care we next time ! 
 Sep 17 2008 	 good hotel NYC 	 never expect great experiance NYC hotel price pay , staff excellent , room massive , well locate . we consider stay anywhere else NYC . 
 Sep 17 2008 	 would stay 	 live expectation give review , will not repeat they . just say , want view Chrysler building ( floor 35 38 ) need room end xx03 , xx04 , xx05 . ask reception , one bedroom suit two queen bed . room xx01 xx02 partial view river gap building . if use website concierege service book tour etc , worth check reception arrival everything be ok confirm . disappoint $ 7.95 use internet 15 minute . 
 Sep 16 2008 	 good location desk lobby service excellent ! ! 	 stay Affinia Dumont 10 day September . front desk staff excellent . request deal immediately . lobby staff , doorman etc , attentive , friendly helpful . elevator readily available , unlike hotel . area good restaurant bus subway close . love size room , 3701 find rather worn . clean service always good . ask improvement food spot fridge whole stay . also door open early one morning forgot put sign . rather annoy we . phone sit area bathroom clean windows mirror need good cleaning . complain time think clean staff might resentful we . rug bedroom always damp air conditioner think would create environment bacteria grow . clean issue love hotel . , however , quite expensive 4 star hotel . another thing note . one bedroom bathroom bedroom entry living room . mean anyone sleep room pass bedroom use bathroom . ask booking . I can not , however , say enough well front end staff treat we . 
 Sep 15 2008 	 Good Choice 	 great see hotel live description . spacious clean comfy room . we studio 29th floor . quiet . friendly staff , happy oblige . good location . elso need ? - sturdy pair shoe much see . great trip . 
 Sep 10 2008 	 good relatively quiet location great staff 	 stay hotel final 2 night US trip ( 25 - 27th August ) want try Murray Hill area ; live previous review - yes , ' quiet ' compare area NY still within walk distance 5th avenue , 42nd St time square . despite booking via Priceline give upgrade suite 30th floor ; fantastic panoramic view Chrysler Building river . this hotel spa / sport hotel in - house spa / sauna / pamper suite . fresh fruit several area hotel complimentary within apartment . pleased find 2 large complimentary bottle water suite . use Room service ; excellent good value . restaurant either side hotel look good value . hotel staff helpful genuinuely friendly . all hotel stay free internet access ; exception , aside want confirm return flight . overall certainly enjoy stay Dumont . 
 Sep 9 2008 	 Excellent experience - review correct 	 boyfriend stay Dumont 5 night 3rd September 2008 pleased choice . email hotel prior arrival ask room high floor give 36th 37 floor - room 3607 view downtown river . stay studio suite king bed - small room believe - yet ample we . bed huge comfortable , desk area , armchair , sufficient wardrobe / closet space drawer - room well design make use area mean small . bathroom decent size plentiful towel replenish Aveda toiletry bath shower . room kitchen area , we good place store drink snack people kid tight budget could useful - kitchen microwave , full cooker , large fridge / freezer , coffee maker , pot pan , crockery , glassware , cutlery even little thing like corkscrew . high hear noise street confirm old air conditioning unit noisy - heat city though prove invaluable soon get use . hotel Murray Hill - neighbourhood feel experience real city rather tourist area . breakfast every day head really enjoy Murray Hill Diner , around corner Lexington 33rd Street . offer vast choice , large portion really cheap - breakfast prove great start day ahead . next door hotel 24hour store / deli could stock practically anything need . eat restaurant link hotel , Barking Dog twice - purely convenience food decent , portion large average price . 3rd Avenue 34th Street , literally within step hotel , abundance restaurant bar - try food fine , especially like Cinema . prospective guest aware make request direct hotel use Affinia Concierge facility website - request anything free toiletry , choose pillow menu , ask free fitness kit duration stay , book trip excursion , make special arrangement birthdays anniversary etc arrange transportation hotel . really good facility everything ask room upon arrival . staff friendly helpful - whenever ask anything seek advice prompt precise . overall enjoy stay think real fault - hotel worthy position review Trip Advisor without doubt would definitely stray . 
 Sep 8 2008 	 new favourite hotel 	 really like hotel . use live NYC go back 2 - 3 time year visit . sometimes stay friend need free time , stay hotel ( friend come visit ) , sample quite . Affinia 50 Dumont like , push , prefer one . partly location , partly bit big , nice gym great view . staff really great , room fabulous size NYC sense space . modern say Casablanca , TripAdvisor reader tend really like , actually like well . ( Dumont 50 wine / cheese ) add food / drink extra free NYC half hte fun get breakfast find little wine bar .... also bark dog adjacent property fine cafe place nearby . locate close Empire State building really handy ( like ) prefer head lower eastside go . handy everything include trip in / out JFK LaGuardia ( East Side ) . room lower face 34th likely bit noiser , always ask high room face one side street fairly quite . good part , though , staff really lovely . oh gym person ( ) really good hotel gym . cost medium NYC , way top , cheap . book correctly , get well rate say Casablanca ( small , tend book quick rate go higher fast ) . , like Casablanca ( really ) like something bit modern spacious , place . want small hotel take advantage eat free ( bfast ) drink / cheese evening Casablanca might well choice . 
 Sep 8 2008 	 hospitable staff = fantastic hotel experience 	 originally stay Dumont 1999 . husband plan NY trip , recall much have enjoy Dumont almost ten year prior . see image famous Degas statue outside hotel Travelocity.com , know go . glad : midtown / Murray Hill location ideal go EVERYWHERE Manhattan , starter . 33rd Lex subway stop block away , walk theatre district Mad Avenue easily do here . the suite - style room large accommodate , quiet pleasant hallway terms street noise . what impress now - upgrade Affinia Dumont staff . every single staff member meet take time greet we directly even learn name , treat we kindness respect . anonymity ... ( side note : come home , discover have leave FAVORITE pant behind room . Dana Housekeeping find , FedExed speak . grateful ! ) planning stay Midtown Manhattan anytime soon ( really : ny incredible ! ! ! ) , highly recommend Affinia Dumont . glad ... 
 Sep 8 2008 	 Loved Dumont 	 return 5 night Affinia Dumont . stay wonderful 1 bedroom suite , decide treat well worth extra money , room huge . ask room high floor allocate room 28th floor lovely view river . find anything complain receive bill minibar item , however , booking deal charge deduct bill . lovely hotel great location visit New York would hesitate stay . 
 Sep 7 2008 	 love hotel ! ! ! ! ! 	 great stay Affinia Dumont ! people friendly helpful . request top floor boy , get ! 37th floor corner room awesome 2 - sided view . Sunrise East River lovely ... would recommend hotel heartbeat . lovely room ( spacious Manhattan ) Murray Hill Market next door convenient snack breakfast food . can not say enough place ! ! ! stay ! ! ! 
 Sep 7 2008 	 Good Location Friendly Staff 	 really enjoy stay . room good size add bonus kitchen great breakfast . location residential area plenty bar , restaurant shop nearby . staff hotel really helpful friendly . 
 Sep 5 2008 	 FAB stay Affinia Dumont ! 	 decide Affinia Dumont see review tripadvisor say dissapointe . room large comfortable little kitchenette come handy store drink etc . bed really good sleep ensure brilliant night sleep . sure ask high floor room get great view . room 3606 stay fantastic view across Hudson river Queens . the Murray Hill area great stay 34th 7th last stay NYC vast improvement . come hotel turn right go cross abundance lovely bar restaurant think rare come across NYC everything spread out . whilst ( , sister friend ) go night Gordon Ramsey 's restaurant London . highly recommend food service second none barment Mike Greg amazing welcoming . definitely stay Affinia Dumont next return NYC exceed expectation staff warm welcoming add enjoyment stay . 
 Sep 4 2008 	 bad attitude customer service 	 family travel NY frequently business reason . stay hotel January 2008 two month . front desk staff generally nice . however , several staff house keeping department several evening manager bad attitude customer service . several time , put privacy sign outside door , housekeeping staff ignore sign come without permission . addition , one evening manager talk family extremely disrespectful demeaning manner . family 's experience extremely unpleasant due manager 's arrogance attitude . customer service expect mid high - end hotel . receive bad customer service hotel hotel stay New York . 
 Sep 3 2008 	 fine hotel large room 	 Lots NYC hotel tiny room . one ! plush , excellent service , nice gym . Good Midtown location . cheap , get competitive deal . 
 Sep 3 2008 	 Super hotel 	 book hotel hotels.com get great rate around $ 250 night king studio . overall , hotel one good stay in . the staff wonderful hotel , especially Chris , night doorman . staff helpful try good help whenever possible . always ice tea fresh fruit available lobby . the room big expect , hear New York . fridge kitchen dish pot pan . air conditioning bit loud , would complaint . would recommend stay side face street want quiet . stay 11th floor face back ( street ) . view , quiet , able sleep even though light sleeper . good thing hotel self - service laundry basement , able laundry prior next destination . bed comfortable . the location hotel great . 3 5 minute walk subway . empire State building block away Macy 's . great place stay , especially travel child . kitchen end convenient . 
 Sep 2 2008 	 excellent choice 	 excellent stay Affinia Dumont . great location 34th Lexington - easy walk Empire State Building , 5th Avenue shopping . staff extremely helpful pleasant . stay junior suite , two queen bed , full kitchen bath . nice quiet day busy city . also great spa feature . overall , great value money . 
 Sep 2 2008 	 Great Hotel ! 	 reiterate comment hotel : good sized room , friendly helpful staff , great location . spend 6 day end August 2 teenager . book american football ticket send hotel keep safe we , request room high floor give one 26th good view pillow pillow menu sit bed arrive ! ! deli corner great teenage snack handy kitchen . would use hotel recommend . 
 Sep 1 2008 	 okay 	 read great review trip adviser , decide book Affinia Dumont . must say .. overly impressed . clean spacious . however , nothing special . leave 9 am Saturday morning shopping city come back almost 2 pm bed still unmade . ask twice night sofa bed pull make finally around 830pm . bark Dog Restauraunt awful . hesitant eat figure bad could breakfast ? not waste money ! burn pancake , flavorless hash brown chunk cheese melt omelette . 
 Sep 1 2008 	 Fantastic 	 Affinia great hotel ; large spacious room plenty storage . kitchen really useful full sized fridge fantastic really convenient . request room high level prior check - in pleased see accomodate arrive . room amazing view Chrysler building East River really great ; bed huge bed comfortable . fresh towel deliver every day well morning newspaper nice touch . staff always polite always hand offer help direction travel information . bark Dog diner really convenient offer great food ( breakfast especially ) great value - for - money price . hotel great area ; approx 5 minute walk Empire State building , 2 minute nearest subway station ( 33rd Lexington ) short walk away great little bar restaurant 3rd avenue . would definitely stay Affinia would recommend guarantee great stay Manhattan . 
 Aug 31 2008 	 Amazing 	 staff hotel , location proximity subway hotel well ! clean room pleasant staff hotel amazing . Christopher doorman pleasant time really helpful New York information . would highly recommend hotel anyone look go New York . feel like heart city easy access everything . concern high cost Internet . room expensive would think internet would great bonus ! additionally , day room furnish face cloth force use hand towel wash . 
 Aug 31 2008 	 Excellent Hotel 	 get back 4 brilliant night Affinia . look review leave expect good even well would hope . staff friendly give room 25th floor great view city . Junior Suite big have expect . Location Murray Hill give easy access Grand Central ( 10 min walk ) , Empire State , 5th Avenue subway ( 33rd St ) . also nice quiet area great day see sight .. come US Open Tennis already plan next trip back use Affinia base . 
 Aug 31 2008 	 excelent choice 	 May luxury hotel sure one agreeable confortable one . if family New york , good choice ! extraordinary staff , confortable big room excelent location ! next time New York back sure ! whole staff : GREAT JOB ! keep ! 
 Aug 28 2008 	 great hotel ! ! 	 great hotel . staff- esp Paul Juber- extremely friendly helpful . clean feel entirely safe . busy , noisy day sightseeing great come ' home ' quiet hotel . 's hard believe block away Times Square etc .. fully equip kitchen market next door save we ton money . question - we would stay ! ! ! 
 Aug 28 2008 	 Lovely Hotel great service 	 stay Affinia Dumont friend shopping trip . stay 7 night find overall service great . room clean daily fresh towel give day ! staff friendly happy help question . location great we .... less 10 minute walk Macey 's . 's 2 minute walk Empire State Building . preferred hotel previous stay New York , little noise street room bit big average hotel New York . 2 great double bed amazing pillow . ( pillow menu provide ) . kitchenette good add , not really use anything apart fridge . would definitely go back Affinia Dumont . 
 Aug 27 2008 	 Affinia Dumont well ! 	 happy stay Affinia . love neighbourhood - much less touristy crowded lot place New York great shopping block away Herald Square . subway also block away . the staff friendly helpful . ask room nice view Matthew reception accommodate we huge studio suite top floor face north Chrysler building - amazing view ! ( Suite 3704 gorgeous . ) Donald , one bell staff , also helpful answer question New York . housekeeping leave message we say could not get room give call want come clean - service ! room impressive comfortable king size bed , big desk , seat area room spare . kitchenette convenient - pick lunch dinner Murray Hill Market next door heat microwave ! quick breakfast - bark Dog next door trick . Most , love feel hotel . big still sophisticate luxurious . ( couple minor suggestion improvement - would nice tv upgrade flat screen , also bathrobe would great ) . can not wait stay ! ! 
 Aug 26 2008 	 Great Hotel 	 get back New York City five night stay Affinia Dumont . travel two child , age 12 14 , stay one bedroom suite . hotel clean great location near restaurant market , close enough walk tourist attraction . rate reasonable , room large ( friend NYC come visit we say big Condo ) , kitchennette allow save money breakfast snack . nothing negative say ( wireless internet service pay hook cable ) , would definitely stay . lucky find great New York hotel reasonably price suite . 
 Aug 26 2008 	 Perfect ! ! 	 first trip New York want stay somewhere pleasant good location ... get ! ! ! location great . easy walk distance Macy 's , Empire state build Fifth Avenue . not busy noisy good world . the hotel staff really friendly helpful . room clean deco pleasant . & quot ; Barking Dog Bar Grill & quot ; next door great . good menu service always spot . would definately return New York stay hotel . 
 Aug 26 2008 	 DUSTY room horrible housekeeping ! 	 friendly staff thing look good first glance look dust window sill , furniture , housekeeping not clean floor much stay day . check instruct floor ! 
 Aug 24 2008 	 Good Location nice staff great room . 	 locate 150 East 34th Street . ' 2nd 3rd Avenues . 30 + floor hotel pleasant . book one bedroom suite King . essentially two room , one king size bed , en suite bathroom , load closet space . separate sitting room fold double couch , little kitchenette . kitchenette cooker , large fridge / freezer , microwave , dishwasher sink . large tv room . also little storage room enough space suitcase iron board keep . also hang closet space storage room . the suite everything require comfortable stay . Room Safe , phone , lot good lighting desk chair , internet access optional extra . bathroom decent bath good shower . toiletry towel plentiful replenish need . hair drier bathroom . also dread mini bar , later ! hotel reception bright modern . reception concierge staff friendly professional . bar hotel . free flow iced tea fresh fruit available reception counter , nice touch unnecessary feel . one time go try iced tea little plastic cup available . on second floor fitness suite never time look never mind try . also kind Spa treatment available ' sure in - room whether separate spa treatment room . the hotel seem organise weekly meet greet session guest . get invite could attend . nice touch thought . another nice touch complimentary morning newspaper yet another guest survey email shortly arrive home . next door Barking Dog restaurant sit eat order room service . neither menu entice we enough . last day consider Barking Dog breakfast 3 table occupy 10 am , decide go around corner Gemini Diner good varied breakfast menu unfortunately sullen staff . I request room high floor get floor 11 . would consider high floor 37 floor building . however room get , view speak fairly quiet face directly onto street . the main King size bed amazingly comfortable . love . pillow menu , probably good idea . try swedish pillow unimpressed , however spoil stay fault probably pillow geek . the ' sitting room ' much pleasant cool temp bedroom stay August temperature outside quite high . could manage adjust temp bedroom yes could call reception honest ' bother we much , one night particularly sticky , ok . Location hotel good we might suit everyone want shop lot drop bag back hotel interval . ' 10 minute walk along 34th street 5th avenue 5 Macys . ' street Empire State Building . purpose trip - sightseeing , location fine . in case get cab easy cheap concierge always hand hail cabnearby good selection local shop mini market sell everything could possibly need ? across road little Duane Reade pharmacy . if complain would two thing . first mini bar . really dislike mini bar especially hotel item purchase much cheap locally . mostly dislike invariably charge final bill item take bar . time $ 16 add bill mini bar . ok , ' bankrupt , ' point . tell receptionist take anything mini bar politely tell would remove charge . alleviate embarrassment however . would prefer incorrect charge first place . believe hotel give guest option have / not mini bar . would simple thing housekeeping organise . the second issue housekeeping lady repeatedly tell we display ' disturb ' sign correctly . insist day one always display sign outside door . think rude also unnecessary . come across previously decent hotel . also , last day get ready vacate room 11 am ( checkout 12 pm ) , knock door ask we time leave at . the reason sign display correctly darn thing keep fall door handle ' well design sign . Affinia Dumont place emphasis ' disturb / make ' sign well sign least sign ’ blow handle every puff air . hotel electrical switch use purpose . it still bug leave decent tip , overall though , would definitely recommend Affinia Dumont , great time little annoyance outweigh pleasant stay . think majority staff go extra mile ensure guest enjoy stay . 
 Aug 23 2008 	 enjoyable stay 	 not cheap hotel could ' ve pick , first trip ever New York , please pick Affinia . stay week , fly Newark ( taxi circa 70 US way ) good:1 . location - close Empire State Building & amp ; Time Square ( block away ) pretty much walk everywhere ; 2 . good selection restaurant area - good greek place ( turn right hotel & amp ; right end street - 's across road ) . seafood mix starter octopus great.3 . shop deli area great get thing room.4 . Breakfast Murray Hill Diner around corner Penelopes ( Lexington think ) great . one true diner & quot ; Friends & quot ; style mix up.5 . room size - spacious kitchenette . comfortable bed ! good:1 . internet / wi fi free rate charge ; 2 . would not say staff friendliest serve well ask . we lucky enough get request make time booking room view Chrysler building , stay whole week ! say , real highlight first trip ever New York - thanks Affinia ! 
 Aug 22 2008 	 wonderful ! ! 	 extremely pleased hotel . stay 3 night August super room 30th floor fantastic view . room HUGE studio small available . staff friendly accommodate . reccommend hotel anyone planning trip NYC . 
 Aug 22 2008 	 Great Hotel 	 book affinia base Trip Advisor review not disappointed . reception staff friendly helpful . room large , clean comfortable . small kitchen area , fridge , microwave , cooker etc , good sized bathroom Aveda toiletry huge bed . hotel offer ' pillow service ' , request different type pillow good night sleep ! 's well locate East 34th street , stone throw away Empire State Building , Macey 's , 5th Avenue etc . 's Barking Dog restaurant attach side hotel , serve enormous breakfast . table outside . seem use local well . fly La Guardia , close hotel fly back Newark . ask hotel reception much taxi would say $ 80 . tell we shuttle service cost we $ 38 . great hotel . 
