beautiful 	 Mayfair Hotel stunning - great location , clean tidy uber trendy . barely week go without photo one celebrity another see go come popular hotel . therefore , expect alot hotel . we arrive later day , reception relatively quiet , however gentleman behind desk surly , moody not look remotely bother attend we approach desk . make eye contact we whatsoever not even greet we . after give we room key walk away without tell we room , get etc .... least expect ask we want newspaper morning , need help luggage ( large suitcase ) , disappoint whole demeanour could not believe 5 star hotel checking . however , get room delight . large , clean , king size bed marble bathroom , make rude reception staff . however , 8 am follow morning , woken knock door ! housekeeping staff want make room ! 8 am ! could not believe , especially go relax weekend catch sleep . I shock later day return hotel 4 pm discover room not make , despite housekeep eager 8 am ! confront front desk , surprise surprise shrugged shoulder not really see problem . breakfast bar first morning restaurant busy . staff polite attentive , however still wait 40 minute breakfast , order la carte breakfast menu , feel wa long , especially bowl porridge order . all say , hotel alot excellent quality . bar fantastic always lively atmosphere matter time day . the spa outstanding food Amba grill delicious ( would recommend cod ! ) .It also one clean hotel ever stay in . when book room , ask one not overlook front hotel keep awake night people leave various bar / nightclub area . 
 Mar 15 2006 	 good location 	 check , 2 pm , show tell return @ 4 pm . left bag go walk .... stayed week 5 - 10th March . room nice clean . modern decor . B & amp ; tv ... : ) double bed etc . scafolde outside window mean dust window sill , mean dust / dirt came open window , care clean room ... hall way carpet filthy workman use . morning ( 7:30ish ) tip toe around place .. GRR Location perfect , 2 min walk Green Park tube station . excellent area , Mayfair .. right accross Nobu ( famous restaurant ) star gaze Mayfair Bar tickle fancy . although paparazzi probably block view . bar close early though 11 pm . suck want drink show around 10:30 tell closing , must aftershave .. breakfast expensive pay still menu limited . either full english continental . make scamble egg & amp ; mushroom , toast , OJ , coffee one day charge £ 20 next £ 15 .... dinner last night £ 37 ! ! ! soup , steak glass wine , oh wait water ! ! GRRR read somewhere website get 20 % food bill do not work , could bother check out . gym small nice busy . over nice hotel well complete . staff bit snooty nice that s expect . would stay , defo location perfect good area . nice place walk around . 
 Mar 14 2006 	 love london like hotel May Fair nice ! ! 	 stay May Fair , would never stay , could not sleep noise acrosse street , hotel invite staff helpful ! ! ! ! ! ! know problem previous patron , nothing two suite feel like waste ALOT money substandard room ! ! ! go back london , love , look another hotel ! ! ! 
 Mar 13 2006 	 good value 	 overall good . base weekend London perfect ; closely locate Bond Street large number theatre . the room modern , tastefully furnish clean . build work noticeable outside nothing appear happen weekend , least hear any . where hotel score point well price , stylish modern . reluctant spend lot ' traditionally decorate ' room another hotel find date , ' floral ' lack decent shower etc . Radisson perfect reservation not want blow budget . 
 Mar 7 2006 	 Value money 	 wife stay Friday Saturday night book via lastminute.com . yes hotel well complete inside finish rate available lastminute 5 * mayfair good value . we find bar impersonal noisey ( try bar Ritz , Connaught , Savoy Claridge 's - price history great people watch ) .We delux room good size walk closet / wardrode ( light poor ) large bathroom . the building work intrusive Saturday morning Sunday . the staff helpful friendly . us hotel modern ( prefer traditional London 5 * 's ) need stay London reduce rate available would use hotel . 
 Feb 26 2006 	 OK 's Finished ! 	 read previous review place construction site choose disregard . use Intercontinental . & quot ; can not run ' five star ' hotel condition & quot ; think . oh yes ! arrive road close allow massive pantechnicon crane work building , completely swathe scaffold . reception minimalist , soon check go room . enter newly refurbish room , feel vibration racket jackhammer right outside window . go straight back reception ask move . the next room quieter , WiFi internet connection , mini - bar working , five tv channel , advertised shoe shine service available , scaffold outside window . lift slow intermittent . lift arrive , likely share hard - hat construction worker carry slab marble . one bar close . the location excellent , Piccadilly . pay £ 99 , discount rate lastminute , & quot ; 5 star Mayfair & quot ; hotel . hotel really close whilst work carry . wish stay elsewhere . hotel suppose finish September 2006 . stay away ! 
 Feb 24 2006 	 great hotel ... however ... 	 stay one night book delux room . initial impression hotel not great greet scaffold builder 's . however step inside hotel sleek quite plush . room great , really spacious stylish , however view not scratch all . the staff great , really helpful friendly , especially reception . however , beware bar price ! pop late night drink find sting £ 20 2 drink , overpriced thought , even though Mayfair . another thing , build work be go pretty noisy , especially morning try get lie in . we order breakfast room would highly recommend , 's extra £ 1.50 's great selection luxury room . overall nice hotel , perhaps little steep price consider area 's . would recommend building work complete . 
 Feb 22 2006 	 good fantastic ! 	 girlfriend stay 18th-21st February Valentines weekend break . the exterior hotel ' totally ' cover scaffolding currently renovate pose real problem we . the reception area impressive - slightly lack atmosphere . totally renovate large modern , however appear lift complete yet . we arrive early room quite ready however drink bar return reception room still ready allocate we another room - still sure not start ! meal Amba Grill nice . the bedroom Deluxe King lovely - see photo . bed comfortable . age carpet look like get grubby look quickly - stage ' ok ' . Bang & amp ; olufsen television great except suppose internet television use in - room keyboard - keyboard working call reception technical team duty ( fair midnight ) use Business Centre - not convenient time general business centre good high speed internet printing facility 24 hour day . also , believe free wireless internet guest ( not laptop ) .The bathroom spacious , double sink , large walk shower tv build wall cool ! however remote faulty , report reception three time nothing do . shower near bath make washing hair tricky bath - use glass . check - out swift mistake bill quickly rectify . receptionist tell currently complete new wing , convention centre theatre . as regard building work currently happen find problem - evident obtrusive . overall - hotel lovely present great atmosphere problem feel warrant pay rack rate - book Lastminute reviewer say 's hard complain cost think thing change justify expense £ 40 million renovation . 
 Jan 12 2006 	 stay two week ... 	 partner go London two week break early November stay Radisson Mayfair . say hotel joy , staff attentive , room comfortable rennovation big thing . problem second Monday stay , hotel hot water , wake shower morning wake . 11 problem solve give voucher upgrade suite future visit . overall , would stay future . 
 Dec 20 2005 	 excellent even midst renovation ! 	 although middle major refurb hotel fabulously luxurious reception room bedroom finish . when book Lastminute dotcom rang check room would new etc . it fab - beautiful soft furnishing finish super bed bathroom . daughter twin palatial amazing bathroom . there doubt building go evident scaffold front dusty footprint noise start 8 am be not problem we . we eat can not comment that . if concerned wait bit long would go back soon - the location fab staff 
 Dec 1 2005 	 lot drilling day ! 	 careful place . need hotel sleep regular hour consider , do not think long lie etc . outside completely cover scaffold day nowhere hotel hide sound . not place romantic weekend ! ! need sleep regular hour room comfortable . 
 Nov 23 2005 	 need shake order justify 's 5 star ! 	 read review hotel dread stay , lucky enough give one newly refurbish room . however , opinion hotel staff require real shake term service cleanliness order deserve 5 star rating . the new reception area look lovely . 's open modern check - in swift despite late Friday afternoon . check - out Sunday morning somewhat different however 2 reception staff desk long queue guest ! room quite reasonable size London hotel . new decor modern various shade brown beige . give room recently finish , 's disappointing carpet already start look grubby worn . bath not clean urine stain front toilet . Bang & amp ; Olufsen tv not work properly . round glass table front window already scratch . one bathrobe ask Reception another one , Recptionist look watch tell & quot ; Housekeeping close & quot ; , would see could . pretty poor service , upon return room hour later , another bathrobe , must something right . towel bedlinen good quality bed comfortable . we want meet friend Mayfair Bar Saturday night going tell bar not open Friday Saturday night . hotel think real lose revenue opportunity , really disappointed Mayfair Bar always really trendy , buzz place meet . instead direct resident Amba Bar pretty quiet soulless . overall , hotel great location would buy accommodation Lastminute can not moan price either . however , hotel 's staff need serious polishing be go justify huge cost renovation . 
 Nov 4 2005 	 go hotel 	 even go within mile Radisson Edwardian May Fair something bind go wrong . recently stay London two night need another break home . lobby hotel impressive , get past scaffold builder lorry entrance , put 's far go . room not ready turn 6 pm evening . shower tap come hand . return night plumbing start clatter staff promise problem would resolve . 2:30 morning not . next day return room Sunday night blood curdle sound first . Unfortunatley due travel commitment , unable express disgust management still wait hear , despite promise website 24 hour turn around complaint . think customer service department must large back log , May Fair anything go . please not waste money establishment ! 
 Oct 23 2005 	 terrible experience 	 keep review short since not want remind stay hotel hope warn traveller . no - one stay hotel renovate . renovation extensive major . move first room put look like full - on building site ( mud floor etc . ) , second room lot small ok - apart crane construction right outside window . problem seem air conditioning window open . that wake early morning much hammering etc . part ceiling fall . hammer continued hour . positive thing say complain manager , deal complaint efficiently promise compensation - unfortunately still wait ! 
 Oct 18 2005 	 Rude awakening 	 almost need write two review hotel . refurbish 's building site moment . not think lie - in , drilling start 7 am . new room beautiful , old one pretty grim . despite regular , time give stinky smoking room , give straight back . quickly give well twin room 's point register preference ignore ? like double bed non - smoking room , apparently be hard even ' ve book month ahead . get new room hotel deserve 4 star old one good . empty fridge ? 
 Sep 25 2005 	 avoid lastminute ' deal ' 	 book stay lastminute offer ' Top Secret ' deal 5 star hotel . tell Radisson purchase hotel last year currently upgrade 5 star standard . word , eventually 5 star hotel , barely 2 star . will not list many problem encounter 1 night stay would seem fairly lucky compare peolpe 's experience . however , feel other warn near worth money pay would avoid cost refurbishment complete . in Radisson 's favour , write directly complaint deal quickly satisfactorily . one point : Radisson claim happy resolve problem effectively , & quot ; will not pay & quot ; . yet see promise fulfil . 
 Sep 20 2005 	 nice hotel stay long 	 book last minute.com friday saturday night . get wonderful deluxe room newly refurbish modern . bathroom beautiful bed ever comfy ! ! hotel fab location three minute walk green park station 5 minute Ritz 10 min picadilly circus . would higky recommend hopefully stay ! 
 Sep 12 2005 	 not worry review - like ! 	 book lastminute ' top secret hotel ' section heart sink refer website read negative review . however , stay hassle free . although probably not justify pay five star price ( pay £ 99 per night ) room large , clean great bathroom . air conditioning room not work already provide huge fan work well . good thing however location - be look explore London meet friend centre can not go far wrong . can not comment breakfast 's necessary eat drink - thirty second away multitude cafe , bar restaurant . would definitely stay . 
 Sep 12 2005 	 average 	 hotel refurbushe go bit ground floor far complete . room old side huge , huge bed , big bathroom , olden style decoration be not really thing definatly nice enough . see bad reiview , breakfast serve bar cause restaurant , view back room rest hotel roof , generally do not detail high stare hotel , need improve lot . 
 Aug 28 2005 	 definitely 5 - star standard ..... 	 stay hotel long weekend away partner 's birthday expect 5 - star luxury . frankly , little embarassed . the ground floor part way renovate , dust - sheet separate reception area building work . the room tire date . unit chip , hole carpet wallpaper , view look onto renovation . bad point pillow give blood stain - unpleasant ! ! hotel convenient , yet quiet spot , bode well completely renovate . - avoid ! ! 
 Aug 21 2005 	 Horrendous 	 Booked hotel 3 night . book Superior King Size room look decent hotel internet . go room pass linen lie along side corridor . husband comment musty smell way room . enter room tiny . could rate five star hotel never know . minibar room 2 bottle water . ask smoking room go reception mention say would downgrade we standard room , minibar full redecorate hotel , fill minibar do not know . would hate think standard room would like , superior room small . go downstairs call travel agency book hotel request move we Conrad Hilton stay love hotel . book Raddison like see different part London go . look superb five star hotel London recommend Conrad Hilton , 15 minute taxi city , staff service fantastic . 
 Jul 30 2005 	 Radisson Mayfair bad ! 	 return one night stay . frank bad review justify long pay £ 160 per night inc VAT . room corridor fade improve . reception first floor business facility first class . W stay far worse far abroad . fair ! 
 Jul 19 2005 	 refurbish ok 	 like hotel . stay least 6 time last 6 month . ground floor complete , reception / bar / resturant do . reception staff ok . bar staff excellent , although be cheap , Mayfair ! ! room old , thay bring line rest Radisson group , good . mixture room , vary form large , quite small . 2mins walk Green Park tube . 10 min walk Picadilly Circus . overall , would happily stay . 
 Jul 19 2005 	 bad experience life . ban 	 never life terrible experience . people ban Tourism Hotel industry business . bad . we change room 3 time different reason manager lie we 4th change . the first room work air conditioning smell . the second room & quot ; new & quot ; work progress area ( yes , work progress ! ) ok one day , , rain , get back , also rain inside room , three different place ! 3 hour wait complain ( one ) , finally move we around 2 third room stay small bed promise move we another room next day room night . 7:00 somebody open door & quot ; instruction manager & quot ; see room occupy . ! ? not talk ? inexcusable night shift manager communicate room use emergency . inexcusable morning shift manager send somebody open door 7 morning , without knock room & quot ; Disturb & quot ; sign , obviously know problem night . they move we fourth room stay , noisy room . demand see head manager listen we , offer move we well less noisy room ( would fifth ) , accept proceeded pack fourth time . course , happen . leave hotel sightseeing manager come we say deal ! ? ! not ! manager never back promise , specially happen last day make we pack , again . it end . check 3 day later ( could move another hotel ) , system could never print final statement ! review charge screen write hand letter state go charge credit card . first time ever . oh , way , stay one elevator ( two ) working.5 star hotel ? even one star hotel . hope somebody power take notice review close hotel fully operable condition . concern good employee . hope also give warning owner Hotel business people , observe operation closely . there three people stay really show interest we customer thank try . none manager . manager always defensive thinking personal hotel interest first . sure way eventually lose customer . manager offer charge we stay , offer one night . never , ever stay Radisson Edwardian hotel recommend anyone stay somewhere else . 
 Jul 5 2005 	 terrible experience not go . can not get refund first / only night 	 encounter litany problem stay , compound fact rung ahead request specific item stay birthday present not arrange arrive . rather go great detail item shall bullet point you.•upon booking rang hotel three time ask speak concierge time put though answer machine message stating would call back left message . yet receive return call.•I call receive response want arrange rose , bottle champagne box chocolate leave room . person speak assure would taken care . ask cost tell ' available day stay ( book day arrive ) .•Upon arrival check check - in staff whether rose champagne etc room time look blankly turn speak loudly staff ' anyone know anything flower ? ' partner hear . not arrange . we send ' 5 star room ' find follow ; •a hard hat next bed •a filthy dirty hard hat behind television•plaster dust walk floor•plaster ' pebble ' carpet•damp smelly bedding ( touch see could smell ' comfortable ' chair ) •the light poor could read without electric light even electric light make look like hermit cell India ( except bad ) •one bulb blown•dust everywhere include cover surfaces•staff wander across scaffold next windows•one telephone function•Black dirt bath•freezing cold extent open window let heat except fact cleaner walk past ( scaffold thing ) tell we ' window open dusty thing steal use open window . I telephone reception ask another room approximately 45 minute sit virtual dark lady turn key room least light enough read decide move . unfortunately corridor expose pipework filthy . it nice way spend birthday decide run bath soon get room . two hour arriving.•when run bath water bright yellow ( dark urine colour must know ) •the water contain large clump dirt 10 minute run ( instruction clean ) •I ask happen pass cleaner say normal worry•The tap fall hand ( obviously break sometime noticed time busy look water ) finally manage clean use hand basin ' bother complain anymore late dinner stage.•we notice impossible turn air conditioner try change setting pump black smoke . •the air conditioning later keep we awake make disgraceful noise ' much sleep however 8.15 morning follow happen ; •the clean knock door ( disturb sign ) •She knock 9.00am ( door still disturb sign ) begin crash trolley door next us.•at 10 ' clock get bath WALKED ( without knock door still disturb sign ) upon shout ' want clean room ' . checkout time 12.00 . true . please not waste money . process talk last minute , hotel head office get refund compensation . lucky enough tot stay 5 star place . place close finish . 
 Jul 4 2005 	 Ruuuuuuunn ! ! ! 	 never write hotel review feel compel warn other help prevent disaster . hotel construction . arrive , give choice old room old wing ( mold , AC , stained sheet etc ) new one , construction . warn ( choose & quot ; new & quot ; option - oh foolish one ) & quot ; glitch work & quot ; . glitch include scaffold directly outside window ( be talk man hardhat stare face pre - coffee pre - clothing ) , construction begin dawn delight . open blind . sleep . help notice room smell like poo . not tell fact periodically ( read : try shower ) cold water ( scald hot ) , work tv - movie service , phone service connect front desk ( yes , problem , must get dress go lobby tell ( drumroll , please ) cockroach ! staff look blankly ( get good one ) condescendingly ( get mediocre one ) reproachfully ( get manager ) would rather sleep street stay another night . actually , would rather eat liver stay another night . fact , ' m check morning another 4 day London imagine another day wake sound hacksaw concrete pound ceiling bed . favor resist compulsion stay . may think , & quot ; oh , can not bad & quot ; & quot ; 's night & quot ; & quot ; person must fussy & quot ; - assure finicky traveler . year alone , ' ve Cuba , Africa - . ' ve stay grim hostel . difference unhappy customer , anywhere else listen , sympathize service good staff 's ability . manager , Ms. E , tell , & quot ; be find thing come & quot ; statement unacceptable , 's grammatically incorrect . run . run fast away Radisson Mayfair London . ' fast enough . 
 Jul 2 2005 	 careful 	 book hotel Lastminute Top Secret hotel scheme . wonder try keep secret ! hotel , previously note review , undergo refurbishment . problem room sell last minute apparently available ( junior suite jacuzzi bath ) . yet find whether mistake last minute 's part hotel 's , reserve judgment . currently discussion Lastminute refund not get buy . hotel try offer we another room . bit panic 7 couple experience issue . firstly offer newly refurbish room , nicely do , tiny . reject . show another room one old one , stand - alone air con unit ( extension cable trail across floor ) . go take another couple walk . give room error . eventually , manager say could get we Holiday Inn road ( walk distance ) . say would look room . essentially , get Executive King room Holiday Inn - get jacuzzi bath , suite . take push time - show go need freshen . staff Mayfair helpful . two criticism offer inferior room breakfast bit mean - spirited . also , would hope would book us 5 star hotel , rather Holiday Inn . appear refurbishment cause lot problem . seem overwhelmed , although good cope . like another reviewer say , hotel fantastic finish . would avoid though . 
 May 29 2005 	 Worth 	 hardly 5 - star hotel , would put 2 - star . first room check bath , shower ! second room clean , exhausted settle it . great location , worth price trouble . hotel certainly note special ... wish find TripAdvisor.com stay . return London much happy Renaissance Chancery Court . 
 may 25 2005 	 Dump 	 hotel currently undergo major refurbishment programme really close whilst go . stay room scruffy , well past sell date , wonderful view building site outside . noisy 7.30 pm even window shut . the refurbish public area impersonal character . lift slowest ever encounter . B & amp ; b rate checkout try charge breakfast , number guest - need watchful . all - in - all stay pleasant experience . think go 5 star hotel , think , hotel currently worth 2 star . 
 May 10 2005 	 Never 	 hotel ashamed call five star hotel . good exageration . room , hallway , area away reception horrible , run , old . water room brown . well uncomfortable . room small even london . service marginal good . many well economical hotel . never stay hotel . 
 may 8 2005 	 Disappointing 	 also book via last Minute guide picture lovely room . real life though . firstly , get room door would not open 20 minute traipsing reception , work man finally sort . tea , coffee mug miss ask twice appear . book ' deluxe ' room , give room sure standard room . rang reception check , could not less interested . on plus side , bathroom ok good sized bath decent shower , bed comfortable . if want something really special , , not go , isn't . as another reviewer say , really damaging reputation put guest shabby room . stay hotel quite lot , first last time stay Radisson Edwardian first last time use last Minute not interested either . 
 May 2 2005 	 prepare well bad room ! 	 book hotel £ 99 bargain secret hotel , know ! first room give we builder worker outside window ! feel like theatrical play interactive audience ! course ask another room give we new one . room general might luxurious 60 's old smelly rooms.i guess will wait see afte work . 's building . staff although great , ready help , apologetic ( probably expect lot complaint ) especially concierge guy fantastic ! another plus great location , middle everything ! 
 Apr 28 2005 	 Dump 	 sell fantastic deal lastminute . want special husband . dump building work go everywhere room may luxurious 1930 's 2000 's . dissapointment . if Americans come vacation feel ashamed country offer compare . pay £ 100 per night hotel . USA pay $ 19 £ 13 far well hotel ! ! ! ! ! ! ! ! return west coast USA would rather stay country day . 
 Apr 18 2005 	 great room price ..... 	 stay last minute deal £ 99 2 week ago . staff friendly , room great , reception finish disturb refurbishment work ( weekend though ) . ignore breakfast £ 21 eat round corner Piccadilly . end ' mystery hotel ' last minute deal , , come onto site read dreadful review , not worry ! 
 Mar 29 2005 	 be get well 	 return 2 day stay , book last Minute . not come across trip advisor morning journey , expect bad ( tale lobby , plastic sheeting etc . ) pleasantly suprise arrive . lobby complete , bar fantastic ( toilet superb ) Amber Grill restaurant also excellent , warm friendly waiter . first room show warm window not open ... ask change get much nice room , huge bed , good size bathroom great shower . mini bar , water fridge . ok 's bit run , ice bucket ice room , get cheap interent deal , go ... dread think price like be finnishe ! ! ! pus 's great base Bond St , Knightsbridge etc . 
 Feb 28 2005 	 utter disgrace 	 stay hotel recently bad hotel experience least 10 year . bad part hotel refurbish charge premium rate anyway . not think Radisson realize damage brand name allow hotel operate renovation . to begin , lobby ... forget , not even single chair sit reception area . secondly , room stay need & quot ; renovation & quot ; , need tear rebuilt scratch . furniture horrible shape , tear , safe break , tile bathroom break . need broadband access room ? dream ! ok dialup ? do phone jack desk 20 foot apart , force work floor carpet not meet shampoo decade . want get mind hole use minibar ? good luck , empty , except single bottle water . service course terrible staff expect angry , know know ' ve . write , see top page link hotel & quot ; great room $ 297 & quot ; say . great room ? er ... exactly ! feel insult , insult lot less $ 297 . 
 Feb 25 2005 	 FIVE STAR HOTEL YET . renovation complete perhaps . 	 request away construction noise , unfortunately put we front , busy street pm . Refrig . work , room wear , heat bathroom , cool room , despite turn heat way up . service / food selection makeshift bar poor . go renovation complete . -- new decor modern , starck / cold , particularly bar . new restaurant look far invite . the new spa ( complete ) look fabulous . 
 Feb 20 2005 	 Sleep Gutter 's Quieter 	 stay hotel last night 19 Feb 's shocking state . stear well clear unless like loud road noise , dangerous electric , empty minibar , tired shabby room , eat breakfast bar tv turn night . the staff plesant appologetic could make standard accomodation . shocking . 
 Feb 15 2005 	 steer well clear ..... barely 3 star hotel 	 stay hotel Dec 2004 , quite honestly shocked state suppose 5 start hotel . pay £ 160 night stay expect damn sight well get . room old tatty ... bathroom horrendous basin would even allow water drain ..... carpet wear window old peeling could hardly open ... generally dirty . to top staff rude , place looked sound like building site eventhough complain offer refund complimentary night stay ! least that s something honesty I m sure would even consider stay free ! ! steer well clear one warn . 
 Jan 25 2005 	 wonderful 	 one star short hotel refurbish . desperately concern discovered review have pay upfront treat mum 60th night hotel . the original hotel reception area be not sadly refurbe . bar area chic comfortable . the hotel floor wall typically 1920 's . full original charachter . room great . review moan old furniture . Antique think word . edwardian style . bathroom original salmon marble floor wall . if love historical glory period building love place . idea stylish hotel conran design travel lodge will not like hotel . the staff genuinely warm helpful ( fake grovely like USA ) do not hotel breakfast due review ( honest bother hotplate full english ) heart mayfair far find somewhere breakfast . 
 Jan 23 2005 	 RADISSON EDWARDIAN MAYFAIR - HOTEL HELL 	 birthday arrive hotel 3 night weekend break . hope would relax . book online lastminute notify work make reservation . check information say cancel , would lose first night cost equate 125 . carefully read review decide seeing date back first part last year get well since . also , snob do not stay posh hotel often therefore think somebody else opinion awful would probably idea luxury . unfortunately could not truth . diabolical . bad hotel stay . start minute arrive . reception desk still makeshift service slow unorganised . quite surprised opinion 5 * hotel . tell upgrade King Deluxe room tell get via lift . lift do not work properly door do not work . another surprise . on entry room , dreadfully disappoint , nothing like room picture website . suppose view city turn look grey , dull wall back hotel . room tired . Tv remote do not work , channel not even tune . bathroom also date stank sewage . order room service cold disgusting . room paper thin point could dialling reception next door ( complain nonetheless ) could also hear mobile phone . nothing compare happen next morning . 8.30am wake loud drilling sound like someone sledgehammer knock wall next door . honestly loud ! ! try put decide get early head shop . drilling get loud could not even hear talk televison . rang reception tell someone would call we back . half hour later rang tell could move later day upgrade room . continue get ready , partner go complain room noise direct say want refund first night awful . appoint ' House Manager ' later find ' Spa Manager ' . name Stacey promise we refund first night check . return hotel day shopping sightseeing , give new room key tell someone would bring luggage along shortly . ( despite fact luggage promised move already we next room ) second room well still date still nothing like picture website . bathroom 70 's room freeze . start get ready go evening , realise plug socket room old fashioned straightener could use . electrical appliance bring along . ( phone charger etc ) ring reception someone promise would bring we adaptor . never come . go end without hair . check , refund promise never come light . fact ' House Manager ' shift day ' Reception Manager ' could authorise refund . question ' Stacey ' tell , could authorise thing nothing could . noone charge speak . happy argued want refund promise awful stay 'd . rude complaint skill appalling . threaten call security police prepare leave without refund . wait someone contact we discuss refund ! ! ! ! offer chance stay free charge , yet alone 325 , would turn take business elsewhere . relax break desire turn hassle hassle complaint complaint . work 50 hour week last thing need . strongly recommend everybody never stay . even try get ' watchdog ' involve bad . truly hotel hell wish hotel could shut . stay well 3 * hotel . way ever 5 * . fact wish someone could go assess hotel 's real star rating . stay . avoid costs- even free ! ! ! 
 Jan 14 2005 	 pleasantly surprised 	 return one night stay hotel . London business get deal lastminute.com £ 115 . one ' Top Secret ' deal must honest soon get name hotel always check Trip Advisor . I perturb appalling review pre - pay booking would cancel strength review alone ( next time secret booking read small print - lastminute mention refurb neglect read far ! ) . also look Radisson website mention too . I ring hotel hand day say concerned refurb also mention awful review Trip Advisor request quiet room . helpful say could room top floor . arrive bit nervous expect not . wonderful friendly doorman nice staff . yes refurbish hide away behind white paint board . check ask big room say standard one ( know already ) want would upgrade king - size suite . arrive room simply enormous - comfy bed , Louis 15th style armchair , robe etc - yes date term decor spotless . huge bathroom , everything work . door lead another enormous sitting room three sofas another bathroom . fact would say set room big first flat ! ! shame one night . I meet client evening go dinner locally - recommend brilliant lebanese restaurant around corner come back drink new May Fair bar . trendy place sofas , discreet lighting , lovely bar pricey . think hotel quite amazing place complete - stay another refurbish Radisson Marble Arch stylish . wonderful location , right near Green Park tube attraction Mayfair . maybe lucky find call ahead might done trick . one night . not breakfast leave around 11.00 still not hear building work . term value money , location , experience stay huge suite , give average grading . 
 Jan 1 2005 	 horrible expensive do not get Breakfast £ 128 ! 	 hotel horrible certainly 5 * ! wife arrive hotel , one greet door inside lobby point right direction makeshift reception desk whilst refurb take place . the check staff unfriendly unhelpful , one even get help supervisor not understand English well ? ! room date paper peel wall , dirty stained carpet batter furniture door miss cupboard . fortunately stay 1 night , unfortunately £ 128 per night include breakfast find next morning , wait 10 min seat extortionate £ 31.00 nice almost cold english breakfast , without Tea Coffee , staff , request simple task 3 time , could bother bring we ! avoid Continental breakfast end stay , couple sit next we charge £ 19.50 bread roll croissant . 
 Dec 7 2004 	 Mediocre hotel top notch price 	 ' m pretty familiar high hotel standard Mayfair , disappointed say hotel meet . stay early December please one night ! read early review agree . yes , refurbishment , yes , not make aware booking . consequence nowhere sit lobby freeze cold . colleague particularly suffer traffic noise room . the room quite nice - small , be often standard hotel part London . seem generally clean tidy - fruit platter nice touch . this hotel ( promise look rather nice refurb ) badly let innattentive surly staff . make feel unwelcome bother even try check in . if want decent hotel Mayfair would try Millennium hotel . Radisson want , Edwardian Covent Gardens much nicer . 
 Nov 22 2004 	 automatically accept upgrade 	 originally stay another Radisson hotel ( 4 * ) overbooke ask would like upgrade Mayfair 5 * . weeke away organise belove whose birthday want everything perfect . tell refurbishment work . arrival lobby non existant ( desk surround plasterboard ) . room ok junior suite would give 5 star . bed huge . view window look onto building site ( obviously future leisure centre ! ) drill start early hour morning . fan heat towel rail bathroom work . breakfast new Mayfair bar justify trendy surrounding . would expect much well service staff 5 * . positive note staff wonderful ( particularly doorman ) . location excellent , near everything . look refurbishment plan future hotel brilliant ( afford ! ) seem long way future . present time want fantastic hotel wonderful personal service go Ruebens . 
 Nov 8 2004 	 Excellent ! ! ! 	 husband stay hotel 6th November 2004 . deluxe king size double room complain . bed huge comfortable . bedroom bathroom clean . bathroom need refurbishment fantastic hotel stay complete . worried read review hotel completely unfounde far concerned . honeymoon weekend , hotel kindly send we gift wine chocolate - gesture think lovely . 
 Oct 15 2004 	 total rip . filthy room ! 	 stay hotel one night , & quot ; special & quot ; $ 300 US rate , end week long trip London Paris . staff quite unhelpful give fact elevator service , offer help we get bag room . room , get , musty mildewy bathroom plain dirty . bed less broken , headboard disconnected rattle everytime either husband roll . make matter bad , husband complain via email Radisson , response ignore filth chalk problem hotel 's prior owner . stay away hotel ... service response ' ve get , would suggest stay away brand altogether . 
 oct 9 2004 	 need TLC 	 originally book reservation , property stilll manage Inter - Continental Hotels ( reservation 2 night July 2004 ) . husband stay hotel time think okay . dismay , call Inter - continental hotel reconfirm reservation , re agent mention hotel long manage Inter - continental think Hyatt take . well , pull front hotel , jaw drop open see Raddison sign front . look husband kid said & quot ; interesting & quot ; . hotel go hill . book two room hotel room look really tired need update . contruction work do lobby think annoying fitness center close . good thing stay 's Mayfair district get extremely good rate two room . nevertheless , will not stay . 
 Oct 4 2004 	 not book help - beware web photo ! 	 oh dear major disappointment . book Radisson web site . first problem - highly misleading . site give impression costly makeover almost complete hotel smart modern bedroom . photo contemporary style & quot ; standard room & quot ; encourage one think & quot ; superior room & quot ; similar smarter still . naive - make assumption . we arrive find reception area drape polythene sheet noise heavy drill make conversation difficult . check , informed have upgrade suite . Mmmm , nice one , think . heighten sense aniticpation , open door room find run shabby 1970 style , albeit huge . furniture wear wallpaper , curtain disastrous orange green combination . disappointment . phone manager , extremely helpful , say , ask could revert back original booking superior room contemporary style , promote photo Radisson web - site . not mislead picture rather stylish & quot ; standard room & quot ; - apparently 3 ( three ) room do style date ( 2nd oct 2004 ) . feel deliberate misprepresentation company . make judgement . nothing positive thing say reception staff management clearly embarrassed must difficult job present . luckily we arrange move another brilliant Radisson hotel Covent Garden . good thing could do . 
 Sep 29 2004 	 need TLC ! 	 like other say , pass five star hotel : room much need update bar awful ! new mayfair bar open look contemporary / fit 5 * . stay restoration get cheap deal . 
