suit 	 review state , room small date clean , staff friendly , drink service casino good , excellent location . dollar would probably stay GN next time . 
 Good Value Downtown Las Vegas 	 return 6 - night stay Four Queens . room little date , clean comfortable . 's iron board iron room , really appreciate coffee maker room . also safe big enough fit laptop , good . some people talk say water pressure shower way high , make uncomfortable , not problem . bathroom small , though . the hotel great location , Fremont Street Experience right outside door , able go see whichever show want see throughout week without make special trip . also , deuce bus Strip outlet store nearby , be really convenient . stay Strip , take bus get anyway , stay downtown seem well . get see whatever want Strip , see Fremont Street would otherwise . plus , four Queens Casino one place find 9/6 jack well video poker . manage get royal flush , trip pay ! 
 4 Queens= Silver Strike 	 arrive hotel register easily quickly , front staff friendly effeien , long line . garage space self park park unload luggage . would suggest parking top floor next elevator , crowd . ( think charge $ 3 parking per day room ) get nice room high floor # 1821 , upload picture , see . room clean , quiet killer view . clean people nice polite . Sign member card give free slot machine credit discount restaurant . would recommend restaurant , food taste old , freezer make waitress aloof cashier ok . room service answer , eventually call back room : c husband love silver strike slot , red silver . , overall great price , live little book fun budget hotel : cheer 
 downtown exprerient 	 return vacation Las Vegas .. stay Four Queens , little scared reading review traveler .. state room small staff rude .. etc .. actually great time .. room clean bed comfortable .. stay 3 night pay $ 27.00 night & amp ; 2 night free . plus $ 50.00 com . slot machine . not pay parking like another traveler say . staff nice friendly .. room clean daily would definitley stay .. 
 Dec 6 2006 	 close street Hotel Rooms 	 four Queens room 1501 North Tower close elevator tower next Fremont Street Experience ( FSE ) . could close hotel room door , take elevator street within 3 minute 20 step . beat block+ walk Golden Nugget , Fitzgeralds , Fremont get street room . could really hear fse room , would room side lower . window view Nugget Queens tower parking garage . room small 15 ' x25 ' total . window 4 ' x15 ' . bathroom 6 ' x 9 ' large closet 2.5 ' x 5.5 ' . main room 15 ' x15 ' . furniture classy mahogany looking include 2 ' x4 ' table , two table chair , tv stand 2 drawer , 2 night stand 2 drawer , one king bed . closet door mirror . room central air , alarm clock , hair dryer , standard hotel 3 cup drip coffee maker , $ 0.75 phone call , good wireless internet $ 11.99 per day room food service . like LV hotel room light low wattage read . Magnolias Café excellent food special . pizza place coffee , donut , ice cream parlor hide corner Burger King sushi bar use . Maid service polite , detailed , excellent . small 24 " remote Philips tv room movie . zip code online Yahoo TV schedule 89101 Cox Communications ( digital ) cable provider . room tv station are:2.kvbc local3.nbc KVBC local5 . Fox KVVU local6 . CNN 20 atlanta7 . Keno8 . CBS KLAS local9 . TBSP Atlanta10 . PBS KLUX11 . cnn- 22 Headline News12 . ESPN 3013 . ABC KTNV local15 . KINC 15 Spanish16 . Hotel Dining17 . Hotel Gaming23 . Movie PreviewsThe North Tower red key card South Tower purple . ice machine th North Tower floor 2 , 9 , 10 , 12 , 16 , 18 , 19 soda machine ( $ 1.50 coin ) floor 5 , 8 , 11 , 15 , 17.i stay North Tower since close street casino . room close front door casino Fremont , Binions Horseshoe , Golden Nugget room hotel . side central air could get room temperature 70F easily small room bathroom size . room check ( sunday get key go room ) could 2 pm room guarantee clean 4 pm use bell hop wait around dirty room forget early arrival flight Sundays . Monday see people check start 8:30 . new airport boarding pass print machine near reservation desk $ 1 per minute plus $ 0.50 per page . 
 Nov 29 2006 	 Excellent Value Money 	 book 7 night stay via UK Website , bit wary reading review abouth hotel . I pleasently surprise check room , recently refurbish extremely pleasant , housekeep exceptional , join player club obtain excellent discount restaurant .... upto 65 % wow ! 
 Nov 13 2006 	 Excellent Value 	 return Nov 11th 7 night stay Four Queens . room North Tower # 516 face Freemont St. canopy . room recently renovate nice , comfortable bed clean . Maid service timely day . room small especially bathroom enter room area fine . concern noise street night busy day Vegas never trouble sleep . eat breakfast day magnolia couple dinner well player card breakfast reasonable meal good . rent car trip parking easy free . another great trip would recommend hotel would stay . previously visit Golden Nugget . 
 Nov 8 2006 	 bad ! 	 first trip Vegas September 2005 second New Years 2005 2006 . times stay Four Queens . friend go Vegas least twice year , time Four Queens , lot comp always invite special promo . overall hotel really not bad . sure old definitely place could improve . long not go expect four season fine ! room clean , big enough we spread . bed nice comfy ( king size ) , everything work bathroom LOL little worried noise level New Years trip room look Fremont , right canopy right 4q 's sign ( standpoint hotel ) review read noise really bad side . happy report really not bad ! shut window really could not hear anything . one thing notice , LOT static electricity room ! attribute directly canopy . would def stay , downtown speed ! 
 Nov 6 2006 	 nothing write home 	 return 5 day trip Las Vegas stay 4 - Queens Hotel Casino Fremont Street must say would stay even daily rate $ 50 . hotel shabby showing age ( even renovation go ) . room comfortable , bathroom small one could barely move bathtub mildrew way around edge . furniture cheap cigarette burn mark carpet comforter . would recommend hotel area 65 year age . not get wrong , nothing elderly , look rockin good time , not stay Fremont streeton side ... staff incredible ! 
 Nov 3 2006 	 good buget gambler 	 wife spend 10/30 & amp ; 10/31 4 Queens , first time , pleasantly surprised . first , 4 star property , get pay ( case nothing , since get stay compe play , GREAT ! ) . want " resort " quality , stay strip afford price room . our room ok , nice king bed , enough room , bathroom bite small , get $ 49 night room , expect . old look , downtown old looking , ' kinda charm . Old Vegas feel , Meg Resort Boom . first floor south tower ( " new " tower ) , elevator ' issue we . Hugo ' nice place eat price ( $ 100 2 ) . well meal Eiffel tower Paris ( without great view ) .casino nice , huge get lose , enough open table slot ( could use poker room ) . TITO slot , tight low table mim give we lot play budget . mostly friendly dealer staff , small enough Hosts Dealers would remember name ( get well comp way ) . step outside Freemont St downtown property ( right next door Golden Nugget ) , could take easy walk another property worry anything . ' rate 2nd good Freemont Street , right behind Golden Nugget , probably crown jewel Downtown Vegas . hopefully get stay ( maybe try Nugget next time ) .to sum , great place stay short trip downtown Vegas , ' expect anything like Mega resort strip . see ya next time Vegas , baby .. : - ) 
 Nov 1 2006 	 Nice Surprise ! 	 stay last weekend Oct . overall upkeep hotel room quite well . room excede expect still upgrade flat screen tv' . what real nice 4 Queens one show tciket seller property buy ticket show LV.The complaint daytime cocktail waitress seem quite rude whole much win go slot . also , resturant fair good attitude disappointing . however , restaurant Fremont strip area good can not eat drink cheap Fremont . this first time Fremont would not hesitate , great deal easy get around . always drive & quot ; big strip & quot ; want . 
 Oct 17 2006 	 Great price 	 husband stay Four Queens October 12 - 16th . five star property , certainly exceed expectation , particularly read review site . staff attentive meet expectation . first night , smell lot cigarette smoke room ( despite non - smoking floor ) . next day ask move give another room different floor without hassle . room ( ) contain king sized ( quite comfortable ) bed . clean reasonably well - keep ( although somewhat show age ) . also enjoy gambling - actually one $ 2 blackjack table often get , not mind wait bit time . new blackjack not want spend lot money learning rope . not bother breakfast ( even $ 4 special rate become player club member ) ... $ 5.99 buffet ( weekday ) Main Station far exceed anything get Four Queens include juice coffee ( unlike $ 4 breakfast special hotel restaurant ) . , stay , without hesitation . 
 Sep 15 2006 	 Good Value Price 	 stay 4 Queens Thursday , Aug 31 Monday , Sept 4 . love . old hotel lack glitz strip hotel . inexpensive type charm . staff friendly - never hear cross word anyone . extremely busy everyone friendly . the room clean cleaning service always prompt . no complaint - book next time Vegas . 
 Sep 5 2006 	 good thing food 	 reserve non - smoking room . husband allergic cigarette smoke . upon arrival tell non smoking room leave one smoking room available recently remodel . would move we nonsmoking follow morning . first room nice decor , comfy room overall , still smell stale cigarette smoke . would happily stay room smell there . they move we nonsmoke room remind need next night bed second room honestly feel like two box spring top . ask move tell rent nonsmoke room . ask mattress could switch ( another employee tell we 4q renovate room new mattress available , ask ) first tell would problem . Got room wait new matress tell could do & quot ; engineer qualified & quot ; . complain miraculously find we another nonsmoke room bed quite bad still we wake ache pain . hole towel , sheet , pillowcase well third room . also gouge drywall room lukewarm water . staff act like could care less part concern . also , not fall time share people lobby . tell go sale pitch tour would get sixty dollar cash . think get time share eventually anyway sound pretty good we . free trip around Vegas ! voucher receive redeemable cash , hotel credit . complain supervisor seriously roll eye husband . end use voucher eat Magnolia 's , 24 hour restaurant inside smoky casino ( glass wall seperate casino part nonsmoking section ) , great meal . service restaurant wonderful . also try pizza place really like food . would poor customer service run- hotel . slogan & quot ; class Downtown & quot ; sure not see . need start renovate warp speed change slogan . either way will not back . 
 Sep 5 2006 	 would recommend 	 begin , hotel far 3 star . 2 star . second , hotel run old . need either tear renovate . rust stain shower , crack tile bathroom , hair sink , carpet stain , feature find desirable . give adjoining room noisy neighbor feel ok smoke non - smoking floor . bad 3rd night trip smoke seep underneath adjoining door make room hazy . front desk notify , simply let we know could tell people room . absurd . upon checkout , ask manager notify complaint , blow well . let kindly know would stay hotel future . point , ask non - smoking establishment , someone light smoke next non - smoking section , ask put , , non - smoking section . apparently , hotel see way . 
 Jul 22 2006 	 good 	 hotel good . bed dirty , bathroom bad . use leave tip every hotel , one , way ! 
 Jul 17 2006 	 Satisfactory Room Price Great Location 	 compare review ' ve read , want give hotel five star beat low expectation -- let us face , little frightened Hotwire reveal name hotel . not believe bad review . stay North Tower , 8th floor- exactly level & quot ; fremont experience . & quot ; not know noise people complain of- fine . light pretty sheer , completely hide heavy curtain pull . room clean , furnishing fashionable decent good repair , linen surprisingly soft , great pillow even . staff friendly kind , even housekeeper interrupt return room brunch warn not straighten room yet , would like .... place three star , probably 2.5 . day Inn come mind . thing tv good puchase videos- nothing else . unless be stay Nugget ( sell ) else might expect downtown ? be posh , 's Vegas experience bargain . , take Deuce ( $ 2 double decker bus ) Strip- take forever traffic , good view along way- 3 - 4 minute walk hotel front door , Fremont experience . not , picture outdoor shopping outlet panel way aloft provide show evening provide reasonable shade day -- speaker play variety music mount post every 50 foot , walk essentially pedestrian mall casino , will run street performer ( artist like ) vendor every touristy / mall sort . not forget guy sell cocktail street- big plastic yard - long margarita . woman write get bus scary part town clearly get lose . ( ? ) Magnolia 's people make , prime rib $ 6- edible . breakfast much well . , much well anticipate . perhaps one BEST part hotel room ? request non - smoking room get . trace scent find , stick point . pleased experience overall want set record straight , 4 Queens get reputation not deserve . 
 Jul 16 2006 	 Good Value Nice Staff 	 really enjoy stay Four Queens . husband play time time , really much , get three night free fourth $ 24 call asking could get player 's card . staff nice efficient , dealer blackjack table particularly friendly ( swung husband free meal Magnolia 's , $ 50 value , despite play low require comp ) .The room 2 - 1/2 star level , clean , view worth look , room Vegas coffee maker . 1/2 price ticket booth lobby plus centrally locate downtown . ' m look forward next stay . 
 Jul 8 2006 	 4 - Queens 	 stay first two night trip strip Aladdin . stay two night 4 - queen . upon arrival feel home . stress crowd walk accompanie strip go . arrive early check - in time . give we room anyway . put 6th floor next elevator . view roof , go Vegas look hotel window ! unlike reviewer state problem noise . two quite night . room bit small , clean comfortable . Maid service , like rest staff excellent ! doorman bellhop . receive service Aladdin either room price much high . gambling downtown casino favorable . look posh hotel , stay strip . make sure bring plenty $ $ $ . look beat stress crowd make smart choice . stay downtown 4 - queen ! ! ! see Gordie Brown next door Golden Nugget . excellent show ! good 4 see . prove 4 - Queens downtown ! ! ! 
 Jun 19 2006 	 room place sleep 	 stay another couple Memorial Day weekend , choose 4q price . end 10th floor perfect view top Fremont Street Experience . old hotel , window not seal well new hotel .... could hear early morning street cleanup well music roll casino floor window . bed clean entirely comfortable , floor filthy worn , bathroom small . shower small ... needless say , hotel room place sleep exactly get . nothing , nothing less . 
 Jun 17 2006 	 great place stay ! 	 return Las Vegas June 2 stay 3 night Four Queens . love stay Fremont St. hotel great . room nice clean include iron , coffeemakers hair dryer . staff friendly service good . fiancee spend gambling time Four Queens . look place nearby nickel video poker Four Queens place play . waitress bring we drink regularly ( give nice tip keep come back ) . another pleasant surprise comp . come home withe duffel bag , t - shirt etc . also treat free meal Magnolia 's Veranda . next time plan go back stay four Queens . 
 Jun 13 2006 	 problem Four Queens 	 stay 3 night Four Queens 4 friend . excellent time treat well . trip Advisor user state typical Holiday Inn fare accurate . clean , comfortable good value price . doormen bellhop , need able take care . want need go elsewhere . slot good , little loose strip , Nugget Plaza . 
 Jun 5 2006 	 nice change night 	 be absolutely nothing wrong four Queens . ' m Strip kind person . spend one night Four Queens get & quot ; downtown experience . & quot ; fun . excellant location right Fremont Street . the man front desk pleasant helpful . not really enjoy lug bag casino , be probably uncommon . room clean , maybe little smokey give old - time Vegas feel . shower absolute good ' ve ever ... must stay 30 minute . overall , four Queens great deal not mind stay Strip . get one night $ 35 . right middle downtown action . 
 Apr 5 2006 	 great view 	 husband return weekend Four Queens . room top wonderful view mountain ! ! awoke every morning music float Freemont Experience . old hotel , comfortable . 
 Mar 28 2006 	 pleasantly surprised 	 room small clean . four day bed towel change every day . Bathroom clean . Front desk friendly . would go back . 
 Feb 25 2006 	 pleasantly surprised ! 	 good price objective book three room 4 Queens one night stay middle three day weekend . pleased find update room , pleasant staff two room even upgrade accommodate smoking request . downtown area fun reminder past hourly street scene performance great . three couple agree would return . negative elevator bite slow side , think money not spend wait . 
 Dec 13 2005 	 will stay 	 boyfriend 's first time outside Iowa . go Vegas get marry . book Four Queens price . happy . maid excellent service great . may suggest pizza Old Chicago ? 
 Nov 16 2005 	 first trip vegas 	 wife first vacation without kid - ever ! stay 4 queen mlt deal . really affordable lot fun . stay downtown since , strip , will take downtown every time ! Queens lively , friendly , room clean . front desk helpful even make sure ride airport leave . not win money hit lot quad great time . like gamble , location . never eat Queens , everything else great . stay will January . 
 Nov 6 2005 	 Nice Hotel 	 nice hotel . check - in quick staff nice . complaint rank smell room . smell bad Febreeze several time get stench out . overall , good place stay price 's right Fremont experience amazing . 
 Oct 13 2005 	 Best West ! ! 	 stay four Queens quite year love , would not stay anywhere else ! ! 
 Oct 10 2005 	 ok 29 buck ... 	 stay room 819 Tuesday night book directly hotel website 29 buck . check less minute . casino easy navigate elevator tower easy find . security whatsoever check key elevator . room small average motel 6 . bed similar sleeping floor comfort level . tv 6 7 channel . end watch hotel ammenity channel goon wife feature funny watch . excited hotel , comical . bad part room bathroom . smallest ever . miss shower tile place toilet tank , probably guest year previous . shower drain back less minute would mid calf deep water . water temp pressure suck big time . turn temp decent level , plumb behind wall would vibrate LOUDLY . would continue get progressively bad knob back enough give nice refreshing ARCTIC blast . would cycle like throughout shower . would stay , regardless 29 dollar Tuesday . side note , Chicago Brewing Company locate inside casino excellent pizza beer . 
 Oct 4 2005 	 Four Queens - great place experience Fremont Street 	 stay four Queens two night . stay Strip previously want try downtown time . not disappointed . get great rate room . since previous review not good , quite surpirse nice room . fourth floor not much view see Vegas , look window . check - in fast , parking free since guest . room could use new carpeting , everything fine . drive casino without drive strip problem . nice able gamble , go see light show go back gambling . would recomment four Queens anyone budget want nice , clean place stay . will go back . 
 Sep 28 2005 	 Great Value 	 initially leary book Four Queens base mixed review , pleased . location excellent staff friendly accomodating . 11th floor North Tower ( top Fremont experience ) hear noise .. even live band play corner & quot ; Experience & quot ; play every hour . room little wear , ie . , stain chair ... overall adequate . say , drawback pool like break gambling . play table $ 5- $ 15 bet get us meal compe . 
 Sep 19 2005 	 Good Value 	 spend night Memorial Day Wknd . great view freemont street light show window . room small clean ironing board . bathroom clean though somewhat cramp . price right stay , would not stay 's pool need space , however want clean place lie head night , may good place you . the staff friendly , casino nice though smokey restaurant downstairs really great , hugos cellar . 
 Sep 5 2005 	 good value friendly staff 	 two choice stay downtown frequent trip Las Vegas . travel business , drop buck casino time choose 4 Queens Fitzgeralds 80 % visit . hotel pro con . 4 Queens , far , well front desk staff ... friendly accomodating ( can not say staff Fitz ) . room clean , although bit outdate , comfortable basic ammenitie . shower generally poor water pressure bathroom overall small . low floor North Tower less peaceful night Freemont St Experience shows not plan early night 's sleep ... noise drop around midnight ... hey , Vegas ... 's room midnight ( , unfortunately ... 's business take care next ) . gift shop near front desk open late 24 hrs weekend . there Subway / Noble Romans Pizza / TCBY location lobby , 24 hour cafe quality food reasonable price , Chicago Brewing Company variety beer pizza , Hugo 's Cellar mainstay downtown know 's fine dining experience . casino small offer great variety wide range monetary denomination . dealer friendly helpful . player club probably good cash - back program downtown comp must go host pit boss . overall , good value money . wish stay coziness downtown ... 4 Queens not bad bet . 
 Aug 29 2005 	 good stay low price ! 	 not expect much pay 20 Euro night 4 Queens . therefore , happy get . staff reception friendly helpful we ! room not appear invite , small small bathroom , kind old wear - clean ! hotel guest parking garage cost $ 3 , - show ticket reception . spend one day night Downtown find enough see ( Fremont St . experience , Casinos , restaurant , street musician ) .For short stay would come back 4 Queens , gread deal money . 
 Aug 17 2005 	 Excellent price 	 go weekday noise Freemont street not bad . imagine weekend would noisey late . room 5th floor North tower window overlook Freemont street , Canopy cover street , really cool night light Old Las Vegas . want silence ask room South tower . room small still big enough climbing partner . carpet clean look fairly new paint bathroom look though may remodel recently . bed comfortable . chair , desk table look little old . as location drawback strip . however , 's relief walk mile elevator casino , another mile get next casino . exit elevator 5 foot casino . 20 foot Fremont street . casino be pack next . hit next casino two minute time . would definetly stay . 
 Aug 14 2005 	 Fun Time ! ! ! 	 usually stay strip , Rio , decide stay Four Queens convenience watch lead ZEPAGAIN concert August 9th . room small , recently remodel . fact , work surround room . staff friendly , great luck VP machine , overall good time . would hesitate stay entertainment interested . like party , hit numerous bar / casino 's walk short distance room , place . 
 Jul 28 2005 	 pretty good stay money 	 Four Queens pretty nice place stay budget minded , not care little thing . Personaly house keeper know ins out hotel busness . room small not mind , first thing walk room smell smoke . would ok smoke not . floor bathroom spotless ! tub seem wash everyday , nice . sheet bed change everyday ( standere hotel work , stickler ) . money expect go hotel / casino kinda expect desk chair blanket , etc well shape . check quick frontdesk attentent nice . come really early room right away we . thing not like ask hair dryer not get . 's nice place stay want somthe quiet ! sleep rather well ! room decent view adjacent casino ( could see desert hang part body window ) want play strip cheep person would not advise stay downtown . taxi fare range $ 1o- $ 25 . can not stress enough make sure driver understand place tell take ! ' ve happen bill come $ 25 ! close not expect somthe lavish ! not internet service , nore complete cable , not expect fancy room , there s breakfast . but boyfriend hand think 's perfect . 
 Jul 28 2005 	 4 Queens Great Price ! 	 need place stay one night reservation Lake Las Vegas get town early . 3 year since downtown thought would give try price great . $ 26 room look freemont street . canopy able see light show room go roam around . room basic furnishing old , clean . bathroom , tiny everything . downfall room fact noisy due canopy . staff friendly helpful . eat restaraunt can not comment . ever need place night two not want spend fortune room never anyway , book 4 Queens . 
 Jul 19 2005 	 ask 	 seven us lady , visit four queen , downtown las vegas , april , 2005.we reserve three room , ask floor , smoke . good three different floor , smoke room , towel , real happy room . hall way elevator clean HOT , well able get ice vend machine floor . would stay four queen . 
 Jul 19 2005 	 4 queen awesome price 	 stay 4 queen outstanding . check fast room decent size verry clean . downside hotel pool . 11 - 15 $ taxi ride strip . great location downtown verry reasonably price . food resturant excelent . prime rib special awesome . awesome place stay would deffinatly stay wanted stay downtown . next time I m go las vegas sept r going stay strip take chance westward ho read som mix review . 
 Jul 19 2005 	 must kid 	 can not believe anyone would stay place . rude indifferent front desk staff claim reservation . produce print confirmation meet hostility & quot ; oh alright & quot ; attitude give room even make . dirty bathroom nice view roof garage . embarrassed kind bellman pull string someone know housekeeping get someone say front desk would ignore . like cigarette smoke place you . the valet non - existent , especially come pick car . plan 45 minute . bedroom furniture look like scour local Salvation Army wear fade bedsheet . $ 79.99 ! advice ? try Fremont California . cheap , Nicer clean . 
 Jul 7 2005 	 Great experience 	 stay 4 Queens late March year day sister father . pay budget price pleasantly suprise . travel agent , still recommend budget property , think cheap downtown property , worth money pay . front desk staff helpful , store luggage day arrival check - in time , allow we late checkout day leave . the bed comfortable , bathroom clean . restaurant open 24hrs standard , chicken finger , hamburger good . overall great time Vegas nice clean , comfortable place lie head . 
 Jun 15 2005 	 ok get Pay 	 wife stay Memorial Day weekend . ok , would stay . check go room , lovely view roof - top air conditioning unit build next door . wallpaper peel wall , obviously poorly patch past . bedspread cigarette burn . cold water bathroom sink would shut . end turn much broke - call maintenance . enough plug near back bed , make choice : 1 light side bed , 1 light total clock . end move clock plug coffee maker across room , mean reset everytime wall switch shut near door . call see could get extension cord multiple outlet , tell , & quot ; Yep - 's way room be . & quot ; parking $ 3 / day hotel guest . on plus side , room far cheap available anywhere could find ( except skanky no - name motel ) . also , well situated take advantage everything downtown offer . , would try Fitzgerald spend bit stay Golden Nugget . so , get pay . look place crash sleeping , might trick . look , will need spend go elsewhere . 
 Jun 12 2005 	 four queen downtown 	 stay four queen two week may 2005.great hotel price , get $ 44 per night.not one negetive say staff , friendly.all great holiday get royal flush twice vidio poker macarthur say back.thank @ four queen 
 May 25 2005 	 want average place stay ? 	 hesistant book reservation downtown Las Vegas , cheap rate could find weekend rendezvous . drive downtown LV get hub Fremont experience pretty scary ugly . however , get past ugliness enter area major downtown LV hotel ( Fremont experience ) get lot well . front desk nice standard room average . good part hotel Fremonet Experience outside casino door . overall , average place stay find lot right outside casino door . 
 may 14 2005 	 expect .... 	 think Vegas revenue hotel make , think matter stay , get decent room good service VEGAS command - would think . four Queens bit disappointment . first time stay downtown 4 time strip . do get wrong , stay downtown great time never even make strip time around expect hotel . & quot ; ALADDIN & quot ; .The location downtown though could beat . right heart . nothing downtown take long walk . walk past Fremont strip night however . DANGER ! check late Monday night . we walk room - well .... chair stain . room small expect even though plan much . the problem age cleanliness . washroom tap loose bathroom fan never go light loud annoying . the hotel really need overhaul . you count dirty room bed bug part & quot ; old charm & quot ; .Yes say bed bug . we room 9th floor due move say something 7th floor . this much well still - compensate way . the cafe breakfast good - go slow service . there table ok slot well time many casino . if big CLEAN hotel may . give 3 star least get change room place affordable great location . JanLondon , ONTCANADA 
 May 13 2005 	 okay stay 	 stay four Queens one night little disappointed room . sister husband one room really clean , alot stain furniture , little well . linen bathroom clean . noisy room overlook Freemont Street . Good Casino , friendly staff . sure ask back room need sleep ! 
 May 1 2005 	 pleasantly surprised 	 husband stay four Queens Tuesday , April 19 . decide would change flight could find decent place stay pretty cheap . read review trip advisor decide would give Four Queens shoot . call make reservation get rate cheap internet . $ 49 without tax . request king , non smoking suppose nice tower , ( can not remember one ) . say could not guarantee , would make request . tell main thing non - smoking room . also advise flight would arrive 10:00 pm , make note well case flight delay , would give room away . check easy , get room request ( 1 king bed floor tell ) . take bag room . spotless . pleased . could tell light show go , could see top canopy , hung room , head back grab drink watch midnight show . great walk door Freemont Street , middle week crowd . show , grab bite eat McDonalds next door still open . go crash , probably 3 am time . slept great , next morning decide see room TI ready , would time get , wash face , brush tooth wait get take shower . not use shower not know drainage problem . overall , would definitely recommend Four Queens would stay although , would spend one night , great experience . may actually start , take late flight stay downtown first night , fun ! 
 Apr 29 2005 	 Great Location Downtown 	 ok Hotel , I m thankful get room 60.00 night . would upset pay price I ve see charge web . the hotel ok shape room alot desire ... bed sink worn . bedspread cigarette hole , Showers need caulk well scrubbing , toilet hard time flush . could hear noise every morning end get 7:30 - 8 every day . tough stay night . really like atmosphere casino downstairs . be not hotel fault type people casino left go next door Golden Nugget well atmosphere seem less seedy nice bar great buffet 7.99 . friend stay Golden Nugget see they re room much high quality . go stay Four Queens bring ear plug sleep you ll fine . pay 100 buck may disappointed . good Luck ! 
 Apr 11 2005 	 great price great location ! 	 4 we stay friday & amp ; saturday past weekend . blast . four queen locate right middle action . room average basic sleep do not matter . cost cab four queen circus circus $ 11.00 4 we ( deal ) . would take & quot ; call bus & quot ; , would take hour ( due people wait ) . overall great time great location . definitely stay four queen . 
 Apr 10 2005 	 great place stay 	 go Vegas vacation . four Queens great . food good reasonable . room clean staff friendly helpful . we stay soon . 
 Apr 10 2005 	 Good Location - A Great Deal 	 guest Four Queens exactly 7 year ago today . last minute change plan - most hotel want sell WAY expensive ... think give try . long day travel ( delay , bad turbulance , etc ) late check later , arrive room find dirty . exauste ... stress ... emotional ... dear hubby call front desk . send someone , upgrade we Fremont Street - face suite . Decor outdate , sure . make day . casino nice enough - at time blackjack find dealer LOVED . funny , fast , knowledgeable ... keep we interested , laugh , importantly casino ... table ! wish could remember name , remember hubby keep borrow money ... every time would win hand , dealer would stop , tell give & quot ; loan & quot ; back , say & quot ; money ... Honey . & quot ; four Queens good good point . decent value go experience sightseeing ... spend money room alone . ' ve stay time , ' ve stay place . would recommend would go back . 
 Mar 30 2005 	 well expect 	 Weekend March 18 , lot go Vegas even couple month early stuff quality Treasure Island Stratosphere 250 , sometimes . hotwire 4 star ( always & quot ; star & quot ; ) 85.00 . figure nice GOlden Nugget bit . early check fine , nice young man get key . north tower right casino , convenient gambling . face away fremont 8th floor not noisy . clean room basic , good housekeeping . casino okay , prime rib special restaurant lame . still , far well experience say San Remo . pool , might use way . 
 Mar 30 2005 	 four Queens Great Experience ! 	 really great price- around $ 30 per night . upon request , stay top floor get great view desert . food casino good , eat Chicago style pizza -- ok . microbrewery ok well , neither spouse fan beer . money , go Fremont Casino 's buffet across street -- good buffet find Vegas ! room clean staff relatively friendly ( keep mind staff Las Vegas somewhat jade matter stay ! ) yes room little noisy -- be go sleep midnight ! complaint room service clean really slow . plate sit outside hotel room 4 night ! can not expect everything perfect price ! also , pool , transportation airport . , expect price ? ? 
 Mar 24 2005 	 Great Value money 	 3/16/05clean spacious ..... probably good value Las Vegas . Vegas 11 time stay different place good money get ! pool ..... room spotless bed comfortable . towel sevice great ... maid service well average . dress casual . 
 Mar 13 2005 	 Joke 	 idiot put room 7th floor face freemont experiance . music Freemont St keep night . 
 Feb 24 2005 	 Four Queens be not four Stars ... 	 title review may suggest Four Queens inadequate truthfully , enjoy experience Vegas ... especially Dowtown / Fremont area . never Las Vegas ( go girlfriend August , never either ) undoubtedly encourage stay Strip . good reason . Strip amazing hear probably ... still , arrive idea stay downtown good bad thing . instead simple narrative , break Four Queens , trip Vegas general like , LOCATION : arrrive four Queens Friday night immediately wonder bright , vibrant lighting . four Queens locate heart Fremont Experience , adjacent Golden Nugget Binion 's Horseshoe . Fremont experience collection gaming , restaurant , shopping entertainment Downtown Vegas , approx . two mile Strip . hear complaint get strip honestly , inexpensive bus ride ten minute time stop rediculous traffic . problem really . People say stay Strip thing not mind back forth travel . fact many people talk Strip never make Downtown , feel get good world . accomodation : four Queens definitely & quot ; old - school & quot ; Vegas . stay standard room high level floor . room seemingly stick 70 's decor clean tiny . ceiling shower tinge rust , not care girlfriend pleased . view relatively bland , however , mountain distance beautiful . spend little actual time room , can not tell room service like . tell restaurant casino good . matter casino cool . ( lot people talk table slot stay hotel ) overall , nothing bad say room , staff casino . fact , break price package , nightly rate hotel approx . $ 16 ! ! really go wrong ? furthermore , would expect ? else : four Queens nothing spectacular bad . visit hotels Strip blow away lavish design over - the - top construction . beautiful giant Bellaggio , Mandalay Bay Ceasar 's Palace plush , place like four Queens appear drab pathetic . still , location downtown away madness Strip , Four Queens reasonable , low - maintenance option chill , low - maitenance type . 
