lovely 	 last two trip , enjoy Ping Pang Pong ( dim sum restaurant Gold Coast ) enough want give try place stay . price room ( particularly club card , give small discount ) quite good , choose go & quot ; premium king & quot ; room less $ 100 three night . room clean , modern , nice pan - asian styling . really like porcelain tile use throughout shower sink area . view well , reasonable price . hotel staff friendly helpful , park convenient close lobby . the breakfast buffet great deal nice variety , casino floor staff outgo helpful well . casino & quot ; old - school & quot ; -- quiet , simple layout ( never get lose ! ) fancy theme mostly - naked pole dancer blackjack table . ventilation quite good , not smoke really bother much smoker casino . find refresh over - the - top , particularly day evening wandering hotel strip sensory overload really wear . even enjoy round bingo bowling , casino nicely attire . 
 Oct 11 2005 	 Displeased Gold Coast Hotel 	 stay Gold Coast Hotel 2 night - switch Rio - room terrible - renovate claim ... bathroom ceiling 6 foot high ... room move inside - sink tub chip ancient . decor South Western list advertising ... dark nothing match ... inexpensive furniture small old tv set . not change sheet everyday - unless make special request . check Handicapped guest ... give bad room floor inexperienced uncare front desk clerk ... room end hall ... long walk - manager apologize offer help - claim must one last guest arrive get bad room reason per hotel policy . location hotel good ... 's far strip action ... free shuttle guest ... wait ride sister hotel direct . insist staying - note price vary day day - claim honor low rate site list ... verify . find low rate - call - email confirmation send proof . checked not want honor low price quote - stood ground eventually adjust . numerous superior hotel strip - check website find special & quot ; hot & quot ; deal - price also change day day . avoid Time Share shark ... locate many hotel ... aggressive mislead free offer . check local magazine discount show meal . 
 Oct 5 2005 	 Gold Coast -- -comfortable bed ! ! ! ! ! ! ! ! 	 wife stay Gold Coast September 2005 trip Las Vegas . take free shuttle Barbary Coast strip ( free shuttle run midnight every day ) , get check right away . front desk staff friendly informative . king - sized bed hotel room COMFORTABLE HOTEL BED ever slept . combined expansive super - cheap breakfast buffet Gold Coast , LOVED PLACE ! ! ! ! ! ! want save money hotel cost Vegas , want sleep like baby , stay GOLD COAST ! ! ! ! ! ! ! ! ! ! 
 Oct 1 2005 	 Average 	 stay two night . bathroom separate sink area shower like big mirror room good lighting makeup application . food buffet good wine offer coupon book good . price right breakfast ( $ 6.45 ) nice choice . good wait staff . get coupon use . gift shop much . liquor area cheap around area . coke available Pepsi product ; -- -- -- Rum / coke drink . coke need move casino . hotel Pepsi prevail -- -- - ! good shuttle service to / from strip . easy get cab move Flamingo 2 free night . easy get around casino room . much play slot . notice considerably tight year place visit . probably will not back hotel impressive okay want try . 
 Sep 20 2005 	 nice place stay 	 husband stay Gold Coast Hotel Casino back May 2005 Memorial day week . find fantastic hotel rate Travelocity $ 17.00 per night . love stay Orleans , sister hotel , decide give try . hotel little old need upgrade , nice stay . receive non - smoking room comfortable king size bed . bathroom little tight , job . coupon book give useful coupon , especially free icecream Kate 's Korner . casino area nice . gamble good blackjack dealer friendly . bowling bingo also keep occupy . also , free shuttle take sister hotel , Barbary Coast , Orleans beleive Sun Coast . check hassle free . receive coupon upon check invite back free 2 - night stay week September 5th 8th . offer coupon , would suggest book room get plane go home . forgot call week later night book . offer 1 night stay end Las Vegas vacation September . redeye flight room rest freshen get little gamible head airport late Thursday night work well . would stay future , nice time friendly hotel good area . 's strip , well worth money . 
 Aug 29 2005 	 Customer Service Horrible Food Small bathroom 	 2nd stay Gold Coast . first stay suite fabulous , service , everthing - buffet food mediocre first time everything else good year ago . trip horrible , could not wait leave . check give key someone else 's room . apology , nothing . ask speak manager several time stay , never available go . casino , smoky , buffet food horrible , especially breakfast believe , employee could care less satisfied . another stay book November , definitely cancel stay somewhere else . worth aggravation else come . bathroom tiny , sheet not change daily , skimpy toiletry . avoid salvage vacation . 
 Aug 24 2005 	 okay want stay put gamble 	 room nice clean , bathroom small . little besides gamble casino smokey . however , ther free shuttle strip . 
 Jun 22 2005 	 complaint Gold Coast 	 stay Gold Coast 2 week may 25th , complaint , like many previous review say , bathroom small nothing complain . bed comfy huge , room nicely decorate spacious , eighth floor quiet , noise could heard room either side , though could hear people land . coupon book good , lot freebie , not afraid use . shuttle bus brilliant , run every 15 min depend busy traffic way strip . use get gold coast shuttle strip rio shuttle back , walk garage rio , take 5 min . enjoy every minute time Vegas , ( 4th time ) would stay GC . bad thing holiday flight , book premier gold airtour terrible , seat economy seat bit extra leg room , complaint 's way many other suspect . unfortunately Airtours airline present fly direct Manchester , let hope another airline fly direct next year . 
 Jun 18 2005 	 's O.K . 	 stay 6/1 - 6/3 $ 20 per night rate . can not complain rate request 2 double non - smoking . 4 pm 6/1 , non - smoking room leave . smoking room get smell smokey show number cigarette burn especially bathroom . though think wall thin noise room hear hall , room quite . big problem 6/2 morning , hot water . take cold shower . individual air conditioner tad bite noisy cool well full blast . would equate room Ramada , Howard Johnson , Comfort Inn Days Inn . acceptable , will like place . be clean 2 * . 
 Jun 12 2005 	 Superb 	 stop Gold Coast twice place fantastic well pretend casino strip , bar tender actually remember staff look know . room extremely clean good maid come across vegas stay 8 place include call luxery place Bellagio etc . want Vegas stop Gold Coast want pretend Vegas stop somewher else ! 
 Jun 5 2005 	 Great Value 	 stay Gold Coast May 30 - June 3 . ask room high possible far away elevator possible . got 9 floor ( 10 ) great view palm across street ! room clean complaint . thing not like tiny bathroom . get little cloustrophobic leave door open time since small ! go Rio couple time friend stay dead ! lots action Gold Coast . nice band play night dance to . check breeze 2 people front get . everyone pleasant . remote stop work first night replace battery next day give we 2nd one also . complaint ! check 12 day leave , plane not leave 11:45pm check bag bell desk problem pick . great value great service ! would recommmend ! 
 Jun 2 2005 	 great time Gold Coast ! 	 boyfriend stay Gold Coast May 27 , 2005 . great time ! staff friendly . minute arrive , staff arrive door coffee maker room one nice . bed among comfortable far hotel room go . pay wireless service activate find set user friendly compare hotel . we fun play bingo first time . true lot senior citizen mind find everyone friendly . hotel convenient strip . casino big , offer limited variety 25 cent slot machine . Blackjack min . bet low - play $ 3 table boyfriend $ 550.00 ! ! ! stay sure ! less expensive , comfortable bed well service strip hotel ' ve stay . 
 Jun 2 2005 	 great Beds ! 	 sister get back three day Vegas . neither we stay Gold Coast , pleasantly surprised . price right , $ 50.00 per night , bed COMFORTABLE one ever sleep . casino not real smokey , table game great . not eat can not give review restaurant . definitely come back ! 
 May 31 2005 	 Blast 	 stay Gold Coast May 26th - may30th . 4 us mid - late 20 's . hotel location , location , location . Sandwiched Palms Rio , able party hot spot walk home . Rio , cut parking garage . palm across street . first night hit Ghost Bar Palms . wait line 30 minute . figure line almost take long ( Rain / Ghostbar ) . highly recommend buffet Gold Coast . be awesome ! ! 's ton variety can not beat price . also eat Terrible Mike 's one night something different . be o.k . , fry good . Monterrey o.k . , mixed review we . palm restaurant Geradino ( sp ? ) $ 4.99 steak egg midnight good . take free shuttle Barbary Coast strip everday . 's perfect drop spot . easy access Billagio fountain , Ceasar 's , etc . fountain Bellagio 10x well night versus day . Ceasar 's cool club enjoy , Pussycat Dolls Lounge Pure . beware : will stand Pussycat Dolls Lounge , not allow sit unless order bottle liquor : cheap bottle $ 350 . get early ( 9 pm ) 's cover will get free access pure open . night go Palms see celebrity , also keep eye airport celebs . pool Gold Coast great self esteem . remember , majority people G.C . much old . be hotel much , G.C . clean friendly . cheap food . Rio cool club : Bikini 's ( will get taste club walk front door ) , Voodoo Lounge ( top ) . visit Tilted Kilt nice lay back bar , fun chill . bring walk shoe day sexy outfits night . girl , would recommend something low cut maybe get & quot ; list & quot ; nightclub . guy girl : jean acceptable club , look hot . cab strip G.C . cost we little $ 7 . free shuttle stop 11 pm . 
 may 25 2005 	 Good Value 	 Gold Coast exaclty look . clean comfortable bed reasonable price . locate within walk distance strip . mostly senior citizen stay ok we . good place get away craziness strip . 
 May 16 2005 	 average 	 stay Gold coast 3 night April - move Luxor , never go measure , Luxor want $ 350 wkd per night . we check okay , although check staff not really seem know go - ask load question get information require . room okay - bathroom big enough swing cat , noisy truck outside . ask room end corridor , not make much difference room door bang , get wake whenever someone come bed floor . we order room service 1st night - omlettes , get bad stomach afterwards - much unable go . not eat anything else Gold Coast . it be cheap cheerful - casino quite good , obviously not attraction big hotel . would stay , probably . 
 may 15 2005 	 great place stay 	 wife stay gold coast april 10th 15th wonderful time . check smooth fast find service food great . really enjoy fact shuttle strip free run day long . problem find realize refridgerater room diabtic keep insulin cold ice . side great time would go back ther 
 May 10 2005 	 gold dump ! 	 agree previous review & quot ; Gold Dump & quot ; name coin . ' m sure renovated , maybe lobby , bathroom definitley . mean , know $ 50 , get pay . go Casear 's rest trip love . 
 May 10 2005 	 everything need 	 stay 4 night girlfriend May 2005 . ' m amazed 2 star hotel star rating system not always indicate be go get . hotel part hotel casino block room appear similar , either 2 double 1 king size bed . room functional rather anything special find bed comfy . air con noisy bad enough stop we sleep . we try several food outlet good indeed . certainly will not starve , judicious use funbook get give cut cost , though nothing expensive . funnily enough , think gambling subsidise food room cost . for gambling nature , casino probably cheap loose end scale - 1 cent machine low limit table . certainly wander strip , money seem disappear quickly . lot people talk say like play casino other . definitely gamble if / when come back Vegas though may try upscale hotel price right . , back Gold Coast will head . 
 Apr 30 2005 	 love gold coast 	 stay two week . great value money far strip . walk safely 15 minute although taxi cheap enough . room gold coast spacious yes bed comfy.you give coupon book money many activity hotel.buffet restaurant restaurant serve really nice food great value money . it great place stay especially week coz hotel massive little impersonal . gold coast safe security 1st class.we really please aspect gold coast stay anywhere else return.staff helpful love english make sense stay look . poker room small good fun local use hotel get know thing , go etc . rio hotel next door . ( short cut car park ) lot go . go eat tilt kilt . nice food good pint boddington . girl .... chippendale club worth every penny . lad good night tilt kilt enjoy brilliant show . must visit big hotel unless kid miss circus circus.definately taste get nice massive hot dog next door slot fun dollar bottle heineken 99c . brilliant show see luxor blue man group . alternative must see . anyway , back gold coast . make sure sign card put slot start play coz earn money spend anywhere hotel.if lucky eat drink next nothing although drink cheap enough anyway . good weather lovely lie around pool couple hour morning venture day . small plenty room everyone.pool warm inviting . ( clean ) get tired rush around everyday thankful quiet poolside.we see absolutely every hotel glad choose gold coast . believe , money get anywhere good . definately return gold coast . hello john thames ( really nice bloke dealer poker room ) alan sorry never get say goodbye back . visit hotel near future , great time love .... x ALAN x ANNE ( blackpool , England ) 
 Apr 8 2005 	 great stay ! 	 husband , sister , friend , stay Gold Coast 3 night March . arrive early day 11:00am wait 2:00pm check ( long line move quickly ) . stay $ 26 night Mastercard promo . overall good value . enjoy gaming Palms resort across street . room average size bathroom tiny shower good pressure always hot water . room clean . wall little thin hear whatever go hallway . good coffee Seattle 's good stand lobby italian restaurant great food service . hotel nothing fancy comfortable . would return heartbeat . 
 Apr 4 2005 	 good value comfy bed 	 stay 2 day Feb 2005 . checkin quick , bed super comfy , breakfast buffet yummy especialy mexican part . hubby $ 400 videopoker . play long time $ 20 . bathroom small bit dark night deterr we . will back Gold Coast 
 Mar 20 2005 	 good value 	 stay Gold Coast one night , prior move Stratosphere ( book 1st night stay ) .The Gold Coast turn great value money even though Strip , one block back ( much , much close action Stratosphere ) . even complimentary bus run sister casino ( Barbary Coast ) Strip , directly opposite Ceasars Palace . good comp ( not play much ever get give we check ) price meal etc reasonable . room large comfortable ( clean ) - everything need Vegas . would recommend . 
 Mar 19 2005 	 call ` ` gold DUMP '' 	 good part stay check ! ! check 1 hour check , make room much surprise find vacuum middle room . also , bathroom appear floater toilet . call desk say would send maid ASAP . maintenance man show plunger work toilet pretty good . buffet lunch felt resemble somewhat stuff feed pig farm back home . , $ 100 BJ table slot machine perform nicely suck back 1 hour . thank Gold Coast ! ! ! 
 Mar 16 2005 	 clean affordable 	 decent place stay good price . be remodel recently everything room new clean . free shuttle strip every 15 minute . get well room check early Friday rather Saturday . lot free parking , staff friendly helpful . 
 Mar 13 2005 	 Loved Gold Coast 	 be look less frantic pace strip place go . find staff friendly helpful , room little small clean everything working order . several restaurant choose buffet serve breakfast , lunch , dinner . tire Gold Coast , Palms Rio hotel across street , hotel offer free shuttle service Orleans Barbary Coast locate strip . plan go back . 
 Mar 12 2005 	 worry unnecessarily 	 worried book hotel , pleasantly surprize pleased . room clean spacious , bit date , care , buy place - bed comfortable sleep travel world . check really good quick , casino bright smoky , shuttle easy visit strip . would certainly stay , want value money , cleanliness , peace quiet , strip , stay . downside , staff Monterey restaurant , one girl serve Seattle Coffee shop , bit attitude problem . apart , everything great , Americans , love listen English accent , really nice . 
 Mar 8 2005 	 Wonderful Hotel 	 Gold Coast actually much well expect quality wise . room clean spacious . casino large spacious staff amazingly friendly . food option limit never eat dinner option strip near hotel . great place stay look quality hotel room fraction price . strip Palms Casino Rio right across street . would definately recommend Gold Coast personnaly go back . I give four star many hotel Las Vegas warrent score Excellent . Gold Coast old definately age . 
 Mar 3 2005 	 Great Deal Nice 	 low price expect may make mistake , sound great everyone family , especially bowl alley kid , pool , etc . pleasantly surprised upon arrival upgrade suite , suite huge really make difference we , vacation big hit . wonderful value hotel close seminar far strip - kind nice stay hustle / bustle strip , alot easy get around . highly recommend ! 
 Feb 26 2005 	 pleasantly surprised Gold Coast 	 & quot ; significant & quot ; spend three day Gold Coast past November , pleasantly surprised . room good sized , bathroom area . sink vanity area separate bathtub toilet , allow we start morning time . room sixth floor , delighted find small window shower could open . entire room clean ! check , asked & quot ; coupon book & quot ; , . include coupon free drink casino , free ice cream cone ice cream shop , free souvenir gift shop ( deck card use casino ) . casino comfortable size ( large could get lose , large enough variety slot machine ) ; objection get slot , walk bar area , terribly smoky . restaurant adequate . one morning free continental breakfast coffee shop remodel -- quite large spread continental breakfast ! use free shuttle Barbary Coast Strip , quite handy use go explore . , wonderful time would definitely stay would recommend . 
 Feb 17 2005 	 Love Gold Coast 	 Gold Coast place stay . make room reservation make plane reservation . Gold Coast friendly , service excellent security even well . room clean necessity great stay . not need huge room frill expensive casino - sleep enough get start another vacation day great fun . 
 Feb 15 2005 	 Loved Gold coast 	 first trip Las Vegas stay Gold Coast . we find clean tidy , small bathroom need renovation ! room clean ample size 4 we . we hire car always get park front hotel . we use shuttle bus strip times , ok . we enjoy peace quiet strip . the buffet brilliant son enjoy chinese breakfast every morning ! ! lol play slot table , do not know , look well organised . the staff helpful although struggle English Accent , that s anywhere Nevada California ! ! good holiday would recommend GC anyone plan trip LV . 
 Feb 8 2005 	 Gold Coast Show ! ! ! 	 stay Gold Coast not go Vegas ! ! learn check room first check airline ticket ! ! send friend G.C . yhe first time . love evrybody ! 
 Jan 30 2005 	 great value great experience . 	 first trip Vegas . think Gold Coast GREAT value pay , close strip experience without high cost strip hotel ( rental car ) .the casino really nice -- good , not - too - cluttered layout easy navigate yet still lot offer . room decent , comfortable bed ever . as other say , bathroom little small ( one room toilet , shower , room anything else , sink outside door alcove ) , complaint -- rest experience awesome . friendly staff , everything clean , good buffet , nice live entertainment ( music ) every night , decent selection tv station room ( somewhat oddity Vegas , ' ve tell ) , parking always available close door ramp -- overall great place . would absolutely stay . 
 Jan 28 2005 	 like Bingo part 65 + year old 	 place ! stop book right ! seriously , wife stay 5 night ( early 30 's ) find acceptable . food chinese place pretty good . room small clean . bathroom small could get 1 body part wet time . casino bit dingy side I m hard please . Met one & quot ; old & quot ; harlem globe trotter sport book . shuttle run strip could walk across 6 lane highway either Rio Palms . actually get early one day play bingo . trip . thought get bingo ever get number one line . scream bingo front 300 old people . amuse game little diamond something LOL . get reprimand old woman leave oxygen tank yell unless . summary : fun go . fun look place bit class place & quot ; dress & quot ; place . personally fun kicking oldie . spend time strip ! 
 Jan 18 2005 	 get pay 	 stay January 13 , 2005 . check smooth , room ok , bathroom , small toilet malfunction . bed foam mattress three tiny flat pillow & quot ; California King & quot ; bed . clean however . stay one night room book Bellagio last three night . fun book not much use except delicious ice cream ( worth $ 2.50 ) . hot dog good deal 75 cent sportsbook . staff friendly . take shuttle Orleans breakfast buffet ( good ) 6.95 . Shuttle not start til 9:30 feel bit late morning . pay $ 40.00 night guess get pay . would stay way even shuttle get full sometimes wait much long every 15 minute say run . 
 Jan 17 2005 	 great price location 	 annual group trip las vegas stay gold coast year jan 11th 2005 , great room , good casino . let ride table little disapointing . great location . short walk palm rio . clean , clean , clean . nice sport book 75 cent hot dog stand ! ! ! free shuttle barbary coast orleans casino . will not disapointe place ! ! ! ! ! ! ! ! ! ! ! ! ! 
 Jan 6 2005 	 cockroach room 	 stay Gold Coast 4 night around Christmas . Place small compare vegas , room clean nice bathroom not small heard would be . food ok , gaming also ok , problem noise night staff . nice hustle bustle strip area . unfortunately , find coackroach room third night there . after talk six people , half day waste upset could not even deal staff , give we free upgrade suite give we free dinner breakfast . nice would prefer cockroach room , get upset waste time . we not look freebie want room spray pay launder belonging refuse . even upset bring home little bugger luggage not care upset this . this sure put damper trip . would stay ? ! 
 Jan 3 2005 	 great price ! ! 	 boyfriend stay Gold Coast Dec. 21 - 25 . love strip away busy street . provide shuttle service strip , hotel not offer . gambler , not care check table slot . price food , hotel , attraction Gold Coast great . would recommend hotel people budget would rather spend money thing Vegas ! 
 Dec 24 2004 	 stay gamble eat elsewhere 	 stay second week nov'04 . check problem , give room away elevator ( quieter ) . room adequate , though bathroom tiny compare today 's new budget hotel . Maid service adequate . would prefer sink bathroom . dining area gambling floor not look invite , gambling floor smell like ash tray , seem attract low roller chain smoker . gamble eat elsewhere Vegas , look inexpensive clean / safe hotel room can not go wrong , Rio Palms next door accross street help . 
 Dec 21 2004 	 Super hotel budget ! 	 find hotel great find . close strip . trendy Palms & amp ; Rio hotel right next door . Free shuttle Coast own hotel & amp ; one right strip . room super clean & amp ; newly renovate w/ nice decor . Bathroom could ' ve little big . small pool . elevator 's slow & amp ; often crowded , look like renovation elevator 's probably problem . wonderful buffet huge selection & amp ; great price . lot fun slot machine without noisy like casino . be look hip party vibe hotel . be budget want enjoy Vegas offer great place stay great price ! next time want check Bowling Center . definitely stay ! helped make 1st trip Vegas memorable one ! 
 Dec 20 2004 	 new poker ROOM ! ! ! 	 2nd trip Vegas . first one stay Bally 's spend time Gold Coast . dealer & amp ; staff friendly unlike casino strip . skeptical $ 20 / night rate & amp ; think maybe room good . pleasantly surprised find non - smoking room beautiful . Bally be pay $ 125 / night bathrrom tile wall stain carpet . Gold Coast newly renovate modern bathroom separate sink area . bed comfortable & amp ; room immaculate . room end hallway make much quieter room elevator . watch husband play Texas Hold'em 4 hour dealer convince try ( scared play ) . 6 hour straight play walk away winner . really apreciate dealer show play . truly asset business . I strongly recommend hotel & amp ; casino anyone visit Vegas . 
 Dec 13 2004 	 would go back ! 	 girlfriend go Vegas since early 1990 's decide give place trial since good price . go October 2004 . big problem shuttle . not get start 9:30 leave little time get start day . get tired waiting shuttle walk Rio quite jaunt . first time year , suffer terrible rainy weather . therefore stand least 20 minute time wait shuttle part , rain miserable usually pack shuttle . table game limit ... even 3 card poker popular right . also let Ride card game . present Gold coast Card promise many comp , etc . actually get nothing . get nothing hour gambling . check , tell get black table card . room okay , spend little time room say bathroom dinky . good thing restaurant good hotel . would definitely come back hotel . way much competition Vegas could do lot well . 
 Dec 5 2004 	 Love Gold Coast 	 wife stay Gold Coast November 27 December 4 . great time . staff friendly helpfull . small hotel hotel short walk like larg hotel . the food buffet excellent coffe shop great alsoWe would recommend property one 50 . 
 Nov 23 2004 	 great start great holiday 	 start recent trip November 04 USA 2 night , good start . plenty free parking , quick check friendly staff . the room excellent , large spacious , although quite small bathroom someone else say , ' who spend lot time bathroom ' room quiet clean , hear little noise outside corridor even less outside . the food breakfast excellent enjoy great steak buffet Sunday evening . Free shuttle bus Strip great bonusall great place stay , would recommend one stay make well win slot ! ! ! ! 
 Nov 23 2004 	 wonderful stay 	 spend Nov 8 Nov 12 Gold Coast . great place strip . shuttle service strip Orleans add bonus get around . join player club end eat free trip . buffet good . plenty variety . slot generous first night end keeping . romms werer big comfortable . would deffinately go back . 
 Nov 17 2004 	 solid stay 1st time strip 	 stay GC October 22nd - 26th . 8th straight fall Las Vegas ' ve stay everywhere Imperial Palace MGM find Gold Coast measure quite nicely . the bed quite comfortable hotel easy get be head strip ( vs. MGM ) . Shuttle strip solid buffet good great value . also , free workout room nice hotel standard . game fine sport book little smoky taste . , Mart say come back 
 Nov 17 2004 	 great value dollar 	 compare apple orange , compare Gold Coast Strip location hotel would fair . not glamorous , close action , make many way . hotel clean , casino expansive well - light , staff friendly , bed really may comfortable review say , breakfast buffet ( $ 5.95 ) beat , else , not cost much stay . ( $ 69 / night friday saturday ) side , room nice , yet uninspired -- date fixture cramp poorly - light bathroom , room low fifth floor , poor view , . room alright . but kind person not spend much time room . comfy bed quiet dark sleeping . want spend time room , would spend extra 100 's stay Mandalay Bay Venetian . look glamour , would toddle across street Palms , hop rental car head strip . ( park Gold Coast snap , btw ) guess try say love Gold Coast sense value . would rather stay Mandalay Bay Venetian ? sure ! afford every time ? ! person could go broke stay hotel ambience supercede good all - around value . suggest put need / expectation context give Gold Coast try . 
 Nov 12 2004 	 Great Value Good Service . 	 check fast absolutely line take less 2 minute . Stayed Sunday thru Thursday package deal could got room $ 20 - 25 nite pay mastercard . room fine nice clean , bathroom ok average guy quite small poor lighting not try shower nite unless want dark . Maid service good never run usual shampoo , conditioner soap towel etc . elevator work great super fast ' m sure that s be not many guest . Clientelle mostly 30 - 70 middle class working folk look cheap gettaway . also lot local frequent sport book evening challenge get bet window timely manner could use one employee take bet horse racing . also personal tvs Sports book . see action big screen tv 's cocktail service good waitress always come back ask want another drink last one go . breakfast buffet Excellent line up . think well cheap ( $ 5.95 ) one TI . hotel location fine shuttle strip provide hung Palms couple day 100yds away across street place Hottest cocktail waitress also great drink service want play palm can not afford room gold coast place stay . 
 Nov 3 2004 	 friendliest place Vegas 	 stay least 10 year every February . would not stay anyplace else . Dixie Land band great ! ! ! ! room great ! ! ! ! food good . love hotdog sporting section love keno good Vegas . NelsonFaribault , MN . 
 Oct 15 2004 	 Simple Hotel / Casino ; good value 	 good value strip hotel next Rio Palms , convenient free shuttle Barbary Coast Hotel , across Bellagio , Caesar ' Bally ' . cheap good food , nice room , small bathroom much time spend tub ? friendly helpful staff , good parking . 
 Oct 3 2004 	 always worth stop 	 visit hotel several year - usually January . price unusually low town . room service efficient room well furnish well maintain . the plenty free parking . much upscale hotel Rio Palms opposite corner walk Strip somewhat long . it be possible take bus shuttle hotel Barbary Coast back - affiliate hotel . Barbary Coast Strip across Bellagio Paris Las Vegas . the gaming area hotel expand plenty fast food outlet , occasional snack . overall - top notch bargain . 
 Sep 17 2004 	 Great Place Money 	 stay GC April 2004 . first time Vegas see strip believe choose wisely . choose place base many positive review sorry . room quiet clean include bathroom . although small great water pressure hot water . bed comfortable ever find motel . enjoy casino ( not treat we badly ) . eat Terrible Mike 's several time - food good cheap . really enjoy bingo hall - treat well . pool area nice great hot tub . return GC next trip vegas . 
 Aug 19 2004 	 great no - frill casino 	 ' ve stay Gold Coast twice ' m go back 3 week . first time walk heart sink full drunken rodeo rider . hour love ! 's cheap ' n ' cheerful local go there . the bowling lane superb , small pool quiet relaxing , room big UK room , bar staff friendly ' ve ever meet life 's free bus strip every 10 minute ! can not go wrong money ! ok , will not give ' Vegas experience ' somewhere stay explore rest Vegas , be great . 
 Aug 18 2004 	 great option Budget Seekers 	 boyfriend look cheap getaway , choose GC base review read . get amazing deal 2 guest , king bed $ 34 night mid July . hotel easy find , ample parking great location . check fast get coupon book ( free cocktail coupon plus ! ) . room lovely : large comfy bed , great view Palms strip space capsule bathroom . everything clean newly furnish . breakfast buffet eat Arriva . ok economical . ten pin bowling brilliant -- esp 1 am ! shuttle bus excellent : frequent , fast reliable . complaint quite walk car room . also , room end corridor far away elevator ice machine . note woman ! : try pool evening -- habitated lecherous man varsity youth -- make feel quite uncomfortable . clientele elsewhere local friendly though . -- -a great comfortable hotel want save money stay away Strip . 
 Aug 18 2004 	 expect 	 reading review , decide book 4 night ( Aug. 7 , 2004 ) Vegas Gold Coast . first time Vegas opinion think could gotten something well elsewhere money . start hotel Strip ( know ) not car ( not recommend drive Vegas , traffic crazy ! ! ) take free shuttle go Gold Coast Barbary Coast Hotel Strip ( across street Bellagio ) . shuttle run every 15 min . ( be ppl front desk say ) could easy stand 40 min . wait shuttle arrive . the room dark , furniture old , bathroom really tiny ( almost european standard ) air circulation not look clean , air conditioner noisy even middle summer ( around 110 degree outside ) room never get really cool . front desk staff helpful ppl could find .... hand bell boy kind willing help . pool really small , think Best western big pool . the casino ok , good slot machine ... , sure hotel around price Las Vegas next trip Vegas definetly stay . 
 Jul 6 2004 	 Gold Coast Rocks ! 	 totally love Gold Coast . big fancy hotel well worth money . first book 4 year ago check room rate . sell bowling . four teen ( son / brother ) free shuttle worth . go every year . recommend hs team tournament friends family . Buffet reasonable since change station format food bad . love midnight bowling $ 1 game sometimes attendant testy ... deal teen make sure 18 ID . help . love shuttle try Orleans buffet . room nice money . pool could big still good deal overall ! 
 Jul 4 2004 	 Great Hotel 	 stay Gold Coast June 27 July 1 . read reviews hotel decide try . room nice clean . review talk comfortable bed , right . like bathroom tub toilet together sink outside , kind dress area . hotel casino clean . book midweek special twice also get 2 breakfast 2 dinner buffet . give coupon book check . check fast checking . stay Excalibur Flamingo Gold Coast good value . 
 Jun 30 2004 	 great Stay Gold Coast 	 Ritz , room spacious & amp ; clean . bed great shower ( water saver one ! ) . room quiet , great sleep gambling night ! restaurant good & amp ; inexpensive , esp . buffet good dessert Vegas ! free shuttle Strip make location ideal like get away crowd & amp ; noise . stay 4 night & amp ; think one good place ' ve stay Vegas . doubt stay . Altho not bowl , bowl alley excellent . also good nightclub act Cortez Room . 
 Jun 13 2004 	 great place stay ! 	 12 year old son stay Gold Coast April year please . room clean easy get casino . breakfast buffet good good value $ 4.95 . bowling alley great thing slow evening . ( party 12 year old ! ) hotel easy get park plentiful close . slot ticket in / ticket , think great . tend & quot ; machine hopper & quot ; easy cash try new machine . lot video poker small denomination like . also lot penny slot we budget minded people . also stay Circus Circus Excalibur past Gold Coast favorite far . go back July brother want cheaply go try Westward Ho . review mixed interested see . not work , Gold Coast top . 
 Jun 4 2004 	 ok water cold shower 	 stay entire week training course . temp shower cold night , morning security folk unpleasant couple time ( not wear hooded sweatshirt workout center , may think be criminal ) .The workout center nice , casino fine . good place ever stay , certainly bad . 
 May 31 2004 	 nfr 5 star 	 normally stay downtown nuggett - howeverthis place great . room much well expect . service super - everyone friendly helpful . steak house superb . come winner - but that s fault . dealer nice , keep sit give back . we party 10 stay anywhere else year rodeo . 
 May 15 2004 	 great value 	 wife stay Gold Coast first time May 11 one night . hesitant like big fancy resort simply run expensive week thought would give Gold Coast try . like eveybody say , room spotless . pool small okay . casino fun , relaxed easy navigate . check in / out breeze staff competant invisible . tell wife actually tell impressed Gold Coast even suggest long waste several hundred dollar / night fancy place use Gold Coast home base . 
 May 14 2004 	 great value ! definitely return ! 	 although old , find hotel good condition clean . frequent shuttle strip , make perfect location . dinner buffet @ $ 10 excellent , breakfast buffet @ $ 5 . hotel excellent value -- travel . 
 May 6 2004 	 favorite casino 	 Gold Coast favorite casino play video poker . large selection choose , many good pay schedule . room clean functional . bathroom two divide room ( tub / toilet one room sink ) . agree small 2 - 3 total foot many hotel , still functional . bed soft comfortable . room usually price $ 30 - $ 45 time year ( internet discounter may less ) . large casino easy navigate . buffet one good food value will find LV ; large selection tasty . dixieland play afternoon noon - 6:00pm . overall , wonderful place stay , next Rio Palms . free shuttle service take Orleans Barbary Coast Strip . highly recommend . 
 May 4 2004 	 can not beat price ... 	 Gold Coast perfect place stay . shuttle service provide easy access strip . room perfect we not need anything place sleep . clean comfortable . the service check kind courteous . would hesitate stay Gold Coast next trip Las Vegas . 
 Apr 23 2004 	 can not wait come back 	 stay Gold Coast Spring Break could not believe value quality room service . free daycare awesome wife chance spend time table together rather gamble seperately . kid love daycare finish supper able head bowling alley . palm isjust across street first class movie house plenty family stuff well fun adult . bed comfortable ever sleep . can not wait get back Gold Coast . 
