Nice 	 hotel normally stay jacked rate $ 200 dollar night - decide look elsewhere . book hotel & quot ; Trip Advisor Deal . & quot ; get room $ 113 plus tax - total bargain city . expect accomodation could marginal price . pleasantly surprised find completely remodel room new bathroom . stay second floor mini fridge private bathroom . front desk staff super friendly . UW side exactly happen part town - hotel conveniently locate next Subway . leave luggage locker first floor check . nice know belonging lock safe finished siteseee ( $ 5 24 hour ) . definately say . btw - breakfast 24 hour Key West diner ( next door ) cheap good . 
 great place stay visit upper west side family 	 hotel clean room spacious well design . visit family city use hotel convenient place sleep . view room interior courtyard , fine quiet . reserve room 2 double bed , upgrade Junior suite . 
 Apr 7 2005 	 completely ok 	 really inexpensive . clean , safe , close subway - great point . book ask far elevator ! 's close restaurant include Cafe Viva 2578 Broadway ( 97th Street ) fast casual italian place ton vegetarian vegan food . 
 Apr 6 2005 	 Perfect Budget Hotel 	 perfect hotel budget NYC . find hotel clean , tidy working order . room fair size private bathroom plenty storage space shopping ! ! room clean bed make every day trip . really not complaint . know hotel cheap low star rating other , really feel though money well spend . hotel good 50 block away Time Square walkable 40 min . subway 2 min walk away hotel take Time Square 5 min Financial 10 min , grand total $ 2 ! bargain ! hotel 94th Street never problem noise . would recommend hotel would certainly go back . 
 Mar 21 2005 	 reasonable business trip 	 bring two manager NYC business trip . stay hotel 2 night . friendly staff good restaurant recommendation . location close subway . three room pleasant cost reasonable . would stay . 
 Mar 18 2005 	 Fine hotel budget stay although negative point 	 easiest way tis break section ; hotel room , staff & amp ; service , immediate location , connection downtown : HOTEL ROOM ( * * -- - ) room clean warm ( fact little warm time , fully function air conditioner use cool need ) . plenty storage space clothe baggage . Decor little old room quite date hall . lobby obviously re - do last year look invite . bathroom honest sub - standard . Basin secured wall , tap bath tub come - last day could not fully turn , steady trickle still come . toilet over - flow twice week stay . say , problem rectify quickly every time report they . our room little noisey time ( even small hour ) face right Broadway . hey , expect ? 's city never sleep ! STAFF & amp ; SERVICE ( * * * * - ) reservation manager Emilio incredibly helpful email even arrive Newton . definate asset Empire Hotel Group . staff always attentive polite ( everyone serve we capacity New York City ) .Safety Deposit Boxes , baggage storage area , information rack , internet access , longe area elevator present work . clean absolutely fine , although one morning towel change , re - folded rail . Room always clean upon return day 's sight - see . immediate LOCATION ( * * * * * ) come front door Newton small newsagent immediately leave . three door 24 hour Duane Reede pharmacy ( sort like Superdrug UK ) . thing may need , include snack drink . turn right Newton 's front door Key West Diner , ideal place breakfast . place also cocktail etc . want somewhere close evening drink stumble back hotel . next Lemongrass Grill Thai Restaurant - excellent food service , therefore highly recommend . 's also chinese restaurant one door , although never try this . opposite ( easiest access use subway underpass ) Commerce Bank - ideal change traveller cheque . friendly pleasant bank . be also starbuck McDonalds right accross street , well Symphony Space music venue . Nearest bar Dive Bar ( ' Dive ' diving , hovel ! ) . 2 block , turn right Amsterdam Avenue , right . 's small crowded bar , plenty atmosphere . connection downtown ( * * * * - ) 95th Street little way classic sight NYC , although easily walk Central Park 10 minute . 96th Street Subway station actually stretch 2 block underneath street ( subway station ) , nearest entrance actually hotel door turn leave . 's minute 's walk - will see front soon turn left.96th Express stop , time right get Midtown stop ( 42nd / 34th ) 10 minute . 1 / 9 line actually well connected stop take close area may want visit . even take local train South Ferry Statue Liberty 35 minute . 's 3/4 Manhattan island be travel ! lastly subway NYC general cleaner , reliable less impose London Underground . encounter one beggar train actually make we feel uncomfortable feel threatened . note however comment Manahattan island 110th street south , Brooklyn Heights area . FINAL rating ( * * * -- ) use average 4 score give Newton 3.75 5 . ' m go mark rather base hotel , although close call require thought . would still however recommend Hotel Newton anyone budget hotel 's aa little way main area , still well connected . 
 Mar 11 2005 	 surprise ! ! 	 travel New York six day family ( three room ) look hotel would break bank . travel New York many time business stay hotel cost $ 200 . bit apprehensive quality Newton half price . even though read postive review , still doubtful . hotel , , previous reviewer rate . hotel quiter mid - town hotel ' ve stay . room clean roomy New York standard . one block Metro , express stop , make easy travel city . Central Park three block away get NY time see & quot ; Gates & quot ; . definitely stay Newton return ny . restaurant recommendation . key West next door hotel $ 5 breakfast include juice coffee . Lemongrass Grill , three storefront hotel , excellent Thai food . Carmine 's italian Broadway 91st great food , get crowded . Gennaro italian 93 Amsterday good food , $ 20 minimum per person cash . turkuaz turkish restaurant 100th Broadway also good food reasonable price . avoid Talia 's Steakhouse Amsterdam 93 . Steaks $ 30 plus filet tough nail . 
 Mar 8 2005 	 bad bed 	 well , could say .. could ? friend mine book twin room online , get ... could give we room queen bed . polite take look , say . must love married sleep together bed like . & quot ; go & quot ; we two man , go another hotel , give we problem first ( hotel ) , happen small room two bed end . so Newton , look good , service . 
 Mar 3 2005 	 Perfect place cheap comfortable stay 	 hotel warm , comfortable good location . get subway go main shopping area nice anyhow lot good restaurant shop nearby central park really close . share bathroom , no - one else share , clean maid come everyday fresh towel clean room . even get tv load channel free charge great watch busy day see sight . say anything bad place , luxury right affordable price . try french Roast breakfast Dinner 6 block away , oatmeal amazing City Diner awesome Salmon Steaks ! 
 Mar 1 2005 	 Great Value Money 	 nothing new add early review , except confirm place really excellent value money . pay around 80 euro per night 4 night . yes , basic , room little small , hotel clean comfortable location good . the metro virtually hotel 's doorstep - go straight Manhattan . 's wonderful stroll across Central Park first thing morning . will definitely stay . 
 Feb 27 2005 	 Adequate need 	 recently stay visit Columbia University . single room small , old furniture old & quot ; look . & quot ; care ? clean price right . hotel look apartment build one time . luxurious mean , job be look stay night two . would stay elsewhere be NY one two day . good diner Thai restaurant next door , enjoy . build old , one night fine . surround neighborhood seem nice enough , although nightime freeze outside not walk around . bottom line : basic accommodation reasonable price NYC . 
 Feb 8 2005 	 great affordable stay ! 	 recently return weekend Newton , happy stay . find place clean staff polite . check - in check - out easy- without wait complication . elevator seem bit slow , fortunate never really wait . room clean basic amenity . plush , certainly nicer expect . find staff accommodate . example , ask extra towel receive right away . book double / double room . little freaked & quot ; share bathroom & quot ; concept , call make reservation assure would bath . one morning two hot shower , third guest cold water . wait minute , however , water warm . beds firm mention review . foot day , however , back welcome . response complaint previous reviewer noise outside window , thin wall , rattle heater , etc . is- 's New York City ! building old , hear thing . move NYC two month ago , find build similiar apartment apartment friend . professionals- college graduate , many master doctorate degree , decent standard live . feel noise issue Newton might encounter anywhere else city . not trip farm beach , 's city 's quiet place ! say , sleep like rock ( two friend quieter place never live New York ) . need complete silence order sleep , bring earplug . might still hear noise posh hotel downtown . far location go , express train crosstown bus foot away ! can not ask much . concerned distance Times Square , take 2 3 train downtown two stop . get anywhere need go quickly close proximity subway . want go east side , take M96 crosstown bus . metro card work , get one free transfer bus subway vice versa . check hopstop.com want advice public transportation route , ask anyone . New Yorkers willing help direction . personally prefer people live , middle tourist chaos midtown . Upper West side nice neighborhood . many celebrity live . far restaurant go , Lemongrass Grill door good Thai , Mama Mexico Broadway 101st 102nd fun , festive mexican restaurant . hear Carmine 's good family - style italian place B'way 91st . somewhere near Carmine 's Tal Bagels , good , authentic New York bagel . Tom 's Restaurant Broadway 112th . Suzanne Vega write & quot ; Tom 's Diner & quot ; , might recognize outside shot restaurant Seinfeld . food nothing spectacular , 's & quot ; pop culture historic & quot ; . also like Cafe Con Leche ( Cuban / dominican food ) . location Amsterdam b / t 80th 81st , notice also location near hotel Amsterdam b / t 95th 96th . not find food like around hotel , go one two stop 86th 79th . plenty restaurant & quot ; 80 & quot ; block along Columbus Amsterdam . out - of - town guest always like Cafe Lalo W.83rd b / t Broadway Amsterdam . feature ' ve get Mail . 's cute place , quite extensive dessert menu . ( go dessert , meal . ) conclusion , look luxurious place stay New York City , not stay Newton . ( expect pay least twice much per night . ) want decent , clean place sleep good location Manhattan , recommend Newton . pay , 's great deal . save money shopping , play , sightseeing , good meal . 
 Feb 6 2005 	 fantastic weekend break 	 great long weekend break New York end November 2004 . first visit fabulous city go two friend . stay Hotel Newton Broadway . have room two king size bed room large ensuite bathroom little kitchen area . surprised large room lead believe New York hotel room often small side . the reception staff really nice , helpful able answer question regard subway , taxi book ticket open top bus etc . also arrange transport we back airport departure . the hotel little way think good thing . noisy night New York think must impossible sleep right centre . subway station meter front door hotel subway go straight Times Square . take express train two stop away . load shop restaurant right outside hotel stay open late . restaurant next door hotel Newton great everyone include family . I go back New York later 2005 take 13 year old daughter . definitely stay HOTEL NEWTON . 
 Feb 3 2005 	 bargain 	 be budget want decent room bath , not hesitate go Newton . return New York stay 4 night . room decent size ny - standard , rather big bathroom clean . late bathroom technology remember be 2 star hotel . outside freeze -15 ° Celsius , inside nice warm . do not worry location near 96th street . subway less block away express get Times Square 5 min . shop , bar restaurant closeby . all bargain . good location clean average 85 dollar day . go New York another time , hesitate stay Newton . 
 Feb 3 2005 	 Depressing ! 	 , warn anyone book beware ! book twin room expedia arrival , discover double bed poxy room look like not redecorate since 60 's ! , go downstairs receptionist , basically pass blame expedia , say never guarntee twin room , basically 2 alternative . 1 . pay $ 300 upgrade twin room , 2 . use & quot ; roll matress & quot ; ! luckily , ' m kind person take kinda lame excuse , speak expedia , take hour sort ( mean time buy international call card shop nextdoor Hotel Newton 's phone not dial international call ) ! ! luckily , upgrade Hotel Metro .. absolutely amazing ! however , even move expedia , would stay hotel far depressing . summary : way town ... 2 stop express train .. 20 minute every ! extremely unhelpful staff , drab 60 decor , shoebox lift health hazard , room tiny claustrophobic ..... not stay ! 
 Jan 25 2005 	 pleasant surprise 	 wife stay Hotel Newton 3 night . go base review online . not expect good reviewer say . hotel excellent . fortunate upgrade double - double suite . suite recently renovate new carpet , new furniture , new bathroom tile . suite big NYC standard . love . make mistake , 's old building cosmetic improvement -- old heating system window unit air conditioning . far surpassed need terrific bargain . might want confirm desk day book online . desk not know request double - double , problem note call . 
 Jan 23 2005 	 stay would probably stay 	 previously stay share bathroon experience top rate . time decide book private bathroom wee bit money spare get great rate . however , private bathroom adjoin shared bathroom fair bit noise use . big noise pipe , flush toliet either bathroom , pipe start make noise would awoken sleep beauty . big problem room freeze radiator working , ( well freeze outside ) . couple night could not take ask change room . little fuss , get much big room work radiator . however pipe noise return last night . that bad bit , good location excellent , quiet ( NY ) express subway get Times Square five minute . clean , lucky get good size room , unlucky large cupboard . far away good value hotel poor NYC tourist hotel New York . pay money , take chance ...... 
 Jan 18 2005 	 stay @ Hotel Newton ! 	 despite fact hotel need minor repair ( new carpeting wallpaper ) , room equip mini fridge , microwave , 2 large double bed . room keep clean , staff friendly helpful . situate Upper West Manhattan make little way , subway station minute 's walk hotel , make get around NYC easy . overall , great value ... would stay ! 
 Jan 16 2005 	 small job 	 little far downtown subway outside hotel easy get especially catch express train three stop 42nd street , room small bathroom ( room hotel do not ) . end day go New York stay room look hotel put head night frill place . 
 Jan 14 2005 	 everything relative 	 January 7 - 9 stay . mostly travel business , spoil good Corp travel department . , grandaughter bear parent live upper west side ( Columbia ) Newton ideal location visit . everything hotel old , everything look clean . problem heat room ( always hot even room heat shut ) fix opening window . & quot ; view & quot ; window build behind we . elevator break we check , handicapped wife slow trip seven flight . give price ( $ 100 Queen , $ 130 Jr. Suite ) location , decent visit we . , set realistic expectation not spend time grind tooth . since granddaughter absolutly beautiful exceptional intelligence ( not ? ) visit often , give Newton another try . 
 Jan 9 2005 	 good station - also single 	 stay September 2004 6 night . I would give full 5 point , 4 justify . check - in check - out procedure expect - nothing special - helpful staff . elevator , say , slow , vacation care spend extra minute waiting . could walk stairway problem - right next elevator . room right next elevator notice . room , say NYC , small . 2x4 meter single bed , one window air condition relatively decent size bathroom . one clean great surface lay toiletry . small closet , tv work great drawer de - dust put something . besides room clean every day . always take slipper feel need . may I . soft drink machine 2nd floor . prefer go one many drug store , open 24h . right across street even night feel uncomfortable walk myself . there downside - room right Key West diner ( agree special ) early morning distinct smell fry bacon air . could get room anything . wake make get ready town . only trouble bed . like sleep side taste ( hip ) bed hard . try stuff something linnen soften bit , help much . small bed , 1 m wide . enough . , feel little room enough sleep anyway . the location great . really go - much upper west side not matter . right meter entrance hotel find express subway station take downtown 10 minute . good line take way battery park like sort stop along way many attraction . leave , let store bag . bonus - take shuttle ( blue van would recommend ) - hotel first go last pick poeple - less . good location well . I go NYC year Newton Hotel top list possible hotel . would recommend anytime traveller would like spend $ ticket , souvenirs clothe rather expensive hotel . 
 Jan 8 2005 	 Great Hotel Loved New York 	 hotel excellent get New York take three hour get bus hotel JFK hotel check prompt friendly . 96th street subway outside door make downtown 10 min away ( get weekly ticket great value cheap would suprise much use subway get around ) . fact part Manhattan less half hour away bus , train , cab excellent . hotel small nice sized room four people 4 person room perfect week long stay . room tidy room , laundry service excellent friendly . work aound schedule . plenty food establishment nearby also price low downtown . load good bar Amsterdam one block around 80th street ten minute walk . its also twenty min Met ten history Museum chainstore shop within ten min walk . taxis village cost approx $ 10 - 15 , midtown $ 10 great tired long day night . the baggage facility excellent also good quality value hotel stay Manhattan .A+++ 
 Jan 7 2005 	 great little place 	 move newton hotel unpleasant experence hotel times square ( burgle left clothe stand ! ] . pay approx £ 70 per night 2 get room 2 double bed bathroom . front desk helpful courteous time little maid Maria . hotel spotlessly clean not encounter heating noise problem . although little heart city subway service closeby user friendly . nice come back quiet location hustle & amp ; bustle times square . definately book hotel next trip new york . PS look shoe clean man outside ! cheerful chappy ! 
 Jan 1 2005 	 great little hotel 	 ok room not big - care - be New York ! ! ! 9 am not get back til 10 pm . 3 room ( 2 twin 1 double ) clean reasonable sized bathroom . not disturb noise previously mention people come go be expect anywhere . hotel right near subway stop take straight Manhatten 10 minute Central Park good 10 minute walk . hotel cheap , room public area find spotless , staff speak friendly bad thing think say be one lift ! let store bag flight later check time . love New York would not hesitate stay hotel . 
 Dec 30 2004 	 budget wise hotel ... 	 look 5 - star hotel , look somewhere else . Newton hotel long way perfect perfect hotel travel budget . well locate Upper West side near 96th street subway entrance Broadway , find lot Starbuck Coffee shop around . staff friendly room spotless . bit small take Shared bathroom want hotel room except sleep . room service , Cable tv A / c careful winter time , keep A / c window bit winter breeze may enter night . expect much around hotel except take subway downtown . Booking Newton budget wise decision . flaw room cleanliness friendly staff make oversee . 
 Dec 28 2004 	 great Bargain NYC Christmas Season 	 quality stay Hotel Newton seem depend lot room happen get . mostly excellent experience reasonable price stay Dec. 6 - 13 . real problem break travel rule insist write reservation confirmation , hotel us six night stay instead seven . end move we large room price last night , consider experience poster well , would say not trust verbal assurance confirmation number reservation clerk give . agree poster like location ; be pretty far uptown , be true , close subway station , like come back reatively quiet neighborhood frenzy midtown . not share other ' enthusiasm Key West Diner , love restaurant neighborhood , especially Carmine 's Lemongrass Grill , thai place next door hotel . room clean , comfortable opinion adequate size . read other ' complaint noise , ask room not face Broadway bring white noise machine ( real name ) , although perfectly quiet end need . since night poster hear loud conversation night , bang noise , conclude location quieter other . hot water undependable prime shower time ( 7:30 - 8:00am ) seem fine time . room pretty warm -- window not open , husband turn air conditioner fine , sorry energy waste . front desk helpful courteous . overall , guess like well feel live real NYC neighborhood intead touristy location . , add recommendation , proviso 's good try get write confirmation date , type room price . 
 Dec 22 2004 	 get pay ! 	 come back Christmas Shopping New York hotel cheap see book . hotel superbly locate price . 10 minute stroll Central Park . 1 minute walk express subway station - Times Square 10 min . Statue Liberty ticket office 25 minute away . place Manhattan near subway station trasfer easy . follow Number / Letter route find platform probelm . McDonalds Starbucks accross road 24hr Doughnut Coffee Shop nearby well . the hotel advertise . cheap Chearful . room basic big enough , spouse , luggage shopping . use share bathroom problem . use electric shower beware cold hot stream water pressure change system ( think Homer Simpsons - ooh ahh ooh ahh ! ) given seem american norm expect . hotel clean . heating lot get hot we ( Scotland definition cold weather different ) open window well . simple really . never hear central heating TV Fox ( whoo hoo ! simpson ) /CNN / ESPN local New York Channel . ask maid extra towel get day sleep three pillow home ask couple extra get problem . also internet access lobby ( fee ) , drink vend machine ( Pepsi brand only- ugh ! ) ice machine ( free ) .as base camp storage shopping sight see hotel excellent . dinner next door deliver breakfast every morning , go shopping , come back ditch bag sight see dining afternoon evening . actually want stay indoor time hotel . want somewhere clean cosy sleep wash place . 
 Dec 21 2004 	 bad check early switch next door Quality Hotel 	 hotel fine booking online choose & quot ; DOUBLE & quot ; room instead & quot ; DOUBLE / DOUBLE & quot ; call front desk tell double room size double / DOUBLE room , one few bed . since travel party two like room walk space , think double room would suitable . that turn terrible mistake . room check barely big size double bed . two foot bed wall , certainly room extra double bed . go front desk complain misrepresentation , tell nothing could place reservation double room , honor . press bit , let room two single , give apology sort . the next day walk around corner Quality Hotel find large room queen bed $ 10 less , make arrangement cancel rest stay Newton . the bottom line , draw hotel guidebook review say big room , book DOUBLE / DOUBLE instead DOUBLE . book , $ 5 expensive , 's way guarantee get tiny room ! 
 Dec 8 2004 	 hate Newton Hotel - cockroach bathroom 	 stay 3 night Hotel Newton hotel really awful . ... ) front desk clerk willing honor rate give we reservation agent . specifically reserve room 2 double bed 4 people even reservation agent repeat request . get , want charge we $ 50 per night bring $ 20 . something say hotel put value $ 60 customer satisfaction honor promise . b ) meet 6 front desk clerk stay one impolite rude last . c ) room ( view dirty alley ) clean - look enough everything old . arrangement room akward TV watch one bed , mean 4 people squeeze together double bed watch tv together . , actually find cockroach bathroom ! ! ! tell front desk clerk , response & quot ; be weird & quot ; continue whatever signal end conversation.d ) hotel noisy , especially middle night early morning . heater make lot loud random noise . maid talk internal phone hallway hour night . hear bang noise 7:00 a.m. last 2 hour . try call front desk 20 time answer . 2 hour , 9:00 , finally get front desk tell clerk try call 20 time ask number call say dial & quot ; 5 & quot ; say , dial & quot ; 0 & quot ; say well say & quot ; dial 5 front desk & quot ; phone . , said & quot ; anyway , want ? & quot ; tell noise say probably construction building next door ask anything else hang . really impressed hotel staff . bad hotel ever stay would recomend anyone . would understand bad service ugly hotel room price cheap , be . plus , hotel far everything end spending taxis subway ticket would mid - town hotel lot nice , close everything , little expensive . good thing say diner 2 dor & quot ; Key West Diner & quot ; great cheap , service fast staff polite . breakfast every day . 
 Nov 30 2004 	 great place ! 	 first trip NYC . not sure expect , read review online . room 2 twin bed bathroom . think extremely clean nice . see site not room much . little way everything , bad . think quite feel safe . front desk helpful . would stay without hesitation . want good deal , clean room spend money shopping .... place . 
 Nov 26 2004 	 love ! 	 Ahhh cheap , cheerful , clean friendly . much else say ! great location , bus , subway . great time , fond memory . shoe shine guy ! character ..... would visit stay Hotel Newton , maid nice , staff friendly , clean surround great food ! would go back heartbeat ! 
 Nov 16 2004 	 bad price 	 arrive Hotel Newton degree fortitude . $ 80 night cxheaper hotel have consider , not know whether expect Fawlty Towers - esque horror - show bargain century . in end something two they . the lobby room impeccably clean decor relatively new . bed fair size , although dodgy woollen sheet variety ' m allergic , maid common sense put back have rip first night . 's internet machine lobby handy give NY 's lack internet cafe din next door convient cheap breakfast . alos right express train station , Times Square etc . two stop away . on downside : room smallest have ever see hotel , although closet come useful ; plumbing system obviously centurie old pipe buckle night long bang , bang , bang noise give impression someone bang wall hammer - good . way regulate tempretaure room , veer towards boiling time . tv reception bad none even remotely premium channel ( Fox , CNN etc . ) . annoyed fact staff see fit walk room whenever like . Yep , read . stroll own place . knock obviously practice know New Yorkers . ' m talk maid stroll ' ve sleep , maintainance guy 4 pm ; maid 5 pm ( different day ) . strong word manager naturally think outrageous , thereafter see fit keep disturb sign door whenever . worthwhile tip one else stay ( visit Carmine 's - exquisite italian restaurant two block ) .so , stay far perfect , never bad . taxis everything else take consideration save $ 500 five night stay , money spend New York 's many attraction shop - , ultimately , reason go Big Apple - not ? 
 Nov 11 2004 	 Great Budget Hotel 	 husband stay Newton 4 night quite impressed . consider rate cheap ( little $ 500 4 night cheap NYC standard ) little apprehensive expect bad . we pleasantly surprise . lobby area immaculate although cheery people , front desk staff efficient . the room small clean , good sized bathroom . bed comfortable immaculately make every day . the location problem - stop Times Square subway walk distance Central Park . overall , find good value money much much well Hotel Pennsylvania stay previous year . Watch shoe shine guy - character ! ! ! 
 Oct 30 2004 	 quite impressed 	 go ny first time limited fund . look AAA find Hotel Newton . know no - frill hotel careful get room private bath , take chance anyway book . one night figure could stand anything short period time . get Hotel 2 hour early . tell wait 30 minute , could get room . able put luggage storage room go next door Key West Diner lunch ( would recommend place eat ) . go back room ready . tell room first floor . woman travel alone ask room high floor . give another room 9th floor - top . room 2 queen sized bed face Broadway . room immaculate bathroom looked never use clean . take hot water get , learn turn faucet minute want get hot water . carpet clean , bed comfortable , sheet pillowcase clean iron little noise . elevator old slow , not unbearable wait . would definitely go back stay . pleased price . also area walk back alone midnight concert mile away feel perfectly safe . 
 Oct 30 2004 	 Excellent Value 	 spend two night Newton mid - October . good deal . room clean well - keep . staff polite , courteous helpful . bit far place , subway close really take long go anywhere want go . run , close Central Park plus . street good bagel place , reasonalbe ( good ) chinese restaurant ( think call Empire ) , & quot ; Gourmet Garage & quot ; -a nice , small grocery store . a week later stay Hayden Hotel , price range . close Central Park probably many would consider nice area , really comparison . Newton much , much nicer far well deal . 
 Oct 28 2004 	 Excellent value 	 book hotel strength review site become little concerned close date stay bad review appere . however nothing worry . twin room large ( ' m american not high expectation ! ) , extremely quiet service work ( en suite ) . say hotel away action unfair metro stop 50yds front entrance catch express train ( never wait 3 minute ) two stop away Times Square . even go catch Statue Liberty Ferry take 25mins . there lot restaurant near never dodgy area . good clean stay could not reccomend . 
 Oct 21 2004 	 New York great hotel 	 room ok , clean small . put we second floor face Broadway . flag flap night street noise unbelieveable . & quot ; shoe shiner & quot ; claim hotel 's front door prime location & quot ; shining & quot ; carry conversation whoever would stop quite loudly night . could hear garbage truck outside hotel , noisy . elevator slow walk stair even luggage upon check . second morning stay hot water not work . maid nice , 's nice thing say hotel . plus would nice close action , far west side . lower well . full day site seeing , worth pay well place get sleep night ! place cheap could tell see building person actually stay . definitely worth money save place . 
 Oct 19 2004 	 great time Newton 	 little apprehensive stay Newton , sister get good deal Expedia decide chance two day trip . pleasantly surprised hotel . great location ( two express subway stop Times Square ) , quiet clean . restaurant , diner next door good deliver free . short walk Central Park food selection Upper West Side enormous . find staff nice room clean timely manner . , great bargain . would stay Newton . 
 Oct 12 2004 	 impressed . 	 girlfriend stay two night canadian Thanksgiving weekend . read review look forward experiencing & quot ; Newton & quot ; . arrive , locker store belonging full place leave . fortunately , person front desk say wait 30 minute , could room we . 60 minute later , room . guess can not complain couple hour 2 pm check time . go shower go show , discover forgot towel . shower -- oh , shower . first , cartridge cold side break , turn water ( either hot cold ) , pour cartridge onto edge tub consequently floor . not big deal hotel silicone around tub whatsoever . know water go . shower head also break ( hold aim else point straight ) whoever put neglect use teflon tape water pour back ( sound like plumber , friend sort know speak ) . carpet stain , chair stain one lamp not work . -- faulty shower , shower head , lamp -- mention desk Saturday night promise repair Sunday . Sunday come go nothing . ask upon check - out record complaint . when leave Monday , locker full . ask leave belonging & quot ; Luggage Room & quot ; basement . ( well judgement room unlock walk street basement , ' m sure one would say anything ) return find luggage move shelf cram corner . nothing break damage , think prof point . plus , get home look email confirmation find quote $ 170 Saturday $ 120 Sunday charge $ 170 . call . hope make note time . overall , would return ? . would pay little get . 
 Oct 5 2004 	 bad price 	 price , find Hotel Newton perfectly adequate . ok room big clean . surely pay get New York ! location 95th street quite way Times Square express train station 96th 10 min . plenty shop , restauarant nearby & amp ; appear safe area town . Central Park 10 min walk away . overall , be budget bad place stay . 
 Oct 5 2004 	 VFM 	 first time visitor NYC ( 24 - 29/09 ) comparison , think Hotel Newton well locate ( not use ' local ' train , stick express ) , spotlessly clean friendly helpful staff . ok , room bit ' pokey ' ' city never sleep ' - much time want spend ? key West Diner next door nice reasonable breakfast ( porridge set day ) . Lemongrass Grill Thai restaurant also good . downside ? can not actually think one . not get upgrade - , not pay one ! recommend . not forget tip maid guy desk . 
 Sep 28 2004 	 great ' 	 think great hotel price , bit far everything - go New York knowing walk . room spotless get free upgrade junior suite microwave fridge . staff friendly helpful actually like neighbourhood - people friendly , good restaurant reasonably price store shopping , times square get mainstream big chain . stay next year sure . 
 Sep 18 2004 	 enjoy Stray 	 stay 5 night start Sept 8th room 204 queen room private bath . recently redecorate clean attractive . room much big Comfort Inn Central Park . big adequate attractive . hallway look little funky . our room face Broadway little noisy run AC drown bother I . the neighborhood ok . feel comfortable . several good italian restaurant close , Carmines La Grolla . also several low cost breakfast place . from learned subway walk good way get around . take cab JFK . hotel close subway station big plus . the staff friendly helpful . while fancy place good choice budget . 
 Sep 11 2004 	 blah ... 	 ok , freaky night . garish reddish curtain , location uptown far everything ( time square ) . maid nice sweet , not forget TIP . room quite spacious , traveler not want pay cab fee far away everything , search elsewhere . Park Central Hotel great one tourist , price . 
 Sep 6 2004 	 ok smoker 	 look hotel web thought look good budget hotel . be not expect bit far north although subway close good bar / restaurant near . hear people next room . friend room bathroom . clean sheet clean room absolutely reaked smoke . view brick wall ( second floor ) barb wire . open windows air conditioning also reek . would stay south next time . hotel bit tatty grubby open case unpack get home whole lot stank cigarette smoke probably smell like tat three day . Yuck ! nice do not smoke . 
 Aug 21 2004 	 clean great location good price 	 stay first week Aug. 3 night . share bathroom save cost worried , bathroom room CLEAN ! room spacious . hotel location 5min subway get site want go . hotel staff nice . put passport money safe deposit box front desk . whole hotel neighbourhood give sense safety , be probably residential area NYers . definitely recommend friend family . go , stay sure . thing bother door tricky open . thank clean lady teach trick . can not open door , use phone hallway dial & quot ; 0 & quot ; . send people help . enjoy . 
 Aug 18 2004 	 pleasantly surprised ! 	 Newton Hotel great - complaint . split room 4 $ 129 Hotelsdotcom . room big , spotless , front desk service top notch ! lose cell phone charger 2 day early - go back hrough room find wait . People complain slow elevator , wait 90 second nothing compare wait will NYC ticket attraction ! 1 , 2 , 9 subway pick 100 foot hotel take anywhere minute . nice neighborhood plenty cheap eat include McD , Subway , Starbucks across street . also electronic locker drop bag check , like , park checkout day . get turn AC full leave work overtime cool room - course almost 90 degree day ! pleased look forward next stay . PS . like research NYC go highly recommend Frommers Travel Message board . 's great place get quick answer New york tourist . check posting & quot ; lot tip recent trip & quot ; fun ! 
 Aug 13 2004 	 ok budget hotel avoid small room 	 obvious attraction cheap price . stay room share bathroom ( problem - could usually get bathroom want ) room small , not usually moan thing . could hear next door bit . friend pay ensuite bathroom get much big room . despite , location great , near Central Park subway , breakfast Key West Diner next door great start day . would recommend travel budget . 
 Aug 3 2004 	 Great Place stay NYC ! 	 stay mid - July 5 night great time . 's close subway ( less block ) get anywhere fast . the room clean ( especially bathroom ) , ' m neat freak hotel , everything work properly . coffee maker though bring own . Front desk staff not lively care ! 's deli diner right next door , great ! blast . would definitely stay ! 
 Aug 3 2004 	 stay ! 	 location great ... 2 minute walk subway 96th st . Staff friendly . room bathroom clean . close & quot ; ok - not pricey food & quot ; .. next door Thai restaurant & amp ; chinese food -amsterdam & amp ; 94 .. tasty fry chicken greasy .. easily access public transportation major touristy place . back ! 
 Jul 28 2004 	 one good budget hotel New York 	 Hotel Newton one BEST budget hotel run across Manhattan . staff courteous efficient . arrive 1:30 , reservation card wait we greet name . room clean comfortable . location OUTSTANDING . good dine New York right side door . wife stay four night thrilled service , cleanliness value . stay several hotel price range year , find good . make Hotel Newton homebase visit New York future 
 Jul 20 2004 	 Great Location 	 husband , two son spend six day mid July first New York vacation . find hotel AAA tour book also read review online . pleased find Hotel Newton , clean good service friendly staff . jr . suite comfortable enough family four . one single elevator complaint . location well ! ! quiet neighborhood plenty affordable eatery . & quot ; Key West Cafe & quot ; next door real bonus . great breakfast , lunch dinner . especially be NY sight expensive fine dining . Tony work counter give fast friendly service ; husband enjoy talk baseball . go everywhere subway station within step front door . good choice family budget . 
