bad 	 stay hotel good review . check get room bathroom mess . toilet use , stuff lid toilet flush . almost get sick . call front desk ask someone clean up . some one clean . also ask supervisor one show 's . supervisor manager even call I . my husband tired flight , would leave place . definitely would recommend place anyone . 
 Jun 8 2006 	 want money ? 	 normally stay Hilton standard hotel US expensive around Mag Mile Chicago stay BWIOC four night May 25 . ' expect kind view put we 12th floor e Ohio St side . building see suppose beat fire escape view another reviewer . ' one block east may well Michigan Ave . two convenience store diagonally opposite Dunkin Donuts side breakfast . two block towards lake eat lovely spanish style tapas restaurant ' remember name . good lamb ' ever . young lady concierge desk helpful . hotel literature ' mention terrace roof 22 floor , great smoke view skyscraper little bit lake . sign say glass allow sit sun couple can foster convenience store . bar lobby restaurant , need one . noisy construction work go opposite ( probably account dirty window ) ' blame hotel . air con unit big museum piece work fine need temperature hit 93 degree last day . one small criticism though , safe / strong box room hotel ' take responsibility valuable steal constantly hand camcorder dvd player lobby safe keeping . well safe sorry . this hotel ' compete Hiltons , Marriotts Hyatts standard furnishing fitting definitely worth $ 124 night . wife love shop Mag Mile apart Billy Goat Tavern ' find one singe bar pub . 
 may 29 2006 	 location good 	 look relatively inexpensive hotel right Miracle Mile , not care follow problem , choose hotel . disappoint . problem fix ... 1 . water come tap intermittent burst air.2 . water come shower cause injury . burst cheap , inoperable nozzle incredible rate . take completely water gush directly pipe wall improvement.3 . pop machine dispense cold soda , hot.4 . tv volume loud enough hear . 5 . guy door helpful.6 . concierge , knowledgable , nice well . seem irritated repeat . ' m sorry not feel like get wrong bus . I would not stay . Chicago awesome though - safe fun . 
 May 11 2006 	 bad western 	 stay BW Inn Chicago weekend April 29th , 2006 . firstly , location excellent , be . pay around $ 400 two night wish have pay stay somewhere nice . arrival ( around 3 pm quite early ) ask room city lake view first visit Chicago . search system little give room 1705 . go drop bag quick look view ... fire escape step much . go roof terrace lovely day ... close . decide go walk , way ask reception another room . on return check room situation , not move room allocate , & quot ; check morning & quot ; tell . , nothing do , guy ask room , told & quot ; 's fire escape , leave & quot ; guy say . first night awful , rowdy people party , get ice , etc . like door make balsa . great day great city return hotel late afternoon second day , guess , nothing do . second night even rowdier first , hellish . pay enjoy great city ! 
 Apr 17 2006 	 Location KEY 	 friend stay 3 night spring break . check Wednesday wait . girl front desk we one bed room , ask room available two bed say yes . surprise we , get corner room 3 window 21st floor ( second top ) ... view amazing ! room decently sized ( big enough we ) clean . good thing Best Western Inn Chicago locate literally middle everything . short half block walk Michigan Avenue , across Virgin Record Store Gap Guess . walk north south Michigan Avenue quick short stroll . everything nearby , would not stay anywhere else far location go . walk everywhere , not feel like walk ... definately make use cta public bus ( convenient ) ... ( go use bus , probably walk get tiresome ... go place around says & quot ; Checks Cashed & quot ; get cta bus subway pass , definately save lot money rather pay $ 2 way bus . make sure ask person card hold , find right one trip depend much use . ) also , subway ( ' l ' ) 3 block hotel , use shopping Wicker Lincoln park . l really lot easy figure think . overall , hotel 's location amazing . convenient able walk everywhere , literally . whether Michigan Ave . Navy Pier , walk not far we handle . hotel close , nice could stop hotel minute thing . , walk night fine ... feel safe lot people street ( even like 11 12 p.m. ) . 
 Mar 26 2006 	 Ideal budget minded ... 	 stay summer 2005 three night . downtown Chicago , incredibly well price . however , arrival obviously rather tired decor general need renovation hotel . 's location ideal , one block Michigan Avenue ( Magic Mile ) , concierge service helpful . stay middle heatwave air - con room struggle keep without make awful noise . room comfortable little well worn . on whole bad experience pay extra many nearby hotel look lot well . 
 Feb 2 2006 	 Great Hotel ! 	 cousin brother family wacation . ( be Norway ) stay Hotel 1 week two . , not stay hotel much , be much Chicago . , must say enjoed my / our stay . reccomend hotel everyone stayng chicago.- Christian . PS : apologize English poor ... pps : do not Pics hotel = ) 
 Jan 31 2006 	 find another hotel pay extra $ 	 location good , 's good thing say hotel . homeless beg outside main street door aggravate time . staff accommodate . tell Best western frequent traveler extra enthusiasm . receive breakfast coupon . room hallway small . room bad smell buy candle deodorize . all bad experience first trip Chicago . sorry say . spend extra $ stay Marriott street , seem worth extra expense . 
 Jan 23 2006 	 Acceptabe Hotel Great Location Horrible Service 	 check Best Western Inn Chicago January 22 , 2006 two night . hotel old appearance . find room small acceptable ( know be not statye Hyatt ) . problem hotel service . Monday night need access internet school . point web site , reservation , check mention get wireless high speed internet access 17th floor . tell hot spot wireless access lobby . problem solve right ? wrong . could get signal lobby . one behind front desk solution explain attendant check desk dilemma , say , quote , & quot ; do not know tell & quot ; . another employee suggest use dial phone line room . would good except 20 cent per minute charge thirty minute local number . ask phone charge could waive due lack hotel provide wireless internet access advertise , first attendant let little silly laugh , say . finally , frustration lack time argue , go top floor ( 22 ) sit floor hallway get signal . location price important 's bad hotel . expect courtesy front desk staff assist problem encounter , may want stay somewhere else . good location , acceptable hotel , poor service , mislead advertisement . 
 Dec 30 2005 	 great location great price great value 	 daughter want spend couple day Chicago Christmas break shop without spend fortune room . hotel meet expection . close Magnificant Mile great shopping within walk distance great restaurant subway . free trolley Navy Pier great perk well , could easily walk well . concierge desk helpful direction everyone helpful friendly . would definitely stay . 
 Dec 20 2005 	 Nice hotel ....................... 	 stay Inn Chicago 5 night mid October 2005 . staff good deal , overly friendly professional approach customer . room superb , have book two double huge spotlessly clean . however , check - out , vacate room 12 pm bring bag lobby . offer service mind bag bellhop ( guy blue jacket ) go lunch leave ' Hare 3 pm . enquire cost inform $ 40.00 thought little expensive lot bag could not bring we accept offer . collection ask organise cab airport , pay $ 40.00 another bellhop overly thankful insofar ask taxi fare . needless say penny drop felt rip . anyway , taxi pull outside door , gather bag go outside bellhop nearly break neck run we tell we not would order mini - van comfort . duly arrive load , & quot ; mini - van & quot ; small cab get airport 5 day early . arrival ' Hare ask fare driver neglect switch meter inform $ 50.00 . $ 10.00 fare 5 day beforehand . RIPPED . bottom line would stay hotel dealing bellhop leave bad taste mouth taint enjoyable stay . complain hotel arrival home acknowledge email , ' m still wait response hotel position experience . 
 Nov 30 2005 	 good western great surprise ! 	 pleasant surprise ! can not lie ... heard & quot ; Best Western & quot ; ... little bit worried . pleasantly surprised nice room excellent service receive secret gem hotel perfect location Michigan Avenue ! upon check - in , desk clerk could nicer ! upgrade corner room 19th floor assume large room . 2 double bed ( see photo ) , nice tv unit , table , 2 chair plenty space ! bathroom small adequate . ( photo ) lack counter space hook , bit difficult three us sharing room . I can not think well location . stay North Michigan Avenue , also near Wacker Bridge ... location central , really think good world . view two window great ! ( photo ) concierge helpful direction , suggestion , bus information , etc ! , front desk staff know lot info , ! would definitely stay Inn Chicago great rate get . 
 Nov 9 2005 	 Good Problems 	 spend three night . arrive 2 hour check time busy Sunday afternoon room ready . yes room small adequate . bathroom , also small , show sign revent renovation fine . shower water pressure excellent ! staff treat well concierge helpful . real drawback heating cool system . switch work well . fortunately weather nice problem . not think would want stay Summer . 
 Nov 5 2005 	 . . . nice 	 prime location . boyfriend almost pass think downtown . room clean comfy . ice machine right outside door hear everyone get ice . soda machine need fix , staff happily give refund . would definitely stay . little pricey ( ' m use stay small city ) worth . 
 Oct 28 2005 	 Funny ... 	 stay past , although room small , clean well keep hotel . call make reservation suite August 2006 , reservationist ask many people , say 2 , polietly ask bring area , say birthday . change tone , immediately say , & quot ; first let state & quot ; not allow party ...... say , oh , be nothing like , boyfriend ...... ( ' m 43 yrs . old ) geez .... , & quot ; oh nice , 's birthday , & quot ; be nice , 's nice room & quot ; .... right bat , & quot ; not allow party & quot ; pretty much instantly turn make reservation . even thought would look birthday package room special occassion package rate , think will look elsewhere . 
 Oct 12 2005 	 Location Location Location 	 let us get one thing straight . 5 star hotel , clean , fair price close everything ! sure minor room imperfection peel wallpaper loose tile bathroom , like see city budget , ! stay Chicago Marathon love . room decent size , basic amenity , friendly atmosphere . really enjoy fact everything close . Michigan Ave half block away , subway 4 block away . want close action , without pay mint , stay . want pamper , stay Drake Intercontinental . 
 Oct 5 2005 	 really sure ... 	 agree reviewer hotel wonderful location excellent price , not think nice ' feel ' . room small dark , tiny , dirty window peer , non - smoking room , bathroom always smell little like smoke . I really sure hotel Chicago , first time city ( absolutely love way ) would say two choice , Best Western Inn another , choose other . that say , can not fault location price . 
 Oct 2 2005 	 Perfect Location 	 husband recently stay Inn Chicago think perfect location . one block Miracle Mile shopping close walk south across river Art Institute Chicago . room 21st floor , corner room , excellent view city . room clean , comfortable people work helpful . drive parking lot conveniently locate one half block hotel . many restaurant choose . hotel continental breakfast $ 5.50 adequate . complaint wait get room . wait 1 hour room ready fail let we know ( sit lobby ) . rate great would stay . 
 oct 2 2005 	 Good Hotel 	 stay Sept 19th - 22nd love hotel , location ( N.Michigan Ave behind Guess ? jean ) .granted lobby look like something 70 's movie , check room tidy clean tad small ( hey explore downtown much time want spend hotel room ? ) .The staff helpful knowledgable , concierge great idea load voucher save we money thing like Hancock Sears Towers . do not try breakfast bar want eat hotel whole city wait tourist dollar ? ! ! - review , try Cambridge House accross road , great breakfast menu , eat 3 morning impress every time . and location great , able shopping 2mins leave hotel lobby walk distance everything city offer less - though walk mile 3 1/2 day ! ! want cheap hotel great area look far . only exception pan handler around area , much money around else would go get handout ? 
 Sep 21 2005 	 great location . right price . 	 never stay Best western , hesitant expect . pleasantly surprised superb location - one block Michigan Avenue within walk distance plenty great restaurant , bar shopping . especially like block west Blue Chicago , terrific nightclub live music every night . we reserve two room ( website ) upgrade ( without ask ! ) king suite corner face lake . not fancy room , clean well - appoint basic . one toilet break , fix instantly , without hassle . plenty cab available valet parking fast courteous . also , be no - frill coffee shop serve tasty breakfast right across street , fuel day enjoy Magnificent Mile . , $ 169 / night great choice would recommend . 
 Aug 29 2005 	 Great Location 	 stay early July . place good value inexpensive hotel first - rate location Magnificent Mile . downside room small slightly careworn feel , although clean efficiently maintain . staff conspicuously helpful . could pay lot Chicago without noticeably well . 
 Aug 26 2005 	 brilliant chicago hotel 	 10 min walk beach one way , 5 min shops downtown chicago offer direction.hotel typical good western , room standard issue , clean , generally exactly would expect.would stay 
 Aug 2 2005 	 take place 	 reserve & quot ; held & quot ; 2 room 3 night via good western Website , non - smoking , 2 queen bed per room . upon arrival tell room available smoking room , one single bed . it late not many option . take they . one room , one 1 bed , great view ventelation unit . room , ( 4th floor ) good crop mild grow combo bath / shower peel wallpaper bedroom . noisy under - window AC unit . day 2 get change room , satisfactory , AC unit much quieter . start 8:30 maid start knock door & quot ; Housekeeping ! & quot ; , day 3 hear knock , sound like come across hall , surprise maid enter room ( one we still get dress ) & quot ; oops , sorry ! & quot ; leave . last night & quot ; pet & quot ; room , think kill . could not find second stomp . other observation , good location , State Steet Michigan Avenue close . nice little exercise room 15th floor . the lobby carpet need clean ( shampooed ) , dark grimy . vacuum upon arrival , good place start . upon check , complain dirty , smoking room first night . knock $ 11 1st night 's rate . much compenation trouble . for breakfast , coffee shop across street , good . place nearby much well , like place across street Holiday Inn 2 block away . like sort thing , Duncan donut across street . 
 Jun 5 2005 	 Wow 	 book three room get suite top floor . space fantastic . seperate bedroom sink tub sit room wet bar . roof terrace beautiful . Chicago may windy city roof terrace sun shine without hint breeze get street level . check clerk concierge helpful around £ 80 per night treat like king . panoramic view suite great day & amp ; night . excellent location Navy Pier , Michigan Ave etc 
 May 21 2005 	 great Room Great Price 	 spend three night hotel please . room clean , comfortable , well - decorate . staff friendly knowledgeable . hotel locate area lot restaurant less block Michigan Avenue , close public transportation . would assuredly recommend hotel Chicago visitor . 
 May 19 2005 	 great location ... 	 location hotel great , room horrible . small , water pressure terrible , room temp go hot cold often could not sleep . good thing stay allow check early without problem . except little well good western hotel chain would stay visit chicago . 
 May 16 2005 	 Unhelpful Staff 	 stay 5 day end April hotel completely adequate need . good quality well look not book hotel mind . want somewhere cheap central exactly get . location perfect shop Magnificent Mile downtown easily reach brief walk . however , major problem hotel staff attitude . arrive 3 pm , check - in time . allow register tell return 3 pm pick key , fine . return desk 3 pm tell room ready return later . ask return say 30min . 40 min later return desk , room still ready housekeeping staff clean yet , although definitely deal . ask time would ready tell could not give time ! know exactly would ready control housekeeping clean room . tell 3 unhelpful staff suggest go walk , shopping , grab dinner etc . say come back hour ready . told return 2 hour later .... guess .... room still not ready say could not tell we exactly would ready tell we go shopping , grab dinner . say room available not know sure room would clean could not give we exact time return . 4 hour arrive watch plenty people check - in , completely fed mess around stood ground say not prepare put advise would find another hotel stay . suddenly room become available , one book , penthouse suite available ! end stay huge room much big need get room end although massive struggle . staff completely unhelpful , unfriendly , impolite unwilling smile , start complain suddenly start job . not liase rest trip not want risk repeat performance . hope well luck ! 
 Apr 18 2005 	 great value location clean 	 great value location . deluxe , great shape clean , new carpet everything fine working order . staff helpful knowledgable . lobby nice . location wonderful , 50year old typical Chicago coffee shop right across street , excellent breakfast restaurant block ( West Egg ) . not lot experience downtown hotel , compare price , place we fine . type hang hotel room , want central launch point see Chicago , want safe area , great value parking ( $ 26 / day , 1/2 block away ) , place . room real big , sufficient . Broadband wireless Internet start floor 11 , well - publicize fact . 
 Apr 12 2005 	 Perfect Location 	 family stay Inn Chicago many time continue . hotel oppulent , be clean comfortable , close Michigan Ave . etc . great italian restaurant block away call Volare , coffe shop right across street , Dunkin Donut acroos street . staff always courteous helpful , rate reasonable . outstanding feature though location . 
 Mar 19 2005 	 Pretty Darn Good . 	 pretty impressed hotel . definitely Ritz , hotel clean comfortable . wireless internet floor ( every floor wireless ) , helpful . think locate good spot be tourist . 's block Chicago River , right Michigan Ave . , close Rush Street shopping ... etc . Michigan Ave . the size room decent , bathroom bit small , adequate , bed fairly comfortable . if get good deal , be worth price . 
 Mar 8 2005 	 Nice Location Clean Rooms Friendly Staff 	 3 friend stay hotel March 5 - 7 , 2005 . get two room via Hotels , make choice base ( 1 ) review site ( 2 ) price . know know hotel , would make choice again . the location good - right downtown , near everything . hotel lobby room clean . staff friendly . area hotel locate not bad scary area . room average size ( tiny , apartment sized ) . bathroom small , adequate . 14th floor room opposite side hotel , view city . the subway station 4 - 5 block away , seem farth temperature drop wind pick . Dunkin donut Burrito Beach across one street , Cambridge House restaurant across . one review site say great thing Cambridge House -- be bad not want walk far service really fast , food really not anything brag . Timothy O'Tooles ( 2 block away ) good food drink , Rock Bottom Brewery not far away ( near subway , actually ) be pretty good . starbuck also nearby . 
 Feb 27 2005 	 Value money 	 BW Inn Chicago fantastic location Magnificent Mile . easy reach Ohare Airport 2 train , cost £ 1.00 take hour . hotel warm welcoming . room basic , comfortable , well clean day . concierge provide helpful information , persist , helpful other ( Robert helpful ) . not eat hotel , load fantastic place eat close hotel , cinema also round corner . can not beat hotel good value , must say not luxury hotel , be look luxury go elsewhere . 
 Feb 26 2005 	 Great Location -- Better Price ! 	 wonderful hotel stay Chicago . 's close Michigan Ave . ( literally half block ) nice cost room . ' ve stay several time past definitely stay future . lobby nice clean , room great also . 's nice hotel city , be definitely dive . thing not great bathroom little small .... much time spend bathroom anyway ? : - ) would recommend hotel family friend mine visit chicago . 
 Feb 16 2005 	 Good Value Tourist Hotel Super Location 	 ' inn Chicago ' be know 3 star tourist class hotel , locate East Ohio Street , less 1 minute 's walk Michigan Avenue - ' the Magnificent Mile ' Windy City . hotel 22 story high feature gym rooftop terrace . lobby area small somewhat shabby ; breakfast room / diner also decorate 1970 's style need update . room clean tastefully decorate air conditioning , tv , safe , iron . request room view , offer south face room 21st floor . view great , panorama feature Lake Michigan , Chicago River ( visible ) huge NBC Tower amongst other . my bathroom small although modernise , obviously do cheap many fitting well secure . water flow also poor always hot . toiletry provide worth use quality good . I participate breakfast first morning ( $ 5.50 ) , worth money thing offer 's unattractively lay small table lobby level diner . breakfast restaurant across street far appealling ! location extra star hotel 's rating shopper 's dream come true . be also stone 's throw tourist attraction Navy Pier , Lake Michigan Hancock Centre , will see well possible view City ( not think Sear 's Tower high view well ! ) . not miss Cheesecake Factory Hancock Centre visit - crack restaurant . date stay : feb 1st-3rd 2005 . 
 Jan 20 2005 	 Spot - on tourist hotel 	 boyfriend visit Chicago Boxing Day New Year 's Eve , 2004 . stay Best Western Inn Chicago throughout stay , pleased hotel . the hotel could refurbishment - lobby decor room promise , however , room clean comfortable perfect tourist - end day need hotel place sleep shower . the location hotel excellent - half block Magnificent Mile , still close enough walk Loop . perfect first - time visitor Chicago like we . my word warn anyone consider stay hotel avoid room next gym . gym hour 6:00 10:00 pm , wall quite thin sound treadmill unbearable try get sleep recover jet lag . apart would certainly stay hotel , reasonably - price tourist accomodation would say good Western Inn Chicago good bet . 
 Dec 22 2004 	 great location ! 	 although standard queen room small expect , comfortable , clean adequate stay . general , hotel old building appear refurbish well maintain . concierge helpful . mention go Walnut Room Field 's lunch , give we card present put we front line without wait . hotel also arrange fix taxi rate go airport less pay previously . get good deal Expedia would stay price . 
 Dec 21 2004 	 great location half block Michigan Avenue 	 hotel great location shopping half block Michigan avenue . although lobby bite dismal room good . the air conditioning give problem maintenance guy arrive within 5 minute reporting problem . I certainly would stay . 
 Dec 20 2004 	 second time stay . well first 	 2nd visit Chicago 2nd time ' ve stop Best Western . great hotel great location . argue place price . staff helpful , valet great stay pleasant . visit Chicago budget , go wrong . trust . .... problem place restaurant . rarely open time we BRits like eat . either catch breakfast early , decide go dinner , make sure eat 6 pm . Us pat like later , sedate affair . 
 Nov 17 2004 	 can not wait next stay 	 four night October 2004.an excellent location Mag Mile , 600 yard Red Line within reasonable walking distance downtown attraction . this luxury hotel competitively price standard location . contrary one reviewer 's opinion , find cleanliness maid service high order . staff polite request accommodate promptly . I , possible , stay hotel next visit Chicago . 
 Nov 4 2004 	 Graet Hotel 	 lot well inside look outside . staff helpful . perfect location . & quot ; Cambridge House & quot ; diner across road excellent . 
 Oct 17 2004 	 Great Location 	 Hotel great location , expect luxury . book non - smoking room . arrive non available . room strong tobacco smell , large clean . hotel see well day , look bit sad need love attention . stay day time , hotel fine . staff helpful friendly . 
 Sep 25 2004 	 excellent choice accomodation 	 Best Western Inn Chicago excellent choice . initially , upon enter room , seem bit dark cheesy , much like hotel England Ireland . however , get accostome room , realize bad thought . elevator bite slow , bed - sheet not fit well , minor inconvenience . afterall , elevator Marriott Marquis Times Square , Manhatten , take ten time long elevator . location - wise , not get much well hotel . across street 24 - hour convenience store , restaurant decent breakfast , excellent Burrito restaurant . take literally twenty second walk main shopping street . 's Walgreens 5 minute walk away , 's Internet Cafe neighbour Marriott hotel . ton restaurant East Ohio Street , add appeal hotel . Red Lobster , Rainforest Cafe other five - minute walk away hotel . the Bell - boy deserve special mention extremely efficient . also cab stand outside hotel almost always cab . hotel area far posh , be also far expensive . price pay seven night stay equivalent price quote nearby hotel two night . be look luxury , hotel . , want FABULOUS location excellent price , book confidence . 
 Sep 15 2004 	 fantastic location 	 location really superb . step away Magnificent Mile , handy everything want see . room comfortable perfectly fine need . two friend share , glad offer chance large room wait little check - not see original one would like , corner room presumably give we space . two thing worth mention : would read complaint slow elevator lack fit sheet site think people really go top point fault . wait full 10 minute elevator , sheet practically come bed night small not fit properly . however , neither would put stay hotel ! newsmaker restaurant / cafe , experience , fine quick breakfast lunch ( although shut , weirdly , 2 pm ) . bar not great , many exciting place go hotel bar be heart downtown Chicago . concierge staff helpful looking leave luggage , order taxi etc . would definitely come . 
 Sep 9 2004 	 Great Service 	 book online discounter great rate . worried would get basement room boiler , get corner room 12 . pretty large room ( large floor map elevator ) . yes , bathroom little small , go lot bed & amp ; breakfast home & amp ; ' ve travel lot Europe , believe , see bathroom way small this . it old hotel lobby small , elevator way small , location close & amp ; convenient many thing . close free trolley & amp ; bus stop well . can not imagine central location . the staff incredible . tell us bus catch , call museum we get Labor Day hour ( different publish ) . arrange transport airport we , come outside make sure get right cab , load luggage cab & amp ; refuse take tip . check 11 am & amp ; flight not leave 9 pm . hold luggage us day & amp ; refuse tip . the room update last year & amp ; find clean & amp ; tastefully decorate . bed comfy enough - usually hard time sleep hotel bed sleep like dead . a / c block curtain , prop something curtain keep billow & amp ; block cool air . Rooftop deck ok - nice view . one thing like - since pool , seem also kid . be child - free , nice kid run around hall & amp ; lobby . this mean luxury hotel , be certainly TravelLodge either . would stay heartbeat . 
 Aug 22 2004 	 Great Service ! 	 stay three night August . relief ! everyone sooooo friendly helpful never seem bothered answering & quot ; tourist & quot ; question . great location price beat . way ... Garretts popcorn Michigan Ave . place find staff rude point ugly 's patron . not go . popcorn stand town appreciate customer popcorn good well . 
 Jul 19 2004 	 Whattadump 	 can not believe other rate dump favorably ! remove toilet paper roll sit , small hotel bathroom ever see life . AC loud inneffective . elevator tiny slow ( end walk 12 flight stair rather wait another full elevator ) . * * * * * hair bathtub previous guest set tone 3 day stay . never , will tell agent put bridge rather BW Chicago . 
 Jul 13 2004 	 could not ask well location . 	 stay 6 night begin July . arrive lady reception little concerned room book small we 6 night upgrade we extra charge ! room clean spacious bathroom small . staff usually happy help able book discount boat trolley tour hotel . hotel perfect location tourists- everything need close hand . negative point- air conditioner little loud . 
 Jul 13 2004 	 Great Price Location 	 great location right Michigan Ave . price great . book directly hotel . el - train two block away . short enough distance walk luggage hotel . room small clean neat . friend book next door . everything expect . restaurant directly across street greasy - spoon . delicious place decorate tastefully ; place local go . eat breakfast Sunday morning . food serve we quickly , friendly efficient waitress . 
 Jul 7 2004 	 Central Location 	 arrive We d 1 P.M. able check right . room typical hotel room , 2dbl bed , armoire tv storage small suitcase , 3 drawer . room 7th floor decent view south . staff helpful answer question concern siteseee arrange van type cab take 7 people train station . location hotel great shopping Mich. Ave walk Navy Pier , hit beach . room hall recently renovate clean comfortable . patio area roof , 22nd floor , provide nice view surround area , include lake , NBC build Hancock Tower . coulple negative item exhaust fan bathroom , fit sheet bed . across street restaurant convience store . 
 Jun 29 2004 	 great hotel price LOCATION 	 stay past weekend say first time Chicago , best western great value location . ( $ 112 night ) . intent find place clean friendly , nothing fancy cater ...... nice place rest head day ........ Best Western Inn great . clean , bed average hotel comfort , hotel quiet staff helpful friendly . real side think people find room tad small bathroom . location awesome , right heart Magnificient Mile . restaurant across street & quot ; Cambridge House & quot ; perfect breakfast food fast , affordable importantly taste great . also anyone visit Chicago eat & quot ; Cheesecake Factory & quot ; ........ good cheescake good food ever taste ! ! yes 5 star fancy hotel , look friendly , clean , simple hotel that s affordable great location , great choice . 
 Jun 21 2004 	 thank Best Western Inn Chicago ! 	 last weekend one year anniversary first trip Chicago . good Western Inn Chicago upgrade we beautiful suite 22nd floor - completely unexpected ! room large , clean , quiet . beautiful view city Lake Michigan . wonderful observation deck well . centrally locate well within walking distance great restaurant , Miracle Mile , Navy Pier . staff friendly helpful . recommend Best Western Inn Chicago anyone want quality value . 
 Jun 21 2004 	 great hotel money 	 return 4 day Best Western Inn Chicago . over - analyze review website prior booking , concern put rest moment arrive . yes suite , bathroom elevator small - old hotel . service excellent , hotel clean , location beat ! step Magnificent Mile , Navy Pier , restaurant , theatre , shopping ... would recommend hotel family friend , definitely stay return beautiful city ! 
 Jun 20 2004 	 love hotel city Chicago ! 	 husband return Chicago . town three night stay Best Western . first , great location . love able walk everywhere . extremely close Navy Pier . hotel staff friendly helpful . 16th floor . second , city Chicago amazing -- everyone friendly -- love trip ! walk John Hancock building hotel . would absolutely stay . 
 Jun 3 2004 	 Great Value ! 	 husband return Best Western Inn think excellent value . $ 105 per night , Memorial Holiday weekend , think room clean , nicely decorate excellent location . room small side , bathroom , perfect hotel want stay nice , well locate hotel save money shop dining ! across street Cambridge House restaurant , great place breakfast head day . also convenience store across street Dunkin ' donut Baskin Robbins next door . 
 May 27 2004 	 Good Price - Great Location 	 hotel great price perfect location . short visually interesting walk shopping , dine Navy Pier . staff helpful friendly , although front desk seem understaffed . 3rd floor although room small clean sufficient one two people . upper floor much nice room date . complaint : extremely slow elevator - could wait five minute one ; stairway dark little creepy use ; noise room hallway could hear clearly inside room - could hear neighbour 's conversation clearly room ; ice pop machine every floor would definitely advantage - especially since elevator slow stairway creepy ! overall hotel good price would stay . 
 may 20 2004 	 Mixed Review May 2004 stay 	 property positive negative . on plus side , location wonderful , 1/2 block Michigan Ave , 2 block Wrigley Building 1 mile walk entrance Navy Pier . floor 21 22 well appoint clean . room 2112 clean , yet small . room service arrive quickly tasty , staff friendly . lastly , wonderful terrace 22nd floor bring lunch , drink , etc enjoy city skyline day night ( open 10 pm ) . negative side , remind Best western . water pressure low , wait bellman front desk person understaffe . my bathroom small , large enough 1 person . addition window room open , fresh air problem . floor 3 - 20 need renovating floor look clean . 3 elevator small , public area hot ( fresh air circulation ) , exterior building wonderful need good power washing , ice machine every floor , noise hallway room problem . if stay , request room away follow : ice soda machine , elevator entrance terrace 22nd floor . bottom line , pay $ 105 per night king room small , yet well appoint . budget hotel , location important good shower , long stay 21 22nd floor value wonderful . if however need service stay floor 3 - 20 , would suggest look Courtyard Marriott Red Roof Inn , equally good location look refreshing clean . property own Shell Hospitality , website states property renovate 2003 , floor 21 22 , see renovation look new . 
 Feb 27 2004 	 average 	 husband , daughter stay B.W . inn Chicago FEb . 20th 3 night . travel agent stay many hotel year . read review book pleased hotel . people state staff property helpful courtious . deluxe room , tastefully do , bathroom small , small ! ! little shelf put makeup bag . price location nice hotel would definately stay . 
 Feb 26 2004 	 Best Value Prime Location 	 hotel plush Drake Four Seasons , 's prime location , Magnificant Mile . build quite old ( 1930 's ) , renovate charming quality . room small average , bathroom . room great view surround cityscape . nice little coffee shop lobby , well cozy little bar . White Hen convenience store accross street , nice , affordable family - style restraunt next door . location beat . Michigan Avenue step away go west , lakefront Navy Pier block east . area surronde fabulous restraunt course , good shopping WORLD . hotel quite clean , service average , price could beat . use AAA card discount room rate . stay 20 hotel around city year . price location , hotel good value city . 
 Jan 19 2004 	 pleasant stay weekend trip 
 Jan 7 2004 	 service amazing 
 Dec 30 2003 	 Excellent ! little small 
 Oct 27 2003 	 wonderful experience 
 Sep 30 2003 	 Fabulous hotel / Excellent location 
 Sep 16 2003 	 great location decor price ! 
 Jul 28 2003 	 great service 
 Mar 10 2003 	 bathroom ? 
 Sep 29 2002 	 try will love ! ! ! 
 Jun 27 2002 	 Excellent Location 
 Oct 28 2009 	 en plein centre de chicago 
 Oct 16 2009 	 excellent 
 Jul 29 2009 	 Un hotel comodo 
 Mar 3 2009 	 ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? 
 Feb 8 2009 	 ? ? ? ? ? 
 Nov 20 2008 	 hotel assez bien - en travaux - mais sans room service - bien placé 
