wow 	 great hotel ! stay wife one night , get great deal hotel . amazing location , great staff . bed amazing pool gym also stack many machine great view work . hotel staff helpful , wife forget pair jean mail back we free . ' ve never see much effort staff . can not wait stay . 
 Jun 9 2008 	 hotel amazing even least expensive room spectacular 	 even though hotel still construction , besides work hotel drive area , notice noise construction traffic . reception area modern Trump , soon step sedan immediately treat & quot ; royalty . & quot ; bag swooped room key quickly distribute . we Deluxe King City View room 23rd floor . believe small cheap room . soon open room door , blow away . view city unprecedented , every detail room upgrade even compare luxury hotel . bathroom huge , deep soak tub lay adjacent rain showerhead shower area enclose semi - frameless glass door . even flat SCREEN tv bathroom MIRROR ! room amazing ! simply Spectacular ! wife also try Trump Spa , book 90 minute Trump Massages . good massage ever receive . highly recommend Trump Massage . arrive little early enjoy spa amenity relax lounge area . the location also perfect , right downtown block well shopping Chicago . I highly recommend hotel hope rate go much construction finish come back next trip Chicago . 
 Jun 9 2008 	 awesome 	 check check treat like Donald himself . visit Chicago weekend April . weather perfect hotel could well . get upgrade suite look river lake . still build upper floor would know unless look . spa great experience . pool shower alone worth short elevator ride . sixteen good meal long time . highly suggest taste menu . worth every penny . 
 Jun 2 2008 	 Crisp Modern Reasuringly Nonpretentious huge ROOMS ! 	 book room Chicago Trump Valentine 's Day . hotel not officially open yet , score great rate grand deluxe 1 - bedroom suite . honest really want hate hotel , upon night 's stay admit instantly competitive Chicago ' fine five - star property . lobby small , check - in quite pleasant . readily available employee everywhere look , nonintrusive time . Decor pleasant- minimalist modern , everywhere look panoramic view Chicago skyline , river lake Michigan . Suite HUGE . 1,000 + SQ foot , could entertain 60 - 70 easily . floor ceiling window fabulous view ( see pix ) great full kitchen everything ' need make five - star meal ( actually offer in - room chef service ) . recommend Sixteen ReBar view food compete fine dining establishment well hotel bar . ' wait Sixteen ' patio open summer 2009 . 
 may 27 2008 	 hope high end Trump Hotel 	 husband stay Trump 5th wedding anniversary past weekend . high expectation , however many meet base rating hotel . live suburb Chicago well travel . Pro 's : location fabulous ; especially Chicago walk everything cab ride short prefer take one . the room gorgeous ! bed one good ' ve ever stay mini - full kitchen great heating leave over next day . find amenity well think well appoint . plus touch like framed photo room chic homey time . you never find well bathrobe life . accommodate bike drive bike event keep safely near security office . problem . the Con 's : book elaborate vip spa package ; massage 6/10 quality ( subjective , ' m sure ) fancy bath draw we could cook lobster hot . run ice cold water 5 minute straight make manageable - $ 550 treatment , not expect draw bath . disappointing . the service ... cool . one rude impolite , mention stay 2 night deluxe room 5 year anniversary despite want know special reason stay booked room , nothing information . tout level service , disappointed effort make go beyond . faulty charge room little apologize compensate we catch $ 160 error . overall , will not run back spend kind cash facility . restaurant Sixteen stunning , although dine . excitement Trump facility leave something desire , expect high class hotel . 
 May 27 2008 	 definitely back 	 Stayed Tump Tower holiday weekend . travel husband 8 month old son . absolutely love property - room spacious kitchenette indispensable travel young child . staff extremely accommodate especially restaurant Sixteen . whether town business pleasure , stay give property 's perfect location , spacious room excellent service . 
 May 27 2008 	 Perfect child ! 	 return weekend stay 2 year old 10th wedding anniversary . hotel perfect luxury accomodation would expect . complimentary champagne chocolate strawberry wait we room . hotel staff completely attentive every little detail cover come child . room equip real crib , diaper genie , high chair , baby bath product ( include rubber ducky ) stuff animal keep . us adult , extra large suite allow we space travel toddler . pool great also swim diaper baby toy . restaurant gorgeous completely accomodating . little cosmetic disadvantage construction still go street noise completely filter worth . perfect stay complaint . 
 May 20 2008 	 Great Hotel Weak Service 	 great new hotel Chicago , first time . say room big nice interior hotel service really lack . expect five star hotel , staff friendly reason alot staff do not know basic information anything . good part stay though concierge book us restaurant close 4 month , really funny get place nothing . otherwise really good stay , hope service improve . 
 May 20 2008 	 good hotel Chicago ? 	 stay great hotel surpise review good . room huge great view . service excellent . summarise , really wonderfull hotel equal standard 4 season . 
 May 19 2008 	 pretty great 	 incredible stay week . the hotel almost complete construction absolutely beautiful . upon check request book adjoining room . we show room be not adjoining . we even ask desk confirm still be not correct . however bellman professional offer we sit room offer make we coffee wait desk find correct room . the room locate simply perfect . the room modern HUGE.They mini sub zero miele dishwasher ( sure anyone need , great ) room also sup easy espresso machine quick cup morning . the bathroom awesome favorite part . the typical tv mirror see upscale hotel day ( finally put one home ) shower bathtub side side behind glass wall . the lighting drape control electonically easy operate . the flat screen tv do not work maintenence dept . come directly new tv efficient quick installation . the staff well train always greet & quot ; welcome back & quot ; time return . I book massage bit disappointed . a female always another female show around spa . with mind , check massage nice man show door lady locker room go away . I alone locker do not robe locker get completely dress go back desk ask get robe . it little eerie locker completely alone nobody around . ater mediocre massage show back door locker room . when walk back shower weave around group people give tour spa , group business people suit . those people get massage understand look treatment . I feel uncomfortable . do not know maybe that s I . the hotel amazing will not disappoint . go soon stay book year round surely . 
 Apr 18 2008 	 Place Awesome ! 	 stay Chicao 's new luxury hotel March , absolutely blow away . huge Donald Trump fan , sketical moment walk lobby , know place special . although 93 story building yet complete , Hotel open , occupie bottom ( complete ) 30 floor . from staff check , 600 + sqft standard room , everything first class way ... ever see Sub - Zero mini - fridge ? fine italian furniture , Bose CD player nightstand , IPOD doc , flat screen TV 's , include one bathroom mirror ! also full kitchen Milet stove , dishwasher , even plate , fork , knife ... standard room ! view river , lake nothing short spectacular , frequent visitor Chicago , say authority hotel Chicago view like , upscale hotel modern ammentitie one ... mention room huge ! rate still low consider , construction complete 2009 , definitely feel like get great deal , even though still pay $ 300 night ... rate suppose go $ 500 night soon , make sure take advantage Chicago 's new gem , good location city ! 
 Apr 15 2008 	 amazing experience ! 	 pleasure staying weekend April - week training outside Chicago . truly enjoyable experience . stay double room kichen ( inc dishwasher , fridge freezer , coffee machine etc ) 27th floor overlook river . view spectacular room spacious . room facility include large bathroom ( inc tv mirror ) , luxurious bathrobe , Plasma tv , iPod docking station , comfortable bed , desk stationery supply , beautiful interior design . customer service hotel excellent . overall staff friendly , approachable professional . would recommend visit spa 14th floor enjoy Trump Classic Massage . also restaurant ' 16 ' 16th floor serve delicious food ( samplie menu recommend ) wonderful view . 
 Mar 25 2008 		 opportunity stay trump evening 9th Feburary . 17th floor standard room . room layout great several people room celebrate Niece 's birthday . King Size bed sleeper sofa . everyone spend night one point 5 grow woman 2 toddler room never felt cramp . 2 burner electric stove along dishwasher sub zero mini fridge . bathroom well soak tub world . television recess mirror view tub . bathroom amenite top notch . offer slipper umbrella hall closet closet bedroom huge hotel standard . the bed comfortable even sofa bed bad . room flat screen tv huge dresser double buffet serve guest . awsome array serve piece kitchenette . staff wonderful , laughed never open door . staff well train show pride work . think everyone encounter really enjoy job . sense pride work great hotel . the drawback find wall flat paint little one touch wall leave print . also kichen area flat paint people reheat food cook could future problem . pan truely gourmet oil huge sticking factor . the room child friendly place , TRUMP move object art high location . we back .... splurge little go one bedroom suite . get full huge bedroom , 2 bathroom full kitchen living room . 
 Mar 18 2008 	 take advantage amazing value last ! 	 live downtown Chicago decide mini - getaway Trump price roughly half construction finish want experience . standard room generously proportion ( 650 sq . ft . ) . came equip large flat panel HDTV flat panel tv build bathroom mirror - cool little feature . room also kitchenette Sub Zero mini fridge , full size Miele dishwasher , 2 burner Miele cook top , microwave , cookware , utensil service item need . fridge nicely furnish , attentive staff customize whatever food beverage like . room nicely lay king size bed sofa sleeper . wireless internet local call include price . robe plush trump slipper good touch . bathroom nicely appoint high quality toiletry , unique granite shower / tub combo rain shower head waterfall spout tub ( big enough lounge good view in - mirror tv ) . furnishing decor room throughout hotel high quality . modern dark wood unique fixture . room 's iPod docking station , cd player / dvd player , good selection tv station ( even Fox Sports delight british husband ) . will even bring X Box would like . 24th floor never hear construction noise . even though hotel still soft open , staff superb . friendly , gracious go way help . trump obviously value service ... seem every corner turn encounter training session . 's clear staff proud hotel quick give tour point unique feature . stay 3 year old son . family - orient hotel , every single staff member go way make we feel welcome accommodate need . loan strollers baby item think . end first day every staff member run seem greet son name . concierge fountain knowledge . give we dining recommendation fulfil specific criterion perfect . , rest staff , enthusiastically greet we name first introduction . restaurant ( Sixteen ) open . adjoin nightclub Re - bar not open yet , bar set serve 's plenty seating . Chicago native tell -- view restaurant / bar not get well . beautiful outdoor veranda circle - around balcony . fabulous view lake , river nearby historic architecture . really well plan . practically feel like be sit tower Wrigley building . food service restaurant live expectation fine dining experience . chandelier amazing , space breathtaking . we fortunate enough opening fitness center ( spa open yet ) . fitness center terrific plenty equipment include treadmill , elliptical , spinning room , studio class , yoga mat , etc . floor ceiling view skyline , river lake . locker room experience . , staff go way accommodate highlight feature . pool real treat . open -- unique privilege able say first people swim Trump Tower Chicago . serene setting , nicely appoint , , floor - to - ceiling view . sure glitch roll , try hard compensate . strange situation 3 wine opener row break use ( door man immediately come upstairs personal wine opener guest problem ) . another downfall outrageous room service pricing . be beyond Chicago luxury standard -- even beyond New York standard . feel compel order $ 26 cheeseburger , see could possibly justify price . alas , plain , ordinary burger ... even big side . quality room service dining acceptable , great . price restaurant typical 5 star hotel , much reasonable room service . overall , great place . hope maintain standard attention service guest arrive . no - brainer -- go price low , be truly first rate experience . compare 5 star ' ve stay like Palace NY , Phoenician Four Seasons ( place love ) , actually seem take luxury step . 
 Jan 26 2008 	 treat like Trump 	 love large sized room ! will come back ! 
 Nov 24 2009 	 splendido 
 Aug 15 2008 	 Ottimo hotel ottima posizione 
