great 	 look around internet find package deal hotel ~ $ 200 4 night stay 3 night 6 free buffet . stay monorail end place end nice offering every table game want , never leave ! 
 absolutely stunning 	 Hilton Grand Vacation Club Las Vegas Strip 2650 Las Vegas Blvd . absolutely breathtaking . stay 4 night 5 day . hotel strip 10 - 15 minute car drive center strip , depend traffic , course . hotel walk distance Sahara , Riviera , Circus - Circus , Stratosphere hotel . would recommend walk heart strip hotel . ' far . the deuce bus take strip unlimited times $ 7 day simply rental car work well . monorail pick across street Sahara Hotel . station locate back hotel casino . they build humongous hotel ( Vdara Hotel Spa ) mall across street may take complete . handy CVS locate right next door McDonalds , Subway , Nathan ' Pizza locate Circus - Cirucs Hotel . Parking- parking structure short trek back hotel $ 5 ( $ 13 day ) valet parking relax hotel lobby car arrive . regular parking $ 8 per day . Bathroom- Kohler toilet sink elegant baltic green granite countertop tile shower plenty room 2 . stay Tower 2 slightly new tower tower 1 . find difference 2 tower tower 1 jet tub bathroom tower 2 soaker tub balcony . Kitchen- well design raise full outlay , cherry kitchen cabinet rich , elegant light - colored baltic green granite countertop . full kitchen full size refrigerator , oven , microwave , washer/ dryer combo , dishwasher , coffee maker , blender , toaster standard . , Kohler kitchen sink appliance make Cuisinart . room- 1 - bedroom suite separate king - size bed , connect bathroom via slide door . bed extremely comfortable room large tv , lounge chair , full size mirror attach back door . live room- comfortable sofa lounge chair flat screen tv . sofa double full size bed also comfortable kid adult too . dine room- beautiful glass table 4 chair . Desk- laptop nook also nice high speed internet suppose complimentary simply suck . never really get strong connection never could surf internet . even bring ethernet cable nothing . girl front desk tell work add datum port also agree high - speed wireless internet great . there big 24 - hour fitness gym free weight , treadmill elliptical . also 24 - hour game room pool table , big screen tv , table tennis . also starbuck coffee shop small convenience store first floor 
 Apr 1 2007 	 Wonderful 	 stay week March 20 - 27 , 2007 . beautiful well maintain property . locate north end strip , halfway Sahara Riviera / Circus Circus . clean property , casino , bar , club like . check fast . room beautiful clean . tower 2 one bedroom unit , separate bedroom living room , full kitchen necessity long stay . common area well decorate comfortable . beautiful swimming pool ( actually several pool ) fully operational time , nice poolside bar ( wave ) serve nicefood drink . ample secure parking ( free ) , direct key card access hotel behind . market place nice place buy anything snack , food grocery , even cup starbuck coffee . staff every corner go friendly greet genuine smile . housekeeping efficient appear well organize . hotel offer valet parking , deuce ( bus ) stop right infront property . taxi line infront time . close monorail stop Sahara hotel , less 5 minute stroll street . walk hotel stroll strip time , even late 1am . overall , nice hotel , great location wonderful service . return . 
 Mar 30 2007 	 great ! 	 stay week Feb. 2007 hardly wait go back ! one small problem housekeeping servicing room quickly take care . 23rd floor never stay quiet hotel . awesome . way get bed strapped top car would steal ! comfortable . little kitchen area great well laundry facility . parking problem get main street easy . can not believe good price receive . dislike timeshare ever consider one would . hope keep great service value . 
 Mar 27 2007 	 Heck Hilton 	 stay 3/23 3/26 great stay . go behalf Hilton property sale presentation , bad experience , actually purchase vacation club hour & quot ; negotiating & quot ; . presentation high pressure , express level interest , confident presentation would last approx . 90 minute . property : nice pool outside bar serve typical lunch menu drink think good service fair price . room nice , large flat screen , comfy bed lot furniture , full kitchen . also large bathroom big walk - in shower . downstairs nice marketplace serve several kind food meal day , include package alcohol , soda pop , water , juice , Starbucks coffee . huge fitness room , activity room pool table , tvs , etc . also spa visit . parking convenient free , easy on / off access onto Las Vegas Blvd ( Strip ) . overall , great experience owner Hilton , certainly back many time . unsure property , please email issue may will honestly answer . book trip enjoy Vegas ! ! 
 Mar 16 2007 	 Awesome Hotel 	 stay Hotel March 9th thru 13th . hotel clean staff friendly . we arrive Vegas around noon , problem check early . short walk Sarah Monorail , make convenent go hotel hotel . make reservation Hilton website . Hotel never try get we go timeshare presentation . 
 Mar 15 2007 	 nice - we will back 	 purchase 2 - night package attend sale presentation . love property room feel comfortable . gambler , enjoy non - casino atmosphere relax not people wander time could get pool wear bathing suit without go casino large lobby . tower 2 , new tower , room great . bed comfortable . little market / deli nice expensive . seem work kink service busy breakfast lunch time . pool great , lot room lounge chair . pool bar / snack bar close seasonally , would like return open . agree previous reviewer shuttle Hilton would nice . Transportation Strip convenient though , deuce bus taxi . will definitely back . 
 Mar 14 2007 	 Superior Service 	 stay tastefully decorate clean one bedroom suite & quot ; Tower One & quot ; March 9 - 13 impressed staff service entire stay . start Laura , pleasant check , always greate smile good morning / afternoon / evening staff encounter . valet always prompt courteous bell hop / doorman look truely enjoy job , greet everyone assist anyone need question . stand , think , James , bartender poolside cafe , Waves . meet we first time , never forget name anyone else always friendly conversation patron . even busy time , James always friendly smile keen sense awareness customer need . see parking lot way work Monday give we smile , wave Good Morning wife name ask we stop , course . even room attendent ask everything satisfaction see we exit room first time . , can not say enough quality staff encounter stay , truely impressed . customer service almost 25 year appreciate take find train right people think fit company culture management Hilton property certainly do . 
 Mar 4 2007 	 Vegas Oasis 	 book Hilton website surprisingly one hotel available . President 's Day weekend NBA All - Star Game Las Vegas jam . it nice hotel without casino little remove action even though long walk . leave car lot behind hotel walk , fast try drive Strip . this hotel excellent , well - appoint quiet room decent view . large flat - screen tv bonus . clean quiet friendly staff good marketplace downstair snack coffee reasonable price . game room gym excellent condition . for long weekend Las Vegas pay reasonable price pay park attend timeshare presentation . we excellent dinner Mon Ami Gabi Paris casino . great food professional service much quieter atmosphere . 
 Mar 1 2007 	 lovely hotel ! ! 	 get awesome rate $ 350 - taxis include .. 2 weekend nite , 2bedroom suite attend timeshare presentation .. soon walk room , shock beautiful room ... everything brand new ... walk shower , jacuzzi tub , open kitchen , washer / dryer , dishwasher . , wood grain cabinet .. recess lighting .. granite countertop ... wow ! ! wish apartment ! ! location : far north end strip , next circus circus , dump ... lil south stratosphere ... 's quiet location do not want middle action , car get ceasar 's palace not big deal .. could drive little action , park spend rest day walk around .. park free vegas , parking hotel back hotel . $ 15 per day car plus tax .. worth 4 guy group ... one thing use gym ... belong regular gym surprised get good work hotel gym .. lot weight machine treadmill .. overall , could stay cheaply , would .. doubt since attend 2 hr presentation ... 
 Feb 15 2007 	 Great Value ! 	 spend last 4 day journey Vegas . rate reasonable . $ 129 Friday & amp ; Saturday , & amp ; 99 Sunday & amp ; Monday . consider Bally 's charge $ 270 - deal . property gorgeous . time share - ' ve stay time share hassle death . buying timeshare never mention property . front desk staff helpful & amp ; friendly . room simply beautiful . view strip breathtaking . property pretty new . say build parking garage construction accross street - might - not hear construction . bus & amp ; trolley stop every 9 minute right outside getting & amp ; strip pretty effortless . actually place might consider buy . travel lot buisness & amp ; pleasure - one nice property ' ve ever stay . beware cab driver . place close airport - driver work commisson . talk cabdriver take airport ( first day ) charge $ 15 . friend leave Friday charge $ 35 . notorious rip tourist . take shuttle airport around $ 5 . buy roundtrip ticket $ 10 . buy arrive airport . be easy . duece , bus run & amp ; strip ( freemont st . ) 24 hour day . get 24hr . pass $ 5 . walk strip impossible . map look close together - 's . bus good way . come every 9 minute great deal . much well walking & amp ; far cheap take taxi 's anywhere . three Hiltons vegas . make sure clear everyone go Grand Vacations . two Hilton 's nice ( customer service AWFUL - stop . ) small complaint Grand Vacations check , front desk clerk nice not say thank . dissapointing do perfectly moment . assume - overall staff excellent . laundry facility , many room washer / dryer . store little expensive really bad need staple . room refridgerator could see would come handy small child . also huge workout room & amp ; rec room pool table . great pool . I strongly recommend property . go Vegas usually twice year . , will not stay anywhere else . definately good value Vegas ! ! 
 Jan 30 2007 	 Quiet Hotel away Chaos ! 	 pleasantly surprised stay Grand Vacations Club . price pay , expect much low standard accommodation , least hotel bad area . contrary , room one nice hilton room stay , hotel convenient location strip . book hilton.com not even sit presentation ! good thing hotel small not noisy , smoky casino . northern part strip , still accessible hotel . take we 5 - 10mins walk circus circus 15 - 20mins Wynn . fridge , tea / coffee make facility , toaster microwave room , marketplace downstairs plenty cereal , microwave meal , deli meal e.t.c . also free fitness centre swimming pool . hotel everything ever need vegas hotel ! definitely stay future trip . 
 Jan 18 2007 	 absolutely fantastic ! can not wait go ! 	 husband return recently fantastic stay Hilton Grand Vacation Club Las Vegas Strip . wonderful comfortable place . time share owner another property exchange one week stay . must say read previoius positive review , certainly agreement . stay Tower 2 ( new ... less year old ) could not ask . 1br unit large quite comfortable . unit beautifully decorate amenity one could ask . read previous review , lead believe small food market property extremely expensive . absolutely standpoint . Grant , item bit average grocery store , expect . ideal small breakfast item even tasty sandwich . drawback ( ' m certain one ) , walk close casino , Riviera Sahara . ( ' m count Circus Circus really close one ) . 's bus call Deuce go strip downtown way Luxor north end . be $ 2.00 way $ 5.00 24 hr pass . stop bit away front entrance Hilton . we receive morning USA Today day never push attend 2 - 3 hr time share presentation . ask politely decline . complaint would Hilton could least complimentary shuttle run Grand Vacation site Hilton Hotel & amp ; Casino . one could walk , not . would think Hilton family would want keep money one casino , versus guest take money elsewhere . wonderful time , ( despite fact go extremely cold spell Las Vegas ... 20 's , 30 's & amp ; 40 degree temp ) definitely plan return . 
 Jan 15 2007 	 Loved Hilton 	 contact telemarke group offer stay 2 night $ 271 . already plan trip month take advantage . tell would need listen time share presentation . Hilton Grand Vacations strip , near Stratosphere . casino 's inside . oool , lounge room pool table , couch , tv . fitness room next lounge . 1st floor also store & amp ; attach deli / bakery . get coffee , pizza , grocery , cake many thing . room studio suite 28th floor . view strip . room nice . bed totally comfy ! loved bed . flat screen tv DVD player also room , along mini kitchenette area . minor maintenance issue take care quickly . cab easy get $ 5.50 shuttle airport . would stay . 
 Jan 14 2007 	 Good Choice ! 	 buy Hilton package ( $ 151.00 ) two night Vegas year ago - finally make dec . 26th 2006 . attend 2 hour timeshare presentation - sale lady nice pushy . although , be little main strip - 's well do inside . one room suite . love ! ! nice family room Plasma tv , Bose dvd / sound system build entertainment center . granite countertop kitchen , Bed comfortable soak tub bedroom . bathroom nice glass shower . pleasant helpful staff . highly recommend ! 
 Dec 28 2006 	 great place stay 	 accomodation expectation Las Vegas . enjoy roomy two bedroom , two bath , full kitchen , livingroom - diningroom combo unit , flat screen plasma , surround sound . enjoy accomodation include casino come along . resort clean well manage . security problem . would highly recommend stay . 
 Dec 24 2006 	 Good 	 HGVC always provide great product - northern stop monorail - pool facility fine . half hour away action . 
 Dec 14 2006 	 excellent hotel 	 nice two room suite . nice kitchen . nice large tv bose dvd / sound system build entertainment center . bed comfortable jacuzzi bedroom . bathroom nice glass shower . hotel nice gym beautifull pool spa area . 
 Dec 2 2006 	 top spot none casino hassle 	 wife hate think stay casino hotel perfect option . long flight Australia , painless check appreciate , Staff friendly helpful , overall facility would expect location although north end strip mean fair bit walk taxi ride , be near monorail another option . room great king bed nice roomy we tall people . would go back blink ! 
 Nov 25 2006 	 Nice Property 	 husband one - bedroom suite . room big not use living room space . hotel bite away main strip nice not get lot traffic . get around easy , 's trolley stop right outside hotel . enjoy pool staff really helpful . need get show / restaurant , would well reserve cab advance will never get time . 
 Nov 20 2006 	 lovely 	 good bed ever sleep , really do not want leave ! book king studio room 3 night cost $ 87 thursday $ 111 friday Saturday night . room also plasma tv , microwave , coffee maker , free starbuck coffee , fridge , blender , cutlery crockery . arrive really early morning hotel staff allow we check 5 am extra fee , staff friendly . hotel face Sahara next Circus Circus . take 20 - 30 min walk busy part strip Aladdin/ Paris/ Ballys use bus $ 2 single ride $ 5 daily pass . would definitely stay . 
 Nov 8 2006 	 Beautiful New Hotel Spectacular Rooms 	 contact property attend Grand Vacations Club timeshare sale presentation , return would get deluxe 1 bedroom suite Strip 3 night $ 160 night . wonderful thing hotel , great thing , give place 2 thumb . negative : hardly ! north end strip seedy Stratosphere seedy Circus Circus , end strip catch rest good area right middle action . next , would like bathrobe room , bath towel barely cover 2 year old daughter . 3rd , sale presentation suppose 90 minute , stick 3 hour change , 2 year old daughter . 4th , room demand movie . next , ' m stickler soft sheet , scratchy side . wireless internet go 16 hour , charge $ 14.00 use business center computer . the positive : everything else ! pool splashpad great . big screen tv pool table lounge free . free wireless internet access . extensive cable tv channel , incude several kid channel , MTV , 3 HBO channel . full kitchen granite counter , washer / dryer , stove , microwave , every utensil appliance would need . huge soak tub seperate glass enclose shower . 2 tv 's . everything clean comfy . staff helpful nice . Marketplace Deli bottom floor like convenience store / pizzeria / coffee shop / whatever , find everything aspirin frozen food ready eat hot food wine . also section order deli sandwich fry food like chicken strip . price pretty good consider Vegas hotel normally pay quadruple 's worth . sale presentation free food drink area set continental breakfast , type beverage want . alot hotel jot minute , overall exceptionally impressed , especially size room amenity offer . basically quiet respite usual craziness noise associate Las Vegas , definitely recommend stay get deal . 
 Oct 31 2006 	 love resort ! 	 beautiful resort right end strip ( Stratosphere ) . new beautifully decorate spotlessly clean . staff warm friendly . HGVC member already , buy another week . really close major casino casino resort . nice give nice break hustle bustle smoke , yet still close action . definitely stay . 
 Oct 28 2006 	 terriffic 	 Five we stay two bedroom unit family get together love everything place . bed super comfortable unit everything need . pool spa beautiful . remind lovely resort Hawaii . two party massage spa say great . valet parking $ 6 day strip bus stop right front . bad thing walk long way cross street Sahara monorail stop locate . not try jaywalk , traffic move pretty fast far strip hear several story steep fine catch jaywalking . resort surround construction never problem . bad eventually sell timeshare . 
 Oct 18 2006 	 Loved Hilton Grand Vacations Strip 	 return first visit Las Vegas . never go neither gambling glitz appeal . however , Las Vegas much offer , anyone visit tell . people want clean , large , beautiful room , hotel lovely pool , plenty peace quiet come back rest hustle excitement rest strip , perfect place ! stay Tower 1 . room large suite . everything new , decoration tasteful . jacuzzi tub excellent shower . perfectly quiet we . room washer / dryer , detergent provide . maid clean room wash dish every day . unlike many & quot ; apartment like & quot ; place , much full service hotel . deli hotel , adequate selection snack food . course , many restaurant nearby well . worried hotel would mob family ( two adult , kid ) problem . concierge front desk extremely professional helpful . 
 Oct 15 2006 	 casino ! 	 well appoint modern . stay ' new tower ' ( tower 2 ) quiet aircon system large plasma tv . the hotel N end strip casino , shop - 's hotel . self - parking . make access much easy , especially lot bag . good value $ 283 inc tax Saturday & amp ; Sunday night via expedia.com 
 oct 12 2006 	 Wonderful Families / no Casino 	 husband business Vegas , want stay Casino / Hotel work book child . book room Hilton ' w website well advance . AAA discount 1 bedroom King Suite $ 101 / night . casino , non - smoking much room perfect two child hang Dad work . it locate North end Strip nearly across Sahara . far enough away glitter debauchery Vegas comfortable two small child . north mile great child 's museum natural history museum ( homeschooler , heaven ) Valet parking $ 6 self - park behind build . 's tricky valet rope . tip : pull Hilton immediately bear right . follow drive turn first opportunity go left . park first rows area handicap entrance ( need key card ) right front . Marketplace , gameroom , gym elevator spa ground level . we arrive around noon check - in pleasant . tower 2 4th floor . quiet week , weekend elevator near get bit noisy use . still big problem -- night sleep white - noise machine not matter much . the area lay square divided fourth . one fourth kitchen . one fourth living room . one fourth master bedroom one fourth bathroom . place huge . enter suite full kitchen full size appliance , excellent assortment dish utensil washer / dryer combo . great kid previous 5 day tour AZ & amp ; NV . work desk high speed internet hook - up , must check cable not one . dial isp charge $ 1 room call unless dial 1 - 800 number . there seat 4 dining table livingroom pullout sofabe , upholstered chair , flatscreen tv , dvd player chest drawer , endtable lamp . sofabe difficult set . pull akward way really strain back pull fully . rather hard . 7 year old want know not soft one night Embassy Suite Flagstaff , AZ . two little child not weigh much fine . might uncomfortable adult several night . plenty big enough sleep two adult teen also . comfortabley fit 7 4 year old room spare . the tv take time figure . turn manually first , push & quot ; TV & quot ; button remote switch channel . kitchen great kid . save ton money go grocery store minute away cooking dinner . flat - top stove heat right temperature , frig full size could hold milk soda , etc . sink huge not drain , disposal clog repair . the king bed comfortable hate leave . pillow fluffy drape unbelievable . not think ' ve ever see drape dark . great child sleep 9 10 gosh darn dark room . open really surprise see daylight . great . bedroom large chest drawer , tv ( flatscreen ) , two end table , chair huge garden tub . first drain plug bring we one . later night go take bath , cold water handle seem strip could turn water . manage turn main valve behind tub wall maintence could fix next day . the bathroom huge walk tile shower , long vanity Crab Tree & amp ; Evelyn toiletry hairdryer . complaint enough towel rack . new one roll cubbie hole beautiful sink , tough find place hang towel four people night . drape tub shower . toilet one small rack well shower door . . water also take bit heat , , boy , , scald hot . the cleaning staff pleasant . even though policy book state room would get clean every third fourth day , come home fresh towel , make bed wash dish day . even little pizza stain bed sheet cover hide , next day notice go . evidently strip bed . my husband 's work keep long expect try get additional night add stay . already book 3 night need fourth . first tell room available . speak one manager could give we room $ 189 -- go rate -- online could check re - check back around $ 132 . second night manager ( Thanks Bob ) agree since already guest book several day , give we rate $ 139 extra night . check - out husband produce two work order tub disposal expect get little take bill . instead get 4 coupon worth $ 4.95 Marketplace . husband hurry get airport would go back complain . 2 liter Coke cost $ 3.09 , coupon $ 4.95 market idea discount tub sink work first 24 hour . end get 3 breakfast sandwich bag Chips A - Hoy cookie coupon . wanted & quot ; real world & quot ; discount , coupon outrageously overprice food . $ 20 bill would make happy . felt gip , tight schedule little time discuss matter . big gripe . everything else superb . I highly recommend hotel anyone child , anyone want relax away glitter Strip anyone want true non - smoking hotel without casino . not want pay $ 189 / night , book early join AAA . $ 50 + pay make saving room night . 
 oct 2 2006 	 rough checkin worth 	 sister stay Sept. 16 - 20 , 2006 . owner HGVC home resort hgcv @ Flamingo . last minute trip sadly availability Flamingo location . want give property try since open since short trip vs. usual week long trip decide give go . complaint move room nearly twice getting reserve . ask smoking room room send we clearly mark non - smoking . call front desk send bellman key direction next room . go 2 floor room also mark non - smoking . call front desk put hold explain floor recently re - designate smoking floor not take sign yet . leave wonder case original floor assign . really minor inconvenience cause ill will . wow ! ! beautiful room . one bedroom plus unit 31st floor new tower 2 face Las Vegas Blvd . ' m still clear make unit & quot ; plus & quot ; unit nevertheless amazing . contain full kitchen appliance , dish , pot pan , utensil work . also stack washer / dryer pantry cabinet . living room contain fold sofa comfortable sit , easy chair , plasma tv ( 52 & quot ; ? ) , bose theatre surround sound . dining area open living area kitchen area nice . bedroom king size bed comfortable mattress , full dresser , large tv easy chair . side bedroom large jacuzzi tub full closet safe . bathroom pretty great lighting . shower multiple shower head , good pressure instant hot water . large vanity top drawer nook store bathroom item . rent unit nightly basis member HGVC receive housekeeping service unexpected . do full week stay receive housekeeping service middle stay . not problem barely room anyway not cook make mess clean . comment housekeeping say room spotless check in . the front desk staff polite checking checking . use one hot tub first evening nice . never use pool . possibly complaint minor complaint also line deli / convenience store morning ridiculous . learn pick muffin breakfast evening avoid morning rush . may need help morning . time day problem . give choice , would still prefer stay Flamingo HGVC location property really beautiful . 
 Sep 24 2006 	 great family 	 two family stay two night . pro : clean well keep . attentive staff esp leave tip housekeeper . market store lobby good . absolutely pressure buy time share . probably good family small kid want stay away casino scene expose kid crowd . end get studio attach one bedroom become two bedroom door openne they . con : noise construction next door big deal except pool . swimming pool shallow enough small kid split half . instead large pool , two small one . overall , great place stay kid would definitely consider . 
 Sep 12 2006 	 Fantastic ! outstanding ! 	 many review already say - property beautiful . stay studio king room large expect , mini bar , microwave , fridge , eat utensil , coffee maker ( Starbucks drip coffee provide ) , even blender mix cocktail , etc . ! bathroom towel fluffy soft love Crabtree & amp ; Evelyn toiletry ! love fact casino hotel make location extremely relaxing without constant & quot ; hum & quot ; machine heavy smoke . truly resort feel . staff extremely pleasant helpful , contrary review , hound attend timeshare presentation . however , certainly impressed location decide look ownership , would here . we stay 3 night especially like get morning go hot tub / pool area morning coffee snack . also quick lunch Nascar Cafe Sahara spend time afternoon relax swim pool enjoy bar pool ( Bloody Marys absolute BEST would ever - asparagus spear nice touich . ) next time visit will definitely stay HGV Strip , will stop little & quot ; grocery & quot ; shop stock water , beer , wine , snack , etc . keep room . deli market perfect quick bite , buy snack item every day add up . later afternoon would walk across street monorail station Sahara ride way south end strip MGM station start & quot ; casino hopping & quot ; make way back . take time spend HOURS strip - gamble bit , drank bit , see Jubilee ! , eat restaurant , shopped , drank , listen excellent hotel band , etc . , etc . ! ready hop back monorail available 3 pm weekend , return quiet resort . hotel we well - close enough rowdy , glitzy part strip , far enough get away relax . ( hint : buy 10 ride pass monorail make cost $ 3.50 ride . monorail MUCH fast get south end strip bus stop several time along way ) review really get way long - 's hard convery wonderful - husband really love highly recommend couple family - especially not want stay casino . PS - hotel even offer free laundry room would great stay studio not stack washer / dryer . 
 Sep 8 2006 	 fantastic room 	 specifically want stay non - gambling hotel . therefore expectation would rather average compare gambling hotel . pleasantly surprised , especially rate pay . room newly complete Tower Two . never see luxurious hotel kitchenette . huge , modern oven fridge , microwave , coffee maker even kettle tea lover , dishwasher , lovely worktop surface also conceal washing machine dryer – mod con . live area ample flat screen tv good sound system . bedroom low partition wall behind lovely , luxurious bathtub two . bathroom spacious clean modern double shower . deli basement floor buy basic food , sandwich , salad Starbucks coffee etc . weekend stay , fine , bit shame in - house restaurant long stay . also observe big fitness centre lounge pool table . hotel also business room ground level . particular Hilton Vacations Club ( three Vegas ) locate strip , within walk distance well - know hotel . however , frequent shuttle bus / trolley ( charge small fare , change available - pay exact fare ) pick hotel take strip stop main hotel . also problem whatsoever get taxi airport leave – one summon immediately , even though apparently 500 guest check morning read reviews taxi ' could hard come . hurry , also express checkout option drop room key . flexible give we additional hour check - out even though expect big intake people evening . highly recommend hotel , especially Tower Two . 
 Aug 31 2006 	 bad 	 understand people choose go timeshare route look like . location good ( away casino traffic ) bad ( far casino action ) . accommodation facility new shiny . service calm friendly . valet parking could improve driver busy time . restaurant , pricey little food store provide food fix crave later evening . pool welcome relief 100 - degree heat . nice workout room . kitchen suite well equip . loved washer dryer room . everybody great family friend stay together . 
 Aug 25 2006 	 would make ` ` regular '' hotel Vegas 	 great hotel non - gaming adult . enjoy flat screen tv , mini kitchen granite countertop . pretty good location - north end strip Circus Stratosphere . avoid noise , kid ( although family ) 2 mile hike lobby many hotel strip offer . full disclosure negative impression : 1 1/2 restaurant . one pool ( nice , btw ) convenience store type restaurant downstairs . fine dining option and/or lot variety dining . 1 true negative hotel . , mean could & quot ; live & quot ; hotel . compel venture out . self - park limit - force pay daily valet charge ( $ 6 ) . personally experience , clear room outnumber parking space . still , think great hotel good price observe couple alternative hotel would tempt away . 
 Aug 20 2006 	 perfect family 	 love hotel . stay one bedroom suite . three room . suite roomy well keep . staff super friendly we . kid love pool . nice little strip quiet night kid ' nap . would definitely recommend property family , especially one little kid . fabulous time . 
 Aug 19 2006 	 need work 	 arrive last night , August 18,2006 . one bedroom suite furnish decorate nicely clean . staff friendly polite . however : check slow . first could not find name , find , clerk dissapeare several minute without excuse apologize leeave we stand there . the wide screen tv operate though BOSE system not know 's impossible turn t.v .. . technicain come show we say well 100 time & quot ; working & quot ; guide ? ? hard would put note tv ? desk clerk could inform we upon check in . there high Speed internet WIFI room need password HI SPEED call downstairs obtain . , provide upon check note internet information . still try get WIFI configure . the nicely appoint bathroom interesting light fixture : turn light put switch turn put switch up.you know phone button valet can not call ahead order car . button nothing- course nobody advise we ahead time . also - most place charge valet parking - it be $ 6.00 -we use parking lot . not sure this - we may something wrong - but appear way enter hotel parking lot without walk way around buiding . there another Hilton property ( near hotel Star Trek experience - name escape ) stayed make trip order compare two . I would buy timeshare unless free . simply comparison two except maybe furnishing . choose right , would waste money . investment hardly worth it . if can not get small thing right , know big thing already get problem . opportunity make first impression - they not measure . grant one day in - but truly would like leave morning . 
 Aug 17 2006 	 Walk Mile Eat ? ? 	 true restaurant , tell walk & quot ; two block & quot ; strip across Stardust Casino good restaurant , own hotel . distance really half mile , base rent car odometer door door -- lie . meal require least one mile round trip foot , unless settle sandwich hotel . good hotel restuarant locate near restaurant ? good book . also , plumbing issue , wake - up call system fail . 
 Jul 18 2006 	 Excellent stay 	 spend two night HGV Club Strip . overall stay good . room : come business get rate $ 79 week , $ 103 Friday night . colleague ( status ) get upgrade , Tower 2 ( new tower ) . room nice , bit small , fridge , microwave , sink plate , cup , etc . Diamond , receive upgrade 2 - room suite jacuzzi tub full kitchen Tower 1 . amenity : pool spectacular ( bunch pool hot tub well ) . workout room outstanding -- lot equipment plasma tv everywhere . also game room pool table ( not go ) . 's store / cafe property lot stuff ( albeit expensive ) , could get sandwich , beer , wine , salad , breakfast , etc . open midnight . also room service option . location : might guess , 's ton construction go around area . nevere bother night morning . however , pool around 9 , bit noisy . lot family , also lot young girl run around tiny short . nice mix . : ) be pretty far north Strip , area fine otherwise . hhonor Benefit ( Diamond ) : aside room upgrade , give slip paper check tell bring welcome desk . give $ 10 cetificate could use breakfast Marketplace downstairs . could use get item ( get big bottle water , egg / sausage / cheese mcmuffin , chocolate chip muffin ) . surprised first night , turndown service leave robe , two bottle water , box chocolate truffle room . quite nice . nothing second night , though . overall , place great . casino , classy . HHonors Diamond , treat quite well . would stay easily . 
 Jul 17 2006 	 look like picture suprise new 	 husband stay HGV strip week July love . bring 2 year old son whole trip wonderful . impressed quality room look well picture comfortable . sleep one night couch bed watch movie comfortable bedroom bed . decorate classy wonderful linen . bar pool serve food nice . marketplace store outrageously price expect . one great thing stay wash clothe room go home clean laundry . rental car walk Sahara , Riviera Circus Circus gaming HGV . stay hopeful stay HIlton Grand Vacations nice . 
 Jul 12 2006 	 thumb ! 	 stay three bedroom unit overlook strip . unit nicely furnish tastefuly decorate . pillow comforters bed , plasma TV 's two room , well equipped kitchen . valet prompt curteous , front desk staff helpful . pool area clean plenty chair towel . kid great time play volleyball pool , great time enjoy pool area crowd . location hotel terrific want thick casino scene . enjoy able take short drive major casino 's show leave crowd behind time go night . also plus walk casino get pool , also walk walk walk finally arrive pool free chair .... ( uh MGM Grand ) . construction go next Hilton not bother we tower two right next . complaint difficult work TV / DVD / stereo world complicate remote . electronic equipment top notch , really could use user manual sort . twice manage make tv stop work call engineering help we . thankfully fast able get tv go little challenge . would definately stay property ever go Las Vegas future . 
 Jul 9 2006 	 Great Facility BAD SERVICE 	 Let first start say property beautiful . look brand new pretty much . pool pretty 3 - 4 hot tub . always chair pooll somewhere , adult would reccomend sit hottuib , less quiet many child . one bad thing pool lot kid stay splash relaxing . life gaurd help look like sleep half time . bad part . check Sunday around 5:00pm , second people line 5 employee help people take we half hour get help . get counter find room reuqeste promise available . want new wing tell go . tell would get view Strip do not move . another person complain rude inconsiderate , ask another guest get huge beer employee tell well get free patient , imply not . then new room tv remote be not work call get fix noone ever come , point complain manager give we free buffet property ( be not good say least ) .I would not ask people front desk help people RUDE ! ! ask check flight do not want 24 hour advance want wait another house , anyony fly southwest know assign seating check 24 hour exactly get well lady do not want hear , wound pay almost $ 15.00 use print computer ! ! ! good thing casino be not anything tempt . also 2 dfferent free shuttle , car do not use see often . good place kid smoke free common area . 
 Jun 19 2006 	 Perfect family little one 	 look non - smoking , casinoless , easy , easy , spacious , clean , friendly staffed atmosphere , stay . go 4 night kid love . low sightseeing ambition relax hotel part . kid content play pool time . many area swim four hot tub . tv every room , accomodate kitchen , comfortable crib , easy use high chair , friendly staff . not wander casino swimsuit thousand see try find pool ( MGM , Mirage , Circus Circus , etc . set like ) . easy hotel . forget something , run room less minute get . every family young one need relax vacation . 
 Jun 14 2006 	 Hilton Grand Vacations - Good Business Trips 	 LocationOn Karen Avenue / Paradise Road couple ( parallel ) block Circus Circus / Sahara . far Stratosphere although substantial hike New York , New York downtown . handy convention centre . although Las Vegas Hilton easy spot , Grand Vacations tuck behind one multi - story car park serve hotel . major construction take place close hotel although disturb time ( 10 pm 6 am couple night ) .facilitie / RoomsThis resort hotel ( requirement company policy folk ) gear different , mainly business , market . room standard business size fridge , microwave , toaster , coffee facility enough pot / pan / cutlery need limit amount self catering . room clean well present afford nice view sunrise mountain . come Eastern Time , will probably catch ! hotel nice pool area , overwhelming , look good order . provide free outside grill happen pack sausage . hotel deli / shop immediate need restaurant facility . definately free lunch ( free breakfast ) here . very small business centre ( one pc , minimum $ 5 charge ) free wi - fi . serviceno queue desk good sevice - request quiet room away elevator , ice machine conctruction meet minimum fuss . PriceI pay $ 80 per night company travel web site . overallno complaint , provide price right , would use . 
