Nice 	 room nice could not fault room service / bellboy staff . however Reception hotel spa staff unfriendly unhelpful . plan get marry Las Vegas , day wedding , ask Spa make - up tell do not bridal make - up hotel ? decide go book hair salon appointment anyway ( Salon staff friendly professional ) staff ask want make - up do aswell . spa staff tell do not ? getting marry , least five message leave hotel we , never recieve , reception tell we pass message ! good friend try buy bottle champayne we go room , meet unhelpful attitude say ' do not ' ' ! check - out ask use day room , receptionist tell we hotel offer service could pay $ 30 day pass spa . refuse pay quite enough room rate . this first hotel come across allow use day room . 
 Extravagant 	 Pros - huge flat screen , tv 's bathroom , nice deep tub w / salt crystal , room service ... top line . great food hotel . quality show & amp ; gambling . con - Slow drain standup shower . $ 14 internet per day . $ 25 way cab ride Las Vegas Convention Center . 
 Nice Hotel end bad note 	 travel TheHotel friend weekend getaway . use Centurion American Express travel service utilize Fine Hotels resort program . upon checkin , tell amenity FHR program , include 4pm checkout , tell would . stay nice , free breakfast nice , last day service fall floor . leave city 12:00 , friend stay watch game check . 2:00 could get room , call front desk get let , send security guard let . guard stay watch friend pack , tell could stay guarantee 4pm check . much hotel charge , part FHR program , say extremely disappointed . cater high consumer , deliver exceptional service , . 
 Nov 27 2008 	 Perfect romantic Getaway 	 15th November - 7 night - THEsuiteMe Boyfriend back week THEhotel , Las Vegas . I fault anything hotel . moment pull entrance hotel time leave hotel treat like royalty . member staff friendly helpful . the room huge , 17th floor overlook strip ( view Luxor Hotel ) would recommend try get floor 23rd Floor get well view strip . absolutely love huge tub - sit top bath shoulder also sink vanity . whenever leave room come back room clean perfection - can not understand people complain housekeeping service perfect . bed comfortable bed ' ve ever sleep ( travel agent - travel alot stay many hotel ) .Room service cheap enough absolutely delicious always arrive ask . public area hotel also resort spotless clean flawless . if one thing bad would say hotel would location - quite far walk middle strip apart THEhotel perfect . recommend hotel client , family friend . get go Las Vegas definitely stay . 
 Nov 26 2008 	 Service need improvement ! 	 stay hotel 3 night . ambiance , presentation lobby area ( smell like vanilla ) friendly professional staff catch attention . room huge even though book think standard room . get suite full bath ( love huge tub bath product ) 3/4 bath . bedroom living room good size decor tasteful . friend accidentally turn ' do disturb ' light . fault since go show night work perfectly . phone housekeeping tell someone would right . intermission go room way leave . stop lobby inform front desk tell would send someone . get back night one came end sleep dirty sheet . phone two time next morning receive stack fresh towel . receive well service motel . definitely would stay unless price reasonable . 
 Nov 24 2008 	 Robbed ! ! ! 	 want warn think stay . leave room , double check door , turn & quot ; disturb & quot ; light . return , room ransack $ 3,000 stuff go include laptop camera . door force open . explanation inside job . mandalay Bay reimburse loss even investigation show one people . will not even reimburse room . I would stay away value thing . 
 Nov 22 2008 	 Disappointing 	 third stay expectation meet . it be service , stupid ! cut corner everywhere . 5 night although call every night turndown , come twice . last time go , always robe . ask . take 60 minute delivery . shameful . complain complimentary newspaper . say would ask . order room service food come fast newspaper , 50 minute . they call we 7am tell us newspaper outside door despite & quot ; disturb sign & quot ; . part & quot ; disturb & quot ; understand ? bad feature maintenance department re - engineer air conditioner system revert 72 degree 4 hour desire . always return hot room also wake sweat . I understand slow economic environment suppose solid 4 star synonymous service . fail big time . 
 Nov 18 2008 	 good option u get good deal 	 overall pretty decent hotel . would certainly recommend other enjoy stay . my complaint would pool area total let ..... romantic break pool area least romantic place earth . basically noisy meat market find quiet corner virtually impossible ! return Las Vegas would prefer stay somewhere relax pool area future ...... would overlook hotel option generally please room hotel general . 
 Nov 17 2008 	 remain Coolest Hotel Las Vegas 	 Excellent ! ! ! five half star . fun restaurant , great nightclub . good staff around . transportation arrange room overprice unsavory . will throw party , er , mean stay . 
 Nov 17 2008 	 Best Hotel ' ve stayed 	 offset impressed hotel . we arrive underground Valet entrance greet two welcome porter take case reception area we . check slow , due number traveller arrive time ( recognise flight ) . receptionist helpful keen inform we happen around ' the Strip ' , give we book map etc . our room impressive , especially compare average Brit chain hotel . immediately right front door door lead ' half bath ' ( sink toilet ) directly front ' living room part suite . living room desk , 3 seater sofa , friend could sprawl comfortably , massive sit chair , flat screen plasma tv.the bedroom spacious , two queen size bed , double wardrobe , another flat screen plasma tv.leading bedroom bathroom , deep bath , massive shower , another toilet , fully THEHotel 's brand moisturiser soap / shapoo etc - beautiful . floor ceiling window look strip make night time worth look forward , especially 19th floor . the facilite available site include THECafe , THEStore ( great , reasonable food & amp ; toiletry drink room ) . casino adjoining Mandalay Bay , expect 's part hotel ? ? part Mandalay Bay mean restauraunt ( include awesome italian - must ) cafe 's . Shark Reef reasonably price various package include marine life cuddly toy photo . the pool exlusive guest hotel ( & amp ; Mandalay Bay ) access grant presenting room key card , clean , also beachside cafe 's shop , forget newly open beachside Casino . mall attach hotel Luxor also full Las Vegas glitz glamour include really nice store . Mandalay Bay also offer free shuttle take to / from Luxor Excalabur run almost day . the negative point far end Strip wlake certain hotel maybe bit difficult , overall , hotel totally amazing , can not wait go back . fact ' ve already book go back 2009 . 
 Nov 16 2008 	 Hotel Kids Family Adventure Vegas 	 stay Hotel 5 day , 4 night M - F conference . upon arrival , staff friendly helpful get we situated room . located 18th floor NE tower , enjoy view Luxor McCarran Airfield . room large spacious , however dial house keep due dirty linen ( ball mat hair like ) , lovely efficient member housekeeping 1/2 hour , even turn bed we . ( NOTE call housekeeping , sure turn disturb sign housekeep one . ) kid bed , organize snack area . living room provide & quot ; wet bar & quot ; 2 regular glass , 2 wine glass , ice bucket , tray & quot ; snacks & quot ; .... expensive snack . fill ice bucket use keep beverage cold ( bring small container milk stay cold nice treat breakfast . ) bedroom & amp ; live room area feature floor ceiling window , dim light blackout curtain . morning , kid enjoy enormous bath along favorite PBS NICK friend ( tv bath , well phone digital scale ) . bath sample include body balm , shampoo , cond , bath salt , shoe polish , shower cap , mend kit , bath soap hand soap . extra half bath plus . dining : never eat Hotel . Luxor food court ( accessible follow Mandalay Place walkway turn L towards Starbucks ... McDonald 's . also several other Nathan 's Hot Dogs , smoothie place believe ) Excalibur buffet average . carve Station , Mexican , asian , Fruits , Desserts , Salad . one night kid dolphin .. food court include McD 's Krispy Kream , Quiznos , chinese place ( good standard ) side buffet away main area . Food Court locate next MGM ( North ) Wendy 's Subway & amp ; various other . activity : Monorail baby . kid groove thing .. free ( train 1 stop LUXOR , train 2 express Excalibur . ) Excalibur : arcade low level pay play . NYNY Roller coaster : something like $ 14 person , kid content sit food court watch go by . Rain forest cafe @ MGM lot toy tinker , aquarium , animate animal , food ( bit pricey ) Lion Habitat @ MGM Lions switch 3:30 -4:30 wise believe 's 9a-9p deal . walk gift shop via tunnel habitat . trainer play encourage activity . think go every day . cost : free . M & amp ; store : North MGM 10 min walk maybe . 4 floor melt mouth goodness . floor 3 walk & quot ; production factory & quot ; , movie . lots stuff buy . cost : free . tidbit : need drink , med , toiletry , Walgreens past & amp ; store . go day . local color & quot ; adult entertainment vendor & quot ; pass advertisement dark . also may folk walkway ask handout , be surprised . with little planning creativity , kid never notice : & quot ; sin & quot ; & quot ; Sin City & quot ; ! = 0 ) 
 Nov 15 2008 	 one good .... 	 previously work travel industry 10 year little worried early review Hotel . I say one good hotel stay , everything check - in check - out excellent . arrive check , Saturday afternoon greet nice smell sweet fragrance seem fill whole lobby . give detail receptionist go away check room clean ready use , minute come back confirm ok . smooth , Room ninth floor corner suite . key work first time ( annoy many floor key not activate ) . open door plesantly surprised size room . room contain separate lounge bedroom good size bathroom . the view brilliant bedroom could see various hotel strip mountain lounge view airport Mandalay bay . maid come clean room every day , leave fresh towel daily maid always greet everytime pass corridor . the hotel not casino link hotel short walk Mandalay bay gambling table sport book need . hotel locate end strip next Mandalay Bay luxor , bit walk strip nice see little sunlight walk breakfast belly . also get tram Mandalay bay strip . stay hotel , need take vist mix lounge 64th floor . view amazing worth extra dollar drink . all would recommend hotel anyone las vegas friend wed 10 people stay hotel no - one could find complaint . I hope help 
 Nov 15 2008 	 love room pool 	 stay four night nov.7 - 11th surprise 40th husband . awesome , service , room pool awesome . south strip easy get around . take tram free Excalaper street NY NY . rental car well , valet free every hotel . highly recommend hotel . get $ 170 night priceline . bid . weekend go rate $ 400 night . great rate . 
 Nov 13 2008 	 THEHotel ... ` ` '' pretty good 	 stay THEHotel celebrate friend 's birthday , along large number friend . prior arrive hear terrible first - hand report try change reservation Four Seasons , party THEMix not feel like stagger extra foot FS . glad stay . service excellent . treat well every level , valet , front desk , spa housekeeping server manager THEMix . suite spotless well - keep , though room quite small exception bathroom . notice bit extra noise wall , argue couple next door . late checkout ( 4 pm ) free breakfast AmEx well spa credit . service themix good , even large group , food tasty well - prepare . view wonderful lounge area . played bit mandalay casino enough notice . get rook one taxi driver - trip airport $ 22 , trip back $ 6 . oh well . I would stay , anything Strip . 
 Nov 8 2008 	 well option Vegas 	 & quot ; hotel & quot ; not bad expect .. moth room . first day guy come room check mini bar ( not arrive ? ) - rang buzzer enter immediately without give time ask come back later - dress run room tell door get . even every light room dark - get place want trendy like able read , makeup full light . also , internet cost $ 15 day , gym cost $ 20 day , convenience store grossly overprice ( $ 10 travel size Advil ) . first two basic hotel amenity day . want quick workout pay $ 20 . plus side , staff nice . 
 Nov 6 2008 	 Perfection 	 TheHotel wonderful . suite impeccable , spacious tastefully decorate . massive full bathroom perfect size one person get ready night . although pool area extremely crowd 's great people watching oddly relax . go rooftop bar / club , Mix , Wednesday night pretty empty . fortunately bartender bring we free drink able snag table outside -- far good view Strip . ' ve Vegas one time can not imagine stay anywhere else go back . 
 Nov 5 2008 	 always perfect we ! 	 third time stay TheHotel . come Las Vegas every year husband birthday June past 7 year . actually visit Las Vegas 13 total time . stay almost every hotel strip . LOVE THEHOTEL ! room beautiful ( especially price ) staff always friendly helpful . always make dinner reservation we anywhere wan na go , even another hotel . restaurant great love Mix . ( view strip amazing ) back January New Years Eve ! ! 
 Nov 1 2008 	 quality escape ... 	 second visit overall satisfactory . standard suites configuration provide good size lounge , visitor restroom , separate bedroom sit area large bathroom . floor ceiling window give great view ( course much light come room inevitably appear dark ) . furnishing service good . wide variety guest visit Las Vegas mean corridor even tranquil tower THEhotel get noisy twice sit lounge area room . pool quite walk away Mandalay Bay hotel .. prepare long walk desanitise odour air conditioning casino get Mandalay Bay ground floor access beach . fun place massive wave pool , prepare scamble seat . 
 Oct 31 2008 	 Fabulous Hotel ! ! 	 Hotel fantastic . location brilliant bottom strip drop first airport arrival . staff friendly helpful although check double room availiable despite booking . however give room 35th floor overlook entire strip . view amazing twin room two kingsize bed anyway really matter allocate request room type . the hotel modern , room amazing hotel amenetie great . many restaurant bar choose ... almost much choice ! ! eat buffett breakfast massive selection food reasonable price , also eat mix top hotel fantastic , service staff 5 star . go ask window seat , view amazing . restaurant also club keep food receipt do not pay get in . the hotel great swimming pool ( vote good Vegas 2006 ) lazy river & amp ; wave pool . great fun weekend pack struggle get sun lounger . adult pool pay even hotel guest , $ 50 man $ 10 woman bother . stick main pool much fun people watch diving wave pool . hotel connect Luxor Excalibur , walk get free monorail . also great shop price either Vegas . I would recommend Hotel anyone head Vegas , love would certainly book go back . 
 Oct 30 2008 	 wall could thick price low 	 Stayed Mandalay Bay last week , 20th - 25th October 2008 . fault room . 33rd floor great view across rear Las Vegas little bit strip . House keep good although every morning 9 am would knock door ask want room service . hang disturb sign ( actually say & quot ; relaxing & quot ; whatever mean ha ha ) moan wall thin . group girl next door think one get drunk maybe thing go far cos get back room next morning thought room . hotel phone go 2.30am follow room service bang door . need march band corridor night would complete . however really pi * * ed price drink bar . could buy bottle wine New York New York price glass wine Mandalay Bay . bottle well quality wine . Mandalay Bay great amenity shame not control pricing bit well , would get people . policy can not keep riff raff cos place crawl . 
 Oct 29 2008 	 Hooray Hooray Hotel Mandalay 	 every big hotel Vegas surprise hotel get mixed review , absolutely love it . initially slightly put end strip location proximity airport , soon realise girl wear heel will cabbe anyway can not hear plane either . again - hotel Vegas plenty restaurant ( favourite Raffles ) variety budget taste . ton entertainment bar well - 2 day could barely scratch tip mb offer . pool main draw - although personally find main pool crowd noisy . however lovely pool set main pool much quieter relax . could even put chair pool read book bonus temperature soar 107.The bedroom large airy facility require . lovely bath , huge shower plenty big fluffy towel ( must ) . staff hand 24 hour day nothing seem much trouble . loved floor ceiling window also like able watch plane come land take . 
 Oct 28 2008 	 Sophisticated Resort Dusty Room 	 stay Hotel 3 night October 2008 , despite issue room , great time resort . second time stay Hotel ( first May 2007 ) . recent stay , definitely notice lot wear tear room - upon arrival dusty room clearly not clean use . desk chair break well door sink . feel hotel service so / so arrive ( bell service take hour & amp ; force wait room receive bag ) . would recommend traveler skip bell service stick waiting room - leave bag be . issue resolve though & amp ; enjoy stay . on whole , love apartment feel room & amp ; separate living room & amp ; extra bathroom . bathroom luxury way & amp ; three tv room ( bathroom , bedroom & amp ; living room ) . like living room , especially meet w/ friend go . absolutely love Mandalay Bay . everyone friendly & amp ; service , despite small issue , excellent . term gamble , casino nice & amp ; hotel attract sophisticated crowd late 20 / early 30 . find & quot ; fratastic & quot ; element . sport book cool well . , course , hook Starbucks & amp ; love one hotel . as shopping , go Caesars - 's much mandalay . also skip House Blues breakfast - great . like 24 hour restaurant basic lunch & amp ; late night snack - great variety & amp ; good service . the pool recently redo & amp ; definitely feel like walk amusement park / Wally World - check turnstile , food court , etc . rent cabana & amp ; think worth , especially shade & amp ; tv . West Lagoon area though , definitely place - exceptionally tame . would recommend get cabana either East Lagoon Beach - much people watch & amp ; fun . the conceirge service excellent - use book reservation . save us lot hassle & amp ; make trip much well . all , give Hotel b+ . 
 Oct 27 2008 	 do not stay Rob 	 hotel room break sleep purse wallet stollen ! ! ! contact security act though could care less . also even try say fault ! claim camera 's hallway , hotel like ? camera everywhere ! even give time frame get room till woke could check . later morning find purse behind vend machine , cash remove . wallet find . also someone else wallet behind vend machine , party . apparently another room also rob ! ! ! ! hotel yet even say sorry let alone give we compensation kind . regardless cash watch steal pay sort security hotel absolutly none hotel . could beat , knifed , shoot , know . never stay everyone aware theft problem nothing it . ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! 
 Oct 27 2008 	 lovely hotel 	 THEHotel comfortable hotel feel bit limb . although free monorail go Excalibur feel bit far Strip . room brilliant , large clean lighting within poor feel like want get daylight see daylight . be also great hotel smoking parking free . could not fault place personally would not go back reason . go drop email go request room high floor face strip possible .... will get great view . 
 Oct 26 2008 	 Best Bachelorette Party 	 group girlfriend take first trip Vegas friend 's bachelorette party last summer amazing ! stay theHOTEL Mandalay Bay suite . perfect size 5 we , plenty bathroom space , big living room area pregame . amenity Mandalay Bay right downstairs well , good pool . spend two day Club Moorea - wild , daytime pool party . blast sunning oursleve , dancing , drink cocktail watch absolute debauchery unfold - reaction : Vegas ! overall , hotel cater young people - seem like group guy girl early twenty place . be look great time friend , highly recommend Mandalay Bay ! 
 Oct 26 2008 	 great trip Vegas ! 	 ' ve Vegas several time , first stay Hotel / Mandaly Bay . entire stay great experience . suite well appoint clean stafff friendly accommodating . pool complex great many great restaurant choose . eat Cafe , Aureole Border Grill good excellent . one exception buffet go Sunday brunch . service good frankly , food bad . would definitely stay . 
 Oct 24 2008 	 Loved ! 	 hotel Mandalay Bay worth every penny . lobby phenomenal , service exceptional , room spectacular . casino smokey like casino . many restuarant choice hotel . pool area clean fun - I relax day . yes , hotel pretty far activity Strip , still worth it - get taxi ! 
 Oct 23 2008 	 good visit vegas 	 select hotel base special package hotel offer website ( bronze ) . park valet parking garage quickly give direction lobby . modern hotel , hotel 's guestroom one nice room ever stay . 700 sq foot suite separate living area bedroom , one half bath .... three flat screen tv ! $ 169 . per night plus half show , 1/2 cabana plus discount could not go wrong . definitely get cabana could afford one ... great relaxing shade near pool without toe toe rest guest . poolside service great . casino fine plenty slot . negative hotel way south side strip hike see hotel drink food somewhat expensive sure hotel well . also , go one package sure check bill carefully checkout charge we full price show . , , , fine print say original coupon book must present purchasing ticket show . question bill give we refund . 
 Oct 21 2008 	 nice room worth money hype 	 stay 2 night September book online directly pay 300 usd night . agree entrance underground somewhat surprising check baggage staff make feel special . average experience start . the room nice big well furnish still lack charm wow factor expect . N.B . apart seperate entrance hotel room completely mixed people Mandalay . pool crowd pleasant staff casino pool terrible ! probably serve 20,000 people day work . expect fantastic vipish experience , get average one feel short change . 
 Oct 21 2008 	 Great experience 	 first trip Las Vegas blast thoroughly enjoy TheHotel Mandalay Bay . research many different hotel venue Vegas , settle TheHotel 's modern , contemporary design price right 4 star hotel . common theme throughout hotel impying & quot ; & quot ; hotel , mean good . note pad write desk even say & quot ; ThePad & quot ; . find quite humorous far go & quot ; & quot ; theme . find promotion labor day weekend average $ 159 per day & quot ; V - suite & quot ; . choose suite & quot ; the - Suite & quot ; slightly large much large view Las Vegas skyline bedroom . & quot ; V - Suites & quot ; locate end hotel & quot ; the - suite & quot ; sandwich middle . two 42 & quot ; plasma television , one bedroom living room ( even though not spend whole lot time watch television ) . bathroom deck granite marble maid service keep room spotlessly clean . two we , spacious accommodating . plan share 2 people , probably would little crowded . not negative experience staff , always courteous concerned need . beef manner check , quite long line . however , travel throughout Vegas , find common theme hotel visit . dinner & quot ; TheMix & quot ; suppose high end restaurant . dinner & quot ; OK & quot ; , price , expectation tend high . two , expect spend least $ 100 exclude wine alcohol . three hostess one quite snotty ( word ) seem judgemental customer . prefer offer smile feel worthy . tempt leave big tip two hostess make point , think well . probably would recommend restaurant since many exceptional one strip . not wow we enough warrant recommendation . need eat hotel , would recommend go & quot ; TheCafe & quot ; Rick Moonen 's Seafood ( enjoy raw oyster cultivate 6 different region US Pacific Atlantic ) .We feel huge difference Mandalay Bay hotel THEHotel @ Mandalay Bay . even though adjoin , totally different ambiance two . see old Mandalay Bay cater sterotypical Vegas tourist whereas THEHotel & quot ; finer & quot ; attention detail consitent expectation high end traveler . Overall & quot ; TheHotel & quot ; experience exceptional would not hesitate stay . 
 Oct 19 2008 	 INCREDIBLE 	 first time Vegas wife . want stay somewhere nice . research book Hotel @ Mandalay . dissapointe . everything first class . HIGHLY , HIGHLY recommend ! 
 Oct 15 2008 	 rename hotel MAN DA PAYor MAN u must PAY 	 go mandalay weekend 9th 13th October . thougt good time . ' deal Mandalay ; everything , cost something . 1 . time tell cost get Shark Reef , believe cost roughly $ 17.00 per adult , discount even stay . 2 . pen room write paper give you.3 . concierge ( first name Chad , last name leave purpose ) smug . ask , Hooever Dam tour run everday , response rather smart [ -- ] manner & quot ; everday 365 day year & quot ; . hotel professional yank high profile position . another comment like get picture.4 . checking , person front desk make cattle sound like animal herd . state word effect & quot ; Lets go , right , follow cowboy grunt like & quot ; heh & quot ; 5 . check . wait line 25 minute . kid ? torture . please not even tell can not forecast workload requirement . oh , not beleive pull tape watch roughly 11:00 11:30 . ok , wife work large upscale hotel 20 year . know lot attention detail service womans hallmark . would never stay hotel . look pretty service bad unless want pay everything go street . 
 Oct 14 2008 	 never .... 	 decide treat mom nice girl weekend Vegas stay . die try lazy river . check un - eventful check 3:00 great Friday . go cruise strip downtown bit . come back around 2am get food find THEcafe close ! okay , go Raffles . go try charge room tell allow charge anythign room .... HUH ? ? ? go talk manager tell disappoint since Check never tell anything like . litttle sister tell always stay Wynn ( ) never encounter problem like . tell go back Wynn like much ! wow ! ! never get bad service restaurant manager , nonetheless . ok , maybe bad night ... throughout weekend encounter many problem like one . even locked room secure late check wait security come let we , like criminal . Felt degrade . sister promptly get phone call downstairs tell have receive somethign mail problem encounter . 's month NADA ! ! nothign mail , phone call apologize ... nothing ! Mandalay Bay never get $ $ ... will Wynn need find ! ' m , happy always treat like queen ! ! ; ) 
 Oct 14 2008 	 never 	 Impressed ! come back 3 night Hotel ( hate name ) vow never go back . minute arrive know - the main entrance parking garage make effort conceal fact . dark , depress feel like inside garage - not elegant charming way . check 5 hour plane ride ahead husband business meeting . girl front desk would not let daughter check reservation husband 's name even though credit card , photo ID prepay one night . many visit manager begrudgingly let check could charge anything room husband show person . access minibar , tv , lunch pay cash - pretty humiliating - I feel like criminal ! top everything give we room 6th floor overlook parking lot conference go across hall . daughter , room , put end hotel call specifically ask near we . head beach relax - big mistake . like Jones Beach Saturday August . bad music blaring , lounge chair back back & quot ; beach & quot ; joke - not like website photo . leave lunch grill fine except terrible pina colada mix w / no rum . ( $ 70 2 salad chicken finger ) sum , hotel exclusive sophisticated chic rather , be dark , claustrophic amateurish poor customer service . we usually stay Wynn make we appreciate much . 
 Oct 14 2008 	 Mediocre good 	 first trip Vegas . boyfriend want treat nice getaway choose thehotel Manday Bay . we stay 23rd floor thehotel 's V Suite 3 night 4th July weekend . arrive , wait line check almost hour long staff seem attentive friendly . not great start . the view suite wonderful ( right next Luxor ) suite gorgeous service poor . check , everything clean except bathroom . shower cover water stain shower floor sticky . also , Plasma TV 's work boyfriend call front desk someone come fix tv 's clean restroom . take nap , wake hour later- still service . boyfriend call remind front desk get ready attend UFC fight Mandalay Bay . soon fight , go back room still uncleaned unattended . furious dissatisfied , boyfriend decide go downstairs tell dirty bathroom TV 's . finally speak manager finally service request . shortly order hamburger room service . take 3 hour bring food room ! order food 11 pm not receive 2:00am . already asleep ! Overall- Nice suite , boyfriend leave happy memory thehotel Mandalay Bay . would consider staying pay for / compt . han , never look back . 
 Oct 14 2008 	 let us lay card ... 	 normal room Mandalay bay THEhotel 's bad enemy try determine THEhotel worth it.- access top pool vegas- artsy lobby calm funk smell see , although convenient way get casino strip take shortcut parking garage . end lobby balance toss stinky detour in.- Artsy decor : thehotel somewhat unique originally come , several hotel thehotel , well , plus new modern - ish hotel usually eco - friendly . room cool lobby is.- ' get : free internet , fridge ( unless take booze tiny minibar , let stuff sit good 8 hour get cold ) . coffee machine . - get : cylindrical pillow bed purpose , 1.5 bath , phone toilet , big tub , loud music pool club night , expect end 2 . 21st floor . also , sticker toilet paper roll say & quot ; THEtp & quot ; . FTWIf get deal , mean stay . ' put hard earn cash get wow , may disappoint . 
 Oct 10 2008 	 Loved ! 	 hotel bachelorette party weekend friend get one suite . also rent cabana pool . service great lazy river , beach wave lot fun . ' m glad get cabana get early morning pool chair go fast get crowd . thing bring love place order cesar salad pool notice dirt ! yes actuall dirt salad disgust tell cabana man apologize nasty : ( overall stay fun pleasant . 
 Oct 9 2008 	 probably good Vegas " 	 go group first time usa see get world hotel view well one strip suit modern bath room die wife really like . staff first class tend ur every need pool mandalay bay site see planning go back vegas stay hotel 
 Oct 9 2008 	 Great Mandalay Bay 	 visit Vegas whistle - stop tour Southern California slum motel , , even Mandalay Bay do tropical paradise , would think heaven . I imagine upmarket hotel Vegas opulent , exquisitely comfortable beautiful Mandalay Bay really deliver . ( two double ) bed huge cosy drag experience Vegas . numerous pool great . restaurant wonderful . as tip , try go one small pool - day main pool heaving go South Lagoon practically . open busy period shame Lagoons also quieter . 
 Oct 9 2008 	 well expect 	 room suite get one V - Suite 20th floor west wing view north west LV . nicely appoint room . the east wing nice room layout nice . 
 Oct 7 2008 	 Honeymooning TheHotel 	 search town accomodation , especially romantic getaway , key attribute make break hotel , opinion : gorgeous bathoomA sumptuous bed / linensgreat attentive service hotel staffatmospherehaving find TheHotel via search lasvegas.com , way know , base solely photograph , hotel would meet criterion , base recommendation traveler ( well friend know taste ) , go ahead book honeymoon . ' m pleased say , meet expectation , far exceed every way possible . first , TheHotel non - gaming hotel ; be adjacent Mandalay Bay , access via casino , completely different atmosphere flavor adjoin property . moment step car Valet stand , enter first set glass door , nose detect gentle , floral scent ( learn Spa 's & quot ; proprietary scent , & quot ; would not tell we make ) . pass second set door , eye immediately draw upward huge chandelier make dozen blow glass tear - drop shape globe , suspend huge black table , display huge , tall vase meticulously arrange white bloom . as enter , come slightly dimmer - light vestibule , decorate assortment black absract painting , case contain huge , 180 million year old chunk quartz . soundtrack techno - lounge music play softly background ( mood / tempo music change slightly throughout day , ramp slighly danceable pace late evening hour ) . overall vibe ' cool . ' contemporary , clean elegant . as make way check counter , will pass TheCoffeeBar TheLounge . check seamless , pleasant . desk clerk learn wedding / honeymoon , make phone call , upgrade suite large , corner room . the elevator vestibule wonder black marble ( granite ? ) array white bloom cool , dark feel , accent indirect lighting . upon enter suite , greet feel like trendy apartment large downtown area . half - bath foyer , tile entryway , lead good - sized living room . living room furnish contemporary fashion , dark color , accented bright splash . couch , armchair , 42 & quot ; plasma flatscreen large writing desk chair finish living room , well mirror wet - bar . from bedroom , make way bedroom , greet wrap - around glass , interrupt wall - mount entertainment center another 42 & quot ; plasma . luxurious linen feather - down pillow make bed , flank huge black side table mirror panel , softly upholstered headboard . from bedroom glamour bathrom ... wow . beuatiful , beautiful bathroom , centerpiece huge , deep roman tub , surround black marble . dual sink , large shower , fluffy towel , plasma tv in - house toiletry round make pleasing place soak end long day strip . while minor thing note , amuse gradually - brighten light bath , well commode room -- wee hour a.m. , well appreciate touch . while pleased room , experience minor issue stay : card bathroom indicate & quot ; Green plan , & quot ; therefore replace towel 3rd day , soon upon request , miffed find day 4 , bed sheet not yet change ( small , telltale black inkspot one , make easy tell not change ) . additionally , appear housekeeping not vacuum room 4 day . also , notice periodically rather unpleasant odor come half - bathroom . first , not think much , would light candle mask , 4th day , become strong bear . so , day 4 , contact front desk matter . late night , not manager duty , assure one would contact follow morning . not happen , bit miffed . follow evening , go speak another manager issue . appalled lack response have receive manager , go way beyond make amend ( include credit spa service have enjoy , give we food beverage credit account , move we Penthouse Suite duration stay ) .Needless say , wonderful find standard suite , penthouse beyond wildest expectation , 180 degree view strip , mountain ( end building , 43rd floor ) . easily measure upwards 2000 square foot , house large foyer , half bath , office , large living room sectional sofa , 2 arm chair 42 & quot ; plasma , dining room seat 6 , large walk - in wet bar barstool . end suite contain bedroom , small sittiing area desk , another ( small ) living room love seat two arm chair , large upholstered ottoman / coffee table . round corner sleeping area , bed side table identical small suite , dress fine linen ( wonderful sheet ) .from , be small hallway two closet , full length mirror , bathroom . bath similar small suite , minor change : jacuzzi tub , bidet , shower double steam - room . towel bath product also upgrade . throughout suite , control panel surround sound , room ( include bath ) wire JBL speaker ceiling . tune speakers T.V . channel , radio , cd dvd . also , drapery suite operate wall - mount control panel . once suite , find hard even leave , nighttime view light along strip spellbinding . Valet Bell staff friendly attentive throughout stay ( please remember tip accordingly ! ) .my criticism room follow : Pillows - feel like real feather , thin , flatten easily . request extra pillow , even , par ( especially consider wonderful bed ! ) Closet Space - closet space initial suite somewhat limited , crowded room safe atop dresser . apparently non - corner room bit closet space ( two closet flanking entertainment center ) , small sacrifice make , however bit space would nice . however , , stay ( spite minor issue ) amazing . go beyond satisfy we , make wonderful romantic honeymoon celebration . 
 Oct 6 2008 	 nice hotel 	 hotel classic look hotel look try another part strip . love shuttle train hotel NYNY . disappoint honor promotion inquire twice . pool area beach set wonderful prepared exit early show happen evening . room large still thing money could well spend strip hotel hopping bit fun . 
