nice 	 good value SF near Union Square . friendly staff , pet friendly . modern hotel within couple block Union Square . free breakfast , free internet , nice wine hour evening . close shopping , Metreon , restaurant . would stay . knock $ 45 valet parking smallish fitness center . 
 type hotel James Bond would stay 	 locate perfectly near Union Square shop , across Apple store , BART , Old Navy Walgreen 's ( perfect late - night snack ! ) , Hotel Palomar San Francisco exude Quality . room feature flat - screen tv , useful work desk wireless internet ( via Kimpton InTouch membership ) , plus Kimpton signature animal - print design everything carpet , sheet dress gown . take either interior room look garden exterior city - view room . it be exclusive , comfortable , pet - friendly great location . plus , often come great value deal Priceline . 
 look forward return 	 could not happy stay Hotel Palomar . hotel great location , convenient BART , trolley , incredible shopping . room quiet fantastic view . hotel modern yet comfortable staff superb . look forward many return visit . 
 Sep 6 2005 	 Tips stay Palomar 	 First , Palomar great location . lot great shopping around , Metreon late movie , soma ( good brownie cafte ) , right cable car line.1 ) good hotel rate find web site . great rate deal $ 139 / nite plus taxes.2 ) request handicap room , available check - in . large room . fill request one reserve . otherwise , room view zen court quite nice quiet . 3 ) hotel parking $ 42 + taxis in / out priviledge , park street Metreon public parking lot , be $ 22/24 hour in / out priviledge . SF , will not need car ! everything accessible foot , cab , cable car bus . way , $ 11/1 day pass cable car / metro worth . start early , cable car line always long . cable car start / ticket booth across street Palomar.btw , hotel good driving map city show one - way street direction . helpful be drive there.4 ) be drive city , need car get Golden Gate bridge view site , first thing be drive city . parking $ 5 / all day view site , suggest everyone - pass all - day parking pass ( put windshield ) someone else be get ready leave parking lot ! jerk sell half - price ( cheap * * * * * * * ! ) , pass . 's all - day pass , everyone able make use ! 
 Sep 5 2005 	 lovely hotel fantastic location 	 really great find ! hotel really personal feel friendly staff , manage get good rate directly hotel extend stay request , honour rate second night . turn - down service nice touch make feel welcome staff . great location , fourth market street lot good shop , far union square transport part city . would definately stay hotel . one tip bring car San Francisco avoid ! feel valet parking quite expensive real problem get hotel , even though great location surround confuse one - way system go around block several ( stressful ! ) time , pass hotel unable get ! 
 Aug 30 2005 	 great get hot rate 	 BF stay July 4 - 6 , take advantage Hot Dates , Great Rates website . room $ 139 night good value price . location fantastic , right Market Street , twenty minute walk Embarcadero , Giants stadium , ten minute top Union Square . Decor modern ( flower ) , room small furniture solid bed heavenly . view , also noise . turndown service nice touch - even select music we . clean stylish . like give option replace towel linen effort conserve energy water . Front desk fantastic , doorman super - friendly . 
 Aug 15 2005 	 absolutely wonderful ! ! ! ! 	 come back awesome weekend San Francisco stay Hotel Palomar . never impressed hotel staff presently Hotel Palomar . beautiful contemporary boutique hotel locate almost 2 block Union Square , close enough public transportation major attraction . room generously proportion fantastic accent bed soo warm comfortable . especially comforter .... staff go way help celebrate partner birthday even leave gift room . whenever return San Francisco , stay anywhere Hotel Palomar . 
 Aug 3 2005 	 Good Hotel nothing get excite 	 good solid boutique hotel comfortable stay . wow factor - look spectacular view grand lobby , place . location good - block Union Square . room decent sized - executive king 6th floor . first give we similar room seventh flr face wall - terrible view . upon request , give we one 6th flr view market street - much well . the bed , pillow , linen high quality comfortable . Service Room Service ( good food ! ) , Valet parking Housekeeping . the doubleglazed window really block street noise out . we could however hear street musician everyday market street right room . stop 10:00 pm . music actually good add general atmosphere . lobby nondescript , breakfast blah . 
 Jul 24 2005 	 total class - act ; nice place ' ve stay 	 superb location accommodation first - class way . book Priceline package request early check - in late check - out . accommodate . although parking steep ( $ 42 tax valet parking in / out privilege ) worth . use in / out privilege several time day receive superior service time . hotel elegant , well - appoint good thing absolutely street noise kind , incredible consider location . fifth floor room close lounge localize noise , pop earplug never another issue . hubby not bother slight . Maid service beyond reproach occur twice daily evening bed turndown . restaurant fine - brunch one day ; never seem busy costly . glad option eat , not anything special . without question , nice hotel ' ve ever stay would recommend anyone ; hope able stay . 
 Jul 7 2005 	 Perfect boutique hotel 	 stay Palomar July 1st - 4th fantastic time . moment step taxi , greet doorman . bellman promptly bring luggage room instruct we use AC , etc . staff always friendly , especially concierge , Virgil , helpful cheerful question . always make we feel like special friend . room sleek clean , bed blanket , & quot ; & quot ; comfortable , Aveda toiletry nice . also enjoy nice music room CD 's . houseclean staff efficient , come every afternoon fill ice bucket turn service . also always leave nice Ghirardelli chocolate candy we . : ) nice extra complimentary yoga basket use room . nice way unwind plane ride . also enjoy complimentary coffee tea morning lobby . downside since downtown , night feel unsafe walk around , soon get hotel , doorman open door . check breeze , bellman take luggage taxi . perfect get away intimate hotel . definitely return ! 
 Jun 29 2005 	 Nice Stay 	 wife go San Francisco & amp ; napa 10th anniversary . stay Palomar back end trip - well worth . staff make we feel special take really good care we . stay two night , hospitality make we feel like long - time friend frequent guest . bell staff efficient bring bag right away . get ready leave airport , help we box seal case wine check luggage flight . anniversary give we nice bottle red box chocolate . also obtain great dinner reservation we . room really nice spacious . turn service nice touch - leave chocolate . wife love bath accessory , hair - dryer , etc . really like nice stereo , etc . enterainment cabinet . nice listen music decent sound system room . hotel great location go use Market Street home base San Francisco stay . Palomar close Pier / Wharf area , Financial District chain shopping ( Macy 's Nordstrom , etc . ) book use online special rate include parking credit - rental car agency return counter close hotel . thus could return rental car two day early use parking credit credit Fifth Floor restaurant ( one SF 's good . ) complaint , staff always give we good clear direction various site / restaurant go visit . direction mostly vague ... & quot ; walk 4th three block , turn right - street & quot ; kind thing . take we 10 - 15 minute find hotel , find one restaurant , etc . like overall look feel hotel , location , stay . price expect good experience get . 
 Jun 3 2005 	 Swanky hotel great price 	 go San Francisco business find Palomar unsuccessfully book Marriott across way . first experience & quot ; boutique & quot ; hotel . main thing attract hotel modern style attention detail without expensive room rate . arrive , disappointed . lobby , though small minimalistically classy . something different place ..... check fine , front desk staff quite friendly . my room wonderful . lot characteristic swank , modern , sharp clean . impressed CD / radio , decor , aveda toilettrie indicate Kimpton 's desire offer high quality affordably . bit trouble stay - false alarm premature check - out botch . however , staff quite apologetic could accommodate . move different room discover decor essentially room room . surprising , probably secret allow offer . hotel restaurant / lounge - turn - frequent local moreso hotel guest ( least think ) . would fine , fact lounge locate floor adjacent guest room make wonder wise form planning . still , noise level rise around happy hour otherwise problem . fitness room compact essential . business type may frequent hotel , find fitness room use rarely hotel guest . novelty hotel may wear , since 's lot surface wow much depth amenity . resort , far hotel go , winner match style class manageable room rate . 
 May 30 2005 	 's good bad Palomar ... 	 girlfriend visit San Francisco 4 night look around online lot , choose stay Hotel Palomar . 's thought : - do look around online find think good deal , go Palomar website see charge exact type room . call number reservation go Kimpton Group website see & quot ; good rate guarantee & quot ; deal match rate find plus get late checkout time room upgrade available . room upgrade probably little iffy accord review site , work we . book King Deluxe ( base room ) upgrade Executive King room slightly large face rather look inner courtyard . room still overly large ( 350 square foot ) view nice ( Market Street , Macy 's etc . view ) . mention write email reservation people hotel ask room upgrade well sure upgrade happen resut Kimpton guarantee email . still , well worth try . get $ 200 U.S. night include taxis huge steal decent.- hotel location pretty decent , locate right middle shopping district centrally locate touristy thing plannin . one thing would say immediate neighbourhood good , SF big problem homeless people often see front hotel . true everyhere downtown area big deal still little unsettling . always relieve doorman open oor approach escape lobby.- Service fine we , though not ask much . check late evening problem bellhop friendly informative . desk staff polite never seem go way say hello walk anything . Maids friendly say hi smile whenever see you.- Design decor great . beautiful hotel modern style nice luxury touch . nothing room turn place . hate stay hotel seem nice notice scuff marks wall crack bathroom tile . king bed super comfortable though partner restless sleeper might problematic somewhat springy girlfriend would turn , would bounce little side . say , great sleep wonderful linen pillow . one good bed sleep , hotel . tv fine Sony CD player nice music light jazz station come clearly . bathroom lack little bit privacy slide door latch close . see anything bed right beside bathroom door may hear noise someone use would prefer . not shy though , problem ! - overall pretty good experience . return San Francisco would probably stay , though would tempt stay different part city . vacation prove decent home base go day . Hope find useful know reading review help decide ! 
 may 22 2005 	 hotel ROTTEN service stay risk . 	 arrive check lengthy car trip tell & quot ; strange event & quot ; deluxe king downgrade small room sofa bed . ask & quot ; strange event & quot ; , informed manager expedia customer guarantee room book even prepay . ask still deluxe king available book directly say yes . tell manager unacceptable , say nothing . apology , nothing . get Expedia phone talk , say unpleasant . stun we apology , recognition massively inconvenience , nothing . comp , nothing . stone - face unwilling concede customer . favor stay hotel . decide go elsewhere never stay Kimpton hotel again . unfortunately , poor service seem hallmark Kimpton . stay Vintage Plaza Portland -- wake call , forgot call town car , bad room next heat exchanger . Kimpton style substance , sniffy attitude from staff . bad service isolate Kimpton . favor stay favor stay elsewhere . awful , awful , awful . 
 May 11 2005 	 Fantastic Hotel 	 hotel make boyfriend feel like superstar . incredibly attentive moment arrive .... even allow we check room 3 hour early . even pair pant dry clean 4 hour . room nicely appoint clean . decoration ambiance modern well do . 5th Floor restaurant superb . eat good scallop ever . sit bar couple drink , bartender waitstaff nice . bartender overhear boyfriend discuss go make reservation restaurant immediately call make reservation we . not even ask ! upon check hotel arrange luxury town car take we airport . extremely impressed service location hotel . right center everything : shopping , dining , tourism . would definitely recommend hotel anyone visit San Fran area . 
 Apr 29 2005 	 thoroughly pleased fantastic location 	 book one night stop - over stay Hotel Palomar base positive review website certainly not disagree . greet long journey friendly professional manner member staff . room , although interior face nicely decorate extremely quiet . bed comfortable bed would ever sleep hotel mean wonderful night sleep . the location hotel brilliant want close Union Square . two block away flat walking , steep hill climb ! negative pricey restaurant hotel . eat jet lag need early night $ 23 couple scallop , although nice , little top ! 
 Apr 22 2005 	 first class way 	 wife love 4 night stay Hotel Palomar . honor request exterior facing room , high floor . limited view Market Street nearby tall building / Marriott . spacious room , great layout calm interior design room cd tech equipment could want . phenomenal service , great location Soma Union Square shopping , stone 's throw Moscone Convention Center , half short block Bart Station . eat hotel 's posh five star restaurant , & quot ; Fifth Floor & quot ; , splurge worth every penny memorable evening world cuisine , romantic atmosphere doting service ( much affordable breakfast also good , quick convenient service ) . great home base world class city . 
 Mar 28 2005 	 great room not - so - great service 	 schedule convention four night . arrive , tell full & quot ; another party decide unexpectedly extend stay , & quot ; book ten convention attendee another hotel . though think lack room inexcusable , situation handle reasonably well front desk staff . however , go back next day room noon ( say would schedule early arrival ) , Palomar tell room still clean come back half - hour . three hour later , 3:00 pm , tell come back half - hour room . finally , 5:00 pm , give room key . room smallish nice . sleek , yet attractive comfortable . great amenity , include cool cd sampler . nice bathroom , though tub grout could use good cleaning . upgrade room nice exterior view send bottle wine trouble , plus coupon free breakfast every day . push those . the restaurant intend primarily dinner . will serve breakfast , grudgingly -- waitress morning ton attitude cold . 
 Mar 28 2005 	 central location 	 palomar nice hotel . nothing special , decorate bit generic . service excellent , everybody friendly helpful . close union square , really right middle tourist central , make good central location explore quieter neighborhood SF . come shop big name store , probably could not much well palomar location value . conveniently locate close bart stop , wish known way b.c cab OAK $ 60 whereas return trip bart $ 5 per person . 
 Mar 20 2005 	 highly recommend 	 stay Palomar Christmas , 2004 . Lobby feel like office building hotel , though still appeal . room excellent . chic decor . well appoint design , cheerful modern . great little CD stereo cool music assortment provide . Asian / Zen inspire touch hallway culminate impressive look bar restaurant ( call ) Fifth Floor . well rate , offer french - modern cuisine . excellent wine list ( CA wine , strong Burgundy ) . good food . however , price . small servicable gym . ' ve stay place cost twice much not match Palomar ( Klimpton own ) . 
 Jan 25 2005 	 nice different 	 Palomar expect . modern understated european luxury feel . room immaculate , seem small bathroom door give little privacy . staff friendly helpful . room 4th floor outstanding view ! restaraunt hide really lobby speak , wait friend arrive convienent . departure offer Lincoln Town car take we Airport price Taxi . nice touch end vacation . , bad place stay . feel place tourist . seem like high end Hotel Business traveller . location conveinent cable car , street car subway . DavidinHartford . 
 Jan 21 2005 	 Nice room 	 look large room SF , Palomar may great value . expensive week , great weekend rate room huge comparison . suite friend standard room , happy accomodation . find staff helpful . knock would restaurant overprice . would definitely stay . can not beat location want near Union Square . 
 Jan 18 2005 	 nice hotel 	 stay palomar november 2004 week . visit usa fairly regular basis never book hotel without check review tripadvisor . read review decide book stay.we dissapointe , room nice , bed well ever sleep , staff pleasant helpful , hotel centrally locate , union square minute walk away . never dine restaurant breakfast one morning , food great little pricey , would definitely stay . well worth four star . 
 Jan 4 2005 	 love ! great location great staff great decor . shower pressure could well . 	 be true , hassle go downstair grab coffee . pretty surprised , really not mind much . actually kind nice get stretch leg morning . the staff incredibly friendly , helpful , prompt , polite . good recommendation , accomodate request . we not get chance try restaurant . we stay Deluxe King room 5th floor average $ 167 per night . bad day around New Year 's Eve . street noise , great decor , big room . cd player free newspaper morning nice touch . my big complaint water pressure shower . may room , lot water pressure . otherwise bathroom comfortable clean . really not like Aveda shampoo conditioner , IMHO . smell like salad dress shampoo , be . dry hair pretty badly . would bring next time . also , grateful reviewer mention parking rate $ 36 per day . believe increase $ 37 . first think outrageous , call around hotel , find actually fairly standard area . lastly , location IDEAL ! right next market street , Union Square , shop , restaurant , etc . we would definitely stay . 
 Dec 22 2004 	 LOVED Palomar ! ! 	 return 3 night stay Palomar fantastic ! cares coffee maker room ? everything place great . take morning flight get hotel way check - in time . front desk say & quot ; problem , put inside room store luggage explore city will give city view room later & quot ; ! take latter suggestion arrive back room ready . room big ' ve ever see ( San Francisco ) stylish clean . bed good sleep home ! aveda bath product great treat ! everyone staff Palomar courteous , polite helpful . location perfect Union Square shopping explore public transportation . would not think stay anywhere else visit San Francisco ! 
 Dec 15 2004 	 great location great fun ... 	 recent stay Palomar revive love Kimpton Group hotel . recent stay couple location bit disappointing term overall condition maintanance- doubt 's difficult keep high room turnover- however case Palomar . never occasion use Concierge desk staff always pleasant accomodate ( noisy fan first room easily resolve move new room ) friendly greeting everytime came go . location unbeatable- close Union Square , business district , public transportation need , etc.- room quiet comfortable ( high mark fun kicky decore ) great housekeeping . pleasant expereince compel give hotel high mark . 
 Dec 15 2004 	 great design hotel 	 respectfully disagree coffee complainer post recently . want , stay chain hotel . place people appreciate good design . residential feeling , unbelievably comfortable dark - wood , cocoon way . feel hip stay ! front desk staff bellmen friendly helpful . Breakfast Fifth Floor restaurant quite good , bit expensive . can not beat location , either . dinner , try Annabelle 's couple door . good . 
 Dec 10 2004 	 Style substance 	 friend suggest stay Palomar location restaurant . put strain friendship . Kimpton Group , manage Palomar , must believe style thing need satisfy customer . front desk staff less helpful virtual every request . ' bother concierge never return call . coffee serve Styrofoam cup lobby nice touch . accept high price small room accompany good customer service . case Palomar . 
 Nov 23 2004 	 friendly staff love decor 's coffee ? 	 agree reviewer : great little hotel friendly staff . wife arrange us room extra - long bed , treat -- go be 6 ' 4 & quot ; .A folk note absence coffee maker . huge mistake . want caffeine without trudge lobby . stay 5th floor , pretentious restaurant . sleep till ten , restaurant already close , contrary advertising . throw clothe , go lobby , crowd around coffee carafe , & quot ; regular & quot ; out . if provide cd player music listen , provide coffee maker . every Holiday Inn Express one . detract ultra Zen hip coolness friggin ' coffee maker room ! hotel serve lunch can not get coffee demand . great hotel , full service . 
 Nov 22 2004 	 nice give in - room coffee reasonable wine price 	 stay Palomar Nov. 18th-19th . Booked & quot ; great rate & quot ; $ 129 . hotel beautiful , room nicely appoint . husband enjoy & quot ; tall room & quot ; extra long king bed high showerhead . gripe in - room coffee maker ( probably & quot ; tacky & quot ; decor ) , wine - by - the - glass extremely expensive . not want get dress traipse lobby morning coffee , deal pricey room service morning cuppa joe . sorry . ( Relais - Chateaux hotel common sense put coffee / tea service hallway , least . ) appreciate & quot ; hand - pick & quot ; wine list , could offer reasonably - price selection . 's California , land countless great winery course 2 - buck Chuck ! pretentious wine list not impress . would consider go back two issue address . 
 Nov 18 2004 	 Palomar Hotel Wonderful ! ! 	 stay 3 night love hotel . location perfect . walk Fisherman 's Wharf , Chinatown , Ferry Building etc ... Bart Station right hotel . convenient take Bart Oakland Airport lot less expensive town car . ( 60.00 vs. 5.15 ) . room ultra - hip spotless . executive King 5th floor , street noise barely audible . great view Flood Building , Stockton St . comfortable bed , pillow , chair etc .. bathroom ample counter space great Aveda product . gym small adequate . really enjoy Serenity Channel Yoga Channel . great coffee lobby every morning . would definitely stay hotel . staff treat we royally could not enough we . 
 Nov 4 2004 	 great stay city ..... 	 Palomar small hip hotel . make sure bring car get parking package else 36 buck day . location ok , short walk Union Square . little nice W hotel . Fifth Floor restaurant good mind blow , bring load money pay . 
 Oct 14 2004 	 would go back heartbeat ! 	 pick Hotel Palomar thru Priceline surprise . pleasant greeting door front desk lobby small nicely decorate . our room , sith floor , well furnish nice mix texture color comfortable bed . would definitely go back boutique hotel pay standard rate . 's also locate 1 block cable car turnaroud ( BART station ) Market Street . also put 3 block south Union Square one block north Moscone Center . 
 Oct 13 2004 	 Super friendly attentive staff 	 have see Palomar feature cable show & quot ; Great Hotels & quot ; , make mission visit . well expect . every person work extremely friendly & amp ; make feel comfort priority . contemporary decor wonderful & amp ; exactly suited taste . 3 - day stay , know several employee name & amp ; look forward return month . Hotel Palomar always hotel choice San Francisco . one minor suggestion - guest could use little drawer space clothe . small chest drawer would solve & amp ; take anything away lovely room . 
 Oct 1 2004 	 nice Zen place . 	 stay Palomar three night . nice - love leopard skin carpet , well rest modern - yet - warm furnishing . complete room except noticeable absence coffee maker . , however , free coffee lobby 10:30am . good location shopping tourist . free wireless internet great , tv offer many channel . & quot ; serenity & quot ; channel kind kick , girlfriend like yoga channel . kind Zen place . ( even copy & quot ; Teachings Buddha & quot ; next Bible ! ) clock radio could seem get decent reception channel . honor bar well stock , pricey ( surprise ) . happy find Aveda toiletry , take many home could ! find staff rather helpful , super friendly . every staff member pass we would offer greeting . ( certainly mandate management ) one word caution : park $ 36 per night ! dinner LuLu 's - well - stock bar , bartender great ( blonde , bespectacled woman ) . avoid Annabelle 's Bistro - bad experience . 
 Sep 29 2004 	 real disappointment 	 Palomar reviewWe put small room ( cruise ship cabin size ) rm 519.cheerful staff , really helpful . ask additional towel , never arrive . front desk change tip ( change $ 20 ) . Fifth Floor lounge suppose close 12:00 Friday , serve 11:00pm . room safe locate small closet , need remove bag stand luggage closet access room safe . could consider extra level security . $ 36 - per day parking charge high ever pay . take BART cab . usual assortment bum winos Market Street , front hotel . this place worth money - definitely 4 star property opinion . the view Old Navy cabin new take window shopping , interior room view garden fountain.comfy bed , sm bath , pocket door , nice furnishing room . other room seem little big . time check request another room . not know would help . newspaper available ask offer provide room service breakfast . 
 Sep 7 2004 	 Cool hotel immature employee 	 hotel , , awesome . room cute nice view great location . however , front desk could care less . make rude remark guest front . Hung talk ignore guest . also , use concierge . try 7 time get alcatraz ticket never leave we message confirm whether succeed arrange ticket . finally , tell we book could go anytime . arrive pier , tell specific time miss boat . consequently wait standby two hour . terrible service ! ! ! ! 
 Aug 31 2004 	 Fantastic ! 	 girlfriend find Palomar serche hotel Frisco without plan guarrantee surprised hotel . the room beautiful , bed confortable , lot space , bath great , cd player rate great . I travel world business assure Palomar one good hotel ever meet 
 Aug 28 2004 	 good ever 	 stay 2 night . beautiful view Market Street . convenient location shop great restaurant . luxurious room . friendly , helpful staff . love . stay ! ! 
 Aug 17 2004 	 Outstanding Service 	 family travel Sonoma attend wedding . stay one night Palomar . room beautifully decorate . bed incredibly comfortable . bathroom gorgeous . however , impress us level customer service staff provide . although stay short time , staff could gracious . allow we check early , book we tour city , acquire baseball ticket we , make we dinner reservation , rent we car drive Sonoma County . compliment hotel enough level service quality employee . recommend hotel everyone know may travel San Francisco . would never stay anywhere else city . Bravo keep good work . 
 Aug 16 2004 	 Loved Palomar hate neighborhood 	 stay Palomar two night August , 2004 . hotel comfortable staff outstanding . go way assist direction whatever need . however , area around hotel unappealing . many homeless street upsetting kid , 11 15 . really not feel safe street around . would not recommend family . complimentary tea coffee wonderful morning , would nice also offer hot chocolate . 
 Aug 13 2004 	 Nice hotel price 	 husband stay hotel valentine 's day weekend year . staff friendly decor nice modern . tell book room , have give update ... well , not happen . get room , small . entrance door right next another room . could people come room ... could even hear play music loud . bed comfy . picture room bathroom website look well . must say though , hotel conveniently locate near Yerba Buena Gardens , Sony Meteron , Union Square ( shopping ) cable car . not care room , would like something close everything , come . otherwise , not think 's worth . 
 Aug 10 2004 	 Beautiful hotel AWFUL service 	 stay Palomar several day wine country stay Carneros Inn ( see review great place ! ) . hotel beautiful . room ( luxury King ) comfortable large jazuzzi tub two , view Market Street double insulated window quiet . eat Fifth Floor food interesting thoughtful , would recommend eat stay elsewhere . problem hotel service . call turn service twice get upon third request housekeeper knock door 5 pm response 7:30 service request . okay , fine . later , order room service quite late night , take 50 minute , arrive cold server pen ! tub would drain never come fix would wedge comb drain lid keep drain . check , ask taxi direct Town Car would cost $ 20 yellow cab . people like find bit presumptous . stay like hip surrounding , need room nothing else . 
 Aug 4 2004 	 Swanky Comfortable 	 stay Palomar two night way Maui please pick place stop . employee friendly helpful . room not huge plenty big decorate chic . hotel bar great , bartender entertaining drink pour heavy hand : ) great location , step trolly turnaround . highly recommend hotel ! 
 Aug 2 2004 	 Hotel Wreaks Perfection 	 traveler appreciate boutique hotel must visit Palomar San Francisco . spend two night research boutique hotel internet one keep come back one choose . great decision ! ! ! starter great door service , friendly , informative helpful front desk , georgous decorate room ( standard King ) , tiny lobby beautiful classy , pet friendly ( bring Yorkie receive water & amp ; food bowl ) , breakfast bit pricey gourmet , location right heart everything San Francisco yet can not hear sound inside room know outside hustle bustle city ! simple yet lovely Zen Garden accentuate inner courtyard hotel window view . great decor ! ! ! ! LOVED ! ! ! ! ! everything fantastic ! next trip plan try one suite . hotel must stay ! 
 Jul 19 2004 	 Palomar amazing ... 	 Hotel Palomar everything hope for- much ' sure begin ! find Palomar air / hotel package great price , visit July 15th 18th . flight arrive early official check time , staff allow we check , nice . located right 4th street downtown SF , Palomar prove amazing location right Union Square . lobby sophisticated bit small side , complaint ! employee gracious professional every time pass way , matter time . room trendy side gorgeous : spacious comfortable bed , great size bathroom , several amenity ( cd player , fax machine , cordless phone , add money safe locked bar ) . view toward Union Square , light ’ problem curtain close , ' hear noise outside . bar / restaurant great addition well ( martinis wonderful ) . day check hotel keep bag flight leave allow we sightsee ease , reclaim baggage quickly . simply put , stay perfect . Hotel Palomar one good hotel ever stay , stay return San Francisco ! 
 Jul 8 2004 	 Feb 2004 	 love . simply put great hotel heart SF . Bart Station Trolley car . near Walgreen ' miss toiletry look small snack go heart beat . the Lobby small make decor service . room great . plenty room nice view city . noise level city fine . ample closet space within closet user friendly room safe . bed linin soft pillow rock hard super soft . wonderful good night sleep comfy bed . nice mini stereo system allow play cd offer yoga strap , block mat one want practice yoga along program play Hotel tv channel . bath product Avada user friendly mention great product line . mini bar well stock great product one choose indulge . maid service prompt change linin towel day . eat 5th restaurant rate one good city . great food lot creativity . extensive wine list one miss . food present well taste absolutely die . fusion east west well establish meld well . Believe eat fair share bad fusion food . overall great hotel . would recommend hotel anyone . 
 Jul 7 2004 	 Loved Palomar 	 stay 8 day Palomar , overall , wonderful experience . suite , son love , tv ! ! ! fabulous bathroom jacuzzi , bedroom furnish lush faux animal skin carpet emerald green velvet ... double pan window , sound never problem . staff friendly helpful . area close many thing , though personally feel safe walking around night ( , city one day ? ) would absolutely stay ... 
 Jul 6 2004 	 Perfect luxury location moscone event 	 force attend conference moscone , little hotel perfect . two block away convention center , excellent wireless service , staff continue try please customer small enough avoid bulk conventioner . note , room service start early enough useful weekend . however , restaurant user friendly . quite pleased attitude demeanor staff . highly recommend . 
 Jun 30 2004 	 make 30th Birthday Special 	 Palomar first destination visit West Coast February 2004 . stay 5 night celebrate 30th birthday . eat hotel comment food find ideal need , perfectly situated , modern clean staff excellent . turn blue one day couple bicycle hire kindly help we store couple night . staff recommend place go eat pleasant helpful time particularly come we hire car , provide map direction next destination - Lake Tahoe . last night book stay far expensive Parc 55 hotel appalling . situated right edge rough part town , Tenderloin . want large grand fancy lobby crap service , small dirty room staff unintereste barely speak English strongly recommend Parc 55 . however , want clean , stylish tranquil place relax Palomar right street . recommend hotel highly enough . wish much book last night holiday would hesitate return . 
 Jun 23 2004 	 four star location one star service 	 palomar elegant hotel good central downtown location . restaurant rate highly number gourment magazine room pleasant small side . however front desk staff interest help customer outside routine check check . service akin 1 star hotel . I would rate hotel 4 star location 1 star service 
 Jun 9 2004 	 Fabulous Hotel Zero Complaints ! 	 stay Palomar three night ( 06/02 - 06/05 ) wonderful experience . location perfect : close Union Square , Market Street , Transit . stylish hotel modern decor comfortable bed . eighth - floor room face Fourth Street , noise never factor ! service check - in check - out flawless pleasant . Mel 's Diner , one - half block away , reasonably price good option breakfast . bring car , Fifth & amp ; Mission Garage half - block away $ 20 night . well worth extra $ $ $ , since definitely crummy hotel city ! 
 Jun 1 2004 	 Palomar BEST ! 	 good place ' ve stay SF go frequently ! big problem find SF hotels street noise , especially old boutique hotel . place whisper quiet ( courtyard facing room ) . room nice . dinner Fifth Floor good hope ! another bonus ease get get back freeway . huge pain many location . Palomar top list next trip . 
 May 26 2004 	 lovely : ) 	 fall love Hotel Palomar moment step receive area ! adore ' zen ' feel room 5th floor lounge peaceful , modern , wonderful . love everything hotel ! great location , ! 
 Apr 17 2004 	 nice botique hotel 	 hotel great ! room avg . size , clean , stocked ammenitie need . staff helpful . location near shopping , cable car turn around convenient public transportation reasonable . get room away street 's quiet . top rate restaurant fabulous food astronomical price . wait staff enthusiastic tho tad young . omly drawback Market St. see lot pan handler . 
 Apr 6 2004 	 Great Suite ! 	 stay lovely Palomar weekend 3/14/04 - belate Valentine 's Day gift husband . love boutique hotel , another pleasant surprise heart downtown San Francisco ( fav Pan Pacific ) . room much large , although bathroom elegant Pan , Fuji bathtub wonderful - good soak foot hit street day . fill brim know deplete world water ! ! relax . room bit contemporary , detract stay . I two complaint room . way suite set , could not sit sofa look directly t.v . lie sofa head - on t.v . also , coffee making faciliite . room $ 400 / night , would expect find convenience - ... get $ 59 / night Best western ! big gripe area , hotel , downtown San Francisco , good restaurant around , be either order room service go bistro street ( way , room service get food bistro street ) . going stay Palomar , keep mind . either go financial theater district go elsewhere . get Fisherman 's Wharf , eat Scoma 's - good ( albeit expensive ) seasfood go ! would stay Paloma , would go back , would stay Hotel Monaco - 's sister hotel ( pet - friendly way ) .BY WAY - skip COURTYARD ROOMS . see 3 interior wall look glass roof & quot ; Old Navy . & quot ; gripe almost forgot . get hotel early stow luggage go get lunch ( see note eatery area ) shopping . hike way Chinatown find place lunch - hotels area coffee shop ! anyway , front desk tell we back 2 pm , , room still not ready . staff say people still check . we wait 5th floor loung , dark- coffee pot , water , nothing couch & amp ; lounge chair . 45 minute later , send husband complain . front desk say couple spill something carpet & amp ; cleaning , want & quot ; interior & quot ; room instead . get INTERIOR ROOM ( see note ) . give exterior room , would able sit watch St. Patrick 's Day parade Sunday . view stink . , maybe will not go back . think will stay Wharf 's ton restaurant & amp ; thing ( still love bathtub ) ! 
 Mar 22 2004 	 great room poor service fraudulent advertising 	 stay Hotel Palomar 6 night March . find deal 137 / night Orbitz see Palomar 's website offer match internet rate include free upgrade & quot ; good available room & quot ; ( offer since change & quot ; good room next ' tier . ' & quot ; honor rate , refuse honor upgrade , even though quick check web show well room available . ( read exact problem right trip - advisor review , not surprised ) . basically say room get upgrade , exterior room , instead interior room . ridiculous , website , promise upgrade , make mention distinction . besides , deal offer say & quot ; well available room , & quot ; & quot ; slightly well room . & quot ; discuss problem Brian Fenwick , general manager , rude unhelpful ( another review website make point ; take note , Kimpton Group ! ! ) . claim website booking system incorrect well room available , fact , well available room . speak Brian , friend call front desk try book suite ; inform several suite available . tell Brian , say room may available other book , & quot ; allot , & quot ; unable upgrade . nonsense . ' m sure disturbing : would not honor upgrade , Brian would tell bold - face lie say room unavailable . besides unpleasantness , hotel fine : nice big room , service day ( although say get twice ) , big clean bathroom . not expect web upgrade deal honor . 
 Mar 14 2004 	 Love Palomar 	 pleasure stay Palomar numerous occasion . husband work San Francisco become second home . room large city standard , staff friendly helpful . location perfect , one good restaurant city . always recommend hotel friend go stay San Francisco . 
