wonderful 	 sore throat hotel bring room carafe microwave make tea . wondeful . 
 Oct 11 2004 	 great little hotel 	 husband return 4 days/3night Talbott Hotel Chicago . book base review Trip Advisor one bit disappointed . location perfect , quiet little street 2 block Michigan Ave . service impeccable , front desk staff concierge bellman housekeeping . everyone pleasant efficient seem genuinely want guest enjoy stay . request non - smoking good sized , spotless room 2 comfortable chair relax beautiful bathroom ( robe & amp ; light makeup mirror ) . view suck ( overlook parking lot ) , minor flaw consider amenity . small fridge ( instead & quot ; honor bar & quot ; ) would appreciate also . take advantage health club pass , another great feature stay Talbott . club close nice towel locker provide . enjoyed walk around neighborhood close everything else want . wait shuttle back airport kill time bar , Basil 's , pricey comfortable sidewalk cafe . , impress Talbott & amp ; would definitely stay . 
 Sep 1 2004 	 Favorite Hotel 	 love Talbott Hotel ! proof big city lodging merge personal attention pride excellence . Talbott perfectly locate center Magnificent Mile wonderland , block noisy Michigan Ave .. ... tuck - away spot make peaceful . doormen attentive , concierge knowledgable accessible , front desk folk friendly professional . room modern / update , clean whistle , quiet comfortable . rate extremely reasonable , online reservation rate frequently downright scary ... be low ! fear ... hotel terrific . I not think restaurant great hotel , good eat around every corner . highly recommend Talbott Hotel . ' m one .... long list rave review TripAdvisor tell true tale . 
 Aug 29 2004 	 interesting find 	 say place . good deal downtown chicago . two block Michigan Ave . quiet little street get away hussle bussle . hotel staff first class . small hotel top notch . usually quite bit cheap hotel 's quality range . definitely give place try want first class hotel stay downtown chicago . 
 Jul 31 2004 	 like small European Hotel 	 check time check time husband 2 daughter , feel welcome treat brilliantly . door people loveliest Kevin bartender great . can not say enough Gene Concierge organise babysitte lovely dinner jazz listen . room perfect 4 Aveda product awesome . will back ! 
 Jul 30 2004 	 Great Home Heart City 	 look intimate , upscale home heart Chicago , can not go wrong Talbott . hotel staff friendly helpful . room suite well appoint , comfortable well - keep . get complimentary use world - class fitness center block away . good , value extraordinary . wife travel business time . tired cookie - cutter accommodation . we love Talbott think ! 
 Jul 23 2004 	 Loved ! ! ! ! ! ! ! ! ! 	 hotel wonderful ! location price great . two thing watch , room window unit air conditioner work opposite way , call maintenance inform we also , find later shower control backwards well ! maybe , backwards room ! ! ! ! ! ! ! staff fantastic cater every need . ice machine every floor call room service bucket ice truly problem . stay ! great ! 
 Jul 7 2004 	 great experience 	 stay Talbott three time find stay comfortable affordable ! staff friendly accomodating . definately european flavor . great location great place relax ! 
 Jul 5 2004 	 nice perfect 	 Talbott nice hotel nice location , problem give smoking room . doctor get asthma two family member die lung cancer , pretty visceral reaction smoke . can not stand smell . call change room state reservation , find pretty hard believe . tell would not room available next day . next day leave bag pack left room soon could , return smoking room ! otherwise hotel nice , european way . good location . parking expensive ( $ 36 day , ) probably location . 
 Jun 20 2004 	 amazing economical find ! 	 Talbott fabulous . cozy elegant . make husband feel like rich guest concierge . treat like royalty . room gorgeous staff kind . gene wonderful get . stay impressed . make romantic weekend ! 
 Jun 17 2004 	 take care Talbott 	 Talbott perfect ! greet Jason , kind helpful employee instantly accomidate every need . concierge staff endlessly helpful cheery , along bellhop . suite ( 601 ) amazing amenity , love giant luxiurious bathroom ! location perfect , walk distance lot fun thing build beautiful . reccomend hotel anyone look enjoy care - free relaxed environment stay Chicago , people know run hotel ! 
 Jun 8 2004 	 nice stay good previous review 	 like hotel location , trouble upon check . request room king bed , tell , give room 2 queen bed . go room , look like someone stay room not clean . call front desk , tell hotel full would send housekeeping clean room wait . call ask get new room , one call back , go back front desk . 15 minute , give new room king size bed ! room nice , little damp dark . , low water pressure shower , stay great . 
 Apr 25 2004 	 great ! 	 Talbott great . room big excellent condition . staff extremely helpful friendly . location super ( block west Bloomingdales ) . 
 Feb 4 2004 	 romantic Weekend 
 Dec 15 2003 	 Hidden Gem 
 Aug 14 2003 	 3 great day Chicago 
 Aug 13 2003 	 another wonderful review 
 Jul 29 2003 	 big fan Talbott 
 Jul 26 2003 	 great find 
 Jul 2 2003 	 truly gem hotel 
 Jan 13 2003 	 Great Get - away 
 Aug 31 2002 	 love Talbott 
 Jun 10 2002 	 Little Gem 
