fabulous 	 stay one night & amp ; great ! complimentary valet parking & amp ; would even allow car park till late evening even check , . location great we couple block great American Music Hall plan see show night town 5:30 wine reception great start evening . staff friendly , helpful , energetic , & amp ; funny check check ! fiance read reviews hand & amp ; know reserve top floor say room room noise issue - none ! room & amp ; bathroom clean & amp ; crisp feeling . love eco - friendliness hotel offer ! ! will definitely stay . already recommend Hotel Carleton everyone speak trip ! 
 A+++++ WO not DISAPPOINTED 	 stay Carlton Hotel 22 November 3 night honest try change booking follow read negative review tripadvisor . could not get booking change hold breath hope well . glad go Carlton . hotel situate Sutter Street 15 minute walk Union Square , know everyone keep go front desk staff see believe helpful friendly , really genuine really go extra mile make sure great stay . room base back hotel massive bed , room bathroom tastefully decorate . hotel near Tenderloin area good area city , staff warn checkin go near , unfortunately wonder feel threaten vulnerable , although one approach even speak we , warn pay attention go . other review also state wall paper thin hotel , categorically state light sleeper hear single sound room entire stay . certainly could hear traffic fire siren hey expect stay middle major city . I really not know negative reviewer talk , glad take chance stay wonderful hotel . 
 Brilliant hotel load character staff match 	 stay 3 night 22 - 25 November 2009 . arrive hotel , greate Theo reception , load character , professional cheery funny . Check- easy instantly ask need direction anywhere tour organise . give we map , point get Fisherman 's wharf number 47 bus Van Ness Av , short 5 min walk stop . also explain within walk distance main shopping area . miss Macy 's Westfield Shopping Centre . only slight grumble room bit noisy could hear guy next dooe cough quite loudly Theo also explain hotel 5.30 Wine reception every night , meet fellow traveller . make every night , Theo provide music play keyboard hotel . meet load people neck wood , cruise previous staying hotel , brilliant time reception everybody make point back this . the breakfast hotel expensive , load cafe 's etc around hotel , hotel recommend Wing Lum chinese dinner , much look inside , food excellent ( 1 portion 2 load ) pass knowledge 2 group also eat . also little Henry lovely italian cafe / diner typical good italian food , run chinese family reasonably price . Alcatraz miss 
 Fabulous Hotel Great location 	 Fabulous Hotel , Great locationI absolutley adore place . feel family run cosy , ideal location town , shopping , cheesecake factory ! never eat restaurant hear good thing it . stay , good hotel ' ve ever stay . 
 Jan 4 2008 	 nice property friendly service oh - so - thin wall ... 	 book New Year 's Eve , pick Carlton due combination positive rating find online , price , high would normally pay SF hotel , hey ! - New Year 's Eve , not bargain anywhere else ( duh ! ) . hotel old building nicely redo ; room spacious enough , nice furnishing neat large shutter floor ceiling window . bathroom clean also good shape , absolutely counter space . get elevator head room , another guest rave we friendly staff ( 3rd day ) nice free wine reception , feel like make good choice . one problem become apparent quickly sun go , room get cold , thermostat wall , grate - cover radiator room . call desk ask could turn heat , say centrally control , would come 20 minute . come , make impressive hiss sound warm quickly , rest night , room temperature keep change cold warm , frustrating uncomfortable . the big problem come night celebrating , get back room 2 am . noticed arrive guest look young side ( mid late 20 's ) , ( be early 50 's ) , not think twice - , room next door start warm in - room celebration time try hit sack . ( ironicaly enough , sign & quot ; party room & quot ; form check ) . & quot ; treat & quot ; , thank Kleenex -thick wall , able clearly hear virtually every conversation , scream , whoop neighbor , keep partying , 3 am , finally enough bang hard could wooden bed headboard , get idea tone bit . wake hangover lack sleep not exactly get New Year great start . 
 Jan 2 2008 	 Best Staff ever ! 	 Johnny Lopez Theo McKinney front desk well . wine reception welcome treat evening . people front desk could answer question city offer several option local eatery , etc . lay back easy chat . lobby area cozy . feel like friend house comfortable furniture . several seat type area welcome warm fireplace cold rainy night . room cute clean . bathroom large enough meet need , decorate simply nicely . lot hotel offer simple , clean clean hideously decorate . good world . location close many restaurant , cable car China Town . go great local coffee shop near hotel call Quetzal ( spelling ? ) great organic coffee warm environment get old coffee house unfortunately starbuck not offer . overall , would stay staff great , room cute location desirable . 
 Jan 1 2008 	 great hotel - would stay ! 	 stay Hotel Carlton July 2007 7 night . get married City Hall SF mother stay hotel get see variety room . check tell SF upgrade we top ' Everest ' floor water cooler fresh apple corridor everyday . room ' huge , need big . review state , hear neighbour time really bother we one occasion . street noise unnoticeable except occasional emergency vehicle siren . upper floor view un - obscured window screen , building could see bay . room light airy . our mother one low floor window look building ' exactly pretty make room dark . end day , ' though purpose SF spend time room look window ! sink mum ' room get block notify front desk move upgrade room top floor make inconvenience . the reception desk staff always helpful , mention review , especially Theo always give great service big smile . wedding day arrange limo take we City Hall ( pay hotel ) return place cake heart make rise petal bottle wine bed . thoughtful wonderful surprise finish day . we eat breakfast hotel restaurant , although find thing little over - spiced early day . also dinner everyone party enjoy meal . the hotel ' perfectly place sight , really ' difficult get use public transport . would definitely stay would recommend hotel other . dad stay hotel 2 block road roughly price say comparison Carlton much well choice . we later go Las Vegas stay pyramid Luxor . whilst room big Carlton , find cleanliness , décor , comfort particularly staff Luxor , ' even compare Carlton . 
 Dec 29 2007 	 ......... hard judge ... 	 mother visit Hotel Carlton November 2007 . originally book 4 night stay , ene stay two night . one thing visitor need know many non - luxury hotel San Francisco old build withstand earthquake . Hotel Carlton average less average experience . .. let us start positve experience .... hotel staff friendlythe restaurant good food good mango juicethe room cleannow , nice thing ... although stay top floor suite ... rooom still itty bittythe elevator tiny oldthe hotel moderately seedy part town ... although like thrift store door downthe outside noise traffic bothersome ... ie.e ... car alarm 12 midnight . unfortunately , give C .... 
 Dec 29 2007 	 great Stay Carlton ! 	 Great Hotel ! great staff ! Friendly & amp ; helpfull . hotel neighborhood area good ( see guest say safe ) , walk around night issue neighborhood feel safe . hotel parking great ! leave car & amp ; take cab walk ! also book hotel 's website get parking package . we stay ! 
 Dec 27 2007 	 Great Value - Great Service ! 	 hotel nice . 's 4 - star hotel mean 's terriric San Francisco . hotel staff nice helpful . help we airport shuttle , dinner recommendation even print boarding pass . room small nicely do . bathroom totally redone well . lobby quite large cozy fireplace . neighborhood fine far safety much go . certainly not Union Square look safe , cozy hotel - do not mind walk bit get thing . . love place . 
 Dec 20 2007 	 nice hotel downtown 	 everything fine . nothing special , nice friendly atmosphere worth money . would stay . 
 Dec 19 2007 	 Great Service Neat Hotel 	 visit California mid October stay Carlton three night . require posh , five - star hotel , Carlton . however , attempt trip Bay area not want completely empty wallet want great time , heartily recommend Carlton . People complain neighborhood perplex . heart huge city . busy scary . would not recommend go walk 2:00 , not neighborhood , either . what love : restaurant great . lobby cozy treat wine around 5:30 pm go . room nicely appoint clean . staff bring six pack Pelligrino complimentary pitcher filter water -- choice . staff truly wonderful . kind helpful every way . bed comfortable . what not like : wall paper thin . historic building plaster wall . feel like whisper talk late night likewise , hear exactly neighbor dawn ... ! overall , price location ( walk distance Union Square long walk Chinatown ) , would certainly stay Carlton . 
 Dec 15 2007 	 Great Place ! 	 & quot ; ask Shall Receive & quot ; must secret phrase fabulous budget price , clean lovely hotel . book line get fantastic deal $ 82- $ 89 per night . call direct speak Emilie confirm detail , offer upgrade we ( charge ) ! Theo Ben staff go way give everything need . room cold , bring space heater . free wine serve every night also bring bottle room . can not decide red white wine , okay , take ! mention special occasion Theo make balloon appear ! can not understand complaint decor -- 's new clean modern international flair bit IKEA / Target / Pier 1 look , want leather antique , go pay $ 300 night . bed comfortable , room reasonably spacious , could want ? yes , border tenderloin , downtown area ! not scare , totally fine . easy access transportation , parking via hotel across street . walk everywhere , include tenderloin ( two woman together ) problem . 
 Nov 22 2007 	 hotel run like Carlton ! 	 return four - night stay Carlton , bewildered comment recent review . we could ask hotel . lobby / reception lovely welcoming . room simply , tastefully furnish ( problem logo & quot ; HC & quot ; ... Hotel Carlton - perhaps say & quot ; Hotel Bed & quot ; instead ? ) regular comment ' paper - thin wall ' . never real problem ( though jetlag may account ) , aside early one evening could hear guest hallway . the free wine taste lobby lovely way start evening - less expert pallete good quality wine well , give nice introduction wine region . I find map comment lift / elevator quite charming / amusing / informative , perhaps matter personal choice . we eat restaurant ( already number place want visit ) , scent smell come lovely . as regard location , yes , city - centre hotel yes , border ' Tenderloin ' district . - quite simply - not HEAD TENDERLOIN ! staff provide map show Tenderloin start ( NB . streets south hotel ) . three bus head along Sutter Street , plus cablecar block away , real need walk anyway . but real star hotel staff ( especially Theo , not want lessen praise anyone else ) . everyone friendly enough help . the hotel also support local homeless child happy Dollar day add bill help worthy cause . also add extra gratuity bill say thank great staff . should , come back San Francisco , would stay Carlton without second thought . pool , would perfect . 
 Nov 17 2007 	 Budget Hotel Felt like Target 	 first , let say staff extremely helpful kind . highlight one night . one item kudo : recycle bin room . lobby warm inviting . complimentary drink hour hold 5 pm - 6 pm . beyond , hotel sorely lacking . elevator tiny plaster picture map . artwork hotel seem center third - world country . headboard emblem say & quot ; HC & quot ; feel like headquarters charity . linen towels economy , light bathroom poor towel rack fall twice . finally leave floor . view speak . furniture ok . kind like someone 's lake house find furniture garage sale . ever & quot ; World Market & quot ; section Target , know style hotel . I would recommend stay unless need city find anything else price range . 
 Nov 13 2007 	 's Pros Cons 	 pros : great location day . friendly courteous staff ( everyone say hello , good evening , good night . ) room decent size cozy . free wireless internet ( pc available use downstair usage bill room ) . Staff try helpful possible . con : Noisy night stay apparently renovate room wake bang thing move around . neighborhood become shady night . staff could little honest / straight forward . bed linen hole wear / tear . room not heater ( not freeze girlfriend like room little warm ) . room small tv ( 20 - 24 ? ) dvd player . parking not explain properly fact kind get hustle . description : stay queen sized room ( forget exact name ) . first arrive hotel get kind run around try find place park check . finally checking tell could park parking garage one block overnight 25 $ . rip parking garage advertise 20 $ park overnight even bad parking lot directly across street hotel 20 $ park night . blame not look closely enough surrounding . the room nice exception hole sheet . hole seem come rip sheet catch something . we hope watch dvd bring we DVD player ' biggy . I not know wall thin could easily hear 's conversation . also day stay ' m assume renovating room next wake loud bang noise sound like move furniture and/or working room . finally hotel great location next convenience could hope night male street walker may want wary taking kid night . overall : would say hotel great place stay price , especially consider one ' ve see , would last choice would consider 3 - 4 star hotel . double check room would locate make sure renovate next park across street instead use parking spot & quot ; provide & quot ; . 
 Nov 6 2007 	 great place would recommend . 	 stay 26th October year one week . must say highly impressed hotel location . six block shopping area Macys etc . ( 5 - 10Min Walk ) staff nice people encounter travel alot . eager help Edgar help we bag pleasant . hotel lot hotel lack . special little touch like put wine room time get Wine gathering hold everyday . 's decoration pretty clean . get bed sheet change everyday . would recommend hotel anyone want reasonable excellent hotel . well do staff Carlton Hotel . help make stay great one . Martina Prendergast ( Dublin , Ireland ) 
 Nov 3 2007 	 Loved hotel 	 husband stay 2 night end California vacation hotel . try travel budget also like hotel character . Hotel Carlton definitely fit bill ! 's old hotel fix tasteful decor . room clean cozy . staff welcome make feel like value guest . helpful dining recommendation accomodate extra request smile . quality service seem top priorty along recycle charity committment - impressive . several Zagat rate restaurant ( within walk distance couple breakfast cafe street . would absolutely stay . 
 Nov 1 2007 	 reasonably price ; Modest Hotel Flair 	 book first five day trip Orchard Hotel , sell weekend , move Carlton . Carlton 's weekend rate via AAA book week Orchard . price -- high season City -- good choice , definitely lack luxury touch Orchard . avoid comparison , will review Carlton 's merit . first , ' ve do fabulous job lobby wine reception , etc . staff really friendly earth , great provide Joy Life Club extra . welcome cosmopolitan cocktail fail materialize , make whole bottle wine . also check early let check late Sunday hassle . love that . do not try restaurant , lobby full Saturday night people wait table , gather 's good . food turkish something along line . our room twin , small , comfortable . a / c , not problem trip , could see uncomfortable warm weather . luckily , window open wide nice city view . our room ( 804 ) big walk - in closet , make lack space room . bathroom tiny , someone lot toiletry makeup spread around , would not convenient . manage , though . the bed comfortable , although linen good quality . still , decor cute eclectic , room perfectly clean adequate young clientele truly use room place sleep adventure within City . location , edge Tenderloin , convenient hotel close Nob Hill Union Square , although still find public transportation within block . Hardier type might find walk Union Square Chinatown do - able , be talk 10 - 12 block pretty steep hill , way . 's long walk day sight - see load shopping bag whatever . overall , think hotel great young single , active traveler without kid , active retiree ... family would comfortable , simply room spread . be particularly romantic , either -- bit spartan side , say , honeymoon hotel . limited fund really want stay City , might work couple want romantic weekend budget . 
 Nov 1 2007 	 highly recommend 	 great find would hesitate recommend Hotel Carlton . we stay 4 night mid - September like much , go back another night . all staff friendly , helpful efficient , especially reception . our first room spacious great view . second much small much view spotlessly clean , nicely furnished , comfortable well appoint . like report , noisy neighbor one night nothing dreadful . the lobby nicely decorate comfortable seat cozy fire chilly fall evening . even free wine taste every night ! try restaurant lot good eat place easy walk distance . really tired , Brick , next door interesting dish great wine although cheap . breakfast go Thad 's Cozy Cafe , road . 's lot local go cheap ! walk travel extensively stay feel unsafe all . with reasonable price , would recommend anyone . could want ? 
 Oct 31 2007 	 good economical choice 	 stay one night Carlton head Sonoma County visit winery find good choice . since San Francisco mecca tourist , room price tend high room size small . seem fairly price . upper floor really hear street noise . comfortable bed adequate pillow lighting . could use additional electrical outlet room ( like use curl iron hair dryer desk rather stand bathroom creative find place plug appliance . ) also , lack counter space bathroom electricity water safe mix . breakfast include room rate nice breakfast Middle Eastern restaurant quite happy it . desk staff friendly helpful . would stay . 
 Oct 30 2007 	 try another hotel 	 like alot noise , stay close line safe neighborhood , place . Read reveiw stay four night month , October . accurate except expect noise sure earplug . staff nice pleasant one would probably stay . wall window paper thin . hear everything day night . Valet parking $ 30.00 night close midnight 6:30am . bed comfortable . linen nice not sleep linen . sorry guy , nice try would rec would place anyone . 
 Oct 29 2007 	 fab sweet little hotel ! 	 's sweet little hotel , locate close Union Square , place along Sutter st . find shop restaurant ! kind reception staff , nice forniture , small room nicely design , cool walk - in wardrobe ! good asian restaurant inside hotel . advice hotel look something cute , nice far main area ! 
 Oct 28 2007 	 fantastic hotel great price 	 stay Hotel Carlton four night mid October , solo female traveler bit nervous ever slightly hub city fantastic stay Hotel Carlton . location - walk Union Square 15 minute , perfectly safe would recommend cab night . buy three day muni pass $ 18 catch cable car ( 1 block away ) nearby bus get easily cheaply . always feel safe lot handy shop eat / snack place nearby . room - gorgeous good sized , spotlessly clean , modern comfortable room large bathroom huge closet . upgrade top floor room great view city . also free fruit , filter water , tea coffee . bed huge comfy lot pillow extra blanket need , hairdryer , cd player iron , plenty towel generous bathrobe . lobby - real fire , plenty comfortable chair sofas , newspaper , book etc well free wine every evening . friendly , cozy welcoming place hang out . staff - hotel staff brilliant . nothing much trouble , question , travel plan need help , without exception helped smile good information . every time enter hotel warmly welcome , luggage store arrive early leave late , book airport shuffle ask number time everything like . staff obviously get well happy job show , nice ' ve experience hotel - one grump ! price - city room seem average $ 300 night , pay less half book direct hotel value money excellent . there one downside stay hotel not know - wall thin inconsiderate neighbour like last night annoyong - watch Bruce Willis movie 6 be full volume ! take ear plugs book Hotel Carlton great price smash little hotel . 
 Oct 25 2007 	 fantastic start honeymoon ! 	 spend first 5 day honeymoon Hotel Carlton think fantastic ! hotel lot character , really like reception area comfy chair ! service first class , people reception welcome friendly could helpful . room good size , spotlessly clean really like decor ! great view window , think room 8th 9th floor . also huge walk - in closet able store suitcase mean be not trip time ! eat breakfast almost every morning hotel restaurant food great . also eat dinner food delicious . we bite worried realise hotel rather close ' Tenderloin ' problem feel perfectly safe stay . would highly recommend go city tour napa / sonoma wine coutry tour book hotel reception . thoroughly enjoy day trip , particularly one wine country really like tour guide , name Wolfgang . the hotel little way right Union Square Fishermans Warf , find problem . walk Union Square hotel public transport great easy use . could go Hotel Carlton ! think going - go ! disappointed ! 
 Oct 24 2007 	 good hotel bring earplug 	 stay Hotel Carlton four night October 2007 . read reviews website e - mail hotel advance ask allocate we quiet room . unfortunately remember number room eventually allocate , whilst hear noise bedroom , noise street night loud . remember stay eighth floor room overlook street side hotel rather Sutter Street . would recommend bring ear plug go stay hotel . despite , enjoy stay Hotel Carlton . room spacious enough we . large wardrobe ironing board iron . hairdryer provide radio alarm clock CD player . room extermely clean well serviced day . hotel 15 minute walk Union Square , main bus route number place . purchase travel card get around lot place , include Haight Ashbury , Pacific Heights , Golden Gate Bridge bus . reception staff helpful ask query . wine reception lovely touch appreciate hard day walk street San Francisco . I would hesitation recommend hotel people , long take earplug along street noise ! 
 Oct 19 2007 	 high low point - overall would return 	 stay hotel 2 night early month . select property base positive review website balance , underwhelmed experience . be experience : high point : - friendly , warm welcome / check - in- clean , functional room funky , modern decor- high quality linen , toiletry , towel etc- wine reception lobby 5:30 - 6pm low point : - 2nd floor room overlook laneway beside hotel exceptionally noisy , laneway seem & quot ; smoke area & quot ; - cigarette smoke waft make impossible leave window open bad , put ceiling fan high open door let room & quot ; air & quot ; - noise lobby . loud music play lobby overnight , early morning hour . music carry stair second floor clearly audible room . - wall thin conversation hall / neighbouring room clearly audibleThe front desk attendant mention concern unapologetic simply acknowledge feedback . not ask switch room give one night leave stay however , overall experience would deter we stay , recommend hotel other . 
 Oct 19 2007 	 great place stay 	 Hotel Carlton great place stay San Francisco . can not recommend enough . boyfrie stay 5 night start October . can not think fault place . room clean nicely decorate , staff friendly . theo great ! boyfriend birthday Tuesday leave get back room full balloon . disco ball corner , music play bottle wine . bed place chocolate muffin box birthday candle . also leave birthday card sign staff . boyfriend blow away - say think Theo give well birthday surprise ! ha . hotel close Union Square , main shopping area is- 5 block . really nice restaurant hotel night get lazy venture . bar hotel - however get wine beer restaurant . bar next door really nice though - really nice atmosphere . sad leave Hotel Carlton definitely book next time visit San Francisco - thing would change stay long . hat place ! 
 Oct 18 2007 	 Everest Floor worth money ... 	 stay property love . cute funky . room small , clean staff always friendly . wine taste sometimes cozy lobby traveler world connect . this last time stay Everest floor ( top floor deemed & quot ; GREEN & quot ; ) . want something good environment also want check remodel floor . well , look exactly like level except cool water filter hall mass pump shampoo conditioner shower . like lask waste , come , room direct exact same- remodel hefty price tag per night . next time save $ 40 night turn light , use shampoo stay room less part chip environment . 
 Oct 16 2007 	 Loved ! 	 superfriendly stuff : problem reservation , solve immediately . helpfull restaurant guidance . even surprise we & quot ; bed rose & quot ; room find honeymoon . minuspoint : wall thin , bring earplug ! room right next levator hear & quot ; pling & quot ; every time elevator stop floor ... 
 Oct 15 2007 	 Personal Service make Difference 	 Wife pull front hotel drive pretty dodgy look neighborhood far away , little unnerved getting . hotel corporate preffered hotel company decide stay . one night reservation . inside , trepidation melt away . cosy staff wonderful . state review , friendly , attentive make solid suggestion place eat ( include restaurant breakfast Sun ) . room fairly spacious comfortable good sized bed quality linen . Wife remark feel like Europe European feel we . nice area lobby couch fireplace . good place sit , enjoy glass wine meet fellow traveller . mention matter factly birthday night tell offer free bottle wine occasion . staff ask headed dinner whether could bring wine room . say ' that would nice ' . return dinner room , bed turn dozen heliu balloon hang ceiling party hat , noise maker glass wine along personalized birthday card . impressed . go call provide service . really nice touch . I feel compelled recommend hotel tremendous customer service . attention detail reward would stay . kudo staff make memorable stay birthday . hotel situate close local transit get Fisherman 's Wharf area conveniently . walk around find dinner spot enjoy Sushi Rocks ( recommendation staff ) . 
 Oct 15 2007 	 nice little Hotel 	 nice friendly hotel . room large may city hotel smallish room . room nicely decorate extremely clean . reception staff brilliant . friendly answer question patience . arrival give wine drink one night restaraunt shut unable purchase drink , reception staff give we two bottle wine free . lobby area lovely . sit nights meal drink wine mingle guest . even play scrabble one night ! tip make sure take ear plug although not hear guest room noise outside fairly loud especially fire engine go . plugs probs ! reception staff point right direction evening meal bus local attraction etc . want large deluxe hotel not go want small friendly well maintain , clean hotel within easy reach attraction one . 
 Oct 15 2007 	 Excellent hotel 	 stay October 2007 . staff excellent give head go San fran . hotel near tenderlion area girlfriend walk back union square late night trouble . run every morning hotel area round hotel fine . take 10 min walk union square cool little coffee shop way nice walk . hotel nosiy yes people room hotel stay . impotantly room clean comfy . view room great was'nt really bother . nosiy sometimes morning bin truck come hey city guess that s normal . overall good hotel , SAFE position 10 min walk fron Union square . nice reception area free wine every evening . enjoy . 
 Oct 12 2007 	 Cartlon hotel fab 	 stay Carlton hotel September 8th 2007 4 night love . room big , clean comfortable , linen clean , bed comfortable , even coffee maker room ! good feature far hotel staff , wonderful , nothing much trouble , several time day approach various staff map question get place , every time helpful . theo one staff stand , lovely , fairness , wine taste great idea hard day sightseeing ! go onto stay Luxor Vegas , Sheraton Maui Hawaii whilst hotel great , staff another face , personal touch ! ever ' m lucky enough return San Francisco know stay ! 
 Oct 11 2007 	 absolutely Amazing 	 hotel impress we many , many way . honeymoon stay 4 different hotel throughout Napa Valley , Sonoma , San Francisco . stay nice place , one remember . room nice - good size city , extremely clean , bed comfortable high - quality clean linen . bathroom perfectly clean though big , perfectly functional adequate water pressure , plenty hot water , etc . House keep fine job , complaint . towel , like linen , nice clean . what impress we staff . can not say enough people work hotel bellman front desk reception crew manager . deal Gio check - in Theo multiple occasion general city information , restaurant recommendation reservation , etc . guy love 's good - lot hotel charge whole lot could learn staff . make reservation ( 10 month advance ! ) online mention would honeymoon ... check even mention anything tell room upgrade would 8th floor view . night come room dinner find big piece cake , card staff congratulate we , bottle wine ( glass corkscrew ) surround rise pedals heart shape . be snob not expect special treatment day travel special occasion ... single hotel trip even go far say & quot ; congratulation & quot ; we check - in anything , whereas Hotel Carlton go beyond check - in , gift ( charge course ) , insist special treatment we make dinner reservation we , wish we well check . ' m TripAdvisor regular ... would read review arrive . kind expect excellent staff come base previous review ... even impressed thought would be . this hotel knock sock luxury standpoint - staff far superior fanciest hotel ever stay . ' m Gold vip member certain chain could not dream kind can - do attitude . lobby nice , common area clean well - appoint . be always someone available help . to fair , remotely negative thing say wall little thin - hotel around long time , well maintain clean - preserve lot character . night thing fairly quiet inside , noise come outside general city noise . evening wine reception nice way meet member staff traveler -- lot people stay age segment around world . location great - ' m big city know city tend . sure Tenderloin area not far , be couple block away 's reason would need pass area go anywhere anyway . hotel say 's Lower Nob Hill - support claim . 's 10 - 12 min walk Union Square , central many great neighbourhood . Sutter Street quite restaurant , bar , shop . actually quite enjoy Sutter Street . anyway - would recommend place anyone . pay price almost seem good true - extremely impressed . big thank Theo , Gio , entire staff . guy really make memorable last day honeymoon appreciate . will first place call next time travel San Francisco . Steve Nicola 
 Oct 10 2007 	 good place stay 	 nicely - appoint hotel , super - comfy bed , thoroughly clean bathroom , extremely friendly staff . think complaint room size unwarranted - people probably use urban hotel , urban hotel price , be actually big ! be large enough closet store luggage whatever else acquire stay . area seedy reviewer think . see panhandler / homeless people walk office subway station corner walk around area . colorful character come night , color good thing , remember . San Francisco bridge shopping chain store around Union Square . almost every review point noise - definitely wear earplug sleep . may also want avoid room elevator , constant dinging get nerve morning . get valet parking package , end pay $ 23 day taxis ! taxis taxis - oh drive car California ! idea save we money come overnight parking rate general . 
 Oct 10 2007 	 scary place 	 like hotel arrive give map tell do not go tenderloin area drug dealer homeless e.c.t thereonly 4 block away . hotel bar could , not even get cup coffee cold drink . room basic one front side hotel night police siren .hotel staff tell one thing one day go book next day tell something completely different . ( Taxi price ) feel safe beene area . 
 Oct 8 2007 	 ' San Franciscan ' 	 stay three night thoroughly enjoy . particularly impressed staff , cleanliness hotel ambience . think stay San Francisco would like . e like able open window ... certainly not feel unsafe room . the beggar another story America truly ashamed . country much , people little ? shocked number beggar filth live . learn wonderful relationship hotel half way house / charity next door . well do everyone . 
 Oct 6 2007 	 nice Hotel 	 wife choose Hotel basis review , honest , view pretty accurate . stay 12th 19th September , book part 3 week tour San Francisco , Vegas Orlando United Vacations ( flight experience another story ) .On arrival greet reception cheery welcome , give guide map inform wine taste evening ( complimentary every night ) .The hotel old property , maintain good order . bedroom 7th floor , get corner room , look Sutter Street . traffic noise evidence , creche next door audible , problem noise wise . however agree little sound deaden room , bad Hotels stay . room always keep great order housekeeping , fact staff speak go way make we feel welcome ( alien concept Hotels ) .We not use Hotel restaurant due taste , seem popular time . there however plenty place eat locally , never felt intimidate walk around area - advise go Tenderloin area , keep 's fringe ( find homeless city nowadays ) never accost . with regard situation within City , hotel 5 block Union Square - easy ( we ) 10 minute walk . also walk Embarcadero , along front Fisherman 's Wharf one day , walk directly Wharf another - far ( we ) .We however purchase multi day pass transport , great cover mode travel ( use get Golden Gate park - museum close Mondays ) .We experience spell particularly good weather stay , neither we ever short sleeve shirt due warmth . to conclude , would recommend Hotel anyone - may lap luxury , well run , clean good value money . Pete Linda Sinclair Broughty Ferry Scotland 
 Oct 5 2007 	 gr8 price clean room little noisy time 	 pretty boutique hotel , helpful staff clean . a little noisy time creche place next hotel , however really bed lol , occasional noise ignorant guest arrive late , however none hotel fault gr8 hotel . room adequate size importantly immaculate.b advice get omni pass bus ride much possible gr8 value 
 Oct 5 2007 	 home away home ..... 	 stay 3 wks April father ill hospital nearby . fortunate stumble upon lovely littel hotel become home away home .... edgar doorman Theo one manager , everyone fantastic . the staff warm friendly seem know guest name . 1730pm wine service lobby add nice touch well get know fellow guests.the arab fusion restaurant also excellent , Saha think call . good cuisine genorous portion . good wine list well . the price competitive . 5 - 10min walk union Sq also close Polk Gulch cute little bar / boutique cafe . safety wise never issue . edge Tenderloin totally safe like anywhere , careful night . 
 Oct 3 2007 	 nice stay 	 really enjoy stay Hotel Carlton . room large comfortable . huge closet . everything clean . Maid service never intrusive , yet room always make come back . elevator bite slow rush time , low floor might preferable . try restaurant breakfast nice - good service . coffee always keep fill never pressure turn table . area border Tenderloin , Sutter street perfectly nice . many nice restaurant within walking distance . ' ve stay lot hotel Nob Hill - price - not think one beat . 
 Oct 2 2007 	 basic 	 good area'stook walk early one morning end surround homeless people 
 Oct 2 2007 	 Perefect Hotel 	 husband stay excellent Hotel three day prior travel Alaska . Hotel Carlton prove average helpfullness , friendliness , cleanliness . front house staff excellent help make trip memorable . surprised return one evening find lovely bottle wine , cake rise petal celebrate outr 40th Wedding Anniversay , thoughtfull ! restaurant first class . wish make trip San Francisco stay disappointed . special thank Theo McKinney helpfull advice good way get airport , Theo Marc go way help we . many thank . Packhams 
 Sep 29 2007 	 great option 	 great stay San Francisco Carlton . yes , bit walk Union Square will plenty San Fran anyway . discover bus route will realise get Fishermans warf 10 min block away hotel . room small side ( USA anyway ) tastefully decorate . reception desk helpful tell we go dark . overall good price decent San Fran hotel , UK find good rate Lastminute.com . 
 Sep 14 2007 	 great stay wall really thin . 	 stay Carlton July three night boyfriend . great hotel , friendly staff , reasonable price . negative side REALLY thin wall . able hear conversation phone call next door couple well thing . 4 5 point Carlton ! 
 Sep 9 2007 	 ZEN Hotel 	 Hotel CARLTON home away home . visit west coast first time ( co - worker Virginia , outside DC ) . love location , restaurant , everything else . little noisy , even middle night ( firetruck , police car siren , etc ... ) , expect middle city . would recommend everybody . restaurant great also staff , nice . great time ! ! ! ! ! 
 Sep 8 2007 	 good value stay somewhere else 	 boyfriend travel London San Francisco check 6 night Carlton . it be relatively cheap hotel good value money , fairly central location ( not mind walk - San Francsico anyway ! ) .Our room first night nice clean decor good , bad night 's sleep due noisy neighbour thin wall . lack sleep couple jet lag great start stay ! first thing next morning tell reception complaint helpful friendly book we different room luggage move whilst day . second room big nice great decor - admittedly decide pay little bit extra per night room ( $ 10 think ) hope would get sleep . although new neighbour near noisy first set , thin wall repeatedly wake people return room , plumb adjacent room 's bathroom - well , not sleep well ( do sight seeing throughout day ! ) . fairly disappointing decide return hotel , previously book , week Yosemite Lake Tahoe . on plus side , think breakfast great ( although get cheap elsewhere ) staff nice helpful . 
 Sep 6 2007 	 fantastic stay Hotel Carlton 	 complete second stay Hotel Carlton . 's fantastic hotel great value . customer service staff always super friendly super helpful . upon arrival offer choice wine welcome gift . receive bottle , glass ! would recommend hotel anyone look reasonable , stylish hotel city . drawback surround street bit sketchy , hotel walking distance Union Square Chinatown . 
 Sep 4 2007 	 top notch hotel 	 wife recently stay carlton hotel , sutter street , sanfrancisco honeymoon . travel vegas stay mandalay bay stunning , however , carlton beat hand . find service much personnel meaningfull . reception welcome relax also efficient . within 2mins arrival check also brief local area interest . free wine taste 5.30pm 6 pm night great way get guest mingle . do not expect get dribble wine get much want ! room clean vallet parking hotel location excellent . stay love ! MATTHEW RUSSELLABERDEEN , SCOTLAND 
