thanksgiving 	 hotel perfect location : 2 minute walk Pier 39 . great price / quality ratio , nice design make feel really vacation - business . free internet room - lobby , food drink pricy - plenty place outside - 's problem . 
 almost ! 	 recent trip SF , stay Fisherman 's Wharf Sheraton could close attraction pay arm leg . room clean bright call towel , barely hang phone someone door towel . great , friendly service time check time check . be close really great restaurant ( old neighborhood italian place , Ceasars , within walk distance wonderful food ! ) still remove crowd . complaint pretty light sleeper , road noise bothersome . 's four story hotel 3rd floor , ( i- boyfriend could sleep tornado ) hear bus come go homeless people yell night long . get use 3rd night , still ... , great place great bargain ! 
 great location value money 	 book hotel priceline get great rate . stay hotel 4 night late November . arrive little early noon tell room ready 3PM . big deal leave luggage bit look around . great positive hotel , location , location , location . stone throw pier 39 cable car terminal . the hotel hundred room obviously comment relation room check - 2121 western side . noise outside apart air cond noise other talk . air cond particularly noisy fact go time - even thermostat kick still blow air hence noise . free room safe use . also gym fit nicely modern . think part building rennovate recently . staff helpful pleasant odd occasion speak . use lobby free wifi .. worry . ipass etc , able log wifi room discover later : - ) starbuck coffee complimentary . give hotel rate , would recommend great value money would hesitate stay . also buy citypass Pier 33 swap boat ride Alcatraz tour additional cost . great value $ 59 ! 
 family holiday 	 dissapointe food breakfast.we stay sheraton LA week restuarant open 11 pm . nothing tell we arrive would able eat there . be prepared . 
 Oct 1 2005 	 ideal location tourist 	 say hotel standard sheraton stay previously . ok , work exterior hotel , mean could not see window open , problem opinion great . come across bit date comparable would expect Holiday Inn . room reasonably clean , although spotless . comfy bed - complaint . shower extremely poor - hardly power - trickle ; whether water - save feature fault sure . suffer quite lot noise room next door - connect door . Guess be entirely hotel 's fault - antisocial guest - ask quiet room give one next door noisy family bit disappointment . 's small outdoor pool ( heated ) ok quick dip . the location good - near tourist tack pier ( ) - also good tram bikehire pier want explore city offer . last stay SF hotel Geary near Union Square , say preferred Fisherman 's Wharf specifically hotel . 
 Sep 25 2005 	 Shabby definitely word 	 Checked Sheraton ask specifically room overlook construction . got room overlook . rip curtain , dirty carpet ( construction dust ) . property run Sheraton , umbrella . price charge , would recommend stay . perhaps Sheraton review hotel license outside owner . 
 Sep 18 2005 	 good bed ever sleep ! ! ! 	 Sheraton staff informative helpful , warm friendly . outside building work cover black material . however , never hear sound work do . bathroom could update bit , everything immaculate room . hairdryer iron room well . Sheraton sleep slogan regard bed 's true ! ! ! hotel also conveniently locate 2 short block middle Fisherman 's Wharf , right F line streetcar line 2 block Mason Powell Cable car line . Walgreens Safeway supermarket behind hotel well . hope help . 
 Sep 16 2005 	 Shabby - Chic 	 good thing hotel location ... block warf . nice look lobby , though chair lobby see well day . room shabby , shabby , shabby ! pillow top mattress , old worn furnature , mildew bathroom , dirty curtain , stained floor , etc . staff nice , management suppose follow complaint ! concierge peddle vacation club ( like timeshare thing ) , say hard sell . sit hour ( one one ) pitch man , 3 price scheme close , 2 price scheme follow - up guy get free lunch 2 pass winery tour ( value $ 130 ) ... worth . not stay look 4 star accomodation . not pay would old Holiday Inn . 
 Sep 12 2005 	 Excellent stay Sheraton Fisherman 's Wharf . 	 spend 4 day hotel Labor day weekend busy . read review quite apprehensive happy say fear unfounded . although exterior renovation still ongoing impact stay . check procedure friendly efficient . Room recently redecorate , bed extremely comfortable bathroom clean well stock towel toiletry , little small side . outside noise bother we . the room maid assign area excellent job room clean 10:00 every day . send laundry Sunday morning return 7:30 evening promise . Front desk staff , bellman concierge invariably cheerful helpful . use restaurant bar fine drink bed . overall would recommend hotel anyone wish stay Fisherman 's Wharf - 's close everything street safe night . this solid 4 - star quite luxury hotel . 
 Sep 8 2005 	 clean comfortable 	 horrified read review , book room Hotwire , not able get refund . arrive hotel , pleasantly surprised . every staff member speak English clearly pleasant helpful . room scrupulously clean ( extremely picky ) bed comfortable . ask room away construction receive room 3rd floor overlook bus barn area . awaken bus noise whatsoever . bathroom little date ( harvest - gold tile old fixture ) , shower curtain towel new , plus bathroom whole extremely clean . stay two hotel wharf ( Radisson BW Tuscan Inn ) experience similar Sheraton ( room size , comfort , cleanliness service ) . look relax quiet luxury stay SF , Wharf place go . need clean comfortable place stay spend day explore SF , Sheraton Fisherman 's Wharf would good choice . 
 Aug 23 2005 	 quite good 	 generally bit dissappointe hotel , although get early check arrive overnight Hawaii . breakfast generally poor indeed none speak good english . bell boy good arrange transport quickly efficiently . bar little small . generally ok hotel , . 
 Aug 5 2005 	 4 * hotel 	 stay Sheraton Fisherman 's Wharf 22/7/05 28/7/05 , book United Vacations . time book inform renovation hotel assured / guarantee United Vacations would locate anywhere near renovation work ongoing Hotel . actually tell United Vacations guest would locate different area hotel renovation work . also contact hotel ahead stay request non - smoking room ( United Vacations could request guarantee ) away traffic fume son suffer asthma Executive Assistant hotel e - mail confirm would fine arrange we . imagine disbelief arrive allocate room ( non smoking ) ground floor ( 1st floor ground level ) , face bus station , net / scaffold outside tramp sit street front net practically window ! sign room say guest open window renovation work cause lot dust . curtain thick dust ! waste time ask room change tell hotel busy room available would ready another hour . despite fly UK somewhat tired jet lag wait reception new room . finally get new room find 3rd floor still directly across bus station net / scaffold outside . curtain thick dust , unable open window air conditioning unit locate floor , window right next bed ! could open window fresh air fume / noise large bus station dust renovation could also put airconditione location unit mean cold air blow straight bed make occupant freeze ! bus roll bus station 1 am start 4 am engine run cause disturbed sleep due vibration noise . try contact helpline number give United Vacations constantly engage , end give stay room much possible . son become wheezy towards end stay . the hotel first impression appear nice , public area clean present well change get room dark dismal need decoration good thorough clean ( particularly curtain air conditioning unit vent ) . bathroom really small poorly light room general quite depressing basic . wallpaper dull , drab peel wall place . the Hotel staff indifferent not go way help , general apathy really . conceirge staff rude , brash particularly helpful good number local people encounter area employ service sector also appear ! stay hotel throughout world ( always 4 5 * ) categorically state 4 * hotel describe . actually like 2 * hotel description mislead . reception area may well 4 * rest 2 * . pool small , cold unwelcoming not let fact hotel pool swing decision stay really not worth . location good problem get around cable car public transport despite fact Wharf heaving tourist time . lot nice restaurant around . if book stay hotel would strongly suggest reconsider value money could , without doubt , find well hotel . certainly would even consider hotel would also book United Vacations . 
 Aug 4 2005 	 Starwood hotel disappointment - poor front desk customer service 	 stay hotel use Starwood point . 7/31 - 8/2/05 . Booked March know busy SF summer month . matter ? bit . later . family travel abroad many time use starwood point ; benefit outstanding opinion . , however , take we surprise , measure level accustom Starwood property stay . could go , point thing fail meet expectation : - front desk staff customer orient . two clerk check act owe something , beg room ... bad bad bad ... - check 2 ; 30pm could get upgrade automatic upgrade ( available , true ) - idiotic clerk ponder question we state know SF marathon day ? tell book March , could care less marathon day ..... justify ' well ' room , proceed tell transfer overbooke guest Hyatt night . wow ... - clerk try get money state could give we upgrade - $ 35 / night additional . piss . know people operate different term ... exhaustively tell mood argue give room EXCEPT one scaffold bus depot area back . ( thank tripadvisor tip ! ) ... say : & quot ; oh know bus area , ? ? ? & quot ; pretty much . - give we room across lobby , overlook entrance - room 2112 exact . date carpet . , sweet sleeper bed . lousy tv channel . - 2nd night , remote control run battery . call front desk , repair guy come 10 min later . 2hours later ( almost midnite ) , front desk call wake we , apologize dead remote ( never mind wake we right ? ) - offerre free movie 500 starwood point - choose latter . - plus imo : location . Ihop north ; safeway trader joe 's east ; 2 block cable car ; 1 block fisherman 's wharf ; be also subway sandwich shop 7eleven step . , 11year old daughter 's choice . me- would choose Westin St Francis . 's also Radisson , Hyatt , holiday inn around vicinity . say , will not come back Sheraton ... perhaps truly abide & quot ; Sheraton promise & quot ; . 
 Aug 1 2005 	 great shake absolutely fine really 	 stay 5 night last month whilst business trip . good location tourist , room top floor , bit musty , warm switch aircon afternoon 's ok evening . view 's block back waterfront . excessive noise . charge anything not tie though , water room $ 5 bottle . Ooh hang coffee free left note ask extra got can not really complain . not try restaurant , go bar , ok , kind omni - hotel - bar know mean . efficient concierge desk . car hire place inside hotel , advise we well convenient . would go back ? Nah , would find somewhere small , place fine not mind chain hotel . oh staff really friendly nice . first trip US though maybe everyone like ! 
 Jul 31 2005 	 Comfortable Hotel 	 spend 3 night hotel mid July find comfortable . room bright , clean nicely decorate plenty space . bathroom bite small mention review , compensate fact wash basin outside bathroom . could describe room view do not spend much time room anyway . location good fisherman wharf area , easy access part town trolley bus tram . city bus tour well worth start get orientation . Alcatraz must , book ahead . book internet , make sure go direct blue gold fleet website , agent site charge almost double ! ferry Sausilito also great trip . China Town italian area good eating place . 
 Jul 31 2005 	 Sheraton Fisherman 's wharf - not stay ! 	 disappointment . first , location . will not ever stay Wharf . be , near impossible get without car taxi every time . be many tourist cable car muni get full fast . hotel - sub - par service , sub - par room . tiny bathroom . awful view . cold outdoor pool ( claim heated ) . can not believe 's rate 4 star . flat - out lie . 
 Jul 20 2005 	 good room fantastic location 	 third year stay Sheraton Fisherman 's Wharf month July . travel state year family reunion find hotel good value expensive neighborhood . say , pointer pick hotel Fisherman 's Wharf location . parking pricey , currently run $ 32.00 day . cheap public parking lot nearby need self park save parking . hotel 's restaurant ok many good restaurant area always eat elsewhere ( even breakfast ) . ask room refurbish . maybe room do last year relative & quot ; old style & quot ; room . room year fantastic face pool . love bed , comfortable room quiet restful . 
 Jul 19 2005 	 Priceline - Warning ! 	 good example problem arise use on - line service like Priceline booking hotel . I bid 5 * hotel Union Square Fishermans Wharf area 3 day trip sf.my bid accept hotel read review concern . on book fear justify - allocate room side next bus station . room noisy - low frequency noise vibration disturb start 4am . I suspect guest book directly Sheraton would get room , fact staff member tell room always allocate Priceline customers.that problem priceline - always going get allocate bad room hotel . do not ever bid 5 * Fishermans Wharf will likely end room ! 
 Jul 17 2005 	 Great Location So - so Hotel 	 husband & amp ; stay Sat Tue early June . the location great , walk distance lot attraction , without noise & amp ; traffic . hotel common area could use little freshening ; couch & amp ; chair lobby starting stain and/or threadbare . bed great & amp ; one main reason book Sheraton . one thing start stay wrong foot check - in : take 30min check - in would take Starwood Preferred number book thru & quot ; consolidator & quot ; ( aka travel agent ) . explain front desk expect credit hotel room charge , extra charge may incur ( park $ 30 / day ! ! ! + internet connection $ 10 / day , etc ) . still want put number . 6hr flight , mood argue , let go . keep mind hotel & quot ; city & quot ; hotel , room size ok , small compare & quot ; resort & quot ; type hotel room . not seem enough staff guest , staff see always busy help multiple people time . concierge helpful ; ask get Muir Woods , wave we pile map . when go back SF , probably stay hotel , although good hotel bed ' ve ever sleep . 
 Jul 14 2005 	 Average Hotel 	 hotel excellent location , perfect explore wonderful Fisherman 's wharf surround city . hotel claim 4 * although would say 3 star . hotel noisy location bus depot near hotel constant noise bus quite annoying hotel number occasion smell petrol due amount bus / car let exhaust fume . swimming pool average size hotel restaurant average small , uninspire menu . room adequate . bed comfortable overall room small . hotel staff friendly hotel generally clean . overall bad 4 * hotel stay term room size , decor facility 
 Jul 11 2005 	 pleasant stay ! 	 husband enjoy stay Sheraton Fisherman 's Wharf much . room spacious clean reasonably price . staff front desk friendly accommodate . enjoy lobby lounge friendly staff work . hotel locate good location . short walk Pier 39 half block trolley stop . overall nice stay ! 
 Jul 7 2005 	 Disappointing Hotel - would expect 4 * hotel 	 want end California trip something special , think . so decide book two night Sheraton ... picture homepage deceive , consider part hotel cover scaffolding . ok , location good , however , dozen hotel choose area ( within 2 min . walk distance , one hotel basically next ) maybe well choice . the room 3rd floor . noisy overlook hotel air - conditioning . bathroom really tiny mold . offer internet $ 11 ( without tax ! ) call 24 hour , problem 24 hour end 12:00 noon ( regardless time decide take ) . ask concierge receive snotty answer . staff friendly customer orient . overall taste so - call 4 * hotel leave disappointing throughout . 
 Jun 29 2005 	 well choice area . 	 wish could give hotel well rating staff accommodate . restaurant excellent waiter could not friendly . location also convenient . now bad . not believe tell renovation disruptive . half hotel still cover scaffolding , include building around pool . get room away construction probably well opinion hotel . first room assign fourth floor & quot ; executive & quot ; section , cost slightly . not bother . pound outside wall arrive workman sit outside window electric saw , etc . go three hour request different room . also , room terrible condition . two lamp not work , wallpaper peeling blind water stain . front desk aware room affect construction , opinion . we try call front desk request new room hold fifteen minute finally walk person . , accommodate , downgrade second floor . ask premium pay 4th floor , say wash new room balcony . well , , level roof air conditioning unit furniture . not really matter , receive discount . fair , manager send bottle chill champagne make , nice since not make scene anything . new room MUCH well condition appear renovate recently . the suppose & quot ; executive & quot ; room identical standard room , not waste money get ergonomic chair . regular room desk internet connection ( $ 10 day ) . property old bathroom microscopic amenity provide cheapest available , ' m sure . again , staff great . let we leave car driveway check could move cruise parking garage . not charge we anything , nice . hotel easy walk distance cruise port , ultimate destination . dinner breakfast hotel restaurant find excellent time . unfortunately , staff can not make dingy , chaotic hotel . many hotel area would recommend choose Sheraton . 
 Jun 29 2005 	 much improve 	 stay business little five year ago , awful . current company decide hold 4 - day meeting , concerned say least . delighted find , however , hotel completely turn around . although outdoor pool fit swim ( pool man say & quot ; much dust around & quot ; keep water pristine ) pool deck area fine place relax conduct small meeting . guest room spotlessly clean refurbish daily , bed , other state , excellent ! Fisherman 's Wharf attractive area , disturb noise . 
 Jun 28 2005 	 great location poor room 	 approach hotel look magestic granduer . reception smart , go hill . room basic 80 's looking , place need big modernisation bring 00 's . breakfast reasonable , real plus location close main attraction . alot outdoor work take place weary view room . bring jumper san francisco get windy sometimes cold . 
 Jun 27 2005 	 nice clean hotel great time 	 first time San Francisco not sure expect . the front desk personel friendly let we check normal 3 pm check - in time . I find internate site let we upgrade room fourth floor Club level include continental breakfast hor d'oeuvres evening really great rate .. double room clean nicely decorate enough room us rollaway . the bed comfortabe quiet . the restaurant little spendy many different eating place around us o.k . I think Sheraton Fishermans Wharf definately worth money locatin well explore city .. would stay ... 
 Jun 12 2005 	 great location great bed expensive parking 	 return weeklong trip north CA / OR / WA coast stay sheraton fisherman 's wharf June 5th . hotel great location , especially look utilize ferry various point ( Alactraz , Sausilito , Tiburon , etc ) . Sheraton make sweetsleeper bed permanent fixture hotel , certainly get good night rest . real downside hotel parking , perhaps par New York City equivalent city , pricey . park overnight , either self - park valet , set back $ 32 . look back , glad spend one night since $ 32 1/2 pay actual room via priceline . nonetheless , hotel live expectation Sheraton location beat play tourist San Francisco . 
 Jun 12 2005 	 Great Location ....... 	 stay Sheraton Fisherman 's Wharf attend conference area want get starwood point . say property quirk . refurbishment seem take ever . public area distinct 70 's feel need update . other review say bed great , air conditioner noisy , ammenitie bite stingy , bathroom straight brady bunch , room service generous nice . restaurant hotel may view certainly good steak ever eat ! eat hundred melt mouth . front desk also need staff seem perpetual line check make negotiate lobby bit hazardous . that say smack bang tourist area bell whistle , resort sleep shower fulfill purpose . 
 Jun 8 2005 	 great location nice hotel 	 wife stay 5 night Sheraton Fisherman 's Wharf start Memorial Day weekend . ' m sure could better location Fisherman 's Wharf . bay 1 block away Pier 39 2 block west . also block one cable car turn around 6 block another ( along Ghiardelli Square old Del Monte cannery ) . hotel ok . room normal size type city ( space cramp city like SF New Orleans ) clean . toilet area bathroom small , manageable . 2 countertop sink area much well . construction hotel ( review state , hotel undergo renovation ) , never even hear worker . want nice place stay , not spend much time day room , construction not bother . really view room hotel Fisherman 's wharf anyway . bellman great , rest worker seem ok , nothing special . parking $ 32 24 hour hotel area . overall ok nice hotel perfect location . option we would Tuscan Inn across street . 
 may 24 2005 	 good location value 	 stay Sheraton one Saturday night May . hotel charge double rate , book $ 139 AAA . location ideal activity Fisherman 's Wharf , one block away . hotel three story occupy small city block . facility room well - decorate staff accomodate . parking premium Wharf public lot charge $ 22 + day hotel $ 30 , return privilege . street construction noise bother , request inside room . weekend , construction scaffold place one side hotel . street noise would prevalent hotel Wharf . purpose , location , price Sheraton quality good match . 
 May 24 2005 	 pleasant stay 	 arrive San Fran wonder would unhappy hotel monitoring review property . generally please Sheratons decide give hotel benefit doubt , idea relocate another property unhappy . room need & quot ; facelift & quot ; , clean comfortable . find staff courteous exception one individual club lounge . express concern management apologetic seem take constructive critism seriously . location property great ! base experience , would hesitate stay . 
 Apr 26 2005 	 good location Sub - par hotel 	 place actually impossible . make we actually want leave San Francisco . wife stay end trip expect lot Sheraton . place tired , worn , noisy all - tell ( can not guess ) extremely disappointing . we have figure Fisherman 's Wharf would good place round visit Bay Area . may true , say Sheraton San Francisco Fisherman 's Wharf . place desperately need facelift . & quot ; upgrade & quot ; suite hate think regular room would like . one straight ' 70 show - albeit without burn umber . light blue , sky blue steel blue , feel worn . carpet old , furniture need upgrade , soundproof poor . never mind room next door - even window close , could hear people outside . might well room we . generally trust Starwood property . case , hard go wrong . learn one franchisee , make sense . starwood would not want exert control prime location Fisherman 's Wharf SF beyond . run show , would want make flagship property . clearly . whoever run need get act together . all tell , disappointed reason place get 2 1 location . say , likely well option area . 
 Apr 25 2005 	 overrate 	 cut long story short stay sheraton terrible & amp ; horrible . wear room little bathroom . outside incredible noisiness . rude behaviour reception staff . possibility change room . avoid location . 
 Apr 21 2005 	 Poor .. 	 arrive ( late night ) , scaffold place , get put bad room hotel . wallpaper peel wall , room cramp overlook bus depot reving reverse bus night . Combine fact really big single glaze window seal perfectly - 0 % chance get sleep . EVENTUALLY get move another room , speak ANYONE hotel total pain . staff poorly train opinion , , English appear first language ... anyway - get hassle , dry clean hotel lose cardigan . expensive cardigan , really rub wrong way fact lose , would take responsibility do . speak least 5 different people , insinuate make thing - even though item clearly print docket ! cut long story short - security guy ( force give full statement ) promise email find happen , surprise surprise , 2 week later - hear nothing . 
 Apr 13 2005 	 consider location 	 4/9 - 4/12 . consider location , easy overlook small imperfection . pool view , due construction , door cover plastic , light view . ( housekeep insist opening day . ) bed AWESOME ! sleep like dead can not believe great . make bed everyday fresh towel refill soap necessary . coffee also restock . think worth rate ... $ 110.00 get . stay much nice hotel past , go San Francisco , not want see room . super close Wharf , Pier 39 , bus cheap convienient . 
 Apr 13 2005 	 disappointing 	 stay 3 night March 2005.booke nonsmoke king , receive smoking double .... room look like never dust . noisy room face bus . bad housekeeping frontdesk stuff.not recommend 
 Apr 5 2005 	 Bad Experience .... 	 stay hotel middle January pick hotel since close Fisherman 's Wharf . family reserve two room club floor nothing serve club floor . different floor pay extra extra service . room connect , extra loud construction outside room . hotel completely sell could put we quieter side . another major complaint comforter badly stain . not know exactly , would want sleep bed nasty stain ? leave note bed housekeeper could change , return leave unchanged . carpet somewhat stain also , wallpaper peeling ( practically hang ) great stay . one last thing front desk rude . lady help we check make we feel though customer . bad attitude towards we . one bad experience stay hotel . think even apart SHERATON bring name . would recommend hotel want pleasureable experience . 
 Apr 3 2005 	 bad great 	 read review Brazilian post March 29th , stay hotel time . hotel PACKED week long . spring break , tourist everywhere , child run around everywhere . entire staff visiably stress . australian teenager ( 10 - 15 time ) go front desk literally ask four quater dollar . insane . light situatation , see staff let thing slip . business , little smile , & quot ; day go & quot ; even $ 5 tip concierge helpful make everyone relax little . hotel construction . be go get view . even without construction , view . be stay bay . 's good location , be tourist walk walk touristy place . business - wise , cool neighborhood wise , not bother . 's tourist . room pleasnt spacious , bed COMFORTABLE , gym suck , business center open good time , bar good . staff overwhelm stay . service good ? really . staff busy week . stay starwood property hotel , one par expect Starwood . 
 Mar 29 2005 	 except location ... 	 Sheraton Fisherman 's Wharf bad hotel ' ve ever stay US ( far cheap ) . 3/16/05 3/19/05 . treat guest bad way . since travel family , ask adjoining room , even though hotel not full , good could give we two close room face bus terminal . advice get room face bus really noisy , even night . ask could change room next day one answer leave message we . People valet polite also , park hotel expensive , $ 36 per day ( $ 32 + taxis ) . parking mall right front hotel charge per hour maximun $ 25 per day . the housekeeping one bad thing , since not clean room , make bed . use vine glass housekeeping leave way . happen coffe maker . make one international call , three minute charge $ 44 ! ! call prepaid card public telephone cost $ 5.the bad thing bellman leave . call someone help we luggage 20 minute almost nobody check in / out nobody come , l go belldesk ask . 15 minute nobody appear , call guy unpolite tell wait alone . piss hotel get luggage room put car . bellman keep talk cell phone not anything help we . good thing hotel location , 5 minute walk Pier 39 . really disencourage anybody stay hotel , be really worth ! 
 Mar 23 2005 	 enjoy Sheraton 	 stay business / pleasure trip three day first week March . location perfect touristy stuff , within five minute Pier 39 / Fisherman 's Wharf / Ghiradelli Square . get Club Floor room $ 115 per night starwood point upgrade . breakfast evening hor d'oeuvre wonderful perk . take plate goody room eat leisure . also , Safeway grocery store right across street Club room refrig keep food drink fresh . little need buy expensive food unless want . problem construction work , street noise ( even fourth floor ) loud night . really complaint . bring ear plug sensitive . room big clean . room insulate noise inside hotel . bed wonderful . staff encounter friendly helpful . would definitely stay . 
 Mar 22 2005 	 ok pricey 	 visit SF two occasion stop hotel . the hotel good location ( respect ) close Fishermans Wharf , accomadation reasonably good . on downside problem . one common hotel bugbear - people let door slam matter hour . seem improved time revisit hotel fit well damp door . another problem hotel 2 3 story high , never far away street . particular would comfortable ground floor especially area hotel well . noise also problem one side hotel particular locate adjacent bus depot noisy . the hotel particularly cheap parking extortionate ( $ 30 night ) would never consider stop car . on whole hotel ok detract experience San Fransisco love . 
 Mar 16 2005 	 Good Location - lack style 	 spend 4 night begin March - previously warn hotel building work going cause hassle we . excellent location Fishermans Wharf ( not think could get close ) room bland / basic . would recommend hotel would say not expect anything glamorous . 
 Mar 13 2005 	 over - rate ! worth 4 star ! 	 ' m sure 4 star hotel - decor pretty tacky , wireless internet cost $ 14 ( say online ! ) , & quot ; newly renovate & quot ; hotel still cover scaffold - seriously think cab drop we wrong place . would rate 3 star hotel . pay AAA discount rate $ 150 / night much . bed redeem quality ! location Fisherman 's Wharf good like cheesy touristy stuff . 
 Mar 6 2005 	 great stay 	 stay 2 night enjoy location , room amenity . first bed 2 week trip Phoenix calif sleep night . Perfect pillow mattress . would definitely stay Sheraton bed . 
 Feb 28 2005 	 wonderful stay 	 son get back S.F. , stay feb 19 - 23 , 2005 . stay 3rd floor , yes hotel construction , do not affect we . lobby wonderful , warm , cozy fireplace . room bed like everyone say .. wonderful . coffee maker ( important ) , cable tv room . Room Svc reasonable , choose walk downstair order bring dessert back room . Hagen Daas ice cream hot apple pie great end long day walk wonderful city can not wait go back . definately stay Sheraton . not anything negative say , one lady bar area , rude .... complain . hotel immediately give we voucher b / fast next morning . concierge tell we & quot ; Pergamino 's columbus , ( walk hotel ) , good waffle ever ! b / fast memorable . close everything , F / wharf , pier 39 , pier 41 good place crab chowder , less expensive pier 39 . 
 Feb 14 2005 	 great location 	 say feb 4th 5th . got great rate via Hotwire . get bump room two full size bed ( instead queen ) place full ( tourist group ) . good . room nice 's expect . remodeling pool go swimming anyway pool heat enjoy . close fisherman warf area walk north beach . try restraunt . parking expensive that s way san francisco get . satisfactory hotel . 
 Feb 9 2005 	 Great Place complaint 	 spend week Christmas Honeymoon Sheraton . GREAT LOCATION , ROOM NICE , AWESOME BED ! ! ! book online tell would get whatever room available . call early request non - smoking room king size bed . tell would see could . exactly ask , throw bottle wine surprise . not drive parking price not issue . eat one night restaurant ok . plenty restaurant , include IHOP across street not bother we . great location , bus stop right front , right pier 39 . RECOMMEND HOTEL get good price . 
 Feb 2 2005 	 parking ripoff spoil visit 	 move San Francisco month ago attend event would consume alcohol , responsible adult , decide book hotel evening . also thought would treat ... night big City we ( ) suburbanite , look forward . check early ( admit first mistake ) get give smoking room 2 bed oppose non smoking King request . surly check clerk point have book Priceline , not know want ( really ? ? ? ) manage switch non smoking room later day aforementione desk clerk another one ! even though , offer & quot ; possibly & quot ; non smoking room ( not seem know , go take look ) . surly clerk also inform would $ 32 charge parking . horrify . especially discover exactly rate general public pay parking public garage . site parking price break guest hotel . frankly , stunk . my beef 4 floor building , seem full guest ( judge number people around time , problem get non smoking room ) , 3 elevator , one work . sign indicate one work , guest figure , front desk staff seem unconcerned . no shower cap either provide bathroom ! ! : - ) will end positive note . bed bed comfortable ... guess Sheraton make big push area , nice . also , spite hotel 's busy location , feel have do good job noise reduction room , bother street noise unduly . 
 Feb 1 2005 	 love hotel ! hate pay other parking ! 	 get back beautiful weekend Fisherman 's Wharf . hotel pricey , be convenient everything service fantastic . hotel undergo renovation , not let keep stay . bed soooo comfortable husband interested enough possibly buy one - unfortunately be custom make Sheraton . 's 2 cleaning time day ( 1 turndown ) . stay Club Level give we continental breakfast a.m. appetizer night . also include 2 food time Starbucks coffee big cup take away . save dollar love Starbucks . bad part . were'nt tell pay parking guest prior arrival . $ 32.00 per night + 14 % tax be hotel guest . mean guest pay park car tourist street use parking garage ! suggestion park car tell not drive , find another garage park far less money hoof hotel , park car BART take BART city . parking complaint . 
 Jan 26 2005 	 would not really recommend unless get GREAT deal 	 arrive find room street level EXTREMELY loud tour bus right outside window . addition room quite small . go back front desk inquire quieter room tell nothing available since hotel construction . ultimately offer upgrade quiet , large room $ 50 plus tax . could tell unsure offer throw breakfast . new room quiet although hardly large . breakfast follow morning consist coffee , piece fruit , croissant cold cereal concierge lounge . gentleman charge extremely rude . exactly 10:00 proceeded kick everybody , even still eat breakfast . end grab banana cup coffee way . overall ok , hardly worth $ 200 / night end pay . 
 Jan 10 2005 	 Brilliant Holiday Sheraton ! 	 firstly , would like say people moan endlessly Sheraton Hotel - GET LIFE ! family stay Sheraton Fisherman 's Wharf 27 Dec 2004 3 Jan 2005 initially worry due negative review post TripAdvisor website . end day , come conclusion obviously people like simply moan anything everything . well , advice guy ignore NEGATIVE REVIEWS ! ! call UK prior flight warn us renovation currently do hotel would scaffold around outside hotel . Virgin advise we hotel staff try move people around not scaffold view . we arrrive 10 hour flight 15.00hrs ( 11 pm UK time ) feel pretty tired . ask Edita Reception chance upgrade . oblige straight away ! helpful check within 10 minute ! get room , mum , dad sister 's room scaffold outside window , room lovely . two king size bed , roll - away bed ( request ) extra would expect . mine husband 's room also lovely , exactly mum & amp ; dad 's room , expect scaffolding ! bed - well comfy . plenty pillow - favourite small Sheraton pillow - soft ! sheraton brilliant location . right near pier 39 41 couple block away cable car . the hotel food great although cheap , good quality ! afterall , holiday , treat ! lobby lovely georgous fireplace sit relax front . buffett breakfast $ 15.95 much could eat - well worth . go along IHOP see would work cheap , work roughly price , breakfast hotel morning . I could fault hotel try - everyone helpful always smile face ! would definitely recommend hotel return San Francisco , would definitely stay Sheraton ! ignore negative review ! due visit hotel near future - trust - love ! 
 Jan 4 2005 	 Sheraton Fisherman 's Wharf ok 	 spend Christmas week Sheraton Fisherman 's Wharf SFO . ok , room decor shabby . bed incredible -- -best ever sleep , duvet cover jar bright blue , upholstered furniture ragged turquoise . drape unbelievably soil worn . bathroom comfortable well - stock amenity . tv 15 channel favorite , like food channel , miss . even third floor , ask room away bus garage , still lot street noise , especially bus turn corner right outside . location great -- -only couple block pier 39 Fisherman 's Wharf feel safe walk neighborhood . food dining room horribly over - price . breakfast $ 6.95 granola yogurt parfait , consist scoop yogurt dump bowl , 1/4 cup granola dump , 4 strawberry . sheraton see dish serve soda glass , lot goody attractively layer . lobby attractive nicely decorate holiday season . George bar friendly remember preference first stop . hand , not exactly overwork . several hotel area would check reserving . 
 Jan 2 2005 	 good location 	 use price - line get good rate hotel . location excellent . walk wharf beyond . first apprehensive many poor rating hotel . first check tell non - smoking room . give bad room hotel . right next bellhop blow whistle day , room stank . complain nicely give room second floor big not smell . guess little persistence pay . bed comfortable abundance pillow . money ( would less $ 80.00 since park $ 32.00 ) hotel worth . 
 Jan 1 2005 	 Comfortable Beds ever 	 husband stay Sheraton 4 night June thoroughly enjoy stay . room spacious enough two us decor tasteful without excessive , bed ..... truely comfortable ever sleep - expensive bed UK exaggerating . the food hotel may seem little pricey compare restaurant chain wharf , get pay impressed quality steak freshness ingredient . location excellent good base sightseeing . see other criticise hotel guess people may always something complain wherever go . Dont put negative review - thoroughly enjoy - much Luxor Las vegas ! 
 Dec 16 2004 	 Ideal Base 	 hotel ideally place see tourist sight . one block Pier 39 , one block cable car city centre . hotel spotlessly clean staff could helpful . room nice bed possibly well bed home . breakfast hotel fairly pricey , recommend IHOP restaraunt round corner great way start day . want hotel act base day SFO , Sheraton good choice . 
