luxury 	 stay couple month open . beautiful suite great layout . love everything incredible bathroom , comfortable bed remote control shade curtain . casino connect venetian lively fun . phantom incredible . 
 amazing stay one Las Vegas ' good suite hotel 	 Palazzo quiet serene oasis midst Vegas strip activity . twin tower Venetian , huge Palazzo suite amazing view Strip - directly across Treasure Island Fashion Show Mall . location great . never leave Venetian / Palazzo complex , , be close Wynn Encore Mirage . 
 Great Stay 	 second stay would stay anywhere else . service room always excede expectation . room huge always clean . service great always happy help . everyone work maid taxi line people always say good morning , afternoon , ect . would recomend hotel anyone . 
 Mature clientele 	 stay Palazzo right Thanksgiving . find hotel mature clientele , without much party scene , fine . think be hipster look big party scene , may right hotel . hotel nicely appoint clean . room nice , impressive , consider pay . certain area , & quot ; aroma therapy & quot ; pump , combine usual cigarette smoke , bit hard swallow . staff service average . one waitress make positive impression tip accordingly . desk personnel friendly , agenda sell pay upgrade . logistically , Palazzo good jumping place want within close walking distance either Wynn , Mirage , TI Harrahs . hotel large , combined sister property , Venetian , slight orientation challenge . two join property , be pretty much something everyone . overall , not big issue hotel , expect , give price pay room additional service . 
 vastly overrate 	 unfortunately big disappointment , except bright spot ( server Grand Lux , comfortable / spacious room ) . service nowhere near would expect five diamond hotel ( receive ) -- multiple call priority service get equipment room working order , surprise fee , unknowledgeable concierge multiple occasion , room service meal sit hall almost 24 hour . be prepared pay fitness center ( despite note website ) . tell additional charge use whirlpool ( ask multiple people ) , find one outside free charge -- not staff know property ? back Bellagio next time 
 Apr 26 2009 	 good stay 	 lovely hotel , ' sedate ' other Strip make nice change Vegas . the good : spacious room bathroom , comfy bed . nice casino , friendly staff . pool great , although service slow . good : Luxury Suite would book not available check - in . assign Queen Suite instead , Strip view decide take duration . gave wait 10 minute someone front desk answer phone . Lavo Restaurant - mediocre food vastly inflate price . 
 Apr 26 2009 	 Love Palazzo 	 husband stay Palazzo 5 night get away love . request room available upon arrival put we huge suite 47 floor room ready next day , ( charge suite . ) room clean staff casino excellent . get chance rent cabana stay well worth money . say not really eat dinner hotel travel family member book dinner prior get Vegas , get chance try Il Mulino , New York . excellent hotel $ $ $ . can not wait go back . 
 Apr 25 2009 	 venetian 2.0 	 decade venetian premier property Las Vegas strip . great thing , stay top require reinvention improvement . Palazzo do - styling classic , yet modern hotel energy it . room decorate venetian fashion , modern trendy flare . hotel feature upscale lobby , virtual smoke free casino variety great restaurant meal occassion . Management make great decision jettison exclusive 40 deuce club ( sport bar meet NYC night club ) relax sportsbar . overall , Palazzo fantastic hotel prime strip location . not hesitate grab great deal come way . 
 Apr 24 2009 	 one well far ...... 	 beautiful hotel . town convention . staff helpful friendly . lobby gorgeous ! visible security time . casino average casino lobby -- -- -smokey loud . stay 15th floor wonderful room . tastefully do marble floor countertop . flat screen tv . sunken sit room huge sofa . could hear plane distance airport not bother . big comfy bed . lot attraction within walking distance . venetian attach , lot shopping . street Caesar 's palace , Mirage , Treasure Island , etc ... easy get big sidewalk . great experience Canyon Ranch spa hotel ! 
 Apr 24 2009 	 must do - again 	 receive comp offer Venetian / Palazzo instead stay usual hotel ( Caesars ) decide give try . beautiful room . criticism headboard dusty- something could live . stay , light bathroom ( seperate toilet area ) go , thing happen . room service prompt accurate . food surprisingly good room service . the check invite guest check simple straight forward . my complaint bell service misplace request bag send room call twice wait hour half . check fast easy . this beautiful hotel bring 8 friend next week . see go . 
 Apr 24 2009 	 pure relaxation 	 Stayed Palazzo April 17 19th meet expectation . arrive around 1 p.m. short check line room ready immediately . appreciated someone meet front check line escort next available agent . request refrigerator room provide one free charge . we room 26th floor face Wynn pool golf course . beautiful view not make worth upgrade strip view . love darken room morning , really like remote control curtain keep room pitch black . unlike hotel Palazzo actually provide HD channel 3 flat screen tv . unlike reviewer find room perfectly clean day furniture wear . one warning , turn master switch front door night light toilet area will not turn , selective turn individual light rather master . complaint room bed pillow rather hard like . strange seem comfortable bed Las Vegas one Treasure Island . we spend afternoon pool . appreciate third floor need walk casino lobby . although pool crowd trouble find chair many option . other note drink service extremely slow . order pitcher sangria take almost hour waitress return . wife actually time order pizza Solaro return drink arrive . pizza good way . also issue pay waitress credit card room also charge . front desk take care charge quickly though . Palazzo really great restaurant . wonderful dinner table 10 food service superb . also stop sushi samba several time great cocktail along interesting tasty sushi roll . although place suffer little ambiance shop area hotel . always fan Grand Lux Cafe even upon find $ 15 breakfast buffet include beverage . order coffee juice alone main menu , would $ 10 each . next time Vegas look return Palazzo especially continue offer great rate superior room . 
 Apr 23 2009 	 beautiful . 	 beautiful hotel , excellent staff service service . room fantastic , bathroom moreso , excellent location thing Vegas . would highly recommend hotel , plan book Vegas travel run : ) 
 Apr 23 2009 	 Perfect 	 wife stay Palazzo April 17th 20th 2009 . stay regular room 43rd floor overlook strip . room clean spacious dispite comment post room dirty button miss couch , room perfect . order room service breakfast every morning great . diner Table 10 , Valentinos Zine . reseraunt great food great service . spend time one many pool luck get anyone bring we drink . thing busy not enough staff wait people pool . woul recommend hotel anyone look get away good time great city Las Vegas . 
 Apr 22 2009 	 First Time Palazzo can not wait return 	 husband recently stay Palazzo due business commitment . fall love resort . although long line form check - in , staff must anticipated least 15 20 front desk attendant keep process move smoothly . suite request not ready noon arrival time , leave cell phone number call . check bag lovely lunch Enoteca San Marco 's attend business wait . we suite 33rd floor overlook venetian pool complex Mirage , allow we great view volcano show evening . remote - control blind curtain nice tough , also . room clean , stock plush towel , robe slipper , along toiletry kit nice - smell shampoo , lotion bath gel . bed comfortable , hall noise sound adjoining room stay . when go downstairs first morning casino - level coffee shop , locate right outside guest elevator bank , bit line . security guard tell line second - level coffee shop . say not brand preference , would wait . proceed escort , nice touch . second security guard kind enough help we find Bouchon restaurant Venetia Tower lose , escort we could find way . we also great time casino . many favorite game slot machine , Club Grazie player 's club staff helpful courteous . we hope lucky enough stay Palazzo next visit Las Vegas . 
 Apr 19 2009 	 Palazzo Las Vegas 	 background : visit Las Vegas least twice year stay strip Imperial Palace MGM Sky Lofts . Palazzo simply amazing second stay . fresh , new contemporary Venetian style room next door . lobby spacious host greet name assist wait next agent wait line . casino spacious ample height allow smoke dissipate . choice restaurant amazing affordable Grand Lux Cafe ( cheesecake ) Morels , great steakhouse onion soup die . room spacious never ample lcd ( 3 ) keep entertained room . bed one comfortable around quiet . know everyone mention you re Vegas & quot ; do not sleep anyways & quot ; think ... sleep require , 3 4 hour , precious , want comfortable bed quiet atmosphere much possible .... Palazzo . slam door ... maid knock early hour . 730 ft2 sized suite offer nice retreat . centrally locate fashion show mall , caesar forum shoppe , shoppes palazzo , canal shoppe shop . game reasonable high min stake wynn , offer great poker room ( venetian ) gaming table slot . this would choice future stay .... 
 Apr 19 2009 	 wonderful Stay Palazzo 	 wife stay Palazzo April 10 - 14 . much research hotel visit come Palazzo , Venetian , Bellagio . happy choose Palazzo . wait wait great promo rate one finally arrive week leave . check - in check - out smooth . nobody bell desk approach we get taxi airport , okay . room beautiful . although & quot ; low & quot ; far cost , excellent place stay four day . room look Wynn golf course . day view not much , night view nice . beautiful sunrise morning mountain well . room ton space hear . bathroom wonderful separate toilet room , separate shower , beautiful fixture . bed comfortable , sectional sofa sleep area . complaint room could come cordless phone bed not seem work . remote tv slow respond opinion . neither big problem not watch much , , tv , talk phone . we enjoy proximity hotel Wynn , venetian , TI , Mirage . smell casino common area seem bother many , not bother . actually like it . my wife get great coffee pasty Coffee Bean elevator . line always small coffee pastry delicious . eat Grand Lux twice lunch love time . ( emeril 's ) table 10 fantastic meal perfect service . enjoy pool two day . drink service pretty good pool pool area seem clean . overally , love Palazzo . would stay heartbeat . complaint video blackjack machine casino not allow double split pair $ 1 bet . Wynn , Encore , TI , Bellagio , Mirage , NYNY , even Venetian 's machine , idea Palazzo 's machine not . 
 Apr 19 2009 	 great restaurant location TAO 	 first time go Vegas & amp ; 3 room book via Virgin Holidays direct Palazzo . check , room bad view upgrade concierge suite . like add extras charge , ie : strip view , extra another double bed 2 boy , expect kid sleep sofa bed 11 night ! ! ! laundry price kid clothe & amp ; adult & amp ; expensive . 5 item £ 35 . love Palazzo see Wynn . Wynn much elite & amp ; wow factor next time stay . however , Palazzo good , service , staff , room excellent . snag phone room & amp ; shower . like powerfull shower get someone right away adjust power & amp ; phone battery keep go dead . go kids & amp ; baby sitter every night 10 night expensive ! ! ! would strongly recomme travel without kid choice . hotel baby sit facility & amp ; tell childrten 5 permit top show . see Blue Man group enjoy much show . love Phantom Opera & amp ; Arthur Frank Magic excellent Tropicana Hotel ( must take kid see . ) buy ticket half price booth outside Fashion Show Mall . must go Tao weekend similar Budha Bar . enjoy food TAO & amp ; abience & amp ; music excellent . also eat Grand Luxe , Lambourgini , Woo , Zine Noodles Dimsum , Carnevino . different & amp ; would highly recomend except last way expensive & amp ; plain . manage get half price ticket Phantom Opera highlight holiday . shop great Vegas due exchange rate , London cheap . however , portion huge . overall , would choose Palazzo din Wynn glamour . way , buffet Planet Hollywood number 1 & amp ; 5 year run . like bufft Paris . gambler see top hotels strip & amp ; show everynight . Palazzo come second Wynn Wynn lack din experience & amp ; good part Palazzo connect Venitien & amp ; service great . Grand Canyon also must . , child price adult . 
 Apr 17 2009 	 Loved love love Palazzo ! 	 ' ve stay several Vegas hotel year , far good . beautiful room , excellent service , great location . 5 minute walk Wynn , venetian , T.I . depend direction go . fabulous restaurant throughout hotel , especially SushiSamba , brazilian sushi bar . also love Bouchon breakfast ( Venetian ... connect ) . can not wait return ! 
 Apr 15 2009 	 sparkle ! 	 go new year eve great time . the room massive , beautiful luxurious , would back instant . it good central strip location also . the negative like buffet need go elsewhere not one ! ! ! also go Las Vegas want helicopter Grand canyon would recommend Maverick great ! 
 Apr 15 2009 	 First Stay Palazzo ...... will not last ! 	 despite venetian favourite destination Vegas decide take old two child ( plus daughter boyfriend ) Palazzo 21st birthday present . pick Palazzo Ventian basis probably - different - wrong . hard fault Venetian say go Palazzo . room large & amp ; comfortable everything would need . always ask high floor ( 48th ) view spectacular view TI & amp ; Wynn / Encore disappoint . child upgrade 2 bedroom suite , due convention town , really enjoy vip experience - think episode Cribs ! also really like way pool deck hotel connect via attractive walkway get sun lounger pool never problem.the tangible difference could see Venetian Casino layout open modern feel Venetian that s neither plus negative different . plus Palazzo reception nice impresiisve Venetian . slight critiscism breakfast room service slow say large convention hotel stay could use pre order breakfast system wanted - want organised vegas . the Palazzo top notch oppinon next year tough decide whether go venetian Palazzo experience - tough choice ! 
 Apr 14 2009 	 really really good 	 Palazzo room similar Venetian ( jsut different color ) enjoy stay alot . walk Valet checkin marathon greet name make we feel special . check - in extremely quick walk elevator also close . still walk casino huge walk like . room 39 - 737 extremely quiet room ( 2nd end hall ) great view Wynn gold course . literally hear little noise neighbour high enough hear road traffic either . really good room . relax HD - tv 's bonus .. crystal clear viewing . complaint we . 
 Apr 14 2009 	 $ 20 work like charm 	 go invite guest check - in , ( per guest relation reservation ) . slip sandwich counter -- cc , $ 20 , DL upgrade basic luxury suite venetian Bella suite view palazzo . many , many review state , -- soon young gal see $ 20 , type away computer make phone call . check early 11 . book guarantee reservation suite even ready yet upgrade suite view ! would definitely try hotel reservation las vegas . I also try sandwich box office show strip give ticket vip section . , young gal see $ 20 sandwich say problem . Bingo , move 5th row stage . definitely try . 
 Apr 13 2009 	 double charge room 	 wife reserve room card place charge card . however , charge Palazzo Las Vegas twice two slight variation name . neither cc company Palazzo would tell we money go refund we . beware double credit card charge ! 
 Apr 12 2009 	 nice room could well 	 stay five night April . beautiful lobby welcome arrive casino roomy never feel crowded . selfparke garage , never problem find good space 's close guest - room elevator valet . check - in 11 Sunday morning take 5 minute . Got Strip view room 30th floor facin TI . although room beautiful could clean . kind cereal leave window entire stay couch seem dirty stain it . the staff hit miss . almost one say hallo good morning would pass theme hallway . maid never even maid eye contact . security elevator look angry time , service minded eye . day staff really important sell property ' m sorry say staff att Palazzo not great job . pool area ok , crowded small pool , Spring Break lot kid . one thing never understand play loud music pool . music fine can not talk person next without raise voice something wrong . would go back Palazzo ? choice Las Vegas current price ' m sure . room nice , location good , staff friendly pool average . like like work even vacation 's 40 $ day use gym ! sorry say use . 
 Apr 12 2009 	 extremely nice hotel 	 one nice hotel ' ve stay . gargantuan room 39th floor , separate step - down sit area big window overlook swimming pool Vegas strip . huge marble bath glass shower separate tub . multiple swimming pool , well maintain . extra charge workout facility & amp ; spa , use . Vegas 2009 city idle crane half - build luxury condo tower -- bit depressing , nice hotel like Venetian / Palazzo compete business offer great rate . business , family would ' ve enjoy well . 
 Apr 12 2009 	 Outstanding Service 	 stay concierge level . continental breakfast evening happy hour concierge lounge great . service receive throughout hotel consistently good . consistently helpful cheerful . room beautiful location great . shop Palazzo high - end Las Vegas walk next hotel cross street find variety . if be look affordable sundrie , snack beverage , try ABC Store Fashion Mall across street . if visit Las Vegas , Palazzo definitely would stay . 
 Apr 12 2009 	 Sweet Suite Experience – Palazzo Las Vegas 	 wife opportunity spend two night Palazzo Las Vegas April 4th 5th 2009 . love every aspect stay . we drive town deposit car valet luggage bellman . reserve Concierge level room ( suite ) base many comment Trip Advisor . couple day arrival receive email describe check - in process . drive Palazzo , leave car valet luggage bellman proceed 23rd floor concierge lounge . we greet immediately check - in take minute . receive request king bed suite 25th floor , non - smoking . use private elevator run 23rd 28th floor think kind cool . two elevator service six concierge floor one come almost immediately give feel exclusivity . our suite , # 25833 wonderful ! smell fresh spotlessly clean . every amenity could want include absolutely quite . never hear noise whatsoever room appreciate . frustration take hour get luggage concierge call . call guest service couple time finally arrive . the king bed comfortable pillow bed linen seem high quality . night stand lamp side bed . cd player clock radio one side phone opposite night stand . wall across bed 42 " High Def flat - screen tv . dresser light top . next bed double - door light closet . on wall sleep area sit area thermostat remote blind black - out curtain . suite view basically … nothing interest . suite face East bellman suggest close black - out curtain want sleep later morning . the sit area large sectional sofa large coffee table . couch comfortable . small desk next couch wire wireless internet connection . charge $ 9.95 per day use Verizon wireless connection instead . next desk Brother multi - function ( AIO ) printer , fax , copi , scanner . work area seem cramp , Las Vegas work . across sofa 32 " flat - screen High Def tv standard dvd player . channel tv work , Vegas watch tv matter we . report problem . tv mini bar , use , electronic safe , use . also across sofa round table chair seat three . the bathroom luxurious deep bathtub glass - enclose shower . vanity area dual sink assortment high quality bath amenity . towel three provide wife comment like well home . two resort robe also hang bathroom 19 " high - definition tv mount vanity area . water closet dual line phoneWe go concierge lounge 5:30 see appetizer offer . intend make dinner , food good eat much dinner . night food Mario Batali restaurant B & amp ; B Ristorante Venetian next door . Service Concierge Lounge good . crowd , food continually replenish . mixed drink serve bar , one attendant offer non - mixed drink include wine champagne continually . for , big benefit pay upgrade Concierge Level coffee morning . coffee continental breakfast available 6:00 . continental breakfast nicely present include fruit , baked good , cold cereal , juice croissant breakfast sandwich . enjoy start day sit read one window overlook Strip enjoy three four cup excellent coffee . both wife like Palazzo ’ casino . less smoky other easy navigate wide aisle run side side end end . weave way casino get guest room elevator casino . entry guest elevator security seem good job checking room key help ensure non - guest wander around . my wife enjoy breakfast eat Grand Luxe Café morning . first time ever Las Vegas , tip refuse . restaurant full offer hostess tip booth . surprised politely tell would booth tip unnecessary . wow . wife order Garden Omelet day say well omelet ever . buffet think food excellent . our dining experience Morels . late lunch Monday look forward return dinner next time visit Palazzo . service food lunch excellent , include wonderful Vanilla Pavlova split desert . Morels offer selection specialty coffee really enjoy excellent kenyan coffee . we use express check - out involved filling card leave Concierge desk . bellman pick luggage check . leave late afternoon turn claim check car luggage . arrive five minute . we enjoy stay Palazzo much . beautiful hotel service excellent . may sound odd , Palazzo feel comfortable wife ! 
 Apr 12 2009 	 extremely Friendly Staff 	 reading review , apprehensive staying . however , fade enter hotel . lobby beautiful . soon enter check - in line , greet someone escort agent . agent extremely friendly . ask quiet room . say high floor quiet . book fortuna suite give complimentary upgrade sienna suite three night . suite huge , separate bedroom , huge living room , bathroom amazing - jacuzzi great shower massage body jet . top , exercise room Life Fitness elliptical Trainer ! unbelievable . loved remote control curtail . request complimentary newspaper . never get , say deliver hung door since disturb sign door . tell think someone take along sign . within ten minute someone redelivere paper new sign . impressive . hotel casino layout great . get lose look elevator , restaurant , etc . plus love shop pool . can not wait return . 
 Apr 11 2009 	 great comfortable experience stylish hotel 	 ' ve come back 9 night Palazzo - great time . check - in fairly quick - although arrive 10 pm Tuesday night , hardly busy time check - in . offer upgrade Bella suite $ 100 night decline not think have spend enough time room warrant nearly extra $ 1000 . offer strip view extra $ 45 per night - thought would cool accept . point , check - in clerk excuse disappear minute . come back , explain strip view room not available full 9 night would put we one room first night , change we another room remain 8 night . inconvenience , upgrade fee waive - hooray ! strip view face TI , get great view Sirens show . however , could not get new room 4 pm next day . arrive room , luggage not move . confusion bellhop think move room go wrong room collect luggage . finally , get luggage bellhop pleasant - wanted make sure happy room . both room lovely - fairly large , contempory style . nice lounge area huge HD tv . bed comfortable although little short 6 ' 3 '' husband ; another 32 & quot ; HD tv . bathroom huge , separate bath shower . two sink , dress table third tv - although one not hd . room always clean high standard - although not clean one day , another day , call guest service twice get clean . not routine turn service - day ask cleaning service twice , come quite late ( have leave dinner ) provide turn service . previous post complain lack turn service - maybe request - ? casino nice relaxed feel - frenetic buzz like feel casino . drink service scarce prompt get it . there great restaurant hotel , include Mexican guacomole vote good strip ( delicious ! ) . also great bar - recommend Sushisamba Double Helix wine bar . the pool area really nice - 's lot sun bed plenty pool attendant help find somewhere be busy . drink service little scarce shop nearby buy soft drink . also water dispenser available ( not know buy water - bummer ! ) location excellent - next door Wynn , across Fashion Show Mall TI . also great connection Venetian really close - might sound stupid next door . last time Vegas , stay Signature , take we 15 - 20 min walk MGM . whereas Palazzo , walk casino be - 5 min top . overall , really lovely stay - hotel beautifully style , much relaxed pace venetian . never feel overcrowded even though lot convention . always nice come back hotel long day sightseeing . would happily stay Palazzo - get deal ! 
 Apr 11 2009 	 room see well day . disappointing . 	 pleasant stay Palazzo , disappointed room . not clean welcome live 's report staus luxury hotel . many stain marble countertop , chaise lounge end bed stain rip . couch disgusting not feel comfortable sitting . windows finger print greasy little happy face . service good staff friendly . the location great . the pool area , although busy nice clean . the food outstanding . really , not think could get bad meal Vegas . 
 Apr 11 2009 	 Palazzo Concierge Bella Suite Lovely 	 sister go Las Vegas getaway thoroughly enjoy stay Palazzo . read Tripadvisor review book stay convinced try hotel . travel alot picky . disappointed . we stay Bella Suite room absolutely beautiful . picture Palazzo website look exactly like room ! suite 2 queen bed , sink living room , 3 flat screen tv 's , dvd player , etc . , etc . room large plenty space . bathroom french door , double sink , roman tub , glass enlose shower body jet , separate room toilet , vanity makeup mirror . I recommend : room & quot ; non - view & quot ; side - overlook Wynn golf course . view actually spectacular , city light night mountain view day . calm peaceful ; quite contrast hustle bustle strip noise downstair casino . check , concierge let we know construction large crane outside would interfere upgrade Las Vegas strip view , stick regular view please save $ 30 night . later , see view upgrade room believe make right choice absolutely well view ( whether crane ) .I also highly recommend : concierge suite . cost per night , well worth . private concierge service check we quickly concierge lounge , book ticket , make reservation , get we free dvd movie watch room , etc . concierge suite wait long line main desk lobby check - in ask question . also access concierge lounge food day - continental breakfast ( pastry , fruit , yogurt , cold cereal , oatmeal , bagel , ham cheese croissant , toast , juice , coffee , tea ) , afternoon snack ( cheese / cracker , chocolate ) , evening open bar hor d'oeuvres ( salmon , sear tuna , quiche ) . throughout stay , end pay one meal day , since eat breakfast snack lounge . lounge expansive sofas flat screen throughout , separate media room , private business center . also plenty table chair wall window overlook strip ( particularly Treasure Island hotel ; watch TI show lounge ) . hotel great location right center strip . across street Fashion Show Mall Wynn Venetian . easy access hotel Las Vegas Boulevard use deuce bus $ 7 day 's tip ... use machine outside Circus , Circus ( location ) purchase $ 15 pass good 3 day . our good night spend dinner show - Aquaknox Jersey Boys . highly recommend . Aquaknox fabulous seafood Jersey Boys excellent show , musical base life Frankie Valli Four Seasons . so side ? coffee maker room ( access concierge lounge make ) . high speed internet access $ 10 day . Access Spa ( include fitness center ) cost $ 40 per day . , workout we except walk strip . one day , miss turn - down service , make next day double chocolate . ( thus , need walk Las Vegas strip ! ) finally , take approximately 40 minute bellman arrive concierge request luggage service upon departure airport . overall , Palazzo get ! great hotel great service . 
 Apr 10 2009 	 outstanding room 	 Las Vegas business seminar . coordinator book we Palazzo . pleasantly surprised luxuriousness facility size elegant decor room . room price excellent ( approx 120 per night , possibly due number room reserve ) , large suite 33rd floor fabulous view . bed comfy , hate balloon - like pillow , large , separated living room area work desk FAX , table chair , l - shape couch large tv . internet access $ 10 per day . spend total hour casino playing slot machine . seem tight side . Vegas , gaming destination prefer . recommend hotel look something luxurious somewhat budget - limited . might stay future , honest , realize like hotel much ' luxie - chic ' . prefer something little less ostentacious . dine on - site restaurant . enjoy food ' Morel ' find service lacking . colleague join lunch unexpectedly , apparent tick waiter . service really go south expensive lunch . spa workout room nice , pool , unfortunately cold swim . back May make reservation see Phantom Opera play either Venetian Palazzo ( sure , connect ) . will stay elsewhere due business , would happily stay . 
 Apr 9 2009 	 Bad Ugly .... stay somewhere else ! 	 Las Vegas two time , stay Caesars Palace Pent House Suite Mirage , hotel well new Palazzo . research trip month boyfriend ' birthday , decide stay Palazzo one new hotel strip room large . price $ 179 per night Luxury suite package include many coupon free internet stay ( without package room $ 169 per night ) , go Tue We d night . arrive speak Stella let know birthday would like request early check ( since arrive 11 ) room strip view , say would fine since book hotel could accommodate . first many lie hotel . the Front Desk Nightmare : check hotel one bad experience ever . please note , travel 4 time year know expect , CUSTOMER SERVICE ! lady check informed room book would ready 3:00 pm , face & quot ; back Wynn . go say would like upgrade view suite room ready right away , would $ 45 extra per night . however , print online price package include , price say upgrade Luxury & quot ; View & quot ; suite $ 30.00 per night . show , say would honor price ; price different online hotel . not want fight since boyfriend ' birthday , pay $ 45 dollar per night , grab coupon go room ( help offer luggage ) . arrive room , view spectacular ; view TI , Mirage , pool Palazzo . take lap top realize give code sign ( since package include free internet ) . call ask code lady name Lisa answer . tell package allow free internet . argue , print front online website show purchase . argue , condescend rude , could not believe talk pay $ 224 per night stay room . finally , ask speak manager , say would credit internet give code . ask $ 45 upgrade charge , tell suppose $ 30 , also argue , ask speak Manager , connect guy name Jonathan , bad Lisa manager . connect Sumiko , claim front desk manager , finally tell would charge $ 30.00 per night upgrade charge 1 hour arguing . want say not stupid $ 15 dollar per night , ethic post one price , charge another , argue , feel customer treat much well . let ' move room : room FILTHY , finger print everything , read review prior see think people picky , , room clean . shower chunk someone ' hair build corner , want vomit . room 720 sqft , still not seem large , Mirage Suite 1200 seem 3 time big . bring feather pillow sleep hard rock . blanket feather , nice . little sound proof bathroom , hear everything neighbor annoying . casino : casino large , lot restaurant nice , open 1:00 , since Venetian attach hotel walk easily eat . eat Tao , pretty good , fairly price . horrible customer service check : check Thursday 10 , catch flight 11:30 . get front desk print $ 500 dollar charge room . first , charge $ 45 per night upgrade ( $ 30 like promise ) . charge $ 10 dollar per day internet , free like promise . charge we 100 refreshment fee eat drink anything fridge , move around stuff could fit personally buy sodas Walgreens fridge . argument . check lady tell manager would anything charge set stone . say ! miss flight . another 30 minute argue , say would & quot ; take care & quot ; send receipt . hello ! dumb , say print one . tell new charge $ 260 , say break , go & quot ; opps & quot ; forgot take internet & quot ; let ' say WOW . overall , boyfriend ' trip Vegas fun , wow , need vacation vacation . customer service horrible hotel , bad anywhere else ever . disappoint take back way treat . embarrassing . first defiantly last say hotel need get new management start treat customer respect , please clean room ! ! 
 Apr 8 2009 	 Room clean 	 stay Palazzo back October 2008 - maybe CLEANED since . mean write never . review pretty good , much complain not want write . much thought , realize way system work put good bad . goes ... check late assigned room 44th floor . inspect room , something really gross white comforter . move another room 32nd floor . time bathroom something really gross toilet . mention still crumb living room table ton fingerprint picture window . room multiple stain velor furniture . floor carpet sweep . late full occupancy , stay room night . housekeeping crew come clean bathroom . request CLEAN room , size , matter small , want could expect HAMPTON INN , clean room . next day return day trip Grand Canyon move suite 47th floor , huge room , even room still half use bar soap shower . standard expect hotel . even try help , not seem work . give we food beverage credit us property hassle , neglect tell we - eat site several time , pay cash . check ask not use credit . say di not know . could issue credit room account prepay business trip . ugg ! comedy error , like clean room , recommend property . huge property , maybe big keep consistency . many people group seem express similar complaint . as high point , common area outstanding , well decorate , clean , room . Jersey Boys great show on - site . casino large inviting . be careful require extra clean room like we . 
 Apr 8 2009 	 bad 	 line check long , wait 15 - 20 minute line . , jeremy front desk pleasant helpful . upgrade strip view room , since 2 high school girl we , think would like . also look forward see Treasure Island show window , windy show not go . Bummer ! pull stool coffee table find food top around side . Yuck ! request extra bedding midnight come right , extra towel order afternoon . think would stay could get less $ 125 per night . many deal Vegas right , really want business , would shop around well rate get ! one plus valet parking free ... nice stay someplace like Seattle , charge take room sidewalk ! okay , really . 
 Apr 6 2009 	 Palazzo bring we back Venitian 	 past 4 experience Venetian , determine 's large impersonal : get cab , check deal bell desk zoo . not love pool spa . restaurant overcrowd whole place large mass people mill around . circumstance bring we Palazzo time experience save property we . maybe weekend choose ( slow economy ) hotel empty ... ZOO ! ! room new contemporary never really issue venetian suite . bed uncomfortable & quot ; dreamy & quot ; either . sheet kind rough towel soft good condition . room clean . pool ok build new spa . property use new one old one completely remodel . facility new CRS awesome . every single employee come contact friendly , helpful professional . the casino lobby active mass people experience V. even good sized convention go . volume slot much quieter whole room less smoky . many good restaurant city find somewhere property . Club Grazie policy addition Palazzo we come back . 
 Apr 3 2009 	 overrate 	 stay 5 night & quot ; strip view & quot ; suite pay extra . view another hotel strip . see anything else strip go window look sideway . hairdryer work . bathroom scale work . one three tv remote control work . would expect 5 star property would evening turn least towel replacement service . . sofa sit area stain . furniture show sign wear tear . break mirror bracket . 
 Apr 2 2009 	 nice hotel middle Vegas 	 stay 2 night business trip . hotel pick company , . Las Vegas not destination would pick go meeting . room reasonably price . the hotel nice . quick ride airport hotel . check - in easy staff helpful . room 43 overlook golf course . room spacious plenty room work relax . couch chair tad outdate though sort gold - ish velour covering guess fit Vegas . room 3 flat screen tv never turn one . internet connection reasonable $ 9.95 / day . bathroom big well stocked . even like shampoo supply . I drink casino one night - ' m fan smoking gambling bit much . dinner italian restaurant . good pricey - could get cheap / well home NYC . breakfast Venetian one day good . luckily time right not wait line table , btu left - line quite long . overall , go back Vegas - would stay . 's nice break loudness tackiness Vegas . 
 Apr 1 2009 	 Nice room / view would not stay . 	 start prompt , friendly check - in . initially happy room view , however , within first hour thing start deteriorate . robe washcloth miss , handset cordless phone miss , entire floor ( outside room ) seem smell like skunk spay , perhaps someone spill entire case Heineken . call service always meet long hold time matter time day . there clean service second day , third day room half way clean . finish clean dispose trash hallway . they really need re - train cleaning staff well hire enough people answer phone service . positive side room quiet , hear lobby street noise . good thing Palazzo variety great restaurant well easy access Venetian & amp ; Wynn . Spa & quot ; ok & quot ; . 
 Apr 1 2009 	 long 5 - star status .... lack cleanliness ... 	 2nd stay Palazzo . 1st stay fabulous . recent stay disappointing . switch room 3 time . 4 room experience maintenance issue . none room adequately vacuum clean . carpet leftover item previous guest ( ex : cracker , raisun , dime , chap stick , clothe needle , speck paper ) . velour couch 3 4 room stain , miss cushion button , break button expose metal edge . remote - control shade work properly one room . countertop stain . hear massive lay - off . evident housekeeping deficiency . one room also miss proper number towel slipper . long evening turn - down service chocolate daily newspaper . aside maintenance problem , room large comfortable 3 lcd Tvs . bathroom area nice impressive . next time may try Wynne Encore . 
