Kimberly 	 two bedroom suite outside deck limit nice view 19th floor . full compact kitchen , two bath , really nice old hotel . lot action lobby street . 
 Apr 10 2005 	 everything expected 	 stay 5 night Kimberly wife 2 young teen spring break . hotel everything crack recent review . location perfect family vacation . would recommend stay Time Square hectic noisy feel safe . staff overly courteous entire time . 1 BR suite adequate plenty room even rollaway bed ( extra charge . ) other state , bathroom little small problem . eat breakfast hotel excellent reasonable breakfast could around corner Essa Bagel Metro . bed comfortable nice comforter pillow top . negative bedroom door lock take away privacy factor ... oh , well . would definitely go back next time . 
 Apr 6 2005 	 Honeymoon wonderful ! ! ! 	 love Kimberly Hotel ! ! ! new husband spend week honeymoon March 2005 . every employee friendly really make we feel special . hotel good location ... walk distance many good New York site . one bedroom suite roomy ... spend day room never feel crowded . balcony nice touch , . Best New York price . 
 Mar 28 2005 	 great weekend Kimberly 	 return trip New York stay Kimberly . service tremendous . doorman well ever . lobby clean , elevator small , room clean . stay one bedroom suite although clean improvement could make . turn light , could see appear burn mark light bulb , also picture wall frame come apart . everything within walking distance . eat breakfast restaurant ok . go back restaurant desert coffee eat wife spot mouse near front place , waiter act surprised come back said & quot ; leave yet & quot ; , like joke happend time . would recomme place . good restaurant eat St. Andrews West 46th street steak chicken dish spectacular price right . can not wait go back . 
 Mar 17 2005 	 can not wait go back ! 	 get back form 4 night stay Kimberly . location kimberly great ! quick walk Rockefeller Center St. Patricks . within walking distance Times Square ESB . feel extremely safe location . resturant ( George O'neils ) $ 10.00 breakfast buffet great ! room huge ! full kitchen stock everything . decor little date , everything clean . staff extremely friendly helpful . stay Kimberly next time get New York ! 
 mar 8 2005 	 fantastic place stay ! 	 come back 3 night break New York 3 year old son fantastic time . book Kimberly Hotel last minute appartment company let we ... glad end ! location great , staff could not helpful ( suggest child - friendly restaurant etc ) . suite roomy well furnish - bed amazingly comfy ! ( although overlook air - conditioning unit back adjacent hotel ) . breakfast adjoining restaurant bargain $ 10 buffet not charge son ! definitely stay . ( comfortable well value Waldorf Astoria stay last time ! ) 
 Mar 6 2005 	 great hotel great location a+++ 	 stay Kimberly Feb. 26 - 28th pleased choice . book review read Trip advisor everything right . location perfect , close walk 5 th Ave . store play see Broadway . the bed unbeleivably comfortable buying feather bed myself . we stay 1 bedroom suite really big nice kitchen balcony ! clean . would highly recommend breakfast buffet connect O'neils Restaurant $ 10.00.omlets order , carmelize french toast , carve ham etc ... wonderful price . I can not beleive price room , New York can not beat value quality . 
 Feb 9 2005 	 move ? 	 staff room soo wonderful . mostly suit property provide clean spacious room extremely affordable rate . rarety NYC . conveniently locate midtown , staff make feel like be 2nd home . little thing like remember name , turn service , craftmatic bed ( room ) , balcony , many benefit list . can not wait come back ! 
 Jan 7 2005 	 gem ! ! ! 	 husband stay Kimberly Dec. 12 - 15 delighted room assign . suite , not sure expect far room size , since many post talk small room NYC . pleasant surprise find lovely , large , spotlessly clean room ! staff pleasant , helpful , friendly . subway station one block away ( less ) , Manhattan Cafe next door great place fill , delicious , inexpensive breakfast . lot walk , day night , always feel completely safe walking Kimberly , even though 2 3 long block 5th Ave . area . husband agree never sleep comfortable bed -- anywhere ! even remove part bedding trying find brand name ! ! robe plush comfortable -- mean one less thing pack ! high floor , road noise , not hear . complaint might rather loud band play somewhere one night -- -but could think complain desk , comfortable bed put we right sleep ! would certainly stay future visit , highly recommend Kimberly everyone . 
 Dec 28 2004 	 good 	 stay 6 night include Christmas Eve . not think comparable hotel suite size price . find almost everything top notch . astonish negative review can not help think hotel must since undergone renovation and/or upgrade least 2 bedroom stay ( 28b ) . find elegant beautiful . furnishing not mean modern certainly outdate . since winter , not get much chance use balcony add benefit . obvious Kimberly apartment building suite size ny apartment , far large ordinary ( even expensive ) hotel room . bathroom may marble , spacious enough nicely appoint . towel bathrobes plush . unlike one review say , find lobby beautiful beautifully decorate holiday . not time doorman two not help revolve door hold elevator . full time concierge available arrange every need . agree one review kitchen well supply cooking . medium size frig , small oven range microwave coffeepot . basic set pot , silverware , glass dish . bake pan , mix bowl , microwave dish . not plan lot cooking . staff extremely delightful friendly . feel like home away home would highly recommend hotel everyone . 
 Dec 6 2004 	 wonderful ! 	 cousin spend annual cousin weekend ! wonderful ! People friendly , room great ! location .. could not ask well ! say anything would changed would stay high floor . view build next door ! kimberly home away home anytime city ! 
 Dec 3 2004 	 good experience overall Kimberly 	 wife son , age 13 , stay 1 br , 1 bath suite Kimberly October 23 one night . the hotel location great we : NYC visit relative Yorkville ( Upper East Side ) , entrance Lexington Ave . subway block Kimberly . the suite spacious , furnishing , though formal be use , be fine . bathroom small intolerably . use kitchen coffee , would use stay long . we drive hotel . bell captain duty promptly attentively handle valet parking . next morning checking leave luggage bell captain 's care could window shop reclaim car . arrangement go without hitch . one problem : suite awfully warm . heating / cool control seem useless . keep room comfortable opening window balcony door . the $ 10 breakfast buffet George O'Neill 's great deal . service fair though . 
 Nov 11 2004 	 great location comfy bed date decor 	 find Kimberly via website could not believe good thing write . ( two mom , 3 kid ) spend 3 night October , find 2 bedroom , 2 bath suite accommodation adequate . furnishing quite dated need replacement , bed fabulously comfortable featherbed mattress . 2nd bedroom small , adequate sightsee , spend time room . master bedroom quite spacious . George O'Neill 's state other - good bargain find ! ! huge , beautifully display delicious buffet carving station , make - to - order egg , etc . live anywhere area , would eat every day - can not buy grocery cost serve ! be look finely appoint accommodation , suite would not fit bill . clean , well - price , spacious ( except bathroom ) convenient sightseeing activity . 
 Nov 1 2004 	 fine value suite good expect 	 stay past weekend . 1 - bedroom suite terrace airy ( love able open window ) , quite clean & amp ; well - maintain ( e.g. , stain carpet ) , great storage / closet space ( even umbrella use foyer closet ) . bathroom , however , full marble might expect website , ( wall partially clothe marble tile ) ; lobby ho - hum & amp ; provide almost seating space wait ; suite 's kitchen well equip serve / cooking piece & amp ; utensil typical Residence Inn . furnishing high - end , attractive enough ; light excellent ; fax / printer / copi atop desk ; bed exceptionally comfortable . the Kimberly 's level service appreciably lower expect base recent review . doorman bellhop greet we upon arrival ; ask front desk clerk one available , appear , appear half - awake & amp ; still struggle get uniform jacket button . $ 10 breakfast buffet terrific deal , especially Manhattan , omelet chef personable ; wait staff attentive , e.g. , never get coffee creamer ask twice . check - out inordinately tedious : front - desk operation fully computerized , could not find paper billing & amp ; keep look folder long past time would apologized re - opened account . I ' m willing believe service experience norm . even , would say suite important , well choice available ( low ) price range . iroquois . 
 Oct 26 2004 	 Kimberly Hotel - Fantastic ! 	 spend week mid - October Kimberly one - bedroom suite . staff accomodate give we corner suite terrific balcony view 26th floor check ( yes , request view high ) . love room ! sparkle clean , plenty closet space , well - appoint kitchen , living room big balcony great view , great feather bed , marble bathroom lot storage . attach restaurant , George O'Neill 's steak house , offer huge $ 10 buffet breakfast . consequently , hardly use kitchen . great midtown location around corner two different subway line . 
 Oct 11 2004 	 Great Families 	 stay Kimberly Oct 8 - 10 . one bedroom suite large , comfortable clean . love balcony . bed comfy . kid sleep pull couch tv . nice extra space . bathroom small lot storage space light make mirror . staff friendly professional . the hotel restaurant George O'Neils nice breakfast piano player . look forward next stay Kimberly . 
 Sep 15 2004 	 Great Hotel 	 go New York set son Culinary study research net 6 month compare hotel settle upon & quot ; Kimberly & quot ; . glad . centrally locate alot go New York see . staff ( everyone include ) make stay enjoyable . 12 day . get know several employee name know family name . staff adjoining restaraunt & quot ; George O'Neills & quot ; friendly . service great food excellent staff proud - know . love outside cafe . thank Vince put sit outside soak city people watch . conceirge staff kimberly helpful anything inquire knowledgeable . suite good size clean noise level hardly noticable . Slept like baby . impressed . would recommend hotel anyone - BET . thank help , direction , watch , idea good service great food . go back March hope see everyone . - till - Matthews family . 
 Sep 8 2004 	 Excellent hotel 	 husband 18 year old son stay Kimberly 1 - 4 September 2004 great time . great asset doorman Gregory Jose - always smile help - would go back see work ! one bedroom suite clean roomy ( king size bed comfortable bed ' ve ever sleep ) hotel excellent location - within walk distance place also near subway . the 3 hour boat trip good - fantasic way see New York evening . would recommend hotel anyone hope go back one day . 
 Aug 22 2004 	 kimberly great ! 	 stay Kimberly July 31st Aug 8th 2004 . suite great , enough room four we . two sixteen year old girl find sofa bed quite comfy plenty roomy enough . bathroom small spotlessly clean . all staff friendly helpful , special mention go Greg , doorman , whose welcome smile pleasure come home long day sightseeing . not bother look hotel ! 
 Aug 17 2004 	 wonderful choice ! 	 surprised husband birthday weekend NY . chose kimberly user review great deal hotel . exceed expectation - spaciousness , balcony , staff . perk include pass NY Health & amp ; Racquet club couple block away great pool / sauna / whirlpool . work fabulous breakfast buffet ) . several subway line crosstown bus 49/50 make convenient low cost getting . need cab , call ahead concierge arrange - always willing help - ex . smoke alarm battery beep , maint . less 5 minute . if look space , cleanliness smile , ( without need luxe furnishing ) visit Kimberly ...... could not figure & quot ; Vue & quot ; next door - nightclub , bar , restaurant - ? ? ? Doorman / bouncer look ominous . 
 Aug 12 2004 	 wonderful stay 	 wonderful stay Kimberley Suites Hotel . room spacious clean . great bedroom separate kid kitchen ( although not use ) . staff kind helpful ajoine restraunt fabulous buffet breakfast $ 10 . pleasure 2 night certainly see stay extend stay business ( pleasure , Manhattan 's thing ) . fall difficult get cab rain , leave early curtain reservation make . 
 Jul 28 2004 	 great family 	 stay 5 day could not happy ! rain one full day vacation spacious living area kitchen feel like home watch tv stick hotel room . balcony great bonus ! bathroom rather small rest amenity make . clean , good price area , great location friendly staff . stay . 
 Jul 25 2004 	 Favorite New York Hotel ! 	 love hotel ! far superior well know hotel area . value much exceed reasonable price . hotel quiet ( Manhattan ) , suite nicely furnish , large luxurious . high speed internet connection laptop - sized room safe great advantage . quite pleased everyone meet hotel staff . small , boutique hotel ( New York standard ) , live room kitchen , feel could & quot ; come home & quot ; night anywhere else ' ve ever stay New York . simply one negative thing see four - night stay lovely hotel , good thing say . rare treasure ! 
 Jun 24 2004 	 Excellent condo hotel 	 well maintain hotel coverte former condo building . Understand rehabe complete within past 4 year . very comfortble , amenity good . come small kitchen dining area , high speed internet line , etc . upper east side Midtown , one block east side subway line . rate reasonable NYC , get far well price hotel website hotel refuse & quot ; deal & quot ; . 
 Jun 3 2004 	 Outstanding 	 travel NYC every six week find new home . the Kimberly Hotel wonderful . staff great always remember name . great location large suite . like home . spend 30 nigth year NYC would stay anywhere else . highly recommend . 
 May 22 2004 	 Loved Kimberly 	 stay Kimberly May 13 - 16 time arrive treat great . entire staff wonderful . room ( 1 bdrm terrace ) quite roomy pleasant ( 4 we ) . eat restaurant outside table blast staff . food good . wish could stay long go back . 
 May 18 2004 	 great hotel ! 	 make first visit NY 3 - 18 3 - 21 . 2 bedroom suite . wonderful ! bathroom clean well stock goody . problem heat one bedroom . do not really think fix , open window . the suite spacious . even doorbell ! nice kitchen . location great . quiet street , yet close enough everything would want see ! staff friendly . the consierge great ! big plus balcony ! fun sit nite city never sleep ! breakfast George Oneil 's . good almost pretty eat ! would surely recomend hotel anyone . 
 May 17 2004 	 kimberly great 	 kimberly outstanding . first fly Newark since six we , clue we Limo Service ( ask Ralph 718 - 823 - 4350 GQ Limo $ 175 include tax ) cheap two taxi not hassle shuttle . room killer . one two double bed pull couch ( sleep like pull - like bed home ok ) another one King pull . full kitchen . clean . decent bathroom ( small tidy ) . living room dining area excellent well put we across hall leave door open run back forth . think 6 - 8 room floor people front desk concierge desk top notch customer service . deli around corner blow sock ( azure ) . weekday everything think outstanding . concierge also recommend Umbertos Little Italy excellent food decent price - even fun karaoke bar around corner . fun NYC enjoy kimberly - disappoint . 
 Apr 26 2004 	 great location nice room fair price 	 return 3 night Kimberly . slight glitch checking ( room king bed upgrade large room ) , happy surrounding three day . stone 's throw want see - include great shopping Fifth Avenue , Central Park etc . ( wonderful mexican restaurant call Mama Mexicano , one street away opposite Pampanos ) .Fantastic service . helpful staff . spacious room . would definitely return ... 
 Jan 12 2004 	 Kimberly -- cozy suite hotel midtown 
 Oct 8 2003 	 Value - Value - Location 
 Oct 1 2003 	 Quality room good value 
 Aug 18 2003 	 Excellent Value Heart ! 
 Jul 7 2003 	 would recommend 
 Jun 25 2003 	 great 
 May 14 2003 	 Excellent hotel good service 
 Apr 15 2003 	 well expect 
 Feb 9 2003 	 nice small bathroom 
 Nov 3 2002 	 kimberly terrific ! 
 Sep 11 2008 	 situation idéale 
 Jul 28 2008 	 il ne lui manque pas grand choose 
 Sep 29 2007 	 plus jamais 
 Jan 5 2006 	 Excellent rapport qualité / prix 
