Exceptional 	 stay 12 year love hotel . great room amenity . excellent English breakfast many choice . location near tube , restaurant , theater many interesting sight see . friendly atmosphere . would recommend age . 
 Nice renovate hotel good location 	 work 5 min away use overnight stay London . recently renovate , nice hotel , pretty good service door reception . room king , internal facing , fine arrive 5 not really look , probably worth check view get . bathroom really really small spotless modern great . room decent size , desk , seat , LCD tv decent sized wardrobe . hotel overnight shoe shine service not use not aware lead sign aspire good hotel . overall would say good hotel frankly price good . hotel London generally hit miss sometimes , pay £ 200 would stay , central everything , modern clean . however cost £ 190 get Claridges £ 250 ... mmm formal / stuffy fo get overall well hotel Royal H. overnight stay stay . tourist stay long , fair bad choice , although good 15min walk Covent Garden 5 - 10 Trafalger square . 
 Apr 8 2005 	 enjoy stay 	 stay thistle charing cross last year . enjoy Horseguard . interior room another writer write . view care sleep . room HUGE . 4 time large charing crosse room . 90 pound night steal . mention 9 air conditioner outside room could loud summer . room executive room deluxe . room little tired dark HUGE . get home could sit we sofa chair watch tv 20 foot away . room clean . smell little cigarette figure convert smoking room non . london go smell like cigarette anyways everyone smoke . quiet night . sleep well . noise garbage truck keep awake charing cross . true walk royal horseguard area dead night across scotland yard . leave 5 minute bustle strand 10 minute leicester square . 
 Mar 28 2005 	 Excellent except couple thing 	 stay Royal Horseguards mid late Ferbruary . two thing really , really good bed shower water pressure . bed comfortable clean . roomie quite particular even like bed . shower , much water pressure hurt . awesome especially try wake morning . complaint room look stairwell although keep closing curtain look , maid would open every day clean . also along line , maid come clean room even & quot ; disturb & quot ; light . room lot nice picture furniture . chip paint crack marble bathroom hotel quite old thing unexpected . breakfast include good although every day . chocolate croissant good limited supply get early . location good . problem find way around . staff exceptionally helpful accomodate especially & quot ; difficult & quot ; member party . usually stay expensive hotel willing stay long clean . 
 Mar 24 2005 	 London 5 star 	 finish 5 - night stay Royal Horseguards . TripAdvisor 's review hotel accurate ... & quot ; spot , & quot ; ' m try sound british ; - ) location excellent . Trafalgar Square five - minute walk . embankment , two - minute walk , half cover , close tube station serve four line . Charing Cross 3 minute , although two line also call Embankment , be really need use Charing Cross , unless require access British Rail . Victoria Station ( Gatwick Express ) , hotel 10 minute taxi , mostly traffic light . anyway , work £ 6-£7 , tip . within hotel reach reasonable walking distance many restaurant bar , even though hotel 's immediate vicinity dead night , walk couple block will not . Villiers Street , mostly pedestrian thoroughfare connect Embankment Charing Cross , many nice coffee / sandwich / snack shop , serve preferable alternative Royal Horseguard 's slightly pricey slightly uninspire menu . however London , exceptional property . even US standard , hotel compare favorably . room , typical double , little small standard US hotel room , lack none appointment expect read board : heat towel rack ; marble bathroom ( counter , floor ) ; in - room safe ; mini - bar ; good shower ; hairdryer ( two , fact ) ; good lighting . regard , surpass standard Hilton Sheraton . btw , read several time not accept first ( even second ) room offer , quite happy first one show . I couple complaint . high - speed internet access available room , will pay dearly : £ 15 / night . also , mobile phone strength poor hotel . speak provider , Orange Mobile -- perhaps service well carrier -- signal non - existent hotel 's lobby public area . fortunately , room high ( 9th ) floor , afford consistently 2 3 bar reception . middle low floor , however , not know . in , Royal Horseguards great hotel , will not mistaken Lanesborough , London deserve 5 star . back ! 
 Mar 12 2005 	 great place 	 stay November , LOVED . high floor great view water city - light ! get STEAL price ( pay $ 260 usd night ) . front - desk staff mix . two , nice people , one terrible speachless / rude idiot . kind quiet .... come two suitcase run around tube station ( embankment ) hotel rain . * please not take tube two suitcase .... be last time take two * door little prob . get two suitcase promptly ( rain ) door - man come rather quickly . leave hotel , stairs lobby , porter quietly take one suitcase lower say would get one * complete silence return . * room rather old ( expect - castle ) . bathroom toilet take play ' get stop ( handle would let keep run , run . ) room service excellent tasty . hotel also excellent treasure & gt ; room service staff look quite good : ) - keep try till get gem ( male female ! ) . Room look small / different Thistle / Expedia website , actually nice ( though small ) . would stay . really feel London hear big - ben go quietly background hotel room . please note : overlookign water , traffic loud main - street . however traffic quiet considerably past 9 pm ! still may want bring earplug sound - sleeper . overall love hotel . oh ! one thing & gt ; door spring hinge .... PLEAAASEE let door - close way in / out ! guarantee , DOOR - SLAM loud thing will hear MRI - scan ear - protection . People learn quick though slam door ... 
 Mar 11 2005 	 Hard Beat Location 	 return week stay Royal Horseguards . stay hotel many , many time . every review state , location unbeatable . quiet street literally block action ( Embankment , Charing Cross , National Gallery , West end , Leicester Square , Covent Garden ) . embankment excellent underground station four line well main line stop there . room new section definitely well condition . high floor beautiful view Thames ( except , due temporary scaffolding ) .Breakfast nice variety , although except occasional switch cheese type , every day . also , like chocolate croissant , get early . one point . aside front desk , seem change personnel frequently , concierge door man quite . helpful knowledgeable . I stay least 10 hotel London . whatever minor fault , hard find similar hotel , especially quality location , price . will back August . 
 Mar 6 2005 	 Great Value 	 shop lot stay great value . usually stay expensive hotel could due rest group time . the service great ! breakfast include make even well value . I go 2 room accept third . first smoking room . second broken heater make 150 degree . third final room decorate beautifully large . nice marble bathroom tub separate shower . I 2 complaints:1 . hotel , include room need repair paint , wallpaper , drywall , carpet , etc . not bad place particular thing bother me.2 . bed uncomfortable . bed nice , could feel spring . people group love bed think inconsistent . service great sure move another room like bed anything else room . other thoughts:1 . not bother upgrade deluxe . significant difference other standard room.2 . try get breakfast include . good value . buffet every day many option . 3 . location good -- close river Trafalgar Square St. James park.4 . service wonderful . help much . never complain even . give advice , hold door , help bag , help stroller , make reservation we , call we cab time . always eager help . 
 Mar 5 2005 	 Pleasant Stay 	 return 6 night stay Royal Horseguards . second stay hotel . husband really enjoy stay . theatre goer , location beat . excellent location many tourist sight also -- London Eye , Buckingham Palace , Westminister , Houses Parliament -- could name dozen ! not like walk , embankment tube stop couple minute away most . our hotel room nice size , especially european standard . due scaffold , would fantastic view Thames London Eye obscure clear plastic . not pay view not mind . bathroom large , marble tile , bidet . must say hot water fast fill bathtub hotel ' ve ever stay . breakfast room sunny , efficiently staff nice variety food . pleasant way start morning . our big complaint bed hard . not bad ' ve encounter , keep give hotel excellent rating . also see people might think room rather dark . previous stay room open onto lightshaft . quite put initially see room , actually grow like sleep quite well . I also stay Marriott County Hall London past . even nice facility , choose stay Royal Horseguards trip find location ideal . horseguard also european flavor . 
 Mar 4 2005 	 one good location 	 ' ve return stay Royal Horseguards really love . staff friendly caring . even remember room number morning breakfast . travel alone location great plus . hotel around corner embankment tube station major theatre within short walking distance . always walk home night always feel absolutely safe hotel good neighborhood . room comfortable , though large , well appoint . go bathroom . recommend staying plan go theatre west end . 
 Feb 20 2005 	 Great Location 	 stay Royal Horseguards hotel whilst theatre break fiancé . think location excellent . hotel minute tube stop short walk many London ' famous sight Big Ben . evening thought would need get taxi west end , pleasantly surprised short walk . the lobby nice welcome cosy lounge fireplace . room good size bathroom clean spacious . unfortunately window not let much sunlight subsequently room feel bit dark , central heating quite noisy night . we think room service mini bar quite expensive - £ 1.75 Mars bar ! however opt breakfast bed morning , extra £ 10 worth cost round romantic weekend . next time come London definitely consider stay Royal Horseguards . 
 Feb 12 2005 	 love location 3rd room ...... 	 excellent central location , within walk distance London Eye , Trafalgar Square , Downing Street , Big Ben etc . nice hotel , well price £ 110 double room / night + full english breakfast . ask quiet room , move 2 am ! due heating system room 421 . free upgrade suite ( 807 ) compensate . 
 Feb 6 2005 	 outstanding location ... 	 hotel location really terrific without doubt ... 2 minute less walk embankment tube stop Charing Cross train station . many pub , eatery , sandwich stop right outside tube station . currency exchange , eat , etc train station . Steps Trafalgar Square , National Gallery , St. Martins Field ( not miss cafe crypt music offer sanctuary - some even free ! ) . hotel right bank thame . river view room probably worth extra cost be view see London Eye etc . note exterior renovation go extensive scaffold Nov 04 . mattress hard , fold bedspread every night add padding . note not pay river view will probaby get light shaft view ... complete 7 air cond unit immediately front window . Nov noise not problem , would think would hot weather . room nice sized , large bath , somewhat rough condition $ 300+/night opinion ... prev mention & quot ; view & quot ; mattress lack . breakfast buffet nice , bet warm weather patio would terrific morning . 
 Feb 3 2005 	 Location Location Location 	 wife go Puerto Rico way London anniversary , stay week Royal Horseguards . check great , problem whatsoever front desk . service excellent absolutely everyone . room little tight , mentally prepared checking review site . buffet breakfast include , ok , every single day . comparison location . alone , hotel worth . accross street Embankment , get tube ( subway ) , bus ferry . also , walking - distance Trafalgar Square ( could get rest bus ) London Eye ( right across river - 2 minute walk ) . everything feel close . would definitely return , though would try get big room possible . 
 Jan 21 2005 	 location location location 	 stay hotel December could not well location . walk distance many Londons famous sight short tube ride rest . book inexpensive season package thru airline be not expect anything special . yes room small , clean comfortable . give great location fact barely spend hour awake room , perfect . would definately stay . 
 Dec 27 2004 	 Great Hotel 	 friend return wonderful stay Christmas holiday Royal Horseguards . lobby nice welcoming ( cozy fireplace , nice lounge , etc . ) , staff . arrive 7AM tell would non - smoking superior room available later regular check - in time smoking deluxe room river view ( upgrade room ) 8th floor available immediately extra charge . decide take upgrade room happy find evidence room smoking room ash tray -- trace smoke smell room hall . room wonderful -- perfect size , small ( nice full sized bed , closet , window sitting area , desk , nice - sized bathroom entertainment armoire ) . stay room New York Paris expensive much small . great view river -- scaffold outside window barely obstruct view . happily surprised decor room -- lovely artwork , mold appointment -- English feel . issue room heating / air conditioning system -- could never actually figure work ( , not ask help -- maybe fault ) bed , terribly comfortable ( perhaps english peculiarity not inhibit sleep ) . maid staff great -- problem . linen crisp white , towel replace everyday glass item also readily replenish . call front desk ice arrive door within minute . room supply tea , hot cocoa instant coffee , well complimentary shortbread cookie bottled water ( also replenish daily ) .The coincierge amazingly helpful . make reservation we short notice afternoon tea Christmas Eve day ( actually call around several place able secure we reservation ) . even able book tour we Christmas Day 10:30 pm night ! could not ask well service . note , decide stay hotel -- sometimes doormen mind concierge desk , try helpful , nearly knowledgeable actual concierge sure ask actual concierge rather stand in . as review note , location hotel great -- block embankment train station minute attraction . one drawback location quiet street around seem government building . cafe , pub shop directly next hotel . want place step door middle action , place probably . however , pub , fast food shop , cafe resturant plentiful minute walk ( around train station Trafalgar Square ) . breakfast hotel one day -- buffet fantastic pricey -- include room rate get great deal , sure happy price decide take part ( failed ask price , thinking could not much bit stunned find actual price -- , fault , ask ) .We would certainly stay hotel . happy accomodation service . book online discount service get great deal . next time , would request deluxe room try get breakfast include . 
 Dec 14 2004 	 great hotel 	 ' ve spend weekend RH love . arrive 10 morning room ready . upon reservation ask river view room tell available . however , pleased see get beatiful , rather large room river view ( , many reviewer point , obstruct scaffolding - not mind ) .We London weekend not want spend much time hotel , absolutely nothing complain . breakfast include deal okay - nothing special , lot choise . location could not well - close Covent Garden , underground bus , staff helpful , bed comfy bathtub tea coffee make facility nice hard day shopping ! even though normally go modern , minimalistic hotel , great & quot ; Christmas & quot ; - fireplace , thick carpet beautiful christmas tree everywhere . would definitely stay . 
 Dec 12 2004 	 's beautiful elegant hotel 	 grandson recently spend five day hotel beautiful , elegant hotel touch bygone era ( fresh floral arrangement welcome fire comfy seat lobby ) yet sufficient modernization satisy current traveller ( adequate lift , credit card key , internet access , wonderful buffet breakfast convenient yet quiet location etc ) however , arrive ( 11am ) tell room price class currently make 20 pound nightly could immediately occupy luxurious room river view extend 2pm instead 10am checkout time . ( complete illogic moment occur ) go upgrade receive lovely large room stunning view Thames London Eye except entire front hotel cover scaffolding . much hotel enjoy , irritation inconvenience constant . two four night , awaken multiple unanswered phone call 1am despite repeat instruction put call unless come US never manage uninterrupted night 's sleep last night . ourfri . morning 5:45am wake - up come 5am reminder 6 ( addition two call night ) , likewise unable get take system Sunday . point , multiple complaint problem ( never stay even budget motel chain maid fail remove dirty glass room supply clean one daily . ) speak member managerial staff profusely apologize promise reduce bill atone inconvenience . well , 20 pound upgrade fee remove treat grandson free dessert birthday lovely lounge restaurant eat several time . important note however , server extremely pleasant polite food well prepare tasty two three time eat get order . would expect staff bill & quot ; Four Star Plus & quot ; hotel know difference trifle , truffle beignet . ( note : order trifle , get truffle bill beignet . ) however , promise adjustment entirely inadequate consider nature frequency problem . I would like point woman promise & quot ; atone & quot ; unpleasant experience tell & quot ; upgrade charge & quot ; would suspend duration construction , check 1pm , desk clerk pushing & quot ; 20 pound , immediate occupancy , river view upgrade & quot ; STILL mention scaffold . think crossed mind perhaps get commission upgrade sell . this hotel NOWHERE near deserving & quot ; Four Star Plus & quot ; rating tell & quot ; Flagship London Thistle Hotels & quot ; conclude must over - rate over - price . 
 Dec 2 2004 	 Nice hotel good location 	 stay Horseguards month ago . room decent - sized good quality . location good - right near Whitehall , Charing Cross station , bridge Thames County Hall - London Eye , County Hall , Aquarium , Dali Museum , Saatchi Gallery . 's 5/10 minute walk Trafalgar Square . the breakfast good , staff pleasant - would definitely stay hotel . 
 Nov 29 2004 	 Good Location - bed like sleep broken glass 	 husband stay RHG 4 night , excellent location , side street . standard room tiny . move deluxe room - non - smoking , room great , good size & amp ; nicey decorate . issue bed horrible deluxe room . king size great , bed super soft lay coil .. almost call middle night ask blanket could sleep floor ! 
 Nov 29 2004 	 highly recommend 	 recently return week - long stay Royal Horseguards would highly recommend hotel . staff helpful , friendly courteous . executive room 2 night deluxe room remainder stay nice . executive room could use bit space spread room fine . nice marble bathroom , plenty hot water shower , comfortable bed , nice small touch tea - make set room heat towel bar bathroom . room large window high ceiling building old , everything seem good shape quite clean . continental breakfast include room rate sufficient convenient , though extensive . not dine hotel meal find service breakfast efficient attentive . location could beat -- great less 2 block Tube , within easy walk distance many attraction include Trafalgar Square , Thames , even Westminster Abbey block away . safe , quiet area centrally locate . , great place spend time London . 
 Nov 20 2004 	 Perfect Location 	 recently return London stay Royal HorseGuards . staff pleasant helpful . upgrade room river view wonderful . thing room hotel little disappointing . room hotel seem bit & quot ; wear . & quot ; funiture carpet lobby dirty wear . mattress far worst ever sleep . extra blanket pillow would request additional towel daily . side hotel perfect location . able walk everything take underground nearby . clean do side building , affect . restaurant site eat one breakfast dinner . food ok . seem bit pricey host / waiter bit snooty . give hotel average rating location perfect staff extremly helpful . 
 Nov 17 2004 	 love RH ! 	 exception somewhat snooty young woman desk arrive , everyone staff RH friendly , helpful courteous , even thing get busy lobby . concierge staff go way give we direction answer question . restaurant staff generally rush breakfast , delicious extensive , always courteous attentive . great coffee drinker , housekeeper keep we well stock , spite language difference . room 7th floor , overlook London Eye . pay considerably view , tell price ahead . seven night stay , lovely room view worth every pence pay . fact , June stay perfect , leave next week spend Thanksgiving week . proximity Trafalgar Square , Covent Garden Soho , restaurant museum church ( Westminster Abby ! ) , nearby Embankment embankment tube station make location scenic convenient . can not wait get back ! 
 Oct 26 2004 	 great central location 	 wife spend September 25 - 29 London select hotel base website . 1st time London wife 's 1st time since college can not compare hotel other say hotel fill requirement trip . location - review state , central location hotel 's good attribute . short walk London 's main attraction - Buckingham Palace , Parliament Buildings , Westminster Abbey , Trafalgar Square , Piccadilly Circus , Covent Garden Market , London Eye , Downing Street , Theatre disctrict , Churchill War Bunker , .... somewhat longer walk get we Harrods , Hyde Park , London Museum . attraction see walk distance ( we , anyways ) Tower London , Tower Bridge , St. Paul 's Cathedral . way , actually make outside hotel Heathrow airport via Tube ! ( would not recommend lot luggage certainly far cheap transportation could ever hope ! ) accomodation - room ready early gladly check overnight flight Toronto . believe & quot ; Deluxe Double & quot ; river view . room face Whitehall Court quiet . ( desk attendant offer we river view upgrade price decide not worth . ) room ok size Europe everything work well except shower head ( tell afterward work fine , ask use - fault mentioning , guess ) . think rate reasonable considering include nice full breakfast . build quite striking , castle - like , ' m sure impressive construction / repair / cleaning do scaffolding go . nice lobby glow fireplace , though nothing glamorous . not try dining room supper plenty place eat area - try Langan 's brasserie - bit stroll worth it . highly recommend hotel want walk place . 
 Oct 26 2004 	 great old hotel 	 arrive midnight Heathrow Oct 14 , 2004 . hotel staff alert , friendly accomodating . book room Thistle 800 number could reserve room Thames River view . accomplish problem check . aware L 20 premium room Thames side quote check . offer choice non - smoking floor , take , even though advise smoking room higher well view . however , get room look window view truly spectacular . could see lit Eye London , OXO Tower , Millenium Bridge sight . not know could well . staff respond promptly , cheerfully politely every request : extra towel , turn heat ( open window ) , arange taxi , etc . include full english breakfast excellent , alhtough choice American would think breakfast food ( baked bean ) . wide variety choice tasty . the location well . right near sight see spot and/or tube system get other within convenient walk distance . I would stay recomend hotel anyone ask . river view side well worth extra charge . 
 Oct 8 2004 	 ` ` Class System '' still Lingers Air 	 2 mind RH . beautiful hotel , polite enough staff , helpful concierge -- can not help feeling go fine restaurant give table kitchen . purposefully book hotel 's website , discount room consolidator , find line sort & quot ; super - saver & quot ; rate anyway , often mean one step cot basement . website plainly state breakfast include , confirmation notice say & quot ; Room & quot ; ... error , eventually cough continental breakfast . 's little game play check - in -- assign room section undergo refurbishment , hint little extra dough get room think book first place . 20 Pound ( per night ) bribe , & quot ; deluxe & quot ; room become & quot ; deluxe & quot ; room river view . actually , be like river & quot ; glimpse & quot ; , bottem floor , block tree , balcony full rubbish french door can not open . work phone , top sheet bed -- wife note , be almost room not intend occupy . personally , think second - class room intend consider & quot ; second - class people & quot ; . impression unless be wealthy , important well - connect , be go feel -- treat -- like outsider , someone try live & quot ; station & quot ; . God help choose pay balance cash ( bad yet -- gasp -- traveler ' check ) . even though pay full , advance , feel have offer pay buffalo tooth something , not whip vip Diamond Platinum plus card whatever . guess be never turn phone , could not trust run extra charge ... ? critique may sound bit overly harsh , since ( reasonably ) enjoyable stay ... 's hotel guest welcome , hotel guest & quot ; admitted & quot ; . maybe be make point speak softly , polite , tip well , dress breakfast dinner ( amidst sea dirty sneaker t - shirt ) expect bit well . 
 Sep 24 2004 	 Great Hotel plus Fantastic Location 	 hotel great . stay start September 3 night honeymoon . upgrade we deluxe suite honeymoon . could fault hotel , apart work go , outside building , spolie view etc , scaffold , time , not ruin honeymoon . great location , close attraction . highly recommend . 
 Sep 23 2004 	 view ? ? 	 least person Alabama view . July 2004 one whole side hotel covcere plastic sheeting / scaffolding , could open window view . bad . tell we , ask wanted riverview , would well feel place . otherwise , service fine . 
 Sep 21 2004 	 great hotel 	 stay Royal Horseguards end August . fantastic location ! could literally walk many tourist attraction West end theatre . go someplace far away , embankment underground station minute away . we 2 executive room small elegant . also one deluxe room also small additional luxury room . room quiet , however , river view . hotel staff helpful breakfast buffet offer plenty selection . while mean luxury hotel U.S. standard , please overall . pay 78GBP per night per room , make hotel real steal we . would highly recommend hotel . 
 Aug 22 2004 	 Champion Hotel 	 vouch rave review already list . room spacious ( even sofa bed unfold ) comfortable clean . charge 12 year old 's bed breakfast , total 100 pound night upgrade room reasonable . the location describe - draw circle London Eye Big Ben St. James Park Trafalgar Square , will find Royal Horseguards center . nice little park sit hotel river . government building area keep thing quiet secure - block New Scotland Yard . staff well train , always available helpful . two drawback -stone clean exterior keep flood water flow window night , fire alarm go one evening - thank goodness lovely terrycloth robe ! would definitely recommend hotel London visitor . check special offer Thistle website , pay extra pound upgrade room . 
 Aug 16 2004 	 Royal Horseguards 	 booking , request quiet room river view ; upon arrival persuade receptionist honour . give we twin room ( bed & quot ; zipped & quot ; together ) seventh floor , pleasing view London Eye , ( ? ) river towards St Pauls . reviewer note , health safety restriction mean unable open window . unfortunately air conditioning system rather basic extremely noisy . , hot , sticky night , choice deafen noise clammy air . otherwise , room ok ; not particularly large , despite & quot ; executive & quot ; - indeed , keep bang knee bed corner ! wall also seem quite thin , mean could hear everything ( mean everything .... will not go detail ! ! ) go next door room . the hotel fine . staff seem generally helpful , although irritated mumbling receptionist check we in . the breakfast fine , exceptional . 's usual hot stuff , fair range continental . depend time arrive , strike lucky unlucky get seat . one day end mile away look like conference room , mean tea / coffee refill not quite plentiful . one good thing hotel location , slap bang Whitehall , stone 's throw Trafalgar Sqare Westminster . would recommend go stroll footbridge embankment station , get nice river view ( include hotel ) way energetic South Bank . your perception hotel depend kind deal . would recommend barter receptionist get river view , quieter room , would seem low floor noisy . 
 Aug 12 2004 	 Excellent hotel FANTASTIC LOCATION 	 thoroughly enjoy three night stay Royal Horseguards 31 Jul 3 Aug. First , air conditioner welcome hot summer visit . location fantastic : less block away embankment tube station , right Villiers Street ton excellent moderately - price restaurant . hotel restaurant / bar great well -- especially breakfast . view river room beautiful -- though one reviewer write noise train station next hotel , barely audible , certainly enough keep one awake night . also , large standard hotel room see Europe . overall , fantastic experience . 
 Aug 8 2004 	 GREAT deal GREAT HOTEL 	 return 7 - night say Royal Horseguards . first week August . still construction affect outside . hotel lobby lovely . treat like royalty . arrive London early a.m. stop check luggage . fortunate room ready check . room exec . twin 5th floor . courtyard view . we could choose non - smoking notice ash tray , smell clean non smoking . huge room . ' mind bad view glad open window . street side unable open due construction . bed comfortable . free room safe pant press , hair dryer . beautiful marble bathroom , great water pressure shower . quite . construction always late morning leave . never affect we . staff friendly helpful . buy ticket event always map suggestion . continental breakfast room price . nice fresh fruit , cereal , croissant etc .. London expensive right great " free " meal . this hotel locate close everything . 2 - minute walk embankment tube . 5 - minute walk great pub , coffee sandwich shop Villers St. Strand . 5 - minute walk Trafalgar Square National Gallery . 10 minute Leicester Piccadilly . walk Buckingham Palace 15 minute . basically walk , tube , bus anywhere London ! ! feel safe enjoy stay . would definitely stay . book American Airlines get great deal . guess due construction rate discount ! ! 
 Aug 8 2004 	 great hotel location 	 return week stay London . book hotel American Airlines package could not happy . travel child request triple . first room fine , smallish view . check front desk 20 pound per night upgrade beautiful room 2 french door provide Thames River view look bridge London Eye . bathroom big , separate tub / shower heat towel rack . room contain minibar , laptop access , tv , iron / board , 3 phone , etc . comfort home . king bed sofa bed child fine . continental breakfast include kind fruit , pastry , cereal , cheese , coldcut . full breakfast available , fine . old , historic building refurbish charming . lounge main lobby piano player every night . relax sit tea whatever . the location great . one minute embankment tube stop Charing Cross Railroad Station . 5 minute walk distance Trafalagar Square , 10 minute Covent Garden , 15 minute Leicester Picadilly Square . walk across bridge London Eye 10 minute attraction side river . not waste money expensive cab . go Embankment Tube stop buy pass . assitance desk get ticket give advice / map get city . easy cost effective not put . anywhere 20 minute . many good restaurant walk distance , not confine hotel . Enjoy- will not sorry . 
 Jul 10 2004 	 enjoy stay Royal Horseguards 	 wife , grandaughter spend 8 night hotel last June , first July . happy room , large 3 we , staff . unfortunately exterior clean plastic window direct view outside . find minor problem daylight still enter ' plan spending day room . the hotel locate perfectly reasonable walk around London suggest learn quickly use Tube since Embankment Station less block away . master Tube , nothing can not get whole London quickly . we strongly recommend Royal Horseguards impressed size room staff . 
 Jun 30 2004 	 Great Location 	 stay Horseguards 7 night June 15 - June 22 . reserve deluxe twin breakfast include . room small , new section quiet . ask upgrade additional 20 pound per night do we 2 day later beautiful twin room overlook river ( road noise front view ) . breakfast tasty well present . staff helpful friendly . nice hotel consider London 2nd expensive city world bad price-97 pound per night , exclude tax . location absolutely fantastic close tube station Trafalgar square . would definitely stay . 
 Jun 25 2004 	 central location Beautiful Architecture 	 marvelous place stay London . book tru Globus Travel everything take careof we . Breakfast include . although always food : croissant , stickybun , cereal , yogurt , fruit salad , coldcut , cheese , scramble egg , backbacon , bean tomato sauce , hashbrown ... eat big breakfast may save lunch . everything expensive : 10 - 12pound per meal that s 25 $ cnd ... each . our room cozy , 2 single bed , large bathroom heat towel rack , trouser press . concierge helpful make reservation we ; theater , excursion , ( stonehenge touching stone Premium Tours must ) .this hotel old charmy HUGE . appear almost every picture London front London Eye . the tube embankment two step away , 10min walk street Trafalgar square , another 10 min Piccadilly . thistle hotel look nice Horseguards quiet central every major attraction . 
 May 31 2004 	 Great Location Helpful Staff well appoint room 	 wish category average exellent think hotel rate , much close excellent average we . stay May 22 - 24 two large , well appoint room interior courtyard view attractive also important enough we upgrade . strongly recommend Royal Horseguards base experience follow . first , location great , 5 minute walk either Tralfagar Square Westminister London double - decker sightseeing bus ( recommend ) 2 minute walk Royal Horseguards , Downing street . second , room wonderful . room ( 1 twin , 1 triple ) large UK standard , finely appoint two comfortable bed , love seat , coffe table , desk , marble bath , mini - frig , coffee maker , heat towel rack , room safe , luxurious matching drape bed coverlet . little thing might annoy chip paint wood waste basket wood trim bathroom , although think minor give ambiance old hotel . third , staff friendly helpful family . fourth , buffet breakfast serve every morning excellent . FYI , be renovate exterior scaffolding block nice view exterior . negative stay London , black trael wallet airline ticket disappear . 100 % certain whether theft occur hotel way hotel overburden luggage , however cd player disappear 2nd room make suspicious may thief among room staff . incident , put everything value room safe never problem . would strongly recommend Royal Horseguards visitor intend stay next time visit London . book room directly Thistle Hotel website Thistle hotel guarantee low web rate available website site ( double check rate offer Expedia ) . 
 may 24 2004 	 Perfect Location Less Perfect Accommodations 	 stay May 5 - 17 , 2004 . choose hotel due 's ideal location -- right Thames river , one block near tube ( Embankment ) , within block many restaurant attraction ( Buckingham Palace , Regents Park , London Eye , Parliament , Westminster Abbey , Trafalgar Square , many museum ) . hotel also offer great full breakfast buffet , budget , sure get include rate . give exhorbant cost food ( dollar pathically weak writing ) , meal surely add up . on side , hotel room great . stay 12 night stay 3 different room : & quot ; coutyard view & quot ; , front view River View . get high room ( 7th ) , river side , will happy . not fool cheap courtyard room . & quot ; courtyard & quot ; really ugly interior building nothing look build lot trash . ask another room get front view 20 extra pound night . front view currently partially obstructue scaffold ( noisy contruction worker ) , not choose room major renovation do . river great , noisy , 7th floor 's les noisy ( view well ) . cost extra 20 pound per night ( $ 40 ) gaurantee deluxe river view room , well worth . not show try luck -- will not ! recommend call hotel directly rely travel agent web site room . the shower River view room pretty bad , well room . also , bed lumpy . pillowtop ! overhear another couple say newly renovate room north side new furniture , maybe bed well . ask . on side note , be hard get healthy green vegatable city . be town day , biggie . week long , body need scone crepe . thai rescue ! locate good Thai restaurant block away , across Trafalgar Square ( Thai Square Cockspur Street ) . order whole plate brocolli oyster sauce , fresh , never taste well , let tell you . have fun . 
