cleancomfyperfect 	 second stay travel inn 42nd street . even knee damage find location theatre shop ( time square ) within comfortable walk distance . I book single get double double , near lift request . forgot hair dryer uk USA adapter provide ( hair dryer room , plug request ) handy later check 12 pm , still get run last min errand last day . easy walk subway port authority . also across street drug store food nearby . fridge microwave room nice touch warm . can not fault place price location . small cozy , well look helpful staff . will return def . reccomend NYC traveller want comfort budget location ' the thick ' ! 
 Sep 3 2005 	 Location Clean Safe ! 	 family four stay end August early Sept. terrrific service , clean , good sized room safe place stay . pay $ 140 / night think fair price light location . 11 year old daughter swam daily long hot , day city . walk subway , harbor , theater , etc . would definitely return . thank Travel Inn 
 Sep 2 2005 	 convenient budget traveler 	 first , save considerable $ $ $ book hotel website , oppose booking well know online hotel book site . first suggestion google hotel 's website book directly . travel spouse two daughter last - minute plan trip nyc.hotel inexpensive NYC , parking free , * * in - and - out privilege ( although keep car garage 3 day NYC ) . almost unheard NYC , valet service charge $ 40 day , in / out privilege ! , people take car trip , plus ! ( prepared patient parking car space quite tight ' want hit pillar someone else ' vehicle ! ) & quot ; budget & quot ; hotel right Manhattan far Times Square , hotel actually quite good . room compact clean , lobby small shabby . staff ( front desk , housekeeping , garage , etc . ) helpful polite ( elevator rather slow , minor issue . ) , place Pierre Ritz Mandarin Oriental , thing & quot ; perfect & quot ; , large good value money . our teenage daughter use swimming pool 30 min one day , pool outdoors third floor rather quaint & quot ; courtyard & quot ; set .... refreshing rather muggy morning visit Central Park .... restaurant officially & quot ; & quot ; hotel , & quot ; Broadway deli & quot ; directly across garage entrance lobby , breakfast adequate get start day walk ride around Manhattan . another good breakfast diner East south side W42nd corner Dyer . hotel corner W42nd Street 10th Ave . Times Square ( Seventh 42nd ) 3 block 10 - 15 minute walk depend crowd . lot people , feel fairly safe , one always vigilant stroll NYC anyways … the hotel small souvenir store friendly lady able book Gray Line bus tour , avoid huckster wave pamphlet face every street corner . go book Gray Line tour , go , walk Eighth Avenue little north W47th Gray Line bldg get ticket . find Eighth avenue embarcation point Gray Line bus handy crowd one block Times Sq . speak , Times Square clean Rudy Giuliani , long seedy smutty dump 25 year ago . kid ( we ) particularly enjoy Hard Rock cafe , Virgin megastore , toy r Us , etc ... plus Gray Line tour leave . ( see paragraph ) .In conclusion , hotel fancy hotel lounge around , look clean , small room , friendly service , right downtown Manhattan , free parking , recommend Travel Inn . 
 Aug 28 2005 	 Brilliant Hotel Location ! ! ! 	 stay hotel 2nd till 9th August year . love hotel . room 7th floor great view pool also balcony could see Empire State Building , great photo opertunity . ! ! pool great , great sun - lounger , well equip free towel gym small good . room large clean . deli next door great breakfast morning . friendly waitor . staff hotel pleasent . hotel with - in walking distance Times Square Circle Line Cruise , also Chrysler Building not far either . & quot ; Theatre Row Diner & quot ; across road great , great food ! ! love Mahattan , hotel one would definatly consider go back to . ny good place ever ! ! ! ! ! ! ! ! ! ! ! ! 
 Aug 24 2005 	 good deal 	 family four stay Aug 7 - 12 . 4th floor room overlook pool . parking include rate , $ 125 night ( book several month back April ) . hotel , especially room , clean . bed firm comfortable . deli next door good food breakfast inexpensive . theatre Row Diner two block away excellent time day , reasonable , extensive menu selection . short walk away Circle Line Cruise 4 block subway . gift shop reasonable -- -we buy 3 decent quality t - shirt $ 10 total , another t - shirt $ 12 & quot ; Love NY & quot ; souvenir coffee mug include price shirt . guy parking car great -- -the desk staff sometimes bite abrupt . hotel two , short left turn Lincoln Tunnel , two short left right back . property good deal price , would definitely book . 
 Aug 22 2005 	 Great Price Great Location 	 return girl weekend NYC , stay Travel Inn . would highly recommend hotel anyone want close action still stay within modest budget . 4 block action NYC start walk everywhere go . room little small , clean . excellent view Empire State Building hotel room . also deli right next door serve really good & quot ; NYC & quot ; food end eat 2 3 day . would definently stay come back NYC . 
 Aug 18 2005 	 Location Value 	 stay well - locate hotel 2 week June , 2005 . pay $ 114 per night . locate right bus stop . 42 Bus run along 42nd Street , short walk Circle Line Tour Ferry short walk Westway Diner 9th Avenue , TheatreRow Diner , 1 block 42nd Street . instead take bus , easily walk Subway Times Square . initially , place 3rd floor , adjacent elevator soda machine , also , entrance exit pool . two night little sleep due continual noise elevator guest trundle suitcase tile foyer floor , ask relocate . eventually do graciously enjoy remainder stay 25 - hour day city . 
 Aug 11 2005 	 Great Place stay 	 stay 3 night . room large clean . room 7th floor , overlook pool . also great view Empire State Building ! staff extremely helpful , especially lady gift shop . really know New York ! location big plus , along free underground secure parking area . deli next door also good reasonable . room wireless internet access available $ 5.95/24hr . great time visit New York ! 
 Aug 9 2005 	 book ! 	 be look comfortable -- 4 - star -- lodge GREAT rate ( pay $ 140 / night ) , book hotel stop shop around . family 4 stay & quot ; double double & quot ; ( two full - size bed ) 3 night recent heat wave . Ask & quot ; interior & quot ; room away street , will end deal noise city . place steal . free parking , clean large ( NY standard ) room , great location make wonderful place bunk sightseeing . close Times Sq subway . Police station across street . easy get . pool blessing swelter mid-90 degree heat day . close early ( around 7 pm ) , plan ahead . complaint extra - firm mattress - baby hard . ask couple extra blanket use mattress pad , help . desk staff indifferent -- neither rude , pleasant . research , must , book place . would heartbeat . 
 Jul 25 2005 	 good deal Big Apple ! ! 	 definitely stay come New York . room large clean . everyone staff friendly helpful include front desk , parking attendant , concierge . chambermaid remember request extra towel . provide well average service . facility amenity excellent ! not use pool , large clean . good location tourist , ! 
 Jul 19 2005 	 Location Location Location 	 please size room , price room , neat little deli next door ( great place breakfast ) , especially , location inn . drive Philadelphia leave berkshire . Quick Lincoln Tunnel , Quick along 12th . free PARKING . great access show 44th . room actually face 42nd would bit noisy -- , however , travel white sound machine case like . know , stay , would request one room back toward swimming pool . staff friendly helpful . would definitely stay visit New York . 
 Jul 18 2005 	 Great Hotel Service Location can not wait return ! 	 good review hotel website , book AAA hope would clean safe . needless say , completely blow away find , true treasure people look visit NYC close Times Square theater district . location hotel perfect . locate West 42nd street , hotel central everything New York city offer . see Lion King ( also highly recommend ) three block theater . 5 block Times Sqaure , 2 block Circle line sightseening cruise 8 block 34th street house Macy 's many large store . safety concern family rest assure police substation right across street . constantly feel police presence honest late stay never feel uncomfortable . hotel nice lobby accommodate staff gift shop / tourist information center get everything souvenir tour theater ticket . room large compare Manhattan hotel room . king size bed , chair , desk chair fridge microwave . room clean . concious hotel dirt look could not find . sheet clean crisp bathroom spotless . bed be not comfortable world , walk around NYC day , will not even notice . pay internet access lobby purchasable internet access Nintendo 64 game room . ( $ 8.00 per hour ) . room service restaurant street extensive menu free delivery . tv service could well . reception awful not many channel , , walk around Manhattan day , will not notice . however , really problem . we really like hotel plan stay annual trip NY . great location great price . pay around 140 night taxis great price quality location . recommendation look food : BB King 's lounge right street 3 block away restaurant call Lucille 's grill . Absolutley fantastic food . the small restaurant right next travel inn great hidden breakfast lunch place . eat breakfast every morning NY great sandwich place well . ESPN Zone Times Square great restaurant well . try marinara sauce , not look appetizing good ' ve ever restaurant . , enjoy , NYC terrific vacation spot something everyone . 
 Jul 17 2005 	 well pleased 	 stay three night late June - room comfortable , clean , good size - service excellent - bath little small - be back overlook pool noise problem - deli next door great breakfast - probably 15 minute walk Times Sq.-only block subway - overall , pleased would certainly consider 
 Jul 12 2005 	 Impressed service 	 daughter - in - law , granddaughter , & amp ; stay Travel Inn 42nd Street July 10 - 11 . first impressed friendly staff , easy check clean room . although area good , centrally locate able easily access way travel throughout city . use room service - server friendly fast . important . pool area clean inviting . upon check able leave bag security departure provide transportation airport reasonable cost . great mini - vacation . 
 Jul 11 2005 	 excellent clean friendly ! 	 stay 5 day July . highly recommend ! clean , affordable hotel central location . 5 block walk Times Square , 1 block post office , 2 block Gray Line tour stop ( hop - on , hop - off double decker tourist bus tour ) , two block Pier Circle Line boat tour Manhatten . great location tourist . good , across street police station ! ! ! despite fact super noisy ( siren go time ) , feel extremely safe ! ! ! room nice , much nicer compare alot two star hotel , bed comfortable , air conditioning work extremely well point cold ! bathroom clean get plenty towel toiletry product leave every morning . hotel even pool , unfortunately get around use . little gift shop sell everything need- beauty product , umbrella , map , etc . think staff WONDERFUL . GREAT deli next door , breakfast every morning , great selection sandwich etc , friendly service . even grocery store ( food emporium ) block up . I think great deal price pay ( around $ 208 / nite canadian , book expedia ) not think find anything quite nice manhatten price range . 
 Jul 5 2005 	 10 minute Times Square 	 find excellent hotel via french travel agency not disappointed . facility : swimming - pool ( supervised member staff ) , well - equip gym facility , deli , delivery service . room do everyday air - condiionne staff nice . Breakfast include . not phone room cause ' ve spend 25 dollar 2 day international call . ( 2 minute french mobile cost 5 dollar ! ) hotel situate 515 West 42nd Street . 's 10 minute subway 15 minute Times Square . be also 5 minute Circle Line Cruise 's departure . would recommand hotel cheap comfort quality : 100 dollar per night double room could welcome four people ! 
 Jul 3 2005 	 far enough strip ... 	 stay five night June 27 - July 2 . front desk helpful friendly . allow room early . face pool fifth level - could barely hear street noise . good ten minute walk Times Square . Room make , vacuum replenish daily - nice come back long day tour . room average size . double / double perfect two people . bathroom small , good condition . Shower head tall ( unusual plus tall people ) water pressure powerful . pool refreshing , limited hour ( 11 - 6:50 ) . complaint would elevator small hot , fortunately seven story - long ride . stay future refer plan stay well . 
 Jun 30 2005 	 Travel Inn Hotel 	 Great Place . we stay first weeek May . excellant location . freindly people . Delli across hotel great . only thing bed room small 4 people room . will stay . 
 Jun 21 2005 	 Good Deal Manhattan 	 stay Travel Inn June 8th 9th . big plusse hotel free parking pool . arrive NYC two hot day year far , pool godsend – really ! location great – walk Time Square Empire State building , use Grayline Tours , short walk Grayline location . reserve two double\double – one husband one sister - in - law two daughter . request non - smoking room 8 year old daughter asthma linger cigarette smoke trigger . last thing want end emergency room nyc.both room comfortable , bathroom bit small . one room reek heavily cigarette smoke ( room fine ) . go front desk ask non - smoking room . explain we ' " Non - smoking " room , maid " spray " something get smell . know spray ! way room , notice room " non - smoking room " sign them….hmmmm . anyway , daughter stay non - stinky room husband stay stinky room . little unpleasant , intolerable . allergy asthma cigarette smoke trigger – may hotel . noise - wise , loud guest sit balcony hour night throughout 2 night stay . wear earplug sleep well , husband little annoyed . suppose could call front desk - figure New York noise part package . aside stinky room issue , location , friendly staff , pool , parking make travel inn good value . 
 Jun 19 2005 	 would stay . 	 come late May 27th ( really morning May 28th ) . problem get room . back room pretty quiet except train go one point . room clean well keep . seventh floor corner . fairly quiet . start hear people around nine morning . not really warm water room . maybe everyone take shower time . stay two night . cruise ( NYC ) , stay June 6th 7th . time room fifth floor street side . room warm . thought could hear outside ( like window not shut right ) . play around window seemed little quieter . next day call desk tell room warm . promptly send repairman say valve turn . get cool . warm water room . pool area nice . young woman gift shop helpful tell we go NYC . within walking distance Times Square . walk area . people hour night . not feel scarred time . CVS across street ( good cheap snack ) .If ever go back NYC , would gladly stay . 
 Jun 18 2005 	 Great Find 	 son return New York spend 5 night Travel Inn . book property reasonably price get pretty good review Tripadvisor . disappoint property , exactly expected- fact well . offer clean comfortable room . room hotel show sign wear , nothing not acceptable . bathroom little small ok we , might problem . particular , toilet tight space not leave much space . big person might find uncomfortable . hotel 7 - 8 block Time Square 's supermarket one block away . grab couple sandwich deli next door pretty good . also , hotel 3 block Hudson River might make interesting sidetrip realize drive back airport . , find Travel Inn nice little hotel close everthing would recommend anyone want stay close Time Square without pay small fortune . 
 Jun 18 2005 	 Liked hotel 	 friend stay hotel June 7 - 10 . impressed ... clean , maid bring we fresh towel , soap , toilet paper everyday make bed . service prompt .. friend use WebTV problem keyboard , call front desk someone within five minute . not know deal problem , say manager would shift twenty minute , would deal . fifteen minute later show manager , problem fix . room cool , air conditioning work fine . Police station across street , feel safe . location good , walk front door , turn leave , walk bit Times Square . would stay would recommend other . 
 Jun 16 2005 	 Great Deal ! 	 stay June 8 - 13 , probably hot day month June . glad nice pool air conditioning work ! room large Manhattan standard . typical size room , really . large enough , husband 2 kid , crib fit plenty room spare . staff friendly enough . room clean quiet . free parking secure garage clinch deal ! pay $ 125 night , find scream deal Manhattan ! put room overlook railroad track , window shut , would never notice train go . pool fantastic , open 11 - 7 every day one , bad thunderstorm . there be police station across street , course , Manhattan noisy , find much nois Monday morning city go back work , weekend . feel safe secure , hotel pretty central , get subway close , bus . gripe bathroom bite tight , nearly impossible bathe 2 year old slide door bathtub , manage . would definitely stay . 
 Jun 9 2005 	 wow ! ! ! 	 say enough good thing hotel , first trip ny two son 's June 5 - 8th 2005 . review site reliable add mine . hotel within walk distance bus terminal arrive walk , desk staff great . arrive early suggest check drop bag grab something eat come back 1/2 hour . room large expect ( nice treat ) cool clean . everyone hotel great , helpful friendly . problem noise ( Toronto ) , other guess rural area . walk every find people city nice . place truly kid friendly well . experience truly change view ny people live . guess thing complaint advise website Nintendo 64 cost $ 8.00usd per hour . swimming pool nice ( 90 every day ) . alreay make reservation sept 2005 ! ! ! . travel kid must see Nintendo World NBC studio , also century 21 department store near ground zero canal street bargain ( not get comfortable shoe ! ) 
 Jun 7 2005 	 horrible experience ! 	 stay Travel Inn three time . would expect economy hotel -- basic , somewhat dingy lodge indifferent staff . time , give smoking room despite request nonsmoking room . find actually get room . reek -- hazard highly allergic daughter . manager offer apology , room change ( say completely book ) , assistance find another hotel room New York , even one hotel Empire Hotel Group . offer & quot ; spray & quot ; room get we nonsmoke room next day . since could stay room , call hotel find excellent one understand customer service . upon check , manager rude completely fail understand disgruntled customer . make attempt remedy situation make even token offer acknowledge inconvenience hotel cause . even threaten charge we room use bathroom search another place stay . refuse several request tell put charge credit card . , stay want inexpensive place minimal expectation customer service . stay away expect staff take word & quot ; accommodation & quot ; seriously . 
 Jun 5 2005 	 Free Parking 	 location hotel great Times Sq SS Intrepid / Harbour Cruises hundred yard walk either therefore central enough reach anywhere . travel coast coast free parking bonus we . stay 3 night £ 87 per room per night incl parking great value NYC . would definantely recommend car user value & amp ; location . even travel without car would still consider hotel . 
 may 31 2005 	 Comfortable 	 Travel Inn Manhattan perfect we . we stay room overlook pool 2 night .very quiet . easy 10 minute walk Times Square . pleasant staff reception friendly reserve . they kindly allow we store bag hour last day go back airport . New York hotel standard city . the bed quite hard . but 125.00 per night good deal . the remote would not work second morning . House keep area fix straight away . I feel safe whole time NY Police across road make feel secure . we use New York Pass one day hotel convienent Circle Line ferry Intrepid Musuem . Madame Tussauds road also . there good deli next door breakfast . cheap fast tasty . also road back towards Times Square supermarket extra thing need . throughly recommend location , nice quiet room good price . the pool close . but start May 64c outside really cold wind chill pool be not option we . would easily stay next time . 
 May 28 2005 	 Loved Hotel . great Find . 	 stay 21st May - 26th May . husband four kid brother . please Hotel . maid clean everyday , not manage clean top headboard reason . quite dusty . bathroom clean clean fresh towel everyday . television playstation bedroom . ask two double non smoking room . feel someone use smoke , faint smell smoke . give room overlook street . noisy . even noisy construction man decide dig road 1.00 morning . one get sleep night . room hot also , not want open window young child we . people front desk nice overly pleasant ok . deli next door get busy morning get early . new restaurant road call Theatre Diner , nice , clean food lovely . would stay definately . 
 May 25 2005 	 clean simple 	 find hotel clean simple staff extremely friendly helpful . just need be plan spend long hotel room . rather disapointe find pool closed end May , especially pick hotel feature pool 6 year old daughter rather distraught ! comfortable , clean pleasant experience ! 
 may 21 2005 	 Marginal value 	 can not describe place bargain , even expensive city USA . four night come 710 US $ , tell . give smoking room despite request opposite , entrance room separate set elevator require walk ... scenic ... New York City parking garage . bathroom spacious , although fiddle shower faucet make hot water work . egregriously , cable tv include yes ... least ticket Bombers ' game ... probably not come NYC watch Yankee game . Empire Hotel group far well bargain Hotel Newton . location major advantage ; really want close Times Square ( ? ) , one well deal . 
 May 19 2005 	 Great Value 	 stay 3 night May . double double room 6th floor overlook pool . the room clean comfortable . bathroom small . it take hot water 5 minute ( yes 5 minute ! ) travel along plumbing room . we call reception someone come room tell we yes that s right take 5 minute . ( waste water ) hotel well locate although little seedy area . I feel safe across road police station . there great Deli next door hotel . the heating room great , although fridge . we pay $ 160 pn Thur & amp ; Friday $ 195 Saturday night . location great - 10 min walk Times Square . 
 may 19 2005 	 Travel Inn 	 stay 29/4 4 night family last minute trip leave usual choice hotel ( Hyatt Grand Central ) unavailable . bit worried area arrive , glad say surround area busy plenty people around reassure night . find hotel walking distance 42nd st / Times Square Hyatt . hotel fine , room comfortable fairly large New York . House keep good room spotless every day . previous reviewer state two guy front desk bit abrupt , mostly deal two woman receptionist brilliant nothing hassle , time ask question treat like person annoyance , bad habit Hyatt rececption staff develop . complaint street noise , room front young brother light sleeper cause problem . whole could get room back would stay . although Hyatt standard , staff friendly also big advantage hotel lot cheap mean money spend shop . 
 May 17 2005 	 bargin ! 	 stay friend last weekend April - Fri - Tues . great location , close Times Sq without hectic - ness come along stay actual Times Sq . room good , fair size , clean maid service faultless . also problem we leave bag check could go NYC catch flight back UK , also charge , unlike Manhattan hotel . unlike last reviewer , heating work , leave night , make room roast hot , much , open window cool ! not use gift shop next door deli can not comment , drink bar around corner 10th St fab ! think call Biggs , not quote ! * lol * would definately stay , price , hotel good bargin ! already plan another trip Nov . 
 May 15 2005 	 exceed expectation margin 	 stay hotel week . need : simple , clean hotel room . room well appoint , clean , small . bathroom fine clean . bed okay , may find bit hard side . downside hotel prettiest neighbourhood ( 10 min walk west Times Square ) , room anything soundproof ( hear neighbour bathroom , sound outside staircase resonate room - hour people noisily amazing ) - however earplug able fix . also wide crack door floor - winter summer , cold hot air easily come . may , however , much problem . deli next door nice unpretentious . overall , would say fine budget hotel . 
 Apr 30 2005 	 close cigar ... 	 first time staying establishment , choose good review get site well somewhat reasonable per night cost . stay 4 nite somewhat disappointed hotel . list pros con . pro : Near Times Square , subway station , CVS , Food Emporium , Kraft RestaurantNot small roommaid service amazing , make room impeccable every morningfront desk garage security attendant nice helpfulcon : pillow paper thin , call get , quick send we , problem . real problem follow : double double front pool , come room directly outside , cold weather . door insulation , cold wind pass every nite froze like ice cube . heating system room , equivalent living cardboard box weather wise . reserve double double , please ask inside outside ! ! quite discourage hope seek change situation future guest . 
 Apr 27 2005 	 great place budget 	 stay 5 night , arrive April 18 , wife , 16 yo son 19 yo daughter smoke double double 3rd floor near pool inside . relatively quiet pass type hallway pedestrian noise . check fair good 2 rude gentleman behind desk . mention request fridge one guy say impossible could never get one . check young lady next morning , make phone call one within 5 minute ! bathroom smallish - wish sink outside bathroom . location great - near subway easy bus access 42nd street . deli next door nice Food Emporium 3/4 block east handy . Evangeline , hope 's correct , gift shop extremely pleasant helpful come place eat , direction , etc . pay $ 150 / night hotel 's website quite good 4 people . would certainly stay would recommend similar situation . 
 Apr 27 2005 	 well expect 	 husband think hotel nicer expect 2 - star hotel . room clean spacious . location hotel excellent - close subway station Times Square distant enough traffic noise around Times Square . staff friendly , helpful accomodating . arrive late night Virginia , think nice someone hotel call we make sure still check . ensure we lose hotel reservation come late . free parking awesome especially since parking NY herendous . complaint hotel rate reasonable , , NYC hotel rate overly excessive . also , bathroom bite small - not big problem except not much room place toiletrie clothe . husband would check Travel Inn . 
 Apr 17 2005 	 great value ! highly recommend ! 	 Gem hotel ! great value price nice , clean room . free parking plus . service friendly prompt , feel safe . street noise loud , expect NY ! room little hot / stuffy , open window door get nice cross - breeze . would stay , summer unless AC ( room apparently not ) . overall , pleased ! 
 Apr 14 2005 	 Unbelievable value 	 husband stay Travel Inn friend 1991 . book year three night . lot year pass sure expect . pleased see great condition . easy access come city . parking wonderful . pour rain one day still wonderful stay city . enjoy meet lady gift shop lobby . friendly helpful . help get ticket Golden Pond . enjoy play much . hope come back Travel Inn soon . imagine find suitable hotel New York city . 
 Apr 12 2005 	 great value clean comfortable 	 two family travel together April 3rd thru 6th , get next door room third floor face street . room clean , street noise expect NY , heavy curtain block light window , friendly intrusive staff . pay $ 436 . inc . taxis 3 night double / double . room large expect price , fine we . drive via Linclon Tunnel , hotel 10th 42nd St. three block away & amp ; easy get - parking attend garage attach hotel include . desk let we check 2 1/2 hour early , let we leave luggage & amp ; van garage day check extra charge . location good , three block Times Square , two block subway station ( five minute walk ) . coffeemaker , decent deli next door hotel necesary first cup . would stay . 
 Apr 9 2005 	 Great Place Great Budget 	 stay hotel April 3rd thru April 7th Spring Break 2005 . locate 10th w.42nd street . ( helpful information travel cab airport . ) 2 room ( 6 we ) mother , husband 3 child . stay room 404 405 . perfect view empire state buliding . spectacular night . place awesome . fridge notice maid cleaning room across we fridge . matter do not need one . ice bucket fine . Evangilne lady run small cute gift shop . open 7:00 . wealth knowledge . tell we dine see get . true asset vaction . reccomende Trollie Deli . 2blocks 42nd street . great food great budget . small place . everything new york small . also bar grill reccomende call Mr . Biggs . right 10th street . plate nachos like would not believe ! front desk great . noisy people next room take care instantly . room face street . noisy New York . window open construction go side street every morning 7:41 loud bus something go wake we . ok . want get get go day . need alarm clock . ! ! ! place clean staff great would definetly stay ! thumb totally . family six 2 room great . alot amenity besides pool free parking , nice clean cheap comfortable . pay 125.00 per night . 582.00 total stay room . thank make first trip New York great Travel inn . 
 Apr 8 2005 	 good value great location 	 sure glad read review book NY hotel . happen see stay other consider - look dreadful . place clean , tidy , well situate reasonably price - could ask ? 
 Apr 7 2005 	 clean accommodate Perfect ! 	 stay 4/4/05 one night . hotel staff helpful check - in , provide direction , map , information . good part free parking . room clean , bed extremely comfortable . room quiet though overlook pool close season . I definitely stay . easy find access . fear stay NYC assuage one stay . advise : Ritz , certainly clean , accommodate , professional presentation . 
 Apr 5 2005 	 ` ` arrivederci ` ` Travel Inn 	 come back sure . Travel Inn give expect . we stay room 376 ( face pool ) clean roomy . the staff reception friendly helpful always reassure smile . the Deli next door cheap familiar . breakfast plentyful good quality . we stay 6 night despite Jetlag ( Italy ) sleep well even Hotel 42nd St. wife daughter son ( stakeholder yet ) sure reccomend Hotel location great unlimited 7 day Metrocard New York foot . opposite Hotel , try Kraft restaurant look good quality reasonable price . every day return visit city sight Travel Inn neon sign feel home . Giovanni Genoa - Italy 
 Apr 4 2005 	 good value money 	 book room 2 double bed hotel website pay $ 105 per night ( excl tax ) . good area Manhattan three block walk Times Square 5 minute Port Authority ( bus , subway , train ) . big room Manhattan standard clean . worth mention first hotel stayed actually clean underneath bed ! two drawback : noisy heating system traffic ( get room face street ) . recommend . 
 Apr 2 2005 	 great hotel even well value ! 	 hotel great . free parking icing cake . room clean , enough room . room double , double . face street , noisy window , everything else great . always plenty towel , complaint . staff nice . want place stay 's clean not pamper , place . 
 Mar 31 2005 	 bring flask ... 	 stay Travel Inn 8 day mostly pleased . room clean huge staff unobtrusive pleasant . would advise visitor ask back room one top floor , stay front room 5th traffic noise noticeable . though recommend hotel , particularly location short walk Times Square , would advise anyone contemplate visit bring flask may hot drink morning . paid not - inconsiderable sum room disappoint find tea / coffee make facility refrigerator . consider pretty essential , especially lengthy stay . summer , earth hotel room fridge ? overall , consider Travel Inn , Manhattan , good , convenient , place stay drawback . would stay ? yes , winter would bring large flask . 
 Mar 28 2005 	 Great Place / Great Value / Free Parking ! ! ! 	 Travel Inn really great deal Manhattan ! ! ! easy access car free parking ! ! ! incredible location 42nd , 3 minute Time Square ! ! Police Station side road ( secure place ) .We will stay next time ! ! ! 
 Feb 26 2005 	 great location 	 stay four night Toy Fair . got free parking refrigerator . good news get room face pool quiet . bad news roof need coat leave room . stay ask room inside face pool 5th floor ! 
 Feb 26 2005 	 great location bargain price ! 	 stay Travel Inn NYC Feb.23 - 26 . spend amount time website trying find place stay suited needs- clean , affordable , close everything . definitely ! hotel within walking distance Times Square ( catch major subway route ) , restaurant , theater district . free parking HUGE plus- left car inside 3 day never worry , pay ! room clean comfortable family 4 , front desk staff helpful direction , etc . next time come NYC , definitely stay ! can not beat value location ! 
 Feb 18 2005 	 Great Economical Place Stay 	 book Travel Inn recommendation friend New York without even see Trip Advisor comment . I would recommend stay budget , pay $ 120 + tax night twin double bedded room 3 we . the Deli / Cafe next door offer great breakfast . over road hotel South NYPD Police station mean always Police around , give safe feeling . it be walk distance 34th St Penn Station part City . 
 Feb 17 2005 	 Budget Savvy Stay ! 	 frill ..... perfect.who spend time hotel room new york ? perfect come back , take nap go back . pool July add bonus ! ! ! staff friendly , 's police station across street subway sooo close centrally locate . student discount GREAT ! ! ! try stay make back , guess secret bag .. be always book solid ! great time check piano bar village call Duplex . see talent grammy 's . 
 Jan 31 2005 	 love Travel Inn ! 	 love Travel Inn ! one economic hotel NYC staff really care customer ! helpful respectful ! room clean , well keep roomy ! area feel safe ! free indoor parking real plus ! deli next door serve great breakfast / lunch ! hotel well ! 
 Jan 27 2005 	 Best Deal Manhattan 	 stay Travel Inn numerous occasion would highly recommend . recent stay Friday , January 21st . actually plan stay 2 night blizzard hit city Saturday ask front desk could check early without charge . say problem long check noon . LOCATION1 . Travel Inn minute Lincoln Tunnel make really easy get city . plus think hotel NYC free parking ! ! ! ! hotel let check , leave car parking garage be ready leave city . 2 . plenty restaurant close include deli right downstairs Kraft Restaurant ( Diner ) across street . also Blimpie sub Dunkin donut couple block away . Chevy 's Mexican Restaurant Times Square great like mexican food . 3 . Food Emporium full service grocery store block away . great pick snack beverage munch room.4 . convenient location close Times Square Port Authority , easy access subway . would suggest 7 day Unlimited Ride Metro Card $ 21 . card provide unlimited local transporation bus subway . even stay 4 5 day Metro Card still good value transportation . hotel5 . pool great summer . usually crowd plenty chair pool.6 . staff friendly maid service good.7 . couple different type room depend area hotel put . room inside main building big closet space . room walk oustide get small less closet space . also tend little nosier.8 . can not beat price ! rate little summer never pay $ 155 / night . rate pay last weekend $ 105 / night . Travel Inn luxury hotel 's definitely good value NYC . be clean , staff friendly price right ! ! ! 
 Jan 23 2005 	 good value money 	 clean hotel room courteous staff . nice cafe next door get breakfast . take 10 minute walk Times Square . would stay . 
 Jan 18 2005 	 less accomodating 	 could control heat ... on / off switch . thermostat room . one slow elevator & quot ; gift & quot ; shop size postage stamp ( close 2 3 day ) . wireless internet access reach upper floor print service advertise room available . explanation give misadvertisement ... ... be wrong . noisy street across police station , busy night ! 
 Jan 5 2005 	 Great Hotel 	 mum & amp ; stay Travel Inn one week begin December 2004 . hotel basic , really require . the staff ( manager , front desk , clerk ) absolutely lovely extremely helpful . room also keep spotlessly clean . go back NY , hope soon fund allow ( ! ! ! ) , would definitely go back Travel Inn . deli downstairs amazing price . block Times Square , tube easy use . , Travel Inn make trip well . also , look Aveline , lady run gift shop hotel . absolute star help get ticket show want . get fantastic ticket see 42nd Street $ 44 ! 
 Jan 1 2005 	 stay NY 	 thank everyone 's review . good hotel stay New York . stay two night Christmas . easy walk Times Square subway station . got metro card Food Emporium next block , get tired walking , take bus 42 drop right front hotel . major advantage free parking , check 10 , leave car hotel ready leave 9 pm . policy station across street , feel safe location . room little noisy even 4th floor , be understandable . use wireless internet service $ 6 per day , connection slow reliable , recommend . room bathroom clean , good hot water , small complain room hot stuffy , not find way circulate air opening window . overall , would stay hotel NY . 
 Dec 26 2004 	 definitely go back 	 great location , three block times square central subway system get anywhere manhattan . one block away 9th ave find great ethnic restaurant reasonable price . name cuisine be within block . hotel staff accomodate , room keep clean . actual setup hotel interesting entrance look like hotel , hotel elevator situate around pool , much like american motel . mean expose sound city hey , 's new york enjoy experience . room service decent diner downstair one night exhausted day pizza deliver room alert desk clerk would expect delivery . three woman age 35 - 55 feel safe time , even walk back hotel attend evening show dinner . limited budget want heart manhattan can not go wrong use base . 
 Dec 21 2004 	 Great Value . stay 	 stay December 11 3 night . staff friendly room big NY standard . hotel 2 block Theater District within walk distance Times Square , Macy 's etc . location away crowd across police station . complaint location room , street side noisy , ask room courtyard side . hotel 's restaurant reasonable . please stay . 
