Super 	 Stayed Tower one night business due overnight function London . the view room front hotel Tower Bridge , especially night , something see . room comfortable little small rate pay fine . breakfast morning plentiful good selection hot cold . check - out quick occasion - know slow . 
 May 29 2006 	 Poor 	 state 4 day business May 06.reception staff friendly pleasant hotel lobby clean modern . location good view bedroom good . however negative : ) room key never work necessitating hike back reception get fix time want go bed ; ii ) overactive smoke alarm trigger shower ; iii ) vomit second floor outside lift one bedroom ( mine ) , clean morning ! 
 May 28 2006 	 Guoman add positive value 	 stay 1 night Tower book Thomas Cook pay really good price : 136 euro twin room british breakfast include voucher & quot ; 2 - for-1 dinner & quot ; restaurant hotel . ok , lobby completely refurbish brilliant . check - in slow ( suspect not like book travel agency since rack rate 250 GBP ... ) , lobby first floor really dark ( must floor ) room luxurious pretend website . chew gum wall , enough towel 2 adult , one pillowcase black stripe , bathroom clean expect 4 - star hotel ... exit instruction wall ' upgrade ' sticker glass hide old logo Thistle . need economise print new map ? ? ? mini bar room not open ! empty ( drink ) full dust rest food previous customer ! tell offer complimentary upgrade executive room doubt ... breakfast ... Tower manage Thistle , buffet great could not decide take . , be minimum , croissant certainly fresh , yogourt taste orange juice probably make powder certainly fresh orange . waitress entrance would great work jail : smile , & quot ; good morning & quot ; & quot ; show card & quot ; ( not try breakfast golden room card proof pre - payment breakfast ) , would eventually show table 's . work restaurant can not nice welcoming ? still wonder ... nevertheless , disappointed decide inform manager enjoy service would expect 4 - star hotel . want great stay , check detail & quot ; City Inn Westminster & quot ; , fabulous 4 - star hotel near Westminster . 
 May 20 2006 	 Summer come warn lot fan . 	 good news -- LOTS fan . tell , A / c look story , well , story . confirmed staff . also , high speed internet work , although attempt get fix , fail . ask renovate room avoid disappointment . hot day ? ask room 's A / c working check - in . window open slightly . good quality fan arrive quickly . upgrade Thistle ? Thistle Marble Arch property may available . the positive : good location . ask river side room view Tower Bridge . Outstanding . Tube : 10 minute walk Mable Arch . London Bridge backup 15 minute . night bus : N15 Tower Hill . the concierge helpful . Waitrose market 10 minute , exit hotel near concierge ( ask direction ) Xi Bar outstanding staff view Tower Bridge . starbuck 2 minute away T - mobile hot spot . ATM ( fee ) available 25 foot away . room size good London . old room serious large safe fit wide screen laptop . read direction . 
 May 19 2006 	 okay business visit bank 	 business trip use hotel second time ( read itinerary airport ) . otherwise would choose place . yet Tower okay business trip . especially meet one bank close . service , lobby , river view , meeting room , facility general ok would expect bit price range ( even london ) . room river view spacious time hit room not view maybe ( 2.5 * 4 meter ) half one view . one also unappreciate 90 cm bed . also room feel untidy maybe love fit carpet . not mind one night sleep holiday definately good idea . take brief business location suit , otherwise not . 
 May 17 2006 	 good base London 	 2 - week stint hotel business smile sweetly Reception order get view Bridge . well worth , awesome view , be also worth upgrade one club room - be bit nice run mill room . the location ideal explore London anyone work City . 's plenty locale , female night feel quite happy walk around . the staff lovely can not enough help . 
 may 15 2006 	 great view 	 make sure get room face river , get one face towards Tower Bridge , wonderful . pay £ 80 room ( weekend night ) decide splash extra £ 35 upgrade , glad hence view get ! . hotel room smallish clean tidy , bed comfortable big . want dinner breakfast prepare queue , much quick eat outside hotel get well choice . one place get good food resonable price ( London ! ! ! ) , ' Browns ' , go across Tower Bridge , keep leave hand side , go onto waterfront walk ( past Bar one ) reach resturant . take 5/10 min get look Thames eat / drink . location hotel good , right next Tower London tube station Tower Hill take West end . evening nice sit bar , especially get seat overlook river see Tower Bridge light ! . 
 May 14 2006 	 Hmmm ... could well 	 book on - line Guoman website get seem great rate ( £ 117.50 incl . vat , watch quote plus vat rate ) , standard rate £ 300 ( + vat ) deluxe room . check reasonable , get desk , foyer look quite impressive . to room , via lift take age arrive , quick get we 7th floor . the room reasonable , tea / coffee facility , reasonable tv although channel pay per view . view Tower Bridge block half hotel though right coach park ! yes , hotel full coach tourist ! Bathroom ok need refurb , quite frankly rest decor , whilst window handle come hand interesting - good job DIY skill not bad . Aircon work , ... minute cold air available seem give - fortunately not particularly hot night open window . be look forward breakfast , ... wait least 5 minute lift , queue get breakfast room / brasserie . Got show table abandonne ! seem 's buffet - would nice someone tell we , especially rate include full english breakfast . quality food ? average poor ... bacon sausage nice , scramble egg waterlogge fry poached egg sight . grab last piece fry bread wish not . baked Beans fresh stew , not try tomato look age old , mushroom black pudding offer . oh , potatoe cold tasteless . return room repeat get breakfast huge queue lift , 4 2 appear ' work ' one reluctant shut door . ' m guess housekeeping lock 2.check painless ... drop keycard go . hope not decide bill us extras ! 
 May 4 2006 	 average expensive cider ! 	 stay business trip amazed room excess £ 120 per night ! although check staff good helpful , along concierge , terrible difficulty find hotel tube station , especially dark . sight , negiotate way around harbour find main entrance another matter ! maybe ' m London unduly perturb , subway road difficult negotiate . room lovely view across Thames bridge - could not want well view really . room not anything special however could not turn shower properly , always run . stream tv audio bathroom nice touch , unfortunately way quiet ! order room service amazed small bottle Woodpecker ( ! - run advertised cider ) would cost £ 4.50 ! good night 's sleep fire alarm go 5 am 5.15am . receive apology next day . , ok stay price think could probably get well . 
 Apr 30 2006 	 Great Hotel . great view 	 spend 3 night begin April . Met door bevy manager , ushered reception check . early room ready check we issue key soon room ready . room excellent , decor etc . superb view Tower Brige room . bar friendly great view . Booked Priceline ' steal'highly recommend 
 Apr 20 2006 	 much improve - ! 	 stay hotel repeatedly business leisure whilst agree comment hotel past 's ongoing refurbishment away problem ! public area stunning refurbed bedroom - be complete hotel fabulous . comment Breakfst true - often queue , last time stay noticed room service attract usualy hefty tray charge london hotel eat room much speedy option ! really good hotel , good location sort traveller . 
 Apr 19 2006 	 Faultless .... highly recommend 	 Perfect place weekend long . excellent room , excellent restaurant , superb view , ideal location friendly professional staff . faultless ! 
 Apr 18 2006 	 still great set 	 Second stay hotel first since change hand . easter weekend busy . long queue breakfast 8:15 . continental breakfast limited choice English look good . lift queue bad . bar price horrendous . go Liberty bound pub top Tower Hill - nothing special good price open midnight . rv1 bus take London Eye Covent Garden . catch bridge . cost £ 1:50 way run midnight . hotel room service average location ideal . 
 Apr 17 2006 	 adequate nothing special 	 stay regularly business convenient location hotel . however mixed feeling . lobby communal area plus point - bar good view Tower Bridge river - bedroom slightly shabby date , although adequate . food unacceptable standard , eat dinner ever since go one many good restaurant nearby . not pay breakfast , not worth . ask river view room check in . having say , go back 's fine purpose ( especially location ) . re - furb room improvement restaurant would make big difference though . 
 Apr 12 2006 	 Smashing stay Tower Thistle 	 stay room 621 , partial view Tower Bridge great river view . arrival ask want upgrade say , end get complimentary upgrade . good move . obviously old building refurbish room style vary . clean tidy peaceful , enjoy able open window appreciate fresh air , particularly Saturday afternoon music waft Tower garden . breakfast queue long well manage food stock replenish reasonably quickly occassional wait fry egg ! side understand 5th floor still not refurbish may dodgy 4 lift 800 + room frankly joke end long wait . would like disagree previous review re - assure people . walk tube system subway fine , well light frequent anyone tourist snap away camera hour . area load see tube get central London quickly . PS dinner walk Tower Gardens Waggamama . excellent , fresh clean taste japanese noodle bar complete sake , japanese beer freshly squeeze juice . checkout website . 
 Apr 4 2006 	 Excellent stay 	 stay lastminute deal thoroughly enjoy stay . location good 5 min walk hotel Tube station . room small comfortable everything would need short stay . breakfast include price we job , good selection food regularly restock . would recommend hotel . 
 Apr 3 2006 	 good value 	 book room lastminute ( unnamed pay ) pleasantly surprised consider pay £ 79 ( could go £ 69 without breakfast ) . lot research would struggled secure room 4 * hotel price anywhere else London . lobby / communal area obviously update many bedroom judge experience comment - contemporary vs slightly old - fashioned . however superb view - right bridge ( simply ask reception extremely helpful suggest wait half hour would get room well view ) , room clean , comfortable , tea coffee , iron board , hairdryer etc . love position , 5 min Tower Hill tube , need walk along river central stop , hop ferry Tate Houses Parliament want rest leg ? eat Terence Conran restaurant Butler 's Wharf opposite treat ( bit pricey ! ) . wonderful weekend would definately go back price . bargain . 
 Apr 2 2006 	 April Fool ? 	 stay Thistle Tower hotel many time recent year however , new owner , wife look trip advisor comment make recently . many complimentary hey , never problem book ( point would remind ' all Fools Day ' ! ) arrival check offer exe upgrade take advantage extra 50 euro . big mistake - room shabby ( dusty , smeary window , broken picture ) , rust comming bathroom fitting , chip fitting , hair limescale infest shower head ( nice ! ) , dangerous light fit serious , milk complimentary tea ! ! wonder standard room would like ? anyone else find tell we ? Brian , Wiltshire , UK 
 Apr 1 2006 	 good 	 arrive cheterfield sty london 2 night arrive safely go check every one polite find room nice unpacked find frige work / safe telephone stair report safe promptly send one fix ( dishy ) food excellent hotel busy lift get busy expect 800 room staff help fulland curteous enjoy stay come back april 
 Mar 22 2006 	 bad 	 room small comfortable . bed comfortable . view superb . check / slow . food ok . location excellent . room service poor . staff friendly . 
 Mar 15 2006 	 go back time 	 partner book night Tower Hotel Lastminute . arrive ask would like upgrade room £ 35 agree . say would king size bed great view Tower Bridge . get room average , king size bed . room look like hoover badly need good clean old fashioned . include deal breakfast £ 5 , cattle market queue everything also make toast . please note proper price breakfast , deal , £ 16 worth . would advise people eat breakfast elsewhere . 
 Mar 6 2006 	 vaguely disappointing 	 ' ve stay & quot ; Tower - Guoman Hotel & quot ; call , mixed feeling establishment . good point : staff deal friendly ( apart one rather officious lady supervise entry breakfast quite rude customer , even shout one couple ! ) . food ( lunch , dinner ) excellent . bar lobby area really good . power shower bathroom also live 's name ! bad point : standard room vile , 1970 's throwback affair . fool picture Guoman website , ( premium ) City Club room . date decor peel paint seem order day standard room . corridor un - refurbish floor dark somewhat dingy nasty low ceiling . be also pleasant trek ( especially luggage ) Tube station . , wonder Thistle re - brand hotel luxury brand , much remain un - refurbish rather disappointing . certainly would not go back much well hotel . Putting & quot ; Guoman & quot ; sticker word Thistle sign , carry normal make luxury hotel ! ! thistle need sort rest hotel , quickly . 
 Mar 5 2006 	 good view heavy price 	 girlfriend recently spend one night treat birthday room view bridge . first impression nice , quite modern , bad service . room ok nothing fantastic . could not get air con warm . nice view expect . problem speak guest find pay half room view bridge , even though book Guoman direct two month advance . believe one guest even show itinery cost . next morning breakfast bed arrive order , undercooked cold . £ 200 per night two we expect far . would definately shop around good deal go stay . could live dodgy breakfast pay half price like other . 
 Mar 1 2006 	 not stay fifth floor 	 company book colleague hotel London course . find location quite inconvenient : can not walk City far away Covent Garden / Leicester Square . near tube station 10 - 15 minute way . colleague allocate single newly refurbish room 6th floor , find horrible twin room 5th floor . look like not refurbish many decade . long discussion hotel management , move 9th floor ( new 6th floor ) . room genereally ok , guest service not available telly express check - out . bathroom look fine , hate shower curtain wrap around showering . breakfast ok , nothing special . long queue taxi Friday morning . really nice thing hotel : lobby really impressive , check - in check - out really quick , view room amazing - thame one side marina boat size . 
 Feb 21 2006 	 impressed ! 	 really look forward stay highly rate hotel , end bitterly disappointed room . really spoil stay London . the hotel impressive large marble foyer contemporary Brasserie restaurant polite staff . however , room different matter . it seem though modernise hotel slowly . update communal area , room dire need refurbishment . room dark dingy . light poor switch electric look really old date . the furniture room also look old need replacement - varnish chip headboard cupboard miss handle . the carpet seem grubby , bedspread - something would expect hotel claim 4 * . ' m sure bed clean , not look really not fancy sleep it . overall , impressed definitely will not go back . 
 Feb 17 2006 	 great view convinient location . 	 choose always hotel London . big little unpersonal hotel , helpful staff great location . big pluss everone ` London . easy get f.ex . Oxford street tube . pleasant walk along Thames , many good restaurant behind hotel St. Catherine ` Dock . beatiful area . big nice room . bit busy breakfast ! ok breakfast . and view towards Tower Bridge - sure room face river . 
 Jan 18 2006 	 Decent hotel great location 	 stay hotel twice , time 4 - 5 day . location excellent travel , stay room overlook Tower Bridge . hotel directly across street Tower London , tube stop short walk away . area seem business financial district , quiet evening . be also good location walk Thames . find eat choice suitable , especially Carvery . free breakfast fine , & quot ; English breakfast & quot ; offering great . find staff pleasant difficulty either stay . definitely & quot ; nicer & quot ; hotel London , one not try posh ; be decent hotel decent price . 
 Jan 18 2006 	 Loved ! 	 partner book two night stay Christmas New Year . upgrade suite extra cost . breakfast amazing - food delicious good quality , although would reccommend get late 8.30am . location good , short walk tube station sight seeing need . the room clean everything could need provide - although mini bar price ridiculous , mini bar price ever reasonable ? ! ? ! require intimate , low key hotel , . place stay whilst see sight - perfect . we would certainly go ! 
 Jan 15 2006 	 good value money accommodation 	 return night Thistle Tower Hotel London . read negative review Tripadvisor , get worried quality accommodation . however , pleasantly surprised - hotel clean , bright , modern staff friendly helpful . I manage get super deal online , breakfast include . check , Receptionist ask want purchase upgrade £ 35 , decline . give free upgrade delux room , , bright clean . hotel location great , lovely view , near Excel Exhibition Centre ( attend Boat Show ) . breakfast supply continuously replenish freshly cook egg , bacon , etc . - food prepared half hour ago . I would truly ignore bad comment , Hotel much one would expect four star hotel part London . 
 Jan 5 2006 	 great location view 	 love location hotel far enough away hustle bustle , close enough lovely walk thame . the hotel clean service great . we problem door lock , give we suite instead could repair . the view room overlook tower bridge , night stunning . car parking hotel great , reasonable price ( £ 14 24hrs . the near tube station 2 min walk . we pay £ 102 hotel one night . 
 Dec 31 2005 	 nice location ... 	 book directly hotel reserve two room two night : one standard double wife , one twin room two old boy . arrive , tell could upgrade two deluxe room . say okay , tell double room available . not tell we first place ? say could get double room club member , since not luck . not indicate name ask we join club either . receive two twin room . desk clerk offer put name waiting list deluxe double room next night leave we message . not happen . next day request double room get , not seem difficult previous day . & quot ; deluxe & quot ; room look like standard room , contain nothing special . bottom line & quot ; bait switch & quot ; try sell room high rate tell not available . service quality also low , clerk service staff know treat customer , unless lot money burn . appearance seem mean appose value customer . 
 Dec 18 2005 	 impressed 	 book last minute site double room . arrival give twin room tell double room would cost we extra £ 35 course pay . private party one resturant resturant get book quickly mean go dinner take cab car car park rate £ 14 overnight stay would cost double take return . the hotel ok will not rush return . 
 Dec 12 2005 	 suitable romantic weekend 	 quick room ok . quite rundown oldfashione . location good hotel service poor . try arrange booking addtion get everytime got cut . even ask manager cut ! ! staff foreign problem could sort properly . breakfast poor toaster oldfashione army toaster never toast properly.i resorted bread end . basically go need stay one night do not need breakfast next day . 
 Dec 2 2005 	 bad make seem 	 well , read review , bit concerned . get hotel via Priceline , not select purpose . , ' m hearty traveler figure could handle anything throw , prepared expect bad . however , pleasantly surprised . hotel seem go renovation / management change call & quot ; Guoman Tower & quot ; , although still say Thistle everywhere . location great London Tower area , entrance bit hard find be walk foot ( walk across Tower Bridge take stair underneath bridge get street light ) .The lobby clean , well - light , check - in staff seem helpful enough . give standard room 4th floor . room bite old - fashioned , age furniture decor , homely comfortable . room appear king bed , upon inspection , appear two bed connect together . really issue , though , appreciate large bed long journey airplane . view St. Katherine 's harbor , Thames bridge , still nice room . clean , well - appoint , bathroom clean looked freshly renovate upgrade . room service prompt , food quality average overprice , guess expect ? checkout breeze , leave early . elevator slow , lot people / room hotel , mean may wait long time elevator . I would recommend hotel anyone , especially get substantial discount , via something like Priceline . see guest pay ( excess 150 GBP ) would pay , discount , hotel great value . I stay Nov. 26th , 2005 . 
 Nov 23 2005 	 never chance even try ... 	 book Thistle tower two night stay recent business trip City . booking make well advance – course – secure credit card . usual delay Heathrow arrive Thistle Towers around midnight staff explain large group booking extension relocate Thistle Barbican . try disagree since deliberately choose Towers due location staff show mercy ( real effort ) , put cab send Barbican . barbican downgrade accept room since one available . try contact management either Barbican Towers next day – response . top attempt charge high rate downgrade room manage squeeze small reduction hour - long phone conversation tower front desk – manager available talk . room , honour credit card secure booking , effort redeem situation – never . company work blacklist hotel . 
 Nov 17 2005 	 poor service staff rude unhelpful 	 use hotel business function , appalling hotel offer poor service first time user function involve number executive . post function service find equally appalling hotel refuse send anything confirm payment receive , essential company record account . upon repeat request confirmation payment , meeting & amp ; event coordinator find increasingly rude , abrasive condescending . we boycott Thistle chain future use , strongly recommend . 
 Nov 9 2005 	 absolutely terrible . 	 5th floor avoid cost , utter disgrace . bad hotel misfortune stay long time . front desk staff even remotely surprised complaint ... would assume frequent occurence . apparently floor due renovation January 2005 opinion floor closed complete . 
 Nov 9 2005 	 Recommend keep search 	 kind description hotel would grubby shabby . would appear room renovate since hotel build , sometime early 70 's . whilst hotel claim , charge 4 star hotel , 2 possibly 3 star rating would significantly close reality . first glance could forgive decor general poor condition hotel due hotel renovation . however reliably inform duty manager hotel renovation normal poor standard adhere . 
 Oct 19 2005 	 well expect ! 	 not look forward stay hotel read review site , need not worried . nice large room 9th floor ( City Club room ) , terrific view pretty marina St Katherine 's Docks . not feel stay city . bed comfortable bathroom , although small , perfectly adequate . Molton Brown toiletry , shower hot powerful towel enormous ! bathrobe provide - one , security tag attach ! room air - condition , window could open , even well . room iron , iron board , trouser press , 2 hairdryer tea / coffee make facility . also minibar stocked request . importantly , everything clean staff pleasant . yes , decor bit tired overall impression scruffy . on downside , room service overprice , additional £ 3.00 charge tray bring . eat one night Water Cafe want something quick easy , think food ordinary expensive . could make bad choice - beer - batter cod chip , clearly cook frozen , & quot ; traditionally wrap newspaper & quot ; advertise menu ! breakfast buffet service , usual option , although sadly fresh fruit , tin . cook breakfast little oily taste - taste everything cook lard . also , instead bring pot coffee table , pour one cup time , little irritating can not catch waiter 's eye , refill often want . shop restaurant nearby 's within walking distance Safeway store . 's great location Tower Bridge Tower London , possibly bit far town sightseeing , although catch boat beside hotel tube station nearby . not make difference we time spare anyway , probably would not stay sightseeing main purpose visit . sum , perfectly pleasant hotel probably good point bad . eat elsewhere , though , much well . already book , not worry , not like room get , probably possible upgrade . 
 oct 9 2005 	 great weekend break . 	 see negative review prior visit wonder bad could suppose premium hotel heart London . fear thankfully unfounded . apart inadequate signposting around Central London , thank Ken Livingstone 's congestion charge spend elsewhere sign assist tourist , hotel easily accessible . upon arrival , underground car park full , helpfull attendant say would squeeze , do . reception area , clean , attractive decor staff please help . we upgrade executive room , could fault , ( need map navigate around bed , huge ) view Tower Bridge third floor , fantastic , ( especially night ) . room clean complain price . the Carvery Restaurant overlook St Katherines dock extremely good value , £ 20 per person three course meal , Beef , Gammon , Turkey Lamb ( combination lot go also would call Goulash , mmm ) go back want . cook perfection could not find sweet suited , ( nut allergy ) offer alternative without hesitation . and , wish dine early , vacate 7 pm £ 15.50 per person . Checkout take 5 min , car park £ 14 per night , not breakfast could see quite queue building leave 10 am Sunday morning . plenty place grab breakfast London wherever go . very handy location explore London , £ 10 taxi Leicester Square . boat trip right outside hotel , al fresco area outside , overlook Thames warm weather . all , Friday - Sunday weekend break , fault Tower Thistle certainly visit , long time , maybe 5 day break . be also tell chap boat trip place , buy underground travelcard , give 2 price 1 load attraction like Madame Tussauds London Eye name 2 . ( apparently get tourist back London since 7th July ) one hotel staff confirm state advertised LWT Television , many tourist will not know may book ticket online prior go pay nose . last March 06 . 
 Sep 30 2005 	 much well find elswhere 	 ' ve stay least dozen time , final final choice company preferred list . check usually slow , room badly light often tired ( floor 5 ) , lift floor take age poor value room service . tourist trail view Tower Bridge appeal may outweigh downside , advice book elsewhere . 
 Sep 5 2005 	 absolutely problem ! 	 book stay one night hotel last weekend . read review site really regret . ' worry all . the hotel large , outside certainly need bit renovation , find area see inside well maintain extremely clean tidy . check 2.00pm , husband appointment time request early check time 12:00 booked room . arrival 12.45 tell standard room available , explained request early check - in , immediately offer we complimentary upgrade executive room . our room 1st floor , partially obscure view Tower Bridge . room fine , clean well decorate bathroom immaculate . décor pretty much standard kind hotel , compare other stay standard room reasonable . bed comfortable , room quiet good night sleep . you eat breakfast two location choose ground floor café / bar area . get breakfast area 9.30am , queue ( Saturday morning ) many tour - bus outside . self - service breakfast food plentiful , hot reasonable standard , coffee ' great like strong coffee often disappoint hotel . fruit yoghurt , selection cook breakfast item , orange juice coffee . fine lot well ' experienced . the location brilliant water - bus right outside hotel London Eye , £ 2.95 excellent value . Tube 2 - 3 minute walk away , Thames Path North South bank great way walk River , especially night . walk Shakespeare ' Globe 25 minute . overall , hotel really ok – near bad review site would lead believe . ' stay many hotel , UK abroad , hotel compare favourably many ' visit . 
 Sep 1 2005 	 bad .... really ! ! 	 read review think goint right dump not really . stay 7th Floor twin club room . ok furniture scratch wall mark comfortable n view fantastic . room need re - furbishment not spoil trip .... bed really comfy . they start work Hotel 2nd day irritate , spray paint outside . I eat restaurant Continental Breakfast bit price service rubbish . hard find waiter/ waitress speak English could understand , foreign seasonal worker look thing . the surround good bar restaurant 5 min river , tube 5 min walk away . comment reflect hotel , ok problem one perfect . 
 Aug 27 2005 	 great view much else 	 trip work book last minute office idea going get . one pay would do bit research . on upside surprised good location . arrive tube station lovely summer ' evening see Tower London Tower Bridge , ' see since child . really breathtake . the entrance hotel awkward one member staff check although polite wait nearly half hour queue . housekeeping must lack check 9 pm corridor still uncleared breakfast tray . I executive room 2nd floor clean enough rather compact . we ' executive ' need plenty room work proper lighting neither . safe iron board amazing lack amenity . small bar soap . stain bathroom ceiling unpleasant . the selling point course view . something ' expect view river bridge lovely . I agree early comment lack air con windows ' open far . one thing note window ' tint , make sure towel ! big disappointment little nearby . go walk evening restaurant shop , stick hotel offer . a cooked breakfast include ' time . one colleague go say busy unappetise bowl cereal . not really one would recommend . 
 Aug 20 2005 	 Bad ! ..... 	 book pay night hotel many month ago really dreadful review appear site ! heart sink boot stay get nearer really think whole experience go diabolical ! friend Yorkshire meeting London see show husband say hotel not much - expect bad ! however , encounter many problem mention reviewer , ok experience ! get good deal website 's great secret not get great room not pay full price ! not expect much money . the room overlook Tower Bridge Tower London view great ! room spotlessly clean , include bathroom , air conditioning work well noise keep seal window . weather balmy spend hour outside terrace take great view , drink glass red wine chat complete stranger whose daughter going marry Tower Bridge follow day ! ' m pleased report experience hotel match many reviewer 's certainly good many other ' ve stayed ' ve visit London past . the breakfast disappoint ! continental breakfast part deal little choice & quot ; stewed & quot ; tea coffee serve . cook breakfast look equally unappetise glad not pay extra option . however , , satisfactory experience . 
 Aug 17 2005 	 great location abysmal hotel 	 Yuk ! exterior appearance unfortunately mirror interior average hotel . blot landscape next Tower Bridge , not sway thinking 's great location make 's shortcoming . stay executive room OKish friend standard room grotty - city club room look ok cost could spend money elsewhere far nice hotel . queue breakfast get disuse conference room ( think ballroom & quot ; Shining & quot ; ) , one . horrible food well ! order room service - mediocre club sandwich cost £ 12.75 ! whole party problem price quote room price charge . 
 Aug 11 2005 	 great view quite enough 	 stay Tower Thistle three time , total eight night , 2004 , previously stay occasionally since 1997 . good points:1 . hotel good view London , locate Thames , across Tower , north end Tower Bridge . 2 . one hotel London reasonably price ( guest ) car park underneath hotel . 3 . location , although scenic , probably well business traveller business City . tourist spot West end 20 25 minute taxi ( depend traffic ) . tower station Underground easy 10 minute walk hotel . follow sign tube closely ; be easy get lost.4 . staff always friendly usually responsive helpful . example , business partner need place work large room . staff let we use unbooked meeting room charge arrange room service us.5 . housekeeping staff keep room exceptionally clean.6 . concierge work wonder get hard - to - find theatre ticket reasonable markup face value.7 . one odd hotel room service much well -- term food quality service -- restaurant . the not - so - good point annoying , ruin visit:1 . Tower Thistle bus - tour magnet , especially weekend . forget eat breakfast hotel unless willing endure long wait line bus - tour people . even , english breakfast good service inadequate demand . fortunately starbuck nearby . 2 . avoid hotel warm day late spring early autumn . air conditioning turn management will not turn back , matter unseasonably warm outside . one autumn visit , temperature room hit 30 degree celsius . window open , enough admit breeze . Management 's response quickly bring electric fan ( manager deliver ) move we slightly cool room ( 75 degree ) shady side hotel ; refuse price compensation warm uncomfortable night.3 . hotel somewhat way main flow traffic area small hold area taxi . expect long wait ( 15 minute ) morning early evening , book cab advance . top survival tip hotel : pay extra charge City Club room . be worth , especially weekend tourist season summer Christmas . & quot ; standard & quot ; room tiny comfortable . City Club room reasonably size well appoint . also avoid bus - tour guest long check - in check - out line must endure main reception desk . City Club room separate check - in area lobby separate check - out lounge upstairs . 
 Aug 11 2005 	 Bus tour 	 unless bus tour group never stay ever . stay hotel mixed success tour bus queue time eye opener . absolute misfortune allocate room LEVEL 5 probably touch renovation wise forty year . find pay ? 140 night ( 4 star rate ) reality crappy 1 star room . when arrive LEVEL 5 confront ugly unoccupied dimly light glass office cram full badly stack archive box overflow grubby old document . hallway well – grubby , gloomy lined chip battered door badly need paint . large mobile shelf build appear raw particle board place interval along filthy hallway . loss know purpose serve . lone empty wine bottle sit atop one absolute age staff member could bothered dispose - do . in hindsight suspect LEVEL 5 actually staff sleeping level . definitely feel venture behind scene badly run hotel . room allocate we shocker . battered furniture , date old television teetering atop old unstable grubby look mini bar door glue crookedly shut . yellow date phone beside bed work . business call make sit toilet use yellow date phone locate cramp substandard bathroom . sure room extras could boosted star rating old lot ' work . buy surplus auction ? complain receptionist room confront icy stare indifferent response . could even pay upgrade claim hotel fully book . despite offer upgrade check minute . ' even start unnecessary frustrating queue breakfast . ' enough – add ten year overseas travel stay sort accommodation would indeed round bad hotel stay . remember tour group independent steer clear ! ! ! ! ! 
 Aug 4 2005 	 great view excellent location 	 stay anniversary really live expectation , web offer book also make cheap stay . view Tower bridge room , huge king size bed , great shower bathroom . breakfast huge friendly service . hotel could improve update 1960 decor , minor complaint . hotel seem accommodate large group seem mostly senior . choice somewhere hip trendy . hotel locate right Thames great attraction close , good location take walk explore relax boat trip . would definitely stay , lovely . 
 Aug 2 2005 	 wonderful location 	 two friend stay Thistle Tower hotel two night end July 2005 . hotel situate magnificent location great view Tower Bridge , St Katherines Marina & amp ; Docks boat / ship thame . the hotel room comfortable & amp ; clean , safe , iron / ironing board , hairdryer , tea / coffee TV include free . key card friend twin room not work first sort quickly hotel staff even though lot guest check time . breakfast good , complaint , although would recomend get 8.30am , queue develop quite quickly . we also try Cavery restaurant hotel , good value money . however not check bar hear quite expensive . also , second night fire alarm go 2.30am , someone smoke smoking room , definately would not recomend smoker , everyone get dress go reception false alarm confirm . staff helpful time . the hotel also short distance Tower Hill tube station , quick link part London . Tower London also 2min walk . St Katherines Marina also many place eat drink . myself friend would return hotel , intend return husband next year . 
 Jul 27 2005 	 Loved hotel 	 take mom 65th birthday love hotel.the staff friendly well help.my card key work maintenance team sort 10 min .the breakfast also good eat much like , good .and near tower bridge would go see tower bridge night good site 
 Jul 25 2005 	 Great Location 	 would highly recommend hotel 's location . right Thames overlook Tower Bridge St Katharines Dock 's pub restaurant feel like hidden hideaway . problem moment feel safe go water taxi right outside hotel . bit date 1980 's style complaint . reception upgrade we card key would not let we original room great room view Tower Bridge . breakfast buffet style adequate complaint 4 we . 
 Jun 22 2005 	 hot water pay twice . 	 stay April business trip one group 4 . hotel prepay travel agent . cause great confusion check - in . two month visit hotel charge credit card stay already pay advance . one month still refund . two colleague also charge visit time promptly refund . there hot water room first morning decrepit shower function . staff move cosmic slowness contact . this dreadful hotel . contemplate stay absolutely alternative . 
 Jun 21 2005 	 lovely summer evening 	 second stay Tower Thistle . hotel gigantic [ 801 room suite ] manage maintain homely atmosphere . reception staff concierge friendly chambermaid greet one smile ' good morning ' always welcome . room overly large comfortably furnish well equipped . not compare room friend realise ' executive ' room . far could see differece slightly elaborate decor , mini - bar provision bathrobe . the loction set hotel apart . Next Tower Bridge entrance lead directly onto attractively paved area embankment really could not well hot summer evening sit terrace hotel 's wwwatercafe . pretty well every one vast number room view Thames , Tower Bridge , Tower London beautiful boat Saint Catherine 's dock pleasant destination right . a we enjoy hour two simply watch boat crew Sunday morning . a warning , however . bar price astronomical . yeah , know London hotel not West End bar , comfortable [ view Tower Bridge stunning ] not sophisticated ' cocktail bar ' smart pub . £ 9.50 double vodka tonic seem excessive not waiter service . breakfast include booking make sure , book ' net ' breakfast include . breakfast fine worth almost £ 17.00 . might prefer lovely branch Starbucks , begind hotel St Katherine 's quay . the much vaunted Haagen Daaz cafe close early ... hot evening ! near tube , Tower Hill , several minute walk away exactly ' disabled friendly' . despite reservation ideal place break London even pick water bus outside door . 
