small 	 husband stay one night enough . know may sound harsh never disapointe hotel . boast family stay 4 * hotel admit return not much boast . room tiny , walk around sideways apart bathroom must say good point especially way water run tap must stress good point . dusty continue refurbishment happen . know many peopke take account work finished be go cause disruption fot guest . next pitfall parking , something specifically look suggest parking available guest not state long willing pay £ 40 night . last least breakfast , enter dining room wait 10 minute clear table subsequently clear , wait 10 minute clean plate forgot ask clean cup time take another 5 minute get . eventually sit breakfast not nice hear funny noise follow two guest unplug warming hub sound though blow . shortlly check . respond review website offer apology free upgrade clubroom next stay pay double standard room . personally think bit joke ! ! ! ! point find enter debit card detail online ask pay hotel get not take money online book top everything else little irritating ! ! ! ! ! 
 Nov 29 2004 	 not scared ... 	 okay , good point : hotel ESPECIALLY room CLEAN ; room small side , manageable . idea past horrible report site . Location EXCELLENT , Hyde Park close 2 different metro station . charming hotel lobby lounge , though be get tired smell smokey ( tho everyone seem smoke ) . hotel staff cordial polite , tho full service hotel overly useful consierge service . the bad point : since be old , certain expectation building note : one elevator work never know floor would go , floor creak loudly ( well light sleeper least hope upstairs neighbor schedule ) , bar restaurant almost always desert staff guest ; activity free breakfast ( juice , tea , coffee , roll , croissant - purchase dish ) . bad meal London dinner hotel : Chef call restaurant , tho see menu many item try give we spaghetti , insist menu item see post . friend 's Welsh Rarebit & amp ; medalion pork wine reduction sauce actually toast melt cheese slice cook - probably leftover - chop . pate & amp ; roast lamb mint sauce actually toast liverwurst spread thin slice lamb . brown gravy meat boil potato carrot . worth $ 20 US dollar spend addition ask beverage . all , well worth $ 80 - $ 90 US dollar per night pay . not eat drink expect get lot sleep get creaky neighbor . 
 Nov 29 2004 	 beautiful Victorian go wrong ... 	 upon arrival , old victorian look interesting , almost comparable shine . look original artwork lounge bar , big wooden staircase big marble fireplace lobby . location hotel convenient tube , restarant shopping walk distance kensington gardens . hope greet nice british accent travel way hear , immediately disappointed hear accent eastern european descent checking take one work elevator , one probably still october visit another review , find small room . size room concern condition bathroom . mold shower ceiling , shower curtain rod rust ventilation cause moisture tint rust form ceiling drip onto whatever sit , ie . toothbrush ... second day trip inform nasty way Audrey ( front desk attendant ) need check key front desk every time leave hotel . strike odd leave key staff know . traveler choose room service stay . total disregard & quot ; disturb & quot ; sign hung door time staff enter room every day ( know be not key front ) make bed . go back break elevator , morning , way continental breakfast be not bad , plain , single elevator stop 6th floor every time ride reason , tie staff mound sheet clean supply . wait 10 minute resort climb 8 flight dining room . yes , elevator go high 9th floor unfortunate person big luggage go 10th floor staff help stair , witness another guest . last disappointment , critical , odd , hotel bar open irregular hour . day open day , sometimes close hour one day close day , yet bartender . reason give & quot ; because . & quot ; make home trip one piece greatful clean shower . have not pay full trip begin think would follow reviewer different hotel . 
 Nov 29 2004 	 nightmare ! horrible 	 stay . staff unfriendly , unhelpful do not know definition customer service hospitality . room beyond small ( 2 people can not move time ) . 12 inch tv almost reception 2 channel . Bathroom filty ( mold grow shower ) rest room . sit toilet knee almost hit sink . can not even explain small bathroom ! bar hour hotel inconsistent . open close whenever please . sometimes do not open . breakfast consist stale croissant , roll , juice coffee . reccomend sleep street . you re well . 
 Nov 23 2004 	 nice hotel perfect location great value money ! 	 stay Inverness Court Hotel November 2004 nervous staying , due horrifiye review traveler give hotel , decide give try , glad ! lovely hotel lobby georgeous location key ! be right across street beautiful Hyde Park tube bus station 2 second away ! stay single room , nice clean ! bathroom small , least get clean ! elevator little slow , day lug luggage use step , view ceiling die ! free breakfast wonderful array croissant ! Overall 's nice hotel , can not beat price ! 
 Nov 17 2004 	 can not beat atmosphere location 	 feel like fool mislead negative TripAdvisor review place read trip , compel write experience . have book Inverness Court part package deal , read really hair - raise review . get ready travel 15 - year - old daughter , want make certain would okay place ; review make sound like awful cross sour - smell bordello mecca junkie . give deposit , book somewhere else -- cost twice much , perfectly okay , dull . want see have turn , though , look last day London . coolest place would see entire week -- locate exactly one block Hyde Park , Queensway tube stop , every Bayswater bus , tour bus well . well easy location imaginable . handsomest , in - period , high - victorian facade neighborhood . yes , little threadbare spot -- real deal , cascade lead decorate window , white gold jewel - box theater - bar , perfectly nice room bath , find extremely amenable staff , welcome we look around linger . people seem look Motel 6 ? daughter ecstatic hogwartsian quality place , not want ever leave Wm Morris - pattern armchair panel lobby . close came & quot ; membership & quot ; victorian club , visit become highpoint trip . wish heck have stay whole week , per first plan ! ! ! ! 
 Nov 3 2004 	 yuk 	 stay place 3 night last October . check shortly midnight give wrong bedroom : double bed instead twin bed . staff cooperative , speak poor English never offer help . tablecloth dirty large stain remain whole stay . bedroom small dirty . bedspread filthy . cover bed coat order sit bedspread . pillow carpeting dirty . cover pillowcase clothe order feel . never walk bare foot , even bathroom floor . we disappoint . pay whole stay advance , would leave immediately could afford look another place already pay approximately £ 200.breakfast good , plenty eat : croissant , roll , etc food fresh . hotel well - situate close shop , restaurant two tube station . place recommend . inspect thoroughly official . 
 Oct 27 2004 	 stay ! 	 read review prior go trip , surpass fear . place terrible ! room 10th floor -- elevator go 9th . room filthy . window rotten hard open -- room not window would provided escape fire . fire door floor padlock close . scary ! bedspread dirty not even want put suitcase . slept travel pillow since kind stuff come pillow try fluff . tv either porn soccer , remote ; work telephone . pay 5 pound borrow hair dryer ( return return hair dryer ) . breakfast disgusting . realize could order scramble egg bacon , bad . continually run coffee tea . elevator stop work second day walk 10 flight . good part getting move another hotel clean nice bathroom . someone need condemn place major renovation . open public . bad terrible . stay . SCARY PLACE . 
 Oct 14 2004 	 not stay 	 staff friendly , couteous helpful , hospitality stop . room extremely small , mold ceiling shower , extremely noisy night , actual gunfight third night outside . intoxicated group kick bang door 3:00 . one elevator work - never see anyone work one . continental breakfast continental breakfast - consist bread , juice , coffee , tea - no meat , cheese , fruit - be tell could get pay $ 15 . equivalent family shelter room U.S. , definitely worth $ 130 per night . 
 Sep 27 2004 	 wonderful stay 	 wonderful stay old castle . 's feel like . lounge area big old lead window large painting carve mahogany ceiling woodwork . fireplace marble feel like old castle . staff mainly young adult shy helpful friendly put forth effort . room clean smell fine . room small . bed comfortable sleep great . 2 duffle bag luggage small nook room could put . People come giant suitcase angry room space . three drawer clothe . bathroom clean suitable size . continental bkf consist chocolate almond croissant , roll butter jam , orange juice tea coffee . fresh soft , coffee strong good . location absolutely great , neighborhood Kensington Palace . tube right around corner lot place eat shop , pub go . fun , old place stay good price good location want large room safe tv channel ( tv 13 inch receive 4 channel ) modern luxury go holiday inn . inn unique old worn edge would stay , enjoy . 
 Sep 26 2004 	 not choose hotel ! ! 	 last week group travel Washington DC area ( approx . 40 we total ) .Had bad feeling place arrive , read bad review true ! although location good worth stay , hotel bad need total renovation ! ! staff reception desk rude argue several people group . hotel computer system reservation - Reservations consist clipboard name & amp ; order get key must fill card turn key every time leave hotel ! room small ( every european standard ) & amp ; bathroom could barely get , water shower run warm hot . also , careful go room may step go room forget idea able get suitcase . the exterior hotel letter miss sign , paint peel broken window . room crock window , wallpaper peel dirty bedspread , sheet towel . the pillow sheet dirty feeling would not even sleep cover put t - shirt pillow . television room small remote channel offer . elevator work hotel many people walk 10 flight stair get room . supposedly fix elevator , stop work immediately one person group get stick push door open alarm work elevator . one floor bee couple people get sting . hotel provide breakfast , basic poor . this hotel pit condemn - not go unless last final resort . someone need check place re - assess rating hotel . information provide brochure must hotel first open , see nothing even resemble information brochure . highlight stay group check early move different hotel - yeah ! ! ! 
 Sep 2 2004 	 not go unless must 	 last week family ( wife two kid ) .We arrive early morning ( 07:00 ) reception girl make we wait two hour ( child loose patience drive we mad ) tell we room available till noon . the staff cold ( even frigid ) unwelcome whole stay . as room- first shock strong B.O smell room . the cleaning lady usine lagre number air spray ( probably contribute great deal hole Ozon layer ) smell still remain . the room small- order move room , one must sit bed order person move around . evrythe simple fall apart extend use . we two room ( luckly close ) - one shower 60cmX60 cm ( measure ) shower curtain stick back ( belly ) shower ( ' m large guy ) . water shower go hot boiling water- nightmare shower there . in room bath- tap okay use shower head could get cold water . in room bath use sink stand bath one need acrobat sit toile there . the T.V joke- 10 ' screen 4 channel remote . the phone souspicious malfuction could not dial outside hotel ( even 0800 call ) .The breakfast basic poor . the price charge way high get . if could rate less terrible would say stay horrible . just not go . not worth good location price . 
 Aug 4 2004 	 unwelcome ! 	 staff rude unfriendly , particularly reception . fruit serve breakfast advise bring . room window need wedge open . sad indeed . 
 Jul 19 2004 	 stuff reception helpfull otherwise ... ! 	 small room , need enter bath room order wash hand , sink near door step . matter fact small wash hand sit toilet . problem hot water . first put we 8 floor water realy run well shower ciele toilet licking . move usto 4 floor wher bunch russian youngster ( 26 ) arround we . spit shout day night . receptionist agree move we 9 floor night . yes , much travel hotel ! ! elivator slow ( elivator stop floor 6 way time ! ! ) otherhand hotel location perfect , locate near nice park near subway station ( queensway ) . buy chee near supermarket bring breakfast . perhaps ! ! ! otherwise stick oil & amp ; butter bread . 
 Jul 18 2004 	 great location .. 	 staff hotel nice location fabulous . however , hotel need major make - over survive next decade .. room small , old uncomfortable bed , closet small unpack suitcase tea / coffee maker . second night stay , spot mouse buzzing room .. staff kindly offer another room , - alas - even small ' mouse room ' . breakfast hardly breakfast - dry roll coffee bad . , staff incredibly nice guest comfortable stay . hope renovate place , soon ! 
 Jul 12 2004 	 good first impression .... 	 hotel locate bayswater area close London 's West End . hotel nice outside although rough edge - definitely need refurb- lobby , entrance bar cosy nicely decorate , victorian Style , room tiny . as reader point , private facility terrible , hardly space . large customer , able fit toilet comfortably , . loo 1.5mx50 cm ! ! ! room also tiny tv , phone facility primitive . breakfast , definitely bad . cook food milk , cereal . coffee also disgusting , overall , two star hotel , ' ve manage pull 3 - star status nice lobby / bar area . 
 Jun 23 2004 	 Cute hotel though get pay . 
 May 8 2004 	 hotel great us 
 Feb 26 2004 	 expect pay ? 
 Jan 4 2004 	 Shame remember ... 
 Dec 7 2003 	 avoid hotel 
 Dec 2 2003 	 never ! 
 Nov 12 2003 	 beware 
 Jul 2 2003 	 Shocked ! ! ! 
 Jun 23 2003 	 cheap place mean cheap price 
 Jun 22 2003 	 Filthy ! 
 Nov 25 2007 	 Para olvidar 
 May 1 2007 	 Hotel con fregatura ! 
 Mar 24 2007 	 tutto sommato una buona esperienza 
 Jan 30 2007 	 Excellent Hotel 
 Sep 24 2006 	 saubere Hotel mit freundlichem Service 
 Aug 28 2006 	 das hotel shaftesbury hyde park ist SUPER 
