excellent 	 actually purchase room priceline sure expect price quite reasonable . arrive hotel pleasantly suprise . lovely hotel extremely helpful front desk staff . beautiful public space room comfortable free minibar wonderful hot shower . location perfect well heart Mayfair . Hotel highly recommend . 
 beyond expectation - perfect location amazing service . 	 fabulous place stay adult traveler family . stay 2 kid ( 8 6 ) - child 's concierge amazing ... bring movie , Wii , Monopoly , kid ' map , ... - give kid plenty activity content long day sightseeing . perfect location - across park , quick walk Buckingham Palace walk distance ( 10 min ) Westminster Abbey , Big Ben , London Eye , short walk tube station . staff attentive accommodate every request . would absolutely recommend hotel stay . hide gem ! 
 Fabulous Hotel 	 truly fabulous hotel , book hotel laterooms.com romantic break partner . arrive hotel staff polite friendly ( yes doorman ! : ) tell upgrade apartment nice bath , huge bed , living room kitchen . bed comfy partner trouble get morning . the nice late check mean could relax use sauna spa room well equip gymAs fleeting visit not time use bar restaurant look fabulous . I would recommend hotel without hesitation . centrally locate two min walk Greens park tube station hop skip Buckingham palace . see show evening 10 minute walk theatreland West End 2 tube stops.fabulous fabulous fabulous ! stay Athenaeum hotel want glorious time London . Georgina Hurcombe Documentary Producer 
 Aug 16 2006 	 ok 	 well , nothing really wrong hotel bit dissapointe list 5 star . side view hotel rundown look bit 70 's office block ! still room good condition quiet small . pleasant do not offer five star polish dissapointing . first wedding anniversary stay peninsula hotel new york wedding want recreate glamour annivesary do not really come we . think agree lack true 5 star hotel london . price simular though ! do not order breaksfast awful . presentation lovely american pancake look taste like burn hash brown . get strong impression cook lard ! £ 44 breakfast . two . £ 8 sandwich ! ! ! ! ! even moment madness order thing quality food present . bath robe terrible quality.so conclusion , friendly staff , good location , clean lousy food do not expect five star quality 
 Aug 8 2006 	 Great Hotel ! 	 Perfect location reasonable price book advance Expedia . make sure get room look Green Park ! great bar ! highly recommend ! 
 Jun 15 2006 	 good business traveller 	 stay Athenaeum Hotel one night due business London . offer average tariff area ( £ 230 ) hotel clean , well light fragrant smelling . lift tiny since 10 floor may wait . standard room 6th floor comfortable . like not usual awkward narrow entrance room . decor reasonably neutral window quite large . despite main road , totally quiet - good sound proof guess . hotel offer & quot ; breakfast go & quot ; service find useful . staff warm friendly . would definitely choose Athenaeum , although feel underdressed office attire next glamourous tourist meet tiny lift . bed bathroom standard room small 2 , 5 ft 5 in , perfectly fine . 
 May 18 2006 	 good experience Athenaeum Hotel 	 hotel locate central location well within walk distance underground station . room quite bit small expect , though still functional comfortable . everyone encounter hotel extremely helpful attentive . warn hotel currently undergo renovation ammenatie may available . lift slow many time find quick take stair room 4th floor . one main drawback : water pressure temperature fluctuate shower take hotel . , would recommend hotel would stay . 
 May 4 2006 	 agree last opinion hotel : five star 	 adding - on review last review hotel . write , especially , idea hotel ( since well know , claim five star one ) sort make stay hotel expectation five star hotel . , would recommend hotel . intend stay hotel , easter holiday , hotel looking book . travel agent recommend catalogue ( add never hear hotel ) available one time . travel little baby , class comfort important . pay 220 Euro per room ( around 170 bp ) , stay five night , end pricy , especially know hotel . quality hotel term service , staff etc claim level , money certainly well spend , . describe , clean , old shabby . staff - compare experience Ritz & amp ; Marriott 's - far away five star . one example many : neighbour quite loud throughout night ( fight time ) find disturne , polite , hope would calm . well , even last night London trip , get 5 a.m.next morning , fight loud could sleep . call reception brielfy explain situation . Guess happen : young lady know ask instead & quot ; ? & quot ; . element five star hotel , e.g . morning newspaper service , either five star . opinion , five star . perhaps 3 + . find real pricy room mind class much , go ( location quite good ) , , personally , think would stay , even much low price . 
 Mar 29 2006 	 Five Star Good 	 hotel 5 star , last minute provider claim . 4 star + . pay £ 103 1 night pricey . ball London night . this high rating come mainly service . staff , especially hair salon & amp ; doormen ( Jim australian man ) wonderful . however , irish concierge rude . wonderful location opposite Green Park behind Park lane . also walk along Picadilly , Mayfair market go shop Oxfor Circuis area . the reason anywhere near 5 star shabby small . need upgrade . honestly ask , stick small elevator ; devour stale , over - price high tea ; sample lunch half - empty restaurant ; use spa without pool sauna work , unattractive , relatively run - down 1950s decorate building : really par Claridges Ritz ? however , probably cheap would say , price right , go ! contact chriseng30 @ fsmail.net question . 
 Mar 22 2006 	 Great Hotel 	 stay 2 night Athenaeum Hotel recent trip Europe . room nice , spacious comfortable bed . staff helpful ready please . great location , easy access ' tourist ' type activity . would definitely stay hotel . 
 Mar 20 2006 	 Wonderful Hotel 	 book lastminute get good rate . know advance first floor refurbish really affect we ( work go weekend little noise case ) . room beautifully decorate stunning view Green Park . we not breakfast go Spa morning . nice way start day . look forward excuse return hotel . 
 Jan 27 2006 	 make weekend special 	 one friendly accomodate hotel ever stay . although disappointed sauna etc shut , upgrade executive room , send bottle champagne partner birthday give breakfast next morning . staff efficient friendly ensured weekend away special one . would definitely recommend hotel . 
 Jan 19 2006 	 lovely ! 	 stay four night November , must say welcome change shabby Bayswater hotel usually end stay London . book lastminute.com , great rate . got free upgrade executive room boyfriend 's Birhtday . lovely spacious room , bed ditto . adore heated towel bathroom . spa gorgeous , though small , one seem use , get ! great location , central still quiet night . minus never see anything promise Champagne upon check ... 
 Jan 17 2006 	 great value 	 Booked LastMinute get great deal . room lovely , modern lot gadget e.g . remote control curtain . bed extremely comfortable . service excellent . not put external view hotel . only downside refurb ground floor going mean jacuzi / sauna etc close ( spa treatment still available ) - noise work though ( weekend least ) expect last 3 month . 
 Dec 30 2005 	 Super Christmas break Athenaeum 	 wonderful stay Athenaeum . review book lastminute pay approx £ 80 , room Athenaeum top price theatre ticket Palladium . turn superb value . hotel great location Piccadilly smart decor . room maybe small side , immaculate , huge comfy bed , plasma tv / dvd marble bathroom . room service breakfast extortionate ( see ! ) eat comment quality . small whisky bar also expensive ( £ 35 4 large gin tonic ) homely atmosphere somehow feel like 's worth pay extra ( friendly , knowledgeable barman really lovely glass etc ) . would definitely go back Athenaeum happily recommend . 
 Oct 10 2005 	 fantastic deal ! ! 	 book hotel part surprise birthday night boyfriend . get fantastic deal lasminute ... £ 99 fantastic 5 * hotel Picadilly ! travel london night birthday night bag ( not aware book we hotel ! ) hotel reception fantastic agree put luggage safe room night . we really please room , exactly like picture show internet site . large , comfy bed , marble bathroom fluffy robe slipper ... fantastic . as person say review , breakfast little pricy -i think us breakfast order room £ 45 . come huge trolley selection fruit , yoghurt , cook breakfast etc really worth it . we lovely stay , price great would come back ! 
 Oct 6 2005 	 good deal lastminite.com 	 get good deal t'Internet - £ 130 . hotel location picadilly great - right next door Sheraton . check swift friendly room give great . I think get upgrade & quot ; normal & quot ; discount room though , check quite early . 5th Floor side hotel . good size room excellent bathroom . mod con - include Digital TV , room broadband Internet etc . MY Wife breakfast hotel - quite pricey £ 21 - opt Coffee Muffin nearby Starbucks sit Green Park watch bird squirrel play beautiful warm Autumn morning . all good hotel money book lastminite.com . would probably suit & quot ; mature & quot ; traveller rather young person come London . would stay ? - yes . 
 Oct 3 2005 	 location great ! hotel average .... 	 stay two night Athenaeum end September . lobby unimpressive . desk staff cordial , really friendly . complimentary champagne check - in lovely touch ! concierge wonderful - funny helpful ! doorman great . misplace shawl checking , manager try hard try help locate , much appreciated . room small , comfortable . bed nice . light hard figure , work remote . bath small , nice . get excellent price room ( $ 300 / night US ) . feel value good price ; room adequate location prime . however , usual rate $ 500 / night US , believe well ! 
 Oct 2 2005 	 Perfect place elderly wealthy people 	 parent send London five day graduation gift . go boyfriend , 20 year old 22 . probably pick modern hotel like St. Martin 's Lane Sanderson five star category , Atenaeum rather old people upper class . sure , everything fine , feel wrong place cause perfect posh . first deposit credit card not , give lot cash actually take we shopping , leave hotel time . think real 5 - star - hotel treat every guest equally , be make 5 - star ! staff look we stranger obviously not wealthy people there . also , breakfast tiny consist fruit , anything else want cost fortune . next time London , definitely go hotel ! 
 Sep 1 2005 	 good location 	 recently stay Atheneum holiday weekend husband . get fantastic rate lastminute double room . check offer we upgrade large room , £ 40 per night . & quot ; cheap & quot ; small although nicely furnish . upgrade room much nicer large . surprised offer £ 40 think quite expensive . bed big comfortable two excellent night sleep . staff friendly , common room clean maid staff nice . everything efficient . hotel great location Shepard Market close by . I would recommend . 
 Aug 30 2005 	 good top 	 stay time Athenaeum London past three year . even though would say nice hotel , fantastic . location across Green Park near Hyde Park Corner good . try get Park View Room , even though might little street noise , disturbing . gym , though small , open 24 hour . however wet zone form 8 8 shame . room large cosy , bed comfortable , though bit small side tall people . breakfast pleasant lot freshly bake bread fresh fruit . reception ok could little friendly , particular busy . also hotel constantly ask fill review quality place , however never notice much change . place emplyer 's corporate list , therefore return often . however question Small Luxury Hotel award slightly SLH place . 
 Jul 20 2005 	 delighted 	 make reservation Athaneum base combination good reviews Tripadvisor & quot ; fair & quot ; weekend rate . difficult find hotel 4 ( wife two child , 7 9 ) London . I expect hotel good find . check personable - though previous reviewer write - front desk staff & quot ; foreign & quot ; . doorman fantastic - impressive skill greeting name every time come . one bedroom suite beautiful . door quiet side street . traditionally furnish comfortable chair , desk sofa . child love large flat panel wall mount tv bedroom . living room large modern B & amp ; tv seperate stereo system remote.5 minute check child bring basket game sticker book . we use kitchen apeare well supply . a full english breakfast impressive breakfast buffet pleasant restaurant , include weekend rate . as bonus - 20 minute arrive , walk across Green Park get Mall , see small motorcade follow Queen . Checkout painless add surprise . 
 Jul 11 2005 	 bad . great . 	 stay hotel week June . friendly staff . nice location . room ok . bath small . bed comfortable . elevator small . bad choice price right . 
 Jun 25 2005 	 Standards slipping 	 stay Athenaeum many time past ten year . big fan hotel . stay , however , notice significant change . front desk staff largely foreign , lead language problem communicate . nice enough , responsive one would expect . housekeeping staff , use flawless , quite snuff either . cherry pit sit plate room pick turndown , leave next morning . room well - keep , apartment , kitchen bathroom begin show age - appliance problem bathroom look little worn . kitchen bath change ten year . element Athenaeum good ever - doormen bell staff forever , wonderful , especially James . concierge staff good . problem billing room , attempt charge rate fifty percent quote website . problem clear , make unpleasant end stay . love Athenaeum , need get top problem could lead loss reputation . price , thing need close perfect . 
 May 3 2005 	 quite 5 star 	 spend one night Athenaeum , get good deal Thomas Cook ( 260 € per double ) . staff friendly arrival upgrade executive room . room spacious , much view ( 9th floor ) unfortunately clean : dust place hair bath . certainly acceptable 5 * hotel . breakfast ok nothing special . use stay Royal Park Hotel ( 4 * ) must say much difference Royal Park Athenaeum . 
 May 3 2005 	 Excellent Service Athenaeum ! 	 book Athenaeum Last Minute.com £ 109 . book without know name hotel , general location rating ( 5 * ) . pleasantly surprised find 5 - 10 minute walk away Green Park Underground ( although ' across road ' describe website ! ) . contact hotel regard upgrade , take offer £ 30 executive twin . arrive early 10 am room not ready ( expect time ) . John Concierge practially wrestle bag shoulder - use service ! concierge take bag storage freshen powder room , first floor . gorgeous ! ! take look lady , step back time really traditional lady powder room . we arrive back hotel late afternoon take room 7th floor receptionist , offer show we round hotel explain facility . Unfortunatley run late decline . lovely traditional style room two single bed side side . bay window look onto side street , look street leave could see Green Park . view not interest , quite happy . two chair small table . tv equip CD / dvd player , excellent optional extra use interet charge . room spotless gorgeous white duvet , pillow sheet . room ok size - must say think standard room would therefore small . bathroom nice two towelling robe Neutragena toiletry . fantastic shower well ! bed truly delight sleep ! comfortable bed ever ! not use facility hotel , can not coment . Green Park tube piccaddily , Victoria Jubilee line , good base move around . take stroll Green Park end face Buckingham Palace ! 10 min away not realise close . not know would pay rack rate £ 300 + night room , discount , really get money 's worth . beautiful hotel really pleasant staff great location sight - seeing . 
 Apr 23 2005 	 pamper 	 cheap , worth every penny . hotel really try ' go extra mile ' . enjoyable week - end , lovely room overlook Green Park , make even pleasurable overall welcome ( glass champagne pour check ) , friendliness professionalism hotel staff encounter . hotel well situate shopping ( near Bond Street Jermyn Street , far Knightsbridge ) also relatively short distance theatrical are tourist location Buckingham Palace / River Thames . breakfast cheap quality excellent want eat elsewhere plenty good location nearby . try ! ! 
 Apr 11 2005 	 A1 Hotel 	 stay easter weekend 2 night great deal last Minute . upon arrival upgrade 1 bedroomed apartment adjacent street , wow ! amazing apartment . staff hotel great start finish , friendly . great location across road Green Park , 5 min walk Buckingham Palace , 5 min walk Green Park tube station , 10 min walk piccadily Circus . bit pricey hotel food drink , excessive hotel standard . breakfast £ 21 excellent , room service breakfast £ 21 well . pop whiskey bar , 200 different whiskey choice from . would certainly reccomend anyone . 
 Apr 6 2005 	 Still Class Leader 	 stay Hotel 2nd April overnight . great deal lastminute currently list ( April 05 ) secret hotel , & quot ; 5 * near park lane & quot ; .This always stunning hotel , stay 7 year . someone loyalty sake keep return find anywhere else beat it . for 199 inc taxis get superb Junior suite vast marble bathroom . room decorate like jewel case spotless . rich tasteful decoration set room individually increase sense comfort . as ever , even though check early ( 11 am ) , room , compare happen turn early chain hotel . past turn 8 am still check . staff ever polite downright friendly . food order delicious promptly deliver . current deal stay Hilton , even though class difference total . every way equal Dorchester , cheap , friendly . knock Ritz cock hat cheap friendly , could go , like say keep stay good find . 
 Apr 1 2005 	 comfortable hotel top class location 	 book 2 night stay use lastminute weekend break . good point : Location - Superb position overlook Green park / Buckingham palace ... step outside lobby onto street feel wear top hat tail . central everything close tube station . room - nice relaxing feel comfortable bed . staff - generally helpful prompt . bad point : Noise - Woken 4 Sunday morning loud clattering truck loading / unload delivery outside hotel window side street . 
 Mar 26 2005 	 5 star 4 star good 	 spend evening much fuss . refer top executive Fortune 100 firm tell book negotiate corporate rate . reservation staff rebuff oral request demand write one . comply tell request must XYZ 's corporate letterhead email end ( -- - ) . company also negotiate rate hotel use place burden guest . another email reservation refer correspodence XYZ company 's regional travel manager verify identity request . finally , reserve room . experience insult treat like second class swindler . check polite gracious allow room noon . room small , carpet dirty worn , street noise obvious annoying . bed well make short 6 foot tall person . bathroom small show sign wear . soundproof room hall non - existent . housekeeper open door without knock , twice . later welcome letter piece fruit deliver , sadly address somebody else . I utilize concierge dining reference , chat away phone without acknowledge presence 6 - 8 minute . conversation personal subject matter crude time . chirppy voice fill small lobby wannabe snob/ & quot ; look special & quot ; attitude pothetic irritating . fancy rich patron service provider . the positive find hotel location across Green Park service extend front desk . everything else , price 5 star rating , lack . 
 Mar 21 2005 	 place go downhill 	 stay hotel several time last 12 month normally find Athenaeum pleasant experience , hence decision use hotel personal trip rather usual business trip . occasion disappoint , small issue one particular issue leave feel really rather annoyed . generally service level seem drop siginificantly , time staff rude unhelpful . sure different people work weekend , different experience sure . would not recommend hotel anymore . 
 Mar 14 2005 	 first class 	 return Athenaeum can not speak highly enough . moment enter , quality evident . concierge remember name luxury room , good experience London . even though hotel situate Piccadilly , room quiet . another bonus five minute walk Le Caprice , excellent restaurant Arlington Street ( situate side Ritz ) offer atmosphere , great food yet not break bank ! , without doubt , one good hotel London worth expense - well still , look good deal lastminute.comhighly recommend . next London head ! ! 
 Feb 23 2005 	 Prepare ... rave review ! 	 stay Athenaeum Hotel weekend deal lastminute £ 106 p.p . February 2005 . really look forward experience 5 Star luxury talk review ... would say hotel fine weekend break deserve adulation . obviously get one room use cheap deal , describe previous reviewer , small view back alley . bed real feather bed comfortable short foot hang bottom . location upmarket dead weekend , ' get beer 10.30pm shop nearby friend buy cigarette . check Sunday morning , receptionist produce bill two breakfast something around £ 35 , think , shocked ' really look actual figure , try work hotel standard allow happen . certainly ' breakfast someone give room number get free food . feel defend integrity show signature nothing like squiggle give person receive food . horrible feeling like special rate , would dishonest ! couple we stay identical room us bag rummage leave open thankfully use safe . hotel job rate pay ! Kensington Knightsbridge suit shopper ' weekend . 
 Feb 18 2005 	 pricey worth 	 quiet , sophisticated hotel staff attentive without intrusive . bed exceptionally comfortable , food excellent . July breakfast buffet include wide choice fresh , seasonal fruit -- uncommon big - city hotel experience . deal include breakfast good , menu price steep . inexpensive hotel , real value price . 
 Feb 8 2005 	 fantastic proper 5 * accomodation 	 moment enter hotel greet warm welcome . its stuffy like 5 * hotel London look upon like scum jean ! would definatly stay easily good hotel stay , London . 3 minute walk Tube station approx 10 minute walk piccadily 10 minute Knightsbridge . concierge fantastic enough help . should high rank hotel . 
 Jan 20 2005 	 First Class 	 easily good hotel ' ve stay ( Jan 2005 ) London . 's small , quiet ( despite Piccadilly ) , welcome , well - appoint extremely comfortable . well worth stay ( currently sell lastminute around £ 120 per night ) . 
 Jan 11 2005 	 fantastic Christmas London 	 everything well family expect . magical Christmas ( Dec. 2004 ) Athenaeum . fact , want go back London stay hotel . first time Christmas away home feel much home Athenaeum . one bedroom apartment perfect family four completely separate bedroom king size bed lovely bathroom . living room spacious , elegantly decorate , queen size sofa bed window look partial park view , mention giant plasma display boy love much . fact , husband able go english Tea twice thank dvd front desk . petite adorable kitchen everything make feel like home , include washer / dryer unit take care daily laundry . use washer everyday ( note : well dry clothe hanger dryer . ) love english breakfast ( include room rate ) dinner restaurant . food exceptional service absolutely outstanding . Donald concierge friendly , helpful humorous . wish people like five - star hotel . compact gym perfect exercise rest spa facility nicely do . make full use eight - day stay hotel . lastly , get lot help reservation staff plan vacation via email arrive London . 
 Jan 1 2005 	 treasure hotel 	 gem hotel . small , boutique hotel prime location - across Green Park , short walk Buckingham Palace Shepherd 's Market . locate area Mayfair boast fine shop , art gallery antique store . service impeccable concierge waiter restaurant . family stay apartment , situate next door hotel quiet charming street . apartment beautifully appoint fine english decoration , furnishing drapery ; television living room large flat screen offer many option internet access movie viewing . see apartment different decore ; one next door bachelor theme modern furniture . tea understate tradition serve living room area wonderful delicacy nine year old daughter Rachel delight ! breakfast superb range fresh fruit , baked good delicious egg omelette . whiskey bar intimate great refuge husband . also use exercise facility , small size , adequate . Athenaeum highly recommend hotel small enough give clientele superior service definitely return ! 
 Dec 2 2004 	 almost perfect 	 wow ! not place high list ? stay one night week business London . almost perfect . want place not full flower & amp ; chintz . athenaeum sophisticated stylish hotel world - perfect antidote overdose Laura Ashley . service excellent . 
 Nov 17 2004 	 five star class 	 stay Athenaeum four time head back soon end November - lovely hotel ! feel home moment walk door . staff wonderful everyone remember us - doorman maitre d. facilities top notch - top class London hotel , without stuffiness . great location - walk everywhere . can not wait back 26th ! 
 Nov 1 2004 	 Lovely London Hotel 	 stay Athenaeum week London recently . wonderful . room clean upon arrival . nice touch , towel warm bathroom , good water pressure consistent temperature shower , light come enter room , turn - down service , newspaper delivery cute fitness room jacuzzi sauna steam room . Donald , concierge , helpful sightseeing plan route . room service housekeeping fast efficient . enjoy delicious meal Bulloch 's Restaurant cocktail Windsor Lounge . location excellent close Tube nice neighborhood walk noisy overcrowded . would recommend hotel anyone look nice place stay London . 
 Oct 28 2004 	 Gem ! 	 stay twice , treat like family . see reviews apartment next door hotel , luxury comfort , space ! will not want leave . rent one bedroom kindly upgrade two bedroom last minute , family Ireland decide come stay . manager wonderful . not hurt great irish concierge hotel year . someone else mention , front staff good world . highly recommend hotel anyone . location top notch also . family own operate hotel feel like ! 
 Sep 20 2004 	 Place stay 	 simply wonderful . moment arrival moment leave , everything five star hotel be . we get fantastic rate £ 99 Superbreaks make difference arrive hotel . we catch first train London arrive hotel 9.30 Saturday morning show room immediately . to honest , book discount rate , expect reflect standard room . wrong could ! ! room view Green Park , good size importantly clean - rarity London day - visit Le Meridien Piccadilly Hampshire doubt word . as hotel little detail matter - nightly turn service card leave bed weather forecast follow day ! ! ! look hotel Central London dedicate customer service look book stay Athenaeum be lucky will find share breakfast movie star . ! ! , whenever stay London , Athenaeum . 
 Sep 5 2004 	 HOTEL 	 travel London regularly know often come across unfriendly amateur staff . athenaeum complete opposite . room great location . thing stop stay every visit lack availability action within wallet ! 
 Aug 17 2004 	 fabulous weekend spoil zealous front office 	 fabulous location , good room , back hotel view despite fact hotel quiet stay . meal restaurant excellent al carte menu represent reasonably good value . shame truffle not arrive coffee take bar . bar way excellent member staff absolutely superb . however , thoroughly enjoyable weekend spoil ill judge decision part hotel make charge mini bar item visa card departure , something discover credit card account arrive , despite advise upon departure not use mini bar . letter three telephone call require account credit mischarge item even apology inconvenience not forthcoming . stay many hotel , many year , many country , never experience hotel charge credit / debit / charge card departure without prior consent . acceptable would certainly expect much well hotel five red star pride quality personal service . 
 Aug 15 2004 	 great hotel watch short bed ! 	 great hotel , good location , fantastic staff .... , probably book special offer , small room . bed short , husband sleep foot edge ... 's 6 foot tall ! ! 
 Jul 26 2004 	 comfortable Place 	 return wonderful visit Athenaeum hotel . outside hotel look quite drab , not let put . staff interior make building would probably walk past without second glance . door man helpful , point offer bottled water face towel hotel guest jog . reception shine example reception staff , efficient friendly . initially disappointed room . small contain 3/4 sized bath . view ( Green Park ) , comfortable bed airconditione make room size . complaint ? loud guest next room conduct telephone conversation 2 am animate discussion guest room . reason could probably hear everything room integral door room enable family 2 room ajoine etc . , think would well check room not facility unless need . respect fact neighbour loud not hotel fault . we fabulous evening meal hotel restaurant , perfect every way . comfortable stay , friendly staff , could not enough help . doubt back ( check room not ajoine room next time though ! ) 
 Jul 22 2004 	 wonderful place stay 	 stay twice hotel year really recommend . room wonderful english standard . spacy hotel . location perfect . almost everything foot don´t want take subway overcrowded . staff front desk helpful , especially Patricia . breakfast come small buffet style continental option order cook breakfast well . & quot ; Times & quot ; deliver room every morning well & quot ; Daily Express & quot ; lay lounge . lounge also cosy typical English . concierge good institution . definitely would stay ! ! ! 
 Jun 29 2004 	 good town 	 moment step taxi Hotel feel special , staff excellent , room perfect breakfast would set day . I stay London regular basis make home ... 
 May 17 2004 	 Wonderful Staff 	 stay Athenaeum Dec. 27 29 , 2003 . staff make feel welcome immediately , much appreciated arrive jet - lag state . room small side , comfort expect little luxury well . terrific experience ! 
 Mar 31 2004 	 Professional comfortable 	 good location Piccadilly ; comfortable ; professional welcome staff . the bedroom example ' designer ' sometimes mean ' horrible ' ? comfortable , fairly recently refurbish , attractive . day stay , run water several hour ? hotel 's fault , not help . it be really nice hotel , not ' chain ' feel many London hotel . give acclaim 's receive ( five red AA star , example ) , think have expect special actually . 
 Mar 21 2004 	 heaven kid Athenaeum 
 Feb 26 2004 	 worth every penny 
 Feb 12 2004 	 save Money ! 
 Jan 28 2004 	 absolutely Perfect 
 Dec 4 2003 	 Charming Luxury 
 Nov 23 2003 	 Excellent London Hotel experience 
 Jul 17 2003 	 Great Location 
 Dec 24 2002 	 Uneven experience 
 Aug 2 2002 	 home away home ! 
 Jan 21 2002 	 Modern Luxury 
 Aug 21 2009 	 Hôtel très bien mais un peu excentré et surtout très cher 
 Aug 3 2009 	 ? ? ? ? ? ? ? ? ? ? ? ? ? 
 Jan 11 2009 	 Eccellente servizio Hotel adeguato 
 Dec 22 2008 	 te dejes engañar 
 Dec 6 2008 	 Una estancia inesperada agradable 
 Jan 14 2008 	 Idéal grand confort détente maximale 
 Sep 3 2007 	 trato excelentealgunos pero 
