Loved 	 get great deal website promo code Thanksgiving holiday . hotel all - suite , huge room / bathroom , quiet , smoke free staff top notch . great service Concierge ( Ozzy ) front desk check - in breeze . never see housekeeping hall , room make every day ( electronic system let know want housekeeping ) . Stayed Tower 1 -- close MGM Casino , enough distance feel like frenzy ( second - hand smoke ! ) . walk escalator & quot ; people movers & quot ; provide high heel wearer respite walk casino . use monorail MGM Grand travel strip -- convenient . ticket purchase right monorail & quot ; station & quot ; ... not though -- nice man give we ticket leave next day use ticket 2 day :0 free WI - FI ! ! ! ! ! definitely stay . 
 amazing hotel 	 boyfriend return 6 - night stay signature . stay one bedroom suite Tower 2 . hotel room absolutely beautiful . great experience would definately return . complaint distance casino ( 10 - min walk ) . day tired make long walk back room . aside , be great hotel regret choose stay . 
 watch ! 	 ' watch . stay 2 night , get 3rd night free deal even paperwork name people talk even though e - mail offer send directly , take hour get honor . however hour , every single person check kind deal something , drink , whatever every single person fight hard get honor special . travel living , go Vegas least couple time year work . really great place , 35th floor Strip view Jacuzzi kitchen . get private cabana pool , might well , ' pay resort fee . fight ruin though . go leave high dry finally prevail upon right thing . never see anything like people , even Newark ( personal standard hassle travel ) . plus try make feel cheap honor deal . give break . 
 worth walk ! 	 yes , hotel strip . take 15 minute get front MGM ( strip ) . walk signature hang leave walk Planet Hollywood strip ( 15 minute walk ) . walk easy big deal . the hotel beautiful . 1 bedroom junior suite connect . room clean , king bed comfortable kitchen set - up helpful . use kitchen make breakfast , store water , beer snack . car drive 5 - 10 minute Albertson ' supermarket . the mattress sofa pullout could little firm . average sized guy ' comfortable . we Tower 1 , Starbucks , fitness center ( modern ) , lobby bar business center . valet parking ( free ) end tip every time . fast friendly.2 minor issue – ( 1 ) get sofa bed make . make request front desk , fulfil . call housekeeping come make sofa ' . 1 day checkout must think check close sofa bed . call housekeeping - fast courteous . ( 2 ) gamble MGM Casino apply comp room MGM Signature . overall great stay . want get away madness end day place . 
 nice hotel 	 can not really comment stay authority , first time Vegas , idea expect . one night , not use hotel facility . however - night , nice hotel . price pay ( GBP80 mid - week ) , promise & quot ; Junior Suite & quot ; , expect Vegas term normal small room . however , definitely suite - sized , fully appoint , way fully - equip blender kitchen area . overkill one night , definitely great long stay . also , one night - 's fair trek strip . assume next MGM Grand ... quite ! although access walk MGM reception , past restaurant , past show , several enclose walkway ... time get ( Tower 1 3 - furth ) , have walk half mile ! tourist - walking , foot pretty tired end stay there . however - hotel nice , long stay , ' m sure would welcome little distance away . service friendly efficient . one night , perhaps try brave one big hotel actually strip , night , be great mix close , close .... 
 Jul 4 2009 	 good place boutique hotel 	 good promotion , not wait much place . not maybe be expensiveYou & quot ; far & quot ; crazy hotel las vegas quiet de luxe area . suite large , large enough feel home . badroom great . confort date . the swimming pool last idea designer weaning need , enjoy access grand MGM 5 min walk ( really short distance LV ) .No restaurant , ... 10 setp furtherNo Strip , not believe room theother giant LV Strip . a bad point : fee access : new discovery hotel charge little bit . well announce pay access swimming pool . course receive money back not use ... 's case . after fuel surcharge airline , hotel surcharge 
 Jul 4 2009 	 book Laura 	 second review seem though reivew send cut floor . signature Grand luxury hotel . extremely boring compare live strip . absolutely place inside hotel enjoy , like restaurant ect . deli sandwich . walk strip long tedious . room extremely small ( junior ste ) . pull sofa bed small cheap . linen sofa bed . please rent private owner want luxury , try New York , Paris Ceasers ... ceaser much excitement kid & amp ; adult . hotel luxury hotel . beware ! Business Center small room internet cost $ 1 min . authorize credit card $ 25 use , total rip . beware signature . 
 Jul 3 2009 	 Perfect Signature 	 wife complete second stay incredible property . skim review , think would add little property future traveler . first , property luxury hotel . hotel / casino . not casino , bar , restaurant ( small place open breakfast lunch Starbucks ) , dance girl , hoard people wander different direction . simply classy , clean , chic hotel . MGM Planet Hollywood short walk away want gamble , drink , party , eat nice restaurant , etc . the room among well ever stay . comfy bed , huge bath , huge room , mini fridge , ton space really chic cool . the pool area perfectly match coolness trendiness property . 's crazy pool scene wave pool river , trendy cool . lounge chair might well ' ve ever hotel pool give towel cover entire chair . oh , complimentary water pool . pool not overly crowd service , like everywhere else signature first rate . whoever write pool not open weekday , past two night ( W Th night open day . pool Tower 3 close except weekend , pool tower 2 step . location : one thing ' ve learn trip Vegas : going walk ton . honestly not think matter stay , go walk lot . grant , not want walk , always stay one place eat , drink , game casino never leave . , be like , will want go XYZ show Bellagio , dinner Mandalay Bay , poker Ceasars , Big Elvis Bill 's . walk ton . mind , signature might well Strip . tower 3 actually close Planet Hollywood MGM Grand think prefer Tower 3 location easy get strip fast get Ceasars , Bellagio , Paris , etc . , middle strip pretty much right around Paris Ceasars , even stay one property , not think would walk less . service : service signature second hotel . 's nice check warmth professionalism front desk . arrive hour check quickly check without problem . need cab , one second without wait line . service pool area awesome . ask specific cocktail not ingredient , try make something similar not like , would make something different . yummy though . , property one well many way . incredibly cool , sexy , romantic . service honestly warm really want enjoy stay . room spotless . , room perfect get away pace Vegas . 
 Jul 3 2009 	 4 start hotel 1 star management lie cheat steal 	 do not wast money . check Bellagio Venetian instead . room nice , good view strip , bunch unfinished construction project . mountain view face pool hear scream music 9th floor 3 pane glass ! staff encounte nice managment may well come walmart . replace competent helpful people . sit argue ask take 20 charge state package . gym 2 bottle water day basically premium coffee . Screw hidden fee per day . also importance wireless internet poor quality properly point cease function time day . bad business want book romantic nite . cafe tower 2 good . hotel good 8 minute walk strip . take bus pass cheap trip . 7 buck , taxi 10 - 15 go place strip . try monorail , nice 14 buck day pricey walk quite way back get . relize hotel size small mall . would recommend taxi buss convenience . 
 Jul 3 2009 	 2nd time @ signature - still love 	 pro : big bathroom ( jaccuzzi tub , glass walk - in shower watch hubby shower , marble wall , toilet separate room ) , comfy bed , kitchenette high - end kitchen amenity , spacious living room , balcony incredible room , smoke - free , comfy bathrobe ! hubby love abstract artwork throughout hotel lobby , walkway , hotel room , etc . con : $ 20 resort fee use include delivery newspaper door -- pick bellman . also , hotel block Vegas strip . tip : try stay Tower 1 . be close MGM Grand . 
 Jul 2 2009 	 truth . honest review 	 stay honeymoon early June 7 day . hotel clean close Strip ( 10 - 15 min walk ) nice quiet that s . facility , shop drink , sun cream e.t.c , Bar , resturant - breakfast , pool weekday ( Mon - Fri ) , staff - want . SMALL Gym - that s . pay $ 1750 inc Taxes stay one bed Suite . expensive . could got Double Ex Suite Caesars Palace $ 300 less week . unfortunate enough stay make sure tower 1 2 ...... 3 . would stay , back Vegas stay somewhere that s worth money . 
 Jul 2 2009 	 Best Place Vegas ! ! 	 husband come back Vegas . stay signature MGM Grand Tower 3 . please book hotel book thru vrbo.com . rent junior suite Ani very - very helpful easy deal use pay - pal pay room . ( www.vrbo.com/159268 ) suite awesome 26th floor great view mountain MGM pool . lobby 's gorgeous , 3 tower be differently desine . favourite Tower 2 red rose . pool great crowded ( could see lazy river wet republic MGM room .. wow never see many people around pool .. ) good water salty like ocean . 's close strip away noise . 
 Jun 30 2009 	 Excellent stay great value good location attentive staff . 	 second multiple stop U.S spending 5 night San Francisco . pay $ 100 night plus $ 25 night resort fee . excellent value standard accommodation . junior suite . room every bit good advertised site . 3 tower make signature much tranquil less hectic casino hotel see still within walk distance strip . tower 3 furthest strip . concierge Starbucks locate Tower 1 . tower pool Tower 3 's shut week . slightly long walk Tower 3 5 minute air condition walkway . tower 3 also slightly new imagine room might less wear . breakfast simply buy couple item supermarket eat room . room come plate , cutlery basic cooking utensil . eat breakfast . Maid service good , need press button near entrance door room room ready make otherwise maid may come . service include resort fee . use pool MGM bar snack bar . receptionist arrival extremely helpful explain MGM many casino strip mean could charge thing room casino . go Phantom Opera great . worth pay premium ticket . sit side seat great view . would recommend revolving restaurant Stratosphere evening meal . went one evening go tower , quite big queue cost $ 15 - 20 decide go restaurant . queue able get late reservation . quite expensive $ 160 two take fee go tower work pretty good . romantic setting evening . food good standard eating restaurant entitle free access observation deck . 
 Jun 28 2009 	 be ok . 	 _ must _ go Vegas would seem good place stay . casino , hooker hallway . Bland comfortable , desk staff good . 
 Jun 28 2009 	 Fabulous every way - Vegas Bachelor ( ette ) Party 	 book two junior suite join bachelor ( ette ) party hotel make trip . room good size since 5 people room work perfectly . 's locate strip nice want get away seedyness 's far feel disconnected . 's cheap cab ride club / casino . access pool MGM awesome . always hotel choice Vegas 
 Jun 27 2009 	 Oasis Pure Luxury Serenity ! 	 let begin say overwhelmed arrive Signature . everyone Bell staff , front desk , housekeeping , doorman etc ... great . extremely picky come place stay read review signature choose . must add mine . could not begin say enough nice thing place . quiet smoke free big plus ! room super clean every amenity possible . view Tower 1 29th floor allow we take awesome photo could see side Las Vegas strip . use Fitness facility offer water , towel - wet dry earphone listen music watch tv treadmill . everyone friendly helpful front desk offer every assistance possible . onsite transportation take anywhere need go within short walk could go MGM Grand Las Vegas strip . first stay Las Vegas could not ask well accomodation lap luxury . return September can not wait get back . A++ everything ! ! 
 Jun 26 2009 	 Perfect experience 	 impressed signature moment step lobby tower two . staff professional , friendly accomodating . check room even tho arrive 10:00 a.m. choose signature insure suite impress junior suite . suite elegant , comfortable quiet . kitchen fully furnish . pool wonderful . enjoy padded lounge impress friendly accomodate staff . cold water available bottle enter pool area would happily bring cold drinking water ice you . we love quiet hotel pool area . want action , short walk air condition walk way MGM Grand strip . the signature selection next stay Vegas . 
 Jun 25 2009 	 Lovely - Honeymoon Bliss 	 signature @ MGM grandstaye honeymoon January , marvellous hotel . we drive hotel security control gate ; name check security guard duty . make feel safe ( maybe watch much CSI Vegas ? ) tower 2 . reception Tower 2 lovely , quite contemporary full sumptuous sofas red rose . staff bell man lovely , welcome helpful . resort fee , make aware book reasonable covered wifi acess . one bedroom suite Penthouse floor . high lift sometimes concern rest assure super fast . suite really spacious , décor wise elegant lobby ( carpet get bit loud furniture bit faux antique ) everything really good quality spotlessly clean . well appoint kitchen although kettle , coffee percolator way make tea . however sure raise kettle would provide . ' really use fridge anything except leave ' wine however could comfortably take 2 week worth food large family . suite dining , set proper dining table living room arrival food excellent , delicious bit pricey compare eat restaurant main MGM . bathroom , complete large shower living room another huge en suite bathroom , ample worktop , seperate wc , shower cubicle , Jacuzzi bath ' bath ' LCD tv.the window cleverly tint privacy issue ; also give tower distinctive gold appearance . the bed room well appoint proportion plenty drawer hanging space HUGE flat screen tv discreetly hide inside desk . also balcony beautiful view Nevada dessert mountain could watch sunrise . the hotel provide we many useful ' go Vegas ' guide suite concierge service ( locate another tower ) excellent , polite , really efficient organise everything require fuss excellent recommendation . another nice touch ' housekeeping ' alarm . outside front door suite small control panel indicate whether want room clean ' disturb ' . alert maids save fuss card door handle . check back ( flight home delay 24 hour ) time different suite strip view , would recommend Mountain view every time much construction go strip really see anything good mountain beautiful . the hotel attach main MGM long cover corridor ( motorise walkway feel lazy ) pool , beautiful garden , coffee shop ( excellent breakfast pancake ) bar enjoy complimentary cocktail . January spend time pool . would say hotel perfect base explore Vegas , quietly elegant relaxed lot greenery still really close action . 
 Jun 24 2009 	 Best keep secret non - gambling luxury seek young couple 	 get back FABULOUS stay signature . yes bit walk MGM be relax cool pool along hot young crowd go shop hang strip outside Casino PERFECT ! smell nice since sort ` ` gate community '' ' safe quiet . ' Las Vegas strip back street KOVAL lane , ' much quick get hotel avoid traffic strip plus long line get Taxis like hotel . if stay Tower 1 , ' ve get Starbucks lobby quick access hotel pool lounge . across main entrance WET Republic pool & amp ; Bar ! ' awesome want lounge sun day bed private cabana , listen great music drink sleep day ! ' hot pool Vegas kid ! also get access pool MGM pool signature . lot choice ! room great ! ph level . call day arrive let know want tower 1 room view . check Airport good . husband wait bag carousel . take 10 min get room key , even wait cus line . also arrange hotel transportation ( 30 $ round trip per person get cheap 12 $ walk outside pick luggage ) . use airport check - in cus ' could line get hotel way get go straight room . friend hotel wait 60mins check . concierge amazing , make great restaurant recommendation , able change plan change run late . able book excursion ( strip tour Grand Canyon tour ) we get ticket other show hotel . want see Kà Cirque du Soleil , wait till get hotel , since part MGM get ticket 40 % off . the hotel Casino , ' quiet , clean smell nice . ' mostly young couple , group young single young family . still quiet room ! not walk MGM get strip , hotel right next door PH Miracle Mile shopping center ( 5 - 10 min walk ) close hotel ( Paris , Bellagio , etc ) MGM . cvs another pharmacy / grocery store walking distance stip . hotel central expect , right strip like MGM . ' right next Marriott strip well . ( google map everything ) picture see Booknow.com tripadvisor representative room . room suit clean , huge spa tub bathroom could fit 4 ppl , 2 ppl great . relax bubble bath . provide robe , thing miss slipper , actually never call see get not provide . lot closet space drawer . bathroom lot cabinet extra towel . perfect ! also shower separate toilet area . bath product amazing . June Jacobs . housekeeping bring we whole gift bag take home ! tv bathroom flat screen room IPod dock alarm clock . love soap moisturizer ! view strip hotel strip construction . never hear anything , quiet hotel . elevator fast ! room come mini fridge , stove top microwave warm room service . room service menu seem great . breakfast balcony one day , nice . ( Coffee maker free Wi - fi well ) . room safe big enough laptop more . so aside bath slipper , think anything except great praise say . make first Vegas experience memorable , pleasant comfortable . oh yes , bed soo comfortable staff helpful professional ! would go back recommend anyone like little boutique - chic hotel - Casino ! thing certain hotel luxury shop . ( Cartier , LV , Gucci , Hermes , Alexander McQueen , DVF , Jimmy C , etc . ) want will stay Wynn , Pallazo / venetian , Caesar Bellagio would deal huge crowd , line up everything smoke stinky Casinos ! 
 Jun 22 2009 	 Great Rooms 	 accommodation arrange Virgin Holidays prepay resort fee we , really issue we . room 30th Floor ask want Las Vegas Strip Mountain view , take advice ask mountain view give option , strip view resemble nothing building construction talk guest whichever tower stay in . check check fast efficient short taxi ride airport . as other state comfort decor room second none room facility would hard beat , equip every amenity traveler would want hard day casino walk strip . suffer noise anytime quality bed furnish contibute good night sleep . cleaning carry daily must remember push maid service request via button main light switch get room service forgot , report concierge arrange within matter minute , excellent service ! contemplate use swimming pool Signature , tower 's pool appear insufficient lounger give miss lack lounger noise generate pose pool , relax question ! minor issue distance strip would bad move walkway working , day least one two walkway order . room quality standard hard beat Las Vegas reasonable rate . 
 Jun 22 2009 	 Good Bad 	 BadWe recently book suite Signature Joshua D'Amore would advise everyone book book directly Signature . list issue encountered:1 ) specifically ask Daily Cleaning would provide tell would . however - 2 day housekeeping never came - email ask provide housekeeping yet . respond back say would brought fresh towel . tell would like fresh towel day say problem . next night not receive fresh towel - try contact several occasion still respond back . also run toilet paper day 3 get . 7 night stay - get 2 set fresh towel - acceptable.2 ) room dirty arrive . inch dust everything , bathtub shower dirty , carpet many stain - gross ! 3 ) Fan bathroom work.4 ) tv bathroom work 9 & quot ; screen . the GoodThe signature Great Hotel , book directly Signature . pool nice staff amazing . kitchen room nice . go local Walgreens pick breakfast item snack trip . walk bad . connect Tunnel MGM . would recomment anyone would like quiet getaway hussel bussel Vegas . 
 Jun 22 2009 	 DISGRACED 	 signature tower consider luxury hotel . book holiday book signature 's security luxury . arrive signature bag lose flight . check room possession we . luggage we decide take look around leave sunglass , flip flop T - shirt make room . return room later afternoon item leave room go . House Keeping enter room believe guest check leave item behind . speak house keep lady name Luicy follow day admit friend Nancy clean put sunglass bag . flip flop return follow day expensive sunglass . matter report whole 2 week stay continually chase sunglass . private property take call luxury hotel 's staff . expensive sunglass purchase Spain buy Australia America . staff make little effort retrieve sunglass . continually pass different people . snior management unable speakn . write letter CEO MGM still contact . feel helpless disgusted continually ignore . business owner everything power WARN people hotel Signature really . holiday experience privacy experience anyone . STRONGLY recommend stay hotel not want happen . 
 Jun 21 2009 	 quiet beautiful room close Strip great value . 	 signature consist three tower east MGM Grand , entrance ( Harmon ) , reception , parking . share small deli / restaurant open breakfast lunch , cocktail bar , tiny newsstand , fitness center . room service available . tower pool , one tower 3 open weekend . friend use pool find almost desert Saturday . large , crowded pool fitness center available MGM . principal advantage Signature somewhat isolated — there little noise hustle bustle . get entrance room take less 2 minute . completely nonsmoke nongambling , ' walk noisy casino reach room . guest seem adult . swinge single like surround heavy drinking , smoking , partying , ' like . parking seem convenient , although arrive taxi . Doorman call cab wait never two minute . reviewer comment long walk Strip . time walk ( ' walk fast ) , take 4 minute tower 3 ( farthest away ) entrance MGM Grand ( part move walkway ) ; 3 minute casino ; 3 minute Strip . standard room well large ' see Vegas . Junior suit 550 sq . ft . least expensive . they beautifully furnish , great bathroom whirlpool tub , balcony . view mostly high - rise building . coffee maker , microwave , small refrigerator , cooktop , blender , pot pan utensil . partly reflect fact room own individual use long term stay . say well rate obtain agency represent absentee owner , reserve MGM . service staff member friendly accommodate . daily facility charge $ 20 ( include fitness center , internet access , etc . ) make advertise low rate , slightly annoying make clear time booking . 
 Jun 20 2009 	 really good ! 	 stay 4 night June 2009.this place really great , far enough away hustle bustle strip . never vegas perhaps stay strip hotel stay fully appreciate it . room really well appoint ( give penthouse junior suite , book standard junior suite ) . great tea / coffee make facility toaster etc .. room . the pool gym really good overcrowded like pool MGM look like hell ! walk MGM take 3 minute another 3 - 5 get thru casino . say long , ? hop one leg backwards ? want avoid MGM walk Harmon Planet Hollywood 5 minute . there starbuck / deli / pool bar site not use they . all great place stay Vegas . 
 Jun 19 2009 	 Great Place stay 	 5 night signature love every minute . staff superb polite helpful ever come across . hotel pool , Starbucks , gym etc nice main MGM Grand 10 minute walk . book thru private company ( www.bluechipvegas.com ) find VRBO superb use stay signature return Vegas . 
 Jun 19 2009 	 Quite Perfect ... well worth 	 pull could tell ordinary hotel . staff great lobby area clean welcoming . hotel short walk MGM ( tunnel ) . get one bedroom suite . fully stock kitchen , jucuzzi , two restroom , comfortable bed , living room area , work . problem balcony window dirty . final night , hear gang talk 2:30 a.m. chant & quot ; what s cuzz , f _ _ _ n_igg _ . last 20 minute sign security . however , I m convince overall experience final night problme exception norm . overall , would recommend upscale alternative highend hotel . 
 Jun 19 2009 	 book ! 	 stay two night . 's great place stay Las Vegas £ 95 per night get 32nd floor room kitchen massive bathroom include jacuzzi . really recommend . 
 Jun 19 2009 	 great love history 	 doubt MGM sink alot money keep facility top notch . really enjoy stay . ghost hunt MGM stop . MGM fire early 80 be like 84 people die . do not realize get build actually part Bally 's . also hostess Studio Cafe murder kitchen office . read vegasstripdeaths.com anyway great place visit worth stay . kinda far convention center monorail close go right . doc 
 Jun 18 2009 	 one good stay ! 	 without doubt would recommend go hotel again . pros- beautiful hotel , quiet ( minus slam door , big deal though sleep like baby ) - friendly , helpful staff.- great amenity useful.- Access MGM Grand pool lazy river without stay MGM Grand.- Close Miracle Mile shop great pick little odd endsCons- shuttle service fremont- not bring laptop read news paper $ 20 night fee kind useless . ( big deal though ) * tips- want close strip MGM request stay build 1 , likely accommodate trouble.- need water room provide call request , head fitness centre pool , ton free ice bottled water available- get airport hotel vice versa choose take cab ask take residential street highway , trip much fast cost less.- free access MGM pool keycard lazy river available use ' need tube float , want one feel free rent bring well cost , ' buy one big , make sure ' single double more.- Miracle Mile shop close Signature right strip , Walgreens close pick anything might forget pack , even snack early morning late nights.- Kitchen fully stock dish cookware anything need- want get Fremont North strip " deuce " bus ticket $ 7 24 hour pass much want use , lot tourist use bus ' great easy use non - local . go open mind come back nonstop smile . 
 Jun 18 2009 	 could not choose well 	 stay Vegas 5 day wedding part honeymoon trip signature perfect . book one bedroom suite 34th floor Tower 2 . balcony look strip one way bedroom window look strip way , amazing . everything incredible , bit nervous wreck getting marry etc staff could not helpful . even point able let know year later room return 2nd anniversary next year . ' walk ' seem downside mention review read nothing , mention move walkway 's minute walk anyway - handy able pick litre slushy slushy bar way lol.the disappointing thing , book MGM Spa wax spraytan day two wedding , show appt refuse underarm wax unless another service facial well . not need anything apart underarm wax tan , certainly not go risk facial breaking wedding ! ! MGM concierge great though book another hotel 's spa service want . MGM Spa charge keeping appt , sort promptly Signature . look forward return next year , stay 10 day time totally relax enjoy . 
 Jun 17 2009 	 Loved ..... 	 get back girl trip 3 we stay @ signature . good review true . beautiful room , walk bad @ & amp ; Tower 3 farth MGM , & amp ; great service . fact reason ' m add tell everyone great service . order water every day . prompt & amp ; bring great addition hotel , Robert . give we great advice place go & amp ; even come back present ( Corona & amp ; Hard Lemonade ) head one night . Tip well come room ! ! ! love everything & amp ; can not wait go back ! ! far first choice Vegas . 
 Jun 17 2009 	 fantastic retreat Vegas 	 stay signature last week . 4 adult 4 child 2 bed condo 4 night . book via internet owner , get free wifi , free gym & amp ; access area ( pool Signature & amp ; MGM ) previous poster say gym good , disagree . state art equipment , cold / iced towel , free water & amp ; clean & amp ; well look ( use Tower 1 gym ) feel need go MGM gym . we eat Rainforest Cafe first night . rip . go TGIs Orleans Hotel next night , pay half pay Rainforest well food . go bowling , great fun . also order pizza online Dominos one night , arrive 25 min later condo door - perfect ! many say Vegas kid , love . signature nicely hussle Strip , close enough dip & amp ; . Lazy River MGM great , head mid afternoon , spend half day peaceful pool tower . we return ! ! ! 
 Jun 16 2009 	 favorite Vegas hotel ! 	 go Vegas conference , bring girlfriend along , stay signature second year row even though conference different hotel . quiet luxurious . room spacious , clean modern . especially love service , always available padded lounge chair pool , lay back vibe . location also excellent . mind 10 min . walk MGM . , signature pool thing , also use much large trendy pool MGM Grand . recently stay Encore , prefer signature far ! 
 Jun 16 2009 	 good value disappoint Vegas 	 hotel nice one - nice big room , quiet , good value , service good , etc .. etc ... complaint item really . however , aware ( 1 ) 's bit dull / boring ( lack fun , energetic vibe real resort ) ( 2 ) fairly long walk MGM Grand ( ~10 min ) across bunch dingy 80 - era people mover ( 3 ) 's REALLY hard get cab fri sat night ( 4 ) not access thing like Wet Republic MGM ( need pay extra ) ( 5 ) gym suck will pay $ 25 / day work MGM gym ( like ) serious gym rat . ( 6 ) business center ( $ 1 / min poor - quality internet ) highway robbery . b / c prob . would not stay , vegas experience look , good value . 
 Jun 15 2009 	 wow beautiful hotel 	 everything hotel top classpool small lovelyRooms fab jetted bath really comfy bed full fridge side take get back strip walk MGM 
 Jun 15 2009 	 excellent stay ! 	 spend 2 night junior suite Signature ( tower 2 ) love hotel . room spacious clean modern look . bathroom quite large double sink , granite countertop , jacuzzi , large shower , small flat screen tv . room kitchen area granite countertop , full - size microwave , blender , toaster , mini - fridge , stove top , coffee machine , eat utensil , cup , bowl , plate , etc . could pick grocery cook meal want . coffee room taste quite good - like typical yucky coffee find hotel room . be also starbuck coffee closeby Tower 1 short walk . king size bed flat screen tv room , sit area ( love seat , chair , coffee table ) desk area . room also balcony , outdoor chair balcony would nice . view strip view be great - can not really see lot strip . service good . one minor problem hair dryer stop work bring new one within 10 15 minute . we make researvation phone reservation line . sign 2 night stay romance package . upon check - in , seem problem package not reservation . call ahead confirm several time , sure issue , explain , correct issue give we package , not problem . signature little bit walk MGM Grand , move walkway part way really not think bad walk , although would probably ideal people mobility issue . signature casino 's completely smoke - free ( can not even smoke balcony ) , always walk MGM Grand . nice away strip casino . signature nice , quiet , relax place stay reasonably price . would definitely stay . 
 Jun 14 2009 	 excellent property ! ! 	 first book room Luxury Suites Intl upon hear bad thing cancel book MGM . match rate LSI even waive resort fee . resort fee opinion waste money . get 2 tiny bottle water , access gym wifi $ 20 day . MGM , include price room . stay Jr. Suite great . come balcony 25th floor . clean , airy spacious room . bathroom nice , separate shower tub . could use extra trash though one near toilet . jacuzzi tub great bath robe oh - so - soft . good part inhale 2nd hand smoke pass mile slot machine way car . hotel valet parking mean could room car 10 minute wait valet bring car . long walk parking garage . tower 2 walkway MGM feel long . pool area really nice . room property modern great decor amenity . will not regret . 
 Jun 13 2009 	 luxurious relax hotel heart Vegas 	 choose hotel non smoke non gambling . go Vegas show , gambling . hotel oasis calm serenity . room good . link MGM Grand via internal walkway . checkin checkout quick , unlike typical Vegas experience queue seem like hour . overall , great place stay . 
 Jun 12 2009 	 Great Hotel 	 signature top quality hotel great place stay Vegas . check breeze , one line upgrade penthouse suite without even ask . the room amazing . huge comfortable bed pull bed great . minibar place fridge , think much well minibar tend expensive . balcony great place relax drink look great place Vegas . the hotel spotless , maid great . never leave without towel toiletry . room service excellent . bad thing say hotel long walk MGM casino bring bottle beer pass time . get back trip find , could exit tower 3 Planet Hollywood 5 minute . I would problem stay hotel like try different hotel vist . 
 Jun 12 2009 	 New Favorite Place Vegas 	 stay multiple hotel Vegas Signature preferred destination . room gorgeous ( complete kitchenette ) view upper floor great . be also refreshing come elevator immediately meet & quot ; ding , de , ding & quot ; crowd . yes , walk little 's worth . 3 minute walk MGM pool be go , cab service hotel easy . also 4 minute walk Planet Hollywood 's mall . we stay Hotel Mandalay room nice half cost . owe check . 
 Jun 10 2009 	 could ask stay Vegas 	 stay four five star hotels/ resort first stop Signature . read researching , wife 6month old ready delight well expect ... junior suite tower2 request strip view get problem ( book MGM Signature directly stay 3night get 4th n / c ) . room spotless housekeeping great job . room service fast food great . quietness room stand loud town like Vegas everywhere busy loud quite refreshing getaway crowd yet still walk distance action . love pool service excellent well ... hire great babysitting service ( Grandma Dotti 's ) really help Wife get serious fun . not think stay anywhere else great room , service , etc . well location tout close action strip yet provide unparalleled tranquility like signature . 
 Jun 10 2009 	 Great Bachelor Party Rooms -- ready long walk anywhere 	 check fast easy . accomidate group 11 guy accross 3 room floor ( 20 ) Tower 1 . room great view , accomidation , etc . Master Suite come whirlpool tub , room tv watch shower ... neccesary , nice perk . the view great . downside be 10 minute walk back MGM Grand another 10 front , exit strip . semi convenient get Monorail , not use often ... great stay , get comparbly price MGM Grand , definately worth . pay much stay far away may worth romantic special occaision . 
 Jun 8 2009 	 perfect way start married life 	 stay signature first trip Vegas also wed honeymoon . find signature BEST hotel ever stay ! could recommend highly . attention detail room second none : room spotlessly clean could ask anything . jacuzzi perfect way relax hour walk Strip . service hotel excellent . slight criticism hotel little way strip- major walk , be tired want get back , traipse MGM Grand walk along East Harmon Ave . seem take forever ! 
 Jun 8 2009 	 quiet relaxing stay Vegas ... 	 yes know . word quiet , relax , Vegas not generally go sentence . MGM Signature , possible go Vegas , relax pool , see show , enjoy stellar customer service without wade smokey , noisy casino maraud pack drunken 20 something . three night signature good time ' ve Las Vegas age ! studio suite Tower 3 spacious , bed incredibly comfortable . Mini - kitchen , granite countertop , large jacuzzi tub tile shower , even large bowl fresh fruit add comfort . staff incredibly attentive call name moment arrive . daily $ 15 resort fee need add budget . cover towel service pool , broadband computer hookup , fitness center use , etc . bit disappointed pool Tower 3 stay open Sat Sunday walk cover passageway Tower 2 use pool . access signature tower completely separate rest resort , mean come go easily without negotiate casino Las Vegas Strip property . definitely look MGM Signature future trip Vegas 
 Jun 6 2009 	 not book hotel Luxury Suites Intl . ! 	 book Luxury Suites Intl 2 bedroom condo save little money room par . carpet stain dirt , moth , etc . , beside lamp niche light not work still not work leave . Door hand come offf closet , cleaner terrible job , pillow couch rip stuffing come . book direct hotel want stay get well room decent service . Luxury Suites Intl . refuse refund anything spend good part vacation try get service do ! 
 Jun 6 2009 	 Excellent 	 hotel amazing . check fast . staff friendly . room massive , one bedroom suite view strip . could sit balcony watch going strip . definitly worth money . stay next time go Vegas . walk MGM problem - move walkway cover route . enter MGM back mon - rail restaurant . 
 Jun 5 2009 	 great location privacy Vegas 	 stay 1 night April busy trip . 3 we share 2 bed room , plenty space amazing view ! private parking easy access make hotel feel special straight away . check - in quick easy room spotless . the air condition walkway give really easy access MGM , be ever 5 minute away food , shop club ! breakfast hotel amazing , well worth ! want something special would recommend hotel anyone , future long weekend vegas will go something cheap . 
