hot 	 New York Helmsley two - and - a - half block Grand Central Station even close Chrysler Building , Bryant Park street . shop real close , starbuck local little place grab snack . NY Helmsley within walk distance Madison Sq Garden ( 20 min ) , Radio City Music Hall ( 15 min ) , Rockefeller Center , Times Sq .. ( 15 min ) brisk walking . great location . stay 36 floor room nice view , opinion . opposite side hotel view Empire State Building , side Chrysler Building look side , diagonally leave , right could see part Queensboro Bridge . room HOT , warm good . control air keep window open whole 4 day . lobby restaurant due renovation , tell would do mid December , know book . room pretty clean find sock bed someone else 's stay . towel , bathroom soap great robe provide . coffee pot room , refrigerator , microwave room . dbl bed seem small use , comfortable ! ! would stay right price . 
 nice stay would appreciate inform ongoing renevation 	 Third stay hotel although first one three year . room excellent , staff friendly however would much happy tell renevation lobby . bar hotel , lifts kaos times ground floor pretty much building site lift system part improvement . still nice stay would much happy tell booking certainly would influence hotel choice . 
 Dec 31 2007 	 New York Magic 	 stay 22nd December 5 night Christmas . please hotel . room fab , lovely spacious . bed comfortable welcoming long day walk . staff helpful , especially Maki reception . bell boy also helpful . downpoint stay Christmas dinner ( pre - booked ) . meal hasty . green salad wilt chowder lukewarm . not even finish start could see main sit wait counter sit go cold . order warm apple caramel dessert arrive refrigerate cold nice . however , even though really dissappointe , take away otherwise enjoyable stay . would definately stay would recommend friend . 
 Dec 31 2007 	 location location location 	 spend 5 night hotel 7th December . like one poster , check tell room not ready credit card detial etc tell we would ready return . party 7 girl spread across three room want stay togethter . return tell room give one else would make another . manager deal friendly overconcerned upset . new room safe move time back floor friend . apology manager front desk embarrass . hotel location fab ! ! 15 minute walk macy 's , Grand Central 5 minute walk . deli next door well ! manicure pedicure next door $ 30 . bell boy attentive . room spotlessly clean spacious new york room . bar hotel welcome oasis day shop , though wait staff could little smiley ! would definitely stay ! 
 Dec 29 2007 	 comfortable hotel 	 comfortable hotel , conveniently locate near Grand Central Station . ask room city view advance , get nice room 36th floor overlook UN building Chryslerbuilding . 
 Dec 24 2007 	 Great Hotel Excellent Location Value 	 great hotel , staff accommodate , wonderful location excellent view city . hotel little date even recent renovation . even say wonderful time , would recommend anyone stay . 
 Dec 24 2007 	 NYH - great location good value 	 group 7 visit NYC shop Christmas atmosphere , stay 4 night could not really fault hotel . reception staff friendly welcome porter always please help luggage shopping . one porter quite happily escort room not like use lift ! ! fabulous deli . right next door great breakfast snack , well situate subway bus . twin room great , comfortable bed good sized bathroom . triple room request exactly twin , i.e . two double bed mean 2 people share bed , previous experience standard NY hotel . hairdryer provide kettle . 19th floor overlook 42nd Street fantastic view Chrysler building rest party 20th floor look 41st street great view Empire State building really feel part New York soon arrive . 
 Dec 16 2007 	 Pleased 	 return NYH say pleased . want good location , cleanliness not want break bank . end , go NYH glad . location fantastic - walk Times Square 15 minute subway less 5 minute walk . room large , clean view Chrysler Building stand right spot . bathroom spic span load hot water . find staff accommodate glad bar restaurant build one particularly long , cold day . bar nice atmosphere martini pretty darn good . good deli next door breakfast - pax . problem room hot , despite turn heating . time window open . bit noisy - even 34 floor - 's ny . overall , would stay would not hesitate recommend . nice , large , good value hotel . 
 Dec 15 2007 	 Good Hotel Great Location 	 arrive give lovely room please . go hour find return could get room . tell reception could get key card work inform we someone else room move baggage another room ! . unfortunatly leave passport money old room new customer ! good start . although get everything back management appologetic . bad start thing get well , say room clean , bathroom . hotel also 10 - 12 min times square , 4 min central station 15mins Empire State Building , well situated . Harry 's Bar hotel nice place drink Bar Tender ( Orlando ) friendly . breakfast John 's Diner road , ' New York Diner ' ish , also lot cheap hotel . staff reception generally helpful , view floor ( 29th ) Chrysler building street ' awesome ' ! . although initial problem would stay . not forget visit Ground Zero move . 
 Dec 10 2007 	 Big Disappointment 	 travel agent New York many time . stay large well boutique hotel . return last night 3 night trip take four couple . book New York Helmsley midtown hotel $ 400 per night . pay $ 395 website say property recently renovate .... can not true . old , date hotel . Mildew shower curtain , would not dare take bath due & quot ; tub ring & quot ; . picture mirror wall room . Old , navy blue print bedspread ..... not dare sleep . heater temp control work .... high entire time . toilet run constantly . arrive hotel person offer help luggage . arrive taxi take bag trunk , check take bag room ! ! terribly disappointed ..... would never stay would never RECOMMEND clients.jane GuilloryBox Office TravelLongview , Texas 
 Dec 7 2007 	 fault find 	 return first trip Big Apple . chose hotel hour trawl Trip Advisor not let we . staff friendly , welcome polite room clean , comfortable quiet . upgrade Premier room feel worth extra bit space give . downside price drink Harry 's bar , come bit shock . experience teach we , though , spirit always seem come double measure ny price match , seem bit unfair hold minus hotel . also , although right top Chrysler Building far Grand Central Station , little bit away majority main attraction , mean extra walking . not bother we something take account mobility problem . 
 Dec 7 2007 	 Superb Hotel 	 stay four night lovelly room 34th floor ( 3401 ) . view street behind hotel not mind mainly dark room . large room seat comfortable bed great suffer bad back . location problem close Grand Central Station . ok use London Underground problem Subway . service great never wait long lift . would recomend Hotel anyone . 
 Dec 2 2007 	 great hotel 	 stay hotel two week . large corner room 33rd floor ( 3319 ) . quiet clean , huge comfortable bed good view include Empire State Building . second time ' ve stayed - think location excellent . be near subway busy enough street problem get back late night . couple small gripe : & quot ; business centre ' consist two desk two computer be always use . even not - cost , something like $ 10 10 minute - prohibitive . discover McDonald 's round corner 2nd Ave . two computer charge $ 5 30 minute ( not eat ! ) . also 2nd Ave ( right come hotel ) 's food store delicious salad hot food take away . travel subway - not worry . be fine fast , though train frequent London . also sign good . always ask direction . 
 Nov 30 2007 	 perfect stay 	 second time new york stay hotel definately return . staff helpful . stay three girlfriend one room , spacious.the hotel locate close grand central station . would 100 % recommend hotel.also fab deli right next door wonderful staff . 
 Nov 30 2007 	 great position 	 helpful staff especially consierge . grumpiest male deputy manager i'veever meet unhappy one . food average next door ` pax ' get breakfast eat take back room reasonable . refreshment tray room might want take travel kettle etc . like drink first thing . old hotel fine , room large lot town bathroom old fine clean . walk everywhere hotel , doorman easily whistle taxi really reasonably price . remember ask high room get good view . pier 17 area near wall street definatelyworth visit , lovely view , nice little shopping center good barsplus short walk helicopter trip place would recommenddoe sure weather good ( book hotel consierge ) plus 10 minute walk World Trade Centre site want visit . St. Pauls chapel opposite WTC definately one visit - move . regard shopping watch independent electrical retailer seem advertise cheap offer window camera , apple ipod etc . , not materialise shop . good stick try test big shop radio shack gadget . easy blow absolute fortune much watch . remember add approx . 10 % sale tax everything see also restaurant suggest 20 % bill gratuity bump ( sale tax well ) . would definately stay hereagain . 
 Nov 28 2007 	 great location good size room 	 great location Mid Town , spacious room . clean , little kitsch ( deco bit old fashioned ) otherwise good hotel bar , restaurant parking next door . 
 Nov 28 2007 	 great hotel excellent location 	 stay Helmsley 5 night start Nov. Old fashioned decor hotel , spotless room quite big . stay 24th floor nice view 42nd St. Fab location - 10 min walk Time Square Empire State Building 5 minute Grand Central Station . Reception Check staff nice helpful . door man friendly alway ready chat joke . security night time , intimidate guest . complaint concierge ( woman ) dismissive we ask question internet access business centre refuse go turn back one pc 's turn ( there s 2 pc 's ) . tell wait ! apart , would highly recommend Helmsley ! oh , not use ATM lobby weekend . wait money come almost 15 minute tell reception staff never money weekend ! 
 Nov 27 2007 	 nice touch 	 Superb mid - range hotel touch class . nice room good view Chrysler Building . staff courteous helpful . eat dinner twice . great definitely bad . worth visit , like we , could not face hustle bustle busy day . would definitely stay again . some nice touch free bath robe New York Times weekday . good rate Manhattan . great location , centre everything . block airport bus want travel way . 
 Nov 26 2007 	 Helmsley new York clean comfortable ! ! 	 return 5 night stay New York Helmsley Hotel please cleanliness comfort hotel . well place , minute walk Grand Central Station Crysler Building 10 min walk times Square . eat bar food ok lot place eat nearby want try different place . pershe Square diner good quality breakfast ( opposite Grand Central Station ) consierge helpful , staff reception liitle sour faced butoverall would definitely stay problem . 
 Nov 13 2007 	 love location 	 husband stay rom 27th October 07 4 night join QM2 Cruise . room 19th Floor complaint . check excellent staff friendly helpful also . conscierge helpful . enjoy dinner use bar night - I think fridge tea coffee making facility would make 100 % . hope visit New York definitely use hotel - location perfect 
 Nov 13 2007 	 great place 	 stay 2 night New York Helmsley recently . lobby Harry 's Bar fine . staff courteous accommodating . room clean , bathroom large . plus . problem : bed terrible- lumpy , old , almost impossible sleep . addition , air conditioning work . first go room must 85 degree , heat blast radiator . attempt adjust thermostat unsuccessful eventually able shut heat . room remain warm duration stay . summary , would recommend New York Helmsley , especially give high price . well option NYC . 
 Nov 5 2007 	 Great locaton 	 stay 5 night end October . good thing hotel location . walk everywhere , Time Square , 5th Ave , Central Park etc . room ok , bad fantastic . stay standard room perhaps would worth pay extra superior room . not much view low floor . curtain not close property like previous reviewer also trouble shower / bath . positive side , room clean bed comfortable . we eat dinner one night . food lovely little expensive . bar area quite nice food seve ok . overall , happy enough hotel especially spend time . think maybe return would go superior room maybe splash nice hotel . 
 Oct 28 2007 	 Nice hotel bit ' tired ' 	 New York Helmsley nice hotel great location - near Grand Central access train Subway easily . block walk Time Square , plenty shopping restaurant visit . spend 3 day hotel ' upgrade ' we ' room view ' 37th floor , mean go king size bed room 2 double bed - view worth . floor quiet complaint . room nicely decorate quite ' tired ' looking . re - decoration would allowed we give much high rating . room large flat screen tv room safe . bathroom small adequate - wallpaper peeling seam , vanity mirror drop frame . free WIFI internet available room however , issue getting log - actually use another guest ' detail ( per front desk ) ! perhaps bit fussy , price hotel cheap feel cost room , top - notch ; , NYC nothing really inexpensive . think least coffee / tea facility room . , serve purpose not think stay next visit NYC - many hotel try . 
 Oct 25 2007 	 Great Hotel Great Loaction 	 stay week wife 2 teenage daughter . room quiet clean , staff courteous effiecient . check breeze long flight check . breakfast deli next door . two minute nearest subway 5 minute Grand central good choice eatery . would stay future NY trip . 
 Oct 24 2007 	 disappoint 	 reading review amazed . find room plain dirty need major sprucing . fancy light crystal bathroom not make dust encrust . bathroom leaky sink , caulk shower gross . also , tub shower faucet run time . seem one time may nice need major going . mention tear sheet . plus side , people work nice pleasant . 
 Oct 21 2007 	 happy time New York Helmsley ! ! 	 stay January boyfriend . door staff friendly greet we get taxi . check quick staff helpful . email staff day arrive request room view Chrysler building , note system first offer we room low floor , ask room high building think would noisy lower , offer we room top floor partial view Chrysler building . accept room really glad book standard room upgrade premier . remember room number last number hotel . we walk room spotless lovely view Chrysley building fantastic vie New York . flat screen television wall empty fridge put thing . concierge also helpful , hairdryer be not work within 10 minute replacement . also toilet flood one morning plummer within half hour ! ! love location hotel , hustle bustle times square 10 minute away want walk . Chrysler building way central station 2 minute walk away . pax deli next door delicious , take breakfast bedroom one morning hotel see take seem mind all . I would absolutely hesitation go back hotel , fact honest do not think could stay anywhere else everything perfect actual room location hotel . 
 Oct 18 2007 	 Great Location large room New York 	 great time hotel . location great - great view Chrysler building hotel window ( 18th floor ) Grand central short walk away . make sure ask refurbish room - carpet lay paintwork still new - lovely ! read mixed review doorman / porter hotel little wary staff always pleasant . large queue check move quickly . security elevator night check room key - good . pax deli next door great ( pancake though ! ) also , try nail bar next door - special offer pedicure manicure $ 35 - excellent value fun experience teenage daughter . 15min walk Time Square . 
 Oct 17 2007 	 Pleasant New York Hotel 	 really lovely hotel partner pleasantly surprise . stay Valentine 's day perfect romantic getaway . fantastic view Empire state building room . it great location- near many tourist attraction e.g Chrysler building , Grand Central Station , Times Square Empire State building . room clean , tv load channel choose from . the staff really helpful pleasant well . I would also recommend dinner hotel really great food . Valentine 's day meal extremely cheap- $ 20 three course gourmet meal drink ( beer wine ) include . Hotels New York often bit hit miss one real gem . 
 Oct 16 2007 	 great hotel view Chrysler Building ! 	 stay hotel early October double double room . room large comfy bed plenty towel etc . check - in staff friendly concierge really helpful ( although female concierge bit snooty male travel companion ! ! ) . room view Chrysler Building look leave United Nations look right - exciting ! location great - short stroll Central Station subway plenty restaurant direction breakfast / dinner etc . really good hotel - would stay . 
 Oct 16 2007 	 complaint 	 two stay two night New York Helmsley Hotel . please good sized room spotless cleanliness . location desireable transportation cinch bus run front hotel subway close . breakfast twice hotel restaurant room service . food good seem overpriced . 
 Oct 15 2007 	 New York Helmsley .... fabulous 	 fabulous place , pleasant , helpful staff , clean , quiet calm . wonderful location ... central everything one could need . recommend book direct hotel . manager accommodate generous person could hope . definately visit , need look . 
 Oct 15 2007 	 Great Central Location 	 stay hotel 3 night ( Oct. 3 - 6th . ) start cruise . the hotel great location , near Grand Central Station Chrysler building . ask one renovate room upper level none available , give room 22nd floor . next morning front desk call we tell we one upper room available offer move we . feel followup beyond call . professional appreciate , however declined feel high enough . complaint room coffee maker , refrigerator bottled water available . also misfortune awaken 3:00 hotel 's fire alarm go fire engine arrive 22 floor window . gather hall along rest guest floor plan escape staircase . repeat unanswered call desk downstair start escape . finally voice break English come across public address system false alarm . disabled walk cane . would never survive 22 floor escape . love New York City would probably consider stay next time lot low floor ! 
 Oct 11 2007 	 2nd visit - good 1st 	 return Helmsley 2nd time within year wife take 2 daughter time . I give Hotel 5 * 's last time review not change . location price can not beat opinion complaint Hotel food drink pricey . staff great , location great , room great - want . 
 Oct 11 2007 	 absolutely stunning hotel 	 complete Eastern Us tour book tour hotel early . arrive New York Helmsley 11.00 early US standard room suppose vacate 12.00noon . we pleasantly surprise friendly helpful desk staff , book we room immediately without extra charge . even able choose smoking room floor reserve smoking room . lot traveller really appreciate comfort vz stand street corner quick puff . the room large double room 27th floor face East 42nd Street . room clean , well appoint , modern , feel 5 starish , view fantastic . look leave see Chrysler building 's glory , right see United Nations building . the bathroom also modern , clean , lot towel , shampoo , soap etc . also small refrigerator fantastic . the Hotel really classy price pay , close many main sight see attraction perfect sight seeing mission be . we day , return sightseeing , room make everything perfect . we unfortunately sample hotel 's food , go , grab breakfast next door PAX 42nd Grand Central Food concourse must 40 food outlet , every type food conceivable reasonable price . our compliment management staff polite helpful . always go back New York Helmsley East 42nd . recommend hotel everybody look really classy 3 - 4 star hotel . sorry . Bruno Swanepoel54 Prince StreetAthlone ParkAmanzimtotiKwazulu NatalSouth African4126You gladly contact brunosw @ telkomsa.net 
 Oct 7 2007 	 Great Hotel Great Location 	 Booked hotel reading review Trip Advisor . many NY hotel really bad review . disappointed Helmsley , great . ask room high floor view Empire State possible exactly get ! spacious , well appoint room top floor fab view . - perfect ! ! Thankyou staff make happen ! recommend River Hudson dinner cruise EXCELLENT Marriott Marquis Hotel revolve restaurant 47th floor also well worth visit . food really good . say food every else include small deli . first trip everything expect well . not forget Statue Liberty , Empire State , Ground Zero , United Nations , Brooklyn Bridge Rockerfeller Center , course show Broadway ! manage get ticket tkts Mama Mia great ! 
 Sep 29 2007 	 Excellent hotel 	 stay Sept 2006 come back March 2007 . hotel excellent location 42nd St short walk UN Building . we give room high floor overlook 42nd St excellent view Chrysler Building . the room spacious . breakfast deli next door supply fridge room , could keep milk drink room . got excellent rate hotelclub.com . staff friendly 2 internet station use free . would stay hesitation . 
 Sep 26 2007 	 good location 	 one night business stay . room average size New York Bed comfortable . Room consist 2 bed . plasma screen wall . internet free via Wi - Fi , would nice wireless keyboard room not computer you . no coffee tea facility . bathroom equip Gilchrist Soames toiletry . Bathroom look , feel little old . have dinner restaurant . food excellent , service good price bad either . trouble , restaurant look date indeed . good location - couple block everything really , almost next Grand Central Station . would stay , feel like pay huge amount - , hotel look stay seem like price massively increase . 
 Sep 18 2007 	 Great Location 	 great location . clean . friendly staff . security 5 * 's . eat next door pax deli . side - no coffee / tea make facility rooom . 
 Sep 17 2007 	 great location 	 back five day family trip NYC Ireland . NY Helmsey hope . well locate , clean friendly . room twenty first floor brill view ( go spend time look window much see ) . eat hotel instead breakfast ' pax ' next door ( good value food handy ) .We find great place eat evening ( Libretto 's 3rd . avenue ) . hotel door turn leave . leave 3rd . avenue find seven minute walk away right avenue . great atmosphere load good italian food nice wine good price . family love . will Hop Mott Street China Town another good experience family meal . chinese ' cafe ' basement busey well use newyorker ( try see native go ) .If stick time ( one evening go show ) nice way fast food find frill outlet past next door McDonalds leave past Grand Central ( 42nd.street hotel ) . pizza pasta dish make preference watch . sit eat pipe hot plastic bowl plastic knife fork bottle soda water . tip trip would . go Rockerfeller Centre morning Empire State evening ( go 11 pm find que short ) .We find newyorker general either rude nice rather get annoyed , let competion find rude nice . feel safe anywhere go can not wait go back ( case head NY Helmsley ) . 
 Sep 13 2007 	 Helmsley Hotel 	 stay hte Helmsley Hotel New York three night . fantastic ! ! could not close great sight New York . view window theChrysler Building 5 min walk Times Square . Grand Central Terminal 2 min away . food wonderful service immpecable highly recommend 
 Sep 4 2007 	 everything need great NYC experience 	 return NYC last night , must say , hotel pretty good . it be close location Grand Central/42nd St. subway station great ! walk block half be there . the room good . yes , little outdated decor - wise , 32 & quot ; flat screen totally make ! room quite spacious , bathroom nicely do . the complaint hotel , concierge clue talking call get info airport shuttle JFK . talk two different people tell hike 42nd 5th/6th Ave . would find bus pick - up . 84 deg . NYC yesterday afternoon ... husband & amp ; high - tail 4 - 5 block location luggage find bus pick - up NEWARK airport ( yes , mention fly JFK three TIMES call concierge ) ! ! ask bus driver JFK pick - up lead we right direction - 3 block back come . happy girl ... kind leave bad aftertaste experience NY Helmsley , would still stay chance arise . 
 Aug 31 2007 	 Ideal Location 	 Helmsley ideally place short stay New York . able walk location , bedroom bathroom clean room service good . downside coffee make facility room , restaurant open summer , although food available bar . pop next door Pax morning caffine fix ! would certainly stay . 
 Aug 22 2007 	 great hotel poor reception staff 	 hotel good aspect apart somtime surly attitude female member reception desk one even sneer offer settle extras account end stay traveller cheque make obvious like extra work entail . ask high floor get eleventh room clean little date comfy bed two people staying room could work 
 Aug 21 2007 	 warn ... 	 make sure bring credit card ! even though Book prepay Helmsley Hotel New York via Expedia.co.uk . ask pay $ 100 pernight stay . money refundable leave . sort cover insurance ... carry traveller cheque safety- New York , disappointed do not go ot way accomodate . this concern . 10 hrs travel , be not welcome surprise , mention anywhere book Expedia . , good hotel , really nice employee mar inflexible ' do book ' attitude . 
 Aug 17 2007 	 Fantastic 	 would recommend Helmsley anyone visit New York . hotel excellent amenity describe . staff wonderful really helpful . security great . fault Helmsley . panic arrive tell agent refurbish room . contact hotel say case . however , arrival manager do say give room 29th floor great view . definately stay Helmsley return New York . brand spank new Gym use hubbie teenage son . 9 year old love ice machine corridor ! room spotless daily maid service . 
 Aug 16 2007 	 little date great location ! 	 room ok , little date , nice comfy bed , 34th floor view be not great . lobby plush staff excellent , helpfull . little shop lobby floor 3 payphone restroom . everything clean well organise , good thing hotel location ! grand central block , empire state , macy ` etc etc Times square list go ....... locate 42nd street east central perfect vacation . get taxis ` time position good could walk almost everywhere ease . we love Manhattan hotel great compliment stay ny ! * * recomende * * 
 Aug 13 2007 	 describe website . 	 stay four day , find hotel describe website , room spacious , clean comfortable . bathroom immaculate , however , one bath crack . soft fluffy towel plentiful . room service thorough . dining room staff food satisfactory , good value . downside bell boy gentle luggage valuable item get break . however , discover return home . overall find hotel staff efficient . 
 Aug 11 2007 	 good location . 	 enjoy first trip New York City 4 - 07 feel like receive good value / rate hotel . location good , 3 block east Grand Central Station within block Chrysler Building E 42nd Street . some problem room thermostat old building either heat , A / c . Mid April seasonal & quot ; shoulder & quot ; , turn unexpectedly warm . Furnace finally switch A / c third fourth day . , certainly glad able open window ; high enough floor not cause street noise another issue . due inconvenience , receive compensation management adjustment check - out billing . room amenity average , except in - room coffee maker . small refrigerator request provide w / no add cost . bed good ; closet , storage , bathroom adequate . 
 Aug 9 2007 	 belligerent security staff bad atmosphere 	 stay recently . hotel well locate midtown Manhattan near Chrysler building Grand Central . room clean nice view Empire State Building . heavy ( heavy handed ) security presence hotel - notably lobby . 6 year old accidentally lock bathroom door ( thankfully outside ) could not open . rang front desk send fix ? security guard shade ! mind manage get open walkie talkie maintenance guy ' disregard - REPEAT DISREGARD ! ! & quot ; laugh silly left . another night bar drink return room . immediately stop big security guy loudly question front everyone . want see room card point mehe begin eyeball posture aggressively . honestly think go throw . tell room number let go , sneer hurriedly leave scene . annoy ask name room number check front desk - instead seem intent intimidate humiliating ( succeed count ) . could give old baloney give room number ! ring manager complain . said & quot ; would meet department head discuss matter & quot ; . not surprised hear nothing . time feel threaten stay New York hotel . will definitely visit NY will give place wide berth . 
 Aug 8 2007 	 stay 	 room nice staff amazing . location good , easy get around Grand Central block away . go back stay . 
 Aug 7 2007 		 stench corridor unbearable ! room quite spacious ny term , beg renovation . location quite good , like stay mid - town . 's business trip NY - would recommend . anything - would aim well hotel . 
 Jul 29 2007 	 OMG ! 	 really nice hotel good location . stay many US hotel one far one good . all attraction close easily accessible ( foot ) .hotel room appear recently renovate clean . view room Empire State Buliding ! world - traveler96 signing ! 
 Jul 26 2007 	 love hotel 	 wow hotel fantastic , stay four night service , staff room great .The staff leave we alone would go way need be.the room clean spacious . I would strongly recomend ! ! ! ! 
 Jul 19 2007 	 Great Location 	 stay New York Helmsley first part USA holiday . never New York , really not know start . would look review site make mind stay . 5 minute walk Grand Central Station make really easy find way around . 39th floor good view . view Crysler tower really wonderful be lucky enough get they . the room really spacious , although not spend much time room . much New York , use hotel pit stop . stop sleep couple bar . bar staff friendly give we tip go when . we go back New York point look book New York Helmsley . 
 Jul 19 2007 	 NYC = Greatest City World 	 take short break NYC States always bite wary New York reputation have . have say totally unfounded - fantastic ! book hotel travel agent part package find good . clean staff friendly helpful . stay american hotel would expect nothing less . yes agree little tired overall , short break , perfectly acceptable base move around Manhattan . its 5 minute walk Grand Central Station , Chrysler Bulding , 5th Avenue , UN Buildlng Trump Tower . badly situate . if intend play & quot ; first time tourist & quot ; highly recommend Grays Red Line bus . buy two day pass hop wish take well know tourist sites inc . Empire State , Ground Zero , Wall Street , Central Park , Staten Island Ferry ( free trip Liberty ) , Madison Square Garden , Macys .... list endless ! fancy snack hotel try pax Deli right next door . great panini ever taste ! rest assure good hotel good location . 
 Jul 19 2007 	 wrong New Yorkers ? 	 stay Helmsley really annoyed service . first not book - even show proof , deny book . suggest may use illegal website . heavy persuading finally offer we room - swipe card incase lie booking . not know time , charge we room ! ! ! high late rate . then bag grab bag - boy ' Ralph ' seem understand instruction . problem fact US money yet give tip ( job badly do mind ) storm slam door . welcome NYC ! two incident put horrible start trip - thanks pathetic staff service Helmsley . bank refuse second payment finally find booking - apolagie bad attitude . the save grace - hotel nice location perfect . 
 Jul 17 2007 	 less impressive 	 Helmsley staff make terrible first impression . family emergency , person make original reservation unable present , call several day advance notify hotel manager tell two different people everything would take care check . nobody desk aware situation arrive , accuse lie speak manager get name reservation change . woman send recify problem unbelievably rude overheard refer & quot ; desk clerk & quot ; call mom problem , woman shout & quot ; name ! & quot ; might know introduce meet address problem , rather saunter counter , look sour face mumbling & quot ; yes ? & quot ; room ok , low floor sweeping view Staples Express across street , noise 42nd ( blare car horn , police siren , truck hit giant pothole every 5 second ) loud annoying . ' m usually hard please , combination rude staff subpar accomodation high price really disappointing . 
 Jul 13 2007 	 Excellent Holiday 	 family holiday New York July 3rd July 11th . Booked New York Hemsley Hotel online via website . book two room - irish family ! ! read review wonder whether good choice . location hotel make booking easy . location excellent , 10 minute walk 5th Ave . another couple minute Time Square , pass Bryant Park way . having experience hotel first hand , can not say enough good thing moment set foot inside door . Forgot bring adapter plug . Quick ring reception , one deliver room within 10 minute . housekeeping do daily , excellent service . conceirge helpful enquiry , bell boy ( especially Pat Mayo ) great chat help people either arrieve depart taxi 's . bar staff pleasant , drink bar every night . final recommendation - would book return New YorkDenis Cork 
 Jul 12 2007 	 highly recommendable 	 stay friend New York Helmsley end March . book hotel part package deal travel agent , not quite know expect . however , pleasantly surprised . ' ve think really hard can not quite find anything complain . staff friendly , room nice clean . location hotel good . 's 10 minute walk be Times Square ( be anything take picture go see real New York .... ) hotel highly recommendable view room absolutely stunning . bed beautiful view Empire State Building ... could want New York ? ! 
 Jul 6 2007 	 Excellent would stay Dublin Ireland 	 stay NEW YORK HELMSLEY 5 day mam sister love hotel . staff friendly helpful . the room comfortable location brilliant . bar lovely drink bed . can not believe bad review hotel . would recommend anybody would stay . 
 Jul 5 2007 	 Great Hotel ! ! ! 	 month research hotel New York City , finally decide New York Helmsley . stay 23rd floor . view window much building next door . room spotless , nice big bathroom . bed great . picky nervous . room clean maid service excellent , room service excellent . check around 10:00 need store luggage lot . store free , tip bell hop nice also return pick . everyone friendly . Read review carefull lot research . find thing people complain thing would never think . highly recommend hotel . perfect location sight seeing ! 
 Jul 1 2007 	 great location decent accomodation 	 look like hotel not touch since Leona work magic ( please note sarcasm ) late 80 . property need overhaul badly . on upside , staff nice helpful , bed comfortable , location outstanding complimentary WiFi . , not expect perfection , good value location ( next Grand Central ) . 
 Jun 24 2007 	 Good Hotel 	 stay New York Helmsley three night 6th jun 07.found room clean well lay staff friendly helpful location central would reccomend hotel anyone . ever get back New York try book . read negetive review nothing complain 
 Jun 22 2007 	 day Leona 	 Tthe hotel fine , near Grand Central . plush towel good feature . staff ok helpful . , gym supposedly renovate , charge $ 15 / day use nearby gym . also charge internet . provide Times , NYC hotel not . stay , cancel future reservation stay less convenient hotelbecause not want give business . appear do work interior since day Leona Harry . breakfast buffet horribly overprice , add 15 % tip automatically , line & quot ; additional tip & quot ; outrageous give little service provide buffet . 
 Jun 9 2007 	 helmsley stink 	 room reek cigarette smoke . pillow , linen , everything smell like ash tray . ask new room . tell none available ... hello 42 floor hotel . Theys say would remedy problem nothing . room , noisy even though 22nd floor . the fitness center hot , humid poorly equip . the staff helpful . I move another hotel next night courteous staff , quiet , clean room . pristine linen bathroom . relief get dump ! would stay free ! 
 Jun 6 2007 	 great location 	 find hotal wonderful base see city . first time NYC , book NY Helmsley part package travel agent two week trip . location perfect - could see Chrysler building less across street , five - minute walk Times Square . room little fussy slightly old - fashioned , spotlessly clean , bathroom . staff superb . hear much legendary service NY hospitality , personnel Helmsley live city 's formidable reputation . moreover , think represent good value . want quintessential midtown Manhattan experience , have happy return . 
 Jun 4 2007 	 LOVED VIEW 	 wonderful family week spend NYC . hotel certainly make stay comfortable . reception staff extremely helpful . recently refurbish room 26th floor amazing view Chrysler Building . brilliant location . within walking distance must - see sight ! . bed highlight 13 year old daughter 's holiday . already plan return visit take member family stay hotel . 
 May 30 2007 	 great value 	 New York extremely expensive week . hard find decent hotel less $ 300 night . one , , first - class hotel offer rate dense midtown area . willing spend $ 500 + night elsewhere , guest good luck you . after read nightmarish review bit apprehensive . book directly hotel give fine room 23rd floor . may way go guarantee one refurbish room high floor . hate street noise , ask room back street side . 42nd Street traffic 6 pretty loud . bathroom good size clean . bed fine . our corner room superb , view Chrysler building . breakfast good value nice dining room . as say , look value , book . hear get room cut - rate internet site might get good room . might play card right arrive . cheer . 
 May 28 2007 	 Excellent hotel 	 stay NY Helmsley May 18th-25th 2007 two year oldson . staff attentive friendly . room 30th floor nice , reasonably large , family - friendly ( nothing break easily , large bathtub , etc . ) . hotel also great location - close Grand Central Station , , importantly we , within walk distance Central Park . 
 May 26 2007 	 Fantastic hotel - well could hope 	 book directly via hotel website cheap option . allow we check early , give we room top floor Empire State Building could not friendly . room big expect clean . room service great good choice food . bar restaurant downstairs not use look nice . even small touristy shop reception . staff encounter incredibly helpful . hotel road Chrysler building . couple block one way United Nations 1 block way Grand Central Station . block Fifth Avenue . fantastic hotel superb location next time New York definitely stay . 
 May 26 2007 	 Great Hotel Great Location ... 	 return 5 night stay New York Helmsley think great ... read comment little apprehensive .. fear unfounded go room ... 29th floor newly renovate stunning view Chrysler Building go towards Grand Central Station ... room spotless bed comfortable ( one good hotel ) huge .. staff friendly helpful ... ( especially tell luggage arrive we ) consierge helpful sort we thing need luggage eventually turn ... problem wireless network business centre resident could use free ( tweak manage get laptop hook room ) .. hotel within easy walk distance many must see thing NY also Grand Central Station couple minute away ... look designer bargain $ 38 bus trip Woodbury Common Outlet Central Valley well worth shop till drop ... Century 21 also great shop designer bargain beside ground zero .. pax deli next hotel great breakfast snack ... would definitely stay .. 
