hotel 	 look forward stay wedding late September , surprised sign hard time subtle , affected husband . example , get locked room 2 time , wait 15 minute hallway go spa . time get ready wedding ceremony , stressful lost time . keycard would stop work . fuse blew , power trying get ready . happen also , come back spa , call hallway phone get help . luckily , right , employee randomly walking ask wait long -- know problem . say , call check . apparently , one even call Security get back room ! set key let , thank god . , wedding night , husband want order room service . little 10:30pm . tell room service closed night -- even though literature room brag & quot ; 24 hour dining . & quot ; fact never communicate we check in . I feel like quality service amenity slip . later hear something lot employee getting lay , maybe be people not interste provide good service . not think would recommend anyone stay Fairmont ever . btw , spa great hang , even be massage . 
 Great Hotel ! 	 really enjoy stay hotel- great location near Millennium Park . walk distance several wonderful restaurant , Navy Pier , museum , several site ! hotel nice roomy wonderful amenity . also , concierge extremely helpful provided we wonderful direction suggestion restaurant . look forward come back hotel someday ! 
 Jun 3 2007 	 great time ... excellent hotel price 	 great stay four - star hotel . member Fairmont President 's Club , upgrade suite lake view . hotel situate block Lakeshore Drive condo tower block view , love looking lake nonetheless . lobby plush ... squint , look like four Seasons . suite extremely well - maintain new carpeting wallpaper , style little like early 90 Ritz - Carlton somewhat underfurnished . bed bad , amazing . plasma tv . bathroom large mostly marble , shower stall cover cheap yellow bathroom tile ... weird choice since hotel date back late 80 , probably original room . another great thing ... hotel size ( almost 700 room ) , never wait elevator . make difference stay several day . on weekend arrive , hotel full family stay great weekend rate ( $ 199 ) . alas , one next door wake 6:15 scream toddler , apparently encourage loud obnoxious could parent next three hour . finally call front desk complain . rude family check , however , suite quiet . week progress , hotel fill nice , well - dress international convention crowd . make much nice stay . free internet access business center 30 minute ... nice touch , consider last Westin stay charge dollar minute go online . Valet parking $ 45 night , privilege . probably little well numerous garage nearby , much well . have one breakfast hotel 's nice restaurant Aria ... excellent service female server name Michael . rest time , walk little italian place next Hotel 71 river ( ask concierge ) . fantastic location , let dine outside . , 's Corner Bakery next door outdoor dining . weather permit , find 's great city dine outdoors in . the Fairmont locate south side river adjacent large Lakeshore East development tall condo tower . restaurant nearby , even few shop ... set far less touristy anything Michigan Avenue , relatively short walk away . good news easily walk amazing Art Institute new Millennium Park block south . latter feature stunning outdoor mirror sculpture highlight trip . they start build ( week ) 900 foot high condo / hotel tower across street call Aqua ( apparently house another Fairmont Hotel ) may block already partially obscure lake view . also , Blue Cross building across street also add 24 story height ... may noise issue soon stay Fairmont . Chicago middle building boom , ? , fairmont excellent place stay surprisingly great city . wonderful time , small part spacious suite well run hotel . fairmont ( experience ) not quite level four season Ritz - Carlton , get one great price , really tempt alternative . a Chicago tip stay ... burger place Sheraton block away really tasty burger riverfront location table outside . be also tavern / restaurant call ( believe ) Lizzie O'Neil 's next door sidewalk dining tree next river well . recommend tuna sandwich . if want see night scene Rush Street ( north end Michican Avenue ) , Tavern Rush pretty good food good sidewalk dining area . be lucky ( unlucky , opinion ) , may even get see solo Jerry Springer walk table check loud , happy people drink eat there . there be charming outdoor dining area Art Institute good food , really friendly service ( not always find Chicago ) amazing ambience leafy tree adjacent large fountain . definitely take architectural river tour Chicago 's skyscraper . go chicagoline.com detail ( several tour , company smart , classy job extremely well - inform guide even give free lemonade cookie ) .Good pizza find two block hotel Giordano 's ( chain Chicago ) . really good price , surprisingly good food . one last thought : never city ( include New York Beijing ) encounter ruder driver . cabby actively try run ( kidding ) enter crosswalk front , local driver almost aggressive . be unpleasant local trait city really need work . make appreciate courtesy L.A. driver give , be say something . 
 May 29 2007 	 terrific anniversary Mem Day weekend 	 wife spend 3 night Fairmont terrific time . arrive early ( 10 ) room available . mention person book phone anniversary trip info transmit desk . get lakeview room describe other , room large well decorate . bathroom excellent could use minor update . send chocolate strawberry first night give voucher full breakfast well drink hotel lobby . recommendation restaurant excellent . add get great rate phone , ie $ 119 night . perhaps , something Memorial Day weekend . event , Fairmont helped provide great weekend entire staff seem go extra step help . 
 May 24 2007 	 love 	 great location quality place stay . lovely large clean room queen size bed great . staff helpful put we onto great restaurant music bar . coleman front desk great guy meet first impression sell hotel us personality . the hotel deliver anniversary cake us room ( compliment hotel ) show care guestsMany thank great place stay . 
 may 22 2007 	 merit another stay 	 guest Fairmont April 27 May 3 attend International Trademarks Association annual meeting . hotel official one pay rate $ 239.00 per night . member President ' Club , complimentary internet service access Athletic Club . latter membership facility exclusive hotel guest . connect hotel off - site . take look gym find distance public nature facility off - putting . hotel well locate Magnificent Mile , Art Institute , many fine restaurant . room vista poster report : look high rise , park lake . , however , quite spacious featured welcome touch , like valet stand shoe polisher . bathroom separate shower bathtub . also ante - room vanity , mirror , closet particularly enjoy . fitting typical , bedding , include linen , comfortable . two bathrobe provide towel thick plentiful . deficiency term amenity -- coffee maker . la carte breakfast , however , serve feature pastry , yogurt , fresh fruit , coffee hotel ' beautiful lobby morning price point reasonable . formal breakfast serve hotel ' restaurant , Aria . ( review post ) .concierge service excellent . Gail Hailey suggest many lovely restaurant choice secure reservation limited notice . staff extremely friendly gracious . the hotel offer refresh service room evening require one call . two bottle water , turn , fresh towel , general cleaning room provide . service spotty . also problem regular housekeeping service . view hotel typically problem : litmus test hotel handle problem . ultimately feel hear hotel rectify issue . moreover , provide we use hotel ' Bentley one evening , complimentary certificate breakfast , send fruit plate compensation gesture . sum , enjoy hotel would definitely stay 
 May 14 2007 	 love Fairmont 	 never stay Fairmont one night stay know expect . thought would stuffy steered clear chain past . wrong . hotel reasonably price compare hotel rating . room view shore line three block Michigan Ave . bathroom amenitie nice soap smell lemon . casual brunch offering Sunday nice uncomplicated . could help toast , fruit , coffee , cereal ( price course ) . good thing room automatic shoe cleaner , thick bath robe , comfy bed pillow . 
 May 14 2007 	 great hotel 	 stay Fairmont month business / fun great hotel . room comfortable hotel neat old world style make feel like princess . staff able get we last minute reservation saturday night nice restaurant large group happy provide direction whereever travel . mention not seem able make suggestion anything beyond loop area suggestion good . staff great enjoy staff . 
 May 4 2007 	 great Stay Fairmont ! 	 stay one night last November ( 2006 ) & amp ; wish entire visit ( CP Silversmith 3 nt ) . move Fairmont last night take advantage & quot ; stay late & quot ; feature ; extra $ 20 & amp ; room 5 pm ! great deal catch evening flight home . room actually corner , 1 bedroom suite . Huge & amp ; really nice great lake & amp ; park view . comfortable bed , lux bathroom seperate shower & amp ; full marble bath . service excellent all - around & amp ; Aria , hotel restaurant good . personally , like location & amp ; find convenient sightseeing . internet access in - room free , access gym President 's Club member ( free anyone & amp ; really save money every Fairmont stay ) .I ' m go back later month & amp ; hope 's nice remember . pro : large , lovely room , comfy bed , free internet access , great staffcon : coffee / tea maker room 
 Apr 30 2007 	 great service complimentary ride bently great stay round 	 really let day arrive chicago 8hr flight hyatt regency look elsewhere room 5 day . fairmont offer great rate phone could accomodate short notice . room spacious spotless great view 3609 . concerige really helpful sort restaurant sport book front desk polite efficient . room service expensive especially bottled water . bed extremely comfortable . bentley ride really finish trip , have ask cab nowhere bell suggest take hotel car , feel like lord lady 15 min journey . really really great experience fairmont , would definately make favored hotel chicago 
 Apr 27 2007 	 Exorbitant Luxury 	 excited staying Fairmont , get . deal Fairmont Royal York Toronto year , sure would not regret choice . the room luxurious king size bed , wonderful sheet pillow . exactly describe website . temperature room right , view city great ! be get money . none standard item include . want morning coffee , call in - room dining , charge $ 6USD person delivery plus cost coffee . water room $ 6USD well , be thirsty , 's tap water bathroom . YUCK ! pre - arranged crib 10 week old son , advise upon check crib already room . except get , not . call , hospitality staff bring assemble Graco Pack N Play , drop unceromoniously room . know son would sleep , would ' ve bring home ! complement chef dinner first night . in - room dining , fantastic . couscous perfectly spice , steak right ! proper steak knife provide ! adventure try cut steak could call pointy butter knife ! overall disappointed stay Fairmont . instead feel pumpere expect , feel gouge . would not stay Fairmont . 
 Apr 17 2007 	 Tasteless Money grub 	 nickeling dim happen unit Five Ten dollar ! first charge premium rate include practically nothing ! room basically average small nothing special . over - all , experience tastelessness . fairmont name may legacy mining culture San Francisco , world dig every dime could get . sad . 
 Apr 15 2007 	 classic close 	 stay middle summer heat wave . air conditioning break , two fan , leave we stifle triple - digit heat house . would settle something much cheap , everything city book short notice ( , & quot ; room available next half hour ? & quot ; kinda short notice , 2 am ) .All say wow . take three day enjoy , even though A / c fix first day . time type luxury Fairmont something special , like tv watch soak tub , telephone answer without leave toilet . the knock Fairmont exactly unique , especially compare property , special property Chicago . property make big fan Fairmont . 
 Apr 7 2007 	 Best Hotel Chicago 	 stay 10 - 11 different hotel Chicago past two year , would say Fairmont good choice money . clean quiet , offer everything traveler could need . unlike large hotel , play ground kid . staff great actually care . great spot business travel . 
 Mar 20 2007 	 call nickle dime hotel 	 hotel staff nice , room describe , lake view beautiful ( get free upgrade Deluxe room ) . two major problem : pool / health club , although describe site , & quot ; adjacent & quot ; hotel Lake Shore Athletic Club , per person / day fee $ 25 continentalbreakfast charge item ( example $ 1.50 piece fruit , $ 3.00 single bagel , etc ) . 
 Mar 11 2007 	 Classic elegance everyone 	 enter lobby feel like slip & quot ; bluesy & quot ; Chicago splendour . hotel fantastic account , well locate Millenium Park Magnificent Mile , within 5 minute walking distance . stay hotel come expense , well - price consider get return . would definitely go back again . the hotel 's service faultness . hotel staff exceptional everyone make extra effort make feel welcome home . sense personal pride genuine interest seem motivate service excellence . my room spacious , great view Navy Pier distance , provide comfort include great mini bar , unbelievably comfortable bed luxurious bathroom dress area . think layout superb . qualm would expected glamorous bath go rest room , perhaps ' m overly fussy ( give everything else good , not ) . love add perk room - shoe buffer valet stand . the hotel brilliant restaurant - sushi first - class . room service great - well recommend . park across way seem attract local crowd - walk dog play sport . place hard forget , right reason . hotel like . 
 Mar 9 2007 	 pleasant place 	 stay Fairmont attend conference . please hotel . doorman offer umbrella head walk ... sure enough start rain soon after- would soak . upon return , doorman ask walk , etc . reflective staff encounter . front desk promptly check . DEFINITELY register reward program arrive ... complimentary gym access excellent , plus save internet access fee waive member . bathroom separate dressing area large convenient . negative- coffee maker ! starbuck adjacent building close weekend since area corporate office close day ! ! ! otherwise stay perfect , consider conference rate $ 99 per night ! 
 Feb 28 2007 	 pleasant well price stay 	 book Fairmont one night stay black tie event downtown . go directly [ -- ] receive rate $ 189.00 plus tax -- good rate luxury hotel Chicago . consider Fairmont luxury hotel , even quite pretty glam Four Seasons Peninsula . decor elegant bland ( soothe , depend taste ) . bargain rate room pretty view Millenium Park , partial lake view ( could see Shedd Aquarium Plantarium ) . service excellent , : friendly prompt . join President 's Club online stay , free access super duper fitness center next door hotel ( adjacent via underground passage ) . however , get stick $ 45.00 parking fee ( yes , be per day ! ) . least rate get privilege , call car always arrive promptly . eat lunch Aria find good , outstanding Chicago restaurant standard ( high indeed ) . service , particular , slow little casual . cancel dessert order take long arrive , matinee ticket . 
 Feb 14 2007 	 almost perfect 	 girlfriend spend night Fairmont last weekend pre Valentine 's Day getaway . impressed every part stay . check - in breeze quick . room city view king ok view , although not expect much since book city view . bed nice - one good ' ve sleep . room could use new t.v . girlfriend really like huge vanity locate outside bathroom . bathroom separate bathtub shower . shower probably least impressive aspect whole room . institutional could use upgrade . we drink dinner Aria can not recommend enough . specialty drink try good quite strong careful . dinner fantastic , bread appetizer dessert . not miss it . the location not bad want spend time Millenium Park , be quite distance lot Mag Mile stuff popular tourist . not leave hotel check , not care . valet price outrageous always seem crowd wait car . would make arrangement . 
 Dec 5 2006 	 great place 	 good location . room big bed confortable , breakfast expensive . concierge give good suggestion restaurant . city nice , enjoy much . recomend . 
 Dec 4 2006 	 terribly disappoint 	 obviously not expect much way character hotel large ( 37 floor , goodness know many room ) , one night , cold sterility start suck life . room , , course , extremely comfortable , spotlessly clean tidy , thing would expect hotel quality , desperately bland characterless . furniture lounge suite uniform grey cloth , bathroom bedroom early ' 90 - style symphony beige . , think , key problem - look modern stylish ten fifteen year ago look like & quot ; posh Holiday Inn & quot ; , sorely need update , Chicago 's well publicise shortage hotel room mean management incentive spend money refurbishing . characterlessness enhance icy efficiency desk staff , little make feel welcome , alleviate rather shaky state mind long , trans - atlantic flight . like room , impeccably present faultlessly efficient , simply lack charm . go : restaurant , whilst serve perfectly good food , utterly lack soul . perhaps simply expectation line ( still happy memory Fairmont Banff , spend 10 day honeymoon ) , ' m sure , standard , hotel nothing wrong . however , not work , much prefer city 's various Kimpton hotel . 
 Nov 27 2006 	 spacious room good restaurant great location 	 fantastic location - directly south Chicago River , couple block lake , block Millenium Park , walkable pretty much tourist attraction much business district . the room spacious clean ; service good ; overall pleasant stay . one thing really like huge lobby comfortable seating , people hang not want stay room , plus restaurant downstairs ( Aria 's ) fun bar , nice sit - down restaurant , sushi bar . great hotel tourist business traveler . 
 Oct 26 2006 	 Fabulous Deal 	 actually book reservation hotel phone get great rate -- much low usual price ! lovely hotel , beautifully appoint , walk distance place want go . would highly recommend Fairmont . 
 Oct 23 2006 	 Nice Hotel nice people 	 Great Hotel , book rate well trip advisor , also one hotel room available chicago marathon . the room nice spacious , room ready we 10.00am arrive airport , let we 3 pm checkout , really appreciatte , cost . the location ok , hotel central , make general approach staff facility . would stay , avoid marathon next time ! 
 Oct 23 2006 	 good choice town ! 	 book Fairmont base positive comment absolutely satisfied choice . early check - in problem , neither late check - out . city - view - room fabulous great view lake city . recommendation concierge city tour jazz club reliable excellent . valet parking bit pricey 45 $ , well leave car round corner underground parking lot 16 $ .Restaurant aria great choice well , one good restaurant town oblige warm service . 
 Oct 2 2006 	 Loved Fairmont 	 wonderful place stay - classy , clean , great linen service outstanding . bellman server Aria ( restaurant w / in hotel ) everyone cater anticipate every need . location great night - see Wicked Oriental Theatre sightseeing next morning . Aria delish . 
 Sep 30 2006 	 Classy pricy 	 stay Fairmont conference . beautiful block Miracle Mile . corner room view Lake Michigan building bed excellent . however , miss refrigerator / microwave snacking room . employer pay able experience other pay $ 400 / night . however even tempt touch minibar room service expensive price . room shoe buff machine , coffee maker . room service coffee end cost $ 8.00 two cup . myself coworker go meals hotel restaurant expensive . great location , clean room , beautiful public space , attentive staff . get little thing . Free New York Times every morning though . 
 Sep 21 2006 	 Great Location 	 get last minute rate $ 299 night Hotels.com . request room two double bed not disappointed . staff professional . Food Aria delicious . locate right Michigan Avenue prime shopping less block away . cab always available front hotel long excursion . to Park , enter Columbus Drive let valet take care . , excellent choice . 
 Sep 5 2006 	 wonderful Stay ! 	 go Chicago quick weekend getaway decide stay Fairmont completely satisifie . staff pleasant helpful . room wonderful feel like live life luxury . bathroom great seperate shower tub . wish time would order room service offer draw bath goody . bathrobe room seperate vanity area . nice office center internet access allow free printing boarding pass . concierge desk also helpful . overall great experience . would highly recommend stay . 
 Sep 5 2006 	 amazingly comfortable 	 room comfortable could imagine ... especially bed ! room clean , comfortable , big ! large expect , include washroom . load space lounge around . and course , per fairmont standard , service excellent . the location great -- close many attraction great shopping . room city view , lovely . we get excellent rate , really make stay worthwhile . 
 Sep 5 2006 	 Loved ! 	 husband stay Fairmont Labor Day weekend first visit Chicago . get ridulously affordable rate include breakfast every day , catch non refundable . would suggest join Fairmont 's president club , get free use gym , free internet daily free late 3 pm check . room large , bed comfortable . complaint shower , terrible water pressure . hotel clean , staff helpful . great location , bit Michigan Avenue quiet . go visit chicago would stay anywhere else . ask president club rate include breakfast join president club , free ! 
 Aug 23 2006 	 good ... almost . 	 son stay Fairmont 3 night Aug 19,20 21 . hotel locate block south Chicago River two block Michagan Avenue quiet area another hotel office building residential tower towards lake . peaceful spot brisk 5 - 7 minute walk Michigan Avenue . go two game Wrigley Field Red Line 10 - 12 minute walk . the Fairmont attractive hotel start show wear around edge , look . room wer large comfortable great bathroom . bed comfortable . drawback wall bit thin noise hall next room easily hear would like . say , apart couple lot fun room next couple hour one evening , detract stay . lobby nice , large , comfortable area middle drink , read relax wirless internet . coffee , bagel , juice , croissant , muffin available self serve basis morning work well . drawback available noon Sunday 11 a.m. coffee couple muffin leave attempt make supplement supply . the staff efficient friendly , particularly front door staff . turndown service night not miss it . we not eat Hotel restaurant although look nice .The overall atmosphere Fairmont calm , relax comfortable . stay many Chicago hotel , include four Seasons , Ritz Carlton , Sheraton other would rank hotel slightly Four season Ritz Carlton amenity far ahead Drake Sheraton . 
 Aug 21 2006 	 Exhorbitant rate amenity indifferent service 	 friend travel together quite lot . book month advance request two double , despite fact arrive 11 morning , tell double , take king ( lumpy mattress ) fiendishly uncomfortable rollaway ( good news : not charge we rollaway ) . room small rollaway barely fit , crawl person get bathroom middle night . toilet leak -- fix fairly promptly , , flush great difficulty . also , shower drip loudly night , nothing could make stop . coffeemaker room ( tell , fact , could & quot ; request & quot ; one , ' m sure would charge we ) , could buy coffee lobby breakfast $ 2.50 cup ! needless say , breakfast not free ; minibar room , none we interested pay ridiculous price . advice : get early go Houlihan 's block away $ 10 breakfast buffet . internet access $ 14.95 per computer per day , high price ' ve ever pay anywhere , time ' ve pay internet access anywhere two year . one dataport room ; three us laptop need get work do , inconvenient . wireless access lobby apparently , charge , too . the staff nice fairly indifferent , say ' ve treat well cheap chain hotel interstate , less third price . embarrassed recommend place friend . no , would not stay . 
 Aug 20 2006 	 Great City Great Hotel 	 wife & amp ; stay Fairmont Aug. 11 - 13th see family attend concert Chicago Theatre . book Fairmont website . the hotel staff nice accommodate every request . arrive 1 pm , give choice room available check - in . Mini - Bar & amp ; Room Service pricey , 's expensive hotel , expect . Room Service Breakfast fantastic . there least two wedding go day hotel manage fine , eye anyway . hotel excellent location . walk distance Theatre , Giordano 's Pizza , train line , Grant Park , big fountain , probably alot more . we stay Fairmont future visit . 
 Aug 15 2006 	 Fairmont Chicago accomodate 	 family four go convention stay early August . promise room two double bed . arrive ( early ) tell 45 double bed short . reluctantly agree take room king bed promise roll away bed . sleep uncomfortably 12 year old bed child roll away . little know CHARGED daily fee bed . managment could handle large group hotel . bellhop bartender visibly stress towel one day late night . manager would take roll away bed charge least bit accomodate . disappointed hotel . also , pool . want use pool health club next hotel pay $ 20 day use . $ 80 family take little swim bit ridiculous . favor , want accomodate thinking book hotel convention otherwise , go elsewhere . Chicago many hotel choose pick one . I never hear back managment issue call emailed obviously not care , even tell would write review website . Chicago awesome city though . love ! 
 Aug 15 2006 	 great stay terrific service 	 wonderful hotel attitude service class . hotel well appoint - public area well room - staff succeed attend well - being . evidence cold bottle water hand towel greet upon return hotel day morning run . room lovely view - give hotel 's excellent hilltop location - wonderful . let us talk location - heart Loop major street constantly honk horn . within 3 - 5 block good , vibrant part downtown Chicago . fairmont like oasis retreat middle bustle city . admit exceptional rate ( $ 148 prepay non - refundable , find chance Internet see ) make grateful value receive . have pay twice - standard rate - may hold even high standard . bed little hard pillow kind swallow head be almost worth mention . wonderful facility accommodate staff know serve demand clientelle . 
 Aug 1 2006 	 Loved Fairmont 	 stay 4 night end July . 1st class way . great sushi / trendy bar ( Aria ) relatively new - believe . Sign President 's Club ( free ) get access 5 level Northshore Fitness Center next door . walk distance Navy Pier . one good hotel experience . 
 Jul 27 2006 	 Good Experience 	 stay Fairmont work conference . lobby nice , help reservation , bell concierge desk good - polite , always someone smile ask day . room nice - little dated still pretty good shape . carpet could use clean vanity chair really awful ( nothing steam cleaner could not fix ... ) overall clean comfortable accomodation . go back personal time would check another hotel might bit nicer within similar price range . location good - short walk Michigan Avenue Magnificent Mile lot place . cab ride generally short inexpensive hotel . Navy Pier downtown fun within walking distance ( be wear uncomfortable shoe ! ) food hotel good expensive . continetal breakfast $ 19 , outrageous . place nearby ( Hooligans around corner ) well price good food . 
 Jul 24 2006 	 benchmark bad experience 	 book Fairmont two night Taste Chicago . know general location , speak hotel directly assure room view Grant Park firework show lake . , fact , one primary reason select hotel multitude option . unfortunately , neglect tell enormous building completely block view request . when check , bottle wine bag take luggage . bellman break bottle , also saturate and/or stain entire content bag . although bring attention , offer nothing else it . the room well worn , decor transport we back 1970 . walk bathroom , discover cover hair . kidding -- hair floor , hair counter , hair shower . disgusting . even well tidy , realize big job prepare face , call maid service . someone arrive hour good job clean well . & quot ; hair alert & quot ; still spot random straggler , gross we enough would even journey bathroom without step onto towel place floor protection . then wife step onto BROKEN GLASS leave carpet cut bottom foot . wound severe enough hurt walk several day , substantially limit ability walk around enjoy Taste , lakefront , downtown -- reason make trip first place ! point , late search another hotel night , call front desk cancel next night 's stay . shockingly , management still offer nothing we compensate practically ruin entire trip , although say would refund money room ( parking ) demand . check early next morning . when credit card bill arrive , charge night supposedly refunded night cancel . able straighten everything clear charge , still additional hassle , stress , ( anger ) pile onto everything else . wife , experience set standard bad hotel . occasion since experience something unpleasant another hotel , one we always refer back stay , put perspective much bad could . 
 Jul 17 2006 	 Great Hotel Great Location 	 spend two night Fairmont Chicago summer enjoy stay tremendously . room comfortable , clean well appoint . staff professional friendly . location great within walk distance many Chicago attraction , shop restaurant . will definitely reserve room Fairmont future trip Chicago ! 
 Jul 10 2006 	 great weekend get - away Chicago 	 Fairmont Hotel Chicago good value weekend Chicago . great location . south Mag mile , north Millenium Park . take wife birthday arrive mid - Friday afternoon . courteously greet doorman , escort bell hop front desk . wait check deliver bag room retreat directly bar relaxing & quot ; happy hour & quot ; . nice light snack menu . hotel date , room nice clean , comfortable bed . walk north dinner evening . morning excellent selection pastry fruit atrium reasonable price , plus fresh OJ coffee . like much well room service option could pick exactly want . late checkout take nice walk Millenium Park Art Intitute head home . 2nd stay Chicago Fairmont continue choice downtown Chicago . also stay fairmont find excellent well . 
 Jun 28 2006 	 Fairmont fine 	 wife accompany business trip 4 night stay . spacious deluxe king corner view lake . service outstanding include excellent room service breakfast . wonderful dinner restaurant Aria , business client rave next day . 
 May 1 2006 	 love 	 love hotel . room big nice view lake , close Millenium park Mag mile . usually ' ve get troulbe sleep new place , worries- bed comfortable : ) like most- check time- able sleep little bit long : ) everyone helpfull hotel , nice restaurant- would say little bit overpriced , nonetheless next time will go Fairmont Chicago doubt : ) 
 Apr 26 2006 	 Best Bed 	 stay Fairmont Chicago one night - ' m frequent business traveler familiar travel ritual . check late ( almost 10 pm ) due flight cancellation home airport – Atlanta . take shuttle airport ( good option lieu price taxi ) , first time stay hotel . upon arrival , immediately notice entrance , appear welcome warm . check problem – desk person even ask ' prefer king double ( reconfirm reservation preference ) . always take king , bed fantastic ! suit great linen incredible & amp ; feather pillow name Encompass make Pillow Factory – check tag , since plan buy ! eat dinner hotel restaurant - Aria , mention like consider separate hotel – yes , stand ' . food asian fusion , truly wonderful – gourmand life - long foodie , appreciate great food taste ! hotel service good well . drawback breakfast buffet restaurant – seem need stick dinner theme solely . miss mark relatively simply thing like scramble egg buffet , tasted bit ' metallic ' . make get special order make immediately pass buffet . would highly recommend hotel – atmosphere great view ( get room one ) , fabulous dinner – pass breakfast buffet . 
 Apr 23 2006 	 Fairest fairmont 	 sister take first trip Chicago March year ( 2006 ) . agonised hotel choose whether choose wisely ..... worried needlesley . the hotel live expectaion . although aspect service lack attention detail ( i.e ask cofee tray jug cream , leave room three day , move ) - ask , do speed fuss . the hotel restaurant well worth visit ( little overpriced ) .the hotel well situate trip Mag mile Millenium Park . the concierge service excellent . for want use fitness centre , hotel adjacent one good Ciy - however , beware daily charge $ 20 use facitilitie , certainly add significantly overall cost city break , like , be frequent Gym attender . love City stay Fairmount definitley re - visit . 
 Apr 21 2006 	 nice clean 	 pay $ 700 incl . 2 night stay + united direct flight two Chicago Easter site59 . hotel room clean , ac not cool great ( forgot tell ) . service quite good . close Millenium Park activity . good trip Chicago weather cooperate . 
 Apr 3 2006 	 Quite 	 ' m generally fan Fairmont hotel chain , Chicago location bit hit - or - miss , especially consider price supercharge competition across river ( two Four Seasons , two ws , Park Hyatt , Peninsula , etc . etc . ) entire property need cosmetic updating , room , generously size complete essential convenience , notch shabby - fine Best western , definitely four - star Fairmont . bathroom kind dingy , light fabric see well day . the location also leave something desire - 's good 10 - 15 minute walk away action north river ( be cold walk February ! ) . view Lake Michigan quite nice , also quite bit ongoing construction look direction . upside , terrific dinner ( brand - new ) restaurant , Aria , feature fine selection food wine above - average service . with many hotel choose area , not think would go back fairmont current price , least undergo major reno . would go back Aria dinner , however , really memorable lot fun . 
 Jan 31 2006 	 overprice 	 Nice hotel , overprice ... will nail every extra . room little shabby ( peel wallpaper , noisy air circulation system . ) also bit hike Miracle Mile ... not terrible experience , give $ $ $ involve , well less ! 
 Dec 11 2005 	 Fantastic ! 	 class way run hotel ! staff understatedly put customer first every instance . sumptuous room , courteous doorman in - room dining experience ... way beyond expectation much less expect expense . toilet choose blow valve diaphram 3 morning ( read & quot ; Old Faithful & quot ; ) , engineering part replace bath operational clean , 5 minute call downstairs .... fantastic ! ! ! room amenity first class , however , first hotel stay many year coffee - maker provide ... really miss wake - up Java . perfectly locate betwen Loop Mag Mile , near Lake , not hesitate book beauty . not eat Aria , room look awesome .... next visit sure . thank Fairmont ! 
 Dec 4 2005 	 great location 	 look hotel close Navy Pier , State St , Mag Mile , . great lobby , sit relax drink light fare . room spacious ( corner king ) separate dressing area hard find downtown . yeah , carpet old room , wear slipper , big deal . bed pillow amazingly comfortable ! aria restaurant amiable server . pancake somewhat cold time arrive , receive new order compe beverage . deal consider 2 coffee 2 o.j 's $ 18 ! pricey place , nice want experience . Fairmont 's overnight/24hr parking bit much , $ 41 . Highest ever pay downtown . pool next door athletic club separate price well , utilize . all , great feel hotel . review claim property need update , maybe , still feel classy . 
 Nov 28 2005 	 Nice Hotel 	 enjoy Fairmont Chicago . excellent location , friendly staff , fast elevator . downside , valet parking extremely expensive , restaurant . buffet $ 25pp . order menu meal 2 coffee , juice , omelette , potato , toast tip $ 60 . kind pricey breakfast . would choose hotel rate right . 
 Nov 16 2005 	 wonderful weekend 	 return 3 night Fairmont . beautiful room , spacious large bathroom change area . food staff Aria restaurant excellent . great location vis Loop , Michigan Avenue Navy Pier . walk lake highly recommend , fabulous hotel . 
 Nov 13 2005 	 wear carpet poor attention detail 	 wife stay king room & quot ; view lake & quot ; . request crib son end request 3 time prior get . room thermastat break replace arrive . shopping come back find key not work get replace . night awaken 3 - 4 time fire alarm go . carpeting stain wear , room quite small $ 309 rate . view lake turn several high rise . upside complain getting awaken 3 time night fire alarm refund $ 100 room rate . 
 Nov 6 2005 	 tremendous hotel 	 wife stay Fairmont weekend trip Chicago see Wicked . read reviews hotel refer date worn look , experience nothing short fabulous . corner room large , great view Lake Millenium Park . bathroom quite large , clean well maintain . think soak tub , acuality oversized tub . nevertheless , great room , would gladly stay Fairmont . hotel staff helpful , especially concierge staff . 
 Oct 21 2005 	 wear 	 stay Fairmont recent 3 week stay US . Fairmont 's carpet furnishing pretty knock around , shower cubicle particular revolting - ancient tile starting come loose . room also not particularly clean . foyer area look pretty dated . whole hotel need major reburbishment . certainly would not stay . 
 Oct 1 2005 	 okaynot Amazing ! 	 stay Fairmont Chicago Sept. 24 - 28/05 1 - bedroom city view suite . First impressions:1 . bit Mag . Mile . $ 4 - 5.00 cab ride put centre.2 . lobby impressive small.3 . staff cheerful helpful . pros:1 . Aria restaurant hotel . good fusion , amazing . adequate service.2 . Suite large well lay out.3 . hallway common space up - to - date well keep . Cons:1 . room terribly outdate , even suite . be talk major facelift require bring 5 - star level.2 . coffee maker room suite . apparently due ( possibly outdated ) wiring system within property.3 . room safe ! ! ! 4 . exercise facilite next door Chicago Health club.5 . wireless internet work suite even phone consultation . summary : staff great . room decor lack . location okay.next visit Chicago , would consider Four season Park Hyatt , purely location . p.s . tru restaurant ....... amazing . food service outstanding ... bring platinum black card ..... dine Conclusion 
 Sep 14 2005 	 good value money 	 review read bit mixed , think excellent . ' ve stay Splendido , Villa D'Este other not compare , . not claim space . expect notch Four Seasons prove . small notch ! . lovely clean bright room . superb view , quiet , comfy bed etc . excellent service round nice staff . money quality stack well indeed . could not really fault way give half cost four season pretty close term overall experience . go Chicago . great location . 
 Sep 8 2005 	 Great Location 	 beautiful room 21 st floor , overlook Navy Pier . location great , quite could walk everywherethe consignee extremely helpful regard restaurant place interest . 
