Great 	 be get cheap table strip - $ 5 minimum bet let ride roulette card game . useful new casino do not want lose money quickly ! 
 not overlook hotel due location ... 	 ' ve stay hotel 3 time really like . take mom ( 58th ) birthday last year also love . room nice , clean bed comfortable - especially love pillow ; - ) . yes , 's strip bus stop right next hotel $ 5 get 24 hr unlimited bus pass ( purchase bus ) . not mind walk be definitely doable . this hotel also wonderful 360 view revolving restaurant ( be pricy remember be also pay view quality service ) . dinner really good waiter really nice attentive - even give mom free slice bday cake . the negative woman walk around take souveni picture - 's really overprice say not interested not finish sentence literally grab photo walk away - really nice . almost complain decide let ruin night . just give comparison experience . ' ve also stay Rio ( nice 's mile strip walkable due highway - try regret shuttle fee ) Sahara ( simply , will not stay ) far , definitely prefer hotel . expensive yet service get not show . 
 Northern Strip 	 want right thick thing , not place . , however , not want . great small hotel everyone work simply wonderful . service level extraordinary , ' m hard please work customer service . 
 Good Vegas Hotel 	 good quality room , normal Vegas Casino facility , 20 minute walk centre strip . 
 Apr 5 2009 	 stick middle nowhere plenty fee 	 trade show need 6 night . Strat cheap . room average though bed great housekeeping good . tv stink : comedy / MSNBC / Weather . want use internet ? 12.00 ! ! ! ! ! per 24 hour . 's RESORT fee . 8.00 ! add 20.00 day & quot ; great rate . & quot ; last : Vgas want strip way beyond end , downtown . Vegas famous walk people grind anyway . middle nowhere Strat 's nowhere walk . unless really feel like walk ground . 
 Apr 5 2009 	 bad Hotel Las Vegas 	 person wolrd would think save money sleep hour be las vegas , search something else , everything save hotel room will spend taxi ride reach las vegas attractive spot . since check - in will feel welcome , not matter long line wait check - in , take around 30 60 minute turn , front desk employee unprofessional look unhappy work hotel . I book tower room without explanation give room different block different quality furniture service , everything look old consumed time time , casino seam inside sigar room , be non smoker not want even spend minute around table , also need go room must pass casino smoke air every , orrible ! ! ! ! .The view restaurant badd service quality las vegas ' restaurant expensive price range low quality food . Las vegas beautifull realy enjoy stay not stay stratosphere not want go away bad memory , las vegas meet need enjoy stay stay anywhere else instead hotel . I like go las vegas almost every year , experience never forget well forget name hotel . I suggest spend little money book hotel 5 star hotwire.com , will well surprise happy . 
 Apr 4 2009 	 Crappy Hotel -- far away -- stay somewhere ELSE 	 recently stay end March 2009 terrible . book two queen premium view get parking lot . ask , informed premium view , crazy . room , table two chair recliner . Motel 6 like . coffee maker cable tv . got 8 channel . ask coffee maker tell site . Bathtub dirty find hair . service casino poor . sit machine ask black coffee tell pplaye credit machine sit . advise guest hotel force show room key . c bar bartender horrible . not make martini shot call snakebit Yukon Jack Lime Juice . crazy . far walk anywhere night creepy cab driver elle hey u want date . casino rather small get bore thesame machine . even worth stay free . willing give detail want may email sweetbug0609 @ yahoo.com want other experience horrible time Vegas , enjoy self . 
 Apr 4 2009 	 well expect problematic start 	 reading review , quite wary would find finally arrive honestly , pleasantly surprised . problem first check - in . the check line long , took also say definitly want NON smoking room . lady wasn´t really interested wish give we smoking room ? go room ( book Deluxe King jacuzzi ) ... smell horribly . yup , smoking room . go ( belonging ask NON smoking room . unfortunately , room leave non smoker . down - grade normal queen room night , without even apology something free . lady even claim specially ask smoking room ? ? ? hello , stupid . go morning hotel 6 pm change King Jacuzzi . rocky part ... end 20th floor strip view , nice . remodel upper - floor section hotel look nice definitely excellent deal . rooom cosy , clean lot pillow good mattress . the casino average typical Las Vegas style , nothing special tell . Buffet really good , cheaper many other really value money . because Stratosphere slightly strip , may willing sacrifice proximity downtown save couple buck . buy bus ticket duece ( $ 7 day ) get almost everywhere . bus stopp directly front hotel , problem here . all , , Venetian not expect . , clean , quiet comfy . 's need ! would definitley recommend be look cheap vegas vacation . 
 Apr 2 2009 	 expect use bus tram 	 daughter stay Stratosphere 4 night . least $ 100 cheap strip hotel . Vegas several time , know could use Duece bus Tram system get around . our room wonderful . view great daughter say bed comfortable ever sleep . want nice pool , one thing sell we Stratosphere option . pool huge , would not say heated . service pool great . the casino small old compare place stay ; Mirage , Mandalay Bay , Treasure Island , Planet Hollywood etc . gamble pretty much casino strip include Rio . not new slot , least voucher system . small , get little boring . win though , can not complain much . casino service - little mad bartender . gambling bar least two hour get drink free . run credit order drink , charge $ 9 . irritate thing player card would stop work , always happen Rewards Club close , could not get new card . go use slot , insist two card , case one stop work . blame near card cell phone . player card place , none one stop work , happen . card 3 4 year old casino . for people say area unsafe hooker drug deal go . idea talk , see none . fact , not annoying people hand stripper card area , nice deal . never feel unsafe . we take tram one night use duece bus rest three day . bus get little old , intertaine ride right attitude . meet interesting people bus . they McDonalds , Ben & amp ; Jerrys pizza place second floor , nice want something quick cheap . spluge one night eat Top World . be expensive , food good service excellent . view awesome night . I guess someone stuffy picky spend money expensive hotel . would rather use money show really nice meal . 
 Apr 1 2009 	 must read ! ! ! ! ! ! ! ! ! ! important Info ! 	 get pay ! 100 % true case . stayed week xmas / new year . really cheap , pay average like 20 buck night . would not come back even free ! location : horrible . far away everything . way far walk . sketchy area ( hooker .. drug .. get point ) end pay bus / taxi / your gas get anywhere . service : horrible time hundred . stay 4 night go South Point ( highly recommend - even though strip ) couple night come back - bad IDEA ! lol . check 2nd time , give front desk clerk credit card . check back room notice credit card . realized never get card back front desk ( responsibility remember ask card ! give back without ask ! ) go straight lady handle check - in say not give back . thank GOD lady next overheard conversation turn around grab card back desk say ? ? say yes , grab card give girl dirty look . wow would good lose credit card vegas ! room : horrible . 2nd room leak toilet water , call get fix . plumber come 2 hour later fix . left tell we fix . stop leak fine room ( even though stunk like smoke sucked not care price pay ) . get ready go night come back around 3 am go bed . next morning around 11 am get security break door yelling & quot ; SECURITY ! ! & quot ; .. almost * * pant ! bf yelled & quot ; * * go ? ! ? & quot ; maid along security guard say sorry left . bf call front desk see hell security come room explanation . inform message leave answer machine night fault not check ! say blink need check message ! honestly check message hotel phone vegas come back room bomb 3 am ? ! apparently suppose morning need & quot ; service & quot ; room sell lot new year eve toilet still need fix . tell toilet fix ? not listen say need . one lady front desk tell we would upgrade new room extra cost , get call back front desk 5 minute say sorry available room ! ! ? Hahaha like crazy ! could even believe happen ! pack stuff leave day suppose check ! make thing even worse not even go give we refund night pay ahead time ! much debate , find receipt prove indeed pay , get refund - since would stay night . nightmare ! ! end stay treasure island new year eve also awesome hotel ! worth extra money ! ! casino : horrible . stunk . grubby . not understand people would waste time casino vegas ! restaurant : horrible . over - price . room - service also way over - price . want order room service call like 5 time finally menu bring room ! like 40 buck egg / bacon chicken finger ! lol anything good hotel ? ? honestly can not even think anything like ! thing like vegas ! 
 Mar 31 2009 	 would stay 	 reading review , quite wary would find finally arrive honestly , pleasantly surprised . check line long , woman help we extremely pleasant , give we lot tip well map . 7th floor view mountain , nice . room average hotel room basic . importantly clean QUIET ! sleep great every night bed / pillow soo comfy ! nice ' ve have . we rent car fact northern end strip problem we . strip easy navigate within day cruise around , parking resort ( free parking ! love ! ) not spend dime public transportation . thing use not read shuttle every night start 6:40pm stop stratosphere , miracle mile one stop ... 's free run til midnight week til 2 am weekend . nice plan late not worry designate diver . driver shuttle nice , give we lot tip avoid & quot ; must - see & quot ; .As rest hotel , not gamble can not give information casino . eat breakfast time Lucky 's excellent . breakfast special good day - $ 5.99 2 egg , ham homefrie . YUM ! always pack never wait long . all , , Venetian not expect . , clean , quiet comfy . 's need ! would definitley recommend be look cheap vegas vacation . 
 Mar 30 2009 	 incredible deal 	 Vegas understand old casino hotel smell feel like , fully prepared expect Stratosphere . book online $ 38+/night frill update remodel upper - floor section . check late night ask room close one friend 's family , front desk girl could not find one price range book . nice get permission manager upgrade we ( friend 's family ) two $ 200 / night suite without extra charge . pleasant surprise ! understand case probably exception , depend goodwill front desk clerk . however , remodel upper - floor section hotel look nice definitely excellent deal . 
 Mar 30 2009 	 avoid disaster hotel . 	 ' tempt save couple dollar price room stay Stratosphere – ' pay end . traveler experience stay strip find Stratosphere March 2009 family wedding . prior arrive price website look reasonable room photo appear stylish inviting . pushy yet confused reception receive booking room phone tip - off something right . the average room – clean enough – well short décor , space , relative , view anything wall dumpster . bedroom share wall elevator make sound though sleep next train . warn prior checking , staff ' seem think big deal . the staff stratosphere least helpful , friendly knowledgeable find anywhere , never mind comparison high standard ' experience elsewhere throughout Las Vegas . uninterested room service staff finally provide two wine glass numerous request – fee $ 6 . staff tower complain management throughout ride . apparently Stratosphere great place work . the casino average typical Las Vegas style impossible ignore . would issue , security staff stop less two time walk reception area elevator carry toddler ( way get room without cross gaming floor ) .Because Stratosphere slightly strip , may willing sacrifice proximity downtown save couple buck . ' . cab ride heart strip airport least $ 20 . unless plan stay hotel whole trip ( trust , ' ) add another layer expense . perhaps bad aspect Stratosphere second rate selection overprice restaurant . could go detail lack selection clichéd menu option price far superior venue strip , hopefully ' convince Stratosphere avoid now . there ' much hotel get right . even ' free fitness facility – plus today ' pay - as - you - go market – share wall pungent McDonald ' restaurant . indoor pool – mean swim summer heat question . whether due economy competition numerous hotel dot Las Vegas strip , quality accommodation , restaurant customer service Vegas far competitive tolerate Stratosphere . thankfully awful experience one thing go Vegas stay Vegas . 
 Mar 30 2009 	 expect 5 star - book 5 star ... 	 rather skeptical read many negative review Stratosphere . fortunately , find ungrounded . huge line arrive , Joanne process we promptly pleasantly get front line . room large clean . big issue bath - shower weak tub problem drain ... - would definitely go back . actually - 's worth simply go ride ' Big Shot ' - absolute highlight ! also - offer opportunity ' two one ' ride deal - take ! would cost two people amount ride purchase one ' all ride ' day . ball - Big Shot three time row - would kept go ! : ) also - front desk give book coupon - peruse roam around hotel . number place save money various hotel vendor 
 Mar 30 2009 	 cheap still well stay somewhere else ! 	 wife get fantastic deal Stratosphere expedia , friend warn we ' you get pay ' wish listen ! hotel tired . style 1970 : brown formica everywhere depressing . arrive 8 pm tell ' downgrade ' queen room King , although officially ' no smoking ' , new room smell horribly cheap cigar . move we next day start dream holiday hope . hotel also long way north strip . far walk main hotel , really , bus get terribly crowd time day . end spend much taxi save room cost ! definitely back Vegas ( great ! ) never Stratosphere . 
 Mar 28 2009 	 Pros Cons 	 husband return Vegas 7 friend . stay Stratosphere overall , good experience . advise sensitive certain laundry detergent , may problem bedding . hotel use really harsh chemical clean break couple we rash . situation report , housekeeping come strip room everything re - wash different detergent . accommodate understanding . hotel expect ... many shop , hair salon , eat place , course park . view observation deck night amazing . would recommend hotel long aware 's one end strip take bus / cab get casino . 
 Mar 27 2009 	 like cheap Super 8 motel 	 crummy room ............. promise room Strip View get parking lot . old look furniture ............... decent chair sit 2 wooden table chairsvery far away stripbathtub fixture broke take 2 hour get fix scrub tub ourselvesAt checkout staff not concern happy room stay . 
 Mar 27 2009 	 ok quick stay 	 stay 3 day part package Southwest Air . room & quot ; Premium & quot ; King . room ok certainly large enough two . issue sink drain bad odor slow drain . call front desk bring apology housekeeper liquid pour sink problem never fix . still - sink not bathroom , near bed . , want stay CASINO hotel , be fine . ( later tell stayed & quot ; new & quot ; tower . oh yeah , charge $ 5 print boarding pass , think ridiculous . would recommend Stratosphere get cheap ! 
 Mar 27 2009 	 not say not warn ... 	 book four night Stratosphere 3 friend fly UK celebrate 50th . the hotel sound like good deal request possible upgrade on - line arrival . I would say & quot ; room & quot ; upgrade & quot ; view & quot ; upgrade . unfortunately , room far small four male ( two friend get room later evening ) , refrigerator , enough towel etc . , four television set ' 90' . all $ 500 four night ... plus additional charge wireless internet access ! ! room close elevator mean constant stream loud and/or drunk guest outside hour along fight require security police intervention . front desk staff unsympathetic issue raise . generally staff pleasant although bartender indifferent - could get attention - gentleman arrange cab etc . , outright rude ask question . to get & quot ; strip & quot ; either use cab , monorail , bus walk . walk must pass seem endless pile trash debris waste every description . recommend . price hotel ( everywhere else ) higher expect necessary . I would suggest find central location similar price avoid hotel possible . recommend . 
 Mar 26 2009 	 will not back 	 cean room - indiffrent / incompentent staffafter reserve two smoking single room Expedia two week arrival , verife reservation two day prior directly Stratosphere staff remind front desk staff check - in niece send two non smoking double room . notice room non smoking know much additional would charge . contact front desk settele receive & quot ; apology . & quot ; advise wait diffrent floor front two room staff member would arrive keys luggage shortly . leave loitering hall half hour . one show . return front desk advise two smoking room unavailable . would share room . choice so- later tell baggage go two ( technically four ) diffrent room previously assign . ( make call find bag deliver ) receive baggage , important item miss . four call later : security , front desk ( twice ) valet service bag could locate . ( oh , nonchalant loss ) . fifth call get NASTY . miss bag contain gift birthday party , reason L.V . well , rest content never locate , lo behold , gift show . Hummmmmm . problem : room service continental breakfast menu indicate $ 13.00 - final cost $ 27:00 ( expect service charge room service , .. almost $ 15.00 additional ? ! ) - towel bedding hall 7:00 pm - staff indiffrent mislead -I will not go story , trust , reason make . -We responsible contact Expedia regard mix up - with exception housekeeping lady , painful tip stratosphere staff -WE WO not back ! 
 Mar 24 2009 	 comfort little money 	 stay 4 night hotel . grant , be far away everything walk , car 's issue . always plenty space self parking . 36 dollar per night ( via expedia ) , get large clean room . 25th floor pool close , pool 8th floor job ( renew , water cold ) . internet expensive ( 12 dollars/24 hrs ) though , skip . car be budget , good place stay . hard find hotel offer value money . 
 Mar 24 2009 	 Nice Basic Vegas Hotel good value 	 may restaurant . room nice clean comfy bed . view rubbish though ! pool area nice quiet nothing special . go mirgae pool one day absolutely pack full fo poser make we appreciate pool play volleyball fun . pool bar really good value lunch snack well worth . good value money may worth spend extra $ 20 night somewhere nearer main strip taxi around $ 10 way center strip . nice stay staying hostel point.for reasn $ 5 surcharge day already include booking price good . tip nare planning go club do not tempt pay tout strip anything & quot ; priority entry & quot ; card . do not luckily discover go casino even outside staff hand entry pass nothing . 
 Mar 23 2009 	 Disappointing Stay 	 book one - night stay $ 77 , include taxis , American Airlines Vacations . stratosphere advertise hotel locate right Strip . indeed end Strip , consider downtown hotel taxi airport shuttle charge additional rate ( $ 4 - 10 way ) get . arrive Stratosphere around 11:45 p.m . line hour check . hotel lobby fill cigarette smoke clothe , even one travel bag , stank next day . check - in person not speak good English , fact Puerto Rico speak Spanish come handy . specifically request non - smoking room king - size bed . advise room available smoking room two small bed . 5 minute negotiation able get non - smoking room . tired travel San Juan via Miami day , happy argue someone 1 a.m. room 5th floor view whatsoever . open curtain wall foot away window block kind view , include sky . spend another half hour get BigMac meal Stratosphere 's McDonalds , happy check 4 hour later . $ 77 sound like good deal , extra $ 5- $ 10 per night get nice hotel , would recommend stay Las Vegas long one night . way , Stratosphere charge $ 11 per day wireless . rip - off . 
 Mar 23 2009 	 Hotel Worth Price Gambling elsewhere 	 stay Stratosphere number time . recent trip 4 nite Mid - March . book Spa King love jacuzzi tub . people bother locate bathroom , oppose bedroom view . $ 41 nite , ( $ 7.50 per nite resort fee include ) , AWESOME room . spend approx 14 hour tub . newer , comfortable bed slightly different color scheme main renovation ( November 2008 ) , bed definitely improvement . besides tub , everything else standard 2/3 - star hotel . the casino tighten everything table game , slot .... especially slot . not play much , always pay attention see casino seem pay least average amount back customer . four day , see single win slot total $ 25 - 75 .... max bet machine every denomination . lose $ 50 - 100 instantly play machine ounce fun . table , drink service good , dealer ( part ) completely inarticulate . every table player ask dealer speak clear , repeat thing , slow , etc . pit boss surly , interaction dealer awkward say least . dealer constantly remind simple thing like burn card , cut deck . play extremely friendly dealer though , enough make look specifically , gaming casino , advise other avoid well . well game Fremont , play around strip . reward progarm also great , another reason game elsewhere . restaurant : Buffet - close ; asian restaurant - closed ; Roxy 's 50 's diner - open 2 4 day ; Lucky 's diner - open 24 hour , 4 day ; McDonald 's - open 24 hour , 4 day . service Lucky 's always sub - par , food actually pretty good , do not mind wait 20 - 35 minute . never , never eat Roxy 's . server sing 50 's song style voice average American Idol reject try eat . seem annoying campy fun . everything else close whole time essentially , another downside . the show joke , club non - existent believe .... could not find one . location great , definitely safe , safe casino strip , ( i.e . Sahara , Circus Circus , Imperial Palace ) . good number security patrolling thing . walk IHOP 711 alone ( 1 block away ) day , still would not want walk alone nite . deuce bus close cheap , strip travel , Fremont close . stay Stratosphere quality , clean , cheap room , friendly service .... that s . eat , gamble , enjoy show elsewhere . 
 Mar 22 2009 	 can not beat Value ! 	 anyone consider stay Stratosphere save buck , listen negative review . hotel casino definitely worth staying order save buck trip . stay Sunday Thursday ask upgrade base room possible , give option stay deluxe mini suite ten dollar extra per night ( regularly fifty dollar per night ) . check take five minute ready go . room clean nice . run slow draining sink , maintenance fix within five minute call . yes , hotel far true strip , yes walk , bus stop outside hotel available two dollar fare . finally , obviously hotel go five star hotel -- room go low twenty - five dollar night -- be go Belagio , people ! worth check low budget still put Las Vegas . thank Stratosphere ! 
 Mar 21 2009 	 bad 3 night stay 	 Hotel ok , great facility , staff ok . restaurant eat facilite great . hotel get busy cabaret bar ground floor atmosphere good . 
 Mar 21 2009 	 good place stay Vegas Budget ! ! ! ! ! ! ! ! ! 	 good place stay Vegas budget want sacrifice location & quot ; Vegas Experience & quot ; Hotel go renovation room definately 3 half star category . find 3 star Vegas like 4 star hotel Canada . Las Vegas hotel seem hold tuffer standard . example ....... Marriott hotel Alberta might 4 star , 4 star hotel Las Vegas twice nice ........ work ? stratosphere locate north end new Las Vegas strip . short walk across street Sahara hotel Monorail start , take train dozen resort strip . stratoshere seem like good deal you re budget , shopping , restraunt , nightclub hotel room rate good strip . even & quot ; Top World & quot ; restraunt good value get , high quality food incredable set high Las Vegas tower , price well comparable Las Vegas restraunt type . another restraunt woudl recomend 50 's diner main level . food wonderful , price competative , 50 's theme amazing ! swim pool fav get much space tanning many chair never feel like full , there s always place lie back chair , spot pool , unlike comparable top las vegas pool . even adult pool seperate main pool area , adult pool encourage woman go topless . around noon see shape old woman go topless , still fun ! I ve Stratosphere 3 time several day time , always find staff really nice . since hotel change owner year ago , new management come , find staff even nice , friendly front desk service I ve experience Las Vegas . casino great , lot fun game , lot new game popular , resort style mix people 60 % chic - style tourist dress impress 40 % tourist dress like slobs.-the bad thing say stratosphere Hair Salon huge rip , 5 time much money get hair trim style comparable salon strip 3 time much salon across street Sahara Resort . also , due design hotel , room view air exchange conditioning equiptment view cement wall 30 foot away . 
 Mar 20 2009 	 yes ! ! 	 stay 10 night partner therer thing happy thing not . arrive 7 pm check within 10minute , great read people wait hour . I pay premium view king bed . tell none available werde give premium view two queen bed . the view bad downtown area nice mountain background , guess mountain pay . room clean big enough couple want base . housekeeping service also good . hotel amenity decent , nothing special nothing terrible , apart main pool close refurb nightclub permanently close . three bar casino level , service three dreadful notice generally bar Vegas nothing rush bartender . location hoel right end strip , 4mile long , although 30 minute walk get main body strip , itsd nice walk cheap bus service right outside hotel . area around hotel bit rough cheap end strip , motel begin begger become bit aggresive , bus come handy ! ! price compare main body strip may cause accept , , tour driver tell housing estate beside hotel number stabbing / shooting week though differently , not see anything like . total want decent hotel base hotel fine . would recommend freind fussy one ! ! 
 Mar 18 2009 	 Hidden Fee terrible service bad location . 	 come back Stratosphere . stay premium tower room $ 73 . totally disappointed . hide fee $ 7.50 resort fee . book , give we receipt $ 73 check , say pay $ 7.50 extra resort fee . term room service , refrigerator . bed tv disposable cup . moreover , heater order . term service , ask bottle opener , want charge $ 7 we . therefore , go bar open bottle say buy one . bad experience . term location , locate strip almost end . find much well one little money . one thing , think premium room three star would well choice wrong . well go regular room four star . 
 Mar 17 2009 	 nice money 	 Stratosphere be not good hotel ' ve ever stay , within tight budget decide try . though get great deal , take consideration cab fare get strip . take consideration , financially well stay somewhere close . like staff restaurant . would reccomend place want go , not stay go spend time center strip . really not save much 
 Mar 17 2009 	 good value money 	 read several ' negative ' review hotel decide would go open mind , yes not good hotel strip not claim either 3 star think fair rating . check little slow suberbowl weekend hotel extremely busy , little wait expect , give room 20th floor view strip lovely view mountain see several lovely sunset . the room recently modernise tasteful brown neutral colour , 2 queen size bed , t.v , alarm clock , iron ironing board , hairdryer small table chairsthe downside room mainly sink actually main bedroom would normally expect bathroom . the bathroom tiny literally could move , positive note shower good always good supply hot water . my big dissapointment in - room safe think must hotel day . we eat courtyard buffet breakfast evening say buffet really not anything special honest eat much well meal dennys nextdoor hotel food service excellent . to sum hotel believe good value money pay around $ 23 night room however would dissapointe pay , location not fantastic deuce bus stop right outside heart strip within 10 - 15 minute . all look resonably price accomodation strip would good option . 
 Mar 17 2009 	 DUMP ! ! ! ! ! ! 	 stay cheap hotel , expensive hotel , middle road , place Vegas bad hotel ever see . deal ; hotel really far anything else big issue . big issue service terrible , resturant bad hardly open , casio REALLY smokey , & quot ; resort & quot ; fee insane get , hotel dirty . wrapper elevator 3 day ! staff rude . getting drink almost impossible . non - smoking room smell like smoke . bad part noise ! across street roller coaster run day rattle room every 15 minute . be like 747 landing top hotel . say BAD , BAD , BAD . stay DUMP . would much well Monte Carlo want mid - price room . cheap room much well Imperial Palace . 
 Mar 16 2009 	 great strip hotel price ! 	 read review TripAdvisor , decide book , happy . great hotel ! everything wonderful room , dining , casino ! ! far away main strip , however hotel / casino build close close Stratosphere ... will not long build far . location be not & quot ; bad & quot ; use . like everything room , except window small hotel ... still great mountain view ! ! 
 Mar 16 2009 	 Reserve suite possible 	 spend 3 nite Stratosphere , stay & quot ; Star Suite & quot ; love room . hotel long hallway ever see happy find suite right beside elevator bank . suite big wonderful soaker / jetted tub , big enough two ( incline ) . neighbourhood little scary dark , take cab plan leave hotel night . 
 Mar 14 2009 	 great deal price ! 	 go Vegas day stay include Saturday . decide check end strip last night stand Stratosphere night . able stay $ 110+tax , Valentines Day ! ! GREAT DEAL ! ! hotel stay prior Stratosphere $ 300 night . room Standard , great view ... not view ... night away . check show thrill ride Stratosphere . ride crazy run beat view . food good , show american Superstars fun - head ... woman sell we ticket sell us ticket close stage would get well picture . find one photo allow . email hotel never respond . going say something , Valentines Day not want hassel . hotel fine price beat ! 
 Mar 11 2009 	 great money 	 stay april stay one night , want go see vegas night high part ( apart go helicopter ) also want try ride dark , bad point bit far way , little dodgy night , aware $ 7.00 resort fee per night charge book , that s bad point find ! good point offer really good rate , reception staff nice upon check , room be not huge thay clean , pool great clean , casino big slot machine quite good paying , get discount hotel guest go tower , fab resturant / diner call roxys cross grease happy day really great food inexpensive try stratosphere shake warn do not try eat meal well shake huge ! ! go vegas 2009 stay couple night 
 Mar 9 2009 	 Cheap sometimes get pay . 	 travel Vegas way back Disneyland . stratosphere room $ 30 / night decide stop . request non - smoking room smoky non - smoking room ' ve ever experience . much start get migraine within minute . call front desk say would send ionizer something get rid smell . & quot ; alright , & quot ; say . 90 minute later one come room call front desk , tell nobody come left room go get dinner , hope smell would gone get back . needless say , not request different room . new room much well . smoky smell . bed comfortable . bathroom update . problem . wish give we one begin switch room first time call . ok hotel . great service . 
 Mar 8 2009 	 good value price ... 	 get back 3 night stay Stratosphere - Mar 2 - 5 , 09 . $ 31 + tax + resort fee ' premium ' view room . end room # 31947 19th floor . view south toward strip - tower large Stratosphere front hotel sign obscure view still see large part city great . the room clean , bed ( good ) & amp ; bed quite new , tv picture bit fuzzy limited channel . room great especially price . eat 50 's style diner good put everyone quickly . 2nd floor shop locate McDonalds etc nice cheap alternative . hotel give coupon book property within Stratosphere nice - mostly 10 % coupon add up . casino acceptable although bit ' smoky ' old smell it . check / simple . parking excellent car . rent Advantage never hear . great rate . book right airport . $ 170 US plus gas 4 full day . Dodge Nitro SUV perfect . shuttle bus take airport car rental place 10 minute trip . efficient . this first time Vegas . rent car great . easy drive around Vegas every casino except Freemont Street free ' self parking ' great access . yes , hotel near North end strip . plan walk good shape ... , rental car option well worth it . so , hotel new mean price great , ' premium room ' acceptable , location great rent car use Deuce . happy especially room sleep / shower . 
 Mar 7 2009 	 Nice Hotel service ! 	 book & quot ; Premium Room & quot ; view king bed without notice give we unrenovated room view 2 queen bed . light , hair dryer tv work . immediately ask another room tell we chance next day . next day make complete new check wait old room assistance luggage . hour waiting move alone . next day get flu ask hot water prepare medicine . charge we 6 Dollar 2 cup kind warm water . in hotel nobody interested help that´s pitty , nice hotel spacious room ( second one view king bed ) , surprise , surprise , lot entertainment . 
 Mar 7 2009 	 Decent room 	 soon get cab , bell boy assist free . find room reasonably price . room clean good noise insulation . drawback 's far rest hotel since rent car , really concern we . 
 Mar 7 2009 	 great money pay 	 get back stay 14night break strat . thr 18th floor well impressed size room premier view total cost $ 600 14 night . I would highly recommend people budgetr make change busy centre strip . I previously stay Planet holl , mgm luxor , treasure island . equal room quality . 
 Mar 6 2009 	 Nice hotel 	 lovely hotel end strip want advise people careful walk outside . stupidity , suppose broad daylight husband & amp ; get bus hotel & amp ; say would go shop ! try find shop beep car park petrol station far hotel & amp ; strip , course ignore . turn street next hotel know shop not think would follow , 50 's amazement ! also go past time luckily traffic busy manage get shop . tell staff happen & amp ; say dangerous around & amp ; happen time . ( Bear mind 5 - 5.30pm . ) advise back way hotel & amp ; watched go back . thank ! hear next day happen someone else aswell . tell husband really report . know hotel fault want TripAdvisors guest & amp ; other careful ! 
 Mar 5 2009 	 Great Value Money 	 second visit Stratosphere hotel . intend stay week impressed whole place end stay 3 week January February . three room , fine clean properly every day . Lucky 's restaurant serve excellent food fast , efficient , friendly service . point day really could not fault , staff helpful . Roxy 's Diner good prefer lively atmosphere place eat , include McDonalds . bus stop right outside hotel run frequently 24 hour day , go main Strip Downtown area - convenient . great value , hotel hard beat . will back ! 
 Mar 5 2009 	 get little pay . beware 	 ok first time Vegas budget ! look hotels strip price choose stay call hotel staff assure quick 10 minute walk middle stripe . book standard room two double bed . get happy Vegas not see anything not like , yet . check lady ask we want upgrade show we room map current room suite could upgrade $ 30 night . wise move . suite spacious , two queen size bed , pull sofa huge clean bath room . on second day water not work floor 15 - 24 ( 23 ) call 5 time front desk say could not anything effect floor . go pool , tanned hang 4 hour . miss full morning sight seeing . get back room maid still clean could not go . bout 3 clock still do not water . call say go another room west wing . walk casino , get room key find room . walk small room- suppose room do not upgrade thank GOD . room small dark washroom small could touch wall arm way . quickly shower go back room . not gamble much ! two hand black jack 10 $ slot . the next day toilet stick , call towel never come . check do not take anything water work one day . ask lady take something , take upgrade charge day . get credit card statement actually charge we room go shower , well upgrade suppose take . call hotel confused fix problem say would call back , 4 hour later . overall , look cheap place stay mind take taxi action part strip stay . 
 Mar 4 2009 	 Decent stay price 	 get back weekend trip Strat . overall like place . be clean upkept . room decent price $ 280 4 night ! ! serve purpose , sleep get ready ... top tower unbeleivable ! check bit wait . bad . Dotn really remember check ... resort fee $ 7.50 / night pay check . pool top 25th floor great . nice heat awesome view . pay crapload money cab cause Strats location , cab expensive anyway . would not recommend walk around area night ... well take cab . I m sure would ve save money pay little extra stay somewhere middle strip take cab everywhere ... skrew reservation . call day arrival ask close friend ' room ; next eachother , floor . say problem could next eachother adjoining door . get say nothing system . 3 floor apart . could switch room next day floor . big deal . overall place decent , worth stay . go Luckys ! ! good food great price quick service ! ! 
 Mar 2 2009 	 Return Visit ... 	 second stay Stratosphere less year 's time completely aware expect , actually impressed time last visit . initially upgrade prior arrival Strip View premier room due poor attitude one phone rep make reservation . arrive , seem miscommunication give World Tower room , easily correct one phone call . our room extremely clean comfortable . bathroom also clean well - stock . impressed quality linen / bed pillow room - something would see Hilton Garden Inn Hyatt Place , usual & quot ; standard & quot ; room Vegas casino hotel ! 8th floor pool undergo $ 2 m renovation , convert ( much small ) 25th floor pool family - friendly area . bit windy , not lot people around , plenty space lie . would definitely go back renovation complete pool . all , would definitely return Stratosphere hope year ! 
 Mar 2 2009 	 nice place sleep 	 get back stay Stratosphere disappointed . take weekend meet friend good time however nightlife Stratosphere offer joke . look forward Polly Ester 's Crazy Armadillo let . Polly Ester 's close ( tell lose beer license ) Crazy Armadillo dead midnight Saturday . group one bar except bar staff rude laugh ask Crazy Armadillo . room fairly comfortable , except original room floor drenched tell could take several hour dry ask could wait . kind customer service ? & quot ; hey , floor wet , can not wait till dry ? & quot ; would say pass Stratosphere . show so - so , gaming bland , restaurant run - of - the - mill , room ok . Vegas not par , bland , ordinary , next time will look something well . 
