good 	 second time Sams Town know expect generally . booked room online good rate since mid - week , season people , ask inside room . willing give one ponie another $ 20 night decline - room decor inside outside different , view inside boring . Valet service friendly , room adequate , check check fast place one low resort fee . hotel shuttle Strip warn could take hour get . budget hotel / casino clean okay night rv'rs - quite distance Strip 's Walmart around area need pick anything . eat mexican restaurant hotel mediocre good .. 
 Bad Bed pillow 	 be go stay not get room waterfall sound show noisy unless plan bring ear plug . another thing , need replace bed pillow horrible . bring pillow 
 Aug 18 2004 	 Decent dazzling ! 	 family ( hubby , two daughter ) stay Sam 's Town Fri , Aug 13 one Las Vegas strip casino two night . ( move Friday night Sam 's Town much reasonable price weekend ) . nice enough . nothing fancy . clean , basic room 2q bed . fine price . Felt & quot ; low class & quot ; strip several thing .... first little sign bathroom inform have charge decide steal towel , rug pillow room . understand guess folk can not resist , find poor taste state . traveler check walk cashier cashier someone finally tell we need go & quot ; main cage & quot ; wait 15 minute line cash traveler check . never tough time spend money ! play slot , back cashier little ticket . strip feed ticket back another machine . seafood buffet mob scene endless line que decide forgo . nice selection restaurant , small arcade , nice ice cream parlor decent food court . slot not seem loose anywhere else . could earn free buffet player club , not long enough . waterfall atrium pretty . would liked see show night light . kid feel like wolf bear bit corny , pre - teens magic wear . overall , would say Sam 's Town still deal glitz luxury strip important ... go ! would likely go back stay , would avoid weekend mad house . 
 Aug 5 2004 	 Perfect atmosphere LV 	 spend two night Sam 's Town July 28 -30 . outstanding place transform casino set restort atmosphere . Mystic Falls Park ideal area relax get away gaming . coffee hut sit one many bench chair , drink bar next waterfall , immediately change feel casino environment resort . dining italian restaurant steakhouse within atrium change casino hotel vacation retreat almost immediately . enjoy area available 24 hour day . room standard ; clean functional low price ( $ 29.99 ) . eat buffet twice lunch . could not believe quality selection $ 5.99 ( $ 4.99 senior sticker slot card - 55 yrs ) . favorite prior trip Orleans Gold Coast , must admit lunch buffet Sam 's superior . service friendly prompt . pool area meduim size , drink available shaded area . find video pocker paytable least equal casino visit . blackjack pay 3 - 2 6 - 5 , one disadvantage find . keno high payback casino . roulette $ 1 minimum chip , find 50 cent minimum Orleans Gold Coast . say do , Sam 's Town become high list place stay Las Vegas . 5 mile strip , inconvenience diminish great transportation system Sam 's provide many strip downtown location . vehicle typical oversized van shuttle become . full size bus , similar Greyhound bus . discount Sam 's Town look low price , great service bang buck . 
 Jul 13 2004 	 always stay Sam 's Town 	 love Sam 's Town . Sam 's Town RV Park great . always meet parent Sam 's Town get room stay RV Park . stay twice never disappointed . quick check . kid friendly . get inside room . watch Mystic River Laser light show room . kid ( 5 & amp ; 2 ) favorite thing Las Vegas , & quot ; water show & quot ; Sam 's Town . Fresh Harvest Cafe great Prime Rib Dinner , movie theatre bowling right . great alternative crowded strip . Free shuttle service strip though can not stay away . 
 May 9 2004 	 good hotel price 	 family stay Sam 's Town April 11th . find excellent deal Sam 's Town website $ 24.99 . never stay far strip , pleasant experience . check quick . check around 11 pm request non - smoking room . front desk first advise non - smoking room available , give disapproving look , suddenly find several non - smoking room . not know . room clean roomy . tell hotel room 2 double bed upgrade 2 queen bed . not think case . one night , good . hotel surprisingly quiet . try eat Cafe $ 3.99 steak egg special line long . decor unique . stay next time request room face inside view atrium courtyard . 
 Apr 25 2004 	 blow away smoke ! ! ! ! ! 	 return 4 day trip Las Vegas . stay 2 day Sam 's Town , 2 day Boulder Station . check breeze , request non - smoking . extremely disappoint arrived room . although ' non - smoking ' room , cigarette smoke unbearable . entire room reek smoke bad request another room worst previous ! could smell smoke even sheet , towel , pillow ! ! ! bad stay prior visit Las Vegas . eat steakhouse , okay slow service . also , know arrive mexican restaurant close Monday Tuesday . casino really design attract local . Sam 's Town video poker keno game rather table slot machine . oh , casino three minute , eye bloodshot red smoke . wish back Boulder Station , room pre - pay via internet . get chance , stay Boulder Station . smoke factor casino . mexican restaurant good $ 1.50 margarita ! ! ! also several restaurant include Starbucks , burger king , subway , tcby , china express name few . the service excellent also . 
 Apr 20 2004 	 Family 5 review 	 get back Vegas visit parent - husband 3 kid 13 , 11 6 . wonderful time - check great - room clean staff awsome . pool great restruant perfect we . always something everyone . much gamble husband really good . back soon ... like strip - much comfortable ( car help ) 
 Apr 18 2004 	 great room Great Price Great Service ! ! ! 	 stay Sam 's Town April 13 - 16 love . room great great mattress ( back problem ) . love waterfall laser show fountain night . can not smell smoke non - smoking floor like hotel . definitely go back . drawback Sam 's Town . 's 6 mile Strip 4 - 5 mile downtown . tv small 21 inch . water pressure low morning . not stay room watch tv anyway 27 inch tv would nice . room come hair dryer , iron ironing board good . day iron stop work minute new iron . another day ask two extra pillow come within couple minute . service great . buffet so - so . eat first night never go back . eat coffee shop steak & amp ; egg $ 3.99 so - so . pay pay get one $ 3.99 not go wrong . 
 Mar 25 2004 	 good service value 	 Sam 's Town definitely deserve 's good reputation . check - in breeze take minute . ( night 4 - Star Hotel Downtown Las Vegas take hour check due reservation problem even though room already pay confirmation paper ) . Sam 's town courtyard bright cheery . room clean nice view fall . parking easy number choice meal . problem morning hot water luke warm little cold take shower . overall good value . 
 Mar 24 2004 	 Surprising comp 	 stay Sams Town Sept. 2003 2 night recommendation friend stay another hotel Henderson 7 night . hotel nice casino decent . find staff unfriendly though . pay late check - out ( 3 pm ) disturb 2 lady housekeeping noon leave ..... even though & quot ; Disturb & quot ; sign door ..... walk right . complain desk checkout , rude make excuse proceed charge we late check - out , $ 25 3 hour . since , receive offer 2 free night stay every month . not offer hotel / casino Henderson stay 7 night .... spend lot money . 
 Mar 17 2004 	 love light show wolf ! ! 	 Loved Sam 's Town due different rest - different theme , top . good hotel strip . stay Sahara arrive Vegas , tour see Hoover Dam , Grand Canyon , Arizona desert return Vegas 2 day flight San Francisco . Sam 's Town wonderful , far good hotel stay whole trip would definitely return Vegas stay . courteous staff , excellent food drink amazing light show wolf bear laser light - could fault . 
 Mar 13 2004 	 Overrated Sam 's Town 	 find Sam 's Town highly overrate previous review . much action slot . buffet bad six visit . poor selection poor quality food . serve area dining area dirty . 
 Mar 12 2004 	 Sam 's Town awesome ! 	 husband go Las Vegas quite often always stay Sam 's Town . 's great hotel . room spacious clean . casino nice entertainment bar always good . machine usually pretty loose , compare casino strip ( always seem impossible win ) . be great local casino draw we not seem big overwhelming like casino strip . lay back feeling . 
 Feb 18 2004 	 good little thing Strip 	 decide meet friend Vegas , come unpleasant realization Valentine 's Day weekend , also President 's Day -- price everywhere reflect . try hunt good deal stumble across Sam 's Town . luck ! place far exceed expectation . reasonable holiday - weekend rate ( $ 125 Friday Saturday , compare $ 180 Strip ) , get clean , comfortable , newly decorate room , pick dozen restaurant various price range , damn good time friendly ( albeit smallish ) casino . thing keep mind , though : first , comp not good day past ; .1 % cash back less third will get place strip ( less sixth be play slot ! ) . video poker not seem great advertised , either ; ton machine , not find appear full - pay ( limited experience ) . cocktail service unusually attentive , almost make -- even tiny little serving bring . other say , Atrium nice way relax escape bustle casino . sure , crowd 's bit , ah , seasoned strip , be look see see would not consider Sam 's Town anyway . rest we , be one - stop location gambling relaxation . oh , one thing , though : warn shuttle strip take long time , not run frequently . still , unless be die madness strip , will not want leave anyway . 
 Feb 14 2004 	 best secret VEGAS ! 	 get back Vegas . feb6 8 . ' m early 20 's Cali . hotel really Four Queens nightmare ... 's nothing hotel bad . end Sam 's Town friend stay . walk 's beautiful . dealer nice . good time gamble nice chunk change . italian place inside hotel eat seem fancy great price wonderful food people great . boyfriend enjoy much talk friend eat can not stop talk . ' ve Vegas many time must say Sam 's town BEST ! miss life strip . love Love Love go back . can not say enough . 
 Feb 12 2004 	 Sam 's Town Fun 	 stay Sams Town Aug , 2003 , enjoy 3 day friend . loved stay , Atrium fabulous . return March 3rd Annual Band reunion . get excite ..... great restaurant , gaming , excellent service . highly recommend ! ! ! 
 Jan 26 2004 	 Great Place Strip ! 	 anytime go Vegas , every couple month , always visit Sam 's Town , stay past .. enjoy atrium , friendly service ... good thing go great buffet shuttle service strip downtown .. slot loose .. pool rather small , room great ... 
 Jan 14 2004 	 Excellent Hotel 
 Jan 5 2004 	 absolutely LOVE Sam 's Town ! ! ! 
 Nov 16 2003 	 come 
 Oct 26 2003 	 Sam 's Town great value 
 Sep 17 2003 	 bargain ! 
 Aug 23 2003 	 Recommend 
 Aug 6 2003 	 Best Deal Vegas 
 May 15 2003 	 Hidden Treasure ! 
 Jan 18 2003 	 Sams Town Fun Town 
 Jul 26 2009 	 Top Preis / Leistung 
 May 31 2009 	 Locals Casino 
 Sep 18 2007 	 excellent 
 Aug 28 2007 	 excellent rapport qté / prix 
 Aug 27 2007 	 Ottimo rapporto qualità prezzo 
