Great 	 stay Serrano Hotel four night love . host complimentary social hour free wine tasting every night 5 - 6pm . also serve free coffee morning guest . hotel nicely decorate chic . 's close Union Square make ideal shopper , little bit close rough neighborhood careful wander wrong direction be familiar area . hotel great value pretty reasonable price . 
 Mar 5 2006 	 ' m impressed ! ' m hard impress ! 	 travel extensively business last two decade belong several hotel group frequent guest program . ' ve stay Westins , Four Seasons , Ritz Carltons , Pan Pacific Hotels , intercontinental well small hotel Europe complete opposite end spectrum occassional Holiday Inns like . I also know San Francisco quite well time every year . trip last minute could get usual St. Francis W Palace due convention book . the Serrano convention hotel list day convention room open $ 199 night . price without convention town , understand , would $ 149 ' m sure much less traveler able use priceline similar site . location city , quality accommodation , beat hotel price . not know begin . location perfect , 2 minute walk Union Square 's transportation everything else 15 minute Moscone center . lobby absolutely beautiful small enough feel like vey large living room , especially free coffee service 5 a.m 10 a.m. daily free evening wine reception . it be great fun talk meet people time imagine single recreational traveler would quite plus . staff extremely friendly helpful , unlike say , St. Francis suffer severe drop service point past year . serrano , whim make every effort indulge . emerge taxi front bellman , immediately ask name , remember ever since ( ' m still write ) . front desk staff upon check joke friendly feel like come visit cousin friend know forever . my room slightly small , king bed desk large enough spread work , well - stock minibar , beautifully decorate . bathroom quite small powder - room sized sink toilet , also beautifully appoint leopard bathrobe Aveda toiletry . tub deep , although bit narrow average . extremely large person want take bath rather shower may problematic . room jacuzzi tub two . little space put toiletry kit 's fine , put mine floor sink . small inconvenience consider everything else . everything spotlessly clean . I high floor ask quiet room since windows double pan not think low floor room would noise problem . can not even hear siren go . see can not hear . today work room morning hear housekeeping staff bang around room next . not hear rumble hall . must finally leave noon , room floor do wait . couple toddler would say almost two , across hall . see elevator , ' ve see lobby , ' ve never hear room , morning night . the bed extremely comfortable feather pillow mattress topper softness . heat / ac work well loud . hear extremely little noise room side wall three day . hear one else 's tv , alarm clock , phone . know people room . for business traveler , worry miss amenity use big expensive chain - do not ! huge plusse business free high speed internet every room business center computer case die , also free internet , get folk : free printer fax . charge . business center small hotel 's crowd . need not go search place pay print something , take disk memory stick downstair print . oh yes , little business center open 24 hour ! also iron iron board , essential business person , cordless phone nice . drawback see business purpose lack coffemaker room fact room service restaurant 24 - hour open 7 a.m . , early meeting leave , least coffee lobby begin 5 a.m . , since minibar always walk half block Walgreens buy breakfast yogurt apple danish whatever keep room next day . for kind traveler , interesting plusse yo - yo , mini etch - a - sketch , card , puzzle game room . open free use , pay take . also room furnish oversized umbrella , also free long not take home . game lobby well front desk stock large number board - type game borrow free - great family . couple , well , offer Twister well , um , give size particular room place imagine put Twister mat would um , atop king - sized bed . ahem . ok enough . small , adequate fitness room two treadmill , two recumbant bike , free weight , universal machine . well - stock towel , read material , water , nice plasma tv wall . Everytime check , not crowded , maybe one person . oh yes , unlike hotel fitness room , one open 24 hour . course , free . keep astounded free internet business center . big expensive chain charge arm leg thing dope , pay think need badly . well , know free ..... hotel fond yoga may watch instructional 24 - hour yoga channel television , relax yoga pose detailed booklet desk , reasonable fee , get yoga basket mat / yoga pillow etc front desk . fee , also offer room massage , manicure , pedicure . travel child may want ask size room two double bed put rollaway room one child would rather cramp , think . could do . review read help decide book Serrano , people complain location - well , everyone city couple time know walk far past Taylor St. Union Square else Tenderloin really , female quite comfortable walk back Serrano 11 p.m. alone come direction Union Square . know city pretty well . yes , ton homeless Union Square area always harmless tourist business person want . outside hotel cost $ 400 night . never give money , come back business dinner always ask box leftover not plan stuff little minibar , give one homeless people . ' ve never one single person refuse extremely delighted . hotel restaurant , Ponzu , small menu asian - fusion dinner entree fantastic - they border Thai term spicy keep mind . many fantastic restaurant every price range within block one problem find something suit . the complaint , breakfast Ponzu service extremely slow . perhaps short - staff something . , say , must mention waitress bent backwards explain every tiny delay ( & quot ; ' m sorry think grapefruit juice take minute check , & quot ; & quot ; apologize , table wait long soon get meal kitchen check come , & quot ; ) constantly freshen coffee & quot ; not get cold & quot ; forth . make slowness . write living tend go really , ' ve never stay Kimpton hotel definitely want try . serrano rate four - star would say deserve 4.5 . sometimes come San Francisco fun , work , stay think would rather spend $ 149 night stay use frequent guest point stay St. Francis free . serrano pleasant ! can not say enough . 
 Jan 22 2006 	 Nice suit decent view 	 Stayed Hotel Serrano 5 night ( Jan. 06 ) . location block two Union Square -- ideal first - time visitor returnee like . suites exec . king room ( peek ) well lay , huge small . suite decent sized living room view city peek bay far , far away , nice wake . bathroom tub large , bathroom small counter space ( move table living room ) . hotel part Kimpton chain , fun bathrobe Aveda bath amenity room . 24 hour dry sauna delightful ( be also small gym 2 computer terminal web browsing . Wine serve 5 pm lobby , pretzel nibble . morning coffee tea nice touch . staff helpful accomodate . B & amp ; b package provide ok ( exciting ) continental breakfast adjacent restaurant . drawback cost parking ( adjacent hotel different lot across street ) costly ( $ 30 per 24 hour ) . available neighborhood parking driving , forewarned . 
 Dec 27 2005 	 teeny tiny ! ! 	 stay boyfriend , parking fee insane ! definitely walk lot across street raining sort take bellman reveal two lot surround hotlel $ 31 tax 's $ 38 ... get bill nearly $ 45 obvious sell tactic . work hotel know well ! Funny get car back , driver window way would roll . ( think say anything tip ) , drive way home rain break window would not roll life . city beautiful urban everything expect . definitely recommend take hand sanitizer , especially use public transportation , break horrible cold sore almost immediatly . one thing go staff super friendly , even well know be . gal check not even bat eye split bill use different credit card . the room small still can not believe . nicely appointme , WOW , small space ! thank god not pay $ 100 upgrade would broke parking fee . window not open either drag . 
 Dec 27 2005 	 Nice hotel ... need change parking policy 	 get back Serrano girlfriend . good : -nicely decorate room - Helpful Staff san rogue bellman : ) -decent location , know people wary neighborhood , everyone meet around hotel could nice . -good view room . 16th floor cool ! -extremely easy check - in check - out process . lady check we patient we well.-honor bar price actually somewhat reasonable ! , bad : -If parking charge , would give Serrano 4 star . first , see place little cheap hotel ... bellman make seem like would price park hotel . silly we , work industry & quot ; hosed & quot ; like , oh well . long story short , end pay total $ 44 ( Bellman not mention tax anything , course ) privilege parking . oh well , happens.-the room small . ' m certainly prude mean term room size , kind ridiculous . make phenomonal use room size unacceptable . plus , whole time , see another guest anywhere hotel . , work hotel slow night , open couple sutie try get repeat business . certainly would take bad taste parking charge mouth . anyway , car need decent place stay night would recommend it . however , sort vehicle need room sort size , bother Serrano . 
 Dec 24 2005 	 early check - in great wine champagne 	 stay four night December . arrive Noon thankful able check . nice quiet room . great value thru Expedia . local newspaper USA Today delievere 5:30 morning . pick WSJ morning lobby . great coffee tea lobby start 5 am wine serve 5 - 6pm evening . would definitely stay . 
 Nov 11 2005 	 love free wine 	 spend 4 night hotel start 2 week holiday 23 Oct. find staff pleasant . John ( bell captain think ) welcome . arrive around 6 pm free wine taste come end - take room ask late glass go get us bottle take room apologise full ( small amount go ) . great service . lovely room , nicely decorate , king size bed , comfortable . yes bathroom little small clean nice Aveda toiletry . good selection snack room . yoga basket great idea , wish have time use - good tip / pose leaflet . thoroughly enjoy stay would definitely stay . hear Kimpton hotel look future . 
 Nov 8 2005 	 Amazing Hotel 	 be plan stay Serrano , charm european style hotel . gorgeous , ornate lobey await staff friendly helpful . service quick , efficient staff always ready give advice go , , hail cab carry luggage . service personalise important . stay two different room . one regular executive suite Jacuzzi . comfortable , charming , ultra clean fill little extra : aveda product , robe , slipper , nice wine glass , high quality furniture , beautiful drapery bed 3 huge mirror . ambiance romantic luxurious . hotel 17 floor 10 room per floor approximately . like place charm , place go . wireless internet room time . safe , minibar supply case craving . wine taste tarot card reading occur everyday lobey b / w 5 - 6 . COffee offer morning taste great . hotel theme game , be . term Location , fantastic . 5 minute walk Union square , nordstrom , sna francisco mall , sak great shopping street . 25 minute walk warf . neighborhood fill nice restaurant locate beside great wine store . try worthy wine ! fiance stay night highly recommend ! ! ! ! 
 Oct 16 2005 	 get back home … .Reluctantly . 	 stay Serrano Hotel four night go Sonoma . we arrive hotel late check efficiently . open front door time see bell Captain come run towards we apologize profusely outside . give exact type room specify . read many people complain bathroom hotel say absolutely idea go ? ? , Executive King Suite Jacuzzi bath , still see people complain everything top everything sink nowhere put cosmetic . sink huge vanity area plenty space . tub enormous shower , devine . the room two entertainment center mini bar plus fridge . lot glass board game everywhere . ask foam pillow actually get without ask check in . the service beyond impeccable . early first morning , toilet stop work , phone within minute someone fix . ask towel immediately . hanger thing . there free high speed internet access free business center computer print ever want . package include wonderful massage bottle bubble bath room ! ! book dinner restaurant one night get back late due traffic , order room service small child . restaurant apologize we able attend give we complimentary dessert ! ! ! ! ! ! ! YumGreat Fast Service wonderful food . we miss free wine service every evening town much ! ! Great Stay . would highly recommend . 
 oct 9 2005 	 Nice San Fran Botique Hotel 	 Date : October 9 , 2005reviewer : Delaware TravelerVery nice botique hotel - clean , colorful , attractive . large invite lobby game table . room bath slightly small , certainly point inconvenience . bright , well appoint , comfortable . pleasant , helpful staff - bellman able acquire San Fran tour ticket afternoon short notice . neighborhood fine - short walk Union Square block theater district . save buck ( $ 10 - 13 ) parking next door across street . bar nice oriental resuaurant intimately small . place stay two week California coast tour offer kind breakfast , many place close - Sears Powell St. Union Square . Max 's great , reasonably price restaurant lunch dinner locate across theater . I would hesitate recommend hotel would enjoy stay . 
 Oct 8 2005 	 awful place ! ! 	 pay upgrade suite promise upgrade one available make reservation . bathroom smallest oddest arrange ever experience . room need reparis remodeling really feel clean . staff especially management rude . I write Kimpton chain ( without response ) hotel much well . 
 Sep 30 2005 	 cookie - cutter hotel ! 	 big chain hotel sell - out check site review book Serrano glad ! hotel staff care huge personaility . amentie unique thoughful , goody include : Aveda toiletry , yoga gear / tip , game room , wine 5 tarot reader , hi - speed internet charge plus great bar / restauramt boot . room size small many downtown SF nicely decorate . much think put experience guest Kimpton Hotel . hook matter business take across U.S. future . 
 Sep 2 2005 	 Awesome Service ! 	 visit SF conference May look Kimpton hotel close Union Square reasonably price . serrano exceed expectation expectation fiance , stay nearby Kimpton Monaco expect level quality . stay Executive King suite unlike many review , feel size bathroom fine . whirlpool tub wonderful , especially chance purchase Lush bath bomb bubble bar . aveda product plus . upgrade extra charge give later check - out time Kimpton policy state find cheap advertised price match well give perk ( upgrade base availability : - ) . one night stay , fiance call flower deliver short notice -- much surprise -- deliver leave session morning . charge cost flower . staff extremely helpful business center come handy deadline paperwork . gym fabulous overall decor hotel engage . get chance , ask Dottie 's . far BEST place breakfast around corner Serrano ( ask doorman direction ) . neighborhood may good , hotel make . stay Serrano LoveParade seriously consider stay subsequent visit SF . 
 Aug 24 2005 	 fab - love 	 great place stop . central place interest couple block tram . bar downstairs great bar snack / meal fantastic . clean staff polite helpful . also offer free internet access find useful.all fab place stop san francisco 
 Aug 23 2005 	 Good great 	 stay Serrano 2 night overall , good experience . check , hotel 's computer unlock door we . morning , suppose ask card key front desk -- end go back front desk twice could open door . room nice clean SMALL -- hard time find place open suitcase . free internet nice touch ( be geek bring laptop everywhere ) . Valet parking expensive expect -- $ 42 + tax , $ 45 total . would specifically seek stay serrano nice safe bet back - up plan hotel take . 
 Aug 22 2005 	 okay watch hide fee 	 try .. small room bathroom .. everything nice window not open , big complaint hide fee park none ... valet 39.00 PERDAY plus 4.95 parking TAX TOP room rate 44.00 ! GREAT rate 144.00 thought GOT not . room service marginal price $ 40.00 two contintental plus 20 % tip .. 's SF .. next time stay somewhere else .. 
 Aug 16 2005 	 can not wait afford visit . 	 stay King bed , Jacuzzi suite . wonderful room ! Jacuzzi 5.5 ' x 3 ' - huge ! remember bring bubble bath mixture . service excellent , make feel welcome . 
 Aug 11 2005 	 Coffee anyone ? anyone ? 	 serrano beautiful , small . elevator tiny , bathroom ..... place put stuff ! however , room beautifully decorate well worth bargain price get . location good . problem morning coffee service . hotel provide coffee lobby every morning ( supposedly ) . problem run coffee , take forever replenish supply . also , constantly run cover coffee cup replenishment delay , well . 
 Aug 8 2005 	 June tour visit Serrano 	 stop 13th June 05 . lovely hotel , beautifully decorate well thought . standard room reasonably size well furnished . clean excellent location 5 minute walk Union Square . really problem walk town , feel safe popular area . the hotel offer free coffee morning free wine taste evening tear away shop 5 pm ! staff helpful friendly free use business room internet access require . parking next hotel $ 22 day . turn right hotel entrance opposite Hilton ' Taylor street ' coffee shop independently highly rate breakfast . like indian food , find Merla next door also good place eat . would definitely stop would definitely recommend . put review context , part June tour California New York include follow hotel , also review tripadvisor . sofitel - Los Angeles , Best Western O'cairns - Lompoc , Travel Lodge Monterey Bay , Serrano - San Francisco , Wuksachi Lodge - Sequoia Nat park , Yosemite View Lodge - Yosemite Nat park , Furnace Creek Ranch - Deach Valley , Aladdin - Las Vegas , UN Millennium Plaza - New York 
 Aug 4 2005 	 Nice 	 stay 2 night good Hotwire rate $ 89 . though large , room nice : clean , pleasantly decorate , well - equip . bathroom nice spotlessly clean Aveda product . morning coffee free newspaper appreciate , evening wine reception . free internet small business center also big plus . , one good experience San Francisco boutique hotel . 
 Jul 7 2005 	 Good Value 	 back 3 day Serrano . since go s.f . 3 - 4 time year , always search hotel good value clean polite , courteous staff . serrano thing quite nicely . yes , room little small bathroom tiny . price ( $ 99 / night ) , not expect four season . San Francisco one town visit much hotel really place lie head end day . find staff friendly accommodating . one reason another , twice ask room change . time , request received grant polite manner . other point , also run homeless street , usually run matter stay s.f . thing consider , Serrano Hotel good value . 
 Jul 5 2005 	 ok 	 start say major problem hotel stay . say , would like point people wish stay future issue might run to . when first arrive , first thing notice horrible neighborhood . dirty ( even San Francisco standard ) lot homeless . unpack bag car , overwhelmed smell could describe & quot ; green leafy substance & quot ; smoke 10 foot . could get away could find source . mention fiance & quot ; goodness , someone smoke Marij ...... ! & quot ; doorman hear said & quot ; welcome city ! & quot ; find offensive rude . move different room ( request ) finally settle . room small ( expect ) bathroom even small expect ....... oh well , clean neat . view however . pet friendly hotel accomidate dog expect due fact advertize & quot ; pet friendly & quot ; .Overall hotel fine , place would go way stay choice . sort limited dog . last tip : make sure research choose Serrano , might find something well .... maybe . 
 Jul 4 2005 	 great stay 	 stay Serrano early June 5 day . wonderful trip . to fair , stay start low note arrive late check find not room two double have request . instead put room size large walk - in closet promise move next day . go back front desk promptly switch large room arrange bag move next day , compe breakfast inconvenience . on good part - great hotel . room ( end ) nice size , funky decor average chain , importantly - , clean . service excellent - quick , polite personable . afternoon wine taste tarot reading fun touch . as area - yes , hotel border ( middle ) one less nice area town . hand , two block direction - along perfectly reasonable street - put Union Square . could ask , especially price ? highly recommend Serrano plan stay . 
 Jun 27 2005 	 Quaint cute 	 have complete 5 night stay Serrano Hotel . doorman concierge polite enthusiastic first , day go , diminish . room clean housekeepers well make room morning . complaint would bit stingy soap shampoo . little dog trip trouble adjust . bring dog , ask room 's near elevator dog not get irritated everytime someone come . 's wine hour 5 pm day . although never join , seem quite popular guest . neighborhood one side hotel bit rough , walk towards Union Square , be pretty much ok . all , price pay ( $ 110US / night ) , be good value . 
 Jun 15 2005 	 highly recommend hotel ! 	 beautiful , reasonably - price hotel ! room small , comfortable clean . service top - notch . neighborhood not great , be couple block away Union Square cable car line . 
 Jun 12 2005 	 overall good hotel small bathroom 	 overall , hotel good choice S.F . good location , friendly staff , clean quiet room ( room side face another building ) comfortable bed . free internet business center nice plus complementary afternoon wine reception chair massage . the negative would small bathroom minimal counter space ( pedastal sink ) shower curtin tend blow shower give unwanted massage ! pillow strangely small standard . overall , enjoy stay Serrano would stay . 
 Jun 7 2005 	 Jewel ! 	 husband 5 day stay Serrano enjoy stay immensely . mention honeymooner ( shhh ... always , be little secret tip ) upgrade suite additional charge . suite FABULOUS separate living area humongous bathroom jacuzzi tub big enough two ( tub life saver walk hill Frisco ! ) also send we bottle wine , classy touch . decor ambiance , lobby suite exceptional . LOVED wine hour make sure never miss ! far negative review staff , say never incident , treat courtesy smile count . concierge staff , include John Chad , also excellent . restaurant plenty area , love Muang Thai next door , next small place great breakfast ( cheap area ) drawback hotel area , mention many previous review . case know , Frisco big homeless problem seem beggar concentrated area immediately surround hotel well Union Square , close ( 4 block ) . also several asian massage parlor immediate area , case ' ve never run , simply store front brothel . even see street walker two , also immediate area . ahem . never feel threaten , definitely big turnoff otherwise lovely city . tips : 1 ) need taxi airport , save $ 35 use BART , amazingly clean ( unlike subway NYC ) , easy use $ 5.00 per person . leave directly next cable car line Union Sq 10 minute walk hotel . 2 ) rent car ! parking insanely expensive public transportation good ; promise , miss car ( xcept end day foot ache walk HILLS ! ) even take free shuttle bus Muir Woods Golden Gate bridge ! must rent car , rent day thing need car ( Napa Valley , Carmel , Monterey , Sausalito , etc ) 3 ) rest cable car thing early , line hour long ( make sure take Hyde line , scenic ) . Ghiardelli Square , Hyde Pier , Fishermans Wharf Alcatraz one day , get early enough . WEAR walk SHOES ! 4 ) Book Alcatraz advance , sell quickly . get audio tour dollar , well worth ! fun enjoy ! ! 
 Jun 1 2005 	 great low price ! 	 forget overpriced hotel get money 's worth . service not great , price , hotel highly recommend . 
 Jun 1 2005 	 LOVED ! 	 LOVED hotel- bathroom small give 4 5 least personality , staff FABULOUS would go again- look spacious posh , not . want quaint , well run , clean deal counter space bathroom , place . wine hour terrific although crowed , choose take wine room- get upgrade two room suite terrific . sure ask check , give we 40.00 super low 99.00 hot rate fare get website . enjoy ! 
 may 25 2005 	 Nice Surprise 	 usually stay Westin St. Francis Sheraton Palace San Francisco . wedding family member consider , look reasonably price hotel area . I check review site book little apprehensive . location fine , close seedy area one side . tell immediately walk wrong way . Union Square , downtown , chinatown walk , pick car ( 2 block ) go Napa . everything Serrano 1st class . staff wonderful , wine evening terrific welcoming . bed comfortable blanket wrap sheet . closet bath small , like Europe , everything clean comfortable . morning coffee tea downstair lobby . I put towel sink hold apply makeup , really place else . large table / desk room , mirror side bed . subtle security lobby . my family would stay . 
 may 18 2005 	 quaint crowd . 	 firstly , enjoy stay Serrano . evening wine reception nice break day . room main area pleasantly furnish finish . ... room small . 's corner room really extra place put thing bed . closet slightly large door quite deep hanger . 1 small drawer cabinet tv . also , O'Farrell Street edge Tenderloin lead large flow street people . , garbage truck use area clean 7 Fri . Mon . , make even louder usual . cookie - cutter hotel , detraction ultimate comfort . 5/17/05 
 May 16 2005 	 fantastic hotel San Francisco ! 	 search many hotel online read TripAdvisor review , choose Serrano 5 day meeting / conference finance team disappoint . hotel lovely -- lobby beautiful suite exactly picture Serrano website . team regular room quite please well . staff exceptional friendly . wine hour night lively affair welcome long day meeting seminar ! room quiet night bed comfortable . close proximity Union Square great . although surround area seem bit run , never feel uncomfortable walking area . if one complaint , would size bathroom . bit tight space clean marble floor nice . would highly recommend hotel anyone look great hotel downtown San Francisco ! 
 may 4 2005 	 good boutique Hotel pluse minus 	 Serrano Hotel boutique hotel nicely decorate furnish good location competitive price . serious reservation hotel overall would recommend it . the location Serrano hotel remarkably mixed . immediate surrounding parking lot , run - down convenience store , seedy massage parlor . however , block away several luxury hotel small theatre district , clearly bad neighborhood . despite surrounding never feel unsafe stay . also , serrano excellent location staging foray city . one direction Nob hill , six block away ( although warn , six block UPHILL ) Powell street transportation complex ( Cable Cars , Surface Street Cars , BART , City Subway ) five block direction . also Powell street complex " San Francisco Place " , gorgeous , upscale , suburban shopping mall , Norstroms usual suspect . the décor foyer elaborate confuse . seem cross ancient Egypt baroque Venice . find amusing eye candy first enter . three day later strike bit labor depressing . important thing lobby bright clean pleasantly lay . bell captain inside deal bag , valet outside hail cab . every day happy hour foyer . wine nice ( although , ' connoisseur , gleeful alcohol consumer ) , food not — just step pretzel chip . two elevator plus service elevator ( use often ) adequately cover building . two highly recommend feature hotel exercise room business center . exercise room excellent selection tread mill stationary exercise equipment . thoughtfully furnish ample clean towel — nice touch . business center feature three web - ready pc plus printer fax machine . incoming fax free , computer usage moderate paper supply free . outgoing long distance fax charge apply . note three pc might wait , well service many hotel price range offer . while décor foyer quite questionable , upstairs everything first rate . corridor room modestly elegantly decorate . everything course , clean well - maintain . room , small . room single king queen - sized bed even though feel small . part problem cram full complement furniture ( chair , desk , wardrobe - entertainment center ) without think small room . closet also full sized . ' look good way test relationship , could bad share room significant other . but real problem room washroom , small . full - sized tub ( , huh ? ) tub perfectly fine . problem little room leave toilet . squeeze almost sink mirror . also , hotel make serious mistake place small shelf set toiletry select sink bank perimeter carefully set anything surface sink fall . ' warning , close toilet seat brush tooth change contact lense . decent view look North towards Nob hill . base surrounding , ' believe side hotel going offer great view . the staff generally helpful pleasant although overwhelmingly . significant positive negative hotel . there restaurant first floor serve contemporary cuisine . nicely decorate helpful wait staff . one meal , vegetable stir fry , excellent . overall , would stay . good location , nice place come home end day . small room mean ' want stay long three night , would give serious consideration share room someone else , even wife . 
 May 2 2005 	 would anyone stay ? 	 two week great hotel , serrano disappointing say least . idea hotel rate 4star hotel . room small could walk around bed suitcase floor . commode serve dress stand bathroom , toilet roll 42 & quot ; + toilet . Location + could find , Hilton across street would much well choice . 
 Apr 26 2005 	 Serrano top San Fran 	 Excellent ! ! choose Serrano due proxity conference attend ( Hilton ) cost $ 70 less per night . worried would great due price . however , pleasantly pleased ! colleague ( Hilton ) quite envious hear complimentary car service , wine tasting , business office view . staff hotel go far beyond care guest - quite sure ' ve see - anywhere - travel frequently . well do Serrano ! next time SanFran - ' m return hotel . 
 Apr 13 2005 	 say enough 	 hotel excellent hotel stay ' ve ever . service incredible , restaurant passport delightful experience , room fantastic . ' ve spend much much less hotel , price , hotel UNBELIEVABLE . sit two & quot ; suspect & quot ; area , 8 block square around fantastic , fill restaurant , hotel , vibrant life . prepare pay parking , strongly recommend valet , cost dollar ( $ 4 ) car bring around whenever call . 
 Mar 9 2005 	 Fab hotel ! 	 finish second stay Serrano . several night July 2004 March 2005 . friendly , attentive staff -- take time remember name . wine hour fun & amp ; restaurant , Ponzu , attach hotel quite good . only complaint bad lighting bathroom make makeup little difficult . look forward stay . 
 Mar 1 2005 	 Different Perspective Serrano 	 reading review Serrano expect rather & quot ; snooty & quot ; staff . experience quite contrary ! staff extremely friendly helpful . bell captain want know first stay proceeded explain hotel ; wine taste lobby five six evening , business center gym ( not visit ) , high speed internet room . my room large , well appoint . even though corner room high enough street shut harsh street noise . linen clean change regularly , towel deep thirsty , complimentary terry bathroobes closet , large kind embrace shower . I would recommend hotel traveler . 
 Feb 27 2005 	 Lovely Hotel Heart San Francisco 	 spend lovely night Serrano . room nicely decorate lobby . quiet dark , even though almost adjacent elevator . request high floor room desk clerk manage get we interesting south face city view 11th floor 17 floor hotel . bed comfortable , maybe trifle hard . wine reception actually bring bunch people lobby , fun . $ 125 AAA good deal -- place well ( rate ) cheap , place cheaper well . have want avoid bring car altogether , good policy area . , bring car , able park street leave -- take cab , transit , walk get around . back plan park City garage , think would cost we $ 20.this good place appreciate pretty old hotel downtown . 
 Feb 25 2005 	 Nice room horrid Bath ! 	 select hotel base photo ammenitie list website . room ( Executive King , 1410 ) exactly photo -- except bathroom show good reason . toilet literally squish alcove narrow provide challenge personal hygiene ! powder area quite pain fiance set toiletry four day stay . check , not non - smoking suite reserve offer discount smoking suite substantial rate . picky nose detect smoky smell all- thank , housekeeper ! would really like open windows suppose closed safety reason . overall , charmingly decorate hotel comfortable quiet room .... bath really awful ! 
 Feb 22 2005 	 great stay 	 great stay last two night honeymoon . ( oct 11 - 12 , 2004 ) choose Serrano b / c love Kimpton hotel stay Argonaut first night SF . wine country day want stay somewhere downtown last two night little cheap Argonaut centrally locate . serrano PERFECT ! arrive noticed hotel across street labor union strike go picket line really loud bullhorn , drum , yelling , etc . request room high view , would mean would side hotel face picket line . make request change opposite side willing accomodate . room small side - negative mind . love complimentary wine hour lobby ( even taste wine week ! ) . also love location . convenient Union Sq theater restaurant . doorman concierge fantastic . arrange we get van shuttle ride airport 1/2 price taxi . really wonderful stay . Kimpton hotel definitely favorite ! 
 Feb 12 2005 	 WONDERFUL EXPERIANCE ! 	 call beforehand put rise petal bed . price rose ( $ 12 ) . color room magnificent ... nicely decorate hotel room ' ve ever stay . nice stay hotel really show heritage San Francisco . everyone hotel really nice helpful give we direction . doorman greet we every time come . location great . great tiny breakfast place across street go every morning . great price make specially french toast fresh strawberry whip cream top ! wonderful time Serrano ! 
 Jan 25 2005 	 Quaint trendy 	 Decor great , complimentary wine hour fun , game everywhere , neat decor room . room small side , everything need - plus clean nicely decorate . problem reservation orbitz not file hotel . problem b / c availability . 
 Nov 16 2004 	 LOVED Serrano Hotel ! ! 	 stay Serrano could not well . must spend 4 month try find hotel search tripadvisor review . want economical hotel not sound like fall apart close cable car . picky never stay B & amp ; b motel . result afraid try B & amp ; B SF . serrano perfect . 's pretty picture show staff extremely nice . every time went , ask needed help need car , name . also notice one review reference discrimination . perhaps change see colored customer treat different . front desk employee also color extremely helpful . also nice amount staff available . highly recommend hotel . cable car quick walk away 's great parking garage directly across hotel 's front door 's $ 18 - 24 per day . get hotel $ 119 queen bed room Expedia . oh , room nice really roomy . maybe double crowd 1 queen bed room great . 
 Nov 3 2004 	 good location - poor Reception staff 	 arrive busy night , room allocate next lift noisy neighbour , request relocation eventually agree next room also unacceptable , someone ill & amp ; room require good & quot ; airing & quot ; prior next occupation . eventually allocate smoking room ( non smoker ) tired accepted duress . move next day & amp ; content remainder visit . Doormen exceptional , informative . very good location , 2 block Union Sq , short walk Market Street . breakfast staff surly point rudeness & amp ; food uninviting , go block round corner Max 's ( recommend Abdul doorman ) , restaurant would recommend anyone ! 
 Oct 28 2004 	 Good Experience 	 Serrano Oct. 17 - 21 . got good price Priceline . hotel clerk friendly . ask receive single smoking room high , 14th floor . corner room good view skyline . ask check - in could watch telecast beloved Steelers , clerk say someone would call room . five minute later Chad call , tell , see lobby , direct sport bar block 1/2 away . thereafter , refer name . room well appoint good view , plenty room single person , immaculate bathroom LARGE towel , impressive soap lotion , bathrobe use , two paper every morning ... s.f . Chronicle USA Today ... , tea coffee lobby every morning , free wine 5 6 pm . short walk Union Square , Powell Street cable car turn around one catch BART airport . highly recommend . 
 Oct 19 2004 	 Management need know : good manner free 	 call confirmation , three reservationist say exist , rudely address cooly refer on - line agency make original booking . Hotel.com reservation date correctly call Serrano discover wrong date decide conference call hotel necessary . conference call treat few three uncaring , hostile individual . attempt clarify situation meet , & quot ; really could not say & quot ; , & quot ; not make mistake & quot ; finally & quot ; connect reservation . apparently away desk leave voice message . not handle issue be busy . & quot ; entire event take hour finally simply choose another hotel . positive side .... thank HOTEL -- -- ! ! ESPECIALLY amy ..... Lillian 
 Oct 13 2004 	 Gorgeous Hotel Horrilbe Snooty Staff ( except doorman ) 	 see hotel online impressed photo . even impressed see person . gorgeous ! gripe staff ( except doormen nice helpful … thank guy ! ! ) first staff person check desk snobby , excited hotel ' pay much attention . next day go come back ask near - by car rental place . person encounter desk give obvious " ' good enough look " spit snooty " help ? " ignore ask car rental . ' know . helpful gentleman man front door . way , car rental place couple block away . then hot water go cold . call front desk get " helpful " clerk . say someone would come take look , one hot water ' come back . staff turn great hotel bad time . many great hotel San Fran deal bad manner . 
 Oct 2 2004 	 overall enjoyable stay 	 husband stay weekend Sept. 25 - 28 . check night head wrong direction restaurant reservation . will know be walk ' wrong ' direction - liquer store , vagrant , sex parlor etc . walk right direction feel much safe . perhaps spoil brand new Onyx hotel Kimpton chain Boston , Serrano seem bit worn . lobby wear carpet , room . room clean , small - brick wall view ( have ask view ) . like Kimpton hotel quaint happy hour allow mingle hotel guest . massage therapist one happy hour tarot card reader next . may try Monaco next time - also Kimpton look little fresher . 
 Aug 29 2004 	 well appoint guest room friendly staff 	 stay due great rate , especially satisfied well appoint guest room ( marble bathroom , pliush carpeting ) friendly service . miss wine reception , enjoy free high speed internet excellent view city light . highly recommend - especially look good value . 
 Aug 23 2004 	 small room nice . 	 nice , although room small . 4 people double room cramp . build old explain small room . overall condition atmosphere inside hotel great . hotel edge ' bad neighborhood ' , make sure go right direction walk . good location want near Union Square , good want near Fishermans Wharf Marina . 
