good 	 great location , reasonable conference rate , small clean & amp ; tidy room , free wireless business hotel ! convenient Blue Line Jackson station 
 Aug 7 2005 	 super little hotel great location 	 stay one night weekend pleasantly surprise reading reveiw .... go another couple book room suite ( small couch , table , chair , mini bar & amp ; fridge make get together room ) standard ( small adequate two .... comfortable bed although shower huge ) .... front desk responsive , workout room good size small hotel , lobby get together area busy . but appeal location ... short block Millenium park city offer ! walk Buckingham fountain , lake , Navy Pier .... wonderful get away ! price right .... book various site one room $ 100 one $ 84 ... bad middle good city planet saturday stay middle summer ! 
 Aug 1 2005 	 satisfy Club Quarters Chicago- Central Loop 	 stay 4 night , staff great , room clean quiet location . restaurant staff excellent food . 
 Jul 29 2005 	 Excellent around 	 wife tourist thing Chicago 3 night July 24th - 27th . booked hotel could not turn much well . excellent central location downtown . yeah , be go Chicago spend bunch time hotel room , be go small . plenty room usual hotel stuff , ie sleep get ready leave . they computer available use internet print extra bonus . fast connection too . the room clean well keep , everything order . overall excellent value . 
 Jul 27 2005 	 Front desk staff not deliver 	 book hotel Priceline , first we . look 3 room accomodate 8 woman difficult time , offer $ 100 . per night offer Priceline assign we Club Quarters . we shock amazed , happy ! celebrate 2 & quot ; monumental birthdays & quot ; group tell 2 room w / birthdays would receive suite room would receive bottle wine . ( & quot ; room & quot ; celebrate birthday , would 1 person stay w / I ; pass upgrade other party . ) take luggage room ready room would ready later afternoon . ( bell person available take care luggagge kind surprising ! ) shock open door see size room ! plan spending lot time room , able move close impossible room . teeniest room ever see . realize hotel cater & quot ; business world & quot ; , Monday Friday ; travel business never see anything quite small . before leave hotel , stop front desk speak Angelo Garcia , great help we early , ask someway upgrade room & amp ; would pay whatever price room change . advise check back other get room would see could say charge upgrade get upgrade . ask business card believe let employer know someone go way make something pleasant someone else . Cut chase , arrive back hotel clean leave show find 3 room teeny room Angelo leave day next day . tell teeny room could accomodate roll away , screw . 3 woman full size bed way we want spend weekend getaway . end relent give room w/3 people roll away , definitely put dent & quot ; fun time & quot ; plan Chicago get away w / no spouse child . turn hotel oversell night . meet lobby ( possiblity meet one room size ) catch cab overhear someone book 2 room Priceline get refund 1 room not go use evening . overselle room common , realize . promise people something intention able deliver wrong . go great weekend despite room . hotel 71 ( stay last visit ) host NSync 's Children 's Charity event gawk star coming go ! also , Corner Bakery , perfect breakfast need , yummy way start day . bottom line sometimes get pay ! Lesson learn . 
 Jul 21 2005 	 great little hotel nice location 	 stay hotel June July visit Chicago . 's nice place stay , ideally locate Union Station Michigan Avenue . moreover , & quot ; Night House & quot ; program allow free night Club Quarters 2 different stay . room -- somehow end exact room stay -- little small , meet need . moreover , reference book , fridge , microwave include room , plus low - cost snack beverage deliver . soap shampoo good quality , mouthwash not taste great . shower detachable shower head long cord , get thorough wash . office building right across street , view not great , though part hotel may well viewpoint . happily stay Club Quarters future trip Chicago . 
 Jul 4 2005 	 disappointment 	 book hotel priceline assume room would adequate two people ( guarantee priceline ) . unfortunately , Club Quarters poor job follow part bargain . first room give barely fit desk ( one ) double bed contain bad , locate directly across hall hotel 's ice machine ( heavily utilize therefore quite noisy ) . partner switch room spend night equally small ( though somewhat quieter ) room contain one double bed . although partner 5 ' 3 combine weight 250 pound , barely able move room time without bumping . second day Club Quarters , partner request give room would accommodate two people ( ie room contain queen , king , two double bed ) . although woman front desk eventually switch we room queen bed , curt unapologetic . rather empathize discomfort disappointment , assert priceline request give single room ( claim hard believe fully deny priceline customer service rep ) .On plus side , hotel clean great location . overall , plenty well - locate hotel area ( Hilton Garden inn prime example ) offer appropriate room bed size , excellent customer service , affordable price . Club Quarters may desperate pinch , otherwise would avoid completely . 
 Jun 29 2005 	 Perfect Location Perfect Room 	 difficult time book hotel Chicago . hotel sell could pay $ 300 - 400 per night . finally find Club Quarters Hotel price excellent . also hotel area dowtown Chicago want stay ; close Michigan Ave , Grant Park , restaurant , shop , etc . not expect much hotel know get good price room . much surprise room mini - suite . spend lot time room visit friend explore city , wonderful return cozy comfortable room . definitely stay Club Quarters Hotel next time Chicago . 
 Jun 23 2005 	 Nice Hotel .. 	 have stay hotel time count . hotel choice usually Chicago Hilton tower afford much anymore ! yes room sometimes small , always clean well appoint . like location .. close everything practically ! like security use room key get certain part hotel . resturant bad .. decent price . actually stay pleasure business ! certainly stay ! ! 
 May 16 2005 	 great value 	 little leery , give negative review . however , enjoy stay Club Quarters would choose . love convenience el stops , bus stop , Grant Park , State Street . room small , comfortable . request quiet , off - street side room receive it . we close many favorite haunts- Trattoria . 10 Dearborn & amp ; Washington , Atwood Cafe State & amp ; Washington , Corner Bakery Michigan & amp ; Jackson light meal , Garrett 's Popcorn classic Chicago snack State & amp ; Jackson . my complaint would front desk staff knowledgeable consider tourist & quot ; must & quot ; - Chicago Transit Authority multi - day pass . forgot order online prior travel & amp ; not know direct we buy one . use live downtown Chicago could not readily recall currency exchange close hotel . front desk proceed direct American Express currency exchange not take advice . buy multi - day pass 27 E. Adams- 2 day pass $ 9.00 , whole range . minor complaint sheet quality- scratchy & amp ; definitely would get higher - price hotel , get pay . overall , place great value . 
 May 7 2005 	 Beds Room small ! 	 book room priceline . realize guarantee bed type . Priceline state room accommodate two adult ... ( King , Queen , 2 double etc . ) well , get Queen etc . Etc equal twin bed - . hotel double king tell . fine small . husband 6 ' 6 & quot ; 5 ' 9 & quot ; . since experience neither we enough room queen size bed , decide go twin . get room find small twin BEDS . three night not get much sleep . bed long enough wide enough ! small twin size bed ' ve ever see ! feel though ship , extremely & quot ; tight & quot ; , compact small room . 
 may 5 2005 	 Great Value Location 	 Understand one thing right front : business traveler 's hotel provide great value money extremely convenient location . not get , not waste time stay complain . $ 100 night get clean , efficient room , helpful staff , close train , waterfront shopping . adjacent pub , Elephant Castle great atmosphere good pub food . not get not need pool , fancy restaurant large overpriced room . everything life compromise - think $ 100 night downtown Chicago be downright unrealistic . smart money Club Quarters . save money amazing thing rest Chicago offer ! 
 Apr 30 2005 	 great weekend deal 	 business traveler ' & quot ; member & quot ; chain open public weekend slow day . clean , friendly . great deal downtown Chicago . tiny , non - descript room . value top comfort . check . nice three block walk Art Institute . self - parking discount around corner ; bellman direct . 
 Mar 13 2005 	 Club Quarters excellent Business Traveler 's Hotel 	 currently stay Club Quarters West Adams Chicago ( 3/12 - 3/14 ) . pick room Hotwire , happy get . room consist queen bed , nice desk laptop computer , 19 & quot ; color tv , small functional bathroom shower stall . believe hotel appropriate business traveler , especially free high - speed wireless internet connection work great room . leisure travel , please understand thing miss room , bathtub & amp ; dresser clothe . room small design people enjoy unpack . room clean bathroom . bed comfortable too . the hotel lobby small clean , & quot ; Club Room & quot ; sit read play game . workout room two Precor eleptical machine , couple bike , treadmill , free weight . lot well expect . pub connect lobby nice . since arrive Saturday St. Patrick 's Day Parade , pack lively . parking available site ( valet ) $ 33 / night in / out , walk couple block public parking garage $ 19 overnight . find spot street Saturday night 6:00 pm park free . Taxis , elevated train , bus service around location . walk two block pick # 6 Bus take Field Museum , Aquarium Planetarium $ 1.75 . drive fly , get around easy . one last thing really enjoy walk two block eat Berghoff Restaurant enjoyable german food . overall , pleased Adams Street Club Quarters . 
 Mar 8 2005 	 absolutely Loved Club Quarters Chicago 	 friend absolutely love Club Quarters Chicago . stay 3 night nothing bad say place . little nervous read online review , completely impressed . location SUPER convenient El -- red blue ( O - Hare ) line block away orange line ( Midway ) 2 block away . room fairly small , small ' ve ever stay vacation be room much anyways . room tastefully decorate helpful ammenitie like microwave fridge . someone else comment bed not blanket , be easily available desire . staff WONDERFUL helpful suggestion place eat , nearby far away ... fact take suggestion pleasantly surprise time . pub attach cute wonderful place end evening , although pretty hopping work ! one good pluse hotel treat provide lobby / guest area . coffee morning , homemade cookie soda afternoon , water day long . also computer internet printer available 24 hour day , handy check - in airline . overall , completely happy could not imagine well place stay -- highly recommend . 
 Mar 6 2005 	 great place ! 	 return overnight downtown Chicago . terrific place stay -- quiet , perfect location , comfy mattress , nice workstation helpful staff . price right -- especially downtown . step away train station , el , Michigan Ave . will back ! 
 Mar 2 2005 	 pleasant 	 room cozy location good . close enough michigan ave , far enough crowd . wireless connection weak , however , work fine room . complaint conceirge helpful . 
 Mar 1 2005 	 omg - dump ! 	 stay away falsely claim 4 - Star Jewel & quot ; Loop & quot ; area ! 's 1 - star good ! ! ! room tiny , bed even small , 5'11 & quot ; person can not even keep foot blanket . soon enter elevator hit bad odor come cheap chemical must use keep place & quot ; clean & quot ; . room corridor lead fifth floor smell even bad . ceiling room water stain vent bathroom look like mold paradise ! ! tv mostly snow storm picture quality channel except P - p - v channel . bed consist duvet wrap sheet keep warm night , unless go outside search extra blanket special closet available every guest . learnd option next day almost freeze death first night 25f degree wheather . fortunately , HVAC work well , crank heat room instead . room clean 2 day row , - guess - happen . bad , though , night clerk try make believe room usually get clean check - out . top everything experience stay ! work hotel , understand take upset guest make look well option next time . one company stay last week . ' ve occupy quite room nobody return stay positive review . CQ sure lose one new corporate account incident . 
 Dec 2 2004 	 perfectly ok 	 hotel fine . staff courteous , room nice clean , location central . problem wireless Internet signal weak basically non - functional room 5th floor . go lobby work . would stay , count use internet room . 
 Nov 23 2004 	 good location small room . 	 stay Friday Saturday night , 90 $ per . clerk refreshing change sullen , unpleasant individual check we night Chicago hotel . like relative security use keycard elevator get floor . location superb- block tourist - busy Michigan Avenue , right loop district . comfortable room lobby sit relax use complimentary computer check email . room bed small showerhead fantastic ! great pressure , even stream , etc . bathroom small showerhead make size . breakfast included- pay 11 $ shabby all - you - can - eat buffet restaurant . also , fridge room , would nice otherwise . 
 Nov 16 2004 	 satisfy Club Quarters ( Adams ) 	 spend Tuesday thru Sat . night Club Quarters Conference Chicago Hilton . easy walk distance ( ten block ) always feel safe . room pleasant , love lobby & quot ; library . & quot ; computer room floor ( 3rd ) handy . loved big desk space room paper work every night . also love tv focal point room . probably place need lot room makeup etc . ; minimal shelf space bathroom . nice shower high shower head , since ' m tall . unpleasantly surprise drug store area not open weekend -- have buy banana yogurt every night breakfast ! staff pleasant helpful . good fish & amp ; chip one night pub . good experience . 
 Nov 16 2004 	 basic 	 clean hotel good shape excellent price downtown Chicago . room however , functional , extremely small uncomfortable . two bed enough room 1 foot separation two . noise problem housekeeping staff work fairly early hour slam door . room small enough noise carry well . plus side , excellent english style pub attach , plus lounge nice touch . overall , value simplicity place great , room comfort , probably right place . 
 Nov 1 2004 	 Great Value - Wacker Michigan location 	 husband stay December 2002 . stay Wacker / Michigan location ( keep mind Club Quarters 2 location ) . LOVED price . much nicer anticipate . pay $ 70 room . shopping , restaurant minute walk away . get free continental breakfast . room small , need room ? 
 Oct 31 2004 	 reviewer right one addition 	 spend September weekend night agree feel European ( small , usable ) . thin wall door , though , might lead 3 am wake - up bar folk return home . we pay $ 119 priceline . get room $ 80 location probably make noise . 
 Aug 6 2004 	 great place money ! ! 	 Club Quarters great place stay not want blow budget hotel . staff pretty friendly recommend restaurant w/ great jazz block away . room small , room much . room come w/ coffee maker , fridg , microwave , silverware , plate , etc bar sink . go priceline pay $ 68 night minus taxis fee 4th July weekend . 4 block Taste Chicago , work great . great public transportation system Chicago , get anywhere city include ball park , shopping , Navy Pier , Museums , restaurant , whatever w/ short walk public transportation cab . also plenty breakfast place within block choose drug store need anything , be around . would stay , honestly would not pay $ 200 stay around N. Michigan ammenitie w / out name brand lot less . 
 Aug 6 2004 	 great place 	 go Chicago weekend endet stay Club Quaters Wacker Michigan . staff great helpful . room small clean almost european feel . would stay hotel day . another tip , italien restaurant hotel exellent ! ! ! ! ! must try ! ! ! ! 
 Jul 14 2004 	 great location much recommend 	 room small clean . room size fine two people probably adequate couple small kid room . Adams Street location great Berghoff Restauarant , Sears Tower , Chicago River Shuttle , Union Station art museum within easy walk distance . bar restaurant adjacent hotel serve decent food good drink fair price . hotel staff courteous accomodating . small feat weekend full busy . tourist actually prefer location normally stay near Water Tower Place . Less people , still convenient Michigan Ave shopping Navy Pier via water shuttle taxi . 
 Jul 10 2004 	 Good Value Vacation 	 centrally locate . close & quot ; EL & quot ; train ( 2 block ) . close free shuttle service ( 1 block ) . like Noon check time , complimentary bag storage ( flight late afternoon ) . find room neat , well furnished , excellent matress . hotel staff helpful . free wireless internet access great bonus ! ! ! ! highly recommend traveller want inexpensive hotel centre Chicago . all visitor Chicago least one tour Chicago Architecture FoundationTheir walk river tour highlight visit ! ! 
 Jul 6 2004 	 would recommend hotel 	 location excellent however , find staff unhelpful unfriendly . water pressure shower low .... entire wknd . also , pay 40 US 36 hrs parking ! 
 Jun 18 2004 	 Decent business room 	 semi - small room , clean , wall thin . clean , sparsely appoint , spartan every respect . business . need well sound insulation . 
 Apr 29 2004 	 accommodation Typical Hotel request many traveler 	 two key thing keep mind stay : checkout time @ noon complimentary extension 12:30 get : guest not depart exactly 12:30 ( sound like car rental not ? ) , automatic $ 25 late checkout fee . know hotel unaccommodate regard ? never experience myself . key issue # 2 : plan store bag hotel , staff accept laptops store . reply receive carry liability coverage allow . , ever hear hotel would store laptop .... bag requjeste store matter . , GUEST BEWARE ! ! another piece advice : PAY mid 60 's hotel book , worth . bid Priceline , list 3 - star central LOOP area . booking weeeknd , typically hotel get area . advice : plan bid area ( CENTRAL LOOP ) , bid FOUR STAR ( pool ) , bid $ 75 , will likely end @ Palmer House ( Hilton ) Monroe ( nice extremely ACCOMMODATING HOTEL ) . will glad far SUPERIOR Club Quarters MUCH CENTRALLY locate . one final piece advice traveler : hotel ( CLUB QUARTERS ) place stay plan shopping Michigan Avenue . locate business district , make shop considerable distance . , stay area , would much well serve @ Palmer House Hilton Monroe .... will also graciously store laptop allow late checkout problem fee . : - ) hope help .... happyp travel ! 
 Apr 27 2004 	 Nice hotel weekend stay 	 friend stay weekend early April . price good hotel great area . within walking distance almost everything free trolly right block . ' m ever Chicago would consider stay . 
 Mar 25 2004 	 ' pay something nice 	 get room priceline- $ 80 end $ 100+.room small , clean queen bed small full - size bed - good location would pay buck something nice . 
 Nov 23 2003 	 Nice Hotel Business People 	 book Club Quarters W Adams St Priceline stay one night mid October ( Chicago Marathon weekend ) . get confirmation number month visit , call request room 2 doublebed agree . however refuse give we get ask $ 50 want one . guess anticipate walk - in drive revenue . hotel nice . 's 10 min walk Art Institute Museum . subway bus stop within walk distance . room good small . work area nice world globe wood desk . bathroom extraordinarily narrow counter . hotel club room ground floor coffee ice tea . two computer internet access , tv comfortable sofa . another feature need room card / key get elevator move . parking : discount rate garage one two block away . ( $ 16 overnight ) need ask front desk detail . overall , 's nice hotel business people couple . keep promise customer . 
 Nov 2 2003 	 AWEsome hotel ! 	 great room ! beautiful decor , great view ! loved big desk proximity subway . bar hotel great , always full people . club room downstairs awesome , loved fact could go check email . try stay nextime ! 
 Oct 18 2003 	 Club Quarters terrific one exception ... 	 book good internet rate deal South Loop Expedia ( ? ) - can not see be pay . initial regret come read review speak tiny room little bed . 6 ' 5 & quot ; spouse possess cranky case hotel room claustrophobia , sound like recipe disaster . call ahead request king - size bed , find hotel guarantee get one . prepare husband spend 99 % time outside hope well . end result ? loved room business - friendly set -- -- great desk , ample room work , phone , lamp , wireless internet ready- perfect work - on - the - road need . shower amazingly roomy . hotel really comfortable lounge area lobby several computer w/ wireless Internet , fireplace , tv , newspaper , coffee etc . - exception instant satisfaction ongoing failure wireless internet system ( work product finish e - mail ) last day . , minor challenge overcome hotel one look forward enjoy future . way , several street parking space front hotel available free overnight parking ( 7 pm - 6 ) be willing get early enough avoid tow . great convenience big money - saver ( $ 24 overnight parking , three block away ) . 
 Oct 14 2003 	 great hotel marathon weekend 	 boyfriend stay Club Quarters W Adams St 3 night past weekend Chicago Marathon . please hotel $ 99 / night price pay . hotel 10 min walk start / finish Grant Park . everything else want see easily within walking distance could hop subway get . room good . complaint pillow uncomfortable . free internet access Hotel lobby nice pub next door catch Cubs game ! recommend hotel . 
 Oct 6 2003 	 Club Quarters great business traveller 	 stay Club Quarters Central Loop ( confused Club Quarters Wacker / Michigan ) business . find satisfactory . front desk service excellent - efficient , friendly , helpful . jason front desk great . help get wireless connection work . good business hotel Chicago , especially price . free high - speed wireless huge plus . place secure clean . room small side , definitely adequate . bathtub , large shower sufficient . good water pressure temperature . bed fine . nice work area desktop power , phone , network plug . free coffee . additional service item , like iron / ironing board , extra toiletry , etc . available self - service closet floor , find convenient - convenient thing send up . there be pretty good pub attach hotel . food decent , lot good beer tap . nice 's much else go area night . 's good place relax bar . overall , would definitely stay town business , would recommend . location great business Loop . blue line block away , take L right airport . tourist , probably not good area . 's middle Loop , much sightseeing around , area shut night . 
 Sep 22 2003 	 gem hotel 2 people 
 Aug 13 2003 	 Omni ~ but bad ! 
 Jul 8 2003 	 warning -- beware Club quarter 
 Jun 17 2003 	 wedding party disaster ! 
 Jun 16 2003 	 Ideal Blues Festival visitor . 
 Jun 9 2003 	 good price great location 
 Jun 3 2003 	 never ! 
 Jun 1 2003 	 Nice Noisy 
 May 21 2003 	 great value convenient 
 Aug 11 2002 	 small ample 
 Sep 12 2009 	 CHICAGO 
 Aug 20 2009 	 très bonne situation mais cher pour la taille de la chambre 
 May 30 2009 	 Super Lage Super Hotel 
 Mar 30 2009 	 Ottimo rapporto qualità prezzo 
