Pleasant 	 search many hotel web site , choose Galleria Park . want stay large hotel , appreciate ammenitie provide . wonderful hotel provide . do nicely Art Deco theme . room good sized & amp ; clean update bathroom , adequate sized elevator , free internet , room coffee refrigerator , personable staff , workout room , outdoor 3rd floor terrace jog walk dog GARBAGE TRUCKS middle night . we able park SUV garage 1/2 block away $ 30 / day ( & amp ; tho ' ) 
 Nov 24 2004 	 good location great service 	 spend 4 night mid - November excellent experience . ' ve stay six seven hotel SF rank top boutique . service excellent room comfortable . join Kimpton frequent stay club ( forget 's call ) get free daily paper personalize treatment . hotel close Chinatown , Union Square , Embarcadero . even well block half Montgomery St. BART station thus 40 minute total SFO OAK . skip breakfast coffee many bakery area ( one right next door ) wine hour ( 5:30 - 6:30 ) definitely worthwhile . 
 Nov 23 2004 	 please ! 	 stay Galleria Park week work trip San Francisco greatly enjoy stay . interior room extremely quiet , find hotel clean , even compare expensive hotel . staff extremely friendly accommodate -- one good hotel staff ' ve ever encounter . yes , hotel little worn around edge , appreciate aged charm retain 's cookie - cutter big chain hotel . also enjoy eat Perry 's , next door Galleria . strongly recommend Galleria Park workmate anyone else travel San Francisco . 
 Nov 16 2004 	 recent visit Galleria Park check November 15 	 beat location hotel . staff friendly responsive . hotel limo / cab add bonus . beat location , nice linen , Aveda product , coffee newspaper every day evening wine reception chat mingle . even room honor bar price horrid yes , small boutique hotel area may wear , beat value location . room face street ( want city experience ) okay . also , room clean . important ! ! major hotel still strike quite noisy 24/7 hotel locate away major one , yet close everything . include Union Square , cable car , Market St , SFMOMA . want big hotel amenity go big hotel cross picket line . hotel fit bill nicely long weekend SF . 
 Nov 9 2004 	 bad hotel ever 	 hotel small , old dirty . could wait check 
 Sep 8 2004 	 thoroughly enjoy stay 	 reserve room blind website . really like hotel . location excellent - able walk lot place instead cabbe . ' ve stay boutique hotel among well one . course , one staff member ( not get name ) really good tell we SF get place eat , make experience even well . room small , like old renovate hotel , room nice , clean well stocked . one problem elevator ( stop right floor stop basement moving ) hear someone mention work soon . would still definitely recommend good place stay . 
 Aug 24 2004 	 Wonderfully surprised 	 husband stay Galleria Park , conclude road trip Montana , Seattle , PCH . perfect place finish trip . lobby , room , even lift , charming . complimentary wine evening , comfortable bed . plan return San Francisco , largely base time hotel ! highly recommend . 
 Aug 20 2004 	 average hotel 	 pleasant place rest head night two San Francisco , might recommend elsewhere long stay , special vacation . hotel small , clean comfortable . room also small ( many SF boutique hotel ) feel nice average hotel extra amenity , Aveda shampoo product , soft sheet , pillow . although post mention noise , not hear interior , courtyard room . however , notice normal wear tear hotel -- - room , especially . staff courteous part . outside hotel shopping area . nice store Union Square block away . area safe . I stay also Villa Florence trip . would recommend Villa Florence boutique hotel , elegant atmosphere well location . 
 Aug 15 2004 	 Galleria Park : small special . 	 Galleria Park Hotel San Francisco advantage small hotel , quite impress quality . staff curteous helpful , small lobby quickly become crowded evening wine reception . room 2 double 27 inch tv honor bar decorate nicely , bath small , shower design someone 5 ft tall , 6 ft . several mark notice wall , well broken curtain rod . area hotel primarily business / shopping district , Union Square restaurant several block west , another disadvantage . notice review mention noise problem , 7th floor face office building problem . overall , hotel nice , well option price . 
 Jul 16 2004 	 comfortable quiet friendly place 
 Jun 25 2004 	 great find ! 
 Feb 16 2004 	 great staff comfortable room ! 
 Jan 17 2004 	 excellent one thing . 
 Oct 29 2003 	 great hotel 
 Oct 10 2003 	 Good Location Personalized Service Galleria 
 Oct 8 2003 	 Loved Galleria ... Kimpton Boutique Hotel 
 Aug 5 2003 	 would return heartbeat ! 
 Jul 20 2003 	 Excellent 
 Aug 19 2002 	 Bait Switch 
 Aug 6 2009 	 Posizione ottima 
 Jun 20 2009 	 ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? 
 Jul 2 2008 	 BESOIN DE RIEN ..... PROBLEM 
 Jul 2 2008 	 besoin de rien ... problem 
