Skyline 	 know feel leave home go somewhere exciting be hope hotel book turn amazing ? wish come true . skyline like 4 1/2 5 star hotel . suite divine ... & quot ; home away home & quot ; . soooo much space room , super clean . bed comfy . hotel staff ... doorman , reception service clean service friendly professional . suite impressive view breathtaking ... especially evening manhattan skyline . location central . walk theater district , times square cab / subway accesible . choice restaurant deli nearby . overall ... amazing stay Manhattan thank Skyline Hotel . & quot ; be home away home truelly hide Gem & quot ; . would stay heartbeat ! 
 great except one caution 	 caution : not pay parking twice ! fail tell ' ve already pay parking check . not notice item bill day return home . otherwise , place convenient , clean , include room , common area , restaurant , pool , etc .. room include large screen tv , nice desk chair fridge . staff friendly although concierge seem bit stand - offish . overall , well worth price plan stay . oh - not look like much outside , inside obviously redo . 
 Fantastic Room 	 pay € 120 euro per night room ( www.getaroom.com think ! ) include taxis delux room , say 1 double bed booking . check frienly lady , give room 3rd floor . to supprise room huge , 2 double bed lot room around , large flat screen tv , smallish clean bathroom , larg vanity / dress area side bathroom . also small storage room case , safe , iron ironing board . view garage rear hotel noise plenty see NY centre problem ! room Black blind sleep well comfortable bed . the room spotless , little creamy decor colour like refurbish last year I d say . I not use pool bar bar food area/ resturant look nice , bar quiet every evening make 10min brisk walk Time Square.48th , 49 , 50 th street take Time sq directly , find 48th 49th bit dark walk night small enough poorly light night ( not problem ) , prefer walk 50th night much wide well light . I find hotel bit time sq consider lot walk NY foot tired , subway station near ( could find ) . minor issue , consider previous hole stay NY hotel pallace ! would definatly stay , great find NY dodgie come hotel . safe bet.enjoy NYStehen 
 nice hotel rude valet unconcerned bellhop 	 hotel room nice , clean , large . room book double , nice comfortable bed . restaurant reasonably price come large portion . valet staff rude time entrance check . also , highly advisable wish obtain something car middle stay actually get upon arrive . although valet price $ 10 , would much rather pay well service less rudeness ( ' ve stay alot big hotel around US experience much rudeness ever ) . major note .... book hotel online need make modification call weekday make change .. well call 800 number provide website instead book online . thing aside , hotel nice place stay . 
 Excellent Value 	 return trip NYC Thanksgiving 5 good night Skyline Hotel . lodge plan make early fall leave look 2 room 4 adult 1 4 - yr old last minute rate would not bankrupt . find Skyline reading review book room cross finger . soon step lobby , know go ok . check quick efficient receive room well advance check time . lobby trip elevator art deco feel go back hotel really treat . couple day arrival return see holiday decoration though lobby make sparkle . nice . room large king bed , pullout sofa , desk , armoire drawer hide small refrigerator , vanity counter hair dyer still room 4 yr old granddaughter room play . bathroom nothing speical completely adequate nice towel . room spotless day check , carpet still little damp steam clean part housekeeping duire week acceptable . plastic wrap glass never replenish whole time either room cup leave something , dispose . minor , still enough make less & quot ; good & quot ; pretty low maintenance check somewhere not need concierge help except small maintenance issue AC unit one room fix . staff friendly pleasant time come contact . old lady work gift shop jewel . restaurant seem one stand - out , eat breakfast day leave , go order menu encourage buffet everything time get refill go . everyone appear blame someone else fact go ahead stick gratuity kind rub wrong way . mostly empty much good food around can not see much reason choose . bar drink couple night , pretty dead look big party someplace quiet end evening get . far food neighborhood , many good little pizzeria mention . City Lights Diner Renaissance Diner stand out . 
 great value Midtown 	 reserve deluxe queen room new part hotel back . room large NYC standard recently renovate . room 646 face north . want well view , ask south facing room ( think end _ 34 _ 41 ) thing like . can not tell difference room decent Marriott nice Holiday Inn -- except wallet . $ 10 parking indoor pool ( extreme rarity ) ice cake . liked beat path . get see real manhattanite live restaurant not tourist trap . many , many restaurant choice Hell 's Kitchen area , casual reasonably price , deliver . Empanada Mama 's great . think will stay every time come back . 
 Loved Skyline Hotel ? 	 stay Skyline Thanksgiving . everything need family 4 ( kid age 8 & amp ; 10 ) . love pool , ! room nice view city bed comfortable . nice plasma tv HD service far could tell . staff always friendly helpful . Bis . co. Latte 47th & amp ; 10th great place morning coffee , biscotti fresh fruit . everything require walk 7th , 8th 9th avenue , like walk city big deal . many subway line stop around 50th & amp ; 8th . Taxi $ 32 way lga.from remember , WiFi $ 10/1 day , $ 25/3 day , $ 35/5 day , $ 40 / month . we book getaroom.com get great deal . hotel $ 250 / not Thanksgiving week , get Skyline $ 160 . great hotel overall ! 
 Feb 8 2005 	 's ` ` Good Deal '' period . 	 place good deal . 's block away action much bad shape . room fine parking cost great bonus ! sleep unless brag friend beutiful room cost 300 night still NY back job idea & quot ; Living & quot ; mean . spend money . personally satisfy hotel plenty money spend much & quot ; Value Added & quot ; experience . dive like portraid . NYC version econolodge comfort inn . 
 Jan 26 2005 	 good value 	 return fro skyline december , think hotel good value money , pay get ! ! clean , friendly staff , two good sized double bed room centrally locate . book next dec ! ! 
 Jan 24 2005 	 pretty good ! ! ! 	 recently stay hotel 4 day . staff really friendly hotel clean . diggest world , that s nice change NY . room , ok , bit worn , clean , daily room service fantastic . fresh clean towel every day , less get anything ask . wall bit thin warn ! look action near Times Square fantastic location , go around Chelsea Lower Manhatten bit pain get cab back etc . nearest subway 2 1/2 block away 50th . overall though , could not complain , stay lot bad . 
 Jan 22 2005 	 Good Location 	 return 5 day trip New York wife . New York experience every thing could wish . hotel locate less glamourous part city , ideal location walk major sight see attraction without feel threatend way . hotel reception staff exactly & quot ; nice day & quot ; , staff ( especially male ) . room clean every day fresh linen provide . overall basic hotel good location basis . 
 Jan 14 2005 	 bad 	 return 4 night staay tha Skyline say consider price pay Skyline & quot ; bad & quot ; .The receptionist book we not paticularly welcome say reception staff generally polite helpful . our room good size realise later despite request smoking room put smoking ( 3rd ) floor smell night . the room quite clean bathroom fact good plentiful hot water clean towel . as base 's pretty good value 15 min walk Times Square . perhaps area not great time feel slight threaten vulnerable . all average guess get pay for . as long want base place not bad short break . New York terrific ! ! 
 Jan 11 2005 	 somewhere sleep 	 spend 3 night skyline hotel , bad suppose , room medium size good power shower , cleanishlocation bit dodgy , certainly would let wife leave hotel alone walk time square 15 - 29 min , taxi ride 5th ave 7 dollarsone thing say bar expensive $ 5 nasty pint stella , restaurant expensive breakfast , 13 dollar buffet , wife fruit salad buffet everything else look dodgy , ask waitress would charge we fruit salad -- chanceall place ok somewhere sleep 
 Jan 11 2005 	 experian superior 	 fly way NY Glasgow glad get hotel , tell room give away ! ! ! ! ! however put experian hotel night , return skyline follow day give upgrade junior suite . take persuade though reception staff rather rude ! ! remain time hotel average NYC fabulous ! ! ! 
 Jan 11 2005 	 stay enough ! ! ! 	 family stay 1 night Skyline hotel New York city ( address : 725 Tenth Avenue @ 49th Street ) decide stay ' quite close Times Square . online reservation went smoothly book standard room 2 double bed . put extra request non - smoking high floor . get , RUDE receptionist receive we . not say hello welcome , even say ' hi ' . ask name answer question lazily annoy . maybe think important guest stay 1 night . request standard room 2 double bed ignore instead , get suite 1 double bed 1 sofa - turn bed . first , think fine get big room although one we would sleep sofa - turn bed . , get room , discover slight smoke scent carpet floor dirty . pay around $ 130 night . ABSOLUTELY WORTH ! ! ! ! would rather stay expensive hotel , understand mean customer service actually provide one . , want Skuline hotel , think TWICE & amp ; stay risk ! ! ! ) 
 Jan 10 2005 	 alright ... People behind counter rude . 	 stay recently weekend mother sister . size room nice size w/ two double bed , seem clean , travel around day want go bed early awaken several time heating system bang make noise throughout night . fianlly turn heat room get sleep . next day go check tell girl behind counter furnice say well happen alot room . pretty much could care less stay . come back ! ! ! ! ! ! ! ! 
 Jan 7 2005 	 beware - INCONSISTENT ! 	 book hotel cheap many other ny , know . foyer look nice , room various state disrepair . get seem luck draw . rating 1 star 5 star . some room quite clean tidy , obviously re - decorate within recent year , obviously decade old flaking paint , dirty / wear carpet even crack wall damage wood - work . room smallish , quite spacious . smoke room absolutely stink year stale smoke . air - con often rattle badly ineffective . the buffet breakfast great hardly cheap . the Hotel edge action , unattractive lonely area - ' good 15 - 20 min walk Times Square . get cheap deal unfussy , old mean go . alternatively reasonable standard , must hundred Hotels well one cost much . ( ' ve rate 2 star , rather 1 , simply becuse lucky enough get good room , would O.K . experience ) 
 Jan 1 2005 	 ok - ish 	 arrive back home UK , spend day Skyline Hotel . the room bathroom clean enough , small . light poor whole place seem stuck bit time warp . the problem really room , reserve room two double bed , give room one double bed . ask two extra pillow , seem able find one . have hope hotel would least able track pillow ! hotel reception staff unhelpful , verge rude . restaurant staff scary . air conditioning / heating seem bit confused . switch , hot air come . switch onto cool , bad smell come out . I ' m glad not read review go , 's way would stay Skyline ! really not bad . want somewhere sleep , get . not see rodent not get dodgy rash .. yet . the Hotel reasonable price location . easy walk distance Broadway / Times Square far Central Park . we go one - day tour Grayline Tours , excellent . tour guide friendly helpful .. everyone else , apart hotel staff . I would possibly stay , need somewhere sleep .. though ' ve read rodent rashe , would think twice ! , ok . not major problem . 
 Dec 14 2004 	 Pretty Darn Decent ! 	 read scary review place stay worry turn hotel could book trip . think might rat mouse 2 review report , figure would deal general yuckiness . luckily , good review read true ! clean , room surprisingly large expect ( comparable small Holiday Inn ) , staff extremely friendly ( one desk clerk even take message Mom deliver check ! ) , be little old , good . short walk Times Square within walk distance Lincoln Center not mind hoof little ! 6 $ cab ride every place good . not mind stay somewhere 's little old , would definitely recommend ! alarm clock though , bring ! 
 Dec 13 2004 	 would stay 	 problem ever , great location , problem staff , sticky smelly carpet , also strange rash appear person , pay think great , room 12 hour aday not get chance use pool can not comment , thing mention coffee make facility room will know take travel kettle next time , room large , 3 we , 2 double bed , know friend well problem share , maybe ' m easily pleased want 5 star luxury go 5 star hotel , new york fantastic , hotel great location , would come 
 Nov 29 2004 	 hotel give rash ! ! ! 	 hotel seem like great deal . $ 125 night great price NYC . great location ... within walking distance Times Square . find desk staff extremely rude , not think much . kicker hotel find two week later . friend get Scabies sheet . 
 Nov 22 2004 	 Hotel need ! 	 boyfriend student decide take weekend trip city . big concern hotel price . choose Skyline totally base price . want hotel sleep night , know would rarely . bit leary would find check hotel room base bad review find site . pleasantly surprised cleanliness service hotel . room appear clean ( ' m pretty picky cleanliness , sheet clean well - use ) . hotel show age bit ( chip paint bathroom , iron leak water , couch bit worn ) place rest head night fine ! staff seem helpful question regaurde get around city although not real issue deal staff . we enjoy trip would definitly stay Skyline . use 5 star hotel want romantic room , would not good choice . like we need place lie head night can not beat NYC ! 
 Nov 4 2004 	 awful ... not waste money . well hotel . 	 11 lady attend college stay Skyline 1 night October 21 , 2004 change another hotel . awful ! hotel great need remodeling . look dirty . carpet dirty , paint wall paper come wall , hotel smell old muggy . hotel staff extremely rude . 4 lady room 2 towel . call front desk request additional towel tell hotel not anymore , share towel want take shower . think location good world . long walk Time Square . hotel staff & quot ; not time & quot ; give we direction , neighborhood look appealing . next morning check go Wellington Hotel . treat like famous price Skyline . not waste money Skyline 
 Nov 1 2004 	 good value large suite 	 room large enough three we . deluxe king pull sofa . clean every day . draw back clean people wait answer door ; knock open door . happen 3 time . no rodent insect . nice . 
 Oct 10 2004 	 ok beginning show ' age . 	 come New York Republicans town end pay bit would like . lad take we bag room notice give room one double bed three we even leave reception . tell bloke reception book deluxe room two queen size bed allocate we room two double bed not think could categorized ' de luxe . ' room fairly large view Empire State building . air conditioning work little traffic noise . hotel within easy walk distance Times Square Broadway . never eat hotel always somewhere convenient eat . diner short distance away offer good value breakfast sit mix local . short break Lake George come back stay Holiday Inn Martinique Broadway cheap ( probably 'cos Republicans leave town ) well quality . would use would book Martinique first could . 
 Oct 9 2004 	 risk ... 	 girlfriend go Skyline hotel august 2004 moderately satisfied ... see mouse running room ! ! ! thought make great deal find cheap 3 half star ( ? ? ? ) hotel , rapidly realize go New York , pay get quality . seem like ok hotel , mouse room , representative hotel 's hygiene . way go sleep small animal runnig around room ! finally go Kitano get much well service much clean room ... much expensive ! 
 Oct 2 2004 	 reasonable value 	 reasonable value , far centre clean . on / off switch one bedside light working could pull plug wall bed ! breakfast bland quick . main problem : reception staff unsmile volunteer nothing - drag info . porter go walkabout cheerful helpful locate ( reception refuse help ) . note manager : want hire customer care course ? 
 Oct 1 2004 	 rude horrible service 	 stay Skyline Hotel 9/28/04 - 9/30/04 . say staff unfriendly would put mildly . ill - prepare rude , actually mean - spirited , behavior misfortune dealing . upon arrival noon , king size deluxe non - smoking room would reserve ready . come back three hour later , little concerned clerk unfriendly , never smile say anything necessary , give key room find double , king have reserve . call receptionist . say room king smoking room ( never apologize inconvenience ) . kindly ask happen reservation ? say broken English choose room , & quot ; not guarantee room & quot ; whatever mean . opt non - smoking double ask adjust rate . tell talk manager . not think would problem . , go check , clerk tell not go change rate b / c sign approve rate initial form . shocked . explain obvious -- sign room suppose king would not know not actually enter room could not without check first . accuse lie room would reserve , tell initial mean go pay rate matter room ( ? ? ! ) . ask speak manager . manager even bad . adjust rate , keep lecture sign room choose room initial upon check - in prove point . think Twilight Zone . want charge king size room even place , never saw stay . mistake not upset , way speak . clerk manager act angry never admit make mistake . even sign bill adjust rate , clerk keep mumbling & quot ; sign room room want . & quot ; actually tell quiet , finished conversation . keep mumbling scowling -- manager casually walk away . actually raise voice , tell thank business tell nice day -- still not stop absurd rant . actually end scream match seem want provoke . not care patron stand around wait check . want argue even matter settle . unnerve odd thing ' ve ever happen service establishment anywhere . room old smelly , spacious cheap . location perfect lose . , people run hotel care experience . stay hotel can not afford anything else . not expect treat like human arrive . 
 Sep 27 2004 	 good value large suite 	 hotel less central hotel still manage walk Times Square two young child . feel completely safe area . it great value family child prefer use suite . suite large , clean comfortable fridge , two tv etc . parking also big plus hotel affordable $ 8 entire stay . staff competent particularly enjoy breakfast time staff friendly . Breakfast include cook food - good start day intensive sight - seeing ! would definitely use hotel . 
 Sep 16 2004 	 TERRIBLE HOTEL 	 four friend come back New York stay Skyline Hotel . terrible , waste money stay . staff welcome friendly upon arrival ask assistance information much effort ( unless mean get tip ) . cleanliness , leave lot desire . light poor room shower cubicle soooo small . benefit air - conditioning room , even break several time . warn , first time New York - stay ! ! 
 Sep 15 2004 	 Skyline fade hotel ... 	 hi - Got Skyline Expedia ( rate 3 * & quot ; quality & quot ; hotel ) . tell could not get non - smoking room - saw reserve ( ? ) . park cheap - 8 $ /day , valet unbelievably surly . room clean , many item last leg ... crack wall , window would not quite close , a / c high keep room 70 , etc . room fairly quiet , 5th floor , even though face 10th ave . pay 160 ( business meeting fashion week ) , must say low quality hotel stay NYC . New Yorker Ramada quality ; usually get 4 * MTW hotel Priceline around 120 ( weekend ... ) . want make sure everyone know not really 3 * ( spite hair dryer ironing board ) . neighborhood not appear dangerous , not comfortable walk around 9 pm alone , either 
 Sep 9 2004 	 's money 	 's money will want spend . be come New York need place stay . consider room cost , parking fee , tax top -- add . park directly hotel $ 8.00 per day . Westin $ 45.00 Marriott $ 40.00 . stay New York -- Holiday Inn , Marriott , Milford Plaza , Edison , Roosevelt , Waldorf , Sheraton , Hilton believe hotel one good . quick get room room almost twice large NY Hotels . forget people negative experience -- sure bad day reivew bad . yes area hotel little worn , can not go wrong . spend extra money get deluxe room . nice clean . standard room usually fill people tour oversea group . area safe must walk three block Time Square , safe walk . Taxi 's time well . front desk people bite strange , assertive clear speaking . room service restaurant quite efficient reasonable price . small gift shop . lounge invite relax art deco set . convenience store / deli directly across street , good Pizza shop . one block ton full service restaurant . it be money ! ! fun 
 Sep 7 2004 	 great place stay - spacious room ! 	 stand Sept. 3 . place great ! nicely decorate , spacious room . deluxe king suite $ 119 , bargain NYC . book place check hotel Manhattan Skyline far good . room view hotel tiny ex . Clarion Park South , Broadway Plaza , Milford Plaza , etc . skyline comfortable comfortable mattress bedding . heat indoor pool plus vicinity hotel great - close yet far enough avoid city bustle . ' ve stay many hotel one far good . definitly back . 
 Sep 6 2004 	 bad experience beware ! 	 start something posative room update clean . unfortunately , find staff difficult understand , front desk clerk hard time communicate get room , forget ask direction get public transportation . use parking garage hotel ( valet style give key ) car break . parking garage hotel unhelpful rude could imagine incident . claim responsible offer assistance , kind compensation . needle say go back . 
 Aug 29 2004 	 be not Ritz will back 	 good budget choice NYC . family four find room well - keep comfortable six - night stay July 2004 . get plenty sleep , perhaps due location eighth floor renovate building . pool real plus summer . staff nice enough helpful needed assistance . annoying detail remind we budget level accommodation : run part main level , elevator refuse go top floor , pool room running towel , bellhop intervene attempt use luggage cart ( want get tip ; nice approach ) . would double - check discount theatre ticket price concierge half - price ticket Times Square . Skyline ' Ritz , ' expect . price , exceed expectation . ' back . 
 Aug 28 2004 	 great cheap price 	 stay 3days begin November , husband appreciate much . ideal hotel cheap price - good location , large room Manhattan , clean , simple , Concierge & amp ; stuff kind ! check easy quick , room quiet comfortable clean . 24 hour - open deli front hotel . 
 Aug 17 2004 	 Great Deal 	 play produce 9th Avenue , bring cast Skyline . ideal hotel - good location , good deal , large room Manhattan ! check easy , room quiet comfortable clean . realize have leave something car , attendant let go get , rather charge $ 8 taking car out . only two debit : two room , one one night , one two . inexplicably put car one - night room , much ordeal necessary move room . two , car issue - attendant make go back front desk error tag get car . like put , apology would nice . still , overall , event 8th 10th , skyline great place stay . Beats Comfort Inn . 
 Aug 17 2004 	 Fabulous Deal 	 stay 3 day first week AUG good experience . since drove city , park major concern please find Skyline . room park reasonable . important note : car come garage exactly enter . appreciate that . as note , staff overtly friendly , particularly eastern european bellhop , cultural intentional . efficient , be concerned we . say , issue need attention , can not speak problem solve skill . public area air condition little uncomfortable , livable . lobby pleasant full bustle , mostly tourist family . room clean well appoint price . clean , white duvet soft sheet , nice sofa , laptop size safe , good sized refrigerator view Empire State Building . price pay , think beat . close theatre , Times Square good Thai restaurant city , Pam Real Thai ( atmosphere love Thai food , one ) , deliver room less 20 minute . would stay ? absolutely . would prefer spend money meal Bobby Flay 's dessert Serendipity faux hotel elegance , consider Skyline great value . 
 Aug 10 2004 	 great value money 	 stay Skyline week attend conference NYC . great experience , other group . part reason might actually 2 part hotel . new part group old part . part , feel hotel well keep excellent value price . staff seem responsive speak respect sense humor . & quot ; screamer & quot ; among we get frosty reception front desk . something catch flys honey ? would recommend Skyline anyone visit NYC want blow whole budget hotel sleep 's . give try ! 
 Aug 5 2004 	 great money ! 	 get back 5 - night stay Skyline . would DEFINITELY stay . okay , place bit wear pay $ 119 night expect lot less , especially read negative review site . room nice 2 large bed nice view skyline . bathroom clean , whole room . read rude staff review -- certainly encounter . everyone helpful pleasant deal one desk manager even go way give we money - save tip parking garage next door . hotel great location within walking distance Times Square subway part NY . area great restaurant great deli seem open around clock right across street . even parking attendant pleasant adjacent parking garage $ 8 day advertise -- not move car . one surprise . need take car , $ 16 day even market big city . can not imagine cause problem people write negative review certainly go stay Skyline Hotel . 
 Aug 2 2004 	 great experience ... would recommend parent 	 seem like people range experience ... thankfully , recent 2 - night stay Skyline enjoyable . stay Room 549 , spacious room back tower hotel beautifully appoint extremely clean ( be come fastidious , clean - freak ) . massive bed w/ comfy duvet , elegant bathroom would love home , nice extra like fridge , safe mirrored dress table . ugly paint grouse - large silver - frame b / w old photograph New York set tone whole room ... green velvet cushion couch . pay $ 119 / night felt get good value money . another highlight restaurant hotel ... delicious food selection . as people point would not say staff sunny disposition adequate . problem hotel mediocre water pressure shower front desk promise send replacement light bulb never show . regardless , recommend hotel accessible location , affordable rate , comfortable room ! 
 Jul 28 2004 	 get pay ! AKA ` ` Rat Hotel '' 	 would write bad review unless feel absolutely necessary . avoid other make mistake definitely want publish something everyone read . upon check , room 's tub spaghetti bath tub , however reason abruptly leave . room , saw & quot ; rat & quot ; run curtain . upon call front desk , send man flashlight inform we 4th time however rat ( ) usually hide time get . front desk anything accomodate we . answer Mgr . go till Monday overbooke 6 room vacancy . whereas reply expect we sleep & quot ; rat & quot ; . needless say , 78 yr . old mother check immediately . staff unprofessional time . room accomodation meet originally request even though reservation guarantee room ( six without room 10 pm city await DNC ) ! however , think add include & quot ; Hotel Pets aka rat hotel ammenity ! 
 Jul 26 2004 	 job 	 back three day night Skyline . pick good review board decent price . room big basic clean . concierge helpful question New York , nepalese bartender pleasant soccer - fan . okay , people will not hug kiss come leave complaint like read recent review . location fantastic . minute walk Times Square friendly neighbourhood . would stay ? ? 
 Jul 19 2004 	 ok could well ( bad ) 	 room average . would give strong 2 star rating , maybe low 3 star . little run , nothing terrible . hotel ok location , short walk time square . reasonably price get pay . 
 Jul 6 2004 	 skyline : Great Deal Traveling Car 	 stay Skyline Hotel July 1st / July 4th long weekend . hotel great deal particularly plan drive New York . parking less half price hotel location easy access car ( limit in - city navigation need ) . problem stay . bathroom room super clean . location hotel close walk distance lot attraction subway long distance travel . confused comment make site hotel bad area . seem way we two female travel around town hour day / evening . hotel staff particularly friendly review point however rude . think negative report website reflect people look luxury hotel . get New York $ 100 night ! skyline great deal price adequate we not need mint pillowcase . 
 Jun 20 2004 	 bad stay ever anywhere 	 hotel hot water , front desk never answer phone , wake - up call not make , good part . tour ( grade 8 class ) , hotel agree host farewell dance . arrive rainstorm , without change clothe ( hotel would not let we store luggage hotel , put bus ) hotel refuse us towel first dry . one student sick ( bronchial infection ) , place staff would consider place rest janitor 's accessway , cover filth muck . student could not go dance table hallway , tell could not sit table . overall , staff owner hotel rude , obnoxious , completely unsympathetic customer . 27 country ' ve travel , bad hotel ' ve ever stay , bar none . 
 Jun 8 2004 	 could bad ! 	 stay Easter . not bad hotel money . decent - sized reasonably appoint room , view good name suggest . a block away action , slightly heel ( threatening ) area , 10 minute ' amble Broadway . I would stay . 
 Jun 3 2004 	 Fav hotel NY ! 	 stay hotel 4 time , time use Queen delux internet rate , $ 139 3 people . worth every penny . bed luxurious comfy big comforter . furniture cherry . bathroom big lot hot water , right temperature pressure . restaurant downstairs great food & amp ; reasonable buffet breakfast . the location hotel convenient theatre district , block Central Park . 's great street , go one block toward downtown , lot great restaurant . parking $ 8 / day , privelege . can not beat ny.highly recommend wonderful place . not forget ask 3rd floor back section . 
 Jun 3 2004 	 reservation not get stay . 	 book hotel reservation March . daughter stay satisfied . reason book recommendation daughter , low parking rate proximity Times Sq . attraction . hotel room first night . would put another hotel . tell bellman could get we cab would pay taxi . ask bellman could get us taxi tell could put arm well could . point feel move another hotel probably go good thing . we stay hotel entire stay . come back end get car . 
 May 23 2004 	 great hotel great price location 	 third summer go NYC.We always stay Skyline . great location walk distance attraction . always recommend friend 
 May 17 2004 	 would stay ! ! ! 	 healthy , able walk enjoy people watch place . three we ( woman age 28 - 31 ) went walk whole time Time Square approx . 10 minute walk . price 's bargain ! also not recommend pool . like other view wonderful . take camera . vend machine hallway grab late snack need little corner store across street open 24 hour . downfall would say would stay little well area . common sense know walk home ( dark etc etc , ) fine ! enjoy stay ! staff pleasant also . 
 Apr 25 2004 	 would definatly ! 	 book room girl weekend NYC . book online , problem reservation . print reservation hand , without issue , staff upgrade reservation basic room suite price . helpful need direction go different site . room clean , money can not go wrong . great go roof see skyline New York , thing would not recommend swimming pool . , would definatly recommend hotel , definatly plan go back soon ! 
 Apr 22 2004 	 would recommend Skyline 	 Stayed Skyline April 2004 . nice experience around . clean , newly renovate room , good service , price right nice location close Times Square . 
 Apr 14 2004 	 good location great price 	 Skyline good , reasonably price hotel trip NYC . room clean standard would epect hotel . staff friendly people world - not much interaction anyway . it short stroll subway station shop , restaurant etc . definately good price hotel heart big apple . 
 Apr 11 2004 	 Nice Place little way 	 skyline great hotel . room spacious clean . hotel not anything fancy , want save money fun thing not plan spend whole time room place . price reasonable compare hotel Times Square Central Park , costly . restaurant attachad hotel reasonable . $ 10 breakfast buffet . also room service . 10 minute walk Times Square hotel . walk night little creepy side street get hotel . homeless people sleep street not lite well . not trouble anyone . skyline sure go pool area . see Empire State building . night wonderful site . good luck trip NYC . 
 Apr 7 2004 	 Superb family accomadation - else swim view Empire State Building ? ? ? 	 Roomy accomodation , warm comfortable ( although lack anywhere grow up sit comfortably small one asleep ) .We stay 3 night 4 - 6th March find staff Skyline helpful ( unless want extra pillow room service : ( ) room plenty large enough ( 2 double bed ) although room main entrance , not noisey . bathroom huge clean sparkle - love white tile hope refurbish bathroom similar style . Shower ' forceful ' , although control take getting use : ) would happy stay ....... 
 Mar 13 2004 	 rude front desk personal 	 stay Skyline March 8 - 11 , 2004 . group student tour . first trip New York . room average size . shower bathroom . room smell horrible . ask non - smoking available . second evening 30 minute dress theater . room key would work . russian woman front desk rude . reason check room . belonging room would let . finally 25 minute valet let could change clothe . theater finally get check back . also night hot water 9 pm 4 am plumbing repair . next evening room key would work . tell key sensitive . careful electronic . never recieve apology problem . third evening electricity go second floor many group stay . front desk say many use hair dryer blow fuse . fortunately hotel time . plan return visit hotel ! ! ! ! 
 Mar 11 2004 	 Diamond ruff 	 come business trip visit Stella Triple Pier Antique Shows- hotel good . check , surprise , overbooke standard room , light , upgrade 2 room suite free . certainly not Caesar 's Palace suite- comfortable , clean decent view . staff friendly helpful- concierge personable . close area need in- quiet . great experience definitely return next trip NYC . 
 Mar 3 2004 	 totally amazing deal ! 	 $ 100 night NYC . block Broadway Times Square . Count ! stay twice , already make reservation next X - mas . can not use Priceline ... need guarantee two bed travel kid , deal hard come . probably one good deal Manhattan find . not say good hotel ! really well expect . clean , quiet , convenient . safe . thank Skyline , keep price back ! say add new reservation interface website ( www.skylinehotelny.com ) good . hope change back . easy tell available price . 
 Feb 26 2004 	 like 	 ask revovate new room ... quiet comfortable remember parking fee cheap ny hotel . negative remember ( stay 1 year ago ) take wait 1/2 hour get luggage have store management . also little way NY activity / attraction . 
 Feb 24 2004 	 Warm Welcoming 	 return New York take elderly mother , stay Skyline Hotel , could wish well place stay , friendly staff helpful , large room accomodate two large double bed , room clean clean every day issue fancy lie , putting & quot ; disturb & quot ; sign door go unoticed , maid still come , beware . hotel restaraunt quite resonably price nice food . short walk Times square shopping Mall . definatly go 4 hour coach tour cost Â£27.00 4 hour well worth . would stay hotel . 
 Feb 22 2004 	 Thumbs Skyline Hotel 	 ' ve return 4 - night break New York stay Skyline Hotel . find clean , staff helpful & amp ; be 10 - 15 minute walk Rockefeller Center , 5th Ave & amp ; Broadway . will back soon . 
 Feb 19 2004 	 Complaints Skyline 	 stay Skyline Hotel January 5th 9th 2004 complaint visit . room spacious clean , staff member friendly , concierge extremely helpful . location ideal get Times Square , Rockefeller Plaza , subway -- minute walk . several diner restaurant line street near hotel , deliver directly hotel , convenient late - night dinner . view pool area top floor beautiful . even not use pool , go anyway ( especially night ) , bring camera . 's worth . 
 Feb 19 2004 	 great hotel 	 really good stay . room nice big , get 2 double bed , even though book 1 . nice clean bathroom shower bath . convenient order food - order hotel , nearby diner / delis deliver hotel . not good view room , sleep - not bother we much . view 9th floor swimming pool excellent , see empire state building etc . clearly . heating / AC little noisy , sleep perfectly night , be bad . good location , block Times Square , not problem walk whenever want . Metro station closeby . 
 Feb 10 2004 	 great hotel book year 	 find hotel quite accident Internet . daughter girlie shopping trip March 2003 . bit worrid location settle quick look round realise would ok . staff pleasant efficent room 2 bed overlook hotel entrance . try breakfast hotel first day , bit mistake , plenty place offeree well choice cheap , avoid eat hotel . bus service great much well way see city subway . someone tell we poor people use bus not care , entertainment factor ( one bus trash taxi one day ) well worth . stay 3 day go Subway buy 7 day ticket work cheap , hotel sell day pass catch deli across road understand common scam USA . give man $ 20 note whihc take view till gave change $ 10 . say give $ 20 show $ 10 bill . know give ? 20 . understand common USA guard always announce loudly denomination bill hand . book agin year , hopefully may get upgrade , wait see . 
 Feb 9 2004 	 great hotel tourist New York 	 first visit New York book hotel expedia , stay 4 night love ! book twin room problem . location great block broadway , times square major attraction , well central park . reception staff helpful , room clean tidy . would definately stay return city . tourist fab place stay . walk one block across 50th corner lovely diner eat breakfast every morning , cheap friendly . 
 Jan 28 2004 	 good value $ clean - spacious - great Location 	 good value location . will not get mint pillow 's clean , spacious , well situated . bathroom update . hotel staff courteous helpful . one note , rent car ( really not need ) know park around corner street problem , cost long pay attention street sign know move car . 
