great 	 go group school really nice experience . room really nice everything service . local pub restaurant around hotel make stay even well . grade 1 - 10 , 10 good 1 bad , breakfast buffet hotel like 6 . first day eat , follow morning eat toast coffee . food overral be not good , besides beutiful hotel . 
 Mar 1 2006 	 Normal Double room 4 star 	 Stayed weekend . standard double give definitely 4 star . small junk shop style furniture . wallpaper small part tear ceiling paper nearly hang place . carpet well wear buckle along width could use small child trampoline . paintwork scuffed grouting bathroom discolour brown . the window mouldy around pane glass secondary glazing cause constant annoyance noise air con unit outside . the staff claim room available however , strangely enough , could upgrade additional £ 60 . room 4 star standard Foyer recently receive multi million pound refurbishment . shame not think room ! breakfast nice setting although Saturday queue least 30 minute priviledge . food , overall , adequate , believe scramble egg appear light fluffy total contrast view Chef make like slop . could always try fried variety suppose , available blue ! staff , whole , fine although particularly friendly . 
 Feb 28 2006 	 Pretty Dumpy 	 first , hotel like other stay date London , give value money . arrive , even assign room , say : do not want waste time mine ; please give room look wall . guess ! be exactly plan ! apparently , room calibre : standard double , fact look inner courtyard ( translation : WALL ) . could course upgrade additional 30 bp , hey , , since already pay 200 $ Cnd basically extremely ordinary , dumpy room even window look street ( yes , get , without much trouble , without pay upgrade ) . , Russell great location , since meet 17 Russell Square , hop skip jump hotel . however , not know hotel nerve offer ordinary , dumpy room , badly decorate , small , absolutely nothing special nice . say lobby nice bar , cosy british , hey , not sleep bar . I yet find hotel London feel give value money , still search . 
 Feb 20 2006 	 GREAT HOTEL .... 	 visit London weekend find hotel web .. look great photo not ! find staff helpful breakfast fantastic , room clean comfortable ... gripe evening meal overprice ! ! overall happy would highyl recommend friend ! ! 
 Feb 8 2006 	 real Jewel ! 	 London taxi driver tip we hotel love ! beautiful historic building impressive marbled entry , lovely pattern carpeting , stain glass stairwell , even little dragon atop staircase ! remodel floor beautiful corner room balcony . bathroom modern well do . hotel kindly keep bag we day trip Paris keep late last day London . initial confusion whether room include wonderful full english breakfast buffet , staff professional , seat we tell we worry . wait we hand foot make daughter feel like little princess ! definately stay wonderful hotel . 2 minute Russell Square Tube station , easy commute around London , close great little cafe British Museum . 
 Jan 25 2006 	 impressed 	 wife stay friend think hotel real find . literally round corner Russell Square tube station ( piccadilly line ) impressive facade extrance/ reception . find staff friendly good humour , though laugh head chef breakfast time give underling . speak breakfast well average . room nicely furnish though space little small side typical London hotel . say , price pay ( find good price website ) value money excellent . would say stay London future . 
 Jan 22 2006 	 Russell Memorable ! 	 stay Russell memorable ! particularly pleased courtesy staff , especially front desk gracious booking error book agent offer we choice room . hotel interior beautiful location Bloombury , right around corner tube station , could not well . be also within walk distance British Museum . rate include breakfast good deal get , breakfast separately expensive . renovate room well appoint comfortable bed linen , towel warm , etc . , great view Russell Square . history fine old hotel also interesting . Virginia Woolf friend use hang , though hotel pub name closed . plan stay Russell whenever London ! 
 Jan 22 2006 	 Great Hotel 	 stay Russell 1 night shopping trip London . get deal superbreak pay £ 100 incl breakfast . hotel excellent location , 20 minute walk Covent Garden , bus right outside hotel tube around corner . staff excellent . room modern large London standard clean . buffet breakfast lovely although food general quite overpriced . second floor find traffic noise would keep light sleeper awake . would definitely stay . 
 Jan 8 2006 	 Russell OK 	 stay Russell two night . first night New Year 's Eve . idea hotel rent whole building party , even though guest nothing . partygoer allow run riot hotel staff minimum . surprised review Russell , seem like classy hotel . need business badly would allow partygoer take hotel without consideration guest ? wake 5 morning due fire alarm going evacuate cold outside expect classy hotel . nevertheless , check early evening , staff try make inconvenience might experience upgrade contemporary room . room nice generally helpful friendly attitude staff stay make somewhat first night . 
 Jan 3 2006 	 love RUSSELL ! ! ! 	 husband stay Russell Hotel 12/22 - 12/29 . standard double room first floor . problem hotel . concierge excellent , comfy comforter , even towel warm bathroom ! excellent time , feel & quot ; home & quot ; Hotel Russell ! 
 Jan 2 2006 	 expensive Food 	 spend week Russell , stay 1973 . facade 40s room update , not match exterior . need drawer space , limited . continental breakfast dreary bar 19.50 GBP way line consider serve . concierge wonderful employee . would stay , food cost need address . 
 Dec 30 2005 	 Good Value 	 standard twin room 2 night December impressed . ' ve stay many London 4 star hotel last year say good value . location great tube station round corner bus stop front hotel . room spacious London standard , clean nice decor quiet ( face back hotel ) . Bathroom also roomy , stylish spotlessly clean nice toiletry . reception staff helpful friendly go way help we couple issue . minor niggle . stay really cold weather room windows double glaze despite apparently expensive renovation programme . one staff tell suite top room window replace double glaze room still old window . maybe important consideration middle winter street noise intrude . air conditioning / heating seem work well however staff even offer put portable heater room , though not necessary . issue price snack tea seem exorbitant even London . £ 10 + sandwich really push . small problem otherwise excellent hotel . would definitely stay . 
 Dec 27 2005 	 hotel choice 	 stay London every month period two three day every 2 week always stay Russell . outside look impressive warm place stay , far run - down building typical big chain London . architecture inside wonderful one outside continental breakfast great . room service , well , britsh bit expensive . besides , nice restaurant nearby . always take small room one never issue : clean , confortable appropriate space short stay . caveat air conditioning / heating bit noisy tend locate top bed . hotel also well locate , far Oxford Street Soho , step tube station two step Britsh Museum . cup tea Russell Square , right front hotel , pleasent activity summer . never try luxurious room seem nice ... 
 Dec 11 2005 	 Great London choice 	 take 2 room family . excellent choice . three good thing : location , location , location . access tube , bus taxis ( i.e. , London ) could well . recent renovation result classic English hotel modern convenience . wonderful buffet breakfast . interestingly , rent 2 double room vary considerably size - altho even small one decent size european hotel . bathroom large one almost twice size small - room price . may want ask another room one assign seem small . everything work fine clean fresh . only complaint concierge , complete waste . almost knowledge area ( could not recommend local Thai restaurant good one 2 block away ) ; much interested send restaurant referral card . say & quot ; kickback & quot ; ? ? give we direction one day actually send we wrong way . need replace . doorman , though , quite nice knowledgeable . ask question instead . cheer ! 
 Dec 9 2005 	 return ! 	 note review Russell improve along pace renovation ! pleasant stay English hotel international depersonalised chain . fifth floor room small comfortable everything need stay six night . linen towel clean bed comfortable . plumbing bit sluggish surprising old building . ( wonder bath drain Buck Palace ) excellent european buffet breakfast include package eat enough ( healthy food ! ) keep we go day ! restaurant staff mostly eastern european pleasant , favourite middle - aged woman Donegal native Gaelic speaker . occasion use bar restaurant , tell good ( London expensive ! ) Tesco around corner pick snack hungry need bottled water . another reason would return Russell convenient everything ! want skimp phone call e - mail , kiosk across road . tube , bus stop , Tesco , PO , bank , good souvenir shop , London University anything traveller would need minute away . the old victorian stair great exercise though lift efficient ! sure room satisfactory , could get room change . staff friendly . want English hotel Marriott Hilton replete gang trans- atlantic tourist family . 
 Nov 6 2005 	 great price 	 stay 3 time stay next time London . get great deal 3 time , perhaps contibute positive review . stay Queen Victoria Suite 90 pound per night good . 4 poster bed , balcony , windowe breakfast nook sit area , superb service . quite happy . 2 time renovate room $ 100 per night . happy room well . right Russell square Tube , one train Heathrow convenient . beautiful marble lobby nice introduction . 
 Sep 25 2005 	 bad attitude 	 book non - smoking double Russell , Thursday 22nd Sept. check 20:45 , find room allocate tiny single . return reception , friendly pleasant receptionist , deal 2 previous visit check confirmation e - mail surly male receptionist & quot ; took & quot ; . take 10 minute check computer system , inform non - smoking double room leave . ( allow book one first place ? ) say mind smoking room , ask politely complimentary upgrade mistake , nearly 9 pm keep wait around time . condescendingly say complimentary upgrade question , want upgrade would cost £ 70 . manner attitude appalling . assume booking make agency cheap rate , deserve substandard service . accept smoke double third floor . arrival see allocate one spite . room small , gap table bed 12 inch . bathroom tiny ! basin 10 inch 4 inch , bath half size normal bath , totally inadequate . stay 2 occasion previously , slight hiccough first stay give complimentary upgrade second stay , absolutely first class , maybe expectation stay high . always find staff pleasant helpful past , credit Russell , surly , unpleasant condescend man certainly exception rule . think future ask company remove Russell list accommodation . 
 Sep 15 2005 	 perfectly ok hotel 	 get back Europe . think Russell Hotel fine place stay . first assign room break air condition . switch we immediately upon reporting problem . room nice clean . breakfast include room rate well encounter 3 - star hotel stay entire trip . concierge helpful make call whenever need . good location - convenient quiet location . 
 Sep 14 2005 	 bad get deal 	 HiDespite modernisation really keep age building - decor room bathroom trendy smart . try get room front balcony . pay £ 52 superbreak single room breakfast ! can not complain beautiful grand victorian Building majestic dining room bar . get deal go it - you will not find well area . 
 Sep 2 2005 	 stay ! warn ... 	 quite honestly bad hotel ' ve ever stay . stay lot hotel work , be really say something . proof , need , star rating really not much go by . I pleasure week 's incarceration hotel , since favourite place book . outside , huge victorian building look wonderful , great location Bloomsbury . step inside magnificent marble entrance look reception see bad type & quot ; modernisation & quot ; hit poor hotel hard , suspend ceiling hideous furniture totally keep hotel 's background former majesty . my room locate sixth floor , assume , old servant 's bedroom . tiny . smoking room , even though specifically request non - smoking room . phone reception ask move . refuse . threaten leave miraculously room become free . so , move second floor . much large room seem dark . turned & quot ; windows & quot ; fake inward - face room natural light . also right generator really noisy . could not bother complain again . next day , go breakfast really early . breakfast ok usual London stuff . lot waiter nothing avoid eye contact , grab one want much cup tea . leave , see phenomenal queue - want breakfast go early ! put thing laundry contact reception collect leave room 8 am . return evening , sign laundry . phone reception : not know . suggest not get 9 am therefore would not back next day . protested have phone 8 am have plenty time collect . keep say would phone back not keep chase . finally , two hour five phone call , manager phone say have find laundry dump basement somewhere unwashed ! finally , check , ask concierge get taxi . refuse : & quot ; go get one street & quot ; , say . call four star hotel ? appreciate thing go wrong hotel 's be deal matter . service receive appal much apology . since speak several people work similar experience firm stop use . not say not warn ! 
 Jul 22 2005 	 will 	 little worried stay previous review site ! not much complain about - distinctly average . the marble staircase impressive lack air conditioning reception , bar restaurant make uncomfortable hot weather . having refurbish carpet , wallpaper etc coridoor good unfortunately not extend standard bedroom . room furnishing outdate bed uncomfy . bathroom clean shower good standard importantly hot weekend air conditioning work . I feel guest service little poor . concierge give incorrect information London Eye try ring reception room end range two occasion 
 Jun 25 2005 	 sub - standard standard room 	 great memory Russell Hotel decide stay again . room refurbish individual AC , must London June heatwave . know difference standard , ambassador , executive . book standard online . the standard room vary widely . truly awful acceptable . the individual AC 's may may work . husband spend 15 minute clean air intake filter poor AC machine could work well sound like jet aircraft take . standard double size single , mattress old lumpy , bed smash wall . look onto metal repair scaffold repairman . husband call prison cell . two day able upgrade Ambassador class comfy King Bed overlook park . major improvement , well worth additional expense . celebrate order $ 40pp room breakfast okay prompt . morning eat cheap cafe park park clean tidy . advice book early not book standard . also room problem , firm , ignore say room available ask see guest service . upgrade room smoking floor smoke fine . 
 Jun 21 2005 	 enjoyable stay 	 really lovely time Russell Hotel . refurbishment almost complete , room spacious , bed comfortable service reception excellent . on minus - side breakfast pretty dismal ( price ) cook food keep buffet - style container lukewarm supper menu also expensive . however little cafe park square lovely breakfast situation fantastically close variety restaurant Tottenham Court Rd . there flaw really enjoy stay search internet pick good deal like . 
 may 25 2005 	 nicely refurbish pricey ! 	 stay hotel 5 year ago quite fade shabby , stay two short break past month considerable refurbishment . beautiful look hotel great marble staircase . stay standard executive room , pleasant good facility , excellent sized bathroom , comfortable bed . criticism door lock system ( card key ) old trouble get room , water temperature problem ( cool ) expensive ! . however , easy walk distance British Museum , Oxford Street , Covent Garden , Tottenham Court Road . Russell Square tube around corner easy get around . quite good pub locally , try Firkin pub Coram Street good beer reasonable price . 
 May 17 2005 	 Overnight 	 one night stay London need everything easy reach Hotel Russell perfect location . one stop Piccadilly Line Kings Cross Station two stop Convent Garden . central line easy access Oxford Circus . staff hotel efficient friendly well organise team . luggage leave locked room prior check also check wait travel home extra cost . stay twin room ample space , bed comfortable , although bathroom little small side . view window shame scaffold erect back hotel renovation help . hotel bar price high luckily went arrive back show ( four drink £ 26 ) mixer drink stipulate single double ! breakfast excellent full chioce buffett style continental full english serve large airey restaurant . would recommend hotel short stay quite pricey great location . 
 Apr 13 2005 	 comfortable convenient friendly staff 	 recently stay Hotel Russell three girlfriend . comfortable newly renovate room , balcony view Russell Square , fluffy duvet , immaculate bathroom rainhead showers lot space . pleasant staff lovely public area . eat breakfast not include reasonable rate . plenty place eat nearby . would definitely stay . 
 Apr 5 2005 	 try Hard yet 	 like reviewer , want stay Russell Hotel previously . awe exterior , time , budget not permit . weaken dollar gradual climb ' m willing pay hotel , Russell Hotel become comparable London option , take plunge . pay $ 153 / night deluxe contemporary room United Vacations , give mixed review hotel , bit apprehensive . overall , bad stay . think room good value price , hotel still flaw . hard say point whether would return Russell next visit chance another hotel Bloomsbury / Holborn area . the public space hotel indeed nice . amazing marble lobby blindingly bright crystal chandelier wide staircase impressive . conference room restaurant restore elegant elaborate plasterwork , mirror , marble . wood - panel bar exactly expect victorian hotel , comfortable well - wear leather chair . contrast , reception starkly modern pale blue wall , elevator art deco mirror . food drink quite expensive , mention other , dine drinking option nearby numerous . reception eager pleasant . get complimentary upgrade queen - sized bed king - sized bed 7th floor . step elevator , bathe modern square pale blue lighting pale blue hall . room one newly - remodel contemporary one , size impressive . addition enormous bed , good three foot space side bed addition tv stand two arm chair foot . glass wood partition head bed , partition work area provide desk , telephone , internet connection , storage shelf . amenity include iron ironing board behind full - length mirror panel , smallish adequate armoire , refrigerator complimentary bottle still sparkle water , tea - make stuff , in - room safe . far large room ever London . everything blond wood , pale blue / white paint , glass . bathroom also modern large glass - in shower , heat chrome towel rack , freestande basin granite - top table shelf , generous shelf across entire length bathroom put stuff . bed comfortable high - quality sheet , towel , toiletry . room clean , housekeep good job tidying replenish day . truly enjoy relax room afternoon cup tea comfortable place sleep night . sadly , remodeling work do high quality . towel hook bathroom already pull free wall . carpeting doorway already stain . floor beneath carpet uneven creak . electrical plate fasten askew . preliminary work flat - panel plasma television wall face bed leave expose electrical junction box . notice thing time , really ' affect comfort room , feel regret hotel ' effort undermine shoddy worksmanship . give comfort room , spite inferior worksmanship , probably wonder make we undecided returning . boil plumbing . room , really want three thing : comfortable clean bed , enough room put thing , good plumbing . without three , space high - threadcount sheet ' mean much . essentially , sink shower problem cold water . hot water come abundance good pressure . fine use sink , major problem shower . one get good jet water go , lack cold water mean water scaldingly hot . lower jet water cold hot balanced properly result enthusiastic sprinkle . able shower wash hair , frustrating achieve right set shower morning morning . call problem , worker come three time work plumbing . sadly , suspect problem go beyond anything worker single room overall plumbing hotel . overall scheme universe , seem quite petty complain merely tolerable shower morning , come hotel review , ' minor . so . hotel obviously try hard do thing well . public space great . room layout , space , amenity great . however , plumbing problem major one ( mention reviewer ) , give poor worksmanship remodel , suspect room hold well time . give beauty hotel , want well , hope return , problem address . 
 Mar 27 2005 	 mixed experience 	 ' ve stay hotel 3 occasion mixed experience . essentially come refurbishment ( big time refurbishment ) . get one newly decorate room will quite happy . get one old one - will disappoint . 
 Mar 23 2005 	 money well spend ? ? 	 hotel towards end large refurbishment - literature hotel say do 180 room , would make sense ask for / book one those . we one last weekend nice , finished ! do not appear & quot ; run & quot ; test plumbing problem loo , basin also shower ( bath bathroom - altho do not tell we reserving ) do not seem tho finished painting - patchy touch . be not large room , ' ve small London could access side bed - however , & quot ; regular & quot ; double - would room queen king size bed . super location - 30 second tube station 10 min walk Covent Garden eating would not problem . hotel sit proudly overlook Russell Square delight quick wander around get fresh air brisk walk . Breakfast & quot ; ok & quot ; ' ve several well cold spread London outside , extortionate cost include rate ( £ 17/18 per person ) .The public area big attraction hotel -a super lobby graceful staircase sparkle chandelier . restaurant clubby bar could offer every bit much charm , yet somehow do not quite seem . meanwhile , odd , modern bit ( reception lift notable example ) do not really fit traditional style building . 's old building grand history 's money spend . conclude really money bring scratch , rather exceed expectation . ' ve never stay grand traditional London hotel get decent room will probably walk away satisfied , reckon ( London ) could well . 
 Mar 21 2005 	 take snack ! 	 want stay Hotel Russell many year , attract 's magnificent victorian exterior . inside disappoint : magnificent lobby well - restore mosaic splendid staircase , & quot ; gentleman 's club & quot ; -style bar comfy leather chair , clean comfortable room . however , bar need comfy chair cushion shock price ! ripoff even central London : small beer £ 4 glass ordinary italian wine £ 5 ( buy brand £ 3 bottle ) . hungry , bar menu price astronomical . last time pay much alcohol Iceland ! book online , surprised find breakfast include room tarriff : nowhere make clear confirmation . I would advise anyone want stay Hotel Russell take snack ! well still , 100 yard road excellent authentic Italian Restaurant , Il Fornell , friendly staff reasonable price . 
 Feb 19 2005 	 feel like stay different hotel everyone else ! 	 Russell 2 night February 2005 think take everyone 's comment heart . recently purchase new company huge restoration project moment . personally , would prefer know hallway outside room something construction zone day book , good news room beautiful . new furniture , sumptuously decorate , spacious huge beautiful bathroom extremely deep clawfoot tub . lucky enough get room view Russell Square , though might complain traffic noise , live large city anywhere else world admit be really help hear siren downtown ! staff seem clean act , . reception staff friendly knowledgeable phone sewing kit bottle opener nice professional person door within five minute . also take exception person claim good restaurant vicinity . boyfriend celebrate anniversary fancy indian restaurant 2 block hotel wonderful time . food fantastic . come , 's London ! be never 2 underground stop away good food world . take word -- Russell Hotel get well . 
 Feb 9 2005 	 not get economy room 	 would well stay hostel local university get economy room . decor depressing , carpet stain , ceiling major water mark , bed damp old , bathroom cover mildew , hallway seep stank , air conditioning . room probably not renovate since 50 's . try prudent cost saving booking ( cheap room 4 star ! ) cheap room equate 1 star / cheap motel . go get nice 2 - 3 star room somewhere else . location - wise , everybody point , Russell fantastic . close tube , British Museum , Russell Square , University . 
 Feb 8 2005 	 quite nice 	 reading review , admitt bit apprehensive stay Russell . assure lovely hotel . architecture lobby quite impressive , room renovate , modern clean bar quite cozy . US businesswoman travel alone quite ease Russell . room bit small , problem . hand , bathroom quite large . 
 Jan 24 2005 	 disgusting 	 pay 120 pound sterling room four star hotel disappoint . room small , furniture dirty , linen dirty huge damp patch ceiling . would recommend hotel anyone . 
 Dec 14 2004 	 area problem ! quick bus ride trafalgar sq . Loved Brit Mus 	 March 2004 , stay area wonderful little B & amp ; B ( 50bp ) . desire share name . anyway , great tourist spot short bus ride away . , grocery store nearby supply everything need picnic save we big money & amp ; avoid fat food restaurant . even purchase soy milk cereal attractive breakfast , home . while lot visit British Museum , must say really enjoy . return Rosetta Stone several time help cram sheet able finally translate it . we enjoy across street U London campus well . two week London three day trip boonie cost 2k US dollar . 
 Dec 14 2004 	 architectural white elephant 	 stay Hotel Russell twice , strengthen belief London hotel owner , general , total disregard guest ; be like never - end flow pigeon , reason aspire excellence . first room shabby dreary Russell expect hear WWII air raid siren . second , ultra - modern , ridiculously small , reason flat - screen plasma T.V . ; lack space postcard . room service simply unreasonable request . resentful hostile request . honestly , London stay , sane accommodate stay Royal Court Apartments , Paddington . everyone else either harry , frazzle , wear - about - the - edge indifferent . 
 Dec 12 2004 	 Dreary 	 standard room 6th floor book 7 night conjunction British Airways flight Boston November . Wish stay somewhere pleasant . dreary , tired hotel nothing special - even full breakfast never varied . staff little training make guest feel welcome . bad part good restaurant nearby . also quite walk theater . go spend time British Museum , may K otherwise , find accomodation nearer livlier part London . 
 Nov 29 2004 	 Tired 	 poor old thing feel Russell . hall dreary peel paint batter firedoor . room small tired even though pay quite high price room . restaurant bar close renovation three night stay early November 2004 . room breakfast , staff quality food breakfast excellent . additional note one lift Russell Square Underground station close many month . nasty crowd wait lift . 
 Nov 19 2004 	 basic room grand look place 	 stay Russell October 2004 . grand look hotel great central location . like jog , Russell Square nice place run around . service polite people friendly . alas , room quite basic . bathroom basic ( albeit clean ) decor see well day - notice damp spot peel wallpaper mine . pleased check ! 
 Nov 19 2004 	 old quaint ... dump ! ! ! ! ! 	 short ... public area nice . room , however , stink . bed room clearly old . literally sink 8 12 inch wear spring mattress . room small dank . will look place stay relax deal jet lag , plan touring , etc . need flop house price right perhaps russell o.k . the location prime ... close BM , UCL , etc . but would stay . reason Le Meridian dump place ! 
 Oct 14 2004 	 good location v nice renovation complete 	 stay two night October 2004 standard room 6th floor . air conditionning . room small comfortable , bathroon cramp . much hotel close renovation time , include public room . the staff friendly helpful , dining room great . excellent location traditional draught beer bar . 
 Oct 12 2004 	 magnificent victorian 4 - star 	 Stayed Russell night ago , overall pleased . love victorian buildne impressive facade beautiful , old world interiour . Fitzroy Doll 's restaurant entrance floor reopen nice dinner . single room quite small , clean proper not lack anything four - star offer . staff nice helpful , believe hotel 's future look bright be own international chain anymore . new owner seem care restore original splendour flirt hip 25 - year - old dot - com executive ( like instal PlayStation plasma tv room ) . location excellent want visit British Museum , also Covent Garden Oxford Street . tube station around corner . official rating four star , pay lot less compare price internet - probably pay three star ! probably stay Russell next visit London . 
 Oct 12 2004 	 great select right room 	 stay 6 night Spetember 24 2004.we order via British Airways web site ( refurbish doule rom , include full english breakfeast ) .The first night get room view backyard . very noisy . all hotel engine work night dificult sleep . the second day , upon request move another give Front . the room big , clean confortable . the Bathroom completely renovate . WE plaisant stay . the breakfeast need . the stuff ( specially guy reception ) helpfull . I problem order make via internet ( theatre , sightseeing ) .They open business centre give access internet , make phone call try solve problem even not do . the Underground station corneri recommend back 
 Sep 15 2004 	 awful ! ! ! 	 horrible experience - thank god manage escape another hotel 3 hour arrival Sept 6 ' 04 . Russell re - furbished , AC , hot uncomfortable , tiny room , broken light fixture , telephone could get overseas line , strange set up . & quot ; upgrade & quot ; & quot ; double & quot ; room 8th floor : take elevator 7th floor , walk around narrow hallway , climb 2 narrow stairway 8th floor room ( bag ! ) . room WINDOWS , 2 iterally small hole close dome like ceiling . feel like cave ! nice porter recommend another hotel ( call behalf ) although already close midnight long day travel NY , take cab across town check incredible ( although much expensive ) hotel , love every detail every minute stay . 
 Aug 23 2004 	 value money 	 experience nothing short terrible . although apparently upgrade economy normal room , situation unberable . the room hot , view ugly back yard , builder work , also high noiselevel room . no AC ( cource ) simply keep window open noise . refurbishing mention booked room . the annoying thing however , lack warm water bathroom , drain fix second day complain . the staff tell we would try give we another room , never happen . so task try get money back , opinion , lousy hotel . a nice look entrance hall , isn´t good enough , try quite hotel London , even basic discount hotel , say Russel Hotel bad value money . 
 Aug 14 2004 	 make sure type room get ... 	 stay 6 night October 2002 . economy ( i.e . unrenovated ) room less $ 100 per night Expedia . know get , not actually bad fear . public area ( lobby grand staircase ) gorgeous . room good sized London . come decent ( old ) furnishing , big tv nicer tea set expect . true , paint wallpaper peel place , carpet wellworn , bathroom tile chip , closet door bit shaky . Russell Square lovely , location ideal . good , fair deal price . renovate room undoubtedly much nice , cost least twice much . want safe , comfortable place sleep see London , place fit bill . 
 Aug 13 2004 	 great location great staff 	 hotel elegant staff polite , helpful , refined . furnishing public space unique lovely enough photographed . exterior quite grand . location right next British Museum , walk distance several nice neighborhood include theatre district next metro pretty near train station make ideal . I take single room , functional well - supply , tiny . go bathroom -- tiny , fixture look new shower work well not flood floor , common european bathroom . bed like dorm cot sleep well , window face Russell square open . although busy street , quiet enough night sleep open . I pay $ 200 include taxis tiny room , London high season great location , good deal ( dollar also weak go ) . 
 Aug 9 2004 	 fade beauty still give pleasure ! 	 see Russell Hotel online immediately captivate architectural detail . upon arrivalwe notice rug front hall bit worn feel trepidation decision . however , staff charm helpful . room delightful surprise . it large , nicely decorate , clean , tall window face beautiful Russell Square . feel like home immediately . even though room face onto street park help keep noise minimum . sleep well even window open . bathroom appear newly remodel . white tile modern heated towel rack . first day back shower much surprise . problem encounter air conditioning not seem work room . weather cool not really need . hotel locate Bloomsbury area London nicely fray . always pleasure return every night . 
 Aug 4 2004 	 happy anniversary 	 find website feel need write stay hotel back March 2000 . booked week London celebrate 10th wedding anniversary . the 1st room dull window look directly onto brick wall near could touch . hole bed linen . complain move another room well view standard room still leave much desire . mould bathroom , hole carpet bedclothe . window room also dirty . really overshadow happy time we . picture bedroom see prior book luxury room point we come extra cost . in 's defence breakfast offer second none variety fresh fruit , nuts , baked bread pastry , yogurt , fruit juice , cereal course full english fry amazing . also fair complain return home manager make offer we come back stay one luxury room 2 night minimal cost . accept offer perfect . it go show look comment old , budget room still ( even though much publicity hotel renovate vast cost ) , still poor condition still highlight room likely get 4 year problem . if consider book hotel strongly suggest check exactly type room get , modern upgrade one one old one leave lot desire . 
 Aug 3 2004 	 great experience classic hotel 	 stay Russell Hotel mid - July wonderful time . room ( 6th floor , cheap room ) good size clean bathroom modern pleasant . hotel nice bar lobby good stop long day sightseeing . courteous staff beautiful seating area . restaurant good food helpful staff . hotel great location . British Museum block away , theater district within walk distance well . convenient Underground - use go everywhere , include airport . take 45 minute Heathrow cheap method get . Russell Square park across street cafe good way start day , plan tourist destination . overall hotel staff friendly knowledgable . would definitely stay lucky enough return London . great city , great hotel . 
 Jul 24 2004 	 Stark difference economy room room 	 Hotel Russell 's economy room shabby old . room stay hole carpet shower curtain not clean i - don't - want - to - know - how - long - ago . shower drain friend wait least good half hour shower . hallways dark often dank even electrical wiring hang ceiling . several complaint room think receive ( photo Expedia hotel 's website nothing close get ) , move upper floor final night . needless say , much nicer huge , fully modernized bathroom huge shower stall claw foot tub . economy room , would recommend place . money spend , definitely pay book room least 4th floor . 
 Jul 21 2004 	 location exceed wonderful staff ..... 	 GREAT PLACE stay ! ! ! ! ! take granddaughter , live Boston , London graduation gift , June 23 - July 2 . first , well location London . Piccadilly line tube right side entrance . several bus line stop front entrance air bus to / from airport stop across street . next time , will use air bus ..... will not take Hotel Link van service , take long to / from airport stop make ( 2 hour , way ) . ........... greet cheerfully assist graciously concierge staff reception desk . stay treat guest oppose customer everyone associate hotel . public area ( lobby , bar , dining room ) impressive . room adequate large european standard . bathroom large clean new deep , deep tub soak .... medicinal , lot walk day . food service meal exceed expectation . ask Mary attend table breakfast every morning remember request first morning attentive table . thank , Mary . all attendant reception desk pleasant courteous , attend every request concern promptly graciously . make we feel like friend houseguest client . hope see sometime life . . try good host ...... thank Andre , Zandilla Laura , credit employer . no matter concierge duty , take care anything could assist we daily itinerary . call numerous time try locate luggage arrive . call reservation show , give we direction wherever want go tell we good way get , generally shepherd we around town without go we . thank , gentleman , make visit efficient pleasant ....... especially Bernard , quintessential concierge . every hotel need someone like Bernard make guest feel care secure . if fortunate enough return London , would not stay anywhere else . 
 Jul 6 2004 	 Economy Room Russell Okay 	 book room Russell Hotel see negative review appear site , trepidation check June 24 . already familiar Russell 's exterior neighborhood , though , know good location . when see room , immediately reassure . yes , hallway musty , yes , wear carpet , drapery , etc . visible , room whole clean pleasant . also front hotel nice view Russell Square . good traffic noise night ; unless sound sleeper , not recommend room front hotel ! lobby elegant , restaurant well average , service friendly . money , certainly well adequate . standard room , measure London price , also good deal . 
 Jul 5 2004 	 Excellent Hotel amazing value money London 	 hotel without doubt good value experience several visit London . want something little bit special price B & amp ; b book hotel lastminute . grand interior staircase see believe , staff friendly & amp ; helpful & amp ; location ideal central London ( Tube , Oxford St , Theatres , British Museum etc ) . sure many people find fault hotel , would much rather stay many soul - less box pass high class hotel world . 
 Jun 16 2004 	 Russell Hotel Russell SQ London 	 hot Day Room sixth floor ac 2 fan provide ! location wasgreat room spacious & amp ; elegant pleasant sitting area . concierge mislead we expeditious route airport Hot LINK airport service drive we around London 1.5 hour get road airport . Driver indicate would set half hour late . GREED ! ! customer satisfaction wre tell 45 minit would take . pleast begin twelve hour journey ! ! enjoy stay , perfect weather probaly help ! sense stress friction amongst staff maybe transition time ? ? ? ? ? 
 Jun 16 2004 	 Russell reasonable choice save $ ; convenient . 	 stay Russell Hotel 4 night Sat . June 5 - check We d. June 9 , 2004 . , pay $ 200 cdn night , purchase hotels.ca . review say , location amazing . room small perfect place two people crash night . fixture somewhat old worn , room extremely clean arrive maid service excellent every day return long hot day sightseeing . reasonably comfortable . air con small fan room give relief heat wave London ( 30 + degree , hot sunny everyday ) . notice mildew smell cheap room possible . London astronomically expensive think ok Russell Hotel . 
 Jun 11 2004 	 Poor Upkeep need Renovation 	 hotel badly need renovation . discount room much desire , hallway smell like mildew . room large hotels city , gloomy . the location hotel good asset . not go anything sleep , fine . 
