word 	 stay TMA one night Sunday 29th November business trip . ' ve use , satisfied , Thistle hotel previously different . check - in , fair courteous reasonably quick , tell upgrade cost superior room - jolly good . jolly arrive room . although undeniably large , include seat area sofa , room scruffy long overdue refurbishment . arrive 9 - 15 p.m. ( later would hope ) leave first thing next morning , have reject . several place wallpaper lifting seam ; considerable stain decor ceiling adjacent , lead , aircon unit ; bathroom tired apparent defect appalling state principal table , wardrobe , slightly less degree , bedside table . chip , stained , damage visually dreadful . main table fit firewood . also , bizarrely , tv could not orientate viewable bed . want watch , sofa nothing . ( mattress bed ludicrously soft , hey , maybe 's ) .It explain room & quot ; much , much well & quot ; room would book ... would not want see one ! breakfast ok ... , staff restaurant friendly efficient , check clerk . there way 4 star hotel - charge £ 148 room breakfast excessive poor experience . staff markedly well infrastructure hotel - room border unacceptable ( call ) 4 star hotel high - profile chain . will not back hotel . ' m stay another Thistle hotel Liverpool 2 week time son - not deliver , Thistle forget custom . 
 need reconstruction 	 furring bathroom tap , wear room . 4 lift large hotel - wait away . unbelievable breakfast eat room - look like dining hall factory . 
 good value money upgrade 	 book standard room upon check offer upgrade wich first decline , however go room go back reception ask upgrade pay resonable amount must say difference room huge term size also state room , want bit comfort go upgrade 
 overprice poor service jade hotel 	 Location perfect early morning appointment American Embassy work visa . in aspect Thistle , Marble Arch never fail disappoint . check take forever , room shoddy date . dining room small size hotel , table cram together . breakfast like rugby scrum , walk around circle try find table not use store dirty dish . ridiculously overprice , exist 's location , pay internet ! ! ! ! 
 Feb 5 2006 	 Nice HOtel Good Location 	 Thistle MArble Arch heart London pretty nice room . not much breakfast selection . bed uncomfortable hard sleep , . many group stay hotel be greek , greek tour . nice enjoyable stay clean . bathroom nice room . overall , hotel great location average . 
 Jan 24 2006 	 good location / great price . 	 get hotel priceline $ 55 / night 4 night January . review past pretty mixed wary staying here . I arrive 19 January 7 am . not offer early check - in , even tell differently . offer shower suite able get complete shower change clothing . leave luggage porter check - in . I end room 870 quite happy . expect single , end 2 twin bed ( not take upgrade option ) . room quite large sit area . also , seperate area dress table closet . room safe . bathroom decent size everything work fine . bed great mattress comforter . also , pillow good . Voicemail work fine , not make call - expensive ! ! ! ! not interact staff much , room always clean come night . desk people pleasant porter helpful . not get breakfast can not eat £ 15 worth food morning . get breakfast cheap elsewhere . the room remind basic Marriott Hyatt US - nothing fancy . overall , great value close everything . would stay Marble Arch get great price . picture not develop yet - not post . 
 Jan 18 2006 	 DISAPPOINTING 	 suppose ' ve never travel hotel , basis comparison know well London . we specifically choose hotel ( part package British Airways ) location room advertise fridge ( boyfriend need medication ) early check - in request honor room give small plain wood furniture- like college dorm room . light not work . bad , fridge remove repair tell front desk website info date . tell we ? complaint & quot ; upgrade & quot ; ( charge ) type room see site photo website . fridge work ( ! ) . comfortable , except non - working phone & amp ; silverfish bug bathtub . above , avoid buffet breakfast . though include price , unattractive tasteless . concierge recommend nice place breakfast- another hotel around corner . 
 Jan 17 2006 	 Excellent Location ! ! ! 	 visit hotel week Christmas impress ! ! location : location excellent round corner Oxford St lead Regent St , Picadilly Circus , Trafalgar Square eventually Westminster . direction Hyde Park . tube station do not fancy walk 2 minute away . staff : find staff hotel really helpful friendly . check - simple quick . check 12 noon train never leave 7 pm staff happy keep luggage secure place freat help . room : room really nice - clean well equip usual tea coffee make facility , tv etc . room side hotel quieter . find hotel surprisingly quiet location . consider 4 * hotel fact entrance lobby grand room little bit let nothing complain clean main thing ! ! breakfast : think breakfast amazing - sucj wide variety choose - want cook breakfast , fruit , pastry - name , could go back many time wish . all think really nice hotel - location second none , would definately return . 
 Jan 16 2006 	 Excellent Value Good Location 	 stay hotel write review . pay $ 56 / night plus tax & quot ; 4 - star & quot ; hotel . really 4 - star ? would say 3 1/2 star hotel . room large ever stay european hotel . room clean , comfortable quiet . try hit 20 pound per room upgrade check quite frankly , worth . include buffet breakfast usually price 15 pound . 20 pound , include room . still overprice weak dollar , ? also throw use 2 robe mineral water . the hotel good location near Marble Arch . right central tube line Oxford Street . at price pay , excellent value . think comparable room would cost least double pay . would stay ? yes . 
 dec 23 2005 	 convenient location pleasant room good rate 	 $ 85 night ( Priceline ) , hotel quite bargain . room face interior & quot ; courtyard & quot ; ( actually , look hotel 's heating / AC system ) , remarkably quiet exactly scenic . aside view , room pleasant ( see photo , attach ) , housekeep excellent . however , bed absolutely uncomfortable ' ve ever sleep . sleep back , spring firm actually painful sleep side . except bed , complaint . 
 Dec 19 2005 	 horror stay 	 double room book three month b4 arrival , told get double room available . usual apologetic bull check agent find we triple room would double single bed , fine . room three single . back check , wait 10 min manager see we , manage find we double room ( , ? ) would ready we short . give 10 min ask room would clean . room , suprise suprise , dirty room sleep bed use coffee mug . really lose incompitence employee deal far , pick phone onto manager , available . got call back within 5 min tell could suite night profuse apology , naturally agree , take we one hour arrival get habitable room . Got suite , large fairly well decorate way par rack rate . minibar , two poor tv.s one break tired bathroom , really good impression one hotel good room . dissapointe stay wait , breaky morning , cup , glass , plate cuttlery food gross . short will not return Thistle hotel side next millenium . 
 Dec 14 2005 	 book ! 	 delighted hotel , location excellent cleaniness , room layout staff . dinner hotel night stayed really enjoy selection food service excellent ! recommend hotel friend , 
 Dec 13 2005 	 Better hotel money 	 begin say ' m generous rating hotel & quot ; okay , problem & quot ; , however room clean must give deference housekeeping staff . find staff overall , however , unhelpful good . concierge never call tell package arrive spot box sit floor ask , simply give without ask identification room number . breakfast complete ripoff silly reason , despite take credit card , able charge anything room include phone call , meal , pay tv . restaurant staff outerspace early bird dinner must surely cook night . know quite literally one three people place six evening Saturday . dining room staff spend time guffaw around oogle woman lobby , rather overtly might add , wait patron . Oxford Street room 5th floor noisy barely sleep wink bus coming go throughout night rather rowdy crowd evening . hotel tired noisy thin wall despite boast major rennovation . six morning building hum flush toilet , clomp footstep , bellman drag suitcase seven flight stair permit use guest elevator . overall hotel disappointment location simply ok . although be far major tourist attraction , Oxford Street like one giant american mall . needless say many hotel London well ammenitie , location , staff price . would suggest Copthorne Tara Kensington return next visit . 
 Nov 29 2005 	 Nice hotel - great price 	 city lousy , expensive hotel room , hotel great find . book Priceline total $ 110 per night mid - week concerned almost inexpensive . hotel 's website room $ 10 include breakfast , might well deal . the location excellent - right London 's major shopping area begin Oxford Street , one block Selfidges , three Bond Street , Regent Street . walkable British Museum , West end theater , etc . travel light , nice walk Victoria Station . I could pleasantly surprised . arrive 11 give room immediately . reception staff welcome efficient . room 8th floor face courtyard . elevator quick . hallway nicely do . room fine - enormous London standard large bath . ( ' m happy London get anything large broom closet $ 200 . ) room clean , furniture fairly new - fancy fine . amenity would expect present , include in - room safe . bathroom include towel warmer . heating ventilation fine . bed european - style hotel bed , less padding might accustom US comfortable . large hotel lot people around . think 's give good deal . even , staff excellent deal crowd breakfast , checkout one staff people nice enough help short circuit line . think complaint ' ve read relate difference british US custom . will not hesitiate stay hotel recommend London friend . 
 Nov 29 2005 	 compare favourably 	 fourth hotel area stay recently , price range . far well - large room ; clean ; comfortable bed ; good atmosphere public area hotel ; helpful staff . will back . 
 Nov 29 2005 	 enjoy every minute 	 excellent location , great food friendly efficient staff . spacious , clean bedroom comfy bed pillow . elevator reception area problem fact treat tired foot ! area , include reception area dining room well decorate maintain . certainly stay . 
 Nov 28 2005 	 Theft/ Customer Service 	 pro : good locationcon : Rampant theft customer service whatsovever imagine room break everyone look happen everyday okay travel insurance cover loss . happen . contact GM guest relation manager . effort security office whose equipment work & quot ; that s good reply & quot ; .. stay take anything large ipod . do not try leave valuable fit safe front desk allow take item . 
 Nov 26 2005 	 great location 	 fabulous location see London . hotel clean , hop people , breakfast great , room large bathroom big . complaint . escalator lobby area big deal keep street noise away . staff friendly attentive time . booked stay londontown everything go smoothly reasonable location hotel . would definitely stay return London . tube station around corner , Oxford Streeet = main shopping area , 2 second away , lot restaurant , taxis bus available . 
 Nov 11 2005 	 good location Great Rates 	 stay Thistle Marble Arch 3 night begin November . booked room Priceline $ 75 night . assign room 8th floor twin bed could pushed together . room clean spacious . mini - fridge small item . Marks Spencer food market basement right around corner lot goody prepackage sandwich , salad , fruit , etc . hotel close two subway stop right middle Oxford Street shopping . overall , great deal nice hotel London . 
 Nov 11 2005 	 great place price ! 	 stay weekend Oct. 28th get incredible deal Priceline . $ 75 per night two night ( plus fee ) ... truly beat London . location perfect . one block Marble Arch tube stop step away Oxford Street shopping ! ! room clean decent size . hotel overly modern new seeming , definitely nice place lie head night shopping sightseeing . staff polite well . ' m sure go rate hotel book outright would definitely say worth least twice pay . 
 Nov 7 2005 	 bad 	 read quite negative review site , bit apprehensive , pleased 2 - night stay . location excellent , yes , long walk room , not find problem . choose upgrade room ( offer everybody check - in ) , smart . toiletry include , eat probably much nicer cheap breakfast café close . unless depend amenity offer upgrade , doubt would worth price . the time elevator particularly busy around check - in / check - out time , otherwise elevator really fast . room nice , bright , quiet . handy empty minibar stock water bottle . I would not recommend hotel people child stroller disable . 's escalator lobby steep step ( could not see special elevator group ) . 
 Nov 3 2005 	 nice weekend break 	 book two ticket see Les Mis saturday afternoon £ 130 per room last minute . room corner room rear hotel , mean long walk confusing corridor get room . the room v clean , bright reasonable size seperate desk area . bed comfortable yes waterproof cover previously mention find bad thing all . great base weekend London see theatre mighty Arsenal . Compare Regent palace piccadilly roughly price , win easily . would return price . 
 Oct 21 2005 	 Beds date back turn century ... 18th Century ! 	 review correct , hotel large room bathroom nice London . airconditione excellent . location OK . not expect get size bed request . give two twin request King / Queen . twin bed overly soft , mushy totally unsupportive . mattress pad feel button mattress try sleep . bad 2 bed ' ve ever sleep . lose two day work upon return state back pain . not make cheap price priceline worth . decide stay never book hotel without use priceline . pay US $ 60 night disappointed . good 2.5 star hotel . 
 Oct 18 2005 	 nice central base operation London 	 nice stay 2 night way Italy . hotel half block away March Arch Underground station up - scale neighborhood close variety shopping / dining option . book room Priceline get great deal ( $ 75 / not ) . complaint would : ( 1 ) request room queen bed , give triple room three single . end slide two bed together use third luggage not big deal , worth mention ; ( 2 ) concierge not helpful . basically fend reservation fairly new restaurant nearby ( Maze ) concierge idea ( fact , never hear ) . 
 Oct 8 2005 	 great deal good location large room 	 good part hotel 's price , size room location . priceline get 5 night 59 usd , can not beat central london location . room spaceous , clean window open . nice size bathroom , room safe , iron board . thing room lack space unpack clothe although closet large . bed bit soft yet okay . downside 2 twin available . many extra ammenitie . elevator bite slow pack especially peak hour . need take escalator front door lobby level . hint : check service elevator available ground floor behind front desk . staff okay , overly friendly quite rude checkout . beware extra charge appear tv bill review . location right central ( red ) tube line . would suggest use tube airport due multiple line change lot stair . hotel offer pickup service reasonable fee ( 76 pound minivan 4 people plus luggage . ) also close Jubilee line ( bond street ) convenient . close shopping , restaurant starbuck . James street lot quaint restaurant various type block away hotel near Selfridges . London EXPENSIVE HUGE still lovely . 
 Sep 30 2005 	 Great Deal Marble Arch PL 	 stay four night Thistle Marble Arch September , 2005 . got hotel total $ 268 Priceline . handy tube Oxford Street . problem get around . room overlook side street ( can not remember name ) . little noisy couple night - mostly people come bar close . talk we upgrading room include breakfast check . additional $ 100 not feel worth price . buffet breakfast fine service lacking . otherwise decent room plenty space we . front desk helpful concierge . little hard find hotel first arrive London keep stop people asking find . 
 Sep 29 2005 	 good location 	 location one good hotel location begin Oxford St. Hyde park cross street . picadelly west end 15 - 20 minute walk regent St. hotel less average . get executive room tell & quot ; far well & quot ; standard . however small usual London nothing special . hotel big distance lift room may take 2 - 3 minute ! breakfast OK.if look good location get good deal go hotel , otherwise recommend . 
 Sep 28 2005 	 Perfect ! ! 	 stay 19 - 23 Sept. book Priceline $ 85 per night . excellent price - quality deal London , good get . Believe look long hard . central , close metro Hyde Park . nice pub around corner , Starbucks around corner , need . room spaceous comfortable . travel airport hotel , try arrange private taxi airport service . Heathrow Express expensive 15 pound per person . private taxi charge 25 pound ride . travel 1 , would recommend . allow concierge arrange private taxi , add least 25 pound bill , arrange taxi . already London , private taxi advertise street handing card . ask around everyone think reliable , . enjoy stay ! London 's fab ! 
 Sep 22 2005 	 terrible bed - lovely room 	 Excellent location good breakfast , twin deluxe room huge ( surprise london ) - lovely decor furnishing , bathroom huge seperate shower ( bath ) extra jet / sauna . lovely shampoo etc . suite walk wardrobe , luxury go bed ! ! imagine disappointment discover cheap mattress either spring one digging . also call a / c put low 20c ten minute revert back 20c ! ! trudge around london day want comfortable bed sadly hotel give . 
 Sep 14 2005 	 big room - friendly staff 	 stay 3 night 2 doubleroom . nice roomsize - 's need away 1 day . Room keep ok - bad thing mattressquality plasticcoate . bathroom nice , utensils - clean . overall view premise hotel little worn - staff friendly helpfull . definitely recommendation family weekend - do not forget , location Oxford Street - 100 meter away Marble Arch subway - excellent . 
 Sep 12 2005 	 delight Thistle Marble Arch 	 family 4 ( include 2 teen ) spend 3 night Thistle Marble Arch August . absolutely delighted hotel ! & quot ; quad & quot ; room large , comfortable , clean charming . kid get kick bathroom heat towel warm speaker connect bedroom television . location near Oxford Street convenient walking ( plenty shopping restaurant ) underground . one evening even walk home Harrod 's , pleasant 25 minute stroll Hyde Park . find reception area attractive staff helpful . price within modest budget , grateful considering travel high season . gladly stay thistle next trip London ! 
 Sep 11 2005 	 great location hotel ok good ! 	 good part hotel location . staff friendly accomodating . overall , hotel ok consider really good deal pay . probably would not stay . 
 Sep 11 2005 	 ideal see London 	 hotel behind Oxford street . ideal place travel foot tube . the westend 20 minute walk also Buckingham Palace , Whitehall , Houses Parliment.and Knightsbridge . staff could friendly . room good clean . would stay . 
 Sep 7 2005 	 Great Hotel Great Location 	 stay 4 night love hotel location . hotel locate less 75 meter Marble Arch Underground stop locate right Oxford St . even though room locate 2nd floor overlook Oxford room quiet . room large clean . would stay . 
 Aug 30 2005 	 Fantastic Hotel 	 stay London use priceline.co.uk 3 4 star hotel , say good bunch . not expect much thistle ( stay hotel City ) , one great . huge room beautiful bathroom . cable TV in - room food great . highly recommend hotel . location hard beat ! ! 
 Aug 28 2005 	 great place great deal 	 husband recently stay twice 2 week trip Europe think great . we bite worried read great review right leave get pleasantly surprised room large , clean bed comfortable . the room also cable beat location . great place stay look lot walk . 
 Aug 22 2005 	 good value 	 good location surprisingly quiet . odd entrance stair ok . room fine air conditioning effective little noisey , nearly noisey room next us 4 am morning ! bar expensive slow , understaffed staff know work till ! breakfast good cheerful staff . would go stay get deal ... try Priceline bid room , yet disappointed location price ... pay £ 50.00 per night room Thistle . try , large European Cities . 
 Aug 18 2005 	 Great Hotel 	 come back 5 day stay London , great hotel , room large price good . beautiful lobby area staff friendly . would highly recommend hotel go back London , would stay . 
 Aug 15 2005 	 Luxury ! ! ! 	 stay Thistle Marble Arch course work book Lastminute get incredible deal £ 89 ( breakfast include ) .The hotel stunning , luxuriously decorate wood marble . reception quick helpful . not breakfast eat evening meal hotel , price not extortionate . my room enormous , king size bed plenty space round . ensuite bathroom fully tile drop mildew sight - nice powerful shower really good size well - big room stay London ! ! ! ! good quality complimentary toiletry provide . location could not beat - hotel practically top Marble arch - tube Oxford Street , tuck behind not get noise disturbance . if could afford would definitely stay - another work course September , unfortunately price go £ 99 outside budget : - ( go trip London romantic break partner would splash stay - get much money compare similar price hotel . 
 Aug 11 2005 	 Great room 	 Husband stay hotel 2 separate occasion 2 week visit London Paris . first time 1 night . give executive room please overall . room include nice robe nice large bathroom . minibar empty could order item room service . leave fridge available we put item . second time around stay 3 night upgrade executive quad room even big first . get room Priceline.com pay $ 60us / night . location ideal Oxford street 2 minute walk Marble Arch Tube Stop . previous writer state , actually reach hotel enter Bryanston street behind Oxford . even take escalator lobby . not realise first time around instead take stair heavy luggage , actually elevator available could take ground level . well sign need put . , really comfortable room really enjoy . room although small , well decorate good sized bathroom well worth price pay . 
 Aug 11 2005 	 Superb Value 	 need crash pad one night week not cost fortune still provide decent level service quality . Thistle Marble Arch tick right box . Priceline accept offer GBP37 come GBP47.76 taxis service charge add . frankly bargain 4 * hotel central london , especially consider good rate Thistle website GBP105 inc tax . arrive hotel quite daunting immediately confront long narrow escalator take reception area . though reception lounge area spacious , little dark side area benefit natural light . check took soon allocate double room . unfortunately get room realise . room huge miss one important facility - bed ! ' syndicate room ' basically mean meeting room bedroom one , bed one fold wall . pull bed creak clanked way . frankly not acceptable . go back reception ask regular double room . two double room leave 1st floor ( not want pay upgrade ) choose one right end corridor overlook back hotel . room perfect room silent , though might acceptable american visitor least two minute walk reception room . think room perfect king size bed , plenty room seat area large marble bathroom ; everything spotless . sleep like log , would certainly return , would even happy pay GBP47.76 ! 
 Aug 8 2005 	 Nice hotel great location bit noisy ... 	 ' m american living suburb London . british husband attend concert Regent 's Park decide book hotel night would not travel train late night . thistle pretty much expected mainstream , large hotel chain . nice clean room bathroom , mod con - electric kettle tea , iron , hair dryer , trouser press , refrigerator , tv , important American South , Air Conditioning work ! wish could say tv remote , trouble pillow either flat lumpy . really request new one though ! yes room come SOAP , shampoo , shower cap shower gel . hot water run fast hard ( take 5 minute husband run full bath ! ) . thing fault bathroom take shower , water not drain quick enough sort half- shower , half - bath wound taking . big deal really . what not expect locate directly Oxford Street . address list Bryanston Street ( directly behind Oxford Street ) map show make seem hotel not outer wall Oxford Street . location great need centrally locate would recommend look peace quiet . big red bus constantly run street hear police siren one occasion . having say , location 2 minute walk Marble Arch tube station , also within walking distance Bond Street Oxford Street tube well . Oxford street great shopping : selfridge , H & amp ; , TopShop , Urban Outfitters Laura Ashley locate Oxford Street . overall , enjoy stay room quite nice location central cut travel time . also think good value money . 
 Aug 7 2005 	 good value get deal well 	 Plusses – nice room , tube station , across Hyde ParkMinuses – gym , expensive internet . hotel locate stone ' throw Marble Arch tube station . surely tourist hotel , crowded lobby , check quick smoothe , room excellent . good size , good bathroom decent amenity . television many station . bed comfy , pillow bit small . however , phone call reception several pillow moment make thing much comfortable . room nice bath , shower / tub combo , marble sink , nothing rave , clean serviceable . iron press , mini - bar , nice towel , room clean , well - decorate , well take care . price pay Priceline , think lucky nice place especially give high cost hotel London . internet cost 15 pound 24 hour , numerous internet cafe area offer much cheap rate . gym , use one occasion . terrible . weight machine crack weight make dangerous usage . television volume would go high enough hear unusable . treadmill last leg , incredibly loud , like engine plane get . dangerous , terrible gym . well use one many gym town small fee risk life place . hotel Carvery restaurant , seem busy serve breakfast 12 pound , never eat . also pastry sandwich café look decent . location central , across Hyde Park , great walking jog absolutely beautiful , top Oxford Street . marble arch tube station 100 yard hotel front door , bit tricky find , get anywhere quickly , dare . walk frequently west end 25 minute . area around hotel full shop restaurant right across beautiful Hyde Park . plenty night right area , lot good restaurant . happy hotel , especially realize people pay two three time much lot less . 
 Aug 5 2005 	 pretty bad hotel good location 	 first hotel ' ve ever stay provide Soap . mean , even cheap dive ' ve visit least provide soap . room ok - small leaky window look scaffold . bed one uncomfortable ' ve stay . bathroom clean - ish , need painting . lobby , garish staff rather abrupt . good location , not stay want nice london experience . 
 Jul 22 2005 	 great location average hotel good get deal 	 stay 1 night business not overly impressed . ' ve come expect quite little thistle typical run mill hotel ' ve come expect they . having say location great , beside Oxford St , Marble Arch , Central Line tube bus . the entrance hotel bite strange long escalator , lead look like shopping mall lobby . staff efficient check request refurbish room tell , however not seem case get room . the room twin ( request double ) spacious , though unfortunately near air conditioning outlet bit noisy . window 1 pane quite old , not help noise situation . apart room fine , bathroom roof quite low 5'10 & quot ; hit shower head head . inch have hit roof . I would recommend hotel get good deal , location superb , would not keen choosing be business choice , case 'd rather Marriott nearby . 
 Jul 19 2005 	 good location problem 	 book hotel 2 night thru Cunard Line , full english breakfast include price . pay $ 440 per person package include transfer airport transportation dock Southampton . entrance hotel inviting , 1st floor lobby much nice look . the first room give 4th floor , small nicely decorate room bath tub tall . problem since wife knee surgery month ago . front desk advise move 3rd floor give handicaped room walk - in shower . room nice , find ant bed discover automatic window drape work . location good , excellent breakfast buffet . 
 Jul 14 2005 	 convenient location cavernous corridor 	 entrance hotel odd , less welcoming . approach along street mostly consist car park entrance , towards Thistle Hotel sign hs remove . ground level concierge small shop , otherwise escalator reception ( perhaps difficult people mobility need ? ) presumably due abundance ' deal ' place , Reception / bar level seem permanently throng ' bloke ' short little rowdy . however , upstairs , be pleasant . corridor long , well - maintain pleasant . room good size London , well - enough equipped . would nice replace limited hotel info get crease / soiled , place ... bathroom nice , room bed clean comfortable . all , deal ( get room £ 55 incl charge / tax ) , be worth . full price , ' m sure 
 Jul 13 2005 	 total comfort ! 	 book hotel BHRC locate tube . anxious leave one bad hotel ever encounter ( Cordova House ) . arrive pleasantly surprised relieved . request quad , give family room 5th floor . two room , one large king , one two twin . spacious , clean , well equip every convenience clean large bathroom . comfortable actually entertain serve tea british family member couple hour one afternoon , bring number people room 11 ! pay 139 pound per night . the location excellent , right around corner Oxford Street near tube station . room quiet night beds linen top quality . complaint would lobby area well ventilate second hand smoke control . we not partake breakfast include room quite pricey otherwise . hotel gracious responsible store bag departure later check time . find staff friendly helpful . 
 Jul 6 2005 	 overlook oxford street 	 stay 2 night live 8 weekend . staff friendly efficient . problem check in / out . upgrade £ 15 per night per room get full breakfast well room . comfortable bed , air condition room internet access require . would definetly stay . 
 Jul 1 2005 	 Good Choice 	 large hotel situate Marble Arch district London adjacent Hyde Park underground metro . good thing hotel get sound sleep everynight without street adjacent room noise . hotel visually appeal inside good restaurant bar set - up . block underground metro get place easy . use room service food service good . overall , rate hotel average would stay . 
 Jun 27 2005 	 everyone talk ? 	 worry review hotel book ! ! quad room - 1 king size bed 2 single think room great . room clean , bedding ... although mattress little hard . staff pleasant helpful . breakfast ( include booking ) great . lots choice , although someone want tell waitress make proper pot tea ! position hotel also great couple hundred yard tube station Oxford Street . overall great stay hotel - complaint we ! 
 Jun 23 2005 	 Pleasant Surprise 	 pleasantly surprised stay one night June London business . stay regularly London business decide try Thistle since everything else book . location great - short walk Mayfair Hyde Park close tube stop central line . day check hot , hotel escalator not work air conditioning lobby . lobby dark , shabby , look outdated tired dreading room point . nice surprise get room - brightly decorate , spacious , clean quiet air conditioning . worth money . , not judge room lobby case . return long - term stay next time London . 
 Jun 19 2005 	 Lovely Quiet room good location amazing rude staff bad food 	 stay year ago remember like decide stay . like central London , reasonably price ( room GBP115 include VAT ) room inside hotel quiet face road room . room large price , bed comforable . the bad follows- staff rude checkout , concierge , room service . even tip room service cash rude - live London year know expect attitude , seem run staff we ( guest ) enemy.-the telephone rate room say 50p per unit think 50p per minute - well call boss UK mobile phone charge GBP2.5 per minute - 60 minute call charge gbp150.-the internet GBP15.00 per day extra - the room service food bad . even give bad service probably would stay like quiet . 
 Jun 13 2005 	 sorry Thistle be Comfy 	 stay part 2 London experience . great location , room small old . docor extremely outdate window paint chip fall daily floor . bed horrible plastic sheet mattress . 2 night bad sleep wake sweat something never . would compare best western hotel . good thing hotel lobby exit door . stay . try Dolphin Square hotel . 
 Jun 12 2005 	 pleasantly surprised 	 reading early review , approach stay much trebidation . we arrive hotel 1:00pm find room ready occupancy 30 million pound renovation almost complete . the evidence remae renovation complete scaffold one side hotel new window instal . room nice size , bathroom large huge bathtub plenty hot water . hotel personnel helpful would stay already recommend hotel friend 
 May 24 2005 	 terrific ! 	 family stay Thistle Marble Arch ( London ) month May 2005 . love ! since suite locate one building 's corner upper floor , marvelous view Hyde Park . sure request upper floor ( 6th 7th ) corner room view Hyde Park . english breakfast plentiful , hotel clean staff friendly . dessert outstanding ! ! FYI , ice bucket find hotel . provide small styrofoam cup next ice machine . unfortunately , cup always available . also , day elevator bank operational . overall , wonderful time . would highly recommend hotel . 
 may 23 2005 	 make bad experience super 	 kudo great hotel take problem make wonerfull traveler experiencemanagement perform beyond excellent . P.S . personal web site . www.bobzo.com . 
 may 22 2005 	 wonderful hotel 	 lovely hotel 5 min walk away Oxford Street . our family room spacious clean 2 twin bed tuck around corner kingsize we . large clean bathroom . wonderful buffet breakfast choice continental cook .A great hotel shopping trip would recommend family room . we definately feel make good choice oit excellent value money . we would definately use hotel . 
 Apr 30 2005 	 Marble Arch fine 	 stay 4 night late March . room large expect bathroom modern lot marble . breakfast decent . fill , every day . location Oxford Street good safe . let girl , 14 16 cruise busy Oxford St. problem . close Tube . 
 Apr 29 2005 	 pleased . 	 stay Thistle Marble Arch 3 night end March . quite apprehensive arrival note number negative review . also , book lastminute take chance - i.e . not know name hotel booking . however , pleasantly surprised . book double room . ask quiet room , receptionist offer twin room say quiet . accept . room ( 7th floor ) brightest ever encounter hotel - window length room . large , clean , nicely lay . bathroom newly revampte . safe , fridge , tea , individual temp . control - useful . the bed comfortable , pillow . two bed together . suit well may suit other seek twin room . enough space separate bed make one bed . original window need replace second pvc window fit inside old one keep room quiet cosy . I not eat breakfast hotel cost £ 14 , think ridiculously high . note queue breakfast . there 4 lift whole 692 room delay except around 9 am 6pm . I find staff deal efficient courteous . location excellent shopping around corner Marble Arch tube station . also many bus pass along Oxford Street stop directly across hotel Marble Arch stop . I find hotel 4 star level pleased stay . and room quiet ! 
 Apr 26 2005 	 shock complaint - none 	 stay Thistle Marble Arch , April 15 , 2005 4 night . location great , service friendly room spotless every single day . check little long arrive group people participate London Marathon , big deal . treat quite well despite extremley discount room rate . the escalator work , get workout everyday , fine lift available use . common area lift little slow , busy weekend , overlook that . concierge helpful quite friendly . ( Mr. Camacho EXCELLENT Resource ! ) send we Fabulous Spanish Restaurant call & quot ; La Rueda & quot ; 5 minute walk hotel & quot ; Le Porte de Inde & quot ; upscale indian restaurant block hotel . excellent reservation need . the full english Breakfast include rate Excellent . fried , scramble hard boil egg , bacon , ham , sausage , hasbrown , potato , cheese , yogurt , fresh bread ... etc , wait staff extremely upbeat helpfull even mad morning rush . overall experience quite good would recommend hotel . four Seasons , London , right ! 
 Apr 17 2005 	 really bad night service 	 bad experience hotel . come weekend London arrive late night hotel busy service reception really bad specialy aneka tell we fully book do not room . let we sit lobby wait 2 hour say hotel available moment big small , disapointed . 
 Apr 17 2005 	 like bad movie 	 Location great . room good size London bathroom large modern . much well expect price . however , hotel frighteningly poor service even poor housekeeping standard . we get room , clean previous guest disgusting . downstair go mother , quite ill . upset , figure mixup list housekeeping . turn , rude seem surprised would not want get room wait staff come clean . think joke , dead serious . stood line , give room # 2 . room smell quite strongly fresh cigarette smoke . open curtain discover . workman hotel roof right outside window ( actually sit ledge ) , take tea break . thought could grin bear tea , swear work noise much . downstair go . room # 3 toilet paper let us say mother 's condition deteriorate point need immediately . make 3 call housekeeping finally run convenience store buy . pull back filthy bedspread store duration . dirty kleenex , etc . desk . three phone . none work . back front desk . tell probably not know use phone properly use lobby phone . hear someone room behind desk chortle phone room not work two week . point wait someone hide camera show jump tell 'd x - d . building need decent staff . 
 Apr 5 2005 	 hating ? ? 	 four night stay thistle great . excellent location , nice sized room europe . fifth floor room face oxford street big comfy bed . complaint would say room service food suck houskeepe staff respet disturb sign . want room leave alone leave disturb light come back find light room clean . service cost guess , not want anything mess , lock provide safe . none thing miss , leave disturb mean not come , even ' m , LEAVE ! guess not see way . overall excellent hotel would enjoy stay . 
 Mar 17 2005 	 much well 	 large hotel specialize group fill 400 + room . result , surprising experience line registration find elevator full enter . poor service business traveller charge 15 pound per day internet 1.50 pound 800 telephone call . location convenient Oxford Street shopping Marble Arch tube . however , great location restaurant theatre . service par employee seem often overwhelmed . inexpensive hotel - much well London find friendly well locate hotel . 
