gorgeous 	 Fairmont Mason St beautifully well maintain hotel long colourful history . room large comfortable fabulous city view . lobby fabulous photo story document hotel 's history fascinating . staff great . 
 enjoy stay 	 fairmont live expectation . good quality hotel , great room think good location . first visit San Fran think great area stay . close cable car , Union Square etc . the thing would say bed get bit old . soft friendly back ! still , enjoyable stay . 
 feel like royalty 	 hotel locate good part San Francisco easy access everything . cable car route within block . food fantastic restaurant well . decor make one feel special . 
 Aug 15 2006 	 wonderfulold world charm 	 family stay Fairmont Aug. 7 - 9,2006 . Md . never can . . third hotel trip far best ! location good we . feel safe Nob Hill neighborhood . hotel right cable car line , however , use . walk every ! never imagine many hill steepness hill ! Whew ! lobby extremely grand . husband make use relax many time stay . room old part hotel . outside room give we window view . could see Mark Hopkins front entrance window . inside room overlook rooftop airconditioner . room large feel bedroom suite . large room home ! huge dressing room ( closet ) well appoint bathroom . problem cleanliness hotel room , especially bathroom , clean . mold musty smell . paint woodwork could scrape repaint hotel 100 year old ! staff helpful freindly concierge not know local , close sushi place . info ask front desk person steare we great place block away . Mama 's hit breakfast . not miss one , bring cash . credit card check expect wait line outside . would say Fairmont worth every penny . call hotel directly get summer special turn cheaper many low chain hotel area . not eat hotel restaraunt little pricey drink bar one evening . Pricey , count Fairmont experience . 
 Aug 14 2006 	 Fairmont 's Best - Hands 	 husband three kid stay Fairmont - SF 40th b - day ! wonderful ! lobby drop - dead gorgeous , warm 's rich color . service mostly friendly absolutely snooty ! check Marc Hopkins top - notch hotel , like St . Francis .. Fairmont BEST look , hand - down ! dinner tonga , fun great kid . also breakfast buffet Laurel Court , exceptionally good . minor disappointment : complimentary champagne & amp ; strawberry not get room late , bed lack comforter , ( launder ) Tonga room not reservation notation husband 's request flower room . one front desk clerk attitude try get bed make properly . bring attention manager morning , assure normal service . reservation breakfast decide pick tab . family 5 , worth nearly $ 85.00 ! know may sound crazy , still rave mess - up , live service problem bring attention . maybe good time celebrate ! would give we new room bed , three kid already settle . comfortable bed clean . good feature : hotel iitself ... bad : service need minor tune - up . roof top garden super picnic . 
 Aug 9 2006 	 not miss Fairmont ! ! 	 husband stay 3 night celebrate 20th anniversary . first , process research book hotel , discover deal find work directly someone hotel , 1 - 800 number internet . we get hotel early ; bellman helpful storing luggage take 3 hour run / hike city . upon return hotel collapse room , instantly switch another room since ready . receptionist polite note attention fatigued condition alert housekeeping timing problem . upgrade room tower perfectly situate view city , Alcatraz Golden Gate Bridge . beautiful marble bathroom comfortable bed complete arrangement . we love bountiful buffet breakfast , especially since schedule allow much time relax lunch . hostess even locate we dining room somehow one particular morning take phone call home cell work . also waiter take time give we unsolicited advice wine country could tell need map puzzle face . concierge also bent backwards accomodate , make reservation put countless tourist question . also remember leave note housekeeper extra trash bag . read mind leave 2 appropriate laundry bag next trash bag case . ask bellhop ice machine , respond get we . little thing surprising stand mind one month later . only 2 minor gliche : could get internet access work even join president Club receive code . ask help desk get far . experience overage charge breakfast deliver room consider tacky since bed breakfast package credit $ 70 per day , order simple . however , express survey receive , guest service manager call sincerely apologize inconvienence express intention get overage take credit card . impressed follow - up even not materialize . it memorable experience worth recommend friend . definitely see lobby even not stay . 
 Aug 8 2006 	 Good Overall Great Location history 	 many great hotel San Francisco idea stay anniversary . since price right , finally decide stay famous , Fairmont . location Nob Hill perfect be look tour entire city . ( make sure walk destination get ride back ... walk back uphill tough hot day ) .The good : lobby , history , location , friendly valet service . the bad : Seemed understaffe especially concierge desk , regular room small side , sign excess wear ( paint peel , carpet stain , etc ) overall , find reasonable price easily overlook negative b / c , be still Fairmont San Francisco . 
 Jul 21 2006 	 Jewel 	 wife , two son , stay hotel July 12th 15th . fairmont room 2nd floor large high ceiling . bathroom fresh spotless . hotel locate top Knob Hill , put easy walk distance waterfront , Union Square ( Hill go place , hotel trolly line comme back ) . lobby beautiful large column grand staircase . service first class . eat hotel can not speak food quality . go Tonga Room happy Hour , food . hotel commercial health club site , refuse let 16 year old son work , complaint hotel manager solve problem . side parking fee $ 45.00 per day , need car hotel location . would highly reccomend hotel anyone visit San Francisco . 
 Jul 20 2006 	 Nice 	 Stayed Suite durre business trip company pay room . suite nice , view roof . room nice . the hotel bar good wine menu , cater food confernce attend fair . hotel weird layout confernce room AC not work , big fan room . 
 Jul 14 2006 	 great hotel horrible food service 	 live SF Bay Area stay Ritz Mark Hopkins Nob Hill . business Fairmont take advantage stretch day pleasure well . the room Tower great - clean , quiet , classy eventhough 7th floor , great view north Russian / Telegraph Hill Northbeach . bathroom great overall nice hotel experience . but , food -- expense . admittedly low expectation Tonga Room ready rather fade kitsch fake tikki flavor . spend $ 120 appetizer platter , 2 salad 2 dessert 2 cocktail . appetizer platter taste like Costco freezer reheat dessert also taste feel like freezer food . description great , creme brulee mushy grainy sugar top ( golden crunchy ) send back receive ... pinapple upside - down almond cake like slightly reheat hockey puck surround flavorless fruit salad . not know & quot ; caramilized pineapple & quot ; become cold hard cooking . cocktail plenty booze , nothing special . would go cocktail $ 7 appetizer BUFFET happy hour . atmosphere unique , could really great , al theme eatery day ! also lunch box service conference ballroom . 500 people , 300 box , many wait . thing afternoon ice cream . good Western Podunkville might give slack , FAIRMONT ! room service menu look inventive , pricey 2 experince , glad try room dining . we go back becausee location great , staff good , eat elsewhere . 
 Jul 3 2006 	 Impressive Hotel 	 stay 5 nigth back rainy Feb / March . great room amazing view , mine overlook front hotel . massive bathroom bath large separate shower , plenty room family 4 ! eat breakfast htoel good , service ok , great buffet selection price . pool outdoors , small look ok . I stay business would come back business personal visit . 
 Jul 3 2006 	 Pancakes Oscar Must ! 	 husband celebrate 1st Anniversary Fairmount year ago , wonderful . view spectacular , accomodation luxurious . go , absolutely must order Pancakes Oscar room service . disappointed . still think pancakes yummy toast marshmallow top . 's nothing like ever . enjoy ! 
 Jul 1 2006 	 big tired expensive 	 stay three night part wedding . positive - view ( face alactraz ) nice . negative - big & quot ; Hyatt like hotel & quot ; Ritz Carlton , Mandarin Oriental , four season pricing . room discount wedding rate tax $ 400 . stay Ritz , Mandarin Four Seasons giant leap hotel ( especially Four Seasons ) well locate . pay view ( right side hotel ) want walk anywhere San Francisco last block hotel climb walk . room decor tire , restaurant tired lobby tired . think hotel need fairly major renovation . staff generally unhelpful request . bottom line - $ 400 + night many hotel would stay San Francisco ( besides three stay Campton Place right Union Square nice ) far well . would say would reasonable unexciting hotel $ 250 night probably bit well Hyatt . 
 Jun 14 2006 	 Fantastic Visit 	 stay five night child , age 11 14 . wonderful base camp magical San Francisco vacation . location well , hotel majestic combo history , elegance , grandeur , service . tower room two queen - size bed unbelievable view bay include Golden Gate Bridge , Alcatraz , North Beach , Fisherman 's Wharf , Embarcadero , Transamerica Building , etc . would hard upstage trip stay Fairmont . 
 Jun 14 2006 	 nice classic -- perfect long stay 	 stay 6 day medical conference happy stay Fairmont . join President 's Club free high - speed internet ! already member check , coworker able sign $ 13.95 / day charge take bill . this grand , historical hotel recently update ; king nonsmoke room nice well situated . bed comfortable well . view courtyard area window open , able fresh air . mini - bar well stock typical sky - high price -- $ 10 / bottle Fuji water ! room service quick efficient although two meal hit miss . meal Tonga menu good one regular menu average except dessert . Tonga restaurant decent service bit goofy side ; beware & quot ; entertainment fee & quot ; tack 8 p.m . Laurel Court restaurant typically pricey food decent . the staff friendly courteous , especially room service observant ' do distrub ' request 12 noon . several package deliver room conference front desk prompt delivery . also , fairmont employee work conference efficient friendly . the downside hotel lack restaurant close . Nob Hill Cafe one not involve tackle steep hill . day , purchase Muni Transit Pass take advantage cablecar run directly hotel . be hill Chinatown marvelous little french bistro Le Central . shopping hill ( take cablecar ! ) Fisherman 's Wharf 15 minute via cablecar . 
 Jun 6 2006 	 awesome glimpse past 	 wife go SF medical conference 2 day . stay tower room nice view city . room clean nice bathroom fancy . water pressure fantastic plenty hot water available . bed one comfortable king size bed ' ve stay . room service world . highly recommend get coffee chocolate cake deliver room evening . take 15 minute . great service concierge desk find quick lunch place not fill tourist . look old picture menu quite fun . nice dinner Tonga room simulate thunderstorm occur every 20 minute center restaurant small pool band play boat float pool . food tremendous . get appetizer sampler plate . really good ! one issue stay length time , buy multiday cable car pass steep walk hill several block near shop Union Square , recommend . ride cable car way Market Street put right front mall . store huge lot selection . ate eat Nob Hill Cafe , good lunch weekend brunch . cab fare Airport $ 40 recommend convenience standpoint , know want go back airport , arrange airporter concierge desk , be $ 15 per person make one stop Fairmont Airport , least ride . adjoining room situation might fine kid , not bring conference . really neat hotel . enjoy sit lobby look fancy decoration people go special event . go back near future . 
 Apr 29 2006 	 expensive museum 	 Fairmont scientific meeting . facility adequate , well average businessss hotel . room large poorly lay . Decor date . hotel note terrific view , view tin roof surround backside entryway . food basic hotel buffet . generally like classic hotel ( include hotel 's sister Boston ) , one fall flat : quite feat city exhilarate San Francisco . would really angry pay place . save money well place . 
 Apr 7 2006 	 Best San Francisco experience 	 truly sensational hotel . look great staff great authentic local experience , good choice ! ! also , concierge fantastic really give advice get hardist non - touristy restraunt . stay San Francisco Four Seasons Ritz - Carlton may offer great consistency , truly San Francisco 's Grande - Dame . stay great experience ! ! 
 Mar 23 2006 	 Terrific Hotel 	 stay 3 night Fairmont business , love . 's lovely old grand hotel . upgrade tower room amazing view bay , Alcatraz Golden Gate . wonderful . room elegant , comfortable quiet , great bed . bathroom enormous , warm colored marble , separate whirlpool tub glass shower . also document deliver send FedEx package -- go smoothly . concierge desk well average , actually arrange dinner reservation restaurant smack tourism . also able get we table eight Boulevard short notice , amazing . gym also excellent , lobby bar well - staff good selection wine glass . I 2 complaint . first , Fairmont charge use gym high - speed internet . turn get free fill little form join & quot ; Fairmont Club , & quot ; cost nothing . however , one tell -- figure . ridiculous . fairly expensive hotel , simply provide thing free . second , restaurant ridiculously inefficient breakfast , major faux pas serve business traveler flight catch . colleague wait almost ten minute table , literally two table empty . wait staff would allow we sit Maitre would come take name room number clip board . absurd . 
 Mar 1 2006 	 Bad Bad Service 	 stay Friday Saturday night king tower room . room nice . large large bathroom . interior seem clean look window . two condom ( use ) lie window sill . try immeaditaly ring front desk room phone end endless voice mail loop . operater answer nothing ! go back front desk talk could find anyone . finally wait front desk 20 min . change room ( little apology ) however due holiday weekend give dark tiny queen room price ! upon leave Sunday morning try calll car park let know planning leave 30 minute instruct deposited car valet . could reach anyone end voicemail loop . even try front desk . bring key wait hour car return . never stay . far well place SF . 
 Feb 14 2006 	 great ! 	 stay Fairmont several occasion never bad experience . room sooo clean comfortable . anything eat hotel great ( room service , restaurant , etc ) . staff great every way . never problem anything stay . yes expensive , one nice hotel one nice city world . can not afford stay , maybe go somewhere else . anybody like hotel may know high class accomadation suppose like , hotel first class every way . 
 Jan 29 2006 	 Old Hotel Old Interior .... 	 return business trip San Francisco area one day end San Francisco little shopping site see head back Sydney early Sunday 22nd January . decide splurge Fairmont San Francisco hear folklore president Club member thought would great experience .. boy wrong . despite fairly smooth impressive check ( although President Club check unmanned ! ) pretty shocked saw room . far tower 5th floor , first room front elevator bay ! walk elevator , empty tray champagne glass front door ( never remove entire 24hrs ! ) . walk decor nice enough quite tired . view Chinatown great way across Alcatraz etc , window seal rip horrendous draft noisy ! bathroom typically immaculate per Fairmont property rest room leave lot desire . mini bar remove armoire suppose place next desk could barely squeeze open and/or sit desk work . broadband cable wall fray not clip laptop due latch break off . overall not long long enough know will not return . not really anything ' wow would since ' ve stay ton 5 star hotel around world quite disappointed stay . guess expect famous hotel , Fairmont property ( mention benefit President Club member property , include Gold Floors etc etc ? ? ? ) would say like old , stale , price hotel place . place reek old money seem rest historical laurel . bad many compete hotel around ( four Seasons etc ) seem understand need keep change attract new clientele . ... 
 Jan 25 2006 	 bad customer service 	 room new tower Friday Saturday night . face inside court party hotel face inside court . 16th floor , party 7th floor . party loud could hear tv . call ask could something ( pay $ 300 night ) . tell we one call ( doubtful ) . 12 midnight party still go strong , hotel nothing accommodate we , could even sleep . hotel offer help . ask hotel manager rude . bad scenario : also happen Saturday night ! ! ! terrible customer service . room ok - small . would return hotel . 
 Jan 21 2006 	 pleasant stay . 	 stay hotel Jan 2006 3 night . honestly not really understand bad review . conference pay discount conference rate room , even standard rate would worth . lobby conference room beautiful . although staff good ' ve experience polite , professional , eager help . think room clean quite frankly ' ve never see hotel room carpet clean ! nice bathroom , awesome water pressure , hot water , robe borrow . beautiful view window , window open allow fresh cool air . king size bed w/4 fluffy feather pillow . think bed comfortable sleep quite well . room quiet : noise outside except occasional clang cable car ( believe stop run around midnight ) really could barely hear anyway , noise A / C , pipe , room . bad thing say hotel hallway conversation seem carry extremely ! ! ! audible , could hear housekeeping crew morning night could hear rude people conversation hall unfortunately wake . not know shape hallway , poorly insulate interior wall thin room door loud , although talker make room fall right back sleep . I can not speak specifically restaurant hotel food cater hotel conference quite good , especially horsdervs / buffet evening reception . go Tonga Room one evening drink ; good drink although atmosphere little cheesy Disneyesque . think city hotel bar little chic trendy would well suit . not seem fit rest hotel . the hotel literally top Nob Hill steep walk back hill , ' m young healthy not mind walk . cable car convenient unable stand walk . fairmont also directly across street Mark Hopkins Hotel ( check Top Mark ) Huntington Hotel , 3 good company other . although coffee maker room complimentary coffee lobby morning . I highly recommend beautiful , comfortable well locate hotel . 
 Jan 20 2006 	 wonderful view 	 lovely old hotel fantastic location wonderful view tower room . concierge ( least previous visit June 2005 ) stuffy unpleasant , otherwise fine stay find s.f . 
 Jan 20 2006 	 Wonderful Ole Fairmont 	 stay Fairmont business pleasure year , main building Tower . whenever problem , quick respond resolution always satisfaction . the room spacious , nicely appoint marble bath tower exceptional . could find convenient location -- door hop cable car , walk theatre , visit China Town on . as single woman , never feel comfortable / safe home Fairmont . staff always gracious helpful . I HIGHLY HIGHLY recommend ....... treat stay Tower ask view Bay -- nothing better ! ! ! ! ! ! ! 
 Dec 18 2005 	 sorry Par . . . 	 well , stay one night Fairmont San Francisco , bad night rest life . bed terribly uncomfortable , could actually feel spring coil . I stay company Holiday party cater hotel . unfortunately , food way mediocre . partner comment , & quot ; be like eat airplane ! & quot ; room okay , take consideration old hotel , let wear tear see room furnishing cloud vision . ( least try . ) though , feel service lagging - wait twenty minute check - in ! Staff seem depressed , Holiday time , bring excitement dull end . my final feeling upon check - out : would stay foot bill ! 
 Dec 11 2005 	 Fabulous Fairmont 	 stay 2 night Fairmont . moment drive receive friendly , courteous treatment every one hotel 's staff . person ahead we check Fairmont Club 's rep wave us area rather we wait . check we exclaim have upgrade Deluxe King Tower room Tower suite . & quot ; Flood Suite & quot ; 8th floor tower build magnificent huge living room , large bedroom extremely comfortable king bed , spacious marble bathroom . corner suite bank window 2 side afford panoramic view Golden Gate , Bay ( include Alcatraz ) , Coit Tower , Transamerica Pyramid , B Building Bay Bridge ! stay late night look awesome view . also amazingly quiet low - level sound City . eat leisurely breakfast Laurel Dining Room later drink lounge area . be perfect place sit relax surround opulent ( stuffy ) decor . also dinner Tonga Room one night wonderful ! food much well have anticipate , huge portion , music light , fun intrusive . receive excellent service Fairmont 's restaurant well . Altho ' parking fee quite expensive $ 43 plus 17 % tax , glad able turn car valet upon check - in get ready leave . walk Nob Hill , Chinatown Union Square , include walk City Club Sansome dinner Farallon Post St . Fairmont truly jewel hotel fabulous setting stay close ideal one get . 
 Nov 7 2005 	 Fabulous Hotel 	 spend four night fairmont - fabulous . check breeze - desk clerk courteous , efficient accomodate . give room Tower section gorgeous view bay . room spacious well furnish , bathroom marble , seperate shower toilet area . lobby stunning . breakfast buffet expensive $ 25 , great variety . hotel top Nob Hill - 's quite steep hike get , cab cheap cablecar stop right outside . highly recommend hotel . 
 Nov 5 2005 	 Fabulous Fairmont ! 	 Fairmont beautiful historic hotel . great service begin step taxi & amp ; enter grand lobby . impressive & amp ; welcome . relaxed immediately upon enter . the front desk staff attentive & amp ; friendly . room ready , even though noon arrive . bellman prompt & amp ; friendly . room slightly date , 's HISTORIC hotel ! ! room bring we back grander times & amp ; window open allow fresh air room . try get fresh air modern hotel . king size bed extremely comfortable . lure we back nap every afternoon ! lobby bar lovely . bartender , Manuel lovely gentleman . make we several delicious martini ( $ 13 piece ) happy answer question we city . experience nice Fairmont , make difficult want leave explore city ! tonga room downstairs & amp ; hotel main bar . fun & amp ; & quot ; kitchy & quot ; . go cocktails & amp ; appetizer Friday night . $ 5 cover charge 8 pm , problem get table lounge immediately . great lively atmosphere nice band . play something everyone & amp ; many couple dancefloor . MaiTais & amp ; scorpion drink great , appetizer . rain shower / thunderstorm every half hour . fun place . look forward next visit SanFrancisco & amp ; stay Fairmont . yes , expensive . drink expensive , hotels city . Valet parking outrageous town , want drive ( park ) city . hotel 's location make easy walk many sight & amp ; cable car stop 1 block away ! complain hotel may demanding & amp ; fast pace truly enjoy beauty hotel . 
 Oct 18 2005 	 Disappointed See Property Tarnished Bad Service 	 Fairmont SF real disappointment . one thing clear -- Ritz Cartlon even W. Fairmont seek rely grandeur lobby ignore service present high end hotel . old hotel go hill . example : check wait fifteen minute get room two receptionist work ( desk could accomodate least four receptionist . no bath robe place room -- ask twice bring they . the maid service failed provide we new cocktail glass leave melt ice bucket we clean four three day row . when ask business center ( print boarding pass ) desk rude simply say open Sundays -- alternative offer . when call turn service ( encourage note bed leave maid service ) desk act annoyed confused request . the hotel bar Tonga Room like adult Rainforest Cafe -- gross . the cost valet car $ 45 night -- cost would bad take 20 minute time want car . I could go on . if want service four star environment -- stay Ritz close -- distinct difference two property . do stay Fairmont unless get great deal -- $ 160 . sum Faimont charge four star price ( $ 26 burger fry ; $ 14 pot coffee ) deliver service department -- pay $ 26 burger want staff treat care . 
 Oct 11 2005 	 great Stay vacation 	 room tower . view truly astounding . find service accomodation top flight . stay 7 day problem . open window enjoy fresh air , find access cable car right back door , bath magnificent , service great would recommend join Fairmont President 's Club , free offer discount hotel service like internet . also , highly recommend buy Muni Pass , pay many time . overall experience grand , would certainly return . 
 Oct 6 2005 	 Good Location Consider Alternatives 	 Fairmont great location junction cable car route easy access Fishermans Wharf ( great meal Boudin bakery / restaurant overlook Alcatraz - booking advise ) Union Square . also within walk distance steep climb back . China Town block away . the hotel entrance impressive . room new part spacious , clean good city view . however San Francisco fantastic , relaxed , cosmopolitan city . hotel seem rather grand impersonal think price pay alternative . 
 Oct 3 2005 	 Ok Business traveller well 	 stay Fairmont , SF 5 night recently business trip / conference Ritz . SF pleasure , location , although good tourist , irrelevant . stay old portion hotel problem . 's pro con , business traveler : Pros ) 1 ) excellent hi speed internet connectivity room 2 ) good desk 3 ) std array business traveler service like overnight laundry , room service , newspaper delivery etc . 4 ) bathroom appear refurbe nice ; con ) 1 ) room noisy , room door slam constantly , rattle whole hall , hall conversation clearly hear room 2 ) room decor entire old section old / tired need redone , 3 ) gym , although decent equipment , expensive , 4 ) cel reception ( VZ ) room spotty due interior space , 5 ) room view , make work day , spend room , drearyOverall , mediocre experience compare Mandarin Oriental , Four Seasons , Ritz , Park Hyatt etc . SF . avoid old section , cost get tower stay elsewhere . 
 Sep 23 2005 	 Great Jumping Point SF Visitors 	 location Sunday brunch good asset property . it terrific starting point explore San Francisco concierge quite helpful ( although quite busy plan wait line ) . Grace Cathedral block away short walk lot shopping waterfront . the room need soundproof . although lovely , large suite amazing view city Bay Bridge , hotel locate along cable car line busy street quite noisy . the Sunday brunch offer amazing selection great value . 
 Sep 14 2005 	 could use serious sound proof 	 husband stay 3 night first leg honeymoon . get great start arrive mix book receptionist say room we . initial confusion check room old part hotel overlook air conditioning unit . exactly Honeymoon Suite ! anyway view not bother we room comfortable spaceous . love city San Francisco going let ruin stay . get change go downtown afternoon . return room early evening really tired flight mention wedding look forward relax room get good night sleep . unfortunately room far relax . 2.5 inch gap door floor block towel however room also adjoin door guest stay next door room young baby cry virtually evening throughout night . say husband ask moved say would probably check next day already unpacked . not check next day day . see cot hall look forward quiet night . next guest businessman , phone practising presentation nearly night . okay voice may loud likely could hear we much could hear he . we eat breakfast restaurant one day quite expensive ( $ 22.00 + tax + tip toast coffee ) . not find staff fairmont friendly fact people capable smile work bell desk . the puiblic area hotel beautiful room could anywhere . would suggest anyone stay ask put ' new ' wing . overall disappointing start amazing tour around California . 
 Aug 19 2005 	 Nice Hotel Central Location 	 return four night stay Fairmont . hotel beautiful lobby recently restore certainly highlight hotel 's grand history . also receive complementary wine taste first night arrive make we feel welcome hotel . during stay find hotel 's concierge helpful planning daily activity find restaurant entertainment evening . share negative experience frequently appear review hotel . stay room old part hotel , find room date feature . one part room lack mattress , find uncomforatable mattress comarable four star hotel . mattress , find room spacious clean . probably good part hotel location Nob Hill . 's locate intersection cable car line , provide connection Fisherman 's Wharf area well Chinatown , etc . Union Square 5 block walk downhill , shop close . basically hotel give opportunity walk possibly ride cable car area city tourist would want see . nice take cab around city get expensive . , would say good hotel great location , could use improvement room . 
 Aug 10 2005 	 Hide Valuables 	 debit card steal room , check account wipe , laugh hotel management . idea good visit . 
 Jul 27 2005 	 great hotel lot history 	 husband stay old section hotel , build early 1900 's recent upgrade . originally hesitant stay old section , feel even fortunate experienced old world charm hotel offer . hotel staff accomodate , even put extra effort place we room beautiful city bay view 4th floor . recommend travel outside restaurant dining experience . Sears top - notch reasonable breakfast , walk distance hotel . & quot ; must see & quot ; attraction short walk ride street car - Union Square , Fisherman 's wharf , Masonic Museum , China Town . overall GREAT Hotel , Beautiful City , GREAT TIME ! ! ! 
 Jul 25 2005 	 King Hill 	 Nob Hill , . Fairmont San Francisco magnificent . ornate architecture sweeping view San Francisco Bay , hotel top . husband stay two night 4th July weekend . hotel centrally locate Nob Hill neighborhood , within walk distance almost anywhere downtown — chinatown , North Beach , Wharf , SoMa , Union Square Financial District . cable car stop conveniently locate adjacent hotel , may steep climb lead Fairmont . 18th floor Tower room spacious ( unusual SF ) , stylishly ( simply ) decorate , luxurious bed linens fluffy bathrobe , elegant marble bath separate shower tub meticulously clean . , real story hotel incredible view . enjoy panoramic view Bay Golden Gate Bridge across Bay Bridge . Alcatraz Island plain view . nix trip Coit Tower view city way could amazing right hotel room . enjoy spectacular Independence Day Fireworks Bay right hotel room ! experience will not soon forget actually consider make annual 4th July trip . the hotel also room main building understand beautifully decorate , signature view Tower Rooms . sure book Tower Room request Bay view — you ' sorry . pay $ 279 / night , think quite reasonable busy holiday weekend extraordinary view . hotel ' Tonga Room Lounge kitschy fun . enjoy mammoth ( strong ! ) cocktail two experience Bar ' signature theme park - like thunderstorm ( think Venetian Hotel Vegas Rainforest Cafe . ) ' eat meal Fairmont , opt instead try local restaurant . hear guest however , hotel ' Laurel Court Restaurant lovely food divine . the hotel ' common area decorate elaborately gild gold , ornate furniture gorgeous flower arrangement . lovely work local artist also display corridor . ' opportunity use Fairmont ' " Club one " Health Club Spa , however take peek state art — for $ 15 per day per guest , would expect . gripe Fairmont San Francisco lie inconsistent customer service . upon arrival , bellman front desk staff gracious courteous , encounter another employee describe mildly offensive . later stay , however , service prompt request champagne glass ( use 4th July Fireworks show ! ) also disappoint Concierge appear though bother ask restaurant recommendation . proceed direct we restaurant turn close ( specifically ask would open Sunday evening assure we would ) . luckily , San Francisco home many fabulous restaurant easily find way lovely meal . disappointment feel aspect service quickly forget look window amazing view San Francisco . regard thing ' San Francisco , highly recommend Museum Modern Art , Alcatraz ( course ) , Fisherman ' Wharf , Ghirardelli Square trip Lombard Street ( ' ambitious ! ) " touristy " thing , much fun . ' find great little italian place eat North Beach — don ' afraid indulge - you ' walk climb steep hill back Fairmont ! ' also convenient market / grocery store 2 block hotel - this handy place pick bottled water . if ' tell , highly recommend hotel . leave heart Fairmont San Francisco ' definitely back ! 
 Jun 21 2005 	 dirty room 	 room dirty . get really gross . awake middle night use restroom , barefoot . notice sit stool filthy floor around toliet . like floor not mop time previous people miss spot . Yuck ! really creep ! large picture room slime mark . spot bathroom cabinet sheet . request laundry service slip show previous laundry request person 's name clearly legible . room could nice filthy ! 
 Jun 19 2005 	 elegant hotel - world class 	 upgrade new Tower Rooms must say disappointed view . room clean well apponte although alawys amaze hotel charge nearly 300 buck night not cofee maker room . nonetheless , Fairmont elegant compare well world class hotel anywhere world . someone else mention , bar quite excellent especially Tonga room interior rainfall , good music lot space dance . find 2 negative : first , cost parking 50 buck overnight . second concierge desk . find surly helpful . san francisco many wonderful hotel , will try other next time . 
 may 31 2005 	 room upto scratch 	 walk lobby area impressed see , howver different story get room . first walk corridor room smell musty look worn . get room close door back door coffee spilt around 2 year ago never clean . Dose not look good white door ! ! ! ! also floor not even hoover check last people rubbish still floor headboard look like collect 3 year worth dust . wear hotel need vamp . five star hotel would rate room 3 star ! ! ! ! 
 May 25 2005 	 awful cost / quality rate 	 one symbol San Francisco , many person place tell we . yes , saloon opulent really wonderful many bad thing , especially think incredible price pay kind hotel . first , service incredibly awful would expect something wonderful level hotel . completely astonish afternoon tea : price quite high importantly , ask one bottle champagne ( course high price ) smell taste really awful . ask waiter change bottle could even understand say call manager ! ( every little osteria Italy would immediately get new bottle without comment ! ) . room elegant really think hotel deserve price . go somebody else pay ! 
 May 2 2005 	 Fairmont : Regal SF Hotel 	 come SF want good location , high hill , professional , classy service , load amenity , beautiful decor rival great hotel Paris London , stay old wing Fairmont . very high ceiling , luxurious drapery bedspread , excellent efficient room service ..... diversity restaurant site . lobby area beautiful , even stay hotel , stop see it . there two area Fairmont fair quite well : hotel new tower -- lovely much standard - type room -- therefore Fairmont large hotel feel like suddenly evaporate thin air , nobody would notice . second , concierge desk particularly well - inform ..... well use internet guidebook help figure go time . ' ve SF many time ..... argonaut fun kid , ultimate , classy , luxe San Fran experience , stay Grand Dame . if really want live , stay one suite old section hotel . add : look incredible view , not get old wing hotel . walk grand front entrance feel fine .... look right bay . 
 Apr 10 2005 	 old school hotel 	 great time fairmont , decide upgrade tower room look alcatraz veiw cost $ 60 per night extra.the bed comfortable queen size triple sheeting , turn service request ring house keeping . bathroom nice separate shower , toiletry make shampoo conditioner body lotion soap , little extra like cotton wool nail file ect.the staff find nice helpfull , hotel old school like , yes top nob hill would say one good , walk sears restarant breakfast would recomend near union square , get taxi back hill $ 5.we pot coffee first morning deliver room discover little coffee take stair near tonga room bit like starbuck . fun . 
 Apr 5 2005 	 Perfect Honeymoon 	 wife stay fairmont return Fairmont Sonoma Mission Inn wine country . Hotel know Honeymoon upgrade room one bay view .. view stunning service perfect . concierge give we great place lunch well schedule airport pickup departure day . hotel stay major city staff hotel iteself phenomenal . 
 Mar 30 2005 	 view worth money 	 decision upgrade room tower bay view worth every penny ! room extraordinary fine linen , fantastic bath ( separate marble shower soak tub ) , great radio , delivery San Francisco Chronicle New York Times morning ! also enjoy nice dinner Tonga . highly recommend romantic splurge . 
 Mar 11 2005 	 Fairmont San Francisco Families . 	 beautiful old world charm hotel . the property well keep close intersection two main trolley line . I would recommend hotel couple single , however family kid , find get hotel bit tricky . also prepare huge commute room , las vegas style . enjoy city bay . 
 Feb 23 2005 	 Decent enough 	 bad hotel -- pay $ 259 small room without much view speak . room extremely hot request engineering fix problem , ( sort ) . breakfast buffett nice . location stunning lobby certainly high point hotel . 
 Feb 17 2005 	 great place stay ! 	 stay Fairmont one night ( Feb. 2nd ) way Sonoma wine country . hotel , staff , view , Tonga room everything spectacular . would definitely go back ! ! ! 
 Feb 2 2005 	 Best Hotel San Francisco ! 	 stay Fairmont first time hardly wait go back . incredibly gorgeous hotel . check evening greet warmly , nice change pace call 5 star hotel . give upgrade room amazing view bay ! ! WOW . buffett breakfast outstanding , careful book bed breakfast rate breakfast include price room not accidentely charge onto bill . parking hotel downtown outrageous Fairmont actually charge less hotel area . overall , great experience ! 
