clean 	 husband stay Thanksgiving ( 2 night ) . purposely choose hotel away craziness parade route , even though knew have go watch . hotel locate less one block w 4th St. subway entrance ( pleasant surprise ) , make easy come go pleased . quickly learn get subway follow exit sign W 8th St. ( W 3rd ) . bring waverly Place W 4th intersection , close hotel . hotel lobby small , clean nicely decorate . one small elevator , problem morning hour wait arrive . continental breakfast typical ( croissant , muffin , fresh fruit , cereal , etc . ) notice people wait line seat finish . Glad get early . room spacious New York ( walk around bed , be spacious ) , bathroom clean nicely appoint . find mattress comfortable , like bedding . room stuffy use AC work fine . window look onto another building , view unimportant we since plan go thing vs. look window . however , bit disconcert blind / shade bathroom ; bubbly privacy glass . room across way someone could enjoy voyeuristic view , suppose . keep bathroom light . , pretty good experience . 
 Dec 5 2005 	 Nice Hotel 	 stay one night , first weekend December . hotel sit right NE corner Washinhgton Square Park , NYU campus . hotel old boutique style hotel much character charm . book month advance $ 210 night , Christmas season . read previous review , realize room renovate , make sure get renovate room . room small , nice comfortable , new wallpaper , furnishing , bathroom , etc . view , fine . room fine 2 people . speak renovate room , lobby lounge . lobby also nice , neatly decorate . lounge lobby level small , warm cozy fine quick drink . staff friendly helpful . absolutely complaint hotel price , room absolutely location . area around hotel great walk around , shop stop many small pub , bar restaurant drink . young , vibrant crowd area since right next NYU . good hotel recommend . ask one renovate room . 
 Nov 22 2005 	 awful 	 husband one request book room . want quiet room . give room ground floor , reluctant accept , staff member insist would quiet . sleep throughout night . wall paper - thin , loud party go night . party settle around sunrise , keep morning street noise . pack leave 6:30 could take long . miserable . also , quality room much well & quot ; flophouse . & quot ; mattress plastic feel , carpet ancient institutional looking , towel feel like cardboard , one pleasant comfortable touch whole room . 
 Nov 21 2005 	 Location Location - stop moan people ! 	 stay washington Square hotel 7 night . never disturb noise room always clean . room small every travel guide website tell expect - not go ny sit room . bathroom adequate . personally prefer fact hotel doorman , bell hop etc want would stay luxury hotel cost lot hotel never claim . not ' date ' period building . location simply perfect - two subway cover 4 different line block away easy walk distance Soho , east Village etc - great stay ! 
 Nov 16 2005 	 horrible hotel horrible staff 	 hotel one bad hotel experience date . travel frequently never see something quite like & quot ; hotel & quot ; call . would call hostel . doorman , bellman , friendly face staff . place look extremely date , despite front desk manager tell room recently renovate . put new duvet bed renovate . elevator open stairwell , ancient metal door hallway tell fire safety , although door 80 year old . wall paper thin not sleep due noise street hall . window A / c unit . not see window a / c unit hotel ever . desk , tv hang ceiling carpet stain . first room questionable stain one bed , ask move , mgr insist stain check room early day . ask would like see decline . room move hair bed pull back cover . needless say , would recommend hotel anyone . manager inform price , accomodation quite reasonable . not care price , expect service quality . many place stay ny great location charm , unfortunately hotel one . 
 Nov 9 2005 	 terrible hotel - great location 	 boyfriend arrive find request stay room several floor ignore . give room ground floor evening promise reservation next morning . could sleep due noise street . also find next morning direct route restaurant awoke sound high heel hit floor board people talk loudly outside door . arrive desk next morning copious amount baggage change room give blank stare day staff member . room room smoking floor smell smoke . accept hope would least get sleep promise air refresher machine never arrive despite repeat request . far bad aspect stay faulty ALARM system ! ! ! go accidentally 3 time 4 day two 4 am 6 am . informed staff happen regularly offer form compensation . stand around foyer guest , cold pyjama , firmly decide ( ) would stay ; ( b ) would write review warn other . great location though look somewhere else area . 
 Oct 15 2005 	 nice little hotel 	 really nice hotel great location . 's short subway ride battery park central park , right across street exxtremely family - friendly Washington Square park . stay hotel two child ( age 3 5 ) park across street wtih pleasant , accessible playground real plus . also splurge newly rennovate room , money well spend . New York several family member , unrennovated room adquate , nothing special . also , corner room -- spatious . sister 's family much small room , four quite cramp . the hotel character -- wind hallway , slow old elevator . staff wonderful . accommodate , great deal little kid . would definitely stay . 
 Oct 13 2005 	 great location great value ! 	 ' ve stay kind whacky hotel NYC past twenty year visit , always try keep $ 200 / night , WS hit mark location value . beside recent visit originally try hotel 2003 . time experience mar lack non - smoking room -- since change . hotel popular european visitor . yes , connect hallway stair typical New York rat - warren quality -- narrow passage weird level change , strange door unpleasant smell . room fine . time standard & quot ; single & quot ; ( twin bed ) , size small bedroom house , bathroom attach . previous visit queen room quite comfortable New York standard . furnishing extras ( blow - dryer , iron , soap , safe , extra bedding ) everything finctional , include master light switch bed . window , unfortunately , open onto classic NYC air shaft , surpise find screen new blind ! bathroom clean towel fresh . complaint air conditioner , right next bed , disturb compressor cycle ( fan alone actually great block external noise , although neighborhood fairly quiet ) .It really fine , location , heart West Village fantastic -- block subway , walk distance kind great stuff . shenanigans reservation bill simple continental breakfast include . ws great find would definitely go back ! 
 Oct 13 2005 	 Great Location 	 stay four night . also stay 2 nite Essex 2 nite Hotel QT experience different area . if need room sleep , WSH may work room quite small . want middle action close subway stop , find right hotel . I love history , read list celebrity find way hotel -- feel like part elite club ! would stay without second 's hesitation . btw -- two hotel much space WSH . 
 Oct 4 2005 	 fabulous find ! 	 stay 11 night hotel love . although room really small , clean & amp ; well present . the staff hotel always hand answer question friendly . basic breakfast include handy . the location wonderful , right heart Village . highly recommend would definitely stay . 
 Sep 27 2005 	 great deal great location 	 room luxurious decor bit date , gem . sheet high thread count european comforter . room air condition tv . basic breakfast include room , be wireless internet lobby room staff friendly . hotel heart village near several subway line 's super convenient . would stay minute . 
 Sep 26 2005 	 great 	 price , location , service room ... brilliant value . stayed 3 different hotel visit New York ( trump ... expensive , Larchmont ... budget ) mid price hotel boyfriend fave ! lovely room decent size bathroom ( nice Trump ! ) really helpful friendly staff . room service would nice , do not get try massage ... lobby really nice renovated room queen bed . tv bite high wall really problem time explore great location/ ! would definately stay . 
 Sep 1 2005 	 great hotel right heart Greenwich 	 hotel great 's location short walk Bleeker St road run brilliant restaurant . room small - well pay extra go ' Deluxe ' room possible ask corner room - one face street . internal room last time quiet also small dark . New York 's really much time spend hotel room . bed comfy crisp white sheet . breakfast also good value . ' ve return hotel twice - really location accomodation worth money ! 
 Aug 28 2005 	 Location location location 	 friend Greenwich Village recommend Washington Square Hotel great base first - time visitor New York , not wrong . right Washington Square Park , within easy walk distance practically everything would want see , near many great bar eat place , offer well - price room inclusive continental breakfast . unlike many faceless international chain , 's distinctive atmosphere hotel , well quirky West Village location . downside ? well , make sure get right room . book expensive option - deluxe Queen - first room offer face back building , view strange damp smell . desk staff fine change , alternative great : fifth floor face onto Waverley Place , not large neatly decorate decent bathroom hang space compact wardrobe . understand previous horror back room low floor ; be quite noisy road , go locale - student road NYU , chess player park , etc , etc . Washington Square Hotel 's super - attentive - doorman kind place , either , suited fine , inexperienced english tipper ! want hotel much holiday experience sight sound , might little disappointed somewhat shabby hall , less well - appoint room basic breakfast , , be real character place . I would definitely go back - business commitment force check peak rate still reasonable . off - season , would even well deal . 
 Aug 23 2005 	 Washington Square old drabby 	 unfortunately , check Washington Square Hotel . love neighborhood bar restaurant great . however , room old , antiquated , tiny depressing . want love hotel ! favorite area New York . refurbish room go Prozac , find downtown hotel room look like neon sign flash window . 
 Aug 13 2005 	 Excellent air conditioning 	 ' m Houston find travel summer difficult since place air condition like ' m use . hotel excellent window unit welcome day walk around Village . hotel accross street Washington Sq Park favorite NYC landmark . excellent restaurant site continental breakfast also enjoy dinner . location can not beat . bed comfortable ; bathroom tiny clean pleasant . plan stay year . 
 Aug 6 2005 	 good locaton NYC ! ! ! ! ! 	 stay 5 night June 05 . $ 195 /pn + tax budget hotel - hey be NYC ! room smallish clean . security staff front door time - think proximity Washington Sq . Park , daylight fun place lot musican people - watch night - plesant ! front desk staff fine helpful - restaurant staff little grumpy- complimentary breakfast adequate . hotel great litttle bar ( wi - fi ) use laptopper - tippler ! 2 metro station nearby bus stop uptown downtowngreat restaurant bar within walk distance . I live San Francisco find ny much safe place , especially night.hWe great trip - highly recommend hotel . 
 Jul 17 2005 	 relatively cheap cheerful 	 whenever visit NYC stay beautifully locate hotel . room simple , efficient . ( bring candle give room ambiente ! ) bathroom quite spacy window . be stay double bedroom q - size bed ask high floor , lovely view Village even bathroom ! staff friendly helpful . Breakfast ( include ) sober , many nice breakfast place restaurant area . location superb : within walking distance SoHo , East Village , West Village , Union Square , Meat Packing District , Chelsea etc . subwaystation around corner . good price value ! 
 Jul 12 2005 	 clean 	 room hotel clean simple . room large adequate . bathroom clean , fresh towel day , maid service excellent . great location , close many restaurant sight . continental breakfast include room $ 199 / night . look forward stay next time NYC . 
 Jun 7 2005 	 Great Location simple small room ! good value 	 CANT BEAT area LOCATION ! love save money cheap hotel city . say save money , stay , spend extra day NYC ! do not expect much room love . great rate , nice lobby , super small room , free breakfast , spotty internet access ! 
 Jun 6 2005 	 nicely do ! 	 stay 3 night June 2005 . cost roughly $ 195 / night . first thing first , room large . room 10 foot 10 foot , bathroom one side . enough room double bed , two nightstand , small desk , tv . for reviewer complain tiny hallway room , 's Manhattan ... grow deal . ' ve yet find cheap alternative Manhattan , let alone Greenwich Village provide hotel do . free breakfast consist coffee / tea , bread , muffin fruit . breakfast menu also available . location , location , location . be block half west 4th St Subway station , 5th avenue two block away . take subway nearly everywhere , need taxi couple time . we will make Washington Square Hotel regular spot be New York . $ 195 / night may sound kind pricey , look overall bang buck . convienice location , price , food , etc make Washington Square Hotel great spot . 
 Apr 28 2005 	 Nice hotel even nice location ! 	 stay WSH march 25 - april 1 . & quot ; superior & quot ; room ( whick cheap one ) twin bed . room small quite nice , perhaps little bit sterile nothing wall . bed linens high standard , sleep well except couple night noise corridor wake we early . bathroom modern fresh . towel clean change every day . clean room excellent . Breakfast ( include room price $ 200 night ) fruit sallad bagel / toast coffee tea . make omelett something else want , pay extra . breakfast taste good dining room nice , & quot ; art deco & quot ; - design lobby hotel . location hotel perhaps strong point , right beside Washington Square Park NYU . surrounding nice , lot small cafe , restaurant bar . also take 5 - 10 minute walk reach Soho , excellent us tourist want spend money shopping ... recommend hotel anyone want stay West Village area . perhaps little overpriced small room . return , probably go & quot ; deluxe & quot ; room , pricier , seem cozier decoration . 
 Apr 14 2005 	 Room 125 Hell earth 	 stay away ! good thing dump position – close subway walk distance Soho , Chinatown , Little Italy Village . otherwise , pay little extra stay somewhere else . ' prepay room travel agent Australia find poky space barely big enough bed , lobby direct route lobby restaurant – marble corridor , keep awake night people walk past . noise restaurant ( kitchen staff play radio loudly pack night ) make even bad , exhaust fan kitchen airshaft right outside window , keep open ( even cold winter ) cause heating ' shut could grown orchid heat . reception staff fix smile people ' hear many complaint ' care less anyway . tell could upgrade another $ US25 ( despite prepay $ US100 night declare walk - in rate ) . ' hotel ' ever encounter wear earplug get sleep ! place bad sleeping street . come think , rat scurry garbage street outside seem lot happy Washington Square ' clientele . 
 Apr 4 2005 	 super little 	 delighted find little busy NYC ! breakfast indeed convenient could choose pay extra varied menu . room ( Quad ) small clean comfortable , staff helpful guest vary savvy european NYU visit don ! 
 Mar 3 2005 	 Quaint Hotel lovely staff 	 partner stay hotel last night New York last week . arrival greet pleasant staff make we feel like real people room number . however , could offer we room share bathroom time one else room say would let female . later informed female check . ( suspect booked time ) . anyway room rather disappointing cramp pretty run shabby . also second floor noisy traffic . bathroom heat freeze cold tile floor , however , case room boil noisy radiator ! however , bed pillow nice comfortable soft cotton linen . location great plenty place eat drink around area . pay £ 100 room think definitely much room guess 's location location location . also book late could also . think stay long would ask well room one night ok also get continental breakfast include nice . 
 Feb 28 2005 	 great location pleasant 	 stay Washington Square Hotel one night last weekend teenage daughter . staff hotel exceptionally nice , room nicely decorate modern style , although bit small . clean . breakfast , include price room , nice quick . sit , fill glass orange juice , plunk fresh fruit salad front , plunk basket toast bagel muffin . be hurry not want something fancy , be fine . want egg bacon may go elsewhere . yes , hotel architecture interesting , good . yes , 's crazy hallway staircase deadend . hotel , short tearing rebuilding ? be old , historic building . get . least room bathroom modernize . unfortunately , heating system . room least 120 degree F. comfortable completely turn radiator . minus pillow terribly hard . otherwise , fun , bit funky , place stay right nice , fun area . 
 Jan 23 2005 	 Loved Hotel ! ! ! 	 stay Washington Square Hotel 11 night New Year 4 friend think perfect . staff extremely friendly helpful , nothing much trouble . we free breakfast include although not start serve 7:30 not problem we ! well situate cafe 's , pub , restaurant , shop subway station within walk distance . all , would definitely stay ! 
 Jan 13 2005 	 love stay ! ! 	 stay New Year year wonderful experience . room well sized clean bathroom . Hallways indication room look . Decor really cute foyer look great . real concierge door service mean tip require fine we . complimentary breakfast great .. bagel , muffin , small bowl fruit yoghurt juice / tea / coffe .... bit samey 10days free complaint . area absolute winner . close great restaurant / bakery 's subway 2min road . complaint room get terribly hot sleeping night no - one could seem turn heat . recommend ask room window open onto street get air flow problem . would definately stay ! ! 
 Jan 12 2005 	 Good Hotel 	 spend 5 night Washington Square New Year great time . the location good mention , well walkable distance load place hotel also 1 minute Subway . the room clean well maintain probably small New York hotel room , definitely worth pay slightly well room . breakfast okay - unless fancy huge fry every morning good amount well , not queue ! staff helpful impressed report toilet block 8:30 New Year 's morning problem fix within 2 minute ! 
 Jan 12 2005 	 place blow 	 narrow hallway , small room . window view wall 5 foot away . radiator heat way load night room way hot . steam heat bathroom create pool water floor . worth $ 150 stay night . would rather stay Motel 8 like . never . 
 Dec 21 2004 	 Perfect Hotel 	 husband stay Washington Square Hotel 4 night Dec 2004 . think perfect good value money . location excellent , Washington Square 5th 6th Ave , Grenwich Village . lot good local shop restaurant everything within walking distance whilst time stay somewhere village atmosphere . room fairly small compact clean tidy , staff helpful overly friendly queue get table breakfast - decide bother . would certainly recommend hotel , would consider stay anywhere else . 
 Dec 17 2004 	 serve purpose good location 	 back 4 night Washington Square HOtel . old school pal want shop see New York . renovate twin room adequate . clean fresh bed comfortable . bathroom also clean . 8th floor noise problem read review site actually relieve size condition room . pay extra $ 15 per night get renovate room ! location good dinner drink evening also shop soho.breakfast fill gap highlight . would stay would want pay $ 200.00 per night hotel room . 
 Dec 10 2004 	 tinpot establishment 	 ' rough ' motel room across USA find condition hotel easily poor . give room lobby area behind reception . outside skip full dirty linen vacuum cleaner line . assume storage area janitor time 7 pm . condition decor appalling become clear vacuum see action room time . room many problem . faulty hiss radiator , buzz lightbulb , excessive dust , dirty cupboard , old sweetwrapper alarmingly break insecure window ( room ground floor ) apology offer . concerned might disturbed ' clean ' room ! keen we take particular room occur we want isolate we family kid . request another room well , insufficient space . however could fault daily room service . unacceptable service last day deny half ' complimentary ' breakfast . claim run food , continue serve ' pay ' guest exactly usually . Bizarre & amp ; outrageous ...... 
 Nov 18 2004 	 definitely one - Time experience 	 complete one night stay hotel say 's one poor property ' ve stay long time . lobby beautiful room horrible . navigate narrow hallway heavy wooden firedoor , get room share bathroom room next . tell room would likely remain empty night bathroom would mine , make nervous locked room time use bathroom . the room small cramp window air - conditioner , would not recommend summer . small tv shelf nightstand pretty much . picture website entire room -- not fool . not expect anything huge something clean nice . bedlinen clean good condition bath towel another story . two handtowel ( guess one room ) , one bloodstain brown mark . pleasant thing find be dry face . set aside , think would get something good hotel continential breakfast . well , can not actually say like not start 7:30am leave 7 am meeting uptown . obviously not cater business crowd often . , would strongly advise avoid hotel unless stay one night need close Washington Square . could nice little work right 's worth money cost stay . 
 Nov 2 2004 	 Great Hotel ! 	 return 3 night stay Washington Square Hotel - it wonderful ! bit worried read review , unfounded . request renovate room . must set expectation however -- OLD , boutique hotel , room service , jaccuzzi tubs , bell hop , lot character small , small space . fantastic location Village , walk distance great shopping , resturant club . reasonable rate 200 New York . 
 Sep 28 2004 	 much money 	 disapointe ! price bite high room let . small , weak decor , window make & quot ; fogged & quot ; glass small . clean however lobby impressive . bar nothing - leave . bed comfortable . would stay price low . 
 Sep 2 2004 	 Love Washington Square Hotel 	 stay Washington Square Hotel many time recent year . perfect New York hotel anyone tire cookie cutter hotel look alike . hotel 100 year anyone look new construction look elsewhere . , interested something different something history , place . location excellent , right Washington Square block SoHo subway . staff excellent , attentive intrusive . room cozy comfortable bed warm duvet . hot water plentiful soft towel bathrobe lounge . public area room imaginatively decorate , beautiful tile painting Sargent ' Madame X lobby original art throughout . North Square restaurant adjacent hotel continental breakfast include room serve . warm invite space eclectic bistro style menu . restaurant great something everyone cioppino filet mignon , duck vegetarian offering . sure leave room excellent chocolate cake lemon tart dessert ! quality combine make Washington Square Hotel absolute gem Big Apple can not wait get back . 
 Jul 21 2004 	 squirrel run pajama 
 Jul 2 2004 	 Bad 
 Jun 13 2004 	 great bargain 
 May 24 2004 	 Washington Square Hotel great ' command central ' NYC excursion 
 May 20 2004 	 like European Small Hotel 
 Mar 2 2004 	 horrible Horrible Hotel 
 Feb 3 2004 	 will never go back hotel .... 
 Dec 15 2003 	 Winter Wonderland ! 
 Oct 7 2003 	 great price 
 Apr 12 2003 	 Nice Hotel 
 Nov 16 2009 	 Hotel comodo muy bien ubicado 
 Jul 19 2009 	 Lo mejor el restaurante 
 Jun 4 2009 	 Excellent hôtel au coeur de Mnhattan 
 Mar 6 2009 	 ? ? ? ? ? ? ? ? ? ? ? ? ? 
 Jan 29 2009 	 Hotel sympathique et trés typique mode jazzy 
 Jun 10 2008 	 très comfortable mais cher 
 Apr 16 2008 	 Bon hôtel 
 Nov 5 2007 	 agradable centrico 
 Oct 19 2007 	 Une des meilleure affaire à NYC 
 Feb 20 2007 	 Sehr empfehlenswerte Hotel 
