Nov 	 great service great location 	 wife enjoy stay last june great service close attraction 
 Jul 29 2006 	 Disappointment 	 priceline book Crowne Plaza London Saint James though give great deal -- half nearly $ 400 / night room rate 4 star hotel . show room , though , quite disappointed . room tiny corner room window part directly face brick wall . bed tiny -- maybe double bed definately queen . bathroom nicely appoint ( 4star aspect depress little room ) . amazing place get 4 star rating room much less 4 - star ! Paris London stay amazing 3 star hotel -- quite contrast ! pay full price room , would absolutely sick . since London overnight , want make time head soon check . tell bag would bring right room wait wait wait . finally call investigate bag . finally deliver wait quite time . frustrating . on plus side , hotel close proximity Victoria train station could quickly get catch express Gatwick . also within quick distance Eurostar . 
 Jul 27 2006 	 great location overprice 	 stay hotel several time , mainly excellent location . check staff helpful , little stand offish . standard room , adequate . nice clean , witness & quot ; dust & quot ; describe customer . Breakfast overprice , would recommend use little italian cafe outside hotel . great price quality -- sight cheap hotel . ( Turn leave outside hotel , 50 metre road right side ) .Overall , great location , extremely expensive get . 
 Jul 20 2006 	 terrible place 	 stay room 422 two day go Europe back USA . try avoid room . overlooks air conditioning duct , small strong smell mildew . pity , take picture , guess include soon . when complain smell tell we come refresh room ( mean spray , change anything ) . carpet hall dirty dusty , elevator old . advantage : good location decent breakfast . breakfast include price - cost $ 36 per person . want access internet pay $ 14 15 min . sell card possible use internet 5 minute . summary : overprice hotel need renovation least cleaning . staff helpful . way , offer newspaper ( usually complimentary ) , include bill . first day get deliver , second day forgot . also forget change towel bathroom . fortunately , stay two day . 
 Jul 13 2006 	 freekin dust BOWL ! ! ! DUMPY [ -- - ] piece ... HORRIBLE ! 	 fan DUST Hotel . I think Hotel build around 1700 's think dust stay since then . I could barely breathe carpet wreck . 4 star ... ha ya right ! disaster . lobby look amazing thinking place go to awsome ! ! ! ! [ -- - ] hole . elevator must first one ever make . like death trap top floor think Henry VIII roommate . dusty dump . good friend dust place . never hear vacum ... Mr. Hoover sell part ? would buy replace carpet bad ? furniture dent scrape guess time Keith Richards stay 70 's carpet stain .. stain galore . please do not stay ... love GOD ! two finger 
 Jul 9 2006 	 enjoy much ! 	 stay 2 night Med cruise Rome . operate Euros two week fairly enured dollar exchange rate , ... hotel really we go laughter room service rate ... $ 32 hamburger ! excellent place eat end Buckingham Gate palace ... Albert . absolutely love . hotel extremely quiet due extremely heavy door room . location great would definitely stay . 
 Jun 8 2006 	 second visit disappointing 	 stay Hotel end December lovely room nice experience . I like location , room nice close underground nice neighborhood . street Buckingham Palace , yet quiet street . when decide would start 2 week vacation late May London book 3 night hotel February . I also priority club member entitle upgrade available . our room ready bring we coffee , nice start except inquire hour ready tell . later find person never bother check . I tell room could get since want non smoking . entire floor non smoking room .... tiny long narrow ... view wall . tv old small far away bed could barely hear normal volume . the Concierge rarely able answer question . on plus side eat dinner restaurant last night food excellent service ... nice atmosphere quite busy . 
 Jun 1 2006 	 Week Holiday 	 wife return great week London . love Crowne Plaza Hotel London - St. James . room good size well decorate . yes , part hotel show wear , look past fo find real beauty hotel . really call hotel A - maze - ING feel like work way maze find way room , , be part hotel 's charm . first list POSITIVES -- LOCATION , LOCATION LOCATION ! close Buckingham Pallace , Palace Museum Royal Mews . within walking distance Westminster Abbey , Parliament , Big Ben , London Eye , St. James Park , Trafalger Square Piccadilly Circus . minute St. James Park Tube Station , give access whole London . staff friendly helpful . next list NEGATIVES , . cost eat hotel put real stress budget , stay away mini bar . £ 2.95 mini pringle outrageous £ for full english breakfast . suggest go corner Petty France BuckinghamGate Bon Gustos Italian Resaurant . 's open breakfast ( English breakfast £ 3.95 ) lunch . diggner try soem many local pub . Buckingham Arms Adam Eve , Petty France . good food reasonable price . another interesting pub St Stephens Tavern across street Big Ben take dring , go stair think & quot ; ghost & quot ; member Parliament may sit spot plot plot . all , return London certainly try stay Crowne Plaza , St. James . 
 May 21 2006 	 Loved Crowne Plaza 	 wife recently celebrate 36th wedding anniversary Crowne Plaza Saint James London . location hotel excellent ( close major tourist attraction Buckinham Palace , Royal Mews , etc . ) , situate close easy - to - access public transportation , i.e . bus subway ( tube ) . room clean , spacious , comfortable . throughout stay , hotel staff efficient accommodate . hotel locate heart government district London , mean become quiet evening weekend . searching & quot ; night life & quot ; would venture west End section , 15 minute walk . we book trip American Airlines Vacations , include choice hotel , well variety tour amenitite . tarvel often internationally business , pleased choice Crowne Plaza . room come full english breakfast day , would highly recommend . although eat meal hotel , several high - end restaurant either hotel , within easy walk distance . also several pub within walk distance serve hearty & quot ; pub grub & quot ; reasonable price . , superb vacation excellent hotel . 
 may 16 2006 	 nice hotel 	 agree positive review . wife wonderful 4 night stay . even allow we check early ( early ) . room 2nd floor back side hotel face schoolyard , though time little loud morning , also quaint addition unique London experience . room clean , up - to - date , roomy enough . also like fact hotel relatively quiet street situate next countless hotel . yet , still step away pub , sight , etc . 
 May 14 2006 	 nice hotel 	 recently stay one night whilst see show West end ( 15 minute walk ) . good location good chunk tourist spot near vicinity - either walk nearby tube station . find staff deal proficient helpful . although doorman seem little keen car key valet park whilst try check , ( keener get tip suspect ) little irratate . however , honest enough find free parking space right outside hotel ( sat & amp ; sun ) , wise daily charge £ 25 per day . the room second floor , nice , clean suit we fine . big London hotel room . view office block , could wave worker midweek ! notice occasional noise tube otherwise quite . communal area hotel spotless come expect Crowne Plaza hotel . we not eat hotel , menu look good . although would say breakfast cost £ 22 full english ridiculously expensive . UK - extortionate ! . plenty place nearby Victoria get brekkie way less £ 10.i pass comment like other - MINI - BAR . chuckle write , one hotel could actually bring arrive price charge . ( use ) . favourite £ 1.50 packet polo mint - 30 pence newsagent , £ 9.50 mini A - z london map write back shop price £ 4.95 ! ! , good value 4 * hotel good location , avoid in - house charge 
 Apr 25 2006 	 four fun day ! ! 	 stay January . nice hotel close everything see London . 4 - 5 block Westminster Abby / Thames River & amp ; 2 long block Buckingham Palace . walk across Princess Diana Park be Piccadilly Circus . recommend eat little cafe call Cafe Concerto ( Piccadilly Circus ) . expensive . the cheescake excellent . also eat Aberdeen Steak House ( Piccadilly ) semi - expensive $ 60 U.S. similar Black Angus . while stay hotel , walk 1/2 block street Bon Gusto ( blue awning ? ) . concierge know eat . reasonable compare hotel restaurant pricey . prepare , bacon thick slice ham bean bake bean . hotel : be huge ! long walk hallway get room . spacious although bed low grind two bed make one . school outside window boy pretty loud first thing a.m . view room good . city building brick wall next hotel . the bathroom heat towel rack , never see one , work nicley . plush bath robe . the concierge service top notch , honest , helpful 24/7 . be go Harrod 's remember close early season . will need 3 - 4 hrs see . big city block . not walk Tower / London Bridge ! ! take tube . 
 Apr 19 2006 	 Easter London 	 read past 50 review hotel , board . end choose hotel narrow select one check Eyewitness / DK London travel book highlight good hotel location ( vacation .. series book never steer we wrong ) . one list Westminster area member Hol . inn Priority Club , decide go . mainly think difference previous good bad review room locate set staff member ! room 4th floor overlook courtyard standard room . would say average european sized room smallish clean well keep bathroom . water flow great towel ( right size thickness ) . first think bed low ground surprisingly comfortable pillow - and ' m pretty hard please ... course , . mini bar price freak outrageous ... outrageous usual minibar charge , either you re eat - from - the - mini - bar - person you re , whatever . room hall quiet that s come person near - bionic ear . location St James ' tube stop 3 min Victoria much . Buckingham Palace street St James ' park .... Westminster / Big Ben / London Eye within 10 - 15 minute EASY walk . find location great . afterall , one hotel can not near everything .... staff hit miss depend shift .... concierge ... either helpful snooty . something improve upon would attention detail ... forget least one item room service tray every day go back retrieve , kindly . afternoon tea lobby miss sandwich ask ... minor thing like . eat 2 restaurant pleased taste / service / value . use spa one service although massage excellent , seem one staff front desk know & quot ; intake & quot ; appointment . like say , minor thing . one thing consider minor really could problem business fail give wakeup call one day . wake - up call button phone work call front desk day personally ask call . thing bug room service people knock door hour try pick tray ... one , note tray state ext . call wish tray pick . also , ask leave room time come back tray always say least 2 hour ... overall , tend stay 4 star property . Ritz , nothing sneeze actually good value . would stay . 
 Apr 6 2006 	 Girlie weekend ! 	 Hotel fab , staff friendly , food good ( bit pricey ) room huge ! great weekend ! use jacuzzi / spa relaxing , ! highly recommend , especially price . 
 Mar 27 2006 	 nozzle hoover 	 look quality hotel near victoria station handy Vauxhall area London . stay many time Holiday Inn chain thought would give treat staying sister hotel chain Inter - Continental Group . read enthusiasim Trip Advisor 's reader ' review take note ask room overlook courtyard . book well advance specifically ask courtyard room pay deluxe room king size bed . receptionist although courteous speak break English expect within capital . duly show print confirmation receipt detail exactly requirement . unfortunately courtyard room available smoking room . could try Saturday could move . proceed room shock - room dreadful , small dismal overlooking playground appear bottle plant brewery crate upon crate empty bottle . room number 169 definitely king size bed neither deluxe room . immediately ask transfer . assure would lovely room . mmmmmm 4th floor room 424 yes king size bed , lovely room ? think . overlook enormous air conditioning duct room also overlook . toilet seat break , roller blind ( believe may white ) consume dust carpet certainly see well day , oh do not cleaner use nozzle belong vacuum cleaner get dust muck skirt board carpet edge . complimentary bottle water number 1 . unlike holiday inn replace daily . tea coffee place butter dish minus biscuit - none ever give . word warn stay away mini bar £ 5 Toblerone bar chocolate . £ 3.50 69p packet pringle . do not hotel charge sensible price may sell good . pity help foreign traveller may able convert money . Saturday morning decide take advantage ' well equip gym ' . equipment sadly need replace good overhaul . whilst fire alarm go continuous mode no - one came see safe , reception gym flight stair . several minute alarm ring go investigate . sound alarm could heard reception . ' oh go response ' however instructor proceed investigate however half way back gym arlarm stop . Heaven help people really fire certainly would own . we regular visitor London 6 - 8 time year visit family . repeat visit hotel . it may rather swish hotel heyday sadly overprice dismisal hotel need really good housekeeper clean . 
 Mar 20 2006 	 Superb Weekend 	 reading past review last year think Plaza improve thing . staff always attentive service superb . room upgrade superb suite overlook fountain Bank restaurant . could fault anything . two small technical issue tv ( 2 ! ) dodgy screen one set curtain slightly difficult close . everything else 100 % . hope everyone experience St. James . 
 Mar 9 2006 	 Perfect Pick Priceline Price 	 Kudos Crowne Plaza St. James location spacious room . place bid $ 120 usd Priceline , accept hotel . hotel 3 minute walk St. James Park Tube stop within 5 minute Buckingham Palace , St. James Park , Westminster Abbey , Big Ben . area dead weekend , bit busy work week . hotel lobby impressive staff attentive . room , although date , spacious amenity traveler could need . european hotel , bathroom quite large bath robe towel warmer even provide . adequate gym locate basement hotel , available guest free charge . fee , spa service also available . complaint service hotel rather inept concierge . inform we know nothing Tube & quot ; never ride & quot ; terrible provide direction . other note , ask courtyard view . rather dismal view air conditioning unit brick wall not court yard view . short , traveler reasonable expectation four star hotel , Crowne Plaze St. James disappoint . would definitely stay ! 
 Feb 28 2006 	 great location Clean 	 stay 3 night Feb . hotel centrally locate . less five minute walk Buckingham Palace little five minute Big Ben . hotel clean staff seem friendly . free water , tea , coffee , candy nice touch . complaint hotel freezing room . ' m sure issue result age structure hotel . hotel direction indicate take Underground St. James stop Victoria Station . willing walk 5 minute save 3 pound subway ! 
 Feb 7 2006 	 convenient location pleasant hotel 	 stay brief visit London January , 2006 . location terrific ; within walking distance Buckingham Palace , Westminster Abbey , Parliament , Thames London Eye . Victoria Green Park Tube station 10 - minute walk hotel . area safe quiet lack abundance restaurant shop available area . lobby , note review , quite nice . find room comfortable sufficient need , fairly roomy bathroom , european hotel standard . everything clean good repair . hotel employee generally respond request quickly . find hotel quiet , noise hallway audible room , light sleeper might want bring set earplug . possible , request room overlook courtyard ; room lovely view , other dismal view build wall rooftop equipment . overall , would certainly consider return hotel future trip London . 
 Dec 21 2005 	 Exceptional Service Fantastic Accommodation Great Location 	 return weekend stay Crowne Plaza Hotel , Buckingham Gate , 16th - 18th December . booking email hotel request upgrade room stay special occasion . checking tell indeed upgrade executive room would free charge , great start ! ! room spacious airy separate sit area great view . one slight concern heating seem capable heating room . go meal evening return room even colder ! ! contact reception tell could re - pack could moved upgrade inconvenience . time small inconvenience re - packing reward apartment style suite separate entrance , hallway , living room enormous bedroom walk - in - wardrobe big hotel room stay ! ! staff fantastic , professional , friendly always polite . add fabulous hotel , marvellous stay would recommend hotel location ( 1 street away Buckingham Palace 2 minute walk Tube ) quality truly great staff . 
 Dec 21 2005 	 fantastic experience 	 stay hotel Dec 2005 , time wearrive taxi , leave taxi amazing . meet concierge friendly pass luggage young gentleman take upto room , also pleasant , book reception werevery lovely , enquire upgrade kindly we . reach room beautiful look courtyard back hotel , bed huge comfortable , room everything could ever want . I would say touch goody room , instance box ordinary size pringle somthe like £ 6.50 pretty ridiculous , fool would ever pay kind money ! ! ! apart must say london times hotel well yet . the bed beautifully clean fresh linen put daily , lovely ! food resturant world , every morning breakfast lay lovely , much choice , definitely worth every penny . the hotel situate convenient area , find could walk everywhere big name shop etc . I think hotel great ! read reviews trip advisor alittle put , think need check yourself . BRILLIANT ! ! ! ! ! 
 Nov 17 2005 	 ok 	 stay hotel one night weekend break London husband 's fortieth birthday . room only . book via Priceline auction site , put bid spend £ 80 4 star Westminster hotel accept bid . check staff helpful efficient . room ok little date , bathroom could definatley re - grout . Got awoken maid 9 am Sunday morning come room ( knock ) quickly apologise left . I suppose put DND sign night although check - out day never bother eager maid , suppose may wrong room number not complain , little hacked , lie week late night . have great weekend though not use hotel facility much . location great trip want stay palace . 
 Nov 8 2005 	 Bland Unremarkable 	 Crowne Plaza St. James serviceable chain hotel . lobby rather grand , room small unremarkable . ( unremarkable except one fact ... never know many shade beige ! ) stay , one two lobby elevator slate repair , make long wait . window face british schoolyard , -- despite jet - lag -- awaken early morning sound child recess . service breakfast buffet lackluster well ; refill coffee cup three time , presence go largely unnoticed wait staff . particular hotel seem extremely popular large bus tour ; lobby always full giant tourist group , sea luggage . be use standard issue chain hotel , one be probably fine . long something unique , truer local culture , heighten sense service , luxury hospitality , will disgruntle . ( despite ostensible lure location -- mere block Buckingham Palace -- surround neighborhood actually somewhat inconvenient , bit bore . ) 
 Oct 28 2005 	 good hotel bad manger 	 stay hotel eali month , priority club ambassador member , get upgrade well room Intercontinental sometimes crown plaza , stay last Dec upgrade suite . time check night arrive tell book upgrade , surprise change mind . make thing bad , find bathroom clean cloths towel dirty tissue hang . take manager reception , ask room clean , . ask late towel change . , location great , min buckingham palace , min Tube station , less 10 min walk victoria westminster . room ok size little old , need renew . bar hotel great esp week-end.so want bed breakfast expensive price , go hotel otherwise try somewhere else , one mean high class service 
 Oct 27 2005 	 Great Location . 	 stay 5 night . Crowne Plaza great location . be 1 1/2 block Buckingham Palace & amp ; St. James tube station approx 4 block Parliament . hotel would expect Crowne Plaza good size room nice bathroom . small balcony look onto interior courtyard room nice quiet . 2 thing great hotel : 1 . business district , many restaurant night life near , always take bus taxi find something.2 . conceierge helpful asking question recommendation get place eat nearby . minor thing time see sight . overall good hotel . 
 Oct 26 2005 	 Disappointing Crowne Plaza 	 husband & amp ; stay point 2 night attend wedding . honestly staff nice & amp ; accomodate . show room several hour check - in request & amp ; upgrade . although everything comfortable & amp ; clean , would disappoint paying get . floor & amp ; guestroom serious need renovation . many feature clearly trendy 1970 be change since . drape & amp ; carpeting need good cleaning replace . bathroom 's vanity make terracotta - colored molded plastic & amp ; shower / tub combo low ceiling comparision rest bathroom . the staff great , valet manager let us park rental car street valet car charge & amp ; whenever need something , hesitation front desk 's part . far luxurious furnishing , need come 21st Century . N.B . small fire morning left & amp ; everyone direct street . although never really find happen , allow back hotel quickly & amp ; bar area wet & amp ; smell like smoke . 
 Oct 23 2005 	 First Class Hotel ? - way ! 	 husband stay Crowne Plaza September 6 night . pay superior room please size furnishing . temperature room 80 degree [ know , unheard London ] although air conditioning , work . report several different people come room apparently try fix . frankly not think ever work . husband injure foot unable walk stay extemely hot room 1 1/2 day without attempt make management change we different location . end get irate agree move we . new room unacceptable ask twin double . started finally give twin O.K . first class hotel , claim , would give we another room immediately . would never stay . many hotel price range management really look patron . 
 Oct 21 2005 	 outstanding care - food service 	 wife stay three week accident . care service give we time also visit two son MONTREAL CANADA outstanding thank much . return LONDON CROWNE PLAZA HOTEL - ST . JAMES home away home sure . thank great vacation . BRYAN SHIRLEY NIX . 
 Oct 15 2005 	 almost stay ! 	 stay London lot business ; usually one several favourite . always check broadband access booking need connected work . decide change make broadband check , book room . check find reservation system book three time . ok , sort refund make two extra room . good nonetheless . the room show fine . nothing special Crown Plaza , adequate . except broadband access ! call find another room corridor . well , think different hotel ! bed wear almost floor ; general appearance shabby polite , bathroom tiny . broadband ! connect find evening work net going cost £ 27 ! twice usual rate broadband London hotel . call one regular hotel , book room leave Crown Plaza will not go back . I speak duty manager way let know disappointment . offer find another room ( third ) internet access still go £ 27 , decline . Bid farewell head Mandeville internet £ 12 ! speak duty manager way let know disappointment . offer find another room ( third ) internet access still go £ 27 , decline . Bid farewell head Mandaville internet £ 12 ! 
 Sep 19 2005 	 par 	 first , good . location hotel fantastic ; reasonably athletic , walk nearly tourist attraction London hotel . yes , Buckingham Palace street , also walk Piccadilly Circus , Bond St. shopping , Harrods , even west end . also , road noise minimal , since be locate quiet side street ( surround foreign embassy , FYI ) .I really not like give negative review hotel , especially since particular one seem favorite among reviewer , quite honestly expect lot . not naive American either ; actually prefer small , efficient , clinically clean hotel room ' m use see Europe ... 's be get Crowne Plaza St. James . first impression good . lobby spacious , well decorate , easy navigate . quick peak inside adjoining restaurant reveal clean environment pleased - look patron . go downhill ; starter , check - in staff quite rude , ' ve see Priority Club hotel Europe America . elevator room creak strained terribly , even seem slip twice ; certainly confidence - inspire . although hallways floor beautifully decorate framed artwork Victorianesque lighting wallpaper , room old tired - looking . the furniture scuff , curtain fade . double - bed ( equivalent & quot ; full & quot ; America ) springy clothe rough - feel sheet blanket questionable cleanliness . also , bizarrely , seem design midget , bed box spring sit floor , bedframe whatsoever . would imagine physically disabled individual would find difficult get bed . the bathroom adequate , although shower head quite nice . room view adjacent brick wall . call check - in see could request different room , told already upgrade ( ? ) Superior Room room available . would hate see Standard Room look like ... odd part brother - in - law , travel party time , also end Superior Room , except twice size ( almost suite ) , look gorgeous courtyard , enormous bathroom bay window dual vanity . front desk , however , insist room room class nothing could it . quite honestly , get well room well service Express Holiday Inn , half price . hotel , judge experience , not worthy & quot ; Crowne Plaza & quot ; name , say nothing price charge . 
 Sep 14 2005 	 get well ! 	 couple stay single night August 2005 decide try hotel instead usual London pad . despite grand entrance foyer , first impression disappointing although Priority Club Platinum member could not check noon not room available . return later find allocate basic room ( least hope not high standard ) not time change room evening engagement . room overlook nice quiet courtyard bathroom smallest ever see take turn use one chair room ( even though book set double room ) . furnishing fine nothing outstanding . still comfortable peaceful night wife enjoy use room next day early afternoon ( get 22 hour day ) . bell staff look bag well without fuss really enjoy happy hour cocktail Courtyard Bar catch evening train . the location quite central really good business Whitehall . bit way theatre many tourist attraction near tube District Circle Line bus service nearby Victoria Street serve limited number destination - place two bus change tube require walk 15 minute Victoria Station . Buck House Houses Parliament however walkable time . would go back ? might , probably . likely use Courtyard Bar Restuarant Bistro stay elsewhere . the major gripe despite contrary Sale Goods Act , Holiday Inn website insist quote VAT exclusive price limited number Holiday Inn hotel London . watch not get charge 17.5 % expect . mislead , Trading Standards department Westminster City Council round corner ! 
 Sep 13 2005 	 another enthusiastic thumb - up ! 	 storm come thru , detailed review finish compose lose . - few detail time around . plainly simply - , pleased ! ! great bathroom , plumbing , tub , towel . comfy bed heap pillow . excellent location , along proximity Victoria Rd . bus line , also plentiful shopping Sainsbury supermarket two minute shortcut trot hotel . set fairly quiet street ( tho near New Scotland Yard , occasional siren wail - 's part city , not ? ) three huge window , offer courtyard scenic view , open ( big plus we ) let light stream . street noise negligible . appear windows courtyard side retrofit good deal small . courtyard delightful . lush landscaping bubble fountain . would stay heartbeat . 
 Sep 9 2005 	 absolutely Loved Hotel ! ! ! 	 17 year wedding anniversary , wife treat ourself trip London . stay hotel 6 night August 2005.Upon arrival upgrade suite beautiful courtyard view complimentary bottle champagne . also permit check early 9:30 am . the room wonderful everything need . could not figure operate safe closet , call reception desk someone come room help within 5 minute . the room clean . bed comfortable . bathroom spotless . entire staff extremelly friendly , courteous , helpful . breakfast buffet excellent egg , sausage , bacon , mushroom , bean , juice , bread , cheese , cereal , fruit , cold cut , pastry , etc . location hotel great . it be short 10 minute walk Victoria Station 3 minute walk St. James tube ( subway ) stop . travel around mostly bus . 's bus stop right around corner Victoria Street 2 minute away would take we anyplace London . again , great hotel , great service , great location . could not ask anything well . highly recommend definately return soon . 
 Aug 23 2005 	 Great Hotel Great Rooms Great Location 	 great stay Aug 15 - 20 . people note , smoking area lobby result slight smell smoke evident enter lobby . , big negative . 2 room second floor twin bed push together . room identical 12 15 foot nice furnishing good condition . service good . couple worn spot hallway carpet , otherwise every thing excellant condition . room book via Cunard therefore would give Priority point , get daily news paper free local phone call . charge call local 0800 number MCI 1.50 pound . include buffet breakfast adequate , limit previously UK . ( hot item : scramble egg , sausage , bacon , hash brown , bean , also slice meat , selection fruit pastry plus juice coffee tea ) . location excellent walk St James park several time various central london location . take cab , location 6- 8 pound include tip . overal excellent stay would stay . 
 Aug 16 2005 	 beautiful hotel room need improvement 	 book citytrip Thomas Cook Belgium Crowne Plaza St James rank n ° 1 hotel London . obviously location hotel , lobby , upscale restaurant ( Bank , Zander , Bistro 51 , ... ) welnesscenter worth 4 star . the room side need remodeled want keep high standard . upgrade two time ( standard superior deluxe ) little bit 4 star feeling . even deluxe room , bathroom look like bad nightmare bathroom ( DIY beginner ... ) .All would possibly return Crowne Plaza St James F & amp ; B , friendly staff good feeling hotel . 
 Jul 6 2005 	 great 	 Great Location , staff friendly helpful . beautiful room . go bank restraurant great food , ask Emma . highly recommend Hotel . 
 Jun 14 2005 	 Great Hotel top Location mosty good staff . 	 stay crowne friday sunday.all think hotel great opinion , room clean roomy ideal location within minute sight london , probably 2 min walk palace , also try get courtyard view . I would give hotel excellent rating apart odd thing , arrive wear tracksuit bottom trainer would comfortable drive , upon enter hotel gentleman concierge desk look something stood totally ignore , family would confront little annoyed say least , although attendant help car park nothing charm courteous credit hotel . the reception staff also first class . I stay many quality hotel London , hotel 41 , Draycott hotel , believe hotel little thought could good lot less £ .I would stay without doubt . 
 May 9 2005 	 Location location location 	 lovely , friendly hotel american bent . will appreciate plumbing , guarantee . travel extensively UK hotel average two & quot ; bar & quot ; wonderful restaurant 's sure bet will stay . location ideal , walk everywhere tube step away . safe secure . recommend highly . 
 May 7 2005 	 stay 	 check 9 pm small room window face brick wall HVAC unit outside , pretty noisy . room hot , AC work . go desk & amp ; ask could look grab bite eat . come back & amp ; open window , still AC , crappy brick wall & amp ; noise ! room hand towel disovere 11:30PM ! ! need wait elevator , 2 1 work stop every floor go ! ! ! next day complain & amp ; get beautiful room view . ok hotel , convenient Buckingham Palace 
 Apr 14 2005 	 Visit London 	 family three stay two seperate night - Sat . March 26th Friday April 2nd . first overnight great . helpful breakfast wonderful ! location hotel super - a 5 minute walk Buckingham Palace 10 -15 minute walk Thames . 2nd night , however , bit different . key would work door , walk front desk - not short walk hotel interesting shape - there problem lock , family leave hotel 8 hour sightsee . return , door fix , find cold water - only scald hot ! call front desk someone come right away-15 minute went by - finally call back ask another room -we giving , decide much carry another room , especially since close 9 pm . ask discount room - after management rude try put blame we key intially work ! -management say would need check that - they call back say , & quot ; yes , give 30 % room discount . & quot ; Perfect - we think . get breakfast discover would allow us & quot ; breakfast include room rate & quot ; deal make prior come ! talk management again - no , include room price - luckily push finally include . nice . copy original confirmation room say b - fast include . also , upon checkout , door man insist carry bag back hotel wait taxi - once taxi arrive doorman try scam 10 pound taxi driver tip ! anyway , LOVED location , loved breakfast , Loved give we discount room , love scamming , difficulty get room , take bath , etc . 
 Mar 20 2005 	 4 - star experience / watch luggage 	 travel London study abroad group graduate student March 05 . stay several night , go France , return hotel one night fly home . unfortunately , positive experience hotel . feel , 4 star hotel , front desk staff incredibly rude top one friend laptop steal right hotel lobby . first , little hotel : location fantastic ; walk distance Westminster Abbey Buckingham Palace . room vary widely term size distance elevator . stay hotel two separate time , one time & quot ; upgrade & quot ; big room near elevator another time tiny room bury corner hotel . small room lovely view courtyard . big room view hotel room . furniture hotel room nice . lobby beautiful smell like smoke . not smoke , make sure get non - smoking floor room reek smoke . breakfast include package , find okay . service dining room good . ask room two bed receive room bed zip together . housekeeping unzip we move apart . arrive room little early , around noon , hotel generously check we early . key room , man smell furniture solvent emanating room knock . man explain repair finish furniture room suppose empty . say not fault leave . jetlagge , really want nap room not full toxic fume . call desk ask different room account strong smell furniture solvent . desk tell we smell furniture solvent , lavender smell insert drawer . explain lavender , furniture solvent , tell & quot ; normal & quot ; furniture polish smell room . ( rude ) woman want wait room who - know - how - long could find we different room . air room completely unbreathable , roommate wait hall couple minute haul luggage back lobby wait room . find we another room , woman front desk tell we nose & quot ; overly & quot ; sensitive & quot ; normal & quot ; furniture polish smell . last comment , stay group , response woman would immediately take business elsewhere . our last night Europe , check hotel around 10:30pm . friend 's laptop steal right lobby check man woman work together . find hotel review security tape . hotel say & quot ; start season . & quot ; hotel buy friend drink hotel bar . morning prepare leave , british pound desperately want bottle water . try buy water hotel gift shop allow charge room . allow charge credit card , either , woman & quot ; new & quot ; know credit card sale . could not fetch anyone could , either . I would recommend hotel leisure traveler would return . 
 Mar 18 2005 	 51 Buckingham Gate 	 ' m sure - not want write review Crowne Plaza - instead suite locate next door 51 Buckingham Gate . recieve incredible deal 1 bedroom suite week London . bathroom incredible - huge separate garden tub , shower , fantastic full size molton brown toiletry . kitchen well appoint washing machine bonus ( we use handwash gym clothe ) . cd player . dvd player . sit area . television bedroom living room . high sppeed internet gym . amenity everything modern serene . look back week spend fondly - like home away home . go http : //www.51buckinghamgate.com book ... 
 Feb 1 2005 	 Location Location Location 	 entrance lobby impressive ..... polished dark wood , marble , comfy lounge sofas . the room little less modern anticipate see lobby ( usually like modern hotel ) , although mother describe quaint english style - that s may like . everything need , spotless , maybe little ' English ' liking . bit frilly . one plus standard room . 558 door open onto balcony , overlook pretty central courtyard fountain . imagine summer day would lovely . the bathroom spotless , marble , great shower . comparison parent room next door , bathroom small bedroom big , vice versa parent . personally not class room small . lounge chair , coffee table , 2 bedside table , desk , tv 10 channel , mirror bar alcove , plenty room 2 we . the hotel apparently gym , although one night not use . also sauna jacuzzi pool . also within hotel 3 restaurant , 2 bar . bar visit many time previous trip Zanders , long bar Europe . expect pay good 20 round , apply Hampton bar inside hotel , Baileys , 2 whisky & amp ; Cokes Mai Tai cocktail 28.victoria tube station baout 5 - 7 min walk , past several cafe , cash point must , Mcdonalds & amp ; Burger King - around Victoria area . St James Park tube station close , although not use one . the good thing location . 's far tube , be Buckingham gate always feel ' London ' , 2 min walk Queens house can not bad . prefer sort location rather smack bang middle Picadilly . one good part get Green Park tube station , walk park , past palace hotel , total 15 minute walk . as general rule , really woulnd't worry area London stay , long 's relatively safe , near tube station , sort . although would recommend Crowne Plaza St James - not expect world . 
 Jan 30 2005 	 nice hotel stay 	 husband stay past New Year 's Eve great time . room clean well appoint . marble bath room large ( Europe ) amazingly soft bath towel personal robe towel warm . room great heating system electronic thermostat . include - buffet breakfast fill nice variety cold cook food . concierge give we great tip go beat crowd , especially New Year 's Eve . beat location , St. James station across street Buckingham Palace around corner . Westminster Abbey also short walking distance . my complaint view . stare empty lot fill loud vagrant . try get garden view , hotel completely book . claim nothing could do . if want hotel safe , clean , large room great location hotel . definitely find cheap hotel , hotel guarantee wonderful vacation . make sure ask garden view ! 
 Jan 26 2005 	 Pleasant stay convenient location 	 stay room king - sized bed . ( assume & quot ; deluxe & quot ; & quot ; superior & quot ; designation , sure part package . ) room spacious , overlook beautiful courtyard . hotel leat 8 floor ... recommend high floor courtyard view . bath modern nice . staff quite accomodate helpful location PERFECT . close almost major tourist destination . unfortunately , not get health club , hear friend use facility great , . recommend hotel . enjoy . p.s . full breakfast buffet extremely large filling ! 
