meet 	 choose hotel Hilton Canary Wharf rank highly tripadvisor review . however , quite disappointed . hand , upon arrival midday inform room available , seem like great start stay . make request anniversary clearly completely ignore little angry . standard room quite large lovely bathroom . clean immediately notice bed quite small low . hilton around London , bed big notably much small other disappoint . another problem fan keep switch matter many time would switch throughout night , cold . usually breakfast , seated waiter / waitress immediately offer either tea coffee introduce buffet selection , however case wait getting fed eventually ask could tea . breakfast lot choice fruit / pastries/ cereal etc . however hot food look appetise . dirty plate remove table either mean limited space . overall breakfast service standard . overall , think much well hotel deserve rank particular Hilton not think would recommend probably will not return . 
 Great Hotel ... 	 stay 1 night late November find hotel high quality . arrive quite late , check extremely fast also give free upgrade executive room , great surprise . room lovely . spacious , large tv , ample storage space spotless , well equip bathroom ( excellent shower ) . view not scienic , lot construction work go , can not fault hotel , noise hear . decide go dinner breakfast package , feel work good value money , £ 50 extra . dinner Cinnamon restaurant downstair delightful , delicious come excellent service . breakfast really excellent buffet , something suit need ( breakfast cost £ 20 prebooked ) . staff extremely helpful , especially concierge , provide plently transport map , cinema time , tour intinerarie general know . location , hotel well serve transport link . South Quay DLR station 1 minute walk hotel , get almost anywhere dockland area . walk 5 minute Canary Wharf tube station , get tube directly city center , go o2 , one stop opposite direction . Canary Wharf mainly business district , also many good place shop , eat entertain . 5 minute away form hotel , Canada Square shopping center , boast many high end budget shop also large Waitrose ( grocery store ) . also ice rink outside , great fun cost £ 9pp . 5 minute away Jamie 's italian ( Jamie Oliver ) , fantastic restaurant , really modest price ( main , side , drink = approx £ 15 pp ) , aware restaurant take reservation , wait common , worth ! , wonderful time Hilton Canary Wharf . return area London , would absolutely return hotel . beautifully furbish room , excellent helpful staff , delicious food convenient location make stay memorable one . 
 Quality Hotel 	 stay order catch early flight City Airport . Hilton really well locate Canary Wharf . right next shopping area restaurant . the room well appoint comfy bed decent high pressure shower . the restaurant doubtless good one go something much modest surround area prefer . the hotel quiet great partner light sleeper . the one moan hotel breakfast order room service not turn time - v.early flight want coffee 5.30am . not even begin 6 am . however doubt would matter visitor . a good example Hilton good business traveller . 
 May 2 2007 	 Fantastic 	 stay two night early April . lucky enough stay execuituve room full use execuitive floor . would reccome body pay extra . room enormous 9 year old daughter usually end trip pull bed , case plenty space . well decorate room everything could ask clock radio , dvd player even scale bathroom ! bed also huge extreemly comfy . we use execuitive floor breakfast everything could wish plenty choice . able use room anytime wish drink snack . also available couple computer need they . the hotel well situate Tube Docklands Light railway , take we 10 minute heart city . 
 Apr 28 2007 	 Love ! ! ! ! 	 check Easter weekend 3 night . arrive hotel pretty early around 10:30 front desk notify upgrade Exec floor hence would need check use Executive Lounge 14th florr . early morning , room readie invide breakfast lounge room prepare . the executive room large size furniture dark modern oriental color , quite pleasing eye . bed plush several pillow various firmness support . safe room keep valuable . bathroom large separate shower bath , stock excellent Crabtree & amp ; Evelyn product . lighting bit subdue taste . amenity complete digital weight scale . loose tile bathroom . lounge clean bright modern look . also skyview London skyline abeit afar . morning breakfast lounge combination cold cut , scramble egg , sausage english bacon . afternoon tea cookie cake . evening snack canapee , egg roll , chicken wing satay skewer pedende day . capucino machine , still spark water well mini - fridge assorted soda . morning breakfast also orange , grapefruit pinaple juice available . the hotel keep tidy service do quiet manner . one well Hilton stay far . location also good quick 15 minute tube ride central London away hussle downtown London use DLR Bank station . 
 Apr 27 2007 	 Hilton OK 	 stay one night April 07 wife run London Marathon . upgrade executive suite good , room big bed great . bathroom superb , separate shower bath even hear tv bathroom special speaker ! offer free breakfast executive lounge ' 8.00am , far late marathon ask could downstairs normal restaurant ' able , seem bit odd . good shopping Jubilee Place Canary wharf ( near tube station ) DLR seem ok ( break though marathon day ! ) . DLR right outside hotel low room opposite , light sleeper make sure request room away ! honest ' stay hotel , location marathon start . 
 Apr 16 2007 	 wonderful find 	 spend couple day Easter . suite able take advantage executive lounge 14 floor . throughout hotel staff efficient , polite helpful . junior suite large spectacular view overlook Thames London distance . everywhere spotless . standard Hilton break include dinner first night adequate freebie . stay Hilton Docklands across water never place knock spot it . it cost £ 15 per 24 hour park car consider reasonable London . also nice shop boat City doorstep . brilliant find one back often . Easter egg pillow lovely touch ! ! ! ! 
 Mar 26 2007 	 absolutely Spot 	 stay two night direct Hotel pay £ 197 double room , breakfast day & amp ; dinner first day . represent excellent value excellent stay thank previous review tripadvisor direct towards superb new hotel . I would recommend look previous review basically tell . hotel Canary Wharf ( surprising give Hotel 's name ! l ) must next specific thing London convenient , may hotel . however , little harsh hold hotel 's location ; surely be something investigate , prior organise accommodation . Canary Wharf goes excellently locate close two tube line ( 5 min walk Jubilee , 1 min walk DLR ) . other say , hotel next DLR outside noise , may may offend . usually ( light sleeper ) - therefore rang hotel advance request ( receive ) room far side hotel noise minimal , thankfully offend . mind low floor wrong side , ' m sure noise would offended . food - excellent breakfast always . dinner first night much well expect give previous comment ; get least three choice starter , main desert , half & amp ; really enjoy . restaurant modern pleasant place eat . room - excellent expect give newness hotel . floor space usually find excellent state repair . gown , iron & amp ; board , tea , coffee , toiletry , water , comfy chair , lcd tv etc ; room well appoint . bed - well little wary give previous comment enjoyment bed . could find fault - two good night sleep comfy bed comfortable pillow duvet . excellent touch - 5 pm checkout . Hilton 2 night deal ( dinner first night ) , request 6 pm checkout , enable we make something Sunday freshen journey home . , confirm advance book direct hotel issue check request . service something could not find fault overall likely become hotel choice London . slight compromise little Centre ( though well serve transport link ) quality receive money fit want hotel really enjoy stay . 
 Mar 13 2007 	 nice place sleep .. 	 write second night terrible sleep . first blame jet lag , second due bed . hard rock , sheet , comforter make hot , cold . rest hotel nice , good staff , great bar / restaurant . look review , would recommend book suite , folk seem like bed . the hotel close Canary Wharf tube station , well underground mall . , mainly business . would not suggest stay travel pleasure , prefer something middle town . 
 Mar 12 2007 	 Modern Excellent Customer Service 	 arrive Docklands Light Railway ( DLR ) Friday night 9th March weekend break London , Hilton right next South Quay dlr station . check efficient , upon arrival ground floor reception , warmly greet inform upgrade executive room . direct 14th Floor receptionist already get reservation detail check - in form ready . impressed efficient service receptionist attention . really know true mean excellent customer service . room 13th floor good view Canary Wharf Docklands . executive room generous space extra ever need stay . oversized comfortable bed plenty cushion , pillow light quilt . bathroom separate shower cubicle well bath tub one wall fully cover mirror , variety toiletry available guest . decor room modern , practical , airy bright large desk work separate cupboard flat screen tv Tea / Coffee make facility . room also small glass table complimentary bottle water separate small swivel low level sofa foot rest relax moment . book stay Hilton 's website special weekend deal include dinner first night . restaurant ground floor , food service excellent , staff right attitude customer service , well train polite . meal standard Hilton ' buffet dinner , properly selection restaurant ' menu . also good selection wine wine list . food well present well prepared hotel ' chef , high quality term taste presentation . hotel non - smoking hotel mean good clean air , smoker go outside building " re - charge " . breakfast usual excellent Hilton buffet breakfast variety English cook breakfast , continental breakfast various selection fresh fruit , cereal , bread even unusual oriental snack ( tofu , seaweed , spring onion etc ) . breakfast include deal , quality food service staff high . make good use Executive Lounge executive room , 14th top floor stunning view London complimentary drink cake . use internet office facility , actually draft review one desktop computer available guest . one negative point otherwise excellent hotel noise DLR railway , even 13th floor , could still hear whenever train pass especially quite night . however , DLR stop run long midnight , still managed get good night sleep . give convenient location , small price pay . dlr little slow infrequent compare Underground ; therefore take 5 minute walk across bridge Canary Wharf Underground station . underground train fast frequent take we centre London around 15 minute Jubilee Line . one good hotel stay far , Hilton far live expectation , highly recommend anyone stay London . although locate centrally , like Canary Wharf area , peaceful excellent view away busy centre . 
 Feb 27 2007 	 good value good location 	 book two night stay include breakfast day evening meal first night £ 179.evene meal absolutely awful , supposedly nouveau cuisine simply excuse serve minute portion tasteless food . however everything else great contrast evening meal , buffet breakfast fantastic . Room nicely decorate , 11th floor great panoramic view Greenwich Crystal Palace . location also good yard South Quay dlr station . get central London quickly . 
 Feb 22 2007 	 fantastic view 	 book hotel excellent deal available include half price room child 18 term . upgrade executive room ( £ 123 instead £ 89 standard ) , chidren could twin . difficulty call centre pay deposit , problem end there . the hotel easy find check quickly efficiently , although arrive early specify time one room ready , not long . room spotless , staff friendly food good . deal include dinner first night - set menu three choice course good value . the executive room come access executive lounge enjoy afternoon tea pre dinner drink canape ( inlude room rate ) fantastic view across London - key sight etch window . Breakfast also take lounge although state continental , also bacon , scamble egg , sausage mushroom tomotoe available . not enough still use main dining room . lounge also couple pCs internet access free wireless access . soft drink tea / coffee available day 
 Feb 14 2007 	 great light sleeper 	 stay exec twin room 11th floor . nice hotel , clean modern room decor . bed comfortable . bathroom average . whilst locate close dlr advantage travel disadvantage sound DLR echo around hotel late early morning . main air conditioning room also quite noisy . restaurant nice though . 
 Feb 10 2007 	 New Fave London Haunt ! 	 say WOW ! pleasure staying selection 4 5 star hotel London past year Hilton Canary Wharf far favourite . book Junior Suite via hotel website must say room amazing . huge comfortable bed sleep age . sample room service twice . evening also breakfast . tasty , well present quick arrive . minor quibble water shower bath ( seperate btw ) get warm would like . leave feedback affect checkout get nice phone call manager return speak . finally location fab . right beside South Quays DLR stop 5 min walk Canary Wharf tube stop . Fab place 
 Feb 1 2007 	 Awesome hotel uncomfortable room 	 hotel one clean , stylist , well position hotel London need dockland . soon walk door greate efficient courteous staff look meet every need . lobby restaurant area immediatly open front , show new class style elgance old hilton lack . the room also exceptionally well lay , spacious , stylish . however stay falled short . room open window , choice air conditioning heating , limited choice . air condition particular drying make room uncomfortable in . the bed also massive disappointment . stay hotel many occassion sole occupant , bed extremely comfortable . however share wife , bed lack independnce spring cushioning , point small movement one , feel . hotel take complaint board , courteous enough refund part stay . say , amount compensation cover sleep floor room air also dry end awake night . I still state one good locate hotel dockland , would consider , sole occupant . 
 Jan 20 2007 	 Best Hilton Experience London 	 look perfect hotel stay , read review online glad . strongly concur good Hilton London area . note , DLR stop immediately adjacent hotel , new Jubilee Line Tube station easy , short walk . ' m diamond member , staff Canary Wharf Hilton among good ' ve see anywhere . actually treat though value honored guest . Wish could state Hilton property alas ... hotel new , even , housekeeping staff quite good -- establishment spotlessly clean . executive room large nicely lay large bathroom -- separate tub shower , excellent . check Friday evening , wife 8 yr . old join Saturday . staff roll - away bed already place , generously sized room , problem find place roll - away . staff excellent executive lounge suggest , ( check - in ) , take include - with - the - book - package dinner Saturday night , family could join . dinner work simply fine . hotel restaurant quite good , service exemplary food choice superb . also appreciate order decent wine list . executive lounge well do , wireless access , great breakfast spectacular view West towards city center . bar downstair bit awkwardly situate space lobby restaurant , afford feeling privacy coziness , seem small quibble . addition hotel restaurant , cafe , restaurant , bar scene in / around Canary Wharf quite lively varied selection cuisine nightlife offering . stay several Hilton property London , make Canary Wharf first choice preference . 
 Jan 10 2007 	 great new Hotel 	 stay hotel one deal get breakfast evening meal first night . Arrived go check tell check executive lounge 14th floor . arrive lounge expect we paperwork ready . book executive room Hilton gold card holder get upgrade junior suite . room large divider separate bed room part lounge . great view towards London . separator wooden bar separate room . huge bed . bathroom large separate shower bath . executive lounge large great food drink evening . staff incredibly friendly helpful always seem remember name . the evening meal include deal go ok . selection 3 item course . great choice . breakfast usual Hilton Buffet never busy weekend great . the hotel modern evening candle everywhere . location bad . great want Canary Wharf otherwise dlr station outside hotel short walk Canary Wharf tude stop . overall great hotel friendly staff new room . 
 Nov 27 2006 	 Great Hotel Location 	 daughter stay 2 night Canary Wharf Hilton . deal include evening meal first night two night 's bed breakfast . hotel staff efficient . evening meal good . full english breakfast ( buffet style ) excellent . find location good . accessible London Underground via shopping centre Canary Wharf 5 minute walk away . also use Docklands Light Railway could use underground 3 day pass . right next hotel . would use hotel . 
 Nov 21 2006 	 Brilliant Hotel . 	 arrive book London Town , happy every aspect hotel . Got deal whereby dinner include first night .... dinner buffet style nice , plenty choice good variety salad , sweet etc . the cooked breakfast well anywhere world ! faultless . quick mention staff professional friendly , fire alarm Saturday night guest light cigarette room , hotel evacuate 5 minute ! run room barefeet chase member staff brandish pair slipper ! obviously well train event , hand silver blanket anyone want cold . get nice hot cuppa get back inside hotel , could not recommend hotel highly enough , would not hesitate use next time visit London . an extra note , although dockland well serve shop bar / restaurant . also railway line stop entrance hotel , think DLR line , stop call South Quay . Central London easily reach either car short train journey , great time trawl around Tower London National Gallery . the hotel room spotless , modern wireless internet , coffee , tea minibar . room service snack lovely too.10/10 everything .... love . 
 Nov 20 2006 	 attentive service 	 first morning reduce sugar jam breakfast , diaibetic eat full sugar option . comment ask everything alright breakfast time , tell staff member would jam next morning . wonder whether request would act . delighted find right jam next morning , prove listen guest stay . 
 Nov 4 2006 	 lovely hotel friendly staff 	 husband recently stay absolutely loved . perfect location - quiet yet short tube ride heart London . staff extremely friendly - would like commend management ! room lovely . eat restaurant one night thoroughtly enjoy salt marsh lamb - lovely menu . breakfast superb . would highly recommend hotel great location staff . 
 Nov 3 2006 	 ultra modern great service 	 stay Hilton Canary Wharf one night October . could not get Four season Marriott Canary Wharf travel agent book hotel . hotel month old , not even know another hotel Canary Wharf . nestle among many modern building Marsh Wall ultra modern hotel . upon check front desk , inform upgrade Junior Suite escort Executive Lounge 14th floor special check . lounge beautiful , great view nice decor . lounge serve breakfast , snacks drink . although check , 9 pm . service excellent lounge attendant downstairs clerk extremely attentive personable . lounge stop serve food , buy indian takeout restaurant directly across hotel bring back lounge eat work computer . two three computer internet connection . although charge hi speed internet room , free lounge . the junior suite locate 9th floor modern partition sit area bed . bathroom large separate shower tub . overall , extremely well appoint , modern . look traditional decor , . one small complaint room one tv . flat panel tv serve sit area bed . room rather large , tv 14 foot away sit bed , maybe could spring another tv bed . four season Marriott always busy , Hilton Canary Wharf great alternative , especially want near Canary Wharf ( short walk foot bridge get Underground station ) . bet people hear Hilton , upgrade difficult come . 
 Nov 1 2006 	 Average Stay 	 stay Hilton Canary Wharf recently must say pretty average stay . expect wow new hotel leave feeling bit deflated . impressed location 's situate little bit far restaurant bar night quiet around hotel area . check good not like loyalty membership form push , especially leisure visit . room quite large lacking warmth . not like furniture would nice sofa room . tv small . we eat restauarant evening find food poor . choice menu imaginative food quality although present nicely taste poor . breakfast next morning quite pleasant Sunday morning 9.30 could kick football around restaurant quiet great able relax read paper . check friendly although ask leave luggage till later keenfor reason . overall , average stay . 
 Oct 30 2006 	 friendly modern hotel 	 ' ve return second short stay Canary Wharf Hilton . hotel clean , modern , nice change tired Hiltons West end . gold card member , upgrade Executive Room staff could not enough . room decorate high standard bathroom facility excellent . although location not ideal , be easy 20 - 30 minute ' underground journey heart London . complaint drain bathroom sink . reason visit , sink drain slowly first stay , became complete block ! would definitely stay hotel . 
 Oct 17 2006 	 good London Hilton 	 great , new Hilton London . modern , well appoint , great executive floor lounge . staff helpful , actually happy seem enjoy ! 
 Oct 15 2006 	 Hilton Canary Wharf Rocks 
 Oct 14 2006 	 Excellent round 
 Sep 6 2006 	 great stay - v. spacious room 
 Sep 6 2006 	 perfect stay 
 Sep 4 2006 	 Dour look outside smart design inside 
 Aug 28 2006 	 Modern 
 Aug 25 2006 	 absolutely first class 
 Aug 2 2006 	 wonderful new hotel 
 Jul 26 2006 	 excellent new Hilton ! 
 Jul 14 2006 	 excellent stay 
 Aug 20 2009 	 Super - Hotel Super - Lage 
 Jan 8 2008 	 estupendo en navidad 
