Super 	 spend three night President Hotel mid - November excellent stay . slightly concerned report sort 50/50 , good good , either lucky ( doubt ! ) , people understand expect money . room clean recently refurbish , thing agree , bed " brick - hard " rustle bit ! ..... like orthopaedic bed … .. get accustomed even ! oh yes key … you would never take , make reasonable shoe - horn ! ! Breakfast ( full English ) efficient buffet selection always plentiful , never encounter queue mention elsewhere . we book Thomsons Superbreak everything go smoothly , even train time ! good value money . 
 good hotel- terrible breakfast ! 	 take boyfriend weekend away surprise birthday hotel . hotel good location explore London- close tube station , open - top bus starting point , local pub , Tesco suppliess , near nice restaurant . comfortable room , altho bed bite crackly protect sheet top mattress , clean . good service staff . get breakfast- start boyfriend 's birthday . do not want much early start breakfast suppose serve 10 am get 9 - 30am table dirty plate clear away , thing bun jam plate put anyway- sure choice early hang around bit not bring anything else . tea pot sugar put . orange juice . decide leave find nice cafe around corner . disapointe start day . so follow day do not even bother go breakfast . maybe day put we ! would maybe stay hotel bed breakfast basis . 
 3 star ? ? ? ? beg differ ! 	 whoever rate fleapit 3 star obviously live hovel ! isthis really well expect standard accomodation 2009 ? many hotel London choose , please accept advice pay alittle avoid stress atempte sleep chaos . true , location convenient , apply many hotel London . food , room , staff etc leave much desire , struggle find anything positive say . find astounding reviewer award place 5 5 , welcome . 
 Excellent Location comfortable need update 	 stay President one night . location good minute course venue 10 minute walk king Cross . room comfortable clean . everything work hairdryer would useful . meal evening ok good value price . restaurant generally clean staff attentive . breakfast fine . 6th floor not suffer noise problem . overall hotel quite dingy seem little natural light . use restaurant convenience not much way ambience . think hotel fine price comfortable bed night night could brighten bit . 
 fine hotel excellent location 	 book travel agent superbreak , idea hotel like . look tripadvisor find review say bad . find hotel clean , helpful staff desk restaurant . expect 5 star accommodation price pay like , room well heat , shower good , flatscreen tv , hairdryer trouser press room overall happy stay . agree reviews breakfast luke warm , feel much make time leave eat . 7.45 morning long opening . would gripe still able enjoy . go pre theatre meal night . good value food although suggest early sit food already set buffet 5.30 . would go back would not want costly hotel hardly due sightseeing theatre . excellent location tubestation take london use piccadilly line ( mind get oyster card get quickly cheap ) .if 1st time london like , book big bus sightseeing tour desk get around see sight , last 48hrs ( hop hop ) time year first stop round corner . 
 Nov 21 2007 	 good enough price pay excellent location 	 's second time stay Hotel , last year ago . it be good hotel cheap , basic need , nice staff . the hotel excellent location , cross street corner corner Russell Square Station , foot 's away Covent Garden Holborn . the room small , place old part hotel year ago go new part nothing different unless television channel door card key . I nothing bad say hotel unless smell dinner time come restaurant lobby , nothing warm anybody not like fact come dinner smell food . it be good get money pay , location excellent . once sorry poor English , hope help : . 
 Nov 12 2007 	 good basic hotel good basic price great location 	 busy basic hotel - nothing fancy . find clean throughout , staff helpful efficicient . the english Breakfast good - staff clear away quickly . yes , smell haddock , - like haddock expect see menu . we visit British Museum location could well . the ' Friend Hand ' pub across road serve excellent food . 
 Nov 7 2007 	 bad hostel 	 one redeem feature hotel location . the reception plenty unhelpful staff , stand glaring nuisance endure . the room 5th floor answer review , quieter . facility 's basic would find hostel back packer . room good basic dirty arrive . make & quot ; coffee & quot ; first night . follow day get clean cup coffee . bed hard . the breakfast joke . 's hear continental breakfast understand . table uncleared . there help reception ask get Heathrow early flight . fob night staff . in corridor find ceiling light fit pull ( repair ? ) ladder way one sight working . ladder still 2 hour later leave room still one there . the 3 star hotel find lucky bag give promise future service . sum : never . 
 Nov 2 2007 	 Demented Dentist 	 ask quiet room away lift , ice machine , kitchen exhaust fan . get single room locate block lift , say hear account : day five sound like demente dentist drilling room . nearby staff tell suffer two year hotel refurbish . on return room face internal courtyard directly dock vehicle reverse loading / unloading.screech brake noise reverse warning system . this fade away evening replace noise fan somewhere . end pretend new a380 air bus fly somewhere glamorous . Woken morning vehicle reverse dock . I first floor , several floor would well . breakfast English quite ok.redeeme feature cost nearly half previously pay London . when refurbishment finish would stay again.johnep 
 Oct 31 2007 	 marginally well shop doorway ! 	 positive note shower effective room fairly quiet central London , hotel convenient major tourist attraction newly open Brunswick opposite Russel Square undergroud station give option dinner . negative note , room basic hardboard use make matress firm . pillow lack fill stain . towel ( yes , one ) nearly thin holey sheet . black mold apparent around bath . breakfast basic good mystery pervade smell fish throughout hotel clear - poach haddock ! complimentary facility room consist plastic bag tea bag , coffee , powder creamer sugar . bathroom find two guest soap clear shampoo / shower gel . would recommend hotel anyone . 
 Oct 24 2007 	 good location ok hotel 	 first good ... 's great location close British Museumand Oxford Street , be right next tube station Brunswick Centre nice restaurant Waitrose . there be pub call & quot ; Friend Hand & quot ; 30 second walk straight hotel fancy drink . the staff quite friendly even speak English . the room size fair enough . the bad ... bad smell greet every time enter lobby . 's hall too . the & quot ; Continental Breakfast & quot ; sound much fancy actually . get toast , jam orange juice . the bathroom ok , since can not adjust tower shower arm , prepared spend minute get water right jump there . overall , be look place crash every night tour London 's tolerable , would not go honeymoon . 
 Oct 21 2007 	 nothing fancy serve purpose well 	 get back ten day England . l first read review hotel l truly frighthene see store . husband l arrive hotel experience minor set back reservation screw ; resolve within minute . staff courteous happy help - average customer service . room small clean . water pressure fantastic . location tube excellent . plenty restaurant find immediate vicinity . hotel restaurant horrific- do not go even special overprice food good ! breakfast consist toast , cereal tea , coffee juice . nothing write home hurry suffice ... good place eat local pub , Day NIght ( hotel ) bad , Pret Manager right across Russell tube great . go lot tour thorugh Evan & amp ; Evans find help get London central . London noisy congest great see countryside . do not go Jack Ripper tour truly & quot ; RIP & quot ; pun intend . overall good experience . would recommend hotel want tour England going stay room lot anyway . 
 Oct 20 2007 	 Hated ! ! ! ! ! ! ! ! ! ! ! ! stay 	 hotel date . common area dirty smelly . room much well , bathroom look like need good scrub . hair dryer toiletry . hotel also give bag travel company collect guest hotel . un helpful discover bag go go back collect porter . 3 day get bag back due travel company call mobile number baggage tag . addition porter cheek charge store bag , give ticket , still manage give bag another guest . it bad hotel ever stay ! ! 
 Oct 17 2007 	 Disgusting 	 check hotel today shock bad . corridor shabby , be got feel prisoner release hotel ! bathroom awful , towel grubby , tea coffee make facility joke . get small plastic freezer bag single tea bag plastic spoon . room dirty , pick remote control desk , small rectangular clean bit dust not settle . finally bad room stank , really bad . check straight away . feel sorry people wait check . 
 Oct 11 2007 	 great location good basic food . 	 stay President since 1998 without problem . basic hotel ideal use Bed & amp ; Breakfast type facility basic amenity . the inclusive breakfast plentiful sustain throughout day unless person love good table three time day . breakfast seat arrangment may pose problem person require table away diner limit number separate table . 
 Oct 10 2007 	 basic good location reasonable rate 	 basic , 3 star hotel . room ( certainly 3rd floor ) recently refurbish . room little small , clean quiet . pay £ 90 per night . excellent location Russell Square - lot ( shop , pub , restaurant ) nice atmosphere . overall ok cheap stay . 
 Oct 9 2007 	 would stay ! 	 boyfriend stay President advice globe trotting mother , disappointed . everyone know , hotel London crapshoot , find one reasonable price get value money difficult well . at 90 gbp double , definitely stay bad hotel money . the room spotlessly clean , decent size , desk staff friendly knowledgeable . no - nonsense , bare bone accomodation , expect pamper , , go spend money elsewhere , want clean , well keep hotel amazingly pleasant staff ( well , except maids , comedy bad movie ... not get way 's cleaning time ) , place go . the good part day porter , name : Glen Andre . whatever pay enough stay 5 star hotel porter accomodate , polite , downright delightful entertain two gentleman . the food typical hotel food , expect Gordon Ramsay , , say , go elsewhere . be edible plentiful 's one ask for . an extremely pleasant stay would definitely stay return U.K . 
 Sep 12 2007 	 good location 	 plus : great location , big newly renovate roomminu : continental breakfast plain ( could upgrade much well english breakfast , ' ask ) spend 3 night hotel . old hotel room newly renovate , new carpet , new washroom ( shower water really big ) , nice clean . staff friendly . the room surprisingly big quiet sometimes , noisy neighbor could heard thin wall . just 2 block form Russell Square tube station , 4 block British Museum . 24 - hr convenient store great selection restaurant nearby . , would give hotel 4 starseating tip tourist , PRET Manger ( one cross street Russell Square Station ) great selection fresh tasty sandwich lunch go . plenty good yet expensive restaurant find near Russell Square convent Garden Market . 
 Aug 28 2007 	 would stay . 	 girlfriend stay President weekend August Bank Holiday four night . although obviously five star hotel , room stay President spotlessly clean , quiet could ask for . the hotel well place Piccadilly Line easy half hour walk Westminster . the breakfast room hotel basic , food good plenty . ' use bar , look nicely do comfortable . would hesitate recommend hotel traveller . 
 Aug 25 2007 	 Staying President 	 return London Paris . much preferred Paris . mention someone , & quot ; good thing London Eurostar train Paris ! & quot ; room President Hotel renovate , corridor . problem , leave hotel morning come back night . our room 3rd well 5th floor adequate rate post . mini bar , shampoo etc . clean . quite noisy night weekend , room face Russel Square , hotel 's fault . the disturbing item food . Continental Breakfast plain , toast mushy bun cereal . dining room remind visit East Berin sixty . also smell terribly food serve previous night ( fish ) .We one late dinner terrible . food taste , veggie ! buffet pick , 17.95 pound ( 36 $ ) per person experience write . suggest try eat kitchen get act together . 
 Aug 22 2007 	 Honest Candid Review 	 Postitive- hotel one block Russell Square train station- end day- thankfulrussell Square Park- Across street- Awesome little cafe - good breaknoise- bad- quiet busy streetbritish Museum- go front door / take leave / within 1/2 milemaid Service- goodnegative - Pillows- roll mine order anything resemble pillow - Pillows- stainedbed- Mr. Spring sit middle back week- take thin matress , stay prison strong portion life , matress suit youBreakfast service- never misplace free continental breakfast coupon- greet breakfast breakfast czar - tackle coupon ... continental breakfast horrible / coffee - egad .... decide go English Breakfast- say & quot ; well , pay .. & quot ; like hell else go ? steal plate ? look , London expensive ... hotel cheap good tough person- wife beat senseless pampered- place you - if young & quot ; rough & quot ; - itsome idea .... Subway Southampton always coupon ... Subway- grab them- save moneyIf need snack forget something- go tube station look across- Tasco ( trust ) - save cash - buy London Pass save dough / get travel - travel tube 6.80 pounds/13.00 americantravel- tube amazing- not worry- get hang ... nearest laundromat 1/2 mile away- go tube station - take right-1st leave Tasco is- walk down- see right 4 block 
 Aug 6 2007 	 good location 	 return trip London Paris . hotel easy access tube Piccadilly line , difficult locate . FYI : sit behind Tube station . room small ok . our first one two twin rollaway . overlook street street noise tolerable . big deal toiletry bath . room corner room maybe space other . on return Paris different foor room overlook power plant view small space . english breakfast passble . probably help several day Paris fresh , crispy , buttery croissant breakfast . 
 Jul 26 2007 	 stay ! 	 mess resaervation never call we ahead time difficult time check . room 7th fl , small dorm room hot . switch 2nd fl , room slightly big , outdated seem dirty , bed matresse , fold cot headbord nail wall . could hear every word person room next we say , privacy . even fire alarm go people work one could agree weather test , one tell we leave building , one tell we go back room . seem know go . 
 Jul 11 2007 	 bad 	 President Hotel not bad place ' ve stay , good either . last minute find , decent . 's location near tube station probably be good feature . room adequate although not toiletry bathroom tiny soap . hairdryer would nice touch . elevator 7th floor ( non - smoking floor ) ancient , work . hotel 's continental breakfast leave something desire . consist coffee , tea cocoa really hard toast sit heat lamp , assorted jam butter . be lucky may bring fruit cereal . 's English Breakfast available upon check - in , price , would save money head shop Russell Square Underground Station . great location staff friendly . flight not leave till well checkout time secure baggage closet store stuff ( 50p ) till time leave airport . 
 Jul 8 2007 	 Pleasant stay 	 pleasant stay , great location , price seem fair compare level hotel price London . couple without child holiday wanting see sight nightlife . President near enough walk area nightlife even many sight , plus subway bus stop near . nearest subway station direct line Heathrow airport . room clean , quiet , good enough size . kettle provide tea / coffee package . english breakfast great . staff friendly . glad find hotel definitely recommend anyone . 
 Jul 4 2007 	 disappointing london hotel 	 stay part package see Sound Music show , great . stay many London hotel find one disappointing . toiletry bathroom one bath towel , hand towel hairdryer , pay £ 10 deposit hire one housekeeping . also one teabag complimentary tea make pack . otherwise clean central position near tube . 
 Jul 2 2007 	 Best Location ever ! 	 husband travel London Jun20 - 28 Vancouver Canada . experience President hotel great ! perfect location - within walk distance museum Oxford St - really like walk , reach Palace major site without catch Tube . choice restaurant cafe huge area . the staff really nice , breakfast good ! room good size 2 we , clean water pressure shower amazing ! ( previous UK shower experience great ! ) . thing watch charge everything include incoming call aswell wake call ! another great thing , hold room key go pick get back hotel ! ! never worry lose key ! overall , great place stay ! 
 Jul 1 2007 	 avoid possible 	 choose inexpensive hotel , one terrible . hotel lack security measure handed room key whoever ask , without ask person present identification . allthough suite renovate bathroom , common area filthy stinky . addition , shady look renovate staff roam hall day evening . comfort , give completely break bed sink ground middle . thankfully , move we slightly well room complain . dont eat breakfast , stale , cheap overall good . cost avoid eat Carvery restaurant attach hotel , Chef carve huge piece fat ( instead roast ) onto fiance plate . 's , Chef serve food incredibly rude . overall , comfort , security food important , stay president ( even good deal ) . 
 Jun 19 2007 	 bad 	 well , be not bad . wife go London New Year stay President . room small . small actually . breakfast good , can not complain . pay extra 8 pound take continental b'fast . week happen twice coudnt take english b'fast anymore . Hotel centrally locate . underground two minute away opposite Tesco supermarket . one thing would say whoever intend go London . go London see nice hotel room .... enjoy London . hotel far bad President . always neccessary check book hotel . 
 Jun 11 2007 	 Crummy 	 definately bad hotel stay . interior wear , loud noise handyman next door ( everyday 8 ) , qoute & quot ; continental breakfast & quot ; unqoute consist coffee , toast jam double room way small picture . 
 Jun 1 2007 	 Location location location 	 return week London , time husband andi stay President . satisfied . President good value dollar . two minute walk Russell Square tube station close British Museum . we due diligence beforehand know well expect luxury budget London . location important we ( want waste valuable time travel long distance ) . outside common area bite shabby , room clean . understand small room standard London , not spoil trip hardly spend time adequate need . bed comfortable pleasant surprise fabulous soaker tub bathroom . nothing well long soak long day tour town . bit noise renovation , not bother we start later morning leave day . also , be cool factoid learn President last day - beatle stay hotel summer 1963 ! ' ve get to love London - ooze history every corner ! ! 
 May 17 2007 	 smelli 	 expensive , bad smell , dirty carpet , nice location 
 Apr 17 2007 	 pleasant surprise give reasonable cost 	 look cheap hotel accessible Heathrow 2 - day layover . book President , expect not - so - great thing , give awful review . say , pleasantly surprised . room get spartan , small , clean tidy . bathroom clean excellent water pressure . else would really need - expect -- 68 pound , downtown london / Russell Square ? btw , ' m write laptop -- free wifi lobby . 
 Mar 23 2007 	 nice hotel Excellent location 	 reading review site little apprehensive visit . however , pleasantly suprise . hotel look somewhat dingy outside however inside fine . arrive check time expect tell room ready however check promptly polite reception staff . room 7th floor decent size clean . breakfast buffet service everything tasty hot . location hotel excellent - 2 minute walk Russell Sq tube station feel could better location . complaint hotel whatsoever would call posh feel excellent value money adequate require ( long spend hotel anyway ! ) would recommend hotel anyone would certainly stay . 
 Feb 27 2007 	 Clean Cozy Convenient Cheap 	 look place hang , not : go Ritz , well , stay home . want hotel crash centrally locate , clean , quiet , safe , inexpensive , place . real bargain . get bed , towel , bar soap , no - frill beakfast , friendly helpful staff . not expect one - star joint will not disappoint . 
 Jan 31 2007 	 warmly recommend ( winter ) 	 primary consideration assessment value money . in January - low season , suppose - able get single room £ 89 two week - end night , incl . full english breakfast . exceptional price Bloomsbury , near rack rate low - end hotel chain ( County Hotel Imperial Hotels , £ 40 per night - see review ) .For get rather spacious room ( London standard ) , full en - suite . bath fill ( really hot water ) empty quickly - shower work . bath washbasin fit plug . tap wc cistern leak . good quality coat hanger provide , wardrobe close properly . unusual London hotel less £ 60 per person per night . admittedly , visitor point , get shampoo fancy body lotion . hair dryer , trouser press ( obvious bias towards businessman week ) .The downside Imperial Hotels chain coffee - make facility whatever hotel . get well selection ( include cocoa , instance ) go expensive hotel bottom - line County Hotel . and & quot ; coffee & quot ; serve breakfast horrid potion whatever grade hotel . I would hesitate go hot season . would impossible sleep window open . room look street , London traffic never stop , day night . other , like mine , look back yard . gigantic ventilation plant noisy engine rumble night . win . I understand criticism visitor concern breakfast room lift : find clean functional , decor bar ( old sporting equipment ) nice foreign tourist come England reinforce preconception . italian Spanish , french Slavic language , commonly hear breakfast room - helpful staff come Far East . truly international hotel , warmly recommend winter stay - especially get bargain rate . 
 Jan 26 2007 	 bad 	 stay hotel one night . book partof & quot ; show & quot ; deal . great location . room clean . standard good . Breakfast ( full english ) good . for budget hotel London hotel give good valuefor money . just remember book getno surprise . 
 Jan 11 2007 	 hate 	 take family vacation October ' 06 stay hotel short time . parent book two travel package first ( 2 people per package ) . boyfriend decide would go along also , mom book second package different hotel . second land Gatwick bad . travel agency mess transfer bf 4 transfer airport ( instead 2 airport 2 back airport ) . lady shuttle desk call whoever , send we shuttle President Hotel ( suppose stay Kensington Park Hotel ) . arrive President Hotel staff take voucher hotel , instead send we proper one . fourth day , go check - out go Paris , front desk lady tell we problem voucher would charge we . parent pay cause not want deal problem vacation . hotel seriously place stay . convenient location ( Russell Square ) bell boy helpful really nice ( compare everyone else ) . continental breakfast poor room serve smell damp like pee ( atleast think ) . upgrade continental breakfast english breakfast ( whatever call ) 4 pound , even not worth it . the room small old . stay get room two single bed room double bed . maybe ' m use western style hotel , arrive back Paris , boyfriend go Kensington Park Hotel ( suppose stay begin ) place amazing compare President Hotel . 
 Jan 10 2007 	 great value convenien location ! stay . 	 family stay Chistmas holiday 2006 . season budget traveller , would wholeheartedly recommend hotel thrify gadabout . hotel staff friendly accommadating . continental breakfast provide room tariff hot full english breakfast available additional fee . room clean include divided bathroom shower one side toilet bidet . european hotel , room small americans accustom not expect friperie like hair dryer scented shampoo . establishment 2 small block Russell Square tube station , connect major attraction museum 4 block British Museum . several restaurant closeby friendly pub way Russell Square tube station . bring face cloth shampoo facility provide great place stay visit world class city . please note : hotel refurbish might want request room floor away construction noise . 
 Jan 10 2007 	 Horrible 	 travel July 2003 . good thing hotel situate opposite tube station . hotel old dirty . front desk look like something bad 1940 's movie . elevator filthy emit disgusting odour . room small , window not open , bathroom fall apart , carpet dirty . maybe room : ) breakfast bad , taste like bad canteen food . staff friendly willing assist overall hotel bad . 
 Jan 1 2007 	 great value ! 	 April 2006 , spend delightful fortnight London 's President Hotel home base . from outset knew not look 5 - star experience . want safe , quiet , clean comfortable place stay would not break budget . room second floor that . the location unbeatable - step away Russell Square , five minute max . British Museum . ten minute walk Covent Garden West End.+ friendly , helpful staff , + spotless room , + location , + price- room bit small- internet access room , access lobby unreliable 
 Dec 20 2006 	 problem 	 stay 10th 12th December . twin room number 437We get great deal room know budget hotel do not really expect much . room clean , bed comfortable bathroom spotlessWe one towel get extra ask . pay refundable £ 10.00 charge borrow hairdryer . toiletry supply bathroom apart soap bring own . there plenty storage room . slept room do not go London sit hotel room day : - ) shop far interestingThe tea tray room consist tea bag , coffee powdered milk . never use . like coffee perhaps bring small jar . full breakfast , everything fine cook breakfast , plenty toast etc juice dreadful squash tea coffee awfulthe tube station ( Russell Square ) 2 minute walk away , tube go way Heathrow Airport . hotel join Imperial Hotel bar serve food late . there 24 hour Tesco shop directly across tube station . we check 11 day leave able leave bag hotel safely store small charge . overall quite happy President use next time London budget 
 Dec 4 2006 	 get pay 	 stay hotel overnight stopover whilst see London show . hotel good location - right Russell Square underground station , within 15 minute walk theatreland . the good point room clean warm bathroom spotless . the bad point outdated decor , pillow case name hotel ( would take ! ) paper thin wall adjoining room - could hear every word ! also , complimentary tea coffee come powdered milk sachet spoon . the breakfast also disappointing . individual table sit , seat long table find seat next whoever . food ok . cook breakfast hot ok , orange juice cheap squash cereal look like tesco 's value range get meaning . the old saying , & quot ; get pay & quot ; spring mind cheap cheerful . 
 Dec 3 2006 	 dirty drab unwelcome canteen food . 	 hotel old dirty . staff describe good present , save smiley face bell boy ! hotel give voucher 3 course meal 1st night stay . canteen food honest well school . price reasonable compare Hotels stay far superior Hotels less price . not wreck weekend Russell Square tube station 2 minute away allow easy escape 20th century fantastic evening Dominion theatre ' we rock ' show . comment English breakfast not continental . reasonable good choice . also include price . side entire Hotel ate sit row . cleanliness questionable , highlighted fact staff turn table cloth rather remove . ( must clean underneath ? ) . sum , want Hotel budget lie head situate convenient location be ok . demand accomodation would advise pay little save disappoint . 
 Nov 27 2006 	 Decent budget hotel great location 	 wife & amp ; stay President 2 night second weekend November . book hotel & amp ; Dirty Dancing show ticket package , could not get ticket . know hotel cheap end market , not overly concerned review TripAdvisor reasonable & amp ; not plan stay long room anyway . a couple day arrive , accident foot leave plaster & amp ; crutch - suddenly lot apprehensive hotel & amp ; trip . need not worried ! firstly , travel Heathrow London hotel ideal . Piccadilly Line run direct Heathrow every 5 minute change require . get tube Russell Square , be dozen step platform lift take street level . front entrance tube station , 24 - hour Tesco Express immediately face , ideal last - minute necessity quick snack . turn left , walk 30 yard , take first small street Left ( Herbrand Street ) see hotel face . 's minute 's walk tube station - 2 minute be crutch ! & lt ; lol & gt ; reception large & amp ; airy , certainly modern . bar & amp ; restuarant Left , lift & amp ; stair immediately face , reception right . check - in take less 2 minute , get bonus - free evening meal 2 first night courtesy package company . not know anything , apparently limit special offer , could use five hotel chain immediate vicinity . voucher say could use first night , explain receptionist already table booking evening immediately offer [ even could ask ] amend voucher could use second night ( go show ) problem . four lift immediately adjacent , porter assist check - in get room 5 minute flat ... take beating . the room pretty small , bed even small . issue tall ... 5'10 & quot ; foot touch bottom bed . room clean bathroom , though one bath towel - hand towel . budget element hotel appear . shower fine , pretty powerful , issue hot water . wardrobe lot hanger , space luggage . view speak window , room face internal courtyard , definitely issue we ... stay hotel sit & amp ; look window ! first evening table reservation Bangladeshi restaurant SOuthampton Row , 10 - minute walk hotel even crutche , fab . LOADS restaurant within 5 - 10 minute walk hotel , simply turn Left & amp ; walk directly Russell Square ( 1 minute ) . Barclays Bank corner ( free cash machine ) , turn Left walk Southampton Row . count least twenty restaurant vary style & amp ; price reach one book online ( 35 % discount Hason Raja book online , superb ) . also pass another Tesco Express well , though sure one open 24hrs . when come restaurant rain heavily , quite tired , head back hotel . drink bar , pretty reasonable Central London ( fiver pint lager & amp ; glass wine ) head bed . noise issue room , not hear another soul even though hotel full ( overhear turn - up arrival tell ) .If sort person complain whitener teapot room ( even though in - room hospitality tray perfectly acceptable morning tea / coffee ) President . Breakfast Saturday morning great , lot fruit & amp ; cereal choose , many different hot item buffet section . breakfast table indivdual , table push together make large table seat 12 - 16 's problem get seat choose so . we travel around London tube ( £ 18 3 - day pass cover six zone include Heathrow ) & amp ; find Russell Square ideally place . Direct link Knightsbridge Harrods , also Oxford Circus & amp ; Leicester Square , 2 stop / no change Covent Garden Saturday night show . travel Westminster London Eye quick & amp ; effortless Camden Town Sunday morning market . the concierge service hotel great , always ask need assistance anything & amp ; ensure okay crutch . hail taxi require , great knowledge go & amp ; see . the Saturday night hotel restaurant carvery , price £ 17.95 , get free we good value . open 5:30pm , time ( reservation require ) , quickly get seat & amp ; serve starter prawn cocktail ... good tall glass lot prawn , additional salad available . food great , would not minded pay £ 17.95 convenience able dine pre - theatre hotel catch tube Covent Garden . we early Sunday morning check - out , fire alarm go around 9 am . quickly exit room & amp ; walk elevator also stairwell emergency exit . panic , everyone move along reasonable pace . gather outside hotel opposite side street . hotel fire warden visible , attempt make advise anyone go . fire brigade scene within couple minute we get outside , back hotel within 20 minute false alarm . almost finish pack anyway , go back room & amp ; return reception check - out . effortless & amp ; fuss - free . speak concierge , take luggage lock luggage room behind lift , fly home Sunday evening , problem leave luggage & amp ; collect later . cost massive 50p per bag - good bargain weekend ! all - in - all , reasonablly price budget hotel . not expect luxury , get decent price , & amp ; not plan spend hour sit room location hotel make ideal be attend show West End planning see sight weekend . 
 Nov 10 2006 	 stay away - noisy building site 	 bad hotel stay . stay double 3rd floor . tell entire 4th floor renovate . workman start 7 am right we – power drill begin 8 am . refuse pay room never return . terrible food restaurant boot ( service pretty good ) . good night sleep customer service integrity , stay clear place . 
 Oct 29 2006 	 good average tourist hotel 	 stay president 2 night say money good . do not expect anything flash , want 4 5 star treatment expect pay . clean room , good shower , decent enough breakfast , excellent location , friendly staff . stay much bad money . 
 Sep 30 2006 	 bad remember 	 originally , plan stay much well hotel , since week 17 - 23 September happen conference week London , could not find well hotel Bloomsbury / Holborn . therefore compromise single room President , heavy heart . stay President several time , know less expect . not realize meantime , hotel take turn bad . the good news tube station literally doorstep . another plus get clean reasonably sized room en suit facility , hot water shower tea coffee make facility . 's basically expect . I offer room seventh floor room 574 . choose latter close elevator corridor fifth floor not creak seventh floor . 574 face internal court 's view room 's suppose quiet . alas , wake 6:00 heavy construction noise nearby building . next morning happen ask receptionist find another room . move 332 . 332 face Guilford street , quite noisy evening , window top another window . guess 's 1960 equivalent double glazing ... room poor condition 574 badly need renovation . not quiet hope either : wake adjacent room 's wakeup call 6:00am . follow morning , another early morning phone call neighbor ' room wake . could actually hear every word utter conversation paper thin wall ( earplug ear , mind ! ) hotel amenity : not . not room safe . hope have safe front desk . luck . instead , hire safe nearby imperial hotel . decide give keep money passport time . offer minibar web site false advertising . not minibar fridge President , find hard way . the full english breakfast take turn bad since previous stay . whereas 2004 would serve slice Cheddar cheese , croissant , brown bread toast important : aromatic filter coffee , go . instead , be serve cheap vend machine coffee horrible taste ( London hotel horrid vend machine coffee ? ) . brown bread toast rarely available cheese croissant disappear without trace . even marmalade poor quality . add unbearable heat breakfast room ( hot week London , 's excuse . could open window least ! ) imagine breakfast not exactly morning delight . other , tea coffee make facility room basic . not get teapot , quite annoying want prepare one cup tea . 's milk either -- whitener . hotel offer complimentary mineral water , brown sugar , milk biscuit . the bed another issue . mattress soft ( like mattress soft ) . instead proper duvet get itch wool blanket wrap white sheet . take awhile get use & quot ; arrangement & quot ; , even though experience previous stay President . overall , President disappointment even budget hotel . guess 's hotel deteriorate get use high standard recent year . event , stay . 67 pound per night , far well bargain London Bonnington . ' ve learn lesson well : next time will book fine hotel first , make travel arrangement . 
 Sep 12 2006 	 Excellent Value Central London 	 stay Saturday 9/09/06 overnight double room ensuite bathroom . the room average size , clean quiet . the breakfast hot cold buffett , good . the staff unobtrusive helpful . the hotel near British Museum West End theatre area . public transport close give access . we pay include breakfast £ 75.00 . heartily recommend 
 Aug 22 2006 	 get pay 	 room fine , problem . food , oh god food terrible . could not eat ! dinner - old shrivel lettuce , yellow potato salad , disgusting , grubby , dirty chef carve meat , even fruit sald go ! ! ! breakfast - chewy , cold , burn toast , could not bear touch anything else , greasy . service ok . good location , near Russell Square station , Tesco Express beside ( will need get breakfast ! ) . 
 Jul 6 2006 	 good location 	 family stay hotel holiday . hotel good location consider near Russel Square Tube Station nearby grocery store , convenience store pub . hotel date old . room clean small although 2 twin bed room child stay large double bed room . bathroom newly renovate although supply shampoo hairdryer . quite hot / warm stay air condition open window night . morning reception people fine , however , not find night shift people friendly . also answer reception call immediately . really not find service great . continental breakfast serve nothing fancy ( Toast , coffee , tea , orange juice , cereal ) . additional 4 pound want american buffet ( sausage bacon ) . need place sleep night , hotel fine . J 
 Jun 25 2006 	 Good Position 	 find hotel good value money friendly helpful staff .The room well appoint amenity clean , good lighting bath shower excellent water lovely hot time . good breakfast plenty it . the location excellent.all enjoyable stay would stay without doubt . 
 Jun 20 2006 	 good value great location 	 stay President Hotel 3 night not plan stay hotel day want place lie head ideal . Vey clean tidy hotel date decor . do not let put , however . staff helpful polite absolutely ideal setting . Russell Sq Tube lane 24hr Tesco Express make good hotel base sightseeing London . would absolutely qualm stay hotel , price pay get , delighted . 
 May 28 2006 	 nice hotel great location 	 President Hotel indeed situate perfect location Russell Square . hotel old fashioned , clean staff extremely friendly . * * * sleeping quarter – room bathroom okay , although bed might feel bit small tall . * * * breakfast hotel – continental breakfast really simple ( variety jam , juice / milk / coffee / water tee / toast / bun … nothing else ) , nevertheless hotel also offer , additional cost , original english breakfast bean , tomato , scramble egg , bread forth . so nutshell , look affordable hotel good location many extra , certainly recommend President Hotel . 
 May 20 2006 	 okay ( ish ) tourist hotel good business 	 stay President 2 day business May . business hotel 's pretty terrible , not feel particularly clean , decor everything smack 1970 , key giant metal pole , 's hairdryer , 's iron room scabby iron board iron dubious wiring . stay room second floor appear smoking floor hotel still original shockingly bad patterned carpet . floor seem modernise however . hotel reception really bad smell overcook roast dinner nightly cavery restaurant . favour however staff polite incredibly helpful find something rarity London . 's great location , Russell Square tube station short walk away , London holiday not want blow budget accommodation not plan spend much time hotel £ 89 night probably can not complain . room good size London standard shower powerful always bonus . I can not comment breakfast - not hang around sample smell reception boil cabbage take away appetite . 
