stick 	 stay 2 night . excellent staff , especially breakfast wine cheese staff . Front desk staff good also . agree irish girl , Dos Caminos , good restaurant around corner . you good location walk everywhere . you go wrong hotel , value breakfast wine cheese make extra dollar spend . 
 Dec 31 2007 	 Pleasant Stay Hotel Giraffe 	 husband stay three night weekend trip toNew York prior Christmas . Front desk staff friendly welcoming . room small side ( unexpected 's New York ) , well lay , decent bathroom ( note : share room seek privacy bathroom - door glass windowpane 's slightly opaque ) . room extremely clean good condition feel warm invite end day . book room queen bed , although honest bed seem little small - like standard double queen . the two complimentary bottle water check room small welcome touch . blind fairly good job keepingthe light room , could sleep little morning . problem noise room . however , onthe 10th floor still fair amount street noise ( , 's New York , probably expect ) . say Iwas glad not stay low floor ear plugs : ) enjoy breakfast serve lobby area every morning . Juice , coffee , tea , cereal , yogurt , bagel , pastry , etc . I never eat big breakfast first thing morning , like eat something perfect help get start morning . tend start clear breakfast away 15 minute prior official end time , not wait last minute ! however , coffee tea available day , another nice touch . overall pleasant stay . location good we . walk destination take subway other , block two street - handy . I ' m give four instead five star ' m compare accommodation / amenity price pay high average rate due time year go . 
 Dec 30 2007 	 gracious hospitality Gramercy 	 husband , adult daughter spend 3 night Hotel Giraffe . arrive Friday leave Christmas Eve day . thing 3 year ago stay Hilton New York , great location , want different area Manhattan explore . consider Millennium Hilton , glad settle Hotel Giraffe . MUCH less frenzied relaxing , add benefit free continental breakfast , afternoon wine cheese , coffee / tea / cookie 24/7 , fast / free wireless internet access . great walk lobby able get hot coffee chocolate walk hour cold , explore Flatiron Gramercy area . lobby comfortable chair couch group conversation area play game . subway stop close proximity , able access low Manhattan , Empire St Bldg Rock Center problem . staff responsive whenever need advice help & quot ; ... & quot ; laptop printer set on - line lobby patron use ... mean easy printout airline boarding pass email check ease , not need lug laptop along . quick elevator usually sit open door wait we ascend . husband deluxe King bed room . nice upholstered chair ottoman , 2 desk area , full closet , 6 drawer , laptop accessible in - room safe , love ceramic bathroom light , magnify mirror shaving make - up application . bathroom door opaque glass upper half door feel classy . daughter small Queen bed room . although sq footage small , french door access small balcony full blind switch bed raise lower ... nice touch . although already restaurant pick , Hotel Giraffe owner also own restaurant offer hotel patron last minute reservation . walk distance Gramercy Tavern , Giorgio 's , great little greek restaurant call Kellari 's Parea Greek Bistro . Manhattan seem be always great little restaurant around corner - able convene lobby glass wine venture great cost benefit make room price beautiful little boutique hotel worth . super clean , efficiently run , secure , relax . 
 Dec 26 2007 	 Great Stay 	 wife stay holiday season happy hotel . 10 visit NYC year never nice hotel . room clean quiet ( 10th floor face 26 St Park Ave . ) . te breakfast buffet morning limited selection item still enjoy breakfast lobby several free NYC newpaper read . staff friendly . us fvor also -- arrive 8AM morning redeye flight San Francisco . reservation evening arrival , plan drop bag return 3 check - in . however , empty room available let we check 8am give we room breakfast . really pleased . hotel choice NYC future . 
 Dec 24 2007 	 Wonderful Hotel ! 	 terrific hotel . arrive check bag . check time ... bag waiting room . small hotel staff , friendly helpful . nice glass wine cheese lobby go night ( complimentary ) . lovely continental buffet . room clean modern little balcony . checked call ask car bring front hotel . 5 minute later wait we front door trunk open . hotel sometimes take almost hour get car valet parking . think one many advantage stay small hotel . oh , price week Christmas ~ $ 300 . feel like find little jewel NY . not need huge hotel want place centrally locate . . btw , go Grammercy Tavern dessert . block hotel . highly reccommend . next time will dinner ! 
 Dec 23 2007 	 great small hotel bit much center thing 	 hotel nice . desk personnel friendly helpful . lobby large crowded perfect place hang long continental breakfast ( especially appreciate ability add shot espresso morning coffee , excellent ) wine / cheese afternoon reception ( wine good , cheese plate average ) . room reasonable sized , attractive , expect amenity , large closet , bathrobe , etc . the negative bullhorn echo day 26th street striker New York Life building ( New York : please develop livability law like city ) relative distance theater shop . would stay , would probably stay sister hotel close center thing . 
 Dec 22 2007 	 Friday night low floor = sleep 	 get home one night stay . good experience summer without kid , decide come back take kid see holiday sight . some time middle night , awoken thump dance music . continue 3:30 . unfortunately kid 6:30 really awful night . second floor , probably close & quot ; dance club & quot ; . recall other mention tripadvisor - warn . front desk clerk completely unapologetic - room ready get , late night noise . apology might cause we return future ( Friday ) , poor attitude mean . 
 Dec 20 2007 	 friendly wonderful 	 Hotel superb - staff helpful accomodating . 6 month old baby , could not enough we . room comfortable large , location great . thoroughly recommend ! 
 Dec 18 2007 	 great place great location 	 fantastic place unless look crowd luxury place personality . Booked suite great tv - room rather large bed room . open balcony door great view Park Avenue . the lobby cool never crowd , great staff not forget complimentary wine & amp ; cheese evening - nice way start evening . location great go uptown downtown . Times Square 15 block away nice walk , short cab ride use subway , be two block away . next time NY 's doubt will stay ! 
 Dec 17 2007 	 great stayvery hospitable 	 stay first week november find visit superb . average size room clean comfortable . staff quite hospitable , especially Jose Melvin . would return . location quite good Manhattan subway block away . 
 Dec 14 2007 	 Modern New Noise Street 	 2006 , pay ~ $ 400 / night . nice bathroom nice bed . smallish room comfortable : yet wear out . locate adjacent busy street - try upper floor face side street . free computer lobby , though oddly laptop set bar table . great location near shopping . 
 Dec 13 2007 	 Great Hotel 	 fantastic Hotel ! room superb , staff friendly location wonderful hotel excellent ! would recommend hotel anyone stay New York . 
 Dec 12 2007 	 Brilliant Time ! 	 really enjoy stay . read review prior stay l little worried noise hotel staff . say l worried needlessly hotel staff perfect . friendly helpful . 5th floor room quiet - even though opposite lift . fantastic time stay room 503 , step onto balcony boyfriend propose ! 
 Dec 11 2007 	 bit stretch 	 return business trip NY stay hotel Giraffe . staff polite accomodate entire week stay . value money ? well ' m sure , travel company use secure rate $ 400 night , apparently special company standard room . booking , would certainly shop around worth $ 400 night ! room decent size , small balcony , room ( think ) . be look hotel open window , one suit ground . if be light sleeper , beware , get quite noisy . staff accomodate relocate high floor . summarise - good value money , service excellent , friendly staff . long cope noise , deep pocket will enjoy ! 
 Dec 4 2007 	 Perfect retreat . 	 return week stay . we read reviewsbefore go , hit miss , really make right choice . there nothing negative say Giraffe . from moment walk lobby feel like private club , calm relaxing . the staff good , friendly , helpful nothing much trouble . the room far well expect , large clean balcony onto Park Ave king size bed well ever sleep , want take home . the buffet breakfast right start day could pop back anytime day coffee cookie unwind while . it birthday must see card lay room , get back late afternoon bottle sparkle wine ice bucket along birthday wish management , nice touch . wine cheese evening perfect setting , make even enjoyable piano player Jessica friendly host could wish . go back . 
 Dec 3 2007 	 great service lovely room 	 stay New York several occasion , ' m pleased say hotel one would definately revisit . staff friendly helpful , room facility excellent , nothing much trouble team . although cheap tourist class hotel , cost we $ 559 dollar night room , great exchange rate make real value money stay , particularly include breakfast , much tea coffee etc could drink available day , excellent free wine cheese evening ! location great , couple block Empire State , Macy 's direction Greenmarket Union Square , subway right opposite take easily downtown . downside noise traffic outside , maybe 3rd floor , ask room little high may help ! 
 Dec 2 2007 	 pricey class act 	 book suite - beautiful room , good sized , amenity lack . find housekeeping door staff eager help , front desk pleasant professional . lobby / common area nice , free wine / cheese afternoon , a.m. pastry , well , free - nicety , NYC would walk real cafe . Park Ave location great . I would gladly stay . 
 Nov 27 2007 	 stay - 's great hotel ! 	 stay double double room ( two double bed ) big New York standard huge european standard . room clean tidy decore modern trend . find something negative say would paint work cele peel away part - not look paintwork . bed extremely comfortable lovely linen . room 705 7th floor like hotel stay New York hear garbage man collect bin 5 am bring earplug . note private balcony advertise little inch concrete not expect lounge deck chair . however , roof terrace look great ( cold we ) would fabulous summer . it be rare find hotel New York include breakfast price . really enjoy breakfast Giraffe . fresh mini - muffin & amp ; pastry , full size bagel , cereal fresh fruit salad , juice , tea coffee . look fry head diner road . complimentary wine , champagne ( prosecco ) cookie quite expect quality point view give high standard hotel . Giraffe would well upgrade line rest service ; well quality wine home make ( rather tin ) cookie scrap together . the staff efficient courteous . wait lift . note bar / restuarant ( Barna ) next door seem popular late teen / early twenty crowd well early hour would make sure request room far away possible ( 705 fine ) .Overall great stay worth money . 
 Nov 22 2007 	 Baby friendly 	 stay Giraffe spring , six month old baby , four night . suite expensive ( around $ 500 ) want two room baby - free evening seem good option city . glad book - potential stressful trip , Giraffe make hotel life baby smoother hotel , however lovely may way . suite small little dark , comfortable , great bed , good cd player well cable tv , could enjoy evening ( like room service price restaurant , reasonable one - off service charge rather percentage ) . atmosphere bar downstairs intimate , warm calm - lovely barman evening , pianist every night - offer home away home really need New York , find hotel . area great , nothing special outside door , easy walk Union Square surround shop . staff great , normal friendly , supercool doorman find elsewhere . I would stay Paramount , Royalton , W 's Lexington Times Square , Gershwin , pre - baby , overall satisfy experience . 
 Nov 21 2007 	 Good great 	 return 2 night Hotel Giraffe . beautiful hotel , nice location . nice room , average - to - small size . pleasant inpersonal staff . minus : 1 . water pressure : every time either we take shower , water completely cut minute middle shower . fun . 2 . & quot ; Gourmet European Breakfast & quot ; poor quality . really bad , old fruit salad . nice pastry . Disappointing.3 . housekeeping : come back room 4:30 since 9 room not clean . overall , pretty hotel , expensive price ( $ 800 two night ) expect little well . 
 Nov 19 2007 	 ronseal exactly say tin ! 	 staff freindly helpful , hotel immaculate , room die ! complimentary wine , champagne breakfast also fairly good location ! hard push beat hotel ! 
 Nov 17 2007 	 incredible experience ... will love ! ! 	 husband return wonderful get away NYC . travel San Diego need arange care gaggle six child leave home . much plan many thing , include hotel , make worth effort . the common area room simple classy , yet warm inviting . beautiful bathroom , cozy robe , comfortable bed , great linen excellent start . many extra add much .... turn service fresh towel , expesso/ coffee machine day night , always little something go ( nice continental breakfast , cookie , cracker cheese .... depend time day . ) neat complimentary glass good wine evening too . what really make place special however service people work . staff international group , love . incredibly attentive , overbearing . always quiet charm . often ask help get cab ( art ! ) always accommodate not seem least bit put . feel like royalty ! young gentleman recommend Celani 's .... great recommendation . fond , think ask along ! also graciously accommodate early check room ready , little later checkout well . must admit arrive bit worried possible attitude staff , rare previous review suggest could cold inattentive ( read review ! ) . four day stay , never happen . think friendly earth want feel snub ... also want overwhelmed . staff perfect . bottom line : incredibly special place elegant , warm , bit pretentious . HIGHLY recommend . ( already work figure way return ! ) 
 Nov 16 2007 	 elegant little hotel good location 	 stay Hotel Giraffe 5 night begin November . 8th floor room roomy , elegantly decorate quiet consider centre city really 24/7 ! good place escape back day pack sightseeing , eat shopping . find staff polite bottle wine leave room birthday nice touch . like lay back approach breakfast reception area . other must share view building look quite ' New York ' Sex City film right outside ! good value money probably lay back ' ny ' big name hotel , could city anywhere world . ( Ref comment lift , yes wait lift holiday sometimes good force slow ! ! not change fact great hotel 's price bracket ) 
 Nov 14 2007 	 great hotel ! 	 return first visit America - New York fantastic city visit stay make even well great hotel . accommodation feature website staff efficient friendly . breakfast great set day sightseeing complementary glass wine round day nicely . would hesitation recommend hotel 
 Nov 13 2007 	 elegant accommodation little price ! 	 delightful oasis middle Manhattan . use live NY love come back old neighborhood visit . stay hotel make feel like part NY . room clean , staff gracious , little nicety like flower table breakfast well lite lobby make civility . 
 Nov 7 2007 	 job 	 stay long weekend recently . hotel , well . basic work order - free WiFi , breakfast include , friendly staff , well appoint room etc . location right , within walk distance thing . reason not get five star us occasional long wait lift helpful concierge restaurant recommendation ( though find later room ) . would certainly stay . 
 Nov 4 2007 	 Chill Bachelorette- totally worth ! 	 seven girl travel part country NYC bachelorette . double room suite next . terrible time get key synche , otherwise , hotel fabulous ! staff : arrive 10 am hold bag graciously check - in . walk farmer 's market Union Square find beautiful flower bride - to - be ... ask vase put flower Giraffe staff right . doorman good smile ever ! agree , & quot ; cool aloofness & quot ; staff lobby , New York . maid sweet could , bellhop . call extra towel ice , arrive within minute . professional respectful indeed . room : clean , spacious , ample outlet several hairdryer operate simultaneously . not find dustbunnie otherwise neglect spot look outlet . : ) good iron strong steam . slipper come handy . bed super comfy spacious . not hear anything 5th floor- perhaps loud one . unbeatable perk : breakfast great- definitely allow we save money food . 's always bowl granny smith apples- grab one glass ice water anytime . complimentary wine , cheese & amp ; cracker afternoon huge bonus too- pepperjack , smoke gouda , red white , champagne , tipsexpecte either ! roof top deck- great , low key . serve tapas drink , choose take wine cheese lobby , one hassle we purchase anything . Parking- park parking lot two block east pretty cheap . I make reservation garage pretty good website ( find close garage location compare price time need park , printable reservation receipt recognize lot ) . not find walk bad , even overpacked suitcase , two cab ask want ride way . 's reason wait long time someone fetch car , pay less leave like . spy one hour street parking right front , be lucky ... highly recommend try talk boyfriend take Christmastime . Book ! 
 Oct 30 2007 	 worth money 	 Hotel Giraffe perfect special NYC weekend . check - in quick easy . request suite , slightly expensive regular room . definitely worth money ; adequate sized bedroom , great bathroom , large expect living room . also request room high hotel avoid noise disco downstairs . 11th floor not hear anything ; hotel pleasantly quiet , although overheard woman checkout apparently low floor complain noise bother . hotel lot unexpected extra , complimentary bottled water room , complimentary wine cheese time evening complimentary breakfast morning , coffee , cappuccino , cereal , yogurt , danish , bagel , fruit . get pass local fitness center , not time take advantage . hotel locate great area -- short walk Grammercy Park many great restaurant . would definitely recommend Hotel Giraffe romantic weekend business travel . 
 Oct 30 2007 	 great position otherwise average expensive 	 arrive Newark late night straight Giraffe recover jet lag . first impression good , desk staff efficient , decor modern clean . not get help bag , not mind offer help would appreciated . sheet etc bed high quality bed comfortable . room , think , rather small tell friend large hotel New York . Room Service quick , although meal not exceptional . the hotel ideally position get anywhere , right middle everywhere whilst time offer little bit sanity crowd . 
 Oct 19 2007 	 fantastic 	 book Hotel Giraffe back positive review read website disappoint . hotel really well situate decor classy . family room ( 2 double bed ) us 2 kid spotless . clean tidied day ( also , bed turn night chocolate put pillow ) staff absolutely , without fail , fantastic ; helpful friendly . special mention must go Jose , help we enormously . breakfast ample complementary wine , cheese piano evening welcome . thoroughly recommend hotel . 
 Oct 6 2007 	 poor service dirty carpet 	 stay Giraffe year ago . love . great service lovely hotel . time staff indifferent . end third floor room . noisy . move attitude . carpet room wear dirty . book room stress anniversary . unimportant staff . move go w one day . return . 
 Oct 2 2007 	 much like techno ? ! ? ! ? ! ? 	 say pain write review mixed review . sister book hotel base rave review see be excite little pamper NYC . ( maybe mention first weekend away without kid hub 4 year ! ! bit excited . ) hotel amazing . room huge well equip every detail address . bathroom gorgeous . room perfect relaxing , want . addition , hotel great lobby offer breakfast snack . impressed . positive thing say , hate break news , hotel little secret . first night ( Fri ) arrive home dinner watch movie crash . soon walk room , ... ever pulse beat techno ! ! ! loud quite unbearable . try get enjoy , neither we could get comfortable . point call stair ( @ 1:30 ) complain . front desk clerk come room listen ... fact ... sort techno , could not figure come ? ? ? ? ... well rehearse act . bit bullet lay . sleep 4 ... next day go & quot ; check & quot ; restaurant / bar see source problem . young lady give we scoop food , etc excited voice tell we 10 pm 4 become & quot ; high energy lounge & quot ; ... BINGO ! smiled head right front desk . ask front desk clerk people stay room complain noise smile say & quot ; & quot ; . well , asked move another room , perhaps could sleep . tell complain late day suite available , move we would charge upgrade . great customer service especially hotel obviously issue complaint before . well , make mistake throw fit lobby stick room & quot ; high energy lounge & quot ; 4 another night . upon check , ask speak manager give whole run , apparently manager long make decision hotel would need speak general manager , 's weekday . , get number . I appal hotel caliber would poor customer service , especially issue obviously arise many time . 's disappointing we not get often real bummer ! not check sister see issue resolve way reimburse lack sleep , regardless , $ 400.00 night establishment , whole thing ridiculous ! 
 Sep 25 2007 	 charming hotel 	 first stay hotel iwill definitely return . travel New York week every September say experience one good . staff friendly third day acknowledge name . boyfriend room adorable petite balcony overlook Park Avenue . room well appoint clean . rooftop area far favorite aspect hotel hope return next year yealry visit NYC . 
 Sep 18 2007 	 great concierge 	 great little hotel good location . smallish room well equip nice balcony ! ! breakfast nice . new york fashion week , one main fashion show hold old hall opposite hotel room could watch action celebs ! concierge brilliant , want go gramercy tavern unable book , one email concierge book make last night honeymoon fantastic ! ! ! definitely visit ! 
 Sep 16 2007 	 nice boutique hotel 	 husband stay Hotel Giraffe day Labor Day . request early check accomodate short wait . amenity lovely ; room clean average size ( NYC ) high thread count linen , blackout drapery upscale bath product . face 26th street quiet . Breakfast day include consist fruit , juice , hard boil egg , muffin / bagel , yogurt , cereal , coffee : espresso / latte machine ( available day well fruit , cookie water ) . NYC hotel offer breakfast include basic room price . hotel centrally locate , bit beat path Murray Hill , though nice resturant subway station within 2 block . nice roof top lounge . go JFK breeze use subway , inexpensive . my criticism 20 - something staff bit indifferent . polite , cool . question concierge local cinema send 10 block away dodgy square , multiplex locate within five . good know way around read guide book prior leave home . , would stay Hotel Giraffe offer location . 
 Sep 14 2007 	 lovely Hotel~ Great Location 	 thoroughly enjoy stay . room spacious clean lovely view street . love IHome bedside clock ! enjoy complimentary wine cheese Grande Lobby walk wonderful restaurant nearby ( Eleven Madison ) dinner take short cab ride Village Vanguard live jazz . continental breakfast next morning good . cappuccino machine work initially however quickly rectify . would definitely stay hotel . 
 Sep 2 2007 	 Lovely Hotel Staff could well ! 	 first stay New York much research choose Hotel Giraffe . we disappoint choice hotel . conveniently locate Park Avenue cab ride Times Square Central Park never $ 10 . stay 1 bedroom suite 7th floor 5 night . website picture 100 % accurate room beautiful , clean , comfortable indeed . leave choccie turn service evening radio leave quietly play . bed massive - 5 foot 10 fiancee 6 foot 1 load room ! Plenty New York guide leave room , handy planning next trip . our room small juliet balcony love . could watch world pass ..... could not really fault suite , , would frost glass bathroom door could still see ! plus bath shallow - really deep enough good soak - shower superb , problem we ! breakfast great ! great choice pastry , bread , bagel , jam , peanut butter , hardboile egg ( choice ! ) , fruit , cereal , yoghurt , fruit juice , coffee . try get 9 bread run quickly . ask one female member staff - initially could understand say ( ? ) understand question , simply reply & quot ; & quot ; walk ! apology offer anything else instead . bit shocked say least . we find generally staff never seem go extra mile help make feel welcome . ask italian Restaurant recommendation tell one local one staff member go back do . we never ask enjoe stay . never ask first trip . never give customer feedback questionnaire leave . feel could anyone anything long pay , want ! however , let put hotel - would certainly return wish staff bit customer friendly helpful . job , nothing more . we pack quite lot sightseeing trip recommendation thing do:1 ) go Top Rock - Rockerfeller Center - fabulous view New york2 ) wander round Central Park - also ride horse carriage ! 3 ) whilst Central Park , plenty artist wicke caricature - great momento take home ! 4 ) bus tour . Uptown Tour , Downtown Tour , Brooklyn Tour Night Tour ( personal favourite ) .5 ) see show Broadway . see Mumma Mia - highly recommend ! 6 ) 3 hour Circle Line Cruise round New York . amazing site must do . of course always shop .... ! ! make sure big memory card camera ! take nearly 300 hundred photo 6 day - okay bit obsessive know ! post 10 Tripadvisor , many great shot Manhattan skyline day night , Empire State Building , Times Square , Statue Liberty , World Trade Center Site etc . basically , photo - want see photo question , please get touch . 
 Aug 30 2007 	 nice boutique hotel 	 daughter stay Giraffe 4 night . room nice , lareg enough . bathroom also nice , clean . night turndown service , nice . stay 9th floor face Park , quiet . complaint qas 2 elevator bit slow , overall nice , well locate hotel . around corner Park excellent mexican restaurant wiht good guacamole ever ! ! 
 Aug 29 2007 	 lovely hotel huge city 	 return stay hotel enjoyable stay . roof top terrace beautiful lovely drink evening . room excellent , comfortable lot space . staff extremely helpful . ideal location New York City . would stay next time visit . 
 Aug 21 2007 	 love hotel giraffe 	 husband return 5 night stay Hotel Giraffe . great find ! breakfast morning expect ... bagel , muffin , danish , yogurt , cereal , fr fruit , boil egg , juice , course coffee . room good size clean . Doormen helpful accomodate . location close subway also within walking distance many place interest . Complinentary proseco , wine cheese early evening nice touch also . complaint fight around 4 am outside hotel Saturday night noisy irritating ... , fault hotel . would definately stay Hotel Giraffe . 
 Aug 21 2007 	 third time Giraffe 	 stay early August 4 night . third time Giraffe . still love hotel find time level service slightly previous time . seem we cost cutting take place . concern low standard lobby area complimentary drink /breakfast etc ....... could never seem get really hot cup coffee ! plus room clean one day 4 pm next day run clean towel . also one lift action entire stay bit surprising . so maybe next time first choice would probably look hotel well Giraffe compare price . love Hotels location though . 
 Aug 15 2007 	 Chic Relaxing NYC Hotel ! 	 get back NYC . ' ve New York 3 time stay variety hotel city . first time go stay Sofitel . great hotel , nothing superb . second time go stay Ritz Carlton Central Park . impressed . expensive , expect well hotel . time go stay half time Hotel Iroquois half Hotel Giraffe . love hotel ! staff nice helpful . horrible experience Hotel Iroquois hotel seem like heaven . lobby great place come relax , drink , chat . lot seat / table environment nice . room gorgeous / roomy . definitely get suit overlook Park Avenue . color / decor beautiful . location also wonderful ! personally prefer low part Manhattan oppose uptown . building lower seem like home . location perfect wonderful restaurant nearby Greenwich . course , SoHo shopping not far away . overall love hotel . 
 Aug 10 2007 	 ' ve got kid ... 	 second stay Giraffe via corporate account . hotel generally fine . negative 's bit noisy . however , ' m write review hotel lobby wait car bring garage . ' ve instruct staff wait upwards 1.5 hour ! ! ! ! yes , time wait car measure hour . the compensation absurd delay ( translate 2 - 3 since will depart rush hour ) , offer house espresso . now 's service ! rest company stay elsewhere . 
 Aug 7 2007 	 Great Botique hotel 	 return two week trip NYC Boston DC stay Hotel Giraffe 2 night begin trip ( standard Queen w / balcony ) 3 night end trip ( jr . suite balcony ) . location convenient . service excellent , wonderful buffet breakfast , afternoon wine & amp ; cheese . everybody attentive extremely helpful . room spacious NYC rate standard room reasonable . last minute , add one night , Thurs . , stay . thing available jr . suite $ 450 ( weekday rate ) . since not want move one night , rate go $ 379 wkend , take 3 night . separate room w / couch , tv , table & amp ; chair . however , jr . suite rather dark front room face brick wall office ( keep shade day Thurs & amp ; Fri . ) bedroom face office Staples ( keep shade close also ) . would stay would ask direction room face . 
 Aug 5 2007 	 great location 	 Giraffe great neighborhood . young folk seem flock Barna Dos Caminos next door . staff slightly aloof , relatively pleasant Manhattan way . short walk 24 hour deli , decent & quot ; Pax & quot ; breakfast place & amp ; Chelsea / Union Square happening . definitely worth repeat stay ! 
 Jul 30 2007 	 good hotel neighborhood ! 	 absolutely good hotel area NYC . think ' ve stay every hotel Soho 34th st . Hotel Giraffe far good . staff friendly helpful , room well appoint clean , , good deal NYC . 
 Jul 30 2007 	 Beauty Class Hotel Giraffe 	 future trip NYC , always stay stylish , beautiful classy hotel . compare Manhatatn hotel , cramp , tired room , ridiculous price stuffy staff , Hotel Giraffe soar mundane offer special experience . room decorate soothe sophisticated color every conveniece fingertip -- umbrella rainy day sound light - block window shade control switch next bed . beautifully design hotel impeccable interior , spacious room , lovely bathroom professional courteous staff . well do ! ! 
 Jul 24 2007 	 another wonderful stay Giraffe 	 stay 3 night suite Giraffe last week . room absolutely wonderful . clean beautifully furnish . quiet peaceful . 3rd stay hotel . usual enjoy breakfast afternoon wine cheese . wait go back hotel . always say try another hotel mess great thing ! 
 Jul 23 2007 	 comfortable pleasurable stay 	 stay one night much enjoy comfortable , pleasurable , tastefully appoint room . regret time fully take advantage wine cheese hour -- grab cracker cheese passing . breakfast buffet also quite nice . would definitely come highly recommend . 
 Jul 17 2007 	 like home away home ! ! ! 	 daughter attend NYU decide would nice take play last weekend stay Boutique Hotel treat . want escape crowd craziness NYC could find well choice Hotel Giraffe ! room spacious even nice balcony sit enjoy outdoors . great closet space hotel even GIFTED daughter free pair slipper nice touch . love watch flat screen tv til late hour may station choice . bed like home . first time remember sleep Hotel bed cause ache pain follow morning ! Great Bathroom ! lot place eat nearby although would recommend HALLES French restaurant street . POOR service ! ! ! Hotel Giraffe GEM sure return ! NYC often look forward stay ! 
 Jul 17 2007 	 charming place great location ! 	 spend 2 night Hotel Giraffe cruise June love hotel . room decent size NYC standard bathroom amenity first rate . continental breakfast buffet good , . staff accommodate . though room ready arrive , bell man store luggage deliver soon get key . take short walk Madison Square Park lunch . 's great neighborhood . my criticism hotel considerable amount street noise garbage truck come around 11 pm - midnight . 4th floor 's possible noise might less intrusive high floor . mention front desk first night sympathetic offer re - locate we high floor . decline one night . noise still present second night bad . would definitely stay hotel . love location love room / bathroom . 's easy walk Chelsea , Union Square , Soho , Grand Central Station . 's great alternative hotel Midtown / Times Square . 
 Jul 17 2007 	 nice hotel . 	 stay 1 bedroom suite Saturday night 7/7/7 . hotel staff call advance find arrival time ( late morning ) , room ready arrive . everyone nice , room clean & amp ; functional , well appoint . the stay excellent & amp ; would return . 
 Jul 15 2007 	 great stay giraffe 	 boyfriend stay three night begin NY stay . previously email hotel advise celebrate anniversary possible could room high floor . arrival , even though arrive three hour check time , able go room 11th floor . bay windows room fantastic room large nice big closet big bathroom . dvd cd player room great . arrive back room first night , pleasantly suprise find bottle champagne room note say congrat special occasion . great touch . champagne wine cheese evening great tea coffee , fruit pastry available day . pianist friday night fantastic create great atmosphere . subway stop right opposite hotel entrance close 7 evening walk two block entrance time , take minute two handy . union square 5 minute walk away great restaurant bar nearby . breakfast great bagel , cream cheese , fruit , youghurt , pastry cereal . also computer lobby connected printer need print anything . staff helpful without smother . check quick cab straight away we go onto next hotel . would definitely stay . 
 Jul 13 2007 	 relax great location - nice hotel 	 really like hotel . travel NY past nine year work stay sevral part city different hotel . stay hotel past year four separate trip . trip last 7 day king room balcony overlook park avenue.- heres stuff like -- really like location , staff small thoughtful perk . like mebership real fitness club close well equip . like black shade floor cele window . like balcony . like espresso , breakfast wine cheese hour . like overall feel hotel . here stuff feel could use improvement- soap room do not care brand quality . room feel little tired price . originally put room 10th floor regular window overlook 26th basically stare another building think room seven night do not excite I - so ask tobe move accomodate -- -- whew ! ! anyway rating would rbaly little different . overall like hotel stay . 
 Jul 12 2007 	 great base 	 stay 4 night mainly location . nice personal touch give boutiquey feel although lobby real central area feel like business hotel . staff helpful . Room stylishly furnish immaculately clean . caveat stay suite top floor next roof bar , find really noisy . good want join though ! 
 Jul 11 2007 	 quiet oasis middle New York 	 husband stay 7 night end June 07 great trip . second visit New York visit lot tourist sight previously look relax stay relax hotel . Hotel Giraffe not disappoint . our room clean nicely decorate . ipod docking station nice touch , turn service would expect hotel class . breakfast morning sufficient want cereal , bagel , fruit yoghurt . not get late want pick pastry though ! enjoy tea coffee always available throughout day , course cheese wine . shame evening not much atmosphere lobby . although pianist try . the rooftop bar nice way start evening . bar downstairs nice way end well ! staff pleasant discreet . available need assistance over - friendly suit we Brits ! reason not give 5 star fact room not ready arrive . ok , hour early normal check - in report back desk correct time ask wait another hour . want shower change clothe travel not great . also , wall room rather thin . although may noisy neighbour first night hotel 's fault ! , would recommend Giraffe . great subway connection , nice staff central touristy location . 
 Jul 8 2007 	 love giraffe 	 stay 27th anniversary one night definitely short - charming cozy lobby beautiful exotic fresh flower - wine cheese piano bar add warm touch evening - back - interested july 4th yacht cruise ' 08 . 
 Jul 7 2007 	 great boutique hotel 	 stay Hotel Giraffe May 5 night . first time New York 14 year old daughter husband business . bedroom spacious stylish . large taupe coloured headboard , white bed pink blind . ask one staff front desk could recommend restaurant nearby first night within walk distance hotel . suggest Trulli , delightful italian restaurant courtyard fountain ... great food atmosphere . warm whilst New York , lovely eat outside evening . would stay hotel . 
 Jun 28 2007 	 Perfect accomodation proposal NYC 	 book corner suite Giraffe surprise girlfriend visit NYC Easter . completely exhilarate walk 6th floor room ( ) . be spacious , beautifully furnish comfortable . pre - ordered sparkling wine make arrival memorable . due number different reason ( include nerve ) not propose , make perfect backdrop vacation will remember rest life . I concur everybody else say location , service , breakfast cocktail hour . next time ' m NYC , either business pleasure , stay place . 
 Jun 27 2007 	 please Giraffe 	 come home 4 night Giraffe . room much large chain hotel stay like rest hotel , spotless . find breakfast enjoyable experiance . simple frankly eat much New York fruit salad bagle fine . also enjoy free ( pretty good ) wine every evening , except Sunday ! ! Giraffe good area though little far point . could always get taxi easily . would definately stay . 
 Jun 27 2007 	 wonderful boutique hotel 	 return four night stay 16 year old daughter . booked read previous write - up disappoint . lovely hotel absolutely wonderful staff nothing much trouble front desk staff lady clean room everyone polite make we feel welcome . room lovely , share deluxe twin balcony . large room load mirror ( sixteen year old need ) . bathroom well stock plenty excellent product . complimentary breakfast good would say would great could provide cook breakfast buffet , way stop we stay definitely recommend friend . hotel good area within walk distance shop metro doorstep . definitely good place stay would 3.5 * provide buffet breakfast . 
