City 	 City Inn chain fairly new modern group Westminster City Inn London 's big new build hotel 30 year . I London delight find Westminster branch CIty Inn Westminster locate 5 minute walk Houses Parliament + Big Ben also within walking distance London Eye , Westminster Abbey many place eat . near tube station Pimlico 5 minute walk away . also Wesminster also nice area feel safe walk back night . the staff hotel super - nice well really efficient - make big difference . I find room easily big enough large bed really warm thank thick duvet - seem rare many hotel . big pillow also nice addition . as well also MAJOR plus point standard City Inn feature - iMac computer system every room ! ! - mean fully fledge internet system free use . brilliant handy check local attraction , check transport time , restaurant , map etc etc well ( want ) keep email , ebay , facebook etc away home - free room ! course also hook ipod system well . City Inn Westminster Pizza Express restaurant right next door use weather bad - take away want bring back room eat watch dvd like : ) pros : * great location - 5 minute walk near tube station + Houses Parliament ( tube access give London within easy reach ) * comfortable warm room * room computer imac system - great look information email etc ! * nice polite staff * not want venture far eat hotel restaurant Pizza Express restaurant next door . * Quiet - could not hear traffic outside all . con * choice continental full breakfast - go include continental though full breakfast look nice - quite pricey ( continental fine ) . * honestly think anything not like ! not sure stay London originally pay really cheap rate regret . stay City Inn hotel decide give London venue try really glad . comfortable convieniant stay friendly staff - certainly place top list next time visit . 
 ACCEPTABLE DEAL 	 hotel acceptable decent value get deal range 130 - 150 gbp per night ( per room ) . nothing more . pros : quiet , well equip ( internet , imac room , etc.but also dryer , iron board ) , general service acceptable ( expect anything stellar ) . guest service good . room clean ok , spotless ( trace hair bathroom ) . shower modern functional . con : bathroom small . mattress way way way soft ( bend one edge risk fall ground ) , 20 min queue sit breakfast table ( never see ) . 
 comfortable clean great value ! 	 stay City Inn Westminster one night long layover London . first trip city , not anything compare think City Inn great . check - in process quick , room ( 5th floor ) great . seem private party hotel restaurant , guest stay floor , bit worried would noisy . actually nice quiet , bed clean comfortable . my favorite thing hotel in - room iMac . use tv computer , able charge iPod . overall great stay , definitely recommend . Underground Circle Line not operate stay London , ' m really sure convenient hotel transportation . 10 minute walk Big Ben even short nearby cafe ( Pret Manger Starbucks- although not open 9 am Saturdays ! ) .I also highly recommend Heathrow Express Paddington Station . convenient , 15 minute cab ride Paddington City Inn . 
 Modern Chic ! 	 second trip London ( first Mother travel ) , must say pleasantly surprised . first trip London stay one Novotel chain hotel impress , not sure expect hotel , absolutely PERFECT need . start : check - efficient . day almost always 5 people front desk , make check in / out , use concierge , ask question , etc efficient . even night usually 3 people work . absolutely love . customer service top notch well . every time walk door receive smile someone front desk , usually someone ask day . Decor - 's state - modern . absolutely love . lobby fun relaxing . room stunning . bathroom bite small bath , fine need . be 2 girl get dolled everyday , plenty space . also believe mom call & quot ; shaving mirror & quot ; PERFECT put eye makeup . love . room also computer free internet access ! amazing , able keep contact daughter home . great way make away much easy handle ! downside would window face towards courtyard , could see lot people 's room , know could probably see mine unless make sure curtain COMPLETELY close . not really bother not room much anyways . 's LONDON goodness sake ! ; ] location - location hotel EXCELLENT . 's walk distance London Eye , Parliament , Westminster Abbey , many restaurant . be also little convenience type store 2 block awesome late night snack = ] be 5 min walk tube station , be nice neighborhood . never feel unsafe walk back night . restaurant - eat restaurant breakfast . review correct almost always queue get . wait 15 min get seat . manager however go line let check bag , coat , accessory , etc ... not want hold ate . pretty awesome , since luggage we . food average . opt breakfast buffet rather full english breakfast . get kind late bit pick , probably would well luck pay full english breakfast look delicious . this hotel bite expensive place stay London , afford , DEFINITELY pay extra go . stay basic room offer blow away , ' m sure . take advice , stay CITY INN WESTMINSTER ! ! ! 
 Nov 4 2008 	 great room 	 great hotel . room huge compare other stay London . bed comfortable . room , Imac double tv -- think pretty innovative . problem learn use ( pc guy ) .The breakfast good bar , ahem , chic . drawback distance near tube station . smack dab middle Pimlico Westminster . 
 Oct 30 2008 	 Loved City Inn 	 friend stay couple night September . delightful reception staff check we quickly . room good size , bathroom small shower bath . breakfast fantastic . good selection fresh fruit , cereal , bread , croissant , much mention , follow freshly cook breakfast , opinion , beat usual buffet breakfast serve hotel . find staff dining room friendly efficient . would hesitate return hotel would recommend anyone . 
 Oct 29 2008 	 would come back City Inn 	 get good deal include full breakfast . staff helpful despite minor mix twin / double room booking , pleased . ( fact icould not actually see difference room . ) hotel little beat track , still close Parliament Square Westminster Tube station , grasp local geography , easy find . the room clean well appoint build general well maintain . purpose build hotel perhaps air functionality place way criticism . I would certainly qualm return . 
 Oct 28 2008 	 go downhill last 2 year 	 first stay City Inn two year ago great time not look hotel next time come back London . although front house staff amazingly helpful , standard hotel start slide . check 4 pm take ten minute find we room , even though book month early . autumn package offer we free champagne arrival . actually valid 6 pm 8 pm evening - use theatre ticket book need leave hotel well advance time . on Sunday morning wait 15 minute breakfast . hotel busy thoughtfully open private dining room first floor put buffet breakfast contain overspill . unfortunately staff upstairs talk staff downstair take far long find table two we , even though downstair plenty space . order full english breakfast arrive promptly . send mine back everything plate cold . replacement arrive quickly warm plate , thing burn order warm . breakfast Monday much well , although take 20 minute arrive , possibly avoid bacon egg option . there little thing would expect find - bath towel bathroom , wi - fi room not always work computer also temperamental . staff sort problem quickly efficiently , not happen first place . 
 Oct 25 2008 	 Great Location near Tate Britain ! 	 City Inn extremely convenient Tate Britain . one full day London see Francis Bacon show Tate ! able walk along Thames see sight well . hotel contemporary design practical , really well suited business travel . mac entertainment system / computer room great add bonus work well incorporate television , music internet make great sense , extra fee use . bed comfortable although bit small use ( double instead queen / king ) . bathroom small quite efficient . great recommendation dine Guest Services breakfast dinner . really good stay ! downside ( really much one ... ) elevator tell everything ... & quot ; close door , closing door , closing door & quot ; . 
 Oct 24 2008 	 Great Location 	 book theatre hotel package select City Inn read review TripAdvisor . check excellent - arrive well advance state check time , receive friendly greeting allocate room permit early check - in really appreciate . room well furnish , meticulously clean good quality toiletry . provision IMAC useful . hotel ideally situate within short walk Parliament quiet location , hear noise night . the issue prevent score five disappointing service breakfast , whilst choice good , order cook English breakfast let electronic ordering system provide wate staff remind waitress 15 minute take order , resorted pen paper appear within 2 - 3 minute . ( would pay £ 17.50 per person breakfast include ) check - extremely efficient luggage storage offer , staff service excellent . PS - Jersey Boys show Prince Edward fabulous . 
 Oct 22 2008 	 Excellent Hotel great service Ambience ! 	 great hotel , great service room excellent . make anniversary weekend ever memorable . staff second none . would recommend hotel anyone . definately stay . room facilities top notch food Bar Restaurant exceptional . highly recommend anyone want perfect stay close centre ! 
 Oct 18 2008 	 great dining well 	 stay weekend October . comfortable messing room . struggle Apple technology . probably easy young generation . have breakfast lunch dinner stay . well good indeed availalbility wine list poor . 
 Oct 17 2008 	 good hotel 	 back weekend City Inn Hotel . the hotel well locate , close subway station expect . area really nice quiet . the room big enough , new clean , bathroom small 4 star hotel . 2 people stay time . Breakfast include wonderful price ( get spetial autumn preview rate ) one good I´ve ever see . definitely i´ll go back next trip London . 
 Oct 16 2008 	 wonderful Hotel ! 	 9 friend spend Girly - weekend City Inn Westminster May 2008 . nice contemporary hotel , seem posh great rate get ! friend trouble w/ techi stuff room , staff solve problem promptly . breakfast buffet outstanding ! quiet location . definitely recommend return ! 
 Oct 13 2008 	 great hotel 	 request early check room ready , reception staff say not want change room nice room . nice room view river . Luggage look we go . really nice quiet location . nice modern room clean , contemporary decor , great Imac use . great customer relation . would hesitation use hotel recommend other . 
 Oct 12 2008 	 great hotel 	 City Inn really nice modern hotel . book suite expensive lovely . nice robe , great tv internet access . nothing much hotel . stay many hotel London price location , good one . tube little far far . take taxis night time not pay £ 8 -so well way travel destination . 
 Oct 12 2008 	 fantastic stay . 	 City inn get right . service perfect , staff dedicate , passionate helpful . airy light common area room antidote dark dank hotel mediocre service . room well design , offer excellent night sleep . sound proof beds / linen better hotel stay . free internet access / tv etc room iMac fantastic . restaurant excellent . menu wide range quality locallly produce food excellent . great value central London . overall attention detail first class . hotel manager particularly helpful professional . would recommend anyone . great experience anyone care great stay , great service great food modern contemporary hotel . 
 Oct 6 2008 	 good stay could well though 	 get back two night City Inn , good time , hotel lack something ... check - in bit disaster - idea rate book online ( Autumn preview - breakfast , champagne arrival , late check - out etc ) , even though book directly hotel website ! careful explain part , receive expect , extra drink voucher ( much appreciate Millbank Lounge ) ! also confusion payment - check booking pay advance rate another person debit card , would problem ( trip birthday present ) . however , turn rate pre - pay pay - problem turn , could problem other . irratate specifically check , oh well . the room amazing , really spacious great view 11th floor , complaint . modern clean room , much well other stay London . location - area great , safe minute walk Thames . westminster tube 10 min walk away , lovely route . enjoy explore walking , location may ideal want tube bit close add convenience . the staff breakfast friendly , seem disorganised ( management , chaotic ) . disorganisation seem apparent throughout stay , every member staff friendly , always knowledgeable well train , area could improve . overall , really enjoy City Inn ( even though seem little negative ! ) ! hotel lovely , location good quiet . staff well manage / train , think hotel could even well . price , great place stay London . 
 Oct 6 2008 	 great hotel 	 stay weekend , end september 2008 . really great hotel , excellent staff , nice room , good bed . room usual thing like minibar , waterboiler ( hide drawer , first not think ) , iron . instead tv Imac computer . free easy internet access , DVD 's borrow free , small selection , still . bring movie thumbdrive , plug work without problem . really great service ! breakfast really good ! english breakfast prepay , usual selection yogurt , cereal bread . fresh fruit orangejuice , nice . they cafe restaurant , not try they . only negative say hotel price room service , be expensive . this truly great hotel surely come back . 
 Oct 2 2008 	 FANTASTIC Hotel - Everything Perfect ! 	 Hotel must visit . great . everything ooze customer service top class quality accommodation / food reasonable price . kitchen Menu little selection dish exquisite . wonder Hotel continue win award award - well deserve opinion . will definately go back hotel - soon ! 
 Sep 30 2008 	 Excellent hotel 	 get back 4 night stay London business . hotel recommend client . really enjoy stay City Inn . staff always helpful accomodating . free wireless nice plus . restaurant lounge nice well . would also say location extremely convenient . right road Westminster Abbey Parliment ... easy walk Trafalgar Square well . would highly recommend City Inn ! 
 Sep 30 2008 	 great 7 Night Stay City Inn 	 wife enjoy stay City Inn . sightseeing find location perfect short walk terrific government site like Parliament close site South Bank via Tate Boat . my wife also teach online class time room Imac browser need free use computer time . save trouble bring lap top expense pay internet access . we find terrific italian Deli close well reasonably price store purchase soft drink etc . we english Breakfast part package meal always excellent plenty fresh choice . also find wonderful venue Concerts minute away Smith Square . beautiful english baroque Church design Thomas Archer . the room small clean bed pillow comfortable . like fact could open window fresh air . return . 
 Sep 28 2008 	 good night 	 good hotel great location Westminster , Tate Britain SouthBank . easy access Pimlico tube . room great service staff excellent . well worth late drink bar ( little expensive ! ) 
 Sep 27 2008 	 truly outstanding hotel 	 Stayed City Inn back end work trip Amsterdam London . perfect refuge week meeting . hotel great modern design room homey feeling . bed really comfortable , bathroom sparkle , service first - rate throughout . one thing really appreciate , nickel dim two place would stay trip , free wi - fi . connect network free laptop , room i - Book function television computer w / internet . hotel locate quiet corner Westminster , couple block away Tate Britain w / in walk distance Parliament surround sight . can not say enough happy experience . oh , run great special deal website ... get reasonable rate stay . highly recommend . 
 Sep 25 2008 	 great hotel expensive eat 	 fantastic hotel great location . would definitely come back . note hotel restaurant pretty pricey . plan meal town try get package deal include breakfast . 
 Sep 25 2008 	 nice bit swanky 	 stay City Inn three day business trip . however , location make hard mix pleasure travel . apart staff clue ' around hotel non - major attraction perspective ( place eat etcetera ) hotel nice . twenty four hour room service right heart Westminster , minute away Thames short walk eye . nice location , nice dig , friendly staff . if ' London , note nearly pub restaurant close 11 & amp ; Midnight . eat early . 
 Sep 24 2008 	 Nice hotel 	 stay hotel 21st September read many review always stay anywhere . the hotel good location , 10 minute walk Westminster , nice quiet area . the staff nice , room , decent size central London , clean . the one thing spoilt stay want £ 50 pre autorisation check cover mini bar , bar , bill etc etc . not problem though would clear pre authorisation check , especially since pay small £ 5 mini bar bill cash . three day check £ 50 still clear back account , even though email hotel confirm be . I think make perfectly clear book require deposit . otherwise enjoyable stay , would stay would make sure take 20second take £ 50 deposit , take 20second give back , approach 4 day . 
 Sep 23 2008 	 great place stay 	 hotel great hotel . lobby room modern clean . internet access 247 nice staff helpful . allow we late check next day room service great . little far St. Pancras Station walk Buckingham Palace . make sure take double decker tour bus , worth ! ! 
 Sep 21 2008 	 Excellent 	 clean , modern , good service great location ( minute walk Parliament House Westminster Abbey , right next Tate Britain close Pimlico tube station ) . breakfast good find expensive , go bakery step away . ask reception desk direction . it quiet night though . ask reception bus catch Victoria tube station Westminster tube station Pimlico line . . 
 Sep 18 2008 	 Great Hotel 	 return trip London celebrate mine friend birthday . hotel great , modern , clean staff extremely helpful friendly . ex travel agent extremely fussy stay disappointed hotel definetely recommend friend work colleague . the side trip closure tube line mean near underground station Pimlico Victoria line ( 5 min walk hotel ) close weekend walk Westminster station good 10 - 15 min walk away - walk suitcase shopping bag ! ! tube closure obviously hotel fault bit annoying . as 2 female travel alone feel perfectly hotel surround area even night time . please note business area quiet weekend good many shop nearby essential item e.g water , crisp , chocolate etc . find 1 newsagent nearby much else . decide stay make sure get breakfast include room rate would prepared pay £ 17.50 full englsh breakfast £ 13.00 continental breakfast . however standard food excellent fruit juice , milk , cereal , pastry etc top regularly . breakfast weekend serve 7 am 11 am plenty time leisurely breakfast go hit shop . trip & amp ; sightseeing - travel London summer month parliment sitting go tour house parliment . get look behind scene see history also follow step queen open house parliment . if intend go buckingham palace see change guard definetely worth get least hour start . whole area get pack thousand tourist want see anything need get early choose view spot well . 
 Sep 18 2008 	 lovely hotel 	 stay city inn westminster 2 night , really great hotel , staff polite helpful , room nice clean . apple i - mac room free internet access also use television . nice quiet location far london eye house parliament . 5 minute tube Piccadilly . definetely stay hotel go london . 
 Sep 14 2008 	 Excellent London hotel 	 stay City Inn Westminster two day begin two week UK vist five day end . lovely spot sightsee London . hotel new , comfortable efficient . staff friendly helpful accommodation North Americans expect ( bit different many UK hotel offer ) . hotel close , although bit walk , three tube station . walk home Westminster station evening give close - up night - time view Clock Tour , Big Ben reside , Winston Churchill statue Parliament Square Westminster Abbey . lovely way end day London sightseeing . hotel residential neighbourhood fairly quiet walk bit find bustle restaurant pub dine busy , noisy Soho return quiet hotel ( 20 30 minute tube GBP 8 taxi ) quiet night 's sleep ! Ravello Espresso , nearby Horseferry Street , great morning coffee seem open weekday . also , travel tube , check oyster card -- worth effort . City Inn highly recommend . 
 Sep 10 2008 	 almost perfect 	 anyone visit London wish stay central worried reippe overprice hotel poor quality service answer . book website ( give rate competitive anywhere else ) arrive pre - arrange early arrival request ( flight land 0630 ) everything ready exactly request . throughout whole stay whenever ask anything promise something arrive happen exactly wished . staff excellent throughout . the room although fairly small international standard clean , tidy , well equip . imac system , plus wifi laptop , mean wife could use computer watch tv simultaneously / independantly wish . good feature 's kind see hotel especially include room rate . the matress bed also one well experience . love much thinking buy one brand home . breakfast buffet standard expect hotel , superb service bar / lounge first floor good way finish evening . apart everything else hotel also advantage on - site parking ( rarity Central London hotel ) . relax we leave car coach park , whichever convenient , even arrive back early hour morning . everything else , nothing much trouble . apart , come pay , & quot ; extras & quot ; sneak many hotel like try ( early arrival / late departure , spurious bar bill etc . ) like everyte else City Inn , simple process debate . all superbly run hotel right centre London Lambeth Bridge business leisure traveller alike .... reason & quot ; Nearly Perfect & quot ; title ? well , could get underground station little close front door ! 
 Sep 5 2008 	 Excelllent Hotel 	 wife return three night stay Westminster City Inn . find excellent hotel . the staff extremely helpful pleasant amenity hotel good . breakfast excellent choice continental full English .I read review suggest hotel little way . however agree . five minute walk Pimlico tube station 10- 15 minute Westminster tube station . there local pub nearby , Morpeth Arms staff friendly beer good . look modern , stylish hotel strongly recommend stay . 
 Sep 4 2008 	 always fabulous 	 take son London 2 3 time year always stay City Inn , recently August 2008 . hotel bright , contemporary , welcome incredibly clean . breakfast fabulous staff absolutely lovely . opinion hotel offer fantastic value money . the location quiet peaceful window open ! pleasant 10 minute walk Westminster Square frequent bus along river Trafalgar Square onwards . Tate Britain 2 block away catch wonderful Tate Tate boat stop London Eye South Bank go Bankside Tate Modern , Southwark etc . each room iMac tv , dvd , cd free wireless internet access provide . Beds & amp ; shower excellent . 
 Sep 3 2008 	 always pleasure 	 stay several time , plus City Inns Manchester Bristol , fan ! late stay disappoint . generally basic well reasonable price . Smart , modern , decor comfortable bed , flash iMac tv / medium centre nice touch like bathrobe , decent toiletry not - unreasonably - price snack sundrie room . unusually hotel type , open window room let fresh air , bonus we . food highlight , bar smart trendy . staff generally professional - unstuffy without casual , mostly pleasant helpful . Location Horseferry Road fine Victoria Westminster various transport link there . all , relax place stay , modern hotel , character many simply basic well . thoroughly recommend . 
 Sep 1 2008 	 good experience 	 spend week City Inn honeymoon . overall , positive experience . staff helpful . course , hotel room central London tend rather small north american standard , size not bad . room pleasant impeccably maintain . whole hotel pleasing , modern look . we would agree comment iMac room mixed blessing . be nice able borrow free dvds , computer also double television , be really quite convenient television 's want watch . free wireless internet nice touch . the dining room attractive food delicious . would imagine eat breakfast , however , either include package ( ) employer pick tab . thirteen pound continental breakfast 17.50 cooked breakfast seem bit steep . certainly not disappoint . the hotel also quiet , locate nice quiet street . , however , walk near tube station inside fifteen minute . if chance visit London , definitely stay . 
 Sep 1 2008 	 find 	 stay hotel recently think good . quiet area 5 minute walk Pimlico tube station . the lobby area impressive stylish room small well lay out . the imac room excellent touch use internet / tv / radio / DVD / CDThe two italian lad bar friendly bit footy banter ( one Napoli fan AC Milan ) overall gereat alternative overprice understyled hotel west end although tube ride majority attraction , worth . 
 Aug 30 2008 	 Loved City Inn Westminster 	 excellent 1 night stay City Inn , Westminster last weekend . hotel modern , modern room , include wonderful iMac system control CV , hotel info , interesting London website free internet broadband ( ! ) . cd dvd available reception . bed comfy . club room ( slightly expensive standard room ) mean could early check late check , free drink bar . also 2 complimentary newspaper choice . free mineral water fruit bowl mini bar basket item London guide book , snack etc . bathroom goodie White Company . bathroom bite short storage space , not bother we one night . 12th floor excellent view floor ceiling window , sideways Thames . Window also open slightly , safely , plus . room hotel area spotlessly clean . hotel bar nice . ultra modern scarlet colour red ceiling lighting , welcome age ( elderly parent ) . restaurant also nice breakfast dinner ( package deal ) . tasty , modern food dinner . site parking good £ 20.00 24 hour , although literally 5 - 7 minute walk tube 5 - 8 minute Houses Parliament etc . staff friendly delighted assist . all , excellent hotel London good price . stop Apex Hotel London previously , find difficulty choose 2 stay future par . highly recommend . 
 Aug 27 2008 	 Lovely Hotel - great bar ! 	 partner stay hotel 1 night 3 year old daughter impressed staff , decor amenity offer within hotel . bar impressive offer wide range cocktail good menu wish dine relaxed set restaurant unlike number hotel happy child sit bar . bedroom spacious mac system ( tv , wifi , dvd , cd etc ) especially good . quality food high standard continental breakfast good value £ 10 . negative include poor view ( perhaps good idea request ' room view ' ) feel little remove west end though Hses Parl , Eye etc well within walking distance . 
 Aug 25 2008 	 ikea hotel 	 's clean hotel good location be travel work fly in / out Gatwick 's walk distance ( 10 min ) Victoria , get Gatwick express ( cab ride GBP 5 ) .Do not go family kid not expect enjoy hotel . hotel get enough business facility , however nothing family . it be classify 4 * would say 's modern 3 * . know many people like iMac room , however not forget smartly replace tv set normally 4 * hotel would not get away 20 & quot ; television ( room student 80 's ) .Last least , be try impress client sign deal meet lounge bar not tell be stay hotel , know 's cheap option ( opinion ) ! well , general , 's terrible hotel sure would say & quot ; wow , go back ! & quot ; 
 Aug 24 2008 	 Excellent stay 	 stay long weekend , originally book two happy staying stay three , previously mention extremely handy location , 5 minute walk Pimlico Tube , 15 minute ish Westminster , take cab King 's Cross cost around £ 14 include tip bad , could not fault hotel , friendly helpful check staff cleanliness comfort room , room entertainment system brilliant free access internet handy plan day 's activity , although bedroom big spacious enough , especially London , £ 90 per room per night impressed , next time London stay . 
 Aug 23 2008 	 good value 	 large airy younbg hotel offer great value although initial impression reception particulary friendly . nice room oh persist use mac medium system instead good ole telly take age figure ! love selection ' city temptation ' beside mini bardoor man concierge staff helpful friendly 
 Aug 21 2008 	 Great London hotel 	 enjoy excellent weekend hotel . room comfortable well - equip , Apple Mac tv modern furnishing . breakfast good , hot food bring table . staff generally helpful friendly . great late bar food good popular restaurant . hotel little West end , handy Tate Britain fifteen minute river walk South Bank . 
 Aug 19 2008 	 heart London 	 Free movie rental , unlimited internet , friendly staff , adaptor P.C . place great . they one good restaruant sight . pricy tasty . get anywhere easy . 
 Aug 19 2008 	 quite find 	 ' ve stay hotel twice really good find . everything work well , free Imac room useful stafff friendly obliging . 
 Aug 19 2008 	 pricey 	 room special travel inn , fact far small . book stay via compnay could believe bill £ 500.00 2 night extra ! know London , extortian ! also charge £ 30.00 per day park small car park . moaner stunned price , even though not pay personally ! 
 Aug 18 2008 	 Worth 	 stay girlfriend late valentine weekend . want something really contemporary good view short distance attraction ( include London Eye have book ) . hotel unbelievably quiet give 's proximity parliament , mostly surround office empty stay . can not overstate quiet surround area . I book executive suite well furnish modern ; little small side , excellent . bathroom decent size huge shower White Company toiletry girlfriend love . have request high room really good view , disappointed ! can not avoid office block , could see Thames room . the hotel bar good buzzing Saturday night . have book suite , couple free cocktail fantastic - try ' honey mash ' like whisky ! restaurant fantastic , modern comfortable . breakfast die , not find wait long seat , know other complain about . lastly , service great . stupidly leave thing behind check return couple day later . whenever ask anything deliver asap staff consistently polite helpful . I reservation price suite , trip , happy worth every penny special valentine weekend capital . 
 Aug 12 2008 	 City Inn Westminster 	 never City Inn really enjoy stay . room brilliant , offer free sky tv , wi fi lot . hotel great bar make voucher give booking- definitely recommend use get bit expensive . staff really friendly helpful . would definitely recommend hotel use . 
 Aug 10 2008 	 fantastic contemporary hotel ! 	 stay hotel one night would def go back ! located quiet road , north river , across water MI6 's headquarters ( know safe area ! ! ) modern stylish reception , comfortable well equip room , fantastic hotel ! breakfast amazing ! ' ve never scramble egg bubble n ' squeak like ! staff professional kind , could not enough . would definately go back ! 
 Aug 10 2008 	 great value good location modern room 	 return 3 night stay hotel would rate favourably . get really good quote hotel worth check partner website . hotel modern 8 min walk Pimlico tube line , 15 min walk Westminster tube line . lobby spacious room decor hotel modern . 12th floor view skyline , river . beware check room low floor hotel may little view . say people use hotel base explore city detract away hotel way . the breakfast morning great . good selection continental breakfast full breakfast . hotel bar snack selection also good . there mini gym 4th floor various cardio machine . empty feel like private gym yourself . on downside , stay construction work go affected day . also offer paper deliver room impression complimentary ( lot paper hotel ) however charge checkout . check approx 3 pm late positive side staff willing hold deliver luggage room ready . also moment ( completely hotel control know ! ) Victoria tune line close early midweek late London make alternative travel arrangement home . 88 bus drop directly outside hotel walk Westminster tube station . overall , would highly recommend hotel . 's staff friendly , room clean ( bath ! ) Apple Mac pc room - free Broadband . good value convienient location near London Eye directly next Tate Gallery . well worth visit ! 
 Aug 4 2008 	 Great Modern Hotel 	 stay City Inn Westminster Hotel football match England – Croatia , last November . location hotel great visit Tate Britain , Westminster Abbey Houses Parliament , London Eyey Aquarium , Buckingham Palace . walk distance . close underground station 10 min . walk near bus stop least 5 min . walk , great visit part London . place quite deserted evening night hour . restaurant pub close hotel . the hotel great , modern building . reception desk staff excelent really helpfull . room large beautifully furnish everithe need . bathroom small clean nice . feel comfortable room . breakfast good . hotel modern adn somewhat sterile , like . 
 Jul 31 2008 	 terrific hotel 	 wonderful hotel , contemporary well - run . liked everything , staff , bedroom , breakfast , location 
 Jul 30 2008 	 Fab ! ! 	 stay hotel friend mine birthday go theatre . hotel part package deal get great value money . the near station Pimlico 5 - 10 minute walk hotel be not bad . the hotel currently get scaffold front bit shame , affect stay all . the hotel lovely modern staff helpful friendly . room lovely clean Apple I - mac PC CD / dvd player build . hotel provide complimentary cd 's dvd 's rent 1 time . ( go weekend , much choice 1 2 dvd / CD . ) overall , one nice hotel stay would definatly recommend . 
 Jul 30 2008 	 nice modern hotel . 	 stay wife 3 night 24 - 27july . hotel modern , clean internet connection room extra charge well iMac tv / monitor computer keaybord + mouse use tv , quick London information source computer . room air - condition . get room early arrival ( 11.00 ) problem deposit luggage late departure . size room bathroom OK . special place put suitcase live day stay . hotel quite large lot guest enough polite people reception handle . plug adaptor available reception , worry plug - in device . buffet breakfest bad . People like continental breakfast fully satisfied . full english breakfast , like . quiet location plus take 7 minute walk nearest pub , 10 minute walk near tube station Pimlico Victoria Line . however bus stop nearby every 10 - 12 minute double - decker bus & quot ; 88 & quot ; ( daily travel card transport accept ) get Oxford Circus Trafalgar Square Picadilly Circus . view low standard majority hotel London ( even 5 * ) , hotel good choice . 
 Jul 27 2008 	 GREAT Hotel ! ! WONDERFUL Location . 	 HIGHLY , HIGHLY recommend hotel . CityInn fantastic ! tuck away quiet side street heart popular Westminster area easy access Parliament , site . close Pimlico Westminster Tube location . room good size , clean , modern furnishing sometimes hard find Europe . small ikea - like clothing closet drawer . wish provide suitcase stand . ammenitie include daily newspaper delivery , hot pot tea , coffee ( complimentary ) . nice build iron board iron . coolest thing MAC guest use t.v . computer ; free wi - fi provide much appreciated . dinner breakfast restaurant offer good food . free DVD 's available MAC . , fantastic hotel . find ! hotel , ' ve find place stay London ! 
 Jul 23 2008 	 Great Location 	 stay time & amp ; find Hotel good general . location great 3 min walk Old Tate ( Tate Britain ) & amp ; 5 min walk Pimlico Underground . hotel sit edge Thames ( nearly ) & amp ; lucky room , view river & amp ; high floor , skyline . the Hotel modern good business service & amp ; good Buffet Breakfast ingeniously tuck wall Restaurant . outside terrace dine weather permit . overall good value & amp ; great location . 
 Jul 22 2008 	 lovely quiet neighborhood 	 stay hotel July 17 - 20th . staff wonderful . handle check - in tour company book arranged transportation Heathrow us rate much well taxi . the hotel great area , walk distance London Eye , Tate museum etc . main tube station bit walk , range . breakfast wonderful many choice . include room rate not know would pay require breakfast . Pizza Express deli right back door good . not eat hotel dining except breakfast want try authentic pub food elsewhere city . complaint though room nice bed comfortable , bathroom pretty small , little room toiletry . fine go one night 3 day bit pain . problem computer system room see computer literate may overwhelming . if look watch little tv little time consume figuring . professional staff would stay . well - run hotel . 
 Jul 22 2008 	 new favorite 	 place rock . great service , great location , great view , good food . room iMac - floor . 2 week run one internet cafe another , godsend computer room , let alone brand new iMac . hope hotel able maintain . stay every time London now . walk distance Clock Tower / Parliament , Abbey , Tate Britain . close Trafalgar , Covent Garden , Southbank , etc , etc .. 
 Jul 21 2008 	 normally good hotel 	 stay hotel several time , normally love . however stay weekend go show london , whilst room lovely , usually , normally wonderful breakfast lovely . egg undercooke , partner egg failed arrive , bad thing bakery good stale . bread roll old hard impossible cut open , bakery good less fresh . never encounter stale bread serve breakfast many hotel stay previously . complain manager refund cost breakfast - investigate . therefore leave assume find bread stale pointed . state affair simply acceptable hotel class . stay like hotel , conveniately place , will give £ 17.50 breakfast miss . 
 Jul 20 2008 	 definitely stay hotel aqain 	 stay overnight hotel make opera trip Covent Garden . whilst West End location convenient amazingly quiet central London . the room light , airy state art equipment . stay standard room fair size London . nice touch free carton fresh milk fridge . the breakfast excellent , large choice hot food cook order . menu include grill fish kedgeree . dinner hotel already book theatre ambience restaurant pleasant . all staff encounter helpful , professional polite . I definitely stay hotel aqain . 
 Jul 16 2008 	 absolutely fantastic ! 	 stay hotel Friday Sunday Room 1235 ( suite 12th floor ) bit treat usual Travelodge Travel Inn disappoint ! check 11 am fast effecient friendly - room not quite ready offer complimentary drink Millbank Lounge ( see delay 15 minute sitdown complimentary drink well make ) .Our room fantastic view river Vauxhall Bridge . two iMac 's ( one lounge one bedroom ) mean really easy check thing London . very good quality toiletry bathroom along large soft towel robe . air conditioning work well room spotless . Complimentary Evening Standard Newspaper Friday paper choice Saturday Sunday . can not understand previous comment distance Tube Stations - literally 5 minute steady walk flat Pimlico Station 10 minute Westminster not unpleasant walk ! package not include breakfast not bother we large hotel usually bit faff morning , really good breakfast £ 9.00 total Victoria Station 's Weatherspoon 's Pub ( bacon , sausage , egg , bean , hash brown , tomato , toast , coffee ) .Basically can not find anything complain definately go back deal . interesting get room £ 80 cheap book Hotel direct website price quote LondonTown.com . 
