almost 	 London 21 - 24.11.2009 . stay Premier inn situated center London ( 50 m London Eye Big Ben ) . unconventional reception good ( check - in check - in machine want , wait ) . reserve twin bedroom get extra large bedroom one double bed one bed extra ! ! ! great ! ! ! room perfect . extra clean nice clean bathroom , flat tv , hairdrayer , cofee machine ... breakfast good can not describe ... full english buffet breakfast ... planty everthing ... word ... one one thing ok shampoo bedroom stay empty three day . definetly ' m go Premier inn ... 
 Oct 10 2007 	 excellent value excellent location 	 stay three night end September . location County Hall excellent - directly next London Eye , London Aquarium walk distance across Thames Westminster Trafalgar Square . room ( smoking ) clean small . shampoo / showergel soap available well hairdryer . coffee tea - make facility also room . foyer vend machine soft drink snack . free left - luggage room . not use restaurant food offer look good reasonably price . the staff friendly helpful . the price reasonable consider location quality service . would definitely recommend hotel . the good thing : view London Eye window ! 
 Oct 8 2007 	 Good Stay 	 boyfriend stay 6 night last week September . hotel clean . room small side , cramp . bed bit hard , comforter soft comforting . hairdryer include room surprisingly good . location right County Hall . London Eye right around corner , Waterloo Int ' l 5 - 10 minute walk Big Ben side bridge . area quiet , great sleeping , much go night . buffet breakfast . good enough , 7,50 Pounds pp bit pricey . decent bagel store right across street well starbuck convenience store ( open pretty late ) . also Waterloo Int ' l station lot place get breakfast . Buses Tube station accessible hotel , make great get around . location great catch early Eurostar train Brussels . 
 Oct 4 2007 	 Excellent value 	 hotel right next Westminster Bridge behind County Hall . room big , spotless comfortable . staff friendly hassle free stay . drive London staff direct we two car park . choose Upper Marsh £ 10.50 24 hour half price one . secure security guard could see car office . 
 Oct 3 2007 	 Excellent stay 2 kid 	 choose hotel read many review one well other . London budget hotel , excellent selection good value money . room clean , breakfast diverse enough buffet style ( child eat free already mention review 16 year old ) , service good polite . location also good , near London Eye far Waterloo tube station , however , contrast review , 2 minute walk , close 5 minute walk important consider take tube Heathrow . 's easy sound possible . also change line luggage . we group 4 person : parent 11 16 year old . stay large family room well - suit family need . hotel 's excellent solution . stay London choose apartment long stay time stay one night hotel perfect value money , however long stay ( week ) , still possible use family room much space apartment lot stuff . for pleasant stay without big expectation take price consideration , would definitely recommend hotel . 
 Oct 2 2007 	 excellent value money 	 spend 2 week night PTI County Hall September 2007.overall , happy hotel . location great London Eye practically doorstep Waterloo tube station 5 minute walk away . find staff friendly efficient . I book twin room give family room double bed convert sofa . bed comfortable room spacious , bright , clean modern . room price £ 99 per night comparison majority hotel London , excellent value consider location standard accommodation . we avail breakfast morning - eat want buffet price £ 7.50 head . quite good bad value . the hotel serve food 11 pm bar serve 1 am . handy pub London close 11 week night . great come show head back hotel night cap . would highly recommend hotel friend family . when London , try fit visit London Dungeon - 's great fun suitable young child . 
 Oct 2 2007 	 Perfect visit London kid 	 kid want go London see sight hotel perfect , big ben London eye right doorstep ! kid 4 5 time hotel perfect we . room enourmous comfortable , staff helpful ever encounter , breakfast excellent - no complaint . Waterloo tube station handy Big Bus stop lovely pizza express road - we would definately stay recommend anyone visit capital kid ! 
 Oct 1 2007 	 great place 	 return 4 - night stay Premier Travel Inn Country Hall great ! seem bargain price good accomodation uber - expensive city London . location perfect sightseer - right London Eye , Thames , Westminster Bridge , Houses Parliment , Big Ben . 5 minute walk distance Westminster Station Waterloo Station quick tube access . 's McDonald 's County Hall Building , lot quick eat always - busle Waterloo Station . the check - in extremely quick check - out even quick . front desk staff warm friendly . room big expect London , super clean . supply washcloth ( seem common Europe ) , bring ( ) . also alarm clock room , suppose one tv phone could not get either work - desk staff great reliable wake - up call though . check time 2 pm room ready , fine - hotel provide easy bag storage wait . I would definitely stay ! 
 Sep 23 2007 	 Great Place London 	 13 work colleague , stay hotel two night August bank holiday weekend . celebrate work anniversary want stay somewhere London would not involve lot tube bus travel . want go theatre West end take ride London Eye . hotel affordable option prove good value . hotel fine though would place stay want luxury . room average £ 100 per night two people ( although could one two child well room ) breakfast extra . 's good feature location right South Bank walk much attractive London summer . hotel not seem twin room book twin , give triple quad room comprise double bed separate single bed really intend child perfectly adequate . bathroom perfectly adequate tea make facility , tv temperature control . if hotel busy sure take breakfast 8.30am 10 am room get crowded layout cold food , hot food drink end queue age . masse food £ 7.50 could good value hungry . the South Bank like circus weekend performer musician along walkway . hungerford foot bridge Waterloo bridge make Trafalgar Square West end easily accessible within 20 minute walk - walk back dark magical full moon shine London Eye river light like firework . the National Theatre free dance festival South Bank real bonus . also group meal small italian restaurant call Pizza Paradiso Cut near Waterloo station excellent value good service .. thing would recommend walk near Waterloo station late night bit scary . we truly brilliant weekend would recommend good option London visit family well adult . prepare walk bit see masse - not want walk , get boat head thame wonderful sightseeing . 
 Sep 22 2007 	 Excellent location ; good base 	 stay 3 night midweek . stay numerous pti UK much usual formula room . decent bedroom & amp ; bathroom facility enough room turn round without bump furniture . extra pillow towel wardrobe unit require , easy hand . ask reception decaff . coffee - come away & amp ; extra biscuit ! room look lightwell within building - secondary glaze cut street noise well - leave window open room not get hot , little sun around . we not use hotel 's restaurant - several restaurant across road & amp ; within 5 minute South Bank complex use evening plus & quot ; Eat & quot ; use breakfast . the location good - walk hotel time apart go to / from station journey . 
 Sep 20 2007 	 hem coachload 	 stay eight day attend business . clean , basic room , full parent kid ( room cost one price matter many people ) . location convenient . really cup tea , bad either . connect internet room cost absolute fortune ! 
 Sep 19 2007 	 clean comfortable 	 Stayed March 07.easily reach Tube . good value London standard . comfortable . lack atmosphere , base use visit London 's unbeatable . will stay next time visit London . 
 Sep 17 2007 	 good value money 	 hotel great location good facility price . Air con would good get warm , noisy window open . £ 99 view Lonodn Eye steal London ! 
 Sep 16 2007 	 Great Value / Location Expensive City 	 Highlights : great location - unbelievably central ; reasonable ; C - Store bagel shop across street ; great kid . lowlight : AC ; room spare . great price London ! 
 Sep 7 2007 	 great base London 	 home 5 day visit London . locate 4 major tube stop make travel easy . room small well lay . 4 we , family room , one double two twin bed . one bed call & quot ; rock & quot ; two pretty comfortable . bathroom tiny shower great . opt breakfast buffet morning- kid eat free , great deal . large , english breakfast buffet set we skip lunch . food great , although breakfast , restaurant serve meal . hotel right beside London Eye ( recommend ! ) great walk along South Bank . true horde tourist location view make . would love stay hotel . service lobby maid far average hotel price range . 
 Sep 6 2007 	 clean modern spacious budget hotel fabulous location 	 money difficult find fault hotel . situate Central London , right next London Eye across river Big Ben & amp ; Houses Parliament . hotel minute walk either Waterloo Westminster tube station , travel London 's attraction easy . room , whilst basic decor , clean , modern , unusually London , incredibly spacious . money not expect great view bedroom window , though - adjoining Marriott hotel guest get , let face pay considerably money privilege ! hotel staff extremely friendly , great kid . downside busy restaurant breakfast time struggle cope demand - silly queue want bacon egg . whilst food fine , perfectly good cafe across road hotel serve excellent breakfast , without wait ! 
 Sep 3 2007 	 exactly say tin ... almost 	 clear website , hotel offer reasonably comfortable accommodation central London location less £ 100 . reviewer comment proximity London Eye , Aquarium , Westminster Bridge , Houses Parliament , Westminster Abbey Waterloo Station . also five minute away South Bank Centre National Theatre Hayward Gallery , mention rich choice restaurant area . walk Premier Travel Inn Old Vic ( Diana Rigg currently star Mother ) ten minute . the hotel functional oppose aesthetically pleasing . book double room quite large , bathroom quite dimly light minuscule towel design midget instead we middle - aged spread . bed comfortable 's small television set perfectly okay . room face onto courtyard function service area hotel . although area could noisy day , fine night sleep soundly duration stay . the breakfast - price £ 7.50 exceptionally good value . entitle fry healthy range yoghurt fruit salad . coffee also high calibre . hotel popular large family queue breakfast first morning lengthy round 9.30 a.m . simply arrive half hour early follow day queue . all , Premier Travel Inn live promise website . luxury hotel comfortable , good value money situate right location . 
 Sep 2 2007 	 excellent value money 	 risk repetitive ...... spartan accommodation , cheap , friendly staff , excellent location , old build large room . without doubt get well far value money . however , trip special occasion significant , would pay go somewhere else ( afford ) . one thing , hotel use call Comfort Inn County Hall , limo driver taxi driver know Premier Travel Inn , try name . 
 Sep 1 2007 	 great central London budget Hotel 	 great budget location next London Eye half price neighbouring Marriott . convenient central London attraction . pleasant 5 minute walk Westminster Bridge bring westminster tube station Parliament Square . ten minute walk Trafalgar Square 15 minute theatre land , Covent Garden Soho . extremely helpful friendly staff , nice clean ensuite room double bed roll couch . aircon fans standard every room job . breakfast extra substantial £ 7 buffet serve everything cereal toast full cooked breakfast . great noodle bar road evening snack . 
 Aug 30 2007 	 great value - great location 	 would agree previous poster - hotel 's location excellent - 2 min waterloo train station , right beside London Eye Westminster . breakfast good aim arrive 9 am 's busy 9 . room basic spacious enough us - 2 adults,2kid . overall , would happy stay . 
 Aug 30 2007 	 Premier Travel Inn - great price location 	 chain reasonably price clean . property great location , large room , clean , telephone ( property phone room ) good restaurant . staff friendly helpful . our room four one queen , one day bed one cot . room large enough accomodate luggage . Marriot street , price location , would return County Hall . 
 Aug 27 2007 	 Suberb Location 	 Booked hotel take account tripadvisor review . disappointed . check efficient friendly . arrive early impressed system leave luggage . the room large ample space 2 adult 2 child . overlook garden side view ( yes head window ) see London Eye . marriott room front direct view . the location perfect explore , many attraction within easy walk distance . Waterloo Undreground five minute walk afield . oyster Card bargain limit cost £ 4.60 per day . use bus tube . torrential rain three day godsend . we find staff hotel friendly helpful apart one night receptionist take time resolve problem key would work . breakfast fine good selection taste diet . go early rather later avoid queue . Apart & quot ; Eye & quot ; , Duck Tour also doorstep . different thought overprice £ 55 family four take hour . we would certainly stay , beat family . the negative allow staff member arrange taxi leave . charge far black cab arrival . 
 Aug 27 2007 	 Great Hotel Central London 	 Great Location . clean room lot space . good buffet breakfast . good price central London . Fodor 's Choice 2006 Great Britain book . 10 people include 4 child , stay eat free . location wonderful . five minute Westminister Abby , Waterloo Station 2 minute London Eye . we use hotel ever London . 
 Aug 26 2007 	 9 10 	 stay 3 night .. delighted room .. spotlessly clean , everything could need great shower .. hotel staff friendly helpful .. breakfast good .. be great kid eat free .. 's lot choice food good standard .. unfortunately queue system cause problem .. supposedly two queue , one & quot ; hot & quot ; food , one everything else , not make clear breakfast turn bit mayhem 
 Aug 22 2007 	 surprise 	 wonderful surprise . room spacious clean well sized bathroom shower . hotel staff / Cleaning Staff pleasant extremely helpful . eat breakfast restaurant everyday consistenly good . would stay . 
 Aug 21 2007 	 great place stay 	 stay three teenage child August 12 - 16 , 2007 . prior arrival , concern since stay one room , air conditioning . worry - location fantastic , need air conditioning , even hot day . room spartan , clean comfortable 4 people . enormous breakfast additional fee , 2 child eat free one pay adult . hotel within County Hall complex contain Marriott Hotel , Aquarium , London Eye , several exhibit arcade open till midnight . friend stay Marriott pay nearly three time money fancy room . kid enjoy restaurant outside front door , frequently use free Wi - Fi Ned 's Noodle Hut . Waterloo Westminster station easily within walking distance , great London Eye Big Ben outside door . would highly recommend hotel family people look comfortable accomodation reasonable rate . 
 Aug 18 2007 	 Brilliant Location 	 , husband twin boy stay hotel one night . excellent hotel , locate near London Eye bank river Thames . also locate extremely close Waterloo station , ideal picking tube . stay Premier Travel Inns several occasion , become firm favourite . hotel certainly live expectation . quick check , do within 5 minute . friendly , warm welcome , without overly familiar . room clean , big city hotel room . bed extremely comfortable . ideal family four . breakfast excellent . vegetarian sausage gorgeous ! ! ! overall would definitely recommend hotel , definitely stay come back London . 
 Aug 17 2007 	 Location location location ... great deal family ! 	 find hotel London family five challenge . hotel require book two room . lucky find quad Premier Travel Inn London County Hall . quad consist queen - sized bed , twin - sized sofabe air mattress floor . bathroom little small self - close door keep steam away room 's smoke detector ( little strange . ) also , air conditioning ( fan provide ) . a / C really not necessary cool London , room clean spacious enough family . location ! ! hotel historic London County Hall , across street Waterloo International train / metro station right next London Eye London Aquarium . arrive London Eurostar ( Chunnel ) not even need taxi bus hotel ... simply cross street ! across bridge Thames Houses Parliament Big Ben , walk distance St. James Park Buckingham Palace . despite close much , noise problem . not hear train / metros , nighttime noise area virtually non - existent . good hotel 's family deal breakfast - pay adult ( 7.50 GBP ) , two child eat free - like get 3 meal 7.50gbp , London DEAL ! breakfast incredible - egg , bacon , sausage , many kind bread , hot cold cereal , fresh fruit , yogurt , granola , fruit juice , milk , coffee - -all eat . restaurant convenience store grocery across street . great location deal family . 
 Aug 16 2007 	 Excellent location 	 facility room basic , clean . locate near Waterloo station , although first night get station opposite end , end wander dark 15 minute find hotel .... ( tip : look exit London Eye ) .Hotel staff friendly . hotel well situate , within walk distance London eye , river Thames , Theatreland Westminster Abbey . brief , good central location major attraction London . 
 Aug 14 2007 	 Enjoyed County Hall 	 stay Premier Travel Inn , County Hall , London 7/10th August 2007 . read review TripAdvisor fairly optimistic hotel disappoint . arrive friendly reception desk check efficient . room clean , quite large comfortable good size bathroom linen change day . service restaurant staff excellent good standard selection food £ 7.50 per person . hotel great location , close amenity South Bank , London Eye , look fabulous illuminated evening , also close Westminster Waterloo station . thoroughly enjoy stay certainly use hotel . 
 Aug 12 2007 	 convenient central location 	 stay 4 night hotel . central location see major sight . right near London Eye , nearly adjacent Marriott . meet basic need clean hotel . able walk across near bridge see Westminster Abbey Houses Parliament . also nearby walk Whitehall Road Trafalgar Square . Eurostar right Waterloo Station , close hotel within walking distance . since Waterloo Station near , easily able head St. Paul 's Cathedral Tower London . for fee , hotel internet access . also nice selection food breakfast , breakfast include hotel stay . they concierge , staff ' ok ' obtain info access major nearby sight . nothing particularly impressive hotel ; & quot ; wow ! & quot ; impression . however , can not fault hotel way . everything clean ; room supply multipurpose hair / bodywash . room view , private quiet . access vend machine lobby . we would likely stay . 
 Aug 9 2007 	 good location 	 stay one night part tour be really close Waterloo ( Eurostar ) train station . check fine . room pretty big usual Travel Inn standard - good shower . breakfast fine , layout food great youi fight past people queue hot food get juice - minor gripe . really good location next door Star Wars exhibition son thoroughly enjoy . 
 Aug 7 2007 	 clean functional hotel 	 stay one night hotel great location . behind London Eye , Saatchi gallery Aquarium . Houses Parliament across Thames . Waterloo station 5 10 minute walk close Waterloo pier take boat trip ( attend concert O2 arena get shuttle boat straight O2 ) .We pay £ 99 night Premier Inn equate clean , comfortable room . maybe characterless want character centre London need pay . also take option pay & quot ; eat & quot ; breakfast - fine serve area breakfast bit small get crowded queue . I would stay would recommend - seem popular family large family room kid eat free breakfast . 
 Aug 1 2007 	 great location value money friendly staff 	 travel family 4 ( kid aged 4 8 ) spend 2 night hotel . do not think could wish well location explore London . eye around corner , change guard short walk St James Park etc . service super efficient room clean comfortable . breakfast good , although egg could make plastic . staff meet really friendly . 99 room think excellent value money . 
 Aug 1 2007 	 utilitarian hotel 	 wife stay hotel July 07 . be rundown .... good - it centrally locate , right next London Eye , right across Thames Big Ben / Parliament Westminster Abbey . two tube stop close . plenty eat close . easy get anywhere city hotel . clean safe convenient . the bad - holy moly , know & quot ; affordable London accomodation & quot ; oxymoron , man , probably expensive city world visit , literally . OK 's fault hotel , 109 quid night , would nice least offer small continental breakfast ... least croissant juice . also , apparently , want room view , request book . ask topsheet bed . computer hotel use internet . not bad , great . would probably stay unless find something cheap , would look cheap next time visit London . 
 Jul 28 2007 	 fantastic situation ! 	 stay Hotel three time travel Europe really recommend . old County Hall building beside London Eye Westminster Bridge short walk either Waterloo Westminster Stations . also short walk almost anywhere central London . price reasonable London room good size comfortable . staff always friendly helpful . would definately stay . 
 Jul 23 2007 	 think well place stay London 	 find hotel trip advisor book travel lodge web siteMy two daughter age 23 25 go meWe could fault hotelexcellent location , room , price , service food ! ! ! 
 Jul 21 2007 	 wonderful hotel 	 want close Eurostar book hotel . ! staff exceptional , meal fantastic ! view Big Ben Parliment . the room exceptionally clean . 
 Jul 21 2007 	 Best stay ever 	 stay 16th july 20th july wife three child 9,7 9month . I london many time past 20 year never enjoy holiday like one . it premier travel inn county hall . the family room large keep spotless excellent friendly staff . check - inn painless hassle free friendly staff . breakfast excellent great value @ £ 7.50 u eat , child eat free u12 set we day ahead . location could not beat £ 99 prpn big ben , london eye , london aquarium waterloo station within 3min walk . grocery shop starbuck straight across street , taxis available time , turn leave come hotel 50 yds . so look hotel london look , one . room might basic rest hotel quality make it . LOVED . 
 Jul 20 2007 	 Fantastic ! ! ! ! ! 	 spend 2 night Premier Tavel Inn London , County Hall . treat . hotel stunning . clean , wonderful location ( behind London eye opposite Big Ben ) Breakfast super wide selection food . would definately stay . worth every cent ! ! 
 Jul 19 2007 	 wonderful Premier Travel Inn - County Hall 	 family stay two room hotel four night July . problem room different floor aside everything excellent . room big comparison hotel clean maid service every morning . staff friendly ever experience hotel every one go way greet we help way could . Breakfast might consider expensive unlimited amount person could eat set we day turn good value . location excellent lot within short distance hotel . underground station Westminister , Embankment ( river ) Waterloo ( 100 yard away ) excellent London bus ( red bus ) service end street ( great way see local area ! ) well various tour bus stop . 
 Jul 19 2007 	 Perfect location good value - comfortable 	 let begin say hotel Europe generally lot small us- really spoil . give , room hotel roomy comfortable large typical european hotel . grant luxury good . stay twice - begin european trip receive 2 drastically different room . the first 3 night , bed comfortable roomy . basic ammenitie . bathroom large tub excellent water pressure . aircon rainy not need . dim light comfortable , mmaculate clean ! service great - staff helpful . need concierge help luggage direction . location beat . seriously 30 second walk London Eye adjacent park 2 minute walk Waterloo Station ( wheel 2 large piece luggage problem catch Eurostar Chunnel Paris ) really everything walkable like National Gallery , Trafalgar Square movie stuff , Shakespeare Globe , Tate Modern , Parliament Big Ben plus double decker tour bus . also boat right eye take Thames . view first night alley - ask water view . importantly starbuck directly across also good noodle Ned 's Noodles convenience store water . eat eat chinese restaurant next aquarium building unless want nauseous rest day ! ideally fridge would nice keep water fruit in . now last 2 night .... totally different room room # 200 get . huge ! could literally do cartwheel still room ! light bright room modern , bathroom update - ' m thike probably family room could fit another pullout . large window view overlook London Eye . seriously totally different room early still incredibly comfortable , quiet clean . picture show different room . the business station EXPENSIVE internet food blah . walk along boardwalk eat somewhere decent cheap however forewarn dollar double pound London expensive ! overall great deal definately come back hotel - pay 125 pound per night excellent deal ! 
 Jul 8 2007 	 Best Location London ! 	 family travel London - good location town . beautiful view Thames , adjacent London Eye easy access tube bus place want go . husband travel two 18 year old child need two room - little pricey time year ( 99 pound per room per night ) room spacious comfortable bed , fan , heat towel rack big bathroom . book thing available smoking room person central booking tell ask switch arrive . get around 11 fly night greet Katie & quot ; Inn & quot ; training cheerfully switch we non - smoking room . staff cheerful helpful hotel immaculate . old brother spend lot time London make paranoid pick bad location far away everything . one brother say wrong side river - wrong ! walk morning view Parliament could hit Westminster Abbey stone . corner building bus stop bus every two minute Trafalgar Square , Picadilly Circus Oxford Circus Starbucks across street ! hotel also halfway Waterloo Station ( international train depart well train take day trip Windsor ) Westminster underground station . hint arrive - 's hard find County Hall building Waterloo Station first arrive station big many door can not see London Eye building way . day visit come across traveler lose try find way County Hall building drag luggage . get tube Westminster Station come Westminster Pier exit . walk across Westminster Bridge big beautiful building foot bridge County Hall . walk past entrance Marriott turn leave onto Belvidere Street . entrance hotel 2/3 building . can not wait go back London stay ! 
 Jul 5 2007 	 great service 	 second time stay hotel.managed find room short notice . great service staff . room basic first class location . will go back without hesitation next short stay London . 
 Jul 3 2007 	 dependable plain 	 currently stay hotel two night room 2nd floor face another building really insipre view . realise view river would ask one ! ! reception efficient pleasant . room quite dull clean . airco since rain 20c entire time issue really . loaction say good within 5 min walk Westminster etc . also close Waterloo station would say also could use Westminster tube station across river . ever get lose head towards London Eye . foot sore tonight wait line hour get Madamme Tussauds perhaps pre - booking ticket would well idea . also end wait 1 1/2 hour cast late Harry Potter movie come premier ! ! ( 14yr old daughter , understand ) .Anyway back hotel . would recommend get normal £ 99 ( pay £ 130 per night incl breakfast , daughter eat free ) good rate central London . agree previous poster wi - fi though . £ 15 per day steep . write connect kind soul unsecured network free . mind type window ledge ! ! 
 Jul 2 2007 	 great value family 	 inn great value family . huge room double bed 2 single , plus lot floor space . location great London Eye . Waterloo station , tube station , westminster sight . walk across Thames Westminster Bridge night toward light Parliament Big Ben great sight . Jubilee Park right next hotel lot space kid run play . Westminster Waterloo metro station close tube system get anywhere London fairly short time location . across street hotel small convenience store , good mediterrean restaurant , Starbucks . south bank area undergo much renovation probably improve greatly available restaurant , etc . crepery pizza place short walk along river Gabriel 's Wharf . luxury hotel mean , need family room decent price London , great find . room clean comfortable . may get hot summer AC , problem early June . two thing lack refrigerator safe room . safe deposit box advertise website , available front desk . laundry facilities hotel staff direct we neighborhood laundry fairly short walk away dirty street . walk laundromat Saturday morning find street market reasonable price fresh fruit . fridge room could save we money food eat costly London . breakfast hotel fairly expensive , bountiful . hotel guest , child 15 get free breakfast buffet pay adult pretty good value young teen . mention previous reviewer , internet access hotel restaurant totally outrageous -- around 50 cent / minute . Wish have know access Ned 's Noodle house . travel London kid , would definitely consider hotel . 
 Jun 20 2007 	 great bargain location 	 everyone else point , fabulous location near recently renovate Royal Festival Hall South Bank -- close everything sort transportation option . hotel bit spartan amenity ( terrible dim lighting , alarm clock , barely toiletry ) staff pleasant , room clean ( London ) almost spacious , 's lot neighborhood noise night . note internet user : WiFi service offer hotel outrageously expensive . alternative , pop across street Ned 's Noodle Box , buy beer sit table -- Ned 's WiFi hotspot free . 
 Jun 19 2007 	 good location west end Waterloo 	 stay night travel Disney Paris . the hotel great location , right next London eye . the downside room small , air con room breakfast extra . its great value want bed night close busy west end you . a short walk bridge get tourist area London . its 5 min walk waterloo great Eurostar . Phil Cambs . 
 Jun 11 2007 	 Unexciting dependable 	 stay 20 time past couple year , first time ' ve review . reliable bet central location London good price . room bore hot noisy aircon adjoining building ( ask river view ) . clean ' ve yet find anything work . front desk service response customer generally good standard hotel ' ve always find plenty staff around help . bar / restaurant soulless smoky - change new law come . food nothing much , wander along South Bank restaurant / pub . , good night two max want close London Eye Parliament special break . 
 Jun 9 2007 	 right place stay 	 stay arrive Waterloo Eurostar , simply walk across road train arrive . having do find great location . hear Big Ben , spit London Eye want ( would ? ) easy access bus Tube . lovely walk bridge night . even go church Westminster Abbey Sunday morning ( really boring ... priest ! ! ) .All Premier Inns offer similar standard quite reasonable price . one advantage great location , take worry stay London . why London hotel not fridge not know , seem , one different . leave stuff want keep cool window ledge ! ! 
 Jun 4 2007 	 Location Location Location 	 18 year old son share triple room 5 night may perfect . book online pleased prompt response inquiry . the room large enough we explosion come teenager bag . from minute check - hollie reception friendly helpful , room spacious , clean , comfy decent bathroom great shower head . location great - across road Waterloo station work well come Heathrow - even well leave Eurostar Paris . County Hall wonderful historic building house several attraction Marriott . situate Thames next London Eye . area scenic quiet night . starbuck across street make nice start morning . walk Trafalgar , Leicster Soho along river way southbank area . I travel frequently business pleasure high standard come hotel . London one expensive city world 98 pound night - I m sure beat location , room size quality London . 
 Jun 4 2007 	 Great Location 	 family five spend three day London . three kid , 9 , 14 16 . great location could walk many site , catch one tour bus next Hotel , stroll along river people watch . tell take two room , make rather expensive could not locate anything rack rate 99 pound per night per room . room clean large . fact , think could easily squeeze five us single family room . though present issue . the staff not particularly memorable , breakfast adequate . but night , outside hotel boardwalk Eye London look across Westminster Bridge Parliament Big Ben light , say , location everything . 
 Jun 3 2007 	 Outstanding Stay 	 first stay Premier Inn County Hall , London recommend hotel enough . we arrive hour early allow get room early . reception staff friendly helpful nothing much trouble . my wife , 2 child stay family room clean high standard , plenty space we . staff give friendly hello make feel welcome . the breakfast £ 7.50 adult child eat free , serve much want child eat free . food high standard delicious . dinner hotel also delicious highly recommend . hotel stone throw away London eye view Thames . this hotel wonderful , safe , clean friendly place stay London . 
 Jun 1 2007 	 Nice bargain 	 stay Easter break wife 2 child . basic , bare bone hotel , pretty much expect . room clean quiet . & quot ; family & quot ; room consist double bed , day bed , mattress floor , however . quite expect & quot ; family & quot ; room . staff uniformly friendly informed area . give wrong address theatre almost miss show ! overall , reasonable place family trip primarily cost location . 
 May 31 2007 	 need 	 stay , first choice return visit London . arrive 1.30 Sunday afternoon Bank Holiday weekend room ready able check straight away . receptionist friendly deal arrival efficiently . we 3 room total request , close together . room may simple , adequate always , clean . as big breakfast eater , breakfast hotel , £ 7.50 head excellent value London , especially child eat free . however , breakfast bagel bagel shop opposite hotel entraance want . we stay one night , train home not 7 evening . hotel happy look bag ( five ) day collect way station . oh yes , location , anyone mention yet ? within easy reach Westminster underground Waterloo station . right next London Eye , specifically trip , Star Wars Exhibition County Hall within walk distance ( weather ok ) west end - cross river Hungerford Bridge . unless look specifically luxury , County Hall PTI would always first choice hotel London . 
 May 31 2007 	 great family 	 ' fault staff happy friendly . breakfast bargain £ 7.50 per adult , eat much like kid eat free ! evening meal reasonably price too . there quite little restaurant nearby also . room spacious compare family room stay double bed , single bed sofa bed . room quiet windows sound proof , disturb outside noise . very convenient location around corner London Eye tube station minute walk away . 
 may 31 2007 	 fantastic location noisy room 	 stay three night Premier Travel Inn . ProsThe location beat , right next London Eye north end County Hall . short walk across bridge Westminster short tube ride main sight . Westminster Pier opposite Waterloo Pier Eye fantastic boat tour Greenwich ( well worth ) . big Bus tour go end County Hall front Marriot . we able check arrive midday staff helpful friendly . seem flexible room leave luggage check keep explore final day . £ 99 per night good central LondonBreakfast buffet style food good , also bagel shop opposite entrance good always seem run ingredient there . ConsOur room face inner courtyard dirty semi - derelict looking . unload supply hotel every morning 7 am even early . stress loud . Monday bad decide stay Tues Weds awful - loud rock band bad thunder . get early ask move room able lie . room 365.The lift also real problem morning - two three work always long queue . stairs wierd . overall - brilliant location ask room overlook green Eye . 
 May 31 2007 	 great place family 	 excellent option family visit capital . room clean , quiet good size . location superb - 5 minute walk Waterloo tube , 10 minute walk Trafalgar Square . shadow London eye , great place short stop London , fantastic value . stay 2 night 2 child ( 10 & amp ; 7 ) could fault anything . took ' all eat ' breakfast £ 7.50 per person child eat free . , food lovely , good choice fault . number one choice future stay London . 
 May 30 2007 	 would not stay anywhere else London 	 stay 3 time already book summer . fabulous location , nice building , clean friendly . nice bar restaurant . great value money- always first choice stay London . 
 may 29 2007 	 perfect Hotel ! 	 3 small child , need large hotel room , hard find Europe ! friend recommend chain , LUCKY get room County Hall . absolutely fantastic ! first , location right next London Eye , next Westminster Bridge . family room LARGE CLEAN , GREAT Price ! bathroom immaculate . breakfast deal .... ' ve pay twice much hotel chain . staff incredibly helpful friendly . around great experience . I definitely check hotel chain first future hotel search . definitely stay location futue trip London . 
 May 25 2007 	 Best Deal Town ! 	 family ( 2 adult + 2 teenager ) stay 2006 way Paris via Eurostar . Eurostar leave Waterloo station basically across street ! arrive dinner , sleep , wash , eat breakfast across street Paris , worry , problem . service super ! room basic , tv & amp ; clean ensuite ! time go outside see Big Ben lite night . beautiful ! ! ! stay next month . 
 may 19 2007 	 review right ! 	 good location . basic clean ! location , location , location . shower awesome water power temp . book ask jubilee garden view - we know kind view tell we booking . book early good rate . stay Sunday nite get London Eye ride cruise tix free . 
 may 11 2007 	 pleased 	 first trip London 3 night stay hotel Bank Holiday weekend . staff friendly helpful room clean spacious . ask room view garden 405 not disappoint . breakfast hotel may little overprice £ 7.50 , plenty choice quality good . child get eat free . location excellent , London Eye County Hall attraction doorstep . lot walk make use tube link Waterloo Station , less 5 minute away . we would recommend hotel stay next time visit London . 
 may 8 2007 	 Perfect place stay London 	 return hen weekend stay hotel 2 night . problem thing impressed was1 staff friendly polite.2 large clean room bar area.3 central location lovely view London eye also thame . stay may Hotels stick middle busy street nice lovely walk could view also central Covent Garden . do breakfast would eat much justify7.50 around hotel lovely place eat breakfast . I return hotel good value money . 
