San 	 love location hotel along service inside outside room . great able get everywhere want go walk front door . people hospitable . 
 good hotel good location 	 7 night Westin . begin think 5th floor really noisy SF downtown hotel , relatively quiet . ourse hear fire fighter regular tour downtown . also applicable & gt ; 30th floor . the room stylish roomy . even healthy stepper thing locate next floor ceiling window . nice , clean bathroom well . bar restaurant also nice , rather expensive . 
 Aug 7 2006 	 4 Star Hotel 	 hotel 4 star service hotel . wait room make available upon checkin . upon get room find 1 king bed , request 2 double bed . take massage hotel 's gym mistake . massage room locate room middle small gym every noise gym hear - relaxing . note send hotel manager stay express dissatisfaction never answer . morning breakfast buffet 4 star overpriced way chocie . hotel ideally locate valet parking quick efficient . 
 Aug 6 2006 	 pleasant surprise 	 book Argent priceline $ 100 night . booking , start read recent review nervous staying , already paid try . send email ask bay view room price pay not really hopeful . receive speedy reply would try meet request . arrive 10:30 pm . even though late , front desk clerk friendly . room 30th floor amazing view city bay ! floor ceiling window awesome ! every employee go way helpful friendly . door man chat day offer give help need direction suggestion . never open door . bell staff attentive helpful though pushy . wonderful stay . 
 Aug 3 2006 	 okay price 	 book website , name wrong arrive ( weird ) , could not find reservation give confim # . minibar 1/2 fill water bottle previous guest . booked executive king , get delux shower two double - adjust rate . would book , well hotel central . 
 Jul 12 2006 	 Great Location good price 	 recently go SF one night vacation . friend book hotel , telling & quot ; 4 star . & quot ; I ve stay pretty shoddy 4 star , location SoMa disconcerting . however , upon pull Argent , amazed friendliness staff , eagerness help every aspect trip . the room pretty standard , well stock , well appoint . however , hotel , find accumulation dust out - of - the - way area . rest room spotless , view quite pleasing . location Argent , 1/2 block market , make get around city cabbie convenient . I would reccommend Argent anyone travel SF , would definetely stay ! 
 Jun 19 2006 	 never 	 pain recommend place , use think one well - run independent hotel SF . stay business time , recommend friend associate , even surprise birthday party wife ( book room parent & amp ; good friend weekend ) .I ' ve happy stay Argent last couple year , ' m definitely go back . place start look & amp ; feel run , service , especially front desk staff , borderline rude . first time happen willing give second chance , past history , incident happen last month decide never go back . not appreciate make reservation non - smoking room w/ king bed , be available smoking room w/ 2 twin , ' m blame book Orbitz Travelocity ( will not use either site anymore either ) . apparently book aggregator web site hotel not care get ask , not care ' ve spend thousand previously . 
 Jun 19 2006 	 careful hotel ! 	 would avoid place . disturb hotel want help police investigation . my weekend stay ok . service hotel average verge terrible . room nice . could never reccomend place anyone.http : //www.sfgate.com / cgi - bin / article.cgi ? f=/c / a/2006/06/19 / HOTEL.TMP 
 Jun 6 2006 	 Four Star ? 	 hotel fine . location good . thing suprise four - star hotel : * stain bedspread ( obvious dark stain three place ) * stain neckroll bed ( , obvious ) * stain carpetother stain , feel room clean . everyone friendly . I say pay $ 15 / day internet access four - star hotel bit suprise . however , stay touch pay . $ 229 run - of - the - hotel room another $ 15 internet . wow . if place rate three - star , would give four . 
 May 23 2006 	 ' m move ... 	 will start positive . staff ( particularly & quot ; grunt & quot ; : maid , etc ) friendly helpful . not find check - in people particularly pleasant , maybe stress . room clean location great . short walk cable car , bus , BART station . love area SF.The downside cost . pay $ 170 per night 4 night Travelocity . want internet access ? be another $ 15 per day . parking ? $ 40 . would think amount business traveller must get next door Moscone Center would cater somewhat demographic . price charge would think could throw internet rather try wring every last dollar . go back SF June , will look somewhere else stay . 
 May 9 2006 	 think 	 begin say ' m generous give hotel 3 star room end free upgrade one deluxe room 31st floor , settle , not bad . view fantastic . everything else however , much . the guy check we decent fellow , certainly kind person alone man front desk hotel really want win heart mind San Francisco visitor . book room whim via Priceline get pretty good deal thing consider , honestly can not see people see hotel . must mark little ' price - line ' dart walk door signal staff rude completely ignore we . ironically , we avid traveler people tell people thing like ... umm ... hotel . the restaurant seem overprice faux - fancy meal staff overall friendly bunch 10 year old lose baseball game . also tell 3 time not expect receive great room next time come . well , 3rd time , assure need worry , would not back . in city amazing San Francisco many great place stay welcome open arm , matter much pay room . 
 May 5 2006 	 Great Business Trips 	 San Francisco attend trade show Moscone Center choose Argent close proximity moscone . overall great experience . room attractive bed comfortable . Argent also walk distance major shopping area museum . complaint wall little thin meant conversation take place hallway broacast loud clear room . would recommend Argent business traveler neccesarily romantic family trip . 
 May 5 2006 	 someone else 's underpant Argent ! 	 boyfriend tell good thing many time stay hotel , curious find myself . upon arrival , people reception friendly , check - in go quickly . receive one corner room , away elevator , floor ceiling window . small detail not make room look fabulous ( thorn curtain , burn stain sheet , thorn carpet , ... ) overall look nice not complain . bed good bathroom clean . on first morning open one pair curtain leave pair close . arrive back room ( housekeeping go ) curtain exactly left , stay like 7 day spend . third day move chair stand corner middle room ( see whether would put back ) , nothing happen . but nothing compare last evening : pack , find pair underpant floor walk - in closet ( carpet , normally place least vacuum - clean ) not belong boyfriend ! completely stunned , call front desk complain . answer receptionist remark complaint house - keeping : & quot ; oh no . & quot ; transfer call house - keeping , explain problem ( hear laugh phone , professional ) , thing say : & quot ; think lie week ? ( * * care , not want underpant someone else bedroom . ) would like someone pick ? & quot ; excuse , nothing . needless say not think hotel worth money , definitely never stay . avoid place ! 
 Apr 24 2006 	 Quite Nice Place ! ! 	 S.F . 4 night meeting event hold Argent . everything great . ask room overlook bay give room 34th floor - could see Golden Gate Bridge , Bay Bridge , Alcratraz Angel Island . nice king bed , wonderful decor . nice bathroom . other suggest , tv small - not watch tv . great experience . would choose hotel return S.F . future . 
 Apr 23 2006 	 Argent go downhill - watch ! 	 stay Argent time visit , great hotel good location grow use , fault . however last visit ownership change go downhill considerably . change room couple time problem elevator noise clog sink . thrid room finally end small corner room barely allow we space get around luggage . figure since book expedia not give we choice nice room . the usually terrific staff cut bone . never bellman visable desk entire weekend concierge bad ' ve ever come across . ask reccomend restaurant hand we outdated list so - so place tell we call ! service eager provide city tour . must ' ve ask we half dozen time book one , even tell have city numerous time . & quot ; award win concierge team & quot ; advertise . room service food late cold . dirty tray sit outside door late evening , along numerous other . be go ? hotel use nice , . come SF times year go another hotel future . would advise everyone . 
 Apr 18 2006 	 lose heart ........... 	 read review worry book hotwire UK . main complaint seem tv - sorry San Francisco one beautiful city world worre size tv ? ? ? ? ? ? ? maybe british can not understand one ! travel family ( 2 adult & amp ; 2 kid aged 12 8 ) love . call ahead direct hotel high floor room & amp ; end 25th floor view bay soma . Argent welcome place great bar , decent sized room , bathroom clean plentiful shampoo , gel etc . Valet , checkin - really friendly give great advice ( ' ve appreciate update ) . Location surely beat . Argent change owner know may happen next however experience v good advice would go ! 
 Apr 12 2006 	 Loved Argent ! would come back ! 	 husband arrive Argent Sunday 11:30 a.m . bit wait , since people check . explain flew need go right away conference session Moscone , problem check early normal check - in time . & quot ; discount & quot ; internet hotel reservation customer -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- winning bid $ 125 per night Priceline , read numerous traveler ' review Argent . since seem , even discount , might still able nice room high floor ( accord review somewhere 12th 15th ) . take early flight ( NY SF ) avoid late arrival , late check - in , unsatisfactory room assignment . a nice , soft - speak lady name Kathy greet registration front desk . look name , ask possible husband get something floor high . ask whether preferred King two Doubles , pick King , without problem put we 15th floor ! suggestion , try well avoid late check - in . size room -- -- -- -- -- -- -- -- traveler say , lie bed , could literally reach television toe : - ) anxious find room look like . open door card , WOWing ! corner room , small ! ! first thing catch attention floor - to - ceiling glass window ( advertised Argenthotel ) , view , look neither Bay Bridge Golden Bridge , quite amazing well . highrise building block away ( direction ) , pretty sure high floor could get well view maybe bridge , overall 15th floor already block adajacent across - the - street building . room layout , please see picture attach . ( think picture still show size room great . ) limit sense direction city never , Room 1524 likely face northeast . also , open door , could see room 15th floor like square layout . ( e.g. , Rm 1507 ) seem large corner room ( ) , seem double bed . internet access -- -- -- -- -- -- -- -some previous review complain Argent charge $ 13 per day internet access . interesting enough , friend mine stay nearby hotel tell we able pick signal street , ! Rm 1524 instance , signal bed , yet remain rather stable desk window . the concierge -- -- -- -- -- -- -The concierge Argent provide complimentary boarding pass printing ( e check - in ) . know make phone call front desk inquire whether charge document - print service . what lack -- -- -- -- -- -- -- -A swimming pool , since Argent say 4 - star rating ! , one funny thing , hotel provide shower cap . probably hairdryer people wash face : - ) Transportations -- -- -- -- -- -- -- -i believe people homework go San Francisco Bay area , yet still highly recommend pay $ 11 ticket station ( Powell @ Market Street ) one - day pass , allow travel bus cable car . ( $ 18 two - day pass , etc ) . 
 Mar 9 2006 	 disappointing 	 return SF yesterday . suite good view , decor barely step day Inn . bathtub builder 's grade tile , example . someone else mention , tv screen small far away bed . ask maintenance come move close bed , sit five - night stay tv cabinet move five foot away wall toward bed , could see . ( hey , watch Academy Awards . ) room service food great . room service open 24 hour . would deliver paper door morning ( although downstair . ) 's sundrie shop . temperature room often cold could adjust properly . 
 Mar 3 2006 	 good experience 	 reading review , expect bad , quite different experience . Rode BART get Powell Street . hotel couple good sized block away , problem two large suitcase . 's downtown area , street folk live make life interesting . check - in non - eventful young lady quick courteous . get 12th floor room quite roomy . & quot ; complaint & quot ; tv tiny tough view bed , ample room us suitcase . bathroom nothing spectacular , clean towel decent . view Moscone Convention Center . since go spend next 3 day , actually pretty good view . spend $ 160 per night . discount due Fancy Food Show block rate . not dine restaurant hotel . pricy . lot great restaurant nearby . if get good price , qualm recommend hotel . 
 Feb 12 2006 	 smoke mirror 	 Shabby , despite glossy lobby - room stain cover bed , knock - up furniture , mold bathroom wall ( mismatch tile ) , large stain carpet . first room ( room 17 number ) apparently back service elevator shaft , , name suggest , service night - entire room shake ! second room well , front desk staff accomodate enough , one ( even deaf ) put room without forewarn ! friend 's room similarly wear tired , barely big enough turn around . 
 Jan 4 2006 	 not expect much 	 stay 7 night , plus hotel location . room 4th floor , one available say , overlook fabulous concrete car park opposite hotel . room far small hotel boast 4 star rating . dodge park car entrance exceptable . sink crack , towel far small toileterie supply ad hoc basis . overall 2 star rating would suffice hotel . would avoid hotel visit SF . 
 Nov 4 2005 	 wonderful hotel great location 	 recent stay 5 night everything want clean , decent , business - class hotel great location ( short walk Union Square . ) Argent feel comfortable nearby Marriott , feel like Grand Central 's busy . room 24th floor feel spacious , even 2 queen bed ( ' m sure folk 31st floor review disappoint , perhaps room small reason . ) nice view floor - to - ceiling window even - number side hotel downtown beyond . excellent housekeeping amenity typical business - class hotel , e.g . coffee maker , comfy stylish cocktail lounge , fitness room , etc . the staff uniformly friendly , helpful , welcoming , knowledgeable concierge service chamre , friendly doorman ( & quot ; Slumming Gumps , lady ? & quot ; . ) ( be nice middle - aged lady , maybe remind Mom . ) ' ve visit San Francisco time business leisure , stay number hotel . ' ve stay would stay . excellent price / value . ' not far walk many attraction -- Moscone Center conference , Union Square , Ferry building , soma , cable car terminal , etc . minor flaw : ask robe , even though early email confirm robe would room . wre promptly delvere . lamp dress area miss , make area dark . ' m sure replace soon . 
 Oct 20 2005 	 Argent : B+/A Service : 	 stay Argent Hotel 3 night part ten day tour California . receive red carpet treatment stay . not know part large tour group cause we receive & quot ; VIP & quot ; service , experience seem much positive reviewer . we arrive 11 a.m. cross - country flight . fully prepare drop luggage hotel entertain 3:00 scheduled check - in . surprise , room ready permit check - in immediately . yes , room small , hotel view immediate area , & quot ; condense & quot ; middle downtown San Fran . we terrific bay view 29th floor decor update contemporary . Eric , one concierege , rock ! able procure reservation we prime time two highly desirable restaurant . try get one spot , tell waiting list eat & quot ; month long . & quot ; definitely go extra mile make stay unforgettable ! hotel dining room average food okay service - typical hotel fare . many restaurant within walking distance , many choice try eat premise possible . overall - room small spiffy staff go beyond make stay relax special . 
 Oct 5 2005 	 small room ... overall OK hotel 	 go San Francisco several time lifetime want try new hotel . much research settle Argent location BART station , proximity Union Square Chinatown , good review Trip Advisor . really question decide try something else moment walk door . nobody offer help we bag seem odd whatever . make way check - in counter . two people front wait line . appear together look quite puzzled . wait 10 minute nobody front counter help we , fear puzzled look face . finally ask long waiting ... 1 say 10 minute simply say long . boyfriend take tour rather small lobby area see anyone work evening offer bag empty counter check . find someone must make call someone come little office adjacent check counter . look woke nap . finally help 30 minute wait gentleman check we quite nice still look little groggy . room ! think ... get better . well , much turn . room small outdate . 3224 offer decent view plus room . completely agree reviewer say possible change channel toe bed small . worth note consider & quot ; upgrade & quot ; room deluxe . three category standard , superior , deluxe get suite category . deluxe good standard speak . would hate see room . closing , pleasant experience doorman way town two time . nice . know night come . far well hotel SF price one . return Argent . thank goodness many choice stick sub standard hotel . 
 Oct 1 2005 	 tiny room 31 floor San Francisco 	 Aregent Hotel build 1983 Air France perhaps room hotel European ( small ) . joke need remote control tv could lie bed change channel toe . bath small basic . rather fortunate view . first room give corner one ( even small ) 12th floor ; reeked smoke . refuse give room 3110 31st floor smoke free . great view city , Union Square , part Oakland Bay Bridge one Tower Golden Gate distance . fog roll interesting watch . room service breakfast much well jester downstairs . eat breakfast Jesters one morning . toast beyond ... first effort simple wheat bread send back return burn . staff friendly helpful . people group agreede we Aregent good location real disappointment . 
 Sep 21 2005 	 nice nothing spectacular . 	 stay Argent first hotel honeymoon start tour west coast America get marry obviously excited hoping get really nice room . check 8 pm really long day travel UK guy front desk ( Jean ) soooo rude - could not get rude . husband actually say - & quot ; sorry put & quot ; - check huff puff generally communication skill . impressed first encounter ! ! room nice , bit date fine . honeymoon not want fine ... consierge helpful make we feel well hotel . portor door staff also fantastic . room service food lovely overprice . lot business conference go feel like personal attention not important guest . location hotel perfect - minute walk Union Sqaure cable car station take Fisherman 's Wharf . stay fine want first night marry couple . San Francisco amazing though ! 
 Sep 19 2005 	 Business traveller 	 stay Argent September 11th-14th , attend conference hold . rooms - average - nothing really luxurious . see couple different room - room set seem quite varied . conference FACILITIES - room cold ! lunch good , although morning afternoon snack varied day day - sure result catering , conference organizer . location - well situated downtown - less 5 minute walk Union Square - $ 10 - 15 cab fare Fisherman 's Wharf . service -no problem check - able really early check - in . room service phone charge bite outrageous . consierge overly helpful - end go consierge different hotel get help . overall - agree last review - hotel gear business traveller . likely would not stay unless conference attend , 
 Sep 14 2005 	 not feel friendly 	 hotel good , room fine , location grand , resurant nice , overall feel place cater business people large group not interested particularly tourist . maybe 's 's large hotel large city , make feel welcome / at ease - almost look nose . particular incident support , get overall inpersonal service , would expect 4 diamond hotel . I would recommend hotel business traveller couple tourist like . 
 Aug 29 2005 	 Underwhelmed . deserve 4 star / diamond . 	 bit overrated , hard mattress side Mississippi . Front desk understaffe . one overwork , over - stressed worker check people , 7 people line wait . occur 8 pm , midnight ! obviously , friendly . many tour send guest . not expect 4 star service . one good point , lobby sleek clubby . unfortunately , room date , shabby , stain . bathroom feel like Residence Inn . 
 Aug 16 2005 	 Fantastic 	 stay hotel four night towards end round world trip . moment arrive morning depart , delighted hotel courteous helpful staff . attractively furnish room comfortable , beautiful view park city . find location ideal shopping , restaurant tram ride bay . dinner dining room breakfast twice enjoy good food service . stay rounded nicely trip airport one hotel limousine . 
 Aug 15 2005 	 nice visit 	 check Saturday around 4:00pm . without even ask upgrade 36th floor . wonderful surprise view good . could see part Golden Gate bridge , view Alcatraz neat . quiet hotel good hotel I . we book Expedia get good rate . would defintely come back . 
 Aug 12 2005 	 Room service closed day 	 stay Argent last month dissapointe several thing . convention across street Moscone come back room around noon conference call . call room service tell open lunch breakfast dinner . therefore rush next door liquor store buy sandwich . unacceptable 4 * business hotel . next day late meeting decide go breakfast run around 9:30am . tell restaurant close would not reopen 11:30AM . , unacceptable . Fedex try deliver package pre 8am delivery , noone present loading dock . next time stay round corner Marriott . 
 Aug 2 2005 	 Boutique style fairly nice 	 corner room , high , nice view city . fairly close Union Square financial district . ok check , nothing friendly , accomodating . marble - style lobby lot black brown . room usual amenity , quiet , bathroom nice . room good shape . not eat restaurant . hallway bright . elevator quick . decent gym . overall , good stay . 
 Jul 30 2005 	 great view location ! 	 reserve hotel priceline pay $ 150 night . stay 3 night July . satisfied experience Argent . husband come San Francisco vacation , even though Argent seem business hotel , great tourist well . starter , location unbeatable . able walk great cafe 's breakfast ( cafe venue boudin ) . conceirge 's provide we helpful restaurant recommendation direction sight . hotel clean staff friendly helpful . upgrade 19th floor great view city ( extra charge , though ask ) . bed tolietrie complaint -- bed room hard uncomfortable pillow small . not good shampoo , soap , conditioner . feel hotel would appropriately consider 3 1/2 star hotel lack plushness amentie 4 star hotel . price , location , service , get good price room , be worth stay . 
 Jul 12 2005 	 great location good value 	 ' ve stay twice ; business last summer , July 4th weekend year wife 20 - month - old daughter . choose Union Square boutique hotel usually frequent couple reason -- location ( close Yerba Buena Gardens carousel , half - block Market convenience street car , etc . ) , size room potential decent view , fact offer decent holiday weekend special rate . despite booking via hotel , trouble get 23rd floor room . bit close elevator , complaint elevator hall noise . room , expect previous stay , large affordable Union Square hotel -- important consideration toddler tow . floor - to - ceiling window afford nice , unspectacular , view Yerba Buena Gardens , SBC Park , bay beyond . elect skip crowd Pier 39 firework Fourth , get see least five different firework display different area around town window -- pleasant surprise . the room appointment perfectly acceptable clean ; fabric chair show little wear look carefully , clean stylish . in - room safe provide convenient place wife park purse small expensive item purchase there . I ' ve never occasion try onsite restaurant , Jesters -- be pricey , not seem like someplace would deal well toddler . plenty place eat nearby , see SF , hole hotel day night . in - room internet access $ 14.95 / day , high ' ve see anywhere country ( include several Manhattan , Boston , Chicago hotel ) . way , good thing , since decide not worth good excuse ignore e - mail duration . phone charge also exorbitant , discover first stay -- cell phone battery die have forget charger , use room phone couple local call toll - free conference call , altogether cost nearly $ 100 . not make mistake time . since ' ve sf least two dozen time , often week time , last 15 year , know way around know . give , since not try show , occasion consult concierge -- find whether cable car schedule different Fourth July holiday . not know , distract particularly friendly ; otherwise , staff least cordial case friendly . if usual accomodation four Seasons , Ritz - Carlton , Hotel Nikko , Pan Pacific , like , will probably find Argent bit come - down . not character Prescott , affordability Andrews . room size location among prime criterion , definitely give consideration . 
 Jul 6 2005 	 like 	 could , would give Argent 3 1/2 star . since not option give 1/2 star , give 4 . boyfriend would give 5 hospitality , compromise . room average . corner room set little strange find bit small . tell check - in , good guest room . tv exactly right front bed , little left bed . find bit difficult watch tv lay bed . bathroom small , water pressure low . like hotel downtown , matter high , still hear loudness city ... despite comfortable bed , difficulty sleep due noise : police sirene , church bell , etc .. however , employee friendly helpful . give service : 5 star . stay also make easy go place ... block Union Square , couple block Metreon , SF Shopping Malls .. problem find thing ... recommend hotel . 
 Jul 1 2005 	 Disappointing 	 find Argent Hotel ordinary easily forgettable . bedroom adequate , bathroom tiny outdated bathtub small normal sized person would difficulty fit in . we read report tripadvisor member room dirty , could fault cleanliness . the public area nice location good , be . viste San Fransisco , would stay Argent , would check Westin St Francis well location ( overlook Union Square ) much character . 
 Jun 29 2005 	 worth price 	 stay Argent hotel 22nd June 05 4 night . request king bed high floor room , speak reservation dept two separate occasion regard request . displeasure check extremly hostile lady proceed advise us company book room room 1st-7th floor pay discount rate . since work particular company , appal would tell customer . offer infomation hotel I m convinced give we one bad room . room 5th floor overlook moss cover roof car park , depress say least long journey busy schedule stayed put . aside view , carpet dirty , bath stain mildew long black hair . carpet corridor filthy . next day ask room available offer 9th floor next elevator , refuse . point decide unpack worry . staff mostly snobbish rude , like work Argent give kind status . price outrageous concierge staff distract lukewarm . location be not bad , since main reason book hotel floor ceiling window offer great view , without view poor attitude staff , really worth extra money . 
 Jun 1 2005 	 dirty tired unfriendly hotel 	 stay Argent May 2005 find 1 . absence valet assist rental car , 2 . absence bellman assist luggage attempt check 10 pm , 3 . front desk staff un - attentive un - aware layout hotel give room connect door request connect door far elevator 4 . room service available 9:30p -- check - in hotelthe room small smelled smoke , plastic -- - . hair floor bathroom view alley . connect door sound arguement next door . when go back front desk ask different room , tell room available smoking floor . go smoking room , find room smell first room . the hallway hotel dirty ( dust , wall stain , scratch ) , room poorly design could see tiny tv bed , pay - per - view movie terrible quality . call front desk ask removed bill hope quality movie would improve tell would remove . the bed ok . bathroom small without amenity luxury hotel ( i.e . conditioner / body soap , shoe shine kit , sewing kit ) . room unorganized power chord show . good thing hotel floor ceiling window ( show fingerprint smudge mark ) .I charge $ 15 internet connection , wifi available . breakfast morning Jesters restaurant mediocre ( good ) wait breakfast table almost nobody restaurant . I never stay Argent hotel again . the W , 4 season , Marriot , Palomar Palace hotel 1 block away know take care guest . 
 May 18 2005 	 snob ? 	 stay Argent Hotel business trip weekend May 15 - 17 . one block Moscone convention center near many great restaurant . read review know consider upscale 4 - 5 star hotel . see pictures website think look like go great . obvious hotel remold update modern furntiure decoration . however arrive room , furniture decoration , modern bad condition . beautiful mustard color high back chair sit noticeable dark area people would rest head . carpet dirty , armoire door break , mark leave suitcase know else wall . simple touch paint could leave much well impression . bathroom bad , tub stain brown , shower curtain old stain . good note , service good , concierge helpful location great . price decent San Francisco . view room also spectacular . look luxury experience would go Ritz Carlton Four Seasons ( block hotel ) . good get deal , not expect good life experience . 
 Apr 26 2005 	 Great Value good location 	 little leary review . got great deal via internet booking . arrive late upgrade 30th floor great view large room . quality consistent hotel class , location great . get good internet deal , not worry book . service average , case not vacation hotel staff , long clean room check fine care get good deal . note , parking area disaster . get stuck drop area due congestion . find well alternative hotel parking . parkade right across street . 
 Apr 25 2005 	 freindly service mediocre room 	 spend weekend Argent mid - April 2005 . pleased courtesey hotel & amp ; valet staff . somewhat disappointed cleanliness room , carpet could definately thouroughly vaccume . book Asian Art Museum package & amp ; upgrade & quot ; Superior & quot ; & quot ; Deluxe King & quot ; , difference two 1 . king size bed oppose two double bed , 2 . get room & quot ; view & quot ; look Yerba Buena Gardens & amp ; Metreon complex . glad booked room high floor , layout City , little see low floor . room service prompt & amp ; friendly , little pricey , even us 4 & amp ; 5 star taste ! ! received good deal purchase Asian Art Museum package , room alone would normally cost $ 300- $ 500 , spend less $ 300 room , valet parking , museum admission , dinner & amp ; room service breakfast . way , & amp ; slightly subject , Asian Art museum beautiful , & amp ; definitely recommend visitor San Francisco , anyone intrest Eastern history & amp ; culture . 
 Apr 3 2005 	 luxury 	 first trip San Francisco great , minus hotel room . book 3 week arrival , arrive , inform king / deluxe room request not available ( remember book 3 week ahead - weekend getaway special ) partner would access room 2 double bed could ask next morning finally king room available . when get room . view spectacular , room not ' deluxe' . there chip wood take light fixture , tv tiny horrible reception channel , bathroom one tiny bar soap ( sink tub ) , bathtub difficult get be 5 ' 4 & quot ; .... etc . none would deem ' luxury accomidations' . btw , never request room origionally book . mexican Soccer Team weekend , afraid put room either rowdy floor , beside ice make machine . the view decide factor . I friend want visit San Francisico future , unfortuantly , Argent Hotel list place stay , ' m afraid . 
 Mar 31 2005 	 enjoyable 	 stay Argent 3 night . property well maintain , room clean spacious , staff friendly overall experience pleasant . would rate experience excellent take aback thing . parking $ 40/ night , price Jester 's Restaurant ridiculous ( $ 3 cup coffee , $ 4.50 O.J . $ 15 couple egg ) consierge ( John ) great . travel son 12 & amp ; 15 's expert kid S.F . not mind gouge incidental get decent rate 's great place stay . btw , forget hotel worker strike , non event . 
 Feb 23 2005 	 pleasantly surprised 	 stay labor day weekend 2004 , find good price internet , really pleasantly surprised nice . already know area , live SF previously , never aware hotel . find staff friendly room plush -- huge nice detail expect . upgrade free room high floor nice view great big floor ceiling window . would definitely stay highly recommend great value price . 
 Feb 9 2005 	 would not call luxury hotel .... 	 review opinion Argent 's website , fully prepared conference stay weekend January 22 . conference rate expire book , force get standard room exhorbitant room price , line neighboring luxury hotel . email reservation department low rate , never respond . read other ' suggestion , request upgrade room category view oblige , put room next elevator , noisy . go back request another , oblige , nice . 19th floor , believe , limited view bay . hotel would like luxury , quite yet , devil detail . scuff marks wall door , poor paint job everywhere yes , shower cap . laundry bag actually plastic grocery bag . robe room , not . reservation agent oblige concierge absolute good . location hotel nice walk bay [ walker runner ] prime spot , 's short bus cable car ride anywhere . room service price expensive . breakfast , buffet $ 16 , not get even 5 minute early , hostess seat officially open . one thing not like two morning straight , argue loudly wait staff table , elicit stare . big detail , would stay elsewhere . otherwise , great spot get deal room . would not pay $ 159 unless travel reimbursable . room $ 209 much . 
 Feb 1 2005 	 fine 	 deluxe room 28th floor splendid view south bay , comfortable room , check gaudy overdone & quot ; boutique & quot ; hotel Geary 3 night , much decor really need room stayable , interestingly instinct Argent good & quot ; tie & quot ; De Vere Hotels UK , two week ago stay 5 night De Vere Cavendish London think good hotel stay twenty year visit London , Argents location fine short 5 block walk theater etc Geary Union Square , event much downtown SF , unlike LA ! 
 Nov 10 2004 	 not check - check 	 also come back visit San Francisco stay Argent . the strike ongoing stay disruptive . could not dine resturant go door without hear / see protester . the hotel moderate frankly disappointed . especially see website read previous review . Most staff strike hire temporary skeleton staff . our room 30th floor even far could hear protester outside shout . the room could cleaner get impression bed change daily . the resturant average feature set menu day stay . think award win chef must also strike ! ! entertainment within hotel - despite say website . felt threaten go outside hotel night lot homeless people area . my advice ' not check - check ! ' if go San Francisco stay Argonaut Fishermans Wharf - area really pretty plenty nice resturant / bar immediate vicinty . 
 Oct 29 2004 	 Disappointed 	 wife stay Argent Oct 4th-10th combined conference / vacation . inform hotel worker strike lock . arrive airport greet picketer bang drum yell us & quot ; check , not check & quot ; . every day 8am-10pm racket deafening . hotel staff work seem unapologetic little interest make stay comfortable . room service available , though happy give we menus local take joint . housekeeping service horrible . call ask toilet paper tissue ( tissue box empty 2 day ) . not look like change sheet stay wrinkle hide underneath comforter , , way , leave note ask put bed , continually replace bed even tell wife allergic fabric . could never get anyone phone help we . would pass argent check make sure strike venture San Francisco . 
 Oct 7 2004 	 could nice stay 	 room clean comfortable , small . horrible view construction site roof build next door full bird dropping . yuk . ask another room , gross view , next door squeaky , loud freight elevator . front desk rude unhelpful , ask manager . Manager not much well . reluctantly give we another room face street loud . could not expect much quieter , guess . , front desk lose package husband deliver . desk person EXTREMELY rude , claiming never receive . husband confirm sender fact deliver , go back front desk actually look package . spot , front desk person annoy . apology give . staff friendly upon checkout . go figure . 
 Oct 4 2004 	 try good 	 town like San Francisco , brim high end hostelry , Argent work cut . five star struggle fourth star , humble opinion . though friendly competent , staff struggle rudimentary request . every phone call make hotel service unit go voicemail . wonder human left run hotel ? room service 2 5 pm , be ? new Four Seasons right around corner . look longingly room Argent . 
 Sep 19 2004 	 could not fault 	 great place stay . staff friendly helpful . place within walking distance everything great view room . could not ask well place stay really 
 Sep 14 2004 	 ok long Truly Four Star 	 Argent may one time true four - star hotel . however , case today . the Argent ok , one ask many year 's since last renovation . and beyond physical quality , really not like get morning finding , head shower , 's shower cap . the Argent ok -- .. case .. expense pay , would object stay ; , would go elsewhere . 
 Aug 30 2004 	 bad customer service 	 love Argent customer service suck . ' ve stay hotel several time time keep give second chance . ' m finally do . pay room advance arrive . depature date check gentleman front desk say do not pay . eventually settle matter happy get hotel . arrive home check paypal account guy run credit card 2 time & quot ; back office checking record & quot ; . luckly transfer money account . call complain say not anything could . gentleman desk sneaky . especially give proof pay room advance . 
 Aug 28 2004 	 ugly view -- complain -- move beautiful view -- happy ! 	 husband stay Argent 8/20 - 8/27/04 . check , young woman front desk give we room 11th floor horrible view two water tank ugly building . say would check back next morning see room available . want unpack luggage re - pack next morning , call speak man also work front desk . move we room beautiful view immediately , question ask . overall , enjoy stay . bed wonderfully comfortable , valet service prompt efficient . couple & quot ; dining & quot ; tip : go left hotel leave onto Market Street 7 - 11 ( 1.5 block ) . two donut dollar . huge , excellent apple fritter $ .99 . directly across Third Street Yerba Buena International Market , get excellent , inexpensive asian lunch buffet . 
