Broken 	 book hotel four night Sat 21 November , check tell boiler broken would stay another nearby hotel night . organise taxi take four we drive hour Quality Inn near Wembley Stadium . pay 4 star London end 2 star next door Wembley Stadium take hour get ! next day bunch people , book hotel own group across road - appear boiler break ! not get pick taxi 12.00pm next day , waste whole day 4 day break . people weekend , weekend spoil . hotel , find nice food really good . not believe broken boiler excuse - accord taxi driver - double book room time shift patron like around time . least put people nearby hotel , outside London . 
 great value ! 	 stay 3 night partner .. last minute book good price,225 GBP/3 night . the room really nice , big , really can not understand complaine size .. 's right size hotel room .. ( u will not take u guy , come on ! ) anyway , bed nice , decoration also , big flat tv opossite bed . the bathroom great ! even small flat tv want watch something be take shower .. maybe not high expectation , believe , u be extremely strange , u will love .. stay go back London .. 
 uncomfortable bed shabby furniture Free WiFi lobby 	 location WiFi good thing hotel . two different room - furniture shabby . hotel list remodel . year - 1990 ? bed uncomfortable ; could feel spring tick . service staff nice . put annex build street hotel first night . ask move room hotel solo traveler not feel safe unmonitored building . move follow morning . very close Earl 's Court tube station several breakfast shop . 
 Jul 5 2006 	 ruin London experience 	 good friend arrive hotel 11:00 Monday , stand reception desk 5 minute lady behind counter completely ignore we continue talk someone else phone . finally give we attention tell we room ready could come back 2:00 . finally check room take top floor , please note 2nd floor heat rise hotel , time 4th 5th floor , stand elevator hallway feel like sauna , probably 60 be outside . not worry , know air - conditioning . walk room first glance look pretty nice , close door , try unpack , attempt turn air - conditioner ( airconditioner huge machine 1980 's take entire window , mean WINDOW , VIEW ) feel claustrophobia begin take place . tell lady reception air - conditioner not work , lay two twin bed try take nap . probably least 85 degree room . get find help come accross sweet bellboy , come fix air - conditioner we . still room WAY small two PEOPLE . feel claustrophobic , literally stick attic room , window . like stuck INSIDE CABIN CRUISE SHIP . friend verge panic attack . decide go ask reception lady could move we another room , completely unsympathetic way , say . ask could move 2nd night , say . woman rude person ever come accross hotel travel . friend decide could stay even one night hotel went street check & quot ; budget hotel & quot ; turn MUCH NICER . big , window could actually see , helpful people reception area , real air - conditioning system . fyi : american traveler , good time visit England , every $ 100 get 44 Pounds . new hotel cost 90 Pounds . turn expensive trip , could not wait get heck . England beautiful great , must see , suggestion , go somewhere else get money , even Euro much well Pound ( $ 100 = 70 euro ) . look country England not convert Euro , like Poland Croatia , etc . decide go England , stay hogarth , plan spend lot money ! 
 Jul 4 2006 	 much well sister hotel - Hogarth 	 stay 4 night June . luckily , air con , well ppl like live Asia , plus ! free internet another big plus ! good location , 3 min walk tube Earls court . stay room mattress place floor like low bed , quite strange , otherwise thing good , well probably pillow bit hard . remember get room face underground b / c quite noisy . feel overall hotel good GBP69 per night include tax , breakfast anyway . would like see staff ( esp gal morning shift ) helpful welcome staff . guy night shift well . one thing feel satisfied - back door exit always open , thus ppl go hotel even without enter main door lift , weire scary , look safe esp night . 
 Jul 4 2006 	 never ever ever go Hotel ! ! ! ! ! ! ! ! ! ! 	 first review tripadvisor . I arrange hotel booking basis hotel review site . and case hotel . it mixed review want pick something bit lavish photo site impressse I . Big Mistake ! arrive pay 3 night cash front get credit card we . we also pay 20 sterling deposit night stay hotel . this result mean take extra 60 sterling give first day although get back day leave . we never inform prior go shocked hotel tell we new policy . the room nice full problem . the door bathroom hang door frame crook door would not actually close . the fridge keep press beside wardrobe press be not level fridge would not sit steady . also press ventalation heat fridge motor pretty shockin . consider beside door exit real fire hazard . our bedroom one window metre half wide . an a4 sheet paper stick cellotape say open . it looked realise whoever instal put hinge side window open in . so open window could not really walk around certain part room . the power go bathroom guest floor our . the happen next night . some light still do not work check out . the air conditioning resturant leak onto guest eat dinner below . House keeping would come around hung sign outside say room need service . and come take away two bath towel give we one share . on last day early morning , house keeping walk bed . not even knock anything . it highly unprofessional . also bathroom mystery . apart crook door , faulty light , lack towel , sink bath mystery . I science degree take even realise remove plughole . bottom line brute force . there mechanism move plug hole down . not even chain . we leave use hair pin . also take 20mins fill bath new age tap do not work . the pressure shower terrible . oh here mystery , beside bed two light switch one something . we still do not know one do . I say hotel though . they tv 's every room alas 7 channelsjust case think I m moan . I know least 4 party guest similar problem bad . be warn . 
 Jul 3 2006 	 Honeymoon Nightmare 	 admittedly , bad experience likely lead review site . still , folk deserve poor review get . thoroughly read review post book 5 day Shaft ( ) -bury honeymoon June . bad feeling read review , decide live little . heck ! honeymoon ( hopefully ) . thing turn well , dear reader . upon arrive overnight flight , power hotel . tell return later afternoon . , power back , staff not room we , number poor customer would book way ahead time well . ( online booking company use seem part problem , , btw . ) time struggle ( Mein Kampf ! ) staff , nonetheless , least 4 guest come desk complain vehemently number non power - relate issue . tell have move another hotel ( sort ; break english note taxi come ... ? ? ; figure rest luckless fellow traveller ) . point walk street another hotel -- rain , naturally . Earl 's Court plenty cheap , good hotel , however , luckily , competition room we -- well numerous tale rain - soak honeymooner similar mishap Shaft . ' m sure become refugee experience , poor soul , say service Shaft bad ' ve ever see . one could contact manager , manage refund ( go credit card company get -- hopefully ... ) , matter , front desk challenge job , put nicely . continue interrogate have make mistake booking room . right , ten people sadly gaze expected taxi . bright side , mine one review , location Shaft nice , young hip close Earl 's Court tube station . review appear get game together time least . love Earl 's Court , even cheap rate , could not recommend place ( like cheap ) . many hotel within block Hogarth Road tube stop rate pound two -- far dependable . renovation , schmnevation ; room guest overseas confirm -- snow job embattle foreign girl front desk Caspar , Disappearing Manager . this place could work , dear reader , be bizarre odd case , make heck ( honeymoon ) story . much well place price right around corner . Shaft may potential , certainly trust . Caveat Emptor ! 
 Jun 23 2006 	 quite 4 star 	 get pretty good deal hotel , 69 pound per night single room include english breakfast . stay 2 night . first night put nice double room ( 003 ) ground floor level . unfortunately airconditione unit room start leak point evening ( judge stain ceiling not first time ) . couple visit call reception , someone come look , could not anything . would put another room morning . time give single room ( 8 ) basement . room generally ok , think 4 star hotel ( hotel fact ) not put people basement , whiteout daylight . also corridor room heavily use morning housekeeping kitchen staff , quite noisy early morning . like read people 's comment , seem lot problem reservation . many time reception , people discuss booking . combined maintenance problem room ( hear someone else complain leakage well ) , hotel 's 4 star rating . reception staff generally friendly , capable take care problem right away , pro - active ( e.g . call back tell would ) .generally , probably bit lucky hotel . give room one high floor , fine . room clean , facility good , serve good breakfast . location excellent , almost within crawl distance Earls Court underground station . pay full price hotel , would quite unsatisfied , money , sort ok . 
 Jun 21 2006 	 pokey sauna ( room ) 	 arrive hotel 10.15pm eventually tell room yet ready . credit give drink restaurant free charge sit smart restaurant day old travel clothe suitcase . tell room ready hotel across road . room tiny could manage walk round bed . ( decor good ) . heat room we sweat within minute window wide open allow noise local train deaften we every couple minute . ask move room tell room , could move we hotel . . staff helpful . information forward without ask . feel bother . would never stay hotel . fussy person expect hotel show brochure 4 star comfort definately . 
 Jun 4 2006 	 good experience ; switch room 	 arrive late night , around 10:30pm , give room Hogarth Hotel section across street Shaftesbury . although book ' spacious queen ' room , give tiny room basement fridge , microwave hairdryer . foot half walk space either side bed toilet close sink sit sideways use could get leg around leg vanity . room back hotel next Tube line loud bed shake time train go . window lead small walkway use staff smoking area mean room fill smell ciggie whenever someone smoke . go front desk twice night ask another room tell repeatedly room available would return frontdesk morning , would move we another room . staff apologetic situation ... something seem deal quite frequently overhear 2 traveler also ask moved night . next morning arrive frontdesk see room number already list room want move . tell could leave luggage room currently would move another room day . go sightseeing return around 2:30pm find move room still Hogarth Hotel , high floor face street , ask . new room roomy , although still microwave , fridge hairdryer much roomy bathroom ! could happy situation resolve love location hotel ; minute 's walk Earl 's Court Tube Station , grocery store restuarant . would stay , provide could guarantee room high floor , face street Shaftesbury Tube noise issue . 
 Jun 4 2006 	 quite impressed ! 	 wife book vacation London British Airways , learn booking process , offer two free night variety hotel scatter throughout central London . little suspicious & quot ; free hotel & quot ; would look like -- picture Roach Motels , sketchy nieghborhood , etc . anyway , research hotel offer ( check TripAdvisor , course ) settle Shatesbury Kensington . short , pleased stay experience problem note reviewer , though minor glitch describe later . arrive early -- around noon -- offer queen - bed room immediately . front desk staff pleasant , contrary review , staff problem communicate English . room small american standard ( look , fellow american reader -- please not expect everything like & quot ; back home & quot ; travel abroad be back home ! not reason travel ? ? ? ) sorry , get , temper expectation . anyway , room ( # 404 ) everything need extremely clean , well - appoint , comfortable . 's obvious hotel recently renovate show -- room nice fixture ( bathroom truly beautiful functional ) , sheet feel new furniture new scuffed . immediately impress entered room . flat - panel tv great touch , make room seem up - to - date . look onto wonderful victorian - era street spend time watch coming going people street , apartment across way . reviewer note , hotel 4 - minute level walk Earl 's Court tube stop ( make sure exit Earl 's Court Road side station since another exit opposite side station , towards exhibition hall ) . neighborhood wonderful , feel safe , populated wonderful variety people . restaurant sort find within 4 - 5 block hotel ( indian , middle Eastern , chinese , Thai , etc . ) along Marks Spencer grocery store , bank , post office , etc . basically , everything will probably need find 5 - block stretch Earl 's Court Road either side Hogarth Road , hotel locate . room include continental breakfast terrific -- cereal , meat cheese , juice , yogurt , fresh fruit . english Breakfast option money , skip . restaurant hotel beautiful decorate would call relaxed middle eastern indian style lot colorful throw pillow , lot light , overal sparkiingly clean . eat breakfast , full dinner menu . ok , three small glitch note -- huge problem we -- first , elevator order first day . second , tv simply would not turn go bed : call front desk indicate sort systemwide problem tv , hang thick towel go sleep . last , broadband service available though saw & quot ; come soon & quot ; sign front desk . . big problem we . , really LOVED hotel pleasantly surprise . thank British Airways pick nice hotel management fine job . 
 May 31 2006 	 Nice Hotel price 	 stay hotel May 18 21 . room quite small twin bed . room basement well , however room self nice . book , would request ground floor room well specific ask queen king bed , actaully think reserve , single mean , twin bed London ... pay 72 pound night , go wrong price London . this hotel close Earl 's Court Tube . help anyone go , come tube , walk directly across street go leave , Hogarth Road right , walk street hotel close end Road . end getting lose find it . as front desk staff , think great helpful . porter young guy , polite quite interested Canada find . highly recommend anyone stay , disappointed . east indian resturant street hotel , leave hand side go towards Tube station amazing food . 
 May 22 2006 	 good value money . 	 stay hotel May 10th 18th major problem . stay London hotel expensive 1/2 nice . agree reviewer problem desk staff ( mostly fact english native tongue ) . room small nice - somewhat ground quiet - great plus also tube station locate really close hotel excellent . try chinese take - away behind hotel call Eastern Star good . would stay hotel go back . ( since never deal problem hotel can not say act promptly need good value money London . ) 
 May 15 2006 	 highly recommend 	 stay Shaftesbury night weekend find adequate need . location perfect , convenient west end ( go see Sinatra show Palladium ) , close Earl 's Court tube station . room lovely , obviously refurbish fairly recently . clean appliance modern working ( apart free broadband internet , not need case ) . bed large queen size comfortable . rang hotel advance trip boyfriend 's birthday , provide we free bottle wine fruitbowl , along card handwritten personal & quot ; happy birthday & quot ; message , nice touch . breakfast lovely , great selection English continental food . arrive early check time hotel store luggage safely back room not need worry . the staff friendly attentive , ' m surprised read comment incompetence , not problem they . all , great , convenient clean hotel , perfect base sightseeing nice romantic break ! 
 May 12 2006 	 hotel steal money Credit Card . 	 warning ! please not give credit card number hotel . charge money charge refuse pay back . stay away hotel - dishonest ! 
 May 11 2006 	 not stay hotel ! 	 shampoo room , air condition & amp ; refrigerator break , water bath not flow , many time call one come ! telephone fee claim though call reception ! terrible ! ! 
 May 9 2006 	 hate - tiny room near train line - Loud Small 	 ' ve stay Shaftesbury Kensington vist London . always problem book . sometimes provide decent room , last visit provide ' executive room ' . nothing sort ! ! ! ! room back one additonal property Hogarth Road - backing onto Circle / District underground line . mean noisy window open . air con , hot window close ! ! ! ! ! ! ! room tiny - nothing ' executive ' ! ! ! ! also , tv three channel E4 , ITV2 Sky Sports News - BBC itv1previously hotel represent VFM ' m risk give type room again . do favour book somewhere else ! ! ! ! ! 
 Apr 30 2006 	 good place money infrastructure problem would return 	 stay two night Shaftesbury Kensington . price 78 pound , good deal . room new nice free broadband access flat screen tv . bed nice . short convenient walk Earl 's Court underground stop near pleasant restaurant call Masala Zone . take underground directly Heathrow Earl 's Court walk hotel . , happy location room . , problem . hotel seem overly full morning go downstairs hear staff / manager try deal people appear book room not go able stay . water pressure shower room 5th ( top ) floor almost non - existent . elevator order walk 6 flight tell ( way meeting ) , say know , problem fifth floor going get fix later week . often stay much expensive hotel , answer wouldnot acceptable , , ok . elevator work return . internet work 2 , die rest stay . staff generally placate thing rather actively try anything , seem bit besiege people try book room hotel completely full . despite problem , actually enjoy room stay . stay one night Derby Hotel nearby . not internet room ( wireless access point lobby ) . shower elevator work , room old little shabby comparison tod Shaftesbury , somewhat higher price . generally , positive review except problem . 
 Apr 30 2006 	 Nice Facilities -but problem 	 arrive early immediately arrange early check - in . room bit small bed full - size . select hotel gym internet room . first two day internet working room . & quot ; technical & quot ; staff assist we , however , luck . tell we would come room never show call next day . nice try really hard . the evening second day general manager call assured would fix would move we another room . since able fix offer we free breakfast , fruit bowl , new room . ask queen size bed , since reserve tell full size . desk clerk rudely tell queen size bed hotel . get new room twice big . bed indeed queen size . course , next day internet not work room check try charge we & quot ; free & quot ; breakfast . the room 4 star . staff try , however , disorganized . wish early check - in tell get room bed less reservation . 
 Apr 26 2006 	 love 	 planning return Shaftesbury Kensington next week . initial problem internet television . quickly fix . room new spotless . take look . the service excellent . 
 Apr 17 2006 	 Loved Hotel 	 London early march . stay Shaftesbury Kensington Hotel GREAT ! staff excellent say least . totally recommend hotel head London . near tube station close everything want see London . stay hotel visit London recommend everyone check place . 
 Apr 17 2006 	 impressed Shaftesbury Kensington 	 stay Shaftesbury Kensington standard room four night end March . give previous review not exactly sure expect must say expectation exceed . quite concerned construction may still occur obvious finished . foyer look stylish set good impression . staff desk helpful , although little frazzle confront multiple check - in . speak english quite well require assistance beyond check - in . room look exactly like picture lot large room stay eighteen month previously 20 pound per night ! everything look slick bed comfortable . choose cheap option exclude breakfast , extremely happy find couple cafe main road cater breakfast fraction price hotel charge . hotel well locate - 2 min walk restaurant , post office , station , internet etc . I would highly recommend hotel would definately stay . 
 Apr 17 2006 	 would not recommend 	 always stay Kensington regular trip London , see hotel website photo look great , arrive hotel impressed reception area , obviously newly refurbish , however , extremely disappointed room , yes , look like photo someone shrink , could barely walk around bed actually stub toe crack knee bed try walk around . ask move french check - in clerk could not give damn , obviously Customer Service training find manner quite abrupt right rude . endure crapme box room weekend , could open wardrobe fully due floor standing lamp obstruct , room door slam shut force ' m sure everybody hotel , next building , must wake ! . sink bathroom drain , soap dispenser work . heat full blast manual control guest , make room oven , compensate air con full blast counter act radiator . this hotel severly lack customer service ruin weekend , would recommend hotel anyone would not even contemplate stay , one positive , clean . 
 Apr 6 2006 	 Excellent Hotel 	 Hotel 2 minute walk Earls Court Tube . clean , stylish reasonably price . staff could not helpful . needless say , enjoy stay go back someday soon . 
 Apr 5 2006 	 great stay Shaftesbury ! ! 	 book hotel boyfriend 's birthday last minute ( -- ) , get great rate £ 69 executive room . bit worried read review trip advisor , not worried . hotel easy find , close earl 's court station ( 15min get leicster square station theater ) . hotel well present , clean , staff helpful ( rang hand tell boyfriend birthday give we flower friut free charge ! ) hotel room good size , although not executive room could abit small side . bathroom really nice clean . overall , impressive stay , would definatly go back ! ! 
 Apr 5 2006 	 Great Value Shaftesbury 	 trawl net good value hotel 2 day midweek stay London . find Shaftesbury offer 2 night breakfast £ 65 per night . booked basis refurbish would not scruffy yet - right . the hotel handy tube Earls Court - 2 minute walk . local area rather poor scruffy . shortage Indian , thai chinese eatery together McDonald 's , KFC , Starbucks Somerfield store close midnight . reception hotel basic check fuss . room nice extremely well equipped . massive tv , kettle , microwave fridge . bathroom lovely clean . aircon ( remote control ) welcome hotel warm . breakfast good - dining room relaxed atmosphere attentive staff - well worth £ 6 have pay . I would definately go back Shaftesbury - impressed pleased whole package 
 Mar 28 2006 	 excelent stay 	 stay shaftesbury kensington 25th march , arrival reservation we despite confirm booking , duty manager deal situation professinally , offer we complimentary hot drink sort we time.good clean hotel go back recomme anyone . 
 Mar 23 2006 	 wonderful stay definitely come back ! 	 's relieve get stay fabulously modern room amenity would need , something rarity London , England matter . room stay Shaftesbury Kensington spacious , new clean , well offer feature important convenience . free broadband internet 24 hour day breeze connect ; microwave oven come handy someone like business long stay not go everynight ; plasma tv give space walk around room . location fantastic , couple minute Earl 's court station right around corner a4 , mean be super convenient away noise . lot shop restaurant nearby could get thing big Sainsbury 's . love modern bright bathroom eventhough rather small not much shelf space put thing . main grouse would not give whole lot come bathroom amenity ( body wash & amp ; shampoo one ) . ' m go knock star go buy toiletry always anyway . give special rate stay every business trip London ! ! 
 Mar 16 2006 	 Sensationale stay ! ! 	 bite ancious arrivle since read mixed rewiew , could not satisfied . stay 4 nigts pay 71 £ per nigth , witch good deal . get room right away arrive , executive room spacefull , clean modern elegant style . love big tub , flatscreen tv bonus bed bit hard taste though . get help need reception . eat breakfast hotel twice , bit overprise tastefull . area could not well , resturant , shop , cafès tube nearby . first visit London happily recommend hotel anyone want stay stylish perfectly locate hotel . 
 Mar 14 2006 	 Rudest hotel manager world 	 husband return trip Ireland England . London , stay Shaftesbury Kensington . choose hotel internet leave home good location offer car parking . get , site parking public parking lot two block away full . the assistant manager tell we park meter street 6 pm , could one parking spot ( manager ) . time , painter , work hotel , van park one precious spot , would leave 6PM . conferred manager phone come solution . comply instruction leave little sight seeing , return 6 move car promise space , another car park there . I call manager tell control park , say not promise spot , extremely rude abusive . say phone reception desk , ask meet we lobby discuss problem privately , reply & quot ; , ' m tired & quot ; .My husband & amp ; find parking place , return hotel night . desk room , find lovely letter hotel 's information book manager state guest problem , contact help . obviously , appearance sake , certainly not want help we problem . if not care customer service , like hotel . reception desk staff hardly speak English , give direction , manager nasty , hotel beautiful , newly renovate , location great . 
 Mar 11 2006 	 stylish spacious sophisticated 	 great hotel posh part London near underground . also lot shop restaurant nearby . pleasant one night stay indeed wish stay long . not understand give rating definitely 4 * deservedly . however , also quite expensive make sure book hotel website . book Executive Double give large room amazing bed , plasma tv , free broadband point , microwave , fridge , fruit , tea coffee . staff whole helpful . two gripe : man greeting check - in fairly rude toiletry room good standard . let deter - comfortable , indeed quite luxurious hotel . 
 Feb 22 2006 	 Impressed Shaftesbury 	 London : Shaftesbury , Kensington : excellent value ! date:21st February 2006reviewer : TripAdvisor Member Bremen , GermanyWe´ve return weekend trip London . AllI say : & quot ; hotel fabulous ! & quot ; four starrate offer excellent performance food , accomodation style . the breakfast buffet isa selection high quality fine fresh food . personal extra wish porridge poach eggsare satisfy fiendly staff immediatly withno extra charge . the hotel presently promote fromwotif.com pay excellent rate . my trueopinion hotel : & quot ; 5star performance areasonable price ! & quot ; keep go way ! & quot ; 
 Feb 20 2006 	 Good Value Money 	 Booked hotel Valentine 's Weekend compare number hotel area . fact hotel recently refurbish attract book hotel . on first impression , hotel definately well look hotel Hogarth Road . location brilliant , across road Earls Crt Station . reception staff friendly . book ' executive double ' 82pound / night . read hotel 's website room four - poster bed , think might idea ring early ask whether get one , tell allocate random . the room end get ground floor , be not really problem close curtain , four poster bed . room clean , big , small either nicely decorate . bed extremely comfortable ! best night sleep ! bathroom modern . plasma screen tv give room modern feel . full length mirror next door , useful ! would stay Shaftesbury Hotel Kensington bed ( course value ! ) . 
 Feb 19 2006 	 terrible ! stay ... 	 hotel far bad ever stay . stay come across numerous problem hotel . request non smoking room actually turn awful pungent stale tobacco smell . request new room give key room light work . room end half amenity promise . next morning awoken loud rattle sound explanation give action take . hour check power cut . stongly advise anybody consider stay hotel reconsider ! ! 
 Feb 14 2006 	 bad 	 first impression quite good , meet staff . understand hotel busy take we half hour check . lady behind desk insist answer phone , chat colleauge talk customer . room quite impressed , good clean , stylish . happy . cold water tap do not work mean flush toilet stupidly hot shower . plumbing do not actually break morning tell reception . first send someone room check , suggest use another room shower use public toilet hotel stay rrom . happy insist new room . explain could not new room 2 pm , fine planning go . later get hotel 3 pm , room have not sort . ask new room e take 30mins find new room send we mess . no - one clean . ask we wait wait hour , get impression not go tell we ! ! ! get room luggage not ( previously say would move ) another hour wait ! ! Breakfast overprice do not make big deal telling charge extra . hotel stay offer breakfast free ... perhaps different london . Stu 
 Feb 14 2006 	 excellent room 	 Room excellent , location excellent , lift furbish function minor irritant . Foyer could nicer restaurant use , generally room good little cause complaint . 
 Feb 6 2006 	 okay get well value london 	 ' ve travel london 6 time last 4 year . first time Shaftesbury likely will not back . the decor nice , modern decor will typically find european hotel . quality finishing poor already start show stain wear , though hotel finish refurbishment . also , room ( double ) tiny even london standard . the staff friendly knowledgable London . fine , might cause problem first time visitor city . its also bit far form attraction , hotel Earl 's Court , border zone 1 2 , Kensington name imply . managable . I pay $ 130 . price , February , easy find well value . 
 Jan 26 2006 	 still go grow pain 	 pleasant experience . hotel still renovation late September 2005 nearing completion , except gym . room certainly adequate size , clean modern convenience first floor overlook street . street side view desireable back building . restaurant food good breakfast great . restaurant staff friendly efficient . find front desk staff train well enough handle concern patron always seem flustered . housekeeping staff speak English make thing little difficult , whole great . tube station 2 minute walk away shop closeby allow we pleasure pick dinner pop microwave oven suite tired go back full day sightseeing . find fridge room never cold enough liking . would probably stay convenience anything . 
 Jan 15 2006 	 mixed pleasure 	 read previous review rang day arrival confirm book twin room ok would arrive late evening . sure enough , arrival twin room . expect share double bed 15 - year - old son , agreeably surprised offer double single room connect door price twin room . also able stay two room three day book . give rate 60pound per night ( without breakfast ) unbeatable value ! ! will forget lift break still not repair two day later one night heating develop strange loud noise could fix turn fully . location great , provision micro - wave empty frig . ( mini - bar ) make partial self - catering possible : expensive London great plus . the staff friendly . get rate 100pounds stay . 
 Jan 3 2006 	 good price pay ..... 	 like hotel close underground station convenient . pay £ 79 room rack rate ~£195 ? ? pay would want compensation since shower tap break power shower low . water get warm enough take hot soak bath - boil kettle time ! room microwave refrigerator bonus - know arrive save eat . although fridge chill ! annoying thing room telephone - keep ring nearly every 15 min ? ? experience hotel staff friendly - smile goodmorning also seem professional . there small gym treadmill , bike weight - bad could lot well even instal tv - one plasma one room music ! restaurant look nice serve lebanise food - thing , sure breakfast like include - even continental - want £ 10 ! would stay , would consider alternative possible - go rush back ! room big . would describe hotel one high end 3 * scale rather 4 star - problem . 
 Jan 2 2006 	 ok experience 	 get lucky get promotion executive room 89 £ breakfast include , overall satisfied.1 ) executive room size ok . normal double room size definitely small . ( commercial picture misleading ) 2 ) furniture decent / good ( like ' Grohe ' bathroom fixture flat screen ) , head board behind bed stain it.3 ) breakfast good.4 ) write review , door slam staff especially friendly.5 ) also first arrive wait check in.6 ) concern review Dec 28 , 2005 get room first floor right top entrance . convenient we . notice elevator right reception aware another building . hope help , Cheers , Renaud . PS : case look phone number yell , look ' the Hogarth hotel ' . take figure . 
 Dec 28 2005 	 not fool photo ! 	 never ! look . yeah picture look nice , not nice enough deal rude staff ( look Sudha- 's nightmare ! ) book online resonable price , would gladly pay well location well service . we pay full even leave home , get try tell we pay ... confirmation w/ state $ 0 balance , still argue ... different building outside main hotel , six flight stairs- elevator . hotel door slam , hear every guest came go , mention conversation . card key seem reset everyday , go & quot ; main & quot ; hotel everyday ask new key . not together not seem care enough inconvinence . area overall okay- little shady night . keep look , know find bettter ! 
 Dec 9 2005 	 okay ... 	 could hotel recommend . bad ruin guest ' experience total disarray book billing system . try re - confirm room day arrival avoid unpleasant surprise . e - mail never get reply call reception everything suppose order . sure enough , 6 hour later arrival fully book . transfer another hotel night guy reception say would & quot ; personally see & quot ; time get back everything order . sure enough , room available agree time , hour later . top everything , hotel tried charge we cancellation penalty first night . fortunately keep bill , able show credit card company already charge total duration stay , include first night . after settle , problem not plan stay Shaftesbury Kensington next time London . 
 Nov 22 2005 	 bad start stay 	 book online pay front two night Shaftesbury £ 195 , arrive 4 hour train journey 9 pm tell hotel room open would transfer another hotel Paddington , one night could come back second night ! acceptable , book pay stay Kensington inform we previous arrival could arrange accommodation . answer phone three time conversation friend tell could stay would move someone else , room give small , bed single , book deluxe double complain move straight away large room , deluxe double , probably one book ! book two empty room available 9 pm night . whilst wait mess sort also witness couple ask change room 3rd time due yet another maintenance problem , seem re - allocate quickly . wonder many empty room many people actually relocate evening . rest stay fine , comfortable hotel , good location , shame first impression bad one 
 Nov 22 2005 	 stylish superbreak 	 book hotel read Times one lunch - hour work see good offer hotel London , Shaftesbury @ Kensington one feature . 40th want stay somewhere nice look net seem promise , although see mixed comment guest little anxious ! say , girlfried find hotel welcoming , clean , stylish conveniently locate tube . room convenience , plasma screen , fridge ( bit warm though ! ) microwave decor furnishing good quality . also , room scrupulously clean every day fresh towel leave . use restaurant , comment , would definitely attempt book good deal . pay £ 180 three night , excellent standard . also able leave luggage safekeepe day depart without problem porter fetch smile return collect they . hopefully , teethe problem guest experience ironed future experience would highly recommend . 
 Nov 21 2005 	 bad ever 	 Booked hotel day hard accept 4 hour later could get room quoting & quot ; unforseen difficulty & quot ; turn alternative Gatwick area ( kid ) demand assurance would charge give general manager . charge £ 280 credit card hotel return call . be warn ! ! 
 Nov 16 2005 	 price big disappointment ! ! 	 hotel describe Kensington . really much Earl 's Court guess Kensington prestigious location . good thing hotel proximity Earls Court Tube Station . , little good say . bad : room small . okay , Americans use big room nice able walk around bed . service dismal . hotel desk clerk happy show . internet do not work . beg someone tell we even chance could fix . never hear word management . charge twice list phone rate call state basically say bad . overall stay be not awful pay 170 usd night , expect bare minimum service . 
 Nov 16 2005 	 Ultimate Inconvenience 	 hotel know mean customer service . front desk staff aloof time rude . put third floor ( elevator ) build across street . first room a / c , heat , work telephone , work television , linen . second room ( let first one go ... ) almost bad . third room ( one finally take since almost midnight ) 2 station telly work size small closet . midst renovation translate hammer , saw , drilling , paint fume day evening hour . good price , would pay convenience , service , honesty , bit customer care . beware one ! 
 Nov 4 2005 	 Loved do not know people do not ? 	 boyfriend stay birthday treat ( big 22 ! ) love ! must admit little scared reading review surprised find . a lovely tv , nice bed fresh flower . also lot mirror , good hair ! would definatly recommend , problem porter room filling soap arrive do not really affect we way . 
 Oct 31 2005 	 Post renovation 	 last leg Honeymoon , first two Rome Island Capri , arrive Shaftesbury greet pleasant staff . even let we use internet desk online check return flight check recent score Detroit Redwings . the room great ! well finish lot amenity , par 4 5 star room Italy . Plasma tv great surprise though user guide would nice . 
 Oct 24 2005 	 good hotel would recommend anyone 	 stay SK Oct 19 - 23 , 2005 . clean , staff nice helpful . room , opinion , nice . look exactly like photo list . fresh flower lobby , every room ( 2 room ) . be contemporary redesign refreshing ( consider usually boring , generic look hotel ) . hotel pretty centrally locate - one minute walk Earls Court stop bus stop . get major sight within 4 - 6 stop train change . ATM / cash machine corner tube station . also bakery across station , McDonalds , KFC , Thai indian place eat , bar , grocery store sundry shop right intersection HOgarth st ( hotel locate ) .bee hotel main road , quiet night , minimal traffic noise morning - good night sleep all . problem : take we forever figure put key slot inside room keep light ( pretty funny ) . a / c not work 5th floor room , next night give we new room . the first floor room big 5th floor room have . none room alarm clock , bring . 5 wake call request , get 2 ( luckily one need wake car catch flight ) . pay 60 pound night ( $ 115 US ) 4 night ) , opinion , great deal area . travel Europe , America Middle East - money city , great hotel great location great price . would recommend hotel , expect price go future . 
 Oct 10 2005 	 dirty busy unapollogetic 	 boyfriend arrive hotel 10 pm long trip cos travel around UK send we room roof occupy one hour realise book book another hotel us awful do not give we explanation even apologize , awful service hall area dirty do not advise stay 
 Oct 2 2005 	 would stay 	 hotel visual treat , part like movie set . , thing look great still not work . example , bathroom door handle come hand ! bathroom sink faucet also problem stay one piece . plus side , room good size ( London ) bathroom positively spacious . a / c work ! plenty closet space decor , nice . think recent renovation still need little fine tuning , would definitely stay . 
 Sep 30 2005 	 modern room ... 	 modern room , incompetence hotel employee make night stay unpleasant . three time , 1 - 3 hour , different reception clerk enter locked room wake sleep without able tell . explanation get something & quot ; messed & quot ; computer system say room empty . no minibar internet advertise , room cold possibility heating . 
