great 	 stay hotel numerous time business leisure . great comfortable room fun bar . love lavender smell hallway . 
 Feb 9 2006 	 not enjoy 	 hotel new , lack service style . not welcome curb grant amenity promise sign - up JDV loyalty program . do waste time . stay anywhere else ! 
 Feb 9 2006 	 Falls Little thing 	 happy location , decor ok like retro ski lodge , small thing ruin stay . first room mirror behind side bed , usable full - length mirror . safe low dark corner , kneel get , dark unable read instruction try 10 minute , could not use safe . cut sharp edge piece furniture , run stocking ( new expensive ) leave big gash leg , could do well lighting since working room . lobby crowded people go bar / restaurant , even though guest , find restaurant management rather rude inquire reserving area meet friend . highlight bad thing , since unexpected , really , everything clean like location , staff polite , etc . , be bad hotel , fail live expectation base read TripAdvisor stay . 
 Feb 4 2006 	 Nice hotel far shopping 	 business / pleasure trip . nice room par W hotel . one surprise $ 42 per night valet charge . staff friendly . hip bar good local crowd . restaurant serve excellent breakfast good service . highly recommend walk across street new ferry building . sort highend cheese , wine , meat coffee etc . tue Sat farmer market . catch ferry across bay . big complaint well shop many good restaurant cab ride away . going stay close union square . 
 Jan 23 2006 	 retro fabulous ! 	 boyfriend stay Hotel Vitale first week December . find web fare expedia think surprisingly cheap accessible public transportation . stay deluxe king room great Bay Bridge partial water view . hotel locate directly across street Ferry building around corner central transportation hub . complimentary toiletry lovely . product available purchase look tempting , pricey . bed amazingly comfortable sheet seductive . second night trip unfortunately spend dancing , sleep succumb soft , luxurious sheet . hotel staff amazing . moment arrive , everyone know name always courteous . arrive particularly windy rainy evening . bellhop run we give we complimentary hotel umbrella . hotel lot complimentary perk soft bathrobe shoeshine turndown service . say bar offer lively work crowd , hotel restaurant skippable . day Farmer 's market open Ferry Building across street , go instead . great variety reasonable price support local farm initiative . one downside stay Financial District many thing close around 8 pm , take getting use be come New York , beautiful hotel wonderful city would stay heartbeat ! 
 Jan 23 2006 	 can not well ! 	 wife stay Vitale 11/29/05 12/04/05 . service staff absolutely perfect . room immaculate day , concierge always available always helpful . location ideal anyone look explore city , BART stop around corner . although eat restaurant , lively crowd night . complaint minor ; breakfast service in - room coffee . say , Ferry Building across street Peet ' Coffee serve need quite well . travel business pleasure , ' much well hotel . exactly budget property . could pricy family vacation -- even rate quite bit high booked reservation . 
 Jan 21 2006 	 Chic Hotel - Modern Clean 	 stay many hotel business pleasure . trip business . hotel ideal location target financial district . bar restaurant cool . ambience chic W - ish term decor . look comfortable , modern clean hotel - . staff friendly concierge staff not knowledgeable certain location ( i.e . look rite aid sort pick advil - incorrect term direction time closure ) . addition , bit pricey side , enjoy stay . 
 Jan 20 2006 	 Hotel Vitale - great hotel ! 	 Hotel Vitale great place stay trip San Francisco . good friend go canadian thanksgiving long weekend ( early October ) truly wonderful time . room gorgeous - comfortable bed pillow ( mention duvet ) ! hotel also not & quot ; hotel - like & quot ; aroma hotel - smell like lavendar hallway . would highly reccommend take trip rooftop terrace , night day . view SF Bay Bridge Ferry Building along Embarcadero amazing - lounge seating comfortable ! great place sit relax day sightseeing . the staff hotel wonderful - even car service ( comparable price taxi -and driver much less crazy ! ) . staff willing help novice SF visitor everyway possible . must see SF : - Fisherman 's Wharf ( Pier 39 ) - spend entire day ! lot restaurant ( mostly seafood ) - good thing eat hot dog food stand . aquarium cool , sea lion stinky , must ( follow & quot ; barking & quot ; ) .- Alcatraz evening tour - see sun set Golden Gate bridge ferry island incredible . also Alcatraz not creepy may think - 's interesting full history - worth view city SF.- Chinatown - really neat shop interesting finds.- Union Square - designer shop locate - really impressed Macy 's ! - Ocean Beach - 's long haul Hotel Vitale ( MUNI - subway / transit system ) - worth beautiful sound , sight , smell Pacific . aware though - not many place eat around Ocean Beach - eat go ! 
 Jan 11 2006 	 great hotel 	 stay Hotel Vitale November , first trip San Francisco . location easy drive airport cab ride . room well appoint , comfortable bed , worth extra water view room . concerned might noisy streetcar well insulate noise problem . fact find hotel quiet . warmly welcome staff friendly . try ferry terminal building especially weekend market . fisherman 's wharf area touristy Alcatraz trip interesting . 
 Jan 4 2006 	 great place stay ! 	 boyfriend spend New Year 's Eve Hotel Vitale - 2 block away party go . staff extremely friendly impressed hotel room . moment hop elevator see March Penguins play mini flat screen tv . although hotel fairly pricey , room include nice touch spacious compare hotel room . cd player stack CD 's beside , robe comfy , impressed flat screen tv complimentary internet . 's shame basic room view courtyard hotel close water . my complaint never receive complimentary bottle champagne include package . 's conveniently locate hotel , would definitely stay ! 
 Dec 28 2005 	 Great Hotel 	 stay 3 night December . room fantastic lot great extra ( ie free internet service ) . really could not ask anything . staff nice , knowledgeable . hotel 's location ideal . far away anything , close either . advantage disadvantage . glad stay Fisherman 's Wharf area touristy . , really enjoy stay ! 
 Nov 17 2005 	 Wonderful Wonderful wonderful 	 stay Vitale early October - first trip San Francisco also honeymoon . we read many review vitale comment upon great location , excellent standard room coolness interior exterior space - agree all . we would like comment upon ' experience ' stay Vitale begin October 2005.at check greet extremely warmly courteously - staff appear genuine interest us trip . reception discover honeymoon immediately offer we complimentary bottle Champagne . enough , also ask wife prefer chocolate flower ! somehow , time get room chill bottle Champage box liqueur chocolate wait us - make we feel special indeed . throughout stay staff member ( particularly barman wonderful waitress Americano ) make we feel particularly welcome home hotel . would go far say Vitale far friendliest helpful staff hotel ever stay in . we go trip around California second week holiday , return San Francisoco final two day . love Vitale much book final night return home . return Hotel give great room 4th floor , standard stay first stay . drawback view inner courtyard ( oppose Bay bridge etc ) . ask manager possibility change room could helpful understanding . he explain hotel fully book night , promise would provide we room view final night . true word - typical length vitale staff go stay - upgrade ( extra cost ) one oval suit panoramic plate glass window , sink bath , walk shower , 180 degree view Bay . gesture perfect end fantastic holiday - something live long memory . go show hotel industry still capacity turn ' stay ' ' experience'- unfortunate hotel try hard Vitale . thank Hotel Vitale - wonderful ! 
 Nov 9 2005 	 Cool hotel inconsistent service 	 cool decor , staff friendly helpful . find Concierge well par compare rest service experience . follow two request often available . really stand compare excellent response staff member . check rooftop lounge area , peaceful great view ! spa pretty good restaurant nothing special . 
 Nov 7 2005 	 stay Nov. 1 - 2 - recommend hotel 	 stay new hotel ( March 2005 ) two night begin November . location good , choose away typical area , decor nice . bar lively night . room comfortable view excellent . noise must expect since 's Embarkadero ( sp ) . be interested nice shower advertise , make sure be book handicapped room . although , bathtub nice well stock towel toiletry . much vanity space , however , order allow large , low sink . housekeeping not consistent , bad . complimentary yoga class morning wonderful touch , fabulous massage small spa . wish recall masseuse 's name share ! 
 Nov 1 2005 	 great location 	 stay partner weekend October 7th . highly recommend hotel . think location Embarcadero would not good . thought view would not good thought would isolate weekend . wrong . location awesome . right ( relatively ) new streetcar line take along Embarcadero wharf area straight Market past Union Square way Castro . also nearby subway stop . room great ; clean large ; room bay side 5th floor middle hotel ; room small sofa , coffee table chair small bay window toward bay ; view Bay bridge morning night ( light along bridge ) great . ferry building across street full local go upscale mini - shop , wine bar , coffee shop , caviar bar , restaurant , etc . Saturday morning amazing organic farmer market around ferry building . booth cooking breakfast , bakery booth , flower , etc . etc . large hotel . ' m guess room back without view bridge low floor be not great . everyone access porch / balcony along side hotel 5th 7th ( seem ) floor , chair / sofa cushion view bay bridge alcatraz . check desk recommend get drink take great suggestion . bar full several hundred people friday work impossible get service , Boulevard right across street quiet bar . Saturday bar well ; still people around ; outside seat heat lamp . think hotel great addition San Fran ; perfect way enjoy City away Union Square Wharf area bustle . 
 Oct 31 2005 	 Vitale 's circular suite dream come true . 	 spend weekend San Francisco stay Vitale . 4th time stay hotel experience always excellent . first time stay circular suite . first morning , wake , reach cool remote control blind , press button . blind lift , treat beautiful panoramic view Bay Bridge , treasure island , ferry build beautiful sunrise . literally , entire wall series window lend new definition bay window even San Francisco . take bath wonderful room service absorb beautiful view . hotel beautiful piece work stylish chic Americano luxurious understated accommodation . come visit San Francisco difficulty leave hotel room . recommend Vitale highly . circular suite little piece heaven . 
 Oct 23 2005 	 San Franciscos well keep secret .. 	 return 6 wonderful night Hotel Vitale can not think well place stay San Francisco . locate beautiful setting right across street Ferry Building Embarcadero . great view Bay Bridge water many mile . energy financial district feel every morning town come life . wonderful little coffee shop restaurant breakfast right across street Ferry building . Saturday morning Farmers Market occurs miss . find staff personnel Hotel & quot ; World Class & quot ; every detail . can not life figure hotel not get press truly one well keep secret S.F . easy access Wharf via F line right front hotel . $ 1.50 10 minute be right heart action far enough away plague tourist trap hotel commotion go . take several guide tour Gray Line pick provide front door hotel morning Gray line . miss Napa - Sonoma wine country tour Monterey - Carmel tour . favor take city tour combine Muir Woods Sausalito . get Sausalito , leave bus nice dinner Sausalito ( Scomas restaurant water personal favorite ) take ferry back San Francisco ( bring back Ferry Building right across street Vitale ) . promise something remember forever . really special dinner one night highly recommend Cliff House restaurant . make reservation 's way across town ( $ 22.50 cab ride way ) shore , believe set quality food . web - site give peek mean . outstanding ! ! recommend early reservation want take lot photo 's light . sure make point get Ghiradelli Square one two delighfully sinful Hot Fudge sundaes see chocolate actually make . Franciscan Inn Pier 41 serve whole dungeness crab dinner die ! ! ! right next door Boudin bakery offer tour sour dough bread make also great food lunch . Hope give pointer come see love stay past week . waiting plane Saturday grab bite restaurant terminal . say wall read : & quot ; eventually make Heaven ... will say , ai not bad , be not San Francisco & quot ; .. hope great time .. 
 Oct 18 2005 	 great hotel good location 	 great hotel ideal location explore San Francisco next Embarcadero opposite ferry terminal . check hotel give free room upgrade room view bay bridge , reason give upgrade stop 11 night deserve well room one book nice touch . room big clean . unlike reviewer find ample space 11 night ' worth clothe although ask extra coat hanger . room turn nightly chocolate , water , ice weather forecast next day provide . room also free internet access leave laptop home business centre hotel PC 's connect internet . problem room noise street noticeable one morning . the hotel also convenient public transport F line tram stop outside hotel , number bus also stop outside hotel California line cable car 2 block hotel . for visit San Francisco first time tips.1 . California line cable car stop middle nowhere.2 . want get cable car Union Square want queue get 9 am 5pm3 . visit Sausalito well worth cheap ferry ferry building ( opposite hotel ) Pier 41.4 . plan use cable car public transport consider Muni pass prove lot cheap pay every trip.5 . maps Pacific coast ( Legion Honor , Cliff house etc ) look quite close downtown area map use different scale different part map . hotel Legion Honor take 50 minute bus . 
 Oct 17 2005 	 great stay ! 	 husband , along another couple , spend two night Hotel Vitale first weekend October . make reservation 2 1/2 month advance , reserve two water view room . much research online , include TripAdvisor review , select hotel location view Bay Bay Bridge . upon checkin , quickly courteously show room . small problem , room two double bed view office building across street . bellman call front desk go downstairs explain reserve water view room king bed . return two key show we next room , king bed well city view . first tell water view room overbooke , husband go front desk explain specific reason choose Hotel Vitale , voila ! water view room become available us friend . problem solve though involved time back forth discussion , staff remain friendly eager make we happy . way , view Bay Bay Bridge spectacular night . first evening dinner Slanted Door restaurant right across street Ferry Building . try secure reservation two week advance , unable . quick call hotel concierge promptly reservation within 15 minute time request . good job ! next morning take F Trolley Pier 39 . trolley stop directly north side hotel . cost $ 1.50 per person . see sea lion , take ferry Alcatraz . must reserve ticket well advance ( case , two month advance ) BlueGold Fleet website . Lunch Ghiradelli Square overlook water , Golden Gate Bridge Alcatraz quite lovely . obligatory cable car ride ( hour long wait ) . walk Union Square back hotel Chinatown . dinner evening Hawthorne Lane ( quite good ) , short 15 minute walk hotel . eat twice hotel 's restaurant , breakfast time . bit pricey side , food well prepare wait staff attentive . evening , bar lively gathering spot , hotel guest , dial crowd young professional . the morning departure , hotel arrange towncar transport we baggage corporate Hertz location way heck side town ( go Napa want head Golden Gate Bridge choose location ) . almost seem private car tour go around numerous San Francisco neighborhood deposit directly front destination . total cost - $ 30 plus tip . hard beat that . all , really enjoy stay Hotel Vitale . great location beautiful view , sleek contemporary look public area well - appoint room bathroom . agree one reviewer 's note lack drawer closet space , two short night , manage quite well right suitcase little inconvenience . every staff member eager please always greet promptly smile . would definitely return . 
 Oct 13 2005 	 Relaxing Stay 	 return long weekend Hotel Vitale . after walk around bustle city day , look forward return hotel . lobby , elevator room peaceful calming . terrace extremely nice - watch Blue Angels one . book Expedia Deluxe City View room . end handicapped room fine us - large shower instead tub spacious bathroom . the room nice luxurious touch like flat screen tv , cd player , superior bed & amp ; bedding , excellent desk chair , wireless internet , etc . however , like other , notice lack drawer space room & amp ; surface bathroom hang nice robe put toiletry . closet big enough store clothe suitcase together . luckily clothe hang anyway not inconvenient . we town wedding return 1 am morning find toilet work properly . housekeeping come could fix , move ( fairly quickly ) another room sleep . definitely prefer city view room superior room . toilet fix next morning . be prepared steep charge room service ( 18 % + $ 3 delivery charge 8.5 % tax ) . restaurant good also pricey - spend $ 100 two day breakfast . week , plenty deli 's , etc nearby get breakfast Mission . weekend choice limit - Ferry Building coffee , bread , fruit , cheese & amp ; pastry vendor nowhere go sit - down breakfast . overall wonderful time would stay . 
 Oct 12 2005 	 Nice hotel quirk 	 husband stay Hotel Vitale 10/1 - 10/3 . overall , pretty good experience . couple snag though - first , call morning arrival notify staff husband 's birthday . ask bottle champagne place room advance arrival . check give handicap accessible room ( neither we handicap ) . room would nice someone handicap , we not comforable . bathroom awkwardly arranged- shower consist shower spout drain floor ( tub even shower stall ) . call romantic . additionally , sink set significantly low accomodate wheelchair ( particularly comfortable wheelchair ) . importantly , champagne room . husband call front desk tell room acceptable . clerk say would send someone room collect bag move we another room . wait 20 plus minute someone meet we give we key new room . pleasant give arrive late flight NYC ( tired jet lag ) . also kind kill romantic surprise plan husband . room give we nice champagne wait we , not give room view . would think give problem check - in would upgrade room . event , overall stay pleasant . hotel great location ( right Embacadero near Ferry Building ) . hotel also decent gym also offer free pass YMCA locate block away . room service quite tasty staff fairly friendly . however , encounter one problem stay . night check - out place heel outside room complimentary overnight shoe shine . unfortunately , shoe return next day . not realize two day later go upscale dinner wine country . turn hotel staff say return shoe we privacy tag door morning check - out . ' m sure not leave shoe outside room take front desk give we check - out , nonetheless brief negotiation , hotel agree overnight Fed - Ex shoe hotel Sonoma . arrive without incident . I would recommend hotel other caveat ask room view ensure 's handicapped accesible room . also , make sure pick shoe check - out . one last piece advice , Visa deal pay Visa card , get 20 % room rate . check web . 
 Sep 25 2005 	 make vitale baby ! 	 write long review , instead post number picture take incredible girlfriend ( book room ) stay month ago . other say , room really nice , great view ( get view room ) wonderful bed sheet , awesome bathroom great & quot ; fresh & quot ; product . pretty good dinner Americano ... great brunch street Palomino . overall happy everything , much back couple month come city concert . good Job Vitale ! keep ! 
 Sep 20 2005 	 Bells Whistles - Lacks Basics 	 excited stay Hotel Vitale reading review . upon arrival , expertly greet , make aware $ 42.00 day valet fee , expedite quickly basic yet comfortable room nice view bridge . begin unpack quickly note dresser 6 day worth clothing , live suitcase one hang closet . walk around love SF close proximity transportation necessity . keep mind weekend , eatery financial district close . peacefully sleep 5:00am four large table crash hallway . employee evidently prepare future event 7th floor terrace . next morning , housekeeping knock quietly quickly come 8:00am shock . next day , return 4:30pm prepare dinner family , housekeeping room wait outside . also , not get downstairs 7:00am , miss complimentary coffee must pay $ 3.00 cup . overall , go beyond call duty feel important , dresser , housekeepte reasonable hour , complimentary coffee important we . bottled water , bittersweet chocolate , robe pricey spa product sale everytime go bathroom . Wish would well . 
 Sep 20 2005 	 not love sound break glass 	 room great modern yet plush fashion ; robe toasty soft ; bathroom feature cool fixture great showerhead ( nowhere hang toasty robe ) . truly ... staff gorgeous man man front quite lovely . complaint - everyone else locate less desirable non - view side building - subject loud crash bang boom glass bottle recycle midnight 1:30am ! highly annoying incredibily loud way 4th floor . otherwise , location near Ferry Building quick walk cable car line . 
 Sep 14 2005 	 Fantastic Trip ! Hotel Vitale wonderful ! ! 	 husband stay Hotel Vitale . first trip San Francisco must say fabulous trip . ( also birthday ) . Hotel Vitale fabulous . 's modern , clean deco great , mention waterfront view . need say anymore . turn bed . come back room one trip , chocolate , bottled water , weather report next day , music play . ( also provide cd player Element cd ) .The downside Valet Parking fee ridiculous . charge $ 42 night . unless go drive coast see city , be worth rent car . parking facility charge everytime take car , expensive well . 
 Sep 12 2005 	 nice 	 nice hotel . room big , cute . sister wonderful view Bay Bridge . service good . Food Americano restaurant good . receive new towel , bottle water , ice evening add nice touch . would return hotel ? maybe . although hotel nice , think try another future . 
 Sep 7 2005 	 Hotel Vitale fabulous 	 recently stay Hotel Vitale one precious night . wish dozen ! moment arrive rental car leave , treat super experience . staff member warm , polite , kind make we feel welcome . room great . sprang waterview king room mysteriously upgrade waterfront . bed luxuriously comfortable , cd player flatscreen tv nice touch . like rainforest shower personally miss tub ... towel even absorbent plenty . huge mirror opposite bed , reflect bay view . since anniversary , hotel provide fruit plate half - bottle champagne . finish hotel common area room pretty . old couple worried would cool enough edgy hotel , , staff extremely welcoming . expensive hotel sometimes worth extra $ , Hotel Vitale give plenty value buck . 
 Aug 16 2005 	 Great experience ! ! ! 	 return day ago 4 day San Francisco stay Vitale . fantastic experience . check late Monaday 12th not type room request Expedia . able move we appropriate room remain 3 night provide breakfast voucher beautiful wine fruit tray compensation . whenever need assistance , staff ( hotel clerk , concierge etc ... ) willing assist we . addition breakfast Americano Restaurant first class first class service . would highly recomment hotel service , great location ( enjoy water ablility walk sight within 15 - 30 minute ) , amenity hotel .... good bed sleep year ! 
 Aug 12 2005 	 nice new hotelGREAT VIEWgreat area ..... ... 	 get back 7 day San . Fran . stay hotel Vitale 3 day two night .. bay view 4th floor room .... hotel new nice beauthful view bay bridge , great area close every thing ..... still little work do service area .... room bay view spa bath , bath do not even tub call tell spa shower none view room tub ... lot people would big deal , take bath shower would never book hotel bath ( beauthful shower ) .Even print hotel amenity say spa bath tub ... also say computer room , roof top spa ..... computer , spa jet tub ( look nothing cost 60.00 per 30 min . ) hotel also list spa treatment , could not get appt ...... book city tour come pick we , one page room ? .... wait lobby 40min.when ask bellman one come we ask name say yes someone leave ... ask one page we , do not know ? .. take time track company get we bus leave ( lucky tour 2 hour late ) ..... hotel town car service short trip , door man never one time offer ask thing like what s plan today could get town car .. little thing like , make hotel real 4 5 star rating ...... check ask talk manger tell meeting could not come , leave print hotel amenity recive ask could call ..... get home recive email ask company book throw internet would like fix miss infomation web page ... company web page ... credit we back 150.00 room , like tell be not money , tub ........ hotel nice , little training need do staff ... would stay ? .... really sure , spa tub big thing we . 
 Aug 10 2005 	 # 1 Hotel # 1 bed # 1 location # 1 view # 1 Service 	 go sleep heavenly bed , pillow bar ( choice pillow firmness & amp ; type ) ; nightstand light ' glow stone ' ; lull sleep ambient music cd player . amenity great ( yummy & quot ; fresh & quot ; brand soap / lotion etc . ) sumbody item purchse room well . towel soft luxurious . leave curtain side open see nightlight drape across bay bridge span first light city awoke . hotel surround phenomenal eat ... Boulevard , restaurant Ferry Building etc . go jog waterfront , get fresh & amp ; unique thing ferry build farmer market , take cable car street car ... direction go , . nothing stay room hotel . offer yoga tub rooftop penthouse . plus access YMCA top notch facility . the hotel town car available transport meeting need . bell man personally escort & amp ; meet material foot bell cart . impressive service ! ! ! another small detail worth mention : Dwell magazine provide room . 's Dwell experience type environ ... luxurious twist . 
 Aug 10 2005 	 great hotel 	 wife stay three night JUly 2005 . not hurt weather well ever see San Fran . usually stay Drisco Pac . height need close downtown refuse rent car city . check - in process bit sloppy give great room staggering view water . outdoor space vitale wonderful time spend work fifth floor terrace ( good wifi service include ) wonderful . location great well . walk Ferry Building breakfast within block bunch nice place ( include Boulevard , Chaya Shanghai 1930 ) . spa lovely well although try three time get message line never could get work . staff helpful bar scene Americano downstairs really , really hop Friday . would stay hearbeat although still prefer quiet residential neighborhood . 
 Aug 2 2005 	 home run 	 fantastic service , polite , great explanation question , clean , & quot ; & quot ; & quot ; hip & quot ; situate near waterfront ( pier 1 ) area local yet within 5 minute cab ride tourist spot ( pier 39 , union square shop ) great terrasespent 17 - 20 july ... saturday farmer market across street must miss .... try blue bottle coffee ! ! ! eat dinner & quot ; boulevard & quot ; across street .. 1st classbar hotel hop local eveningsmall inconvenience 42 $ valet parking per day , san fran you.will definitely return .. extremely client focus 
 Jul 20 2005 	 great location good Hotel . 	 stay Vitale 3 night July 16 - 18th . ( rate $ 270 per night Deluxe Waterfront King Room ) pros : great location . view waterfront deluxe room truely incredible . happy able watch Ferry building , see good portion bay entire bay bridge . cool night . also , room cool , modern chic , comfortable bed , flat screen tv , usual amenity . americano fun bar / happy hour scene . walk distance ( 10 - 15 min ) Pac Bell park . & quot ; rainforest & quot ; shower head really awesome , little & quot ; cut & quot ; shower door turn test temperature water ( neat idea ) get toilet soak someone shower ! con : overnight valet 42 dollar ( plus % 14 tax ! ) per NIGHT . almost dealbreaker , since one forwarne ( nothing website tell make reservation ) not go forfeit night rate . agent desk basically give & quot ; know suck , nothing & quot ; response react bit strongly find parking alone go cost upwards $ 150 weekend . Sunday night , fiancee wake sound like loud bang come pipe wall . go minute call front desk . agent pick , could hear 10 time loud phone . say something effect & quot ; think work something kitchen , will get stop & quot ; 5th floor ! stop however . authorize construction 2 am ? ? ? guess either emergency , guest capacity minimum Sunday night . either way , follow apology offer , even inquire next morning ( get blank stare staff . ) Breakfast Americano okay , service bit akward cold food ( one occasion ) overall : really nice hotel , definitely go grow pain , hammered ( pun intend ) relatively soon . price room , plus parking , hotel would probably stay instead work kink . 
 Jul 10 2005 	 Excellent ! 	 currently stay Hotel Vitale totally agree review already post . hotel locate well near Embarcadero Ferry building . not like hotel breakfast ( not generally eat much ) , market hall step away provide excellent place . design amenity absolutely outstanding , view even 2nd floor Bay Bridge amazing . F Streetcar right back building not like walk much . 
 Jul 7 2005 	 Hotel Vitale Wonderful ! 	 stay Hotel Vitale day last week truly wonderful stay . first - class accomodation ! hotel bright beautiful staff incredibly warm . every staff member pass ask , enjoy hotel , etc . personal touch .... would hesitate stay . allow describe hotel ... locate beautiful new section town Embarcadero Mission , Pier 1 directly across street historic Ferry Building ( btw - every Saturday wonderful Farmers Market enjoy simply amazing fresh produce , flower , herb food ) . hotel design use principle simplicity , functionality beauty . everything exactly ... & quot ; Feng Shui & quot ; . bed super comfortable ( comforter / pillow silky sheet ) , furniture beautiful , functional , artfully craft simple . room wonderfully comfortable robe slipper closet . shower awesome , complimentary SugarBath product . room also plasma / lcd flat screen tv foot bed . view high room bay side hotel fabulous . stay 8th ( top ) floor panoramic view Bay Bridge sunrise . Awesome wake ... many ( ) floor terrace go sit overlook city . hallway always fresh flower candle ambience . far hotel bar / restaurant , drink enjoy . staff quite courteous attentive . also note look & quot ; scene & quot ; hotel bar could . work bar get good crowd , nice . way , one top 10 restaurant city ( & quot ; Boulevard & quot ; ) also directly across street hotel . great meal there . the hotel 's proximity everything good . SF bus 1 block away , light rail corner , limo service directly hotel cable car around corner . like walk , Fishermans Wharf ( pier 39 ) 20 minute walk along bay ( nice walk ) . note SF - nice area stay - close proximity without crowd ( everything go along ) stay directly wharf . wharf super - commercial . prefer really one city oppose part tourist trap . free enjoy peace well . wife stay many hotel , would absolutely hesitate recomme one . wonderful stay really bum vacation . SF dozens times one enjoyable stay ! already try figure go back ... 
 Jun 29 2005 	 Hotel Vitale : Fine hotel 	 LOCATIONMy wife stay week fine new hotel June 18 - 26 . strong advantage location corner Mission Embarcadero , give easy access central SF well harbour . Close Bay Bridge , sit opposite Ferry Terminal , wonderfully airy view across water get one appropriate room . roof terrace offer spectacular view surround area ( see photo ) , shade provide seat area . tramway depart alongside hotel - downtown one way , Fisherman 's wharf - short stroll California - Van Ness cable car route . Ferry build great nearby resource fresh foodstuff variety meal snack – open 10 am morning - well ferry Sausalito . Embarcadero Centre useful nearby shopping mall . roomsthe modest exterior hotel subject architectural debate , pleasant enough . hotel lobby somewhat cavernous lacking character , reception staff young , bright friendly . bedroom modern comfortable , stylish fitting . artwork range , disappointingly , rather twee harshly modern . flatscreen tv bonus , encounter dvd player IPod dock enjoy reviewer ( fortunately bring ) . bathrobe , slipper , bathroom product exceptional . wardrobe space rather limited , turndown service well US preoccupation ( we ) obscure ritual . room service impeccable housekeeping team total delight . other SERVICESThe spa service terrific rather limited . contra another reviewer , massage ( Sharon ) well ever . restaurant provide food high quality , draw upon resource Farmers ’ Market Ferry Terminal . deter evening dine noisy bar scene , excellent restaurant yard away Boulevard , Shanghai 1930 , Slanted Door . obviously take time embryonic herb garden offer effective buffer outside table busy roadway . 
 Jun 18 2005 	 Awesome ! ( still kink work ... ) 	 2nd time Hotel Vitale , time quick 1 night stay . similar last stay , Deluxe King City View room . nice surprise , end Mission St. side clear view Bay Bridge . room furnishing still great shape . room chaise type chair instead sofa prior room . flat - screen tv great usual . drawback , not hdtv signal , image & quot ; stretch & quot ; fit screen aspect ratio . interesting item ... original stay , housekeeping stop turndown service . time , none offer . sure service elimiante not . only kink follow : wake - up call 10 minute late , shoe ( complimentary overnight shoe shine ) return time , miss deliver morrne paper . traumatic grand scheme thing , definitely common hotel caliber . will get well age ... start - up issue estimation . minor glitch , would give 5 star . 
 Jun 13 2005 	 Outstanding Stay Hotel Vitale 	 husband return romantic Saturday night stay Hotel Vitale , love . service great . front desk attendant welcoming , helpful prompt . tell we would concierge call we regard restaurant suggestion arrive room ; phone rang five minute get room . concierge suggest restaurant make reservation we . deluxe bay view king room beautiful , clean roomy . decor simple contemporary , bed comfortable . bathroom roomy . amenity great . enjoy clock radio / cd player ( supply 4 CD 's ) , flat screen tv , robe , slipper wonderful toiletry . aroma lavender wonderful walk hallway . price pay bay view worth ; view take breath away soon walk room . location great near Embarcadero , Ferry Building , bay . thing prefer slide bathroom door leave gap fully close , neighbor ' voice times adjoining door , hallway noise ( like door close ) , street noise loud time not wake , full - length mirror mount directly across toilet . another review , learn parking hotel expensive , find street parking close hotel . although room somewhat pricey , would definitely stay . 
 Jun 6 2005 	 great beware bathroom door 	 return 4 night stay Hotel Vitale rave . ambiance W Hotel much low rate . location terrific - Embarcadero right across street . service excellent , room comfy well appoint - fresh product line toiletry choice . now caveat : bathroom door slide door not close way . sound within bathroom hear inhabitant room . mention front desk checkout tell guest complain issue since day one . also , spa , though lovely look competant massage therapist . go motion , not really anything . ask exert pressure , one actually exact opposite . lastly , beware parking charge - 's $ 42 / day . package include free valet parking , inadvertently charge parking ( easily rectify front desk ) .These item withstand , would return Hotel vitale time . 
 Jun 1 2005 	 New SF hotel 	 return 2 night stay Hotel Vital open recently . location : locate close freeway easy find close hear traffic noise . right across street newly remodel Ferry building , include restaurant shop , street Pier 39 . service : upon make reservation switch day especially friendly phone rude either . suppose ' efficient ' would appropriate . room significantly expensive week weekend opposite place visit . check - in pleasant arrive four hour check - in ! greet surprise promptly give available room . hotel : hotel modern , zen - like feel . hallway dimly light may plus many people . artwork lavendar piece hallway nice touch . room average size great bed nice linen . Flatscreen t.v . , c.d . player four c.d. , bathroom amenties Fresh co. view build wall able get view water , would amazing . husband hate bathroom door visually appeal suited privacy . restaurant / Bar : eat restaurant , although menu look great crowded . bar nice similar feel hotel great service even though busy night . gym : room couple cardio machine , t.v.s , free weight . small room window . overall , nice experience able get introductory rate . would likely look elsewhere current price . 
 May 23 2005 	 blow away Hotel Vitale 	 great hotel San Francisco hard believe room one . friend recommend Hotel Vitale open right across Ferry Building . view water Bay Bridge hotel . without doubt good view San Francisco ( yes stay Mandarin Park Hyatt ) .In addition great location view bed without doubt comfortable bed ever sleep . also , room cool amenity like electric shade , Bose i - pod deck , dvd flat screen tv . it one Joie De Vivre ( spelling ? ) property price nice $ 199 . restaurant yummy hotel small enough 3 day chance get know staff . anyway love hotel first one right nasty review thought would take time let other know good value great hotel wait Hotel Vitale . 
 May 17 2005 	 Great Hotel Great City ! 	 stay hotel five night May . without question , hotel quickly become one seek property city fill great hotel . location -- across street Ferry Building Embarcadero -- offer immediate access great food anytime week , especially Saturday ' Farmers Market . stay room overlook water . comfortably decorate offer plenty space . guest also access several rooftop terrace quiet respite city . although hotel solid stay , staff attentive extremely courteous . certainly make hotel second home , whenever visit San Francisco . 
